   yuktidīpikā //	yukti dIpikA //
   ekādaśendriyāṇi ca / anenaiva ca bhautikendriyavādī pratikṣipto boddhavyaḥ	ekAdaSa indriyANi ca / anena eva ca BOtika indriya vAdI pratikziptaH bodDavyaH
        tasmādapi ṣoḍaśakāt pañcabhyaḥ pañca bhūtāni // ISk_22 //	tasmAt api zoxaSakAt paQcaByaH paQca BUtAni // ISc _22 //
        tasmādapi ṣoḍaśakādgaṇādyaḥ pañcako gaṇastataḥ pañca	tasmAt api zoxaSakAt gaNAt yaH paQcakaH gaNaH tatas paQca
   mahābhūtānyutpadyante / pūrvapadalopenātra mahābhūtānīti vaktavye	mahABUtAni utpadyante / pUrva pada lopena atra mahABUtAni iti vaktavye
   bhūtānītyucyate / bhūtasaṃjñā hi tanmātrāṇāṃ na pṛthivyādīnāmatra tu	BUtAni iti ucyate / BUta saMjQA hi tanmAtrANAm na pRTivI AdInAm atra tu
   sāṃkhyācāryāṇāmavipratipattiḥ bhūtakauṭasthyavādinastu mīmāṃsakā ārhatāśca	sAMKya AcAryANAm avipratipattiH BUta kOwasTya vAdinaH tu mImAMsakAH ArhatAH ca
   / tatpratikṣepeṇedamucyata iti // 22 //	/ tad pratikzepeNa idam ucyate iti // 22 //
             kārikā 23	kArikA 23
        āha, uktaṃ pradhānādbuddhirutpadyata iti / tatra vaktavyaṃ kiṃlakṣaṇā	Aha, uktam praDAnAt budDiH utpadyate iti / tatra vaktavyam kiMlakzaNA
   punarbuddhirityucyate	punar budDiH iti ucyate
        adhyavasāyo buddhiḥ	aDyavasAyaH budDiH
        ko 'yamadhyavasāyaḥ ? gaurevāyaṃ, puruṣa evāyamiti yaḥ pratyayo	kaH ayamaDyavasAyaH ? gOH eva ayan, puruzaH eva ayam iti yaH pratyayo
   niścayo 'rthagrahaṇaṃ so 'dhyavasāyaḥ /	niScayaH arTa grahaNam saH aDyavasAyaH /
        atra kṣaṇikavādyāha yadyarthagrahaṇaṃ buddhiḥ, anityā / kasmāt ?	atra kzaNika vAdi Aha yadi arTa grahaNam budDiH, anityAH / kasmAt ?
   hetvapekṣaṇāt / arthagrahaṇaṃ hīndriyādiviṣayasannidhānamāvaraṇādyabhāvaṃ	hetu apekzaNAt / arTa grahaNam hi indriyA Adi vizaya sanniDAnam AvaraNa Adi aBAvam
   cāpekṣate / na ca nityasya kāraṇāpekṣopapadyate / tasmādanityā buddhiḥ /	ca apekzate / na ca nityasya kAraNa apekzA upapadyate / tasmAt anityA budDiH /
   abhivyakteradoṣa iti cetsyādetannendriyasannidhānādibhirarthagrahaṇaṃ	aBivyakteH adozaH iti ced syAt etat na indriya sanniDAna AdiBiH arTa grahaNam
   janyate kiṃ tarhyabhivyajyata iti / tacca naivam / dvidhā doṣāt / sā	janyate kim tarhi aBivyajyate iti / tat ca na evam / dviDA dozAt / sA
   hyabhivyaktiḥ svarūpalābho vā syāt grahaṇapratibandhavyudāso vā / kiṃ	hi aBivyaktiH svarUpa lABaH vA syAt grahaNa pratibanDa vyudAsaH vA / kim
   cātaḥ ? tadyadi tāvatsvarūpalābhaḥ kriyate 'rthagrahaṇamiti prāptam /	ca atas ? tat yadi tAvat svarUpa lABaH kriyate arTa grahaNam iti prAptam /
   arthagrahaṇapratibandhasyāndhakārasya vyudāsastadapyayuktam /	arTa grahaNa pratibanDasya anDakArasya vyudAsaH tat api ayuktam /
   vipratiṣedhāt / grahaṇaṃ ca syāttatpratibandhaśceti vipratiṣiddham / kiṃca	vipratizeDAt / grahaNam ca syAt tad pratibanDaH ca iti vipratizidDam / kiMca
   bhedāt / vyaṅgyaṃ hi ghaṭādi candrārkauṣadhimaṇiratnapradīpabhedānna	BedAt / vyaFgyam hi Gawa Adi candra arka ozaDi maNi ratna pradIpa BedAt na
   bhidyate / asti buddhīnāmarthabhedād bhedaḥ / vṛttibhedādadoṣo mṛdvaditi	Bidyate / asti budDInAm arTa BedAt BedaH / vRtti BedAt adozaH mRdvat iti
   cet syānmatam , yathā mṛddravyasya ghaṭādisaṃsthānavṛttibhede 'pyabheda	ced syAt matam , yaTA mRd dravyasya Gawa Adi saMsTAna vRtti Bede api aBeda
   evaṃ buddheriti / tadapyayuktam / ananyatvāt / yadā buddhiranyā	evam budDeH iti / tat api ayuktam / ananya tvAt / yadA budDiH anyA
   vṛttibhyaḥ, prāptastadbhede buddhibhedaḥ / kiṃca dṛṣṭāntāsiddheḥ / sādhyaṃ	vRttiByaH, prAptaH tad Bede budDi BedaH / kiMca dRzwAnta asidDeH / sADyam
   caitat kiṃ tadeva mṛddravyaṃ ghaṭādivṛttibhedamanubhavati	ca etat kim tat eva mRd dravyam Gawa Adi vRtti Bedam anuBavati
   āhosvitpratyayāntaravaśādanyaccānyaccotpadyate iti ? avayavabhedācca /	Ahosvit pratyaya antara vaSAt anyat ca anyat ca utpadyate iti ? avayava BedAt ca /
   upetya vānuvṛttiṃ brūmaḥ  na hi tadekaṃ mṛddravyam, kiṃ tarhi bahavo	upetya vA anuvRttim brUmaH na hi tat ekam mRd dravyam, kim tarhi bahavaH 
   mṛtparamāṇavo 'nekadeśāvacchinnavṛttaya iti / kiṃ cānyat /	mRd paramANavaH aneka deSa avacCinna vRttayaH iti / kim ca anyat /
   nivṛttivibhaktigrahaṇāt / taddhi mṛddravyaṃ saṃsthānamapekṣyāpi gṛhyate,	nivRtti viBakti grahaNAt / tat hi mRd dravyam saMsTAnam apekzya api gRhyate,
   na tvarthagrahaṇamanapekṣya buddhergrahaṇamasti / tasmādviṣamo dṛṣṭāntaḥ /	na tu arTa grahaNam anapekzya budDeH grahaNam asti / tasmAt vizamaH dRzwAntaH /
   parimāṇādadoṣa iti cet syānmatam sattvādīnāmaṅgāṅgibhāvaniyamāttena	parimANAt adozaH iti ced syAt matam sattva AdInAm aFga aFgi BAva niyamAt tena
   tenārthagrahaṇātmanā vipariṇāmo vṛttiriti / etaccāyuktam / ubhayakalpane	tena arTa grahaNa AtmanA vipariNAmaH vRttiH iti / etat ca ayuktam / uBaya kalpane
   doṣaprasaṃgāt / yadi dharmāntaropādānaparityāgau vyaktavyaktī, dattottara	doza prasaMgAt / yadi Darma antara upAdAna parityAgO vyakta vyaktI, datta uttara
   eṣa pakṣaḥ / atha nāśotpādau tena dharmadharmiṇorananyatvāddharmāṇāṃ	eza pakzaH / aTa nASa utpAdO tena Darma DarmiNoH ananya tvAt DarmANAm
   nāśotpādādbuddherapi nāśotpādaprasaṃgaḥ / tadanabhyupagame vānyatvamiti	nASa utpAdAt budDeH api nASa utpAda prasaMgaH / tad anaByupagame vA anyatvam iti
   doṣaḥ / āha ca	dozaH / Aha ca
        naṣṭotpannamananyatvādanityaṃ nityameva vā /	nazwa utpannam ananya tvAt anityam nityam eva vA /
        naṣṭotpannāvinaṣṭānāṃ nityaṃ to nāsti caikadā //	nazwa utpanna avinazwAnAm nityam taH na asti ca ekadA //
        yadapyuktam  sattvādīnāmaṅgāṅgibhāvaniyamāditi, tadayuktam / ata	yat api uktam sattva AdInAm aFga aFgi BAva niyamAt iti, tat ayuktam / ata
   evānityatvasiddheḥ / tulyānāṃ guṇapradhānabhāvānupapatteḥ /	eva anitya tva sidDeH / tulyAnAm guNa praDAna BAva anupapatteH /
   sattvādīnānaṅgāṅgibhāvābhyupagamāt vṛddhikṣayāvabhyupagantavyau / tataśca	sattva AdInAn aFga aFgiBAva aByupagamAt vRdDi kzayO= aByupagantavyO / tatas ca
   buddhiranityeti prāptam / tebhyo 'nanyatvāt / atha mataṃ tadavasthāpyasau	budDiH anityA iti prAptam / teByaH ananya tvAt / aTa matam tad avasTA api asO
   nityeti, na tarhi satvādyātmabhūtā buddhiriti prāptam / tataśca	nitya iti, na tarhi satva Adi Atma BUtA budDiH iti prAptam / tatas ca
   kāryakāraṇayoraviveka ityasya virodhaḥ / tasmādanityā buddhiriti /	kArya kAraNayoH avivekaH iti asya viroDaH / tasmAt anityA budDiH iti /
        ucyate  yattāvaduktaṃ hetvapekṣaṇādanityā buddhiriti tadayuktam /	ucyate yat tAvat uktam hetu apekzaNAt anityA budDiH iti tat ayuktam /
   kasmāt ? siddhasādhanāt / kasyātra vipratipattiranityā vā buddhiḥ	kasmAt ? sidDa sADanAt / kasya atra vipratipattiH anityA vA budDiH
   syānnityā veti ? kiṃ tarhi hetumadanityaṃ vyaktamiti vacanādanityaiva /	syAt nityAH vA iti ? kim tarhi hetu mada nityam vyaktam iti vacanAt anitya eva /
   tasmādiṣṭamevaitatsaṅgṛhītam / ataeva kṣaṇikatvamiti cet, athāpi	tasmAt izwam eva etat saFgRhItam / ataeva kzaNika tvam iti cet, aTa api
   syāddhetvapekṣā hi saṃskṛtatvam / saṃskṛtaṃ tu kṣaṇikam / tadyathā pradīpa	syAt hetu apekzA hi saMskRta tvam / saMskRtam tu kzaNikam / tat yaTA pradIpa
   iti / tasmādanitye satyapi viśeṣānabhidhāne kṣaṇikatvamevānena hetunā	iti / tasmAt anitye sati api viSezAn aBiDAne kzaNika tvam eva anena hetunA
   buddheḥ pratipādyata iti / kasmāt ? uttaravacanavirodhaprasaṃgāt / evamapi	budDeH pratipAdyate iti / kasmAt ? uttara vacana viroDa prasaMgAt / evam api
   yaduttaraṃ kṣaṇikatvaprasiddhyarthamucyate	yat uttaram kzaNika tva prasidDi arTam ucyate
   pratyarthagrahaṇānyatvādanityetyādi tasyānarthakyam / tasmāt	pratyarTa grahaNa anyatvAt anitya ityAdi tasya AnarTakyam / tasmAt 
   pūrvottaraviruddhatvātsakalamevedaṃ prakaraṇaṃ nādhyayanaṃ, na	pUrva uttara virudDa tvAt sakalam eva idam prakaraNam na aDyayanan, na
   pratyākhyānamarhati / pareṣāṃ tvabhiniṣṭā	pratyAKyAnam arhati / parezAm tu aBinizwA
   buddhiratretyasaṃgatārthottarāpavādadoṣamanapekṣyāpi	budDiH atra iti asaMgata arTa uttara apavAda dozam anapekzyA api
   pratyekamapyetadasādhanam, vṛttiviṣayatvāt / svakāraṇapariniṣpannāyā hi	pratyekam api etat asADanam, vRtti vizaya tvAt / sva kAraNa parinizpannAyAH hi
   buddhervyāpāro 'rthagrahaṇasaṃjñaka indriyādisannidhānāpekṣo na buddhiḥ /	budDeH vyApAraH arTa grahaNa saMjQakaH indriya Adi sanniDAna apekzaH na budDiH /
   tadananyatvātprasaṃganivṛttiriti cedatha matam,	tat ananya tvAt prasaMga nivRttiH iti ced aTa matam,
   vṛttivṛttimatorananyatvāditthamapi kalpayitvāyaṃ prasaṃgo na nivartate /	vRtti vRttim atoH ananya tvAt itTam api kalpayitvA ayam prasaMgaH na nivartate /
   tathā coktam  svālakṣaṇyaṃ vṛttistrayasyeti (ISk 29) / tadapyabādhakam /	taTA ca uktam svAlakzaNyam vRttiH trayasya iti (ISj 29) / tat api abADakam /
   kasmāt ? upacārāt / satyamananyā, vṛttivṛttimatorbhedenāgrahaṇāt,	kasmAt ? upacArAt / satyam ananyA, vRtti vRtti matoH Bedena agrahaNAt,
   tathāpyuparatavyāpārasyāpi paraśvādervṛttimataḥ svarūpa noparamatīti	taTA api uparata vyApArasya api para Su AdeH vRttimataH svarUpa na uparamati iti
   bhedamupacarya vyavahāro nānākāryaviṣayaḥ pravartate / ataevānyatvamapi	Bedam upacarya vyavahAraH nAnA kArya vizayaH pravartate / ataa iva anya tvam api
   syāditi tadayuktam, ekāntāt / tadyathā senāpaṅktisenākuṇḍalādyuparame na	syAt iti tat ayuktam, ekAntAt / tat yaTA senA paFkti senA kuNxala Adi uparame na
   tatsanniveśināmuparamaḥ kāryabhedaśca, na cānyatvam / evaṃ	tad sanniveSinAm uparamaH kArya BedaH ca, na ca anya tvam / evam
   vṛttitadvatorapi ca syāt / tasmādyuktametaddhetvapekṣaṇasya	vRtti tadvatoH api ca syAt / tasmAt yuktam etat hetu apekzaNasya
   vṛttiviṣayatvānna buddheranityatvamiti / etena vyaktivikalpaḥ prayuktaḥ,	vRtti vizaya tvAt na budDeH anitya tvam iti / etena vyakti vikalpaH prayuktaH,
   so 'pi vṛttiviṣaya iti kṛtvā tadapyuktamindriyādibhede bhedāditi /	saH api vRtti vizayaH iti kRtvA tat api uktam indriya Adi Bede BedAt iti /
   tadapyanenaivoktam / vṛttibhedo 'tra na bheda iti / kiṃ cānekāntāt /	tat api anena eva uktam / vRtti BedaH atra na BedaH iti / kim ca anekAntAt /
   yathodakādibhedātpratibimbabhedo na cāvyaṅgyatvamevamanyatrāpi syāt /	yaTA udaka Adi BedAt pratibimba BedaH na ca avyaFgya tvam evam anyatra api syAt /
   dravyāntarotpatteradoṣa iti cetsyānmatam,	dravya antara utpatteH adozaH iti ced syAt matam,
   udakasyānanasaṃyogāddravyāntarameva pratibimbalakṣaṇamutpadyate na tu	udakasya Anana saMyogAt dravya antaram eva pratibimba lakzaNam utpadyate na tu
   mukhaṃ bhidyate iti asadetat / kasmāt ? ubhayoḥ kāraṇatvena	muKam Bidyate iti asat etat / kasmAt ? uBayoH kAraNa tvena
   kalpanānupapatteḥ / na hi mukhaḥ nimittaṃ śakyaṃ vaktum ,	kalpanA anupapatteH / na hi muKaH nimittam Sakyam vaktum ,
   viprakṛṣṭatvānnāsādayo mukhāpagame 'pyupalabdhiprasaṃgātpākajavat /	viprakRzwa tvAt na Asa AdayaH muKa apagame api upalabDi prasaMgAt pAkaja vat /
   yatpunaretaduktaṃ vṛttibhedādadoṣo mṛdvaditi tathā tadastu /	yat punar etat uktam vRtti BedAt adozaH mRdvat iti taTA tat astu /
   yattūktamananyatvāddṛṣṭāntāsiddheśceti vṛttyananyatvamidānīmeva pratyuktam	yat tu uktam ananya tvAt dRzwAnta asidDeH ca iti vRtti ananya tvam idAnIm eva pratyuktam
   / kṣaṇabhaṅgapratiṣedhe coktaṃ na pṛthivyādīnāmanyathā cānyathā cotpattiḥ	/ kzaNa BaFga pratizeDe ca uktam na pRTivI AdInAm anyaTA ca anyaTA ca utpattiH
   / yatpunaretaduktaṃ naikaṃ mṛddravyamiti tatra buddhiḥ pramāṇam /	/ yat punar etat uktam na ekam mRd dravyam iti tatra budDiH pramANam /
   yadekabuddhinimittaṃ tadekaṃ, tatra yadi mṛdo 'nekatvena prayojanaṃ	yat ekabudDi nimittam tat ekan, tatra yadi mRdaH aneka tvena prayojanam
   buddhirupalabhyate  vayamiti / yatpunaretaduktam, mṛddravyasya	budDiH upalaByate vayam iti / yat punar etat uktam, mRd dravyasya
   saṃsthānavyatirekeṇa svabhāvo 'vadhāryate na tu	saMsTAna vyatirekeNa svaBAvaH avaDAryate na tu
   buddherarthagrahaṇamantareṇa svarūpagrahaṇamiti, tadayuktam /	budDeH arTa grahaNam antareNa svarUpa grahaNam iti, tat ayuktam /
   abhāvasyārūpatvāt / upetya vā	aBAvasya arUpa tvAt / upetya vA
        yathā bāhyādyavasthāsu vyākārā cittasantatiḥ /	yaTA bAhya Adi avasTAsu vyAkArA citta santatiH /
        vidyate bījamātrā vastathā dhīriti gṛhyatām //	vidyate bIja mAtrA vaH taTA DIH iti gRhyatAm //
        yathā bāhyārthākāravaccittasantatiratha ca	yaTA bAhya arTa AkAra vat citta santatiH aTa ca
   suptamūrchitavirodhasamāpannānāmartharūpādṛte bījamātrāstītyupagamyate sā	supta mUrCita viroDa samApannAnAm arTa rUpAt Rte bIja mAtrA asti iti upagamyate sA
   citi kāpi vāvastheti vacanāt, na ca gṛhyate tathā buddhirapīti kasmānna	citi kA api vA avasTA iti vacanAt, na ca gRhyate taTA budDiH api iti kasmAt na
   parikalpyate ? yatpunaretaduktam yadi dharmāntaropādānaparityāgau	parikalpyate ? yat punar etat uktam yadi Darma antara upAdAna parityAgO
   vyaktavyaktī dattottara eṣa pakṣa iti / taditaratra tulyam / asmābhirapi	vyakta vyaktI datta uttaraH eza pakzaH iti / tat itaratra tulyam / asmABiH api
   tarhyasatkāryapratyākhyāne dattottara eṣa pakṣo vyaktitarna kriyate iti /	tarhi asat kArya pratyAKyAne datta uttaraH eza pakzaH vyaktitar na kriyate iti /
   nāśotpādau tu aniṣṭāveveti na parihāraṃ pratyādaraḥ kriyate / yadapyuktaṃ	nASa utpAdO tu anizwO= eva iti na parihAram pratyAdaraH kriyate / yat api uktam
   naṣṭādutpannāccānaṣṭamanutpannaṃ cānyannāstīti tadayuktam, anabhyupagamāt	nazwAt utpannAt ca anazwam anutpannam ca anyat na asti iti tat ayuktam, anaByupagamAt 
   / nāśotpādau kaḥ pratijānīte yaṃ pratyetadarthavatsyāt ? kiṃ ca	/ nASa utpAdO kaH pratijAnIte yam pratyetat arTavat syAt ? kim ca
   tvatpakṣaprāpteḥ / bhavata eva naṣṭotpannebhyaḥ skandhebhyo nānyā	tvad pakza prApteH / BavataH eva nazwa utpanneByaH skanDeByaH na anyA
   santatiratha ca nāsti doṣaḥ / kayāpi yuktayā syādetadanyaivāsāviti	santatiH aTa ca na asti dozaH / kayA api yuktayA syAt etat anyA eva asO= iti
   tataścaikā santatiriti hīnam / yadapyuktaṃ guṇavṛddhikṣaye 'nityatvamiti	tatas ca ekA santatiH iti hInam / yat api uktam guNa vRdDi kzaye anitya tvam iti
   tadanupapannam / kasmāt ? rūpāntarāpyāyanāt / sattvaṃ hi	tad anupapannam / kasmAt ? rUpa antara ApyAyanAt / sattvam hi
   prakarṣamanubhavadrajastamasī ca nyūnatāṃ dharmādirūpāṃ buddherāpyāyanti,	prakarzam anuBavat rajaH tamasI ca nyUna tAm Darma Adi rUpAm budDeH ApyAyanti,
   nārthāntaraṃ kurvanti no khalvapyabhāvam, evaṃ rahastamo vā	na arTa antaram kurvanti no Kalu api aBAvam, evam rahaH tamaH vA
   prakarṣamanubhavatsattvaṃ ca nyūnatādharmādirūpaṃ buddherāpyāyanti,	prakarzam anuBavat sattvam ca nyUna tA Darma Adi rUpam budDeH ApyAyanti,
   nārthāntaraṃ kurvanti nābhāvam / evaṃ guṇavṛddhikṣaye 'pi	na arTa antaram kurvanti na aBAvam / evam guNa vRdDi kzaye api
   rūpāntarāpyāyanānnāsti kṣayo buddheḥ / tatra yaduktaṃ hetvapekṣaṇādanityā	rUpa antara ApyAyanAt na asti kzayaH budDeH / tatra yat uktam hetu apekzaNAt anityA
   buddhiriti etadayuktam /yatpunaretaduktaṃ	budDiH iti etat ayuktam /yat punar etat uktam
   pratyakṣagrahaṇānyatvātpratikṣaṇaṃ dīpāditailadhārāsu śabdabhedācca	pratyakza grahaNa anyatvAt pratikzaNam dIpa Adi tEla DArAsu Sabda BedAt ca
   kṣaṇiketi, atra brūmaḥ  grahaṇānyatve coktaṃ vṛttibhedo na vṛttimadbhedaḥ	kzaNikA iti, atra brUmaH grahaNa anya tve ca uktam vRtti BedaH na vRttimat BedaH
   / kiṃ cānyat / bhinnārthagrahaṇaikatvāt / upetya vā brūmaḥ  yadi	/ kim ca anyat / Binna arTa grahaNa eka tvAt / upetya vA brUmaH yadi
   pratyarthamanyadanyadgrahaṇaṃ kalpyate,	pratyarTam anyat anyat grahaNam kalpyate,
   vikalpabādhasamuccayasaṃśayadvitvātiśayanivāraṇeṣu, tathā kalmāṣaṃ śabalaṃ	vikalpa bADa samuccaya saMSaya dvi tva atiSaya nivAraNa izu, taTA kalmAzam Sabalam
   citramityanekārtharūpamekaṃ grahaṇaṃ na syāt / dṛṣṭaṃ tat / tasmānnāyaṃ	citram iti aneka arTa rUpam ekam grahaNam na syAt / dRzwam tat / tasmAt na ayam
   kṣaṇikatve hetuḥ / evamavasthitamidaṃ  adhyavasāyo buddhirna kṣaṇiketi	kzaNika tve hetuH / evam avasTitam idaM aDyavasAyaH budDiH na kzaNikA iti
        buddhestu triguṇātmakatvāttasya guṇasya prakarṣe	budDeH tu triguNa Atmaka tvAt tasya guNasya prakarze
   tattadrūpāntaramutpadyata iti /	tad tad rUpa antaram utpadyate iti /
        āha, kasya guṇasya prakarṣe buddheḥ kiṃ lakṣaṇaṃ rūpāntaramupajāyate	Aha, kasya guNasya prakarze budDeH kim lakzaNam rUpa antaram upajAyate
        ityucyate	iti ucyate
        dharmo jñānaṃ virāga aiśvaryam /	DarmaH jQAnam virAga ESvaryam /
        sāttvikametad rūpam	sAttvikam etat rUpam
        atra tvetadrūpamiti satyapi dharmādibhede	atra tu etat rUpam iti sati api Darma Adi Bede
   buddhirityabhedavivakṣāviṣaya ekavacananirdeśaḥ kriyate / etaduktaṃ	budDiH iti aBeda vivakzA vizayaH ekavacana nirdeSaH kriyate / etat uktam
   bhavati yadā rajastamasī vaśamāpādya buddhigataṃ sattvamutkṛṣṭaṃ bhavati	Bavati yadA rajaH tamasI vaSam ApAdya budDi gatam sattvam utkRzwam Bavati
   tadā dharmo jñānaṃ virāga aiśvaryamityetadrūpaṃ bhavati / tatra	tadA DarmaH jQAnam virAga ESvaryam iti etat rUpam Bavati / tatra
   śrutismṛtivihitānāṃ karmaṇāmanuṣṭhānādbuddhyavasthaḥ sattvāvayava	Sruti smRti vihitAnAm karmaNAm anuzWAnAt budDi avasTaH sattva avayava
   āśayabhūto dharma ityucyate / sa tu dvividhaḥ /	ASaya BUtaH DarmaH iti ucyate / sa tu dviviDaH /
   brahmādisthāneṣvabhipretaśarīrendriyaviṣayopabhoganirvartako	brahma Adi sTAnezu aBipreta SarIra indriya vizaya upaBoga nirvartakaH 
   jñānādyaṅgabhūtaśca prathamaḥ / agnihotrahavanādikriyānuṣṭhānasādhano	jQAna Adi aFga BUtaH ca praTamaH / agni hotra havana Adi kriyA anuzWAna sADanaH 
   yamaniyamasādhana itaraḥ / tatrāhiṃsā satyamasteyamakalkatā	yama niyama sADanaH itaraH / tatra ahiMsA satyam asteyam akalka tA
   brahmacaryamiti pañca yamāḥ / akrodho guruśuśrūṣā	brahmacaryam iti paQca yamAH / akroDaH guru SuSrUzA
   śaucamāhāralāghavamapramāda iti pañca niyamāḥ /	SOcam AhAra lAGavam apramAdaH iti paQca niyamAH /
   eteṣāmavilopenānuṣṭhānādyaterevaṃvidhottaraṇe sattvadharma āśayatāṃ	etezAm avilopena anuzWAnAt yateH evaMviDa uttaraNe sattva Darme ASayatAm
   pratipadyate, yo jñānādīnāṃ rūpāṇāmāpyāyanaṃ karoti /	pratipadyate, yaH jQAna AdInAm rUpANAm ApyAyanam karoti /
   etadabhyudayaniḥśreyasayoḥ sopānabhūtaṃ prathamaṃ parva /	etat aByudaya niHSreyasayoH sopAna BUtam praTamam parva /
   yatrāyamavasthito yatiritareṣāṃ parvaṇāmanuṣṭhāne yogyo bhavati / jñānaṃ	yatra ayam avasTitaH yatiH itarezAm parvaNAm anuzWAne yogyaH Bavati / jQAnam
   dvividhaṃ śabdādyupalabdhilakṣaṇaṃ guṇapuruṣāntaropalabdhilakṣaṇaṃ ca /	dviviDam Sabda Adi upalabDi lakzaNam guNa puruza antara upalabDi lakzaNam ca /
   tatra śabdādyupalabdhilakṣaṇaṃ pratyakṣānumānāgamarūpam /	tatra Sabda Adi upalabDi lakzaNam pratyakza anumAna Agama rUpam /
   guṇapuruṣāntaropalabdhilakṣaṇaṃ ca dvividhaṃ apūrvamabhyāsajaṃ ca /	guNa puruza antara upalabDi lakzaNam ca dviviDam apUrvam aByAsa jam ca /
   tayorapūrvam  ūhaḥ śabdo 'dhyayanamiti (ISk 51) siddhikāṇḍānupatitāni	tayoH apUrvam UhaH SabdaH aDyayanam iti (ISj 51) sidDi kANxa anupatitAni
   pramāṇāni / abhyāsajaṃ punaḥ vairāgyapūrvāvajayapṛṣṭhalabdhaṃ śāntamamalaṃ	pramANAni / aByAsa jam punar vErAgya pUrva avajaya pRzWa labDam SAntam amalam
   dhruvaṃ sakalabhavābhavapratipakṣabhūtam / yadācāryo vakṣyati 	Druvam sakala Bava aBava pratipakza BUtam / yat AcAryaH vakzyati 
        evaṃ tattvābhyāsānnāsmi na me nāhamityapariśeṣam /	evam tattva aByAsAt na asmi na me na aham iti apariSezam /
        aviparyayādviśuddhaṃ kevalamutpadyate jñānamiti // (ISk 64)	aviparyayAt viSudDam kevalam utpadyate jQAnam iti // (ISj 64)
        virāgastu rāgapratipakṣabhūto jñānābhyāsopajanito buddheḥ prasādaḥ /	virAgaH tu rAga pratipakza BUtaH jQAna aByAsa upajanitaH budDeH prasAdaH /
