   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   niścityeti tadā prayāṇapaṭahe datte pratasthe tato gatvā kiñcana	niScitya-iti tadA prayANa-pawahe datte pratasTe tatas gatvA kiQcana
   caṇḍikāśramataṭīm adhyāsta tasmin dine // AKad_5.108 //	caNxikASrama-tawIm aDyAsta tasmin dine // AKat-_5.108 //
   tatroddhatadraviḍadhārmikarūpaveṣabhāṣātapaścaraṇasiddhikathāvinodaiḥ /	tatra-udData-dravixa-DArmika-rUpa-veza-BAzA-tapaH-caraNa-sidDi-kaTA-vinodEH /
   nītvā niśāṃ satatamaskhalitaprayāṇaiḥ svalpair dinais	nItvA niSAm satatam-asKalita-prayANEH su-alpEH dinEH-
   tvaritamujjayinīmavāpa // AKad_5.109 //	tvaritam-ujjayinIm-avApa // AKat-_5.109 //
   iti śrīvipaścidvarāgragaṇyācāryabhaṭṭajayantasūnor abhinandasya kṛtau	iti SrI-vipaScit-vara-agra-gaNya-AcArya-Bawwa-ja-yanta-sUnoH aBinandasya kRtO
   kādambarīkathāsāre pañcamaḥ sargaḥ	kAdambarI-kaTA-sAre paQcamaH sargaH
   ṣaṣṭhaḥ sargaḥ	zazWaH sargaH
   atha praviśya nagarīmupāsya pitarau ciram /	aTa praviSya nagarIm-upAsya pitarO ciram /
   śukanāsaṃ ca so 'dhyāsta kumārabhavanaṃ punaḥ // AKad_6.1 //	SukanAsam ca saH aDyAsta kumAra-Bavanam punar // AKat-_6.1 //
   tatra kādambarīdhyānanirataikāgracetasaḥ /	tatra kAdambarI-DyAna-nirata-ekAgra-cetasaH /
   babhūva rataye nāsya kiñcitsthāsnu cariṣṇu ca // AKad_6.2 //	baBUva rataye na-asya kiQcid-sTAsnu carizNu ca // AKat-_6.2 //
   nākarot priyam āhāraṃ nābodhi madhuraṃ rasam /	na-akarot priyam AhAram na-aboDi maDuram rasam /
   na cādriyata vāsāṃsi na siṣeve vilepanam // AKad_6.3 //	na ca-adriyata vAsAMsi na sizeve vilepanam // AKat-_6.3 //
   sārthacyuta ivādhvanyo yūthabhraṣṭa iva dvipaḥ /	sArTa-cyutaH iva-aDvanyaH yUTa-BrazwaH iva dvipaH /
   vāgurāpāśasaṃruddha iva sāraṅgaśāvakaḥ // AKad_6.4 //	vAgurA-pASa-saMrudDaH iva sAraFga-SAvakaH // AKat-_6.4 //
   divā vibhāvarīṃ dhyāyan niśi vāñchan dināgamam /	divA viBAvarIm DyAyan niSi vAQCan dina-Agamam /
   udīcīm eva sāsrākṣo vīkṣamāṇo 'niśaṃ diśam // AKad_6.5 //	udIcIm eva sa-asrAkzaH vIkzamANaH aniSam diSam // AKat-_6.5 //
   keyūrakādihāyātaṃ jñātvā māṃ kiṃ bhajedasau /	keyUrakAt-iha-AyAtam jQAtvA mAm kim Bajet-asO /
   kiṃ vadet pattralekhāṃ vā sāpi kiṃ vocyate tayā // AKad_6.6 //	kim vadet pattra-leKAm vA sA-api kim vA-ucyate tayA // AKat-_6.6 //
   iti naktandinaṃ dhyāyann anavāpitanirvṛtiḥ /	iti naktandinam DyAyan anavApita-nirvRtiH /
   kālaṃ kiyantam apy evaṃ candrāpīḍo 'tyavāhayat // AKad_6.7 //	kAlam kiyantam api evam candrApIxaH atyavAhayat // AKat-_6.7 //
   ākāraḥ saṃvṛtas tv īdṛg asya gūḍhātmano 'bhavat /	AkAraH saMvRtaH tu IdRS asya gUXa-AtmanaH aBavat /
   yathā tāṃ śūnyatāṃ tasya pitarau nādhijagmatuḥ // AKad_6.8 //	yaTA tAm SUnyatAm tasya pitarO na-aDijagmatuH // AKat-_6.8 //
   dineṣv atha vyatīteṣu pattralekhā tadantikam /	dinezu aTa vyatItezu pattra-leKA tad-antikam /
   prāpad balāhakāśvīyanirvṛttapathasauṣṭhavā // AKad_6.9 //	prApat balAhaka-ASvIya-nirvRtta-paTa-sOzWavAH // AKat-_6.9 //
   candrāpīḍo 'pi tāṃ dṛṣṭvā samucchvasitamānasaḥ /	candrApIxaH api tAm dRzwvA samucCvasita-mAnasaH /
   kādambarīm ivāmaṃsta pasparśa ca muhurmuhuḥ // AKad_6.10 //	kAdambarIm iva-amaMsta pasparSa ca muhur-muhur // AKat-_6.10 //
   atha visrabdham aprākṣīd vada kādambarīkathām /	aTa visrabDam aprAkzIt vada kAdambarI-kaTAm /
   kim asmākaṃ smaraty eṣā ruṣitehāgamanena kim // AKad_6.11 //	kim asmAkam smarati ezA ruzita-iha-Agamanena kim // AKat-_6.11 //
   sābhyasūyam ivālokya candrāpīḍam uvāca sā /	sa-aByasUyam iva-Alokya candrApIxam uvAca sA /
   kim etaccintayā deva gurūn ārādhaya sthiram // AKad_6.12 //	kim etat-cintayA deva gurUn ArADaya sTiram // AKat-_6.12 //
   asau hi suprasannena svayaṃ makaraketunā /	asO hi su-prasannena svayam makara-ketunA /
   tvayyarpitā vidhivaśācchrīpatau śrīrivābdhinā // AKad_6.13 //	tvayi-arpitAH viDi-vaSAt-SrIpatO SrIH-iva-abDinA // AKat-_6.13 //
   tāṃ cābhinavabhāvārdrāṃ bālāṃ tarulatām iva /	tAm ca-aBinava-BAva-ArdrAm bAlAm tarulatAm iva /
   tīvre virahadāvāgnau kṣiptavānasi kiṃ vṛthā // AKad_6.14 //	tIvre viraha-dAva-agnO kziptavAn-asi kim vRTA // AKat-_6.14 //
   keyūrakamukhād buddhvāgamanaṃ deva tāvakam /	keyUraka-muKAt budDvA-Agamanam deva tAvakam /
   vajrāśanihatā śālivallarīva vyakampata // AKad_6.15 //	vajra-aSani-hatA SAli-vallarI-iva vyakampata // AKat-_6.15 //
   labdhasthairyāvadan māṃ ca pattralekhe kim īdṛśam /	labDa-sTErya-avadat mAm ca pattra-leKe kim IdRSam /
   yuktam etasya yanmanye rakṣāṃsy api na kurvate // AKad_6.16 //	yuktam etasya yat-manye rakzAMsi api na kurvate // AKat-_6.16 //
   tataḥ prabhṛti niḥśvāsair vardhamānair dinair iva /	tatas praBRti niHSvAsEH varDamAnEH dinEH iva /
   krāntā grīṣmaniśevāsāvakṣīyata śanaiḥ śanaiḥ // AKad_6.17 //	krAntA grIzma-niSA-ivAsa-avakzIyata SanEs SanEs // AKat-_6.17 //
   alabdhakusumāmodāḥ prāgabhyāsādupāgatāḥ /	alabDa-kusuma-AmodAH prAc-aByAsAt-upAgatAH /
   dūrātpariharantyasyāḥ kabarīmadya ṣaṭpadāḥ // AKad_6.18 //	dUrAt-pariharanti-asyAH kabarIm-adya zawpadAH // AKat-_6.18 //
   rodanāruṇitāpāṅge ciraṃ vismṛtakajjale /	rodana-aruNita-apAFge ciram vismRta-kajjale /
   netre mādhuryamutsṛjya gate tasyāḥ kaṣāyatām // AKad_6.19 //	netre mADuryam-utsRjya gate tasyAH kazAya-tAm // AKat-_6.19 //
   ciraṃ pattralatālekhyaṃ vihāya kriyate navam /	ciram pattra-latA-leKyam vihAya kriyate navam /
   maṇḍanaṃ gaṇḍayor aśrukaṇamuktāvalī tayā // AKad_6.20 //	maNxanam gaNxayoH aSru-kaNa-muktA-AvalI tayA // AKat-_6.20 //
   mṛduḥ svabhāvaraktaś ca pravṛddhair asamoṣmabhiḥ /	mRduH svaBAva-raktaH ca pravRdDEH asama-UzmaBiH /
   mlānim ānīyate tasyā niḥśvāsair adharaḥ svaraiḥ // AKad_6.21 //	mlAnim AnIyate tasyAH niHSvAsEH aDaraH svarEH // AKat-_6.21 //
   stanau ca virahe tasyāḥ śokān na hi bahiṣkṛtau /	stanO ca virahe tasyAH SokAt na hi bahizkRtO /
   dāhapratikriyābhyastair hārakarpūracandanaiḥ // AKad_6.22 //	dAha-pratikriyA-aByastEH hAra-karpUra-candanEH // AKat-_6.22 //
   virahajvalanas tasyā lāvaṇyarasanirjharaiḥ /	viraha-jvalanaH tasyAH lAvaNya-rasa-nirJarEH /
   vāḍavaś cābdhinā naiti śamam ity adbhutadvayam // AKad_6.23 //	vAxavaH ca-abDinA na-eti Samam iti adButa-dvayam // AKat-_6.23 //
   muhuḥ sarasi haṃsīva mṛgīvopavane muhuḥ /	muhur sarasi haMsI-iva mRgI-iva-upavane muhur /
   puline cakravākīva muhur luṭhati vihvalā // AKad_6.24 //	puline cakravAkI-iva muhur luWati vihvalAH // AKat-_6.24 //
   muhur bhavantam āliṅgya puraḥ saṃkalpakalpitam /	muhur Bavantam AliFgya puras saMkalpa-kalpitam /
   śūnye bhujalate vīkṣya vilakṣā patati kṣitau // AKad_6.25 //	SUnye Buja-late vIkzya vilakzA patati kzitO // AKat-_6.25 //
   mā gād ayam upālabdhaḥ saṃkalpād api dūrataḥ /	mA gAt ayam upAlabDaH saMkalpAt api dUratas /
   ity upālabhate na tvāṃ bhīteva manasāpi sā // AKad_6.26 //	iti upAlaBate na tvAm BItA-iva manasA-api sA // AKat-_6.26 //
   tvadākāramayaṃ dhyānaṃ tvadgotrapravaṇā giraḥ /	tvad-AkAra-mayam DyAnam tvad-gotra-pravaNAH giraH /
   tvadgātrakīlitā dṛṣṭis tasyāḥ samprati vartate // AKad_6.27 //	tvad-gAtra-kIlitA dRzwiH tasyAH samprati vartate // AKat-_6.27 //
   kiyatī varṇyate tasyāḥ pareṇa virahavyathā /	kiyatI varNyate tasyAH pareNa viraha-vyaTA /
   svasaṃvedanagamyā hi sā tayaivānubhūyate // AKad_6.28 //	sva-saMvedana-gamyA hi sA tayA-eva-anuBUyate // AKat-_6.28 //
   kim apy ākhyātukāmeva bahuśaḥ sphuritādharā /	kim api AKyAtukAm-A-iva bahuSas sPurita-aDarAH /
   hṛdayasthena kenāpi guruṇeva niṣidhyate // AKad_6.29 //	hRdaya-sTena kena-api guruNA-iva niziDyate // AKat-_6.29 //
   bhūmau viveṣṭamānāṅgī bhujaṅgīva kadāpy asau /	BUmO vivezwamAna-aFgI BujaFgI-iva kadApi asO /
   diśo vīkṣya madutsaṅge nidhāya mukham abravīt // AKad_6.30 //	diSaH vIkzya mad-utsaFge niDAya muKam abravIt // AKat-_6.30 //
   uttiṣṭhānaya taṃ gatvā jīvantīṃ māṃ yadīcchasi /	uttizWAnaya tam gatvA jIvantIm mAm yadi-icCasi /
   ahaṃ gantum aśaktā hi sudūram idam antaram // AKad_6.31 //	aham gantum aSaktAH hi su-dUram idam antaram // AKat-_6.31 //
   sthitāyāṃ tvayi jīvāmi tvatsparśena yathā tathā /	sTitAyAm tvayi jIvAmi tvad-sparSena yaTA taTA /
   gatāyāṃ tu ciraṃ kālaṃ na sahante mamāsavaḥ // AKad_6.32 //	gatAyAm tu ciram kAlam na sahante mama-asavaH // AKat-_6.32 //
   iti śrutvā ca dṛṣṭvā ca samāyātāsmy ataḥ param /	iti SrutvA ca dRzwvA ca samAyAta-asmi atas param /
   devaḥ pramāṇam ity uktvā rudatī virarāma sā // AKad_6.33 //	devaH pramANam iti uktvA rudatI virarAma sA // AKat-_6.33 //
   candrāpīḍas tad ākarṇya gatasmṛtir ivābhavat /	candrApIxaH tat AkarNya gata-smRtiH iva-aBavat /
   labdhasmṛtiś ciraṃ dadhyau gamane hetum ātmanaḥ // AKad_6.34 //	labDa-smRtiH ciram daDyO gamane hetum AtmanaH // AKat-_6.34 //
   dineṣv atha vyatīteṣu vaktuṃ kādambarīdaśām /	dinezu aTa vyatItezu vaktum kAdambarI-daSAm /
   āgāt keyūrako 'py āśu dīrghādhvaśrāntavāhanaḥ // AKad_6.35 //	AgAt keyUrakaH api ASu dIrGa-aDva-SrAnta-vAhanaH // AKat-_6.35 //
   sa cojjayinyā vibhavaṃ praviśan vīkṣya vismitaḥ /	sa ca-ujjayinyAH viBavam praviSan vIkzya vismitaH /
   sthāne nanu mano lagnaṃ svāminyā ity amanyata // AKad_6.36 //	sTAne nanu manaH lagnam svAminyA iti amanyata // AKat-_6.36 //
   praviśya dadṛśe tena candrāpīḍaḥ kṛśākṛtiḥ /	praviSya dadRSe tena candrApIxaH kRSa-AkRtiH /
   cakravāka ivaikākī priyāvirahavihvalaḥ // AKad_6.37 //	cakravAkaH iva-ekAkI priyA-viraha-vihvalaH // AKat-_6.37 //
   dadhatyā pārśvavartinyā cāmaraṃ pattralekhayā /	daDatyA pArSva-vartinyA cAmaram pattra-leKayA /
   saṃvījyamānaḥ paryaṅkaniṣaṇṇaglānavigrahaḥ // AKad_6.38 //	saMvIjyamAnaH paryaFka-nizaNNa-glAna-vigrahaH // AKat-_6.38 //
   praṇipatyopaviṣṭo 'sau gāḍhaṃ śirasi paspṛśe /	praNipatya-upavizwaH asO gAXam Sirasi paspRSe /
   kurvatā kuśalapraśnaṃ candrāpīḍena sādaram // AKad_6.39 //	kurvatA kuSala-praSnam candra-ApIxena sa-Adaram // AKat-_6.39 //
   tataḥ kādambarīvārtāṃ pṛṣṭaḥ keyūrako 'munā /	tatas kAdambarI-vArtAm pRzwaH keyUrakaH amunA /
   pattralekhāmukhaṃ vīkṣya saṃkṣiptam idam abravīt // AKad_6.40 //	pattra-leKA-muKam vIkzya saMkziptam idam abravIt // AKat-_6.40 //
   ukto 'si nānayā kiñcid uktaś cet kim iha sthitaḥ /	uktaH asi na-anayA kiQcid uktaH ced kim iha sTitaH /
   uktaś ceha sthitaś cāsi kṛtam āgamanena me // AKad_6.41 //	uktaH ca-iha sTitaH ca-asi kRtam Agamanena me // AKat-_6.41 //
   tathāpi vada saṃdeśam iti tena tu coditaḥ /	taTA-api vada saMdeSam iti tena tu coditaH /
   punaḥ keyūrakaḥ prāha na hi vijñāpyase mṛṣā // AKad_6.42 //	punar keyUrakaH prAha na hi vijQApyase mRzA // AKat-_6.42 //
   kathaṃ jīvatsu yuṣmāsu viraho hanti mām iti /	kaTam jIvatsu yuzmAsu virahaH hanti mAm iti /
   tasyāḥ sākūtayā dṛṣṭyā visṛṣṭo 'smi na tadgirā // AKad_6.43 //	tasyAH sa-akUtayA dRzwyA visRzwaH asmi na tad-girA // AKat-_6.43 //
   kim atra bahunoktena tathāsyā virahavyathā /	kim atra bahunA-uktena taTA-asyAH viraha-vyaTA /
   adyāpi jīvatīty atra yathā dolāyate manaḥ // AKad_6.44 //	adya-api jIvati-iti atra yaTA dolAyate manaH // AKat-_6.44 //
   tatkathābhis tathā sthitvā tasminn atha dine ciram /	tad-kaTABiH taTA sTitvA tasmin aTa dine ciram /
   candrāpīḍaḥ sukhāvāsaṃ keyūrakam akārayat // AKad_6.45 //	candrApIxaH suKa-AvAsam keyUrakam akArayat // AKat-_6.45 //
   na rākṣaso na cāṇḍālo na kirātaś ca yady aham /	na rAkzasaH na cANxAlaH na kirAtaH ca yadi aham /
   acchodasarasas tīraṃ prāptaṃ māṃ vettha sarvathā // AKad_6.46 //	acCodasa-rasaH tIram prAptam mAm vetTa sarvaTA // AKat-_6.46 //
   anyedyur iti saṃdiśya sahitaṃ pattralekhayā /	anyedyus iti saMdiSya sahitam pattra-leKayA /
   keyūrakam asau ratnaiḥ prāhiṇot kṛtamaṇḍanam // AKad_6.47 //	keyUrakam asO ratnEH prAhiNot kRta-maNxanam // AKat-_6.47 //
   tayos tu gatayor āsta sutarāṃ khinnamānasaḥ /	tayoH tu gatayoH Asta sutarAm Kinna-mAnasaH /
   gamanāya dhiyā kiñcin nimittam anusaṃdadhat // AKad_6.48 //	gamanAya DiyA kiQcid nimittam anusaMdaDat // AKat-_6.48 //
   śuśrāvātha niyuktebhyaḥ skandhāvāram upāgatam /	SuSrAva-aTa niyukteByaH skanDAvAram upAgatam /
   yojanadvayamātraṃ ca punaḥ kṛtaniveśanam // AKad_6.49 //	yojana-dvaya-mAtram ca punar kRta-niveSanam // AKat-_6.49 //
   vaiśampāyanato lapsye kiñcit kāraṇam ity asau /	vESampAyanataH lapsye kiQcid kAraNam iti asO /
   pratyudgantum agād enaṃ kaṭakaṃ pitur ājñayā // AKad_6.50 //	pratyudgantum agAt enam kawakam pituH AjQayA // AKat-_6.50 //
   tatra rājakam ālokya balāhakaniveditam /	tatra rAjakam Alokya balAhaka-niveditam /
   kva vaiśampāyanāvāsa iti senānyam abhyadhāt // AKad_6.51 //	kva vESampAyana-AvAsaH iti senA-anyam aByaDAt // AKat-_6.51 //
   balāhakas tv adhodṛṣṭir ullikhan medinīṃ muhuḥ /	balAhakaH tu aDas-dRzwiH ulliKan medinIm muhur /
   na vaiśampāyano 'treti sannakaṇṭham abhāṣata // AKad_6.52 //	na vESampAyanaH atra-iti sanna-kaNWam aBAzata // AKat-_6.52 //
   tato 'vatīrya turagādupaviśya taror adhaḥ /	tatas avatIrya turagAt-upaviSya taroH aDas /
   hā vayasyeti vilapanprāvartata sa roditum // AKad_6.53 //	hA vayasyA-iti vilapan-prAvartata sa roditum // AKat-_6.53 //
   balāhako nipatyātha candrāpīḍasya pādayoḥ /	balAhakaH nipatya-aTa candrApIxasya pAdayoH /
   deva maivaṃ kṛthāḥ so 'sti jīvann evety avocata // AKad_6.54 //	deva mA-evam kRTAH saH asti jIvan eva-iti avocata // AKat-_6.54 //
   candrāpīḍas tu taṃ prāha naiva śraddhīyate maya /	candrApIxaH tu tam prAha na-eva SradDIyate mayaH /
   na vaiśampāyano jīvan muhūrtaṃ māṃ vimuñcati // AKad_6.55 //	na vESampAyanaH jIvan muhUrtam mAm vimuQcati // AKat-_6.55 //
   iti sambhrāntacittaṃ taṃ punar āha balāhakaḥ /	iti samBrAnta-cittam tam punar Aha balAhakaH /
   śrūyatāṃ deva tadvṛttaṃ yathāsāv iha nāgataḥ // AKad_6.56 //	SrUyatAm deva tad-vRttam yaTA-asO iha na-AgataH // AKat-_6.56 //
   deva tādṛśam ādiśya prasthitaṃ tvām anuvrajat /	deva tAdRSam AdiSya prasTitam tvAm anuvrajat /
   tataḥ pratinivṛtto 'sau tatraivāsta yathāsthiti // AKad_6.57 //	tatas pratinivRttaH asO tatra-eva-asta yaTAsTiti // AKat-_6.57 //
   aparedyur athotthāya vidhāya prakṛtāḥ kriyāḥ /	aparedyus aTa-utTAya viDAya prakRtAH kriyAH /
   vinodayitum ātmānaṃ sa cacāra vanasthalīḥ // AKad_6.58 //	vinodayitum AtmAnam sa cacAra vanasTalIH // AKat-_6.58 //
   tatra sapratyabhijñānaṃ sthānaṃ sthānaṃ nirūpayan /	tatra sa-pratyaBijQAnam sTAnam sTAnam nirUpayan /
   kiñcin naṣṭam ivānveṣṭum aicchad uttrastalocanaḥ // AKad_6.59 //	kiQcid nazwam iva-anvezwum EcCat uttrasta-locanaH // AKat-_6.59 //
   tato 'stābhimukhe bhānāv asmābhiḥ so 'bhyadhīyata /	tatas asta-aBimuKe BAnO asmABiH saH aByaDIyata /
   sthīyatām adya śiṣṭās tu śvo draṣṭāsi vanasthalīḥ // AKad_6.60 //	sTIyatAm adya SizwAH tu Svas drazwAsi vanasTalIH // AKat-_6.60 //
   athāsau vicarann eva sābhyasūyam ivāvadat /	aTa-asO vicaran eva sa-aByasUyam iva-avadat /
   yāta yūyaṃ na gantavyaṃ yāvajjīvam ito mayā // AKad_6.61 //	yAta yUyam na gantavyam yAvajjIvam itas mayA // AKat-_6.61 //
   sa bahūni dināny āsta tatraiva vicaran vane /	sa bahUni dinAni Asta tatra-eva vicaran vane /
   na ca kenāpyupāyena śaktaś calayituṃ tataḥ // AKad_6.62 //	na ca kena-api-upAyena SaktaH calayitum tatas // AKat-_6.62 //
   kṛtaprāyopaveśena pādayoḥ patatāniśam /	kRta-prAya-upaveSena pAdayoH patata-aniSam /
   iyatā rājacakreṇa nārthito 'py atyajad graham // AKad_6.63 //	iyatA rAja-cakreNa na-arTitaH api atyajat graham // AKat-_6.63 //
   tatas tatra ciraṃ sthitvā kāryaśeṣam apaśyatā /	tatas tatra ciram sTitvA kArya-Sezam apaSyatA /
   āyātam iha sainyena tvaṃ pramāṇam ataḥ param // AKad_6.64 //	AyAtam iha sEnyena tvam pramANam atas param // AKat-_6.64 //
   iti śrutvā nipatitaḥ śokavismayasaṃkaṭe /	iti SrutvA nipatitaH Soka-vismaya-saMkawe /
   candrāpīḍastathaivāsta tarumūle kṛtāsanaḥ // AKad_6.65 //	candrApIxaH-taTA-eva-asta taru-mUle kRta-AsanaH // AKat-_6.65 //
   atha vārtāṃ viditvemāṃ sāmātyāntaḥpuro nṛpaḥ /	aTa vArtAm viditvA-imAm sa-amAtya-antaHpuraH nRpaH /
   anapekṣitavṛttāntas tam evoddeśam āgamat // AKad_6.66 //	anapekzita-vRttAntaH tam eva-uddeSam Agamat // AKat-_6.66 //
   tatra kṣaṇam iva sthitvā svayaṃ pṛṣṭvā balāhakam /	tatra kzaNam iva sTitvA svayam pRzwvA balAhakam /
   adhikṣipann iva prāha candrāpīḍaṃ kṣitīśvaraḥ // AKad_6.67 //	aDikzipan iva prAha candra-ApIxam kzitISvaraH // AKat-_6.67 //
   nūnamutpādito manyur avinīta tvayāsya saḥ /	nUnam-utpAditaH manyuH avinIta tvayA-asya saH /
   yenāntaḥsphuratā so 'dya tvāṃ vihāya vanaṃ śritaḥ // AKad_6.68 //	yena-antar-sPuratA saH adya tvAm vihAya vanam SritaH // AKat-_6.68 //
   viyuktau na purā dṛṣṭau yuvāṃ kṣaṇam api kvacit /	viyuktO na purA dRzwO yuvAm kzaNam api kvacid /
   kiṃ jātamadhunā yena tvaṃ gṛhe sa tapovane // AKad_6.69 //	kim jAta-maDunA yena tvam gRhe sa tapaH-vane // AKat-_6.69 //
   vinā na hi nimittena śakyā soḍhuṃ garīyasī /	vinA na hi nimittena SakyA soXum garIyasI /
   mātāpitṛsuhṛdbandhudeśavittaviyogitā // AKad_6.70 //	mAtA-pitR-suhRd-banDu-deSa-vitta-viyogi-tAH // AKat-_6.70 //
   ity uktavati bhūpāle śukanāsas tataḥ param /	iti uktavati BUpAle SukanAsaH tatas param /
   antaḥ sphuritaśoko 'pi stambhitakṣobham abhyadhāt // AKad_6.71 //	antar sPurita-SokaH api stamBita-kzoBam aByaDAt // AKat-_6.71 //
   kim etad avicāryaiva vastutattvam atarkayan /	kim etat avicArya-eva vastu-tattvam atarkayan /
   śaṅkānumānamātreṇa kṛtadhīr api bhāṣase // AKad_6.72 //	SaFkA-anumAna-mAtreNa kRta-DIH api BAzase // AKat-_6.72 //
   alātavṛṣṭir indor vā kṣīrād vā kaṇṭakodgamaḥ /	alAta-vRzwiH indoH vA kzIrAt vA kaNwaka-udgamaH /
   tasya manyuḥ kumārād vā kasya sambhāvanāspadam // AKad_6.73 //	tasya manyuH kumArAt vA kasya samBAvana-Aspadam // AKat-_6.73 //
   pāpaḥ sa eva durjātaḥ suciraṃ pāṭhitaḥ śukaḥ /	pApaH saH eva durjAtaH su-ciram pAWitaH SukaH /
   yatrāmṛtaraso 'py uptaḥ phalitaḥ kālakūṭavat // AKad_6.74 //	yatra-amRta-rasaH api uptaH PalitaH kAlakUwa-vat // AKat-_6.74 //
   sa tvaṃ kumāra sarvasyāḥ pṛthivyā ekajīvitam /	sa tvam kumAra sarvasyAH pRTivyAH eka-jIvitam /
   durātmano na tasyārthe śokam udvoḍhum arhasi // AKad_6.75 //	durAtmanaH na tasya-arTe Sokam udvoXum arhasi // AKat-_6.75 //
   tasmin viratavākye tu patitvā pādayoḥ pituḥ /	tasmin virata-vAkye tu patitvA pAdayoH pituH /
   sāśrukaṇṭham athovāca candrāpīḍaḥ kṛtāñjaliḥ // AKad_6.76 //	sa-aSru-kaNWam aTa-uvAca candrApIxaH kRtAQjaliH // AKat-_6.76 //
   tāta śaṅkitadoṣasya prāyaścittam idaṃ mama /	tAta SaFkita-dozasya prAyaScittam idam mama /
   gatvā tam ānayāmīha tvam anujñātum arhasi // AKad_6.77 //	gatvA tam AnayAmi-iha tvam anujQAtum arhasi // AKat-_6.77 //
   tam āgatam ihālokya pṛṣṭvā śapathapūrvakam /	tam Agatam iha-Alokya pRzwvA SapaTa-pUrvakam /
   tato guṇaṃ vā doṣaṃ vā krameṇa mama vetsyasi // AKad_6.78 //	tatas guNam vA dozam vA krameNa mama vetsyasi // AKat-_6.78 //
   tatrasthaṃ tam anānīya mayaitat svagṛhaṃ punaḥ /	tatrasTam tam anAnIya mayA-etat sva-gRham punar /
   na praveṣṭavyam ity eṣa gṛhyatāṃ mama niścayaḥ // AKad_6.79 //	na pravezwavyam iti eza gRhyatAm mama niScayaH // AKat-_6.79 //
   tathoktavati tasmiṃs tu rājā bāṣpākulekṣaṇaḥ /	taTA-uktavati tasmin tu rAjA bAzpa-Akula-IkzaNaH /
   apaśyan mantriṇo vaktraṃ sa ca tatra bahūktavān // AKad_6.80 //	apaSyat mantriNaH vaktram sa ca tatra bahu-uktavAn // AKat-_6.80 //
   sarvopāyaprayogeṇa pitrā tena ca mantriṇā /	sarva-upAya-prayogeNa pitrA tena ca mantriNA /
   candrāpīḍo niruddho 'pi nācalan niścayāt tataḥ // AKad_6.81 //	candrApIxaH nirudDaH api na-acalan niScayAt tatas // AKat-_6.81 //
   siñcantī bāṣpadhārābhir maulim asya manoramā /	siQcantI bAzpa-DArABiH mOlim asya manoramA /
   karuṇaṃ vilapantī ca ciram enam abodhayat // AKad_6.82 //	karuNam vilapantI ca ciram enam aboDayat // AKat-_6.82 //
   tvayi sthite nijotsaṅgasthitaṃ paśyāmi putrakam /	tvayi sTite nija-utsaFga-sTitam paSyAmi putrakam /
   nūnam andhībhavāmy eva tvayi putra gate punaḥ // AKad_6.83 //	nUnam anDIBavAmi eva tvayi putra gate punar // AKat-_6.83 //
   itthaṃ vilāsavatyā ca tayā ca karuṇoktibhiḥ /	itTam vilAsavatyA ca tayA ca karuNA-uktiBiH /
   ciram ārdrīkṛto 'pyeṣa na jahāti sma niścayam // AKad_6.84 //	ciram ArdrIkRtaH api-eza na jahAti sma niScayam // AKat-_6.84 //
   tato 'śrubharasaṃruddhagadgadākṣarayā girā /	tatas aSru-Bara-saMrudDa-gadgada-akzarayA girA /
   yathā jānāsi putreti katham apy avadan nṛpaḥ // AKad_6.85 //	yaTA jAnAsi putra-iti kaTam api avadat nRpaH // AKat-_6.85 //
   dattānujñas tataḥ pitrā praṇamya sakalān gurūn /	datta-anujQaH tatas pitrA praNamya sakalAn gurUn /
   śrutvā ca yatnasaṃruddhabāṣpadhārās tadāśiṣaḥ // AKad_6.86 //	SrutvA ca yatna-saMrudDa-bAzpa-DArAH tad-ASizaH // AKat-_6.86 //
