   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   na syād deśāntareṣv iti cet / Jaim_1,3.20 /	na syAt deSa-antarezu iti ced / JEm_1,3.20 /
   syādyogākhyā hi māthuravat / Jaim_1,3.21 /	syAt-yoga-AKyA hi mATura-vat / JEm_1,3.21 /
   karmadharmo vā pravaṇavat / Jaim_1,3.22 /	karma-DarmaH vA pravaNa-vat / JEm_1,3.22 /
   tulyaṃ tu kartṛdharmeṇa / Jaim_1,3.23 /	tulyam tu kartR-DarmeNa / JEm_1,3.23 /
   START MJaiNy 1,3.26	START MJENi 1,3.26
   aṣṭamādhikaraṇamācarayati --	azwama-aDikaraNam-Acarayati --
   holākādervyavasthā syātsādhāraṇyamutāgrimaḥ /	holAka-AdeH-vyavasTA syAt-sADa-araNya-muta-agrimaH /
   deśabhedena dṛṣṭatvātsāmyaṃ mūlasamatvataḥ // MJaiNy_1,3.26 //	deSa-Bedena dRzwa-tvAt-sAmyam mUla-samatvataH // MJENi-_1,3.26 //
   holākādiśiṣṭācārāṇāṃ hārītādismṛtiviśeṣāṇāṃ cānuṣṭhātṛpuruṣabhedena	holAka-Adi-Sizwa-AcArANAm hArIta-Adi-smRti-viSezANAm ca-anuzWAtR-puruza-Bedena
   vyavasthitaṃ prāmāṇyam |	vyavasTitam prAmANyam |
   kutaḥ |	kutas |
   deśaviśeṣe teṣāṃ dṛṣṭatvāt |	deSa-viSeze tezAm dRzwa-tvAt |
   holākādayaḥ prācyaireva kriyante |	holAka-AdayaH prAcyEH-eva kriyante |
   vasantotsavo holākā |	vasanta-utsavaH holAkAH |
   āhnīnaibukādayo dākṣiṇātyai svasvakulāgataṃ	AhnI-nEbuka-AdayaH dAkziNAtyE sva-sva-kula-Agatam
   karañjārkādisthāvaradevatāpūjādikamāhnīnaibukaśabdenocyate |	karaQja-arka-Adi-sTAvara-devatA-pUjA-Adika-mAhnI-nEbuka-Sabdena-ucyate |
   udvṛṣabhayajñādaya udīcyaiḥ |	udvRzaBa-yajQa-AdayaH udIcyEH |
   jyeṣṭhamāsasya paurṇamāsyāṃ balīvardānabhyarcya dhāvayanti so	jyezWa-mAsasya pOrNamAsyAm balIvardAn-aByarcya DAvayanti saH-
   'yamudvṛṣabhayajñaḥ |	ayam-udvRza-BayajQaH |
   evaṃ hārītādismṛtiḥ kācitkvaciddeśaviśeṣe dṛśyate |	evam hArIta-Adi-smRtiH kAcid-kvacid-deSa-viSeze dRSyate |
   tasmādvyavasthitaṃ prāmāṇyamiti cet |	tasmAt-vyavasTitam prAmANyam-iti ced |
   maivam |	mA-evam |
   tanmūlatvenānumitasya vedasya sarvasādhāraṇatvena teṣāmapi	tad-mUla-tvena-anumitasya vedasya sarva-sADAraNa-tvena tezAm-api
   sarvasādhāraṇatvāt || MJaiNyC_1,2.26 ||	sarva-sADAraNa-tvAt || MJENyC_1,2.26 ||
   START MJaiNy 1,3.27	START MJENi 1,3.27
   atraiva gurumatamāha -	atra-eva guru-matam-Aha -
   prācyādipadayuktāyāḥ śruteranumitau pade /	prAcI-a-Adi-pada-yuktAyAH SruteH-anumitO pade /
   arthābodhādamātvaṃ cenna sāmānyāmumānataḥ // MJaiNy_1,3.27 //	arTa-aboDAt-amAtvam ced-na sAmAnyAm-umAnataH // MJENi-_1,3.27 //
   prācyādibhirvyavasthayā holākādiṣvanuṣṭhīyamāneṣu tanmūlaśrutirapi	prAcI-AdiBiH-vyavasTayA har-lAka-Adizu-anuzWIyamAnezu tad-mUla-SrutiH-api
   prācyādipadayuktaivānumātavyā |	prAcI-a-Adi-pada-yuktA-eva-anumAtavyA |
   tatra prācyādipadasyārtho na budhyate |	tatra prAcI-a-Adi-padasya-arTaH na buDyate |
   ye puruṣāḥ kañcitkālaṃ prācyāṃ nivasanti , ta eva kālāntare pratīcyāṃ	ye puruzAH kaQcid-kAlam prAcyAm nivasanti , te eva kAla-antare pratIcyAm
   nivasanta upalabhyante |	nivasantaH upalaByante |
   tatra śrautaprācyādipadasyārthābodhādapramāṇaṃ śrutiriti cet |	tatra SrOta-prAcya-Adi-padasya-arTAboDAt-apramANam SrutiH-iti ced |
   maivam |	mA-evam |
   anuṣṭhānasāmānyasya mūlaśrutikalpakatvāt |	anuzWAna-sAmAnyasya mUla-Sruti-kalpaka-tvAt |
   ataḥ prācyādipadarāhitye satyarthabodhādanumitā śrutiḥ pramāṇam ||	atas prAcI-a-Adi-pada-rAhitye sati-arTa-boDAt-anumitA SrutiH pramANam ||
   MJaiNyC_1,2.27 ||	MJENyC_1,2.27 ||
   (navame sādhupadaprayuktyadhikaraṇe sūtrāṇi 24 - 29 )	(navame sADu-pada-prayukti-aDikaraNe sUtrANi 24  29 )
   prayogotpatyaśāstratvāc chabdeṣu na vyavasthā syāt / Jaim_1,3.24 /	prayoga-utpatya-SAstra-tvAt Sabdezu na vyavasTA syAt / JEm_1,3.24 /
   śabde prayatnaniṣpatter aparādhasya bhāgitvam / Jaim_1,3.25 /	Sabde prayatna-nizpatteH aparADasya BAgi-tvam / JEm_1,3.25 /
   anyāyaś cānekaśabdatvam / Jaim_1,3.26 /	anyAyaH ca-aneka-Sabda-tvam / JEm_1,3.26 /
   tatra tattvam abhiyogaviśeṣāt syāt / Jaim_1,3.27 /	tatra tattvam aBiyoga-viSezAt syAt / JEm_1,3.27 /
   tadaśaktiś cānurūpatvāt / Jaim_1,3.28 /	tad-aSaktiH ca-anurUpa-tvAt / JEm_1,3.28 /
   eka deśatvāc ca vibhāktivyatyaye syāt / Jaim_1,3.29 /	eka deSa-tvAt ca viBAkti-vyatyaye syAt / JEm_1,3.29 /
   START MJaiNy 1,3.28-29	START MJENi 1,3.28-29
   navamādhikaraṇamāracayati -	navama-aDikaraNam-Aracayati -
   gogāvyādiṣu sādhutve prayoge vā na kaśrcana /	go-gAvI-a-Adizu sADu-tve prayoge vA na kaSrcanaH /
   niyamo 'trāsti bā nāsti vyākṛtermūlavarjanāt // MJaiNy_1,3.28 //	niyamaH atra-asti bA na-asti vyAkRteH-mUlavarjanAt // MJENI-_1,3.28 //
   sādhūneva prayuñjīta gavādyā eva sādhavaḥ /	sADUneva prayuQjIta gavA-AdyAH eva sADavaH /
   ityasti niyamaḥ pūrvapūrvavyākṛtimūlataḥ // MJaiNy_1,3.29 //	iti-asti niyamaH pUrva-pUrva-vyAkRti-mUlataH // MJENi-_1,3.29 //
   vyākaraṇābhijñaiḥ sāsnādimadvastuni 'gauḥ ' ityeṣa śabdaḥ prayujyate |	vyAkaraNa-aBijQEH sAsnAdimat-vastuni agOH a iti-eza SabdaH prayujyate |
   tadanabhijñaistu svasvadeśīyabhāṣāmanusṛtya gāvī, goṇī, gopotalikā,	tad-anaBijQEH-tu sva-sva-deSIya-BAzAm-anusRtya gAvI, goNI, gopotalikA,
   ityevamādayaḥ śabdaḥ prayujyante |	iti-evamAdayaH SabdaH prayujyante |
   tatra - 'īdṛṣa eva śabdaḥ sādhuḥ, nedṛśaḥ ' -- ityasminnarthe niyāmakaṃ	tatra  aIdRzaH eva SabdaH sADuH, na-IdRSaH a - iti-asmin=-arTe niyAmakam
   nāsti |	na-asti |
   tathā yoge 'pi tannāsti - ' īdṛśa eva śabdaḥ prayoktavyaḥ , nedṛśaḥ ' iti	taTA yoge api tat-na-asti  a IdRSaH eva SabdaH prayoktavyaH , na-IdRSaH a iti
   na tāvadvṛddhavyavahāro niyāmakaḥ |	na tAvat-vRdDavyavahAraH niyAmakaH |
   tasya sarveṣu śabdeṣu samānatvāt |	tasya sarvezu Sabdezu samAna-tvAt |
   nāpi vyākaraṇasmṛtirniyāmikā |	na-api vyAkaraNa-smRtiH-niyAmikA |
   tasyā nirmūlatvenāpramāṇatvāt |	tasyAH nirmUla-tvena-apramANa-tvAt |
   na hyabhiyuktaprayogastanmūlama |	na hi-aBiyukta-prayogaH-tad-mUlama |
   anyonyāśrayatvaprasaṅgāt |	anyonya-ASraya-tva-prasaFgAt |
   vyākaraṇasmṛteḥ prāmāṇyasiddhau tadanusāreṇa prayoktṝṇāmamiyuktatvasiddhiḥ	vyAkaraNa-smRteH prAmANya-sidDO tad-anusAreNa prayoktLNAm-ami-yukta-tva-sidDiH
   tatsiddhau tatprayogamūlatayā vyākaraṇasya prāmāṇyam |	tad-sidDO tad-prayoga-mUla-tayA vyAkaraNasya prAmANyam |
   tasmānnāsti sādhutvaprayogayorniyamaḥ , iti prāpte --	tasmAt-na-asti sADu-tva-prayogayoH-niyamaH , iti prApte --
   brūmaḥ- ' sādhūneva prayuñjati, na tvapabhraṃśān ' ityasti niyamaḥ |	brUmaH a sADUneva prayuQjati, na tu-apaBraMSAn a iti-asti niyamaH |
   ubhayatra krameṇa doṣaguṇavādinorvedavākyayoḥ śravaṇāt |	uBayatra krameNa doza-guNa-vAdinoH-veda-vAkyayoH SravaNAt |
   "ekaḥ śabdaḥ samyagjñātaḥ suprayuktaḥ svarge loke kāmadhugbhavati"iti	"ekaH SabdaH samyak-jQAtaH su-prayuktaH svarge loke kAmaDugBavati"iti
   guṇavākyam |	guNa-vAkyam |
   "tasmādbrāhmaṇena na mlecchitavai ' nāpabhāṣitavai , mleccho ha vā eṣa	"tasmAt-brAhmaNena na mlecCitavE a na-apaBAzita-vE , mlecCaH ha vE eza
   yadapaśabdaḥ"iti doṣavākyam |	yat-apaSabdaH"iti doza-vAkyam |
   yathā prayoge niyamastathā sādhutve 'pi niyamo draṣṭavyaḥ - 'gavādyā eva	yaTA prayoge niyamaH-taTA sADu-tve api niyamaH drazwavyaH  agavAdyAH eva
   sādhavaḥ, na tu gāvyādayaḥ ' iti |	sADavaH, na tu gAvi-AdayaH a iti |
   asminnarthe vyākaraṇasya niyāmakatvāt |	asmin=-arTe vyAkaraNasya niyAmaka-tvAt |
   na ca nirmūlatvam , pūrvapūrvavyākaraṇasya tanmūlatvāt |	na ca nirmUla-tvam , pUrva-pUrva-vyAkaraNasya tad-mUla-tvAt |
   etadevābhipretyoktam - ' tatra	etat-eva-aBipretya-uktam  a tatra
   yūpādhikaraṇavadvyākaraṇaparamparānāditvādanupālambhaḥ ' iti vyākaraṇa	yUpa-aDikaraNa-vat-vyAkaraNa-paramparA-anAdi-tvAt-anupAlamBaH a iti vyAkaraNa
   prāmāṇyaṃ vedenaiva sākṣādupanyastam |	prAmANyam vedena-eva sAkzAt-upanyastam |
   tathā'cārthavaṇikā āmananti -"dve vidye veditavye iti ha sma yadbrahmavido	taTA-aca-arTavaNikAH Amananti -"dve vidye veditavye iti ha sma yat-brahma-vidaH-
   vadanti parā caivāparā ca |	vadanti parA ca-eva-aparA ca |
   tatrāparā - ṛgvedo yajurvedaḥ sāmavedo 'tharvavedaḥ śikṣā kalpo vyākaraṇaṃ	tatra-aparA  RgvedaH yajurvedaH sAmavedaH aTarvavedaH SikzA kalpaH vyAkaraNam
   niruktaṃ chando jyotiṣama"iti |	niruktam CandaH jyotizama"iti |
   taittirīyakabrāhmaṇe 'pi vyākaraṇasyopādeyatā śrūyate - 'vāgvai	tEttirIyaka-brAhmaNe api vyAkaraNasya-upAdeya-tA SrUyate  avAc-vE
   parācyavyākṛtāvadat |	parAcyavyAkRta-avadat |
   te devā indramabruvan - 'imāṃ no vācaṃ vyākuru, iti tāmindro madhyato	te devAH indram-abruvan  aimAm naH vAcam vyAkuru, iti tAm-indraH maDyatas-
   'pakramya vyākarot |	apakramya vyAkarot |
   tasmādiyaṃ vyākṛtā vāgudyate ' iti |	tasmAt-iyam vyAkRtA vAc-udyate a iti |
   vyākartāraśrca pāṇinikātyāyanapatañjalayo manvādisamānāḥ |	vyAkartAra-Srca pANinikAtyAyana-pataQjalayaH manu-Adi-samAnAH |
   tasmātsādhūnāmeva prayoge gavādīnāmeva sādhutve vyākaraṇasmṛtiḥ pramāṇam	tasmAt-sADUnAm-eva prayoge gavA-AdInAm-eva sADu-tve vyAkaraNa-smRtiH pramANam
   || MJaiNyC_1,2.28-29 ||	|| MJa-ENyC_1,2.28-29 ||
   START MJaiNy 1,3.30	START MJENi 1,3.30
   atraiva gurumatamāha -	atra-eva guru-matam-Aha -
   aśrvālambhanaśāstrasya dantyatālavyasaṃśayāt /	aSru-AlamBana-SAstrasya dantya-tAla-vyasaMSayAt /
   amātve 'dantyanirṇītirāptoktavyākṛterbalāt // MJaiNy_1,3.30 //	amAtve adanti-a-nirNItiH-Apta-ukta-vyAkRteH-balAt // MJENi-_1,3.30 //
   "aśrvamālabheta"ityatrākāravakārayormadhyavartino varṇasya dantyatve '	"aSrvamAla-Beta-"iti-atra-AkAra-vakArayoH-maDya-vartinaH varNasya dantya-tve a
   svaṃ dhanam , tadrahitaṃ daridramālabheta' ityartho bhavati |	svam Danam , tat-rahitam daridra-mAla-Beta-a iti-arTaH Bavati |
   tālavyatve turaṅgamavācitvam |	tAlavya-tve turaFgam-avAci-tvam |
   tataḥ saṃśayādaprāmāṇyamiti cet |	tatas saMSayAt-aprAmANyam-iti ced |
   na |	na |
   vyākaraṇānusāreṇa"aśū vyāptau"ityasmāddhātorauṇādike vapratyaye sati	vyAkaraNa-anusAreNa-"aSU vyAptO"iti-asmAt-DAtA-UrONa-Adike vapratyaye sati
   tālavyatvanirṇayāt |	tAlavya-tva-nirNayAt |
   tasmādaśrvālambhanaśāstraṃ pramāṇam || MJaiNyC_1,2.30 ||	tasmAt-aSrvAlamBana-SAstram pramANam || MJENyC_1,2.30 ||
   (daśame lokavedayoḥ śabdaikyādhikaraṇa ākṛtyadhikaraṇe vā sūtrāṇi 30 - 35)	(da-Same loka-vedayoH Sabda-Ekya-aDikaraNaH AkRti-aDikaraNe vA sUtrANi 30  35)
   prayogacodanābhāvād arthaikatvam avibhāgāt / Jaim_1,3.30 /	prayoga-codanA-BAvAt arTa-eka-tvam aviBAgAt / JEm_1,3.30 /
   adravyaśabdatvāt / Jaim_1,3.31 /	adravya-Sabda-tvAt / JEm_1,3.31 /
   anyadarśanāc ca / Jaim_1,3.32 /	anya-darSanAt ca / JEm_1,3.32 /
   ākṛtis tu kriyārthatvāt / Jaim_1,3.33 /	AkRtiH tu kriyA-arTa-tvAt / JEm_1,3.33 /
   na kriyā syād iti cedarthāntare vidhānaṃ na dravyam iti cet / Jaim_1,3.34	na kriyA syAt iti ced-arTa-antare viDAnam na dravyam iti ced / JEm_1,3.34
   tadarthatvāt prayogasyāvibhāgaḥ / Jaim_1,3.35 /	tad-arTa-tvAt prayogasya-aviBAgaH / JEm_1,3.35 /
   START MJaiNy 1,3.31-32	START MJENi 1,3.31-32
   daśamādhikaraṇe prathamaṃ varṇakamācarayati -	daSama-aDikaraNe praTamam varNakam-Acarayati -
   loke padāpadārthau yau na tau vede 'thavātra tau /	loke padA-padArTO yO na tO vede aTavA-atra tO /
   rūpabhedātpadaṃ bhinnamuttānādibhidā sphuṭā // MJaiNy_1,3.31 //	rUpa-BedAt-padam Binnam-uttAna-Adi-BidA sPuwAH // MJENi-_1,3.31 //
   varṇaikatvātpadaikatvaṃ kvācitkī rūpabhinnatā /	varNa-eka-tvAt-pada-eka-tvam kvAcid-kiH rUpa-Binna-tA /
   prāyikeṇa padaikyena tadarthaikyaṃ tathāvidham // MJaiNy_1,3.32 //	prAyikeNa pada-Ekyena tad-arTa-Ekyam taTAviDam // MJENi-_1,3.32 //
   vaidikau padapadārthau laukikābhyāṃ padapadārthābhyāmanyau |	vEdikO pada-padArTO lOkikAByAm pada-padArTAByAm-anyO |
   kutaḥ |	kutas |
   rūpabhedāt |	rUpa-BedAt |
   pade tāvadrūpabhedo dṛśyate |	pade tAvat-rUpa-BedaH dRSyate |
   ātmaśabda ākārāditvena loke niyataḥ |	Atma-SabdaH AkAra-Adi-tvena loke niyataH |
   vede tu kvacidākārarahitaḥ paṭhyate -"prayataṃ purūṣaṃ tmanā"iti |	vede tu kvacid-AkAra-rahitaH paWyate -"-prayatam purUzam tmanA"-iti |
   'brāhmaṇāḥ ' iti loke |	abrAhmaNAH a iti loke |
   vede tvanyathā paṭhyate -"brāhmaṇāsaḥ pitaraḥ somyāsaḥ"iti |	vede tu-anyaTA paWyate -"brAhmaNAsaH pitaraH somyAsaH"iti |
   arthabhedo 'pi sphuṭaḥ |	arTa-BedaH api sPuwaH |
   uttānā vai devagavā vahanti"iti śrūyate - devebhyo vanaspate havīṃṣi	uttAnAH vE deva-gavAH vahanti"-iti SrUyate  deveByaH vanaspate havIMzi
   hiraṇyaparṇa pradivaste artham"iti |	hiraNyaparNa pradivaH-te arTam-"iti |
   tasmāt ' lokavedayoḥ padapadārthāvanyau ' iti prāpte -	tasmAt a loka-vedayoH pada-padArTO=-anyO a iti prApte -
   brūmaḥ- ya eva laukikāḥ padārthāḥ, ta eva vaidikāḥ |	brUmaH yaH eva lOkikAH padArTAH, te eva vEdikAH |
   tathā hi - varṇānāṃ tāvannityatvaṃ prathamapāde sādhitam |	taTA hi  varNAnAm tAvat-nitya-tvam praTama-pAde sADitam |
   yathā prayoktṝṇāṃ puruṣāṇāṃ bhede 'pyekaikasya puruṣasya bahukṛtva	yaTA prayoktLNAm puruzANAm Bede api-ekEkasya puruzasya bahu-kRtva
   uccāraṇabhede 'pi ' ta evāmī varṇāḥ ' iti pratyabhijñānādvarṇaikyam |	uccAraNa-Bede api a te eva-amI varNAH a iti pratyaBijQAnAt-varNa-Ekyam |
   tathā ' yāni loke gavādipadāni , tānyeva vede 'dhīyamānāni '	taTA a yAni loke gavA-Adi-padAni , tAni-eva vede aDIyamAnAni a
   ityavādhitapratyabhijñayā padaikatvamabhyupeyam |	iti-avADita-pratyaBijQayA pada-eka-tvam-aByupeyam |
   ' tmanā, devāsaḥ ' ityādipadabhedastu kvācitkaḥ |	a tmanA, devAsaH a ityAdi-pada-BedaH-tu kvAcid-kaH |
   naitāvatā bahutarapratyabhijñāvagataṃ padaikyamapoḍhuṃ śakyam |	na-etAvatA bahutara-pratyaBijQA-avagatam pada-Ekyam-apoXum Sakyam |
   anyathā 'so 'yaṃ devadattaḥ ' iti pratyabhijñātaṃ devadattaikyamapi	anyaTA asaH ayam devadattaH a iti pratyaBijQAtam devadatta-Ekyam-api
   deśādibhedamātreṇāpodyeta |	deSa-Adi-Beda-mAtreNa-apodyeta |
   padaikye cārthaikatvamavaśyaṃbhāvi |	pada-Ekye ca-arTa-eka-tvam-avaSyaMBAvi |
   anyathā vede pṛthagvyutpattyabhāvādabodhakatvaṃ prasajyeta |	anyaTA vede pRTak-vyutpatti-aBAvAt-aboDaka-tvam prasajyeta |
   etadevābhipretyoktam -	etat-eva-aBipretya-uktam -
   "lokāvagatasāmarththaḥ śabde vede 'pi bodhakaḥ"iti |	"loka-avagata-sAmarTTaH Sabde vede api boDakaH"iti |
   svaruyūpāhavanīyāndiśabdānāṃ tadarthānāṃ cālaukikatve 'pi	svaruyUpa-AhavanIyAn-di-SabdAnAm tad-arTAnAm ca-alOkika-tve api
   prasiddhapadasamabhivyāhārādva yuptattiḥ saṃbhavati |	prasidDa-pada-samaBivyAhArAt-va yuptattiH saMBavati |
   uttānavahanādikaṃ tvarthavādaḥ |	uttAna-vahana-Adikam tu-arTa-vAdaH |
   astu vā tathāvahanam , tathāpyuttānādiśābdāstadarthāśrca lokaprasiddhā eva	astu vA taTA-Avahanam , taTA-api-uttAnAdi-SA-abdAH-tad-arTa-aSrca loka-prasidDAH eva
   tasmādya eva laukikāḥ padapadārthāsta eva vaidikāḥ || MJaiNyC_1,2.31-32 ||	tasmAt-yaH eva lOkikAH pada-padArTAH-te eva vEdikAH || MJENyC_1,2.31-32 ||
   START MJaiNy 1,3.33-34	START MJENi 1,3.33-34
   dvitīyavarṇakamāracayati -	dvitIya-varNakam-Aracayati -
   vyaktirṃvrīhyādiśabdārtha ākṛtirvā kriyānvayāt /	vyaktiH-MvrIhi-Adi-Sabda-arTaH AkRtiH-vA kriyA-anvayAt /
   vyaktirvyutpattivelāyāmākṛtyā sopalakṣyate // MJaiNy_1,3.33 //	vyaktiH-vyutpatti-velAyAm-AkRtyA sa-upalakzyate // MJENi-_1,3.33 //
   śaktigrahādiyuktibhya ākṛterarthatocitā /	Sakti-graha-Adi-yuktiByaH AkRteH-arTatA-ucitAH /
   ktiyāparyavasānāya vyaktistatropalakṣyatām // MJaiNy_1,3.34 //	ktiyA-paryavasAnAya vyaktiH-tatra-upalakzya-tAm // MJENI-_1,3.34 //
   "vrīhīnavahanti" "paśumālabheta" "gāmānayā" "brāhmaṇo na	"vrIhIn-avahanti" "paSumAla-Beta" "gAma-anayA" "brAhmaNaH na
   hantavyaḥ"ityādiprayogeṣu vrīhyādiśabdānāṃ vyaktirarthaḥ |	hantavyaH"iti-Adi-prayogezu vrIhi-Adi-SabdAnAm vyaktiH-arTaH |
   kutaḥ |	kutas |
   avahananādikriyābhirvyakteranvetuṃ śakyatvāt |	avahanana-Adi-kriyABiH-vyakteH-anvetum Sakya-tvAt |
   nahyākṛtiravahantumālabdhumānetuṃ vā yogyā |	na-hi-AkRtiH-avahantum-AlabDum-Anetum vA yogyA |
   nanvānantyavyabhicārābhyāṃ na vyaktau vyutpattiḥ saṃbhavati |	nanu-Ananti-avyaBicArAByAm na vyaktO vyutpattiH saMBavati |
   anantā hi vyaktayaḥ |	anantAH hi vyaktayaH |
   atītānāgatānāmanekadeśavartināṃ gavāmiyattāyā anavadhāraṇāt |	atIta-anAgatAnAm-aneka-deSa-vartinAm gavAm-i-yat-tAyAH anavaDAraNAt |
   kiñca śullavyaktau vyutpanno gośabdaḥ kṛṣṇavyaktau prayujyamānaḥ svārthe	kiQca Sulla-vyaktO vyutpannaH go-SabdaH kRzNa-vyaktO prayujyamAnaH sva-arTe
   vyabhicaret |	vyaBicaret |
   tatra kathaṃ vyutpattiriti cet |	tatra kaTam vyutpattiH-iti ced |
   evaṃ tarhi vyutpattikāle sā vyaktirākṛtyopalakṣyatāmiti prāpte -	evam tarhi vyutpatti-kAle sA vyaktiH-AkRtya-upalakzya-tAm-iti prApte -
   brūmaḥ- anvayavyatirekābhyāmākṛteḥ śaktigrahaṇanimittatvācchābdārthatvaṃ	brUmaH anvaya-vyatirekAByAm-AkRteH Sakti-grahaNa-nimitta-tvAt-SAbda-arTa-tvam
   tasyā evocitam |	tasyAH eva-ucitam |
   kiñca gośabda uccārite vyaktivādinaḥ saṃśayo bhavet |	kiQca go-SabdaH uccArite vyakti-vAdinaH saMSayaH Bavet |
   tasmādākṛterevābhidheyatvam |	tasmAt-AkRteH-eva-aBiDeya-tvam |
   yadyākṛtāvavahananādikriyā na paryavasyettarhi vyaktistatropalakṣaṇīyā |	yadi-AkRtO=-avahananAdi-kriyA na paryavasyet-tarhi vyaktiH-tatra-upalakzaNIyAH |
   kiñca"śyonarcittaṃ cinvīta"ityādāvākṛtereva sādṛśyapratiyogitayā	kiQca"SyaH-narcittam cinvIta"-iti-AdO=-AkRteH-eva sAdRSya-pratiyogi-tayA
   kāryānvayo dṛśyate |	kArya-anvayaH dRSyate |
   tasmāt - ākṛtiḥ śabdārthaḥ || MJaiNyC_1,2.33-34 ||	tasmAt  AkRtiH Sabda-arTaH || MJENyC_1,2.33-34 ||
   START MJaiNy 1,3.35	START MJENi 1,3.35
   atraiva gurumatamāha -	atra-eva guru-matam-Aha -
   gavādicodanā no mā jātivyaktyoranirṇayāt /	gavA-Adi-codanA naH mA jAti-vyaktyoH-anirNayAt /
   ānantyavyabhicārābhyāṃ na vyaktiriti nirṇayaḥ // MJaiNy_1,3.35 //	Anantya-vyaBicArAByAm na vyaktiH-iti nirNayaH // MJENI-_1,3.35 //
   spaṣṭo 'rthaḥ || MJaiNyC_1,2.35 ||	spazwaH arTaH || MJENyC_1,2.35 ||
   iti śrīmādhavīye jaiminīyanyāyamālāvistare prathamādhyāyasya tṛtīyaḥ pādaḥ	iti SrImADavIye jEminIya-nyAya-mAlA-vistare praTama-aDyAyasya tRtIyaH pAdaH
   (atha caturthaḥ pādaḥ)	(aTa caturTaH pAdaH)
   (prathama udbhidādiśabdānāṃ yāganāmatayā prāmāṇyādhikaraṇe sūtram)	(praTamaH udBida-Adi-SabdAnAm yAga-nAma-tayA prAmANya-aDikaraNe sUtram)
   uktaṃ samāmnāyaidam arthyaṃ tasmāt sarvaṃ tadarthaṃ syāt / Jaim_1,4.1 /	uktam samAmnAya-Edam arTyam tasmAt sarvam tad-arTam syAt / JEm_1,4.1 /
   START MJaiNy 1,4.1-2	START MJENi 1,4.1-2
   caturthapādasya prathamādhikaraṇaṃ /	caturTa-pAdasya praTama-aDikaraNam /
   vārtikakāronnītamāracayati -	vArtikakAra-unnItam-Aracayati -
   udbhidādipadaṃ dharme kimamānamuta pramā /	udBida-Adi-padam Darme kimamAnam-uta pramA /
   vidhyarthavādamantrāṃśeṣvanantarbhāvato na mā // MJaiNy_1,4.1 //	viDi-arTa-vAda-mantra-aMSezu-anantarBAvataH na mA // MJENi-_1,4.1 //
   antarbhāvo vidhāvudbhidā yajeteti dṛśyate /	antarBAvaH viDO=-udBidA yajeta-iti dRSyate /
   nāmatvenānvayo vākye vakṣyate 'taḥ pramaiva tat // MJaiNy_1,4.2 //	nAma-tvena-anvayaH vAkye vakzyate atas pramA-eva tat // MJENi-_1,4.2 //
   "udbhidā yadeta" "balabhidā yajeta" "viśvajitā yajeta"ityevaṃ samāmnāyate	"udBidA yat-eta" "balaBidA yajeta" "viSvajitA yajeta"-iti-evam samAmnAyate
   tatrodbhidādipadaṃ na dharme pramāṇam |	tatra-udBida-Adi-padam na Darme pramANam |
   kutaḥ |	kutas |
   pramāṇatvanobhimateṣu triṣu vedavebhāgeṣvanantarbhāvāt |	pramANa-tva-noBi-matezu trizu veda-veBAgezu-anantarBAvAt |
   tathā hi - vidhiḥ sākṣātpramāṇam |	taTA hi  viDiH sAkzAt-pramANam |
   arthavādamantrau tu vidhyanvayena |	arTavAda-mantrO tu viDi-anvayena |
   tatra na tāvadudbhidādipadaṃ vidhāvantarbhavati |	tatra na tAvat-udBidAdi-padam viDO=-antarBavati |
   vidhyartharūpāyā bhāvanāyā aṃśeṣu bhāvyakaraṇetikartavyatārūpeṣu	viDi-arTa-rUpAyAH BAvanAyAH aMSezu BAvya-karaNa-iti-kartavya-tA-rUpezu
   kasyāpyavācakatvāt |	kasya-api-avAcaka-tvAt |
   nāpyarthavādatvam |	na-api-arTavAda-tvam |
   stutibuddherabhāvāt |	stuti-budDeH-aBAvAt |
   nāpi mantratvam |	na-api mantra-tvam |
   uttamapuruṣādīnāṃ mantraliṅgānāmabhāvāt |	uttama-puruza-AdInAm mantra-liFgAnAm-aBAvAt |
   tathā coktam -	taTA ca-uktam -
   "uttamāmantraṇāsyantatvāntarūpādyabhāvataḥ |	"uttamA-mantraNA-asyantatva-anta-rUpa-Adi-aBAvataH |
   mantraprasiddhyabhāvācca mantrataiṣāṃ na yujyate" || iti |	mantra-prasidDi-aBAvAt-ca mantra-tA-ezAm na yujyate" || iti |
   "agnaye juṣṭaṃ nirvapāmi"ityuttamapuruṣaḥ |	"agnaye juzwam nirvapAmi"-iti-uttama-puruzaH |
   "agne yaśasvinyaśase samarpaya"ityāmantraṇam |	"agne yaSasvi-nyaSase samarpaya"iti-AmantraNam |
   "urvī cāsi, vasvī cāsi"ityasyantarūpam |	"urvI ca-asi, vasvI ca-asi"iti-asi-anta-rUpam |
   "iṣe tvā, ūrje tvā"iti tvāntarūpam |	"ize tvA, Urje tvA"iti tvA-anta-rUpam |
   ādiśabdeva - āśīrdevatāpratipādanādayaḥ |	Adi-Sabdeva  ASIH-devatA-pratipAdana-AdayaH |
   evamādyanantarbhāvādamānamiti cet |	evamAdi-anantar-BAva-adamAnam-iti ced |
   na |	na |
   vidhyaṃśe karaṇe 'ntarbhāvāt |	viDi-aMSe karaNe antarBAvAt |
