   {...} = akṣara unclear	{...}  akzaraH unclear
   abhāvavyavahārasiddhirupalabdhilakṣaṇaprāptasyānupalabdhisamāśritā	aBAva vyavahAra sidDiH upalabDi lakzaNa prAptasya anupalabDi samASritA
   ityuktaṃ bhavati || 46 ||	iti uktam Bavati || 46 ||
   nanu tadanyenāpi kvacit siddhiriti cet? ucyate  viprakṛṣṭetyādi |	nanu tad anyena api kvacid sidDiH iti cet? ucyate viprakRzwa ityAdi |
   viprakṛṣṭī yo viṣayaḥ pratyakṣānumānanivṛttisvabhāvaḥ sa saṃśayasya hetuḥ,	viprakRzwI yaH vizayaH pratyakza anumAna nivRtti svaBAvaH sa saMSayasya hetuH,
   na svabhāvavyavahārahetuḥ || 47 ||	na svaBAva vyavahAra hetuH || 47 ||
   masmaraṇam | tathā ca sati na	masmaraNam | taTA ca sati na
   viruddhādividhipratiṣedhābhyāmitarābhāvapratītiḥ syāt |	virudDa Adi viDi pratizeDAByAm itara aBAva pratItiH syAt |
   virodhādigrahaṇakālabhāvinyāṃ ca dṛśyānupalabdhāvavaśyasmartavyāryā tata	viroDa Adi grahaNa kAla BAvinyAm ca dRSya anupalabDO= avaSya smartavya AryA tata
   evābhāvapratītiḥ |	eva aBAva pratItiH |
   tatra yadyapi sampratitanī nāsti dṛśyānupalabdhiḥ, virodhādigrahaṇakāle	tatra yadi api sampratitanI na asti dRSya anupalabDiH, viroDa Adi grahaNa kAle
   tvāsīt | yā dṛśyānupalabdhiḥ samprati smaryamāṇā	tu AsIt | yA dRSya anupalabDiH samprati smaryamANA
   saivābhāvapratipattinibandhanam | tataḥ samprati nāsti	sA eva aBAva pratipatti nibanDanam | tatas samprati na asti
   dṛśyānupalabdhiprayogād bhidyante kāryānupalabdhyādiprayogāḥ |	dRSya anupalabDi prayogAt Bidyante kArya anupalabDi Adi prayogAH |
   viruddhavidhinā kāraṇādiniṣedhena ca yato dṛśyānupalabdhirākṣiptā, tato	virudDa viDinA kAraNa Adi nizeDena ca yatas dRSya anupalabDiH AkziptA, tatas 
   dṛśyānupalabdhereva kālāntaravṛttāyāḥ smṛtiviṣayabhūtāyā abhāvapratipattiḥ	dRSya anupalabDeH eva kAla antara vRttAyAH smRti vizaya BUtAyAH aBAva pratipattiH
   | amīṣāṃ ca prayogāṇāṃ dṛśyānupalabdhāvantarbhāvaḥ | tadanena sarveṇa	| amIzAm ca prayogANAm dRSya anupalabDO= antarBAvaH | tat anena sarveNa
   dṛśyānupalabdhāvantarbhāvo daśānāmamanupalabdhiprayogāṇāṃ pāramparyeṇa	dRSya anupalabDO= antarBAvaH daSA nAmam anupalabDi prayogANAm pAramparyeNa
   darśita ityavaseyam || 46 ||	darSitaH iti avaseyam || 46 ||
   uktā dṛśyānupalabdhirabhāve, abhāvavyavahārasādhye ca pramāṇam,	uktA dRSya anupalabDiH aBAve, aBAva vyavahAra sADye ca pramANam,
   adṛśyānupalabdhistu kiṃsvabhāvā? kiṃvyāpārā? ityāha  viprakṛṣṭetyādi |	adRSya anupalabDiH tu kiMsvaBAvA? kiMvyApArA? iti Aha viprakRzwa ityAdi |
   viprakṛṣṭastribhirdeśakālasvabhavaviprakarṣairyasyā viṣayaḥ sa	viprakRzwaH triBiH deSa kAla svaBava vipra karzEH yasyAH vizayaH sa
   viprakṛṣṭaviṣayeti saṃśayahetuḥ | kisvabhāvā sā? ityāha 	viprakRzwa vizaya iti saMSaya hetuH | kisvaBAvA sA? iti Aha 
   pratyakṣānumānanivṛttirlakṣāṇaṃ svabhāvo yasyāḥ sā	pratyakza anumAna nivRttiH lakzANam svaBAvaH yasyAH sA
   pratyakṣānumānanivṛttilakṣāṇā | na jñānajñeyasvabhāveti yāvat || 47 ||	pratyakza anumAna nivRtti lakzANAH | na jQAna jQeya svaBAva iti yAvat || 47 ||
   48 pramāṇanivṛttāvapi arthābhāvasiddheriti ||	48 pramANa nivRttO= api arTa aBAva sidDeH iti ||
   tadeva kasmāt? ityāha  pramānetyādi |	tat eva kasmAt? iti Aha pramAna ityAdi |
   pramāṇanivṛttilakṣaṇā viprakṛṣṭaviṣayānupalabdhiḥ, pramānanivṛttirapi	pramANa nivRtti lakzaNA viprakRzwa vizaya anupalabDiH, pramAna nivRttiH api
   arthābhāvaṃ na sādhyati | pramāṇaṃ tu arthakāryamiti pramāṇanivṛttyā	arTa aBAvam na sADyati | pramANam tu arTa kAryam iti pramANa nivRttyA
   kāraṇamātranivṛttinaṃ sidhyatīti || 48 ||	kAraNa mAtra nivRttinam siDyati iti || 48 ||
   iti nyāyavinduvistaraṭīkāyāṃ śiṣyahitāyāṃ dvitīyaḥ pariccedaḥ ||	iti nyAya vindu vistarawIkAyAm Sizya hitAyAm dvitIyaH pariccedaH ||
   nanu ca pramāṇāt prameyasattāvyavasthā, tataḥ pramāṇābhāvāt	nanu ca pramANAt prameya sattA vyavasTA, tatas pramANa aBAvAt 
   prameyābhāvapratipattiryuktā? ityāha  pramāṇanivṛttāvapītyādi | kāraṇaṃ	prameya aBAva pratipattiH yuktA? iti Aha pramANa nivRttO= api ityAdi | kAraNam
   vyāpakaṃ ca nivartamānaṃ kārya vyāpyaṃ ca nivartayet | na ca pramāṇaṃ	vyApakam ca nivartamAnam kArya vyApyam ca nivartayet | na ca pramANam
   prameyasya karaṇam, nāpi vyāpakam | ataḥ pramāṇayonivṛttavapi arthasya	prameyasya karaNam, na api vyApakam | atas pramANa yoni vRtta vapi arTasya
   prameyasya nivṛttinasidhyati | tato 'siddhaḥ	prameyasya nivRttin asiDyati | tatas asidDaH
   saṃśayaheturadṛśyānupalabdhiḥ, na niścayahetuḥ | yat punah pramāṇasattayā	saMSaya hetuH adRSya anupalabDiH, na niScaya hetuH | yat punar pramANa sattayA
   prameyasattā sidhyati, tadyuktam | prameyakārya hi pramāṇam | na ca	prameya sattA siDyati, tat yuktam | prameya kArya hi pramANam | na ca
   kāraṇamantareṇa kāryamasti | na tu kāraṇānyavaśyaṃ kāryavanti bhavanti |	kAraNam antareNa kAryam asti | na tu kAraNAni avaSyam kAryavanti Bavanti |
   tasmāt pramāṇāt prameyasattā vyavasthāpyā, na pramāṇābhāvāt	tasmAt pramANAt prameya sattA vyavasTApyA, na pramANa aBAvAt 
   prameyābhāvavyavastheti || 48 ||	prameya aBAva vyavasTA iti || 48 ||
   ācāryadharmottarakṛtāyāṃ vyāyabinduṭīkāyāṃ svārthānumānaṃ nāma dvitīyaḥ	AcArya Darma uttara kRtAyAm vyAya binduwIkAyAm svArTAnumAnam nAma dvitIyaH
   paricchedaḥ ||	paricCedaH ||
   tṛtīyaḥ parārthānumānaparicchedaḥ	tRtIyaH para arTa anumAna paricCedaH
   1 trirūpaliṅgākhyānaṃ aprārthamanumānam ||	1 trirUpa liFga AKyAnam aprArTam anumAnam ||
   2 kāraṇe kāryopacārāt ||	2 kAraNe kArya upacArAt ||
   samyagjñānanirūpaṇaprasaṅgena svārthaparārthabhedena anumānaṃ	samyak jQAna nirUpaNa prasaFgena sva arTa para arTa Bedena anumAnam
   dvividhamaṅgīkṛtam | tatra svārtha saprapañcaṃ nirūpitam |	dviviDam aFgIkRtam | tatra sva arTa sa prapaQcam nirUpitam |
   parārthānumānābhidhānārthamevamanujānīte trirūpetyādi |	para arTa anumAna aBiDAna arTam evam anujAnIte trirUpa ityAdi |
   ākhyāyate 'neneti ākhyānam | vacanamiti | trīṇi rūpāṇi santi yasya tat	AKyAyate anena iti AKyAnam | vacanam iti | trINi rUpANi santi yasya tat 
   trirūpam | trirūpaṃ ca talliṅgaṃ ceti trirūpaliṅgam | tasya	trirUpam | trirUpam ca tat liFgam ca iti trirUpa liFgam | tasya
   ākhyānamityarthaḥ || 1 ||	AKyAnam iti arTaH || 1 ||
   anumānaṃ ca samyagjñānamityuktam, kathamanumānaṃ vacanamiti cet? tatrāha 	anumAnam ca samyak jQAnam iti uktam, kaTam anumAnam vacanam iti cet? tatra Aha 
   kāraṇa iti |	kAraNaH iti |
   svārtha  parārthānumānayoḥ svārtha vyākhyāya, parārtha vyākhyātukāma	sva arTa para arTa anumAnayoH sva arTa vyAKyAya, para arTa vyAKyAtu kAma
   āhatrirūpaliṅgākhyānamiti | trīṇi rūpāṇi  anvaya vyatireka	Aha trirUpa liFga AKyAnam iti | trINi rUpANi anvaya vyatireka
   pakṣadharmatvasaṃjñakāni yasya tat trirūpam | trirūpaṃ ca talliṅgaṃ ca	pakza Darma tva saMjQakAni yasya tat trirUpam | trirUpam ca tat liFgam ca
   tasyākhyānam | ākhyāyate= prakāśyate 'neneti trirūpaṃ liṅgamiti ākhyānam |	tasya AKyAnam | AKyAyate prakASyate anena iti trirUpam liFgam iti AKyAnam |
   kiṃ punastat? vacanam | vacanena hi trirūpaṃ liṅgamākhyāyate |	kim punar tat? vacanam | vacanena hi trirUpam liFgam AKyAyate |
   parasmāyidaṃ parārtham || 1 ||	para smAyidam para arTam || 1 ||
   nanu ca samyagjñānātmakamanumānamuktam, tat kimartha samprati	nanu ca samyak jQAna Atmakam anumAnam uktam, tat kim arTa samprati
   vacanātmakamanumānamucyate? ityāha kāraṇe kāryopacārāditi |	vacana Atmakam anumAnam ucyate? iti Aha kAraNe kArya upacArAt iti |
   trirūpaliṅgābhidhānāt trirūpaliṅgasmṛtirutpadayate, smṛteśvānumānam |	trirUpa liFga aBiDAnAt trirUpa liFga smRtiH utpadayate, smRteSvA anumAnam |
   tasmādanumānasya paraṃparayā trirūpaliṅgābhidhānaṃ kāraṇam | tasmin kāraṇe	tasmAt anumAnasya paraMparayA trirUpa liFga aBiDAnam kAraNam | tasmin kAraNe
   vacane kāryasyānumānasya upacāraḥ samāropaḥ kriyate | tataḥ samāropāt	vacane kAryasya anumAnasya upacAraH samAropaH kriyate | tatas samAropAt 
   kāraṇaṃ vacanamanumānaśabde nocyate | aupacārikaṃ vacanamanumānam, na	kAraNam vacanam anumAna Sabde na ucyate | OpacArikam vacanam anumAnam, na
   mukhyamityarthaāḥ | na yāvat kiñcit upacārādanumānaśabdena vaktuṃ śakyaṃ	muKyam iti arTaAH | na yAvat kiQcid upacArAt anumAna Sabdena vaktum Sakyam
   tāvat sarva vyākhyeyam, kintvanumānaṃ vyākhyātukāmena anumānasvarūpasya	tAvat sarva vyAKyeyam, kintu anumAnam vyAKyAtu kAmena anumAna svarUpasya
   vyākhyeyatvānnimitaṃ vyākhyeyam | nimittaṃ ca trirūpaṃ liṅgam | tacca	vyAKyeya tvAt nimitam vyAKyeyam | nimittam ca trirUpam liFgam | tat ca
   svayaṃ vā pratītamanumānasya nimittaṃ bhavati, pareṇa vā pratipāditaṃ	svayam vA pratItam anumAnasya nimittam Bavati, pareNa vA pratipAditam
   bhavati | tasmālliṅgasya svarūpaṃ ca vyākhyeyam, tatpratipādakaśca śabdaḥ	Bavati | tasmAt liFgasya svarUpam ca vyAKyeyam, tad pratipAdakaH ca SabdaH
   | tatra svarūpaṃ svārthānumāne vyākhyātam | pratipādakaśca śabda	| tatra svarUpam sva arTa anumAne vyAKyAtam | pratipAdakaH ca Sabda
   3 tad dvividham |	3 tat dviviDam |
   4 prayogabhedāt ||	4 prayoga BedAt ||
   5 sādharmyavad vaidharmyavacca ||	5 sADarmya vat vEDarmya vat ca ||
   kāraṇaṃ hi vacanam, kārya cānumānamiti vacane tasminnanumānāropāt	kAraNam hi vacanam, kArya ca anumAnam iti vacane tasmin= anumAna AropAt
   tadvacanamevānumānamityabhidhīyate | anumānakāraṇatvāt anumānam ityucyate	tad vacanam eva anumAnam iti aBiDIyate | anumAna kAraNa tvAt anumAnam iti ucyate
   iti śeṣaḥ || 2 ||	iti SezaH || 2 ||
   taddvividhamiti | atra taditi parārthānumānam | trirūpaliṅgākhyānaṃ tat ||	tat dviviDam iti | atra tat iti para arTa anumAnam | trirUpa liFga AKyAnam tat ||
   kathaṃ dvividhamiti cet? āha  prayogabhedāditi | prayogastu śabdata	kaTam dviviDam iti cet? Aha prayoga BedAt iti | prayogaH tu Sabdata
   upasthānam | tasya bhedena dvaividhyamiti || 4 ||	upasTAnam | tasya Bedena dvEviDyam iti || 4 ||
   kiṃ tat prakāraheyamiti āha? āha  sādharmyavaditi |	kim tat prakAra heyam iti Aha? Aha sADarmya vat iti |
   samāno dharmo yasya sa sadharmā, sadharmaṇo bhāvaḥ sādharmyam,	samAnaH DarmaH yasya sa saDarmA, saDarmaNaH BAvaH sADarmyam,
   tadayasyāsti tat sādharmyavat | visadṛśo dharmo yasya sa vidharmā,	tat ayasya asti tat sADarmya vat | visadRSaH DarmaH yasya sa viDarmA,
   vidharmaṇo bhāvo vaidharmyam, tadayasyāsti tad vaidharmyavat | anvayavat	viDarmaNaH BAvaH vEDarmyam, tat ayasya asti tat vEDarmya vat | anvayavat 
   vyatirekavacceti śeṣaḥ || 5 ||	vyatireka vat ca iti SezaH || 5 ||
   iha vyākhyeyaḥ | tataḥ pratipādakaṃ śabdamavaśyaṃ vaktavyaṃ darśayan	iha vyAKyeyaH | tatas pratipAdakam Sabdam avaSyam vaktavyam darSayan
   anumānaśabdenoktavānācārya iti paramārthaḥ || 2 ||	anumAna Sabdena uktavAn AcAryaH iti parama arTaH || 2 ||
   parārthānumānasya prakārabhedaṃ darśayitukāma āha  tad dvividhamiti |	para arTa anumAnasya prakAra Bedam darSayitu kAmaH Aha tat dviviDam iti |
   taditi parārthanumānam | dvau vidhau= prakārau yasya tad dvividham || 3 ||	tat iti para arTa numAnam | dvO viDO prakArO yasya tat dviviDam || 3 ||
   kuto dvividham? ityāha  prayogasya śabdavyāpārasya bhedāt | prayuktiḥ=	kutas dviviDam? iti Aha prayogasya Sabda vyApArasya BedAt | prayuktiH=
   prayogaḥ, arthābhidhānam | śabdasyārthābhidhānavyāpārabhedād	prayogaH, arTa aBiDAnam | Sabdasya arTa aBiDAna vyApAra BedAt 
   dvividhamanumānam || 4 ||	dviviDam anumAnam || 4 ||
   tadevābhidhānavyāpāranibandhanaṃ dvaividhyaṃ darśayitumāha  sādharmyavat	tat eva aBiDAna vyApAra nibanDanam dvEviDyam darSayitum Aha sADarmya vat 
   vaidharmyavacceti | samāno dharmo 'sya so 'yaṃ sadharmā, tasya bhāvaḥ	vEDarmya vat ca iti | samAnaH DarmaH asya saH ayam saDarmA, tasya BAvaH
   sādharmyam | visadṛśo dharmo 'sya vidharmā, vidharmāṇo bhāvo vaidharmyam |	sADarmyam | visadRSaH DarmaH asya viDarmA, viDarmANaH BAvaH vEDarmyam |
   dṛṣṭāntadharmiṇā saha sādhyadharmiṇaḥ sādṛśyaṃ hetukṛtaṃ sādharmyamucyate	dRzwAnta DarmiNA saha sADya DarmiNaH sAdRSyam hetu kRtam sADarmyam ucyate
   | asādṛśyaṃ ca hetukṛtaṃ vaidharmyamucyate | tatra yasya sādhanavākyasya	| asAdRSyam ca hetu kRtam vEDarmyam ucyate | tatra yasya sADana vAkyasya
   sādharmyamabhidheyaṃ tat sādharmyavat | yathā yat kṛtakaṃ tadanityam,	sADarmyam aBiDeyam tat sADarmya vat | yaTA yat kRtakam tat anityam,
   yathā ghaṭaḥ, tathā ca kṛtakaḥ śabdaḥ ityatra kṛtakatvakṛtaṃ dṛṣṭānta	yaTA GawaH, taTA ca kRtakaH SabdaH iti atra kRtaka tva kRtam dRzwAnta
   sādhyadharmiṇoḥ sāduśyabhidheyam | yasya tu vaidharmyamabhidheyaṃ tad	sADya DarmiNoH sAduSyaBiDeyam | yasya tu vEDarmyam aBiDeyam tat 
   vaidharmyavat | yathā  yannityaṃ tadakṛtakaṃ dṛṣṭam, yathā ākāśam,	vEDarmya vat | yaTA yat nityam tat akRtakam dRzwam, yaTA AkASam,
   śabdastu kṛtakaḥ iti kṛtakatvākṛtakatvakṛtaṃ śabdākāśayoḥ sādhya	SabdaH tu kRtakaH iti kRtaka tva akRtaka tva kRtam Sabda AkASayoH sADya
   dṛṣṭāntadharmoṇorasādṛśyamihābhidheyam || 5 ||	dRzwAnta DarmoNoH asAdRSyam iha aBiDeyam || 5 ||
   6 nānayorarthataḥ kaścid bhedaḥ ||	6 nAnayoH arTataH kaScid BedaH ||
   7 anyatra prayogabhedāt ||	7 anyatra prayoga BedAt ||
   8 tatra sādharmyavatprayogaḥ  yadupalabdhilakṣaṇaprāptaṃ sannopalabhyate	8 tatra sADarmya vat prayogaH yat upalabDi lakzaNa prAptam sanna upalaByate
   so 'dvayava hāraviṣayaḥ siddhaḥ, yathānyo dṛṣṭaḥ kaścid śaśaviṣāṇādiḥ |	saH advayava hAra vizayaH sidDaH, yaTA anyaH dRzwaH kaScid SaSa vizANa AdiH |
   nopalabhyate ca kvacit pradeśaviśaṣe upalabdhilakṣaṇaprāpto ghaṭaḥ 	na upalaByate ca kvacid pradeSa viSaze upalabDi lakzaNa prAptaH GawaH 
   ityanupalabdhiprayogaḥ ||	iti anupalabDi prayogaH ||
   yadi sādharmyaprayogo 'nvayavān, vaidharmyaprayogaśca vyatirekavān, tarhi	yadi sADarmya prayogaH anvayavAn, vEDarmya prayogaH ca vyatirekavAn, tarhi
   arthato 'pi bhedaḥ syāt, tat kasmāt prayogabhedena dvividhamityucyate iti	arTataH api BedaH syAt, tat kasmAt prayoga Bedena dviviDam iti ucyate iti
   cet? tatrāha nānayoriti |	cet? tatra Aha na anayoH iti |
   sādharmyavānapi trirūpāpekṣaḥ, vaidharmyavānapi trirūpāpekṣaḥ | tasmāt	sADarmyavAn api trirUpa apekzaH, vEDarmyavAn api trirUpa apekzaH | tasmAt 
   sarvatra trirūpasattvādarthato bhedaleśo 'pi nāsti |6 ||	sarvatra tri rUpa sattvAt arTataH Beda leSaH api na asti |6 ||
   anyatra prayogabhedāditi | iha prayogasyaiva bhedaḥ, na tu sarvathāpi |	anyatra prayoga BedAt iti | iha prayogasya eva BedaH, na tu sarvaTA api |
   tathā hi  prathame vastuto 'nvayābhidhāne 'pi vyatirekaḥ	taTA hi praTame vastutas anvaya aBiDAne api vyatirekaH
   sāmarthyādavagamyate | dvitīye ca vastuto vyatirekā bhidhāne 'pi anvayo	sAmarTyAt avagamyate | dvitIye ca vastutas vyatirekAH BiDAne api anvayo
   'rthājjñāyate || 7 ||	arTAt jQAyate || 7 ||
   tatra sādharmyavataḥ prathamamupanyāsaḥ | yadupalabdhilakṣaṇaprāpta	tatra sADarmyavataH praTamam upanyAsaH | yat upalabDi lakzaNa prApta
   sannopalabhyate so 'sadvayaydyanayoḥ prayogayorabhidheyaṃ bhinnam, kathaṃ	sanna upalaByate saH asa t vayaydyanayoH prayogayoH aBiDeyam Binnam, kaTam
   tarhi trirūpaṃ liṅgamabhinnaṃ prakāśyam? ityāha  nānayorarthata iti |	tarhi trirUpam liFgam aBinnam prakASyam? iti Aha nAnayoH arTataH iti |
   arthaḥ prayojanam | yat prayojanaṃ prakāśayitavyaṃ vastu uddiśyānumāne	arTaH prayojanam | yat prayojanam prakASayitavyam vastu uddiSya anumAne
   prayujyate, tataḥ prayojanādanayorna bhedaḥ kaścit | trirūpaṃ hi liṅga	prayujyate, tatas prayojanAt anayoH na BedaH kaScid | trirUpam hi liFga
   prakāśayitavyam | taduddiśya dve apyete prayujyete | dvābhyāmapi trirūpaṃ	prakASayitavyam | tat uddiSya dve api ete prayujyete | dvAByAm api trirUpam
   liṅga prakāśyata eva | tataḥ prakāśayitavyaṃ prayojanamanayorabhinnam |	liFga prakASyate eva | tatas prakASayitavyam prayojana m anayoH aBinnam |
   tathā ca na tato bhedaḥ kaścit || 6 ||	taTA ca na tatas BedaH kaScid || 6 ||
   abhidheyabhedo 'pi tarhi na syāt? ityāha  anyatra prayogabhedāditi |	aBiDeya BedaH api tarhi na syAt? iti Aha anyatra prayoga BedAt iti |
   prayogaḥ abhidhānam, vācakatvam | vācakatvabhedādanyo bhedaḥ prayojanakṛto	prayogaH aBiDAnam, vAcaka tvam | vAcaka tva BedAt anyaH BedaH prayojana kRtaH 
   nāstītyarthaḥ |	na asti iti arTaH |
   etaduktaṃ bhavati  anyadabhidheyamanyat prakāśyaṃ prayojanam |	etat uktam Bavati anyat aBiDeyam anyat prakASyam prayojanam |
   tatrābhidheyāpekṣayā vācakatvaṃ bhedyate, prakāśyaṃ tvabhinnam | anvaye hi	tatra aBiDeya apekzayA vAcaka tvam Bedyate, prakASyam tu aBinnam | anvaye hi
   kathite vakṣyamāṇena nyāyena vyatirekagatirbhavati | vyatireke	kaTite vakzyamANena nyAyena vyatireka gatiH Bavati | vyatireke
   cānvayagatiḥ | tatastrirūpaṃ liṅgaṃ prakāśyamabhinnam | na ca	ca anvaya gatiH | tatas trirUpam liFgam prakASyam aBinnam | na ca
   yatrābhidheyabhedaḥ, tatra sāmarthyagamyo 'pyartho bhidyate | yasmāt pīno	yatra aBiDeya BedaH, tatra sAmarTya gamyaH api arTaH Bidyate | yasmAt pInaH 
   devadatto divā na bhuṃkte pīno devadatto rātrau bhuṃkte	devadattaH divA na BuMkte pInaH devadattaH rAtrO BuMkte
   ityanayovakyiyorabhidheyabhede 'pi gamyamānamekameva,	iti anayovakyiyoH aBiDeya Bede api gamyamAnam ekam eva,
   tadvadihābhidheyabhede 'pi gamaymānaṃ vastu ekameva || 7 ||	tadvat iha aBiDeya Bede api gamaymAnam vastu ekam eva || 7 ||
   9 tathā svabhāvahetoḥ prayogaḥ  yat sat tat sarvamanityam, yathā	9 taTA svaBAva hetoH prayogaH yat sat tat sarvam anityam, yaTA
   ghaṭādiriti śuddhasya svabhāvahetoḥ prayogaḥ ||	GawAdiH iti SudDasya svaBAva hetoH prayogaH ||
   vahāraviṣayaḥ siddha iti | atrānupalabdheranvaya uktaḥ | yathā dṛṣṭaḥ	vahAra vizayaH sidDaH iti | atra anupalabDeH anvayaH uktaH | yaTA dRzwaH
   kaścit śaśaviṣāṇādiriti | asadvayavahārasya viṣayo dṛṣṭaḥ |	kaScid SaSavizANa AdiH iti | asa dvaya vahArasya vizayaH dRzwaH |
   tasyodāharaṇam  śaśaviṣāṇādiḥ dṛṣṭa iti siddhaḥ | parīkṣita iti śeṣaḥ |	tasya udAharaNam SaSa vizANa AdiH dRzwaH iti sidDaH | parIkzitaH iti SezaH |
   tena dṛṣṭāntakathanaṃ nopalabhyate iti anena pakṣadharma uktaḥ || 8 ||	tena dRzwAnta kaTanam na upalaByate iti anena pakza DarmaH uktaH || 8 ||
   svabhāvahetoḥ prayoga iti | dvitīyasya hetoḥ sādharmyavān prayoga	svaBAva hetoH prayogaH iti | dvitIyasya hetoH sADarmyavAn prayoga
   upadarśyate yat tatreti | tayoḥ sādharmyavaidharmyavatoranumānayoḥ	upadarSyate yat tatra iti | tayoH sADarmya vEDarmya vatoH anumAnayoH
   sādharmyavat tāvadudāharannanupalabdhimāha  yadityādinā | yad dṛśyam |	sADarmya vat tAvat udAharan= anupalabDim Aha yat ityAdinA | yat dRSyam |
   sannopalabhyate  ityanena dṛśyānupalambho 'nudyate | so	sanna upalaByate iti anena dRSya anupalamBaH anudyate | saH 
   'sadvayavahāravīṣayaḥ siddhaḥ | tadasaditi vyavahartavyamityarthaḥ |	asa dvaya vahAra vIzayaH sidDaH | tat asat iti vyavahartavyam iti arTaH |
   anenāsadvayavahārayogyatvasya vidhiḥ kṛtaḥ | tataścāsdvayavahārayogyatve	anena asa dvayavahAra yogya tvasya viDiH kRtaH | tatas ca asdvayavahAra yogya tve
   dṛśyānupalambho niyataḥ kathitaḥ |	dRSya anupalamBaH niyataH kaTitaH |
   dṛśyamanupalabdhamasadvayavahārayogyamevetyarthaḥ | sādhanasya ca sādhye	dRSyam anupalabDam asa dvaya vahAra yogyam eva iti arTaH | sADanasya ca sADye
   'rthe niyatatvakathanaṃ vyāptikathanam | yathoktam  vyāptirvyāpakasya	arTe niyata tva kaTanam vyApti kaTanam | yaToktam vyAptiH vyApakasya
   tatra bhāva eva vyāpyasya vā tatraiva bhāvaḥ iti | vyāptisādhanasya	tatra BAvaH eva vyApyasya vA tatra eva BAvaH iti | vyApti sADanasya
   pramāṇasya viṣayo dṛṣṭāntaḥ | tameva darśayitumāha  yathānya iti |	pramANasya vizayaH dRzwAntaH | tam eva darSayitum Aha yaTA anyaH iti |
   sādhyadharmiṇo 'nyo dṛṣṭānta ityarthaḥ | dṛṣṭa iti | pramāṇena niścitaḥ |	sADya DarmiNaH anyaH dRzwAntaH iti arTaH | dRzwaH iti | pramANena niScitaH |
   śaśavisāṇaṃ hi na cakṣuṣā viṣayīkṛtam | api tu pramāṇena	SaSa visANam hi na cakzuzA vizayIkRtam | api tu pramANena
   dṛśyānupalambhenāsadvayavahārayogyaṃ vijñātam | śaśaviṣāṇamādiryasya	dRSya anupalamBenAsa dvaya vahAra yogyam vijQAtam | SaSa vizANam AdiH yasya
   asadvayavahāraviṣayasya sa tathoktaḥ | śaśaviṣāṇādau hi	asa dvaya vahAra vizayasya sa taTA uktaH | SaSa vizANa AdO hi
