   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   taṃ khe bhramantamālokya sarve te prāṇakā api /	tam Ke Bramantam Alokya sarve te prANakAH api /
   tatkalārāvamākarṇya cintayanyevamutsukāḥ //	tad kala ArAvam AkarNya cintayani evam utsukAH //
   aho 'yaṃ sukhavān pakṣī bhramate khe 'tiyathecchayā /	aho ayam suKavAn pakzI Bramate Ke atiyaTA icCayA /
   kimanena kṛtaṃ puṇyaṃ carate sukham //	kim anena kRtam puNyam carate suKam //
   kimasmābhiḥ kṛtaṃ pāpaṃ yenāmedhyāśritā vayam /	kim asmABiH kRtam pApam yena ameDya ASritAH vayam /
   iti vicintya te sarve kṛmayastatsukhecchitāḥ //	iti vicintya te sarve kRmayaH tad suKecCitAH //
   tadviṇvamanuśrutvā saṃtiṣṭhante tadunmukhāḥ //	tat viNvam anuSrutvA saMtizWante tad unmuKAH //
   tathā te kṛmayaḥ sarve tannāmasmṛtibhāvitāḥ /	taTA te kRmayaH sarve tad nAma smRti BAvitAH /
   tattriratnanamaskāraṃ dhṛtvā tiṣṭhanti cetasā //	tat tri ratna namaskAram DRtvA tizWanti cetasA //
   tathā caivaṃ samuccārya triratnanāma cetasā /	taTA ca evam samuccArya tri ratna nAma cetasA /
   smṛtvā kṛtvā namaskaraṃ tiṣṭhanti trimaṇermudā //	smRtvA kRtvA namaskaram tizWanti trimaNeH mudA //
   etatpuṇyaviliptāste sarve saṃjātapakṣakāḥ /	etat puNya viliptAH te sarve saMjAta pakzakAH /
   tata uḍḍīya gaṃgāyāṃ nipatantastyajantyasūn //	tatas uxxIya gaMgAyAm nipatantaH tyajanti asUn //
   tataste vimalātmānaḥ saṃprayātāḥ sukhāvatīm /	tatas te vimala AtmAnaH saMprayAtAH suKAvatIm /
   sarve sugandhamukhā nāma bodhisattvā bhavantyapi //	sarve suganDamuKAH nAma boDisattvAH Bavanti api //
   te tatrāmitabhāsasya pītvā dharmāmṛtaṃ sadā /	te tatra amita BAsasya pItvA Darma amRtam sadA /
   trividhāṃ bodhimāsādya nirvṛpadamāpnuyuḥ //	triviDAm boDim AsAdya nirvRpadam ApnuyuH //
   (Gkv 147)	(Gku 147)
   evamasau mahāsattvo lokeśvaraḥ kṛmīnapi /	evam asO mahAsattvaH lokeSvaraH kRmIn api /
   prayatnena samuddhṛtya preṣayati sukhāvatīm //	prayatnena samudDRtya prezayati suKAvatIm //
   tathā tasya jagacchāstuḥ puṇyaskandhaṃ mahattaram /	taTA tasya jagat SAstuH puNya skanDam mahattaram /
   aprameyamasaṃkhyeyamityākhyātaṃ munīśvaraiḥ //	aprameyam asaMKyeyam iti AKyAtam muni ISvarEH //
   ye cāsya lokanāthasya śraddhayā śaraṇe sthitāḥ /	ye ca asya loka nATasya SradDayA SaraNe sTitAH /
   dhyātvā smṛtvā samuccārya nāma bhajanti sarvadā //	DyAtvA smRtvA samuccArya nAma Bajanti sarvadA //
   sadā te sadgatau jātā durgatau na kadācana /	sadA te sat gatO jAtAH durgatO na kadAcana /
   saddharmaśrīsukhāpannāḥ saṃprayāyuḥ sukhāvatīm //	sadDarmaSrI suKa ApannAH saMprayAyuH suKAvatIm //
   tatrāmitāabhanāthasya pītvā dharmāmṛtaṃ sadā /	tatra amitAa Ba nATasya pItvA Darma amRtam sadA /
   trividhāṃ bodhimāsādya saṃprāpsyanti jinālayam //	triviDAm boDim AsAdya saMprApsyanti jina Alayam //
   iti matvā sadā bhadrasaukhyamicchanti ye bhave /	iti matvA sadA Badra sOKyam icCanti ye Bave /
   te 'sya trailokanāthasya bhajantu śaraṇe sthitāḥ //	te asya trEloka nATasya Bajantu SaraNe sTitAH //
   ityādiṣṭaṃ munīndreṇa viśvabhuvā niśamya te /	iti Adizwam muni indreNa viSvaBuvA niSamya te /
   sarve samāśritā lokāḥ prābhyanandan prabodhitāḥ //	sarve samASritAH lokAH prAByanandan praboDitAH //
   // iti vārāṇasīkṛmikīṭoddhāraṇaprakaraṇaṃ samāptam //	// iti vArANasI kRmi kIwa udDAraNa prakaraNam samAptam //
   14. māgadhika sattva prabodhanoddhāraṇa prakaraṇa	14. mAgaDika sattva praboDana udDAraNa prakaraNa
   atha gaganagaṃjo 'sau bodhisattvaḥ pramoditaḥ /	aTa gagana gaMjaH asO boDisattvaH pramoditaH /
   viśvabhuvaṃ munīndraṃ taṃ praṇatvaivamuvāca ca //	viSvaBuvam muni indram tam praNatvA evam uvAca ca //
   bhagavan sa mahābhijñaḥ kadeha samupāsaret /	Bagavan sa mahA aBijQaH kadA iha samupAsaret /
   idānīṃ kva prayāto 'sau hyetadādeṣṭumarhati //	idAnIm kva prayAtaH asO hi etat Adezwum arhati //
   iti saṃprārthite tena viśvabhūḥ sa munīśvaraḥ /	iti saMprArTite tena viSvaBUH sa muni ISvaraH /
   bodhisattvaṃ tamālokya sabhāṃ cāpyevamabravīt //	boDisattvam tam Alokya saBAm ca api evam abravIt //
   tato 'sau trijagannātho vārāṇasyāṃ viniścaran /	tatas asO trijagannATaH vArANasyAm viniScaran /
   sattvān paśyan samuddhartuṃ magadhe 'bhigato 'dhunā //	sattvAn paSyan samudDartum magaDe aBigataH aDunA //
   (Gkv 148)	(Gku 148)
   tatra sa samupāśritya durbhikṣaparipīḍitān /	tatra sa samupASritya durBikza paripIxitAn /
   nṛmāṃsānyapi bhuṃjānān pibato rudhirāṇyapi //	nR mAMsAni api BuMjAnAn pibataH ruDirANi api //
   parasparaṃ yudhyamānān mahāpātakacāriṇaḥ /	parasparam yuDyamAnAn mahApAtaka cAriNaH /
   kleśāgnitāpitān duṣṭān saṃpaśyannanupṛcchati //	kleSa agni tApitAn duzwAn saMpaSyan= anupRcCati //
   kasmādyūyamihānyonyaṃ yuddhaṃ kṛtvāvirodhitāḥ /	kasmAt yUyam iha anyonyam yudDam kRtvA aviroDitAH /
   nṛmāṃsānyapi bhuktvaivaṃ pītvā nṛrudhirāṇyapi //	nR mAMsAni api BuktvA evam pItvA nR ruDirANi api //
   kleśāgnidahitātmāno mahāpātacāriṇaḥ /	kleSa agni dahita AtmAnaH mahApAta cAriNaH /
   bhūtayakṣā iva kṣurāśvarathaivamabhadrake //	BUta yakzAH iva kzura aSva raTa evam aBadrake //
   iti tatpṛṣṭamālokya sarve te durjanā api /	iti tat pRzwam Alokya sarve te durjanAH api /
   tatpuṇyāṃśuparispṛṣṭā bhavanti damitāśayāḥ //	tad puNya aMSu parispRzwAH Bavanti damita ASayAH //
   tataḥ sarve 'pi te tasya purataḥ samupāśritāḥ /	tatas sarve api te tasya puratas samupASritAH /
   taṃ samīkṣya mahāsattvaṃ nivedayanti tadvṛtim //	tam samIkzya mahAsattvam nivedayanti tat vRtim //
   sādho yadatra durbhikṣamahotpātaṃ pravartate /	sADo yat atra durBikza mahA utpAtam pravartate /
   tannātra vidyate kiṃcidannaṃ pānaṃ ca bhojanam //	tat na atra vidyate kiMcid annam pAnam ca Bojanam //
   viṃśativarṣaṃjāto sa dahatiḥ pravartitā /	viMSati varzaMjAtaH sa dahatiH pravartitA /
   tatkṣuttṛṣṇāgnisaṃdagdhāḥ sarve 'tikleśitā vayam //	tad kzut tRzNA agni saMdagDAH sarve ati kleSitAH vayam //
   yadevaṃ kleśasaṃtaptā duḥsahavedanāturāḥ /	yat evam kleSa saMtaptAH duHsaha vedanA AturAH /
   niḥsnehā nirdayāḥ krūrāścāṇḍālavṛtticāriṇaḥ //	niHsnehAH nirdayAH krUrAH cANxAla vRtti cAriNaH //
   tadanyonyaṃ nihatyāpi yuddhaṃ kṛtvā divāniśam /	tad anyonyam nihatya api yudDam kRtvA divAniSam /
   nṛmāṃsānyapi bhuṃjānāḥ pītvā nṛrudhirāṇyapi //	nR mAMsAni api BuMjAnAH pItvA nR ruDirANi api //
   kṛtvātidāruṇaṃ karma mahāpātakacāriṇaḥ /	kRtvA ati dAruNam karma mahApAtaka cAriNaH /
   svātmānameva saṃtṛpya pālayantaścarāmahe //	sva AtmAnam eva saMtRpya pAlayantaH carAmahe //
   viṃśativarṣaparyāptaṃ kāntāramiha vartate /	viMSati varza paryAptam kAntAram iha vartate /
   abhakṣyānyapi tadbhuktvā pālayāmaḥ svajīvitam //	aBakzyAni api tat BuktvA pAlayAmaH sva jIvitam //
   tadbhavān yadi śaknoti durbhikṣaṃ śamayanniha /	tad BavAn yadi Saknoti durBikzam Samayan= iha /
   kṛtvā subhikṣamasmākaṃ trātā bhavitumarhati //	kRtvA suBikzam asmAkam trAtA Bavitum arhati //
   iti taiḥ kathitaṃ śrutvā bodhisattvaḥ sa ṛddhimān /	iti tEH kaTitam SrutvA boDisattvaH saH RdDimAn /
   gatvā khe vividhaṃ dravyaṃ pravarṣayati sarvataḥ //	gatvA Ke viviDam dravyam pravarzayati sarvatas //
   (Gkv 149)	(Gku 149)
   prathamamaudakaṃ varṣaṃ pravartitaṃ samantataḥ /	praTamam Odakam varzam pravartitam samantataH /
   tad dṛṣṭvā te janāḥ sarve sāścaryaharṣitāśayāḥ //	tat dRzwvA te janAH sarve sa AScarya harzita ASayAH //
   tad mṛtaṃ sukhaṃ pītvā yathecchayā pramoditāḥ /	tat mRtam suKam pItvA yaTA icCayA pramoditAH /
   saṃtṛptarisantuṣṭā bhavanti prīṇītāśrayāḥ //	saMtRptari santuzwAH Bavanti prINIta ASrayAH //
   tataścāsau mahābhijño bhogyāni vividhāni ca /	tatas ca asO mahA aBijQaH BogyAni viviDAni ca /
   supiṣṭādīni khādyāni varṣayati samantataḥ //	su pizwa AdIni KAdyAni varzayati samantataH //
   tāni dṛṣṭvā ca te sarve samāgṛhya yathecchayā /	tAni dRzwvA ca te sarve samAgRhya yaTA icCayA /
   prabhuktvā sukhamāsādya tiṣṭhanti vismayānvitāḥ //	praBuktvA suKam AsAdya tizWanti vismaya anvitAH //
   yadāhāreaṇa saṃtṛptāḥ sarve te saṃpramoditāḥ /	yat AhAreaNa saMtRptAH sarve te saMpramoditAH /
   tadā dhānyādisarvāṇi vrīhiśasyāni varṣayan //	tadA DAnya Adi sarvANi vrIhiSasyAni varzayan //
   vividhāni ca vastrāṇi dravyāṇi vividhānyapi /	viviDAni ca vastrANi dravyANi viviDAni api /
   sarvāṇi dhāturatnāni sarvāṇi bhūṣaṇāni ca //	sarvANi DAtu ratnAni sarvANi BUzaNAni ca //
   varṣayaṃstatra sarvatra karoti tān pramoditān /	varzayan= tatra sarvatra karoti tAn pramoditAn /
   taddṛṣṭvā sakalā lokā bhavanti vismayānvitāḥ //	tat dRzwvA sakalAH lokAH Bavanti vismaya anvitAH //
   tāni sarvāṇi te sarve dṛṣṭvādāya yathecchayā /	tAni sarvANi te sarve dRzwvA AdAya yaTA icCayA /
   pūrayitvā gṛhe koṣṭhe bhavanti pratinanditāḥ //	pUrayitvA gRhe kozWe Bavanti pratinanditAH //
   yadā teṣāmabhiprāyaṃ sarvesāmanusidhyate /	yadA tezAm aBiprAyam sarvesAm anusiDyate /
   tadā te nanditāḥ sarve sametyekānta āśritāḥ //	tadA te nanditAH sarve sameti a ikAnte ASritAH //
   parasparaṃ samālokya sāścaryaharṣitāśayāḥ /	parasparam samAlokya sa AScarya harzita ASayAH /
   aho kasyānubhāvo 'yamityuktvā samupāsthitāḥ //	aho kasya anuBAvaH ayam iti uktvA samupAsTitAH //
   tadāsau trijagacchāstā vṛddhamekaṃ mahallakam /	tadA asO trijagat SAstA vRdDam ekam mahallakam /
   sudṛṣṭyā samadhiṣṭhāya preṣayanti tadantike //	su dRzwyA samaDizWAya prezayanti tad antike //
   tatra sa saṃcaran vṛddho jīrṇaḥ kubjo mahallakaḥ /	tatra sa saMcaran vRdDaH jIrNaH kubjaH mahallakaH /
   daṇḍaparāyaṇo gatvā śanaiḥ paścanniṣīdati //	daNxa parAyaNaH gatvA SanEs paScannizIdati //
   tatra madhye niṣītvā sa vṛddhastān samupāśritān /	tatra maDye nizItvA sa vRdDaH tAn samupASritAn /
   sarvāṃllokān samālokya kathayatyevamānataḥ //	sarvAn= lokAn samAlokya kaTayati evamAnataH //
   kiṃ manyadhva idaṃ bhadraṃ jātaṃ kasyānubhāvataḥ /	kim manyaDvaH idam Badram jAtam kasya anuBAvataH /
   kasyāpīdṛkprabhāvaṃ hi nāsti traidhātukeṣvapi //	kasya api IdRS praBAvam hi na asti trEDAtukezu api //
   (Gkv 150)	(Gku 150)
   jñāyāaṃ hyanubhāvo 'yaṃ lokeśasya jagatprabhoḥ /	jQAyAam hi anuBAvaH ayam lokeSasya jagat praBoH /
   śrūyatāṃ vakṣyate tasya prabhāvo 'tra mayādhunā //	SrUyatAm vakzyate tasya praBAvaH atra mayA aDunA //
   yo lokeśvaro nāma bodhisattvo jinātmajaḥ /	yaH lokeSvaraH nAma boDisattvaH jina AtmajaH /
   mahāsattvo mahābhijñastraidhātukādhipeśvaraḥ //	mahAsattvaH mahA aBijQaH trEDAtuka aDipa ISvaraH //
   sa sarveṣāmapi trātā nāthaḥ śāstā hitārthabhṛt /	sa sarvezAm api trAtA nATaH SAstA hita arTa BRt /
   dharmaśrīguṇasaṃpattisukhabhartā guruṃ prabhuḥ //	Darma SrI guNa saMpatti suKa BartA gurum praBuH //
   andhānāmapi sanmārgaṃ darśayati pradīpavat /	anDAnAm api sat mArgam darSayati pradIpa vat /
   sūryāditāpadagdhānāṃ chatrībhūtaḥ sudhāṃśuvat //	sUrya Adi tApa dagDAnAm CatrIBUtaH suDAMSu vat //
   tṛṣitānāṃ nadībhūtaḥ kṣudhitānāṃ suradrumaḥ /	tRzitAnAm nadIBUtaH kzuDitAnAm suradrumaH /
   rogiṇāṃ śalyahṛdvaidyaḥ mātā pitā ca duḥkhinām //	rogiNAm Salya hRd vEdyaH mAtA pitA ca duHKinAm //
   narakābhyuopapannānāmuddhartā nirvṛtipradaḥ /	naraka aByua upapannAnAm udDartA nirvRti pradaH /
   daridrānāṃ pradātā ca śaraṇyaṃ śaraṇārthinām //	daridrAnAm pradAtA ca SaraNyam SaraNa arTinAm //
   agatīnāṃ gatirbandhumitraṃ dvipaḥ parāyaṇaḥ /	agatInAm gatiH banDu mitram dvipaH parAyaNaH /
   kimeva bahunākhyāya sarvadharmādhipo 'pyasau //	kim eva bahunA AKyAya sarva Darma aDipaH api asO //
   sukhitāste mahābhāgā bhadrāḥ saddharmalābhinaḥ /	suKitAH te mahABAgAH BadrAH sat Darma lABinaH /
   ye 'sya traidhātunāthasya smṛtvā bhajanti sarvadā //	ye asya trEDAtu nATasya smRtvA Bajanti sarvadA //
   te 'pi dhanyā mahātmānaḥ saddharmaguṇalābhinaḥ /	te api DanyAH mahAtmAnaH sat Darma guNa lABinaH /
   ye 'sya nāma samuccārya bhajanti śraddhayā sadā //	ye asya nAma samuccArya Bajanti SradDayA sadA //
   te bhavaduḥkhanirmuktā niḥkleśā vimalāśayāḥ /	te Bava duHKa nirmuktAH niHkleSAH vimala ASayAH /
   pūjāṃgaiḥ śraddhayābhyarcya bhajanti ye samādarāt //	pUjA aMgEH SradDayA aByarcya Bajanti ye samAdarAt //
   ye cāsya maṇḍalaṃ kṛtvaṃ samabhyarcya yathāvidhi /	ye ca asya maNxalam kRtvam samaByarcya yaTAviDi /
   japastotrapraṇāmādyairbhajante śaraṇāśritāḥ //	japa stotra praNAma AdyEH Bajante SaraNa ASritAH //
   te bhavanti mahārājā narendrāścakravartinaḥ /	te Bavanti mahA rAjAH narendrAH cakravartinaH /
   dharmaśrīguṇasatkīrtisaptaratnasamanvitāḥ //	Darma SrI guNa sat kIrti sapta ratna samanvitAH //
   saumyāḥ sugandhikāyāśca pūrṇagātrāḥ śubhendriyāḥ /	sOmyAH suganDikAyAH ca pUrNa gAtrAH SuBa indriyAH /
   jātismarāḥ subhadrāṃśāḥ saddharmaguṇasādhinaḥ //	jAti smarAH suBadrA aMSAH sat Darma guNa sADinaH //
   evaṃ tasya jagattrātuḥ sadguṇaṃ varṇyate katham /	evam tasya jagat trAtuH sat guNam varNyate kaTam /
   aprameyamasaṃkhyemityākhyātaṃ munīśvaraiḥ //	aprameyam asaMKyem iti AKyAtam muni ISvarEH //
   (Gkv 151)	(Gku 151)
   evaṃ tasya mahatpuṇyaskandhamahattaraṃ varam /	evam tasya mahat puNya skanDa mahattaram varam /
   yūyaṃ vijñāya nāmāpi smṛtvā bhajata sarvadā //	yUyam vijQAya nAma api smRtvA Bajata sarvadA //
   ye cāsya śraddhayā nityaṃ smṛtvā dhyātvā samāhitāḥ /	ye ca asya SradDayA nityam smRtvA DyAtvA samAhitAH /
   nāmāpi ca samuccārya bhajanti śaraṇāśritāḥ //	nAma api ca samuccArya Bajanti SaraNa ASritAH //
   durgatiṃ te na gacchanti kadācidapi kutracit /	durgatim te na gacCanti kadAcid api kutracid /
   sadā sadgatisaṃjātā bhavanti śrīguṇāśrayāḥ //	sadA sat gati saMjAtAH Bavanti SrI guNa ASrayAH //
   kṛtvā bhadrāṇi sattvānāṃ bhuktvā saukhyāni sarvadā /	kRtvA BadrANi sattvAnAm BuktvA sOKyAni sarvadA /
   bodhicaryāvrataṃ dhṛtvā prānte yānti sukhāvatīm //	boDi caryA vratam DRtvA prAnte yAnti suKAvatIm //
   tatrāmitaruceḥ śāstuḥ pītvā dharmāmṛtaṃ sadā /	tatra amita ruceH SAstuH pItvA Darma amRtam sadA /
   trividhāṃ bodhimāsādya nirvṛtipadamāpnuyuḥ //	triviDAm boDim AsAdya nirvRti padam ApnuyuH //
   iti tena samādiṣṭaṃ śrutvā sarve 'pi te janāḥ /	iti tena samAdizwam SrutvA sarve api te janAH /
   tatheti pratinanditvā vrajanti svagṛhaṃ tataḥ //	taTA iti pratinanditvA vrajanti sva gRham tatas //
   so 'pi mahallako vṛddhaḥ saddharmaguṇavistaram /	saH api mahallakaH vRdDaH sat Darma guNa vistaram /
   samākhyāya samutthāya saṃprayāti svamālayam //	samAKyAya samutTAya saMprayAti svam Alayam //
   tadā sarve 'pi te loka māgadhikāḥ prabodhitāḥ /	tadA sarve api te loka mAgaDikAH praboDitAH /
   lokeścaramanusmṛtvā bhajanti sarvadā mudā //	lokeH caram anusmRtvA Bajanti sarvadA mudA //
   tadārabhya sadā tatra subhikṣaṃ saṃpravartitam /	tat AraBya sadA tatra suBikzam saMpravartitam /
   sarve sattvā yathākāmaṃ bhuktvā caranti sadvṛṣe //	sarve sattvAH yaTAkAmam BuktvA caranti sat vRze //
   sarve te vimalātmānaścaturbrahmavihāriṇaḥ /	sarve te vimala AtmAnaH catur brahma vihAriNaH /
   bodhicaryāvrataṃ dhṛtvā saṃcarante śubhe sadā //	boDi caryA vratam DRtvA saMcarante SuBe sadA //
   evaṃ sa trijagannātho lokeśvaro jinātmajaḥ /	evam sa trijagannATaH loka ISvaraH jina AtmajaH /
   sarvadharmādhipaḥ śāstā bodhisattvaḥ kṛpānidhiḥ //	sarva Darma aDipaH SAstA boDisattvaH kRpA niDiH //
   svayaṃ sattvān samāalokya pāpino durjanānapi /	svayam sattvAn samAalokya pApinaH durjanAn api /
   bodhayitvā prayatnena cārayati śubhe vrate //	boDayitvA prayatnena cArayati SuBe vrate //
   evaṃ tasya jagadbhartuḥ puṇyaskandhaṃ mahattaram /	evam tasya jagat BartuH puNya skanDam mahattaram /
   aprameyamasaṃkhyeyamityākhyātaṃ jinairapi //	aprameyam asaMKyeyam iti AKyAtam jinEH api //
   tenāsau trijagannāthaḥ sarvatraidhātukādhipaḥ /	tena asO trijagannATaH sarva tra eDAtuka aDipaH /
   sarvarmābhisaṃbhartā bodhiśrīguṇaratnabhṛt //	sarva rma aBisaMBartA boDi SrI guNa ratna BRt //
   (Gkv 152)	(Gku 152)
   sarvairmunīśvaraiścāpi praśaṃsito 'bhisaṃṣṭutaḥ /	sarvEH muni ISvarEH ca api praSaMsitaH aBisaMzwutaH /
   sarvairlokādhipaiścāpi nityaṃ smṛtvābhivanditaḥ //	sarvEH loka aDipEH ca api nityam smRtvA aBivanditaH //
   ityevaṃ tasya saddharmaguṇamāhātmyamuttamam /	iti evam tasya sadDarma guNa mAhAtmyam uttamam /
   vijñāya smaraṇaṃ dhṛtvā bhajantu bodhivāṃchinaḥ //	vijQAya smaraNam DRtvA Bajantu boDivAMCinaH //
   ye tasya śaraṇe sthitvā smṛtvā dhvātvāpi cetasā /	ye tasya SaraNe sTitvA smRtvA DvAtvA api cetasA /
   nāmoccāryābhivanditvā stutvā bhajanti sarvadā //	nAma uccArya aBivanditvA stutvA Bajanti sarvadA //
   durgatiṃ te na gacchanti kvacidapi kadācana /	durgatim te na gacCanti kvacid api kadAcana /
   sadā sadgatisaṃjātā bhavanti bodhicāriṇaḥ //	sadA sat gati saMjAtAH Bavanti boDi cAriNaH //
   bodhicaryāvrataṃ dhṛtvā sarvasattvahitodyatāḥ /	boDi caryA vratam DRtvA sarva sattva hita udyatAH /
   bodhiśrīguṇasaṃpannāḥ saṃprayānti sukhāvatīm //	boDi SrI guNa saMpannAH saMprayAnti suKAvatIm //
   tatrāmitaruceḥ śāstuḥ pītvā dharmāmṛtaṃ sadā /	tatra amita ruceH SAstuH pItvA Darma amRtam sadA /
   trividhāṃ bodhimāsādya saṃbuddhapadamāpnuyuḥ //	triviDAm boDim AsAdya saMbudDa padam ApnuyuH //
   iti yūyamapi jñātvā smṛtvā taṃ triguṇādhipam /	iti yUyam api jQAtvA smRtvA tam triguNa aDipam /
   dhyātvā smṛtvābhivanditvā bhajadhvaṃ sarvadādarāt //	DyAtvA smRtvA aBivanditvA BajaDvam sarvadA AdarAt //
   ityādiṣṭaṃ munīndreṇa viśvabhuvā niśamya te /	iti Adizwam muni indreNa viSvaBuvA niSamya te /
   sarve lokāstathetyuktvā prābhyanandan prabodhitāḥ //	sarve lokAH taTA iti uktvA prAByanandan praboDitAH //
   // iti māgadhikasattvaprabodhanoddhāraṇaprakaraṇaṃ samāptam //	// iti mAgaDika sattva praboDana udDAraNa prakaraNam samAptam //
   15. śrījetārāma viśvabhū darśana sukhāvatī pratyudgama prakaraṇam	15. SrI jetArAma viSvaBU darSana suKAvatI pratyudgama prakaraNam
   atha sarvanīvaraṇaviṣkambhī sa jinātmajaḥ /	aTa sarva nIvaraNa vizkamBI sa jina AtmajaH /
   sāṃjaliḥ śrīghanaṃ natvā samālokyaivamabravīt //	sAMjaliH SrIGanam natvA samAlokya evam abravIt //
   bhagavan sa mahāsattvo lokeśvarastataścaran /	Bagavan sa mahAsattvaH lokeSvaraH tatas caran /
   kutra sattvān samuddhartuṃ saṃprayātastadādiśa //	kutra sattvAn samudDartum saMprayAtaH tat AdiSa //
   iti taduktamākarṇya bhagavan sa munīśvaraḥ /	iti tat uktam AkarNya Bagavan sa muni ISvaraH /
   sabhāṃ viṣkambhinaṃ taṃ ca samālokyaivamādiśat //	saBAm vizkamBinam tam ca samAlokya evam AdiSat //
   tato 'pyantarhitaścāsau lokeśvaro viyadgataḥ /	tatas api antarhitaH ca asO loka ISvaraH viyat gataH /
   saṃbhāsayan jagallokaṃ sthitvā caivaṃ vyacintayat //	saMBAsayan jagat lokam sTitvA ca evam vyacintayat //
   (Gkv 153)	(Gku 153)
   jetārāme vihāre 'dya sarvadevāsurādayaḥ /	jetArAme vihAre adya sarva deva asura AdayaH /
   lokāḥ sametya saddharmaṃ śrotuṃ sabhāsamāśritāḥ //	lokAH sametya sadDarmam Srotum saBA samASritAH //
   ahamapi munīndraṃ taṃ viśvabhuvaṃ jagadgurum /	aham api muni indram tam viSvaBuvam jagadgurum /
   vandituṃ tasya dharmaṃ ca śrotuṃ gaccheyaṃ sāmpratam //	vanditum tasya Darmam ca Srotum gacCeyam sAmpratam //
   iti dhyātvā sa lokeśvaraḥ prabhāsayan samantataḥ /	iti DyAtvA sa lokeSvaraH praBAsayan samantataH /
   prahlādayan jagallokaṃ jetārāmamupācarat //	prahlAdayan jagat lokam jetA ArAmam upAcarat //
   tatra sa samupāviśya saṃpaśyanstaṃ munīśvaram /	tatra sa samupAviSya saMpaSyan= tam muni ISvaram /
   sarvāvatīṃ sabhāṃ tāṃ ca saṃbhāsayannupāsarat //	sarvAvatIm saBAm tAm ca saMBAsayan= upAsarat //
   taṃ dṛṣṭvā samupāyātaṃ gaganagaṃja utthitaḥ /	tam dRzwvA samupAyAtam gagana gaMjaH utTitaH /
   upetya taṃ muniṃ natvā sāṃjalirevamabravīt //	upetya tam munim natvA sAMjaliH evam abravIt //
   bhagavannayamāyātaḥ katamassugatātmajaḥ /	Bagavan= ayam AyAtaH katamaH su gata AtmajaH /
   bodhisattvo jagallokaṃ prabhāsayan samāgataḥ //	boDisattvaH jagat lokam praBAsayan samAgataH //
