   yogācārabhūmau	yoga AcAra BUmO
   pariṣadaṃ parikarṣati / cittamanuvartate / bhūtairguṇairharṣayati / samyak	parizadam parikarzati / cittam anuvartate / BUtEH guNEH harzayati / samyak 
   ca nigṛhṇāti / (Dutt 144) ṛddhyā cotrāsayatyāvarjayati ceti /	ca nigRhNAti / (Dutt 144) RdDyA ca utrAsayati Avarjayati ca iti /
   tadaitatsarvamekadhyamabhisaṃkṣipya bodhisattvānāṃ sarvadhyānamityucyate /	tadA etat sarvam ekaDyam aBisaMkzipya boDisattvAnAm sarva DyAnam iti ucyate /
   nāta uttari nāto bhūyaḥ /	na atas uttari na atas BUyas /
   tatra katamadbodhisattvānāṃ duṣkaradhyānam / tat trividhaṃ draṣṭavyam /	tatra katamat boDisattvAnAm duzkara DyAnam / tat triviDam drazwavyam /
   yadbadhisattvā udārairvicitraiḥ	yat baDisattvAH udArEH vicitrEH
   suparicitairdhyānavihārairabhinirhṛtairvihṛtya svecchayā tatparamaṃ	su paricitEH DyAna vihArEH aBinirhRtEH vihRtya sva icCayA tat paramam
   dhyānasukhaṃ vyāvartya pratisaṃkhyāya sattvānukampā prabhūtāṃ	DyAna suKam vyAvartya pratisaMKyAya sattva anukampA praBUtAm
   sattvārthakriyāṃ sattvārthaparipākaṃ samanupaśyantaḥ kāmadhātāvupapadyante	sattva arTa kriyAm sattva arTa paripAkam samanupaSyantaH kAmaDAtO= upapadyante
   / idaṃ bodhisattvānāṃ prathama duṣkaradhyānaṃ veditavyam /	/ idam boDisattvAnAm praTama duzkara DyAnam veditavyam /
   punaryadbodhisattvo dhyānaṃ	punar yat boDisattvaH DyAnam
   niśrityāprameyāsaṃkhyeyācintyānsarvaśrāvakapratyekabuddhaviṣayasamatikrāntān	niSritya aprameya asaMKyeya acintyAn sarva SrAvaka pratyekabudDa vizaya samatikrAntAn
   bodhisattvasamādhīnabhinirharati / idaṃ bodhisattvasya dvitīyaṃ	boDisattva sama aDInaBinirharati / idam boDisattvasya dvitIyam
   duṣkaradhyānaṃ veditavyam / punaryadbodhisattvo dhyānaṃ niśrityānuttarāṃ	duzkara DyAnam veditavyam / punar yat boDisattvaH DyAnam niSritya anuttarAm
   samyaksaṃbodhimabhisaṃbudhyate / itīdaṃ bodhisattvasya tṛtīya	samyaksaMboDim aBisaMbuDyate / iti idam boDisattvasya tRtIya
   duṣkaradhyānaṃ veditavyam /	duzkara DyAnam veditavyam /
   tatra katamadbodhisattvasya sarvatomukhaṃ dhyānam / taccaturvidhaṃ	tatra katamat boDisattvasya sarvatomuKam DyAnam / tat caturviDam
   draṣṭavyam / savitarkaṃ savicāraṃ [vivekajaṃ samādhijaṃ] prītisahagataṃ	drazwavyam / sa vitarkaM sa vicAram [viveka jam samADi jaM] prIti sahagatam
   sāta sukhasahagatamupekṣāsahagata ca /	sAta  suKa sahagatam upekzA sahagata ca /
   tatra katamadbodhisattvasya satpuruṣadhyānam / tatpañcavidhaṃ draṣṭavyam /	tatra katamat boDisattvasya sat puruza DyAnam / tat paQcaviDam drazwavyam /
   anākhāditaṃ maitrīsahagataṃ karuṇāsahagataṃ	anAKAditam mEtrI saha gatam karuNA sahagatam
   muditāsahagatamupekṣāsahagatañca /	mudita asahagatam upekzA sahaga taQca /
   tatra katamadbodhisattvasya sarvākāra dhyānam / tatṣaḍvidhaṃ [saptavidhaṃ]	tatra katamat boDisattvasya sarva AkAra DyAnam / tad zaxviDam [saptaviDaM]
   caikadhyamabhisaṃkṣipya trayodaśavidhaṃ veditavyam / kuśalaṃ	ca EkaDyam aBisaMkzipya trayodaSaviDam veditavyam / kuSalam
   dhyānamavyākṛtaṃ ca nirmitanirmāṇāya dhyānaṃ śamathapakṣyaṃ	DyAnam avyAkRtam ca nirmita nirmANAya DyAnam SamaTa pakzyam
   vipaśyanāpakṣyaṃ svaparārthasamyagupanidhyānāya dhyānaṃ	vipaSyana apakzyam sva para arTa samyak upaniDyAnAya DyAnam
   abhijñāprabhāvaguṇarnirhārāya dhyānaṃ nāmālambanaṃmarthālambanaṃ	aBijQA praBAva guNarnirhArAya DyAnam nAma AlambanaMmarTa Alambanam
   śamathanimittālambanaṃ pragrahanimittālambanamupekṣānimittālambanaṃ	SamaTa nimitta Alambanam pragraha nimitta Alambanam upekzA nimitta Alambanam
   [dṛṣṭadharmasukha]vihārāya parārthakriyāyai ca dhyānam / itīdaṃ	[dRzwa Darma suKa]vihArAya para arTa kriyAyE ca DyAnam / iti idam
   trayodaśākāraṃ bodhisattvānāṃ dhyānaṃ sarvākāramityucyate /	trayodaSa AkAram boDisattvAnAm DyAnam sarva AkAram iti ucyate /
   tatra katamadbodhisattvasya vighātārthikadhyānam / tadaṣṭavidhaṃ	tatra katamat boDisattvasya viGAta arTika DyAnam / tat azwaviDam
   draṣṭavyam / viṣāśani viṣamajvarabhūtagrahādyupadravasaṃśamakānāṃ siddhaye	drazwavyam / viza aSani vizamajvara BUta graha Adi upadrava saMSamakAnAm sidDaye
   mantrāṇāmadhiṣṭhāyakaṃ dhyānam / dhātubhaiṣamyajātānāñca vyādhīnāṃ	mantrANAm aDizWAyakam DyAnam / DAtu BEzami ajAta anAQca vyADInAm
   vividhānāṃ vyupaśamāya dhyānam / durbhikṣeṣu mahārauraveṣu	viviDAnAm vyupaSamAya DyAnam / durBikzezu mahArOravezu
   pratyupasthiteṣu vṛṣṭinirhārakaṃ dhyānam / vividhebhyo bhayebhyo (Dutt	pratyupasTitezu vRzwi nirhArakam DyAnam / viviDeByaH BayeByaH (Dutt
   145) manuṣyāmanuṣyakṛtebhyo jalasthalagatebhyaḥ samyak paritrāṇā dhyayānam	145) manuzya amanuzya kRteByaH jala sTala gateByaH samyak paritrANAH DyayAnam
   / tathā bhojanapānahīnānāmaṭavīkāntāragatānāṃ bhojanapānopasaṃhārāya	/ taTA Bojana pAna hInAnAm awavI kAntAra gatAnAm Bojana pAna upasaMhArAya
   dhyānam / bhogavihīnānāṃ vineyānāṃ bhogopasahārāya dhyānam / daśasu dikṣu	DyAnam / Boga vihInAnAm vineyAnAm Boga upasahArAya DyAnam / daSasu dikzu
   pramattānāṃ sattvānāṃ samyaksaṃbodhanāya dhyānam / utpannotpannānāñca	pramattAnAm sattvAnAm samyaksaMboDanAya DyAnam / utpanna utpanna anAQca
   sattvakṛtyānāṃ samyak kriyāyai dhyānam /	sattva kRtyAnAm samyak kriyAyE DyAnam /
   tatra katamadbodhisattvasyehāmutrasukhaṃ dhyānam / tannavavidhaṃ	tatra katamat boDisattvasya Iha amutra suKam DyAnam / tat navaviDam
   draṣṭavyam / ṛddhiprātihāryeṇa sattvānāṃ vinayāya dhyānam /	drazwavyam / RdDi prAtihAryeNa sattvAnAm vinayAya DyAnam /
   ādeśanāprātihāryeṇānuśāstiprātihāryeṇa sattvānāṃ vinayāya dhyānam /	AdeSanA prAtihAryeNa anuSAsti prAtihAryeNa sattvAnAm vinayAya DyAnam /
   pāpaśāriṇāmapāyabhūmividarśanaṃ dhyānam / naṣṭapratibhānānāṃ sattvānāṃ	pApa SAriNAm apAya BUmi vidarSanam DyAnam / nazwa pratiBAnAnAm sattvAnAm
   pratibhānopasaṃhārāya dhyānam / muṣitasmṛtīnāṃ sattvānāṃ smṛtyupasaṃhārāya	pratiBAna upasaMhArAya DyAnam / muzita smRtInAm sattvAnAm smRti upasaMhArAya
   dhyānam / aviparītaśāsrakāvyamātṛkānibandhavyavasthānāya	DyAnam / aviparIta SAsra kAvya mAtRkA nibanDa vyavasTAnAya
   saddharmacirasthitikatāyai dhyānam / laukikānāṃ	sadDarma cira sTitika tAyE DyAnam / lOkikAnAm
   śilpakarmasthānānāmarthopasaṃhitānāṃ sattvānugrāhakāṇāṃ	Silpa karma sTAnAnAm arTa upasaMhitAnAm sattva anugrAhakANAm
   lipigaṇananyasanasaṃkhyāmudrādīnāṃ mañcapīṭhacchatropānahādīnāñca	lipi gaNana nyasana saMKyA mudrA AdInAm maQcapIWa= Catra upAnaha AdIn AQca
   vicitrāṇāṃ vividhānāṃ bhāṇḍopaskarāṇāmanupravartakaṃ dhyānam /	vicitrANAm viviDAnAm BANxa upaskarANAm anupravartakam DyAnam /
   apāyabhūmyupapannānāñca sattvānāṃ tat	apAya BUmi upapannAnAQca sattvAnAm tat 
   kālāpāyikaduḥkhapratiprasrambhaṇatāyai raśmipramocakaṃ dhyānam /	kAla ApAyika duHKa pratiprasramBaNa tAyE raSmi pramocakam DyAnam /
   tatra katamadbodhisattvasya viśuddhaṃ dhyānam / taddaśavidhaṃ draṣṭavyam /	tatra katamat boDisattvasya viSudDam DyAnam / tad daSaviDam drazwavyam /
   laukikyā śuddhyā [vi]śuddhamanāsvāditaṃ dhyānam / akliṣṭaṃ lokottarayā	lOkikyA SudDyA [vi]SudDam anAsvAditam DyAnam / aklizwam loka uttarayA
   śuddhyā [vi]śuddhaṃ dhyānam / prayogaśuddhyā [vi]śuddhaṃ maulaviśuddhyā	SudDyA [vi]SudDam DyAnam / prayoga SudDyA [vi]SudDam mOla viSudDyA
   [vi]śuddhaṃ maulaviśeṣottaraviśuddhyā viśuddhaṃ dhyānam /	[vi]SudDam mOla viSeza uttara viSudDyA viSudDam DyAnam /
   praveśasthitivyutthānavaśitāviśuddhyā viśuddhaṃ dhyānam / dhyānavyāvartane	praveSa sTiti vyutTAna vaSitA viSudDyA viSudDam DyAnam / DyAna vyAvartane
   punaḥ samādapanavaśitā viśuddhyā viśuddhaṃ dhyānam	punar samAdapana vaSitA  viSudDyA viSudDam DyAnam
   abhijñāvikurvaṇavaśitā viśuddhyā viśuddhaṃ dhyānam /	aBijQA vikurvaNa vaSitA  viSudDyA viSudDam DyAnam /
   sarvadṛṣṭigatāpagamaviśuddhyā viśuddhaṃ dhyānam /	sarva dRzwi gata apagama viSudDyA viSudDam DyAnam /
   kleśajñeyāvaraṇaprahāṇaviśuddhyā ca viśuddhaṃ dhyānam /	kleSa jQeya AvaraNa prahANa viSudDyA ca viSudDam DyAnam /
   ityetaddhyānamaprameya bodhisattvānāṃ mahābodhiphalaṃ yadāśritya	iti etat DyAnam aprameya boDisattvAnAm mahA boDi Palam yat ASritya
   bodhisattvā dhyānapāramitāṃ paripūrya anuttarāṃ	boDisattvAH DyAna pAramitAm paripUrya anuttarAm
   samyaksaṃbodhimabhisambuddhavanto 'bhisaṃ[bhotsyante 'bhisaṃ]budhyante ca	samyaksaMboDim aBisambudDavantaH aBisaM[Botsyante aBisaM]buDyante ca
   iti bodhisattvabhūmāvādhāre yogasthāne trayodaśamaṃ dhyānapaṭalam /	iti boDisattva BUmO= ADAre yoga sTAne trayodaSamam DyAna pawalam /
   (Dutt 146)	(Dutt 146)
   Prajñāpaṭalam (Chapter 1.14)	PrajQA pawalam (ChapteH 1.14)
   uddānaṃ pūrvavadveditavyam /	uddAnam pUrvavat veditavyam /
   tatra katamo bodhisattvasya prajñāsvabhāvaḥ / sarvajñeyapraveśāya ca	tatra katamaH boDisattvasya prajQA svaBAvaH / sarva jQeya praveSAya ca
   sarvajñeyānupraviṣṭaśca yo dharmāṇāṃ pravicayaḥ pañcavidyāsthānānyālambya	sarva jQeya anupravizwaH ca yaH DarmANAm pravicayaH paQca vidyA sTAnAni Alambya
   pravartate adhyātmavidyāṃ hetuvidyāṃ śabdavidyāñcikitsāvidyāṃ	pravartate aDyAtma vidyAm hetu vidyAm Sabda vidyAQcikitsA avidyAm
   śilpakarmasthānavidyāñca / ayaṃ bodhisattvānāṃ prajñāsvabhāvo veditavyaḥ /	Silpa karma sTAna vidyAQca / ayam boDisattvAnAm prajQA svaBAvaH veditavyaH /
   tatra katamā bodhisattvānāṃ sarvā prajñā / sā dvividhā draṣṭavyā / laukikī	tatra katamA boDisattvAnAm sarvA prajQA / sA dviviDA drazwavyA / lOkikI
   lokottarā ca / sā punaḥ samāsatastrividhā veditavyā /	lokottarA ca / sA punar samAsatas triviDA veditavyA /
   jñeyatattvānubodhaprativedhāya / pañcasu ca yathānirdiṣṭeṣu vidyāsthāneṣu	jQeya tattva anuboDa prativeDAya / paQcasu ca yaTA nirdizwezu vidyA sTAnezu
   triṣu ca rāśiṣu kauśalyakriyāyai sattvārthakriyāyai ca / yā	trizu ca rASizu kOSalya kriyAyE sattva arTa kriyAyE ca / yA
   bodhisattvānāmanabhilāpyaṃ dharmanairātmyamārabhya satyāvabodhāya vā	boDisattvAnAm anaBilApyam Darma nErAtmyam AraBya satya avaboDAya vA
   satyāvabodhakāle vā satyābhisaṃbodhādvā urddhaṃ prajñā	satya avaboDa kAle vA satya aBisaMboDAt vA urdDam prajQA
   paramapraśamapratyupasthānā nirvikalpā sarvaṃprapañcāgatā sarvaṃdharmeṣu	parama praSama pratyupasTAnA nirvikalpA sarvaMprapaQca AgatA sarvaMDarmezu
   samatānugatā mahāsāmānyalakṣaṇapraviṣṭā jñeyaparyantagatā	samatA anuga tA mahA sAmAnya lakzaNa pravizwA jQeya paryanta gatA
   samāropāpavādāntadvaya vivarjitatvānmadhyamapratipadanusāriṇī / iyaṃ	samAropa apavAda anta dvaya vivarjita tvAt maDyama pratipad anusAriNI / iyam
   bodhisattvānāṃ tattvānubodhaprativedhāya prajñā veditavyā / pañcasu	boDisattvAnAm tattva anuboDa prativeDAya prajQA veditavyA / paQcasu
   vidyāsthāneṣu kauśalyaṃ vistareṇa pūrvavadveditavyaṃ tadyathā	vidyA sTAnezu kOSalyam vistareNa pUrvavat veditavyam tat yaTA
   balagotrapaṭale / trayaḥ punā rāśayorthopasaṃhitānāṃ dharmāṇāṃ rāśiḥ /	bala gotra pawale / trayaH punA rASayorTa upasaMhitAnAm DarmANAm rASiH /
   anarthopasaṃhitānāṃ dharmāṇāṃ rāśiḥ / naivārthopasaṃhitānāṃ nānā	anarTa upasaMhitAnAm DarmANAm rASiH / na eva arTa upasaMhitAnAm nAnA
   'rthopasaṃhitānāṃ dharmāṇāṃ rāśiḥ / ityeteṣvaṣṭāsu sthāneṣu prajñāyāḥ	arTa upasaMhitAnAm DarmANAm rASiH / iti etezu azwAsu sTAnezu prajQAyAH
   kauśalyaparigraho mahāntaṃ niruttaraṃ jñānasambhāraṃ	kOSalya parigrahaH mahAntam niruttaram jQAna samBAram
   paripūrayatyanuttarāyai samyaksaṃbodhaye / sattvārthakriyā punaḥ	paripUrayati anuttarAyE samyaksaMboDaye / sattva arTa kriyA punar 
   pūrvavadekādaśaprakāraiva veditavyā / teṣveva sthāneṣu yā prajñā sā	pUrvavat ekAdaSa prakAra eva veditavyA / tezu eva sTAnezu yA prajQA sA
   sattvārthakriyāyai prajñā veditavyā /	sattva arTa kriyAyE prajQA veditavyA /
   tatra katamā bodhisattvasya duṣkarā prajñā / sā trividhā draṣṭavyā	tatra katamA boDisattvasya duzkarA prajQA / sA triviDA drazwavyA
   gambhīrasya dharmanairātmyajñānāya duṣkarā / sattvānāṃ vinayopāyasya	gamBIrasya Darma nErAtmya jQAnAya duzkarA / sattvAnAm vinaya upAyasya
   prajñānāya duṣkarā / sarvajñeyānāvaraṇajñānāya ca paramaduṣkarā /	prajQAnAya duzkarA / sarva jQeya an AvaraNa jQAnAya ca parama duzkarAH /
   (Dutt 147)	(Dutt 147)
   tatra katamā bodhisattvasya sarvatomukhī prajñā / sā caturvidyā draṣṭavyā	tatra katamA boDisattvasya sarvatomuKI prajQA / sA catur vidyA drazwavyA
   / śrāvakapiṭakaṃ bodhisattvapiṭakaṃ cārabhya śrutamayī prajñā cintāmayī	/ SrAvaka piwakam boDisattva piwakam ca AraBya Sruta mayI prajQA cintA mayI
   prajñā / pratisaṃkhyāya bodhisattvakaraṇīyānuvṛttāvakaraṇīyanivṛttau ca	prajQA / pratisaMKyAya boDisattva karaNIyA anuvRtta avakaraNIya nivRttO ca
   pratisaṃkhyānabalasaṃgṛhītā prajñā / bhāvanābalasaṃgṛhītā ca	pratisaMKyAna bala saMgRhItA prajQA / BAvanA bala saMgRhItA ca
   samāhitabhūmikā apramāṇā prajñā /	samAhita BUmikA apramANA prajQA /
   tatra katamā bodhisattvasya satpuruṣasya satpuruṣaprajñā / sā pañcavidhā	tatra katamA boDisattvasya sat puruzasya sat puruza prajQA / sA paQcaviDA
   draṣṭavyā / saddharmaśravaṇasamudāgatā pratyātmaṃ yoniśo manaskārasahagatā	drazwavyA / sadDarma SravaNa samudAgatA pratyAtmam yoniSas manaskAra sahagatA
   svaparārthaniścitā prajñā kleśavijahanā ca prajñā / aparaḥ paryāyaḥ /	sva para arTa niScitA prajQA kleSa vijahanA ca prajQA / aparaH paryAyaH /
   sūkṣmā yathāvad bhāvikatayā jñeyapraveśāt / nipuṇā yāvadbhāvikatayā	sUkzmA yaTAvat BAvika tayA jQeya praveSAt / nipuNA yAvat BAvika tayA
   jñeyapraveśāt / sahajā pūrvakajñānasaṃbhārasamudāgamāt / āgamopetā	jQeya praveSAt / sahajA pUrvaka jQAna saMBAra samudAgamAt / Agama upetA
   buddhairmahābhūmipraviṣṭaiśca bodhisattvaiḥ	budDEH mahA BUmi pravizwEH ca boDisattvEH
   saṃprakāśitadharmārthasyodgrahaṇadhāraṇāt / adhigamopetā	saMprakASita Darma arTasya udgrahaNa DAraNAt / aDigama upetA
   śuddhāśayabhūmimupādāya yāvanniṣṭhāgamanabhūmiparigrahāt /	SudDa ASaya BUmim upAdAya yAvat nizWA gamana BUmi parigrahAt /
   tatra katamā bodhisattvasya sarvākārā prajñā / sā ṣaḍvidhā saptavidhā	tatra katamA boDisattvasya sarva AkArA prajQA / sA zaxviDA saptaviDA
   caikadhyamabhisaṃkṣipya trayodaśavidhā veditavyā / satyeṣu duḥkhajñānaṃ	ca EkaDyam aBisaMkzipya trayodaSaviDA veditavyA / satyezu duHKa jQAnam
   samudayajñānaṃ nirodhajñānaṃ mārgajñānam / niṣṭhāyāṃ	samudaya jQAnam niroDa jQAnam mArga jQAnam / nizWAyAm
   kṣayajñānamanutpādajñānam / iyaṃ tāvat ṣaḍvidhā prajñā / saptavidhā punaḥ	kzaya jQAnam anutpAda jQAnam / iyam tAvat zaxviDA prajQA / saptaviDA punar 
   dharmajñānamanvayajñānaṃ saṃvṛtijñānamabhijñājñānaṃ lakṣaṇajñānaṃ	Darma jQAnam anvaya jQAnam saMvRti jQAnam aBijQA jQAnam lakzaNa jQAnam
   daśabalapūrvaṅgamaṃ jñānaṃ catasṛṣu ca yuktiṣu yuktijñānam /	daSa bala pUrvaFgamam jQAnam catasRzu ca yuktizu yukti jQAnam /
   tatra katamā bodhisattvasya vidhātārthikaprajñā / sā 'ṣṭavidhā draṣṭavyā /	tatra katamA boDisattvasya viDAtArTika prajQA / sA azwaviDAH drazwavyA /
   dharmāṇāṃ paryāyajñānamārabhya bodhisattvasya dharmapratisaṃvit /	DarmANAm paryAya jQAnam AraBya boDisattvasya Darma pratisaMvid /
   dharmāṇāṃ lakṣaṇajñānamārabhyārthapratisaṃvit / dharmāṇāṃ	DarmANAm lakzaNa jQAnam AraBya arTa pratisaMvid / DarmANAm
   nirvacanajñānamārabhya niruktipratisaṃvit / dharmāṇāṃ	nirvacana jQAnam AraBya nirukti pratisaMvid / DarmANAm
   prakārapadaprabhedamārabhya pratibhānapratisaṃvit /	prakAra pada praBA idam AraBya pratiBAna pratisaMvid /
   sarvaparapravādinigrahāya bodhisattvasya prajñā /	sarva para pravAdi nigrahAya boDisattvasya prajQA /
   sarvasvavādavyavasthānapratiṣṭhāpanāya ca prajñā / gṛhatantrasamyak	sarva sva vAda vyavasTAna pratizWApanAya ca prajQA / gRha tantra samyak 
   praṇayanāya kulodayāya prajñā / rājanītilaukikavyavahāranītiṣu ca	praNayanAya kula udayAya prajQA / rAjanI ti lOkika vyavahAra nItizu ca
   bodhisattvasya yā niścitā prajñā /	boDisattvasya yA niScitA prajQA /
   tatra katamā bodhisattvasyehāmutrasukhā prajñā / sā navavidhā draṣṭavyā /	tatra katamA boDisattvasya iha amutra suKA prajQA / sA navaviDAH drazwavyA /
   adhyātmavidyāyāṃ suvyavadātā supratiṣṭhitā prajñā / hetuvidyāyāṃ	aDyAtma vidyAyAm su vyavadAtA su pratizWitA prajQA / hetu vidyAyAm
   śabdavidyāyāṃ cikitsāvidyāyāṃ laukikaśilpakarmasthānavidyāyāṃ suvyavadātā	Sabda vidyAyAm cikitsA avidyAyAm lOkika Silpa karma sTAna vidyAyAm su vyavadAtA
   no tu pratiṣṭhitā prajñā / tāmeva ca suvyavadātāṃ pañcaprakārāṃ vidyāṃ	no tu pratizWitA prajQA / tAm eva ca su vyavadAtAm paQca prakArAm vidyAm
   niśritya yā bodhisattvasya (Dutt 148) pareṣāṃ vineyānāṃ mūḍhānāṃ	niSritya yA boDisattvasya (Dutt 148) parezAm vineyAnAm mUXAnAm
   pramattānāṃ saṃlīnānāṃ samyak pratipannānāṃ yathākramaṃ saṃdarśanī	pramattAnAm saMlInAnAm samyak pratipannAnAm yaTAkramam saMdarSanI
   samādāpanī samuttejanī saṃpraharṣaṇī ca prajñā /	samAdApanI samuttejanI saMpraharzaNI ca prajQA /
   tatra katamā bodhisattvasya viśuddhā prajñā / sā samāsato daśavidhā	tatra katamA boDisattvasya viSudDA prajQA / sA samAsatas daSaviDA
   veditavyā / tattvārthe dvividhā yāvadbhāvikatayā yathāvadbhāvikatayā ca	veditavyA / tattva arTe dviviDAH yAvat BAvika tayA yaTAvat BAvika tayA ca
   tattvārthasya grahaṇāt / pravṛttyarthe dvividhā samyagahetutaḥ phalataśca	tattva arTasya grahaNAt / pravRtti arTe dviviDA samyak ahetutaH Palatas ca
   grahaṇāt / upādānārthe dvividhā viparyāsāviparyāsa yathābhūtaparijñānāt /	grahaNAt / upAdAna arTe dviviDAH viparyAsa aviparyAsa   yaTA BUta parijQAnAt /
   upāyārthe dvividhā sarvakaraṇīyākaraṇīya yathābhūtaparijñānāt / itīyaṃ	upAya arTe dviviDA sarva karaNIyA karaNIya  yaTA BUta parijQAnAt / iti iyam
   bodhisattvānāṃ paścākārā daśaprabhedā prajñā viśuddhā paramayā viśuddhyā	boDisattvAnAm paSca AkArA daSa praBedA prajQA viSudDA paramayA viSudDyA
   veditavyā /	veditavyA /
   itīyaṃ bodhisattvānāṃ su viniścitā cāprameyā ca prajñā mahābodhiphalā	iti iyam boDisattvAnAm su viniScitA ca aprameyA ca prajQA mahAboDiPalA
   yāmāśritya bodhisattvāḥ prajñāpāramitāṃ paripūryānuttarāṃ	yAm ASritya boDisattvAH prajQApAramitAm paripUrya anuttarAm
   samyaksambodhimabhisaṃbudhyante /	samyaksamboDim aBisaMbuDyante /
   sa khalveṣa ṣaṇṇāṃ pāramitānāṃ teṣu teṣu sūtrāntareṣu bhagavatā vyagrāṇāṃ	sa Kalu eza zaNNAm pAramitAnAm tezu tezu sUtra antarezu BagavatA vyagrANAm
   nirdiṣṭānāmayaṃ samāsa saṃgraha nirdeśo veditavyaḥ /	nirdizwa an Am ayam samAsa  saMgraha  nirdeSaH veditavyaH /
   yasmiṃtathāgata bhāṣite sūtre dānapāramitā vā yāvat prajñāpāramitā vā	yasmintaTA gata BAzite sUtre dAna pAramitA vA yAvat prajQApAramitA vA
   uddeśamāgacchati nirdeśaṃ vā sā svabhāva dāne vā yāvat viśuddhe vā dāne	uddeSam AgacCati nirdeSam vA sA svaBAva  dAne vA yAvat viSudDe vA dAne
   'vatārayitavyā / saṃgrahaśca tasyā yathā yogaṃ veditavyaḥ / evamanyeṣāṃ	avatArayitavyA / saMgrahaH ca tasyAH yaTA yogam veditavyaH / evam anyezAm
   śīlādīnāṃ prajñāvasānānāṃ yathānirdiṣṭānāmavatāraḥ saṃgrahaśca yathāyogaṃ	SIla AdInAm prajQA avasAnAnAm yaTA nirdizwAnAm avatAraH saMgrahaH ca yaTAyogam
   veditavyaḥ / yāni ca tathāgatānāṃ bodhisattvacaryā janmāprameyāṇi jātakāni	veditavyaH / yAni ca taTAgatAnAm boDisattva caryA  janma aprameyANi jAtakAni
   duṣkaracaryā pratisaṃyuktāni tāni sarvāṇi dānapratisaṃyuktāni dānamārabhya	duzkara caryA  pratisaMyuktAni tAni sarvANi dAna pratisaMyuktAni dAnam AraBya
   veditavyāni / yathā dānamevaṃ śīlaṃ kṣāntiṃ vīryaṃ dhyānaṃ sarvāṇiṃ	veditavyAni / yaTA dAnam evam SIlam kzAntim vIryam DyAnam sarvANim
