   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   aṃsa-niṣaṇṇa-mukhī sā snapayati bāṣpeṇa mama pṛṣṭham ||GAss_394||	aMsa-nizaNNa--muKI sA snapayati bAzpeNa mama pRzWam ||GAsH-_394||
   pretaiḥ praśasta-sattvā sāśru vṛkair vīkṣitā skhalad-grāsaiḥ |	pretEH praSasta--sattvA sa-aSru vRkEH vIkzitA sKalat--grAsEH |
   cumbati mṛtasya vadanaṃ bhūta-mukholkekṣitaṃ bālā ||GAss_395||	cumbati mRtasya vadanam BUta-muKa-ulka-Ikzitam bAlAH ||GAsH-_395||
   piśunaḥ khalu sujanānāṃ khalam eva puro vidhāya jetavyaḥ |	piSunaH Kalu su-janAnAm Kalam eva puras viDAya jetavyaH |
   kṛtvā jvaram ātmīyaṃ jigāya bāṇaṃ raṇe viṣṇuḥ ||GAss_396||	kRtvA jvaram AtmIyam jigAya bANam raNe vizNuH ||GAsH-_396||
   piba madhupa bakula-kalikāṃ dūre rasanāgra-mātram ādhāya |	piba maDupa bakula-kalikAm dUre rasanA-agra--mAtram ADAya |
   adhara-vilepa-samāpye madhuni mudhā vadanam arpayasi ||GAss_397||	aDara--vilepa--samApye maDuni muDA vadanam arpayasi ||GAsH-_397||
   prāyeṇaiva hi malinā malinānām āśrayatvam upayānti |	prAyeNa-eva hi malinAH malinAnAm ASraya-tvam upayAnti |
   kālindī-puṭa-bhedaḥ kāliya-puṭa-bhedanaṃ bhavati ||GAss_398||	kAlindI--puwa-BedaH kAliya--puwa--Bedanam Bavati ||GAsH-_398||
   paśya priya-tanu-vighaṭana-bhayena śaśi-mauli-deha-saṃlagnā |	paSya priya-tanu--viGawana-Bayena SaSi--mOli-deha--saMlagnA |
   subhagaika-daivatam umā śirasā bhāgīrathīṃ vahati ||GAss_399||	suBaga-eka-dEvatam umA SirasA BAgIraTIm vahati ||GAsH-_399||
   pathika-vadhū-jana-locana-nīra-nadī-mātṛka-pradeśeṣu |	paTika-vaDU-jana--locana--nIra--nadI--mAtRka--pradeSezu |
   dhana-maṇḍalam ākhaṇḍala-dhanuṣā kuṇḍalitam iva vidhinā ||GAss_400||	Dana--maNxalam AKaNxala--DanuzA kuNxalitam iva viDinA ||GAsH-_400||
   prativeśi-mitra-bandhuṣu dūrāt kṛcchrāgato 'pi gehinyā |	prativeSi-mitra--banDuzu dUrAt kRcCra-AgataH api gehinyA |
   atikeli-lampaṭayā dinam ekam agopi geha-patiḥ ||GAss_401||	ati-keli-lampawayA dinam ekam agopi geha-patiH ||GAsH-_401||
   para-paṭa iva rajakībhir malino bhuktvāpi nirdayaṃ tābhiḥ |	para-pawaH iva rajakIBiH malinaH BuktvA-api nirdayam tABiH |
   artha-grahaṇena vinā jaghanya mukto 'si kulaṭābhiḥ ||GAss_402||	arTa-grahaNena vinA jaGanya muktaH asi kulawABiH ||GAsH-_402||
   iti vibhāvyākhyā-sametā pa-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametA pa-kAra-vrajyA ||
   ba-kāra-vrajyā	ba-kAra-vrajyA
   bahu-yoṣiti lākṣāruṇa-śirasi vayasyena dayita upahasite |	bahu-yoziti lAkzA-aruNa--Sirasi vayasyena dayitaH upahasite |
   tat-kāla-kalita-lajjā piśunayati sakhīṣu saubhāgyam ||GAss_403||	tat-kAla--kalita--lajjA piSunayati saKIzu sOBAgyam ||GAsH-_403||
   bandhana-bhājo 'muṣyāś cikura-kalāpasya muktamānasya |	banDana-BAjaH amuzyAH cikura--kalApasya mukta-mAnasya |
   sindūrita-sīmanta-cchalena hṛdayaṃ vidīrṇam iva ||GAss_404||	sindUrita--sImanta--cCalena hRdayam vidIrNam iva ||GAsH-_404||
   balam api vasati mayīti śreṣṭhini guru-garva-gadgadaṃ vadati |	balam api vasati mayi-iti SrezWini guru--garva--gadgadam vadati |
   taj-jāyayā janānāṃ mukham īkṣitam āvṛta-smitayā ||GAss_405||	taj-jAyayA janAnAm muKam Ikzitam AvRta-smitayA ||GAsH-_405||
   balavad anilopanīta-sphuṭita-navāmbhoja-saurabho madhupaḥ |	balavat anila-upanIta--sPuwita-nava-amBoja--sOraBaH maDupaH |
   ākṛṣyate nalinyā nāsā-nikṣipta-baḍiśa-rajjur iva ||GAss_406||	AkRzyate nalinyAH nAsA-nikzipta--baxiSa--rajjuH iva ||GAsH-_406||
   bāṇaṃ harir iva kurute sujano bahudoṣam apy adoṣam iva |	bANam hariH iva kurute su-janaH bahu-dozam api adozam iva |
   yāvad doṣaṃ jāgrati malimlucā iva punaḥ piśunāḥ ||GAss_407||	yAvat dozam jAgrati malimlucAH iva punar piSunAH ||GAsH-_407||
   bauddhasyeva kṣaṇiko yadyapi bahu-vallabhasya tava bhāvaḥ |	bOdDasya-iva kzaNikaH yadi-api bahu-vallaBasya tava BAvaH |
   bhagnā bhagnā bhrūr iva na tu tasyā vighaṭate maitrī ||GAss_408||	BagnA BagnA BrUH iva na tu tasyAH viGawate mEtrI ||GAsH-_408||
   bāṣpākulaṃ pralapator gṛhiṇi nivartasva kānta gaccheti |	bAzpa-Akulam pralapatoH gRhiNi nivartasva kAnta gacCa-iti |
   yātaṃ dampatyor dinam anugamanāvadhi saras-tīre ||GAss_409||	yAtam dampatyoH dinam anugamana-avaDi saras--tIre ||GAsH-_409||
   bālā-vilāsa-bandhān aprabhavan manasi cintayan pūrvam |	bAlA--vilAsa--banDAn apraBavan manasi cintayan pUrvam |
   saṃmāna-varjitāṃ tāṃ gṛhiṇīm evānuśocāmi ||GAss_410||	saMmAna--varjitAm tAm gRhiNIm eva-anuSocAmi ||GAsH-_410||
   iti vibhāvyākhyā-sametā ba-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH ba-kAra-vrajyA ||
   bha-kāra-vrajyā	Ba-kAra-vrajyA
   bhramasi prakaṭayasi radaṃ karaṃ prasārayasi tṛṇam api śrayasi |	Bramasi prakawayasi radam karam prasArayasi tRNam api Srayasi |
   dhiṅ mānaṃ tava kuñjara jīvaṃ na juhoṣi jaṭharāgnau ||GAss_411||	Dik mAnam tava kuQjara jIvam na juhozi jaWara-agnO ||GAsH-_411||
   bhūtimayaṃ kurute'gnis tṛṇam api saṃlagnam enam api bhajataḥ |	BUti-mayam kurute-agniH tRNam api saMlagnam enam api BajataH |
   saiva suvarṇa daśā te śaṅke garimoparodhena ||GAss_412||	sA-eva suvarNa daSA te SaFke garima-uparoDena ||GAsH-_412||
   bhavati nidāghe dīrghe yatheha yamuneva yāminī tanvī |	Bavati nidAGe dIrGe yaTA-iha yamunA-iva yAminI tanvI |
   dvīpā iva divasā api tathā krameṇa prathīyāṃsaḥ ||GAss_413||	dvIpAH iva divasAH api taTA krameNa praTIyAMsaH ||GAsH-_413||
   bhavatā mahati snehānale'rpitā pathika hema-guṭikeva |	BavatA mahati sneha-anale-arpitA paTika hema-guwikA-iva |
   tanvī hastenāpi spraṣṭum aśuddhair na sā śakyā ||GAss_414||	tanvI hastena-api sprazwum aSudDEH na sA SakyAH ||GAsH-_414||
   bhūmi-lulitaika-kuṇḍalam uttaṃsita-kāṇḍa-paṭam iyaṃ mugdhā |	BUmi-lulita-eka--kuNxalam uttaMsita--kANxa-pawam iyam mugDA |
   paśyantī niḥśvāsaiḥ kṣipati manoreṇu-pūram api ||GAss_415||	paSyantI niHSvAsEH kzipati manaH-reNu--pUram api ||GAsH-_415||
   bhavatāliṅgi bhujaṅgī jātaḥ kila bhogi-cakravartī tvam |	BavatA-AliFgi BujaFgI jAtaH kila Bogi--cakravartI tvam |
   kañcuka vanecarī-stanam abhilaṣataḥ sphurati laghimā te ||GAss_416||	kaQcuka vanecarI--stanam aBilazataH sPurati laGimA te ||GAsH-_416||
   bhaikṣa-bhujā pallī-patir iti stutas tad-vadhū-sudṛṣṭena |	BEkza-BujA pallI--patiH iti stutaH tad--vaDU--su-dRzwena |
   rakṣaka jayasi yad ekaḥ śūnye sura-sadasi sukham asmi ||GAss_417||	rakzaka jayasi yat ekaH SUnye sura--sadasi suKam asmi ||GAsH-_417||
   bhogākṣamasya rakṣāṃ dṛṅ-mātreṇaiva kurvato 'nabhimukhasya |	Boga-akzamasya rakzAm dRF--mAtreNa-eva kurvataH anaBimuKasya |
   vṛddhasya pramadāpi śrīr api bhṛtyasya bhogāya ||GAss_418||	vRdDasya pramadA-api SrIH api BRtyasya BogAya ||GAsH-_418||
   bhavitāsi rajani yasyām adhva-śrama-śāntaye padaṃ dadhatīm |	BavitAsi rajani yasyAm aDva-Srama--SAntaye padam daDatIm |
   sa balād valayita-jaṅghā-baddhāṃ mām urasi pātayati ||GAss_419||	sa balAt valayita-jaFGA--badDAm mAm urasi pAtayati ||GAsH-_419||
   bhūṣaṇatāṃ bhajataḥ sakhi kaṣaṇa-viśuddhasya jāta-rūpasya |	BUzaNa-tAm BajataH saKi kazaNa--viSudDasya jAta--rUpasya |
   puruṣasya ca kanakasya ca yukto garimā sarāgasya ||GAss_420||	puruzasya ca kanakasya ca yuktaH garimA sa-rAgasya ||GAsH-_420||
   bhasma-puruṣe'pi giriśe snehamayī tvam ucitena subhagāsi |	Basma-puruze-api giriSe sneha-mayI tvam ucitena suBagA-asi |
   moghas tvayi janavādo yad oṣadhi-prastha-duhiteti ||GAss_421||	moGaH tvayi janavAdaH yat ozaDi-prasTa-duhitA-iti ||GAsH-_421||
   bhaya-pihitaṃ bālāyāḥ pīvaram ūru-dvayaṃ smaronnidraḥ |	Baya--pihitam bAlAyAH pIvaram Uru--dvayam smara-unnidraH |
   nidrāyāṃ premārdraḥ paśyati niḥśvasya niḥśvasya ||GAss_422||	nidrAyAm prema-ArdraH paSyati niHSvasya niHSvasya ||GAsH-_422||
   bhramarīva koṣa-garbhe gandha-hṛtā kusumam anusarantī tvām |	BramarI-iva koza-garBe ganDa--hRtA kusumam anusarantI tvAm |
   avyaktaṃ kūjantī saṅketaṃ tamasi sā bhramati ||GAss_423||	avyaktam kUjantI saFketam tamasi sA Bramati ||GAsH-_423||
   bhrāmaṃ bhrāmaṃ sthitayā snehe tava payasi tatra tatraiva |	BrAmam BrAmam sTitayA snehe tava payasi tatra tatra-eva |
   āvarta-patita-naukāyitam anayā vinayam apanīya ||GAss_424||	Avarta-patita-nOkAyitam anayA vinayam apanIya ||GAsH-_424||
   bhramayasi guṇamayi kaṇṭha-graha-yogyānātma-mandiropānte |	Bramayasi guNa-mayi kaNWa--graha--yogyAn-Atma--mandira-upAnte |
   hālika-nandini taruṇān kakudmino meḍhi-rajjur iva ||GAss_425||	hAlika-nandini taruNAn kakudminaH meXi--rajjuH iva ||GAsH-_425||
   bhāla-nayane'gnir indur maulau gātre bhujaṅga-maṇi-dīpāḥ |	BAla--nayane-agniH induH mOlO gAtre BujaFga-maNi--dIpAH |
   tad api tamo-maya eva tvam īśa kaḥ prakṛtim atiśete ||GAss_426||	tat api tamaH--mayaH eva tvam ISa kaH prakRtim atiSete ||GAsH-_426||
   iti vibhāvyākhyā-sametā bha-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH Ba-kAra--vrajyA ||
   ma-kāra-vrajyā	ma-kAra-vrajyA
   madhu-mada-vīta-vrīḍā yathā yathā lapati saṃmukhaṃ bālā |	maDu-mad-a-vIta--vrIxA yaTA yaTA lapati saMmuKam bAlAH |
   tan-mukham ajāta-tṛptis tathā tathā vallabhaḥ pibati ||GAss_427||	tan-muKam ajAta-tRptiH taTA taTA vallaBaH pibati ||GAsH-_427||
   mitrair ālocya samaṃ guru kṛtvā kadanam api samārabdhaḥ |	mitrEH Alocya samam guru kRtvA kadanam api samArabDaH |
   arthaḥ satām iva hato mukha-vailakṣyeṇa māno 'yam ||GAss_428||	arTaH satAm iva hataH muKa--vElakzyeNa mAnaH ayam ||GAsH-_428||
   mama rāgiṇo manasvini karam arpayato dadāsi pṛṣṭham api |	mama rAgiNaH manasvini karam arpayataH dadAsi pRzWam api |
   yadi tad api kamala-bandhor iva manye svasya saubhāgyam ||GAss_429||	yadi tat api kamala-banDoH iva manye svasya sOBAgyam ||GAsH-_429||
   mā spṛśa mām iti sakupitam iva bhaṇitaṃ vyañjitā na ca vrīḍā |	mA spRSa mAm iti sa-kupitam iva BaNitam vyaQjitA na ca vrIxA |
   āliṅgitayā sasmitamuktam anācāra kiṃ kuruṣe ||GAss_430||	AliFgitayA sa-smitam-uktam anAcAra kim kuruze ||GAsH-_430||
   mūlāni ca niculānāṃ hṛdayāni ca kūla-vasati-kulaṭānām |	mUlAni ca niculAnAm hRdayAni ca kUla--vasati--kulawAnAm |
   mudira-madirā-pramattā godāvari kiṃ vidārayasi ||GAss_431||	mudira-madirA--pramattAH godAvari kim vidArayasi ||GAsH-_431||
   malaya-druma-sārāṇām iva dhīrāṇāṃ guṇa-prakarṣo 'pi |	malaya-druma--sArANAm iva DIrANAm guNa--prakarzaH api |
   jaḍa-samaya-nipatitānām anādarāyaiva na guṇāya ||GAss_432||	jaxa--samaya--nipatitAnAm anAdarAya-eva na guNAya ||GAsH-_432||
   madhumathana-mauli-māle sakhi tulayasi tulasi kiṃ mudhā rādhām |	maDumaTana--mOli--mAle saKi tulayasi tulasi kim muDA rADAm |
   yat tava padam adasīyaṃ surabhayituṃ saurabhodbhedaḥ ||GAss_433||	yat tava padam adasIyam suraBayitum sOraBa-udBedaH ||GAsH-_433||
   mayi yāsyati kṛtvāvadhi-dina-saṅkhyaṃ cumbanaṃ tathāśleṣam |	mayi yAsyati kRtvA-avaDi-dina--saFKyam cumbanam taTA-ASlezam |
   priyayānuśocitā sā tāvat suratākṣamā rajanī ||GAss_434||	priyayA-anuSocitA sA tAvat surata-akzamA rajanI ||GAsH-_434||
   mṛgamada-nidānam aṭavī kuṅkumam api kṛṣaka-vāṭikā vahati |	mRga-mada--nidAnam awavI kuFkumam api kRzaka-vAwikAH vahati |
   haṭṭavilāsini bhavatī param ekā paura-sarvasvam ||GAss_435||	hawwa-vilAsini BavatI param ekA pOra--sarvasvam ||GAsH-_435||
   madhu-divaseṣu bhrāmyan yathā viśati mānasaṃ bhramaraḥ |	maDu--divasezu BrAmyan yaTA viSati mAnasam BramaraH |
   sakhi loha-kaṇṭaka-nibhas tathā madana-viśikho 'pi ||GAss_436||	saKi loha-kaNwaka-niBaH taTA madana--viSiKaH api ||GAsH-_436||
   mayi calite tava muktā dṛśaḥ svabhāvāt priye sa-pānīyāḥ |	mayi calite tava muktAH dRSaH svaBAvAt priye sa-pAnIyAH |
   satyam amūlyāḥ sadyaḥ prayānti mama hṛdaya-hāratvam ||GAss_437||	satyam amUlyAH sadyas prayAnti mama hRdaya-hAra-tvam ||GAsH-_437||
   mugdhe mama manasi śarāḥ smarasya pañcāpi santataṃ lagnāḥ |	mugDe mama manasi SarAH smarasya paQca-api santatam lagnAH |
   śaṅke stana-guṭikā-dvayam arpitam etena tava hṛdaye ||GAss_438||	SaFke stana--guwikA--dvayam arpitam etena tava hRdaye ||GAsH-_438||
   madhumathana-vadana-vinihita-vaṃśī-suṣirānusāriṇo rāgāḥ |	maDumaTana--vadana--vinihita-vaMSI--suzira-anusAriNaH rAgAH |
   hanta haranti mano mama nalikā-viśikhāḥ smarasyeva ||GAss_439||	hanta haranti manaH mama nalikA--viSiKAH smarasi-a-iva ||GAsH-_439||
   mahatoḥ suvṛttayoḥ sakhi hṛdaya-graha-yogyayoḥ samucchritayoḥ |	mahatoH su-vRttayoH saKi hRdaya--graha--yogyayoH samucCritayoH |
   sajjanayoḥ stanayor iva nirantaraṃ saṅgataṃ bhavati ||GAss_440||	sat-janayoH stanayoH iva nirantaram saFgatam Bavati ||GAsH-_440||
   mama vāritasya bahubhir bhūyo bhūyaḥ svayaṃ ca bhāvayataḥ |	mama vAritasya bahuBiH BUyas BUyas svayam ca BAvayataH |
   jāto diśīva tasyāṃ sakhe na vinivartate mohaḥ ||GAss_441||	jAtaH diSi-iva tasyAm saKe na vinivartate mohaH ||GAsH-_441||
   magno 'si narmadāyā rase hṛto vīci-locana-kṣepaiḥ |	magnaH asi narmadAyAH rase hRtaH vIci--locana-kzepEH |
   yady ucyase taruvara bhraṣṭo bhraṃśo 'pi te ślāghyaḥ ||GAss_442||	yadi ucyase taru-vara BrazwaH BraMSaH api te SlAGyaH ||GAsH-_442||
   menām ullāsayati smerayati hariṃ giriṃ ca vimukhayati |	menAm ullAsayati smerayati harim girim ca vimuKayati |
   kṛta-kara-bandha-vilambaḥ pariṇayane giriśa-kara-kampaḥ ||GAss_443||	kRta-kara--banDa--vilambaH pariNayane giri-Sa-kara--kampaH ||GAsH-_443||
   madhu-gandhi gharma-timyat-tilakaṃ skhalad-uktiṃ ghūrṇa-daruṇākṣam |	maDu-ganDi Garma-timyat--tilakam sKalat--uktim GUrNa-daruNa-akzam |
   tasyāḥ kadādharāmṛtam ānanam avadhūya pāsyāmi ||GAss_444||	tasyAH kadA-aDara-amRtam Ananam avaDUya pAsyAmi ||GAsH-_444||
   medinyāṃ tava nipatati na padaṃ bahu-vallabheti garveṇa |	medinyAm tava nipatati na padam bahu-vallaBa-iti garveNa |
   āśliṣya kair na taruṇais turīva vasanair vimuktāsi ||GAss_445||	ASlizya kEH na taruNEH turI-iva vasanEH vimuktA-asi ||GAsH-_445||
   mūle nisarga-madhuraṃ samarpayanto rasaṃ puro virasāḥ |	mUle nisarga--maDuram samarpayantaH rasam puras virasAH |
   ikṣava iva para-puruṣā vividheṣu raseṣu vinidheyāḥ ||GAss_446||	ikzavaH iva para--puruzAH viviDezu rasezu viniDeyAH ||GAsH-_446||
   mahati snehe nihitaḥ kusumaṃ bahu dattam arcito bahuśaḥ |	mahati snehe nihitaH kusumam bahu dattam arcitaH bahuSas |
   vakras tad api śanaiścara iva sakhi duṣṭa-graho dayitaḥ ||GAss_447||	vakraH tat api SanEScaraH iva saKi duzwa--grahaH dayitaH ||GAsH-_447||
   mā śabara-taruṇi pīvara-vakṣoruhayor bhareṇa bhaja garvam |	mA Sabara-taruNi pIvara--vakzoruhayoH BareNa Baja garvam |
   nirmokair api śobhā yayor bhujaṅgībhir unmuktaiḥ ||GAss_448||	nirmokEH api SoBA yayoH BujaFgIBiH unmuktEH ||GAsH-_448||
   mama kupitāyāś chāyāṃ bhūmāv āliṅgya sakhi milat-pulakaḥ |	mama kupitAyAH CAyAm BUmO AliFgya saKi milat--pulakaH |
   snehamayatvam anujjhan karoti kiṃ naiṣa mām aruṣam ||GAss_449||	sneha-maya-tvam anujJan karoti kim na-eza mAm aruzam ||GAsH-_449||
   muṣita iva kṣaṇa-virahe ripur iva kusumeṣu-keli-saṅgrāme |	muzitaH iva kzaNa--virahe ripuH iva kusumezu--keli--saFgrAme |
   dāsa iva śrama-samaye bhajan natāṅgīṃ na tṛpyāmi ||GAss_450||	dAsaH iva Srama--samaye Bajan nata-aFgIm na tRpyAmi ||GAsH-_450||
   muñcasi kiṃ mānavatīṃ vyavasāyād dviguṇa-manyu-vegeti |	muQcasi kim mAnavatIm vyavasAyAt dviguNa-manyu--vega-iti |
   sneha-bhavaḥ payasāgniḥ sāntvena ca roṣa unmiṣati ||GAss_451||	sneha--BavaH payasA-agniH sAntvena ca rozaH unmizati ||GAsH-_451||
   malayajam apasārya ghanaṃ vījana-vighnaṃ vidhāya bāhubhyām |	malayajam apasArya Ganam vIjana--viGnam viDAya bAhuByAm |
   smara-santāpād agaṇita-nidāgham āliṅgate mithunam ||GAss_452||	smara--santApAt agaNita-nidAGam AliFgate miTunam ||GAsH-_452||
   mahato 'pi hi viśvāsān mahāśayā dadhati nālpam api laghavaḥ |	mahataH api hi viSvAsAt mahA-ASayAH daDati na-alpam api laGavaH |
   saṃvṛṇute'drī-nudadhir nidāgha-nadyo na bhekam api ||GAss_453||	saMvRNute-adrI-n-udaDiH nidAGa--nadyaH na Bekam api ||GAsH-_453||
   madhu-dhāreva na muñcasi mānini rūkṣāpi mādhurīṃ sahajām |	maDu-DArA-iva na muQcasi mAnini rUkzA-api mADurIm sahajAm |
   kṛta-mukha-bhaṅgāpi rasaṃ dadāsi mama sarid ivāmbhodheḥ ||GAss_454||	kRta--muKa--BaFgA-api rasam dadAsi mama sarit iva-amBoDeH ||GAsH-_454||
   madanākṛṣṭa-nurjyā-ghātair iva gṛhiṇi pathika-taruṇānām |	madana-AkRzwa-nuH-jyA--GAtEH iva gRhiNi paTika-taruNAnAm |
   vīṇā-tantrī-kvāṇaiḥ keṣāṃ na vikampate cetaḥ ||GAss_455||	vINA--tantrI--kvANEH kezAm na vikampate cetaH ||GAsH-_455||
   mama bhayam asyāḥ kopo nirvedo 'syā mamāpi mandākṣam |	mama Bayam asyAH kopaH nirvedaH asyAH mama-api manda-akzam |
   jātaṃ kva cāntarikṣe smita-saṃvṛti-namita-kandharayoḥ ||GAss_456||	jAtam kva ca-antarikze smita--saMvRti-namita--kanDarayoH ||GAsH-_456||
   muktāmbaraiva dhāvatu nipatatu sahasā trimārgagā vāstu |	mukta-ambarA-eva DAvatu nipatatu sahasA tri-mArga-gAH vA-astu |
   iyam eva narmadā mama vaṃśa-prabhavānurūpa-rasā ||GAss_457||	iyam eva narmadA mama vaMSa--praBava-anurUpa-rasAH ||GAsH-_457||
   mṛgamada-lepanam enaṃ nīla-nicolaiva niśi niṣeva tvam |	mRgamada--lepanam enam nIla--nicolA-eva niSi nizeva tvam |
   kālindyām indīvaram indindira-sundarīva sakhi ||GAss_458||	kAlindyAm indIvaram indindira--sundarI-iva saKi ||GAsH-_458||
   mama sakhyā nayana-pathe militaḥ śakto na kaścid api calitum |	mama saKyA nayana--paTe militaH SaktaH na kaScid api calitum |
   patito 'si pathika viṣame ghaṭṭa-kuṭīyaṃ kusuma-ketoḥ ||GAss_459||	patitaH asi paTika vizame Gawwa-kuwI-iyam kusuma-ketoH ||GAsH-_459||
   mahatā priyeṇa nirmitam apriyam api subhaga sahyatāṃ yāti |	mahatA priyeNa nirmitam apriyam api suBaga sahyatAm yAti |
   suta-sambhavena yauvana-vināśanaṃ na khalu khedāya ||GAss_460||	suta--samBavena yOvana--vinASanam na Kalu KedAya ||GAsH-_460||
   māna-graha-guru-kopād anu dayitāty eva rocate mahyam |	mAna--graha-guru--kopAt anu dayitA-ati eva rocate mahyam |
   kāñcanamayī vibhūṣā dāhāñcita-śuddha-bhāveva ||GAss_461||	kAQcana-mayI viBUzA dAha-AQcita--SudDa-BAvA-iva ||GAsH-_461||
   iti vibhāvyākhyā-sametā ma-kāra-vrajyā ||	iti viBAvi-a-AKyA--sametAH ma-kAra--vrajyA ||
   ya-kāra-vrajyā	ya-kAra-vrajyA
   yūnaḥ kaṇṭaka-viṭapāni viāñcala-grāhiṇas tyajantī sā |	yUnaH kaNwaka-viwapAni viAQcala--grAhiNaH tyajantI sA |
   vana iva pure'pi vicarati puruṣaṃ tvām eva jānantī ||GAss_462||	vanaH iva pure-api vicarati puruzam tvAm eva jAnantI ||GAsH-_462||
   yuṣmāsūpagatāḥ smo vibudhā vāṅ-mātra-pāṭavena vayam |	yuzmAsu-upagatAH smaH vibuDAH vAF--mAtra--pAwavena vayam |
   antarbhavati bhavatsv api nābhaktas tan na vijñātam ||GAss_463||	antarBavati Bavatsu api na-aBaktaH tat na vijQAtam ||GAsH-_463||
   yatra na dūtī yatra snigdhā na dṛśo 'pi nipuṇayā nihitāḥ |	yatra na dUtI yatra snigDAH na dRSaH api nipuNayA nihitAH |
   na giro 'dyāpi vyaktīkṛtaḥ sa bhāvo 'nurāgeṇa ||GAss_464||	na giraH adya-api vyaktIkRtaH sa BAvaH anurAgeNa ||GAsH-_464||
   yā nīyate sapatny praviśya yāvarjitā bhujaṅgena |	yA nIyate sapatnI praviSya yAvarjitAH BujaFgena |
   yamunāyā iva tasyāḥ sakhi malinaṃ jīvanaṃ manye ||GAss_465||	yamunAyAH iva tasyAH saKi malinam jIvanam manye ||GAsH-_465||
   yasminn ayaśo 'pi yaśo hrīr vighno māna eva dauḥśīlyam |	yasmin ayaSaH api yaSaH hrIH viGnaH mAnaH eva dOHSIlyam |
   laghutā guṇajñatā kiṃ navo yuvā sakhi na te dṛṣṭaḥ ||GAss_466||	laGu-tA guNa-jQa-tA kim navaH yuvA saKi na te dRzwaH ||GAsH-_466||
   yad vīkṣyate khalānāṃ māhātmyaṃ kvāpi daiva-yogena |	yat vIkzyate KalAnAm mAhAtmyam kvApi dEva--yogena |
   kākānām iva śauklyaṃ tad api hi na cirād anarthāya ||GAss_467||	kAkAnAm iva SOklyam tat api hi na cirAt anarTAya ||GAsH-_467||
   yat khalu khala-mukha-huta-vaha-vinihitam api śuddhim eva parameti |	yat Kalu Kala--muKa--huta--vaha--vinihitam api SudDim eva parama-iti |
   tad anala-śaucam ivāṃśukam iha loke durlabhaṃ prema ||GAss_468||	tat anala--SOcam iva-aMSukam iha loke durlaBam prema ||GAsH-_468||
   yan nāvadhim arthayate pātheyārthaṃ dadāti sarvasvam |	yat na-avaDim arTayate pATeya-arTam dadAti sarva-svam |
   tenānayāti-dāruṇa-śaṅkām āropitaṃ cetaḥ ||GAss_469||	tena-anayA-ati-dAruNa--SaFkAm Aropitam cetaH ||GAsH-_469||
   yūnām īrṣyā-vairaṃ vitanvatā taruṇi cakra-rucireṇa |	yUnAm IrzyA-vEram vitanvatA taruNi cakra-rucireNa |
   tava jagahnenākulitā nikhilā pallī khaleneva ||GAss_470||	tava jagahnena-AkulitA niKilA pallI Kalena-iva ||GAsH-_470||
   yāvaj jīvana-bhāvī tulyāśayoyor nitānta-nirbhedaḥ |	yAvat jIvana-BAvI tulya-ASayoyoH nitAnta--nirBedaH |
   nadayor ivaiṣa yuvayoḥ saṅgo rasam adhikam āvahatu ||GAss_471||	nadayoH iva-eza yuvayoH saFgaH rasam aDikam Avahatu ||GAsH-_471||
   yan nihitāṃ śekharayasi mālāṃ sā yātu śaṭha bhavantam iti |	yat nihitAm SeKarayasi mAlAm sA yAtu SaWa Bavantam iti |
   praharantīṃ śirasi padā smarāmi tāṃ garva-guru-kopām ||GAss_472||	praharantIm Sirasi padA smarAmi tAm garva--guru-kopAm ||GAsH-_472||
   yauvana-guptiṃ patyau bandhuṣu mugdhatvam ārjavaṃ guruṣu |	yOvana-guptim patyO banDuzu mugDa-tvam Arjavam guruzu |
   kurvāṇā halika-vadhūḥ praśasyate vyājato yuvabhiḥ ||GAss_473||	kurvANA halika-vaDUH praSasyate vyAjataH yuvaBiH ||GAsH-_473||
   yo na gurubhir na mitrair na vivekenāpi naiva ripu-hasitaiḥ |	yaH na guruBiH na mitrEH na vivekena-api na-eva ripu--hasitEH |
