   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   striyaḥ śriyaśca geheṣu na viśeṣo 'sti kaścana // Valc_2,13.63 //	striyaH SriyaH-ca gehezu na viSezaH asti kaScana // Valt-_2,13.63 //
   utpādanamapatyasya jātasya paripālanam /	utpAdanam-apatyasya jAtasya paripAlanam /
   pratyahaṃ lokayātrāyāḥ pratyakṣaṃ strī nibandhanam // Valc_2,13.64 //	pratyaham lokayAtrAyAH pratyakzam strI nibanDanam // Valt-_2,13.64 //
   apatyaṃ dārakarmmāṇi śuśraṣā ratiruttamā /	apatyam dAra-karmmANi SuSrazA ratiH-uttamA /
   dārādhīnastathā svargaḥ pitḥṇāmātmanaśca vai // Valc_2,13.65 //	dAra-aDInaH-taTA svargaH pitHNAm-AtmanaH-ca vE // Valt-_2,13.65 //
   iti vallālacarite vyāsapurāṇe varṇadharmmādikīrttanaṃ nāma trayodaśo	iti vallAla-carite vyAsapurANe varNaDarmma-Adi-kIrttanam nAma trayodaSaH-
   'dhyāyaḥ /	aDyAyaH /
   atha caturdaśo 'dhyāyaḥ	aTa caturdaSaH aDyAyaH
   vyāsa uvāca:	vyAsaH uvAca:
   śastā strī cārusarvvāṅgī mattamātaṅgagāminī /	SastA strI cAru-sarvvAFgI matta-mAtaFga-gAminI /
   gurūrujaghanā yā ca kṛṣṇasāramṛgekṣaṇā // Valc_2,14.1 //	guru-Uru-jaGanA yA ca kRzNasAra-mRga-IkzaNAH // Valt-_2,14.1 //
   sunīlakeśī tanvaṅgī vilomāṅgī manoharā /	sunIlakeSI tanvaFgI viloma-aFgI manoharA /
   samabhūmispṛśau pādau saṃhatau ca tathā stanau // Valc_2,14.2 //	sama-BUmi-spRSO pAdO saMhatO ca taTA stanO // Valt-_2,14.2 //
   nābhiḥ pradakṣiṇāvarttā guhyamaśvatthapatravat /	nABiH pradakziNa-AvarttA guhyam-aSvatTa-patra-vat /
   gulphau nigūḍhau madhyena nābhiraṅguṣṭhamānikā // Valc_2,14.3	gulPO nigUXO maDyena nABi-H-aFguzWa-mAnikAH // Valt-_2,14.3
   gaṇḍairmadhūkapuṣpābhairna śirālā na lomaśā /	gaNxEH-maDUka-puzpa-ABEH-na SirAlAH na lomaSAH /
   na saṃhatabhrūkuṭilā patiprāṇā patipriyā // Valc_2,14.4 //	na saMhata-BrU-kuwilA pati-prANAH pati-priyA // Valt-_2,14.4 //
   bālā khelanakaiḥ kāle dattairdivyaphalāśanaiḥ	bAlA KelanakEH kAle dattEH-divya-Pala-aSanEH
   modate yuvatī vastrālaṅkārāliṅganādibhiḥ // Valc_2,14.5 //	modate yuvatI vastra-alaFkAra-AliFgana-AdiBiH // Valt-_2,14.5 //
   hṛṣyenmadhyavayāḥ prauḍhā ratakrīḍāsu kauśalaiḥ /	hRzyet-maDyavayAH prOXAH rata-krIxAsu kOSalEH /
   vṛddhā tu madhurālāpai rgauraveṇa ca yujyate // Valc_2,14.6 //	vRdDA tu maDura-AlApEH rgOraveNa ca yujyate // Valt-_2,14.6 //
   ṣoḍaśābdā bhavedbālā triṃśatādbhūtayauvanā /	zoxaSa-abdA Bavet-bAlA triMSatAt-BUta-yOvanAH /
   pañca pañcāśatā prauḍhā vṛddhā strī tadanantaram // Valc_2,14.7 //	paQca paQcASatA prOXA vRdDA strI tad-anantaram // Valt-_2,14.7 //
   kāmādhīnā eva nāryyastadarthaṃ ratnasaṃgrahaḥ /	kAma-aDInAH eva nAryyaH-tad-arTam ratna-saMgrahaH /
   sevyāstā nātisevyāśca bhūbhujā viṣayaiṣiṇā // Valc_2,14.8 /	sevyAH-tAH na-atisevyAH-ca BUBujA vizaya-eziNA // Valt-_2,14.8 /
   striyāṃ ṣoḍaśavarṣāyāṃ caturvviṃśatihāyanaḥ /	striyAm zoxaSa-varzAyAm caturvviMSati-hAyanaH /
   buddhimānudyamaṃ kuryyādviśiṣṭasukhakāṅkṣayā // Valc_2,14.9 //	budDimAn-udyamam kuryyAt-viSizwa-suKa-kAFkzayA // Valt-_2,14.9 //
   tathā pūrṇāṅgavīryyau tau puttraṃ janayataḥ param /	taTA pUrNa-aFga-vIryyO tO puttram janayataH param /
   sarvvendriyasamāyuktaṃ balavantaṃ śatāyuṣam // Valc_2,14.10 //	sarvva-indriya-samAyuktam balavantam Sata-Ayuzam // Valt-_2,14.10 //
   nidāghaśaradorbbalā hitā viṣayiṇī matā /	nidAGa-Sarada-urbbalA hitA vizayiNI matA /
   taruṇī śītasamaye madhyā varṣāvasantayoḥ // Valc_2,14.11 //	taruNI SIta-samaye maDyAH varzA-vasantayoH // Valt-_2,14.11 //
   nityaṃ bālā sevyamānā nityaṃ varddhayate balam /	nityam bAlA sevyamAnA nityam vardDayate balam /
   yuvatī hrāsayecchaktiṃ madhyodbhāvayate jarām // Valc_2,14.12 //	yuvatI hrAsayet-Saktim maDya-udBAvayate jarAm // Valt-_2,14.12 //
   sadyo māṃsaṃ ca śālyannaṃ bālāstrīsevanaṃ ghṛtam /	sadyas mAMsam ca SAli-annam bAlA-strI-sevanam GRtam /
   kṣīramuṣṇodake snānaṃ sadyaḥ prāṇakarāṇi ṣaṭ // Valc_2,14.13 //	kzIram-uzNa-udake snAnam sadyas prANa-karANi zaw // Valt-_2,14.13 //
   seveta kāmataḥ kāmī balāt vājīkṛto hime /	seveta kAmataH kAmI balAt vAjIkRtaH hime /
   prakāmaṃ tu niṣeveta surataṃ śiśirāgame // Valc_2,14.14 //	prakAmam tu nizeveta suratam SiSira-Agame // Valt-_2,14.14 //
   śīte rātrau dine grīṣme vasante ca divāniśi /	SIte rAtrO dine grIzme vasante ca divAniSi /
   varṣāyāmambudadhvāne kāle śaradi sasmaraḥ // Valc_2,14.15 //	varzAyAm-ambuda-DvAne kAle Saradi sasmaraH // Valt-_2,14.15 //
   abhikāmaḥ samullāsya pūrvvamāliṅganādibhiḥ /	aBikAmaH samullAsya pUrvvam-AliFgana-AdiBiH /
   sameyāt pramadāṃ yuktyā vājīkaraṇavṛṃhitaḥ // Valc_2,14.16 //	sameyAt pramadAm yuktyA vAjIkaraNa-vRMhitaH // Valt-_2,14.16 //
   nityamuṣṇāmbhasā snānaṃ payaḥpānaṃ navā striyaḥ /	nityam-uzNa-amBasA snAnam payaH-pAnam navA striyaH /
   rājānaḥ pathyametadvaḥ susnigdhamalpabhojanam // Valc_2,14.17 //	rAjAnaH paTyam-etat-vaH su-snigDam-alpa-Bojanam // Valt-_2,14.17 //
   kapitthacūrṇayogena tathā dadhnā sṛjā tathā /	kapitTa-cUrNa-yogena taTA daDnA sRjA taTA /
   ghṛtaṃ sugandhi bhavati dugdhaiḥ kṣiptaistathā yavaiḥ // Valc_2,14.18 //	GRtam suganDi Bavati dugDEH kziptEH-taTA yavEH // Valt-_2,14.18 //
   bhojyasya kalpanaivaṃ syādgandhamuktiḥ pradarśyate /	Bojyasya kalpanA-evam syAt-ganDa-muktiH pradarSyate /
   śaucamācamanaṃ samyak tathaiva ca virecanam // Valc_2,14.19 //	SOcam-Acamanam samyak taTA-eva ca virecanam // Valt-_2,14.19 //
   bhāvanā caiva pākaśca bodhanaṃ dhūpanaṃ tathā /	BAvanA ca-eva pAkaH-ca boDanam DUpanam taTA /
   vāsanañcaiva nirddiṣṭaṃ karmmāṣṭakamidaṃ smṛtam // Valc_2,14.20 //	vAsanaQcA-eva nirddizwam karmmAzwakam-idam smRtam // Valt-_2,14.20 //
   kapitthavilvajambvāmra-karavīraka pallavaiḥ /	kapitTa-vilva-jambU-Amra-karavIraka pallavEH /
   kṛtvodakantu yaddravyaṃ śocitaṃ śaucanantu tat // Valc_2,14.21 //	kRtvA-udakantu yat-dravyam Socitam SOcanantu tat // Valt-_2,14.21 //
   teṣāmabhāve śaucantu mṛgadarpāmbhasā bhavet /	tezAm-aBAve SOcantu mRga-darpa-amBasA Bavet /
   nakhaṃ kuṣṭhaṃ ghanaṃ māṃsaṃ spṛkkā śaileyajaṃ jalam // Valc_2,14.22 //	naKam kuzWam Ganam mAMsam spRkkA SEleya-jam jalam // Valt-_2,14.22 //
   tathaiva kuṅkumaṃ lākṣā candanāgurunīradam /	taTA-eva kuFkumam lAkzA candana-aguru-nIradam /
   saralaṃ devakāṣṭhañca karparaṃ kāntayā saha // Valc_2,14.23 //	saralam devakAzWaQca karparam kAntayA saha // Valt-_2,14.23 //
   bālā kundurakaścaiva gugguluḥ śrīnivāsakaḥ /	bAlA kundurakaH-ca-eva gugguluH SrInivAsakaH /
   saha sarjjarasenaiva dhūpadravyaikaviṃśatiḥ // Valc_2,14.24 //	saha sarjjarasena-eva DUpa-dravya-ekaviMSatiH // Valt-_2,14.24 //
   dhūpadravyagaṇādasmādekaviṃśādyathecchayā /	DUpa-dravya-gaNAt-asmAt-ekaviMSAt-yaTA-icCayA /
   dve dve dravye samādāya sarjjabhāgairniyojayet // Valc_2,14.25 //	dve dve dravye samAdAya saRjja-BAgEH-niyojayet // Valt-_2,14.25 //
   nakhapiṇyākamalayaiḥ saṃyojya madhunā tathā /	naKa-piNyAka-malayEH saMyojya maDunA taTA /
   dhūpayogā bhavantīha yathāvat svecchayā kṛtāḥ // Valc_2,14.26 //	DUpa-yogAH Bavanti-iha yaTAvat sva-icCayA kRtAH // Valt-_2,14.26 //
   tvacaṃ nāḍīṃ phalaṃ tailaṃ kuṅkumaṃ granthiparṇakam /	tvacam nAxIm Palam tElam kuFkumam granTiparNakam /
   śaileyaṃ tagaraṃ kāntām colakarpūrameva ca // Valc_2,14.27 //	SEleyam tagaram kAntAm cola-karpUram-eva ca // Valt-_2,14.27 //
   māsīṃ murāñca kuṣṭhañca snānadravyāṇi nirdiśet /	mAsIm murAQca kuzWaQca snAna-dravyANi nirdiSet /
   etabhyastu samādāya dravyatrayamathecchayā /	etaByaH-tu samAdAya dravya-trayam-aTa-icCayA /
   mṛgadarpayutaṃ snānaṃ kāryyaṃ kandarpavarddhanam // Valc_2,14.28 //	mRga-darpa-yutam snAnam kAryyam kandarpa-vardDanam // Valt-_2,14.28 //
   tvaṅmurānaladaistulyairvāsakārddhasamāyutaiḥ /	tvac-murA-analadEH-tulyEH-vAsaka-ardDa-samAyutEH /
   snānamutpalagandhi syāt satailaṃ kuṅkumāyate // Valc_2,14.29 //	snAnam-utpala-ganDi syAt sa-tElam kuFkumAyate // Valt-_2,14.29 //
   jātipuṣpasugandhi syāt tagarārddhena yojitam /	jAti-puzpa-suganDi syAt tagara-ardDena yojitam /
   sadvāsakaṃ syādvakulaistulyagandhi manoharam // Valc_2,14.30 //	sat-vAsakam syAt-vakulEH-tulya-ganDi manoharam // Valt-_2,14.30 //
   mañjiṣṭhā tagaraṃ colaṃ tvacaṃ vyāghranakhaṃ nakham /	maQjizWA tagaram colam tvacam vyAGranaKam naKam /
   gandhapatrañca vinyasya gandhatailaṃ bhavecchubham // Valc_2,14.31 //	ganDa-patraQca vinyasya ganDatElam Bavet-SuBam // Valt-_2,14.31 //
   mallībhirgandhitāt tailaṃ tilāt syāt pramadāpriyam /	mallIBiH-ganDitAt tElam tilAt syAt pramadA-priyam /
   tailaṃ nipīḍitaṃ ghānau tilaiḥ puṣpādhivāsitaiḥ /	tElam nipIxitam GAnO tilEH puzpa-aDivAsitEH /
   vāsanāt puṣpasadṛśaṃ gandhena tu bhaveddhruvam // Valc_2,14.32 //	vAsanAt puzpa-sadRSam ganDena tu Bavet-Druvam // Valt-_2,14.32 //
   elā-lavaṅga-kakkola-jātīphala-niśākarāḥ /	elA-a-lavaFga--kakkola---jAtIPala--niSAkarAH /
   jātipatrikayā sārddhaṃ svatantrā mukhavāsakāḥ // Valc_2,14.33 //	jAtipatrikayA sArdDam svatantrAH muKa-vAsakAH // Valt-_2,14.33 //
   karpūraṃ kuṅkumaṃ kāntā mṛgadarpaṃ hareṇukam /	karpUram kuFkumam kAntA mRga-darpam hareNukam /
   kakkolailālavaṅgañca jātī kośakameva ca // Valc_2,14.34 //	kakkola-elA-lavaFgaQca jAtI koSakam-eva ca // Valt-_2,14.34 //
   tvakpatraṃ truṭimustau ca latāṃ kasturikaṃ tathā /	tvac-patram truwi-mustO ca latAm kaH-turikam taTA /
   kaṇṭakāni lavaṅgasya phalapatre ca jātitaḥ // Valc_2,14.35 //	kaNwakAni lavaFgasya Pala-patre ca jAtitaH // Valt-_2,14.35 //
   kuṭakañca phalaṃ gṛhya kārṣikāṇyupakalpayet /	kuwakaQca Palam gRhya kArzikANi-upakalpayet /
   taccūrṇe khadiraṃ sāraṃ dadyātturyyantu vāsitam // Valc_2,14.36 //	tad-cUrNe Kadiram sAram dadyAt-turyyantu vAsitam // Valt-_2,14.36 //
   sahakārarasenāsmāt karttavyā guṭikāḥ śubhāḥ /	sahakAra-rasena-asmAt karttavyAH guwikAH SuBAH /
   mukhe nyastā sugandhāstā mukharogavināśakāḥ // Valc_2,14.37 //	muKe nyastA suganDAH-tAH muKa-roga-vinASakAH // Valt-_2,14.37 //
   pūgaṃ prakṣālitaṃ samyak pañcapallavavāriṇā /	pUgam prakzAlitam samyak paQca-pallava-vAriNA /
   śaktyā tu guṭikā dravyairvāsitaṃ mukhavāsakam // Valc_2,14.38 //	SaktyA tu guwikA dravyEH-vAsitam muKa-vAsakam // Valt-_2,14.38 //
   kaṭukaṃ daṇḍakāṣṭhañca gomūtravāsitaṃ tryaham /	kawukam daNxakAzWaQca go-mUtra-vAsitam tri-aham /
   kṛtañca pūgavat samyak mukhasaugandhikārakam // Valc_2,14.39 //	kRtaQca pUga-vat samyak muKa-sOganDi-kArakam // Valt-_2,14.39 //
   tvakpathyayoḥ samāvaṃśau śaśibhāgārddhasaṃyutau /	tvac-paTyayoH samAvaMSO SaSi-BAga-ardDa-saMyutO /
   nāgavallīsamo bhāti mukhavāso manoharaḥ // Valc_2,14.40 //	nAgavallI-samaH BAti muKa-vAsaH manoharaH // Valt-_2,14.40 //
   evaṃ kuryyāt sadā strīṇāṃ rakṣaṇaṃ pṛthivīpatiḥ /	evam kuryyAt sadA strINAm rakzaNam pRTivIpatiH /
   na cāsāṃ viśvasejjātu putramāturvviśeṣataḥ // Valc_2,14.41 //	na ca-AsAm viSvaset-jAtu putra-mAtuH-vviSezataH // Valt-_2,14.41 //
   iti vallālacarite vyāsapurāṇe strīlakṣaṇādikīrttanaṃ nāma caturdaśo	iti vallAla-carite vyAsapurANe strIlakzaNa-Adi-kIrttanam nAma caturdaSaH-
   'dhyāyaḥ /	aDyAyaH /
   atha pañcadaśo 'dhyāyaḥ	aTa paQcadaSaH aDyAyaH
   vyāsa uvāca:	vyAsaH uvAca:
   tapaḥ paraṃ kṛtayuge tretāyāṃ jñānamucyate /	tapaH param kRta-yuge tretAyAm jQAnam-ucyate /
   dvāpare yajñamevāhurdānamekaṃ kalauyuge // Valc_2,15.1 //	dvApare yajQam-eva-AhuH-dAnam-ekam kalOyuge // Valt-_2,15.1 //
   dānadharmmāt paro dharmmo bhūtānāṃ neha vidyate /	dAna-DarmmAt paraH DarmmaH BUtAnAm na-iha vidyate /
   svargāyurbhūtikāmena deyaṃ pāpopaśāntaye // Valc_2,15.2 //	svarga-AyuH-BUti-kAmena deyam pApa-upaSAntaye // Valt-_2,15.2 //
   na dānādadhikaṃ kiñciddṛśyate bhuvanatraye /	na dAnAt-aDikam kiQcid-dRSyate Buvanatraye /
   dānena prāpyate svargaḥ śrī dānenaiva labhyate // Valc_2,15.3 //	dAnena prApyate svargaH SrI dAnena-eva laByate // Valt-_2,15.3 //
   dānena śatruñjayati vyādhirdānena naśyati /	dAnena Satrun-jayati vyADiH-dAnena naSyati /
   dānena labhyate vidyā dānena yuvatījanaḥ // Valc_2,15.4 //	dAnena laByate vidyA dAnena yuvatI-janaH // Valt-_2,15.4 //
   dānena bhogānāpnoti dānenāyuśca vindati /	dAnena BogAn-Apnoti dAnena-AyuH-ca vindati /
   dharmmārthakāmamokṣāṇāṃ sādhanaṃ paramaṃ smṛtam // Valc_2,15.5 //	Darmma-arTa-kAma-mokzANAm sADanam paramam smRtam // Valt-_2,15.5 //
   dadyāt pūrvvamukho dānaṃ ghṇīyāduttarāmukhaḥ /	dadyAt pUrvvamuKaH dAnam GNIyAt-uttarAmuKaH /
   āyurvvivarddhate dāturgṛhītuḥ kṣīyate na tat // Valc_2,15.6 //	AyuH-vvivardDate dAtuH-gRhItuH kzIyate na tat // Valt-_2,15.6 //
   mātuḥ śataguṇaṃ dānaṃ sahasraṃ piturucyate /	mAtuH SataguNam dAnam sahasram pituH-ucyate /
   anantaṃ duhiturdānaṃ sodarye dattamakṣayam // Valc_2,15.7 //	anantam duhituH-dAnam sodarye dattam-akzayam // Valt-_2,15.7 //
   amanuṣye samaṃ dānaṃ pāpe jñeyaṃ mahāphalam /	amanuzye samam dAnam pApe jQeyam mahA-Palam /
   varṇasaṅkare dviguṇaṃ śūdre dānaṃ caturguṇam // Valc_2,15.8 //	varNa-saFkare dviguNam SUdre dAnam caturguNam // Valt-_2,15.8 //
   vaiśye cāṣṭaguṇaṃ kṣatre ṣoḍaśatvaṃ dvijabruve /	vESye ca-azwaguNam kzatre zoxaSa-tvam dvijabruve /
   vedādhyāye śataguṇamanantaṃ vedabodhake // Valc_2,15.9 //	veda-aDyAye SataguNam-anantam veda-boDake // Valt-_2,15.9 //
   gurau purohitādau ca dānamakṣayamucyate /	gurO purohita-AdO ca dAnam-akzayam-ucyate /
   śrīvihīneṣu yaddattantadanantañca yajvani // Valc_2,15.10 //	SrI-vihInezu yat-dattantadanan-taQca yajvani // Valt-_2,15.10 //
   abhayaṃ sarvadaivatyaṃ bhūmi rvai viṣṇudevatā /	aBayam sarva-dEvatyam BUmi rvE vizNu-devatA /
   kanyā dāsāstathā dāsī prājāpatyāḥ prakīrttitāḥ // Valc_2,15.11 /	kanyAH dAsAH-taTA dAsI prAjApatyAH prakIrttitAH // Valt-_2,15.11 /
   prājāpatyo gajaḥ proktasturago yamadaivataḥ /	prAjApatyaH gajaH proktaH-turagaH yama-dEvataH /
   tathā caikaśaphāḥ sarvve yāmyaśca mahiṣastathā // Valc_2,15.12 //	taTA ca-ekaSaPAH sarvve yAmyaH-ca mahizaH-taTA // Valt-_2,15.12 //
   uṣṭraśca nairṛto dhenū raudrīchāgonalastathā /	uzwraH-ca nErRtaH DenuH rOdrI-CAgonalaH-taTA /
   āpyo meṣo hariḥ kroḍaḥ āraṇyāḥ paśavo nilāḥ // Valc_2,15.13 //	ApyaH mezaH hariH kroxaH AraNyAH paSavaH nilAH // Valt-_2,15.13 //
   jalāśayaṃ vāruṇaṃ syāt vāridhānī ghaṭādayaḥ /	jalASayam vAruNam syAt vAriDAnI Gawa-AdayaH /
   samudrajāni ratnāni hemalauhāni cānalaḥ // Valc_2,15.14 //	samudra-jAni ratnAni hema-lOhAni ca-analaH // Valt-_2,15.14 //
   prājāpatyāni śasyāni pakvānnamapi pārthivāḥ /	prAjApatyAni SasyAni pakva-annam-api pArTivAH /
   gāndharbba gandhamityāhu rvastraṃ vārhaspataṃ smṛtam // Valc_2,15.15 //	gAnDarbba ganDam-iti-Ahu rvastram vA-arhaspatam smRtam // Valt-_2,15.15 //
   vāyavyāḥ pakṣiṇaḥ sarvve vidyā brāhmī tathāṅgakam /	vAyavyAH pakziNaH sarvve vidyA brAhmI taTA-aFgakam /
   sārasvataṃ pustakādi viśvakarmmā tu śilpake // Valc_2,15.16 //	sArasvatam pustaka-Adi viSvakarmmA tu Silpake // Valt-_2,15.16 //
   vanaspatirdrumādīnāṃ dravyadevā harestanuḥ /	vanaspatiH-druma-AdInAm dravya-devAH hareH-tanuH /
   chatraṃ kṛṣṇājinaṃ śayyā ratha āsanameva ca // Valc_2,15.17 //	Catram kRzNAjinam SayyA raTaH Asanam-eva ca // Valt-_2,15.17 //
   upānahau tathā yānamaṣṭāvāṅgira īritam /	upAnahO taTA yAnam-azwO=-AFgiraH Iritam /
   rathopakaraṇaṃ śastraṃ dhvajādyaṃ sarvvadaivatam // Valc_2,15.18 //	raTa-upakaraNam Sastram Dvaja-Adyam sarvu-adEvatam // Valt-_2,15.18 //
   gṛhañca sarvvadaivatyaṃ sarvveṣāṃ viṣṇudevatā /	gRhaQca sarvu-adEvatyam sarvu-ezAm vizNu-devatA /
   śivo vā na tato dravyaṃ vyatiriktaṃ yato 'sti hi // Valc_2,15.19 /	SivaH vA na tatas dravyam vyatiriktam yatas asti hi // Valt-_2,15.19 /
   śṛṇatāhaṃ pravakṣyāmi mahādānāni ṣoḍaśa // Valc_2,15.20 //	SRNata-aham pravakzyAmi mahA-dAnAni zoxaSa // Valt-_2,15.20 //
   tulāpuruṣa ādyantu hiraṇyagarbhadānakam /	tulApuruzaH Adyantu hiraNyagarBa-dAnakam /
   brahmāṇḍaṃ kalpavṛkṣaśca gosahasrañca pañcamam // Valc_2,15.21 //	brahmANxam kalpavRkzaH-ca go-sahasraQca paQcamam // Valt-_2,15.21 //
   hiraṇyakāmadhenuśca hiraṇyāśvaśca saptamam /	hiraNyakAmaDenuH-ca hiraNyASvaH-ca saptamam /
   hiraṇyāśvarathastadvaddhemahastirathastathā // Valc_2,15.22 //	hiraNya-aSva-raTaH-tadvat-hema-hastiraTaH-taTA // Valt-_2,15.22 //
   pañcalāṅgalakaṃ tadvaddharādānaṃ mahāphalam /	paQca-lAFgalakam tadvat-hara-AdAnam mahA-Palam /
   dvādaśaṃ viṣnucakrañca tataḥ kalpalatātmakam // Valc_2,15.23 //	dvAdaSam viznu-cakraQca tatas kalpa-latA-Atmakam // Valt-_2,15.23 //
   saptasāgaradānañca ratradhenustathaiva ca /	saptasAgara-dAnaQca ratraDenuH-taTA-eva ca /
   mahābhūtaghaṭastadvat dānaṃ śubhadine 'rpayet // Valc_2,15.24 //	mahABUta-GawaH-tadvat dAnam SuBa-dine arpayet // Valt-_2,15.24 //
   maṇḍape maṇḍale dānaṃ devān prācyārpayeddvije /	maNxape maNxale dAnam devAn prAcya-arpayet-dvije /
   dravyasya nāma gṛhṇīyāt dadāni ca tathā vadet // Valc_2,15.25 //	dravyasya nAma gRhNIyAt dadAni ca taTA vadet // Valt-_2,15.25 //
   toyaṃ dadyāttato haste dāne vidhirayaṃ smṛtaḥ /	toyam dadyAt-tatas haste dAne viDiH-ayam smRtaH /
   manasā pātramuddiśya jalaṃ bhūmau vinikṣapet // Valc_2,15.26 //	manasA pAtram-uddiSya jalam BUmO vinikzapet // Valt-_2,15.26 //
   vidyate sāgarasyānto dānasyānto na vidyate // Valc_2,15.27 //	vidyate sAgarasya-antaH dAnasya-antaH na vidyate // Valt-_2,15.27 //
   yathānāma sagotrāya pravarāyāmukāya ca /	yaTAnAma sagotrAya pravara-Aya-amukAya ca /
   vedavedāṅgayuktāya pātrāya sumahātmane // Valc_2,15.28 //	veda-vedAFga-yuktAya pAtrAya su-mahAtmane // Valt-_2,15.28 //
   mātāpitrorātmanaśca puṇyayaśobhivṛddhaye /	mAtA-pitroH-AtmanaH-ca puNya-yaSa-uBivRdDaye /
   sarvvapāpopaśāntyarthaṃ svargārthaṃ bhuktimuktaye // Valc_2,15.29 //	sarvu-apApa-upaSAnti-arTam svarga-arTam Bukti-muktaye // Valt-_2,15.29 //
   yathānāma mahādravyaṃ viṣṇurudrādidaivatam /	yaTAnAma mahA-dravyam vizNu-rudra-Adi-dEvatam /
   etattubhyaṃ sampradade prīyatāṃ me hariḥ śivaḥ // Valc_2,15.30 //	etat-tuByam sampradade prIyatAm me hariH SivaH // Valt-_2,15.30 //
   etaddānapratiṣṭhārthaṃ suvarṇaṃ dakṣiṇāṃ dade /	etat-dAna-pratizWA-arTam suvarNam dakziNAm dade /
   anena dānavākyena sarvvadānāni vai dadet // Valc_2,15.31 //	anena dAna-vAkyena sarvu-adAnAni vE dadet // Valt-_2,15.31 //
   suvarṇe dīyamāne tu rajataṃ dakṣiṇeṣyate /	suvarNe dIyamAne tu rajatam dakziNA-izyate /
   anyeṣāmapi dānānāṃ suvarṇaṃ dakṣiṇā smṛtā // Valc_2,15.32 //	anyezAm-api dAnAnAm suvarNam dakziNA smRtAH // Valt-_2,15.32 //
   suvarṇaṃ rajataṃ tāmraṃ taṇḍulaṃ dhānyameva ca /	suvarNam rajatam tAmram taNxulam DAnyam-eva ca /
   nityaśrāddhaṃ devapūjā sarvvametadadakṣiṇam // Valc_2,15.33 //	nitya-SrAdDam deva-pUjA sarvvam-etat-adakziNam // Valt-_2,15.33 //
   rajataṃ dakṣiṇā pitrye dharmmakāmārthasādhanam /	rajatam dakziNA pitrye Darmma-kAma-arTa-sADanam /
   suvarṇaṃ rajataṃ tāmraṃ maṇimuktāvasūni ca // Valc_2,15.34 //	suvarNam rajatam tAmram maNi-muktA-vasUni ca // Valt-_2,15.34 //
   sarvvametat mahāprājñe dadāti vasudhāṃ dadat /	sarvvam-etat mahA-prAjQe dadAti vasuDAm dadat /
   pitḥśca pitṛlokasthāndevasthāne ca devatā // Valc_2,15.35 //	pitHH-ca pitR-loka-sTAn-deva-sTAne ca devatAH // Valt-_2,15.35 //
   santarpayati śāntātmā yo dadāti vasundharām /	santarpayati SAnta-AtmA yaH dadAti vasunDarAm /
   kharvvaṭaṃ kheṭakaṃ vāpi grāmaṃ vā śasyaśālinam // Valc_2,15.36 //	Karu-vawam Kewakam vA-api grAmam vA Sasya-SAlinam // Valt-_2,15.36 //
   nivarttanaśataṃ vāpi tadarddhaṃ vā gṛhādikam /	nivarttana-Satam vA-api tad-ardDam vA gRha-Adikam /
   apyāḍhāvāpamātraṃ vā dattvorvvīṃ phalabhāk bhavet // Valc_2,15.37 //	api-AXAvApa-mAtram vA dattvA-urvvIm Pala-BAj Bavet // Valt-_2,15.37 //
   ikṣubhiḥ santatāṃ bhūmiṃ yavagodhamaśālinīm /	ikzuBiH santatAm BUmim yava-goDama-SAlinIm /
   dadāti vedaviduṣe sa na bhūyobhijāyate // Valc_2,15.38 //	dadAti veda-viduze sa na BUyoBijAyate // Valt-_2,15.38 //
   phālakṛṣṭāṃ mahīṃ dattvā savṛkṣāṃ śasyaśālinīm /	PAlakRzwAm mahIm dattvA sa-vRkzAm Sasya-SAlinIm /
   yāvat sūryyakarālokāstāvat svarge mahīyate // Valc_2,15.39 //	yAvat sUryya-kara-AlokAH-tAvat svarge mahIyate // Valt-_2,15.39 //
   viprāya dadyācca guṇānvitāya	viprAya dadyAt-ca guNa-anvitAya
   tapobhiyuktāya jitendriyāya /	tapoBiyuktAya jita-indriyAya /
   yāvanmahī tiṣṭhati sāgarāntā	yAvat-mahI tizWati sAgara-antA
   tāvat phalaṃ tasya bhavedanantam // Valc_2,15.40 //	tAvat Palam tasya Bavet-anantam // Valt-_2,15.40 //
   yathā vījāni rohanti prakīrṇāni mahītale /	yaTA vIjAni rohanti prakIrNAni mahI-tale /
   evaṃ kāmāḥ prarohanti bhūmidānasamārjitāḥ // Valc_2,15.41 //	evam kAmAH prarohanti BUmi-dAna-samArjitAH // Valt-_2,15.41 //
   yathāpsu patitaḥ sadyastailavinduḥ prasarpati /	yaTA-apsu patitaH sadyas-tElavinduH prasarpati /
   evaṃ bhūmikṛtaṃ dānaṃ śasye śakṣye prarohati // Valc_2,15.42 //	evam BUmi-kRtam dAnam Sasye Sakzye prarohati // Valt-_2,15.42 //
   annadāḥ sukhino nityaṃ vastradaścaiva rūpavān /	anna-dAH suKinaH nityam vastra-daH-ca-eva rUpavAn /
   sa naraḥ sarvvado bhūpā yo dadāti vasundharām // Valc_2,15.43 //	sa naraH sarvu-adaH BUpAH yaH dadAti vasunDarAm // Valt-_2,15.43 //
   yathā gaurbharate vatsaṃ kṣīramutsṛjya kṣīriṇī /	yaTA gOH-Barate vatsam kzIram-utsRjya kzIriNI /
