   maṅgalācaraṇam	maFgala-AcaraNam
   tato mayopajāta-kopenoktam-ayaṃ yuṣmadīyo mayūraḥ kena rājā kṛtaḥ ?	tatas mayA-upajAta--kopena-uktam--ayam yuzmadIyaH mayUraH kena rAjA kRtaH ?
   etac chrutvā te pakṣiṇo māṃ hantum udyatāḥ | tato mayāpi sva-vikramo	etat SrutvA te pakziNaH mAm hantum udyatAH | tatas mayA-api sva--vikramaH-
   darśitaḥ | yataḥ-	darSitaH | yatas--
   anyadā bhūṣaṇaṃ puṃsaḥ kṣamā lajjeva yoṣitaḥ |	anyadA BUzaNam puMsaH kzamA lajjA-iva yozitaH |
   parākramaḥ paribhave vaiyātyaṃ surateṣv iva // Hit_3.7 //	parAkramaH pariBave vEyAtyam suratezu iva // Hit-_3.7 //
   rājā vihasyāha-	rAjA vihasya-Aha-
   ātmanaś ca pareṣāṃ ca yaḥ samīkṣya balābalam |	AtmanaH ca parezAm ca yaH samIkzya balAbalam |
   antaraṃ naiva jānāti sa tiraskriyate'ribhiḥ // Hit_3.8 //	antaram na-eva jAnAti sa tiraskriyate-ariBiH // Hit-_3.8 //
   suciraṃ hi caran nityaṃ kṣetre satyam abuddhimān |	su-ciram hi caran nityam kzetre satyam abudDimAn |
   dvīpi-carma-paricchanno vāg-doṣād gardabho hataḥ // Hit_3.9 //	dvIpi-carma--paricCannaH vAc---dozAt gardaBaH hataH // Hit-_3.9 //
   bakaḥ pṛcchati-katham etat ?	bakaH pRcCati-kaTam etat ?
   rājā kathayati-	rAjA kaTayati-
   kathā 2	kaTA 2
   asti hastināpure vilāso nāma rajakaḥ | tasya gardabho 'tibhāra-vahanād	asti hastinApure vilAsaH nAma rajakaH | tasya gardaBaH ati-BAra-vahanAt-
   durbalo mumūrṣur ivābhavat | tatas tena rajakenāsau vyāghracarmaṇā	durbalaH mumUrzuH iva-aBavat | tatas tena rajakena-asO vyAGra-carmaNA
   pracchādyāraṇyaka-samīpe sasya-kṣetre vimuktaḥ | tato dūrāt tam avalokya	pracCAdya-araNyaka--samIpe sasya-kzetre vimuktaH | tatas dUrAt tam avalokya
   vyāghra-buddhyā kṣetra-patayaḥ satvaraṃ palāyante |	vyAGra--budDyA kzetra-patayaH sa-tvaram palAyante |
   athaikadā kenāpi sasya-rakṣakeṇa dhūsara-kambala-kṛta-tanu-trāṇena	aTa-ekadA kena-api sasya-rakzakeNa DUsara--kambala--kRta--tanu--trANena
   dhanuṣkāṇḍaṃ sajjīkṛtyānata-kāyenaikānte sthitam | taṃ ca dūrād dṛṣṭvā	DanuzkANxam sajjIkRtya-Anata--kAyena-ekAnte sTitam | tam ca dUrAt dRzwvA
   gardabhaḥ puṣṭāṅgo yetheṣṭa-sasya-bhakṣaṇa-jāta-balo gardabho 'yam iti	gardaBaH puzwa-aFgaH yeTa-izwa--sasya--BakzaNa--jAta-balaH gardaBaH ayam iti
   matvoccaiḥ śabdaṃ kurvāṇas tad-abhimukhaṃ dhāvitaḥ | tatas tena	matvA-uccEs Sabdam kurvANaH tad--aBimuKam DAvitaH | tatas tena
   sasya-rakṣakeṇa cītkāra-śabdād gardabho 'yam iti niścitya, līlayaiva	sasya-rakzakeNa cItkAra--SabdAt gardaBaH ayam iti niScitya, lIlayA-eva
   vyāpāditaḥ | ato 'haṃ bravīmi-suciraṃ hi caran nityam ity ādi |	vyApAditaH | atas aham bravImi-su-ciram hi caran nityam iti Adi |
   dīrghamukho brūte-tataḥ paścāt taiḥ pakṣibhir uktam-are pāpā duṣṭa-baka !	dIrGamuKaH brUte--tatas paScAt tEH pakziBiH uktam--are pApAH duzwa-bakaH !
   asmākaṃ bhūmau carann asmākaṃ svāminam adhikṣipasi | tan na kṣantavyam	asmAkam BUmO caran asmAkam svAminam aDikzipasi | tat na kzantavyam
   idānīm | ity uktvā sarve māṃ cañcubhir hatvā, sa-kopā ūcuḥ-paśya re mūrkha	idAnIm | iti uktvA sarve mAm caQcuBiH hatvA, sa-kopAH UcuH-paSya re mUrKa
   ! sa haṃsas tava rājā sarvathā mṛduḥ | tasya rājyādhikāro nāsti | yata	! sa haMsaH tava rAjA sarvaTA mRduH | tasya rAjya-aDikAraH na-asti | yata
   ekānta-mṛduḥ karatalastham apy arthaṃ rakṣitum akṣamaḥ | sa kathaṃ	ekAnta--mRduH kara-tala-sTam api arTam rakzitum akzamaH | sa kaTam
   pṛthivīṃ śāsti ? rājyaṃ vā tasya kim ? tvaṃ ca kūpa-maṇḍūkaḥ | tena	pRTivIm SAsti ? rAjyam vA tasya kim ? tvam ca kUpa-maNxUkaH | tena
   tad-āśrayam upadiśasi | śṛṇu-	tad--ASrayam upadiSasi | SRNu-
   sevitavyo mahā-vṛkṣaḥ phala-cchāyā-samanvitaḥ |	sevitavyaH mahA-vRkzaH Pala-cCAyA--samanvitaH |
   yadi daivāt phalaṃ nāsti cchāyā kena nivāryate // Hit_3.10 //	yadi dEvAt Palam na-asti cCAyA kena nivAryate // Hid-_3.10 //
   anyac ca-	anyat ca-
   hīna-sevā na kartavyā kartavyo mahad āśrayaḥ |	hIna--sevA na kartavyA kartavyaH mahat ASrayaH |
   payo 'pi śauṇḍikī-haste vāruṇĪty abhidhīyate // Hit_3.11 //	payaH api SONxikI--haste vAruNĪti aBiDIyate // Hid-_3.11 //
   anyac ca-	anyat ca-
   mahān apy alpatāṃ yāti nirguṇe guṇa-vistaraḥ |	mahAn api alpa-tAm yAti nirguNe guNa-vistaraH |
   ādhārādheya-bhāvena gajendra iva darpaṇe // Hit_3.12 //	ADAra-ADeya--BAvena gaja-indraH iva darpaNe // Hit-_3.12 //
   kintu-	kintu-
   ajā siṃha-prasādena vane carati nirbhayam |	ajA siMha--prasAdena vane carati nirBayam |
   rāmam āsādya laṅkāyāṃ lebhe rājyaṃ vibhīṣaṇaḥ // Hit_3.13 //	rAmam AsAdya laFkAyAm leBe rAjyam viBIzaNaH // Hit-_3.13 //
   viśeṣataś ca-	viSezataH ca-
   vyapadeśe'pi siddhiḥ syād atiśakte narādhipe |	vyapadeSe-api sidDiH syAt atiSakte narADipe |
   śaśino vyapadeśena śaśakāḥ sukham āsate // Hit_3.14 //	SaSinaH vyapadeSena SaSakAH suKam Asate // Hit-_3.14 //
   mayoktam-katham etat ?	mayA-uktam--kaTam etat ?
   pakṣiṇaḥ kathayanti-	pakziNaH kaTayanti-
   kathā 3	kaTA 3
   kadācid varṣāsv api vṛṣṭer abhāvāt tṛṣārto gaja-yūtho yūthapatim āha-nātha	kadAcid varzAsu api vRzweH aBAvAt tRzA-ArtaH gaja--yUTaH yUTa-patim Aha-nATa
   ! ko 'bhyupāyo 'smākaṃ jīvanāya ? nāsti kṣudra-jantūnāṃ api	! kaH aByupAyaH asmAkam jIvanAya ? na-asti kzudra--jantUnAm api
   nimajjana-sthānam | vayaṃ ca nimajjana-sthānābhāvān mṛtāḥ | andhā iva kiṃ	nimajjana-sTAnam | vayam ca nimajjana-sTAna-aBAvAt mRtAH | anDAH iva kim
   kurmaḥ ? kva yāmaḥ ?	kurmaH ? kva yAmaH ?
   tato hastirājo nātidūraṃ gatvā nirmalaṃ hradaṃ darśitavān | tato dineṣu	tatas hasti-rAjaH na-ati-dUram gatvA nirmalam hradam darSitavAn | tatas dinezu
   gacchatsu tat-tīrāvasthitāḥ kṣudra-śaśakā gaja-pādāhatibhiś cūrṇitāḥ |	gacCatsu tat--tIra-avasTitAH kzudra--SaSakAH gaja--pAda-AhatiBiH cUrNitAH |
   anantaraṃ śilīmukho nāma śaśakaś cintayāmāsa-anena gajayūthena	anantaram SilImuKaH nAma SaSakaH cintayAmAsa-anena gaja-yUTena
   pipāsākulitena pratyaham atrāgantavyam | tato vinaṣṭam asmat-kulam |	pipAsA-Akulitena pratyaham atra-Agantavyam | tatas vinazwam asmat--kulam |
   tato vijayo nāma vṛddha-śaśako 'vadat-mā viṣīdata | mayātra pratīkāraḥ	tatas vijayaH nAma vRdDa-SaSakaH avadat-mA vizIdata | mayA-atra pratIkAraH
   kartavyaḥ | tato 'sau pratijñāya calitaḥ | gacchatā ca tenālocitam-kathaṃ	kartavyaH | tatas asO pratijQAya calitaH | gacCatA ca tena-Alocitam--kaTam
   mayā gaja-yūtha-nātha-samīpe sthitvā vaktavyam | yataḥ-	mayA gaja--yUTa-nATa--samIpe sTitvA vaktavyam | yatas--
   spṛśann api gajo hanti jighrann api bhujaṅgamaḥ |	spRSan api gajaH hanti jiGran api BujaFgamaH |
   pālayann api bhūpālaḥ prahasann api durjanaḥ // Hit_3.15 //	pAlayan api BUpAlaH prahasan api durjanaH // Hit-_3.15 //
   ato 'haṃ parvata-śikharam āruhya yūthanāthaṃ saṃvādayāmi | tathānuṣṭhite	atas aham parvata--SiKaram Aruhya yUTa-nATam saMvAdayAmi | taTA-anuzWite
   sati yūthanātha uvāca-kas tvam ? kutaḥ samāyātaḥ ?	sati yUTa-nATaH uvAca-kaH tvam ? kutas samAyAtaH ?
   sa brūte-śaśako 'ham | bhagavatā candreṇa bhavad-antikaṃ preṣitaḥ |	sa brUte--SaSakaH aham | BagavatA candreNa Bavat--antikam prezitaH |
   yūthapatir āha-kāryam ucyatām |	yUTa-patiH Aha-kAryam ucyatAm |
   vijayo brūte-	vijayaH brUte-
   udyateṣv api śastreṣu dūto vadati nānyathā |	udyatezu api Sastrezu dUtaH vadati na-anyaTA |
   sadaivāvadhya-bhāvena yathārthasya hi vācakaḥ // Hit_3.16 //	sadA-eva-avaDya--BAvena yaTArTasya hi vAcakaH // Hit-_3.16 //
   tad ahaṃ tad-ājñayā bravīmi, śṛṇu | yad ete candrasaro-rakṣakāḥ śaśakās	tat aham tat--AjQayA bravImi, SRNu | yat ete candra-saro-rakzakAH SaSakAH-
   tvayā niḥsāritās tad anucitaṃ kṛtam | te śaśakāś ciram asmākaṃ rakṣitāḥ |	tvayA niHsAritAH tat anucitam kRtam | te SaSakAH ciram asmAkam rakzitAH |
   ata eva me śaśāṅka iti prasiddhiḥ |	atas eva me SaSAFkaH iti prasidDiH |
   evam uktavati dūte yūthapatir bhayād idam āha-praṇidhe ! idam ajñānataḥ	evam uktavati dUte yUTa-patiH BayAt idam Aha--praNiDe ! idam ajQAnataH
   kṛtam | punar na tatra gamiṣyāmi |	kRtam | punar na tatra gamizyAmi |
   dūta uvāca-yady evaṃ tad atra sarasi kopāt kampamānaṃ bhagavantaṃ śaśāṅkaṃ	dUtaH uvAca--yadi evam tat atra sarasi kopAt kampamAnam Bagavantam SaSAFkam
   praṇamya, prasādya ca gaccha |	praNamya, prasAdya ca gacCa |
   tatas tena rātrau yūthapatiṃ nītvā, tatra jale cañcalaṃ candra-bimbaṃ	tatas tena rAtrO yUTa-patim nItvA, tatra jale caQcalam candra--bimbam
   darśayitvā sa yūthaptiḥ praṇāmaṃ kāritaḥ | uktaṃ ca tena-deva ! ajñānād	darSayitvA sa yUTaptiH praNAmam kAritaH | uktam ca tena--deva ! ajQAnAt-
   anenāparādhaḥ kṛtaḥ | tataḥ kṣamyatām | naivaṃ vārāntaraṃ vidhāsyate | ity	anena-aparADaH kRtaH | tatas kzamyatAm | na-evam vAra-antaram viDAsyate | iti-
   uktvā prasthāpitaḥ | ato vayaṃ brūmaḥ-vyapadeśe'pi siddhiḥ syāt iti |	uktvA prasTApitaH | atas vayam brUmaH-vyapadeSe-api sidDiH syAt iti |
   --o)0(o--	--aH-)0(o--
   tato mayoktam-sa evāsmat-prabhū rājahaṃso mahā-pratāpo 'tismarthaḥ |	tatas mayA-uktam-saH eva-asmat--praBuH rAjahaMsaH mahA--pratApaH ati-smarTaH |
   trailokyasyāpi prabhutvaṃ tatra yujyate, kiṃ punā rājyam iti | tadāhaṃ	trElokyasya-api praBu-tvam tatra yujyate, kim punA rAjyam iti | tadA-aham
   taiḥ pakṣibhiḥ-duṣṭa ! katham asmad-bhūmau carasi ity abhidhāya rājñaś	tEH pakziBiH--duzwaH ! kaTam asmat--BUmO carasi iti aBiDAya rAjQaH-
   citravarṇasya samīpaṃ nītaḥ | tato rājñaḥ puro māṃ pradarśya taiḥ	citra-varNasya samIpam nItaH | tatas rAjQaH puras mAm pradarSya tEH
   praṇamyoktam-deva ! avadhīyatām | eṣa duṣṭo 'smad-deśe carann api	praNamya-uktam--dA-iva ! avaDIyatAm | eza duzwaH asmad--deSe caran api
   deva-pādān adhikṣipati |	deva--pAdAn aDikzipati |
   rājāha-ko 'yam ? kutaḥ samāyātaḥ ?	rAjA-aha-kaH ayam ? kutas samAyAtaH ?
   te ūcuḥ-hiraṇyagarbha-nāmno rājahaṃsasyānucaraḥ karpūradvīpād āgataḥ |	te UcuH--hiraNyagarBa--nAmnaH rAjahaMsasya-anucaraH karpUradvIpAt AgataH |
   athāhaṃ gṛdhreṇa mantriṇā pṛṣṭaḥ-kas tatra mukhyo mantrī ? iti |	aTa-aham gRDreNa mantriNA pRzwaH-kaH tatra muKyaH mantrI ? iti |
   mayoktam-sarva-śāstrārtha-pāragaḥ śarvajño nāma cakravākaḥ |	mayA-uktam--sarva--SAstra-arTa--pAragaH SarvajQaH nAma cakravAkaH |
   gṛdhro brūte-yujyate | sva-deśajo 'sau | yataḥ-	gRDraH brUte-yujyate | sva-deSa-jaH asO | yatas--
   svadeśajaṃ kulācāra-viśuddham upadhāśucim |	sva-deSa-jam kula-AcAra--viSudDam upaDA-Sucim |
   mantrajñam avasaninaṃ vyabhicāra-vivarjitam // Hit_3.17 //	mantra-jQam avasaninam vyaBicAra--vivarjitam // Hid-_3.17 //
   adhīta-vyavahārārthaṃ maulaṃ khyātaṃ vipaścitam |	aDIta--vyavahAra-arTam mOlam KyAtam vipaScitam |
   arthasyotpādakaṃ caiva vidadhyān mantriṇaṃ nṛpaḥ // Hit_3.18 //	arTasya-utpAdakam ca-eva vidaDyAt mantriNam nRpaH // Hit-_3.18 //
   atrāntare śukenoktam-deva ! karpūra-dvīpādayo laghudvīpā	atra-antare Sukena-uktam-dA-iva ! karpUra-dvIpa-AdayaH laGu-dvIpA
   jambūdvīpāntargatā eva | tatrāpi deva-pādānām evādhipatyam | tato rājñāpy	jambUdvIpa-antargatAH eva | tatra-api deva--pAdAnAm eva-ADipatyam | tatas rAjQA-api-
   uktam-evam eva | yataḥ-	uktam--evam eva | yatas--
   rājā mattaḥ śiśuś caiva pramadā dhana-garvitaḥ |	rAjA mattaH SiSuH ca-eva pramadA Dana--garvitaH |
   aprāpyam api vāñchanti kiṃ punar labhyate'pi yat // Hit_3.19 //	aprApyam api vAQCanti kim punar laByate-api yat // Hid-_3.19 //
   tato mayoktam-yadi vacanam-mātreṇaivādhipatyaṃ siddhyati | tadā	tatas mayA-uktam--yadi vacanam--mAtreNa-eva-ADipatyam sidDyati | tadA
   jambūdvīpe'py asmat-prabhor hiraṇyagarbhasya svāmyam asti |	jambUdvIpe-api asmat--praBoH hiraNyagarBasya svAmyam asti |
   śuko brūte-katham atra nirṇayaḥ ?	SukaH brUte--kaTam atra nirNayaH ?
   mayoktaṃ-saṅgrāma eva |	mayA-uktaM-saFgrAmaH eva |
   rājñā vihasyoktam-sva-svāminaṃ gatvā sajjīkuru |	rAjQA vihasya-uktam--sva-svAminam gatvA sajjIkuru |
   tadā mayoktam-sva-dūto 'pi prasthāpyatām |	tadA mayA-uktam--sva-dUtaH api prasTApyatAm |
   rājovāca-kaḥ prayāsyati dautyena ? yata evambhūto dūtaḥ kāryaḥ-	rAjA-uvAca-kaH prayAsyati dOtyena ? yatas evamBUtaH dUtaH kAryaH-
   bhakto guṇī śucir dakṣaḥ pragalbho 'vyasanī kṣamī |	BaktaH guNI SuciH dakzaH pragalBaH avyasanI kzamI |
   brāhmaṇaḥ paramarmajño dūtaḥ syāt pratibhānavān // Hit_3.20 //	brAhmaNaH para-marma-jQaH dUtaH syAt pratiBAnavAn // Hit-_3.20 //
   gṛdhro vadati-santy eva dūtā bahavaḥ, kintu brāhmaṇa eva kartavyaḥ |	gRDraH vadati-santi eva dUtAH bahavaH, kintu brAhmaNaH eva kartavyaH |
   yataḥ,	yatas-,
   prasādaṃ kurute patyuḥ sampattiṃ nābhivāñchati |	prasAdam kurute patyuH sampattim na-aBivAQCati |
   kālimā kālakūṭasya nāpaitīśvara-saṅgamāt // Hit_3.21 //	kAlimA kAlakUwasya na-apEti-ISvara--saFgamAt // Hid-_3.21 //
   rājāha-tataḥ śuka eva vrajatu | śuka ! tvam evānena saha tatra	rAjA-Aha-tataH SukaH eva vrajatu | SukaH ! tvam eva-anena saha tatra
   gatvāsmad-abhilaṣitaṃ brūhi |	gatvA-asmad--aBilazitam brUhi |
   śuko brūte-yathājñāpayati devaḥ | kintv ayaṃ durjano bakaḥ | tad anena	SukaH brUte-yaTA-AjQApayati devaH | kintu ayam durjanaH bakaH | tat anena
   saha na gacchāmi | tathā coktam-	saha na gacCAmi | taTA ca-uktam-
   khalaḥ karoti durvṛttaṃ nūnaṃ phalati sādhuṣu |	KalaH karoti durvRttam nUnam Palati sADuzu |
   daśānano 'harat sītāṃ bandhanaṃ syān mahodadheḥ // Hit_3.22 //	daSAnanaH aharat sItAm banDanam syAt mahodaDeH // Hit-_3.22 //
   aparaṃ ca-	aparam ca-
   na sthātavyaṃ na gantavyaṃ durjanena samaṃ kvacit |	na sTAtavyam na gantavyam durjanena samam kvacid |
   kāka-saṅgād dhato haṃsas tiṣṭhan gachaṃś ca vartakaḥ // Hit_3.23 //	kAka--saFgAt DataH haMsaH tizWan gaCan ca vartakaH // Hit-_3.23 //
   rājovāca-katham etat ?	rAjA-uvAca--kaTam etat ?
   śukaḥ kathayati-	SukaH kaTayati-
   kathā 4	kaTA 4
   asty ujjayinī-vartma-prāntare plakṣa-taruḥ | tatra haṃsa-kākau nivasataḥ |	asti ujjayinI--vartma--prAntare plakza-taruH | tatra haMsa-kAkO nivasataH |
   kadācit grīṣma-samaye pariśrāntaḥ kaścit pathikas tatra taru-tale	kadAcid grIzma--samaye pariSrAntaH kaScid paTikaH tatra taru--tale
   dhanuṣkāṇḍaṃ saṃnidhāya suptaḥ | tatra kṣaṇāntare tan-mukhād	DanuzkANxam saMniDAya suptaH | tatra kzaNa-antare tan--muKAt-
   vṛkṣa-cchāyāpagatā | tataḥ sūrya-tejasā tan-mukhaṃ vyāptam avalokya,	vRkza--=-CAyA-apagatA | tatas sUrya--tejasA tan-muKam vyAptam avalokya,
   tad-vṛkṣa-sthitena puṇya-śīlena śucinā rājahaṃsena kṛpayā pakṣau prasārya	tad--vRkza--sTitena puNya--SIlena SucinA rAjahaMsena kRpayA pakzO prasArya
   punas tan-mukhe chāyā kṛtā | tato nirbhara-nidrā-śukhinā	punar tan--muKe CAyA kRtA | tatas nirBara--nidrA--SuKinA
   pathi-bhramaṇa-pariśrāntena pānthena mukha-vyādānaṃ kṛtam |	paTi--BramaNa--pariSrAntena pAnTena muKa--vyAdAnam kRtam |
   atha para-sukham asahiṣṇuḥ svabhāva-daurjanyena sa kākas tasya mukhe	aTa para-suKam asahizNuH svaBAva--dOrjanyena sa kAkaH tasya muKe
   purīṣotsargaṃ kṛtvā palāyitaḥ | tato yāvad asau pāntha utthāyordhvaṃ	purIza-utsargam kRtvA palAyitaH | tatas yAvat asO pAnTaH utTAya-UrDvam
   nirīkṣate, tāvat tenāvalokito haṃsaḥ kāṇḍena hato vyāpāditaḥ | ato 'haṃ	nirIkzate, tAvat tena-avalokitaH haMsaH kANxena hataH vyApAditaH | atas aham
   bravīmi-na sthātavyam iti |	bravImi-na sTAtavyam iti |
   --o)0(o--	--aH-)0(o--
   deva ! vartaka-kathām api kathayāmi | śrūyatām-	deva ! vartaka---kaTAm api kaTayAmi | SrUyatAm-
   kathā 5	kaTA 5
   ekatra vṛkṣe kāka-vartukau sukhaṃ nivasataḥ | ekadā bhagavato garuḍasya	ekatra vRkze kAka-vartukO suKam nivasataH | ekadA BagavataH garuxasya
   yātrā-prasaṅgena sarve pakṣiṇaḥ samudra-tīraṃ gatāḥ | tataḥ kākena saha	yAtrA--prasaFgena sarve pakziNaH samudra--tIram gatAH | tatas kAkena saha
   vartakaś calitaḥ | atha gacchato gopālasya mastakāvasthita-dadhi-bhāṇḍād	vartakaH calitaH | aTa gacCataH gopAlasya mastaka-avasTita-daDi--BANxAt-
   vāraṃ vāraṃ tena kākena dadhi khādyate | tato yāvad asau dadhi-bhāṇḍaṃ	vAram vAram tena kAkena daDi KAdyate | tatas yAvat asO daDi-BANxam
   bhūmau nidhāyordhvam avalokate, tāvat tena kāka-vartakau dṛṣṭau | tatas	BUmO niDAya-UrDvam avalokate, tAvat tena kAka-vartakO dRzwO | tatas-
   tena dṛṣṭaḥ kākaḥ palāyitaḥ | vartakaḥ svabhāva-niraparādho manda-gatis	tena dRzwaH kAkaH palAyitaH | vartakaH svaBAva--niraparADaH manda-gati-s
   tena prāpto vyāpāditaḥ | ato 'haṃ bravīmi-na gantavyam ity ādi |	tena prAptaH vyApAditaH | atas aham bravImi-na gantavyam iti Adi |
   --o)0(o--	--aH-)0(o--
   tato mayoktam-bhrātaḥ śuka ! kim evaṃ bravīṣi ? māṃ prati yathā	tatas mayA-uktam--BrAtar SukaH ! kim evam bravIzi ? mAm prati yaTA
   śrīmad-deva-pādās tathā bhavān api | śukenoktam-astv evam | kintu,	SrImat--deva--pAdAH taTA BavAn api | Sukena-uktam-astu evam | kintu,
   durjanair ucyamānāni saṃmatāni priyāṇy api |	durjanEH ucyamAnAni saMmatAni priyANi api |
   akāla-kusumānīva bhayaṃ saṃjanayanti hi // Hit_3.24 //	akAla--kusumAni-iva Bayam saMjanayanti hi // Hit-_3.24 //
   durjanatvaṃ ca bhavato vākyād eva jñātam | yad anayor bhūpālayor vigrahe	durjana-tvam ca BavataH vAkyAt eva jQAtam | yat anayoH BUpAlayoH vigrahe
   bhavad-vacanam eva nidānam | paśya-	Bavat--vacanam eva nidAnam | paSya-
   pratyakṣe'pi kṛte doṣe mūrkhaḥ sāntvena tuṣyati |	pratyakze-api kRte doze mUrKaH sAntvena tuzyati |
   ratha-kāro nijāṃ bhāryāṃ sajārāṃ śirasākarot // Hit_3.25 //	raTa-kAraH nijAm BAryAm sa-jArAm SirasA-akarot // Hid-_3.25 //
   rājñoktam--katham etat ?	rAjQA-uktam---kaTam etat ?
   śukaḥ kathayati-	SukaH kaTayati-
   kathā 6	kaTA 6
   asti yauvana-śrī-nagare manda-matir nāma rathakāraḥ | sa ca sva-bhāryāṃ	asti yOvana-SrI-nagare manda-matiH nAma raTakAraH | sa ca sva-BAryAm
   bandhakīṃ jānāti | kintu jāreṇa samaṃ sva-cakṣuṣā naika-sthāne paśyati |	banDakIm jAnAti | kintu jAreNa samam sva-cakzuzA na-eka-sTAne paSyati |
   tato 'sau rathakāraḥ aham anyaṃ grāmaṃ gacchāmīty uktvā calitaḥ | sa kiyad	tatas asO raTakAraH aham anyam grAmam gacCAmi-iti uktvA calitaH | sa kiyat-
   dūraṃ gatvā punar āgatya paryaṅka-tale sva-gṛhe nibhṛtaṃ sthitaḥ | atha	dUram gatvA punar Agatya paryaFka-tale sva-gRhe niBRtam sTitaH | aTa
   rathakāro grāmāntaraṃ gata ity upajāta-viśvāsaḥ sa jāraḥ sandhyā-kāla	raTakAraH grAma-antaram gataH iti upajAta--viSvAsaH sa jAraH sanDyA--kAla
   evāgataḥ | paxcāt tena jāreṇa samaṃ tasmin paryaṅke nirbharaṃ krīḍantī,	eva-AgataH | paxcAt tena jAreNa samam tasmin paryaFke nirBaram krIxantI,
   paryaṅka-tala-sthitasya bhartuḥ kiñcid aṅga-sparśāt svāminaṃ māyāvinaṃ	paryaFka-tala--sTitasya BartuH kiQcid aFga--sparSAt svAminam mAyAvinam
   vijñāya, manasi sā viṣaṇṇābhavat |	vijQAya, manasi sA vizaNNA-aBavat |
   tato jāreṇoktam-kim iti tvam adya mayā saha nirbharaṃ na ramase ?	tatas jAreNa-uktam--kim iti tvam adya mayA saha nirBaram na ramase ?
   vismiteva pratibhāsi me tvam |	vismitA-iva pratiBAsi me tvam |
   atha tayoktam-anabhijño 'si | yo 'sau mama prāṇeśvaro, yena mamākaumāraṃ	aTa tayA-uktam--anaBijQaH asi | yaH asO mama prANeSvaro, yena mama-AkOmAram
   sakhyaṃ so 'dya grāmāntaraṃ gataḥ | tena vinā sakala-jana-pūrṇo 'pi grāmo	saKyam saH adya grAma-antaram gataH | tena vinA sakala--jana--pUrNaH api grAmaH-
   māṃ praty araṇyavat pratibhāti | kiṃ bhāvi ? tatra para-sthāne kiṃ	mAm prati araNya-vat pratiBAti | kim BAvi ? tatra para--sTAne kim
   khāditavān ? kathaṃ vā prasuptaḥ ? ity asmad-dhṛdayaṃ vidīryate |	KAditavAn ? kaTam vA prasuptaH ? iti asmad--DRdayam vidIryate |
   jāro brūte-tava kim evaṃvidhā sneha-bhūmī rathakāraḥ ?	jAraH brUte--tava kim evaMviDA sneha--BUmiH raTakAraH ?
   bandhaky avadat-re barbara ! kiṃ vadasi ? śṛṇu-	banDakI avadat-re barbara ! kim vadasi ? SRNu-
   paruṣāṇy api yā proktā dṛṣṭā yā krodha-cakṣuṣā |	paruzANi api yA proktA dRzwA yA kroDa-cakzuzA |
   suprasanna-mukhī bhartuḥ sā nārī dharma-bhājanam // Hit_3.26 //	su-prasanna--muKI BartuH sA nArI Darma-BAjanam // Hid-_3.26 //
   aparaṃ ca-	aparam ca-
   nagarastho vanastho vā pāpo vā yadi vā śuciḥ |	nagara-sTaH vana-sTaH vA pApaH vA yadi vA SuciH |
   yāsāṃ strīṇāṃ priyo bhartā tāsāṃ lokā mahodayāḥ // Hit_3.27 //	yAsAm strINAm priyaH BartA tAsAm lokAH mahA-udayAH // Hid-_3.27 //
   anyac ca-	anyat ca-
   bhartā hi paramaṃ nāryā bhūṣaṇaṃ bhūṣaṇair vinā |	BartA hi paramam nAryAH BUzaNam BUzaNEH vinA |
   eṣā virahitā tena śobhanāpi na śobhate // Hit_3.28 //	ezA virahitA tena SoBanA-api na SoBate // Hid-_3.28 //
   tvaṃ ca jāraḥ pāpa-matiḥ, mano-laulyāt puṣpa-tāmbūla-sadṛśaḥ kadācit	tvam ca jAraH pApa-matiH, mano--lOlyAt puzpa-tAmbUla--sadRSaH kadAcid-
   sevyase, kadācin na sevyase ca | sa ca punar me svāmī , māṃ vikretuṃ,	sevyase, kadAcid na sevyase ca | sa ca punar me svAmI , mAm vikretuM,
   devebhyo, brāhmaṇebhyo vā dātum īśvaraḥ | kiṃ bahunā ? tasmin jīvati	deveByo, brAhmaNeByaH vA dAtum ISvaraH | kim bahunA ? tasmin jIvati
   jīvāmi | tan-maraṇe cānumaraṇaṃ kariṣyāmīti pratijñā vartate | yataḥ-	jIvAmi | tan--maraNe ca-anumaraNam karizyAmi-iti pratijQA vartate | yatas--
