   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   4.2.30/.prasahya tv enām ekacāriṇī^vṛttam anutiṣṭhed iti	4.2.30/.prasahya tu enAm ekacAriNI^vRttam anutizWet iti
   kaniṣṭhā^vṛttam//(p.246)	kanizWA^vRttam-//(p.246)
   4.2.31/.vidhavā tv indriya^daurbalyād āturā bhoginaṃ guṇa^saṃpannaṃ ca yā	4.2.31/.viDavA tu indriya^dOrbalyAt AturA Boginam guNa^saMpannam ca yA
   punar vindet sā punarbhūḥ//(p.247)	punar vindet sA punarBUH//(p.247)
   4.2.32/.yatas tu svecchayā punar api niṣkramaṇaṃ nirguṇo +ayam iti tadā	4.2.32/.yataH tu sva-icCayA punar api nizkramaNam nirguNaH +ayam iti tadA
   anyaṃ kāṅkṣed iti bābhravīyāḥ//(p.247)	anyam kAFkzet iti bABravIyAH//(p.247)
   4.2.33/.saukhyā^arthinī sā kila^anyaṃ punar vindeta//(p.247)	4.2.33/.-sOKyA^arTinI sA kila^anyam punar vindeta//(p.247)
   4.2.34/.guṇeṣu sopabhogeṣu sukha^sākalyaṃ tasmāt tato viśeṣa iti	4.2.34/.guNezu sa-upaBogezu suKa^sAkalyam tasmAt tatas viSezaH iti
   gonardīyaḥ//(p.247)	gonardIyaH//(p.247)
   4.2.35/.ātmanaś citta^anukūlyād iti vātsyāyanaḥ//(p.248)	4.2.35/.a-AtmanaH citta^anukUlyAt iti vAtsyAyanaH//(p.248)
   4.2.36/.sā bāndhavair nāyakād āpānaka^udyāna^śraddhā^dāna^mitra^pūjana^ādi	4.2.36/.sA bAnDavEH nAyakAt ApAnakaH-^udyAna^SradDA^dAna^mitra^pUjane-^Adi
   vyayasahiṣṇu karma lipseta//(p.248)	vyaya-sahizNu karma lipseta//(p.248)
   4.2.37/.ātmanaḥ sāreṇa vālaṃkāraṃ tadīyam ātmīyaṃ vā bibhṛyāt//(p.248)	4.2.37/.a-AtmanaH sAreNa vA-alaMkAram tadIyam AtmIyam vA biBRyAt//(p.248)
   4.2.38/.prīti^dāyeṣv aniyamaḥ//(p.248)	4.2.38/.prIti^dAyezu aniyamaH//(p.248)
   4.2.39/.svecchayā ca gṛhān nirgacchantī prīti^dāyād anyan nāyaka^dattaṃ	4.2.39/.sva-icCayA ca gRhAt nirgacCantI prIti^dAyAt anyat nAyaka^dattam
   jīyeta/ niṣkāsyamānā tu na kiṃ cid dadyāt//(p.248)	jIyeta/ nizkAsyamAnA tu na kim cit dadyAt//(p.248)
   4.2.40/.sā *prabhuviṣṇur[ch:prabhaviṣṇur] iva tasya bhavanam	4.2.40/.sAH *praBu-vizNuH-[C:-praBavizNur] iva tasya Bavanam
   āpnuyāt//(p.248)	ApnuyAt//(p.248)
   4.2.41/.kulajāsu tu prītyā varteta//(p.248)	4.2.41/.kula-jAsu tu prItyA varteta//(p.248)
   4.2.42/.dākṣiṇyena parijane sarvatra saparihāsā mitreṣu pratipattiḥ/	4.2.42/.da-akziNyena parijane sarvatra sa-parihAsA mitrezu pratipattiH/
   kalāsu kauśalam adhikasya ca jñānam//(p.248)	kalAsu kOSalam aDikasya ca jQAnam-//(p.248)
   4.2.43/.kalaha^sthāneṣu ca nāyakaṃ svayam upālabheta//(p.249)	4.2.43/.kalaha^sTAnezu ca nAyakam svayam upAlaBeta//(p.249)
   4.2.44/.rahasi ca kalayā catuḥṣaṣṭyā^anuvarteta/ sapatnīnāṃ ca svayam	4.2.44/.rahasi ca kalayA catuHzazwyA^anuvarteta/ sapatnInAm ca svayam
   upakuryāt/ tāsām apatyeṣv ābharaṇa^dānam/ teṣu *svāmivad[ch:svāmīvad]	upakuryAt/ tAsAm apatyezu ABaraNa^dAnam/ tezu *svAm-i-vat-[S:svAmI-vad]
   upacāraḥ/ maṇḍanakāni veṣān ādareṇa kurvīta/ parijane mitravarge	upacAraH/ maNxanakAni vezAn AdareNa kurvIta/ parijane mitra-varge
   ca^adhikaṃ viśrāṇanam/ samāja^āpānaka^udyānayātrā^vihāra^śīlatā ca^iti	ca^aDikam viSrANanam/ samAja^ApAnakaH-^udyAna-yAtrA^vihAra^SIla-tA ca^iti
   punarbhū^vṛttam//(p.249)	punarBU^vRttam-//(p.249)
   4.2.45/.durbhagā tu sāpatnaka^pīḍitā yā tāsām adhikam iva patyāv upacaret	4.2.45/.duH-BagA tu sApatnaka^pIxitA yA tAsAm aDikam iva patyO upacaret-
   tām āśrayet/ *prakāśyāni[ch:prakāmyāni] ca kalā^vijñānāni darśayet/	tAm ASrayet/ *prakASyA-ni[C:prakAmyAni] ca kalA^vijQAnAni darSayet-/
   daurbhāgyād rahasyānām abhāvaḥ//(p.249)	dOrBAgyAt rahasyAnAm aBAvaH//(p.249)
   4.2.46/.nāyaka^apatyānaṃ dhātreyikāni kuryāt//(p.250)	4.2.46/.nAyaka^apatyAnam DAtreyikAni kuryAt-//(p.250)
   4.2.47/.tan mitrāṇi ca^upagṛhya tair bhaktim ātmanaḥ prakāśayet//(p.250)	4.2.47/.tat mitrANi ca^upagRhya tEH Baktim AtmanaH prakASayet//(p.250)
   4.2.48/.dharma^kṛtyeṣu ca puraś^cāriṇī syād vrata^upavāsayoś ca//(p.250)	4.2.48/.Darma^kRtyezu ca puras-^cAriNI syAt vrataH-^upavAsayoH ca//(p.250)
   4.2.49/.parijane dākṣiṇyam/ na ca^adhikam ātmānaṃ paśyet//(p.250)	4.2.49/.-parijane dAkziNyam/ na ca^aDikam AtmAnam paSyet//(p.250)
   4.2.50/.śayane tat^sātmyena^ātmano +anurāga^pratyānayanam//(p.250)	4.2.50/.Sayane tat-^sAtmyena^AtmanaH +anurAga^pratyAnayanam-//(p.250)
   4.2.51/.na ca^upālabheta vāmatāṃ ca na darśayet//(p.250)	4.2.51/.na ca^upAlaBeta vAma-tAm ca na darSayet//(p.250)
   4.2.52/.yayā ca kalahitaḥ syāt kāmaṃ tām āvartayet//(p.250)	4.2.52/.yayA ca kalahitaH syAt kAmam tAm Avartayet//(p.250)
   4.2.53/.yāṃ ca pracchannāṃ kāmayet tām anena saha saṃgamayed gopayec	4.2.53/.yAm ca pracCannAm kAmayet tAm anena saha saMgamayet gopayet-
   ca//(p.250)	ca//(p.250)
   4.2.54/.yathā ca pativratātvam aśāṭhyaṃ nāyako manyeta tathā prativid	4.2.54/.yaTA ca pativratA-tvam aSAWyam nAyakaH manyeta taTA prativid
   adhyād iti durbhagā^vṛttam//(p.251)	aDyAt iti durBagA^vRttam-//(p.251)
   4.2.55/.antaḥpurāṇāṃ ca vṛttam eteṣv eva prakaraṇeṣu lakṣayet//(p.251)	4.2.55/.antaHpurANAm ca vRttam etezu eva prakaraNezu lakzayet//(p.251)
   4.2.56/.mālyā^anulepana^vāsāṃsi ca^āsāṃ kañcukīyā mahattarikā vā rājño	4.2.56/.mAlyAH-^anulepana^vAsAMsi ca^AsAm kaQcukIyAH mahattarikAH vA rAjQaH-
   nivedayeyur devībhiḥ prahitam iti/	nivedayeyuH devIBiH prahitam iti/
   4.2.57/.tad^ādāya rājā nirmālyam āsāṃ pratiprābhṛtakaṃ dadyāt/	4.2.57/.tat-^AdAya rAjA nirmAlyam AsAm pratiprABRtakam dadyAt-/
   4.2.58/.alaṃkṛtaś ca svalaṃkṛtāni ca^aparāhṇe sarvāṇy	4.2.58/.alaMkRtaH ca su-alaMkRtAni ca^aparAhNe sarvANi-
   antaḥpurāṇya^ekadhyena paśyet//(p.251)	antaHpurANi-a^ekaDyena paSyet//(p.251)
   4.2.59/.tāsāṃ yathā^kālaṃ yathā^arhaṃ ca sthāna^māna^anuvṛttiḥ saparihāsāś	4.2.59/.tAsAm yaTA^kAlam yaTA^arham ca sTAna^mAna^anuvRttiH sa-parihAsa-aH-
   ca kathāḥ kuryāt//(p.251)	ca kaTAH kuryAt-//(p.251)
   4.2.60/.tad^anantaraṃ punarbhuvas tathā^eva paśyet//(p.252)	4.2.60/.tat-^anantaram punarBuvaH taTA^eva paSyet//(p.252)
   4.2.61/.tato veśyā ābhyantarikā nāṭakīyāś ca//(p.252)	4.2.61/.tataH veSyAH AByantarikAH nAwakIyAH ca//(p.252)
   4.2.62/.tāsāṃ yathokta^kakṣāṇi sthānāni//(p.252)	4.2.62/.tAsAm yaTA-ukta^kakzANi sTAna-ani//(p.252)
   4.2.63/.vāsaka^pālyas tu yasyā vāsako yasyāś ca^atīto yasyāś ca ṛtus	4.2.63/.vAsaka^pAlyaH tu yasyAH vAsakaH yasyAH ca^atItaH yasyAH ca RtuH-
   tat^paricārika^anugatā divā śayyā^utthitasya rājñas tābhyāṃ prahitam	tat-^paricArika^anugatAH divA SayyA^utTitasya rAjQaH tAByAm prahitam
   aṅgulīyaka^aṅkam anulepanam ṛtuṃ vāsakaṃ ca nivedayeyuḥ/(p.252)	aFgulIyaka^aFkam anulepanam Rtum vAsakam ca nivedayeyuH/(p.252)
   4.2.64/.tatra rājā yad gṛhṇīyāt tasyā vāsakam ājñāpayet//(p.252)	4.2.64/.tatra rAjA yat gRhNIyAt tasyAH vAsakam AjQApayet//(p.252)
   4.2.65/.utsaveṣu ca sarvāsām anurūpeṇa pūjā^āpānakaṃ ca/ saṃgīta^darśaneṣu	4.2.65/.utsavezu ca sarvAsAm anurUpeNa pUjA^ApAnakam ca/ saMgIta^darSanezu
   ca//(p.252)	ca//(p.252)
   4.2.66/.antaḥpura^cāriṇīnāṃ bahir aniṣkramo bāhyānāṃ ca^apraveśaḥ/ anyatra	4.2.66/.antaHpura^cAriNInAm bahis anizkramaH bAhyAnAm ca^apraveSaH/ anyatra
   vidita^śaucābhyaḥ/ aparikliṣṭaś ca karma^yoga ity āntaḥpurikam//(p.252)	vidita^SOcAByaH/ apariklizwaH ca karma^yogaH iti AntaHpurikam-//(p.252)
   bhavanti ca^atra ślokāḥ ---	Bavanti ca^atra SlokAH ---
   4.2.67ab/.puruṣas tu bahūn dārān samāhṛtya samo bhavet/(p.253)	4.2.67ab/.puruzaH tu bahUn dArAn samAhRtya samaH Bavet-/(p.253)
   4.2.67cd/.na ca^avajñāṃ cared āsu vyalīkān na saheta ca//(p.253)	4.2.67cd/.na ca^avajQAm caret Asu vyalIkAt na saheta ca//(p.253)
   4.2.68ab/.ekasyāṃ yā rati^krīḍā vaikṛtaṃ vā śarīrajam/(p.253)	4.2.68ab/.ekasyAm yA rati^krIxA vEkRtam vA SarIrajam-/(p.253)
   4.2.68cd/.visrambhād vā^apy upālambhas tam anyāsu na kīrtayet//(p.253)	4.2.68cd/.-visramBAt vE-^api upAlamBaH tam anyAsu na kIrtayet//(p.253)
   4.2.69ab/.na dadyāt prasaraṃ strīṇāṃ sapatnyāḥ kāraṇe kva cit/(p.253)	4.2.69ab/.na dadyAt prasaram strINAm sapatnyAH kAraNe kva cit/(p.253)
   4.2.69cd/.tathā^upālabhamānāṃ ca doṣais tām eva yojayet//(p.253)	4.2.69cd/.-taTA^upAlaBamAnAm ca dozEH tAm eva yojayet-//(p.253)
   4.2.70ab/.anyāṃ rahasi visrambhair anyāṃ pratyakṣa^pūjanaiḥ/(p.253)	4.2.70ab/.anyAm rahasi visramBEH anyAm pratyakza^pUjanEH/(p.253)
   4.2.70cd/.bahu^mānais tathā ca^anyām ity evaṃ rañjayet striyaḥ//(p.253)	4.2.70cd/.-bahu^mAnEH taTA ca^anyAm iti evam raQjayet striyaH//(p.253)
   4.2.71ab/.udyāna^gamanair bhogair dānais taj^jñāti^pūjanaiḥ/(p.254)	4.2.71ab/.udyAna^gamanEH BogEH dAnEH tat-^jQAti^pUjanEH/(p.254)
   4.2.71cd/.rahasyaiḥ prīti^yogaiś ca^ity ekaikām anurañjayet//(p.254)	4.2.71cd/.-rahasyEH prIti^yogEH ca^iti ekEkAm anuraQjayet//(p.254)
   4.2.72ab/.yuvatiś ca jitakrodhā yathā^śāstra^pravartinī/(p.254)	4.2.72ab/.yuvatiH ca jita-kroDAH yaTA^SAstra^pravartinI/(p.254)
   4.2.72cd/.karoti vaśyaṃ bhartāraṃ sapatnīś ca^adhitiṣṭhati//(p.254)	4.2.72cd/.karoti vaSyam BartAram sapatnIH ca^aDitizWati//(p.254)
   5. pāradārikaṃ	5. pAradArikam
   5.1.strīpuruṣaśīlavasthāpanaṃ vyāvartanakāraṇāṇi strīṣu siddhāḥ puruṣā	5.1.-strI-puruza-SIlavasTApanam vyAvartana-kAraNANi strIzu sidDAH puruzA
   ayatnasādhyā yoṣitaḥ	ayatna-sADyAH yozitaH
   5.1.1/.vyākhyāta^kāraṇāḥ para^parigraha^upagamāḥ//(p.255)	5.1.1/.vyAKyAta^kAraNAH para^parigrahaH-^upagamAH//(p.255)
   5.1.2/.teṣu sādhyatvam anatyayaṃ gamyatvam āyatiṃ vṛttiṃ ca^ādita eva	5.1.2/.tezu sADya-tvam anatyayam gamya-tvam Ayatim vRttim ca^Aditas eva
   parīkṣeta//	parIkzeta//
   5.1.3/.yadā tu sthānāt sthāna^antaraṃ kāmaṃ pratipadyamānaṃ paśyet	5.1.3/.yadA tu sTAnAt sTAna^antaram kAmam pratipadyamAnam paSyet-
   tad^ātma^śarīra^upaghāta^trāṇa^arthaṃ para^parigrahān	tat-^Atma^SarIra^upaGAta^trANa^arTam para^parigrahAn
   abhyupagacchet//(p.255)	aByupagacCet//(p.255)
   5.1.4/.daśa tu kāmasya sthānāni//(p.255)	5.1.4/.daSa tu kAmasya sTAna-ani//(p.255)
   5.1.5/.cakṣuḥ^prītir manaḥ^saṅgaḥ saṃkalpa^utpattir nidrā^ācchedas tanutā	5.1.5/.cakzuH^prItiH manaH^saFgaH saMkalpaH-^utpattiH nidrA^AcCedaH tanu-tA
   viṣayebhyo vyāvṛttir lajjā^praṇāśa unmādo mūrchā maraṇam iti teṣāṃ	vizayeByaH vyAvRttiH lajjA^praNASaH unmAdaH mUrCA maraNam iti tezAm
   liṅgāni//(p.256)	liFga-ani//(p.256)
   5.1.6/.tatra^ākṛtito lakṣaṇataś ca yuvatyāḥ śīlaṃ satyaṃ śaucaṃ sādhyatāṃ	5.1.6/.tatra^AkRtitaH lakzaNataH ca yuvatyAH SIlam satyam SOcam sADyatAm
   caṇḍa^vegatāṃ ca lakṣayed ity ācāryāḥ//(p.256)	caNxa^vega-tAm ca lakzayet iti AcAryAH//(p.256)
   5.1.7/.vyabhicārād ākṛti^lakṣaṇa^yogānām iṅgita^ākārābhyām eva pravṛttir	5.1.7/.vyaBicArAt AkRti^lakzaNa^yogAnAm iFgitaH-^AkArAByAm eva pravRttiH-
   boddhavyā yoṣita iti vātsyāyanaḥ//(p.256)	bodDavyA yozitaH iti vAtsyAyanaH//(p.256)
   5.1.8/.yaṃ kaṃ cid ujjvalaṃ puruṣaṃ dṛṣṭvā strī kāmayate/ tathā puruṣo	5.1.8/.yam kam cit ujjvalam puruzam dRzwvA strI kAmayate/ taTA puruzaH-
   +api yoṣitam/ apekṣayā tu na *pravartata[ch:pravartate] iti goṇikāputraḥ//	+api yozitam/ apekzayA tu naH *pravartata[-C:pravartate] iti goNikAputraH//
   5.1.9/.tatra striyaṃ prati viśeṣaḥ//(p.257)	5.1.9/.tatra striyam prati viSezaH//(p.257)
   5.1.10/.na strī dharmam adharmaṃ ca^apekṣate kāmayata eva/ kārya^apekṣayā	5.1.10/.na strI Darmam aDarmam ca^apekzate kAmayate eva/ kArya^apekzayA
   tu na^abhiyuṅkte/	tu na^aBiyuFkte/
   5.1.11/.svabhāvāc ca puruṣeṇa^abhiyujyamānā cikīrṣanty api vyāvartate/	5.1.11/.svaBAvAt ca puruzeNa^aBiyujyamAnA cikIrzanti api vyAvartate/
   5.1.12/.punaḥ punar abhiyuktā siddhyati/	5.1.12/.punar punar aBiyuktA sidDi-ati/
   5.1.13/.puruṣas tu dharma^sthitim ārya^samayaṃ ca^apekṣya kāmayamāno +api	5.1.13/.puruzaH tu Darma^sTitim Arya^samayam ca^apekzya kAmayamAnaH +api
   vyāvartate/	vyAvartate/
   5.1.14/.tathā^buddhiś ca^abhiyujyamāno +api na siddhyati/	5.1.14/.taTA^budDiH ca^aBiyujyamAnaH +api na sidDi-ati/
   5.1.15/.niṣkāraṇam abhiyuṅkte/ abhiyujyāpi punar na^abhiyuṅkte/ siddhāyāṃ	5.1.15/.-nizkAraNam aBiyuFkte/ aBiyujya-api punar na^aBiyuFkte/ sidDAyAm
   ca mādhyasthyaṃ gacchati/	ca mADyasTyam gacCati/
   5.1.16/.sulabhām avamanyate/ durlabhām ākāṅkṣata iti prāyo^vādaḥ//(p.257)	5.1.16/.-sulaBAm avamanyate/ durlaBAm AkAFkzate iti prAyas-^vAdaH//(p.257)
   5.1.17/.tatra vyāvartana^kāraṇāni ---	5.1.17/.tatra vyAvartana^kAraNAni ---
   5.1.18/.patyāvanurāgaḥ/	5.1.18/.patyO=-anurAgaH/
   5.1.19/.apatya^apekṣā/	5.1.19/.apatya^apekzA/
   5.1.20/.atikrānta^vayastvam/	5.1.20/.atikrAnta^vayaH-tvam/
   5.1.21/.duḥkha^abhibhavaḥ/	5.1.21/.duH-Ka^aBiBavaH/
   5.1.22/.virahan upalambhaḥ/	5.1.22/.virahan upalamBaH/
   5.1.23/.avajñayā^upamantrayata iti krodhaḥ/	5.1.23/.avajQayA^upamantrayate iti kroDaH/
   5.1.24/.apratarkya iti saṃkalpa^varjanam/	5.1.24/.a-pratarkyaH iti saMkalpa^varjanam/
   5.1.25/.gamiṣyati^ity anāyatir anyatra prasakta^matir iti ca/	5.1.25/.gamizyati^iti anAyatiH anyatra prasakta^matiH iti ca/
   5.1.26/.asaṃvṛta^ākāra ity uddvegaḥ/	5.1.26/.a-saMvRtaH-^AkAraH iti uddvegaH/
   5.1.27/.mitreṣu nisṛṣṭa^bhāva iti teṣv apekṣā/	5.1.27/.mitrezu nisRzwa^BAvaH iti tezu apekzA/
   5.1.28/.śuṣka^abhiyogītya^aśaṅkā/	5.1.28/.Suzka^aBiyogItya^aSaFkA/
   5.1.29/.tejasvī^iti sādhvasam/	5.1.29/.-tejasvI^iti sADu-asam/
   5.1.30/.caṇḍa^vegaḥ samaratho vā^iti bhayaṃ mṛgyāḥ/	5.1.30/.caNxa^vegaH sama-raTaH vA^iti Bayam mRgyAH/
   5.1.31/.nāgarakaḥ kalāsu vicakṣaṇa iti vrīḍā/	5.1.31/.nAgarakaH kalAsu vicakzaNaH iti vrIxA/
   5.1.32/.sakhitvena^upacarita iti ca/	5.1.32/.-saKi-tvena^upacaritaH iti ca/
   5.1.33/.adeśa^kālajña ity asūyā/	5.1.33/.adeSa^kAla-jQaH iti asUyA/
   5.1.34/.paribhava^sthānam ity abahu^mānaḥ/	5.1.34/.pariBava^sTAnam iti abahu^mAnaH/
   5.1.35/.ākārito +api na^avabudhyata ity avajñā/	5.1.35/.a-AkAritaH +api na^avabuDyate iti avajQA/
   5.1.36/.śaśo manda^vega iti ca hastinyāḥ/	5.1.36/.SaSaH manda^vegaH iti ca hastinyAH/
   5.1.37/.matto +asya mā bhūd aniṣṭam ity anukampā/	5.1.37/.mattaH +asya mA BUt anizwam iti anukampA/
   5.1.38/.ātmani doṣa^darśanān nirvedaḥ/	5.1.38/.a-Atmani doza^darSanAt nirvedaH/
   5.1.39/.viditā satī svajana^bahiṣkṛtā bhaviṣyāmi^iti bhayam/	5.1.39/.viditA satI sva-jana^bahizkRtA BavizyAmi^iti Bayam/
   5.1.40/.palita ity anādaraḥ/	5.1.40/.palitaH iti anAdaraH/
   5.1.41/.patyā prayuktaḥ parīkṣata iti vimarśaḥ/	5.1.41/.patyA prayuktaH parIkzate iti vimarSaH/
   5.1.42/.dharma^apekṣā cā^iti//(p.258)	5.1.42/.Darma^apekzA ca-a^iti//(p.258)
   5.1.43/.teṣu yad^ātmani lakṣayet tad^ādita eva paricchindyāt//(p.259)	5.1.43/.tezu yat-^Atmani lakzayet tat-^Aditas eva paricCindya-at//(p.259)
   5.1.44/.āryatva^yuktāni rāga^vardhanāt/	5.1.44/.Aryatva^yuktAni rAga^varDanAt-/
   5.1.45/.aśaktijāny upāya^pradarśanāt/	5.1.45/.a-Sakti-jAni upAya^pradarSanAt-/
   5.1.46/.bahu^māna^kṛtāny atiparicayāt/	5.1.46/.bahu^mAna^kRtAni ati-paricayAt-/
   5.1.47/.paribhava^kṛtāny atiśauṇḍīryād vaicakṣaṇyāc ca/	5.1.47/.-pariBava^kRtAni ati-SONxIryAt vEcakzaNyAt ca/
   5.1.48/.tat^paribhavajāni praṇatyā/	5.1.48/.tat-^pariBava-jAni praNatyA/
   5.1.49/.bhaya^yuktāny āśvāsanād iti//(p.260)	5.1.49/.Baya^yuktAni ASvAsanAt iti//(p.260)
   5.1.50/.puruṣa^astv amī prāyeṇa siddhāḥ --- kāmasūtrajñaḥ/	5.1.50/.puruza^astu amI prAyeNa sidDAH -- kAmasUtra-jQaH/
   kathā^ākhyāna^kuśalo bālyāt prabhṛti saṃsṛṣṭaḥ pravṛddha^yauvanaḥ	kaTA^AKyAna^kuSalaH bAlyAt praBRti saMsRzwaH pravRdDa^yOvanaH
   krīḍana^karma^ādinā^āgata^viśvāsaḥ preṣaṇasya kartā^ucita^saṃbhāṣaṇaḥ	krIxana^karma^AdinA^Agata^viSvAsaH prezaNasya kartA^ucita^saMBAzaNaH
   priyasya kartā^anyasya bhūta^pūrvo dūto marmajña uttamayā prārthitaḥ	priyasya kartA^anyasya BUta^pUrvaH dUtaH marma-jQaH uttamayA prArTitaH
   sakhyā pracchannaṃ saṃsṛṣṭaḥ subhaga^abhikhyātaḥ saha saṃvṛddhaḥ	saKyA pracCannam saMsRzwaH suBaga^aBiKyAtaH saha saMvRdDaH
   prātiveśyaḥ kāma^śīlas tathā^bhūtaś	prAtiveSyaH kAma^SIlaH taTA^BUtaS
   ca paricāriko dhātreyikā^parigraho (p.260) nava^varakaḥ	ca paricArikaH DAtreyikA^parigrahaH (p.260) nava^varakaH
   prekṣa^udyāna^tyāga^śīlo vṛṣa iti siddha^pratāpaḥ sāhasikaḥ śūro	prekza^udyAna^tyAga^SIlaH vRzaH iti sidDa^pratApaH sAhasikaH SUraH-
   vidyā^rūpa^guṇa^upabhogaiḥ patyur atiśayitā mahārha^veṣa^upacāraś	vidyA^rUpa^guNaH-^upaBogEH patyuH atiSayitA mahArha^veza^upacAraH-
   ca^iti//(p.261)	ca^iti//(p.261)
   5.1.51/.yathā^ātmanaḥ siddhatāṃ paśyed evaṃ yoṣito +api//(p.262)	5.1.51/.yaTAH-^AtmanaH sidDa-tAm paSyet evam yozitaH +api//(p.262)
   5.1.52/.ayatna^sādhyā yoṣitas tv imāḥ --- abhiyoga^mātra^sādhyāḥ/	5.1.52/.ayatna^sADyAH yozitaH tu imAH -- aBiyoga^mAtra^sADyAH/
   dvāra^deśa^avasthāyinī/ prāsādād rājamārga^avalokinī/	dvAra^deSaH-^avasTAyinI/ prAsAdAt rAjamArga^avalokinI/
   taruṇa^prātiveśya^gṛhe goṣṭhī^yojinī/ satata^prekṣiṇī/ prekṣitā	taruNa^prAtiveSya^gRhe gozWI^yojinI/ satata^prekziNI/ prekzitA
   pārśva^vilokinī/ niṣkāraṇaṃ sapatnyādhivinnā/ bhartṛ^dveṣiṇī vidviṣṭā ca/	pArSva^vilokinI/ nizkAraNam sapatnyA-aDivinnA/ BartR^dveziNI vidvizwA ca/
   parihāra^hīnā/ nirapatyā/	parihAra^hInA/ nirapatyA/
   5.1.53/.jñāti^kula^nityā/ vipanna^apatyā/ goṣṭhī^yojinī/ prīti^yojinī/	5.1.53/.jQAti^kula^nityA/ vipanna^apatyA/ gozWI^yojinI/ prIti^yojinI/
   kuśīlava^bhāryā/ mṛta^patikā bālā/ daridrā bahu^upabhogā/ jyeṣṭha^bhāryā	kuSIlava^BAryA/ mRta^patikA bAlA/ daridrA bahu^upaBogA/ jyezWa^BAryA
   bahu^devarakā/ bahu^māninī nyūna^bhartṛkā/ kauśala^abhimāninī bhartur	bahu^devarakA/ bahu^mAninI nyUna^BartRkA/ kOSala^aBimAninI BartuH-
   maurkhyeṇa^udvignā/ aviśeṣatayā lobhena/	mOrKyeNa^udvignA/ aviSeza-tayA loBena/
   5.1.54/.kanyā^kāle yatnena varitā kathaṃ cid alabdha^abhiyuktā ca sā	5.1.54/.kanyA^kAle yatnena varitA kaTam cit alabDa^aBiyuktA ca sA
   tadānīṃ samāna^buddhi^śīla^medhā^pratipatti^sātmyā/ prakṛtyā pakṣa^pātinī/	tadAnIm samAna^budDi^SIla^meDA^pratipatti^sAtmyA/ prakRtyA pakza^pAtinI/
   anaparādhe vimānitā/ tulya^rūpābhiś ca^adhaḥ kṛtā/ proṣita^patikā^iti/	anaparADe vimAnitA/ tulya^rUpABiH ca^aDas kRtA/ prozita^patikA^iti/
   īrṣyālu^pūti^cokṣa^klība^dīrghasūtra^kāpuruṣa^kubja^vāmana^virūpa^maṇikār	IrzyAlu^pUti^cokza^klIba^dIrGasUtra^kApuruza^kubja^vAmana^virUpa^maNikAr
   a^grāmya^durgandhi^rogi^vṛddha^bhāryāś ca^iti//(p.262) ślokāv atra	a^grAmya^durganDi^rogi^vRdDa^BAryAH ca^iti//(p.262) SlokO atra
   bhavataḥ --- (p.264)	BavataH -- (p.264)
   5.1.55ab/.icchā svabhāvato jātā kriyayā paribṛṃhitā/ (p.264)	5.1.55ab/.icCA svaBAvataH jAtA kriyayA paribRMhitA/ (p.264)
   5.1.55cd/.buddhyā saṃśodhitā^udvegā sthirā syād anapāyinī//(p.264)	5.1.55cd/.-budDyA saMSoDitA^udvegA sTirA syAt anapAyinI//(p.264)
   5.1.56ab/.siddhatām ātmano jñātvā liṅgāny unnīya yoṣitām/(p.264)	5.1.56ab/.sidDa-tAm AtmanaH jQAtvA liFgAni unnIya yozitAm-/(p.264)
   5.1.56cd/.vyāvṛtti^kāraṇa^ucchedī naro yoṣitsu sidhyati//(p.264)	5.1.56cd/.-vyAvRtti^kAraNaH-^ucCedI naraH yozitsu siDyati//(p.264)
   5.2. paricayakāraṇāny abhiyogā checked	5.2. paricaya-kAraNAni aBiyogA Cecket-
   5.2.1/.yathā^kanyā svayam abhiyoga^sādhyā na tathā dūtyā/ para^striyas tu	5.2.1/.yaTA^kanyA svayam aBiyoga^sADyAH na taTA dUtyA/ para^striyaH tu
   sūkṣma^bhāvā dūtī^sādhyā na tathā^ātmanā^ity ācāryāḥ//(p.265)	sUkzma^BAvAH dUtI^sADyAH na taTA^AtmanA^iti AcAryAH//(p.265)
   5.2.2/.sarvatra śakti^viṣaye svayaṃ sādhanam upapannatarakaṃ	5.2.2/.sarvatra Sakti^vizaye svayam sADanam upapannatarakam
   durupapādatvāt tasya dūtī^prayoga iti vātsyāyanaḥ//(p.265)	durupapAda-tvAt tasya dUtI^prayogaH iti vAtsyAyanaH//(p.265)
   5.2.3/.prathama^sāhasā aniyantraṇa^saṃbhāṣāś ca svayaṃ pratāryāḥ/	5.2.3/.praTama^sAhasAH aniyantraNa^saMBAzAH ca svayam pratAryAH/
   tad^viparītāś ca dūtyā^iti prāyo^vādaḥ//(p.265)	tat-^viparItAH ca dUtyA^iti prAyas-^vAdaH//(p.265)
   5.2.4/.svayam abhiyokṣyamāṇas tv ādāv eva paricayaṃ kuryāt//(p.265)	5.2.4/.svayam aBiyokzyamANaH tu AdO eva paricayam kuryAt-//(p.265)
   5.2.5/.tasyāḥ svābhāvikaṃ darśanaṃ prāyatnikaṃ ca/	5.2.5/.tasyAH svABAvikam darSanam prAyatnikam ca/
   5.2.6/.svābhāvikam ātmano bhavana^saṃnikarṣe prāyatnikaṃ	5.2.6/.svABAvikam AtmanaH Bavana^saMnikarze prAyatnikam
