   Buddhacarita	BudDa-carita
   akārayaṃstatra parasparaṃ vyathāḥ karāgravakṣāṃsyabalā dayālasāḥ //	akArayan=-tatra parasparam vyaTAH kara-agra-vakzAMsi-abalAH dayA-alasAH //
   Bc_8.30 //	Bc_8.30 //
   tatastu roṣapraviraktalocanā viṣādasaṃbandhikaṣāyagadgadam /	tatas-tu roza-pravirakta-locanA vizAda-saMbanDi-kazAya-gadgadam /
   uvāca niśvāsacalatpayodharā vigāḍhaśokāśrudharā yaśodharā // Bc_8.31 //	uvAca niSvAsa-calat-payoDarAH vigAXa-Soka-aSru-DarAH yaSoDarA // Bc_8.31 //
   niśi prasuptāmavaśāṃ vihāya māṃ gataḥ kva sa chandaka manmanorathaḥ /	niSi prasuptAm-avaSAm vihAya mAm gataH kva sa Candaka mad-manoraTaH /
   upāgate ca tvayi kanthake ca me samaṃ gateṣu triṣu kampate manaḥ //	upAgate ca tvayi kanTake ca me samam gatezu trizu kampate manaH //
   Bc_8.32 //	Bc_8.32 //
   anāryamasnigdhamamitrakarma me nṛśaṃsa kṛtvā kimihādya rodiṣi /	anAryam-asnigDam-amitra-karma me nRSaMsa kRtvA kim-iha-adya rodizi /
   niyaccha bāṣpaṃ bhava tuṣṭamānaso na saṃvadatyaśru ca tacca karma te //	niyacCa bAzpam Bava tuzwa-mAnasaH na saMvadati-aSru ca tat-ca karma te //
   Bc_8.33 //	Bc_8.33 //
   priyeṇa vaśyena hitena sādhunā tvayā sahāyena yathārthakāriṇā /	priyeNa vaSyena hitena sADunA tvayA sahAyena yaTArTa-kAriNA /
   gato 'ryaputro hyapunarnivṛttaye ramasva diṣṭyā saphalaḥ śramastava //	gataH arya-putraH hi-apunar-nivRttaye ramasva dizwyA saPalaH SramaH-tava //
   Bc_8.34 //	Bc_8.34 //
   varaṃ manuṣyasya vicakṣaṇo ripurna mitramaprājñamayogapeśalam /	varam manuzyasya vicakzaNaH ripuH-na mitram-aprAjQam-ayoga-peSalam /
   suhṛdbruveṇa hyavipaścitā tvayā kṛtaḥ kulasyāsya mahānupaplavaḥ // Bc_8.35	suhRd-bruveNa hi-avipaScitA tvayA kRtaH kulasya-asya mahAn-upaplavaH // Bc_8.35
   imā hi śocyā vyavamuktabhūṣaṇāḥ prasaktabāṣpāvilaraktalocanāḥ /	imAH hi SocyAH vyavamukta-BUzaNAH prasakta-bAzpa-Avila-rakta-locanAH /
   sthite 'pi patyau himavanmahīsame pranaṣṭaśobhā vidhavā iva striyaḥ //	sTite api patyO himavat-mahI-same pranazwa-SoBAH viDavAH iva striyaH //
   Bc_8.36 //	Bc_8.36 //
   imāśca vikṣiptaviṭaṅkabāhavaḥ prasaktapārāvatadīrghanisvanāḥ /	imAH-ca vikzipta-viwaFka-bAhavaH prasakta-pArAvata-dIrGa-nisvanAH /
   vinākṛtāstena sahāvarodhanairbhṛśaṃ rudantīva vimānapaṅktayaḥ // Bc_8.37	vinAkRtAH-tena saha-avaroDanEH-BRSam rudanti-iva vimAna-paFktayaH // Bc_8.37
   anarthakāmo 'sya janasya sarvathā turaṅgamo 'pi dhruvameṣa kanthakaḥ /	anarTa-kAmaH asya janasya sarvaTA turaFgamaH api Druvam-eza kanTakaH /
   jahāra sarvasvamitastathā hi me jane prasupte niśi ratnacauravat //	jahAra sarva-svam-itas-taTA hi me jane prasupte niSi ratna-cOra-vat //
   Bc_8.38 //	Bc_8.38 //
   yadā samarthaḥ khalu soḍhumāgatāniṣuprahārānapi kiṃ punaḥ kaśāḥ /	yadA samarTaH Kalu soXum-AgatAn-izu-prahArAn-api kim punar kaSAH /
   gataḥ kaśāpātabhayātkathaṃ nvayaṃ śriyaṃ gṛhītvā hṛdayaṃ ca me samam //	gataH kaSA-pAta-BayAt-kaTam nu-ayam Sriyam gRhItvA hRdayam ca me samam //
   Bc_8.39 //	Bc_8.39 //
   anāryakarmā bhṛśamadya heṣate narendradhiṣṇyaṃ pratipūrayanniva /	anArya-karmA BRSam-adya hezate narendra-DizNyam pratipUrayan=-iva /
   yadā tu nirvāhayati sma me priyaṃ tadā hi mūkasturagādhamo 'bhavat //	yadA tu nirvAhayati sma me priyam tadA hi mUkaH-turaga-aDamaH aBavat //
   Bc_8.40 //	Bc_8.40 //
   yadi hyaheṣiṣyata bodhayan janaṃ khuraiḥ kṣitau vāpyakariṣyata dhvanim /	yadi hi-ahezizyata boDayan janam KurEH kzitO vA-api-akarizyata Dvanim /
   hanusvanaṃ vājanayiṣyaduttamaṃ na cābhaviṣyanmama duḥkhamīdṛśam // Bc_8.41	hanu-svanam vA-ajanayizyat-uttamam na ca-aBavizyan-mama duHKam-IdRSam // Bc_8.41
   itīha devyāḥ paridevitāśrayaṃ niśamya bāṣpagrathitākṣaraṃ vacaḥ /	iti-iha devyAH paridevita-ASrayam niSamya bAzpa-graTita-akzaram vacaH /
   adhomukhaḥ sāśrukalaḥ kṛtāñjaliḥ śanairidaṃ chandaka uttaraṃ jagau //	aDomuKaH sa-aSru-kalaH kRtAQjaliH SanEs-idam CandakaH uttaram jagO //
   Bc_8.42 //	Bc_8.42 //
   vigarhituṃ nārhasi devi kanthakaṃ na cāpi roṣaṃ mayi kartumarhasi /	vigarhitum na-arhasi devi kanTakam na ca-api rozam mayi kartum-arhasi /
   anāgasau svaḥ samavehi sarvaśo gato nṛdevaḥ sa hi devi devavat // Bc_8.43	anAgasO svaH samavehi sarvaSas gataH nRdevaH sa hi devi deva-vat // Bc_8.43
   ahaṃ hi jānannapi rājaśāsanaṃ balātkṛtaḥ kairapi daivatairiva /	aham hi jAnan=-api rAja-SAsanam balAtkRtaH kEH-api dEvatEH-iva /
   upānayaṃ tūrṇamimaṃ turaṅgamaṃ tathānvagacchaṃ vigataśramo 'dhvani //	upAnayam tUrNam-imam turaFgamam taTA-anvagacCam vigata-SramaH aDvani //
   Bc_8.44 //	Bc_8.44 //
   vrajannayaṃ vajivaro 'pi nāspṛśanmahī khurāgrairvidhṛtairivāntarā /	vrajan=-ayam vajivaraH api na-aspRSat-mahI Kura-agrEH-viDRtEH-iva-antarA /
   tathaiva daivādiva saṃyatānano hanusvanaṃ nākṛta nāpyaheṣata // Bc_8.45 //	taTA-eva dEvAt-iva saMyata-AnanaH hanu-svanam na-akRta na-api-ahezate // Bc_8.45 //
   yato bahirgacchati pārthivātmaje tadābhavaddvāramapāvṛtaṃ svayam /	yatas bahis-gacCati pArTiva-Atmaje tadA-Bavat-dvAram-apAvRtam svayam /
   tamaśca naiśaṃ raviṇeva pāṭitaṃ tapo 'pi daivo vidhireṣa gṛhyatām //	tamaH-ca nESam raviNA-iva pAwitam tapaH api dEvaH viDiH-eza gRhyatAm //
   Bc_8.46 //	Bc_8.46 //
   yadapramatto 'pi narendraśāsanād gṛhe pure civa sahasraśo janaḥ /	yat-apramattaH api narendra-SAsanAt gRhe pure civa sahasraSas janaH /
   tadā sa nābudhyata nidrayā hṛtastato 'pi daivo vidhireṣa gṛhyatām //	tadA sa na-abuDyata nidrayA hRtaH-tatas api dEvaH viDiH-eza gRhyatAm //
   Bc_8.47 //	Bc_8.47 //
   yataśca vāso vanavāsasaṃmataṃ nisṛṣṭamasmai samaye divaukasā /	yatas-ca vAsaH vana-vAsa-saMmatam nisRzwam-asmE samaye divOkasA /
   divi praviddhaṃ mukuṭaṃ ca taddhṛtaṃ tato 'pi daivo vidhireṣa gṛhyatām //	divi pravidDam mukuwam ca tat-hRtam tatas api dEvaH viDiH-eza gRhyatAm //
   Bc_8.48 //	Bc_8.48 //
   tadevamāvāṃ naradevi doṣato na tatprayātaṃ prati gantumarhasi /	tat-evam-AvAm naradevi dozataH na tat-prayAtam prati gantum-arhasi /
   na kāmakāro mama nāsya vājinaḥ kṛtānuyātraḥ sa hi daivatairgataḥ //	na kAmakAraH mama na-asya vAjinaH kRta-anuyAtraH sa hi dEvatEH-gataH //
   Bc_8.49 //	Bc_8.49 //
   iti prayāṇaṃ bahudevamadbhūtaṃ niśamya tāstasya mahātmanaḥ striyaḥ /	iti prayANam bahu-devam-adBUtam niSamya tAH-tasya mahAtmanaH striyaH /
   pranaṣṭaśokā iva vismayaṃ yayurmanojvaraṃ pravrajanāttu lebhire // Bc_8.50	pranazwa-SokAH iva vismayam yayuH-manaH-jvaram pravrajanAt-tu leBire // Bc_8.50
   viṣādapāriplavalocanā tataḥ pranaṣṭapotā kurarīva duḥkhitā /	vizAda-pAriplava-locanA tatas pranazwa-potA kurarI-iva duHKitA /
   vihāya dhairya virurāva gautamī tatāma caivāśrumukhī jagāda ca // Bc_8.51	vihAya DErya virurAva gOtamI tatAma ca-eva-aSru-muKI jagAda ca // Bc_8.51
   mahormimanto mṛdavo 'sitāḥ śubhāḥ pṛthakpṛthaṅmūlaruhāḥ samudgatāḥ /	mahA-UrmimantaH mRdavaH asitAH SuBAH pRTak-pRTak-mUla-ruhAH samudgatAH /
   praveritāste bhuvi tasya murdhajā narendramaulīpariveṣṭanakṣamāḥ //	praveritAH-te Buvi tasya murDajAH narendra-mOlI-parivezwana-kzamAH //
   Bc_8.52 //	Bc_8.52 //
   pralambabāhurmṛgarājavikramo maharṣabhākṣaḥ kanakojjvaladyutiḥ /	pralamba-bAhuH-mRgarAja-vikramaH mahA-RzaBa-akzaH kanaka-ujjvala-dyutiH /
   viśālavakṣā ghanadundubhisvanastathāvidho 'pyāśramavāsamarhati // Bc_8.53	viSAla-vakzAH Gana-dunduBi-svanaH-taTAviDaH api-ASrama-vAsam-arhati // Bc_8.53
   abhāginī nūnamiyaṃ vasuṃdharā tamāryakarmāṇamanuttamaṃ patim /	aBAginI nUnam-iyam vasuMDarA tam-Arya-karmANam-anuttamam patim /
   gatastato 'sau guṇavān hi tādṛśo nṛpaḥ prajābhāgyaguṇaiḥ prasūyate //	gataH-tatas asO guNavAn hi tAdRSaH nRpaH prajA-BAgya-guNEH prasUyate //
   Bc_8.54 //	Bc_8.54 //
   sujātajālāvatatāṅgulī mṛdū nigūḍhagulphau bisapuṣpakomalau /	sujAta-jAla-avatata-aFgulI mRdU nigUXa-gulPO bisa-puzpa-komalO /
   vanāntabhūmiṃ kaṭhināṃ kathaṃ nu tau sacakramadhyau caraṇau gamiṣyataḥ //	vanAnta-BUmim kaWinAm kaTam nu tO sa-cakra-maDyO caraNO gamizyataH //
   Bc_8.55 //	Bc_8.55 //
   vimānapṛṣṭhe śayanāsanocitaṃ mahārhavastrāgurucandanārcitam /	vimAna-pRzWe Sayana-Asana-ucitam mahArha-vastra-aguru-candana-arcitam /
   kathaṃ nu śītoṣṇajalāgameṣu taccharīramojasvi vane bhaviṣyati // Bc_8.56	kaTam nu SIta-uzNa-jala-Agamezu tad-SarIram-ojasvi vane Bavizyati // Bc_8.56
   kulena sattvena balena varcasā śrutena lakṣmyā vayasā ca garvitaḥ /	kulena sattvena balena varcasA Srutena lakzmyA vayasA ca garvitaH /
   pradātumevābhyucito na yācituṃ kathaṃ sa bhikṣāṃ parataścariṣyati //	pradAtum-eva-aByucitaH na yAcitum kaTam sa BikzAm paratas-carizyati //
   Bc_8.57 //	Bc_8.57 //
   śucau śayitvā śayane hiraṇmaye prabodhyamāno niśi tūryanisvanaiḥ /	SucO SayitvA Sayane hiraNmaye praboDyamAnaH niSi tUrya-nisvanEH /
   kathaṃ bata svapsyati so 'dya me vratī paṭaikadeśāntarite mahītale //	kaTam bata svapsyati saH adya me vratI pawa-eka-deSa-antarite mahI-tale //
   Bc_8.58 //	Bc_8.58 //
   imaṃ pralāpaṃ karuṇaṃ niśamya tā bhujaiḥ pariṣvajya parasparaṃ striyaḥ /	imam pralApam karuNam niSamya tAH BujEH parizvajya parasparam striyaH /
   vilocanebhyaḥ salilāni tatyajurmadhūni puṣpebhya iveritā latāḥ // Bc_8.59	vilocaneByaH salilAni tatyajuH-maDUni puzpeByaH iva-IritAH latAH // Bc_8.59
   tato dharāyāmapatadyaśodharā vicakravākeva rathāṅgasāvhayā /	tatas DarAyAm-apatat-yaSoDarA vicakravAkA-iva raTAFga-sAvhayAH /
   śanaiśca tattadvilalāpa viklavā muhurmuhurgadgadaruddhayā girā // Bc_8.60	SanEs-ca tad-tad-vilalApa viklavAH muhur-muhur-gadgada-rudDayA girA // Bc_8.60
   sa māmanāthāṃ sahadharmacāriṇīmapāsya dharma yadi kartumicchati /	sa mAm-anATAm saha-Darma-cAriNIm-apAsya Darma yadi kartum-icCati /
   kuto 'sya dharmaḥ sahadharmacāriṇī vinā tapo yaḥ paribhoktumicchati //	kutas asya DarmaH sahaDarma-cAriNI vinA tapaH yaH pariBoktum-icCati //
   Bc_8.61 //	Bc_8.61 //
   śṛṇoti nūnaṃ sa na pūrvapārthivānmahāsudarśaprabhṛtīn pitāmahān /	SRNoti nUnam sa na pUrva-pArTivAn-mahA-sudarSa-praBRtIn pitAmahAn /
   vanāni patnīsahitānupeyuṣastathā hi dharma madṛte cikīrṣīte // Bc_8.62 //	vanAni patnI-sahitAn-upeyuzaH-taTA hi Darma mad-Rte cikIrzIte // Bc_8.62 //
   makheṣu vā vedavidhānasaṃskṛtau na daṃpatī paśyati dīkṣitābubhau /	maKezu vA veda-viDAna-saMskRtO na daMpatI paSyati dIkzita-abuBO /
   samaṃ bubhukṣū parato 'pi tatphalaṃ tato 'sya jāto mayi dharmamatsaraḥ //	samam buBukzU paratas api tad-Palam tatas asya jAtaH mayi Darma-matsaraH //
   Bc_8.63 //	Bc_8.63 //
   dhruvaṃ sa jānanmama dharmavallabho manaḥ priyerṣyākalahaṃ muhurmithaḥ /	Druvam sa jAnan-mama Darma-vallaBaH manaH priya-IrzyA-kalaham muhur-miTas /
   sukhaṃ vibhīrmāmapahāya roṣaṇāṃ mahendraloke 'psaraso jighṛkṣati //	suKam viBIH-mAm-apahAya rozaNAm mahA-indra-loke apsarasaH jiGRkzati //
   Bc_8.64 //	Bc_8.64 //
   iyaṃ tu cintā mama kīdṛśaṃ nu tā vapurguṇaṃ bibhrati tatra yoṣitaḥ /	iyam tu cintA mama kIdRSam nu tAH vapuH-guNam biBrati tatra yozitaH /
   vane yadartha sa tapāṃsi tapyate śriyaṃ ca hitvā mama bhaktimeva ca //	vane yat-arTa sa tapAMsi tapyate Sriyam ca hitvA mama Baktim-eva ca //
   Bc_8.65 //	Bc_8.65 //
   na khalviyaṃ svargasukhāya me spṛhā na tajjanasyātmavato 'pi durlabham /	na Kalu-iyam svarga-suKAya me spRhA na tad-janasya-AtmavataH api durlaBam /
   sa tu priyo māmiha vā paratra vā kathaṃ na jahyāditi me manorathaḥ //	sa tu priyaH mAm-iha vA paratra vA kaTam na jahyAt-iti me manoraTaH //
   Bc_8.66 //	Bc_8.66 //
   abhāginī yadyahamāyatekṣaṇaṃ śucismitaṃ bharturudīkṣituṃ mukham /	aBAginI yadi-aham-Ayata-IkzaNam Suci-smitam BartuH-udIkzitum muKam /
   na mandabhāgyo 'rhati rāhulo 'pyayaṃ kadācidaṅke parivartituṃ pituḥ //	na mandaBAgyaH arhati rAhulaH api-ayam kadAcid-aFke parivartitum pituH //
   Bc_8.67 //	Bc_8.67 //
   aho nṛśaṃsaṃ sukumāravarcasaḥ sudāruṇaṃ tasya manasvino manaḥ /	aho nRSaMsam sukumAra-varcasaH su-dAruNam tasya manasvinaH manaH /
   kalapralāpaṃ dviṣato 'pi harṣaṇaṃ śiśuṃ sutaṃ yastyajatīdṛśaṃ bata //	kala-pralApam dvizataH api harzaNam SiSum sutam yaH-tyajati-IdRSam bata //
   Bc_8.68 //	Bc_8.68 //
   mamāpi kāmaṃ hṛdayaṃ sudāruṇaṃ śilāmayaṃ vāpyayaso 'pi vā kṛtam /	mama-api kAmam hRdayam su-dAruNam SilA-mayam vA-api-ayasaH api vA kRtam /
   anāthavacchrīrahite sukhocite vanaṃ gate bhartari yanna dīryate // Bc_8.69	anATa-vat-SrI-H-ahite suKa-ucite vanam gate Bartari yat-na dIryate // Bc_8.69
   itīha devī patiśokamūrchitā ruroda dadhyau vilalāpa cāsakṛt /	iti-iha devI pati-Soka-mUrCitA ruroda daDyO vilalApa ca-asakRt /
   svabhāvadhīrāpi hi sā satī śucā dhṛtiṃ na sasmāra cakāra no hriyam //	svaBAva-DIrA-api hi sA satI SucA DRtim na sasmAra cakAra naH hriyam //
   Bc_8.70 //	Bc_8.70 //
   tatastathā śokavilāpaviklavāṃ yaśodharāṃ prekṣya vasuṃdharāgatām /	tatas-taTA Soka-vilApa-viklavAm yaSoDarAm prekzya vasuMDarA-AgatAm /
   mahāravindairiva vṛṣṭitāḍitairmukhaiḥ sabāṣpairvanitā vicukruśuḥ //	mahA-aravindEH-iva vRzwi-tAxitEH-muKEH sa-bAzpEH-vanitAH vicukruSuH //
   Bc_8.71 //	Bc_8.71 //
   samāptajāpyaḥ kṛtahomamaṅgalo nṛpastu devāyatanādviniryayau /	samApta-jApyaH kRta-homa-maFgalaH nRpaH-tu devAyatanAt-viniryayO /
   janasya tejārtaraveṇa cāhataścacāla vajradhvanineva vāraṇaḥ // Bc_8.72 //	janasya teja-Arta-raveNa ca-AhataH-cacAla vajra-DvaninA-iva vAraNaH // Bc_8.72 //
   niśāmya ca cchandakakanthakāvubhau sutasya saṃśrutya ca niścayaṃ sthiram /	niSAmya ca cCandaka-kanTakO=-uBO sutasya saMSrutya ca niScayam sTiram /
   papāta śokābhihato mahīpatiḥ śacīpatervṛtta ivotsave dhvajaḥ // Bc_8.73 //	papAta Soka-aBihataH mahIpatiH SacIpateH-vRttaH iva-utsave DvajaH // Bc_8.73 //
   tato muhūrta sutaśokamohito janena tulyābhijanena dhāritaḥ /	tatas muhUrta suta-Soka-mohitaH janena tulya-aBijanena DAritaH /
   nirīkṣya dṛṣṭyā jalapūrṇayā hayaṃ mahītalastho vilalāpa pārthivaḥ //	nirIkzya dRzwyA jala-pUrNayA hayam mahI-tala-sTaH vilalApa pArTivaH //
   Bc_8.74 //	Bc_8.74 //
   bahūni kṛtvā samare priyāṇi me mahattvayā kanthaka vipriyaṃ kṛtam /	bahUni kRtvA samare priyANi me mahat-tvayA kanTaka vipriyam kRtam /
   guṇapriyo yena vane sa me priyaḥ priyo 'pi sannapriyavatpraveritaḥ //	guNa-priyaH yena vane sa me priyaH priyaH api sanna-priya-vat-praveritaH //
   Bc_8.75 //	Bc_8.75 //
   tadadya māṃ vā naya tatra yatra sa vraja drutaṃ vā punarenamānaya /	tat-adya mAm vA naya tatra yatra sa vraja drutam vA punar-enam-Anaya /
   ṛte hi tasmānmama nāsti jīvitaṃ vigāḍharogasya sadauṣadhādiva // Bc_8.76	Rte hi tasmAt-mama na-asti jIvitam vigAXa-rogasya sat-OzaDAt-iva // Bc_8.76
   suvarṇaniṣṭhīvini mṛtyunā hṛte suduṣkaraṃ yanna mamāra saṃjayaḥ /	suvarNa-nizWIvini mRtyunA hRte su-duzkaram yat-na mamAra saMjayaH /
   ahaṃ punardharmaratau sute gate mumukṣurātmānamanātmavāniva // Bc_8.77 //	aham punar-Darma-ratO sute gate mumukzuH-AtmAnam-anAtmavAn-iva // Bc_8.77 //
   vibhordaśakṣatrakṛtaḥ prajāpateḥ parāparajñasya vivasvadātmanaḥ /	viBoH-daSa-kzatra-kRtaH prajApateH para-apara-jQasya vivasvat-AtmanaH /
   priyeṇa putreṇa satā vinākṛtaṃ kathaṃ na muhyeddhi mano manorapi //	priyeNa putreNa satA vinAkRtam kaTam na muhyet-hi manaH manoH-api //
   Bc_8.78 //	Bc_8.78 //
   ajasya rājñastanayāya dhīmate narādhipāyendrasakhāya me spṛhā /	ajasya rAjQaH-tanayAya DImate narADipAya-indra-saKAya me spRhA /
   gate vanaṃ yastanaye divaṃ gato na moghabāṣpaḥ kṛpaṇaṃ jijīva ha //	gate vanam yaH-tanaye divam gataH na moGa-bAzpaH kRpaNam jijIva ha //
   Bc_8.79 //	Bc_8.79 //
   pracakṣva me bhadra tadāśramājiraṃ hṛtastvayā yatra sa me jalāñjaliḥ /	pracakzva me Badra tad-ASrama-ajiram hRtaH-tvayA yatra sa me jala-aQjaliH /
   ime parīpsanti hi taṃ pipāsavo mamāsavaḥ pretagatiṃ yiyāsavaḥ // Bc_8.80	ime parIpsanti hi tam pipAsavaH mama-asavaH preta-gatim yiyAsavaH // Bc_8.80
   iti tanayaviyogajātaduḥkha kṣitisadṛśaṃ sahajaṃ vihāya dhairyam /	iti tanaya-viyoga-jAta-duHKa kziti-sadRSam sahajam vihAya DEryam /
   daśaratha iva rāmaśokavaśyo bahu vilalāpa nṛpo visaṃjñakalpaḥ // Bc_8.81	daSaraTaH iva rAma-Soka-vaSyaH bahu vilalApa nRpaH visaMjQa-kalpaH // Bc_8.81
   śrutavinayaguṇānvitastatastaṃ matisacivaḥ pravayā purohitaśca /	Sruta-vinaya-guNa-anvitaH-tatas-tam mati-sacivaH pravayA purohitaH-ca /
   samadhṛtamidamūcaturyathāvanna ca pariptamukhau na cāpyaśokau // Bc_8.82	sama-DRtam-idam-UcatuH-yaTAvat-na ca paripta-muKO na ca-api-aSokO // Bc_8.82
   tyaja naravara śokamehi dhairya kudhṛtirivārhasi dhīra nāśru moktum /	tyaja nara-vara Sokam-ehi DErya kuDRtiH-iva-arhasi DIra na-aSru moktum /
   srajamiva mṛditāmapāsya lakṣmīṃ bhuvi bahavo hi nṛpā vanānyabhīyuḥ //	srajam-iva mRditAm-apAsya lakzmIm Buvi bahavaH hi nRpAH vanAni-aBIyuH //
   Bc_8.83 //	Bc_8.83 //
   api ca niyata eṣa tasya bhāvaḥ smara vacanaṃ tadṛṣeḥ purāsitasya /	api ca niyataH eza tasya BAvaH smara vacanam tat-RzeH purA-asitasya /
   na hi sa divi na cakravartirājye kṣaṇamapi vāsayituṃ sukhena śakyaḥ //	na hi sa divi na cakravarti-rAjye kzaNam-api vAsayitum suKena SakyaH //
   Bc_8.84 //	Bc_8.84 //
   yadi tu nṛvara kārya eva yatnastvaritamudāhara yāvadatra yāvaḥ /	yadi tu nRvara kAryaH eva yatnaH-tvaritam-udAhara yAvat-atra yAvaH /
   bahuvidhimiha yuddhamastu tāvattava tanayasya vidheśca tasya tasya //	bahuviDim-iha yudDam-astu tAvat-tava tanayasya viDeH-ca tasya tasya //
   Bc_8.85 //	Bc_8.85 //
   narapatiratha tau śaśāsa tasmād drutamita eva yuvāmabhiprayātam /	narapatiH-aTa tO SaSAsa tasmAt druta-m-itas eva yuvAm-aBiprayAtam /
   na hi mama hṛdayaṃ prayāti śāntiṃ vanaśakuneriva putralālasasya // Bc_8.86	na hi mama hRdayam prayAti SAntim vana-SakuneH-iva putra-lAlasasya // Bc_8.86
   paramamiti narendraśāsanāttau yayaturamātyapurohitau vanaṃ tat /	paramam-iti narendra-SAsanAt-tO yayatuH-amAtya-purohitO vanam tat /
   kṛtamiti savadhūjanaḥ sadāro nṛpatirapi pracakāra śeṣakāryam // Bc_8.87 //	kRtam-iti sa-vaDU-janaH sa-dAraH nRpatiH-api pracakAra Seza-kAryam // Bc_8.87 //
   iti buddhacarite mahākāvye 'ntaḥpuravilāpo nāmāṣṭamaḥ sargaḥ // 8 //	iti budDacarite mahAkAvye antaHpuravilApaH nAma-azwamaH sargaH // 8 //
   CANTO IX	CANTO IX
   tatastadā mantripurohitau tau bāṣpapratodābhihatau nṛpeṇa /	tatas-tadA mantri-purohitO tO bAzpa-pratoda-aBihatO nRpeNa /
   viddhau sadaśvāviva sarvayatnātsauhārdaśīghraṃ yayaturvanaṃ tat // Bc_9.1	vidDO sat-aSvO=-iva sarva-yatnAt-sOhArda-SIGram yayatuH-vanam tat // Bc_9.1
   tamāśramaṃ jātapariśramau tāvupetya kāle sadṛśānuyātrau /	tam-ASramam jAta-pariSramO tO=-upetya kAle sadRSa-anuyAtrO /
   rājarddhimutsṛjya vinītaceṣṭāvupeyaturbhārgavadhiṣṇyameva // Bc_9.2 //	rAja-RdDim-utsRjya vinIta-cezwO=-upeya-turBArgava-DizNyam-eva // Bc_9.2 //
   tau nyāyatastaṃ pratipūjya vipraṃ tenārcitau tāvapi cānurūpam /	tO nyAyataH-tam pratipUjya vipram tena-arcitO tO=-api ca-anurUpam /
   kṛtāsanau bhārgavamāsanasthaṃ chittvā kathāmūcaturātmakṛtyam // Bc_9.3 //	kRta-AsanO BArgavam-Asana-sTam CittvA kaTAm-UcatuH-Atma-kRtyam // Bc_9.3 //
   śuddhaujasaḥ śuddhaviśālakīrterikṣvākuvaṃśaprabhavasya rājñaḥ /	SudDa-ojasaH SudDa-viSAla-kIrteH-ikzvAku-vaMSa-praBavasya rAjQaH /
   imaṃ janaṃ vettu bhavānadhītaṃ śrutagrahe mantraparigrahe ca // Bc_9.4 //	imam janam vettu BavAn-aDItam Sruta-grahe mantra-parigrahe ca // Bc_9.4 //
   tasyendrakalpasya jayantakalpaḥ putro jarāmṛtyubhayaṃ titīrṣuḥ /	tasya-indra-kalpasya jayanta-kalpaH putraH jarA-mRtyu-Bayam titIrzuH /
   ihābhyutepaḥ kila tasya hetorāvāmupetau bhagavānavaitu // Bc_9.5 //	iha-aByutepaH kila tasya hetoH-AvAm-upetO BagavAn-avEtu // Bc_9.5 //
   tau so 'bravīdasti sa dīrghabāhuḥ prāptaḥ kumāro na tu nāvabuddhaḥ /	tO saH abravIt-asti sa dIrGa-bAhuH prAptaH kumAraH na tu na-avabudDaH /
   dharmo 'yamāvartaka ityavetya yātastvarāḍābhimukho mumukṣuḥ // Bc_9.6 //	DarmaH ayam-AvartakaH iti-avetya yAtaH-tu-arAxa-aBimuKaH mumukzuH // Bc_9.6 //
   tasmāttatastāvupalabhya tattvaṃ taṃ vipramāmantrya tadaiva sadyaḥ /	tasmAt-tatas-tO=-upalaBya tattvam tam vipram-Amantrya tadA-eva sadyas /
   khinnāvakhinnāviva rājabhaktyā prasasratustena yataḥ sa yātaḥ // Bc_9.7 //	KinnO=-aKinnO=-iva rAja-BaktyA prasasratuH-tena yatas sa yAtaH // Bc_9.7 //
   yāntau tatastau mṛjayā vihīnamapaśyatāṃ taṃ vapuṣojjvalantam /	yAntO tatas-tO mRjayA vihInam-apaSyatAm tam vapuzA-ujjvalantam /
   upopaviṣṭaṃ pathi vṛkṣamūle sūrya ghanābhogamiva praviṣṭam // Bc_9.8 //	upopavizwam paTi vRkza-mUle sUrya Gana-ABogam-iva pravizwam // Bc_9.8 //
   yānaṃ vihāyopayayau tatastaṃ purohito mantradhareṇa sārdham /	yAnam vihAya-upayayO tatas-tam purohitaH mantra-DareNa sArDam /
   yathā vanasthaṃ sahavāmadevo rāmaṃ didṛkṣurmunirāvairvaśeyaḥ // Bc_9.9 //	yaTA vana-sTam saha-vAmadevaH rAmam didRkzuH-muni-rAvEH-vaSeyaH // Bc_9.9 //
   tāvarcayāmāsaturarhatastaṃ divīva śukrāṅgirasau mahendram /	tO=-arcayAmAsatuH-arhataH-tam divi-iva Sukra-aFgirasO mahA-indram /
   pratyarcayāmāsa sa cārhatastau divīva śukrāṅgirasau mahendraḥ // Bc_9.10	pratyarcayAmAsa sa ca-arhataH-tO divi-iva Sukra-AFgirasO mahA-indraH // Bc_9.10
   kṛtābhyanujñāvabhitastatastau niṣedatuḥ śākyakuladhvajasya /	kRta-aByanujQO=-aBitas-tatas-tO nizedatuH SAkya-kula-Dvajasya /
   virejatustasya ca saṃnikarṣe punarvasū yogagatāvivendoḥ // Bc_9.11 //	virejatuH-tasya ca saMnikarze punarvasU yoga-gatO=-iva-indoH // Bc_9.11 //
   taṃ vṛkṣamūlasthamabhijvalantaṃ purohito rājasutaṃ babhāṣe /	tam vRkza-mUla-sTam-aBijvalantam purohitaH rAja-sutam baBAze /
