   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   śrīmān nāgarājā, śrīkaṇṭho nāgarājā, śrīvardhano nāgarājā, śrībhadro	SrImAn nAga-rAjA, SrIkaNWaH nAga-rAjA, SrIvarDanaH nAga-rAjA, SrI-Badro
   nāgarājā, abalo nāgarājā, sabalo nāgarājā, atibalo nāgarājā, śalabho	nAga-rAjA, abalaH nAga-rAjA, sa-balaH nAga-rAjA, atibalaH nAga-rAjA, SalaBaH-
   nāgarājā, abjako nāgarājā, śatabāhur nāgarājā, subāhur nāgarājā, sumerur	nAga-rAjA, abjakaH nAga-rAjA, SatabAhuH nAga-rAjA, subAhuH nAga-rAjA, sumeruH-
   nāgarājā, sūryaprabho nāgarājā, candraprabho nāgarājā, bhadrakānto	nAga-rAjA, sUrya-praBaH nAga-rAjA, candrapraBaH nAga-rAjA, Badra-kAntaH-
   nāgarājā, nandano nāgarājā, nardano nāgarājā, garjano nāgarājā, vidyotano	nAga-rAjA, nandanaH nAga-rAjA, nardanaH nAga-rAjA, garjanaH nAga-rAjA, vidyotanaH-
   nāgarājā, sphoṭano nāgarājā, varṣaṇo nāgarājā, vimalo nāgarājā, alakaśīrṣo	nAga-rAjA, sPowanaH nAga-rAjA, varzaNaH nAga-rAjA, vimalaH nAga-rAjA, alaka-SIrzaH-
   nāgarājā, balakaśīrṣo nāgarājā, aśvaśīrṣo nāgarājā, gavayaśīrṣo nāgarājā,	nAga-rAjA, balakaSIrzaH nAga-rAjA, aSvaSIrzaH nAga-rAjA, gavayaSIrzaH nAga-rAjA,
   gayāśīrṣo nāgarājā, mṛgaśīrṣo nāgarājā, hastiśīrṣo nāgarājā, narasiṃho	gayASIrzaH nAga-rAjA, mRgaSIrzaH nAga-rAjA, hastiSIrzaH nAga-rAjA, narasiMhaH-
   nāgarājā, ārdrabalako nāgarājā, nando nāgarājā, janārdano nāgarājā, citro	nAga-rAjA, Ardra-balakaH nAga-rAjA, nandaH nAga-rAjA, janArdanaH nAga-rAjA, citraH-
   nāgarājā, citrākṣo nāgarājā, citraseno nāgarājā, namucir nāgarājā, (Mmvr	nAga-rAjA, citrAkzaH nAga-rAjA, citrasenaH nAga-rAjA, namuciH nAga-rAjA, (Mmvr
   Taku 40) mucir nāgarājā, mucilindo nāgarājā, rāvaṇo nāgarājā, rāghavo	Taku 40) muciH nAga-rAjA, mucilindaH nAga-rAjA, rAvaNaH nAga-rAjA, rAGavaH-
   nāgarājā, śiri nāgarājā, śiriko nāgarājā, lamburu nāgarājā, ananto	nAga-rAjA, Siri nAga-rAjA, SirikaH nAga-rAjA, lamburu nAga-rAjA, anantaH-
   nāgarājā, kanako nāgarājā, hastikaccho nāgarājā, piṅgalo nāgarājā, pāṇḍaro	nAga-rAjA, kanakaH nAga-rAjA, hastikacCaH nAga-rAjA, piFgalaH nAga-rAjA, pANxaraH-
   nāgarājā, śaṃkho nāgarājā, apalālo nāgarājā, kālako nāgarājā, upakālako	nAga-rAjA, SaMKaH nAga-rAjA, apalAlaH nAga-rAjA, kAlakaH nAga-rAjA, upakAlakaH-
   nāgarājā, baladevo nāgarājā, nārāyaṇo nāgarājā, kaṃbalo nāgarājā, bhīmo	nAga-rAjA, baladevaH nAga-rAjA, nArAyaNaH nAga-rAjA, kaMbalaH nAga-rAjA, BImaH-
   nāgarājā, vibhīṣaṇo nāgarājā, rākṣaso nāgarājā, śailabāhur nāgarājā, gaṅgā	nAga-rAjA, viBIzaNaH nAga-rAjA, rAkzasaH nAga-rAjA, SElabAhuH nAga-rAjA, gaFgA
   nāgarājā, sītā nāgarājā, siṃdhur nāgarājā, vakṣur nāgarājā, maṅgalyo	nAga-rAjA, sItA nAga-rAjA, siMDuH nAga-rAjA, vakzuH nAga-rAjA, maFgalyaH-
   nāgarājā, anavatapto nāgarājā, supratiṣṭhito nāgarājā, airāvaṇo nāgarājā,	nAga-rAjA, anavataptaH nAga-rAjA, su-pratizWitaH nAga-rAjA, ErAvaNaH nAga-rAjA,
   dharaṇidharo nāgarājā, nimiṃdharo nāgarājā, dyutiṃdharo nāgarājā, bhadro	DaraNiDaraH nAga-rAjA, nimiMDaraH nAga-rAjA, dyutiMDaraH nAga-rAjA, Badro
   nāgarājā, subhadro nāgarājā, vasubhadro nāgarājā, balabhadro nāgarājā,	nAga-rAjA, suBadraH nAga-rAjA, vasuBadraH nAga-rAjA, balaBadraH nAga-rAjA,
   maṇir nāgarājā, maṇikaṇṭho nāgarājā, dvau kālakau nāgarājānau, dvau	maNiH nAga-rAjA, maNikaNWaH nAga-rAjA, dvO kAlakO nAga-rAjAnO, dvO
   pītakau nāgarājānau, dvau lohitakau nāgarājānau, dvau śvetakau	pItakO nAga-rAjAnO, dvO lohitakO nAga-rAjAnO, dvO SvetakO
   nāgarājānau, mālir nāgarājā, raktamālir nāgarājā, vatso nāgarājā,	nAga-rAjAnO, mAliH nAga-rAjA, raktamAliH nAga-rAjA, vatsaH nAga-rAjA,
   bhadrapado nāgarājā, dundubhir nāgarājā, upadundubhir nāgarājā,	BadrapadaH nAga-rAjA, dunduBiH nAga-rAjA, upadunduBiH nAga-rAjA,
   āmratīrthako nāgarājā, maṇisuto nāgarājā, dhṛtarāṣṭro nāgarājā, virūḍhako	AmratIrTakaH nAga-rAjA, maNi-sutaH nAga-rAjA, DRtarAzwraH nAga-rAjA, virUXa-kaH-
   nāgarājā, virūpākṣo nāgarājā, vaiśravaṇo nāgarājā, śakaṭamukho nāgarājā,	nAga-rAjA, virUpAkzaH nAga-rAjA, vESravaNaH nAga-rAjA, Sakawa-muKaH nAga-rAjA,
   cāmpayako nāgarājā, gautamo nāgarājā, pāñcālako nāgarājā, pañcacūḍo	cAmpayakaH nAga-rAjA, gOtamaH nAga-rAjA, pAQcAlakaH nAga-rAjA, paQcacUxaH-
   nāgarājā, pradyunmo nāgarājā, vindur nāgarājā, upavindur nāgarājā, aliko	nAga-rAjA, pradyunmaH nAga-rAjA, vinduH nAga-rAjA, upavinduH nAga-rAjA, alikaH-
   nāgarājā, kāliko nāgarājā, kiñcinī nāgarājā, kiñcako nāgarājā, koṇo	nAga-rAjA, kAlikaH nAga-rAjA, kiQcinI nAga-rAjA, kiQcakaH nAga-rAjA, koNo
   nāgarājā, upakoṇo nāgarājā, cicco nāgarājā, kṛṣṇagautamo nāgarājā, mānuṣo	nAga-rAjA, upakoNaH nAga-rAjA, cit-caH nAga-rAjA, kRzNa-gOtamaH nAga-rAjA, mAnuzaH-
   nāgarājā, amānuṣo nāgarājā, mūlamānuṣo nāgarājā, pūrvamānuṣo nāgarājā,	nAga-rAjA, amAnuzaH nAga-rAjA, mUlamAnuzaH nAga-rAjA, pUrva-mAnuzaH nAga-rAjA,
   uttaramānuṣo nāgarājā, mātaṅgo (Mmvr Taku 41) nāgarājā, maṇḍalako	uttara-mAnuzaH nAga-rAjA, mAtaFgaH (MmvH Taku 41) nAga-rAjA, maNxalakaH-
   nāgarājā, dantturo nāgarājā, ulūko nāgarājā, uttaro nāgarājā, luko	nAga-rAjA, dantturaH nAga-rAjA, ulUkaH nAga-rAjA, uttaraH nAga-rAjA, lukaH-
   nāgarājā, uttamo nāgarājā, elo nāgarājā, elavarṇo nāgarājā, alabālo	nAga-rAjA, uttamaH nAga-rAjA, elaH nAga-rAjA, elavarNaH nAga-rAjA, alabAlaH-
   nāgarājā, marabālo nāgarājā, manasvī nāgarājā, karkoṭako nāgarājā, kapilo	nAga-rAjA, marabAlaH nAga-rAjA, manasvI nAga-rAjA, karkowakaH nAga-rAjA, kapilaH-
   nāgarājā, śaibalo nāgarājā, utpalo nāgarājā, nakhako nāgarājā,	nAga-rAjA, SEbalaH nAga-rAjA, utpalaH nAga-rAjA, naKakaH nAga-rAjA,
   vardhamānako nāgarājā, mokṣako nāgarājā, buddhiko nāgarājā, pramokṣo	varDamAnakaH nAga-rAjA, mokzakaH nAga-rAjA, budDikaH nAga-rAjA, pramokzaH-
   nāgarājā, kambalāśvatarau nāgarājānau, elamelau nāgarājānau, nandopanandau	nAga-rAjA, kambala-aSvatarO nAga-rAjAnO, elam-elO nAga-rAjAnO, nanda-upanandO
   nāgarājānau, acchilo nāgarājā, mahāsudarśano nāgarājā, parikālo nāgarājā,	nAga-rAjAnO, acCilaH nAga-rAjA, mahAsudarSanaH nAga-rAjA, parikAlaH nAga-rAjA,
   parikīṭo nāgarājā, sumukho nāgarājā, ādarśamukho nāgarājā, gandhāro	parikIwaH nAga-rAjA, sumuKaH nAga-rAjA, AdarSa-muKaH nAga-rAjA, ganDAraH-
   nāgarājā, siṃhalo nāgarājā, dramiḍo nāgarājā, dvau kṛṣṇakau nāgarājānau,	nAga-rAjA, siMhalaH nAga-rAjA, dramixaH nAga-rAjA, dvO kRzNakO nAga-rAjAnO,
   dvau śvetakau nāgarājānau, dvāv upaśuklakau nāgarājānau.	dvO SvetakO nAga-rAjAnO, dvO upaSuklakO nAga-rAjAnO.
   ity ete cānye cānanda nāgarājāno ye 'smiṃ pṛthivīmaṇḍale kālena kālaṃ	iti ete ca-anye ca-Ananda nAga-rAjAnaH ye asmim pRTivI-maNxale kAlena kAlam
   varṣanti, kālena kālaṃ garjanti, kālena kālaṃ vidyotayanti, kālena kālaṃ	varzanti, kAlena kAlam garjanti, kAlena kAlam vidyotayanti, kAlena kAlam
   sasyaṃ niṣpādayanti. buddhadarśino gṛhītaśikṣāpadās trisaraṇagatāḥ,	sasyam nizpAdayanti. budDa-darSinaH gRhIta-SikzA-padAH tri-saraNa-gatAH,
   dīrghāyuṣaḥ kalpasthāyinaḥ, nirmuktā garuḍabhayāt, agnivālakābhayāt,	dIrGa-AyuzaH kalpa-sTAyinaH, nirmuktAH garuxa-BayAt, agnivAlaka-aBayAt,
   rājakarmabhayāt, dharaṇīkampabhayāt, dharaṇīdharā mahāratnavimānavāsino	rAja-karma-BayAt, DaraNI-kampa-BayAt, DaraNIDarAH mahA-ratna-vimAna-vAsinaH-
   dīrghāyuṣo maheśākhyā maharddhikāḥ, mahānubhāvā mahābhogā mahāparivārā	dIrGa-AyuzaH maheSa-AKyAH mahardDikAH, mahA-anuBAvA mahA-BogA mahA-parivArA
   aribalaprabhañjakā ṛddhimanto dyutimanto varṇavanto yaśasvinaḥ. devāsuram	ari-bala-praBaQjakAH RdDimantaH dyutimantaH varNavantaH yaSasvinaH. devAsuram
   api saṃgrāmam anubhavanti maharddhikāḥ. ity ete nāgarājānaḥ saputrāḥ	api saMgrAmam anuBavanti mahardDikAH. iti ete nAga-rAjAnaH sa-putrAH
   sapautrāḥ sabhrātaraḥ sāmātyāḥ sasenāpatayaḥ sapreṣyāḥ sadūtāḥ sapravarāḥ	sa-pOtrAH sa-BrAtaraH sa-amAtyAH sa-senApatayaH sa-prezyAH sa-dUtAH sa-pravarAH
   sapārṣadāḥ, te 'py anayā mahāmāyūryā vidyārājñyā svāter bhikṣor mama	sa-pArzadAH, te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzoH mama
   sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ	sarva-satvAnAm ca rakzAm kurvantu, guptim paritrANam parigraham paripAlanam
   śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ	SAntim svastyayanam daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam
   sīmābandhaṃ dharaṇībandhaṃ ca kurvantu. jīvatu varṣaśataṃ paśyatu (Mmvr	sImAbanDam DaraNI-banDam ca kurvantu. jIvatu varza-Satam paSyatu (Mmvr
   Taku 42) śaradāśataṃ. svasti mama sarvasatvānāṃ ca svāhā.	Taku 42) SaradA-SataM. svasti mama sarva-satvAnAm ca svAhA.
   ucchiṣṭasyānutsiṣṭasya mattasya pramattasya gacchatas tiṣṭhataḥ,	ucCizwasya-anutsizwasya mattasya pramattasya gacCataH tizWataH,
   niṣaṇṇasya śayanasya jāgrataḥ, āgatasya anāgatasya svasti rājabhayāc	nizaNNasya Sayanasya jAgrataH, Agatasya anAgatasya svasti rAja-BayAt-
   caurabhayād, agnibhayād udakabhayād, bandhakabhayāt, pratyarthikabhayāt,	cOra-BayAd, agni-BayAt udaka-BayAd, banDaka-BayAt, pratyarTika-BayAt,
   pratyamitrabhayād uttrāsabhayād, paracakrabhayād, durbhikṣabhayād,	pratyamitra-BayAt uttrAsa-BayAd, para-cakra-BayAd, durBikza-BayAt-,
   akālamṛtyubhayād, dharaṇīkampabhayāc caṇḍamṛgabhayāt. svasti devabhayād,	akAla-mRtyu-BayAd, DaraNI-kampa-BayAt caNxa-mRga-BayAt. svasti deva-BayAt-,
   nāgabhayād, asurabhayād, garuḍabhayād, gandharvabhayād, kinnarabhayān,	nAga-BayAd, asura-BayAd, garuxa-BayAd, ganDarva-BayAd, kinnara-BayAn,
   mahoragabhayād, yakṣabhayād, rākṣasabhayāt, pretabhayāt, piśācabhayād,	mahA-uraga-BayAd, yakza-BayAd, rAkzasa-BayAt, preta-BayAt, piSAca-BayAt-,
   bhūtabhayāt, kumbhāṇḍabhayāt, pūtanabhayāt, kaṭapūtanabhayāt,	BUta-BayAt, kumBANxa-BayAt, pUtana-BayAt, kawa-pUtana-BayAt,
   skandabhayād, unmādabhayād, chāyābhayād, apasmārabhayād, ostārakabhayāt.	skanda-BayAd, unmAda-BayAd, CAyA-aBayAd, apasmAra-BayAt-, oH-tAraka-BayAt.
   svasti	svasti
   kṛtyākarmaṇakākhordakiraṇavetāḍaciccapreṣakadurbhuktaduścharditaduśchāyāduḥprekṣitadurlikhitadurlaṃghitāvadhūtabhayāt.	kRtyA-karmaNakA-Korda-ki-raNa-vetAxa-cit-ca-prezaka-durBukta-duSCardita-duSCAyA-duHprekzita-durliKita-durlaMGita-avaDUta-BayAt.
   svasti	svasti
   dadrūkaṇḍūkiṭimakuṣṭhagaṇḍakapiṭakapāmāvaisarpalohaliṅgaśoṣauttrāsabhayāt.	dadrU-kaNxU-kiwima-kuzWa-gaNxaka-piwaka-pAma-avEsarpa-loha-liFga-Soza-OttrAsa-BayAt.
   svasti mama sarvasatvānāṃ ca svāhā. svasti sarvarogebhyaḥ.	svasti mama sarva-satvAnAm ca svAhA. svasti sarva-rogeByaH.
   rātrau svasti divā svasti madhyaṃdine sthite,	rAtrO svasti divA svasti maDyaMdine sTite,
   svasti sarvam ahorātraṃ sarvabuddhā diśantu vaḥ.	svasti sarvam ahorAtram sarva-budDAH diSantu vaH.
   namo 'stu buddhāya namo 'stu bodhaye,	namaH astu budDAya namaH astu boDaye,
   namo 'stu muktāya namo 'stu muktaye.	namaH astu muktAya namaH astu muktaye.
   namo 'stu śāntāya namo 'stu śāntaye,	namaH astu SAntAya namaH astu SAntaye,
   namo vimuktāya namo vimuktaye.	namaH vimuktAya namaH vimuktaye.
   ye brāhmaṇā vāhitapāpadharmāḥ teṣāṃ namas, te mama sarvasatvānāṃ ca rakṣāṃ	ye brAhmaNAH vAhita-pApa-DarmAH tezAm namas, te mama sarva-satvAnAm ca rakzAm
   kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ	kurvantu, guptim paritrANam parigraham paripAlanam SAntim svastyayanam
   daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ	daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam
   dharaṇībandhaṃ ca kurvantu. jīvatu varṣaśataṃ paśyatu śaradāśataṃ. (Mmvr	DaraNI-banDam ca kurvantu. jIvatu varza-Satam paSyatu SaradA-SataM. (Mmvr
   Taku 43)	Taku 43)
   iyaṃ cānanda mahāmāyūrī vidyārājñī vipaśyinā samyaksaṃbuddhena bhāṣitā	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI vipaSyinA samyaksaMbudDena BAzitA
   cābhyanumoditā ca. tadyathā.	ca-aByanumoditA ca. tat-yaTA.
   araḍe karaḍe maraḍe madavardhane avaśabare ture ture care care śabare	araxe karaxe maraxe mada-varDane avaSabare ture ture care care Sabare
   parṇaśabare, hucu hucu, kuci kuci, muci muci, huci huci huci huci huci	parNa-Sabare, hucu hucu, kuci kuci, muci muci, huci huci huci huci huci
   huci huci, muci muci muci muci svāhā.	huci huci, muci muci muci muci svAhA.
   iyaṃ cānanda mahāmāyūrī vidyārājñī śikhinā samyaksaṃbuddhena bhāṣitā	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI SiKinA samyaksaMbudDena BAzitA
   cābhyanumoditā ca. tadyathā.	ca-aByanumoditA ca. tat-yaTA.
   iḍi miḍi khire vikhire, hili hili hili, mili mili, tumūle, ambare	ixi mixi Kire viKire, hili hili hili, mili mili, tumUle, ambare
   ambarāvati, dumbe dumbe hili hili hili, kurvi kurvi kurvi, muci muci muci,	ambarAvati, dumbe dumbe hili hili hili, kurvi kurvi kurvi, muci muci muci,
   svāhā.	svAhA.
   iyaṃ cānanda mahāmāyūrī vidyārājñī viśvabhuvā samyaksaṃbuddhena bhāṣitā	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI viSvaBuvA samyaksaMbudDena BAzitA
   cābhyanumoditā ca. tadyathā.	ca-aByanumoditA ca. tat-yaTA.
   morike morike morike kevaṇṭu maṇḍitike, hare hare hare hare hare hare,	morike morike morike kevaNwu maNxitike, hare hare hare hare hare hare,
   ghare ghare, khare khare, phare phare phare, phali nidanti nidantire,	Gare Gare, Kare Kare, Pare Pare Pare, Pali nidanti nidantire,
   śakaṭi makaṭi, naṇḍa naḍini, śiri śiri śiri śiri śiri śiri svāhā.	Sakawi makawi, naNxa naxini, Siri Siri Siri Siri Siri Siri svAhA.
   iyaṃ cānanda mahāmāyūrī vidyārājñī krakucchandena samyaksaṃbuddhena	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI krakucCandena samyaksaMbudDena
   bhāṣitā cābhyanumoditā ca. tadyathā.	BAzitA ca-aByanumoditA ca. tat-yaTA.
   hiḍi miḍi kuḍi miḍi, tuḍi kuḍi aḍi muḍi tuḍi tuḍi āḍe dante dantile śakari	hixi mixi kuxi mixi, tuxi kuxi axi muxi tuxi tuxi Axe dante dantile Sakari
   makāri thagari cagari kañcane kañcanāvati, śabare, bare bare bare bare	makAri Tagari cagari kaQcane kaQcanAvati, Sabare, bare bare bare bare
   bare bare, dante siddhi svāhā.	bare bare, dante sidDi svAhA.
   iyaṃ cānanda mahāmāyūrī vidyārājñī kanakamuninā samyaksaṃbuddhena bhāṣitā	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI kanaka-muninA samyaksaMbudDena BAzitA
   (Mmvr Taku 44) cābhyanumoditā ca. tadyathā.	(MmvH Taku 44) ca-aByanumoditA ca. tat-yaTA.
   tantule tatale tatale calate, tale tale tale tale, vire vijaye vijjadhare,	tantule tatale tatale calate, tale tale tale tale, vire vijaye vijjaDare,
   araje araje virajāmati, mati mālini maṇḍe śirimaṇḍe, jvala jvala jvala	araje araje virajAmati, mati mAlini maNxe SirimaNxe, jvala jvala jvala
   jvala jvala jvala, bhadravati siddhi svāhā.	jvala jvala jvala, Badravati sidDi svAhA.
   iyaṃ cānanda mahāmāyūrī vidyārājñī kāśyapena samyaksaṃbuddhena bhāṣitā	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI kASyapena samyaksaMbudDena BAzitA
   cābhyanumoditā ca. tadyathā.	ca-aByanumoditA ca. tat-yaTA.
   aṇḍare paṇḍare kaṇḍare maṇḍare khaṇḍare jaṃbu juṃbunadi jaṃbuvati, matte	aNxare paNxare kaNxare maNxare KaNxare jaMbu juMbunadi jaMbuvati, matte
   maṇḍitike, amare siddhi, hara hara hara hara, paśu paśu paśu paśu paśupati	maNxitike, amare sidDi, hara hara hara hara, paSu paSu paSu paSu paSupati
   svāhā siddhi siddhi siddhi siddhi svāhā.	svAhA sidDi sidDi sidDi sidDi svAhA.
   iyaṃ cānanda mahāmāyūrī vidyārājñī mayāpy etarhi śākyamuninā	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI mayA-api etarhi SAkya-muninA
   samyaksaṃbuddhena bhāṣitā cābhyanumoditā ca. tadyathā.	samyaksaMbudDena BAzitA ca-aByanumoditA ca. tat-yaTA.
   hili mili kili mili ilile katale ketumūle aḍamali ḍaphe ḍaphe busareke,	hili mili kili mili ilile katale ketumUle axamali xaPe xaPe busareke,
   busaṭṭa narakande katili bocalike kambu dāriṇikāya śabaraṃge tatuṭṭa	busawwa nara-kande katili bocalike kambu dAriNikAya SabaraMge tatuwwa
   bharaśebho vardhani prakṛti daṃṣṭra mili tale, īti hāse amale makule baṭṭa	Bara-SeBaH varDani prakRti daMzwra mili tale, i-iti hAse amale makule bawwa
   baṭṭa varṣantu, devaḥ samantā yathā sukhaṃ daśāsu dikṣu. namo bhagavataḥ	bawwa varzantu, devaH samantAH yaTA suKam daSAsu dikzu. namaH BagavataH
   kumudodakaṃ bhavatu, namo bhagavate iṭiṭāya godohikāya bhṛṅgārikāya, aruci	kumuda-udakam Bavatu, namaH Bagavate iwiwAya godohikAya BRFgAri-kAya, aruci
   maruci naṭṭa naṭṭa vajre vajranaṭṭe udayanapriye, ale tāle kuntāle kule	maruci nawwa nawwa vajre vajra-nawwe udayana-priye, ale tAle kuntAle kule
   tāle, nārāyaṇi pārāyaṇi, paśyani sparśani siddhyantu drāmiḍā mantrapadāḥ	tAle, nArAyaNi pArAyaNi, paSyani sparSani sidDyantu drAmixAH mantra-padAH
   svāhā.	svAhA.
   saṃyathedaṃ mayā śākyamuninā samyaksaṃbuddhena bhāṣitā cābhyanumoditā ca.	saMyaTA-idam mayA SAkya-muninA samyaksaMbudDena BAzitA ca-aByanumoditA ca.
   ānandena bhikṣuṇā svāter bhikṣor daṣṭasya svastyayanaṃ kṛtaṃ, evaṃ	Anandena BikzuNA svAteH BikzoH dazwasya svastyayanam kRtaM, evam
   sarvasatvānāṃ (Mmvr Taku 45) ca rakṣā kṛtā bhavatu, guptiṃ paritrāṇaṃ	sarva-satvAnAm (MmvH Taku 45) ca rakzA kRtA Bavatu, guptim paritrANam
   parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ	parigraham paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram
   viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca kṛtaṃ bhavatu.	viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca kRtam Bavatu.
   jīvatu varṣaśataṃ paśyatu śaradāśataṃ.	jIvatu varza-Satam paSyatu Sarad-A-SataM.
   iyaṃ cānanda mahāmāyūrī vidyārājñī maitreyena bodhisatvena mahāsatvena	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI mEtreyena boDisatvena mahAsatvena
   bhāṣitā cābhyanumoditā ca. tadyathā.	BAzitA ca-aByanumoditA ca. tat-yaTA.
   śiri śiri śiri, bhadre, jyoti jyoti jyoti, bhadre, hare hare hare, hariṇi	Siri Siri Siri, Badre, jyoti jyoti jyoti, Badre, hare hare hare, hariNi
   hāriṇi, danti śabari śive śūlapāṇini, bodhi bodhi bodhi bodhi bodhi bodhi,	hAriNi, danti Sabari Sive SUlapANini, boDi boDi boDi boDi boDi boDi,
   bodhisatve, bodhiparipācaṇīye svāhā.	boDisatve, boDi-paripAcaNIye svAhA.
   iyaṃ cānanda mahāmāyūrī vidyārājñī brahmaṇā sahāpatinā bhāṣitā	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI brahmaNA sahApatinA BAzitA
   cābhyanumoditā ca. tadyathā.	ca-aByanumoditA ca. tat-yaTA.
   hili hili hili hili, mili mili mili mili, mālini caṅkali, kiri kiri kiri	hili hili hili hili, mili mili mili mili, mAlini caFkali, kiri kiri kiri
   kiri kiri kiri, kiraye brahmāye ratnakaraṇḍake, viḍāphu viḍāphuse, dhara	kiri kiri kiri, kiraye brahmAye ratna-karaNxake, vixAPu vixAPuse, Dara
   dhara, hara hara, hule hule, phuru phuru phuru phuru phuru svāhā.	Dara, hara hara, hule hule, Puru Puru Puru Puru Puru svAhA.
   hataṃ viṣaṃ nihataṃ viṣaṃ, buddhatejohataṃ viṣaṃ, pratyekabuddhatejohataṃ	hatam vizam nihatam vizaM, budDa-tejaH-hatam vizaM, pratyekabudDa-tejaH-hatam
   viṣaṃ, arhattejohataṃ viṣaṃ, anāgāmitejohataṃ viṣaṃ, sakṛdāgāmitejohataṃ	vizaM, arhat-tejaH-hatam vizaM, anAgAmi-tejaH-hatam vizaM, sakRdAgAmi-tejaH-hatam
   viṣaṃ, śrotāpannatejohataṃ viṣaṃ, satyavāditejohataṃ viṣaṃ,	vizaM, Srota-Apanna-tejaH-hatam vizaM, satya-vAdi-tejaH-hatam vizaM,
   brahmadaṇḍatejohataṃ viṣaṃ, indravajratejohataṃ viṣaṃ, viṣṇucakratejohataṃ	brahmadaNxa-tejaH-hatam vizaM, indra-vajra-tejaH-hatam vizaM, vizNu-cakra-tejaH-hatam
   viṣaṃ, agnitejohataṃ viṣaṃ, varuṇapāśatejohataṃ viṣaṃ, asuramāyāhataṃ	vizaM, agni-tejaH-hatam vizaM, varuNa-pASa-tejaH-hatam vizaM, asura-mAyA-hatam
   viṣaṃ, nāgavidyāhataṃ viṣaṃ, rudraśūlatejohataṃ viṣaṃ,	vizaM, nAga-vidyA-hatam vizaM, rudra-SUla-tejaH-hatam vizaM,
   skandaśaktitejohataṃ viṣaṃ, mahāmāyūrīvidyāhataṃ viṣaṃ. bhūmyā saṃkrāmatu	skanda-Sakti-tejaH-hatam vizan, mahA-mAyUrI-vidyA-hatam vizaM. BUmyA saMkrAmatu
   viṣaṃ, svastyayanaṃ bhavatu svāter (Mmvr Taku 46) bhikṣor mama	vizaM, svastyayanam Bavatu svAteH (MmvH Taku 46) BikzoH mama
   sarvasatvānāṃ ca sarvaviṣād vatsanābhaviṣād halāhalaviṣāt kālakūṭaviṣād	sarva-satvAnAm ca sarva-vizAt vatsanABa-vizAt halAhala-vizAt kAlakUwa-vizAd
   daṃṣṭrāviṣān mūlaviṣād vidyudviṣān meghasaṅkaṭaviṣāc cuṇḍaviṣād hṛṣṭiviṣān	daMzwrA-vizAn mUla-vizAt vidyut-vizAn meGa-saFkawa-vizAt cuNxa-vizAt hRzwi-vizAn
   meghaviṣāt sarpaviṣād	meGa-vizAt sarpa-vizAd
   lūṭakīṭakakanabhamaṇḍūkamakṣikābhramaratryambukatrailāṭakaviṣād	lUwa-kIwakaka-naBa-maNxUka-makzikA-Bramara-tryambuka-trElAwaka-vizAd
   garuḍaviṣān manuṣyaviṣād amanuṣyaviṣāt śakraviṣād oṣadhiviṣād vidyāviṣāt.	garuxa-vizAt manuzya-vizAt amanuzya-vizAt Sakra-vizAt ozaDi-vizAt vidyA-vizAt.
   svasti sarvaviṣebhyaḥ svāter bhikṣor mama sarvasatvānāṃ ca svāhā.	svasti sarva-vizeByaH svAteH BikzoH mama sarva-satvAnAm ca svAhA.
