   Muktā-caritram	MuktA--caritram
   lyādibhir yathā-sthānaṃ yathā-śobhaṃ nikāmam alaṅkṛtety ardhokte	lya-AdiBiH yaTA--sTAnam yaTA-SoBam nikAmam alaFkRtA-iti arDa-ukte
   tat-smaraṇānanda-janita-kampa-pulaka-svara-bhaṅga-parimilita-divya-moham	tat-smaraNa-Ananda--janita--kampa--pulaka-svara--BaFga--parimilita-divya-moham
   āsādayantī sā lalitā viśākhayā sasambhramaṃ pṛṣṭhe samālambya karṇe rādhe	AsAdayantI sA lalitA viSAKayA sa-samBramam pRzWe samAlambya karNe rADe
   kṛṣṇa rādhe kṛṣṇeti kīrtanāmṛtena sandhukṣitā kṣaṇaṃ maunena dhairyam	kRzNa rADe kRzNa-iti kIrtana-amRtena sanDukzitA kzaNam mOnena DEryam
   ālambya punaḥ kathayitum ārebhe ||	Alambya punar kaTayitum AreBe ||
   tadānīm eva mūrcchitāṃ lalitām ālakṣya -- hā	tadAnIm eva mUrcCitAm lalitAm Alakzya - hA
   mat-prāṇa-pradīpa-rājinīrājita-carite priya-sakhi lalite! hata-bhāgyāhaṃ	mat--prANa--pradIpa--rAji-nI-rAjita--carite priya--saKi lalite! hata-BAgya-aham
   tvayā	tvayA
   nirāśā kṛtāsmi | hā bhagavan! bhakta-vatsala! bhāskara-deva! rakṣa rakṣa |	nirASA kRtA-asmi | hA Bagavan! Bakta-vatsala! BAskara--deva! rakza rakza |
   hā	hA
   santatam	santatam
   āpulinda-sakala-gokula-janāvanārtha-kalita-nirvikalpa-mahā-saṅkalpa-gokula-sud	Apulinda--sakala--go-kula--jana-avana-arTa---kalita--nirvikalpa--mahA--saFkalpa--gokula--sud
   hānidhe jhaṭiti nija-sudhāmaya-karābhimarṣaṇena	hAniDe Jawiti nija--suDA-Amaya--kara-aBimarzaNena
   mad-vidha-jīvita-kokila-kula-jīvātu-lalitā-nāmādbhuta-pīyūṣa-rasāla-vallīṃ	mad-viDa--jIvita--kokila---kula--jIvA-tu-lalitA--nAma-adButa-pIyUza-rasa-Ala-vallIm
   jīvitām ācārya kilaitat-paṇenaiva saṃkrīya dāsī krityatām iyaṃ tapasvinī	jIvitAm AcArya kila-etat-paNena-eva saMkrIya dAsI krityatAm iyam tapasvinI
   rādhiketi	rADikA-iti
   vilapya sāśru-dhāraṃ vegena tām āliṅgitum āgacchantī rādhikā	vilapya sa-aSru--DAram vegena tAm AliFgitum AgacCantI rADikA
   rasamaya-sāttvika-mahā-stambha-santati-sahacaryā suṣṭhu pariṣvajya	rasa-maya--sAttvika--mahA-stamBa--santati--sahacaryA suzWu parizvajya
   rakṣitāsīt |	rakzitA-AsIt |
   ity avakalanāt trāsena sāntaḥkampaṃ raṅgaṇavallī-tulasībhyāṃ tat-savidham	iti avakalanAt trAsena sa-antar-kampam raFgaNa-vallI--tulasIByAm tat--saviDam
   upalabdhaṃ tato raṅnaṇavallyā vāma-bhujayā tat-pṛṣṭham avaṣṭabhya	upalabDam tatas raFnaNavallyAH vAma-BujayA tat--pRzWam avazwaBya
   dakṣiṇa-kareṇa mṛdu mṛdu mṛjyamānā hā nātha rakṣa rakṣa iti sāśru-pravāhaṃ	dakziNa-kareNa mRdu mRdu mRjyamAnA hA nATa rakza rakzaH iti sa-aSru--pravAham
   sa-gadgada-bhāṣitena tulasyā tu	sa-gadgada--BAzitena tulasyA tu
   nava-mṛdula-tamāla-pallava-kula-vyajanenātijavena	nava--mRdula-tamAla--pallava--kula--vyajanena-atijavena
   bījyamānā bāhyam upālabhya susthām iva lalitām ālokayantī sānandā babhūva	bIjyamAnA bAhyam upAlaBya susTAm iva lalitAm AlokayantI sa-AnandAH baBUva
   lalitā -- huṃ ? tāṃ tadā	lalitAH - hum ? tAm tadA
   tadānandocchalita-sāttvika-bhāvālaṅkāra-bhūṣita-sabhya-gaṇaiḥ saha	tad-Ananda-ucCalita-sAttvika-BAva-alaFkAra--BUzita-saBya--gaNEH saha
   bhagavatī	BagavatI
   vicitra-ratna-siṃhāsanopari samupaveśya	vicitra--ratna--siMhAsana-upari samupaveSya
   ekānaṃśā-sodara-kāmākhyā-śyāmala-devatā-hṛdyasthāsakād	ekAnaMSA--sa-udara-kAma-AKyA--SyAmala--devatA--hRdya-sTAsakAt-
   āhṛta-datta-mṛgamadena vṛndāvana-rājya-mahā-rājñītvena	AhRta-datta--mRga-madena vRndAvana--rAjya--mahA--rAjQI-tvena
   śaṅkha-ghaṇṭā-dundubhi-kolāhala-śabda-pūrvakaṃ jaya-jaya-śabdena tilakaṃ	SaFKa--GaNwA--dunduBi--kolAhala--Sabda--pUrvakam jaya--jaya--Sabdena tilakam
   cakāra |	cakAra |
   tata etac-chravaṇena sarvāsām ānanda-hāsa-kolāhale jāte	tatas etac--SravaNena sarvAsAm Ananda--hAsa--kolAhale jAte
   tac-chravaṇānanda-samutthita-sāttvikādy-anubhāvān yatnenāvṛtya kiñcid	tac--SravaNa-Ananda--samutTita--sAttvika-Adi--anuBAvAn yatnena-AvRtya kiQcid-
   vihasya	vihasya
   mayoktaṃ -- lalite! etat kathaṃ mayā na jñāyate etena kiṃ vo rājyam āyātam	mayA-uktam - lalite! etat kaTam mayA na jQAyate etena kim vaH rAjyam AyAtam
   pratyuta etad uṭṭaṅkanāt sva-mukhenaiva bhavatībhir yuṣmat-sahitam idaṃ	pratyutaH etat uwwaFkanAt sva--muKena-eva BavatIBiH yuzmat--sahitam idam
   rājyaṃ	rAjyam
   mamaiveti nirṇītam |	mama-eva-iti nirNItam |
   nāndīmukhī -- katham iva ?	nAndImuKI - kaTam iva ?
   tato'ham -- yato vṛndāvana-purandarasya mamaiva rājñītvena mad-iṅgitenaiva	tatas-aham - yatas vRndAvana--purandarasya mama-eva rAjQI-tvena mad--iFgitena-eva
   bhagavaty-abhiṣikteyam ||	Bagavati--aBiziktA-iyam ||
   viśākhā vihasya -- asaṅgata-bhāṣin! purandarasya mahiṣi devy eva bhavati |	viSAKAH vihasya - asaFga-ta-BAzin! purandarasya mahizi devI eva Bavati |
   sā	sA
   khalu śacīti prasiddhā svarge vasati | iyaṃ tu mama sakhī bhūmi-vihāriṇī	Kalu SacI-iti prasidDA svarge vasati | iyam tu mama saKI BUmi--vihAriNI
   subhagābhimanyor jāyā mānuṣī |	suBaga-aBimanyoH jAyA mAnuzI |
   mayoktaṃ -- tarkācārya-śiromaṇiṃ-manye viśākhe! tvaṃ suṣṭhu jaḍāsi yad	mayA-uktam - tarka-AcArya--SiraH-maNiM-manye viSAKe! tvam suzWu jaxA-asi yat-
   bāraṃ	bAram
   bāram adhītam api pratyakṣa-khaṇḍaṃ tvayā vismṛtam eva |	bAram aDItam api pratyakza---KaNxam tvayA vismRtam eva |
   viśākhā -- kiṃ tad vismṛtam ?	viSAKA - kim tat vismRtam ?
   mayoktaṃ -- śrūyatām | yadi bhavat-sahacarī mat-preyasī na syāt tarhi	mayA-uktam - SrUyatAm | yadi Bavat--sahacarI mat--preyasI na syAt tarhi
   mad-vakṣaḥ-sthāsakāhṛta-mṛgamadena kathaṃ bhagavatī tāṃ tilakinīṃ cakāra ?	mad---vakzaH--sTAsaka-AhRta--mRga-madena kaTam BagavatI tAm tilakinIm cakAra ?
   kathaṃ vā mat-kaṇṭha-mālā-hāra-vaijayantībhyāṃ tat-kaṇṭham alañcakāra ?	kaTam vA mat--kaNWa--mAlA--hAra--vEjayantIByAm tat-kaNWam alaQcakAraH ?
   lalitā -- bhoḥ śaśa-śṛṅga-dhanurdharālīka-purandara!	lalitAH - BoH SaSa--SRFga-DanuH-DarAlIka-purandara!
   pravara-subhaga-lekhāvali-kalita-padāravindāyāḥ	pravara--suBaga--leKA-Avali--kalita-pada-aravindAyAH
   gandharva-vidyādhara-gaṇa-gīyamāna-mahā-vaibhavāyāḥ ātmabhuvāpi	ganDarva-vidyADara--gaNa-gIyamAna--mahA-vEBavAyAH Atma-BuvA-api
   saṃstūyamāna-caritāyāḥ vividha-kāma-sampatti-dāyinyāḥ	saMstUyamAna--caritAyAH viviDa--kAma--sampatti-dAyinyAH
   nandy-ādīśvara-gṛhiṇyāḥ kāmāripur-vāsinyāḥ	nandy-Adi-ISvara-gRhiNyAH kAma-ari-puH--vAsinyAH
   vindhya-vāstavyaikānaṃśāgrajāyāḥ	vinDya-vAstavya-eka-anaMSa-agra-jAyAH
   kāmākhyā-nāma-śyāmala-devatāyāḥ mahāprasāda-mṛgamada-mālābhir eva sā	kAma-AKyA--nAma-Sya-amala--devatAyAH mahA-prasAda--mRgamada--mAlABiH eva sA
   kila bhagavatyā vibhūṣitā | tava kas tatra sambandhaḥ ?	kila BagavatyA viBUzitA | tava kaH tatra sambanDaH ?
   tuṅgavidyā -- sakhi lalite! sādhu sambodhitaṃ yad ayam alīka-purandara eva	tuFga-vidyA - saKi lalite! sADu samboDitam yat ayam alIka--purandaraH eva
   viśākhā -- katham iva ?	viSAKAH - kaTam iva ?
   tuṅgavidyā -- śrūyatāṃ asmin māthura-pradeśe yācaka-dvija-kalāvadādibhir	tuFga-vidyA - SrUyatAm asmin mATura--pradeSe yAcaka--dvija-kalA-vat-AdiBiH-
   eva	eva
   pañcaviṃśati-kaparrdikā-mātra-labdhaye deva! mahārājety-alīka-sambodhanaiḥ	paQcaviMSati-ka-parrdikA--mAtra-labDaye deva! mahA-rAja-iti--alIka--samboDanEH
   kṣudrataraika-grāmādhyakṣo'pi yathā praphullito bhavati tathaiva	kzudratara-eka---grAma-aDyakzaH-api yaTA praPullitaH Bavati taTA-eva
   śakrāśanāśana-durgata-bhaṇḍa-bhaṭṭādi-vargaiḥ	Sakra-aSana-aSana--durgata-BaNxa--Bawwa-Adi--vargEH
   palaika-parimita-navanīta-mātram āptuṃ vṛndāvana-purandareti	pala-eka--parimita-navanIta--mAtram Aptum vRndAvana--purandara-iti
   kṛtāsambhavālīka-sambodhana-pūrvaka-stavābhāsenaiva nisargāgambhīra eṣa	kRta-asamBava-alIka--samboDana--pUrvaka-H-tava-ABAsena-eva nisarga-AgamBIraH eza
   kṛṣībalo bāḍham ātmanaḥ purnadaratā-mananena	kRzIbalaH bAXam AtmanaH purnadara-tA-mananena
   nija-jālmato'marāvatī-purandaratvam eva prakaṭīcakāra |	nija--jAlmataH-amarOvatI--purandara-tvam eva prakawIcakAra |
   tatas tuṅgavidyā narma-smitam apavārya -- bhoḥ	tatas tuFga-vidyA narma--smitam apavArya - BoH
   pāvana-sarovara-jambāla-jāta-jāmbunada-jāta-sutāra-muktāphalādi-vividha-ratn	pAvana--saraH-vara--jambAla--jAta-ja-ambunada-jAta--sutAra--muktAPala-Adi--viviDa--ratn
   a-vrāta-viracita-mahā-siṃhāsanopari suṣṭhu niviṣṭasya	a-vrAta--viracita-mahA--siMhAsana-upari suzWu nivizwasya
   saurabha-bharonmādīkṛtāruṇa-bhramara-kulocchalita-jhaṅkāra-rava-nikareṇānu	sOraBa-Bara-unmAdIkRta-aruNa--Bramara---kula-ucCalita--JaFkAra--rava--nikareNa-anu
   gamyamāna-nirmala-gagana-sumanaḥ-prapañcāvirbhāvita-vara-mukuṭa-bandhāti	gamyamAna--nirmala--gagana-sumanaH--prapaQca-AvirBAvita--vara--mukuwa-banDAti
   bandhūrottamāṅgasya sānandaṃ śirasi subalena	banDUra-uttamAFgasya sa-Anandam Sirasi subalena
   dhṛta-pariṇata-kamaṭha-kaṭhora-pṛṣṭha-supakṣa-kṛta-prakaṭa-surabhi-sudh-ka	DRta--pariNata-kamaWa--kaWa-ura--pRzWa--su-pakza-kRta--prakawa--suraBi--suD-ka
   ṇābhivarṣi-pravarāṭapatrasya	Na-aBivarzi--pravara-Awa-patrasya
   masṛṇatarakaratalodbhuta-tanurūha-prakara-racita-cāmara-dvayenojjvala-caturābh	masRNatara-kara-tala-udButa---tanu-rUha--prakara--racita--cAmara--dvayena-ujjvala--caturAB
   yām ubhaya-pārśvayor ānandenābhivījyamānasya,	yAm uBaya--pArSvayoH Anandena-aBivIjyamAnasya,
   atisupratiṣṭhita-bandhyā-garbha-jāta-mahā-mahā-sat-puruṣa-vargaiḥ	ati-su-pratizWita--banDyA-garBa-jAta--mahA--mahA--sat--puruza---vargEH
   padma-gandhābhidhādivalīvardha-sañcayānāṃ sumadhura-payaḥ-pravāheṇa	padma-ganDa-aBiDA-Adi-valI-varDa--saQcayAnAm su-maDura--payaH--pravAheNa
   vṛndāṭavī-mahendratve'bhiṣiktasya,	vRndAwavI--mahA-indra-tve-aBiziktasya,
   pariṇata-saśottuṅga-śṛṅga-vinirmita-mañjula-kārmukālaṅkṛta-vāma-kara-muṣṭ	pariNata-saSottuFga--SRFga--vinirmita--maQjula--kArmuka-alaFkRta--vAma--kara--muzw
   ikasyāsya, tad avadhi yaśaḥ-pratāpa-prakāśa-laharī brahmāṇḍa-bhare yādṛśī	ikasya-Asya, tat avaDi yaSaH--pratApa--prakASa--laharI brahmANxa-Bare yAdRSI
   prasarantī vartate | tām anubhavantībhir bhavatībhir api sākṣān	prasarantI vartate | tAm anuBavantIBiH BavatIBiH api sAkzAn
   mahendratvaṃ yan	mahA-indra-tvam yat-
   na manyate, tad bhavatīnām anayo'yaṃ mahān eveti mayi prabhāsate |	na manyate, tat BavatInAm anayaH-ayam mahAn eva-iti mayi praBAsate |
   iti niśamya sa-smitaṃ nayana-kūṇanena sa-smita-lajjita-man-mukham ālokya	iti niSamya sa--smitam nayana--kUNanena sa-smita--lajjita-man-muKam Alokya
   parasparaṃ cālokayantīṣu tāsu citrā vihasya - bhoḥ katham asau	parasparam ca-AlokayantIzu tAsu citrA vihasya  BoH kaTam asO
   pariahasyate	pariahasyate
   bhavatībhyām ? satyam evāyaṃ devendraḥ |	BavatIByAm ? satyam eva-ayam deva-indraH |
   tuṅgavidyā - citre! iti cet sa katham atrāgataḥ ?	tuFga-vidyA  citre! iti ced sa kaTam atra-AgataH ?
   citrā - śrūyatām | para-ramaṇīto'yam iti sarvataḥ samadhigamya krodhinyā	citrA  SrUyatAm | para-ramaNItaH-ayam iti sarvatas samaDigamya kroDinyA
   devā	devAH-
   padāghātena nirbhartstas tāṃ parama-sukhada-tan-nija-bhavanaṃ ca	pada-AGAtena nirBartstaH tAm parama--suKa-da-tan--nija--Bavanam ca
   nirvedataḥ	nirvedataH
   parityajya vanam idam āgatya parama-mañjula-navīna-gopatvam ivāsādya	parityajya vanam idam Agatya parama--maQjula--navIna-gopa-tvam iva-AsAdya
   puraścaraṇa-vidhānenaiva vṛndāvaneśvaryāḥ karṣako bhūtvā sukhena samayaṃ	puraScaraNa--viDAnena-eva vRndAvaneSvaryAH karzakaH BUtvA suKena samayam
   gamayann asti | tad enaṃ hāsya-rasa-viṣayālambanam avidhāya	gamayan asti | tat enam hAsya---rasa--vizaya-Alambanam aviDAya
   bāṭika-rūpa-prāghuṇe' smin sneha eva nikāmaṃ vidhīyatām |	bAwika--rUpa-prAGuNe-a smin snehaH eva nikAmam viDIyatAm |
   tac chrutvā sarvāsu smera-mukhīṣu nāndīmukhī vihasya - sakhi citre! vraja	tat SrutvA sarvAsu smera--muKIzu nAndImuKI vihasya  saKi citre! vraja
   eva	eva
   nitya-vihāriṇi vrajendra-nandane yat kiñcit tvayedaṃ vyāhṛtam | tasya	nitya--vihAriNi vraja-indra-nandane yat kiQcid tvayA-idam vyAhRtam | tasya
   śabdārthottha-gūḍhābhiprāyeṇa bhavitavyam iti lakṣyate | tatas tasya	Sabda-arTa-utTa--gUXa-aBiprAyeNa Bavitavyam iti lakzyate | tatas tasya
   vivecana-pūrvaka-kathanenāsmān baḍham ānandaya |	vivecana--pUrva-ka-kaTanena-asmAn baXam Anandaya |
   tataḥ smitvā muni-vratam ālambitavatyāṃ citrāyāṃ vṛndā sānandam āha -	tatas smitvA muni-vratam AlambitavatyAm citrAyAm vRndA sa-Anandam Aha -
   nāndīmukhi! asyāḥ parama-vidagdhāyā gūḍhābhiprāyaḥ sphuṭaṃ mayaiva	nAndImuKi! asyAH parama--vidagDAyAH gUXa-aBiprAyaH sPuwam mayA-eva
   nirvarṇyamānaḥ suṣṭhu samākarṇyatām |	nirvarNyamAnaH suzWu samAkarNyatAm |
   nāndīmukhīn - katham asya devendratvam ? tat prakaṭaya |	nAndI-muKIn  kaTam asya deva-indra-tvam ? tat prakawayaH |
   vṛndā - dīvyanti krīḍantīti devāḥ -	vRndAH  dIvyanti krIxanti-iti devAH -
   vicitra-vividha-manohara-keli-vilāsa-śālinaḥ |	vicitra--viviDa--manohara--keli-vilAsa--SAlinaH |
   tathā dīvyanti viśeṣeṇa dyotante iti devāḥ |	taTA dIvyanti viSezeNa dyotante iti devAH |
   paramojjvala-tejas-taraṅga-hṛdyādbhuta-saundaryāmṛta-pravāha-śālinas teṣāṃ	parama-ujjvala--tejas--taraFga--hRdya-adButa--sOndarya-amRta--pravAha--SAlinaH tezAm
   teṣām apīndro mahā-parivṛḍha iti devendras tebhyo'pi paramotkarṣeṇa suṣṭhu	tezAm api-indraH mahA--parivRXaH iti deva-indraH teByaH-api parama-utkarzeNa suzWu
   virājamāna ity arthaḥ |	virAjamAnaH iti arTaH |
   nāndīmukhī sa-smitaṃ - samīcīno'yam artho vivṛtaḥ kintu para-ramaṇī-rata	nAndImuKI sa--smitam  samIcInaH-ayam arTaH vivRtaH kintu para-ramaNI-rata
   ity	iti-
   asya ko'rthaḥ ?	asya kaH-arTaH ?
   vṛndā - parā anyā tathā parā vipakṣā, tathā parā paramotkṛṣṭā, parā cāsau	vRndA  parA anyA taTA parA vipakzA, taTA parA parama-utkRzwA, parA ca-asO
   ramaṇī ceti para-ramaṇī śrī-rādhikā tasyāṃ rataḥ paramāśaktas tām eva	ramaNI ca-iti para-ramaNI SrI-rADikA tasyAm rataH parama-aSaktaH tAm eva
   paramānurāgeṇa ramayann ity arthaḥ |	parama-anurAgeNa ramayan iti arTaH |
   campakalatā smitvā - vṛnde! devy api nirūpyatām |	campakalatA smitvA  vRnde! devI api nirUpyatAm |
   vṛndā - nādevo devam arcayed iti caṇḍikā-paricaryāparatvāt asya devasya	vRndAH  na-adevaH devam arcayet iti caNxikA--paricaryA-paratvAt asya devasya
   bhāryeti	BAryA-iti
   vā | kiṃ vā amaṅgale maṅgala-śabdavad iyaṃ devī |	vA | kim vA amaFgale maFgala--Sabda-vat iyam devI |
   nāndīmukhī - seyaṃ kā ?	nAndImuKI  sA-iyam kA ?
   viśākhā - etādṛśī candāvaly eva bhaviṣyati |	viSAKA  etAdRSI candAvalI eva Bavizyati |
   vṛndā smitvā maunam ālambate | sarvāḥ smitaṃ kurvanti | nāndīmukhī	vRndA smitvA mOnam Alambate | sarvAH smitam kurvanti | nAndImuKI
   padāghāteneti dhārṣṭyātiśayena tasyā anuttamatā sphuṭaiva kintu	pada-AGAtena-iti DArzwya-atiSayena tasyAH anuttama-tA sPuwA-eva kintu
   parama-sukhada-tan-nija-bhavanaṃ vā katarat ?	parama--suKa-da-tan--nija--Bavanam vA katarat ?
   vṛndā - niviḍatva-puṣpavattva-bhṛṅga-guñjitvādi-rāhitvāt param asukhadam |	vRndAH  nivixa-tva--puzpavat-tva--BRFga---guQji-tvA-Adi--rAhi-tvAt param asuKa-dam |
   kiṃ	kim
   vā parama-sukhaṃ dārayatīti parama-sukhadaṃ yat tasyā devyā nija-bhavanaṃ	vA parama--suKam dArayati-iti parama--suKa-dam yat tasyAH devyA nija--Bavanam
   sakhīsthalī-nikaṭa-vartinaṃ tad apahāya |	saKI-sTalI-nikawa-vartinam tat apahAya |
   nāndīmukhī - aho! śabdānāṃ gūḍhārtha-vijñāyās tava vyākhyā-kauśalaṃ tad	nAndImuKI  aho! SabdAnAm gUXa-arTa-vijQAyAH tava vyAKyA--kOSalam tat-
   asmādṛśībhir duravagāho navīna-gopatvādi-padānāṃ gūḍho'rthaḥ kṛpayā	asmAdRSIBiH duravagAhaH navIna-gopa-tva-Adi--padAnAm gUXaH-arTaH kRpayA
   prakāśyatām |	prakASyatAm |
   vṛndā -	vRndAH -
   veṇu-viṣāṇa-laguḍa-niryoga-pāśa-giri-dhātu-citra-nava-śikhaṇḍa-guñjāhārāraṇy	veNu-vizANa-la-guxa--niryoga-pASa-giri-DAtu--citra-nava--SiKaNxa--guQjA-AhAra-araNy
   a-śṛṅgāra-dhāritvaṃ mañjula-navīna-gopatvaṃ tatrāpi navīna-śabdena tasya	a-SRFgAra--DAri-tvam maQjula-navIna-gopa-tvam tatra-api navIna--Sabdena tasya
   prathamato nitya-nūtanatā ca dhvanitā | puraścaraṇa-saṃvidhāneneti puraḥ	praTamatas nitya--nUtanatA ca DvanitA | puraScaraNa--saMviDAnena-iti puras-
   saṃmukhe bhṛṅga-raṇita-kusuma-kalita-bakula-rāja-tale caraṇaṃ	saMmuKe BRFga--raNita--kusuma---kalita-bakula--rAja--tale caraNam
   proddāma-madonmatta-gajendravad-vividha-vilāsa-samullāsitam itas tato	proddAma--mada-unmatta--gaja-indra-vat--viviDa--vilAsa--samullAsitam itas tatas-
   bhramaṇaṃ	BramaNam
   tat-puraḥ-saraṃ yat saṃvidhānaṃ	tat-puraH-saram yat saMviDAnam
   līlā-kamala-cumbana-kaṅkelli-nava-pallavavad-aṃśena	lIlA--kamala--cumbana--kaFkelli-nava--pallava-vat--aMSena
   nistula=nistala-dāḍimī-phala-kara-vinyāsa-kāñcan-yūthikā-samāliṅgana-pūrvaka	nistula=-nistala--dAximI--Pala-kara--vinyAsa--kAQcan-yUTikA--samAliFgana--pUrvaka
   -smita-nava-karpūra-saṃmilita-cañcala-nayana-kamalāñcalāvalokana-paramonmād	-smita--nava--karpUra--saMmilita--caQcala--nayana--kamala-aQcala-avalokana--parama-unmAd
   aka-madhura-mādhvīka-pāyanam | tena	aka-maDura--mADvIka-pAyanam | tena
   malli-bakula-campaka-mādhavī-kanaka-yūthikādi-kusuma-cayana-vilāsa-mādhur	malli--bakula--campa-ka-mADa-vI--kanaka--yUTikA-Adi-kusuma--cayana--vilAsa--mADur
   ī-bharam anubhavantyāḥ śrī-vṛndāvana-rājadhānī-vilāsinyāḥ karṣaka ākarṣako	I-Baram anuBavantyAH SrI--vRndAvana-rAjaDAnI--vilAsinyAH karzakaH AkarzakaH-
   bhūtvā tena tām unmādya nija-nikaṭam ākṛṣyety arthaḥ |	BUtvA tena tAm unmAdya nija--nikawam AkRzya-iti arTaH |
   sukhena ślāghya-madhura-madhura-rasāsvādana-janita-paramānanda-sandohena	suKena SlAGya--maDura--maDura---rasa-AsvAda-na--janita-parama-Ananda--sandohena
   samayaṃ sahaja-sarvadojjṛmbhamāṇa-vasanta-kālaṃ nirantaraṃ	samayam sahaja--sarva-dA-ujjRmBamANa--vasanta--kAlam nirantaram
   nirupama-vilāsa-mādhurībhiḥ saubhāgya-lakṣmī-bharaṃ gamayan prāpayann asti	nirupama-vilAsa--mADurIBiH sOBAgya--lakzmI--Baram gamayan prApayan asti
   tayā sahānavaratam anirvacanīya-madhura-khelā-vilāsa-tat-paraḥ san sadā	tayA saha-anavaratam anirvacanIya--maDura--KelA--vilAsa--tat--paraH san sadA
   virājata	virAjata
   eveti |	eva-iti |
   tato'haṃ sāntar-ānandaṃ -viśākhā-ghātini vṛnde mama	tatas-aham sa-antar-Anandam -viSAKA-a-GAtini vRnde mama
   vṛndāvanodyāna-pālikāpi	vRndAvana-udyAna--pAlikA-api
   tvaṃ katham etāsu militāsi ?	tvam kaTam etAsu militA-asi ?
   madhumaṅgalaḥ - priya-vayasya! iyam udyāna-pālī	maDu-maFgalaH  priya--vayasya! iyam udyAna--pAlI
   sa-lavaṇa-takra-ślathita-bhakta-bhakṣaṇāya tad-udyāna-pālanaṃ parityajya	sa-lavaNa-takra--SlaTita-Bakta--BakzaNAya tat--udyAna---pAlanam parityajya
   sāmpratam āsāṃ gṛha-pālī vṛttāsti | tat kathaṃ na bukkiṣyate ?	sAmpratam AsAm gRha-pAlI vRttA-asti | tat kaTam na bukkizyate ?
   vṛndā - aye bhūsurābhāsa! kuṭabaṭo!	vRndAH  aye BUsura-ABAsa! kuwabawo!
   nija-sahacara-prathama-mudira-vacana-jaladhārā-varṣeṇa praphulla-varṣābhūs	nija--sahacara--praTama--mudira--vacana--jala-DArA--varzeNa praPulla--varzABU-H-
   tvaṃ	tvam
   santata-śravaṇa-kaṭu-śabdaṃ kurvan sarvān udvejayann asi |	santata--SravaNa--kawu--Sabdam kurvan sarvAn udvejayan asi |
   mallī-bhṛṅgyau - devi lalite! svāminyā yad anya-patreṇa likhitam asti |	mallI-BRFgyO  devi lalite! svAminyA yat anya--patreNa liKitam asti |
   tat kiṃ	tat kim
   vismṛtaṃ bhavatyā ?	vismRtam BavatyA ?
   lalitā - kiṃ tat smāryatām |	lalitA  kim tat smAryatAm |
   mallī-bhṛṅgyau - samucita-kara-dāne yaḥ kuyuktim uttolya virodham ācarati	mallI--BRFgyO  samucita--kara-dAne yaH kuyuktim uttolya viroDam Acarati
   so'tra	saH-atra
   baddhvā śīghraṃ praheya iti |	badDvA SIGram praheyaH iti |
   lalitā - āṃ | tat-kara-dāna-virodhī madhumaṅgala eva | tad enaṃ	lalitA  Am | tat-kara-dAna--viroDI maDu-maFgalaH eva | tat enam
   latā-pāśena	latA--pASena
   dṛḍhaṃ nibadhya komalāyāḥ priya-sakhyāḥ savidham ānītvaiva	dRXam nibaDya komalAyAH priya-saKyAH saviDam AnItvA-eva
   jaṭilābhimanyu-pārśve yuvābhyām eva satvaraṃ samarpyatām | yathā sa	jawila-aBimanyu--pArSve yuvAByAm eva sa-tvaram samarpyatAm | yaTA sa
   yāva-grāma-siṃho'bhimanyur eva tāḍana-pūrvakaṃ sva-karaṃ gṛhṇāti |	yAva--grAma-siMhaH-aBimanyuH eva tAxana--pUrvakam sva-karam gRhNAti |
   madhumaṅgalaḥ antaḥ-sa-bhayam iva - vayasya! kiñcin nigūḍhaṃ kāryaṃ mama	maDu-maFgalaH antaH-sa-Bayam iva  vayasya! kiQcid nigUXam kAryam mama
   gṛhe	gRhe
   vidyate | tat sampādyāgacchann asmi |	vidyate | tat sampAdya-agacCan asmi |
   tato'haṃ - dhig brāhmaṇa! katham abalā-vāg-āḍambareṇa mad-agrato'pi	tatas-aham  Dik brAhmaNa! kaTam abalA-vAc--AxambareNa mad--agratas-api
   bibheṣi ?	biBezi ?
   madhumaṅgalaḥ - mahāśūra! ghaṭṭī-pālasya tava govardhane dāna-vartanyāṃ	maDumaFgalaH  mahASUra! GawwI-pAlasya tava govarDane dAna--vartanyAm
