   (PSP_5:1)	(PSu _5:1)
   pariṇāmayati yathāsya trividhā buddhir na pravartate, ko vā pariṇāmayati,	pariNAmayati yaTA asya triviDA budDiH na pravartate, kaH vA pariNAmayati,
   kiṃ vā pariṇāmayati, kutra vā pariṇāmayati. evaṃ khalu subhūte bodhisattvo	kim vA pariNAmayati, kutra vA pariNAmayati. evam Kalu suBUte boDisattvaH 
   mahāsattvaḥ kṣānatipāramitāyāṃ sthitvā vīryapāramitāṃ parigṛhṇāti.	mahAsattvaH kzAna tipAramitAyAm sTitvA vIrya pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH kzAnti pAramitAyAm
   sthitvā dhyānapāramitāṃ parigṛhṇāti?	sTitvA DyAna pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH kzAnti pAramitAyAm
   sthitvā prathamaṃ dhyānam upasaṃpadya viharati, dvitīyaṃ dhyānam	sTitvA praTamam DyAnam upasaMpadya viharati, dvitIyam DyAnam
   upasaṃpadya viharati, tṛtīyaṃ dhyānam upasaṃpadya viharati, caturthaṃ	upasaMpadya viharati, tRtIyam DyAnam upasaMpadya viharati, caturTam
   dhyānam upasaṃpadya viharati, utpannotpannāṃś cittacetasikān dharmān	DyAnam upasaMpadya viharati, utpanna utpannAn citta cetasikAn DarmAn
   kuśalamūlopasaṃhitān sarvasattveṣu sādhāraṇān kṛtvā sarvākārajñatāyāṃ	kuSala mUla upasaMhitAn sarva sattvezu sADAraNAn kRtvA sarva AkAra jQa tAyAm
   pariṇāmayati, tathā ca pariṇāmayati, yathā dhyānāni ca dhyānāṅgāni ca	pariNAmayati, taTA ca pariNAmayati, yaTA DyAnAni ca DyAna aFgAni ca
   tasmin samaye nopalabhate. evaṃ khalu subhūte bodhisattvo mahāsattvaḥ	tasmin samaye na upalaBate. evam Kalu suBUte boDisattvaH mahAsattvaH
   kṣāntipāramitāyāṃ sthitvā dhyānapāramitāṃ parigṛhṇāti.	kzAnti pAramitAyAm sTitvA DyAna pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH kzAnti pAramitAyAm
   sthitvā prajñāpāramitāṃ parigṛhṇāti?	sTitvA prajQApAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH kzAnti pAramitAyAm
   sthitvā tasmin samaye dharme dharmānupaśyī viharati, viviktavihāreṇa vā	sTitvA tasmin samaye Darme Darma anupaSyI viharati, vivikta vihAreNa vA
   śāntākāreṇa vākṣayākāreṇa vā na ca tāṃ dharmatāṃ sākṣātkaroti, yāvac ca na	SAnta AkAreNa vA akzaya AkAreNa vA na ca tAm DarmatAm sAkzAtkaroti, yAvat ca na
   bodhimaṇḍe niṣaṇṇo bhavati, tatra ca niṣadya (PSP_5:89) sarvākārajñatām	boDimaNxe nizaNNaH Bavati, tatra ca nizadya (PSu _5:89) sarva AkAra jQa tAm
   anuprāpsyati, utthāya dharmacakraṃ pravartayiṣyati, tāni ca kuśalamūlāni	anuprApsyati, utTAya Darma cakram pravartayizyati, tAni ca kuSala mUlAni
   sarvasattvasādhāraṇāni kṛtvānuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNAni kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   tathā ca pariṇāmayati yathāsya trividhā buddhir na pravartate, ko vā	taTA ca pariNAmayati yaTA asya triviDA budDiH na pravartate, kaH vA
   pariṇāmayati, kiṃ vā pariṇāmayati, kutra vā pariṇāmayati. evaṃ khalu	pariNAmayati, kim vA pariNAmayati, kutra vA pariNAmayati. evam Kalu
   subhūte bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ sthitvā prajñāpāramitāṃ	suBUte boDisattvaH mahAsattvaH kzAnti pAramitAyAm sTitvA prajQApAramitAm
   parigṛhṇāti, tathā ca parigṛhṇāti yathā nodgṛhṇāti tāvan notsṛjati.	parigRhNAti, taTA ca parigRhNAti yaTA na udgRhNAti tAvat na utsRjati.
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: kathaṃ bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: kaTam Bagavan
   bodhisattvo mahāsattvo vīryapāramitāyāṃ sthitvā dānapāramitāṃ parigṛhṇāti?	boDisattvaH mahAsattvaH vIrya pAramitAyAm sTitvA dAna pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvo vīryapāramitāyāṃ sthitvā	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH vIrya pAramitAyAm sTitvA
   kāyena cittena caran na nikṣipati, avaśyañ caiva mayānuttarā	kAyena cittena caran na nikzipati, avaSyan ca eva mayA anuttarA
   samyaksaṃbodhir abhisaṃboddhavyā, na mayā nābhisaṃboddhavyānuttarā	samyaksaMboDiH aBisaMbodDavyA, na mayA nABisaMbodDavyA anuttarA
   samyaksaṃbodhiḥ, sattvānāṃ ca kṛtena yojanaṃ vā yojanaśataṃ vā	samyaksaMboDiH, sattvAnAm ca kRtena yojanam vA yojana Satam vA
   yojanasahasraṃ vā yojanaśatasahasraṃ vā yojanakoṭīniyutaśatasahasraṃ vā	yojana sahasram vA yojana Sata sahasram vA yojana kowI niyuta Sata sahasram vA
   lokadhātuṃ vā lokadhātuśataṃ vā lokadhātusahasraṃ vā lokadhātuśatasahasraṃ	lokaDAtum vA loka DAtu Satam vA loka DAtu sahasram vA loka DAtu Sata sahasram
   vā lokadhātukoṭīniyutaśatasahasraṃ vā gatvā vīryapāramitāyāṃ sthitvāntaśa	vA lokaDAtu kowI niyuta Sata sahasram vA gatvA vIrya pAramitAyAm sTitvA antaSa
   ekasattvam apy anuttarāyāṃ samyaksaṃbodhau pratiṣṭhāpayati, saced	eka sattvam api anuttarAyAm samyaksaMboDO pratizWApayati, saced 
   bodhisattvayānikaṃ pudgalaṃ labheta taṃ bodhicaryāsu pratiṣṭhāpayati.	boDisattva yAnikam pudgalam laBeta tam boDi caryAsu pratizWApayati.
   śrāvakayānikaṃ pudgalaṃ śrāvakatvāya pratiṣṭhāpayati,	SrAvaka yAnikam pudgalam SrAvaka tvAya pratizWApayati,
   pratyekabuddhayānikaṃ pudgalaṃ pratyekabodhau pratiṣṭhāpayaty, antaśa	pratyekabudDa yAnikam pudgalam pratyeka boDO pratizWApayaty, antaSa
   ekasattvam api daśakuśaleṣu karmapatheṣu samādāpayati, sa tad dharmadānaṃ	eka sattvam api daSa kuSalezu karma paTezu samAdApayati, sa tat Darma dAnam
   dattvā āmiṣadānena sattvān saṃtarpayati. sa tat kuśalamūlaṃ na	dattvA Amiza dAnena sattvAn saMtarpayati. sa tat kuSala mUlam na
   śrāvakabhūmau vā na pratyekabuddhabhūmau vā pariṇāmayaty, anyatra	SrAvaka BUmO vA na pratyekabudDa BUmO vA pariNAmayaty, anyatra
   sarvasattvaiḥ sārdhaṃ sādhāraṇaṃ kṛtvānuttarāyai samyaksaṃbodhaye	sarva sattvEH sArDam sADAraNam kRtvA anuttarAyE samyaksaMboDaye
   pariṇāmayati, tathā ca pariṇāmayati yathāsya trividhā buddhir na	pariNAmayati, taTA ca pariNAmayati yaTA asya triviDA budDiH na
   pravartate, ko vā pariṇāmayati, kiṃ vā pariṇāmayati, kutra vā	pravartate, kaH vA pariNAmayati, kim vA pariNAmayati, kutra vA
   pariṇāmayati. evaṃ khalu subhūte bodhisattvo mahāsattvo vīryapāramitāyāṃ	pariNAmayati. evam Kalu suBUte boDisattvaH mahAsattvaH vIrya pAramitAyAm
   sthitvā dānapāramitāṃ parigṛhṇāti.	sTitvA dAna pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvo vīryapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH vIrya pAramitAyAm
   sthitvā śīlapāramitāṃ parigṛhṇāti?	sTitvA SIla pAramitAm parigRhNAti?
   (PSP_5:90)	(PSu _5:90)
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ prathamacittotpādam	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH praTama citta utpAdam
   upādāya, yāvad bodhimaṇḍa etasminn antare, ātmanā ca prāṇātipātāt	upAdAya, yAvat boDimaNxaH etasmin antare, AtmanA ca prANa atipAtAt 
   prativirato bhavati, parāṃś ca prāṇātipātaprativiratau samādāpayati,	prativirataH Bavati, parAn ca prANa atipAta prativiratO samAdApayati,
   prāṇātipātavirateś ca varṇaṃ bhāṣate, ye cānye prāṇātipātāt prativiratā	prANa atipAta virateH ca varNam BAzate, ye ca anye prANa atipAtAt prativiratA
   bhavanti, teṣāṃ ca varṇavādī bhavati samanujñaḥ. ātmanā cādattādānāt	Bavanti, tezAm ca varNa vAdI Bavati sa manujQaH. AtmanA ca Adatta AdAnAt
   prativirato bhavati, parāṃś cādattādānaprativiratau samādāpayati,	prativirataH Bavati, parAn ca Adatta AdAna prativiratO samAdApayati,
   adattādānavirateś ca varṇaṃ bhāṣate, ye cānye 'dattādānāt prativiratā	adatta AdAna virateH ca varNam BAzate, ye ca anye adatta AdAnAt prativiratA
   bhavanti, teṣāṃ ca varṇavādī bhavati samanujñaḥ. ātmanā ca kāmamithyācārāt	Bavanti, tezAm ca varNa vAdI Bavati sa manujQaH. AtmanA ca kAma miTyA AcArAt
   prativirato bhavati, parāṃś ca kāmamithyācāraprativiratau samādāpayati,	prativirataH Bavati, parAn ca kAma miTyA AcAra prativiratO samAdApayati,
   kāmamithyācāravirateś ca varṇaṃ bhāṣate, ye cānye kāmamithyācārāt	kAma miTyA AcAra virateH ca varNam BAzate, ye ca anye kAma miTyA AcArAt
   prativiratā bhavanti, teṣām api varṇavādī bhavati samanujñaḥ. ātmanā ca	prativiratAH Bavanti, tezAm api varNa vAdI Bavati sa manujQaH. AtmanA ca
   mṛṣāvādāt prativirato bhavati, parāṃś ca mṛṣāvādaviratau samādāpayati,	mRzAvAdAt prativirataH Bavati, parAn ca mRzAvAda viratO samAdApayati,
   mṛṣāvādavirateś ca varṇaṃ bhāṣate, ye cānye mṛṣāvādāt prativiratā	mRzAvAda virateH ca varNam BAzate, ye ca anye mRzAvAdAt prativiratA
   bhavanti, teṣām api varṇavādī bhavati samanujñaḥ. ātmanā ca paruṣavacanāt	Bavanti, tezAm api varNa vAdI Bavati sa manujQaH. AtmanA ca paruza vacanAt 
   prativirato bhavati, parāṃś ca paruṣavacanaviratau samādāpayati,	prativirataH Bavati, parAn ca paruza vacana viratO samAdApayati,
   paruṣavacanavirateś ca varṇaṃ bhāṣate, ye cānye paruṣavacanāt prativiratā	paruza vacana virateH ca varNam BAzate, ye ca anye paruza vacanAt prativiratA
   bhavanti, teṣām api varṇavādī bhavati samanujñaḥ. ātmanā ca piśunavacanāt	Bavanti, tezAm api varNa vAdI Bavati sa manujQaH. AtmanA ca piSuna vacanAt 
   prativirato bhavati, parāṃś ca piśunavacanaviratau samādāpayati,	prativirataH Bavati, parAn ca piSuna vacana viratO samAdApayati,
   piśunavacanavirateś ca varṇaṃ bhāsate, ye cānye piśunavacanāt prativiratā	piSuna vacana virateH ca varNam BAsate, ye ca anye piSuna vacanAt prativiratA
   bhavanti, teṣām api varṇavādī bhavati samanujñaḥ. ātmanā cābaddhapralāpāt	Bavanti, tezAm api varNa vAdI Bavati sa manujQaH. AtmanA ca AbadDa pralApAt 
   prativirato bhavati, parāṃś cābaddhapralāpaviratau samādāpayati,	prativirataH Bavati, parAn ca AbadDa pralApa viratO samAdApayati,
   abaddhapralāpavirateś ca varṇaṃ bhāṣate, ye 'pi cānye 'baddhapralāpāt	abadDa pralApa virateH ca varNam BAzate, ye api ca anye abadDa pralApAt 
   prativiratā bhavanti, teṣām api varṇavādī bhavati samanujñaḥ. ātmanā	prativiratAH Bavanti, tezAm api varNa vAdI Bavati samanujQaH. AtmanA
   cābhidhyāyāḥ prativirato bhavati, parāṃś cābhidhyāviratau samādāpayati,	ca aBiDyAyAH prativirataH Bavati, parAn ca aBiDya aviratO samAdApayati,
   abhidhyāvirateś ca varṇaṃ bhāṣate, ye 'pi cānye 'bhidhyāyāḥ prativiratā	aBiDyA virateH ca varNam BAzate, ye api ca anye aBiDyAyAH prativiratA
   bhavanti, teṣām api varṇavādī bhavati samanujñaḥ. ātmanā ca vyāpādāt	Bavanti, tezAm api varNa vAdI Bavati sa manujQaH. AtmanA ca vyApAdAt 
   prativirato bhavati, parāṃś ca vyāpādaviratau samādāpayati, vyāpādavirateś	prativirataH Bavati, parAn ca vyApAda viratO samAdApayati, vyApAda virateH 
   ca varṇaṃ bhāṣate, ye 'pi cānye vyāpādāt prativiratā bhavanti, teṣām api	ca varNam BAzate, ye api ca anye vyApAdAt prativiratAH Bavanti, tezAm api
   varṇavādī bhavati samanujñaḥ. ātmanā ca mithyādṛṣṭeḥ prativirato bhavati,	varNa vAdI Bavati sa manujQaH. AtmanA ca miTyA dRzweH prativirataH Bavati,
   parāṃś ca mithyādṛṣṭiviratau samādāpayati, mithyādṛṣṭivirateś ca varṇaṃ	parAn ca miTyA dRzwi viratO samAdApayati, miTyA dRzwi virateH ca varNam
   bhāṣate, (PSP_5:91) ye 'pi cānye mithyādṛṣṭeḥ prativiratā bhavanti, teṣām	BAzate, (PSu _5:91) ye api ca anye miTyA dRzweH prativiratAH Bavanti, tezAm
   api varṇavādī bhavati samanujñaḥ. sa tayā śīlapāramitayā na kāmadhātuṃ	api varNa vAdI Bavati samanujQaH. sa tayA SIla pAramitayA na kAmaDAtum
   prārthayati, na rūpadhātuṃ prārthayati, nārūpyadhātuṃ prārthayati, na	prArTayati, na rUpa DAtum prArTayati, na arUpya DAtum prArTayati, na
   śrāvakabhūmiṃ prārthayati, na pratyekabuddhabhūmiṃ prārthayati, anyatra	SrAvaka BUmim prArTayati, na pratyekabudDa BUmim prArTayati, anyatra
   tat kuśalamūlaṃ sarvasattvaiḥ sārdhaṃ sādhāraṇaṃ kṛtvānuttarāyāṃ	tat kuSala mUlam sarva sattvEH sArDam sADAraNam kRtvA anuttarAyAm
   samyaksaṃbodhau pariṇāmayati, tathā ca pariṇāmayati yathāsya trividhā	samyaksaMboDO pariNAmayati, taTA ca pariNAmayati yaTA asya triviDA
   buddhir na pravartate, ko vā pariṇāmayati, kiṃ vā pariṇāmayati, kutra vā	budDiH na pravartate, kaH vA pariNAmayati, kim vA pariNAmayati, kutra vA
   pariṇāmayati. evaṃ khalu subhūte bodhisattvo mahāsattvo vīryapāramitāyāṃ	pariNAmayati. evam Kalu suBUte boDisattvaH mahAsattvaH vIrya pAramitAyAm
   sthitvā śīlapāramitāṃ parigṛhṇāti.	sTitvA SIla pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvo vīryapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH vIrya pAramitAyAm
   sthitvā kṣāntipāramitāṃ parigṛhṇāti?	sTitvA kzAnti pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvasya mahāsattvasya prathamacittotpādam	BagavAn Aha: iha suBUte boDisattvasya mahAsattvasya praTama citta utpAdam
   upādāya yāvad bodhimaṇḍaniṣaṇṇasya manuṣyabhūto vāmanuṣyabhūto vā	upAdAya yAvat boDimaNxa nizaNNasya manuzya BUtaH vA amanuzya BUtaH vA
   cittavikṣepaṃ vā kuryād aṅgapratyaṅgāni cchitvā ādāya gacchet, tatra	citta vikzepam vA kuryAt aFga pratyaFgAni cCitvA AdAya gacCet, tatra
   bodhisattvasya mahāsattvasya vīryapāramitāyāṃ sthitasya naivaṃ bhavati, ko	boDisattvasya mahAsattvasya vIrya pAramitAyAm sTitasya na evam Bavati, kaH 
   me cchinatti vā bhinatti vā harati vā, 'nyatra cāsyaivaṃ bhavati, sulabdhā	me cCinatti vA Binatti vA harati vA, anyatra ca asya evam Bavati, sulabDA
   me lābhā yeṣām evāham arthāya kāyaṃ pariharāmi, te	me lABAH yezAm eva aham arTAya kAyam pariharAmi, te
   caivāgamyāṅgapratyaṅgāni cchitvā gacchanti, dharmatā cāsya prakṛtyā	ca eva agamya aFga pratyaFgAni cCitvA gacCanti, DarmatA ca asya prakRtyA
   sumanasikṛtā bhavati, tāni ca kuśalamūlāni na śrāvakabhūmau vā na	sumanasikRtA Bavati, tAni ca kuSala mUlAni na SrAvaka BUmO vA na
   pratyekabuddhabhūmau vā pariṇāmayaty, anyatra sarva sattvaiḥ sārdhaṃ	pratyekabudDa BUmO vA pariNAmayaty, anyatra sarva sattvEH sArDam
   sādhāraṇāni kṛtvānuttarāyāṃ samyaksaṃbodhau pariṇāmayati, tathā ca	sADAraNAni kRtvA anuttarAyAm samyaksaMboDO pariNAmayati, taTA ca
   pariṇāmayati yathāsya trividhā buddhir na bhavati, ko vā pariṇāmayati, kiṃ	pariNAmayati yaTA asya triviDA budDiH na Bavati, kaH vA pariNAmayati, kim
   vā pariṇāmayati, kutra vā pariṇāmayati. evaṃ khalu subhūte bodhisattvo	vA pariNAmayati, kutra vA pariNAmayati. evam Kalu suBUte boDisattvaH 
   mahāsattvo vīryapāramitāyāṃ sthitvā kṣāntipāramitāṃ parigṛhṇāti.	mahAsattvaH vIrya pAramitAyAm sTitvA kzAnti pAramitAm parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvo vīryapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH vIrya pAramitAyAm
   sthitvā dhyānapāramitāṃ parigṛhṇāti?	sTitvA DyAna pAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvo viviktaṃ kāmair viviktaṃ	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH viviktam kAmEH viviktam
   pāpakair akuśalair dharmaiḥ savitarkaṃ savicāraṃ vivekajaṃ prītisukhaṃ	pApakEH akuSalEH DarmEH sa vitarkam sa vicAram viveka jam prIti suKam
   prathamaṃ dhyānam upasaṃpadya viharati. vitarkavicārāṇāṃ vyupaśamād	praTamam DyAnam upasaMpadya viharati. vitarka vicArANAm vyupaSamAt 
   adhyātmaṃ saṃprasādāc cetasa ekotībhāvād avitarkam avicāraṃ samādhijaṃ	aDyAtmam saMprasAdAt cetasaH ekotIBAvAt avitarkam avicAram samADi jam
   prītisukhaṃ dvitīyaṃ dhyānam upasaṃpadya viharati. prīteś ca virāgād	prIti suKam dvitIyam DyAnam upasaMpadya viharati. prIteH ca virAgAt 
   upekṣako viharati, smṛtimān saṃprajānaṃ sukhaṃ ca kāye na (PSP_5:92)	upekzakaH viharati, smRtimAn saMprajAnam suKam ca kAye na (PSu _5:92)
   pratisaṃvedayati yat tad āryā ācakṣate, upekṣakaḥ smṛtimān sukhavihārī	pratisaMvedayati yat tat AryA Acakzate, upekzakaH smRtimAn suKa vihArI
   tṛtīyaṃ dhyānam upasaṃpadya viharati. sa sukhasya ca prahāṇād duṣkhasya ca	tRtIyam DyAnam upasaMpadya viharati. sa suKasya ca prahANAt duzKasya ca
   prahāṇāt pūrvam eva saumanasyadaurmanasyayor astaṃgamād aduṣkhāsukham	prahANAt pUrvam eva sOmanasya dOrmanasyayoH astaMgamAt aduzKa asuKam
   upekṣāsmṛtipariśuddhañ caturthaṃ dhyānam upasaṃpadya viharati. sa	upekzA smRti pariSudDan caturTam DyAnam upasaMpadya viharati. sa
   sarvasattveṣu sukhasaṃjñāmanasikārād maitrīm apramāṇām upasaṃpadya	sarva sattvezu suKa saMjQA manasikArAt mEtrIm apramANAm upasaMpadya
   viharati, sa sarvasattveṣu duṣkhasaṃjñāmanasikārāt karuṇām apramāṇām	viharati, sa sarva sattvezu duzKa saMjQA manasikArAt karuNAm apramANAm
   upasaṃpadya viharati, sa sarvasattveṣu pramuditāsaṃjñāmanasikārād muditām	upasaMpadya viharati, sa sarva sattvezu pramudita asaMjQA manasikArAt muditAm
   apramāṇām upasaṃpadya viharati, sa sarvasattveṣu	apramANAm upasaMpadya viharati, sa sarva sattvezu
   sukhaduḥkhasaṃjñāmanasikārād upekṣām apramāṇām upasaṃpadya viharati. sa	suKa duHKa saMjQA manasikArAt upekzAm apramANAm upasaMpadya viharati. sa
   rūpe audārikasaṃjñāyāḥ prahāṇād ākāśasaṃjñāyāś ca manasikārād	rUpe OdArika saMjQAyAH prahANAt AkASa saMjQAyAH ca manasikArAt 
   ākāśānantyāyatanam upasaṃpadya viharati, sa vijñāne śāntasaṃjñāyā	AkASAnantya Ayatanam upasaMpadya viharati, sa vijQAne SAnta saMjQAyA
   manasikārād vijñānānantyāyatanam upasaṃpadya viharati, sa	manasikArAt vijQAna Ananti Ayatanam upasaMpadya viharati, sa
   ākiṃcanyāyataneṣu śāntasaṃjñāmanasikārād ākiṃcanyāyatanam upasaṃpadya	AkiMcanya Ayatanezu SAnta saMjQA manasikArAt AkiMcanya Ayatanam upasaMpadya
   viharati, sa naivasaṃjñānāsaṃjñāyāḥ śāntasaṃjñāyā manasikārād	viharati, sa na eva saMjQAna asaMjQAyAH SAnta saMjQAyAH manasikArAt 
   naivasaṃjñānāsaṃjñāyatanam upasaṃpadya viharati. sa teṣām apramāṇānāñ	na eva saMjQAna asaMjQA Ayatanam upasaMpadya viharati. sa tezAm apramANAnAn 
   cārūpyasamāpattīnāṃ ca vipākan na pratigṛhṇāty, anyatra yatra	cArUpya samApattInAm ca vipAkan na pratigRhNAty, anyatra yatra
   sarvasattvānām arthe kartavyaḥ, tatropapadyate sa tān sattvān ṣaṭsu	sarva sattvAnAm arTe kartavyaH, tatra upapadyate sa tAn sattvAn zawsu
   pāramitāsu paripācayati dānapāramitāyāṃ śīlapāramitāyāṃ kṣāntipāramitāyāṃ	pAramitAsu paripAcayati dAna pAramitAyAm SIla pAramitAyAm kzAnti pAramitAyAm
   vīryapāramitāyāṃ dhyānapāramitāyāṃ prajñāpāramitāyāṃ, buddhakṣetreṇa	vIrya pAramitAyAm DyAna pAramitAyAm prajQApAramitAyAn, budDa kzetreNa
   buddhakṣetraṃ saṃkrāmati, buddhāṃś ca bhagavataḥ paryupāste paripṛcchati	budDa kzetram saMkrAmati, budDAn ca BagavataH paryupAste paripRcCati
   paripraśnīkurute kuśalamūlāvaropanatayā, tāni ca kuśalamūlāni	paripraSnIkurute kuSala mUla AvaropanatayA, tAni ca kuSala mUlAni
   sarvasattveṣu sādhāraṇāni kṛtvānuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattvezu sADAraNAni kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   tathā ca pariṇāmayati yathāsya trividhā buddhir na bhavati, ko vā	taTA ca pariNAmayati yaTA asya triviDA budDiH na Bavati, kaH vA
   pariṇāmayati, kiṃ vā pariṇāmayati, kutra vā pariṇāmayati. evaṃ khalu	pariNAmayati, kim vA pariNAmayati, kutra vA pariNAmayati. evam Kalu
   subhūte bodhisattvo mahāsattvo vīryapāramitāyāṃ sthitvā dhyānapāramitāṃ	suBUte boDisattvaH mahAsattvaH vIrya pAramitAyAm sTitvA DyAna pAramitAm
   parigṛhṇāti.	parigRhNAti.
   subhūtir āha: kathaṃ bhagavan bodhisattvo mahāsattvo vīryapāramitāyāṃ	suBUtiH Aha: kaTam Bagavan boDisattvaH mahAsattvaH vIrya pAramitAyAm
   sthitvā prajñāpāramitāṃ parigṛhṇāti?	sTitvA prajQApAramitAm parigRhNAti?
   bhagavān āha: iha subhūte bodhisattvo mahāsattvo vīryapāramitāyāṃ sthitvā	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH vIrya pAramitAyAm sTitvA
   na dānapāramitān dravyataḥ samanupaśyati na bhāvato na nimittato na	na dAna pAramitAn dravyataH samanupaSyati na BAvataH na nimittataH na
