   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   śrutaścodgṛhītaśca | alpo vā, prabhūto vā, kaccitte nirvāṇā dhimuktaṃ	SrutaH ca udgRhItaH ca | alpaH vA, praBUtaH vA, kaccit te nirvANA Dim uktam
   cittaṃ | nirvāṇābhiprāyaśca pravrajitaḥ |	cittam | nirvANa aBiprAyaH ca pravrajitaH |
   sacetpṛṣṭa omiti prajānāti | tata uttari caturṣu sthāneṣu caturbhiḥ	saced pRzwaH om iti prajAnAti | tatas uttari caturzu sTAnezu caturBiH
   kāraṇaiḥ samanveṣitavyaḥ | praṇidhānataḥ samanveṣitavyaḥ | gotrata,	kAraNEH samanvezitavyaH | praNiDAnataH samanvezitavyaH | gotrata,
   indriyataḥ | caritataśca samanveṣitavyaḥ kathayā, ceṣṭayā, cetaḥ	indriyataH | caritataH ca samanvezitavyaH kaTayA, cezwayA, cetaH
   paryāyasthānena paryeṣitavyaḥ |	paryAya sTAnena paryezitavyaH |
   tatra kathaṃ pṛcchayā praṇidhānataḥ samanveṣitavyaḥ | evaṃ paripraṣṭavyaḥ	tatra kaTam pRcCayA praNiDAnataH samanvezitavyaH | evam pariprazwavyaH
   | kutrāyuṣmān kṛtapraṇidhāna (Śbh_Sh 354) iti | śrāvakayāne,	| kutra AyuzmAn kRta praNiDAnaH (ŚB_Sh 354) iti | SrAvaka yAne,
   pratyekabuddhayāne mahāyāne [|] (Śbh_Sh 355) sa yatra yatra kṛtapraṇidhāno	pratyekabudDa yAne mahAyAne [|] (ŚB_Sh 355) sa yatra yatra kRta praNiDAnaH 
   bhaviṣyati | ta cai(trai)vātmānaṃ vyākariṣyati | evaṃ pṛcchayā	Bavizyati | te cE(trE)vAtmAnam vyAkarizyati | evam pRcCayA
   praṇidhānataḥ samanveṣitavyaḥ |	praNiDAnataH samanvezitavyaH |
   kathaṃ pṛcchayā gotramindriyaṃ caritaṃ ca [|] samanveṣitavyaṃ | sa evaṃ	kaTam pRcCayA gotram indriyam caritam ca [|] samanvezitavyam | saH evam
   paripraṣṭavyaḥ | āyuṣmānātmano gotramvā, indriyamvā, caritaṃ vā [|] kiṃ	pariprazwavyaH | AyuzmAn AtmanaH gotramvA, indriyamvA, caritam vA [|] kim
   gotrohaṃ | kīdṛśāni me indriyāṇi mṛdūni, madhyāni, tīkṣṇāni, kiṃ	go tra Uham | kIdRSAni me indriyANi mRdUni, maDyAni, tIkzNAni, kim
   rāgacaritaḥ | atha dveṣacaritaḥ | evaṃ tāvad vitarkavicārita	rAga caritaH | aTa dveza caritaH | evam tAvat vitarka vicArita
   (vicāracarita) iti | sa cetsa prājño bhavati | pū(pau)rvāparyeṇa cāmuno	(vicAra carita) iti | sa ced sa prAjQaH Bavati | pU(pO)rvAparyeNa ca amunaH 
   gotramindriyaṃ, caritañcopalakṣitaṃ bhavati | nimittīkṛtaṃ [|]	gotram indriyan, cari taQca upalakzitam Bavati | nimittIkRtam [|]
   tañcai(ccaiva)va vyākaroti | sa cetpunaryukto bhavati | na cānena	taQcE(t ca eva)va vyAkaroti | sa ced punar yuktaH Bavati | na ca anena
   paurvāparyeṇa yāvannimittīkṛtaṃ bhavati | tataścaritaṃ copalakṣitaṃ	pOrvAparyeNa yAvat nimittIkRtam Bavati | tatas caritam ca upalakzitam
   bhavati | sa pṛṣṭo na vyākaroti | tasya tata uttarakālaṃ kathayā	Bavati | sa pRzwaH na vyAkaroti | tasya tatas uttara kAlam kaTayA
   tāvattrīṇi samanveṣitavyāni | tasya purastācchrāvakayānapratisaṃyuktā	tAvat trINi samanvezitavyAni | tasya purastAt SrAvaka yAna pratisaMyuktA
   (Śbh_Sh 356) kathā karaṇīyā | citrairgamakaidhurairvacanapathaiḥsa tasyāṃ	(ŚB_Sh 356) kaTA karaNIyA | citrEH gama kEDurEH vacana paTEH sa tasyAm
   kathāyāṃ kathyamānāyāṃ sa cecchrāvakagotro bhavatyatyarthaṃ tayā kathayā	kaTAyAm kaTyamAnAyAm sa ced SrAvaka gotraH Bavati atyarTam tayA kaTayA
   prīyate | hṛṣyate, ānandījātaḥ, saumanasyajāto bhavati | (na) prasīdati	prIyate | hRzyate, AnandI jAtaH, sOmanasya jAtaH Bavati | (na) prasIdati
   nādhi (adhi)mucyate | mahāyānapratisaṃyuktāyāmvā punaḥ kathāyāṃ	na aDi (aDi)m ucyate | mahAyAna pratisaMyuktAyAm vA punar kaTAyAm
   kathyamānāyāṃ yo mahāyānagotraḥ so 'tyarthaṃ prīyate | hṛṣyate |	kaTyamAnAyAm yaH mahAyAna gotraH saH atyarTam prIyate | hRzyate |
   yāvatprasīdatyadhimucyate | śrāvakapratyekabuddhastu na tathā | sa	yAvat prasIdati aDimucyate | SrAvaka pratyekabudDaH tu na taTA | sa
   cetpunaḥ mṛdvindriyo bhavati | so 'tyarthañca prīyate | dharmasya	ced punar mRd u indriyaH Bavati | saH atyarTaQca prIyate | Darmasya
   cārthasya copalakṣaṇāya | udgrahṇāya, prativedhāya ca | madhyendriyo na,	ca arTasya ca upalakzaNAya | udgrahNa aya, prativeDAya ca | maDya indriyaH na,
   tīkṣṇendriyastu | āśu dharma copalakṣayatyudgṛhṇāti | pratividhyati	tIkzNa indriyaH tu | ASu Darma ca upalakzayati udgRhNAti | prativiDyati
   gambhīrāyāmapi kathāyāṃ kathyamānāyāṃ | sa cetpunārāgacarito bhavati | sa	gamBIrAyAm api kaTAyAm kaTyamAnAyAm | sa ced punA rAga caritaH Bavati | sa
   prasadanīyāyāṃ kathāyāṃ kathyamānāyā matyarthaṃ prasīdati ramate | kā	prasadanIyAyAm kaTAyAm kaTyamAnAyAH mati arTam prasIdati ramate | kA
   (yā)va ta(d)dhyānaṃ praviśati | cāptā ca magru (aśru?) prapātaṃ ca	(yA)va ta(d)DyAnam praviSati | ca AptA ca magru (aSru?) prapAtam ca
   snigdhasantānatāṃ, mṛducittatāṃ, dravacittatāṃ copadarśayati | saced	snigDa santAna tAM, mRdu citta tAM, drava citta tAm ca upadarSayati | saced 
   dveṣacarito bhavati | nirvedhikāyāṃ kathāyāṃ kathyamānāyāṃ	dveza caritaH Bavati | nirveDikAyAm kaTAyAm kaTyamAnAyAm
   nirvāṇapratisaṃyuktāyāṃ nirāmiṣamu[t]trasya saṃtrāsamāpadyate | yathā	nirvANa pratisaMyuktAyAm nirAmiza mu[t]trasya saMtrAsam Apadyate | yaTA
   mṛdvindriyasyoktaṃ tathātrāpi veditavyam | sa cetsa dharmānucarito bhavati	mRd u indriyasya uktam taTA atra api veditavyam | sa ced sa Darma anucaritaH Bavati
   | jānātyarthaṃ śuśrūṣate | na śrotramavadadhāti | na tathā	| jAnAtyarTam SuSrUzate | na Srotram avadaDAti | na taTA
   prajñācittamupasthāpayati | (Śbh_Sh 357) āvarjito 'pi na tathā	prajQA cittam upasTApayati | (ŚB_Sh 357) AvarjitaH api na taTA
   sānukāramanuprayacchati | sa cetpunarvicarito (rvicārānucarito) bhavati |	sa anukAram anuprayacCati | sa ced punar vicaritaH (rvicAra anucarito) Bavati |
   tasya svavahitasyāpi cittaṃ vikṣipyate | durgṛhītagrāhī bhavati | na	tasya su avahitasya api cittam vikzipyate | durgRhIta grAhI Bavati | na
   dṛḍhaṃ gṛhṇāti | na sthiraṃ, udgṛhītañca nāśayati | na puna[ḥ] kaya(tha)yā	dRXam gRhNAti | na sTiraM, udgRhI taQca nASayati | na puna[H] kaya(Ta)yA
   paripṛcchana kaśca bhavati | evaṃ kathayā | gotramindriyaṃ caritaṃ ca	paripRcCana kaH ca Bavati | evam kaTayA | gotram indriyam caritam ca
   samanveṣitavyaṃ | kathaṃ ceṣṭayā [|] yāni pūrvoktāni liṃgāni |	samanvezitavyam | kaTam cezwayA [|] yAni pUrva uktAni liMgAni |
   śrāvakagotrasya, rāgacaritānāṃ ca pudgalānāṃ tāni ceṣṭetyucyate | tayā ca	SrAvaka gotrasya, rAga caritAnAm ca pudgalAnAm tAni cezwA iti ucyate | tayA ca
   ceṣṭayā yathāyogaṃ gotramindriyaṃ caritaṃ ca samanveṣitavyaṃ |	cezwayA yaTAyogam gotram indriyam caritam ca samanvezitavyam |
   tatra kathaṃ cetaḥparyāyajñānena gotrendriyacaritāni samanveṣitavyāni |	tatra kaTam cetaH paryAya jQAnena gotra indriya caritAni samanvezitavyAni |
   yathāpi sa yogī yogajño lābhī bhavati cetaḥ paryāyajñānasya [|] sa tena	yaTA api sa yogI yoga jQaH lABI Bavati cetaH paryAya jQAnasya [|] sa tena
   paracittajñānena gotramindriyaṃ, caritaṃ ca yathābhūtaṃ prajānāti |	para citta jQAnena gotram indriyan, caritam ca yaTABUtam prajAnAti |
   (Śbh_Sh 358) etāni catvāri sthānānyebhiścaturbhiḥ kāraṇaissamanveṣya	(ŚB_Sh 358) etAni catvAri sTAnAni eBiH caturBiH kAraNEH samanvezya
   pañcasu sthāneṣu vinayate | tadyathā samādhisaṃbhārarakṣopacaye,	paQcasu sTAnezu vinayate | tat yaTA samADi saMBAra rakzA upacaye,
   prāvivekye, cittaikāgratāyāḥ(yāṃ), āvaraṇaviśuddhau, manaskārabhāvanāyāṃ	prAvivekye, citta ekAgra tAyAH(yAM), AvaraNa viSudDO, manaskAra BAvanAyAm
   ca | tatra samādhisaṃbhārarakṣopacayaḥ yāvatā śīlasamvareṇa samanvāgato	ca | tatra samADi saMBAra rakzA upacayaH yAvatA SIla samvareNa samanvAgataH 
   bhavati | tatra	Bavati | tatra
   cāpramādavihārī bhavatyapapariṇāya buddhānuśiṣṭasya ca buddhānujñātasya	ca apramAda vihArI Bavati apapariNAya budDa anuSizwasya ca budDa anujQAtasya
   pudgalasya, śīlaskandhasya śikśāpadapratipattyā vīryaṃ na sransa	pudgalasya, SIla skanDasya SikSApada pratipattyA vIryam na sran sa
   (sraṃsa)yati | evamayamavigatācchīlapratisamvarācchi kṣāmārgānna	(sraMsa)yati | evam ayam avigatAt SIla pratisamvarAt Ci kzAma argAn na
   parihīyate | anadhigataṃ ca śikṣāmārgamadhigacchati | yathā śīlasamvara	parihIyate | anaDigatam ca SikzA mArgam aDigacCati | yaTA SIla samvara
   evamindriyasamvaraḥ, bhojane mātrajñatā, pūrvarātrāpararātraṃ	evam indriya samvaraH, Bojane mAtra jQa tA, pUrva rAtra apararAtram
   jāgarikānuyogaḥ, saṃprajānadvihāritā, evaṃ yāvacchramaṇālaṃkāra iti |	jAgarika anuyogaH, saMprajAnat vihAritA, evam yAvat SramaNa alaMkAraH iti |
   yasya yasya saṃbhāraparigṛhītasya dharmapravibhāgasya lābhī bhavati | sa	yasya yasya saMBAra parigRhItasya Darma praviBAgasya lABI Bavati | sa
   taṃ vā rakṣatyuttari (raṃ) ca pravibhāgasya pāripūraye |	tam vA rakzati uttari (raM) ca praviBAgasya pAripUraye |
   yathoktādbhūrādhikakasamudācārāya [c]chandajāto viherayu(ret) mu(mū)kajāta	yaTA uktAt BUra aDikaka samudAcArAya [c]Canda jAtaH vihera yu(ret) mu(mU)ka jAta
   ārubdhavīryaścāyamucyate samādhisaṃbhārarakṣopacayaḥ | sa evaṃ	ArubDa vIryaH ca ayam ucyate samADi saMBAra rakzA upacayaH | saH evam
   hānabhāgīyāṃśca dharmān virajyati, śeṣabhāgīyāṃśca dharmān pratiṣevamāṇaḥ	hAna BAgIyAn= ca DarmAn virajyati, SezaBAgIyAn= ca DarmAn pratizevamANaH
   praviviktavihārī bhavati |	pravivikta vihArI Bavati |
   (Śbh_Sh 359)	(ŚB_Sh 359)
   prāvivekyaṃ katamat | yā sthānasampadīryāpathasampat | tatra	prAvivekyam katamat | yA sTAna sampadIryApaTa sampad | tatra
   sthānasampattadyathā | araṇyamvā, vṛkṣamūlamvā, śūnyāgāramvā tatra	sTAna sampad tat yaTA | araNyamvA, vRkza mUlamvA, SUnya AgAram vA tatra
   parvatakandaraṃ vā, giriguhā vā, palālapuṃjāni vā śūnyāgāramityucyate |	parvata kandaram vA, giri guhA vA, palAla puMjAni vA SUnya AgAram iti ucyate |
   tatra vanaprasthaṃ vṛkṣamūlamityucyate | tatrābhyavakāśaṃ, śmaśānaṃ,	tatra vana prasTam vRkza mUlam iti ucyate | tatra aByavakASaM, SmaSAnaM,
   prāntaśca śayanāsanamaraṇyamityucyate | tadidamabhisamasya sthānaṃ	prAntaH ca Sayana Asanam araNyam iti ucyate | tat idam aBisamasya sTAnam
   veditavyaṃ |	veditavyam |
   yadutāraṇyavṛkṣamūlaśūnyāgāraparvatagiriguhāpalālapuṃjābhyavakāśaśmaśānavanaprasthāni	yat uta araNya vRkza mUla SUnya AgAra parvata giri guhA palAla puMja aByavakASa SmaSAna vana prasTAni
   prāntāni śayanāsanāni | sthānasampatpunaḥ pañcavidhā | iha sthānamādita	prAntAni Sayana AsanAni | sTAna sampad punar paQcaviDAH | iha sTAnam Adita
   evābhirūpaṃ bhavati | darśanīyaṃ prāsādikamārāmasampannaṃ, vanasampannaṃ,	eva aBirUpam Bavati | darSanIyam prAsAdikam ArAma sampannan, vana sampannaM,
   puṣkariṇīsampannaṃ, śubhaṃ, ramaṇīyaṃ, notkūlanikūlaṃ, na	puzkariNI sampannan, SuBaM, ramaNIyan, na utkUla nikUlaM, na
   sthāṇukaṇṭakadhānaṃ | na bahupāṣāṇaśarkarakapālaṃ | yatrāsya dṛṣṭavā	sTANu kaNwaka DAnam | na bahu pAzANa Sarkara kapAlam | yatra asya dRzwavA
   cittamabhiprasīdati | vāsāya, prahāṇāya, prayogāya | hṛṣṭacittaḥ |	cittam aBiprasIdati | vAsAya, prahANAya, prayogAya | hRzwa cittaH |
   pramuditacittaḥ | prahāṇaṃ pradadhāti iyaṃ prathamā sthānasampat |	pramudita cittaH | prahANam pradaDAti iyam praTamA sTAna sampad |
   punarayaṃ (ridaṃ) na divā alpavilokaṃ bhavati |	punar ayam (ridaM) na divA alpa vilokam Bavati |
   rātrāvalpaśabdavanyanirghoṣamalpadaṃśamaśakavātātapasarīsṛpasaṃsparśamiyaṃdvitīyā	rAtrO= alpa Sabda vanya nirGozam alpa daMSa maSaka vAta Atapa sarIsRpa saMsparSam iyaMdvitIyA
   sthānasampat | yatpunaraparaṃ	sTAna sampad | yat punar aparam
   siṃhavyāghradvīpitaskaraparacakramanuṣyāmanuṣyabhayabhairavāpagataṃbhavati	siMha vyAGra dvIpi taskara para cakra manuzya amanuzya Baya BErava apagataMBavati
   | yatra viśvasto niḥśaṃkitamānasaḥ | sukhaṃ sparśaṃ viharati | itīyaṃ	| yatra viSvastaH niHSaMkita mAnasaH | suKam sparSam viharati | iti iyam
   tṛtīyā sthānasampat | (Śbh_Sh 360) punaraparaṃ ye te ānulomikā	tRtIyA sTAna sampad | (ŚB_Sh 360) punar aparam ye te AnulomikA
   jīvitapariṣkārāścī varādayaḥ | te [a]trālpakṛcchreṇa sampadyante | yenāyaṃ	jIvita parizkArAH cI vara AdayaH | te [a]tra alpa kRcCreNa sampadyante | yena ayam
   piṇḍakena na klāmyati | yatrāsamvidhāna iyaṃ caturthī sthānasampat |	piNxakena na klAmyati | yatra asamviDAnaH iyam caturTI sTAna sampad |
   punarapatraṃ(raṃ) kalyāṇamitraparigṛhītaṃ bhavati | tadrūpā atra vijñāḥ	punar apatraM(raM) kalyANa mitra parigRhItam Bavati | tad rUpAH atra vijQAH
   sabrahmacāriṇaḥ prativasanti | yesyākṛtāni nottānīkurvanti | gaṃbhīraṃ	sabrahmacAriNaH prativasanti | yesya akRtAni na uttAnIkurvanti | gaMBIram
   cārthapadaṃ prajñayā pratividhya suṣṭhu ca prakāśayanti | jñānadarśanasya	ca arTa padam prajQayA prativiDya suzWu ca prakASayanti | jQAna darSanasya
   viśuddhaye | iyaṃ pañcamī sthānasampat |	viSudDaye | iyam paQcamI sTAna sampad |
   tatra katamā īryāpathasampat | divā caṃkrameṇa vātināmayati | niṣadya	tatra katamA IryApaTa sampad | divA caMkrameNa vA atinAmayati | nizadya
   yāvatā evaṃ rātryāḥ prathamaṃ yāmaṃ, madhyame na (ca) yāme dakṣiṇena	yAvatA evam rAtryAH praTamam yAman, maDyame na (ca) yAme dakziNena
   pārśvena (ṇa) śayyāṃ kalpayati | paścime ca yāme laghulaghvevottiṣṭhate |	pArSvena (Na) SayyAm kalpayati | paScime ca yAme laGu laGu A iva uttizWate |
   caṃkramaniṣadyayā vātināmayati | tasminnidaṃ sampanne śayanāsane, tathā	caMkram anizadyayA vA atinAmayati | tasmin= idam sampanne Sayana Asane, taTA
   buddhānujñāte mañce vā, pīṭhe vā, tṛṇe vā, saṃstaraṇe vā niṣīdati |	budDa anujQAte maQce vA, pIWe vA, tRNe vA, saMstaraNe vA nizIdati |
   paryaṅkamābhujya tu | kena kāraṇena pañca kāraṇāni samanupaśyan	paryaFkam ABujya tu | kena kAraNena paQca kAraNAni samanupaSyan
   saṃpiṇḍitena kāyena praśrabdhirutpadyate | praśrabdhyutpattaye	saMpiNxitena kAyena praSrabDiH utpadyate | praSrabDi utpattaye
   anukūloyamīryāpatha (Śbh_Sh 361) iti | tathā cārikā [kā]laṃ niṣadyayāśakto	anukUloyam IryApaTa (ŚB_Sh 361) iti | taTA cArikA [kA]lam nizadyayA aSaktaH 
   vyatināmayituṃ | nā cāsyāneneryāpathena kāyakleśo bhavati | tathā	vyatinAmayitum | nA ca asya anena IryA paTena kAya kleSaH Bavati | taTA
   asādhāraṇoyamīryāpathonyatīrthikaiḥ | parapravādibhiḥ | tathā pare	asADAraNa uyamIrya apaTonya tIrTikEH | para pravAdiBiH | taTA pare
   aneneryāpathena niṣaṇṇaṃ dṛṣṭvā atyarthamabhiprasīdanti buddhaiśca	anena IryApaTena nizaNNam dRzwvA atyarTam aBiprasIdanti budDEH ca
   buddhaśrāvakaiścāyaṃ īryāpatho niṣevitaścānujñātaśca [|] imāni	budDa SrAvakEH ca ayam IryA paTaH nizevitaH ca anujQAtaH ca [|] imAni
   paṃcakāraṇāni | saṃpaśyati niṣīdati | paryaṅkamābhujya ṛjuṃ kāyaṃ	paMca kAraNAni | saMpaSyati nizIdati | paryaFkam ABujyaH Rjum kAyam
   praṇidhāya |	praNiDAya |
   tatra katamā kāyasaṃjñatā | kāyasya spaṣṭocchritapraṇihitatā | cittena na	tatra katamA kAya saMjQa tA | kAyasya spazwa ucCrita praNihita tA | cittena na
   niḥśocyena kuhanāpagatenārjavena | tatra ṛjunā kāyena pragṛhītena	niHSocyena kuhana apagatena Arjavena | tatra RjunA kAyena pragRhItena
   styānamiddhaṃ cittaṃ na paryādāya tiṣṭhati | niṣkuhakena citte bahirdhā	styAnam idDam cittam na paryAdAya tizWati | nizkuhakena citte bahirDA
   vikṣepo na paryādāya tiṣṭhati | pratimukhāṃ (khīṃ) smṛtimupasthāpya |	vikzepaH na paryAdAya tizWati | pratimuKAm (KIM) smRtim upasTApya |
   tatra katamā pratimukhā(khī) smṛtiḥ | yāmupasthāpayati yoniśo	tatra katamA pratimuKa a( KI) smRtiH | yAm upasTApayati yoni So
   manasikārasaṃprayuktā smṛtiḥ pra[ti]mukhe (khī)tyucyate |	manasikAra saMprayuktA smRtiH pra[ti]muKe (KI)ti ucyate |
   sarvakṛṣṇapakṣapramukhatayā, prativilomatayā | api ca	sarva kRzNa pakza pramuKa tayA, prativiloma tayA | api ca
   samādhinimittālambanā pratibhālambanā smṛtiḥ pratimukhe (khī) tyucyate |	samADi nimitta AlambanA pratiBA AlambanA smRtiH pratimuKe (KI) ti ucyate |
   sarvasamāhitabhūmikālambanapramukhatayā iyamucyate īryāpathasampat |	sarva samAhita BUmikA Alambana pramuKa tayA iyam ucyate IryApaTa sampad |
   (Śbh_Sh 362)	(ŚB_Sh 362)
   vyapakarṣaḥ katamaḥ | āha | dvividhaḥ kāyavyapakarṣaḥ | cittavyapakarṣaśca	vyapakarzaH katamaH | Aha | dviviDaH kAya vyapakarzaH | citta vyapakarzaH ca
   | tatra kāyavyapakarṣo yo gṛhasthapravrajitaiḥ sārdhamavihāritā || tatra	| tatra kAya vyapakarzaH yaH gRhasTa pravrajitEH sArDam avihAritA || tatra
   cittavyapakarṣaḥ yaḥ kliṣṭamavyākṛtaṃ ca manaskāraṃ ca varjayitvā |	citta vyapakarzaH yaH klizwam avyAkRtam ca manaskAram ca varjayitvA |
   samāhitabhūmikaṃ vā samādhisaṃbhāraprāyogikaṃ vā manaskāraṃ bhāvayati |	samAhita BUmikam vA samADi saMBAra prAyogikam vA manaskAram BAvayati |
   kuśalamarthopasaṃhitamayamucyate cittavyapakarṣaḥ | tatra sthānasampat yā	kuSalam arTa upasaMhitam ayam ucyate citta vyapakarzaH | tatra sTAna sampad yA
   ceyamīryāpathasampat | yaścāyaṃ kāyavyakarṣaḥ | yaśca cittavyapakarṣaḥ	ca iyam IryApaTa sampad | yaH ca ayam kAya vyakarzaH | yaH ca citta vyapakarzaH
   (yaścittavyapakarṣas)tadekatyamabhisaṃkṣipya prāvivekyamityucyate |	(yaH citta vyapakarza s)tad ekatyam aBisaMkzipya prAvivekyam iti ucyate |
   tatraikāgratā katamā | āha | punaḥ punaḥ smṛtisabhāgālambanā	tatra ekAgra tA katamA | Aha | punar punar smRti saBAga AlambanA
   pravāhānavadyaratiyuktā | cittasantatiryā sā samādhirityucyate |	pravAha anavadya rati yuktA | cittasantatiH yA sA samADiH iti ucyate |
   kuśalacittaikāgratāpi [|] kiṃ punaḥ punaranusmarati | āha | ye dharmā	kuSala citta ekAgra tA api [|] kim punar punar anusmarati | Aha | ye DarmA
   udgṛhītā[ḥ] śrutā, yā cāvavādānuśāsanī pratilabdhā bhavati |	udgRhItA[H] SrutA, yA ca avavAda anuSAsanI pratilabDA Bavati |
   gurubhyastāmadhipatiṃ kṛtvā samāhitabhūmikanimittaṃ saṃmukhīkṛtya	guruByaH tAm aDipatim kRtvA samAhita BUmika nimittam saMmuKIkRtya
   tadālambanāṃ pravāhayuktāṃ smṛtimanuvarttayati | (Śbh_Sh 363)	tad AlambanAm pravAha yuktAm smRtim anuvarttayati | (ŚB_Sh 363)
   upanibadhnāti | tatra katamatsabhāgālambanaṃ |	upanibaDnAti | tatra katamat sa BAga Alambanam |
   yatkiṃcitsamāhitabhūmikamālambanamanekavidhaṃ | bahunānāprakāraṃ |	yat kiMcid samAhita BUmikam Alambanam anekaviDam | bahu nAnA prakAram |
   yenālambane cittaṃ paraṃ samāhitamidamucyate | sabhāgamālambanaṃ [|]	yena Alambane cittam param samAhitam idam ucyate | saBAgam Alambanam [|]
   kasyaitat | sabhāgaṃ [|] āha | kṣayasya vastunaḥ	kasya etat | sa BAgam [|] Aha | kzayasya vastunaH
   pratirūpakametattasmātsabhāgamityucyate | yā punarabhikṣayākārānichidrā	pratirUpakam etat tasmAt saBAgam iti ucyate | yA punar aBikzaya AkAra aniCidrA
   (niśchidrā) nirantarā smṛtiḥ pravartate | tenālambanena satataṃ ca	(niSCidrA) nirantarA smRtiH pravartate | tena Alambanena satatam ca
   satkṛtya ceyaṃ pravāhayuktatā | yatpunastasminnevālambane	satkRtya ca iyam pravAha yukta tA | yat punar tasmin= eva Alambane
   abhiratasyāsaṃkliṣṭavihāritā | vāhimārgatā smṛtiriyamavadyaratiyuktatā |	aBiratasya asaMklizwa vihAritA | vA ahi mArga tA smRtiH iyam avadya rati yukta tA |
   tenāha punaḥ punaraparānusmṛtisabhāgālambanapravāhānavadyaratiyuktā citta	tena Aha punar punar apara anusmRti saBAga Alambana pravAha anavadya rati yuktA citta
   santatiḥ | samādhiriti sā khalveṣā ekāgratā śamathapakṣyā vipaśyanāpakṣyā	santatiH | samADiH iti sA Kalu ezA ekAgra tA SamaTa pakzyA vipaSyanA pakzyA
   ca | tatra yā navākārāyāṃ cittasaṃtathau (sthitau) vā [sā] śamathapakṣyā,	ca | tatra yA nava AkArAyAm citta saMtaTO (sTitO) vA [sA] SamaTa pakzyA,
   yā punaścaturvidhe prajñādhāre sā vipaśyanāpakṣyā |	yA punar caturviDe prajQA ADAre sA vipaSyana apakzyAH |
   tatra navākārā cittasthitiḥ katamā | iha bhikṣuradhyātmameva cittaṃ	tatra nava AkArA citta sTitiH katamA | iha BikzuH aDyAtmam eva cittam
   sthāpayati | saṃsthāpayati | avasthāpayatyupasthāpayati | damayati |	sTApayati | saMsTApayati | avasTApayati upasTApayati | damayati |
   śamayati | (Śbh_Sh 364) vyupaśamayati | ekotīkaroti | samādhatte [|]	Samayati | (ŚB_Sh 364) vyupaSamayati | ekotIkaroti | samADatte [|]
   kathaṃ sthāpayati | sarvabāhyebhya ālambanebhyaḥ	kaTam sTApayati | sarva bAhyeByaH AlambaneByaH
   pratisaṃkṣipyādhyātmamavikṣepāyopanibaghnāti | yattatprathamopanibaddho	pratisaMkzipya aDyAtmam avikzepAya upanibaGnAti | yat tat praTama upanibadDaH 
