   uparivibhāgaḥ	upari viBAgaH
   gatvā cāndrāyaṇaṃ kuryāt tathā carmopajīvinīm // KūrmP_2,32.36 //	gatvA cAndrAyaNam kuryAt taTA carma upajIvinIm // KUrmP_2,32.36 //
   brahāmacārī striyaṃ gacchet kathañcitkāmamohitaḥ /	brahAma cArI striyam gacCet kaTaQcid kAma mohitaH /
   saptagāraṃ cared bhaikṣaṃ vasitvā gardabhājinam // KūrmP_2,32.37 //	sapta gAram caret BEkzam vasitvA gardaBa ajinam // KUrmP_2,32.37 //
   upaspṛśet triṣavaṇaṃ svapāpaṃ parikīrtayan /	upaspRSet trizavaNam sva pApam parikIrtayan /
   saṃvatsareṇa caikena tasmāt pāpāt pramucyate // KūrmP_2,32.38 //	saMvatsareNa ca ekena tasmAt pApAt pramucyate // KUrmP_2,32.38 //
   brahmahatyāvrataṃ vāpi ṣaṇmāsānācared yamī /	brahma hatyA vratam vA api zaz mAsAn Acaret yamI /
   mucyate hyavakīrṇo tu brāhmaṇānumate sthitaḥ // KūrmP_2,32.39 //	mucyate hi avakIrNaH tu brAhmaNa anumate sTitaH // KUrmP_2,32.39 //
   saptarātramakṛtvā tu bhaikṣacaryāgnipūjanam /	sapta rAtram akRtvA tu BEkza caryA agni pUjanam /
   retasaśca samutsarge prāyaścittaṃ samācaret // KūrmP_2,32.40 //	retasaH ca samutsarge prAyaScittam samAcaret // KUrmP_2,32.40 //
   oṅkārapūrvikābhistu mahāvyāhṛtibhiḥ sadā /	oFkAra pUrvikABiH tu mahAvyAhRtiBiH sadA /
   saṃvatsaraṃ tu bhuñjāno naktaṃ bhikṣāśanaḥ śuciḥ // KūrmP_2,32.41 //	saMvatsaram tu BuQjAnaH naktam BikzA aSanaH SuciH // KUrmP_2,32.41 //
   sāvitrīṃ ca japeccaiva nityaṃ krodhavivarjitaḥ /	sAvitrIm ca japet ca eva nityam kroDa vivarjitaH /
   nadītīreṣu tīrtheṣu tasmāt pāpād vimucyate // KūrmP_2,32.42 //	nadI tIrezu tIrTezu tasmAt pApAt vimucyate // KUrmP_2,32.42 //
   hatvā tu kṣatriyaṃ vipraḥ kuryād brahmahaṇo vratam /	hatvA tu kzatriyam vipraH kuryAt brahma haNaH vratam /
   akāmato vai ṣaṇmāsān dadyān pañcaśataṃ gavām // KūrmP_2,32.43 //	akAmatas vE zaz mAsAn dadyAn paQca Satam gavAm // KUrmP_2,32.43 //
   abdaṃ careta niyato vanavāsī samāhitaḥ /	abdam careta niyataH vana vAsI samAhitaH /
   prājāpatyaṃ sāntapanaṃ taptakṛcchraṃ tu vā svayam // KūrmP_2,32.44 //	prAjApatyam sAntapanam taptakRcCram tu vA svayam // KUrmP_2,32.44 //
   pramāpyākāmato vaiśyaṃ kuryāt saṃvatsaradvayam /	pramApya akAmatas vESyam kuryAt saMvatsara dvayam /
   gosahasraṃ sapādaṃ ca dadyād brahmahaṇo vratam /	go sahasram sa pAdam ca dadyAt brahma haNaH vratam /
   kṛcchrātikṛcchrau vā kuryāccāndrāyaṇamathāvi vā // KūrmP_2,32.45 //	kRcCra atikRcCrO vA kuryAt cAndrAyaNam aTa Avi vA // KUrmP_2,32.45 //
   saṃvatsaraṃ vrataṃ kuryācchūdraṃ hatvā pramādataḥ /	saMvatsaram vratam kuryAt SUdram hatvA pramAdataH /
   gosahasrārdhapādaṃ ca dadyāt tatpāpaśāntaye // KūrmP_2,32.46 //	go sahasra arDa pAdam ca dadyAt tad pApa SAntaye // KUrmP_2,32.46 //
   aṣṭau varṣāṇi ṣaṭ trīṇi kuryād brahmahaṇo vratam /	azwO varzANi zax trINi kuryAt brahma haNaH vratam /
   hatvā tu kṣatriyaṃ vaiśyaṃ śūdraṃ caiva yathākramam // KūrmP_2,32.47 //	hatvA tu kzatriyam vESyam SUdram ca eva yaTAkramam // KUrmP_2,32.47 //
   nihatya brāhmaṇīṃ viprastvaṣṭavarṣaṃ vrataṃ caret /	nihatya brAhmaNIm vipraH tu azwa varzam vratam caret /
   rājanyāṃ varṣaṣaṭkaṃ tu vaiśyāṃ saṃvatsaratrayam /	rAjanyAm varza zawkam tu vESyAm saMvatsara trayam /
   vatsareṇa viśuddhyeta śūdrāṃ hatvā dvijottamaḥ // KūrmP_2,32.48 //	vatsareNa viSudDyeta SUdrAm hatvA dvijottamaH // KUrmP_2,32.48 //
   vaiśyāṃ hatvā pramādena kiñcid dadyād dvijātaye /	vESyAm hatvA pramAdena kiQcid dadyAt dvijAtaye /
   antyajānāṃ vadhe caiva kuryāccāndrāyaṇaṃ vratam /	antyajAnAm vaDe ca eva kuryAt cAndrAyaNam vratam /
   parākeṇāthavā śuddhirityāha bhagavānajaḥ // KūrmP_2,32.49 //	parAkeNa aTavA SudDiH iti Aha BagavAn ajaH // KUrmP_2,32.49 //
   maṇḍūkaṃ nakulaṃ kākaṃ dandaśūkaṃ ca mūṣikam /	maNxUkam nakulam kAkam dandaSUkam ca mUzikam /
   śvānaṃ hatvā dvijaḥ kuryāt ṣoḍaśāṃśaṃ vrataṃ tataḥ // KūrmP_2,32.50 //	SvAnam hatvA dvijaH kuryAt zoxaSa aMSam vratam tatas // KUrmP_2,32.50 //
   payaḥ pibet trirātraṃ tu śvānaṃ hatvā suyantritaḥ /	payaH pibet tri rAtram tu SvAnam hatvA su yantritaH /
   mārjāraṃ vātha nakulaṃ yojanaṃ vādhvano vrajet /	mArjAram vA aTa nakulam yojanam vA aDvanaH vrajet /
   kṛcchraṃ dvādaśarātraṃ tu kuryādaśvavadhe dvijaḥ // KūrmP_2,32.51 //	kRcCram dvAdaSa rAtram tu kuryAt aSva vaDe dvijaH // KUrmP_2,32.51 //
   abhrīṃ kārṣṇāyasīṃ dadyāt sarpaṃ hatvā dvijottamaḥ /	aBrIm kArzNAyasIm dadyAt sarpam hatvA dvijottamaH /
   palālabhāraṃ ṣaṇḍaṃ ca saisakaṃ caikamāṣakam // KūrmP_2,32.52 //	palAla BAram zaNxam ca sEsakam ca eka mAzakam // KUrmP_2,32.52 //
   dhṛtakumbhaṃ varāhaṃ ca tiladroṇaṃ ca tittirim /	DRta kumBam varAham ca tila droNam ca tittirim /
   śukaṃ dvihāyanaṃ vatsaṃ krauñcaṃ hatvā trihāyanam // KūrmP_2,32.53 //	Sukam dvi hAyanam vatsam krOQcam hatvA tri hAyanam // KUrmP_2,32.53 //
   hatvā haṃsaṃ balākāṃ ca bakaṃ barhiṇameva ca /	hatvA haMsam balAkAm ca bakam barhiNam eva ca /
   vānaraṃ śyenabhāsau ca sparśayed brāhmaṇāya gām // KūrmP_2,32.54 //	vAnaram Syena BAsO ca sparSayet brAhmaNAya gAm // KUrmP_2,32.54 //
   kravyādāṃstu mṛgān hatvā dhenuṃ dadyāt payasvinīm /	kravyAdAn= tu mRgAn hatvA Denum dadyAt payasvinIm /
   akravyādān vatsatarīmuṣṭraṃ hatvā tu kṛṣṇalam // KūrmP_2,32.55 //	akravyAdAn vatsatarIm uzwram hatvA tu kRzNalam // KUrmP_2,32.55 //
   kiñcideva tu viprāya dadyādasthimatāṃ vadhe /	kiQcid eva tu viprAya dadyAt asTimatAm vaDe /
   anasthnāṃ caiva hiṃsāyāṃ prāṇāyāmena śudhyati // KūrmP_2,32.56 //	anasTnAm ca eva hiMsAyAm prANAyAmena SuDyati // KUrmP_2,32.56 //
   phaladānāṃ tu vṛkṣāṇāṃ chedane japyamṛkśatam /	Pala dAnAm tu vRkzANAm Cedane japyam Rc Satam /
   gulmavallīlatānāṃ tu puṣpitānāṃ ca vīrudhām // KūrmP_2,32.57 //	gulma vallI latAnAm tu puzpitAnAm ca vIruDAm // KUrmP_2,32.57 //
   anyeṣāṃ caiva vṛkṣāṇāṃ sarasānāṃ ca sarvaśaḥ /	anyezAm ca eva vRkzANAm sarasAnAm ca sarvaSas /
   phalapuṣpodbhavānāṃ ca ghṛtaprāśo viśodhanam // KūrmP_2,32.58 //	Pala puzpa udBavAnAm ca GRta prASaH viSoDanam // KUrmP_2,32.58 //
   hastināṃ ca vadhe dṛṣṭaṃ taptakṛcchraṃ viśodhanam /	hastinAm ca vaDe dRzwam taptakRcCram viSoDanam /
   cāndrāyaṇaṃ parākaṃ vā gāṃ hatvā tu pramādataḥ /	cAndrAyaNam parAkam vA gAm hatvA tu pramAdataH /
   matipūrvaṃ vadhe cāsyāḥ prāyaścittaṃ na vidyate // KūrmP_2,32.59 //	mati pUrvam vaDe ca asyAH prAyaScittam na vidyate // KUrmP_2,32.59 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge dvātriśo 'dhyāyaḥ	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge dvAtriSaH aDyAyaH
   vyāsa uvāca	vyAsaH uvAca
   manuṣyāṇāṃ tu haraṇaṃ kṛtvā strīṇāṃ gṛhasya ca /	manuzyANAm tu haraNam kRtvA strINAm gRhasya ca /
   vāpīkūpajalānāṃ ca śudhyeccāndrāyaṇena tu // KūrmP_2,33.1 //	vApI kUpa jalAnAm ca SuDyet cAndrAyaNena tu // KUrmP_2,33.1 //
   dravyāṇāmalpasārāṇāṃ steyaṃ kṛtvānyaveśmataḥ /	dravyANAm alpa sArANAm steyam kRtvA anya veSmataH /
   caret sāṃtapanaṃ kṛcchraṃ tanniryātyātmaśuddhaye // KūrmP_2,33.2 //	caret sAMtapanam kRcCram tat niryAti Atma SudDaye // KUrmP_2,33.2 //
   dhānyānnadhanacauryaṃ tu kṛtvā kāmād dvijottamaḥ /	DAnya anna Dana cOryam tu kRtvA kAmAt dvijottamaH /
   svajātīyagṛhādeva kṛcchrārdhena viśuddhyati // KūrmP_2,33.3 //	sva jAtIya gRhAt eva kRcCra arDena viSudDi ati // KUrmP_2,33.3 //
   bhakṣabhojyāpaharaṇe yānaśayyāsanasya ca /	Bakza Bojya apaharaNe yAna SayyA Asanasya ca /
   puṣpamūlaphalānāṃ ca pañcagavyaṃ viśodhanam // KūrmP_2,33.4 //	puzpa mUla PalAnAm ca paQcagavyam viSoDanam // KUrmP_2,33.4 //
   tṛṇakāṣṭhadrumāṇāṃ ca śuṣkānnasya guḍasya ca /	tRNa kAzWa drumANAm ca Suzka annasya guxasya ca /
   cailacarmāmiṣāṇāṃ ca trirātraṃ syādabhojanam // KūrmP_2,33.5 //	cEla carma AmizANAm ca tri rAtram syAt aBojanam // KUrmP_2,33.5 //
   maṇimuktāpravālānāṃ tāmrasya rajatasya ca /	maNi muktA pravAlAnAm tAmrasya rajatasya ca /
   ayaḥ kāṃsyopalānāṃ ca dvādaśāhaṃ kaṇāśanam // KūrmP_2,33.6 //	ayaH kAMsya upalAnAm ca dvAdaSa aham kaNA aSanam // KUrmP_2,33.6 //
   kārpāsakīṭajorṇānāṃ dviśaphaikaśaphasya ca /	kArpAsa kIwaja UrNAnAm dviSaPa ekaSaPasya ca /
   pakṣigandhauṣadhīnāṃ ca rajvāścaiva tryahaṃ payaḥ // KūrmP_2,33.7 //	pakzi ganDa ozaDInAm ca rajvAH ca eva tri aham payaH // KUrmP_2,33.7 //
   naramāṃsāśanaṃ kṛtvā cāndrāyaṇamathācaret /	nara mAMsa aSanam kRtvA cAndrAyaNam aTa Acaret /
   kākaṃ caiva tathā śvānaṃ jagdhvā hastinameva ca /	kAkam ca eva taTA SvAnam jagDvA hastinam eva ca /
   varāhaṃ kukkuṭaṃ cātha taptakṛcchreṇa śudhyati // KūrmP_2,33.8 //	varAham kukkuwam ca aTa taptakRcCreNa SuDyati // KUrmP_2,33.8 //
   kravyādānāṃ ca māṃsāni purīṣaṃ mūtrameva ca /	kravyAdAnAm ca mAMsAni purIzam mUtram eva ca /
   gogomāyukapīnāṃ ca tadeva vratamācaret /	go gomAyuka pInAm ca tat eva vratam Acaret /
   upoṣya dvādaśāhaṃ tu kūṣmāṇḍairjuhuyād ghṛtam // KūrmP_2,33.9 //	upozya dvAdaSa aham tu kUzmANxEH juhuyAt GRtam // KUrmP_2,33.9 //
   nakulolūkamārjāraṃ jagdhvā sāṃtapanaṃ caret /	nakula ulUka mArjAram jagDvA sAMtapanam caret /
   śvāpadoṣṭrakharāñjagdhvā taptakṛcchreṇa śuddhyati /	SvApada uzwra KarAn jagDvA taptakRcCreNa SudDi ati /
   vratavaccaiva saṃskāraṃ pūrveṇa vidhinaiva tu // KūrmP_2,33.10 //	vrata vat ca eva saMskAram pUrveNa viDinA eva tu // KUrmP_2,33.10 //
   bakaṃ caiva balākaṃ ca haṃsaṃ kāraṇḍavaṃ tathā /	bakam ca eva balAkam ca haMsam kAraNxavam taTA /
   cakravākaṃ plavaṃ jagghvā dvādaśāhamabhojanam // KūrmP_2,33.11 //	cakravAkam plavam jaghvA dvAdaSa aham aBojanam // KUrmP_2,33.11 //
   kapotaṃ ṭiṭṭibhaṃ caiva śukaṃ sārasameva ca /	kapotam wiwwiBam ca eva Sukam sArasam eva ca /
   ulūkaṃ jālapādaṃ ca jagdhvāpyetad vrataṃ caret // KūrmP_2,33.12 //	ulUkam jAlapAdam ca jagDvA api etat vratam caret // KUrmP_2,33.12 //
   śiśumāraṃ tathā cāṣaṃ matsyamāṃsaṃ tathaiva ca /	SiSumAram taTA cAzam matsya mAMsam taTA eva ca /
   jagdhvā caiva kaṭāhārametadeva cared vratam // KūrmP_2,33.13 //	jagDvA ca eva kawa AhAram etat eva caret vratam // KUrmP_2,33.13 //
   kokilaṃ caiva matsyāṃśca maṇḍukaṃ bhujagaṃ tathā /	kokilam ca eva matsyAn= ca maNxukam Bujagam taTA /
   gomūtrayāvakāhāro māsenaikena śuddhyati // KūrmP_2,33.14 //	go mUtra yAvaka AhAraH mAsena ekena SudDi ati // KUrmP_2,33.14 //
   jalecarāṃśca jalajān prattudānnakhaviṣkirān /	jalecarAn= ca jalajAn prattudAn naKa vizkirAn /
   raktapādāṃstathā jagdhvā saptāhaṃ caitadācaret // KūrmP_2,33.15 //	rakta pAdAn= taTA jagDvA sapta aham ca etat Acaret // KUrmP_2,33.15 //
   śuno māṃsaṃ śuṣkamāṃsamātmārthaṃ ca tathā kṛtam /	SunaH mAMsam Suzka mAMsam Atma arTam ca taTA kRtam /
   bhuktvā māsaṃ caredetat tatpāpasyāpanuttaye // KūrmP_2,33.16 //	BuktvA mAsam caret etat tad pApasya apanuttaye // KUrmP_2,33.16 //
   vārtākaṃ bhustṛṇaṃ śigruṃ khukhuṇḍaṃ karakaṃ tathā /	vArtAkam BustRNam Sigrum KuKuNxam karakam taTA /
   prājāpatyaṃ carejjagdhvā śaṅkhaṃ kumbhīkameva ca // KūrmP_2,33.17 //	prAjApatyam caret jagDvA SaFKam kumBIkam eva ca // KUrmP_2,33.17 //
   palāṇḍuṃ laśunaṃ caiva bhuktvā cāndrāyaṇaṃ caret /	palANxum laSunam ca eva BuktvA cAndrAyaNam caret /
   nālikāṃ taṇḍulīyaṃ ca prājāpatyena śuddhyati // KūrmP_2,33.18 //	nAlikAm taNxulIyam ca prAjApatyena SudDi ati // KUrmP_2,33.18 //
   aśmāntakaṃ tathā potaṃ taptakṛcchreṇa śuddhyati /	aSmAntakam taTA potam taptakRcCreNa SudDi ati /
   prājāpatyena śuddhiḥ syāt kakkubhāṇḍasya bhakṣaṇe // KūrmP_2,33.19 //	prAjApatyena SudDiH syAt kakku BANxasya BakzaNe // KUrmP_2,33.19 //
   alābuṃ kiṃśukaṃ caiva bhuktvā caitad vrataṃ caret /	alAbum kiMSukam ca eva BuktvA ca etat vratam caret /
   udumbaraṃ ca kāmena taptakṛcchreṇa śuddhyati // KūrmP_2,33.20 //	udumbaram ca kAmena taptakRcCreNa SudDi ati // KUrmP_2,33.20 //
   vṛthā kṛsarasaṃyāvaṃ pāyasāpūpasaṃkulam /	vRTA kRsara saMyAvam pAyasa apUpa saMkulam /
   bhuktvā caivaṃ vidhaṃ tvannaṃ trirātreṇa viśuddhyati // KūrmP_2,33.21 //	BuktvA ca evam viDam tu annam tri rAtreNa viSudDi ati // KUrmP_2,33.21 //
   pītvā kṣīrāṇyapeyāni brahmacārī samāhitaḥ /	pItvA kzIrANi apeyAni brahmacArI samAhitaH /
   gomūtrayāvakāhāro māsenaikena śuddhyati // KūrmP_2,33.22 //	go mUtra yAvaka AhAraH mAsena ekena SudDi ati // KUrmP_2,33.22 //
   anirdaśāhaṃ gokṣīraṃ māhiṣaṃ cājameva ca /	anirdaSa aham go kzIram mAhizam ca Ajam eva ca /
   saṃdhinyāśca vivatsāyāḥ piban kṣīramidaṃ caret // KūrmP_2,33.23 //	saMDinyAH ca vivatsAyAH piban kzIram idam caret // KUrmP_2,33.23 //
   eteṣāṃ ca vikārāṇi pītvā mohena mānavaḥ /	etezAm ca vikArANi pItvA mohena mAnavaH /
   gomūtrayāvakāhāraḥ saptarātreṇa śuddhyati // KūrmP_2,33.24 //	go mUtra yAvaka AhAraH sapta rAtreNa SudDi ati // KUrmP_2,33.24 //
   bhuktvā caiva navaśrāddhe mṛtake sūtake tathā /	BuktvA ca eva navaSrAdDe mRtake sUtake taTA /
   cāndrāyaṇena śuddhyeta brāhmaṇastu samāhitaḥ // KūrmP_2,33.25 //	cAndrAyaNena SudDyeta brAhmaNaH tu samAhitaH // KUrmP_2,33.25 //
   yasyāgnau hūyate nityaṃ na yasyāgraṃ na dīyate /	yasya agnO hUyate nityam na yasya agram na dIyate /
   cāndrāyaṇaṃ caret samyak tasyānnaprāśane dvijaḥ // KūrmP_2,33.26 //	cAndrAyaNam caret samyak tasya annaprASane dvijaH // KUrmP_2,33.26 //
   abhojyānāṃ tu sarveṣāṃ bhuktvā cānnamupaskṛtam /	aBojyAnAm tu sarvezAm BuktvA ca annam upaskRtam /
   antāvasāyināṃ caiva taptakṛcchreṇa śuddhyati // KūrmP_2,33.27 //	antAvasAyinAm ca eva taptakRcCreNa SudDi ati // KUrmP_2,33.27 //
   cāṇḍālānnaṃ dvijo bhuktvā samyak cāndrāyaṇaṃ caret /	cANxAla annam dvijaH BuktvA samyak cAndrAyaNam caret /
   buddhipūrvaṃ tu kṛcchrābdaṃ punaḥ saṃskārameva ca // KūrmP_2,33.28 //	budDi pUrvam tu kRcCra abdam punar saMskAram eva ca // KUrmP_2,33.28 //
   asurāmadyapānena kuryāccāndrāyaṇavratam /	asurA madya pAnena kuryAt cAndrAyaNa vratam /
   abhojyānnaṃ tu bhuktvā ca prājāpatyena śuddhyati // KūrmP_2,33.29 //	aBojya annam tu BuktvA ca prAjApatyena SudDi ati // KUrmP_2,33.29 //
   viṇmūtrapāśanaṃ kṛtvā retasaścaitadācaret /	viz mUtra pASanam kRtvA retasaH ca etat Acaret /
   anādiṣṭeṣu caikāhaṃ sarvatra tu yathārthataḥ // KūrmP_2,33.30 //	anAdizwezu ca eka aham sarvatra tu yaTArTataH // KUrmP_2,33.30 //
   viḍvarāhakharoṣṭrāṇāṃ gomāyoḥ kapikākayoḥ /	vixvarAha Kara uzwrANAm gomAyoH kapi kAkayoH /
   prāśya mūtrapurīṣāṇi dvijaścāndrāyaṇaṃ caret // KūrmP_2,33.31 //	prASya mUtra purIzANi dvijaH cAndrAyaNam caret // KUrmP_2,33.31 //
   ajñānāt prāśya viṇmūtraṃ surāsaṃspṛṣṭameva ca /	ajQAnAt prASya viz mUtram surA saMspRzwam eva ca /
   punaḥ saṃskāramarhanti trayo varṇā dvijātayaḥ // KūrmP_2,33.32 //	punar saMskAram arhanti trayaH varNAH dvijAtayaH // KUrmP_2,33.32 //
   kravyādāṃ pakṣiṇāṃ caiva prāśya mūtrapurīṣakam /	kravyAdAm pakziNAm ca eva prASya mUtra purIzakam /
   mahāsāṃtapanaṃ mohāt tathā kuryād dvijottamaḥ /	mahAsAMtapanam mohAt taTA kuryAt dvijottamaH /
   bhāsamaṇḍūkakurare viṣkire kṛcchramācaret // KūrmP_2,33.33 //	BAsa maNxUka kurare vizkire kRcCram Acaret // KUrmP_2,33.33 //
   prājāpatyena śuddhyeta brāhāmaṇocchiṣṭabhojane /	prAjApatyena SudDyeta brAhAmaNa ucCizwa Bojane /
   kṣatriye taptakṛcchraṃ syād vaiśye caivātikṛcchrakam /	kzatriye taptakRcCram syAt vESye ca eva atikRcCrakam /
   śūdrocchiṣṭaṃ dvijo bhuktvā kuryāccāndrāyaṇavratam // KūrmP_2,33.34 //	SUdra ucCizwam dvijaH BuktvA kuryAt cAndrAyaNa vratam // KUrmP_2,33.34 //
   surābhāṇḍodare vāri pītvā cāndrāyaṇaṃ caret /	surA BANxa udare vAri pItvA cAndrAyaNam caret /
   śunocchiṣṭaṃ dvijo bhuktvā trirātreṇa viśuddhyati /	SunA ucCizwam dvijaH BuktvA tri rAtreNa viSudDi ati /
   gomūtrayāvakāhāraḥ pītaśeṣaṃ ca rāgavān // KūrmP_2,33.35 //	go mUtra yAvaka AhAraH pIta Sezam ca rAgavAn // KUrmP_2,33.35 //
   apo mūtrapurīṣādyairdūṣitāḥ prāśayed yadā /	apaH mUtra purIza AdyEH dUzitAH prASayet yadA /
   tadā sāṃtapanaṃ proktaṃ vrataṃ pāpaviśodhanam // KūrmP_2,33.36 //	tadA sAMtapanam proktam vratam pApa viSoDanam // KUrmP_2,33.36 //
   cāṇḍālakūpabhāṇḍeṣu yadi jñānāt pibejjalam /	cANxAla kUpa BANxezu yadi jQAnAt pibet jalam /
   caret sāṃtapanaṃ kṛcchraṃ brāhmaṇaḥ pāpaśodhanam // KūrmP_2,33.37 //	caret sAMtapanam kRcCram brAhmaNaH pApa SoDanam // KUrmP_2,33.37 //
   cāṇḍālena tu saṃspṛṣṭaṃ pītvā vāri dvijottamaḥ /	cANxAlena tu saMspRzwam pItvA vAri dvijottamaH /
   trirātreṇa viśuddhyeta pañcagavyena caiva hi // KūrmP_2,33.38 //	tri rAtreNa viSudDyeta paQcagavyena ca eva hi // KUrmP_2,33.38 //
   mahāpātakisaṃsparśe bhuṅkte 'snātvā dvijo yadi /	mahApAtaki saMsparSe BuFkte asnAtvA dvijaH yadi /
   buddhipūrvaṃ tu mūḍhātmā taptakṛcchraṃ samācaret // KūrmP_2,33.39 //	budDi pUrvam tu mUXa AtmA taptakRcCram samAcaret // KUrmP_2,33.39 //
   spṛṣṭvā mahāpātakinaṃ cāṇḍālaṃ vā rajasvalām /	spRzwvA mahApAtakinam cANxAlam vA rajasvalAm /
   pramādād bhojanaṃ kṛtvā trirātreṇa viśuddhyati // KūrmP_2,33.40 //	pramAdAt Bojanam kRtvA tri rAtreNa viSudDi ati // KUrmP_2,33.40 //
   snānārhe yadi bhuñjīta ahorātreṇa śuddhyati /	snAna arhe yadi BuQjIta ahorAtreNa SudDi ati /
   buddhipūrvaṃ tu kṛcchreṇa bhagavānāha padmajaḥ // KūrmP_2,33.41 //	budDi pUrvam tu kRcCreNa BagavAn Aha padma jaH // KUrmP_2,33.41 //
   śuṣkaparyuṣitādīni gavādipratidūṣitam /	Suzka paryuzita AdIni gavA Adi pratidUzitam /
   bhuktvopavāsaṃ kurvota kṛcchrapādamathāpi vā // KūrmP_2,33.42 //	BuktvA upavAsam kurva uta kRcCra pAdam aTa api vA // KUrmP_2,33.42 //
   saṃvatsarānte kṛcchraṃ tu cared vipraḥ punaḥ punaḥ /	saMvatsara ante kRcCram tu caret vipraH punar punar /
   ajñātabhuktaśuddhyarthaṃ jñātasya tu viśeṣataḥ // KūrmP_2,33.43 //	ajQAta Bukta SudDi arTam jQAtasya tu viSezataH // KUrmP_2,33.43 //
   vrātyānāṃ yajanaṃ kṛtvā pareṣāmantyakarma ca /	vrAtyAnAm yajanam kRtvA parezAm antyakarma ca /
   abhicāramahīnaṃ ca tribhiḥ kṛcchrairviśuddhyati // KūrmP_2,33.44 //	aBicAram ahInam ca triBiH kRcCrEH viSudDi ati // KUrmP_2,33.44 //
   brāhmaṇādihatānāṃ tu kṛtvā dāhādikāḥ kriyāḥ /	brAhmaNa Adi hatAnAm tu kRtvA dAha AdikAH kriyAH /
   gomūtrayāvakāhāraḥ prājāpatyena śuddhyati // KūrmP_2,33.45 //	go mUtra yAvaka AhAraH prAjApatyena SudDi ati // KUrmP_2,33.45 //
   tailābhyakto 'thavā kuryād yadi mūtrapurīṣake /	tEla aByaktaH aTavA kuryAt yadi mUtra purIzake /
   ahorātreṇa śuddhyeta śmaśrukarma ca maithunam // KūrmP_2,33.46 //	ahorAtreNa SudDyeta SmaSrukarma ca mETunam // KUrmP_2,33.46 //
   ekāhena vivāhāgniṃ parihārya dvijottamaḥ /	eka ahena vivAha agnim parihArya dvijottamaH /
   trirātreṇa viśaddhyeta trirātrāt ṣaḍahaṃ punaḥ // KūrmP_2,33.47 //	tri rAtreNa viSadDyeta tri rAtrAt zaz aham punar // KUrmP_2,33.47 //
   daśāhaṃ dvādaśāhaṃ vā parihārya pramādataḥ /	daSa aham dvAdaSa aham vA parihArya pramAdataH /
   kṛcchraṃ cāndrāyaṇaṃ kuryāt tatpāpasyāpanuttaye // KūrmP_2,33.48 //	kRcCram cAndrAyaNam kuryAt tad pApasya apanuttaye // KUrmP_2,33.48 //
   patitād dravyamādāya tadutsargeṇa śuddhyati /	patitAt dravyam AdAya tad utsargeNa SudDi ati /
   caret sāṃtapanaṃ kṛcchramityāha bhagavān prabhuḥ // KūrmP_2,33.49 //	caret sAMtapanam kRcCram iti Aha BagavAn praBuH // KUrmP_2,33.49 //
   anāśakanivṛttāstu pravrajyāvasitāstathā /	anASaka nivRttAH tu pravrajyA vasitAH taTA /
   careyustrīṇi kṛcchrāṇi trīṇi cāndrāyaṇāni ca // KūrmP_2,33.50 //	careyuH trINi kRcCrANi trINi cAndrAyaNAni ca // KUrmP_2,33.50 //
   punaśca jātakarmādisaṃkāraiḥ saṃskṛtā dvijāḥ /	punar ca jAtakarma Adi saMkArEH saMskRtAH dvijAH /
   śuddhyeyustad vrataṃ samyak careyurdharmavardhanāḥ // KūrmP_2,33.51 //	SudDyeyuH tat vratam samyak careyuH Darma varDanAH // KUrmP_2,33.51 //
   anupāsitasaṃdhyastu tadaharyāpako vaset /	anupAsita saMDyaH tu tad ahar yApakaH vaset /
   anaśnan saṃyatamanā rātrau ced rātrimeva hi // KūrmP_2,33.52 //	anaSnan saMyata manAH rAtrO ced rAtrim eva hi // KUrmP_2,33.52 //
   akṛtvā samidādhānaṃ śuciḥ snātvā samāhitaḥ /	akRtvA samiD ADAnam SuciH snAtvA samAhitaH /
   gāyatryaṣṭasahasrasya japyaṃ kuryād viśuddhaye // KūrmP_2,33.53 //	gAyatrI azwa sahasrasya japyam kuryAt viSudDaye // KUrmP_2,33.53 //
   upāsīta na cet saṃdhyāṃ gṛhastho 'pi pramādataḥ /	upAsIta na ced saMDyAm gRhasTaH api pramAdataH /
   snātvā viśuddhyate sadyaḥ pariśrāntastu saṃyamāt // KūrmP_2,33.54 //	snAtvA viSudDyate sadyas pariSrAntaH tu saMyamAt // KUrmP_2,33.54 //
   vedoditāni nityāni karmāṇi ca vilopya tu /	veda uditAni nityAni karmANi ca vilopya tu /
   snātakavratalopaṃ tu kṛtvā copavased dinam // KūrmP_2,33.55 //	snAtaka vrata lopam tu kRtvA ca upavaset dinam // KUrmP_2,33.55 //
   saṃvatsaraṃ caret kṛcchramagnyutsādī dvijottamaḥ /	saMvatsaram caret kRcCram agni utsAdI dvijottamaH /
   cāndrāyaṇaṃ cared vrātyo gopradānena śuddhyati // KūrmP_2,33.56 //	cAndrAyaNam caret vrAtyaH go pradAnena SudDi ati // KUrmP_2,33.56 //
