   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
      pakṣeti// nanvastūktadiśā vyatirekiṇonvayitvaṃ tathāpi na	  pakza iti// nanu astu ukta diSA vyatirekiNaH nvayitvam taTA api na
   kevalavyatirekitvabhaṅga ityāśaṅkya pratyāhahaha    na cānvayeti//	kevala vyatireki tva BaFgaH iti ASaFkya pratyAha haha   na ca anvaya iti//
   1.ddhirhinatā  ga.ṭa.rā. 2. ttau cāsā ga.ga. 3.syapā  ṭa.ga. 4.nnetyatra	1.dDiH hinatA  ga.wa.rA. 2. ttO ca asA  ga.ga. 3.syapAH  wa.ga. 4.nnA iti atra
   pa  ga.ṭa.rā. 5.rebhyobhi  ka. 6.syaiva ka.ga.ṭa.rā. 7.dayoṣṭa  ṭa.dyaṣṭa	paH  ga.wa.rA. 5.reByoBi  ka. 6.sya eva ka.ga.wa.rA. 7.da yozwaH  wa.dI azwa
    ṭha. 8.tadabhi  ṭha.ḍa.	 Wa. 8.tat aBi  Wa.xa.
   kela vyati bhaṅgaḥ) vibhāgavādaḥ pu   177.	kela  vyati BaFgaH) viBAga vAdaH pu  177.
   na cānvayāpratisandhānadaśāyāṃ kevalavyatirekitvamiti vācyam/ tathātve	na ca anvayA pratisanDAna daSAyAm kevala vyatireki tvam iti vAcyam/ taTA tve
   'nvavyatireki 1 ṇyapi tatprasaṅgāt/ anvayapratisandhāne	anvavyatireki 1 Ni api tad prasaFgAt/ anvaya pratisanDAne
   svanirūpitavyāptijñānābhāvenānumitireva nāstīti vakṣyamāṇatvācca//	sva nirUpita vyApti jQAna aBAvena anumitiH eva na asti iti vakzyamANa tvAt ca//
   naca yatrānitye vāṅmanase ityādau pakṣatāvacchedakanānātvaṃ tatraivāṃśe	na ca yatra anitye vAc manase iti AdO pakza tAvacCedaka nAnAtvam tatra eva aMSe
   siddhasādhanam/ iha tu tadanacchedakaṃ pṛthivītvamekameveti vācyam/	sidDa sADanam/ iha tu tad anacCedakam pRTivI tvam ekam eva iti vAcyam/
   uddeśyapratītisiddhyasiddhyoreva siddhasādhanatadabhāvau prati	uddeSya pratIti sidDi asidDyoH eva sidDa sADana tad aBAvO prati
   tantratayāsya paribhāṣāmātratvāt//	tantra tayA asya pariBAzA mAtra tvAt//
   na ca tarhyuddeśyāyāḥ	na ca tarhi uddeSyAyAH
   pṛthivītvāvacchedenetarabhedabuddheraṃśeṣyabhāvānnāṃśe siddhasādhanamiti	pRTivI tva avacCedena itara Beda budDeH aMSezya BAvAt na aMSe sidDa sADanam iti
   vācyam/	vAcyam/
   iṣṭāpattiṃ manvānaṃ pratyāha   anvayeti// sveti// sādhyanirūpitetyarthaḥ/	izwApattim manvAnam pratyAha  anvayeti// sva iti// sADya nirUpitA iti arTaH/
   vakṣyamāṇatvādita// atraivottaratra kiñcābhāvagatayā vyatirekavyāptyā	vakzyamANa tvAt ita// atra eva uttaratra kiQca aBAva gatayA vyatireka vyAptyA
   kathaṃ bhāvasya gamakatvamityādineti bhāvaḥ/ maṇyādyuktamevāṃśataḥ	kaTam BAvasya gamaka tvam ityAdinA iti BAvaH/ maNyAdi uktam eva aMSataH
   siddhasādhanatādoṣoddhāramāśaṅkya nirāha   na ca yatreti// tatraiveti//	sidDa sADana tA doza udDAram ASaFkya nirAha  na ca yatra iti// tatra eva iti//
   pakṣatāvacchedakasāmānādhikaraṇyena sādhyasiddhirhyanumānaphalam/	pakza tA avacCedaka sAmAna aDikaraNyena sADya sidDiH hi anumAna Palam/
   nānātvasthale caikāvacchedena sādhyasiddhāvapyanumānaphalasya	nAnA tva sTale ca eka avacCedena sADya sidDO= api anumAna Palasya
   jātatvātpunaranyāvacchedenāpyanumityutpādanārtamanumānāpravṛtteriti	jAta tvAt punar anya avacCedena api anumiti utpAdana Artam anumAna apravRtteH iti
   bhāvaḥ// ekamiti// tathāca ghaṭādyaṃśe ghaṭatvādyavacchedena	BAvaH// ekam iti// taTA ca Gawa Adi aMSe Gawa tva Adi avacCedena
   sādhyasiddhāvapi	sADya sidDO= api
   pṛthivītvarūpapakṣatāvacchedakasāmānādhikaraṇyenetarabhedarūpasādhyāsiddhyā	pRTivI tva rUpa pakza tAvacCedaka sAmAnA aDikaraNyena itara Beda rUpa sADya asidDyA
   tatrānumityudayārthamanumānapravṛttisambhavānna tatra doṣa iti bhāvaḥ/	tatra anum iti udaya arTam anumAna pravRtti samBavAn na tatra dozaH iti BAvaH/
   1. kiṇopi   ṭa. rā.	1. kiNopi  wa. rA.
   pu   178. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  178. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   niścitasādhyakatvena saṃdehasiṣādhayiṣayorabhāvenaikadeśasya tvanmate	niScita sADyaka tvena saMdeha sizA DayizayoH aBAvena eka deSasya tvad mate
   pakṣatvāyogāt//	pakzatva ayogAt//
   na ca ghaṭasya ghaṭatvenetarabhedaniścayepi pṛthivītvena	na ca Gawasya Gawa tvena itara Beda niScayepi pRTivI tvena
   tatsaṃdehādikamiti 1 vācyam/ viśeṣākāreṇetarabhedaniścaye sati	tad saMdeha Adikam iti 1 vAcyam/ viSeza AkAreNa itara Beda niScaye sati
   sāmānyākāreṇa tatsaṃdehasya tadviśeṣetaraviśeṣaviṣayatvaniyamāt/	sAmAnya AkAreNa tad saMdehasya tad viSeza itara viSeza vizaya tva niyamAt/
   anyathaitatparvatatvena vahnimattayā niścaye 2 pi parvate parvatatvena	anyaTA etat parvata tvena vahni mat tayA niScaye 2 pi parvate parvata tvena
   tatsaṃdehāpatyā tatra vahnyarthino niṣkampapravṛttirna syāt//	tad saMdeha apatyA tatra vahni arTinaH nizkampa pravRttiH na syAt//
   nāpi pakṣa eva saṃdeharūpā sādhyāprasiddhiḥ	na api pakzaH eva saMdeha rUpA sADya aprasidDiH
   pakṣatvāyogāditi// tathāca kevalavyatirekiṇo 'nvayitvameva prāptamiti	pakzatva ayogAt iti// taTA ca kevala vyatirekiNaH anvayitvam eva prAptam iti
   bhāvaḥ/ saṃdehasiṣādhayiṣayorabhāvenetyayuktamityāśaṅkya nirāha    na	BAvaH/ saMdeha sizA DayizayoH aBAvena iti ayuktam iti ASaFkya nirAha   na
   ceti// yajñapatyuktameva doṣamāha   viśeṣeti// tadviśeṣetareti//	ca iti// yajQapati uktam eva dozam Aha  viSeza iti// tad viSeza itara iti//
   ghaṭādirūpa 3 viśeṣetarapṛthivīviṣayakatvaniyamādityarthaḥ/ jñānayoḥ	Gawa Adi rUpaH 3 viSeza itara pRTivI vizayaka tva niyamAt iti arTaH/ jQAnayoH
   samānaprakārakatvenaiva nivartyanivartakabhāva iti nyāyasya	samAna prakAraka tvena eva nivartya nivartaka BAvaH iti nyAyasya
   sāmānyaviśeṣaprakārānyaparatvamiti bhāvaḥ//	sAmAnya viSeza prakArAni aparatvam iti BAvaH//
   evaṃ maṇikṛdabhimataṃ pakṣaikadeśasādhyaprasiddhipakṣaṃ	evam maNi kRt aBimatam pakza eka deSa sADya prasidDi pakzam
   nirasyodayanādyabhimataṃ maṇāvanūdya nirastamapi maṇyuktadoṣe	nirasya udayana Adi aBimatam maNa avanUdya nirastam api maNi ukta doze
   tavdyākhyātṛṇāṃ vivādabhāvātsvayaṃ dṛḍhadoṣavivakṣayā	tavdi AKyAtRNAm vivAda BAvAt svayam dRXa doza vivakzayA
   saṃśayarūpasādhyaprasiddhipakṣamāśaṅkya nirāha   nāpīti//	saMSaya rUpa sADya prasidDi pakzam ASaFkya nirAha  na api iti//
   jalāditrayodaśapadārthānyonyābhāvānāmekatraprasiddhyā	jala Adi trayodaSa padArTa anyonya aBAvAnAm ekatra prasidDyA
   1.kamastīti  ka.ga.ṭa.rā. 2.ścitopi  ṭa.rā. 3.'pṛthivī' ityadhikam  ga.	1.kam asti iti  ka.ga.wa.rA. 2.H citopi  wa.rA. 3. apRTivI a iti aDikam  ga.
   kela vyati bhaṅgaḥ) vibhāgavādaḥ pu   179.	kela  vyati BaFgaH) viBAga vAdaH pu  179.
   evaṃ ca nānvayitvādikam pakṣaikadeśepi sādhyāniścayāt nāpyasādhāraṇyam	evam ca na anvayitvA Adikam pakza eka deSepi sADya aniScayAt na api asADAraNyam
   sapakṣābhāvāt nāpi vyatirekivaiyarthyam tasya niścayārthatvāditi vācyam/	sa pakza aBAvAt na api vyatireki vEyarTyam tasya niScaya arTa tvAt iti vAcyam/
   sādhyakoṭeraprasiddhyā saṃdehasyaivāyogāt//	sADya kowera prasidDyA saMdehasya eva ayoga at//
   na ca tejobhinnā pṛthivī jalādidvādaśabhinnā na veti	na ca tejaH BinnA pRTivI jala Adi dvAdaSa BinnA na vA iti
   tejobhinnadharmikajalādidvādaśabhinnatvakoṭikasaṃśayenārthāstrayodaśābhinnatvarūpasādhyaprasi	tejaH Binna Darmika jala Adi dvAdaSa Binna tva kowika saMSayena arTAH trayodaSa aBinna tva rUpa sADya prasi
   ddhiryukteti vācyam/ saṃśayasyāsārvatrikatvāt/	dDiH yuktA iti vAcyam/ saMSayasya asArvatrika tvAt/
   saṃśayarūpasādhyaprasiddhermayāpi svītākārācca 1 / śaśīyakarṇādau	saMSaya rUpa sADya prasidDeH mayA api svItA AkArAt ca 1 / SaSIya karNa AdO
   śaśīyamidaṃ śṛṅgaṃ na veti saṃdehena śaśaśraṅgasyāpi prasiddhiprasaṅgācca/	SaSIyam idam SRFgam na vA iti saMdehena SaSa SraFgasya api prasidDi prasaFgAt ca/
   saṃderāyogopi teṣvabhāveṣvekastejonyonyābhāvo jale prasiddhaḥ, pṛthivī	saMdera ayoga upi tezu aBAvezu ekaH tejaH nyonya aBAvaH jale prasidDaH, pRTivI
   tejobhinnā na veti saṃśayena pṛthivyāmeva vā prasiddhaḥ/	tejaH BinnA na vA iti saMSayena pRTivyAm eva vA prasidDaH/
   jalāditejonyadvādaśapadārthānyonyābhāvāstejasi prasiddhāḥ/ evaṃ ca	jala Adi tejaH nya dvAdaSa padArTa anyonya aBAvAH tejasi prasidDAH/ evam ca
   tatraikaṃ pakṣabhūtadharmiviśeṣaṇaṃ kṛtvānyakoṭikasaṃśayotpādi kimapi na	tatra ekam pakza BUta Darmi viSezaNam kRtvA anya kowika saMSaya utpAdi kim api na
   bādhakamityāśaṅkya nirāha    na ca tejobhinneti// asārvatrikatvāditi//	bADakam iti ASaFkya nirAha   na ca tejaH Binna iti// asArvatrika tvAt iti//
   tathā ca yatra na saṃdehastatrāprasiddhirdurvāroti bhāvaḥ//	taTA ca yatra na saMdehaH tatra aprasidDiH durvAroti BAvaH//
   nanu saṃdigdhe nyāyapravṛtteḥ saṃśayaḥ sārvatrika iti cet/ siddhepi	nanu saMdigDe nyAya pravRtteH saMSayaH sArvatrikaH iti cet/ sidDepi
   siṣādhayiṣayānumānapravṛtteḥ/ evamapi 2 tvaduktarītyā saṃśayasya	sizA DayizayA anumAna pravRtteH/ evam api 2 tvad ukta rItyA saMSayasya
   sātmakatvādyakhaṇḍanasādhye 3 yogācca/ ghanagharjitādisthale 4	sa Atmaka tva Adya KaNxana sADye 3 yogAt ca/ Gana Garjita Adi sTale 4
   saṃdehābhāvepyanumitidarśanācceti bhāvaḥ// mayāpīti// vyatirekī neti	saMdeha aBAvepi anumiti darSanAt ca iti BAvaH// mayA api iti// vyatirekI na iti
   vadatāpītyarthaḥ/ yadvā vyatirekiṇi sādhyaprasiddhivādināpītyarthaḥ/ tathā	vadatA api iti arTaH/ yat vA vyatirekiNi sADya prasidDi vAdinA api iti arTaH/ taTA
   ca tādṛśaṃ prati niścayarūpasādhyaprasiddhireva vācyeti bhāvaḥ/	ca tAdRSam prati niScaya rUpa sADya prasidDiH eva vAcyA iti BAvaH/
   1.kṛtatvācca  ka.ṭa.rā. 2.vañcatva ṭa. 3.vantva  ṭha. 4.dhyetadayo  ṭha.	1.kRta tvAt ca  ka.wa.rA. 2.vaQcatu a wa. 3.vantvaH  Wa. 4.Dyetat ayaH  Wa.
   4.le asaṃdehe  ṭha.	4.le asaMdehe  Wa.
   pu   180. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  180. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   viśeṣaṇaniścayajanyaviśiṣṭaniścayarūpānumityaṅgabhūtāyāḥ	viSezaNa niScaya janya viSizwa niScaya rUpa anumiti aFga BUtAyAH
   sādhyatāvacchedakatrayodaśabhinnatvaprakārikāyā	sADya tAvacCedaka trayodaSa Binna tva prakArikAyAH 
   niścayarūpaprasiddherabhāvācca//	niScaya rUpa prasidDeH aBAvAt ca//
   na ca tarhi pakṣādanyatraiva trayodaśasu trayodaṣabhedānāṃ viśakalitānāṃ	na ca tarhi pakzAt anyatra eva trayodaSasu trayodaza BedAnAm viSakalitAnAm
   niścayarūpā prasiddhirastīti nāprasaddhaviśeṣaṇatvādīti vācyam/	niScaya rUpA prasidDiH asti iti na aprasadDa viSezaNa tva Adi iti vAcyam/
   jīvaccharīrajātaṃ sātmakamityādāvakhaṇḍasādhyaka uktaprakārāsaṃbhavāt 1 /	jIvat SarIra jAtam sa Atmakam iti AdO= aKaNxa sADyakaH ukta prakAra asaMBavAt 1 /
   trayodhaśasu sādhyaprasiddhau tatra sādhyābhāvasyāsatvena	trayoDaSasu sADya prasidDO tatra sADya aBAvasya asatvena
   vyatirekavyāptigrahāsaṃbhavācca//	vyatireka vyApti graha asaMBavAt ca//
   śaśaśraṅgasyāpīti// bhūtalaṃ śaśaśraṅgavadityapyanumānaṃ syāditi bhāvaḥ//	SaSa SraFgasya api iti// BU talam SaSa SraFga vat iti api anumAnam syAt iti BAvaH//
   sādhyateti 2 // sādhyatāvacchedakaṃ yastrayodaśabhinnatvaṃ tatprakārikāyā	sADyatA iti 2 // sADya tAvacCedakam yaH trayodaSa Binna tvam tad prakArikAyAH 
   ityarthaḥ/ athavetyādinā maṇyuktaṃ pakṣāntaramāśaṅkya nirāha    na	iti arTaH/ aTavA ityAdinA maNi uktam pakza antaram ASaFkya nirAha   na
   catarhīti// trayodaśasu jalādisamavāyānteṣu trayodaśasvityarthaḥ/	catarhi iti// trayodaSasu jala Adi samavAya antezu trayodaSasu iti arTaH/
   viśakalitānāmiti// jale tejaḥprabhṛtidvādeśānyonyābhāvāḥ prasiddhāḥ/	viSakalitAnAm iti// jale tejaH praBRti dvAdeSa anyonya aBAvAH prasidDAH/
   jalānyonyābhāvaśca tejaḥprabhṛtiṣu/ tathā	jalAnyonya aBAvaH ca tejaH praBRtizu/ taTA
   jalādidvādaśānyonyābhāvastejajasi/	jala Adi dvAdaSa anyonya aBAvaH tejajasi/
   tejonyonyābhāvonyatretyevaṃrūpeṇetyarthaḥ/ yadvā	tejonyonya aBAva unyatra iti evaMrUpeNa iti arTaH/ yat vA
   trayodasapadārthānāmanyonyābhāvānāṃ jalabhedastejasi tejobhedo jale	trayodasa padArTAnAm anyonya aBAvAnAm jalaBedaH tejasi tejaH BedaH jale
   ityevaṃrūpeṇa prasiddhirityarthaḥ/ ādipadena vyāpyyagrahādigrahaḥ// tatra	iti evaMrUpeNa prasidDiH iti arTaH/ Adi padena vyApyi agraha Adi grahaH// tatra
   sādhyābhāvasyāsatveneti//	sADya aBAvasya asatvena iti//
   1.'śaśaśraṅgollikhitāvapītyādāvapi viśakalitānāṃ śaśādīnāṃ	1. aSaSa SraFga ulliKitO= apI iti AdO= api viSakalitAnAm SaSa AdInAm
   prasiddhatvācca'  	prasidDa tvAt ca a  
   ityadhikam ga. 'śaśaśṛṅgollikhitā bhūrityādāvapi viśakalitānāṃ prasiddheḥ	iti aDikam ga. aSaSaSRFga ulliKitA BUH iti AdO= api viSakalitAnAm prasidDeH
   suvacatvāt' ityasti  ṭa. 2. sādhyateti iti na  ṭa.ṭha.	su vaca tvAt a iti asti  wa. 2. sADyatA iti iti na  wa.Wa.
   kela vyati bhaṅgaḥ) vibhāgavādaḥ pu   181.	kela  vyati BaFgaH) viBAga vAdaH pu  181.
   kiñcaikenaiva liṅgenaikadā sādhyamānā api 1 trayodaśabhedāḥ	kiQca ekena eva liFgena ekadA sADyamAnAH api 1 trayodaSa BedAH
   pratyekanirūpitatrayogaśavyāptibhireva sādhanīyāḥ/ na tu	pratyeka nirUpita tra yoga Savya AptiBiH eva sADanIyAH/ na tu
   militanirūpitaikavyāptyā/ militāprasiddhau tadajñānam/	milita nirUpita eka vyAptyA/ milita aprasidDO tad ajQAnam/
   yatra trayodaśānāmanyonyābhāvanāmabhāvastatra pṛthivītvābhāva iti hi	yatra trayodaSAnAm anyonya aBAvanAm aBAvaH tatra pRTivI tva aBAvaH iti hi
   vyatirekavyāptirjalādau pradarśanīyā/ tatra jale jalānyonyābhāvābhāvasya	vyatireka vyAptiH jala AdO pradarSanIyA/ tatra jale jala anyonya aBAva aBAvasya
   satveti tejaḥpṛbhṛtipratiyogikānāṃ dvādaśabhedānāmabhāvasyāsatvena	satva iti tejaH pRBRti pratiyogikAnAm dvAdaSa BedAnAm aBAvasya asatvena
   sādhyābhāvasyābhāvāt/ evaṃ tejaḥprabhṛthiṣvapīti kataṃ	sADya aBAvasya aBAva at/ evam tejaH praBRTizu api iti katam
   vyatirekavyāptigraha ityarthaḥ//	vyatireka vyApti grahaH iti arTaH//
   nanvekasatvepi dvayamiha nāstīti pratītyā	nanu eka satvepi dvayam iha na asti iti pratItyE 
   dvitvāvacchinnapratiyogitākābhāvavastrayodaśatvāvacchinnajaladyanyonyābhāvaniṣṭhapratiyogitākābhāvo	dvi tva avacCinna pratiyogitAkA BAvavaH trayodaSa tva avacCinna jaladi anyonya aBAva nizWa pratiyogi tAkA BAvaH 
   jalādau bhaviṣyatīti nānupapattirita cenna/	jala AdO Bavizyati iti na anupapattiH ita ced na/
   vyāsajyadharmāvacchinnapratiyogitākābhāvasya vyāptivāde maṇikṛtā nirāsena	vyAsa jya Darma avacCinna pratiyogi tAkA BAvasya vyApti vAde maNi kRtA nirAsena
   maṇikṛnmate tadabhāvāt/	maNi kRt mate tad aBAvAt/
   pratīteranyatarābhāvaviṣayatvenopapattāvatiriktābhāvakalpanāyogācca//	pratIteH anyatara aBAva vizaya tvena upapattO= atirikta aBAva kalpanA yogAt ca//
   nanu    yanmate tādṛśābhāvasvīkārastanmatarītyāyaṃ pakṣe maṇavukta iti	nanu   yat mate tAdRSa aBAva svIkAraH tat matarItyA ayam pakze maNa vuktaH iti
   cenna/ tanmatasyaiva gauraveṇa dūṣyatvāditi bhāvaḥ/ abhyupetyāpi   	ced na/ tad matasya eva gOraveNa dUzya tvAt iti BAvaH/ aByupetya api   
   doṣamāha    kiñceti// pratyekapratiyogikābhāvanirūpitetyarthaḥ/	dozam Aha   kiQca iti// pratyeka pratiyogika aBAva nirUpitA iti arTaH/
   vyatirekiṇyanvayavyāpterabhāvāt militanirūpiteti/ yatra	vyatirekiNI anvaya vyApteH aBAvAt milita nirUpitA iti/ yatra
   trayodaśānyonyābhāvānāmabhāvastatra pṛthivītvābhāva ityevaṃ rūpeṇa	trayodaSa anyonya aBAvAnAm aBAvaH tatra pRTivI tva aBAvaH iti evam rUpeNa
   militapratiyogikābhāvanirūpitaikavyāptyetyarthaḥ// tadajñānāditi//	milita pratiyogika aBAva nirUpitA eka vyAptyA iti arTaH// tad ajQAnAt iti//
   militāprasiddhau militapratiyogikābhāvavyāpytyajñānādityarthaḥ/	milita aprasidDO milita pratiyogika aBAva vyApyti ajQAnAt iti arTaH/
   1. pihitra   ta.ṭa.rā.	1. pihitra  ta.wa.rA.
   pu   182. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  182. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   tathā ca pratyekameva sādhyatā viśrāntetyekaikabhedarūpasādhyavato	taTA ca pratyekam eva sADya tA viSrAntA iti eka eka Beda rUpa sADyavataH 
   jalādereva sapakṣatvena tato vyāvṛttatvena 1	jala AdeH eva sa pakza tvena tatas vyAvRtta tvena 1
   hetorasādhāraṇyatādavasthyam//	hetoH asADa araNya tAdavasTyam//
   nanu    pratyekavyāpyyā pratyekabhedasādhanepi nāsādhāraṇyam/	nanu   pratyeka vyApyyA pratyeka Beda sADanepi nAsADAraNyam /
   anumitiviṣayasādhyavavdyāvṛtyā hi tadbhavati/ anyathā	anumiti vizaya sADyavavdyAvRtyA hi tat Bavati/ anyaTA
   dūṣyānumityavirodhitvenāsādhāraṇyasya pratipakṣonnāyakatvaṃ na syāt/ na ca	dUzya anumiti aviroDi tvena asADa araNyasya pratipakza unnAyaka tvam na syAt/ na ca
   prakṛte 'numitiviṣaya 2 militabhedarūpasādhyavānanyosti/ yena	prakRte anumiti vizaya 2 milita Beda rUpa sADyavAn anyoH ti/ yena
   tavdyāvṛtyāsādhāraṇyaṃ syāditi cenna/ 3 pratyekabhedavavdyāvṛtterapa	tavdi a AvRtya asADa araNyam syAt iti ca id na/ 3 pratyeka Beda vavdyA vRtteH apa
   svasādhitapratyekabhedābhāvadvāreṇa bhedamelanavighaṭakatayā	sva sADita pratyeka Beda aBAva dvAreNa Beda melana viGawaka tayA
   dūṣyānumitiviruddhatvāt//	dUzya anumiti virudDa tva at//
   yadvā vyatirekavyāptiretādṛśasthale na vācyā/ kiṃ tvanvayavyāptireva/ na	yat vA vyatireka vyAptiH etAdRSa sTale na vAcyA/ kim tu anvaya vyAptiH eva/ na
   ca militasādhyāprasiddhyā tannirūpitaikavyāptyajñānamiti vācyam/	ca milita sADya aprasidDyA tad nirUpita eka vyApti ajQAnam iti vAcyam/
   pratyekābhāvānāṃ pratyekanirūpitānvayavyāptibhireva tāvatāṃ bhedānāṃ	pratyeka aBAvAnAm pratyeka nirUpita anvaya vyAptiBiH eva tAvatAm BedAnAm
   sādhyatvāditi bhāvenāyaṃ granthaḥ pṛtta iti yathānyāsa eva granthaḥ	sADya tvAt iti BAvena ayam granTaH pRttaH iti yaTAnyAsaH eva granTaH
   sādhuriti 4 jñeyam//	sADuH iti 4 jQeyam//
   pakṣadharamatamāśaṅkate    nanviti// anyatheti//	pakzaDara matamASaFkate   nanu iti// anyaTA iti//
   anumitiviṣayaikadeśavavdyāvṛttimātreṇa 5 sādhāraṇye	anumiti vizaya eka deSavavdyAvRtti mAtreNa 5 sADAraNye
   'numitiviṣayābhāvaviṣayakatvātsatpratipakṣatayā doṣatvaṃ na syādityarthaḥ/	anumiti vizaya aBAva vizayaka tvAt sat pratipakza tayA doza tvam na syAt iti arTaH/
   anumitiviṣayavato vyāvṛttatvameva pṛthivītvahetorastvityata āha   na ca	anumiti vizayavataH vyAvRtta tvam eva pRTivI tva hetoH aH tu iti atas Aha  na ca
   prakṛta iti//	prakRtaH iti//
   naraharyādyuktadoṣeṇa nirāha    pratyeketi// sādhyatāvacchedakaṃ	nara haryAdi ukta dozeNa nirAha   pratyeka iti// sADya tA avacCedakam
   vyāsajyavṛttidharmamādāyāsādhāraṇyābhāvamāśaṅkyāprasiddhaviśeṣaṇatvena	vyAsa jya vRtti Darmam AdAya asADAraNya aBAvam ASaFkya aprasidDa viSezaNa tvena
   nirāha    athetyādinā //	nirAha   aTa ityAdinA //
   1.ttasya he   ga.ṭa.rā. 2.yabhe  ga.ṭa.	1.ttasya he  ga.wa.rA. 2.yaBe  ga.wa.
   3.'pratyakṣabhedavacanapravṛtterapi svasā' ityasti  ga.rā. 4.dhyeyam  ḍa.	3. apratyakza Beda vacana pravRtteH api svasAa iti asti  ga.rA. 4.Dyeyam  xa.
   5.ṇāsā  ṭha.ḍa.	5.NAsA  Wa.xa.
   kala vyati bhaṅgaḥ) vibhāgavādaḥ pu   183.	kala  vyati BaFgaH) viBAga vAdaH pu  183.
   kiñcāsminpakṣe bhedamelanaṃ pakṣadharmatābalalabhyamam/ na ca	kiQca asmin pakze Beda melanam pakza DarmatA balalaByam am/ na ca
   tadbalalabhyasādhyavavdyāvṛtyāsādhāraṇyaṃ yuktam/ tathātve 'numānaphalasya	tad balalaBya sADyavavdyAvRtya asADa araNyam yuktam/ taTAtve anumAna Palasya
   niṣpannatayā 1	nizpanna tayA 1
   sādhāraṇyasyākiñcitkaratvāpātāt//	sADAraNyasya akiQcitkara tva apAtAt//
   atha    sādhyatāvacchedakāvacchinnasādhyavadvyāvṛtyaivāsādhāraṇyam/	aTa   sADya tAvacCedaka avacCinna sADya vat vyAvRtya eva asADAraNyam /
   prakṛte ca sādhyatāvacchedakaṃ bhadagataṃ vyāsajyavṛttitrayodaśatvam/	prakRte ca sADya tAvacCedakam Bada gatam vyAsajya vRtti trayodaSa tvam/
   tacca na pratyeka 2 parisamāptam/ tataḥ pratyekabhedavadvyāvṛttāvapi	tat ca na pratyeka 2 parisamAptam/ tatas pratyeka Beda vat vyAvRttO= api
   sānādhāraṇyamiti cenna/ evamasādhāraṇyaparihārepi	sAnADAraNyam iti ca id na/ evam asADa araNya parihArepi
   trayodaśatvaparyāptyadhikaraṇatvarūpasādhyatāvacchedakāvacchinnasādhyāprasiddheraprasiddhaviśeṣaṇatvatādavasthyāt/	trayodaSa tva paryApti aDikaraNa tva rUpa sADya ta avacCedaka avacCinna sADya aprasidDeH aprasidDa viSezaNa tva tAdavasTyAt/
   jalādau svasmādbhedābhāvepi teja ādidvādaśabhedānāṃ satvena	jala AdO svasmAt Beda aBAvepi tejaH Adi dvAdaSa BedAnAm satvena
   trayodaśabhedābhāvarūpasādhyavyatirekagābhāvena	trayodaSa Beda aBAva rUpa sADya vyatireka gA BAvena
   vyatirekavyāptigrahānupapatteśca//	vyatireka vyApti grahAn upapatteH ca//
   nanu ghaṭasya satvepipaṭābhāvena ghaṭapaṭau na sta itivajjale	nanu Gawasya sa tvepi pawa aBAvena Gawa pawO na staH itivat jale
   dvādaśabhedeṣu satsvapi jalādbhedābhāvena	dvAdaSa Bedezu satsu api jalAt Beda aBAvena
   vyāsajyavṛttipratiyogitākatrayodaśabhedābhāvostīti cenna/	vyAsa jya vRtti pratiyogi tAka trayodaSa Beda aBAva usti iti ced na/
   vyāsajyavṛttipratiyogikābhāvonyo netyupetya vyāptyabhāvadoṣaṃ cāha   	vyAsa jya vRtti pratiyogikA BAva unyaH na iti upetya vyApti aBAva dozam ca Aha   
   jalādāviti// vyāsajyavṛttidharmāvacchinnapratoyogitākābhāvo 'nyostītivādī	jala AdO= iti// vyAsa jya vRtti Darma avacCinna pratoyogi tAkA BAvaH anyosti iti vAdI
