   Mahāsāṃghikānāṃ prātimokṣasūtram	MahAsAMGikAnAm prAtimokza-sUtram
   PrMoSū(Mā)_Śai.60. na daṇḍapāṇisya agilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.60. na daNxa-pANisya agilAnasya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.61. na chatrapāṇisya agilānasya dharmandeśayiṣyāmīti	PrMoSU(MA)_ŚE.61. na Catra-pANisya agilAnasya DarmandeSayizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.62. na utpathena gacchanto pathena gacchantasya agilānasya	PrMoSU(MA)_ŚE.62. na utpaTena gacCantaH paTena gacCantasya agilAnasya
   dharmandeśayiṣyāmīti śikṣākaraṇīyā /	DarmandeSayizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.63. na pṛṣṭhato gacchanto purato gacchantasya agilānasya	PrMoSU(MA)_ŚE.63. na pRzWatas gacCantaH puratas gacCantasya agilAnasya
   dharmandeśayiṣyāmīti śikṣākaraṇīyā /	DarmandeSayizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.64. na pādena gacchanto yānena gacchantasya agilānasya	PrMoSU(MA)_ŚE.64. na pAdena gacCantaH yAnena gacCantasya agilAnasya
   dharmandeśayiṣyāmīti śikṣākaraṇīyā /	DarmandeSayizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.65. na harite tṛṇe ucchāraṃ vā praśrāvaṃ vā kheḍḍaṃ	PrMoSU(MA)_ŚE.65. na harite tRNe ucCAram vA praSrAvam vA Kexxam
   vāsiṃhāṇaṃ vā agilāno kariṣyāmīti śikṣākaraṇīyā /	vAsiMhANam vA agilAnaH karizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.66. na udake uccāraṃ vā praśrāvaṃ vā kheḍḍaṃ vā siṃhāṇakaṃ	PrMoSU(MA)_ŚE.66. na udake uccAram vA praSrAvam vA Kexxam vA siMhANakam
   vā agilāno kariṣyāmīti śikṣākaraṇīyā /	vA agilAnaH karizyAmi-iti SikzA-karaNIyA /
   PrMoSū(Mā)_Śai.67. na sthito uccāramvā praśrāvamvā agilāno kariṣyāmīti	PrMoSU(MA)_ŚE.67. na sTitaH uccAram-vA praSrAvam-vA agilAnaH karizyAmi-iti
   śikṣākaraṇīyā /	SikzA-karaNIyA /
   uddānam // [58-59] na śastrāyudha [60] daṇḍa [61] cchatra [62] utpatha	uddAnam // [58-59] na Sastra-AyuDaH [60] daNxaH [61] cCatra [62] utpaTa
   [63] pṛṣṭhato [64] yānaṃ [65] haritaṃ[66] udaka [67] sthitena / ṣaṣṭho	[63] pRzWatas [64] yAnam [65] haritaM[66] udaka [67] sTitena / zazWaH-
   vargaḥ //	vargaH //
   uddiṣtāḥ kho punarāyuṣmanto sātirekapañcāśata śaikṣādharmāḥ /	uddiztAH Ko punar-AyuzmantaH sa-atiH-ekapaQcASata SEkzA-DarmAH /
   tatrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ / dvitīyampi āyuṣmanto	tatra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH / dvitIyampi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ / tṛtīyampi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH / tRtIyampi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ / pariśuddhāḥ atrāyuṣmanto yasmāttūṣṇīmevametandhārayāmi /	pariSudDAH / pariSudDAH atra-AyuzmantaH yasmAt-tUzNIm-evam-etat-DArayAmi /
   VIII. THE SEVEN ADHIKARANA SAMATHA DHARMAS.	VIII. THE SEVEw ADHIKARANA SAMATHAH DHARMAS.
   ime kho punarāyuṣmanto sapta adhikaraṇasamathādharmā anvardhamāsaṃ sūtre	ime KaH punar-AyuzmantaH sapta aDikaraNa-samaTa-aDarmA anvarDa-mAsam sUtre
   prātimokṣe uddeśamāgacchanti /	prAtimokze uddeSam-AgacCanti /
   PrMoSū(Mā)_AŚ.1. ye utpannotpannānāmadhikaraṇānāṃ śamathāya vyapaśamathāya	PrMoSU(MA)_AŚ.1. ye utpanna-utpannAnAm-aDikaraNAnAm SamaTAya vyapaSam-aTAya
   sanvakṛte / saṃyyathīdaṃ saṃmukhavinayo śamatho /	sanvakRte / saMyyaTi-idam saMmuKa-vinayaH SamaTaH /
   PrMoSū(Mā)_AŚ.2. smṛtivinayo śamatho /	PrMoSU(MA)_AŚ.2. smRti-vinayaH SamaTaH /
   PrMoSū(Mā)_AŚ.3. amūḍhavinayo śamatho /	PrMoSU(MA)_AŚ.3. amUXa-vinayaH SamaTaH /
   PrMoSū(Mā)_AŚ.4. pratijñākārako śamatho /	PrMoSU(MA)_AŚ.4. pratijQA-kArakaH SamaTaH /
   PrMoSū(Mā)_AŚ.5. tasya pāpeyasiko śamatho /	PrMoSU(MA)_AŚ.5. tasya pApeyasikaH SamaTaH /
   PrMoSū(Mā)_AŚ.6. yo bhūyasiko śamatho /	PrMoSU(MA)_AŚ.6. yaH BUyasikaH SamaTaH /
   PrMoSū(Mā)_AŚ.7. tṛṇaprastārako ca śamatho / saptamo /	PrMoSU(MA)_AŚ.7. tRNaprastArakaH ca SamaTaH / saptamaH /
   uddiṣtāḥ kho punarāyuṣmanto sapta adhikaraṇasamathādharmā sūtrā yuṣmanto	uddiztAH Ko punar-AyuzmantaH sapta aDikaraNa-samaTa-aDarmA sUtrAH yuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ / dvitīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH / dvitIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ / tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ /	pariSudDAH / tRtIyam pi AyuzmantaH pRcCAmi kaccitTa pariSudDAH /
   pariśuddhāḥ atrāyuṣmanto yasmāttūṣṇīmevametaṃ dhārayāmi /	pariSudDAH atra-AyuzmantaH yasmAt-tUzNIm-evam-etam DArayAmi /
   ime kho punarāyuṣmanto duve dharmāḥ / dharmo anudharmaśu anvardhamāsaṃ	ime KaH punar-AyuzmantaH duve DarmAH / DarmaH anuDarma-Su anvarDamAsam
   sūtre prātimokṣe uddeśamāgacchanti /	sUtre prAtimokze uddeSam-AgacCanti /
   tatra dharmo nāma yamubhayato vinayo / anudharmo nāma yā atra pratipattiḥ	tatra DarmaH nAma yam-uBayatas vinayaH / anuDarmaH nAma yA atra pratipattiH
   uddiṣtāḥ kho punarāyuṣmanto duve dharmāḥ / dharmo anudharmaśu	uddiztAH Ko punar-AyuzmantaH duve DarmAH / DarmaH anuDarma-Su
   tetrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ / dvitīyaṃ pi āyuṣmanto	tetra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH / dvitIyam pi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ tṛtīyampi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH tRtIyampi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ / pariśuddhāḥ atrāyuṣmanto yasmāttūṣṇīmevametaṃ dhārayāmi /	pariSudDAH / pariSudDAH atra-AyuzmantaH yasmAt-tUzNIm-evam-etam DArayAmi /
   uddiṣṭaṃ / kho punarāyuṣmanto prātimokṣasya vastu / uddiṣṭaṃ nidānaṃ /	uddizwam / KaH punar-AyuzmantaH prAtimokzasya vastu / uddizwam nidAnam /
   uddiṣṭāścatvāraḥ pācattikā dharmāḥ / uddiṣtā trayodaśasaṃghātiśeṣāḥ	uddizwAH-catvAraH pAcattikAH DarmAH / uddiztA trayodaSa-saMGAti-SezAH
   dharmāḥ / uddiṣtāḥ duve aniyatā dharmāḥ / uddiṣṭā	DarmAH / uddiztAH duve aniyatAH DarmAH / uddizwA
   triṃśannisargikapācattikā dharmāḥ / uddiṣtā dvānavati śuddha pacattikā	triMSat-nisargi-kapAcattikAH DarmAH / uddiztA dvAnavati SudDa pacattikA
   dharmāḥ / uddiṣtāḥ catvāraḥ prātideśanikā dharmāḥ / uddiṣtāḥ	DarmAH / uddiztAH catvAraH prAtideSanikAH DarmAH / uddiztAH
   sātirekapaścāṣaḍ śaikṣā dharmāḥ / uddiṣtāssaptadhikaraṇaśamathādharmāḥ /	sa-atirekapaScAzaw SEkzAH DarmAH / uddiztAssaptaDikaraNa-SamaTa-aDarmAH /
   uddiṣtā duve dharmāḥ / dharmo anudharmaśu / etakoyaṃ punastasya bhagavato	uddiztAH duve DarmAH / DarmaH anuDarma-Su / etakoyam punar-tasya BagavataH-
   tathāgatasyārhataḥ samyak saṃbuddhasya dharmavinayo prātimokṣasūtrāgato	taTAgatasya-arhataH samyak saMbudDasya Darma-vinayaH prAtimokza-sUtra-AgataH-
   sūtraparyāpanno yo vā anyopi kaściddharmasya anudharmo tatra samagre hi	sUtra-paryApannaH yaH vE anyopi kaScid-Darmasya anuDarmaH tatra samagre hi
   sarvve hi sahite hi saṃmodamāne hi avivadamāne hi ekoddeśe hi kṣīrodakī	sarvve hi sahite hi saMmodamAne hi avivadamAne hi eka-uddeSe hi kzIrodakI
   kṛtehi śāstuḥ śāsanaṃ dīpayamāne hi / sukhañca phāsuñca viharante hi	kRtA-ihi SAstuH SAsanam dIpayamAne hi / suKaQca PAsuQca viharante hi
   anadhyāvācāya śikṣākaraṇīyā /	anaDyAvAcAya SikzA-karaNIyA /
   PrMoSū(Mā)_Schlußv.1. kṣāntiḥ paramantapo titikṣā nirvvāṇaṃ paramaṃ	PrMoSU(MA)_SClußv.1. kzAntiH param-antapaH titikzA nirvvANam paramam
   vadanti buddhāḥ /	vadanti budDAH /
   nahi pravrajitaḥ paropaghātī śravaṇo bhoti parānviheṭhayantaḥ /	na-hi pravrajitaH para-upaGAtI SravaNaH Boti parAn-viheWayantaH /
   idamtasya bhagavato vipaścitasya tathāgatasyārhataḥ samyaksaṃbuddhasva	idam-tasya BagavataH vipaScitasya taTAgatasya-arhataH samyaksaMbudDa-sva
   acirābhisaṃbuddhasya nirarbbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitam //	suBAzitam //
   PrMoSū(Mā)_Schlußv.2. āropavādī aparopaghātī pratimokṣe ca samvare	PrMoSU(MA)_SClußv.2. AropavAdI apara-upaGAtI pratimokze ca samvare
   mātrajñatā ca / bhuktismiṃ prāntañca śayanāsanaṃ adhicitte cāyogo etaṃ	mAtra-jQa-tA ca / Buktismim prAn-taQca Sayana-Asanam aDicitte ca-ayogaH etam
   buddhānuśāsanaṃ //	budDa-anuSAsanam //
   idaṃ tasya bhagavato śaikṣisya tathāgatasyārhataḥ samyaksaṃbuddhasya	idam tasya BagavataH SEkzisya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitam //	suBAzitam //
   PrMoSū(Mā)_Schlußv.3. adhicetasi mā pramādyate munino maunapadeṣuśikṣataḥ	PrMoSU(MA)_SClußv.3. aDicetasi mA pramAdyate muninaH mOna-pada-izu-SikzataH
   śokāḥ na bhavanti tāyino upaśāntasya sadāsmṛtīmataḥ //	SokAH na Bavanti tAyinaH upaSAntasya sadA-asmRtIm-ataH //
   idaṃ tasya bhagavate viśvabhuvasya tathāgatasyārhataḥ samyak saṃbuddhasya	idam tasya Bagavate viSvaBuvasya taTAgatasya-arhataH samyak saMbudDasya
   nirarbbude bhikṣusaṃghe saṃkṣiptena pratimokṣaṃ subhāṣitaṃ //	nirarbbude Bikzu-saMGe saMkziptena pratimokzam su-BAzitam //
   PrMoSū(Mā)_Schlußv.4. sarvva pāpasyākaraṇaṃ kuśalasyopasaṃpadā /	PrMoSU(MA)_SClußv.4. sarvva pApasya-akaraNam kuSalasya-upasaMpadA /
   sucitte paryodamanaṃ etad buddhānuśāsanam //	su-citte paryodamanam etat budDa-anuSAsanam //
   idantasya bhagavato krukrucchandasya tathāgatasyārhataḥ samyak	idantasya BagavataH krukrucCandasya taTAgatasya-arhataH samyak-
   saṃbuddhasya acirābhisaṃbuddhasya nirarbbude bhikṣusaṃghe saṃkṣiptena	saMbudDasya acira-aBisaMbudDasya nirarbbude Bikzu-saMGe saMkziptena
   pratimokṣaṃ subhāṣitaṃ //	pratimokzam su-BAzitam //
   PrMoSū(Mā)_Schlußv.5. yathāhi bhramaro puṣpamvaṇṇagandhagaheṇyaṃ	PrMoSU(MA)_SClußv.5. yaTA-hi BramaraH puzpamvaNNa-ganDa-gaheNyam
   paraiti rasamādāya evaṃ grāme muniścaret /	parEti rasam-AdAya evam grAme muniH-caret /
   PrMoSū(Mā)_Schlußv.6. na pareṣāṃ vilomāni na pareṣāṃ kṛtākṛtam /	PrMoSU(MA)_SClußv.6. na parezAm vilomAni na parezAm kRta-akRtam /
   ātmanastu samīkṣet kṛtānyakṛtāni ca //	AtmanaH-tu samIkzet kRta-anyakRtAni ca //
   idantasya bhagavato konākamunisya tathāgatasyārhataḥ samyaksaṃbuddhasya	idantasya BagavataH konAka-munisya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbbude bhikṣusaṃghe saṃkṣiptena pratimokṣaṃ	acira-aBisaMbudDasya nirarbbude Bikzu-saMGe saMkziptena pratimokzam
   subhāṣitam /	suBAzitam /
   PrMoSū(Mā)_Schlußv.7. nāsti dhyānamaprajñasya prajñānāsti adhyāyato /	PrMoSU(MA)_SClußv.7. na-asti DyAnam-aprajQasya prajQAna-asti aDyAyataH /
   yasya dhyānañca prajñā ca sa vai nirvāṇasya antike //	yasya DyAnaQca prajQA ca sa vE nirvANasya antike //
   tatrāyamādi bhavati / iha prajñasya bhikṣuṇo indriyaiguptiḥ saṃjñaptiḥ	tatra-ayam-Adi Bavati / iha prajQasya BikzuNaH indriya-eguptiH saMjQaptiH
   prātimokṣe ca saṃvaro //	prAtimokze ca saMvaraH //
   PrMoSū(Mā)_Schlußv.8. nityaṃ bhajet kalyāṇaṃ śuddhājīvamatandritaṃ /	PrMoSU(MA)_SClußv.8. nityam Bajet kalyANam SudDAjIvam-atandritam /
   pratisaṃstaravatti ca acārakuśalosi yā //	pratisaMstara-vatti ca acAra-kuSalosi yAH //
   tataḥ prāmodya bahulo bhikṣurnirvāṇasyeva antike //	tatas prAmodya bahulaH BikzuH-nirvANasya-iva antike //
   idaṃ tasya bhagavataḥ kāśyapasya tathāgatasyārhataḥ samyaksaṃbuddhasya	idam tasya BagavataH kASyapasya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitam //	suBAzitam //
   PrMoSū(Mā)_Schlußv.9. cakṣuṣā saṃvaraḥ sādhuḥ sādhuḥ śrotreṇa saṃvaraḥ /	PrMoSU(MA)_SClußv.9. cakzuzA saMvaraH sADuH sADuH SrotreNa saMvaraH /
   ghrāṇena saṃvaraḥ sādhuḥ sādhujihvāya saṃvaraḥ /	GrANena saMvaraH sADuH sADu-jihvAya saMvaraH /
   kāyena saṃvaraḥ sādhu manasā sādhu saṃvaraḥ /	kAyena saMvaraH sADu manasA sADu saMvaraH /
   sarvatra saṃvṛto bhikṣuḥ sarvaduḥkhātpramucyate //	sarvatra saMvRtaH BikzuH sarva-duHKAt-pramucyate //
   idantasya bhagavataḥ śākyamuneḥ śākyādhirājasya tathāgatasyārhataḥ samyak	idantasya BagavataH SAkya-muneH SAkya-aDirAjasya taTAgatasya-arhataH samyak-
   sambuddhasya acirābhisaṃbuddhasya nirarbbude bhikṣusaṃghe saṃkṣiptena	sambudDasya acira-aBisaMbudDasya nirarbbude Bikzu-saMGe saMkziptena
   pratimokṣaṃ subhāṣitam /	pratimokzam su-BAzitam /
   etāni pratimokṣāṇi saṃbuddhānāṃ śirīmatāṃ / kirtītāḥ	etAni pratimokzANi saMbudDAnAm SirImatAm / kirtItAH
   ...................................................maṃ.......................................	...................................................maM.......................................
   [1] vipaśvī ānāyavadyañca [2] śikhī prakāśayati adhicittañca [3] viśvabhuḥ	[1] vipaSvI AnAya-vat-yaQca [2] SiKI prakASayati aDicit-taQca [3] viSvaBuH
   / akaraṇañca pāpānāṃ [4] krukrucchandaḥ / duryāñca [5] konākamuniḥ / [6]	/ akaraNaQca pApAnAm [4] krukrucCandaH / duryAQca [5] konAka-muniH / [6]
   dhyānāni ca kāśyapo prakāśayati [7] saṃvaraṃ śākyamuneḥ / ete	DyAnAni ca kASyapaH prakASayati [7] saMvaram SAkya-muneH / ete
   saptadaśabalā / mahāprajñā amitabuddhī saptānāṃ samyak	saptadaSa-balA / mahA-prajQA amita-budDI saptAnAm samyak-
   saṃbuddhānāṃ....nā....śyā....dhipatīnāṃ dharmākhyānāni uktāni / uddistaṃ	saMbudDAnAM....nA....SyA..-..Di-patInAm Darma-AKyAnAni uktAni / uddistam
   prātimokṣasūtraṃ / kṛtaṃ saṃghena yo ca dha....āryāḥ....pālayantu /	prAtimokza-sUtram / kRtam saMGena yaH ca Da....AryAH....pAlayantu /
   samāptaṃ / prātimokṣasūtraṃ āryamahāsāṃghikānāṃ lokottaravādināṃ	samAptam / prAtimokza-sUtram Arya-mahA-sAMGikAnAm loka-uttara-vAdinAm
   mādhyāddeśikānāṃ pāṭhi.... / ye dharmahetuprabhavā taṃ pi tathāgato	mADyAt-deSikAnAm pAWi.... / ye Darma-hetu-praBavA tam pi taTAgataH-
   avadatteṣāñca yonirodhaṃ evaṃ vādī mahāśravaṇaḥ / ye dharmmo yaṃ	avadat-ta-izAn-ca yoni-roDam evam vAdI mahASravaNaH / ye DarmmaH yam
   pravaramahāyāna payiśya śākyabhikṣuloka .... /	pravara-mahAyAna payiSya SAkya-Bikzu-loke .... /
   śākyabhikṣu śrīvijayabhadralikhitamidam //	SAkya-Bikzu SrI-vijaya-Badra-liKitam-idam //
