   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   adhyaiyi / adhyaivahi / adhyaimahi / adhīyīta / adhīyīyātām / adhīyīran /	aDyEyi / aDyEvahi / aDyEmahi / aDIyIta / aDIyIyAtAm / aDIyIran /
   adhyeṣīṣṭa //	aDyezi-izwaH //
   vibhāṣā luṅḷṅoḥ // VLk_589 = P_2,4.50 //	viBAzA luF?FoH // VLk-_589  P_2,4.50 //
   iṅo gāṅ vā syāt //	iFaH gAF vA syAt //
   gāṅkuṭādibhyo 'ñṇinṅit // VLk_590 = P_1,2.1 //	gAFkuwa-AdiByaH aQNinFit // VLk-_590  P_1,2.1 //
   gāṅādeśātkṛṭādibhyaśca pare 'ñṇitaḥ pratyayā ṅitaḥ syuḥ //	gAFAdeSAt-kRwa-AdiByaH-ca pare aQNitaH pratyayAH FitaH syuH //
   dhumāsthāgāpājahātisāṃ hali // VLk_591 = P_6,4.66 //	DumA-sTA-gApa-ajahA-atisAm hali // VLk-_591  P_6,4.66 //
   eṣāmāta ītsyāddhalādau kṅityārdhadhātuke / adhyagīṣṭa, adhyaiṣṭa /	ezA-amAtaH It-syAt-hala-AdO kFityA-arDaDAtuke / aDyagIzwa, aDyEzwa /
   adhyagīṣyata, adhyaiṣyata // duha prapūraṇe // 21 // dogdhi / dugdhaḥ /	aDyagIzyata, aDyEzyata // duha prapUraNe // 21 // dogDi / dugDaH /
   duhanti / dhokṣi / dugdhe / duhāte / duhate / dhukṣe / duhāthe / dhugdhve	duhanti / Dokzi / dugDe / duhAte / duhate / Dukze / duhATe / DugDve
   / duhe / duhvahe / duhmahe / dudoha, duduhe / dogdhāsi, dogdhāse /	/ duhe / duhvahe / duhmahe / dudoha, duduhe / dogDA-asi, dogDAse /
   dhokṣyati, dhokṣyate / dogdhu, dugdhāt / dugdhām / duhantu / dugdhi,	Dokzyati, Dokzyate / dogDu, dugDAt / dugDAm / duhantu / dugDi,
   dugdhāt / dugdham / dugdha / dohāni / dohāva / dohāma / dugdhām / duhātām	dugDAt / dugDam / dugDa / dohAni / dohAva / dohAma / dugDAm / duhAtAm
   / duhatām / dhukṣva / duhāthām / dhugghvam / dohai / dohāvahai / dohāmahai	/ duhatAm / Dukzva / duhATAm / Duk-hvam / dohEH / dohAvahEH / dohAmahE
   / adhok / adugdhām / aduhan / adoham / adugdha / aduhātām / aduhata /	/ aDok / adugDAm / aduhan / adoham / adugDaH / aduhAtAm / aduhata /
   adhugdhvam / duhyāt, duhīta //	aDugDvam / duhyAt, duhItaH //
   liṅsicāvātmanepadeṣu // VLk_592 = P_1,2.11 //	liFsi-cO=-AtmanA-ipadezu // VLk-_592  P_1,2.11 //
   iksamīpāddhalaḥ parau jhalādī liṅsicau kitau stastaṅi / dhukṣīṣṭa //	iksamIpAt-halaH parO JalAdI liFsicO kitO staH-taFi / DukzIzwaH //
   śala igupadhādaniṭaḥ ksaḥ // VLk_593 = P_3,1.45 //	SalaH igupaDAt-aniwaH ksaH // VLk-_593  P_3,1.45 //
   igupadho yaḥ śalantastasmādaniṭaścleḥ ksādeśaḥ syāt / adhukṣat //	ij-upaDaH yaH SalantaH-tasmAt-aniwaH-cleH ksAdeSaH syAt / aDukzat //
   lugvā duhadihalihaguhāmātmanepade dantye // VLk_594 = P_7,3.73 //	lugvA duhadihali-hagu-hAma-Atmanepade dantye // VLk-_594  P_7,3.73 //
   eṣāṃ ksasya lugvā syāddantye taṅi / adugdha, adhukṣata //	ezAm ksasya lugvA syAt-dantye taFi / adugDa, aDukzata //
   ksasyāci // VLk_595 = P_7,3.72 //	ksasyAci // VLk-_595  P_7,3.72 //
    ajādau taṅi ksasya lopaḥ / adhukṣātām / adhukṣanta / adugdhāḥ,	aja-AdO taFi ksasya lopaH / aDukzAtAm / aDukzanta / adugDAH,
   adhukṣathāḥ / adhukṣāthām / adhugdhvam, adhukṣadhvam / adhukṣi / aduhvahi,	aDukzaTAH / aDukzATAm / aDugDvam, aDukzaDvam / aDukzi / aduhvahi,
   adhukṣāvahi / adhukṣāmahi / adhokṣyata // evaṃ diha upacaye // 22 // liha	aDukzAvahi / aDukzAmahi / aDokzyata // evam dihe upacaye // 22 // liha
   āsvādane // 23 // leḍhi / līḍhaḥ / lihanti / lekṣi / līḍhe / lihāte /	AsvAdane // 23 // leXi / lIXaH / lihanti / lekzi / lIXe / lihAte /
   lihate / likṣe / lihāthe / līḍhve / lileha, lilihe / leḍhāsi, leḍhāse /	lihate / likze / lihATe / lIXve / lileha, lilihe / leXA-asi, leXAse /
   lekṣyati, lekṣyate / leḍhu / līḍhām / lihantu / līḍhi / lehāni / līḍhām /	lekzyati, lekzyate / leXu / lIXAm / lihantu / lIXi / lehAni / lIXAm /
   aleṭ, aleḍ / alikṣat, alīḍha, alikṣata / alekṣyat, alekṣyata // brūñ	alew, alej / alikzat, alIXa, alikzata / alekzyat, alekzyata // brUn-
   vyaktāyāṃ vāci // 24 //	vyaktAyAm vAci // 24 //
   bruvaḥ pañcānāmādita āho bruvaḥ // VLk_596 = P_3,4.84 //	bruvaH paQcAnAm-Aditas Aho bruvaH // VLk-_596  P_3,4.84 //
   bruvo laṭastibādīnāṃ pañcānāṃ ṇalādayaḥ pañca vā syurbruvaścāhādeśaḥ / āha	bruvaH lawaH-tibAdInAm paQcAnAm Nala-AdayaH paQca vA syuH-bruvaH-ca-aha-AdeSaH / Aha
   / āhatuḥ / āhuḥ //	/ AhatuH / AhuH //
   āhasthaḥ // VLk_597 = P_8,2.35 //	AhasTaH // VLk-_597  P_8,2.35 //
   jhali pare / cartvam / āttha / āhathuḥ //	Jali pare / ca-Rtvam / AtTa / AhaTuH //
   bruva īṭ // VLk_598 = P_7,3.93 //	bruvaH IS // VLk-_598  P_7,3.93 //
   bruvaḥ parasya halādeḥ pita īṭ syāt / bravīti / brūtaḥ / bruvanti / brūte	bruvaH parasya hala-AdeH pite Iw syAt / bravIti / brUtaH / bruvanti / brUte
   / bruvāte / bruvate //	/ bruvAte / bruvate //
   bruvo vaciḥ // VLk_599 = P_2,4.53 //	bruvaH vaciH // VLk-_599  P_2,4.53 //
   ārdhadhātuke / uvāca / ūcatuḥ / ūcuḥ / uvacitha, uvaktha / ūce / vaktāsi,	ArDaDAtuke / uvAca / UcatuH / UcuH / uvaciTa, uvakTa / Uce / vaktAsi,
   vaktāse / vakṣyati, vakṣyate / bravītu, brūtāt / bruvantu / brūhi /	vaktAse / vakzyati, vakzyate / bravItu, brUtAt / bruvantu / brUhi /
   bravāṇi / brūtām / bravai / abravīt, abrūta / brūyāt, bruvīta / ucyāt,	bravANi / brUtAm / bravEH / abravIt, abrUta / brUyAt, bruvIta / ucyAt-,
   vakṣīṣṭa //	vakzIzwaH //
   asyativaktikhyātibhyo 'ṅ // VLk_600 = P_3,1.52 //	asyati-vakti-KyAtiByaH aF // VLk-_600  P_3,1.52 //
   ebhyaścaleraṅ syāt //	eByaH-caleraF syAt //
   vaca um // VLk_601 = P_7,4.20 //	vacaH um // VLk-_601  P_7,4.20 //
   aṅi pare / avocat, avocata / avakṣyat, avakṣyata / (ga. sū.) carkarītaṃ ca	aFi pare / avocat, avocata / avakzyat, avakzyata / (ga. sU.) carkarItam ca
   / carkarītamiti yaṅlugantasya saṃjñā, tadadādau bodhyam // ūrṇuñ ācchādane	/ carkarItam-iti yaFlugantasya saMjQA, tadad-AdO boDyam // UrNun AcCAdane
   ūrṇotervibhāṣā // VLk_602 = P_7,3.90 //	UrNoteH-viBAzA // VLk-_602  P_7,3.90 //
   vā vṛddhiḥ syāddhalādau piti sārvadhātuke / ūrṇauti, ūrṇoti / ūrṇutaḥ /	vA vRdDiH syAt-hala-AdO piti sArvaDAtuke / UrNOti, UrNoti / UrNutaH /
   ūrṇuvanti / ūrṇute / ūrṇuvāte / ūrṇuvate / (ūrṇoterāmneti vācyam) //	UrNuvanti / UrNute / UrNuvAte / UrNuvate / (UrNoterAmnA-iti vAcyam) //
   na ndrāḥ saṃyogādayaḥ // VLk_603 = P_6,1.3 //	na ndrAH saMyoga-AdayaH // VLk-_603  P_6,1.3 //
   acaḥ parāḥ saṃyogādayo nadarā dvirna bhavanti / nuśabdasya dvitvam /	acaH parAH saMyoga-AdayaH nadarAH dvis-na Bavanti / nu-Sabdasya dvi-tvam /
   ūrṇunāva / ūrṇunuvatuḥ / ūrṇunuvuḥ //	UrNu-nAvaH / UrNunuvatuH / UrNunuvuH //
   vibhāṣorṇoḥ // VLk_604 = P_1,2.3 //	viBAzA-UrNoH // VLk-_604  P_1,2.3 //
   iḍādipratyayo vā ṅitsyāt / ūrṇunuvitha, ūrṇunavitha / ūrṇuvitā, ūrṇavitā /	ixA-Adi-pratyayaH vA FitsyAt / UrNunuviTa, UrNunaviTaH / UrNuvitA, UrNavitA /
   ūrṇuviṣyati, ūrṇaviṣyati / ūrṇautu, ūrṇotu / ūrṇavāni / ūrṇavai //	UrNu-vizyati, UrNavizyati / UrNOtu, UrNotu / UrNavAni / UrNavE //
   guṇo 'pṛkte // VLk_605 = P_7,3.91 //	guNaH apRkte // VLk-_605  P_7,3.91 //
   ūrṇoterguṇo 'pṛkte halādau piti sārvadhātuke / vṛddhyapavādaḥ / aurṇotu /	UrNoteH-guNaH apRkte hala-AdO piti sArvaDAtuke / vRdDi-apavAdaH / OrNotu /
   aurṇoḥ / ūrṇuyāt / ūrṇuyāḥ / ūrṇuvīta / ūrṇūyāt / ūrṇuviṣīṣṭa, ūrṇaviṣīṣṭa	OrNoH / UrNuyAt / UrNuyAH / UrNuvIta / UrNUyAt / UrNu-vizi-izwa, UrNa-vizIzwa
   ūrṇotervibhāṣā // VLk_606 = P_7,1.6 //	UrNoteH-viBAzA // VLk-_606  P_7,1.6 //
   iḍādau sici vā vṛddhiḥ parasmaipade pare / pakṣe guṇaḥ / aurṇāvīt,	ixA-AdO sici vA vRdDiH parasmEpade pare / pakze guNaH / OrNAvIt,
   aurṇuvīt, aurṇavīt / aurṇāviṣṭām, aurṇuviṣṭām, aurṇaviṣṭām / aurṇuviṣṭa,	OrNuvIt, OrNavIt / OrNa-AvizwAm, OrNuvizwAm, OrNa-vizwAm / OrNuvizwa,
   aurṇaviṣṭa / aurṇuviṣyat, aurṇaviṣyat / aurṇuviṣyata, aurṇaviṣyata //	OrNa-vizwaH / OrNuvizyat, OrNavizyat / OrNu-vizyata, OrNavizyate //
   ityadādayaḥ // 2 //	iti-ad-a-AdayaH // 2 //
   atha juhotyādayaḥ	aTa juhoti-AdayaH
   hu dānādanayoḥ // 1 //	hu dAnAt-anayoH // 1 //
   juhotyādibhyaḥ śluḥ // VLk_607 = P_2,4.75 //	juhoti-AdiByaH SluH // VLk-_607  P_2,4.75 //
   śapaḥ śluḥ syāt //	SapaH SluH syAt //
   ślau // VLk_608 = P_6,1.10 //	SlO // VLk-_608  P_6,1.10 //
   dhātordve staḥ / juhoti / juhutaḥ /	DAtoH-dve staH / juhoti / juhutaH /
   adabhyastāt // VLk_609 = P_7,1.4 //	adaByastAt // VLk-_609  P_7,1.4 //
   jhasyātsyāt / huśnuvoriti yaṇ / juhvati //	JasyAt-syAt / huSnuvoH-iti yaN / juhvati //
   bhīhrībhṛhuvāṃ śluvacca // VLk_610 = P_3,1.39 //	BI-hrI-BRhuvAm Sluvat-ca // VLk-_610  P_3,1.39 //
   ebhyo liṭi ām vā syādāmi ślāviva kāryaṃ ca / juhavāñcakāra, juhāva / hotā	eByaH liwi Am vA syAdAmi SlA=-iva kAryam ca / juhavAQcakAra, juhAva / hotA
   / hoṣyati / juhotu, juhutāt / juhutām / juhvatu / juhudhi / juhavāni /	/ hozyati / juhotu, juhutAt / juhutAm / juhvatu / juhuDi / juhavAni /
   ajuhot / ajuhutām //	ajuhot / ajuhutAm //
   jusi ca // VLk_611 = P_7,3.83 //	jusi ca // VLk-_611  P_7,3.83 //
   igantāṅgasya guṇo 'jādau jusi / ajuhavuḥ / juhuyāt / hūyāt / ahauṣīt /	iganta-aFgasya guNaH aja-AdO jusi / ajuhavuH / juhuyAt / hUyAt / ahOzIt /
   ahoṣyat // ñibhī bhaye // 2 // bibheti //	ahozyat // QiBI Baye // 2 // biBeti //
   bhiyo 'nyatarasyām // VLk_612 = P_6,4.115 //	BiyaH anyatarasyAm // VLk-_612  P_6,4.115 //
   ikāro vā syāddhalādau kṅiti sārvadhātuke / bibhitaḥ, bibhītaḥ / bibhyati /	ikAraH vA syAt-hala-AdO kFiti sArvaDAtuke / biBitaH, biBItaH / biByati /
   bibhayāñcakāra, bibhāya / bhetā / bheṣyati / bibhetu, bibhitāt, bibhītāt /	biBaya-aQcakAra, biBAya / BetA / Bezyati / biBetu, biBita-at, biBItAt /
   abibhet / bibhīyāt / bhīyāt / abhaiṣīt / abheṣyat // hrī lajjāyām // 3 //	abiBet / biBIyAt / BIyAt / aBEzIt / aBezyat // hrI lajjAyAm // 3 //
   jihreti / jihrītaḥ / jihriyati / jihrayāñcakāra, jihrāya / hretā /	jihrA-iti / jihrItaH / jihriyati / jihrayAQcakAra, jihrAya / hretA /
   hreṣyati / jihretu / ajihret / jihriyāt / hrīyāt / ahraiṣīt / ahreṣyat //	hrezyati / jihretu / ajihret / jihriyAt / hrIyAt / ahrEzIt / ahrezyat //
   pṝ pālana pūraṇayoḥ // 4 //	pL pAlana pUraNayoH // 4 //
   artipipartyośca // VLk_613 = P_7,4.77 //	arti-pipartyoH-ca // VLk-_613  P_7,4.77 //
   abhyāsasya ikāro 'ntādeśaḥ syāt ślau / piparti //	aByAsasya ikAraH anta-AdeSaH syAt SlO / piparti //
   udoṣṭhyapūrvasya // VLk_614 = P_7,1.102 //	udozWya-pUrvasya // VLk-_614  P_7,1.102 //
   aṅgāvayavauṣṭhyapūrvo ya ṝt tadantasyāṅgasya ut syāt //	aFga-avayava-ozWya-pUrvaH yaH Lt tad-antasya-aFgasya ud syAt //
   hali ca // VLk_615 = P_8,2.77 //	hali ca // VLk-_615  P_8,2.77 //
   rephavāntasya dhāterupadhāyā iko dīrgho hali / pipūrtaḥ / pipurati /	rePa-vAntasya DAteH-upaDAyAH ikaH dIrGaH hali / pipUrtaH / pipurati /
   papāra //	papAra //
   śṝdṝprāṃ hrasvo vā // VLk_616 = P_7,4.12 //	SLdLprAm hrasvaH vA // VLk-_616  P_7,4.12 //
   eṣāṃ liṭi hrasvo vā syāt / papratuḥ //	ezAm liwi hrasvaH vA syAt / papratuH //
   ṛcchatyṝtām // VLk_617 = P_7,4.11 //	RcCatyLtAm // VLk-_617  P_7,4.11 //
   taudādika ṛccher ṛdhātor ṝtāṃ ca guṇo liṭi / paparatuḥ / paparuḥ //	tOdAdikaH RcCeH RDAtoH LtAm ca guNaH liwi / paparatuH / paparuH //
   vṝto vā // VLk_618 = P_7,2.38 //	vLtaH vA // VLk-_618  P_7,2.38 //
   vṛṅvṛñbhyāmṝdantācceṭo dīrgho vā syānna tu liṭi / paritā, parītā /	vRc-vRQByAmLdantAt-cewaH dIrGaH vA syAt-na tu liwi / paritA, parItAH /
   parīṣyati, pariṣyati / pipartu / apipaḥ / apipūrtām / apiparuḥ / pipūryāt	parIzyati, parizyati / pipartu / apipaH / apipUrtAm / apiparuH / pipUryAt-
   / pūryāt / apārīt //	/ pUryAt / apArIt //
   sici ca parasmaipadeṣu // VLk_619 = P_7,2.40 //	sici ca parasma-epadezu // VLk-_619  P_7,2.40 //
   atra iṭo na dīrghaḥ / apāriṣṭām / apariṣyat, aparīṣyat // ohāk tyāge // 5	atra iwaH na dIrGaH / apArizwAm / aparizyat, aparIzyat // ohAk tyAge // 5
   // jahāti //	// jahAti //
   jahāteśca // VLk_620 = P_6,4.116 //	jahAteH-ca // VLk-_620  P_6,4.116 //
   idvā syāddhalādau kṅiti sārvadhātuke / jahitaḥ //	idvA syAt-hala-AdO kFiti sArvaDAtuke / jahitaH //
   ī halyaghoḥ // VLk_621 = P_6,4.113 //	I halyaGoH // VLk-_621  P_6,4.113 //
   śnābhyastayorāta īt syāt sārvadhātuke kṅiti halādau na tu ghoḥ / jahītaḥ	SnAByaH-tayoH-AtaH It syAt sArvaDAtuke kFiti hala-AdO na tu GoH / jahItaH
   śnābhyastayorātaḥ // VLk_622 = P_6,4.112 //	SnAByaH-tayoH-AtaH // VLk-_622  P_6,4.112 //
   anayorāto lopaḥ kṅiti sārvadhātuke / jahati / jahau / hātā / hāsyati /	anayorAtaH lopaH kFiti sArvaDAtuke / jahati / jahO / hAtA / hAsyati /
   jahātu, jahitāt, jahītāt //	jahAtu, jahitAt, jahItAt //
   ā ca hau // VLk_623 = P_6,4.117 //	A ca hO // VLk-_623  P_6,4.117 //
   jahāterhai pare ā syāccādidītau / jahāhi, jahihi, jahīhi / ajahāt / ajahuḥ	jahAteH-hE pare A syAt-ca-Adi-dItO / jahAhi, jahihi, jahIhi / ajahAt / ajahuH
   lopo yi // VLk_624 = P_6,4.118 //	lopaH yi // VLk-_624  P_6,4.118 //
   jahāterālopo yādau sārvadhātuke / jahyāt / erliṅi / heyāt / ahāsīt /	jahAteH-AlopaH yAdO sArvaDAtuke / jahyAt / erliFi / heyAt / ahAsIt /
   ahāsyat // māṅ māne śabde ca // 6 //	ahAsyat // mAk mAne Sabde ca // 6 //
   bhṛñāmit // VLk_625 = P_7,4.76 //	BRQAmit // VLk-_625  P_7,4.76 //
   bhṛñ māṅ ohāṅ eṣāṃ trayāṇāmabhyāsasya itsyāt ślau / mimīte / mimāte /	BRQ mAF ohAF ezAm trayANAm-aByAsasya itsyAt SlO / mimIte / mimAte /
   mimate / mame / mātā / māsyate / mimītām / amimīta / mimīta / māsīṣṭa /	mimate / mame / mAtA / mAsyate / mimItAm / amimIta / mimIta / mAsi-izwa /
   amāsta / amāsyata // ohāṅ gatau // 7 // jihīte / jihāte / jihate / jahe /	amAste / amAsyate // ohAF gatO // 7 // jihIte / jihAte / jihate / jahe /
   hātā / hāsyate / jihītām / ajihīta / jihīta / hāsīṣṭa / ahāsta / ahāsyata	hAtA / hAsyate / jihItAm / ajihIta / jihIta / ha-asi-izwa / ahAste / ahAsyata
   // ḍu bhṛñ dhāraṇapoṣaṇayoḥ // 8 // bibharti / bibhṛtaḥ / bibhrati /	// xu BRQ DAraNa-pozaNayoH // 8 // biBarti / biBRtaH / biBrati /
   bibhṛte / bibhrāte / bibhrate / vibharāñcakāra, babhāra / babhartha /	biBRte / biBrAte / biBrate / viBarAQca-kAra, baBAra / baBarTa /
   babhṛva / bibharāñcakre, babhre / bhartāsi, bhartāse / bhariṣyati,	baBRva / biBarAn-cakre, baBre / BartAsi, BartAse / Barizyati,
   bhariṣyate / bibhartu / bibharāṇi / bibhṛtām / abibhaḥ / abibhṛtām /	Barizyate / biBartu / biBarANi / biBRtAm / abiBaH / abiBRtAm /
   abibharuḥ / abibhṛta / bibhṛyāt, bibhrīta / bhriyāt, bhṛṣīṣṭa / abhārṣīt,	abiBaruH / abiBRta / biBRyAt, biBrIta / BriyAt, BRzIzwa / aBArzIt,
   abhṛta / abhariṣyat, abhariṣyata // ḍu dāñ dāne // 9 // dadāti / dattaḥ /	aBRta / aBarizyat, aBarizyata // xu dAn dAne // 9 // dadAti / dattaH /
   dadati / datte / dadāte / dadate / dadau, dade / dātāsi, dātāse / dāsyati,	dadati / datte / dadAte / dadate / dadO, dade / dAtA-asi, dAtAse / dAsyati,
   dāsyate / dadātu //	dAsyate / dadAtu //
   dādhā ghvadāp // VLk_626 = P_1,1.20 //	dADA GvadAB // VLk-_626  P_1,1.20 //
   dārūpā dhārūpāśca dhātavo ghusaṃjñāḥ syurdāpdaipau vinā / ghvasorityettvam	dArUpAH DArUpAH-ca DAtavaH Gu-saMjQAH syuH-dApda-epO vinA / GvasoH-iti-et-tvam
   / dehi / dattam / adadāt, adatta / dadyāt, dadīta / deyāt, dāsīṣṭa / adāt	/ dehi / dattam / adadAt, adatta / dadyAt, dadIta / deyAt, dAsIzwa / adAt-
   / adātām / aduḥ //	/ adAtAm / aduH //
   sthāghvoricca // VLk_627 = P_1,2.17 //	sTAGvorit-ca // VLk-_627  P_1,2.17 //
   anayoridantādeśaḥ sicca kitsyādātmanepade / adita / adāsyat, adāsyata //	anayA-uridanta-AdeSaH sicca kitsyAt-Atmanepade / aditaH / adAsyat, adAsyata //
   ḍu dhāñ dhāraṇapoṣaṇayoḥ // 10 // dadhāti //	xu DAn DAraNa-pozaNayoH // 10 // daDAti //
   dadhastathośca // VLk_628 = P_8,2.38 //	daDaH-taToH-ca // VLk-_628  P_8,2.38 //
   dviruktasya jhaṣantasya dhāño baśo bhaṣ syāttayoḥ sdhvośca parataḥ /	dvis-uktasya Jazantasya DAQaH baSaH Baz syAt-tayoH sDvoH-ca paratas /
   dhattaḥ / dadhati / dadhāsi / dhatthaḥ / dhattha / dhatte / dadhāte /	DattaH / daDati / daDAsi / DatTaH / DatTa / Datte / daDAte /
   dadhate / dhatse / dhaddhve / ghvasoreddhāvabhyāsa lopaśca / dhehi /	daDate / Datse / DadDve / GvasoH-edDO=-aByAsa lopaH-ca / Dehi /
   adadhāt, adhatta / dadhyāt, dadhīta / dheyāt, dhāsīṣṭa / adhāt, adhita /	adaDAt, aDatta / daDyAt, daDIta / DeyAt, DAsIzwa / aDAt, aDitaH /
   adhāsyat / adhāsyata // ṇijir śaucapoṣaṇayoḥ // 11 // (ira itsaṃjñā vācyā)	aDAsyat / aDAsyate // NijiH SOca-pozaNayoH // 11 // (iraH id-saMjQA vAcyA)
   ṇijāṃ trayāṇāṃ guṇaḥ ślau // VLk_629 = P_7,4.57 //	NijAm trayANAm guNaH SlO // VLk-_629  P_7,4.57 //
   ṇijvijviṣāmabhyāsasya guṇaḥ syāt ślau / nenekti / neniktaḥ / nenijati /	NijvijvizAm-aByAsasya guNaH syAt SlO / nena-ikti / neniktaH / nenijati /
   nenikte / nineja, ninije / nektā / nekṣyati, nekṣyate / nenektu / nenigdhi	nenikte / nineja, ninije / na-IktA / na-Ikzyati, na-Ikzyate / nenektu / nenigDi
   nābhyastasyāci piti sārvadhātuke // VLk_630 = P_7,3.87 //	nAByaH-tasya-aci piti sArvaDAtuke // VLk-_630  P_7,3.87 //
   laghūpadhaguṇo na syāt / nenijāni / neniktām / anenek / aneniktām /	laGu-upaDa-guNaH na syAt / neni-jAni / neniktAm / anenek / aneniktAm /
   anenijuḥ / anenijam / anenikta / nenijyāt / nenijīta / nijyāt, nikṣīṣṭa //	anenijuH / aneni-jam / aneniktaH / nenijyAt / neni-jIta / nijya-at, nikzIzwaH //
   irito vā // VLk_631 = P_3,2.57 //	iritaH vA // VLk-_631  P_3,2.57 //
   irito dhātoścleraṅ vā parasmai padeṣu / anijat, anaikṣīt, anikta /	iritaH DAtoH-cleraF vA parasmE padezu / anijat, anEkzIt, aniktaH /
   anekṣyat, anekṣyata //	anekzyat, anekzyate //
   iti juhotyādayaḥ // 3 //	iti juhoti-AdayaH // 3 //
   atha divādayaḥ	aTa divAdayaH
   divu krīḍāvijigīṣāvyavahāradyutistutimodamadasvapnakāntigatiṣu // 1 //	divu krIxA-vijigIzA-vyavahAra-dyuti-stutimoda-mada-svapna-kAnti-gatizu // 1 //
   divādibhyaḥ śyan // VLk_632 = P_3,1.69 //	divAdiByaH Syan // VLk-_632  P_3,1.69 //
   śapo 'pavādaḥ / hali ceti dīrghaḥ / dīvyati / dideva / devitā / deviṣyati	SapaH apavAdaH / hali ca-iti dIrGaH / dIvyati / dideva / devitA / devizyati
   / dīvyatu / adīvyat / dīvyet / dīvyāt / adevīt / adeviṣyat // evaṃ ṣivu	/ dIvyatu / adIvyat / dIvyet / dIvyAt / adevIt / adevizyat // evam zivu
   tantusantāne // 2 // nṛtī gātravikṣepe // 3 // nṛtyati / nanarta / nartitā	tantu-santAne // 2 // nRtI gAtra-vikzepe // 3 // nRtyati / nanarta / nartitA
   se 'sici kṛtacṛtacchṛdatṛdanṛtaḥ // VLk_633 = P_7,2.57 //	se asici kRta-cRta=-CRdatRd-anRtaH // VLk-_633  P_7,2.57 //
   ebhyaḥ parasya sijbhinnasya sāderārdhadhātukasyeḍvā / nartiṣyati,	eByaH parasya sijBinnasya sAdera-arDa-DAtukasya-IxvA / nartizyati,
   nartsyati / nṛtyatu / anṛtyat / nṛtyet / nṛtyāt / anartīt / anartiṣyat,	nartsyati / nRtyatu / anRtyat / nRtyet / nRtyAt / anartIt / anartizyat,
   anartsyat // trasī udvege // 4 // vā bhrāśeti śyanvā / trasyati, trasati /	anartsyat // trasI udvege // 4 // vA BrASA-iti SyanvA / trasyati, trasati /
   tatrāsa //	tatra-Asa //
   vā jṝbhramutrasām // VLk_634 = P_6,4.124 //	vA jLBra-mutrasAm // VLk-_634  P_6,4.124 //
   eṣāṃ kiti liṭi seṭi thali ca etvābhyāsalopau vā / tresatuḥ, tatrasatuḥ /	ezAm kiti liwi sewi Tali ca etva-aByAsa-lopO vA / tresatuH, tatrasatuH /
   tresitha, tatrasitha / trasitā // śo tanūkaraṇe // 5 //	tresiTa, tatrasiTa / trasitAH // SaH tanUkaraNe // 5 //
   otaḥ śyani // VLk_635 = P_7,3.71 //	otaH Syani // VLk-_635  P_7,3.71 //
   lopaḥ syāt / śyati / śyataḥ / śyanti / śaśau / śaśatuḥ / śātā / śāsyati //	lopaH syAt / Syati / SyataH / Syanti / SaSO / SaSatuH / SAtA / SAsyati //
   vibhāṣā ghrādheṭśācchāsaḥ // VLk_636 = P_2,4.78 //	viBAzA GrADewSAt-SAsaH // VLk-_636  P_2,4.78 //
    ebhyassico lugvā syātparasmaipade pare / aśāt / aśātām / aśuḥ / iṭsakau /	eByassicaH lugvA syAt-parasmEpade pare / aSAt / aSAtAm / aSuH / iwsakO /
   aśāsīt / aśāsiṣṭām // cho chedane // 6 // chyati // ṣo 'ntakarmaṇi // 7 //	aSAsIt / aSAsizwAm // CaH Cedane // 6 // Cyati // zaH anta-karmaNi // 7 //
   syati / sasau // do 'vakhaṇḍane // 8 // dyati / dadau / deyāt / adāt //	syati / sasO // daH avaKaNxane // 8 // dyati / dadO / deyAt / adAt //
   vyadha tāḍane // 9 //	vyaDa tAxane // 9 //
   grahijyāvayivyadhivaṣṭivicativṛścatipṛcchatibhṛñjatīnāṃ ṅiti ca // VLk_637	grahi-jyA-vayi-vyaDivazwi-vicati-vRScati-pRcCati-BRQjatInAm Fiti ca // VLk-_637
   = P_6,1.16 //	 P_6,1.16 //
   eṣāṃ samprasāraṇaṃ syātkiti ṅiti ca / vidhyati / vivyādha / vividhatuḥ /	ezAm samprasAraNam syAt-kiti Fiti ca / viDyati / vivyADa / viviDatuH /
   vividhuḥ / vivyadhitha, vivyaddha / vyaddhā / vyatsyati / vidhyet /	viviDuH / vivyaDiTa, vivyadDa / vyadDA / vyatsyati / viDyet /
   vidhyāt / avyātsīt // puṣa puṣṭau // 10 // puṣyati / pupoṣa / pupoṣitha /	viDyAt / avyAtsIt // puza puzwO // 10 // puzyati / pupoza / pupoziTaH /
   poṣṭā / pokṣyati / puṣādītyaṅ / apuṣat // śuṣa śoṣaṇe // 11 // śuṣyati /	pozwA / pokzyati / puzA-Adi-ityaF / apuzat // Suza SozaNe // 11 // Suzyati /
   śuśoṣa / aśuṣat // ṇaśa adarśane // 12 // naśyati / nanāśa / neśatuḥ //	SuSoza / aSuzat // NaSa adarSane // 12 // naSyati / nanASa / na-ISatuH //
   radhādibhyaśca // VLk_638 = P_7,2.45 //	raDa-AdiByaH-ca // VLk-_638  P_7,2.45 //
   radh naś tṛp dṛp druh muh ṣṇuh ṣṇih ebhyo valādyārdhadhātukasya veṭ syāt /	raD naH tRB dRS druh muh zNum zNih eByaH vala-Adya-arDa-DAtukasya veS syAt /
