   Kṣemendraviracitā	Kzema indra viracitA
   niścitya sarvaṃ bhāvānāṃ kṣaṇikatvādanityatām /	niScitya sarvam BAvAnAm kzaNika tvAt anitya tAm /
   sneharāgaṃ samutsṛjya tatrasthaḥ samacintayat // KAvk_19.111 //	sneha rAgam samutsRjya tatrasTaH samacintayat // Ka avc _19.111 //
   aho saṃmohanidreyaṃ nirantato divāniśam /	aho saMmoha nidrA iyam nirantataH divAniSam /
   svapnamāyāvilasitaiḥ karotyadbhutavibhramam // KAvk_19.112 //	svapna mAyA vilasitEH karoti adButa viBramam // Ka avc _19.112 //
   janmavartmapradā mātā pitā bījavapatkhagaḥ /	janma vartma pradA mAtA pitA bIja vapat KagaH /
   pānthapūjāsanaṃ kāyaḥ ko 'yaṃ niyamasaṃgamaḥ // KAvk_19.113 //	pAnTa pUjA Asanam kAyaH kaH ayam niyama saMgamaH // Ka avc _19.113 //
   śriyaḥ saṃsārābhrabhramaparicitāḥ kāñcanarucā	SriyaH saMsAra aBra Brama paricitAH kAQcana rucA
   āśā dig (?) nirbandhāstaḍita iva nirlepacapalāḥ /	ASAH diS (?) nirbanDAH taxitaH iva nirlepa capalAH /
   vapuḥ sarvāpāyaiḥ kṣayabhayanikāyaiḥ parigataṃ	vapuH sarva apAyEH kzaya Baya nikAyEH parigatam
   jarārogodvegaistadapi na virāgastanubhṛtām // KAvk_19.114 //	jarA roga udvegEH tat api na virAgaH tanuBRtAm // Ka avc _19.114 //
   śriye svastisamāptaye svajanasyāyamañjaliḥ /	Sriye svasti samAptaye sva janasya ayam aQjaliH /
   dākṣiṇyaiḥ kṣamataṃ śrīṣu pravrajyaiva priyā mama // KAvk_19.115 //	dAkziNyEH kzamatam SrIzu pravrajyA eva priyA mama // Ka avc _19.115 //
   iti dhyātvā sa pitarau samāśvāsyāptalocanau /	iti DyAtvA sa pitarO samASvAsya Apta locanO /
   buddhau dharmapathe śuddhe śamadhāmni nyaveśayat // KAvk_19.116 //	budDO Darma paTe SudDe Sama DAmni nyaveSayat // Ka avc _19.116 //
   sārthabhraṣṭaścirāyāt kṛśo 'pi svajanasya ca /	sArTa BrazwaH cirAyAt kRSaH api sva janasya ca /
   aluptasattvavibhavānnakṛpāspadatāṃ yayau // KAvk_19.117 //	alupta sattva viBava anna kRpa Aspada tAm yayO // Ka avc _19.117 //
   anukampasva yadyetaṃ saṃsārakleśavihvalam /	anukampasva yadi etam saMsAra kleSa vihvalam /
   sataḥ kasyānukampyāste saṃpatsaṃparkanitspṛhāḥ // KAvk_19.118 //	sataH kasya anukampyAH te saMpad saMparka nitspRhAH // Ka avc _19.118 //
   paśupālakaviprastrīsaṃdeśādi yathoditam /	paSupAlaka vipra strI saMdeSa Adi yaTA uditam /
   nigadya tebhyaḥ kanakaprāptipratyayalakṣaṇam // KAvk_19.119 //	nigadya teByaH kanaka prApti pratyaya lakzaNam // Ka avc _19.119 //
   śāntaḥ kātyāyanaṃ prāpya pravrajyāṃ sa samādade /	SAntaH kAtyAyanam prApya pravrajyAm sa samAdade /
   mugdhānām yadviṣādāya tatprasādāya dhīmatām // KAvk_19.120 //	mugDAnAm yat vizAdAya tad prasAdAya DImatAm // KAvc _19.120 //
   sa samāsādya viśadaṃ sritaḥprāptiphalaṃ tataḥ /	sa samAsAdya viSadam sritaH prApti Palam tatas /
   sakṛdāgāmyanāgāmiphalamarhatphalaṃ tathā // KAvk_19.121 //	sakRdAgAmi anAgAmi Palam arhat Palam taTA // Ka avc _19.121 //
   traidhātuko vītarāgaḥ samaloṣṭāśmakāñcanaḥ /	trEDAtukaH vIta rAgaH sama lozwa aSma kAQcanaH /
   ākāśapāṇitulyo 'bhūdasicandanayoḥ samah // KAvk_19.122 //	AkASa pANi tulyaH aBUt asi candanayoH samam // Ka avc _19.122 //
   śrāvastyām veṇugahane jinaṃ jetavane sthitam /	SrAvastyAm veNu gahane jinam jetavane sTitam /
   bhagavantaṃ yayau draṣṭuṃ so 'tha kātyāyanājñayā // KAvk_19.123 //	Bagavantam yayO drazwum saH aTa kAtyAyana AjQayA // Ka avc _19.123 //
   praṇitātakṛtātithyaḥ prītyā bhagavatā svayam /	praNitAta kRta AtiTyaH prItyA BagavatA svayam /
   sa śroṇakoṭīkarṇo 'tha babhāṣe harṣanirbharaḥ // KAvk_19.124 //	sa SroNakowIkarNaH aTa baBAze harza nirBaraH // Ka avc _19.124 //
   bhagavān dharmakāyena dṛṣṭo 'yaṃ śrotravartmani /	BagavAn Darma kAyena dRzwaH ayam Srotra vartmani /
   adhunā rūpakāyena puṇyairālokito mayā // KAvk_19.125 //	aDunA rUpa kAyena puNyEH AlokitaH mayA // Ka avc _19.125 //
   analpasukṛtaprāpyamidaṃ taddarśanāmṛtam /	analpa sukRta prApyam idam tad darSana amRtam /
   pītvā na tṛptimāyānti vañcitā eva te param // KAvk_19.126 //	pItvA na tRptim AyAnti vaQcitAH eva te param // Ka avc _19.126 //
   aspṛhasyāpi te mūrtiḥ kurute kasya na spṛhām /	aspRhasya api te mUrtiH kurute kasya na spRhAm /
   nirlopasyāpi te dṛṣṭiraho harṣeṇa limpati // KAvk_19.127 //	nirlopasya api te dRzwiH aho harzeNa limpati // KAvc _19.127 //
   tvatkathā tvadanudhyānaṃ tvatprāptistvanniṣevaṇam /	tvad kaTA tvad anuDyAnam tvad prAptiH tvad nizevaNam /
   etāḥ kuśalamūlānāṃ sphītāḥ phalasamṛddhayaḥ // KAvk_19.128 //	etAH kuSala mUlAnAm sPItAH Pala samRdDayaH // Ka avc _19.128 //
   iti śrutvā bhagavatā prasādenābnhinanditaḥ /	iti SrutvA BagavatA prasAdena abnhi nanditaH /
   tadādiṣṭaṃ śamārāmaṃ sa vihāramavāptavān // KAvk_19.129 //	tat Adizwam Sama ArAmam sa vihAram avAptavAn // Ka avc _19.129 //
   tasyāspadaṃ samabhyetya praṇayādbhagavānapu /	tasya Aspadam samaByetya praNayAt BagavAn apu /
   śrutvāsya madhuraṃ dharmaṃ svādhyāyaṃ praśaśaṃsa saḥ // KAvk_19.130 //	SrutvA asya maDuram Darmam svADyAyam praSaSaMsa saH // Ka avc _19.130 //
   tāṃ śroṇikoṭikarṇasya dṛṣṭvā praśamasaṃpadam /	tAm SroNi kowikarNasya dRzwvA praSama saMpadam /
   bhikṣubhirbhagavān pṛṣṭaḥ pūrvavṛttamabhāṣata // KAvk_19.131 //	BikzuBiH BagavAn pRzwaH pUrva vRttam aBAzata // Ka avc _19.131 //
   vārāṇasyāṃ purā samyaksaṃbuddhe kāśyapābhidhe /	vArANasyAm purA samyaksaMbudDe kASyapa aBiDe /
   nirvāṇadhātau niḥśeṣakāryatvāt parinirvṛte // KAvk_19.132 //	nirvANa DAtO niHSeza kArya tvAt parinirvRte // Ka avc _19.132 //
   kṛkināmanṛpaścaityaṃ tasya ratnairakārayat /	kRkinAm anRpaH cEtyam tasya ratnEH akArayat /
   svayaṃ tatpuṇyasaṃbharaṃ svargaṃ vaktumivodgatam // KAvk_19.133 //	svayam tat puNya saMBaram svargam vaktum iva udgatam // Ka avc _19.133 //
   śīrṇasthāpitasaṃskāre tasmin saṃjñādhṛtaṃ dhanam /	SIrNa sTApita saMskAre tasmin saMjQA DRtam Danam /
   tatputraḥ prāptarājyo 'tha na dadau lobhamohitaḥ // KAvk_19.134 //	tad putraH prApta rAjyaH aTa na dadO loBa mohitaH // Ka avc _19.134 //
   athottarāpathāyātaḥ sarthavāho 'rthadābhidhaḥ /	aTa uttarApaTa AyAtaH sarTavAhaH arTa dA aBiDaH /
   pradadau pṛthivīmūlyaṃ tatkṛte karṇabhūṣaṇam // KAvk_19.135 //	pradadO pRTivI mUlyam tad kRte karNa BUzaNam // Ka avc _19.135 //
   kālāntaropagato 'pi datvā cānyaddhanaṃ mahat /	kAla antara upagataH api datvA ca anyat Danam mahat /
   praṇidhānaṃ sa kṛtavān bhūyāsaṃ puṇyavāniti // KAvk_19.136 //	praNiDAnam sa kRtavAn BUyAsam puNyavAn iti // Ka avc _19.136 //
   sa śroṇakoṭikarṇo 'yaṃ puṇyaiḥ prātapadaṃ mahat /	sa SroNa kowikarNaH ayam puNyEH prAtapadam mahat /
   tadvidhenaiva saṃyātaḥ karṇabhūṣaṇalakṣaṇaḥ // KAvk_19.137 //	tadviDena eva saMyAtaH karNa BUzaNa lakzaNaH // Ka avc _19.137 //
   prasthānasamaye mātā śrāvitā paruṣaṃ vacaḥ /	prasTAna samaye mAtA SrAvitA paruzam vacaH /
   yasmādanena tenāsya babhūvāsya śramo mahān // KAvk_19.138 //	yasmAt anena tena asya baBUva asya SramaH mahAn // Ka avc _19.138 //
   madhyeṣu mahataḥ śuklaguṇasatkarmavāsasaḥ /	maDyezu mahataH Sukla guNa sat karma vAsasaH /
   kṛṣṇakarmalavāṃśo 'pi sphuṭa evāvadhāryate // KAvk_19.139 //	kRzNa karma lava aMSaH api sPuwaH eva avaDAryate // Ka avc _19.139 //
   sukṛtasacivaḥ sattvetsāhaḥ pravāsasakhī dhṛtiḥ	sukRta sacivaH sattva itsAhaH pravAsa saKI DRtiH
   viṣamataraṇe vīryaṃ seturvipadyadhikā kṛpā /	vizama taraNe vIryam setuH vipadI aDikA kRpA /
   śamaparicitā paryante ca prasādamayī matiḥ	Sama paricitA paryante ca prasAda mayI matiH
   pariṇatiriyaṃ puṇyaprāpteḥ sphuratphalaśālinī // KAvk_19.140 //	pariNatiH iyam puNya prApteH sPurat Pala SAlinI // Ka avc _19.140 //
   iti kṣemendraviracitāyām bodhisattvāvadānakalpalatāyāṃ	iti kzema indra viracitAyAm boDisattva avadAna kalpa latAyAm
   śroṇakoṭikarṇāvadānaṃ nāmonaviṃśatitamaḥ pallavaḥ //	SroNa kowikarNa avadAnam nAma UnaviMSatitamaH pallavaH //
   20. āmrapālyavadānam /	20. Amra pAlI avadAnam /
   dvijihvasaṅge kathamasti vṛttiranekamukhye kathamasti saukhyam /	dvi jihva saFge kaTam asti vRttiH aneka muKye kaTam asti sOKyam /
   karmāntabandhe 'sti kathaṃ svaśaktiḥ prajñāprakarṣe kathamastyapāyaḥ //	karmAnta banDe asti kaTam sva SaktiH prajQA prakarze kaTam asti apAyaH //
   KAvk_20.1 //	KAvc _20.1 //
   mithilāyāṃ videheṣu jalasattvābhidho nṛpaḥ /	miTilAyAm videhezu jalasattva aBiDaH nRpaH /
   abhūd bhujabhujaṅgasya viśrāntapṛthivībharaḥ // KAvk_20.2 //	aBUt Buja BujaFgasya viSrAnta pRTivI BaraH // Ka avc _20.2 //
   khaṇḍo nāma mahāmātyastasyākhaṇḍalasaṃpadaḥ /	KaNxaH nAma mahAmAtyaH tasya AKaNxala saMpadaH /
   babhūvāśeṣaṣāṅguṇyaparijñānabṛhaspatiḥ // KAvk_20.3 //	baBUva aSeza zAFguNya parijQAna bRhaspatiH // Ka avc _20.3 //
   nītijñagauravāttasya nṛpe vyaktaṃ nalokini /	nIti jQa gOravAt tasya nRpe vyaktam na lokini /
   sadābhavanmukhaprekṣī sarvaḥ kāryavaśājjanaḥ // KAvk_20.4 //	sadA Bavat muKa prekzI sarvaH kArya vaSAt janaH // Ka avc _20.4 //
   gatānugatikatvena pravāhapraṇayī bharaḥ /	gata anugatika tvena pravAha praNayI BaraH /
   vardhate vāryamāṇasya svajanasya jalasya ca // KAvk_20.5 //	varDate vAryamANasya sva janasya jalasya ca // Ka avc _20.5 //
   sarvaṃ tanmayamālokya janaṃ mātsaryamūrcchitāḥ /	sarvam tad mayam Alokya janam mAtsarya mUrcCitAH /
   mantriṇaḥ saṃhatāstasya vinipātamacintayan // KAvk_20.6 //	mantriNaH saMhatAH tasya vinipAtam acintayan // Ka avc _20.6 //
   te praviśyāśramam rājñastāṃ tasya prabahviṣṇūtām /	te praviSya ASramam rAjQaH tAm tasya prabahu izNUtAm /
   muhuḥ śaṅkāspadaṃ kṛtvā śaśaṃsurbhedakovidāḥ // KAvk_20.7 //	muhur SaFkA Aspadam kRtvA SaSaMsuH Beda kovidAH // Ka avc _20.7 //
   tadgirā śaṅkito rājā tasya vaimukhyamāyayau /	tad girA SaFkitaH rAjA tasya vEmuKyam AyayO /
   abalābālabhūpālā varṇapratyayāḥ param // KAvk_20.8 //	abalA bAla BUpAlAH varNa pratyayAH param // Ka avc _20.8 //
   aśaṅkyādapi śaṅkante śaṅkādoṣe 'pyaśaṅkitāḥ /	aSaFkyAt api SaFkante SaFkA doze api aSaFkitAH /
   aviśeṣajñacapalā bhūpālāḥ kākaśaṅkinaḥ // KAvk_20.9 //	aviSeza jQa capalAH BUpAlAH kAka SaFkinaH // Ka avc _20.9 //
   prabhorviraktiliṅgāni vilokyāmātyapuṃgavaḥ /	praBoH virakti liFgAni vilokya amAtya puMgavaH /
   svasutau gopasiṃhākhyau saśaṅkaḥ svairamabravīt // KAvk_20.10 //	sva sutO gopa siMha AKyO sa SaFkaH svEram abravIt // Ka avc _20.10 //
   dhūrtairme vītaviśvāsaḥ piśunairnṛpatiḥ kṛtaḥ /	DUrtEH me vIta viSvAsaH piSunEH nRpatiH kRtaH /
   pratyayaṃ naiti hṛdaye vidāryāpi pradarśite // KAvk_20.11 //	pratyayam na eti hRdaye vidArya api pradarSite // Ka avc _20.11 //
   viraktaḥ sthagitālāpadarśanaśravaṇaḥ prabhuḥ /	viraktaH sTagita AlApa darSana SravaNaH praBuH /
   śepha iva vṛddhasya yātaḥ śithilatāṃ mama // KAvk_20.12 //	SePaH iva vRdDasya yAtaH SiTila tAm mama // Ka avc _20.12 //
   piśunodbhūtabhedasya premṇaḥ saṃdhirna vidyate /	piSuna udBUta Bedasya premNaH saMDiH na vidyate /
   na maṇiḥ śliṣyāti punaḥ pāṣāṇaśakalīkṛtaḥ // KAvk_20.13 //	na maNiH SlizyAti punar pAzANa SakalIkRtaH // Ka avc _20.13 //
   dvijihṇakuṭilakrāntaḥ prabhuścandanapādapaḥ /	dvijihNa kuwila krAntaH praBuH candana pAdapaH /
   na yātyarthakriyākārī guṇavānapi sevyatām // KAvk_20.14 //	na yA ati arTa kriyA kArI guNavAn api sevyatAm // KAvc _20.14 //
   kathaṃ nṛpanidhānārthī kuśalaṃ bhajate naraḥ /	kaTam nRpa niDAna arTI kuSalam Bajate naraH /
   ghoradveṣaviṣāviṣṭadvijihvāghātavihvalaḥ // KAvk_20.15 //	Gora dveza viza Avizwa dvijihvA GAta vihvalaH // Ka avc _20.15 //
   tasmādvrajāmaḥ saṃtyajya dveṣadoṣeṇa bhūpateḥ /	tasmAt vrajAmaH saMtyajya dveza dozeNa BUpateH /
   śaṅkāśalyamaye vṛtte me 'smin deśe sthitena kim // KAvk_20.16 //	SaFkA Salya maye vRtte me asmin deSe sTitena kim // Ka avc _20.16 //
   dakṣā rakṣākṣamāḥ śūrāḥ prabhutārthāḥ susaṃhatāḥ /	dakzAH rakzA kzamAH SUrAH praBu tA arTAH su saMhatAH /
   santaḥ santi viśālāyāṃ vāsastatra mamepsitaḥ // KAvk_20.17 //	santaH santi viSAlAyAm vAsaH tatra mama IpsitaH // Ka avc _20.17 //
   iti bruvāṇaḥ putrābhyāṃ tathetyuktaḥ sa sānugaḥ /	iti bruvANaH putrAByAm taTA iti uktaH sa sa anugaH /
   udyānagatimānena prayayau saparicchadaḥ // KAvk_20.18 //	udyAna gati mAnena prayayO sa paricCadaH // Ka avc _20.18 //
   prayāṇaṃ nṛpatirjñātvā nivartanasamudyataḥ /	prayANam nRpatiH jQAtvA nivartana samudyataH /
   yatnenāpi na taṃ prāpa notsṛṣṭaṃ labhyate punaḥ // KAvk_20.19 //	yatnena api na tam prApa na utsRzwam laByate punar // Ka avc _20.19 //
   mūrkhāḥ satsu kṛtāvajñā vimuhyante kṣaṇena taiḥ /	mUrKAH satsu kRta avajQAH vimuhyante kzaNena tEH /
   yāti teṣāṃ tu sarvatra ko 'pi nārthī kṛtārthatām // KAvk_20.20 //	yAti tezAm tu sarvatra kaH api na arTI kRtArTa tAm // KAvc _20.20 //
   dhīmānamātyaḥ prāpto 'tha kṛṣṭo vaiśālikairguṇaiḥ /	DImAn amAtyaH prAptaH aTa kRzwaH vESAlikEH guNEH /
   pūjitaḥ praṇayācāraiḥ saṃghamukhye pade sthitaḥ // KAvk_20.21 //	pUjitaH praNaya AcArEH saMGa muKye pade sTitaH // Ka avc _20.21 //
   tadbuddhivibhavāptaśrīḥ so 'tha tatpramukho gaṇaḥ /	tad budDi viBava Apta SrIH saH aTa tad pramuKaH gaNaH /
   kadācidanayāllekhe na parābahvapātratām // KAvk_20.22 //	kadAcid anayAt leKe na parAbahva pAtra tAm // Ka avc _20.22 //
   atha kālena siṃhasya mantrisūnoḥ kanīyasaḥ /	aTa kAlena siMhasya mantri sUnoH kanIyasaH /
   ajāyata sutā kāntā cailā nāma guṇocitā // KAvk_20.23 //	ajAyata sutA kAntA ca elA nAma guNa ucitA // Ka avc _20.23 //
   dvitīyā copacailākhyā sutā jātāsya sundarī /	dvitIyA ca upacEla AKyA sutA jAtA asya sundarI /
   nanmanyeva tayoḥ prāha nimittajño vicakṣaṇaḥ // KAvk_20.24 //	nanmanyA iva tayoH prAha nimitta jQaH vicakzaNaH // Ka avc _20.24 //
   cailāyāstanayo bhāvī pitṛhantā mahīpatiḥ /	cElAyAH tanayaH BAvI pitR hantA mahIpatiH /
   guṇavānupacailāyāḥ pūrṇalakṣahṇavāniti // KAvk_20.25 /	guNavAn upacElAyAH pUrNa lakzahNavAn iti // Ka avc _20.25 /
   jyeṣṭho mantrisutaḥ śauryādgopaḥ prauḍhamadoddhataḥ /	jyezWaH mantri sutaH SOryAt gopaH prOXa mada udDataH /
   udyānamardanakṣepairgaṇānāṃ dveṣyatām yayau // KAvk_20.26 //	udyAna mardana kzepEH gaNAnAm dvezya tAm yayO // Ka avc _20.26 //
   tatpiturgauravāttasmai sānujāya vimanyavaḥ /	tad pituH gOravAt tasmE sa anujAya vimanyavaH /
   viśālaśālatāmante jīrṇodyānadvayaṃ daduḥ // KAvk_20.27 //	viSAla SAla tAm ante jIrNa udyAna dvayam daduH // Ka avc _20.27 //
   sugatapratimāṃ cakre tatraikaḥ sukṛtocitām /	sugata pratimAm cakre tatra ekaH sukRta ucitAm /
   vihāraṃ vaibhavodāraṃ bhuvanābharaṇaṃ paraḥ // KAvk_20.28 //	vihAram vEBava udAram Buvana ABaraNam paraH // Ka avc _20.28 //
   atha pitrā balotsiktaḥ sutaḥ pratyantamaṇḍale /	aTa pitrA bala utsiktaH sutaH pratyanta maNxale /
   gaṇakopabhayādgopaḥ karmāntopārjane dhṛtaḥ // KAvk_20.29 //	gaNa kopa BayAt gopaH karmAnta upArjane DRtaH // Ka avc _20.29 //
   kālena tridivaṃ yāte tasmin mantrivare gaṇaiḥ /	kAlena tridivam yAte tasmin mantri vare gaNEH /
   kanīyasastu sādhutvāt siṃhastasya pade dhṛtaḥ // KAvk_20.30 //	kanIyasaH tu sADu tvAt siMhaH tasya pade DRtaH // Ka avc _20.30 //
   gopaḥ piturasaṃprāpya padaṃ gaṇavimānitaḥ /	gopaH pituH asaMprApya padam gaNa vimAnitaH /
   taddeśavāsavirasaḥ parihāramacintayat // KAvk_20.31 //	tad deSa vAsa virasaH parihAram acintayat // Ka avc _20.31 //
   vāstavya kaṇṭakākīrṇe vyāghrāghrāte varaṃ vane /	vAstavya kaNwaka AkIrNe vyAGra AGrAte varam vane /
   anekasvāmisaṃbhinnajane na tu viśṛṅkhale // KAvk_20.32 //	aneka svAmi saMBinna jane na tu viSRFKale // Ka avc _20.32 //
   nānāmatakriyālāpaḥ kathamārādhyate gaṇaḥ /	nAnA mata kriyA AlApaH kaTam ArADyate gaNaH /
   samīhitaṃ yadekasya datanyasmai na rocate // KAvk_20.33 //	samIhitam yat ekasya datanI asmE na rocate // Ka avc _20.33 //
   itmānī sa saṃcintya gatvā rājagṛhaṃ puram /	itmAnI sa saMcintya gatvA rAja gRham puram /
   bimbisāraṃ narapatiṃ guṇaśriyamaśiśriyat // KAvk_20.34 //	bimbisAram narapatim guNa Sriyam aSiSriyat // Ka avc _20.34 //
   sa tena mānitaḥ prītyā tasya viśrambhabhūrabhūt /	sa tena mAnitaH prItyA tasya viSramBa BUH aBUt /
   cirarucyeva tatkālamābhāti guṇasaṃgatiḥ // KAvk_20.35 //	cira ruci eva tad kAlam ABAti guNa saMgatiH // KAvc _20.35 //
   rājño 'tha bimbisārasya vallabhā pañcatāṃ yayau /	rAjQaH aTa bimbisArasya vallaBA paQcatAm yayO /
   tadviyogāgnisaṃtaptaṃ taṃ vicintya sa buddhimān // KAvk_20.36 //	tad viyoga agni saMtaptam tam vicintya sa budDimAn // Ka avc _20.36 //
   upacailāṃ sutāṃ bhrātustadvivāhocitā vadhūm /	upacElAm sutAm BrAtuH tad vivAha ucitAH vaDUm /
   gūḍhacārī tadādeśāt vaiśālakapurīṃ yaya // KAvk_20.37 //	gUXa cArI tad AdeSAt vESAlaka purIm yayaH // Ka avc _20.37 //
   kanyā gaṇopabhogyauva na kasmaicitpradīyate /	kanyA gaNa upaBogyOva na kasmEcid pradIyate /
   iti vaiśālikaiḥ pūrvaṃ svadeśe niyamaḥ kṛtaḥ // KAvk_20.38 //	iti vESAlikEH pUrvam sva deSe niyamaH kRtaH // Ka avc _20.38 //
   tatpure dvārarakṣāyai yakṣasthānāvalambinī /	tad pure dvAra rakzAyE yakza sTAna avalambinI /
   parapraveśe kurute śabdaṃ ghaṇṭī paṭīyasī // KAvk_20.39 //	para praveSe kurute Sabdam GaNwI pawIyasI // KAvc _20.39 //
   sa praviśya tato bhrāturgūḍhamudyānacāriṇīm /	sa praviSya tatas BrAtuH gUXam udyAna cAriNIm /
   upacailāṃ samāhatuṃ gataścailāmavāptavān // KAvk_20.40 //	upacElAm samAhatum gataH ca elAm avAptavAn // KAvc _20.40 //
   yātastaṃ rathamāruhya ghaṇṭāśabdādabhidryutam /	yAtaH tam raTam Aruhya GaNwA SabdAt aBidryutam /
   sa hatvā vīrapuruṣānavāpa nṛpateḥ puram // KAvk_20.41 //	sa hatvA vIra puruzAn avApa nRpateH puram // Ka avc _20.41 //
   tamūce devakanyeyaṃ prātā vimanasātmanā /	tam Uce deva kanyA iyam prAtA vimanasa AtmanA /
   pitṛhantā suto hyāsyā nimittajñena sūcitaḥ // KAvk_20.42 //	pitR hantA sutaH hi AsyAH nimitta jQena sUcitaH // Ka avc _20.42 //
   tasmādeṣā narapatermahiṣī na tavocitā /	tasmAt ezA narapateH mahizI na tava ucitAH /
   tvayi jīvati jīvanti prajānāṃ sarvasaṃpadaḥ // KAvk_20.43 //	tvayi jIvati jIvanti prajAnAm sarva saMpadaH // Ka avc _20.43 //
   ityuktastena tāṃ dṛṣṭvā tyuktaṃ naiva śaśāka saḥ /	iti uktaH tena tAm dRzwvA tyuktam na eva SaSAka saH /
   niruddhaḥ karmaṇā hyeva tanmukhālekhyalekhayā // KAvk_20.44 //	nirudDaH karmaNA hi eva tad muKa AleKya leKayA // Ka avc _20.44 //
   so 'vadat kka kadā dṛṣṭa putreṇa nihataḥ pitā /	saH avadat kkaH kadA dRzwa putreNa nihataH pitA /
   svayaṃ mayābhiṣektavyaḥ suto yady bhaviṣyati // KAvk_20.45 //	svayam mayA aBizektavyaH sutaH yadi Bavizyati // KAvc _20.45 //
   ityuktvā nṛpatiḥ kanyāṃ pariṇīyābhavatsukhī /	iti uktvA nRpatiH kanyAm pariNIya aBavat suKI /
   kṛtakarmorminirmāṇe prabhavanti na buddhayaḥ // KAvk_20.46 //	kRta karma Urmi nirmANe praBavanti na budDayaH // Ka avc _20.46 //
   bhoginastasya kālena tasyām sūnurajāyata /	BoginaH tasya kAlena tasyAm sUnuH ajAyata /
   jyotiṣkacarite yasya vṛttamuktaṃ pitṛdruhaḥ // KAvk_20.47 //	jyotizka carite yasya vRttam uktam pitR druhaH // Ka avc _20.47 //
   tapovanamṛgādhānamṛgayāvyasane vane /	tapaH vana mRga ADAna mRgayA vyasane vane /
   evaṃvidho hyabhūttasya muniśāpaḥ sutākṛtiḥ // KAvk_20.48 //	evaMviDaH hi aBUt tasya muni SApaH suta AkRtiH // Ka avc _20.48 //
   atrāntare mahānnāma vaiśālikagaṇāgraṇīḥ /	atra antare mahAn nAma vESAlika gaNa agraNIH /
   kanyāmāmravanātprāpa kadalīskandhanirgatām // KAvk_20.49 //	kanyAm Amra vanAt prApa kadalI skanDa nirgatAm // Ka avc _20.49 //
   sā tasya bhavane kāntā vardhamānā śanaiḥ śanaiḥ /	sA tasya Bavane kAntA varDamAnA SanEs SanEs /
   vidadhe vipulāṃ prītiṃ dānacintāṃ ac cetasi // KAvk_20.50 //	vidaDe vipulAm prItim dAna cintAm at cetasi // KAvc _20.50 //
   praṇayādāmrapālīti bandhubhiḥ sā kṛtābhidhāḥ /	praNayAt AmrapAlI iti banDuBiH sA kRta aBiDAH /
   sūnuhīnamina tyaktvā bālyaṃ yauvanamādade // KAvk_20.51 //	sUnu hInam ina tyaktvA bAlyam yOvanam Adade // Ka avc _20.51 //
   tadvivāhodyatasyātha na sehe tatpiturgaṇaḥ /	tat vivAha udyatasya aTa na sehe tad pituH gaNaH /
   gaṇopabhogyā kanyeti samayasya vyatikramam // KAvk_20.52 //	gaNa upaBogyA kanyA iti samayasya vyatikramam // Ka avc _20.52 //
   pitaraṃ duḥkhasaṃtaptaṃ sametyātha jagād sā /	pitaram duHKa saMtaptam sametya aTa jagAt sA /
   bhavāmi gaṇabhogyaiva kiṃ tveṣa samayo yadi // KAvk_20.53 //	BavAmi gaNa BogyA eva kim tu eza samayaH yadi // Ka avc _20.53 //
   ekasyopari nānyasya praveśaḥ svapade sthitiḥ /	ekasya upari na anyasya praveSaH sva pade sTitiH /
   paṇaḥ kārṣāpaṇaśataiḥ pañcabhiḥ pratyahaṃ mama // KAvk_20.54 //	paNaH kArzApaNa SatEH paQcaBiH pratyaham mama // Ka avc _20.54 //
