   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   prāṇināṃ prāṇavṛttyarthaṃ Ang_2,10.14c	prANinAm prANa-vRtti-arTam Ank-_2,10.14c
   prāṇiloke tatastattu Ang_1.711a	prANi-loke tatas-tat-tu Ank-_1.711a
   prātaḥsāyaṃ na parvasu Ang_1.257d	prAtaHsAyam na parvasu Ank-_1.257d
   prātaḥ snātvā samārambhaṃ Ang_2,12.2c	prAtar snAtvA samAramBam Ank-_2,12.2c
   prāptaye karmaṭhatvasya Ang_1.1070c	prAptaye karmaWa-tvasya Ank-_1.1070c
   prāpte naimittike yadi Ang_1.106b	prApte nEmittike yadi Ank-_1.106b
   prāpto yo svajanairapi Ang_1.1063d	prAptaH yaH sva-janEH-api Ank-_1.1063d
   prāpnuvantu bhavantaśca Ang_1.792a	prApnuvantu BavantaH-ca Ank-_1.792a
   prāpya deśaṃ ca kālaṃ ca Ang_2,3.8a	prApya deSam ca kAlam ca Ank-_2,3.8a
   prāpya vaivasvataṃ yamam Ang_1.739d	prApya vEvasvatam yamam Ank-_1.739d
   prābalyaṃ pratipāditam Ang_1.42b	prAbalyam pratipAditam Ank-_1.42b
   prāmāṇiko hi tadbhinno Ang_1.847a	prAmANikaH hi tad-BinnaH Ank-_1.847a
   prāyaścitāni ye dvijāḥ Ang_2,7.1b	prAyaScitAni ye dvijAH Ank-_2,7.1b
   prāyaścittakramasya ca Ang_2,1.2d	prAyaScitta-kramasya ca Ang_2,1.2d
   prāyaścittakramasya ca Ang_2,5.3b	prAyaScitta-kramasya ca Ank-_2,5.3b
   prāyaścittakriyāhetor Ang_1.11a	prAyaScitta-kriyA-hetoH Ank-_1.11a
   prāyaścittapraṇetāraḥ Ang_2,4.4a	prAyaScitta-praNetAraH Ank-_2,4.4a
   prāyaścittamanuttamam Ang_2,5.10d	prAyaScittam-anuttamam Ank-_2,5.10d
   prāyaścittamiti smṛtam Ang_2,4.1d	prAyaScittam-iti smRtam Ank-_2,4.1d
   prāyaścittamiti smṛtam Ang_2,4.2d	prAyaScittam-iti smRtam Ank-_2,4.2d
   prāyaścittamidaṃ param Ang_1.195d	prAyaScittam-idam param Ank-_1.195d
   prāyaścittavidhiṃ śubham Ang_2,12.1b	prAyaScitta-viDim SuBam Ank-_2,12.1b
   prāyaścittasamaṃ cittaṃ Ang_2,4.2a	prAyaScitta-samam cittam Ank-_2,4.2a
   prāyaścittasya ye klība- Ang_2,10.21c	prAyaScittasya ye klIba Ank-_2,10.21c
   prāyaścittaṃ kathaṃ bhavet Ang_2,9.15d	prAyaScittam kaTam Bavet Ang_2,9.15d
   prāyaścittaṃ kathaṃ bhavet Ang_2,10.7b	prAyaScittam kaTam Bavet Ank-_2,10.7b
   prāyaścittaṃ catuṣpādaṃ Ang_2,1.3a	prAyaScittam catuzpAdam Ank-_2,1.3a
   prāyaścittaṃ tataścaret Ang_1.214b	prAyaScittam tatas-caret Ank-_1.214b
   prāyaścittaṃ tataścaret Ang_1.216d	prAyaScittam tatas-caret Ank-_1.216d
   prāyaścittaṃ dṛśyate naṃ Ang_1.9a	prAyaScittam dRSyate nam Ank-_1.9a
   prāyaścittaṃ na dātavyaṃ Ang_2,7.5c	prAyaScittam na dAtavyam Ank-_2,7.5c
   prāyaścittaṃ na mṛgyeta Ang_2,10.17c	prAyaScittam na mRgyeta Ank-_2,10.17c
   prāyaścittaṃ na vidyate Ang_2,10.6d	prAyaScittam na vidyate Ank-_2,10.6d
   prāyaścittaṃ na vidyate Ang_2,10.10d	prAyaScittam na vidyate Ank-_2,10.10d
   prāyaścittaṃ na vidyate Ang_2,10.14d	prAyaScittam na vidyate Ank-_2,10.14d
   prāyaścittaṃ pradātavyaṃ Ang_2,5.13c	prAyaScittam pradAtavyam Ank-_2,5.13c
   prāyaścittaṃ mahattaram Ang_1.9d	prAyaScittam mahattaram Ang_1.9d
   prāyaścittaṃ vidhīyate Ang_2,10.1d	prAyaScittam viDIyate Ang_2,10.1d
   prāyaścittaṃ vidhīyate Ang_2,12.8b	prAyaScittam viDIyate Ank-_2,12.8b
   prāyaścittaṃ vinirdiśet Ang_2,3.8d	prAyaScittam vinirdiSet Ang_2,3.8d
   prāyaścittaṃ samāgataiḥ Ang_2,6.15b	prAyaScittam samAgatEH Ank-_2,6.15b
   prāyaścittaṃ samādiśya Ang_2,5.9c	prAyaScittam samAdiSya Ank-_2,5.9c
   prāyaścittāya kevalam Ang_1.13b	prAyaScittAya kevalam Ank-_1.13b
   prāyaścittāya kevalam Ang_1.20d	prAyaScittAya kevalam Ank-_1.20d
   prāyaścitte yadā cīrṇe Ang_2,6.9a	prAyaScitte yadA cIrNe Ank-_2,6.9a
   prāyaścitte samutpanne Ang_2,2.6a	prAyaScitte samutpanne Ank-_2,2.6a
   prāyo nāma tapaḥ proktaṃ Ang_2,4.1a	prAyas nAma tapaH proktam Ank-_2,4.1a
   prārabhet pātakī bhavet Ang_1.164d	prAraBet pAtakI Bavet Ang_1.164d
   prārthanīyaṃ viśeṣeṇa Ang_1.567c	prArTanIyam viSezeNa Ank-_1.567c
   prāśayecca na śabdayet Ang_1.247b	prASayet-ca na Sabdayet Ank-_1.247b
   prāśnāti haviṣo 'lpakaḥ Ang_1.739b	prASnAti havizaH alpakaH Ank-_1.739b
   priyavastupracāraṇaiḥ Ang_1.1020d	priya-vastu-pracAraNEH Ank-_1.1020d
   prīṇitāḥ pitarastena Ang_1.861a	prINitAH pitaraH-tena Ank-_1.861a
   prīyantāṃ pitaraḥ paścāt Ang_1.892a	prIyantAm pitaraH paScAt Ank-_1.892a
   pretakarmaṇi tāḥ parāḥ Ang_1.585b	preta-karmaNi tAH parAH Ank-_1.585b
   pretakāryasparśamātraṃ Ang_1.466a	preta-kArya-sparSa-mAtram Ank-_1.466a
   pretakṛtyaṃ prakurvīta Ang_1.145c	preta-kRtyam prakurvIta Ang_1.145c
   pretatvācca na nirmuktaḥ Ang_1.463a	preta-tvAt-ca na nirmuktaH Ank-_1.463a
   pretatvāttu vimuktena Ang_1.995c	preta-tvAt-tu vimuktena Ank-_1.995c
   pretanirvāpaṇaṃ proktam Ang_1.141c	preta-nirvApaNam proktam Ang_1.141c
   pretaparpaṭabhūtapāḥ Ang_1.536d	preta-parpawa-BUtapAH Ank-_1.536d
   pretaloke hyadhomukhaḥ Ang_1.464b	preta-loke hi-aDomuKaH Ank-_1.464b
   pretaśrāddhādikaṃ tathā Ang_1.690b	preta-SrAdDa-Adikam taTA Ank-_1.690b
   pretaśrāddhāni kṛtsnaśaḥ Ang_1.683b	preta-SrAdDAni kRtsnaSas Ank-_1.683b
   pretaśrāddheṣu sarvatra Ang_1.684a	preta-SrAdDezu sarvatra Ank-_1.684a
   pretāhutistu kartavyā Ang_1.951a	preta-AhutiH-tu kartavyAH Ank-_1.951a
   prerakaśca nirodhakaḥ Ang_1.99d	prerakaH-ca niroDakaH Ank-_1.99d
   preṣitastena vai vṛtaḥ Ang_1.134b	prezitaH-tena vE vRtaH Ank-_1.134b
   proktapakṣeṣu yena vā Ang_1.704d	prokta-pakzezu yena vA Ank-_1.704d
   proktavākyaṃ tu tatparam Ang_1.370b	prokta-vAkyam tu tad-param Ank-_1.370b
   proktyai tatkarma sādhu vai Ang_1.845b	proktyE tat-karma sADu vE Ank-_1.845b
   proktvā svīyaiśca kevalam Ang_1.1017d	proktvA svIyEH-ca kevalam Ank-_1.1017d
   prokṣaṇaṃ pariṣecanam Ang_1.239d	prokzaNam parizecanam Ank-_1.239d
   procuḥ kila maharṣayaḥ Ang_1.1030b	procuH kila mahA-RzayaH Ank-_1.1030b
   procyate sumahān paraḥ Ang_1.292b	procyate su-mahAn paraH Ank-_1.292b
   procyate 'sau yataḥ prasūḥ Ang_1.1053d	procyate asO yatas prasUH Ank-_1.1053d
   provāca kila sarveśo Ang_1.488c	provAca kila sarva-ISaH Ank-_1.488c
   provācaivaṃ na cetarat Ang_1.484b	provAca-evam na ca-itarat Ank-_1.484b
   plakṣarājanyasaṃbhūto Ang_1.522c	plakza-rAjanya-saMBUtaH Ank-_1.522c
   phaṇirājena vā na tu Ang_1.502d	PaNi-rAjena vA na tu Ank-_1.502d
   phalapuṣpajalākṣatān Ang_1.1024b	Pala-puzpa-jala-akzatAn Ank-_1.1024b
   phalapradā hi sarito Ang_1.915c	Pala-pradAH hi saritaH Ank-_1.915c
   phalabījasamutpatti- Ang_1.601a	Pala-bIja-samutpatti Ank-_1.601a
   phalavaddānameva ca Ang_1.320d	Palavat-dAnam-eva ca Ank-_1.320d
   phalaśrīrmadhuragrīvo Ang_1.514c	PalaSrIH-maDura-grIvaH Ank-_1.514c
   phalaṃ te prāpnuyuḥ param Ang_1.575d	Palam te prApnuyuH param Ank-_1.575d
   phalaṃ dṛṣṭvā tu yo naraḥ Ang_1.551b	Palam dRzwvA tu yaH naraH Ank-_1.551b
   phalāni piṇyākamatho Ang_2,8.18a	PalAni piNyAkam-aTo Ank-_2,8.18a
   phalaiḥ śalāṭubhirvāpi Ang_1.501a	PalEH SalAwuBiH-vA-api Ank-_1.501a
   phalguṃ kubjaṃ tathā cāndhaṃ Ang_1.753c	Palgum kubjam taTA ca-anDam Ank-_1.753c
   badhiraṃ bhrāntamulbaṇam Ang_1.753d	baDiram BrAntam-ulbaNam Ank-_1.753d
   badhvā tu tiṣṭhetparaśuṃ pragṛhya Ang_2,10.9d	baDvA tu tizWet-paraSum pragRhya Ank-_2,10.9d
   bandhurājādibhirjanaiḥ Ang_1.362b	banDu-rAja-AdiBiH-janEH Ank-_1.362b
   babhūburiti naḥ śrutam Ang_1.558b	baBUbuH-iti naH Srutam Ank-_1.558b
   babhūyuḥ kila vai ciram Ang_1.185d	baBUyuH kila vE ciram Ank-_1.185d
   babhūvādhika eva vai Ang_1.532b	baBUva-aDikaH eva vE Ank-_1.532b
   balaṃ samyaṅniveditam Ang_2,6.1d	balam samyak-niveditam Ank-_2,6.1d
   bahiṣkṛtaśca saṃtyaktas Ang_1.1064a	bahizkRtaH-ca saMtyaktaH Ank-_1.1064a
   bahumātṛka eva saḥ Ang_1.392b	bahu-mAtRkaH eva saH Ank-_1.392b
   bahuvipratiraskāra- Ang_1.147a	bahu-vipra-tiraskAra Ank-_1.147a
   bahuviprāmataṃ tu yat Ang_1.146b	bahu-viprAmatam tu yat Ank-_1.146b
   bādhitairdhāvamānairvā Ang_1.633c	bADitEH-DAvamAnEH-vA Ank-_1.633c
   bālanigrahatadgrāha- Ang_1.1026c	bAla-nigraha-tadgrAha Ank-_1.1026c
   bālaputro bṛhadrathaḥ Ang_1.515d	bAla-putraH bRhadraTaH Ang_1.515d
   bālavṛddhāṅganādayaḥ Ang_2,10.21d	bAla-vRdDa-aFganA-AdayaH Ank-_2,10.21d
   bālavṛddhāturādiṣu Ang_1.594b	bAla-vRdDa-Atura-Adizu Ank-_1.594b
   bālye dvādaśavārṣikāt Ang_1.1052b	bAlye dvAdaSa-vArzikAt Ank-_1.1052b
   bāhudā bahulā balā Ang_1.925b	bAhudA bahulA balA Ank-_1.925b
   bāhumātrapramāṇataḥ Ang_2,10.2b	bAhu-mAtra-pramANataH Ank-_2,10.2b
   bāhyaṃ yaccāpi parṣadaḥ Ang_2,6.12b	bAhyam yat-ca-api parzadaH Ank-_2,6.12b
   bindumādhavaviśveśa- Ang_1.538a	bindu-mADava-viSva-ISa Ank-_1.538a
   bibhran karṇe śuciryatan Ang_1.56d	biBran karNe SuciH-yatat Ank-_1.56d
   buddhipūrvamabuddhitaḥ Ang_1.501d	budDi-pUrvam-abudDitaH Ank-_1.501d
   buddhipūrvaṃ tathaiva ca Ang_1.947b	budDi-pUrvam taTA-eva ca Ank-_1.947b
   buddhimān kāladeśakau Ang_1.411b	budDimAn kAla-deSakO Ank-_1.411b
   buddhimān dharmavitkiṃ tu Ang_1.358a	budDimAn Darma-vid-kim tu Ank-_1.358a
   bṛddhabālāturānvinā Ang_1.283b	bRdDa-bAla-AturAn-vinA Ank-_1.283b
   bṛhatī triśatasamā Ang_1.532c	bRhatI tri-Sata-samAH Ank-_1.532c
   bṛhattoyā sravajjalā Ang_1.933b	bRhat-toyA sravat-jalA Ank-_1.933b
   bṛhatyādestu vo na tu Ang_1.579d	bRhatI-AdeH-tu vaH na tu Ank-_1.579d
   boddhāraścaiva pāpmanām Ang_2,2.5b	bodDAraH-ca-eva pApmanAm Ank-_2,2.5b
   brahmakṣatraviśāmapi Ang_2,9.3b	brahma-kzatra-viSAm-api Ank-_2,9.3b
   brahmacaryāśramādūrdhvam Ang_2,5.6a	brahmacarya-ASramAt-UrDvam Ank-_2,5.6a
   brahmacārī viśeṣataḥ Ang_2,8.19b	brahmacArI viSezataH Ank-_2,8.19b
   brahmacārī śunā daṣṭas Ang_2,9.11a	brahmacArI SunA dazwaH Ank-_2,9.11a
   brahmaṇaḥ panasaṃ śritāḥ Ang_1.503d	brahmaNaH panasam SritAH Ank-_1.503d
   brahmabhūtasya tasyāsya Ang_1.114a	brahma-BUtasya tasya-asya Ank-_1.114a
   brahmayajñādikaṃ tathā Ang_1.94d	brahma-yajQa-Adikam taTA Ank-_1.94d
   brahmalokamavāpyeha Ang_1.548a	brahma-lokam-avApya-iha Ank-_1.548a
   brahmalokādayo lokāḥ Ang_1.317a	brahma-loka-AdayaH lokAH Ank-_1.317a
   brahmavādimataṃ bhūyas tv Ang_1.992c	brahma-vAdi-matam BUyas tu Ank-_1.992c
   brahmavidbhirmahābhāgair Ang_1.42c	brahma-vidBiH-mahABAgEH Ank-_1.42c
   brahmavidveṣiṇaṃ caiva Ang_1.747c	brahma-vidveziNam ca-eva Ank-_1.747c
   brahmasvaharaṇonmukham Ang_1.747d	brahma-sva-haraNa-unmuKam Ank-_1.747d
   brahmahatyāvrataṃ caret Ang_1.67d	brahmahatyA-vratam caret Ank-_1.67d
   brahmahā svarṇahārī ca Ang_2,7.8a	brahma-hA svarNa-hArI ca Ank-_2,7.8a
   brahmecārī yatiścāpi Ang_2,9.9a	brahmecArI yatiH-ca-api Ank-_2,9.9a
   brāhmaṇatvasya mūlake Ang_1.64d	brAhmaNa-tvasya mUlake Ank-_1.64d
   brāhmaṇatvaṃ vidhīyate Ang_2,4.9d	brAhmaNa-tvam viDIyate Ang_2,4.9d
   brāhmaṇastatra kāraṇam Ang_2,12.9d	brAhmaNaH-tatra kAraNam Ank-_2,12.9d
   brāhmaṇastu vamedyadi Ang_1.950d	brAhmaNaH-tu vamet-yadi Ank-_1.950d
   brāhmaṇasya mahātmanaḥ Ang_1.614b	brAhmaNasya mahAtmanaH Ank-_1.614b
   brāhmaṇasya mukhe hutam Ang_2,12.13d	brAhmaNasya muKe hutam Ang_2,12.13d
   brāhmaṇaṃ tu viśeṣataḥ Ang_2,7.2b	brAhmaNam tu viSezataH Ank-_2,7.2b
   brāhmaṇaṃ pariṣicya vai Ang_1.824b	brAhmaNam parizicya vE Ank-_1.824b
   brāhmaṇaṃ śrāddhakarmaṇi Ang_1.772b	brAhmaNam SrAdDa-karmaNi Ank-_1.772b
   brāhmaṇā eva ca kṣetraṃ Ang_2,12.10a	brAhmaNAH eva ca kzetram Ank-_2,12.10a
   brāhmaṇā eva daivatam Ang_2,12.10b	brAhmaNAH eva dEvatam Ank-_2,12.10b
   brāhmaṇānāṃ prasādena Ang_1.190c	brAhmaNAnAm prasAdena Ank-_1.190c
   brāhmaṇānāṃ prasādena Ang_2,5.14c	brAhmaNAnAm prasAdena Ank-_2,5.14c
   brāhmaṇānāṃ prasādena Ang_2,12.10c	brAhmaNAnAm prasAdena Ank-_2,12.10c
   brāhmaṇānāṃ bhaviṣyati Ang_1.44d	brAhmaNAnAm Bavizyati Ank-_1.44d
   brāhmaṇānāṃ sapiṇḍeṣu Ang_1.304c	brAhmaNAnAm sapiNxezu Ank-_1.304c
   brāhmaṇī tu śunā daṣṭā Ang_2,9.15a	brAhmaNI tu SunA dazwA Ank-_2,9.15a
   brāhmaṇe dagdhakilbiṣe Ang_2,6.9b	brAhmaNe dagDa-kilbize Ank-_2,6.9b
   brāhmaṇe devatāḥ sarvāḥ Ang_2,12.14c	brAhmaNe devatAH sarvAH Ank-_2,12.14c
   brāhmaṇebhyaḥ pradāpayet Ang_1.554b	brAhmaNeByaH pradApayet Ank-_1.554b
   brāhmaṇe vamanaṃ yadi Ang_1.957b	brAhmaNe vamanam yadi Ank-_1.957b
   brāhmaṇe svāgatīkṛte Ang_1.779b	brAhmaNe svAgatIkRte Ank-_1.779b
   brāhmaṇairbahmavādibhiḥ Ang_1.1085d	brAhmaNEH-bahma-vAdiBiH Ank-_1.1085d
   brāhmaṇo 'dya viśiṣyate Ang_2,12.12d	brAhmaNaH adya viSizyate Ank-_2,12.12d
   brāhmaṇo brāhmaṇasya tu Ang_2,9.1d	brAhmaNaH brAhmaNasya tu Ank-_2,9.1d
   brāhmaṇo brāhmaṇānāṃ tu Ang_2,5.8a	brAhmaNaH brAhmaNAnAm tu Ank-_2,5.8a
   brāhmaṇo mukhaniḥsrutam Ang_1.952d	brAhmaNaH muKa-niHsrutam Ank-_1.952d
   brāhmaṇyamapi tadvatsyāt Ang_2,4.10c	brAhmaNyam-api tadvat-syAt Ank-_2,4.10c
   brāhmaṇyasūcanāyaivaṃ Ang_1.63a	brAhmaNya-sUcanAya-evam Ank-_1.63a
   brāhmaṇyaṃ tasya naṣṭaṃ syāt Ang_1.66a	brAhmaNyam tasya nazwam syAt Ank-_1.66a
   bruvantu ca bhavanto vai Ang_1.891a	bruvantu ca BavantaH vE Ank-_1.891a
   brūhi dharmānaśeṣānnaṃ Ang_1.1c	brUhi DarmAn-aSeza-annam Ank-_1.1c
   bhaktadatvena tatprade Ang_1.131d	Bakta-datvena tad-prade Ank-_1.131d
   bhaktyā 'bhaktyāthavā punaḥ Ang_1.543d	BaktyA aBaktyA-aTavA punar Ank-_1.543d
   bhakṣakaṃ santataṃ tarām Ang_1.763b	Bakzakam santatam tarAm Ank-_1.763b
   bhakṣaṇe samupasthite Ang_1.239b	BakzaNe samupasTite Ank-_1.239b
   bhakṣayantīṃ na kathayet Ang_2,11.8c	BakzayantIm na kaTayet Ang_2,11.8c
   bhakṣyādīni phalānyapi Ang_1.1087d	Bakzya-AdIni PalAni-api Ank-_1.1087d
   bhakṣyāstilamayāḥ kāryās Ang_1.1098a	BakzyAH-tila-mayAH kAryAH Ank-_1.1098a
   bhagavantaṃ pitāmaham Ang_1.588b	Bagavantam pitAmaham Ank-_1.588b
   bhagavān bhūtabhāvanaḥ Ang_1.487d	BagavAn BUtaBAvanaH Ank-_1.487d
   bhagavānmanurabravīt Ang_2,10.16d	BagavAn-manuH-abravIt Ank-_2,10.16d
   bhagīrathaprārthanayā Ang_1.907a	BagIraTa-prArTanayA Ank-_1.907a
   bhayapatvena bhayape Ang_1.132a	Baya-patvena Bayape Ank-_1.132a
   bhayādabhyuttaretkaścid Ang_2,7.4a	BayAt-aByuttaret-kaScid Ank-_2,7.4a
   bhayārtaṃ brāhmaṇaṃ kvacit Ang_2,7.4b	Baya-Artam brAhmaNam kvacid Ank-_2,7.4b
   bharaṇyaṃ munivanditaḥ Ang_1.526d	BaraNyam muni-vanditaH Ank-_1.526d
   bharaṇyāṃ gayapañcakam Ang_1.706d	BaraNyAm gayapaQcakam Ang_1.706d
   bhartāramanugacchati Ang_1.984b	BartAram-anugacCati Ank-_1.984b
   bhartāramanugacchantī Ang_1.989a	BartAram-anugacCantI Ank-_1.989a
   bharturekādaśe 'hani Ang_1.991b	BartuH-ekAdaSe ahani Ank-_1.991b
   bhartuḥ piturvā yadvākyaṃ Ang_1.373c	BartuH pituH-vA yat-vAkyam Ank-_1.373c
   bhartuḥ pitrādibhiḥ kuryād Ang_1.978c	BartuH pitR-AdiBiH kuryAt Ank-_1.978c
   bhartṛvākyaṃ puroditam Ang_1.372d	BartR-vAkyam purA-uditam Ank-_1.372d
   bhartrā patnyāstathaiva ca Ang_1.978d	BartrA patnyAH-taTA-eva ca Ank-_1.978d
   bhartrā saha pramītāyāḥ Ang_1.986c	BartrA saha pramItAyAH Ank-_1.986c
   bhartrā sahaiva śuddhiḥ syāt Ang_1.984c	BartrA saha-eva SudDiH syAt Ank-_1.984c
   bhartrā sākaṃ hṛdā tayā Ang_1.391d	BartrA sAkam hRdA tayA Ank-_1.391d
   bharmaṇeyaṃ yataḥ sādhyā Ang_1.454a	BarmaNeyam yatas sADyAH Ank-_1.454a
   bharmaṇo yāni nāmāni Ang_1.452c	BarmaNaH yAni nAmAni Ank-_1.452c
   bhavato mṛgakarkaṭau Ang_1.641b	BavataH mRga-karkawO Ank-_1.641b
   bhavatyapi ca santatam Ang_1.669d	Bavati-api ca santatam Ank-_1.669d
   bhavatyapi tathā tyakta- Ang_1.1063a	Bavati-api taTA tyakta Ank-_1.1063a
   bhavatyeva na sandehas Ang_1.905a	Bavati-eva na sandehaH Ank-_1.905a
   bhavatyeva hi tatpaścāt Ang_1.1008a	Bavati-eva hi tad-paScAt Ank-_1.1008a
   bhavanti kathayā svarge Ang_1.1019c	Bavanti kaTayA svarge Ank-_1.1019c
   bhavanti kila nānyathā Ang_1.333b	Bavanti kila na-anyaTA Ank-_1.333b
   bhavanti na tathā pāpaṃ Ang_2,6.3c	Bavanti na taTA pApam Ank-_2,6.3c
   bhavantyapi na saṃdehas Ang_1.417a	Bavanti-api na saMdehaH Ank-_1.417a
   bhavantyeveti sā śrutiḥ Ang_1.542d	Bavanti-eva-iti sA SrutiH Ang_1.542d
   bhavānīvacasā yataḥ Ang_1.591b	BavAnI-vacasA yatas Ank-_1.591b
   bhaviṣyati na saṃśayaḥ Ang_1.364b	Bavizyati na saMSayaH Ank-_1.364b
   bhaviṣyatkāryahetave Ang_1.387d	Bavizyat-kArya-hetave Ank-_1.387d
   bhaviṣyatkālakṛtyakam Ang_1.361d	Bavizyat-kAla-kRtyakam Ank-_1.361d
   bhavetkilānyathā taddhi Ang_1.845c	Bavet-kilAni-aTA tat-hi Ank-_1.845c
   bhavettasmāttathā ' 'caret Ang_1.1071b	Bavet-tasmAt-taTA a acaret Ank-_1.1071b
   bhavetsūtakamṛtvijām Ang_1.22d	Bavet-sUtakam-RtvijAm Ank-_1.22d
   bhavedapi pratyavāyī Ang_1.257a	Bavet-api pratyavAyI Ank-_1.257a
   bhavedeva tadā sadyo Ang_1.103c	Bavet-eva tadA sadyas Ank-_1.103c
   bhavedeva na sandehaḥ Ang_1.822a	Bavet-eva na sandehaH Ank-_1.822a
   bhavedeva na sandehaḥ Ang_1.844c	Bavet-eva na sandehaH Ank-_1.844c
   bhavedeva na saṃdehas Ang_1.473c	Bavet-eva na saMdehaH Ank-_1.473c
   bhavedeva na saṃdehaḥ Ang_1.313a	Bavet-eva na saMdehaH Ank-_1.313a
   bhavedeva na saṃśayaḥ Ang_1.604d	Bavet-eva na saMSayaH Ang_1.604d
   bhavedevaṃ na cānyathā Ang_1.1095b	Bavet-evam na ca-anyaTA Ank-_1.1095b
   bhaveyureva tasmāttu Ang_1.718a	BaveyuH-eva tasmAt-tu Ank-_1.718a
   bhaveyurduḥkhitā ghoraṃ Ang_1.881c	BaveyuH-duHKitAH Goram Ank-_1.881c
   bhaveyurnātra saṃśayaḥ Ang_1.1084d	BaveyuH-na-atra saMSayaH Ank-_1.1084d
   bhaveyurhi pavitrāṇi Ang_1.171c	BaveyuH-hi pavitrANi Ank-_1.171c
   bhaveyustatkṣaṇānnanu Ang_1.432b	BaveyuH-tad-kzaNAt-nanu Ank-_1.432b
   bhaveyustā rajasvalāḥ Ang_1.920d	BaveyuH-tAH rajasvalAH Ank-_1.920d
   bhaveyuḥ kila te bhūya Ang_1.528c	BaveyuH kila te BUyas Ank-_1.528c
   bhaveyuḥ pūjanārthāya Ang_1.864c	BaveyuH pUjana-arTAya Ank-_1.864c
   bhavorvāro 'tivardhitaḥ Ang_1.600b	BavorvAraH ativarDitaH Ank-_1.600b
   bhasmāntaṃ sūtakaṃ smṛtam Ang_1.139b	Basma-antam sUtakam smRtam Ank-_1.139b
   bhāgaśaḥ prabravīmi te Ang_2,6.6d	BAgaSas prabravImi te Ank-_2,6.6d
   bhāgīrathī phalgunī ca Ang_1.539a	BAgIraTI PalgunI ca Ank-_1.539a
   bhāgyavān panasī naraḥ Ang_1.555b	BAgyavAn panasI naraH Ank-_1.555b
   bhānuvāre bhaumavāre Ang_1.765c	BAnuvAre BOma-vAre Ank-_1.765c
   bhāvayanti tadā taṃ vai Ang_1.1090c	BAvayanti tadA tam vE Ang_1.1090c
   bhāvayantī mahārudraṃ Ang_1.872a	BAvayantI mahA-rudram Ank-_1.872a
   bhāṣaṇaṃ duṣṭaśikṣaṇam Ang_1.1027d	BAzaNam duzwa-SikzaNam Ank-_1.1027d
   bhāṣiṇaṃ tucchabhāṣakam Ang_1.757d	BAziNam tucCa-BAzakam Ang_1.757d
   bhinnakāye na cettataḥ Ang_1.226d	Binna-kAye na ced-tatas Ank-_1.226d
   bhinnagotraparigrahaḥ Ang_1.179d	Binna-gotra-parigrahaH Ank-_1.179d
   bhinnadaivatake punaḥ Ang_1.1032b	Binna-dEvatake punar Ank-_1.1032b
   bhinnabhinnāḥ prakartavyāḥ Ang_1.698a	Binna-BinnAH prakartavyAH Ank-_1.698a
   bhissayā tāni cācaret Ang_1.278b	BissayA tAni ca-Acaret Ank-_1.278b
   bhissayaiva na cānyathā Ang_1.276d	BissayA-eva na ca-anyaTA Ank-_1.276d
   bhuktistyājyā vicakṣaṇaiḥ Ang_1.291d	BuktiH-tyAjyAH vicakzaNEH Ank-_1.291d
   bhuktvā cāndrāyaṇaṃ caret Ang_1.960d	BuktvA cAndrAyaNam caret Ang_1.960d
   bhuktvā cāndrāyaṇaṃ caret Ang_2,9.7d	BuktvA cAndrAyaNam caret Ang_2,9.7d
   bhuṅakte vā saṃspṛśeta vā Ang_2,8.19d	BuFakte vA saMspRSeta vE Ank-_2,8.19d
   bhuṅkte śūdrānnameva ca Ang_2,8.2b	BuFkte SUdra-annam-eva ca Ank-_2,8.2b
   bhuñjānaḥ śrāddhakarmaṇi Ang_1.954b	BuQjAnaH SrAdDa-karmaNi Ank-_1.954b
   bhuñjāno vardhayet pāpaṃ Ang_2,2.2c	BuQjAnaH varDayet pApam Ank-_2,2.2c
   bhuñjīyāttena tṛptitaḥ Ang_1.1086b	BuQjIyAt-tena tRptitaH Ank-_1.1086b
   bhuvane ye daridrataḥ Ang_1.574b	Buvane ye daridrataH Ank-_1.574b
   bhūtale brāhmaṇāḥ santaḥ Ang_1.534a	BU-tale brAhmaNAH santaH Ank-_1.534a
   bhūtale yatra kutracit Ang_1.544b	BU-tale yatra kutracid Ank-_1.544b
   bhūtale yena kenacit Ang_1.623b	BU-tale yena kenacid Ank-_1.623b
   bhūmiṃ samanulipya ca Ang_1.958d	BUmim samanulipya ca Ank-_1.958d
   bhūmyantarbhūtale tathā Ang_1.1015d	BUmi-antar-BU-tale taTA Ank-_1.1015d
   bhūyaḥ samyak prakurvīta Ang_1.276c	BUyas samyak prakurvIta Ang_1.276c
   bhūrbhuvaḥsuvarāpūrva- Ang_1.794c	BUrBuvaH-suvarA-pUrva Ank-_1.794c
   bhūrbhuvaḥsvastrayolokās Ang_2,3.2a	BUrBuvaH-svaH-trayolokAH Ank-_2,3.2a
   bhṛtyānāṃ tu viśeṣataḥ Ang_2,8.6b	BRtyAnAm tu viSezataH Ank-_2,8.6b
   bhedena kila tatra vai Ang_1.694d	Bedena kila tatra vE Ang_1.694d
   bhaikṣyacaryā vidhīyate Ang_2,9.10d	BEkzya-caryA viDIyate Ank-_2,9.10d
   bhoktā eva na saṃśayaḥ Ang_2,8.3d	BoktA eva na saMSayaH Ang_2,8.3d
