   Śayanāsanavastu	Śayana-Asana-vastu
   āha; tīrthyakoṭiśatasahasreṇāpi bhikṣavo na sukaram ājñātuṃ yena lakṣaṇena	Aha; tIrTya-kowi-Sata-sahasreNa-api BikzavaH na sukaram AjQAtum yena lakzaNena
   samanvāgato 'nāthapiṇḍado gṛhapatir nidhīn paśyati api tu	samanvAgataH anATapiNxadaH gRhapatiH niDIn paSyati api tu
   ratnacitrāntakośo 'nāthapiṇḍado gṛhaptir hiraṇyeśvaraś ca yena nidhīn	ratna-citra-anta-koSaH anATapiNxadaH gRhaptiH hiraNyeSvaraH ca yena niDIn
   paśyati sasvāmikān apy asvāmikān api sthalagatān api jalagatān api ye 'pi	paSyati sa-svAmikAn api asvAmikAn api sTala-gatAn api jala-gatAn api ye api
   dūre ye 'py antike	dUre ye api antike
        bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya-jAtAH sarva-saMSaya=-CettAram budDam Bagavantam
   papracchuḥ: kiṃ bhadānta anāthapiṇḍadena gṛhapatinā karma kṛtaṃ yasya	papracCuH: kim BadAnta anATapiNxadena gRhapatinA karma kRtam yasya
   karmaṇo vipākena ratnacitrāntakośo hiranyeśvaraś ca saṃvṛttaḥ? bhagavān	karmaNaH vipAkena ratna-citra-anta-koSaH hiranyeSvaraH ca saMvRttaH? BagavAn
   āha: anāthapiṇḍadenaiva bhikṣavo gṛhapatinā karmāṇi kṛtyāny upacitāni	Aha: anATapiNxadena-eva BikzavaH gRhapatinA karmANi kRtyAni upacitAni
   labdhasaṃbhārāṇi pariṇatapratyayāny oghavat pratyupasthitāny	labDa-saMBArANi pariNata-pratyayAni oGavat pratyupasTitAni-
   avaśyabhāvīni; anāthapiṇḍadena gṛhapatinā karmāṇi kṛtāny upacitāni ko	avaSya-BAvIni; anATapiNxadena gRhapatinA karmANi kRtAni upacitAni kaH-
   'nyaḥ pratyanubhaviṣyati; na bhikṣavaḥ karmāṇi kṛtany upacitāni bāhye	anyaH pratyanuBavizyati; na BikzavaH karmANi kRtani upacitAni bAhye
   pṛthivīdhātau ḥvipacyanteḥ nābdhātau na tejodhātau na vāyudhātāv api	pRTivI-DAtO HvipacyanteH na-abDAtO na tejaH-DAtO na vAyu-DAtO api
   tūpātteṣv eva skandhadhātvāyataneṣu karmāṇi kṛtāni vipacyante śubhāny	tu-upAttezu eva skanDa-DAtu-Ayatanezu karmANi kRtAni vipacyante SuBAni-
   aśubhāni ca:	aSuBAni ca:
        na praṇaśyanti karmāṇy api kalpaśatair api /	na praNaSyanti karmANi api kalpa-SatEH api /
        sāmagrīṃ prāpya kālaṃ ca phalanti khalu dehinām // (Śay-v 32)	sAmagrIm prApya kAlam ca Palanti Kalu dehinAm // (Śay-u 32)
   The story of the Pratyekabuddha (concerning a previous life of	The storI of Te Prati-ekabudDaH (ca-unceH-ninc a previouH life of
   Anāthapiṇḍada)	AnATapiNxada)
        bhūtapūrvaṃ bhikṣavo anyatarasmin karvaṭake gṛhapatiḥ prativasty	BUta-pUrvam BikzavaH anyatarasmin karvawake gRhapatiH prativasti-
   āḍhyo mahādhano mahābhogo vistīrṇaviśālapratigraho vaiśravaṇadhanasamudito	AXyaH mahADanaH mahA-BogaH vistIrNa-viSAla-pratigrahaH vESravaNa-Dana-samuditaH-
   vaiśravaṇadhanapratispardhī; sa saṃprāpte vasantakālasamaye saṃpuṣpiteṣu	vESravaNa-Dana-pratisparDI; sa saMprApte vasanta-kAla-samaye saMpuzpitezu
   haṃsakrauñcamayūraśukasārikākokilajīvajīvakanirghoṣite vanaṣaṇḍe	haMsa-krOQca-mayUra-Suka-sArikA-kokila-jIva-jIvaka-nirGozite vana-zaNxe
   sāntarjanena udyānabhūmiṃ nirgataḥ; asati buddhānām utpāde pratyekabuddhā	sa-antar-janena udyAna-BUmim nirgataH; asati budDAnAm utpAde pratyekabudDA
   loka utpadyante hīnadīnānukampakāḥ prāntaśayanāsanabhaktā ekadakṣiṇīyā	loke utpadyante hIna-dIna-anukampakAH prAnta-Sayana-Asana-BaktA eka-dakziNIyA
   lokasya; yāvad anyataro pratyekabuddho janapadacārikāṃ caraṃs taṃ	lokasya; yAvat anyataro pratyekabudDaH janapada-cArikAm caran tam
   karvaṭakam anuprāptaḥ; sa tasmin udyāne 'nyatarasmin pradeśe sthitaḥ;	karvawakam anuprAptaH; sa tasmin udyAne anyatarasmin pradeSe sTitaH;
   udyānapālena puruṣeṇa tasya gṛhapater niveditam; athāmuṣmin pradeśe	udyAna-pAlena puruzeNa tasya gRhapateH niveditam; aTa-amuzmin pradeSe
   śāntātmā pravrajito 'vatiṣṭhate iti; tasya śrutvā saumanasyam utpannam;	SAnta-AtmA pravrajitaH avatizWate iti; tasya SrutvA sOmanasyam utpannam;
   bhāgy ahaṃ yasya me udyāne tādṛśaḥ pravrajito 'vasthitaḥ iti prasādajātas	BAgI aham yasya me udyAne tAdRSaH pravrajitaH avasTitaH iti prasAda-jAta-s
   taddarśanāya saṃprasthitaḥ; sa mahātmā nirupadhiśeṣam nirvāṇadhātuṃ	tad-darSanAya saMprasTitaH; sa mahAtmA nirupaDi-Sezam nirvANa-DAtum
   praviśya parinirvṛtaḥ; tatas tena gṛhapatinā	praviSya parinirvRtaH; tatas tena gRhapatinA
   suhṛtsaṃbandhibāndhavāntarjanasahīyena mahatā satkāreṇa dhyāpitaḥ; sā (A	suhRd-saMbanDi-bAnDava-antar-jana-sahIyena mahatA satkAreNa DyApitaH; sA (A
   325a) citā kṣīreṇa nirvāpitā; tāny asthīni sphaṭikamaye kumbhe ratnair	325a) citA kzIreNa nirvApitA; tAni asTIni sPawika-maye kumBe ratnEH-
   vyāmiśrya prakṣiptāni; tāny antaḥsthāny avabhāsante śabdaṃ ca kurvanti;	vyAmiSrya prakziptA-ani; tAni antar-sTAni avaBAsante Sabdam ca kurvanti;
   tatas tena pādayor nipatya praṇidhānaṃ kṛtam; yathā tasyāsthīni	tatas tena pAdayoH nipatya praNiDAnam kRtam; yaTA tasya-asTIni
   ratnamiśrāṇy atyarthaṃ bhāsante śabdaṃ ca kurvanti evam evāham anena	ratna-miSrANi atyarTam BAsante Sabdam ca kurvanti evam eva-aham anena
   kuśalamūlena ratnacitrāntakośaḥ syāṃ hiraṇyeśvaraś ca iti	kuSala-mUlena ratna-citra-anta-koSaH syAm hiraNyeSvaraH ca iti
        kiṃ manyadhve bhikṣavaḥ? yo 'sau gṛhapatiḥ tena kālena tena samayena	kim manyaDve BikzavaH? yaH asO gRhapatiH tena kAlena tena samayena
   eṣa evāsāv anāthapiṇḍado gṛhapatiḥ; yad anena pratyekabuddhe kārāṃ kṛtvā	ezaH eva-asO anATapiNxadaH gRhapatiH; yat anena pratyekabudDe kArAm kRtvA
   praṇidhānaṃ kṛtaṃ yac ca tiṣyasya gṛhapates bhāgineyena satā vipaśyinaḥ	praNiDAnam kRtam yat ca tizyasya gRhapateH BAgineyena satA vipaSyinaH
   samyaksaṃbuddhasya keśanakhastūpe avabhāsātmake maṇir āropitaḥ tasya	samyaksaMbudDasya keSa-naKa-stUpe avaBAsa-Atmake maNiH AropitaH tasya
   karmaṇo vipākena ratnacitrāntrakośo hiraṇyeśvaraś ca saṃvṛttaḥ; iti hi	karmaNaH vipAkena ratna-citra-antra-koSaH hiraNyeSvaraH ca saMvRttaH; iti hi
   bhikṣava ekāntakṛṣṇānāṃ karmaṇāṃ ekāntakṛṣṇo vipākaḥ ekāntaśuklānām	BikzavaH ekAnta-kRzNAnAm karmaNAm ekAnta-kRzNaH vipAkaH ekAnta-SuklAnAm
   ekāntaśuklo vyatimiśrāṇām vyatimiśraḥ; tasmāt tarhi bhikṣavaḥ evaṃ	ekAnta-SuklaH vyatimiSrANAm vyatimiSraH; tasmAt tarhi BikzavaH evam
   śikṣitavyam yat (Śay-v 33) kṛṣṇāṇi karmāṇy apāsya vyatimiśrāṇi ca	Sikzitavyam yat (Śay-u 33) kRzNANi karmANi apAsya vyatimiSrANi ca
   ekāntaśukleṣv eva karmasv ābhogaḥ karaṇīyaḥ ity evaṃ vo bhikṣavaḥ	ekAnta-Suklezu eva karmasu ABogaH karaNIyaH iti evam vaH BikzavaH
   śikṣitāvyam	SikzitAvyam
   antaroddānam	antara-uddAnam
        tiṣyaḥ puṣyaś ca māghuś ca bhavadatto bṛhaspatiḥ /	tizyaH puzyaH ca mAGuH ca BavadattaH bRhaspatiH /
        āṣāḍhaś ca sudattaś ca sudhano bhavati paścimam //	AzAXaH ca sudattaH ca suDanaH Bavati paScimam //
        hiraṇyaṃ ca suvarṇaṃ ca maṇimuktā tṛtīyakam /	hiraNyam ca suvarNam ca maNi-muktA tRtIyakam /
        gobhiḥ paṭair yavaiḥ koṭir hiraṇyena samucchritā //	goBiH pawEH yavEH kowiH hiraNyena samucCritAH //
   Disciplinary prescriptions	Dis-ciplinarI prescriptiA-uns
        yadānāthapiṇḍadena gṛhapatinā koṭīsaṃstareṇa saṃstīrya jetasya	yadA-anATapiNxadena gRhapatinA kowI-saMstareNa saMstIrya jetasya
   kumārasya sakāśān niṣkrīya buddhapramukhāya bhikṣusaṃghāya niryātitaṃ tadā	kumArasya sakASAt nizkrIya budDa-pramuKAya Bikzu-saMGAya niryAtitam tadA
   nānādeśanivāsinaḥ śrāddhāś caityābhivandakā śrāvastīṃ gacchanti; teṣāṃ	nAnA-deSa-nivAsinaH SrAdDAH ca-etya-aBivandakA SrAvastIm gacCanti; tezAm
   kecid abhiprasannāḥ kathayanti: ārya vayam apy āryasaṃghāya jetavane	kecid aBiprasannAH kaTayanti: Arya vayam api Arya-saMGAya jetavane
   kiṃcid vastu kārayema –für kārayāma?– iti; bhikṣavaḥ kathayanti: mūlyena	kiMcid vastu kArayema –für kArayAma?– iti; BikzavaH kaTayanti: mUlyena
   bhūmiṃ krītvā kārayata; ārya kiyatā mūlyena dīyate iti; iyatā hiraṇyena;	BUmim krItvA kArayata; Arya kiyatA mUlyena dIyate iti; iyatA hiraNyena;
   ārya kuto 'smākam etāvad bhavati; tathāpi tu yady etasmin pradeśe	Arya kutas asmAkam etAvat Bavati; taTA-api tu yadi etasmin pradeSe
   labhāmahe kārayāma iti	laBAmahe kArayAmaH iti
        etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti; bhagavān āha:	etat prakaraNam BikzavaH BagavataH Arocayanti; BagavAn Aha:
   gṛhapatir avalokayitavyaḥ; yady anujānīte kārayitavyam iti; bhikṣubhir	gRhapatiH avalokayitavyaH; yadi anujAnIte kArayitavyam iti; BikzuBiH-
   anāthapiṇḍado gṛhapatir avalokitaḥ; sa kathayati; māmāgamya śrāddhā	anATapiNxadaH gRhapatiH avalokitaH; sa kaTayati; mAm-Agamya SrAdDA
   brāhmaṇagṛhapatayaḥ saṃghasyārthāya puṇyakriyāvastu kurvanti anujānāmi;	brAhmaNa-gRhapatayaH saMGasya-arTAya puNya-kriyA-vastu kurvanti anujAnAmi;
   pudgalasya kurvanti nānujānāmi iti	pudgalasya kurvanti na-anujAnAmi iti
        etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti; bhagavān āha; tasmād	etat prakaraNam BikzavaH BagavataH Arocayanti; BagavAn Aha; tasmAt-
   anujānāmi saṃghasyārthāya kārayitavyam; pudgalasyārthāya dānapatir	anujAnAmi saMGasya-arTAya kArayitavyam; pudgalasya-arTAya dAnapatiH-
   avalokayitavyaḥ; yady anujānīte kārayitavyam; nānujānīte, na kārayitavyam	avalokayitavyaH; yadi anujAnIte kArayitavyam; na-anujAnIte, na kArayitavyam
   iti	iti
        āgantukā bhikṣavaḥ caityavandakā śrāvastīm āgatāḥ; te	AgantukAH BikzavaH cEtya-vandakA SrAvastIm AgatAH; te
   yathāsaṃstutikayā bhikṣūṇāṃ sakāśe 'vatīrṇāḥ; anyeṣāṃ saṃstutikā (Śay-v	yaTA-saMstutikayA BikzUNAm sakASe avatIrNAH; anyezAm saMstutikA (Śay-v
   34) na santi te vihanyante; asyām utpattau bhagavān āha: āgantukānām	34) na santi te vihanyante; asyAm utpattO BagavAn Aha: AgantukAnAm
   arthāya anuddiṣṭaṃ vastu sthāpayitavyam iti; anyatamasmin karvaṭake	arTAya anuddizwam vastu sTApayitavyam iti; anyatamasmin karvawake
   vihāraḥ; tatra bhikṣavo (A 326a) varṣā upagataḥ; yāvat tasmin karvaṭake	vihAraH; tatra BikzavaH (A 326a) varzAH upagataH; yAvat tasmin karvawake
   'ntarvarṣe bhayam utpannam; tannivāsino bhikṣavaḥ saṃtrastā apravāritāḥ	antar-varze Bayam utpannam; tad-nivAsinaH BikzavaH saMtrastAH apravAritAH
   santaḥ śrāvastīm āgatāḥ; te bhikṣubhiḥ pratiśrāmitāḥ mārgaśrame	santaH SrAvastIm AgatAH; te BikzuBiH pratiSrAmitAH mArga-Srame
   prativinodite kathayanti: āyuṣmantaḥ śayanāsanam uddiśatha iti; te	prativinodite kaTayanti: AyuzmantaH Sayana-Asanam uddiSaTaH iti; te
   'ntarvarṣam iti kṛtvā noddiśanti; āgantukā bhikṣava avadhyāyanti kṣipanti	antar-varzam iti kRtvA na-uddiSanti; AgantukAH Bikzava avaDyAyanti kzipanti
   vivācayanti; katham idānīṃ yūyam āyuṣmantaḥ sthitasya eva śāstuḥ śāsanam	vivAcayanti; kaTam idAnIm yUyam AyuzmantaH sTitasya eva SAstuH SAsanam
   antardhāpayatha; yady asti vo kaukṛtyaṃ yathāvṛddhikayā prayacchata	antarDApayaTa; yadi asti vaH kOkRtyam yaTAvRdDikayA prayacCata
   śayanāsanam iti; tathāpi te noddiśanti; etat prakaraṇaṃ bhikṣavo bhagavata	Sayana-Asanam iti; taTA-api te na-uddiSanti; etat prakaraNam BikzavaH Bagavata
   ārocayanti; asyām utpattau bhagavān āha: tasmād anujānāmi	Arocayanti; asyAm utpattO BagavAn Aha: tasmAt anujAnAmi
   bhaṅgikabhagnakānāṃ bhikṣūṇām arthāya dvitīyā varṣopanāyikā kartavyā iti;	BaFgika-BagnakAnAm BikzUNAm arTAya dvitIyA varza-upanAyikA kartavyA iti;
   bhikṣavo na jānate: kathaṃ kartavyā iti; bhagavān āha: traimāsikī	BikzavaH na jAnate: kaTam kartavyA iti; BagavAn Aha: trEmAsikI
   pravāraṇā kartavyā śrāvaṇamāse tu dvitīyā varṣopanāyikā kartavyā iti;	pravAraNA kartavyA SrAvaNa-mAse tu dvitIyA varza-upanAyikA kartavyA iti;
   uktaṃ bhagavatā: bhaṅgibhagnakānāṃ bhikṣūṇām arthāya dvitīyā varṣopanāyikā	uktam BagavatA: BaFgi-BagnakAnAm BikzUNAm arTAya dvitIyA varzA-upanAyikA
   kartavyā iti	kartavyAH iti
        yāvad apare 'pi bhaṅgibhagnakā bhikṣavaḥ śrāvastīm āgatāḥ; etat	yAvat apare api BaFgi-BagnakAH BikzavaH SrAvastIm AgatAH; etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti; bhagavān āha: bhaṅgibhagnakān	prakaraNam BikzavaH BagavataH Arocayanti; BagavAn Aha: BaFgi-BagnakAn
   mayā bhikṣavo bhikṣūn āgamya dvitīyā varṣopanāyikā prajñaptā, na tṛtīyā;	mayA BikzavaH BikzUn Agamya dvitIyA varza-upanAyikA prajQaptA, na tRtIyA;
   bhaṅgibhagnakās tu bhikṣavaḥ yathāsaṃstutikayā viśrāmayitavyāḥ; bhikṣavaḥ	BaFgi-BagnakAH tu BikzavaH yaTAsaMstutikayA viSrAmayitavyAH; BikzavaH
   tān karmādānaṃ kārayanti; bhagavān āha: na te karmādānaṃ kārayitavyāḥ iti;	tAn karma-AdAnam kArayanti; BagavAn Aha: na te karma-AdAnam kArayitavyAH iti;
   bhikṣavas teṣāṃ lābham anuprayacchanti; bhagavān āha: na teṣāṃ lābho	BikzavaH tezAm lABam anuprayacCanti; BagavAn Aha: na tezAm lABaH-
   deyah; bhikṣava āmiṣalābham api nānuprayacchanti; bhagavān āha:	deyah; BikzavaH Amiza-lABam api na-anuprayacCanti; BagavAn Aha:
   āmiṣalābhas teṣāṃ no tu vastralābha iti (Śay-v 35)	Amiza-lABaH tezAm no tu vastra-lABaH iti (Śay-u 35)
        ṣrāddhaiḥ prabhūtā vihārāḥ kāritāḥ; śrāvastyām alpā bhikṣava varṣā	zrAdDEH praBUtAH vihArAH kAritAH; SrAvastyAm alpA Bikzava varzA
   upagatāḥ; te śūnyakās tiṣṭhanti; dānapatīnāṃ paribhogānvayaṃ puṇyaṃ na	upagatAH; te SUnyakAH tizWanti; dAnapatInAm pariBoga-anvayam puNyam na
   bhavati; vātaputraiś cāvāsyante; bhagavāṇ āha: sarve uddeṣṭavyāḥ pratyekam	Bavati; vAta-putrEH ca-AvAsyante; BagavAN Aha: sarve uddezwavyAH pratyekam
   ekaikasya dvau trayaś catvāro vā yathāpramāṇataḥ sarve paribhoktavyāḥ,	ekEkasya dvO trayaH catvAraH vA yaTA-pramANataH sarve pariBoktavyAH,
   kvacit pūrvāhṇe sthātavyam, kvacin madhyāhne, kvacid aparāhṇe, kvacid	kvacid pUrvAhNe sTAtavyam, kvacid maDyAhne, kvacid aparAhNe, kvacid-
   rātrau vastavyam iti; bhikṣavas te punaḥ karma na kurvanti pralubhyante;	rAtrO vastavyam iti; BikzavaH te punar karma na kurvanti praluByante;
   bhagavān āha: dānapatir utsāhayitavyaḥ; sa vai saṃpadyata ity evaṃ	BagavAn Aha: dAnapatiH utsAhayitavyaH; sa vE saMpadyate iti evam
   kuśalam, no cet saṃpadyate sāṃghikena pratisaṃstartavyāḥ; na cet śakyate	kuSalam, no ced saMpadyate sAMGikena pratisaMstartavyAH; na ced Sakyate
   yāvatāṃ śakyate tāvatāṃ saṃskāraḥ kartavyaḥ, anye vyupekṣitavyāḥ iti	yAvatAm Sakyate tAvatAm saMskAraH kartavyaH, anye vyupekzitavyAH iti
        yadā bhagavataḥ vaistārikaṃ saṃvṛttaṃ tadā bahavo bhikṣavaḥ śrāvastīm	yadA BagavataH vEstArikam saMvRttam tadA bahavaH BikzavaH SrAvastIm
   āgatāḥ; te layane nirvihanyante; bhagavān āha: dvayos trayāṇām	AgatAH; te layane nirvihanyante; BagavAn Aha: dvayoH trayANAm
   coddeṣṭavyam antataḥ sarveṣāṃ sāmānyena niṣadanaprāmāṇikam uddeṣṭavyam	ca-uddezwavyam antatas sarvezAm sAmAnyena nizadana-prAmANikam uddezwavyam
   udakasthālakasthānapānīyabhaiṣajyadantakāṣṭhapātrasthānaṃ varjayitvā;	udaka-sTAlaka-sTAna-pAnIya-BEzajya-danta-kAzWa-pAtra-sTAnam varjayitvA;
   sāmīcī ca parasparam upacāras tu sāmānya eva noddeṣṭavya iti	sAmIcI ca parasparam upacAraH tu sAmAnyaH eva na-uddezwavyaH iti
        uktaṃ bhagavatā; ekāny araṇyāni vṛkṣamūlāni śūnyāgārāṇi	uktam BagavatA; ekAni araNyAni vRkza-mUlAni SUnya-AgArANi
   parvatakandaragiriguhapalālapuñjābhyavakāśaśmaśānavanaprasthāni (Śay-v 36)	parvata-kandara-giri-guha-palAla-puQja-aByavakASa-SmaSAna-vana-prasTAni (Śay-u 36)
   prāntāni śayanāsanāni dhyāyata, bhikṣavaḥ, mā pramādyata, mā paścād	prAntAni Sayana-AsanAni DyAyata, BikzavaH, mA pramAdyata, mA paScAt-
   vipratisāriṇo (A 326b) bhūta iti; āraṇyakatvasya ca bahudhā varṇo bhāṣitaḥ	vipratisAriNaH (A 326b) BUtaH iti; AraNyaka-tvasya ca bahuDA varNaH BAzitaH
        tadā kecid bhikṣava āraṇyakatvaṃ samādāya araṇye 'dhyavasthitāḥ; te	tadA kecid BikzavaH AraNyaka-tvam samAdAya araNye aDyavasTitAH; te
   tatra coraiḥ muṣyante; muṣitāḥ santaḥ brāhmaṇagṛhapatikulebhyaś	tatra corEH muzyante; muzitAH santaH brAhmaNa-gRhapati-kuleByaH-
   cīvarārthaṃ paryeṣṭim āpadyamānāḥ riṃcanty uddeśaṃ pāṭham svādhyāyaṃ yogaṃ	cIvara-arTam paryezwim ApadyamAnAH riMcanti uddeSam pAWam svADyAyam yogam
   manasikāram; etat prakaraṇam bhikṣavo bhagavata ārocayanti; asyām utpattau	manasikAram; etat prakaraNam BikzavaH BagavataH Arocayanti; asyAm utpattO
   bhagavān āha: āraṇyakānāṃ bhikṣūṇām arthāya vastu sthāpayitavyam iti;	BagavAn Aha: AraNyakAnAm BikzUNAm arTAya vastu sTApayitavyam iti;
   uktaṃ bhagavatā: āraṇyakānāṃ bhikṣūṇām arthāya vastu sthāpayitavyam iti;	uktam BagavatA: AraNyakAnAm BikzUNAm arTAya vastu sTApayitavyam iti;
   bhikṣava aprakāśe sthāpayanti; āraṇyako bhikṣuḥ pātracīvaraṃ sthāpayitvā	Bikzava aprakASe sTApayanti; AraNyakaH BikzuH pAtra-cIvaram sTApayitvA
   dvāraṃ baddhvā tāḍakam ādāya prakrāntaḥ; anayeṣām āraṇyakānāṃ bhikṣūṇām	dvAram badDvA tAxakam AdAya prakrAntaH; anayezAm AraNyakAnAm BikzUNAm
   vighāto jātaḥ; bhagavān āha: prakāśe sthāne āraṇyakānāṃ bhikṣūṇāṃ vastu	viGAtaH jAtaH; BagavAn Aha: prakASe sTAne AraNyakAnAm BikzUNAm vastu
   sthāpayitavyam iti; upanandasyānyatamena gṛhapatinā vihāraḥ kāritaḥ; sa	sTApayitavyam iti; upanandasya-anyatamena gRhapatinA vihAraH kAritaH; sa
   tatra na prativasati; yo bhikṣur āgantuka āgacchati tasmai vastu dadāti	tatra na prativasati; yaH BikzuH AgantukaH AgacCati tasmE vastu dadAti
   lābhaṃ tv ātmanā gṛhṇāti; yāvad anyatamas traicīvariko bhikṣur āgataḥ;	lABam tu AtmanA gRhNAti; yAvat anyatamaH trEcIvarikaH BikzuH AgataH;
   tenāsau vihāro dṛṣṭaḥ śūnyaḥ; sa pṛcchati, kasyāyaṃ vihāraḥ iti; bhikṣavaḥ	tena-asO vihAraH dRzwaH SUnyaH; sa pRcCati, kasya-ayam vihAraH iti; BikzavaH
   kathayanti: upanandasya bhikṣoḥ; sa tena gatvā yācitaḥ; sa kathayati: ayaṃ	kaTayanti: upanandasya BikzoH; sa tena gatvA yAcitaH; sa kaTayati: ayam
   vihāraḥ, prativasa; yo 'tra lābhaḥ sa mama iti; tatrāvasthitaḥ; tenāsau	vihAraH, prativasa; yaH atra lABaH sa mama iti; tatra-avasTitaH; tena-asO
   vihāro na kadācit saṃmṛṣṭaḥ, na sukumārī gomayakārṣī na dattā; yāvad asau	vihAraH na kadAcid saMmRzwaH, na sukumArI gomayaka-ArzI na dattA; yAvat asO
   tasmād vihārād apakrāntaḥ; anyo bhikṣur āgataḥ; so 'py upanandasya sakāśād	tasmAt vihArAt apakrAntaH; anyaH BikzuH AgataH; saH api upanandasya sakASAt-
   yācitvā tasmin vihāre 'vasthitaḥ; paśyati taṃ vihāraṃ saṃkāraparipūrṇam;	yAcitvA tasmin vihAre avasTitaH; paSyati tam vihAram saMkAra-paripUrNam;
   tenāsau saṃmṛṣṭaḥ saṃkāraṃ chorayitvā saṃmārjanīṃ gṛhītvaiva	tena-asO saMmRzwaH saMkAram CorayitvA saMmArjanIm gRhItvA-eva
   saṃkārakuṭasamīpe 'vasthitaḥ, yāvad anyatamena bhikṣuṇā dṛṣṭaḥ; sa	saMkAra-kuwa-samIpe avasTitaH, yAvat anyatamena BikzuNA dRzwaH; sa
   kathayati: āyuṣman kiṃ tvaṃ saṃmārjanīvyagrahasta evāvatiṣṭhase, neyaṃ	kaTayati: Ayuzman kim tvam saMmArjanI-vyagra-haste eva-avatizWase, na-iyam
   saṃmārjanī sthāpyata? iti; sa kathayati: ko 'py atra hastarakṣāsthitaḥ,	saMmArjanI sTApyata? iti; sa kaTayati: kaH api atra hasta-rakzA-sTitaH,
   tena na kadācit saṃmārjanīpadam api dattam iti; sa kathayati: amuko 'tra	tena na kadAcid saMmArjanI-padam api dattam iti; sa kaTayati: amukaH atra
   traicīvariko (Śay-v 37) bhikṣur avasthitaḥ iti; yāvat tenāsau piṇḍapātam	trEcIvarikaH (Śay-u 37) BikzuH avasTitaH iti; yAvat tena-asO piNxapAtam
   aṭatā dṛṣṭa upālabdhaś ca; sa kathayati: upanando lābhaṃ gṛhṇāti ahaṃ	awatA dRzwaH upAlabDaH ca; sa kaTayati: upanandaH lABam gRhNAti aham
   tasya vihāraṃ śodhayāmi? iti; etat prakaraṇaṃ bhikṣavo bhagavata	tasya vihAram SoDayAmi? iti; etat prakaraNam BikzavaH Bagavata
   ārocayanti; asyām utpattau bhagavān āha: yo lābhaṃ gṛhṇāti tena vihāraḥ	Arocayanti; asyAm utpattO BagavAn Aha: yaH lABam gRhNAti tena vihAraH
   saṃmārṣṭavyaḥ iti	saMmArzwavyaH iti
        uktaṃ bhagavatā: abhyatītakālagatānāṃ dānapatīnām nāmnā dakṣiṇā	uktam BagavatA: aByatIta-kAla-gatAnAm dAnapatInAm nAmnA dakziNA
   ādeṣṭavyā iti; saṃghasthaviro 'bhyatītakālagatānāṃ dānapatīnām arthāya	AdezwavyAH iti; saMGa-sTaviraH aByatIta-kAla-gatAnAm dAnapatInAm arTAya
   gāthāṃ bhāṣate; anyatamaś ca gṛhapatir vihāram āgataḥ; tenāsau śrutaḥ;	gATAm BAzate; anyatamaH ca gRhapatiH vihAram AgataH; tena-asO SrutaH;
