   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   syādasti, syānnāsti, syādasti ca nāsti ca, syādavaktavyaḥ, syādasti	syAt asti, syAt na asti, syAt asti ca na asti ca, syAt avaktavyaH, syAt asti
   cāvaktavyaśca, syānnāsti cāvaktavyaśca, syādasti ca nāsti cāvaktavyaśceti	ca avaktavyaH ca, syAt na asti ca avaktavyaH ca, syAt asti ca na asti ca avaktavyaH ca iti
   evamevaikatvanityatvādiṣvapīmaṃ saptabhaṅgīnayaṃ yojayanti /	evam eva eka tva nitya tva Adizu api imam sapta BaFgIn ayam yojayanti /
   atrācakṣmahe  nāyamabhyupagamo yukta iti kutaḥ /	atra Acakzmahe na ayam aByupagamaH yuktaH iti kutas /
   ekasminnasaṃbhavāt /	ekasmin= asaMBavAt /
   nahyekasmindharmiṇi yugapatsadasattvādiviruddhadharmasamāveśaḥ saṃbhavati	na hi ekasmin DarmiNi yugapad sat asattva Adi virudDa Darma samAveSaH saMBavati
   śītoṣṇavat /	SIta uzNa vat /
   ya ete saptapadārthā nirdhāritā etāvanta evaṃrūpāśceti te tathaiva vā	ye ete sapta padArTAH nirDAritAH etAvantaH evaMrUpAH ca iti te taTA eva vA
   syurnaiva vā tathā syuḥ /	syuH na eva vA taTA syuH /
   itarathā hi tathā vā syuratathā vetyanirdhāritarūpaṃ jñānaṃ	itaraTAH hi taTA vA syuH ataTA vA iti anirDArita rUpam jQAnam
   saṃśayajñānavadapramāṇameva syāt /	saMSaya jQAna vat apramANam eva syAt /
   nanvanekātmakaṃ vastviti nirdhāritarūpameva jñānamutpadyamānaṃ	nanu aneka Atmakam vastu iti nirDArita rUpam eva jQAnam utpadyamAnam
   saṃśayajñānavannāpramāṇaṃ bhavitumarhati /	saMSaya jQAna vat na apramANam Bavitum arhati /
   neti brūmaḥ /	na iti brUmaH /
   niraṅ kuśaṃ hyanekāntatvaṃ sarvavastuṣu pratijānānasya nirdhāraṇasyāpi	niraF kuSam hi anekAnta tvam sarva vastuzu pratijAnAnasya nirDAraNasya api
   vastutvaviśeṣātsyāditi	vastu tva viSezAt syAt iti
   syānavnāstītyādivikalpopanipātādinirdhāraṇātmakataiva syāt /	syAnavna asti ityAdi vikalpa upanipAta Adi nirDAraNa Atmaka tA eva syAt /
   evaṃ nirdhārayiturnirdhāraṇaphalasya ca syātpakṣe 'stitā syācca pakṣe	evam nirDArayituH nirDAraNa Palasya ca syAt pakze astitA syAt ca pakze
   nāstīti /	na asti iti /
   evaṃsati kathaṃ pramāṇabhūtaḥ saṃstīrthakaraḥ	evaMsati kaTam pramANa BUtaH san= tIrTakaraH
   pramāṇaprameyapramātṛpramitaṣvanirdhāritāsūpadeṣṭuṃ śaknuyāt /	pramANa prameya pramAtR pramitazu anirDArita Asu upadezwum SaknuyAt /
   kathaṃ vā tadabhiprāyānusāriṇastadupadiṣṭer'the 'nirdhāritarūpe	kaTam vA tad aBiprAya anusAriNaH tat upadizwer aTe anirDArita rUpe
   pravarteran /	pravarteran /
   aikāntikaphalatvanirdhāraṇe hi sati tatsādhanānuṣṭhānāya sarvo loko	EkAntika Pala tva nirDAraNe hi sati tad sADana anuzWAnAya sarvaH lokaH 
   'nākulaḥ pravartate nānyathā /	anAkulaH pravartate na anyaTA /
   ataścānirdhārtārthaṃ śāstraṃ praṇayanmattonmattavadanupādeyavacanaḥ syāt /	atas ca anirDa Arta arTam SAstram praNayat matta unmatta vat anupAdeya vacanaH syAt /
   tathā pañcānāmastikāyānāṃ pañcatvasaṃkhyāsti vā nāsti veti vikalpyamānā	taTA paQcAnAm astikAyAnAm paQcatva saMKyA asti vA na asti vA iti vikalpyamAnA
   syāttāvadekasminpakṣe, pakṣāntare tu na syādityato	syAt tAvat ekasmin pakze, pakza antare tu na syAt iti atas 
   nyūnasaṃkhyātvamadhikasaṃkhyātvaṃ vā prāpnuyāt /	nyUna saMKyA tvam aDika saMKyA tvam vA prApnuyAt /
   nacaiṣāṃ padārthānāmavaktavyatvaṃ saṃbhavati /	na ca ezAm padArTAnAm avaktavya tvam saMBavati /
   avaktavyāścennocyeran /	avaktavyAH ced nocyeran /
   ucyante cāvaktavyāśceti vipratiṣiddham /	ucyante ca avaktavyAH ca iti vipratizidDam /
   ucyamānāśca tathaivāvadhāryante nāvadhāryanta iti ca /	ucyamAnAH ca taTA eva avaDAryante na avaDAryante iti ca /
   tathā tadavadhāraṇaphalaṃ samyagdarśanamasti vā nāsti vā, evaṃ	taTA tad avaDAraNa Palam samyak darSanam asti vA na asti vA, evam
   tadviparītamasamyagdarśanamapyasti vā nāsti veti	tad viparItam asamyak darSanam api asti vA na asti vA iti
   pralapanmattonmattapakṣasyaiva syānna pratyāyitavyapakṣasya /	pralapan matta unmatta pakzasya eva syAt na pratyAyitavyapakzasya /
   svargāpavargayośca pakṣe bhāvaḥ pakṣe cābhāvastathā pakṣe nityatā pakṣe	svarga apavargayoH ca pakze BAvaH pakze ca aBAvaH taTA pakze nityatA pakze
   cānityatetyanavadhāraṇāyāṃ pravṛttyanupapattiḥ /	ca anitya tA iti anavaDAraNAyAm pravRtti anupapattiH /
   anādisiddhajīvaprabhṛtīnāṃ ca	anAdi sidDa jIva praBRtInAm ca
   svaśāstrāvadhṛtasvabhāvānāmayathāvadhṛtasvabhāvatvaprasaṅgaḥ /	sva SAstra avaDRta svaBAvAnAm ayaTA avaDRta svaBAva tva prasaFgaH /
   evaṃ jīvādiṣu padārtheṣvekasmindharmiṇi	evam jIva Adizu padArTezu ekasmin DarmiNi
   sattvāsattvayorviruddhayordharmayorasaṃbhavātsattve caikasmindharme	sattva asattvayoH virudDayoH DarmayoH asaMBavAt sattve ca ekasmin Darme
   'sattvasya dharmāntarasyāsaṃbhavādasattve caivaṃ	asattvasya Darma antarasya asaMBavAt asattve ca evam
   sattvasyāsaṃbhavādasaṃgatamidamārhataṃ matam /	sattvasya asaMBavAt asaMgatam idam Arhatam matam /
   etenaikānekanityānityavyatiriktāvyatiriktādyanekāntābhyupagamā nirākṛtā	etena ekA aneka nitya anityavyatirikta avyatirikta Adi anekAnta aByupagamA nirAkRtA
   mantavyāḥ /	mantavyAH /
   yattu pudgalasaṃjñakebhyo 'ṇubhyaḥ saṃgātāḥ saṃbhavantīti kalpayanti	yat tu pudgala saMjQakeByaH aNuByaH saMgAtAH saMBavanti iti kalpayanti
   tatpūrveṇaivāṇuvādanirākaraṇena nirākṛtaṃ bhavatītyato na	tat pUrveNa eva aNuvAda nirAkaraNena nirAkRtam Bavati iti atas na
   pṛthaktannirākaraṇāya prayatyate // 33 //	pRTak tad nirAkaraNAya prayatyate // 33 //
   FN: jīvājīvau bhoktṛbhogyau, viṣayābhimukhyenenidriyāṇāṃ pravṛttirāsravaḥ,	FN: jIvAjIvO BoktR BogyO, vizaya aBimuKyena inidriyANAm pravRttiH AsravaH,
   tāṃ saṃvṛṇotīti saṃvaro yamaniyamādiḥ, nirjarayati nāśayati kalmaṣamiti	tAm saMvRNoti iti saMvaraH yama niyama AdiH, nirjarayati nASayati kalmazam iti
   nirjarastaptaśilārohaṇādiḥ, bandhaḥ karma, mokṣaḥ karmapāśanāśe	nirjaraH tapta SilA ArohaNa AdiH, banDaH karma, mokzaH karma pASa nASe
   satyalokākāśapraviṣṭasya satatordhvagamanam /	satya loka AkASa pravizwasya satata UrDva gamanam /
   astikāyaśabdaḥ sāṃketikaḥ padārthavācī /	astikAya SabdaH sAMketikaH padArTa vAcI /
   jīvaścāsāvastikāyaśceti vigrahaḥ /	jIvaH ca asO= astikAyaH ca iti vigrahaH /
   pūryante gantīti pudgalāḥ paramāṇusaṃghāḥ kāyāḥ /	pUryante ganti iti pudgalAH paramANu saMGAH kAyAH /
   saptānāṃstitvādīnāṃ bhaṅgānāṃ samāhāraḥ saptabhaṅgī tasyā nayo nyāyaḥ /	saptAnAn= titva AdInAm BaFgAnAm samAhAraH sapta BaFgI tasyAH nayaH nyAyaH /
   evaṃ cātmākārtsnyam | BBs_2,2.34 |	evam ca AtmA AkArtsnyam | BBH _2,2.34 |
   yathaikasmindharmiṇi viruddhadharmāsaṃbhavo doṣaḥ syādvāde prasakta	yaTA ekasmin DarmiNi virudDa Darma asaMBavaH dozaH syAt vAde prasakta
   evamātmano 'pi jīvasyākārtsnyamaparo doṣaḥ prasajyeta /	evam AtmanaH api jIvasya AkArtsnyam aparaH dozaH prasajyeta /
   katham /	kaTam /
   śarīraparamātmāṇo hi jīva ityārhatā manyante /	SarIra paramAtmANaH hi jIvaH iti ArhatAH manyante /
   śarīraparimāṇatāyāṃ ca satyāmakṛtsno 'sarvagataḥ paricchinna ātmetyato	SarIra parimANa tAyAm ca satyAm akRtsnaH asarva gataH paricCinnaH AtmA iti atas 
   ghaṭādivadanityatvamātmanaḥ prasajyeta /	Gawa Adi vat anitya tvam AtmanaH prasajyeta /
   śarīrīṇāṃ cānavasthitaparimāṇatvānmanuṣyajīvo manuṣyaśarīraparimāṇo bhūtvā	SarIrINAm ca anavasTita parimANa tvAt manuzya jIvaH manuzya SarIra parimANaH BUtvA
   punaḥ kenacitkarmavipākena hastijanma prāpnuvanna kṛtsnaṃ hastiśarīraṃ	punar kenacid karma vipAkena hasti janma prApnuvan na kRtsnam hasti SarIram
   vyāpnuyāt /	vyApnuyAt /
   puttikājanma ca prāpmuvanna kṛtsnaḥ puttikāśarīre saṃmīyeta /	puttikA janma ca prApmuvat na kRtsnaH puttikA SarIre saMmIyeta /
   samāna eṣa ekasminnapi janmani kaumārayauvanasthavireṣu doṣaḥ /	samAnaH ezaH ekasmin= api janmani kOmAra yOvana sTavirezu dozaH /
   syādetat /	syAt etat /
   antāvayavo jīvastasya ta evāvayavā alpe śarīre saṃkuceyurmahati ca	anta avayavaH jIvaH tasya te eva avayavAH alpe SarIre saMkuceyuH mahati ca
   vikuceyuriti /	vikuceyuH iti /
   teṣāṃ punaranantānāṃ jīvāvayavānāṃ samānadeśatvaṃ pratihanyate vā naveti	tezAm punar anantAnAm jIva avayavAnAm samAna deSa tvam pratihanyate vA nava iti
   vaktavyam /	vaktavyam /
   pratighāte tāvannānantāvayavāḥ paricchinne deśe saṃmīyeran /	pratiGAte tAvat na ananta avayavAH paricCinne deSe saMmIyeran /
   apratighāte 'pyekāvayavadeśatvopapatteḥ sarveṣāmavayavānāṃ	apratiGAte api eka avayava deSa tva upapatteH sarvezAm avayavAnAm
   prathimānupapatterjīvasyāṇumātratvaprasaṅgaḥ syāt /	praTima anupapatteH jIvasya aNu mAtra tva prasaFgaH syAt /
   apica śarīramātraparicchinnānāṃ jīvāvayavānāmānantyaṃ notprekṣitumapi	api ca SarIra mAtra paricCinnAnAm jIva avayavAnAm Anantyam na utprekzitum api
   śakyam // 34 //	Sakyam // 34 //
   FN: karmavipākaḥ karmaṇāmabhivyaktiḥ /	FN: karma vipAkaH karmaNAm aBivyaktiH /
   atha prayāyeṇa bṛhaccharīrapratipattau kecijjīvāvayavā upagacchanti	aTa prayAyeNa bRhat SarIra pratipattO kecid jIva avayavAH upagacCanti
   tanuśarīrapratipattau ca kecidapagacchantītyucyeta tatrāpyucyate 	tanu SarIra pratipattO ca kecid apagacCanti iti ucyeta tatra api ucyate 
   na ca paryāyād apy avirodho vikārādibhyaḥ | BBs_2,2.35 |	na ca paryAyAt api aviroDaH vikAra AdiByaH | BBH _2,2.35 |
   naca paryāyeṇāpyavayavopagamāpagamābhyāmetaddehaparimāṇatvaṃ	na ca paryAyeNa api avayava upagama apagamAByAm etat deha parimANa tvam
   jīvasyāvirodhenopapādayituṃ śakyate /	jIvasya aviroDena upapAdayitum Sakyate /
   kutaḥ /	kutas /
   vikārādidoṣaprasaṅgāt /	vikAra Adi doza prasaFgAt /
   avayavopagamāpagamābhyāṃ hyaniśamāpūryamāṇasyāpakṣīyamāṇasya ca jīvasya	avayava upagama apagamAByAm hi aniSam ApUryamANasya apakzIyamANasya ca jIvasya
   vikriyāvattvaṃ tāvadaparihāryam, vikriyāvattve ca carmādivadanityaṃ	vikriyAvat tvam tAvat aparihAryam, vikriyAvat tve ca carma Adi vat anityam
   prasajyeta /	prasajyeta /
   tataśca bandhamokṣābhyupagamo bādhyeta karmāṣṭakapariveṣṭitasya	tatas ca banDa mokza aByupagamaH bADyeta karma azwaka parivezwitasya
   jīvasyālābuvatsaṃsārasāgare nimagnasya bandhanocchedādūrdhvagāmitvaṃ	jIvasya alAbu vat saMsAra sAgare nimagnasya banDana ucCedAt UrDva gAmi tvam
   bhavatīti /	Bavati iti /
   kiñcānyat /	kiQca anyat /
   āgacchatāmapagacchatāṃ cāvayavānāmāgamāpāyadharmavattvādevānāmātvaṃ	AgacCatAm apagacCatAm ca avayavAnAm Agama apAya Darmavat tvA deva anAm A tvam
   śarīrādivat /	SarIra Adi vat /
   tataścāvasthitaḥ kaścidavayava ātmeti syāt /	tatas ca avasTitaH kaScid avayavaH AtmA iti syAt /
   naca sa nirūpayituṃ śakyate 'yamasāviti /	na ca sa nirUpayitum Sakyate ayam asO= iti /
   kiñcānyat /	kiQca anyat /
   āgacchantaścaite jīvāvayavāḥ kutaḥ prādurbhavantyapagacchantaśca kva vā	AgacCantaH ca ete jIva avayavAH kutas prAdurBavanti apagacCantaH ca kva vA
   līyanta iti vaktavyam /	lIyante iti vaktavyam /
   nahi bhūtebhyaḥ prādurbhaveyurbhūteṣu ca nilīyeran, abhautikatvājjīvasya /	na hi BUteByaH prAdurBa veyuH BUtezu ca nilIyeran, aBOtika tvAt jIvasya /
   nāpi kaścidanyaḥ sādhāraṇo 'sādhāraṇo vā jīvānāmavayavādhāro nirūpyate	na api kaScid anyaH sADAraNaH asADAraNaH vA jIvAnAm avayava ADAraH nirUpyate
   pramāṇābhāvāt /	pramANa aBAvAt /
   kiñcānyat /	kiQca anyat /
   anavadhṛtasvarūpaścaivaṃsatyātmā syāt /	anavaDRta svarUpaH ca evaMsati AtmA syAt /
   āgacchatāmapagacchatāṃ cāvayavānāmaniyataparimāṇatvāt /	AgacCatAm apagacCatAm ca avayavAnAm aniyata parimANa tvAt /
   ata evamādidoṣaprasaṅgānna paryāyeṇāpyavayavopagamāpagamāvātmana āśrayituṃ	atas evamAdi doza prasaFgAt na paryAyeNa api avayava upagama apagamO= AtmanaH ASrayitum
   śakyate /	Sakyate /
   athavā pūrveṇa sūtreṇa śarīraparimāṇasyātmana	aTavA pUrveNa sUtreNa SarIra parimANasya Atmana
   upacitāpacitaśarīrāntarapratipattāvakārtsnyaprasañjanadvāreṇānityatāyāṃ	upacita apacita SarIra antara pratipattO= akArtsnya prasaQjana dvAreNa anitya tAyAm
   coditāyāṃ punaḥ paryāyeṇa parimāṇānavasthāne 'pi	coditAyAm punar paryAyeNa parimANa anavasTAne api
   srotaḥsaṃtānanityatānyāyenātmano nityatā syāt /	srotaH saMtAna nitya tA nyAyena AtmanaH nityatA syAt /
   yathā raktapaṭānāṃ vijñānānavasthāne 'pi tatsaṃtānanityatā	yaTA rakta pawAnAm vijQAna anavasTAne api tad saMtAna nitya tA
   tadvaddhisicāmapītyāśaṅkyānena sūtreṇottaramucyate /	tadvat hi sicAm api iti ASaFkya anena sUtreNa uttaram ucyate /
   saṃtānasya tāvadavastutve nairātmyavādaprasaṅgaḥ /	saMtAnasya tAvat avastu tve nErAtmya vAda prasaFgaH /
   vastutve 'pyātmano vikārādidoṣaprasaṅgādasya pakṣasyānupapattiriti // 35	vastu tve api AtmanaH vikAra Adi doza prasaFgAt asya pakzasya anupapattiH iti // 35
   FN: dehabhedena parimāṇasyātmanaścānavasthāne 'pi nāśe 'pi srotaḥpravāhaḥ	FN: dehaBedena parimANasya AtmanaH ca anavasTAne api nASe api srotaH pravAhaH
   vigataṃ sig vastraṃ visico digambarāsteṣāmityarthaḥ /	vigatam sic vastram visicaH digambarAH tezAm iti arTaH /
   antyāvasthiteś cobhayanityatvād aviśeṣaḥ | BBs_2,2.36 |	antya avasTiteH ca uBaya nitya tvAt aviSezaH | BBH _2,2.36 |
   apicāntyasya mokṣāvasthābhāvino jīvaparimāṇasya nityatvamiṣyate jainaiḥ /	apicA antyasya mokza avasTA BAvinaH jIva parimANasya nitya tvam izyate ja enEH /
   tadvatpūrvayorapyavidyamadhyamayorjīvaparimāṇayornityatvaprasaṅgādaviśeṣaprasaṅgaḥ	tadvat pUrvayoH api avidya maDyamayoH jIva parimANayoH nitya tva prasaFgAt aviSeza prasaFgaH
   syāt /	syAt /
   ekaśarīraparimāṇataiva syānnopacitāpacitaśarīrāntaraprāptiḥ /	eka SarIra parimANa tA eva syAt na upacita apacita SarIra antara prAptiH /
   athavāntyasya	aTavA antyasya
   jīvaparimāṇasyāvasthitatvātpūrvayorapyavasthayoravasthitaparimāṇa eva	jIva parimANasya avasTita tvAt pUrvayoH api avasTayoH avasTita parimANaH eva
   jīvaḥ syāt, tataścāviśeṣeṇa sarvadaivāṇurmahānvā jīvo 'bhyupagantavyo na	jIvaH syAt, tatas ca aviSezeNa sarva dA evANuH mahAn vA jIvaH aByupagantavyaH na
   śarīraparimāṇaḥ /	SarIra parimANaH /
   ataśca saugatavadārhatamapi matamasaṃgatamityupekṣitavyam // 36 //	atas ca sOgata vadArhatam api matam asaMgatam iti upekzitavyam // 36 //
   patyadhikaraṇam / sū. 37 41	pati aDikaraNam / sU. 37 41
   patyur asāmañjasyāt | BBs_2,2.37 |	patyuH asAmaQjasyAt | BBH _2,2.37 |
   idānīṃ kevalādhiṣṭhātrīśvarakāraṇavādaḥ pratiṣidhyate /	idAnIm kevala aDizWAtri ISvara kAraNa vAdaH pratiziDyate /
   tatkathamavagamyate /	tat kaTam avagamyate /
   'prakṛtiśca pratijñādṛṣṭāntānuparodhāt' 'abhidhyopadeśācca' (bra.	aprakRtiH ca pratijQA dRzwAntAnuparoDAt a aaBiDya upadeSAt ca a (bra.
   1.4.23,24) ityatra prakṛtibhāvenādhiṣṭhātṛbhāvena	1.4.23,24) iti atra prakRti BAvena aDizWAtR BAvena
   cobhayasvabhāvasyeśvarasya svayamevācāryeṇa pratiṣṭhāpitatvāt /	ca uBaya svaBAvasya ISvarasya svayam eva AcAryeNa pratizWApita tvAt /
   yadi punaraviśeṣeṇeśvarakāraṇavādamātramiha pratiṣidhyeta	yadi punar aviSezeNa ISvara kAraNa vAda mAtram iha pratiziDyeta
   pūrvottaravirodhādvyāhatābhivyāhāraḥ sūtrakāra ityetadāpadyeta /	pUrva uttara viroDAt vyAhata aBivyAhAraH sUtrakAraH iti etat Apadyeta /
   tasmādaprakṛtiradhiṣṭhātā kevalaṃ nimittakāraṇamīśvara ityeṣa pakṣo	tasmAt aprakRtiH aDizWAtA kevalam nimitta kAraNam ISvaraH iti eza pakzaH 
   vedāntavihitabrahmaikatvapratipakṣatvādyatnenātra pratiṣidhyate /	vedAnta vihita brahma ekatva pratipakza tvAt yatnena atra pratiziDyate /
   sā ceyaṃ vedabāhyeśvarakalpanānekaprakārā /	sA ca iyam veda bAhya ISvara kalpanA aneka prakArAH /
   kecittāvatsāṃkhyayogavyapāśrayāḥ kalpayanti pradhānapuruṣayoradhiṣṭhātā	kecid tAvat sAMKya yoga vyapASrayAH kalpayanti praDAna puruzayoH aDizWAtA
   kevalaṃ nimittakāraṇamīśvara itaretaravilakṣaṇāḥ pradhānapuruṣeśvarā iti /	kevalam nimitta kAraNam ISvaraH itaretara vilakzaNAH praDAna puruza ISvarAH iti /
   māheśvarāstu manyante kāryakāraṇayogavidhiduḥkhāntāḥ pañca padārthāḥ	mAheSvarAH tu manyante kArya kAraNa yoga viDi duHKa antAH paQca padArTAH
   paśupatineśvareṇa paśupāśavimokṣaṇāyopadiṣṭāḥ paśupatirīśvaro	paSupatinA ISvareNa paSu pASa vimokzaNAya upadizwAH paSupatiH ISvaraH 
   nimittakāraṇamiti varṇayanti /	nimitta kAraNam iti varNayanti /
   tathā vaiśeṣikādayo 'pi kecitkathañcitsvaprakriyānusāreṇa	taTA vESezika AdayaH api kecid kaTaQcitsva prakriyA anusAreNa
   nimittakāraṇamīśvara iti varṇayanti /	nimitta kAraNam ISvaraH iti varNayanti /
   ata uttaramucyate  'patyurasāmañjasyāt' iti /	atas uttaram ucyate  apatyu rasAm aQjasyAt a iti /
   patyurīśvarasya pradhānapuruṣayoradhiṣṭhātṛtvena jagatkāraṇatvaṃ	patyuH ISvarasya praDAna puruzayoH aDizWAtR tvena jagat kAraNa tvam
   nopapadyate /	na upapadyate /
   kasmāt /	kasmAt /
   asāmañsyāt /	asAmaQsyAt /
   kiṃ punarasāmañjasyam /	kim punar asAm aQjasyam /
   hīnamadhyamottamabhāvena hi prāṇibhedānvidadhata īśvarasya	hIna maDyama uttama BAvena hi prANi BedAn vidaDate ISvarasya
   rāgadveṣādidoṣaprasakterasmadādivadanīśvaratvaṃ prasajyeta /	rAga dveza Adi doza prasakteH asmad Adi vat anISvara tvam prasajyeta /
   prāṇikarmāpekṣitatvādadoṣa iti cet /	prANi karma apekzita tvAt adozaH iti ced /
   na /	na /
   karmeśvarayoḥ pravartyapravartayitṛtve itaretarāśrayadoṣaprasaṅgāt /	karma ISvarayoH pravarti apravartayitR tve itaretara ASraya doza prasaFgAt /
   nānāditvāditi cet /	nAnA Adi tvAt iti ced /
   na /	na /
   vartamānakālavadatīteṣvapi	vartamAna kAla vat atItezu api
   kāleṣvitaretarāśrayadoṣāviśeṣādandhaparamparānyāyāpatteḥ /	kAlezu itaretara ASraya doza aviSezAt anDa paramparA anyAyApatteH /
   apica 'pravartanālakṣaṇā doṣāḥ' (nyāyasū. 1.1.18) iti nyāyavitsamayaḥ /	api ca apravartana alakzaNAH dozAH a (nyAyasU. 1.1.18) iti nyAya vid samayaH /
   nahi kaścidadoṣaprayuktaḥ svārthe parārthe vā pravartamāno dṛśyate /	na hi kaScid adoza prayuktaH sva arTe para arTe vA pravartamAnaH dRSyate /
   svārthaprayukta eva ca sarvo janaḥ parārthe 'pi pravartata	sva arTa prayuktaH eva ca sarvaH janaH para arTe api pravartata
   ityevamapyasāmañjasyaṃ, svārthavattvādīśvarasyānīśvaratvaprasaṅgāt /	iti evam api asAm aQjasyan, sva arTavat tvAt ISvarasya anISvara tva prasaFgAt /
   puruṣaviśeṣatvābhyupagamācceśvarasya puruṣasya	puruza viSeza tva aByupagamAt ca ISvarasya puruzasya
   caudāsīnyābhyupagamādasāmañjasyam // 37 //	ca OdAsInya aByupagamAt asAmaQjasyam // 37 //
   FN: sāṃkhyayogavyapāśrayāḥ hiraṇyagarbhapatañjaliprabhṛtayaḥ /	FN: sAMKya yoga vyapASrayAH hiraNyagarBa pataQjali praBRtayaH /
   māheśvarāścatvāraḥ   śaivāḥ, pāśupatāḥ, kāruṇikasiddhāntinaḥ,	mAheSvarAH catvAraH  SEvAH, pASupatAH, kAruNika sidDAntinaH,
   kāpālikāśceti /	kApAlikAH ca iti /
   paśavo jīvāsteṣāṃ pāśo bandhastannāśāyetyarthaḥ /	paSavaH jIvAH tezAm pASaH banDaH tad nASAya iti arTaH /
   saṃbandhānupapatteś ca | BBs_2,2.38 |	saMbanDa anupapatteH ca | BBH _2,2.38 |
   punarapyasmāñjasyameva /	punar api asmAn jasyam eva /
   nahi pradhānapuruṣavyatirikta īśvaro 'ntareṇasaṃbandhaṃ	na hi praDAna puruza vyatiriktaH ISvaraH antareNa saMbanDam
   pradhānapuruṣayorīśitā /	praDAna puruzayoH ISitAH /
   na tāvatsaṃyogalakṣaṇaḥ saṃbandhaḥ saṃbhavati, pradhānapuruṣeśvarāṇāṃ	na tAvat saMyoga lakzaNaH saMbanDaH saMBavati, praDAna puruza ISvarANAm
   sarvagatatvānniravayavatvācca /	sarva gata tvAt niravayava tvAt ca /
   nāpi samavāyalakṣaṇaḥ saṃbandhaḥ, āśrayāśrayibhāvānirūpaṇāt /	na api samavAya lakzaNaH saMbanDaH, ASraya ASrayi BAva anirUpaNAt /
   nāpyanyaḥ kaścitkāryagamyaḥ saṃbandhaḥ śakyate kalpayituṃ,	na api anyaH kaScid kArya gamyaH saMbanDaH Sakyate kalpayituM,
   kāryakāraṇabhāvasyaivādyāpyasiddhatvāt /	kArya kAraNa BAvasya eva adya api asidDa tvAt /
   brahmavādinaḥ kathamiti cet /	brahma vAdinaH kaTam iti ced /
   na /	na /
   tasya tādātmyalakṣaṇasaṃbandhopapatteḥ /	tasya tAdAtmya lakzaNa saMbanDa upapatteH /
   apicāgamabalena brahmavādī kāraṇādisvarūpaṃ nirūpayatīti nāvaśyaṃ tasya	apicAgama balena brahma vAdI kAraNa Adi svarUpam nirUpayati iti na avaSyam tasya
