   Prātimokṣasūtram*	PrAti-mokza-sUtram*
   dharmaṃ deśayiṣyāmīti śikṣā karaṇīyā /	Darmam deSayizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.52. na upānahārūḍhasya agilānasya dharmaṃ deśayiṣyāmīti	PrMoSU(MA-L)-ŚE.52. naH upAnaha-ArUXasya agilAnasya Darmam deSayizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.53. na pādukārūḍhasya agilānasya dharmaṃ deśayiṣyāmīti	PrMoSU(MA-L)-ŚE.53. na pAdukA-ArUXasya agilAnasya Darmam deSayizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.54. na oguṇṭhikākṛtasya agilānasya dharmaṃ deśayiṣyāmīti	PrMoSU(MA-L)-ŚE.54. na aH-guNWikA-kRtasya agilAnasya Darmam deSayizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.55. na saṃmukhāveṣṭitasya agilānasya dharmaṃ deśayiṣyāmīti	PrMoSU(MA-L)-ŚE.55. na saMmuKa-Avezwitasya agilAnasya Darmam deSayizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.56. na osaktikāya niṣaṇṇasya agilānasya dharmaṃ	PrMoSU(MA-L)-ŚE.56. na osaktikAya nizaNNasya agilAnasya Darmam
   deśayiṣyāmīti śikṣā karaṇīyā /	deSayizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.57. na pallatthikāya niṣaṇṇasya agilānasya dharmaṃ	PrMoSU(MA-L)-ŚE.57. na pallatTikAya nizaNNasya agilAnasya Darmam
   deśayiṣyāmīti śikṣā karaṇīyā /	deSayizyAmi-iti SikzA karaNIyAH /
   // uddānam //	// uddAnam //
   (49) na sthito (50) na niṣaṇṇo (51) uccāsana (52) upānaha (53) pādukā (54)	(49) na sTitaH (50) na nizaNNaH (51) ucca-AsanaH (52) upAnahaH (53) pAdukA (54)
   oguṇṭhikā (55) na saṃmukha (56) na osaktikā (57) na pallatthikāya //	oguNWikA (55) na saMmuKaH (56) na osaktikAH (57) na pallatTikAya //
   pañcamo vargaḥ /	paQcamaH vargaH /
   PrMoSū(Mā-L)Śai.58. na śastrapāṇisya agilānasya dharmaṃ deśayiṣyāmīti	PrMoSU(MA-L)-ŚE.58. na Sastra-pANisya agilAnasya Darmam deSayizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.59. nāyudhapāṇisya agilānasya dharmaṃ deśayiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.59. na-AyuDa-pANisya agilAnasya Darmam deSayizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.60. na daṇḍapāṇisya agilānasya dharmaṃ deśayiṣyāmīti śikṣā	PrMoSU(MA-L)-ŚE.60. na daNxa-pANisya agilAnasya Darmam deSayizyAmi-iti SikzA
   karaṇīyā /	karaNIyAH /
   PrMoSū(Mā-L)Śai.61. na cchatrapāṇisya agilānasya dharmaṃ deśayiṣyāmīti	PrMoSU(MA-L)-ŚE.61. na cCatra-pANisya agilAnasya Darmam deSayizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.62. na utpathena gacchanto pathena gacchantasya agilānasya	PrMoSU(MA-L)-ŚE.62. na utpaTena gacCantaH paTena gacCantasya agilAnasya
   dharmaṃ deśayiṣyāmīti śikṣā karaṇīyā /	Darmam deSayizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.63. na pṛṣṭhato gacchanto purato gacchantasya agilānasya	PrMoSU(MA-L)-ŚE.63. na pRzWatas gacCantaH puratas gacCantasya agilAnasya
   dharmaṃ deśayiṣyāmīti śikṣā karaṇīyā /	Darmam deSayizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.64. na pādena gacchanto yānena gacchantasya agilānasya	PrMoSU(MA-L)-ŚE.64. na pAdena gacCantaH yAnena gacCantasya agilAnasya
   dharmaṃ deśayiṣyāmīti śikṣā karaṇīyā /	Darmam deSayizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.65. na harite tṛṇe uccāraṃ vā prasrāvaṃ vā kheṭaṃ vā	PrMoSU(MA-L)-ŚE.65. na harite tRNe uccAram vA prasrAvam vA Kewam vA
   siṃhāṇaṃ vā agilāno kariṣyāmīti śikṣā karaṇīyā /	siMhANam vA agilAnaH karizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.66. na udake uccāraṃ vā prasrāvaṃ vā kheṭaṃ vā siṃhāṇakaṃ	PrMoSU(MA-L)ŚE.66. na udake uccAram vA prasrAvam vA Kewam vA siMhANakam
   vā agilāno kariṣyāmīti śikṣā karaṇīyā /	vA agilAnaH karizyAmi-iti SikzA karaNIyAH /
   PrMoSū(Mā-L)Śai.67. na sthito uccāraṃ vā prasrāvaṃ vā agilāno kariṣyāmīti	PrMoSU(MA-L)-ŚE.67. na sTitaH uccAram vA prasrAvam vA agilAnaH karizyAmi-iti
   śikṣā karaṇīyā /	SikzA karaNIyAH /
   // uddānam //	// uddAnam //
   (58-59) na śastrāyudha (60) daṇḍa (61) cchatra (62) utpatha (63) pṛṣṭhato	(58-59) na Sastra-AyuDaH (60) daNxaH (61) cCatra (62) utpaTaH (63) pRzWato
   (64) yānaṃ (65) haritaṃ (66) udaka (67) sthitena / ṣaṣṭho vargaḥ //	(64) yAnam (65) haritam (66) udaka (67) sTitena / zazWaH vargaH //
   uddiṣṭāḥ kho punar āyuṣmanto sātirekapañcāśac chaikṣā dharmāḥ /	uddizwAH KaH punar AyuzmantaH sa-atiH-ekapaQcASat SEkzAH DarmAH /
   tatrāyuṣmanto pṛcchāmi kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuṣmanto	tatra-AyuzmantaH pRcCAmi kaccitTa pariSudDAH? dvitIyam pi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ? tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH? tRtIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ? pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etaṃ dhārayāmi /	pariSudDAH? pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etam DArayAmi /
   [VIII. sapta adhikaraṇaśamathā dharmāḥ]	[VIII. sapta aDikaraNa-SamaTAH DarmAH]
   ime kho punar āyuṣmanto sapta adhikaraṇasamathā dharmā anvardhamāsaṃ sūtre	ime KaH punar AyuzmantaH sapta aDikaraNa-samaTAH DarmAH anvarDa-mAsam sUtre
   prātimokṣe uddeśam āgacchanti ye utpannotpannānām adhikaraṇānāṃ śamathāya	prAtimokze uddeSam AgacCanti ye utpanna-utpannAnAm aDikaraNAnAm SamaTAya
   vyapaśamathāya saṃvartante / sayyathīdaṃ Ō	vyapaSamaTAya saMvartante / sayyaTi-idam Ō
   PrMoSū(Mā-L)AŚ.1. saṃmukhavinayo śamatho /	PrMoSU(MA-L)AŚ.1. saMmuKa-vinayaH SamaTaH /
   PrMoSū(Mā-L)AŚ.2. smṛtivinayo śamatho /	PrMoSU(MA-L)AŚ.2. smRti-vinayaH SamaTaH /
   PrMoSū(Mā-L)AŚ.3. amūḍhavinayo śamatho /	PrMoSU(MA-L)AŚ.3. amUXa-vinayaH SamaTaH /
   PrMoSū(Mā-L)AŚ.4. pratijñākārako śamatho /	PrMoSU(MA-L)AŚ.4. pratijQA-kArakaH SamaTaH /
   PrMoSū(Mā-L)AŚ.5. tasya pāpeyasiko śamatho /	PrMoSU(MA-L)AŚ.5. tasya pApeyasikaH SamaTaH /
   PrMoSū(Mā-L)AŚ.6. yo bhūyasiko śamatho /	PrMoSU(MA-L)AŚ.6. yaH BUyasikaH SamaTaH /
   PrMoSū(Mā-L)AŚ.7. tṛṇaprastārako ca śamatho saptamo /	PrMoSU(MA-L)AŚ.7. tRNaprastArakaH ca SamaTaH saptamaH /
   uddiṣṭāḥ kho punar āyuṣmanto sapta adhikaraṇaśamathā dharmāḥ /	uddizwAH KaH punar AyuzmantaH sapta aDikaraNa-SamaTAH DarmAH /
   tatrāyuḥmanto pṛcchāmi Ō kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuḥmanto	tatra-AyuHmantaH pRcCAmi Ō kaccitTa pariSudDAH? dvitIyam pi AyuHmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ? tṛtīyaṃ pi āyuḥmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH? tRtIyam pi AyuHmantaH pRcCAmi kaccitTa
   pariśuddhāḥ? pariśuddhā atrāyuḥmanto yasmāt tūḥṇīm evam etaṃ dhārayāmi /	pariSudDAH? pariSudDAH atra-AyuHmantaH yasmAt tUHNIm evam etam DArayAmi /
   [IX. duve dharmāḥ]	[IX. duve DarmAH]
   ime kho punar āyuṣmanto duve dharmāḥ Ō dharmo anudharmaś ca anvardhamāsaṃ	ime KaH punar AyuzmantaH duve DarmAH Ō DarmaH anuDarmaH ca anvarDamAsam
   sūtre prātimokṣe uddeśam āgacchanti / tatra dharmo nāma yam ubhayato	sUtre prAtimokze uddeSam AgacCanti / tatra DarmaH nAma yam uBayatas-
   vinayo / anudharmo nāma yā atra pratipattiḥ /	vinayaH / anuDarmaH nAma yA atra pratipattiH /
   uddiṣṭāḥ kho punar āyuṣmanto duve dharmāḥ dharmo anudharmaś ca /	uddizwAH KaH punar AyuzmantaH duve DarmAH DarmaH anuDarmaH ca /
   tatrāyuṣmanto pṛcchāmi Ō kaccittha pariśuddhāḥ? dvitīyaṃ pi āyuṣmanto	tatra-AyuzmantaH pRcCAmi Ō kaccitTa pariSudDAH? dvitIyam pi AyuzmantaH-
   pṛcchāmi kaccittha pariśuddhāḥ? tṛtīyaṃ pi āyuṣmanto pṛcchāmi kaccittha	pRcCAmi kaccitTa pariSudDAH? tRtIyam pi AyuzmantaH pRcCAmi kaccitTa
   pariśuddhāḥ? pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etaṃ dhārayāmi /	pariSudDAH? pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etam DArayAmi /
   uddiṣṭaṃ kho punar āyuṣmanto prātimokṣasya vastu / uddiṣṭaṃ nidānaṃ /	uddizwam KaH punar AyuzmantaH prAtimokzasya vastu / uddizwam nidAnam /
   uddiṣṭāś catvāraḥ pārājikā dharmāḥ / uddiṣṭāḥ trayodaśa saṃghātiśeṣā	uddizwAH catvAraH pArAjikAH DarmAH / uddizwAH trayodaSa saMGAti-SezA
   dharmāḥ / uddiṣṭāḥ duve aniyatā dharmāḥ / uddiṣṭāḥ triṃśan	DarmAH / uddizwAH duve aniyatAH DarmAH / uddizwAH triMSan
   nissargikapācattikā dharmāḥ / uddiṣṭā dvānavati śuddhapācatti[kā] dharmāḥ	nissargi-kapAcattikAH DarmAH / uddizwAH dvAnavati SudDa-pAcatti[kA] DarmAH
   / uddiṣṭāś catvāraḥ prātideśanikā dharmāḥ / uddiṣṭāḥ sātirekapañcāśac	/ uddizwAH catvAraH prAtideSanikAH DarmAH / uddizwAH sa-atiH-eka-paQcASat-
   chaikṣā dharmāḥ / uddiṣṭāḥ saptādhikaraṇaśamathā dharmāḥ / uddiṣṭā duve	CEkzAH DarmAH / uddizwAH sapta-aDikaraNa-SamaTAH DarmAH / uddizwAH duve
   dharmāḥ, dharmo anudharmaś ca / etako 'yaṃ punas tasya bhagavato	DarmAH, DarmaH anuDarmaH ca / etakaH ayam punar tasya BagavataH-
   tathāgatasyārhataḥ samyaksaṃbuddhasya dharmavinayo prātimokṣasūtrāgato	taTAgatasya-arhataH samyaksaMbudDasya Darma-vinayaH prAtimokza-sUtra-AgataH-
   sūtraparyāpanno / yo vā anyo 'pi kaścid dharmasya anudharmo tatra	sUtra-paryApannaH / yaH vE anyaH api kaScid Darmasya anuDarmaH tatra
   samagrehi sarvehi sahitehi saṃmodamānehi avivadamānehi ekuddeśehi	samagrehi sarvehi sahitehi saMmodamAna-ihi avivadamAna-ihi ekuddeSa-Ihi
   kṣīrodakībhūtehi śāstuḥ śāsanaṃ dīpayamānehi sukhaṃ ca phāsuṃ ca	kzIrodakIBUta-ihi SAstuH SAsanam dIpayamAnehi suKam ca PAsum ca
   viharantehi anadhyācārāya śikṣā karaṇīyā /	viharante-hi anaDyAcArAya SikzA karaNIyAH /
   PrMoSū(Mā-L)Schlußv.1.	PrMoSU(MA-L)H-Clußv.1.
   kṣāntiḥ paramaṃ tapo titikṣā nirvāṇaṃ paramaṃ vadanti buddhāḥ /	kzAntiH paramam tapaH titikzA nirvANam paramam vadanti budDAH /
   na hi pravrajitaḥ paropatāpī śravaṇo bhoti parān viheṭhayānaḥ //	na hi pravrajitaH para-upatApI SravaNaH Boti parAn viheWayAnaH //
   idaṃ tasya bhagavato vipaśyisya tathāgatasyārhataḥ samyaksaṃbuddhasya	idam tasya BagavataH vipaSyisya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitaṃ /	suBAzitam /
   PrMoSū(Mā-L)Schlußv.2.	PrMoSU(MA-L)H-Clußv.2.
   anopavādī aparopaghātī prātimokṣe ca saṃvaro /	anopavAdI apara-upaGAtI prAtimokze ca saMvaraH /
   mātrajñatā ca bhaktasmiṃ prāntaṃ ca śayanāsanaṃ /	mAtra-jQa-tA ca Baktasmim prAntam ca Sayana-Asanam /
   adhicitte cāyogo etaṃ buddhānuśāsanaṃ //	aDicitte ca-ayogaH etam budDa-anuSAsanam //
   idaṃ tasya bhagavato śikṣisya tathāgatasyārhataḥ samyaksaṃbuddhasya	idam tasya BagavataH Sikzisya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitaṃ //	suBAzitam //
   PrMoSū(Mā-L)Schlußv.3.	PrMoSU(MA-L)H-Clußv.3.
   adhicetasi mā pramādyato munino maunapadeṣu śikṣataḥ /	aDicetasi mA pramAdyataH muninaH mOna-padezu SikzataH /
   śokā na bhavanti tāyino upaśāntasya sadā smṛtīmataḥ //	SokAH na Bavanti tAyinaH upaSAntasya sadA smRtIm-atas //
   idaṃ tasya bhagavato viśvabhuvasya tathāgatasyārhataḥ samyaksaṃbuddhasya	idam tasya BagavataH viSvaBuvasya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitaṃ //	suBAzitam //
   PrMoSū(Mā-L)Schlußv.4.	PrMoSU(MA-L)H-Clußv.4.
   sarvapāpasyākaraṇaṃ kuśalasyopasaṃpadā /	sarva-pApasya-akaraNam kuSalasya-upasaMpadA /
   svacittaparyodapanaṃ etaṃ buddhānuśāsanam //	sva-citta-paryaH-dapanam etam budDa-anuSAsanam //
   idaṃ tasya bhagavato krakucchandasya tathāgatasyārhataḥ samyaksaṃbuddhasya	idam tasya BagavataH krakucCandasya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitaṃ //	suBAzitam //
   PrMoSū(Mā-L)Schlußv.5.	PrMoSU(MA-L)H-Clußv.5.
   yathā hi bhramaro puṇyaṃ varṇagandham aheṭhayaṃ /	yaTA hi BramaraH puNyam varNa-ganDam aheWayam /
   paraiti rasam ādāya evaṃ grāme muniś caret //	parEti rasam AdAya evam grAme muniH caret //
   PrMoSū(Mā-L)Schlußv.6.	PrMoSU(MA-L)H-Clußv.6.
   na pareṣāṃ vilomāni na pareṣāṃ kṛtākṛtaṃ /	na parezAm vilomAni na parezAm kRta-akRtam /
   ātmano tu samīkṣeta kṛtāny akṛtāni ca //	AtmanaH tu samIkzeta kRtAni akRtAni ca //
   idaṃ tasya bhagavato konākamunisya tathāgatasyārhataḥ samyaksaṃbuddhasya	idam tasya BagavataH konAka-munisya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitam /	suBAzitam /
   PrMoSū(Mā-L)Schlußv.7.	PrMoSU(MA-L)H-Clußv.7.
   nāsti dhyānam aprajñasya prajñā nāsti adhyāyato /	na-asti DyAnam aprajQasya prajQA na-asti aDyAyataH /
   yasya dhyānaṃ ca prajñā ca sa vai nirvāṇasya antike //	yasya DyAnam ca prajQA ca sa vE nirvANasya antike //
   PrMoSū(Mā-L)Schlußv.8.	PrMoSU(MA-L)H-Clußv.8.
   tatrāyam ādi bhavati ihaprajñasya bhikṣuṇo /	tatra-ayam Adi Bavati ihaprajQasya BikzuNaH /
   indriyai guptiḥ saṃtuṣṭiḥ prātimokṣe ca saṃvaro //	indriyE guptiH saMtuzwiH prAtimokze ca saMvaraH //
   PrMoSū(Mā-L)Schlußv.9.	PrMoSU(MA-L)H-Clußv.9.
   mitraṃ bhajeta kalyāṇaṃ śuddhājīvīm atandritaṃ /	mitram Bajeta kalyANam SudDAjIvIm atandritam /
   pratisaṃstaravartī ca ācārakuśalo siyā /	pratisaMstara-vartI ca AcAra-kuSalaH siyAH /
   tataḥ prāmodya bahulo bhikṣu nirvāṇasyaiva antike //	tatas prAmodya bahulaH Bikzu nirvANasya-eva antike //
   idaṃ tasya bhagavataḥ kāśyapasya tathāgatasyārhataḥ samyaksaṃbuddhasya	idam tasya BagavataH kASyapasya taTAgatasya-arhataH samyaksaMbudDasya
   acirābhisaṃbuddhasya nirarbude bhikṣusaṃghe saṃkṣiptena prātimokṣaṃ	acira-aBisaMbudDasya nirarbude Bikzu-saMGe saMkziptena prAtimokzam
   subhāṣitam //	suBAzitam //
   PrMoSū(Mā-L)Schlußv.10.	PrMoSU(MA-L)H-Clußv.10.
   cakṣuṣā saṃvaraḥ sādhuḥ sādhuḥ śrotreṇa saṃvaraḥ /	cakzuzA saMvaraH sADuH sADuH SrotreNa saMvaraH /
   ghrāṇena saṃvaraḥ sādhuḥ sādhuḥ jihvāya saṃvaraḥ //	GrANena saMvaraH sADuH sADuH jihvAya saMvaraH //
   PrMoSū(Mā-L)Schlußv.11.	PrMoSU(MA-L)H-Clußv.11.
   kāyena saṃvaraḥ sādhuḥ manasā sādhu saṃvaraḥ /	kAyena saMvaraH sADuH manasA sADu saMvaraH /
   sarvatra saṃvṛto bhikṣuḥ sarvaduḥkhāt pramucyate //	sarvatra saMvRtaH BikzuH sarva-duHKAt pramucyate //
   idaṃ tasya bhagavataḥ śākyamuneḥ śākyādhirājasya tathāgatasyārhataḥ	idam tasya BagavataH SAkya-muneH SAkya-aDirAjasya taTAgatasya-arhataH
   samyaksambuddhasya acirābhisaṃbuddhasya nirarbude bhikṣusaṃghe saṃkṣiptena	samyaksambudDasya acira-aBisaMbudDasya nirarbude Bikzu-saMGe saMkziptena
   prātimokṣaṃ subhāṣitam /	prAtimokzam su-BAzitam /
   PrMoSū(Mā-L)Schlußv.12.	PrMoSU(MA-L)H-Clußv.12.
   etāni prātimokṣāṇi saṃbuddhānāṃ śirīmatāṃ /	etAni prAtimokzANi saMbudDAnAm SirImatAm /
   kīrtitāny aprameyāṇi ........... tiṣṭam a ......... ṇāś ca //	kIrtitAni aprameyANi ........... tizwam a ......... NAH ca //
   PrMoSū(Mā-L)Schlußv.13.	PrMoSU(MA-L)H-Clußv.13.
   kṣāntivādī ca bhagavān vipaśyī	kzAnti-vAdI ca BagavAn vipaSyI
   anopavadyaṃ ca śikhī prakāśayati /	anopavadyam ca SiKI prakASayati /
   adhicittaṃ ca viśvabhūḥ	aDicittam ca viSvaBUH
   akaraṇaṃ ca pāpānāṃ krakucchandaḥ /	akaraNam ca pApAnAm krakucCandaH /
   caryāṃ ca konākamuniḥ	caryAm ca konAka-muniH
   dhyānāni ca kāśyapo prakāśayati /	DyAnAni ca kASyapaH prakASayati /
   saṃvaraṃ śākyamuniḥ //	saMvaram SAkya-muniH //
   ete sapta daśabalā mahāprajñā amitabuddhī saptānāṃ samyaksaṃbuddhānām	ete sapta daSa-balA mahA-prajQA amita-budDI saptAnAm samyaksaMbudDAnAm
   abhinnān .... lokākhyādhipatīnāṃ dharmākhyānāni uktāni /	aBinnAn .... loka-AKya-aDipatInAm Darma-AKyAnAni uktAni /
   uddistaṃ prātimokṣasūtraṃ / kṛtaṃ saṃghena poṣadhaṃ / āryāḥ śikṣāṃ ciraṃ	uddiH-tam prAtimokza-sUtram / kRtam saMGena pozaDam / AryAH SikzAm ciram
   pālayantu / śāsanaṃ .... santu saṃsthātu /	pAlayantu / SAsanam .... santu saMsTAtu /
   samāptaṃ prātimokṣasūtraṃ āryamahāsāṃghikānāṃ lokottaravādināṃ	samAptam prAtimokza-sUtram Arya-mahA-sAMGikAnAm loka-uttara-vAdinAm
   madhyoddeśikānāṃ pāṭha iti //	maDya-uddeSikAnAm pAWaH iti //
   ye dharmā hetuprabhavā hetuṃ pi teṣāṃ tathāgato hy avadat* /	ye DarmAH hetu-praBavAH hetum pi tezAm taTAgataH hi avadat* /
   teṣāṃ ca yo nirodha evaṃvādī mahāśravaṇaḥ /	tezAm ca yaH niroDaH evaMvAdI mahASravaNaH /
   yo dharmo 'yaṃ pravaramahāyānayayisya śākyabhikṣuloka śrī[dharasya] /	yaH DarmaH ayam pravara-mahA-yAnayayisya SAkya-Bikzu-loka SrI[Darasya] /
   śākyabhikṣuśrīvijayabhadralikhitam idam //	SAkya-Bikzu-SrI-vijaya-Badra-liKitam idam //
