   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   vilajjeti brahma-vākyam | amuyā māyayā | asahamāneti dāsyā ucitam etat	vilajjA-iti brahma-vAkyam | amuyA mAyayA | asahamAnA-iti dAsyAH ucitam etat-
   karma yat svāmi-vimukhān duḥkhākarotīti | īśa-vaimukhyena pihitaṃ jīvaṃ	karma yat svAmi-vimuKAn duHKa-Akaroti-iti | ISa--vEmuKyena pihitam jIvam
   māyā pidhatte, ghaṭenāvṛtaṃ dīpaṃ yathā tama āvṛṇotīti ||32||	mAyA piDatte, Gawena-AvRtam dIpam yaTA tamaH AvRNoti-iti ||32||
   śrī-bhagavāṃś cānādita eva bhaktāyāṃ prapañcādhikāriṇyāṃ tasyāṃ	SrI--BagavAn ca-anAditaH eva BaktAyAm prapaQca-aDikAriNyAm tasyAm
   dākṣiṇyaṃ laṅghituṃ na śaknoti | tathā tad-bhayenāpi jīvānāṃ sva-	dAkziNyam laFGitum na Saknoti | taTA tad--Bayena-api jIvAnAm sva--
   sāmmukhyaṃ vāñchann upadiśati --	sAmmuKyam vAQCan upadiSati --
   daivī hy eṣā guṇa-mayī mama māyā duratyayā |	dEvI hi ezA guNa-mayI mama mAyA duratyayAH |
   mām eva ye prapadyante māyām etāṃ taranti te || iti [Gītā 7.14]	mAm eva ye prapadyante mAyAm etAm taranti te || iti [GItAH 7.14]
   satāṃ prasaṅgān mama vīrya-saṃvido	satAm prasaFgAt mama vIrya--saMvidaH-
   bhavanti hṛt-karṇa-rasāyanāḥ kathāḥ |	Bavanti hRt-karNa--rasAyanAH kaTAH |
   taj-joṣaṇād āśv apavarga-vartmani	taj-jozaNAt ASu apavarga-vartmani
   śraddhā ratir bhaktir anukramiṣyati || (3.25.25)	SradDA ratiH BaktiH anukramizyati || (3.25.25)
   līlayā śrīmad-vyāsa-rūpeṇa tu viśiṣṭayā tad-upadiṣṭavān ity anantaram	lIlayA SrImat--vyAsa--rUpeNa tu viSizwayA tad--upadizwavAn iti anantaram
   evāyāsyati | anarthopaśamaṃ sākṣād iti | tasmād dvayor api tat tat	eva-AyAsyati | anarTa-upaSamam sAkzAt iti | tasmAt dvayoH api tat tat-
   samañjasaṃ	samaQjasam
   jñeyam |	jQeyam |
   nanu māyā khalu śaktiḥ śaktiś ca kārya-kṣamatvaṃ | tac ca dharma-viśeṣaḥ |	nanu mAyA Kalu SaktiH SaktiH ca kArya--kzama-tvam | tat ca Darma-viSezaH |
   tasyāḥ kathaṃ lajjādikam | ucyate evaṃ saty api bhagavati tāsāṃ śaktīnām	tasyAH kaTam lajjA-Adikam | ucyate evam sati api Bagavati tAsAm SaktInAm
   adhiṣṭhātṛ-devyaḥ śrūyante, yathā kenopaniṣadi mahendra-māyayoḥ	aDizWAtR-devyaH SrUyante, yaTA kena-upanizadi mahA-indra-mAyayoH
   saṃvādaḥ | tad āstāṃ, prastutaṃ prastūyate ||33||	saMvAdaH | tat AstAn, prastutam prastUyate ||33||
   BD: nanv īśvaraḥ kathaṃ tan mohanaṃ sahate | tatrāha bhagavāṃś ceti |	BD: nanu ISvaraH kaTam tat mohanam sahate | tatra-Aha BagavAn ca-iti |
   tarhi	tarhi
   kṛpālutā-ksiḥ | tatrāha tatheti | tad-bhayenāpīti māyāto yaj-jīvānāṃ	kRpA-alu-tA-ksiH | tatra-Aha taTA-iti | tad--Bayena-api-iti mAyAtaH yaj-jIvAnAm
   bhayaṃ	Bayam
   tenāpi hetunety arthaḥ | tataś ca na tat-ksatir ity arthaḥ | daivīti	tena-api hetunA-iti arTaH | tatas ca na tat-j-satiH iti arTaH | dEvi-iti
   prapattiś	prapattiH-
   ceyaṃ sat-prasaṅga-hetukaiva tad-upadiṣṭā yayā sāmmukhyaṃ syāt tad viddhi	ca-iyam sat--prasaFga--hetukA-eva tad--upadizwA yayA sAmmuKyam syAt tat vidDi
   praṇipātena (Gītā 4.34) ity ādi tad-vākyāt | satāṃ prasaṅgāt ity	praNipAtena (GItA 4.34) iti Adi tad--vAkyAt | satAm prasaFgAt iti-
   ādy-agrima-	Ady-agrima-
   vākyāc ca | līlayeti līlāvatāreṇa | viśiṣṭatayeti ācārya-rūpeṇety arthaḥ |	vAkyAt ca | lIlayA-iti lIlAvatAreNa | viSizwa-tayA-iti AcArya--rUpeNa-iti arTaH |
   tasmād iti dvayor māyā-bhagavator api | tat tad iti | mohanaṃ sāmmukhya-	tasmAt iti dvayoH mAyA--BagavatoH api | tat tat iti | mohanam sAmmuKya-
   vāñchā cety arthaḥ | nanu māyāyā mohana-lajjana-kartṛtvam uktaṃ tat kathaṃ	vAQCA ca-iti arTaH | nanu mAyAyAH moha-na-lajjana-kartR-tvam uktam tat kaTam
   jaḍāyās tasyāḥ sambhaved iti śaṅkate - nanu māyeti | dharma-viśeṣa	jaxAyAH tasyAH samBavet iti SaFkate  nanu mAyA-iti | Darma-viSeza
   utsāhādivad ity arthaḥ | siddhāntayati ucyata iti | adhiṣṭhātṛ-devya iti |	utsAha-Adi-vat iti arTaH | sidDAntayati ucyate iti | aDizWAtR-devyaH iti |
   vindhyādi-girīṇāṃ yathādhiṣṭhātṛ-mūrtayas tadvat | keneti tasyāṃ brahma	vinDya-Adi-girINAm yaTA-aDizWAtR-mUrtayaH tadvat | kena-iti tasyAm brahma
   ha devebhyo vijigye (KenaU 3.1) ity ādi-vākyam asti | tatrāgni-vāyu-	ha deveByaH vijigye (KenaU 3.1) iti Adi-vAkyam asti | tatra-agni--vAyu-
   maghonaḥ sagarvān vīkṣya tad-garvam apanetuṃ paramātmāvirabhūt | tam	maGonaH sagarvAn vIkzya tad--garvam apanetum paramAtmA-AviraBUt | tam
   ajānantas te jijñāsayāmāsuḥ | teṣāṃ vīryaṃ parīkṣamāṇaḥ sa tṛṇaṃ	ajAnantaH te jijQAsayAmAsuH | tezAm vIryam parIkzamANaH sa tRNam
   nidadhau | sarvaṃ daheyam ity agniḥ | sarvam ādadīyeti vāyuś ca bruvaṃs	nidaDO | sarvam daheyam iti agniH | sarvam AdadIya-iti vAyuH ca bruvaM=-
   tan-	tan-
   nirdagdhum ādayetuṃ ca nāśakat | jñātuṃ pravṛttān madhonas tu sa	nirdagDum Adayetum ca na-aSakat | jQAtum pravRttAn maDonaH tu sa
   tiro'dhatta | tad-ākāśe maghavā haimavatīm umām ājagāma | kim etad iti	tiras-aDatta | tad--AkASe maGavA hEmavatIm umAm AjagAma | kim etat iti
   papraccha | sā ca brahmaitad ity uvāceti niṣkṛṣṭam ||33||	papracCa | sA ca brahma-etat iti uvAca-iti nizkRzwam ||33||
   tatra jīvasya tādṛśa-cid-rūpatve'pi parameśvarato vailakṣaṇyaṃ	tatra jIvasya tAdRSa--cit--rUpatve-api parameSvarataH vElakzaNyam
   tad-apāśrayam	tat--apASrayam
   iti, yathā sammohita iti ca darśayati ||34||	iti, yaTA sammohitaH iti ca darSayati ||34||
   BD: tatra jīvasyeti māyāṃ ca tad-apāśrayām itīśvarasya māyā-niyantṛtvaṃ	BD: tatra jIvasya-iti mAyAm ca tad--apASrayAm iti-ISvarasya mAyA--niyantR-tvam
   yayā sammohito jīva iti jīvasya māyā-niyamyatvaṃ ca | tena svarūpata īśāj	yayA sammohitaH jIvaH iti jIvasya mAyA--niyamya-tvam ca | tena svarUpataH ISAj
   jīvasya bheda-paryāyaṃ vailakṣaṇyaṃ dṛṣṭavān iti prasphuṭam | apaśyat ity	jIvasya Beda-paryAyam vElakzaNyam dRzwavAn iti prasPuwam | apaSyat iti-
   anena kālo'py ānītaḥ | tad evam īśvara-jīva-māyā-kālākhyāni catvāri	anena kAlaH-api AnItaH | tat evam ISvara--jIva-mAyA--kAla-AKyAni catvAri
   tattvāni samādhau śrī-vyāsena dṛṣṭāni | tāni nityāny eva | atha ha vāva	tattvAni samADO SrI--vyAsena dRzwAni | tAni nityAni eva | aTa ha vAva
   nityāni puruṣaḥ prakṛtir ātmā kālaḥ ity evaṃ bhāllaveya-śruteḥ | nityo	nityAni puruzaH prakRtiH AtmA kAlaH iti evam BAllaveya--SruteH | nityaH-
   nityānāṃ cetanaś cetanānām eko bahūnāṃ yo vidadhāti kāmān (KaṭhaU	nityAnAm cetanaH cetanAnAm ekaH bahUnAm yaH vidaDAti kAmAn (KaWaU
   2.2.13) iti kāṭhakāt |	2.2.13) iti kAWakAt |
   ajām ekāṃ lohita-śukla-kṛṣṇāṃ	ajAm ekAm lohita--Sukla-kRzNAm
   bahvīḥ prajāḥ sṛjamānāṃ sarūpāḥ |	bahvIH prajAH sRjamAnAm sarUpAH |
   ajo hy eko juṣamāṇo'nuśete	ajaH hi ekaH juzamANaH-anuSete
   jahāty enāṃ bhukta-bhogām ajo'nyaḥ || iti śvetāśvatarāṇāṃ mantrāc ca	jahAti enAm Bukta--BogAm ajaH-anyaH || iti Sveta-aSvatarANAm mantrAt ca
   (ŚvetU 4.5) |	(ŚvetU 4.5) |
   avikārāya śuddhāya nityāya parmātmane |	avikArAya SudDAya nityAya parma-Atmane |
   sadaika-rūpa-rūpāya viṣṇave sarva-jiṣṇave || (ViP 1.2.1)	sadA-eka-rUpa--rUpAya vizNave sarva--jizNave || (ViS 1.2.1)
   pradhānaṃ puruṣaṃ cāpi praviśyātmecchayā hariḥ |	praDAnam puruzam ca-api praviSya-Atma-icCayA hariH |
   kṣobhayāmāsa samprāpte sarga-kāle vyayāvyayau || (ViP 1.2.29)	kzoBayAmAsa samprApte sarga--kAle vyaya-avyayO || (ViS 1.2.29)
   avyaktaṃ kāraṇaṃ yat tat pradhāna ṛṣi-sattamaiḥ |	avyaktam kAraNam yat tat praDAnaH Rzi--sattamEH |
   procyate prakṛtiḥ sūkṣmā nityaṃ sad-asad-ātmakam || (ViP 1.2.19)	procyate prakRtiH sUkzmAH nityam sat--asat--a-Atmakam || (ViS 1.2.19)
   anādir bhagavān kālo nānto'sya dvija vidyate |	anAdiH BagavAn kAlaH na-antaH-asya dvija vidyate |
   avyucchinnās tatas tv ete sarga-sthity-anta-saṃyamāḥ || (ViP 1.2.26)	avyucCinnAH tatas tu ete sarga--sTiti--anta--saMyamAH || (ViS 1.2.26)
   iti śrī-vaiṣṇavāc ca | teṣv īśvaraḥ śaktimān svatantraḥ jīvādayas tu tac-	iti SrI--vEzNavAt ca | tezu ISvaraH SaktimAn svatantraH jIva-AdayaH tu tac-
   chaktayo'svatantrāḥ |	CaktayaH-asvatantrAH |
   viṣṇu-śaktiḥ parā proktā kṣetrajñākhyā tathāparā |	vizNu--SaktiH parA proktA kzetrajQA-AKyA taTA-aparAH |
   avidyā-karma-saṃjñānyā tṛtīyā śaktir iṣyate || (ViP 6.7.61)	avidyA-karma--saMjQA-anyA tRtIyA SaktiH izyate || (ViS 6.7.61)
   iti śrī-vaiṣṇavāt | sa yāvad urvyā bharam īśvareśvaraḥ svakāla-śaktyā	iti SrI--vEzNavAt | sa yAvat urvyA Baram ISvara-ISvaraH sva-kAla--SaktyA
   kṣapayaṃś cared bhuvi (BhP 10.1.22) iti śrī-bhāgavatāc ca | tatra	kzapayan caret Buvi (Bhj 10.1.22) iti SrI--BAgavatAt ca | tatra
   vibhuvijñānam īśvaraḥ, aṇu-vijñānaṃ jīvaḥ | ubhayaṃ nitya-jñāna-guṇakam |	viBu-vijQAnam ISvaraH, aNu-vijQAnam jIvaH | uBayam nitya--jQAna--guNakam |
   sattvādi-guṇa-traya-viśiṣṭaṃ jaḍaṃ dravyaṃ māyā | guṇa-traya-śūnyaṃ bhūta-	sattva-Adi-guNa-traya--viSizwam jaxam dravyam mAyA | guNa-traya--SUnyam BUta-
   vartamānādi-vyavahāra-kāraṇaṃ jaḍaṃ dravyaṃ tu kālaḥ | karmāpy anādi	vartamAna-Adi--vyavahAra--kAraNam jaxam dravyam tu kAlaH | karma-api anAdi
   vināśi cāsti na karmāvibhāgād iti cen nānāditvāt iti (Vs 2.1.35) iti	vinASi ca-asti na karma-aviBAgAt iti ced nAnA-Adi-tvAt iti (VH 2.1.35) iti
   sūtrād iti	sUtrAt iti
   vastu-sthitiḥ śruti-smṛti-siddhā veditavyā ||34||	vastu-sTitiH Sruti--smRti--sidDA veditavyA ||34||
   yarhy eva yad ekaṃ cid-rūpaṃ brahma māyāśrayatā-valitaṃ vidyāmayaṃ tarhy	yarhi eva yat ekam cit--rUpam brahma mAyA-Srayata-a-valitam vidyA-mayam tarhi-
   eva tan-māyā-viṣayatāpannam avidyā-paribhūtaṃ cety uktam iti jīveśvara-	eva tan-mAyA--vizaya-tA-Apannam avidyA--pariBUtam ca-iti uktam iti jIveSvara-
   vibhāgo ævagataḥ | tataś ca svarūpa-sāmarthya-vailakṣaṇyena tad dvitayaṃ	viBAgaH ævagataH | tatas ca svarUpa--sAmarTya--vElakzaNyena tat dvitayam
   mitho vilakṣaṇa-svarūpam evety āgatam ||35||	miTas vilakzaNa--svarUpam eva-iti Agatam ||35||
   BD: yat tu ekam evādvitīyam (ChāU 6.2.1), vijñānam ānandaṃ brahma	BD: yat tu ekam eva-advitIyam (ShAU 6.2.1), vijQAnam Anandam brahma
   (BṛhadU 3.9.28), neha nānāsti kiñcana (BṛhadU 4.4.19) ity ādi-śrutibhyo	(BRha-dU 3.9.28), na-iha nAnA-asti kiQcana (BRha-dU 4.4.19) iti Adi-SrutiByaH-
   nirviśeṣa-cin-mātrādvaitaṃ brahma vāstavyam | atha sadasad-vilakṣaṇatvād	nirviSeza-cin--mAtrA-dvEtam brahma vAstavyam | aTa sat-asat--vilakzaNa-tvAt-
   anirvacanīyena vidyāvidyā-vṛttikenājñānena sambandhāt tasmād	anirvacanIyena vidyA-vidyA-vRttikena-ajQAnena sambanDAt tasmAt-
   vidyopahitam īśvara-caitanyam avidyopahitaṃ jīva-caitanyaṃ cābhūt |	vidyA-upahitam ISvara--cEtanyam avidyA-upahitam jIva--cEtanyam ca-aBUt |
   svarūpa-	svarUpa-
   jñānena nivṛtte tv ajñāne na tatreśvara-jīva-bhāvaḥ, kintu	jQAnena nivRtte tu ajQAne na tatra-ISvara--jIva--BAvaH, kintu
   nirviśeṣādvitīya-	nirviSeza-advitIya-
   cinmātra-rūpāvasthitir bhaved ity āha māyī śaṅkaraḥ | tatrāha yarhy eva	cit-mAtra--rUpa-avasTitiH Bavet iti Aha mAyI SaFkaraH | tatra-Aha yarhi eva
   yad	yat-
   ekam iti visphuṭārtham | ity uktam iti | yugapad evākasmād evājñāna-yogād	ekam iti visPuwa-arTam | iti uktam iti | yugapad eva-akasmAt eva-ajQAna---yogAt-
   ekasya bhāgasya vidyāśrayatvam anyasyāvidyā-parābhūtir iti | kim	ekasya BAgasya vidyA-ASraya-tvam anyasya-avidyA--parABUtiH iti | kim
   aparāddhaṃ tena brahmaṇā yena vividha-vikṣepa-	aparAdDam tena brahmaNA yena viviDa--vikzepa-
   kleśānubhavabhājanatābhūt | punar apy ākasmikājñāna-	kleSa-anuBava-BAjana-tA-aBUt | punar api AkasmikA-jQAna-
   sambandhasyāśakyatvād vaktum iti na tad uktarītyā tad-vibhāgo vācyaḥ	sambanDasya-aSakya-tvAt vaktum iti na tat ukta-rItyA tad--viBAgaH vAcyaH
   kintu śrī-vyāsa-dṛṣṭa-rītyaiva so'smābhir avagata ity arthaḥ ||35||	kintu SrI--vyAsa-dRzwa--rItyA-eva saH-asmABiH avagataH iti arTaH ||35||
   na copādhitāratamyamaya-pariccheda-pratibimbatvādi-vyavasthayā tayor	na ca-upADi-tAratamyam-aya--paricCeda--pratibimba-tva-Adi--vyavasTayA tayoH-
   vibhāgaḥ syāt ||36||	viBAgaH syAt ||36||
   BD: yat tu indro māyābhiḥ puru-rūpa īyate (RV 6.47.18, BṛhadU 2.5.19) ity	BD: yat tu indraH mAyABiH puru-rUpaH Iyate (RV 6.47.18, BRha-dU 2.5.19) iti-
   ādi-śrutes tasyādvitīyasya brahmaṇo māyayā paricchedād īśvara-jīva-	Adi-SruteH tasya-advitIyasya brahmaNaH mAyayA paricCedAt ISvara-jIva-
   vibhāgaḥ syāt | tatra vidyayā paricchinno mahān khaṇḍa īśvaraḥ | avidyayā	viBAgaH syAt | tatra vidyayA paricCinnaH mahAn KaNxaH ISvaraH | avidyayA
   paricchinnaḥ kanīyān khaṇḍas tu jīvaḥ | yathā ghaṭenāvacchinnaḥ	paricCinnaH kanIyAn KaNxaH tu jIvaH | yaTA Gawena-avacCinnaH
   śarāveṇāvacchinnaś cākāśa-khaṇḍo mahad-alpatā-vyapadeśaṃ bhajati |	SarAveNa-avacCinnaH ca-AkASa-KaNxaH mahat--alpa-tA--vyapadeSam Bajati |
   yathā hy ayaṃ jyotir ātmā vivasvān	yaTA hi ayam jyotiH AtmA vivasvAn
   apo bhittvā bahudhaiko'nugacchan |	apaH BittvA bahuDA-ekaH-anugacCan |
   upādhinā kriyate bheda-rūpo	upADinA kriyate Beda--rUpaH-
   devaḥ kṣetreṣv evam ajo'yam ātmā || (śruti?)	devaH kzetrezu evam ajaH-ayam AtmA || (Sruti?)
   ity ādiṣu brahmaṇas tasya pratibimba-śravaṇāt tad-vibhāgaḥ syāt | vidyāyāṃ	iti Adizu brahmaNaH tasya pratibimba--SravaNAt tad--viBAgaH syAt | vidyAyAm
   pratibimba īśvaraḥ | avidyāyāṃ pratibimbas tu jīvaḥ | yathā sarasi raveḥ	pratibimbaH ISvaraH | avidyAyAm pratibimbaH tu jIvaH | yaTA sarasi raveH
   pratibimbaḥ yathā ca ghaṭe pratibimbo mahad-alpatva-vyapadeśaṃ bhajate	pratibimbaH yaTA ca Gawe pratibimbaH mahat--alpa-tva--vyapadeSam Bajate
   tadvad ity āha śaṅkaraḥ | tad idaṃ nirasanāya darśayati na ceti | anayā	tadvat iti Aha SaFkaraH | tat idam nirasanAya darSayati na ca-iti | anayA
   rītyā	rItyA
   tayor vibhāgo na ca syād ity anvayaḥ ||36||	tayoH viBAgaH na ca syAt iti anvayaH ||36||
   tatra yady upādher anāvidyakatvena vāstavatvaṃ tarhy aviṣayasya tasya	tatra yadi upADeH anAvidyaka-tvena vAstava-tvam tarhi avizayasya tasya
   pariccheda-viṣayatvāsambhavaḥ | nirdharmakasya vyāpakasya niravayavasya	paricCeda--vizaya-tva-asamBavaH | nirDarmakasya vyApakasya niravayavasya
   ca pratibimbatvāyogo'pi | upādhi-sambandhābhāvāt bimba-pratibimba-	ca pratibimba-tva-ayogaH-api | upADi-sambanDa-aBAvAt bimba--pratibimba-
   bhedābhāvāt, dṛśyatvābhāvāc ca | upādhi-paricchinnākāśastha-jyotir-	Beda-aBAva-at, dRSya-tva-aBAvAt ca | upADi-paricCinna-AkASa-sTa-jyotiH--
   aṃśasyeva pratibimbo dṛśyate, na tv ākāśasya dṛśyatvābhāvād eva ||37||	aMSasya-iva pratibimbaH dRSyate, na tu AkASasya dRSya-tva-aBAvAt eva ||37||
   BD: kuto na vācya iti tad-anupapatter evety āha tatra yady upādher iti |	BD: kutas na vAcyaH iti tat--anupapatteH eva-iti Aha tatra yadi upADeH iti |
   pariccheda-pakṣaṃ nirākaroti anāvidyakatvena rajju-bhujaṅgavad-ajñāna-	paricCeda--pakzam nirAkaroti anAvidyaka-tvena rajju--BujaFga-vat--ajQAna-
   racitatvābhāvena vastu-bhūtatve satīty arthaḥ | aviṣayasyeti agṛhyo na hi	racita-tva-aBAvena vastu-BUta-tve sati-iti arTaH | avizayasya-iti agRhyaH na hi
   gṛhyate iti (BṛhadU 3.9.26) śruteḥ sarvāspṛśyasya tasya brahmaṇa ity	gRhyate iti (BRha-dU 3.9.26) SruteH sarva-aspRSyasya tasya brahmaNaH iti-
   arthaḥ |	arTaH |
   idam atra bodhyam - na ca ṭaṅka-cchinna-pāṣāṇa-khaṇḍavad-vāstavopādhi-	idam atra boDyam  na ca waFka--cCinna--pAzANa---KaNxa-vat--vAstava-upADi-
   cchinno brahma-khaṇḍa-viśeṣa īśvaro jīvaś ca | brahmaṇo'cchedyatvād	cCinnaH brahma-KaNxa--viSezaH ISvaraH jIvaH ca | brahmaNaH-acCedya-tvAt-
   akhaṇḍatvābhyupagamāc ca | ādimattvāpattaiś ceśvara-jīvayoḥ | yata ekasya	aKaNxa-tva-aByupagamAt ca | Adimattva-ApattEH ca-ISvara-jIvayoH | yatas ekasya
   dvidhā tridhā vidhānaṃ chedaḥ | nāpy acchinna evopādhi-saṃyukto brahma-	dviDA triDA viDAnam CedaH | na-api acCinnaH eva-upADi--saMyuktaH brahma-
   pradeśa-viśeṣa eva sa saḥ | upādhau calaty upādhi-saṃyukti-brahma-pradeśa-	pradeSa--viSezaH eva sa saH | upADO calati upADi-saMyukti--brahma--pradeSa-
   calanāyogāt pratikṣaṇam upādhi-saṃyukta-brahma-pradeśa-bhedād	calana-ayogAt pratikzaNam upADi-saMyukta--brahma--pradeSa--BedAt-
   anukṣaṇam upahitatvānupahitatvāpatteḥ | na ca kṛtsnaṃ brahmaivopahitaṃ sa	anukzaNam upahita-tvAnupahita-tva-ApatteH | na ca kRtsnam brahma-eva-upahitam sa
   saḥ | anupahita-brahma-vyapadeśāsiddheḥ | nāpi brahmādhiṣṭhānam |	saH | anupahita--brahma-vyapadeSa-asidDeH | na-api brahma-aDizWAnam |
   upādhir eva sa saḥ | muktāvīśa-jīvābhāvāpatter iti tucchaḥ pariccheda-	upADiH eva sa saH | muktO=-ISa--jIva-aBAva-ApatteH iti tucCaH paricCeda-
   vādaḥ |	vAdaH |
   atha pratibimba-pakṣaṃ nirākaroti nirdharmakasyety ādinā |	aTa pratibimba-pakzam nirAkaroti nirDarmakasya-iti AdinA |
   nirdharmakasyopādi-sambandhābhāvāt | vyāpakasya bimba-pratibimba-	nirDarmakasya-upAdi-sambanDa-aBAvAt | vyApakasya bimba--pratibimba-
   bhedābhāvāt | niravayavasya dṛśyatvābhāvāc ca brahmaṇaṅ pratibimba	Beda-aBAvAt | niravayavasya dRSya-tva-aBAvAt ca brahmaNaF pratibimba
   īśvaro jīvaś ca nety arthaḥ | rūpādi-dharma-viśiṣṭasya paricchinnasya	ISvaraH jIvaH ca na-iti arTaH | rUpa-Adi-Darma--viSizwasya paricCinnasya
   sāvayavasya ca sūryādes tad-vidūre jalādy-upādhau pratibimbo dṛṣṭaḥ tad-	sa-avayavasya ca sUrya-AdeH tad--vidUre jala-Adi--u-pADO pratibimbaH dRzwaH tat--
   vilakṣaṇasya brahmaṇaḥ sa na śakyo vaktum ity arthaḥ | nanv ākāśasya	vilakzaNasya brahmaNaH sa na SakyaH vaktum iti arTaH | nanu AkASasya
   tādṛśasyāpi pratibimba-darśanād brahmaṇaḥ sa bhaviṣyatīti cet tatrāha	tAdRSasya-api pratibimba--darSanAt brahmaNaH sa Bavizyati-iti ced tatra-Aha
   upādhīti graha-nakṣatra-prabhā-maṇḍalasyety arthaḥ | anyathā vāyukāla-	upADi-iti graha-nakzatra--praBA--maNxalasya-iti arTaH | anyaTA vAyu-kAla-
   diśām api sa darśanīyaḥ | yat tu dhvaneḥ partidhvanir iva brahmaṇaḥ	diSAm api sa darSanIyaH | yat tu DvaneH parti-DvaniH iva brahmaNaH
   pratibimbaḥ syād ity āha tan na cāru | arthāntaratvād iti	pratibimbaH syAt iti Aha tat na cAru | arTa-antara-tvAt iti
   pratibimba-vādo'py	pratibimba-vAdaH-api-
   atitucchaḥ ||37||	ati-tucCaH ||37||
   tathā vāstava-paricchedādau sati sāmānādhikaraṇya-jñāna-mātreṇa na tat-	taTA vAstava--paricCeda-AdO sati sAmAnADikaraNya--jQAna--mAtreNa na tat-
   tyāgaś ca bhavet | tat-padārtha-prabhāvas tatra kāraṇam iti ced asmākam	tyAgaH ca Bavet | tat-padArTa--praBAvaH tatra kAraNam iti ced asmAkam
   eva	eva
   mata-sammatam ||38||	mata--sammatam ||38||
   BD: brahmaivāham iti jñāna-mātreṇa tad-rūpāvasthitiḥ syād iti yad-	BD: brahma-eva-aham iti jQAna--mAtreNa tad--rUpa-avasTitiH syAt iti yat--
   abhimataṃ tat kahlūpādher vāstavatva-pakṣe na sambhavatīty āha tathā	aBimatam tat kahlu-upADeH vAstava-tva--pakze na samBavati-iti Aha taTA
   vāstaveti | ādinā pratibimbo grāhyaḥ | na khalu nigaḍitaḥ kaścid dīno	vAstava-iti | AdinA pratibimbaH grAhyaH | na Kalu nigaxitaH kaScid dInaH-
   rājaivāham iti jñāna-mātrād rājā bhavan dṛṣṭa iti bhāvaḥ | nanu	rAjA-eva-aham iti jQAna---mAtrAt rAjA Bavan dRzwaH iti BAvaH | nanu
   brahmānusandhi-sāmarthyād bhaved iti cet tatrāha tat-padārtheti | tathā ca	brahma-anusanDi--sAmarTyAt Bavet iti ced tatra-Aha tat-padArTa-iti | taTA ca
   tvan-mata-kṣatir iti ||38||	tvan-mata-kzatiH iti ||38||
   upādher āvidyakatve tu tatra tat-paricchinnatvāder apy aghaṭamānatvād	upADeH Avidyaka-tve tu tatra tat--paricCinna-tva-AdeH api aGawamAna-tvAt-
   āvidyakatvam eveti ghaṭākāśādiṣu vāstavopādhimaya-tad-darśanayā na	Avidyaka-tvam eva-iti Gawa-AkASa-Adizu vAstava-upADimaya--tad--darSanayA na
   teṣām avāstava-svapna-dṛṣṭāntopajīvināṃ siddhāntaḥ sidhyati,	tezAm avAstava--svapna-dRzwAnta-upajIvinAm sidDAntaH siDyati,
   ghaṭamānāghaṭamānayoḥ saṅgateḥ kartum aśakyatvāt | tataś ca teṣāṃ tat	GawamAnA-GawamAnayoH saFgateH kartum aSakya-tvAt | tatas ca tezAm tat-
   tat sarvam avidyāvilasitam eveti svarūpam aprāptena tena tena tat-tad-	tat sarvam avidyA-vilasitam eva-iti sva-rUpam aprAptena tena tena tat-tat--
   vyavasthāpayitum aśakyam ||39||	vyavasTApayitum aSakyam ||39||
   BD: athopādher āvidyakatva-pakṣe pariccehdādi-vāda-dvayaṃ nirākaroti	BD: aTa-upADeH Avidyaka-tva--pakze pariccehda-Adi--vAda--dvayam nirAkaroti
   upādher iti | āvidyakatve rajju-bhujaṅgādivan mithyātve satīty arthaḥ |	upADeH iti | Avidyaka-tve rajju--BujaFga-Adi-vat miTyAtve sati-iti arTaH |
   tatropādhi-paricchinnatva-tat-pratibimbatvayor apy anupapadyamānatvān	tatra-upADi--paricCinna-tva--tat--pratibimba-tvayoH api anupapadyamAna-tvAn
   mithyātvam eveti hetoḥ | ghaṭākāśādiṣ ghaṭa-paricchinnākāśe ghaṭāmbu-	miTyAtvam eva-iti hetoH | Gawa-AkASa-AdiH Gawa--paricCinna-AkASe Gawa-ambu-
   pratibimbākāśe ca vāstavoopādhimaya-tad-ubhaya-dṛṣṭānta-darśanayā teṣāṃ	pratibimba-AkASe ca vAstava-ua-upADi-maya-tad-uBaya-dRzwAnta--darSanayA tezAm
   cinmātrādvaitnām ekajīvavāda-pariniṣṭhatvād avāstava-svapna-	cit-mAtrA-dvEtnAm eka-jIva-vAda--parinizWa-tvAt avAstava--svapna-
   dṛṣṭāntopajīvināṃ siddhānto na sidhyati |	dRzwAnta-upajIvinAm sidDAntaH na siDyati |
   upādher mithyātve tena paricchedaḥ pratibimbaś ca brahmaṇo mithaiva syāt |	upADeH miTyAtve tena paricCedaH pratibimbaH ca brahmaNaH miTA-eva syAt |
