   (PSP_6 8:1)	(PSu _6 8:1)
   sarvadharmeṣu sarvān etān kulaputra dharmān anāvaraṇān prekṣasva	sarva Darmezu sarvAn etAn kula putra DarmAn anAvaraNAn prekzasva
   svalakṣaṇaśūnyatayā na hy anāvaraṇeṣu dharmeṣu kasyacit saṃsīdanā vidyate,	sva lakzaNa SUnya tayA na hi anAvaraNezu Darmezu kasyacid saMsIdanA vidyate,
   evaṃ khalu subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	evam Kalu suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   prakṛtiśūnyatāyāṃ sattvān samādāpayati niveśayati pratiṣṭhāpayati, tathā	prakRti SUnyatAyAm sattvAn samAdApayati niveSayati pratizWApayati, taTA
   ca pratiṣṭhāpayati yathā dvayan na saṃvidyate. tat kasya hetoḥ? advayā hi	ca pratizWApayati yaTA dvayan na saMvidyate. tat kasya hetoH? advayAH hi
   prakṛtiśūnyatādvaidhīkārā, na hy advayo dharmaḥ kvacit kauśīdyam āpadyate.	prakRti SUnyatAdvEDIkArA, na hi advayaH DarmaH kvacid kOSIdyam Apadyate.
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	punar aparam suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   prakṛtiśūnyatayā vīryasattvān avatārayaty anuśāsti, ehi tvaṃ kulaputra	prakRti SUnyatayA vIrya sattvAn avatArayati anuSAsti, ehi tvam kula putra
   vīryam ārabhasva yadi vā dāne yadi vā śīle yadi vā kṣāntau yadi vā vīrye	vIryam AraBasva yadi vA dAne yadi vA SIle yadi vA kzAntO yadi vA vIrye
   yadi vā dhyāne yadi vā prajñāyāṃ yadi vā	yadi vA DyAne yadi vA prajQAyAm yadi vA
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgeṣu	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgezu
   (PSP_6 8:93) yadi vā vimokṣasamādhisamāpattidhāraṇīmukheṣu yadi vā	(PSu _6 8:93) yadi vA vimokza samADi samApatti DAraNI muKezu yadi vA
   daśatathāgatabaleṣu yadi vā caturṣu vaiśāradyeṣu yadi vā catasṛṣu	daSa taTAgata balezu yadi vA caturzu vESAradyezu yadi vA catasRzu
   pratisaṃvitsu yadi vā mahākaruṇāyāṃ yadi vāṣṭādaśasv āveṇikeṣu	pratisaMvitsu yadi vA mahA karuNAyAm yadi vA azwAdaSasu AveNikezu
   buddhadharmeṣu mā etān dharmān dvayato manasikuru mādvayataḥ. tat kasya	budDa Darmezu mA etAn DarmAn dvayataH manasikuru mAdvayataH. tat kasya
   hetoḥ? prakṛtiśūnyā hy ete dharmā na hi prakṛtiśūnyatā dvayato	hetoH? prakRti SUnyA hi ete DarmAH na hi prakRti SUnyatA dvayataH 
   mānasikartavyā nādvayataḥ, evaṃ khalu subhūte bodhisattvo mahāsattvaḥ	mAnasi kartavyA na advayataH, evam Kalu suBUte boDisattvaH mahAsattvaH
   prajñāpāramitāyāṃ carann upāyakauśalyena bodhisattvacaryāṃ caran sattvān	prajQApAramitAyAm caran upAya kOSalyena boDisattva caryAm caran sattvAn
   paripācayati, sattvān paripācyānupūrveṇa srotaāpattiphale pratiṣṭhāpayati,	paripAcayati, sattvAn paripAcya AnupUrveNa srotaApatti Pale pratizWApayati,
   sakṛdāgāmiphale pratiṣṭhāpayati, anāgāmiphale pratiṣṭhāpayaty arhattve	sakRdAgAmi Pale pratizWApayati, anAgAmi Pale pratizWApayati arhat tve
   pratiṣṭhāpayati, pratyekabodhau pratiṣṭhāpayaty anuttarāyāṃ	pratizWApayati, pratyeka boDO pratizWApayati anuttarAyAm
   samyaksaṃbodhau pratiṣṭhāpayati.	samyaksaMboDO pratizWApayati.
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	punar aparam suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   sattvānām arthaṃ karoty upāyakauśalyena dhyānabhāvanāyām evāvatārayati,	sattvAnAm arTam karoti upAya kOSalyena DyAna BAvanAyAm eva avatArayati,
   ehi tvaṃ kulaputra dhyānaṃ bhāvaya mā ca vikṣepasaṃjñī bhava. tat kasya	ehi tvam kula putra DyAnam BAvaya mA ca vikzepa saMjQI Bava. tat kasya
   hetoh? prakṛtiśūnyā hy ete dharmā na ca prakṛtiśūnyatāyāṃ kaścid dharma	heta Uh? prakRti SUnyA hi ete DarmAH na ca prakRti SUnyatAyAm kaScid Darma
   upalabhyate yo vikṣepyate vā ekāgrī bhavati vā, sa tvam atra dhyāne	upalaByate yaH vikzepyate vA ekAgrI Bavati vA, sa tvam atra DyAne
   sthitvā yad yad evaṃ kuśalaṃ karma kariṣyasi kāyena vā vācā vā manasā vā,	sTitvA yat yat evam kuSalam karma karizyasi kAyena vA vAcA vA manasA vA,
   yadi vā dānan dāsyasi yadi vā śīlaṃ rakṣasi yadi vā kṣāntiṃ	yadi vA dAnan dAsyasi yadi vA SIlam rakzasi yadi vA kzAntim
   saṃpādayiṣyati, yadi vā vīryam ārabhase yadi vā dhyānam utpādayiṣyasi yadi	saMpAdayizyati, yadi vA vIryam AraBase yadi vA DyAnam utpAdayizyasi yadi
   vā prajñā bhāvayiṣyasi, yadi vā	vA prajQA BAvayizyasi, yadi vA
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgāṃ	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgAn
   bhāvayiṣyasi, yadi vā vimokṣasamādhisamāpattidhāraṇīmukhāni, yadi	BAvayizyasi, yadi vA vimokza samADi samApatti DAraNI muKAni, yadi
   vāryasatyāpramāṇadhyānārūpyasamādhisamāpattīr yadi vābhijñā yadi vā	vAri asatyA pramANa DyAna ArUpya samADi samApattIH yadi vA aBijQA yadi vA
   daśabalavaiśāradyapratisamvido yadi vā mahāmaitrī yadi vā mahākaruṇā yadi	daSa bala vESAradya pratisamvidaH yadi vA mahA mEtrI yadi vA mahA karuNA yadi
   vāṣṭādaśāveṇikān buddhadharmān yadi vā dvātriṃśanmahāpuruṣalakṣaṇāni yadi	vA azwAdaSa AveNikAn budDa DarmAn yadi vA dvAtriMSat mahApuruza lakzaNAni yadi
   vāśītyanuvyañjanāni yadi vā śrāvakamārgaṃ yadi vā pratyekabuddhamārgaṃ	vASI iti anuvyaQjanAni yadi vA SrAvaka mArgam yadi vA pratyekabudDa mArgam
   yadi vā bodhisattvamārgaṃ yadi vā buddhamārgaṃ yadi vā srotaāpattiphalaṃ	yadi vA boDisattva mArgam yadi vA budDa mArgam yadi vA srotaApatti Palam
   yadi vā sakṛdāgāmiphalaṃ yadi vānāgāmiphalaṃ yadi vārhattvaṃ yadi vā	yadi vA sakRdAgAmi Palam yadi vA anAgAmi Palam yadi vA arhat tvam yadi vA
   pratyekabodhiṃ yadi vā (PSP_6 8:94) sarvākārajñatāṃ yadi vā sattvān	pratyeka boDim yadi vA (PSu _6 8:94) sarva AkAra jQa tAm yadi vA sattvAn
   paripācayiṣyasi yadi vā buddhakṣetraṃ pariśodhayiṣyasi, tasya te ime	paripAcayizyasi yadi vA budDa kzetram pariSoDayizyasi, tasya te ime
   kuśalā dharmā alpakṛcchreṇa prādurbhaviṣyanti prakṛtiśūnyatāyāṃ carataḥ,	kuSalAH DarmAH alpa kRcCreNa prAdurBavizyanti prakRti SUnyatAyAm carataH,
   evaṃ khalu subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carann	evam Kalu suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran= 
   upāyakauśalyena sattvānām arthaṃ karoti, prathamacittotpādam upādāya na	upAya kOSalyena sattvAnAm arTam karoti, praTama citta utpAdam upAdAya na
   jātv akarmako 'bhūt, kiṃ kuśalagaveṣī sattvānām arthaṃ kurvan	jAtu akarmakaH aBUt, kim kuSala gavezI sattvAnAm arTam kurvan
   buddhakṣetreṇa buddhakṣetraṃ satatasamitaṃ saṃkrāmati, buddhān bhagavataḥ	budDa kzetreNa budDa kzetram satata samitam saMkrAmati, budDAn BagavataH
   paryupāste, yaṃ ca teṣāṃ buddhānāṃ bhagavatām antikād dharmaṃ śṛṇoti, sa	paryupAste, yam ca tezAm budDAnAm BagavatAm antikAt Darmam SRNoti, sa
   tasya jātivyativṛttasyāpi na jātu vipraṇakṣyati yāvad anuttarāṃ	tasya jAti vyativRttasya api na jAtu vipraNakzyati yAvat anuttarAm
   samyaksaṃbodhim abhisaṃbuddhaḥ syād dhāraṇīpratilabdhaś ca satatasamitaṃ	samyaksaMboDim aBisaMbudDaH syAt DAraNI pratilabDaH ca satata samitam
   bhavaty ahīṇendriyo yadi vā kāyendriyeṇa yadi vā vāgindriyeṇa yadi vā	Bavati ahINa indriyaH yadi vA kAya indriyeNa yadi vA vAc indriyeNa yadi vA
   manaindriyeṇa. tat kasya hetoḥ? tathā hi sarvākārajñatāṃ satatasamitaṃ	manEndriyeNa. tat kasya hetoH? taTA hi sarva AkAra jQa tAm satata samitam
   bhāvayaty anayā sarvākārajñatayā subhāvitayā sarvamārgāḥ subhāvitā	BAvayati anayA sarva AkAra jQa tayA su BAvitayA sarva mArgAH su BAvitA
   bhavanti, yadi vā śrāvakamārgo yadi vā pratyekabuddhamārgo yadi vā	Bavanti, yadi vA SrAvaka mArgaH yadi vA pratyekabudDa mArgaH yadi vA
   bodhisattvamārgas tasyābhijñā bodhisattvasya mahāsattvasya satatasamitam	boDisattva mArgaH tasya aBijQAH boDisattvasya mahAsattvasya satata samitam
   upakārībhūtā bhaviṣyanty avipraṇāśayogeṇa, sa tāsu vaipākikīṣv abhijñāsu	upakArIBUtAH Bavizyanti avipraNASa yogeNa, sa tAsu vEpAkikIzu aBijQAsu
   sthitvā sattvānām arthaṃ karoti na parihīyate pañcagatike saṃsāre	sTitvA sattvAnAm arTam karoti na parihIyate paQcagatike saMsAre
   saṃsarann, evaṃ khalu subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ	saMsarann, evam Kalu suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm
   caran prakṛtiśūnyatāyāṃ sthitvopāyakauśalyena sattvānām arthaṃ karoti.	caran prakRti SUnyatAyAm sTitvA upAya kOSalyena sattvAnAm arTam karoti.
   punar aparaṃ subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	punar aparam suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   prakṛtiśūnyatāyāṃ sthitvopāyakauśalyena sattvānām arthaṃ karoti, sa tayā	prakRti SUnyatAyAm sTitvA upAya kOSalyena sattvAnAm arTam karoti, sa tayA
   prajñāpāramitayā subhāvitayā sattvān evam avavadaty evam anuśāsti, ehi	prajQApAramitayA su BAvitayA sattvAn evam avavadati evam anuSAsti, ehi
   tvaṃ kulaputra yad yad evaṃ karma karoṣi kāyena vā vācā vā manasā vā tat	tvam kula putra yat yat evam karma karozi kAyena vA vAcA vA manasA vA tat 
   sarvam amṛtādhigamāya pariṇāmaya tathā te ete dharmāḥ sarva amṛtāvigamāya	sarvam amRta aDigamAya pariNAmaya taTA te ete DarmAH sarva amRta avigamAya
   bhaviṣyanty amṛtaparyavasānāya ca, na ca prakṛtiśūnyatāyāṃ kaścid dharmo	Bavizyanti amRta paryavasAnAya ca, na ca prakRti SUnyatAyAm kaScid DarmaH 
   'bhiniviśate yaḥ parihīyate. tat kasya hetoḥ? na hi śūnyatā parihīyate, na	aBiniviSate yaH parihIyate. tat kasya hetoH? na hi SUnyatA parihIyate, na
   ca prakṛtiśūnyatāyāḥ kaścit parihīyate. tat kasya hetoḥ? tathā hi	ca prakRti SUnyatAyAH kaScid parihIyate. tat kasya hetoH? taTA hi
   prakṛtiśūnyatā na bhāvo nābhāvas tat kim abhāvo 'bhāve dharme parihāsyaty,	prakRti SUnyatA na BAvaH na aBAvaH tat kim aBAvaH aBAve Darme parihAsyati ,
   evaṃ khalu subhūte bodhisattvo (PSP_6 8:95) mahāsattvaḥ prajñāpāramitāyāṃ	evam Kalu suBUte boDisattvaH (PSu _6 8:95) mahAsattvaH prajQApAramitAyAm
   caran sattvān evam avavadaty evam anuśāsti, sa evam avavadann evam	caran sattvAn evam avavadati evam anuSAsti, saH evam avavadan evam
   anuśāsan na jātv akarmako 'bhūt, sa ātmanā ca satatasamitaṃ daśakuśaleṣu	anuSAsan na jAtu akarmakaH aBUt, saH AtmanA ca satata samitam daSa kuSalezu
   karmapatheṣu vartate, parāṃś ca daśakuśaleṣu karmapatheṣu samādāpayaty	karma paTezu vartate, parAn ca daSa kuSalezu karma paTezu samAdApayati 
   evaṃ pañcasu śikṣāpadeṣu āryāṣṭāṅge samanvāgata upoṣadhe. ātmanā ca	evam paQcasu SikzA padezu Arya azwa aFge samanvAgataH upozaDe. AtmanA ca
   dhyānārūpyasamāpattīḥ samāpadyate parāṃś ca dhyānārūpyasamāpattiṣu	DyAna ArUpya samApattIH samApadyate parAn ca DyAna ArUpya samApattizu
   samādāpayati, ātmanā ca satatasamitaṃ maitrīvihārī bhavati parāṃś ca	samAdApayati, AtmanA ca satata samitam mEtrI vihArI Bavati parAn ca
   satatasamitaṃ maitrīvihāre samādāpayati, ātmanā ca satatasamitaṃ	satata samitam mEtrI vihAre samAdApayati, AtmanA ca satata samitam
   karuṇāvihārī bhavati parāṃś ca satatasamitaṃ karuṇāvihāre samādāpayati,	karuNA vihArI Bavati parAn ca satata samitam karuNA vihAre samAdApayati,
   ātmanā ca satatasamitaṃ muditāvihārī bhavati, parāṃś ca satatasamitaṃ	AtmanA ca satata samitam muditA vihArI Bavati, parAn ca satata samitam
   muditāvihāre samādāpayati, ātmanā ca satatasamitam upekṣāvihārī bhavati	mudita avihAre samAdApayati, AtmanA ca satata samitam upekzA vihArI Bavati
   parāṃś ca satatasamitam upekṣāvihāre samādāpayati, ātmanā ca	parAn ca satata samitam upekzA vihAre samAdApayati, AtmanA ca
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgān bhāvayanti	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgAn BAvayanti
   parāṃś ca smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgeṣu	parAn ca smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgezu
   samādāpayati, ātmanā ca śūnyatānimittāpraṇihitāni bhāvayati parāṃś ca	samAdApayati, AtmanA ca SUnyatA nimitta apraNihitAni BAvayati parAn ca
   śūnyatānimittāpraṇihiteṣu samādāpayati, ātmanā ca sarvapāramitāsu	SUnyatA nimitta apraNihitezu samAdApayati, AtmanA ca sarva pAramitAsu
   sarvaśūnyatāsu ca śikṣate parāṃś ca sarvaśūnyatāsu sarvapāramitāsu ca	sarva SUnyatAsu ca Sikzate parAn ca sarva SUnyatAsu sarva pAramitAsu ca
   samādāpayati, ātmanā ca daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmeṣu	samAdApayati, AtmanA ca daSa bala vESAradya pratisaMvid AveNika budDa Darmezu
   śikṣate parāṃś ca daśabalavaiśāradyapratisamvidāvenikabuddhadharmeṣu	Sikzate parAn ca daSa bala vESAradya pratisamvid Avenika budDa Darmezu
   samādāpayati, ātmanā ca dvātriṃśanmahāpuruṣalakṣaṇāśītyanuvyañjanāni	samAdApayati, AtmanA ca dvAtriMSat mahApuruza lakzaNa aSIti anuvyaQjanAni
   paripūrayati parāṃś ca	paripUrayati parAn ca
   dvātriṃsanmahāpuruṣalakṣaṇāśītyanuvyañjanapariniṣpattaye samādāpayati,	dvAtriMsat mahApuruza lakzaNa aSIti anuvyaQjana parinizpattaye samAdApayati,
   ātmanā ca srotaāpattiphale jñānam utpādayati na ca tatra tiṣṭhati parāṃś	AtmanA ca srotaApatti Pale jQAnam utpAdayati na ca tatra tizWati parAn= 
   ca srotaāpattiphale pratiṣṭhāpayati, ātmanā ca sakṛdāgāmiphale jñānam	ca srotaApatti Pale pratizWApayati, AtmanA ca sakRdAgAmi Pale jQAnam
   utpādayati na ca tatra tiṣṭhati parāṃś ca sakṛdāgāmiphale pratiṣṭhāpayati,	utpAdayati na ca tatra tizWati parAn ca sakRdAgAmi Pale pratizWApayati,
   ātmanā cānāgāmiphale jñānam utpādayati na ca tatra tiṣṭhati parāṃś	AtmanA ca anAgAmi Pale jQAnam utpAdayati na ca tatra tizWati parAn= 
   cānāgāmiphale pratiṣṭhāpayati, ātmanā cārhattve jñānam utpādayati na ca	ca anAgAmi Pale pratizWApayati, AtmanA ca arhat tve jQAnam utpAdayati na ca
   tatra tiṣṭhati parāṃś cārhattve pratiṣṭhāpayati, ātmanā ca pratyekabodhau	tatra tizWati parAn ca arhat tve pratizWApayati, AtmanA ca pratyeka boDO
   jñānam utpādayati na ca tatra tiṣṭhati parāṃś ca pratyekabodhau	jQAnam utpAdayati na ca tatra tizWati parAn ca pratyeka boDO
   pratiṣṭhāpayati, ātmanā cānuttarāyāṃ samyaksaṃbodhau mārgam utpādayati	pratizWApayati, AtmanA ca anuttarAyAm samyaksaMboDO mArgam utpAdayati
   parāṃś ca tatra mārge 'vavadaty anuśāsti pratiṣṭhāpayati. evaṃ khalu	parAn ca tatra mArge avavadati anuSAsti pratizWApayati. evam Kalu
   (PSP_6 8:96) subhūte bodhisattvo mahāsattvo bodhisattvacaryāṃ carann	(PSu _6 8:96) suBUte boDisattvaH mahAsattvaH boDisattva caryAm caran= 
   upāyakauśalyena na jātv akarmako 'bhūt.	upAya kOSalyena na jAtu akarmakaH aBUt .
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: yadi bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: yadi Bagavan
   prakṛtiśūnyāḥ sarvadharmā na ca prakṛtiśūnyatāyāṃ sattvā upalabhyante, na	prakRti SUnyAH sarva DarmAH na ca prakRti SUnyatAyAm sattvAH upalaByante, na
   dharmo nādharmaḥ, kathaṃ bhagavan bodhisattvo mahāsattvaḥ	DarmaH na aDarmaH, kaTam Bagavan boDisattvaH mahAsattvaH
   prajñāpāramitāyām abhisaṃpratiṣṭhate?	prajQApAramitAyAm aBisaMpratizWate?
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: evam etat subhūte evam	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: evam etat suBUte evam
   etat, yathā vadasi prakṛtiśūnyāḥ sarvadharmā na ca prakṛtiśūnyatāyāṃ	etat, yaTA vadasi prakRti SUnyAH sarva DarmAH na ca prakRti SUnyatAyAm
   sattvā upalabhyante na dharmo nādharmaḥ, yadi punaḥ subhūte prakṛtiśūnyāḥ	sattvAH upalaByante na DarmaH na aDarmaH, yadi punar suBUte prakRti SUnyAH
   sarvadharmā abhaviṣyan na tadā bodhisattvo mahāsattvaḥ prakṛtiśūnyatāyām	sarva DarmAH aBavizyan na tadA boDisattvaH mahAsattvaH prakRti SUnyatAyAm
   abhisaṃprāsthāsyad, evaṃ cānuttarāṃ samyaksaṃbodhim abhisaṃbuddhya	aBisaMprAsTa asya d, evam ca anuttarAm samyaksaMboDim aBisaMbudDya
   prakṛtiśūnyaṃ dharmaṃ deśayed, rūpaṃ subhūte prakṛtiśūnyaṃ,	prakRti SUnyam Darmam deSayed, rUpam suBUte prakRti SUnyaM,
   vedanāsaṃjñāsaṃskārā, vijñānaṃ prakṛtiśūnyaṃ tadā bodhisattvo mahāsattvaḥ	vedanA saMjQA saMskArA, vijQAnam prakRti SUnyam tadA boDisattvaH mahAsattvaH
   prajñāpāramitāyāṃ caran pañcaskandhāḥ prakṛtiśūnyā iti dharmaṃ deśayati,	prajQApAramitAyAm caran paQca skanDAH prakRti SUnyAH iti Darmam deSayati,
   dvādaśāyatanāny aṣṭādaśadhātavaḥ prakṛtiśūnyā iti dharmaṃ deśayati,	dvAdaSa AyatanAni azwAdaSa DAtavaH prakRti SUnyAH iti Darmam deSayati,
   catvāri dhyānāni catvāry apramāṇāni catasra ārūpyasamāpattayaś catvāri	catvAri DyAnAni catvAri apramANAni catasraH ArUpya samApattayaH catvAri
   smṛtyupasthānāni catvāri samyakprahāṇāni catvāra ṛddhipādāḥ pañcendriyāṇi	smRti upasTAnAni catvAri samyak prahANAni catvAraH RdDi pAdAH paQca indriyANi
   pañcabalāni saptabodhyaṅgāni āryāṣṭāṅgamārgaḥ prakṛtiśūnya iti dharmaṃ	paQca balAni sapta boDi aFgAni Arya azwa aFga mArgaH prakRti SUnyaH iti Darmam
   deśayati, trīṇi vimokṣamukhāny aṣṭau vimokṣā navānupūrvavihārasamāpattayo	deSayati, trINi vimokza muKAni azwO vimokzAH nava anupUrva vihAra samApattayo
   daśatathāgatabalāni catvāri vaiśāradyāni catasraḥ pratisaṃvido mahāmaitrī	daSa taTAgata balAni catvAri vESAradyAni catasraH pratisaMvidaH mahA mEtrI
   mahākaruṇā aṣṭādaśāveṇikā buddhadharmā dvātriṃśanmahāpuruṣalakṣaṇāny	mahA karuNA azwAdaSa AveNikAH budDa DarmA dvAtriMSat mahApuruza lakzaNAni 
   aśītyanuvyañjanāni prakṛtiśūnyānīti dharmaṃ deśayati, srotaāpattiphalaṃ	aSIti anuvyaQjanAni prakRti SUnyAni iti Darmam deSayati, srotaApatti Palam
   sakṛdāgāmiphalam anāgāmiphalam arhattvaṃ pratyekabodhiḥ, sarvākārajñatā	sakRdAgAmi Palam anAgAmi Palam arhat tvam pratyeka boDiH, sarva AkAra jQa tA
   sarvavāsanānusaṃdhikleśaprahāṇaṃ prakṛtiśūnyam iti dharmaṃ deśayati, yadi	sarva vAsanA anusaMDi kleSa prahANam prakRti SUnyam iti Darmam deSayati, yadi
   punaḥ subhūte 'dhyātmaśūnyatā na prakṛtiśūnyābhaviṣyan na tadā bodhisattvo	punar suBUte aDyAtma SUnyatA na prakRti SUnyA aBavizyan na tadA boDisattvaH 
   mahāsattvaḥ prakṛtiśūnyatāyāṃ dharmam uddekṣyad, evaṃ bahirdhāśūnyatā	mahAsattvaH prakRti SUnyatAyAm Darmam uddekzyad, evam bahirDA SUnyatA
   adhyātmabahirdhāśūnyatā yāvad abhāvasvabhāvaśūnyatā na	aDyAtma bahirDA SUnyatA yAvat aBAva svaBAva SUnyatA na
   prakṛtiśūnyābhaviṣyan na tadā bodhisattvo mahāsattvaḥ prakṛtiśūnyatāyāṃ	prakRti SUnyA aBavizyan na tadA boDisattvaH mahAsattvaH prakRti SUnyatAyAm
   dharmam uddekṣyan, na ca prakṛtiśūnyatā vinaśyati na ca kūṭasthā bhavati	Darmam uddekzyan, na ca prakRti SUnyatA vinaSyati na ca kUwasTA Bavati
   na ca sā punar apakrāmati. tat kasya hetoḥ? na hi sā deśasthā na	na ca sA punar apakrAmati. tat kasya hetoH? na hi sA deSa sTA na
   pradeśasthā na ca sā kvacid gacchati nāpi (PSP_6 8:97) kutaścid āgacchati,	pradeSa sTA na ca sA kvacid gacCati na api (PSu _6 8:97) kutaScid AgacCati,
   eṣā sā dharmasthititā, yatra na kasyacid dharmasyācayo vā upacayo	ezA sA Darma sTiti tA, yatra na kasyacid Darmasya AcayaH vA upacayaH 
   vopalabhyate, hānir vā vṛddhir vā utpādo vā nirodho vā saṃkleśo vā	vA upalaByate, hAniH vA vRdDiH vE utpAdaH vA niroDaH vA saMkleSaH vA
   vyavadānaṃ vā eṣā sā prakṛtidharmāṇāṃ, yatra sthitvā bodhisattvo	vyavadAnam vE ezA sA prakRti DarmANAn, yatra sTitvA boDisattvaH 
   mahāsattvo 'nuttarāṃ samyaksaṃbodhim abhisaṃbodhuṃ saṃprasthitā na	mahAsattvaH anuttarAm samyaksaMboDim aBisaMboDum saMprasTitAH na
   kasyacid dharmasya prasthāne paśyati, asaṃprasthitāḥ sarvadharmāḥ, eṣā sā	kasyacid Darmasya prasTAne paSyati, asaMprasTitAH sarva DarmAH, ezA sA
   dharmāṇāṃ dharmasthititā, yatra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ	DarmANAm Darma sTiti tA, yatra boDisattvaH mahAsattvaH prajQApAramitAyAm
   caran sarvadharmān prakṛtiśūnyān dṛṣṭvā na pratyudāvartate 'nuttarāyāḥ	caran sarva DarmAn prakRti SUnyAn dRzwvA na pratyudAvartate anuttarAyAH
   samyaksaṃbodheḥ. tat kasya hetoḥ? tathā hi na kasyacid dharmasyāvaraṇaṃ vā	samyaksaMboDeH. tat kasya hetoH? taTA hi na kasyacid Darmasya AvaraNam vA
