   śrīrastu	SrIH astu
   jānāti māṃsayuktā surāpriyā sarvataścapalā // BhN_15.216 //	jAnAti mAMsa yuktA surA priyA sarvatas capalAH // Bhz _15.216 //
   pūrvārdhe lakṣaṇaṃ hyetadasyāḥ sa ca mukhena tu /	pUrva arDe lakzaNam hi etat asyAH sa ca muKena tu /
   paścimārdhe tu capalā yasyāḥ sā jaghanena tu // BhN_15.217 //	paScima arDe tu capalAH yasyAH sA jaGanena tu // Bhz _15.217 //
   mukhacapalā yathā:	muKa capalAH yaTA:
   āryāmukhe tu capalā tathāpi cāryā na me yataḥ sā kim /	AryA muKe tu capalA taTA api ca AryAH na me yatas sA kim /
   dakṣā gṛhakṛtyeṣu tathā duḥkhe bhavati duḥkhārtā // BhN_15.218 //	dakzAH gRha kRtyezu taTA duHKe Bavati duHKa ArtAH // Bhz _15.218 //
   jaghanacapalā yathā:	jaGana capalA yaTA:
   varamṛganayane capalāsi varoru śaśāṅkadarpaṇanibhāsye /	vara mRga nayane capalA asi vara Uru SaSAFka darpaNa niBa Asye /
   kāmasya sārabhūte na pūrvamadacārujaghanena // BhN_15.219 //	kAmasya sAra BUte na pUrva mada cAru jaGanena // Bhz _15.219 //
   ubhayorardhayoretallakṣaṇaṃ dṛśyate yadi /	uBayoH arDayoH etad lakzaNam dRSyate yadi /
   vṛttajñaiḥ sā tu vijñeyā sarvataścapalā sakhi // BhN_15.220 //	vRtta jQEH sA tu vijQeyA sarvatas capalA saKi // Bhz _15.220 //
   kāryau dvādaśamātrau ca pādāvādyau tṛtīyakau /	kAryO dvAdaSa mAtrO ca pAdO= AdyO tRtIyakO /
   aṣṭādaśa dvitīyaṃ ca tathā pañcadaśottamā // BhN_15.221 //	azwAdaSa dvitIyam ca taTA paQcadaSa uttamAH // Bhz _15.221 //
   catuḥpañcaprakārāṇāṃ catuṣkāṇāṃ viśeṣataḥ /	catur paQca prakArANAm catuzkANAm viSezataH /
   prastārayogamāsādya bāhulyaṃ saṃpradarśayet // BhN_15.222 //	prastAra yogam AsAdya bAhulyam saMpradarSayet // Bhz _15.222 //
   pañcapañcāśadādyā tu triṃśadādyā tathaiva ca /	paQca paQcASat AdyA tu triMSat AdyA taTA eva ca /
   āryā tvakṣarapiṇḍena vijñeyātra prayoktṛbhiḥ // BhN_15.223 //	AryA tu akzara piNxena vijQeyA atra prayoktRBiH // Bhz _15.223 //
   triṃśatastvatha varṇebhyo laghuvarṇatrayaṃ bhavet /	triMSataH tu aTa varNeByaH laGu varNa trayam Bavet /
   śeṣāṇi gurusaṃkhyāni hyevaṃ sarvatra nirdiśet // BhN_15.224 //	SezANi guru saMKyAni hi evam sarvatra nirdiSet // Bhz _15.224 //
   sarveṣāmeva cāryāṇāmakṣarāṇāṃ yathākramam /	sarvezAm eva ca AryANAm akzarANAm yaTAkramam /
   sarveṣāṃ jātivṛttānāṃ pūrvamuttarasaṃkhyayā // BhN_15.225 //	sarvezAm jAti vRttAnAm pUrvam uttara saMKyayA // Bhz _15.225 //
   vikalpagaṇanāṃ kṛtvā saṃkhyāpiṇḍena nirdiśet /	vikalpa gaNanAm kRtvA saMKyA piNxena nirdiSet /
   āryāgītirathāryaiva kevalaṃ tvaṣṭabhirgaṇaiḥ // BhN_15.226 //	AryAgItiH aTa Arya eva kevalam tu azwaBiH gaNEH // Bhz _15.226 //
   itarārthe jaḥ ṣaṣṭhastu nalaghugaṇa iṣyate |	itara arTe jaH zazWaH tu na laGu gaNaH izyate |
   vṛttairevaṃ tu vividhairnānāchandassamudbhavaiḥ /	vRttEH evam tu viviDEH nAnA Canda ssamudBavEH /
   kāvyabandhāstu kartavyāḥ ṣaṭtriṃśallakṣaṇānvitāḥ // BhN_15.227 //	kAvya banDAH tu kartavyAH zawtriMSat lakzaNa anvitAH // Bhz _15.227 //
   iti bharatīye nāṭyaśāstre chandovicitirnāma pañcadaśo 'dhyāyaḥ	iti BaratIye nAwya SAstre CandovicitiH nAma paQcadaSaH aDyAyaH
   atha ṣoḍaśo 'dhyāyaḥ	aTa zoxaSaH aDyAyaH
   vibhūṣaṇaṃ cākṣarasaṃhatiśca śobhābhimānau guṇakīrtanaṃ ca /	viBUzaNam ca akzara saMhatiH ca SoBA aBimAnO guNa kIrtanam ca /
   protsāhanodāharaṇe niruktaṃ guṇānuvādo 'tiśayaśca hetuḥ // BhN_16.1 //	protsAha na udAharaNe niruktam guNa anuvAdaH atiSayaH ca hetuH // Bhz _16.1 //
   sārūpyamithyādhyavasāyasiddhi padoccayākrandamanorathāśca /	sArUpya miTyA aDyavasAya sidDi pada uccaya Akranda manoraTAH ca /
   ākhyānayāñcāpratiṣedhapṛcchā dṛṣṭāntanirbhāsanasaṃśayāśca // BhN_16.2 //	AKyAna yAQcA pratizeDa pRcCAH dRzwAnta nirBAsana saMSayAH ca // Bhz _16.2 //
   āśīḥ priyoktiḥ kapaṭaḥ kṣamā ca prāptiśca paścāttapanaṃ tathaiva /	ASIH priyoktiH kapawaH kzamA ca prAptiH ca paScAt tapanam taTA eva /
   arthānuvṛttirhyupapattiyuktī kāryo 'nunītiḥ paridevanaṃ ca // BhN_16.3 //	arTa anuvRttiH hi upapatti yuktI kAryaH anunItiH paridevanam ca // Bhz _16.3 //
   ṣaṭtriṃśadetāni hi lakṣaṇāni proktāni vai bhūṣaṇasaṃmitāni /	zawtriMSat etAni hi lakzaNAni proktAni vE BUzaNa saMmitAni /
   kāvyeṣu bhāvārthagatāni tajjñaiḥ samyag prayojyāni yathārasaṃ tu //	kAvyezu BAva arTa gatAni tajjQEH samyak prayojyAni yaTArasam tu //
   BhN_16.4 //	Bhz _16.4 //
   alaṅkārairguṇaiścaiva bahubhiḥ samalaṅkṛtam /	alaFkArEH guNEH ca eva bahuBiH samalaFkRtam /
   bhūṣaṇairiva vinyastaistad bhūṣaṇamiti smṛtam // BhN_16.5 //	BUzaNEH iva vinyastEH tat BUzaNam iti smRtam // Bhz _16.5 //
   yatrālpairakṣaraiḥ śliṣṭairvicitramupavarṇyate /	yatra alpEH akzarEH SlizwEH vicitram upavarNyate /
   tamapyakṣarasaṅghātaṃ vidyāllakṣaṇasaṃjñitam // BhN_16.6 //	tam api akzara saFGAtam vidyAt lakzaNa saMjQitam // Bhz _16.6 //
   siddhairarthaissamaṃ kṛtvā hyasiddho 'rthaḥ prasādhyate /	sidDEH arTEH samam kRtvA hi asidDaH arTaH prasADyate /
   yatra ślakṣṇavicitrārthā sā śobhetyabhidhīyate // BhN_16.7 //	yatra SlakzNa vicitra arTA sA SoBA iti aBiDIyate // Bhz _16.7 //
   dhāryamāṇastu bahubhirvacanaiḥ kāryayuktibhiḥ /	DAryamANaH tu bahuBiH vacanEH kArya yuktiBiH /
   na yaḥ paryavatiṣṭheta so 'bhimānastu saṃjñitaḥ // BhN_16.8 //	na yaH paryavatizWeta saH aBimAnaH tu saMjQitaH // Bhz _16.8 //
   kīrtyamānairguṇairyatra vividhārthasamudbhavaiḥ /	kIrtyamAnEH guNEH yatra viviDa arTa samudBavEH /
   doṣā na parikathyante tajjñeyaṃ guṇakīrtanam // BhN_16.9 //	dozAH na parikaTyante tat jQeyam guNa kIrtanam // Bhz _16.9 //
   loke guṇātiriktānāṃ bahūnāṃ yatra nāmabhiḥ /	loke guNa atiriktAnAm bahUnAm yatra nAmaBiH /
   eko 'bhiśabdyate yastu vijñeyaṃ guṇakīrtanam // BhN_16.10 //	ekaH aBiSabdyate yaH tu vijQeyam guNa kIrtanam // Bhz _16.10 //
   utsāhajananaiḥ spaṣṭairarthairopamyasaṃśrayaiḥ /	utsAha jananEH spazwEH arTEH opamya saMSrayEH /
   prasiddhairupagūḍhaṃ ca jñeyaṃ protsāhanaṃ budhaiḥ // BhN_16.11 //	prasidDEH upagUXam ca jQeyam protsAhanam buDEH // Bhz _16.11 //
   yatraikasyāpi śabdasya darśanātsubahūnyapi /	yatra ekasya api Sabdasya darSanAt su bahUni api /
   yānti siddhimanuktāni tadudāharaṇaṃ smṛtam // BhN_16.12 //	yAnti sidDim anuktAni tad udAharaNam smRtam // Bhz _16.12 //
   niruktaṃ dvividhaṃ proktaṃ tathyaṃ cātathyameva vā /	niruktam dviviDam proktam taTyam ca ataTyam eva vA /
   siddhiprasādhitaṃ tathyamatathyaṃ cāprasādhitam // BhN_16.13 //	sidDi prasADitam taTyam ataTyam ca aprasADitam // Bhz _16.13 //
   guṇānuvādo hīnānāmuttamairupamākṛtaḥ /	guNa anuvAdaH hInAnAm uttamEH upamA kRtaH /
   uttamārthaviśeṣo yaḥ sa cāpyatiśayaḥ smṛtaḥ // BhN_16.14 //	uttama arTa viSezaH yaH sa ca api atiSayaH smRtaH // Bhz _16.14 //
   bahūnāṃ bhāṣamāṇānāmekasyārthavinirṇayāt /	bahUnAm BAzamANAnAm ekasya arTa vinirNayAt /
   siddhopamānavacanaṃ heturityabhisaṃjñitaḥ // BhN_16.15 //	sidDa upamAna vacanam hetuH iti aBisaMjQitaH // Bhz _16.15 //
   apadeśastu parokṣo yasmādutpadyate 'nukaraṇena /	apadeSaH tu parokzaH yasmAt utpadyate anukaraNena /
   lakṣaṇasamānakaraṇāt sārūpyaṃ tattu nirdeśyam // BhN_16.16 //	lakzaNa samAna karaNAt sArUpyam tat tu nirdeSyam // Bhz _16.16 //
   abhūtapūrvairyatrārthaistulyasyārthasya nirṇayaḥ /	aBUta pUrvEH yatra arTEH tulyasya arTasya nirNayaH /
   sa mithyādhyavasāyastu procyate kāvyalakṣaṇe // BhN_16.17 //	sa miTyA aDyavasAyaH tu procyate kAvya lakzaNe // Bhz _16.17 //
   bahūnāṃ tu pradhānānāṃ madhye yannāma kīrtyate /	bahUnAm tu praDAnAnAm maDye yad nAma kIrtyate /
   ekārthasādhanakṛtaṃ sā siddhiriti kīrtyate // BhN_16.18 //	eka arTa sADana kRtam sA sidDiH iti kIrtyate // Bhz _16.18 //
   guṇairbahubhirekārthaiḥ padairyaḥ saṃpraśasyate /	guNEH bahuBiH eka arTEH padEH yaH saMpraSasyate /
   padoccayaṃ tu tadvidyānnānārthagrathanātmakam // BhN_16.19 //	pada uccayam tu tad vidyAt nAnA arTa graTana Atmakam // Bhz _16.19 //
   ātmabhāvamupanyasya parasādṛśyayuktibhiḥ /	Atma BAvam upanyasya para sAdRSya yuktiBiH /
   tīvrārthabhāṣaṇaṃ yatsyādākrandaḥ sa tu kīrtitaḥ // BhN_16.20 //	tIvra arTa BAzaNam yat syAt AkrandaH sa tu kIrtitaH // Bhz _16.20 //
   hṛdayasthasya bhāvasya suspaṣṭārthapradarśanam /	hRdaya sTasya BAvasya su spazwa arTa pradarSanam /
   anyāpadeśakathanairmanoratha iti smṛtaḥ // BhN_16.21 //	anya apadeSa kaTanEH manoraTaH iti smRtaH // Bhz _16.21 //
   apṛṣṭairathavā pṛṣṭairnirṇayaḥ kriyate tu yaḥ /	apRzwEH aTavA pRzwEH nirNayaH kriyate tu yaH /
   ākhyānamiti tajjñeyaṃ lakṣaṇaṃ nāṭakāśrayam // BhN_16.22 //	AKyAnam iti tat jQeyam lakzaNam nAwaka ASrayam // Bhz _16.22 //
   ādau yatkrodhajananamante harṣapravardhanam /	AdO yat kroDa jananam ante harza pravarDanam /
   yattu priyaṃ punarvākyaṃ sā yāñcā parikīrtitā // BhN_16.23 //	yat tu priyam punar vAkyam sA yAQcA parikIrtitAH // Bhz _16.23 //
   kāryeṣu viparīteṣu yadi kiñcit pravartate /	kAryezu viparItezu yadi kiQcid pravartate /
   nivāryate ca kāryajjñaiḥ pratiṣedhaḥ prakīrtitaḥ // BhN_16.24 //	nivAryate ca kAryat jQEH pratizeDaH prakIrtitaH // Bhz _16.24 //
   yatrākārodbhavairvākyairātmānamathavā param /	yatra AkAra udBavEH vAkyEH AtmAnam aTavA param /
   pṛcchannivābhidhatte 'rthaṃ sā pṛcchetyabhisaṃjñitā // BhN_16.25 //	pRcCan= iva aBiDatte arTam sA pRcCA iti aBisaMjQitAH // Bhz _16.25 //
   vidvān pūrvopalabdhau yatsamatvamupapādayet /	vidvAn pUrva upalabDO yat sama tvam upapAdayet /
   nidarśanakṛtastajjñaiḥ sa dṛṣṭānta iti smṛtaḥ // BhN_16.26 //	nidarSana kRtaH tajjQEH sa dRzwAntaH iti smRtaH // Bhz _16.26 //
   anekayuktimadvākyamanekārthaprasādhakam /	aneka yuktimat vAkyam aneka arTa prasADakam /
   anekavākyasaṃyuktaṃ tannirbhāsanamucyate // BhN_16.27 //	aneka vAkya saMyuktam tat nirBAsanam ucyate // Bhz _16.27 //
   aparijñātatattvārthaṃ yatra vākyaṃ samāpyate /	aparijQAta tattva arTam yatra vAkyam samApyate /
   so 'nekatvādvicārāṇāṃ saṃśayaḥ parikīrtitaḥ // BhN_16.28 //	saH aneka tvAt vicArANAm saMSayaH parikIrtitaH // Bhz _16.28 //
   yatra śāstrārthasampannāṃ manorathasamudbhavām /	yatra SAstra arTa sampannAm manoraTa samudBavAm /
   aprārthanīyāmanyāṃ vā vidustāmāśiṣaṃ budhāḥ // BhN_16.29 //	aprArTanIyAm anyAm vA viduH tAm ASizam buDAH // Bhz _16.29 //
   ādau yat krodhajananamante harṣapravardhanam /	AdO yat kroDa jananam ante harza pravarDanam /
   tat priyaṃ vacanaṃ jñeyamāśīrvādasamanvitam // BhN_16.30 //	tat priyam vacanam jQeyam ASIrvAda samanvitam // Bhz _16.30 //
   chalayuktyā tvanyeṣāmabhisandhānābhibhāvakaṃkapaṭam /	Cala yuktyA tu anyezAm aBisanDAna aBiBAva kaMkapawam /
   dvitriprayogayukto vijñeyaḥ kapaṭasaṅghātaḥ // BhN_16.31 //	dvi tri prayoga yuktaH vijQeyaH kapawa saFGAtaH // Bhz _16.31 //
   durjanodāhṛtai rūkṣaiḥ sabhāmadhye 'titāḍitaḥ /	durjana udAhRtEH rUkzEH saBA maDye ati tAxitaH /
   akrodhaḥ krodhajananairvākyairyaḥ sā kṣamā bhavet // BhN_16.32 //	akroDaH kroDa jananEH vAkyEH yaH sA kzamA Bavet // Bhz _16.32 //
   dṛṣṭvaivāvayavaṃ kañcidbhāvo yatrānumīyate /	dRzwvA eva avayavam kaQcid BAvaH yatra anumIyate /
   prāptiṃ tāmabhijānīyāllakṣaṇaṃ nāṭakāśrayam // BhN_16.33 //	prAptim tAm aBijAnIyAt lakzaNam nAwaka ASrayam // Bhz _16.33 //
   akāryaṃ sahasā kṛtvā'kṛtvā kāryamathāpi vā /	akAryam sahasA kRtvA akRtvA kAryam aTa api vA /
   santāpo manaso yastu paścāttāpaḥ prakīrtitaḥ // BhN_16.34 //	santApaH manasaH yaH tu paScAttApaH prakIrtitaH // Bhz _16.34 //
   praśrayeṇārthasaṃyuktaṃ yatparasyānuvartanam /	praSrayeNa arTa saMyuktam yat parasya anuvartanam /
   snehāddākṣiṇyayogādvā sānuvṛttistu saṃjñitā // BhN_16.35 //	snehAt dAkziNya yogAt vA sa anuvRttiH tu saMjQitAH // Bhz _16.35 //
   prāptānāṃ yatra doṣāṇāṃ kriyate śamanaṃ punaḥ /	prAptAnAm yatra dozANAm kriyate Samanam punar /
   sā jñeyā hyupapattistu lakṣaṇaṃ nāṭakāśrayam // BhN_16.36 //	sA jQeyA hi upapattiH tu lakzaNam nAwaka ASrayam // Bhz _16.36 //
   sādhyate yo 'rthasambandho mahadbhiḥ samavāyataḥ /	sADyate yaH arTa sambanDaH mahadBiH samavAyataH /
   parasparānukūlyena sā yuktiḥ parikīrtitā // BhN_16.37 //	paraspara AnukUlyena sA yuktiH parikIrtitAH // Bhz _16.37 //
   yatrāpasārayan doṣaṃ guṇamarthena yojayet /	yatra apasArayan dozam guNam arTena yojayet /
   guṇābhivādaṃ doṣān vā kāryaṃ tallakṣaṇaṃ viduḥ // BhN_16.38 //	guNa aBivAdam dozAn vA kAryam tad lakzaNam viduH // Bhz _16.38 //
   apūrvakrodhajanitamaparādhaṃ pramṛjya yat /	apUrva kroDa janitam aparADam pramRjya yat /
   sevārthaṃ madhuraṃ vākyamanunītiḥ prakīrtitā // BhN_16.39 //	sevA arTam maDuram vAkyam anunItiH prakIrtitAH // Bhz _16.39 //
   doṣairyadanyanāmoktaiḥ prasiddhārthaiḥ prayojayet /	dozEH yat anya nAma uktEH prasidDa arTEH prayojayet /
   anyatrārthena sambaddhaṃ jñeyaṃ tat paridevanam // BhN_16.40 //	anyatra arTena sambadDam jQeyam tat paridevanam // Bhz _16.40 //
   upamā rūpakaṃ caiva dīpakaṃ yamakaṃ tathā /	upamA rUpakam ca eva dIpakam yamakam taTA /
   alaṅkārāstu vijñeyā catvāro nāṭakāśrayāḥ // BhN_16.41 //	alaFkArAH tu vijQeyA catvAraH nAwaka ASrayAH // Bhz _16.41 //
   yatkiñcit kāvyabandheṣu sādṛśyenopamīyate /	yad kiQcit kAvya banDezu sAdRSyena upamIyate /
   upamā nāma sā jñeyā guṇākṛtisamāśrayā // BhN_16.42 //	upamA nAma sA jQeyAH guNa AkRti samASrayAH // Bhz _16.42 //
   ekasyaikena sā kāryā hyanekenāthavā punaḥ /	ekasya ekena sA kAryA hi anekena aTavA punar /
   anekasya tathaikena bahūnāṃ bahubhistathā // BhN_16.43 //	anekasya taTA ekena bahUnAm bahuBiH taTA // Bhz _16.43 //
   tulyaṃ te śaśinā vaktramityekenaikasaṃśrayā /	tulyam te SaSinA vaktram iti ekena eka saMSrayAH /
   śaśāṅkavat prakāśante jyotīṃṣīti bhavettu yā // BhN_16.44 //	SaSAFka vat prakASante jyotIMzi iti Bavet tu yAH // Bhz _16.44 //
   ekasyānekaviṣayā sopamā parikīrtitā /	ekasya aneka vizayA sopamA parikIrtitA /
   śyenabarhiṇabhāsānāṃ tulyārthamiti yā bhavet // BhN_16.45 //	Syena barhiNa BAsAnAm tulya arTam iti yA Bavet // Bhz _16.45 //
   ekasya bahubhiḥ sāmyādupamā nāṭakāśrayā /	ekasya bahuBiH sAmyAt upamA nAwaka ASrayAH /
   bahūnāṃ bahubhirjñeyā ghanā iva gajā iti // BhN_16.46 //	bahUnAm bahuBiH jQeyAH GanAH iva gajAH iti // Bhz _16.46 //
   praśaṃsā caiva nindā ca kalpitā sadṛśī tathā /	praSaMsA ca eva nindA ca kalpitA sadRSI taTA /
   yā kiñcitsadṛśī jñeyā sopamā pañcadhā budhaiḥ // BhN_16.47 //	yA kiQcid sadRSI jQeyA sopamA paQcaDA buDEH // Bhz _16.47 //
   praśaṃsā yathā:	praSaMsA yaTA:
   dṛṣṭvā tu tāṃ viśālākṣīṃ tutoṣa manujādhipaḥ /	dRzwvA tu tAm viSAla akzIm tutoza manuja aDipaH /
   munibhiḥ sādhitāṃ kṛcchrāt siddhiṃ mūrtimatīmiva // BhN_16.48 //	muniBiH sADitAm kRcCrAt sidDim mUrtimatIm iva // Bhz _16.48 //
   nindā yathā:	nindA yaTA:
   sā taṃ sarvaguṇairhīnaṃ sasvaje karkaśacchavim /	sA tam sarva guNEH hInam sasvaje karkaSa= Cavim /
   vane kaṇṭakinaṃ vallī dāvadagdhamiva drumam // BhN_16.49 //	vane kaNwakinam vallI dAva dagDam iva drumam // Bhz _16.49 //
   kalpitā yathā:	kalpitAH yaTA:
   kṣaranto dānasalilaṃ lālāmantharagāminaḥ /	kzarantaH dAna salilam lAlA manTara gAminaH /
   mataṅgajā virājante jaṅgamā iva parvatāḥ // BhN_16.50 //	mataFga jAH virAjante jaFgamAH iva parvatAH // Bhz _16.50 //
   sadṛśī yathā:	sadRSI yaTA:
   yattvayādya kṛtaṃ karma paricittānurodhinā /	yat tvayA adya kRtam karma paricitta anuroDinA /
   sadṛśaṃ tattavaiva syādatimānuṣakarmaṇaḥ // BhN_16.51 //	sadRSam tat tava eva syAt ati mAnuza karmaNaH // Bhz _16.51 //
   kiñcitsadṛśī yathā:	kiQcid sadRSI yaTA:
   sampūrṇacandravadanā nīlotpaladalekṣaṇā /	sampUrNa candra vadanA nIlotpala dala IkzaNAH /
   mattamātaṅgagamanā samprāpteyaṃ sakhī mama // BhN_16.52 //	matta mAtaFga gamanA samprAptA iyam saKI mama // Bhz _16.52 //
   upamāyā budhairete bhedā jñeyāḥ samāsataḥ /	upamAyAH buDEH ete BedAH jQeyAH samAsatas /
   śeṣā ye lakṣaṇairnoktāste grāhyāḥ kāvyalokataḥ // BhN_16.53 //	SezAH ye lakzaNEH na uktAH te grAhyAH kAvya lokataH // Bhz _16.53 //
   nānādhikaraṇārthānāṃ śabdānāṃ saṃpradīpakam /	nAnA aDikaraNa arTAnAm SabdAnAm saMpradIpakam /
   ekavākyena saṃyuktaṃ taddīpakamucyate // BhN_16.54 //	eka vAkyena saMyuktam tat dIpakam ucyate // Bhz _16.54 //
   prasṛtaṃ madhuraṃ cāpi guṇaiḥ sarvairalaṅkṛtam /	prasRtam maDuram ca api guNEH sarvEH alaFkRtam /
   kāvye yannāṭake viprāstaddīpakamiti smṛtam // BhN_16.55 //	kAvye yat nAwake viprAH tat dIpakam iti smRtam // Bhz _16.55 //
   yathā:	yaTA:
   sarāṃsi haṃsaiḥ kusumaiśca vṛkṣā mattairdvirephaiśca saroruhāṇi /	sarAMsi haMsEH kusumEH ca vRkzAH mattEH dvirePEH ca saroruhANi /
   goṣṭhībhirudyānavanāni caiva tasminnaśūnyāni sadā kriyante // BhN_16.56 //	gozWIBiH udyAna vanAni ca eva tasmin= aSUnyAni sadA kriyante // Bhz _16.56 //
   svavikalpena racitaṃ tulyāvayavalakṣaṇam /	sva vikalpena racitam tulya avayava lakzaNam /
   kiñcitsādṛśyasampannaṃ yadrūpaṃ rūpakaṃ tu tat // BhN_16.57 //	kiQcid sAdRSya sampannam yat rUpam rUpakam tu tat // Bhz _16.57 //
   nānādravyānurāgādyairyadaupamyaguṇāśrayam /	nAnA dravya anurAga AdyEH yat Opamya guNa ASrayam /
   rūpanirvarṇanāyuktaṃ tadrūpakamiti smṛtam // BhN_16.58 //	rUpa nirvarNanA yuktam tat rUpakam iti smRtam // Bhz _16.58 //
   yathā:	yaTA:
   padmānanāstāḥ kumudaprahāsā vikāsinīlotpalacārunetrāḥ /	padma AnanAH tAH kumuda prahAsAH vikAsi nIlotpala cAru netrAH /
   vāpīstriyo haṃsakulairnaḥ svanadbhirvirejuranyonyamivāhvayantyaḥ //	vApI striyaH haMsa kulEH naH svanadBiH virejuH anyonyam iva AhvayantyaH //
   BhN_16.59 //	Bhz _16.59 //
   śabdābhyāsastu yamakaṃ padādiṣu vikalpitam /	Sabda aByAsaH tu yamakam pada Adizu vikalpitam /
   viśeṣadarśanañcāsya gadato me nibodhata // BhN_16.60 //	viSeza darSanaQcA asya gadataH me niboData // Bhz _16.60 //
   pādāntayamakaṃ caiva kāñcīyamakameva ca /	pAda anta yamakam ca eva kAQcI yamakam eva ca /
   samudgayamakaṃ caiva vikrāntayamakaṃ tathā // BhN_16.61 //	samudgayamakam ca eva vikrAnta yamakam taTA // Bhz _16.61 //
   yamakaṃ cakravālaṃ ca sandaṣṭayamakaṃ tathā /	yamakam cakravAlam ca sandazwayamakam taTA /
   padādiyamakañcaiva hyāmreḍitamathāpi ca // BhN_16.62 //	pada Adi yama kaQca eva hi Amrexitam aTa api ca // Bhz _16.62 //
   caturvyavasitañcaiva mālāyamakameva ca /	catur vyavasitaQca eva mAlA yamakam eva ca /
   etādṛśavidhaṃ jñeyaṃ yamakaṃ nāṭakāśrayam // BhN_16.63 //	etAdRSaviDam jQeyam yamakam nAwaka ASrayam // Bhz _16.63 //
   caturṇāṃ yatra pādānāmante syātsamamakṣaram /	caturNAm yatra pAdAnAm ante syAt samam akzaram /
   tadvai pādāntayamakaṃ vijñeyaṃ nāmato yathā // BhN_16.64 //	tat vE pAda anta yamakam vijQeyam nAmataH yaTA // Bhz _16.64 //
   dinakṣayāt saṃhṛtaraśmimaṇḍalaṃ	dina kzayAt saMhRta raSmi maNxalam
   divīva lagnaṃ tapanīyamaṇḍalam |	divi iva lagnam tapanIya maNxalam |
   vibhāti tāmraṃ divi sūryamaṇḍalaṃ	viBAti tAmram divi sUrya maNxalam
   yathā taruṇyāḥ stanabhāramaṇḍalam // BhN_16.65 //	yaTA taruNyAH stana BAra maNxalam // Bhz _16.65 //
   lokānāṃ prabhaviṣṇurdaityendragadānipātanasahiṣṇuḥ /	lokAnAm praBavizNuH dEtya indra gadA nipAtana sahizNuH /
   jayati suradaityajiṣṇurbhagavānasuravaramathanakārī viṣṇuḥ // BhN_16.66 //	jayati sura dEtya jizNuH BagavAn asura vara maTana kArI vizNuH // Bhz _16.66 //
   pādasyānte tathā cādau syātāṃ yatra same pade /	pAdasya ante taTA ca AdO syAtAm yatra same pade /
   tatkāñcīyamakaṃ caiva vijñeyaṃ sūribhiryathā // BhN_16.67 //	tat kAQcIyamakam ca eva vijQeyam sUriBiH yaTA // Bhz _16.67 //
   yāmaṃ yāmaṃ candravatīnāṃ dravatīnāṃ	yAmam yAmam candravatInAm dravatInAm
   vyaktāvyaktā sārajanīnāṃ rajanīnām |	vyakta avyaktA sArajanInAm rajanInAm |
   phulle phulle sambhramare vābhramare vā	Pulle Pulle samBramare vA aBramare vA
   rāmā rāmā vismayate ca smayate ca // BhN_16.68 //	rAmA rAmA vismayate ca smayate ca // Bhz _16.68 //
   ardhenaikena yadvṛttaṃ sarvameva samāpyate /	arDena ekena yat vRttam sarvam eva samApyate /
   samudgayamakaṃ nāma tajjñeyaṃ paṇḍitairyathā // BhN_16.69 //	samudgayamakam nAma tat jQeyam paNxitEH yaTA // Bhz _16.69 //
   ketakīkusumapāṇḍuradantaḥ	ketakI kusuma pANxura dantaH
   śobhate pravarakānanahastī |	SoBate pravara ka Anana hastI |
   ketakīkusumapāṇḍuradantaḥ	ketakI kusuma pANxura dantaH
   śobhate pravarakānanahastī // BhN_16.70 //	SoBate pravara ka Anana hastI // Bhz _16.70 //
