   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   tatra jñānāvaraṇīyaṃ darśanāvaraṇīyaṃ mohanīyamantarāyaṃ ceti ghātikarmāṇi	tatra jQAna AvaraNIyam darSana AvaraNIyam mohanIyam antarAyam ca iti GAti karmANi
   tattvajñānānna muktiriti jñānamādyaṃ karma, ārhatatantraśravaṇānna	tattva jQAnAt na muktiH iti jQAnam Adyam karma, Arhata tantra SravaNAt na
   muktiriti jñānam dvitīyaṃ, bahuṣu tīrthakarapradarśiteṣu mokṣamārgeṣu	muktiH iti jQAnam dvitIyan, bahuzu tIrTakara pradarSitezu mokza mArgezu
   viśeṣānavadhāraṇaṃ mohanīyaṃ, mokṣamārgapravṛttivighnakaraṇamantarāyam,	viSezAn avaDAraNam mohanIyan, mokza mArga pravRtti viGna karaNam antarAyam,
   imāni catvāri śreyohantṛtvāghātikarmāṇi /	imAni catvAri SreyaH hantR tva AGAti karmANi /
   athāghātīni catvāri karmāṇi vedanīyaṃ nāmikaṃ gotrikamāyuṣkamiti /	aTa aGAtIni catvAri karmANi vedanIyam nAmikam gotrikam Ayuzkam iti /
   mama veditavyaṃ tattvamastītyabhimāno vedanīyam, etannāmāhamasmītyabhimāno	mama veditavyam tattvam asti iti aBimAnaH vedanIyam, etat nAma aham asmi iti aBimAnaH 
   nāmikam, ahamatra bhavato deśikasyārhataḥ śiṣyavaṃśe praviṣṭo	nAmikam, aham atra BavataH deSikasya arhataH Sizya vaMSe pravizwaH 
   'smītyabhimāno gotrikam, śarīrasthityarthaṃ karma āyuṣkam /	asmi iti aBimAnaH gotrikam, SarIra sTiti arTam karma Ayuzkam /
   athavā śukraśoṇitamiśritamāyuṣkaṃ, tasya	aTavA Sukra SoNita miSritam AyuzkaM, tasya
   tattvajñānānukūladehapariṇāmaśaktirgotrikaṃ, śaktasya tasya	tattva jQAna anukUla deha pariNAma SaktiH gotrikaM, Saktasya tasya
   dravībhāvātmakakalalāvasthāyā budbudāvasthāyāścārambhakaḥ kriyāviśeṣo	dravIBAva Atmaka kalala avasTAyAH budbuda avasTAyAH ca AramBakaH kriyA viSezaH 
   nāmikaṃ, sakriyasya bījasya jāṭharāgnivāyubhyāmīṣadghanībhāvo vedanīyaṃ,	nAmikaM, sa kriyasya bIjasya jAWara agni vAyuByAm Izat GanIBAvaH vedanIyaM,
   tattvavedanānukūlatvāt /	tattva vedanA anukUla tvAt /
   tānyetāni tattvāvedakaśuklapudgalārthatvāghātīni /	tAni etAni tattva Avedaka Sukla pudgala arTa tva aGAtIni /
   tadetatkarmāṣṭakaṃ janmārthatvādbandha āsravādidvāreti /	tat etat karma azwakam janma arTa tvAt banDaH Asrava Adi dvAra iti /
   iyaṃ prakriyā mānyaśūnyeti dyotayati # svasamayaparikalpitāniti /.#	iyam prakriyA mAnya SUnyA iti dyotayati # sva samaya parikalpitAn iti /.#
   svīyatantrasaṃketamātrakalpitānityarthaḥ padārthānāmuktānāmanaikāntatvaṃ	svIya tantra saMketa mAtra kalpitAn iti arTaH padArTAnAmuktAnAm anEkAnta tvam
   vadantītyāha # sarvatreti.# /	vadanti iti Aha # sarvatra iti.# /
   astitvanāstitvādiviruddhadharmadvayamādāya vastumātre nyāyaṃ yojayanti /	astitva nAstitva Adi virudDa Darma dvayam AdAya vastu mAtre nyAyam yojayanti /
   saptānāmastitvādīnāṃ bhaṅgānāṃ samāhāraḥ saptabhaṅgī, tasyā nayo nyāyaḥ /	saptAnAm astitva AdInAm BaFgAnAm samAhAraH sapta BaFgI, tasyAH nayaH nyAyaH /
   ghaṭāderhi sarvātmanā sadaikarūpatve prāpyātmanāpyastyeva sa iti	Gawa AdeH hi sarva AtmanA sadA eka rUpa tve prApya AtmanA api asti eva saH iti
   tatprāptaye yatno na syāt /	tad prAptaye yatnaH na syAt /
   ato ghaṭatvādirūpeṇa kathañcidasti, prāpyatvādirūpeṇa	atas Gawa tva Adi rUpeNa kaTaQcid asti, prApya tva Adi rUpeNa
   kathañcinnāstītyevamanekarūpatvaṃ vastumātrasyāstheyamiti bhāvaḥ /	kaTaQcid nA asti iti evam aneka rUpa tvam vastu mAtrasya AsTeyam iti BAvaH /
   ke te saptabhaṅgāḥ, tānāha # syādastīti.# /	ke te sapta BaFgAH, tAn Aha # syAt asti iti.# /
   syādityavyayaṃ tiṅantapratirūpakaṃ kathañcidarthakam /	syAt iti avyayam tiFanta pratirUpakam kaTaQcid arTakam /
   syādasti /	syAt asti /
   kathañcidastītyarthaḥ /	kaTaQcid asti iti arTaH /
   evamagne 'pi /	evam agne api /
   tatra vastuno 'stitvavāñchāyāṃ syādastītyādyo bhaṅgaḥ pravartate /	tatra vastunaH astitva vAQCAyAm syAt asti ityAdyaH BaFgaH pravartate /
   nāstitvavāñchāyāṃ syānnāstīti dvitīyo bhaṅgaḥ /	nAstitva vAQCAyAm syAt na asti iti dvitIyaH BaFgaH /
   krameṇobhayavāñchāyāṃ syādasti ca nāsti ceti tṛtīyo bhaṅgaḥ /	krameNa uBaya vAQCAyAm syAt asti ca na asti ca iti tRtIyaH BaFgaH /
   yugapadubhayavāñchāyāmasti nāstīti śabdadvayasya sakṛdvakttumaśakyatvāt	yugapad uBaya vAQCAyAm asti na asti iti Sabda dvayasya sakRt vakttum aSakyatvAt
   syādavaktavya iti caturtho bhaṅgaḥ /	syAt avaktavyaH iti caturTaH BaFgaH /
   ādyacaturthabhaṅgayorvāñchāyāṃ syādasti cāvaktavyaśceti pañcamo bhaṅgaḥ /	Adya caturTa BaFgayoH vAQCAyAm syAt asti ca avaktavyaH ca iti paQcamaH BaFgaH /
   dvitīyacaturthecchāyāṃ syānnāsti cāvaktavyaśceti ṣaṣṭho bhaṅgaḥ /	dvitIya caturTa icCAyAm syAt na asti ca avaktavyaH ca iti zazWaH BaFgaH /
   tṛtīyacaturthecchāyāṃ syādasti cāvaktavyaśceti saptamo bhaṅga iti vibhāgaḥ	tRtIya caturTa icCAyAm syAt asti ca avaktavyaH ca iti saptamaH BaFgaH iti viBAgaH
   evamekatvamanekatvaṃ ceti dvayamādāya syādekaḥ syādeko 'nekaśca	evam eka tvam aneka tvam ca iti dvayam AdAya syAt ekaH syAt ekaH anekaH ca
   syādavaktavyaḥ syādeko vaktavyaḥ syādaneko 'vaktavyaḥ syādeko	syAt avaktavyaH syAt ekaH vaktavyaH syAt anekaH avaktavyaH syAt eko
   'nekaścāvaktavyaśceti, tathā syānnityaḥ syādanitya ityādyūhyam /	anekaH ca avaktavyaH ca iti, taTA syAt nityaH syAt anityaH ityAdyUhyam /
   evamanekarūpatve vastuni prāptityāgādivyavahāraḥ saṃbhavati, ekarūpatve	evam aneka rUpa tve vastuni prApti tyAga Adi vyavahAraH saMBavati, eka rUpa tve
   sarvaṃ sarvatra sarvadāstyeveti vyavahāravilopāpattiḥ syāt,	sarvam sarvatra sarvadA asti eva iti vyavahAra vilopa ApattiH syAt ,
   tasmādanaikāntaṃ sarvamityekarūpabrahmavādabādha iti prāpte	tasmAt anEkAntam sarvam iti eka rUpa brahma vAda bADaH iti prApte
   siddhāntayati # atreti.# /	sidDAntayati # atra iti.# /
   yadasti tat sarvatra sarvadāstyeva yathā brahmātmā /	yat asti tat sarvatra sarvadA asti eva yaTA brahma AtmA /
   na caivaṃ tatprāptaye yatno na syāditi vācyam, aprāptibhrāntyā	na ca evam tad prAptaye yatnaH na syAt iti vAcyam, aprApti BrAntyA
   yatnasaṃbhavāt /	yatna saMBavAt /
   yannāsti tannāstyeva, yathā śaśaviṣāṇādi /	yat na asti tat na asti eva, yaTA SaSa vizANa Adi /
   prapañcastūbhayavilakṣaṇa evetyekāntavāda eva yukto nānaikāntavādaḥ /	prapaQcaH tu uBaya vilakzaNaH eva iti ekAnta vAdaH eva yuktaH nAnA ekAnta vAdaH /
   tathāhi kiṃ yenākāreṇa vastunaḥ sattvaṃ tenaivākāreṇāsattvamutākārāntareṇa	taTA hi kim yena AkAreNa vastunaH sattvam tena eva AkAreNa asattva muta AkAra antareNa
   dvitīye vastuna ākārāntaramevāsaditi vastunaḥ sadaikarūpatvameva /	dvitIye vastunaH AkAra antaram eva asat iti vastunaH sadA eka rUpa tvam eva /
   nahi dūrasthagrāmasya prāpterasattve grāmo 'pyasan bhavati, prāpyāsattve	na hi dUra sTa grAmasya prApteH asattve grAmaH api asan Bavati, prApya asattve
   prāptiyatnānupapatteḥ /	prApti yatna anupapatteH /
   ato yathāvyavahāraṃ prapañcasyaikarūpatvamāstheyam /	atas yaTAvyavahAram prapaQcasya eka rUpa tvam AsTeyam /
   nādya ityāha # nāyamiti.# /	na adyaH iti Aha # na ayam iti.# /
   nanu vimatamanaikātmakaṃ, vastutvāt, nārasiṃhavaditi cet /	nanu vimata m ana eka AtmakaM, vastu tvAt, nArasiMha vat iti ced /
   na /	na /
   ghaṭa idānīmastyevetyanubhavabādhāt /	GawaH idAnIm asti eva iti anuBava bADAt /
   kiñca jīvādipadārthānāṃ saptatvaṃ jīvatvādirūpaṃ cāstyeva nāstyeveti ca	kiQca jIva Adi padArTAnAm sapta tvam jIva tu Adi rUpam ca asti eva na asti eva iti ca
   niyatamutāniyatam /	niyata muta aniyatam /
   ādye vyabhicāra ityāha # ya iti.# /	Adye vyaBicAraH iti Aha # yaH iti.# /
   dvitīye padārthaniścayo na syādityāha # itaratheti.# /	dvitIye padArTa niScayaH na syAt iti Aha # itaraTA iti.# /
   anaikāntaṃ sarvamityeva niścaya iti śaṅkate # nanviti.# /	anEkAntam sarvam iti eva niScayaH iti SaFkate # nanu iti.# /
   tasya niścayarūpatvaṃ niyatamaniyataṃ vā /	tasya niScaya rUpa tvam niyatam aniyatam vA /
   ādye vastutvasya tasminnevaikarūpe niścaye vyabhicāraḥ /	Adye vastu tvasya tasmin= eva eka rUpe niScaye vyaBicAraH /
   dvitīye tasya saṃśayatvaṃ syādityāha # neti brūma iti.# /	dvitIye tasya saMSaya tvam syAt iti Aha # na iti brUmaH iti.# /
   pramāyāmuktanyāyaṃ pramātrādāvatidiśati # evamiti.# /	pramAya amukta nyAyam pramAtR AdO= atidiSati # evam iti.# /
   nirdhāraṇaṃ phalaṃ yasya pramāṇādestasyetyarthaḥ /	nirDAraNam Palam yasya pramANa AdeH tasya iti arTaH /
   ityevaṃ sarvatrānirdhāraṇe satyupadeśo niṣkampapravṛttiśca na syādityāha #	iti evam sarvatra anirDAraNe sati upadeSaH nizkampa pravRttiH ca na syAt iti Aha #
   evaṃsatīti.# /	evaMsati iti.# /
   anaikāntavāde astikāyapañcatvamapi na syādityāha # tathā pañcānāmiti.# /	anEkAnta vAde astikAya paQcatvam api na syAt iti Aha # taTA paQcAnAm iti.# /
   yaduktamavaktavyatvaṃ tat kiṃ kenāpi śabdenāvācyatvamuta	yat uktam avaktavya tvam tat kim kena api Sabdena avAcya tvam uta
   sakṛdanekaśabdāvācyatvam /	sakRt aneka Sabda avAcya tvam /
   nādyaḥ, vyāghātādityāha # na caiṣāmiti.# /	na AdyaH, vyAGAtAt iti Aha # na ca ezAm iti.# /
   ucyante ca /	ucyante ca /
   avaktavyādipadairiti śeṣaḥ /	avakta vyAdi padEH iti SezaH /
   na dvitīyaḥ, sakṛdekavaktṛmukhajānekaśabdānāmaprasiddherniṣedhāyogāt,	na dvitIyaH, sakRt eka vaktR muKa jAneka SabdAnAm aprasidDeH nizeDa ayogAt,
   śeṣasyāpi mukhabhedāt /	Sezasya api muKa BedAt /
   na cārthasya yugapadviruddhadharmavāñchāyāṃ	na ca arTasya yugapad virudDa Darma vAQCAyAm
   vakturmūkatvamātramavaktavyapadena vivakṣitamiti vācyaṃ, tādṛśavāñchāyā	vaktuH mUka tva mAtram avaktavya padena vivakzitam iti vAcyaM, tAdRSa vAQCAyA
   evānutpattiriti /	eva anutpattiH iti /
   kiñca viruddhānekapralāpitvādarhannanāpta ityāha # ucyamānāścetyādinā.# /	kiQca virudDa aneka pralApi tvAt arhan= anAptaH iti Aha # ucyamAnAH ca ityAdinA a.# /
   iti ca pralapannityanvayaḥ /	iti ca pralapan= iti anvayaH /
   arhanniti śeṣaḥ /	arhan= iti SezaH /
   anāptapakṣasyaivāntargataḥ syānnāptapakṣasyetyarthaḥ /	anApta pakzasya eva antargataH syAt na Apta pakzasya iti arTaH /
   itaścāsaṃgato 'naikāntavāda ityāha # svargeti /.#	itas ca asaMgataH anEkAnta vAdaH iti Aha # svarga iti /.#
   kiñcānādisiddhor'hanmuniḥ, anye tu hetvanuṣṭhānānmucyante,	kiQca anAdi sidDoH ahat muniH, anye tu hetu anuzWAnAt mucyante,
   ananuṣṭhānādbadhyanta ityārhatatantrāvadhṛtasvabhāvānāṃ trividhajīvānāṃ	ananuzWAnAt baDyantaH iti Arhata tantra avaDRta svaBAvAnAm triviDa jIvAnAm
   traividhyaniyamo 'pi na syādityāha # anādīti.# /	trEviDya niyamaH api na syAt iti Aha # anAdi iti.# /
   prapañcitaṃ sūtrārthaṃ nigamayati # evamiti.# /	prapaQcitam sUtra arTam nigamayati # evam iti.# /
   # eteneti.# /	# etena iti.# /
   sattvāsattvayorekatra nirāsenetyarthaḥ /	sattva asattvayoH ekatra nirAsena iti arTaH /
   paramāṇusaṃghātāḥ pṛthivyādaya iti /	paramANu saMGAtAH pRTivI AdayaH iti /
   digambarasiddhāntaḥ kimiti sūtrakṛtopekṣitaḥ, tatrāha # yattviti.# //33//	digambara sidDAntaH kim iti sUtra kRta upekzitaH, tatra Aha # yat tu iti.# //33//
   END BsRp_2,2.6.35	END BsRp _2,2.6.35
   START BsRp_2,2.6.34ḥ	START BsRp _2,2.6.34H
   evaṃ cātmākārtsnyam | BBs_2,2.34 |	evam ca AtmA AkArtsnyam | BBH _2,2.34 |
   jīvasya dehaparimāṇatāṃ dūṣayati # evaṃ ceti.# /	jIvasya deha parimANa tAm dUzayati # evam ca iti.# /
   akārtsnyaṃ madhyamaparimāṇatvam /	akArtsnyam maDyama parimANa tvam /
   tenānityatvaṃ syādityarthaḥ /	tena anitya tvam syAt iti arTaH /
   arthāntaramāha # śarīrāṇāṃ ceti.# /	arTa antaram Aha # SarIrANAm ca iti.# /
   vipākaḥ karmaṇāmabhivyaktiḥ /	vipAkaH karmaNAm aBivyaktiH /
   jīvasya kṛtsnagajaśarīravyāpitvamakārtsnyam /	jIvasya kRtsna gaja SarIra vyApi tvam akArtsnyam /
   śarīraikadeśo nirjīvaḥ syādityarthaḥ /	SarIra eka deSaH nirjIvaH syAt iti arTaH /
   puttikādehe kṛtsno jīvo na praviśet /	puttikA dehe kRtsnaH jIvaH na praviSet /
   dehādbahirapi jīvaḥ syādityarthaḥ /	dehAt bahis api jIvaH syAt iti arTaH /
   kiñca bāladehamātra ātmā tataḥ sthūle yuvadehe kvacit syāditi kṛtsnadehaḥ	kiQca bAla deha mAtraH AtmA tatas sTUle yuva dehe kvacid syAt iti kRtsna dehaH
   sajīvo na syādityāha # samāna iti.# /	sa jIvaH na syAt iti Aha # samAnaH iti.# /
   yathā dīpāvayavānāṃ ghaṭe saṃkoco gehe vikāsastathā jīvāvayavānāmiti	yaTA dIpa avayavAnAm Gawe saMkocaH gehe vikAsaH taTA jIva avayavAnAm iti
   dehamānatvaniyamaṃ śaṅkate # syāditi.# /	deha mAna tva niyamam SaFkate # syAt iti.# /
   dīpāṃśavajjīvāṃśā bhinnadeśā ekadeśā veti vikalpyādye 'lpadehādbahirapi	dIpa aMSa vat jIva aMSAH Binna deSA eka deSA vA iti vikalpya Adye alpa dehAt bahis api
   jīvaḥ syāditi dūṣayati # teṣāmityādinā.# /	jIvaH syAt iti dUzayati # tezAm ityAdinA.# /
   dīpasya tu na ghaṭādbahiḥ sattvamadhikāvayavānāṃ vināśāt /	dIpasya tu na GawAt bahis sattvam aDika avayavAnAm vinASAt /
   dvitīyaṃ dūṣayati # apratighāta iti.# /	dvitIyam dUzayati # apratiGAtaH iti.# /
   avayavānāṃ nityatvaṃ cāsiddhamalpatvāddīpāṃśavadityāha # apiceti.# //34//	avayavAnAm nitya tvam ca asidDam alpa tvAt dIpa aMSa vat iti Aha # apicA iti.# //34//
   END BsRp_2,2.6.34	END BsRp _2,2.6.34
   START BsRp_2,2.6.35ḥ	START BsRp _2,2.6.35H
   na ca paryāyād apy avirodho vikārādibhyaḥ | BBs_2,2.35 |	na ca paryAyAt api aviroDaH vikAra AdiByaH | BBH _2,2.35 |
   evaṃ jīvāvayavā nityā itimate dehamānatvaṃ nirastam /	evam jIva avayavAH nityAH itimate deha mAna tvam nirastam /
   saṃprati jīvasya kecideva kūṭasthā avayavā anye tvāgamāpāyina iti	saMprati jIvasya kecid eva kUwasTAH avayavAH anye tu Agama apAyinaH iti
   śaṅkate # atheti.# /	SaFkate # aTa iti.# /
   bṛhattanukāyāptau jīvasyāvayavāgamāpāyābhyāṃ dehamānatvamityarthaḥ /	bRhat tanu kAya AptO jIvasya avayava Agama apAyAByAm deha mAna tvam iti arTaH /
   sūtreṇa pariharati # naceti.# /	sUtreNa pariharati # naca iti.# /
   āgamāpāyau paryāyaḥ /	Agama apAyO paryAyaH /
   kimāgamāpāyināmavayavānāmātmatvamasti na vā /	kim Agama apAyinAm avayavAnAm Atma tvam asti na vA /
   ādye āha # vikārādidoṣeti.# /	Adye Aha # vikAra Adi doza iti.# /
   ko 'sau bandhamokṣābhyupagama ityata āha # karmāṣṭaketi.# /	kaH asO banDa mokza aByupagamaH iti atas Aha # karma azwaka iti.# /
   vyākhyātametat /	vyAKyAtam etat /
   ādye kalpe doṣāntaraṃ vadan kalpāntaramādāya dūṣayati # kiñceti.# /	Adye kalpe doza antaram vadan kalpa antaram AdAya dUzayati # kiQca iti.# /
   avaśiṣṭakūṭasthāvayavasya durjñānatvādātmajñānābhāvānna muktirityarthaḥ /	avaSizwa kUwa sTAvayavasya durjQAna tvAt Atma jQAna aBAvAt na muktiH iti arTaH /
   yathā	yaTA
   dīpāvayavanāmākārastejastathātmāvayavanāmākārakāraṇābhāvānnāgamāpāyau	dIpa avayava nAmAkAraH tejaH taTA Atma avayava nAma AkAra kAraNA BAva at na Agama apAyO
   yuktāvityāha # kiñceti.# /	yuktO= iti Aha # kiQca iti.# /
   sarvajīvasādhāraṇaḥ pratijīvamasādhāraṇo vetyarthaḥ /	sarva jIva sADAraNaH pratijIvam asADAraNaH vA iti arTaH /
   kiñcātmana āgamāpāyiśīlāvayavatve sati kiyanta āyāntyavayavāḥ kiyanto	kiQca AtmanaH Agama apAyi SIla avayava tve sati kiyante AyAnti avayavAH kiyantaH 
   'payantītyajñānādātmaniścayābhāvādanirmokṣaḥ syādityāha # kiñceti.# /	apayanti iti ajQAnAt Atma niScaya aBAvAt anirmokzaH syAt iti Aha # kiQca iti.# /
   api cāvayavārabdhāvayavitve jīvasyānityatvam, avayavasamūhatve cāsattvaṃ,	api ca avayava ArabDa avayavi tve jIvasya anitya tvam, avayava samUha tve ca asattvaM,
   ātmatvasya yāvadavayavavṛttitve yatkiñcidavayavāpāye 'pi sadyaḥ	Atma tvasya yAvat avayava vRtti tve yat kiQcid avayava apAye api sadyas 
   śarīrasyācetanatvaṃ, gotvavatpratyekaṃ samāptāvekasmiñcharīra ātmanānātvaṃ	SarIrasya acetana tvan, go tva vat pratyekam samAptO= ekasmin SarIraH AtmanAnAtvam
   syādato na dehaparimāṇatvasāvayavatve ātmana ityupasaṃharati # ata iti.# /	syAt atas na deha parimANa tva sAvayava tve AtmanaH iti upasaMharati # atas iti.# /
   sūtrasyārthāntaramāha # athaveti.# /	sUtrasya arTa antaram Aha # aTavA iti.# /
   sthūlasūkṣmaśarīraprāptāvakārtsnyoktidvāreṇātmānityatāyāmuktāyāṃ	sTUla sUkzma SarIra prAptO= akArtsnya ukti dvAreNa Atma anitya tAyAmuktAyAm
   sugatavatsaṃtānarūpeṇātmanityatāmāśaṅkyānenottaramucyata ityanvayaḥ /	sugata vat saMtAna rUpeNa Atma nitya tAm ASaFkyAnena uttaram ucyate iti anvayaH /
   paryāyeṇetyasya vyākhyā# srota iti.# /	paryAyeNa iti asya vyAKyA# srotaH iti.# /
   dehabhedena parimāṇasyātmanaścānavasthāne 'pi nāśe 'pi /	deha Bedena parimANasya AtmanaH ca anavasTAne api nASe api /
   srotaḥ pravāhaḥ /	srotaH pravAhaH /
   tadātmakasyātmavyaktisaṃtānasya nityatayātmanityatā syādityatra	tad Atmakasya Atma vyakti saMtAnasya nitya tayA Atma nityatA syAt iti atra
   dṛṣṭāntamāha # yatheti.# /	dRzwAntam Aha # yaTA iti.# /
   sig vastraṃ vigataṃ yebhyaste visico digambarāsteṣāmityarthaḥ /	sic vastram vigatam yeByaH te visicaH digambarAH tezAm iti arTaH /
   paryāyāt saṃtānādapyātmanityatvasyāvirodha iti na ca /	paryAyAt saMtAnAt api Atma nitya tvasya aviroDaH iti na ca /
   kutaḥ /	kutas /
   vikārādibhyaḥ /	vikAra AdiByaH /
   saṃtānasyāvastunaḥ ātmatve śūnyavādaḥ, saṃtānasya vastutve saṃtānyatireke	saMtAnasya avastunaH Atma tve SUnya vAdaH, saMtAnasya vastu tve saMtAnyatireke
   ca kūṭasthātmavādaḥ, anatireke janmādivikāro vināśo muktyabhāva	ca kUwasTa Atma vAdaH, anatireke janma Adi vikAraH vinASaH mukti aBAva
   ityuktadoṣaprasaṅgāt saṃtānātmapakṣo 'nupapanna iti sūtrārthaḥ //35//	iti ukta doza prasaFgAt saMtAna Atma pakzaH anupapannaH iti sUtra arTaH //35//
   END BsRp_2,2.6.35	END BsRp _2,2.6.35
   START BsRp_2,2.6.36ḥ	START BsRp _2,2.6.36H
   antyāvasthiteś cobhayanityatvād aviśeṣaḥ | BBs_2,2.36 |	antya avasTiteH ca uBaya nitya tvAt aviSezaH | BBH _2,2.36 |
   yaṃ sthūlaṃ vā sūkṣmaṃ vā dehaṃ gṛhṇāti taddehaparimāṇa eva jīva iti	yam sTUlam vA sUkzmam vA deham gRhNAti tad deha parimANaH eva jIvaH iti
   niyamaṃ dūṣayati # antyeti.# /	niyamam dUzayati # antya iti.# /
   antyaśarīraparimāṇasyāvasthiternityatvadarśanādubhayorādyamadhyamaparimāṇayornityatvaprasaṅgādaviśeṣastrayāṇāṃ	antya SarIra parimANasya avasTiteH nitya tva darSanAt uBayoH Adya maDyama parimANayoH nitya tva prasaFgAt aviSezaH trayANAm
   nityaparimāṇānāṃ sāmyaṃ syādviruddhaparimāṇānāmekatrāyogāditi sūtrayojanā	nitya parimANAnAm sAmyam syAt virudDa parimANAnAm ekatra ayogAt iti sUtra yojanA
   ādyamadhyamaparimāṇe nitye, ātmaparimāṇatvāt, antyaparimāṇavat /	Adya maDyama parimANe nitye, Atma parimANa tvAt, antya parimANa vat /
   na cāprayojakatā, parimāṇanāśe satyātmano 'pi	na ca aprayojaka tA, parimANa nASe satya AtmanaH api
   nāśādantyaparimāṇanityatvāyogāditi bhāvaḥ /	nASAdantya parimANa nitya tva ayogAt iti BAvaH /
   parimāṇatrayasāmyāpādānaphalamāha # eketi.# /	parimANa traya sAmya apAdAna Palam Aha # eka iti.# /
   antyaśarīrasāmānyeva pūrvaśarīrāṇi syuḥ,	antya SarIra sAmAni eva pUrva SarIrANi syuH,
   viṣamaśarāraprāptāvātmanaḥstatparimāṇatve	vizama SarAra prAptO= AtmanaHH tad parimANa tve
   parimāṇatrayasāmyānumānavirodhādityarthaḥ /	parimANa traya sAmya anumAna viroDAt iti arTaH /
   pūrvaṃ kālatraye parimāṇatrayamaṅgīkṛtyāntyadṛṣṭāntena nityatvamanumāya	pUrvam kAla traye parimANa trayam aFgIkRtya antya dRzwAntena nitya tvam anumAya
   sāmyamāpāditam /	sAmyam ApAditam /
   saṃpratyantyasya	saMprati antyasya
   muktaparimāṇasyāṇutvasthūlatvayoranyataratvenāvasthitestadevāntyamādyamadhyamakālayorapi	mukta parimANasya aNu tva sTUla tvayoH anyatara tvena avasTiteH tat eva antyam Adya maDyama kAlayoH api
   nityatvātsyāt prāgasato nityatvāyogāt, tathā cāviśeṣaḥ kālatraye 'pi	nitya tvAt syAt prAc asataH nitya tva ayogAt, taTA ca aviSezaH kAla traye api
   jīvaparimāṇābheda ityāha # athaveti.# /	jIva parimANa aBedaH iti Aha # aTavA iti.# /
   tasmādbhrāntyekaśaraṇakṣapaṇakasiddhāntenāvirodhaḥ samanvayasyeti siddham	tasmAt BrAnti eka SaraNa kzapaNaka sidDAntena aviroDaH samanvayasya iti sidDam
   END BsRp_2,2.6.36	END BsRp _2,2.6.36
   START BsRp_2,2.7.37ḥ	START BsRp _2,2.7.37H
   patyur asāmañjasyāt | BBs_2,2.37 |	patyuH asAmaQjasyAt | BBH _2,2.37 |
   # patyurasāmañjasyāt.# /	# pati urasAm aQjasyAt.# /
   luñcitakeśamatanirasanānantaraṃ jaṭādhāriśaivamataṃ buddhisthaṃ	luQcita keSa mata nirasana anantaram jawA DAri Sa eva matam budDi sTam
   nirākriyata iti prasaṅgasaṃgatimāha # idānīmiti /.#	nirAkriyate iti prasaFga saMgatim Aha # idAnIm iti /.#
   sāmānyata īśvaranirāsa evātra kiṃ na syāditi śaṅkate # taditi /.#	sAmAnyatas ISvara nirAse eva atra kim na syAt iti SaFkate # tat iti /.#
   svoktivirodhānmaivamityāha # prakṛtiścetyādinā.# /	sva ukti viroDAt mA evam iti Aha # prakRtiH ca ityAdinA.# /
