   (PSP_2 3:1)	(PSu _2 3:1)
   dhārayed vācayet paryavāpnuyād yoniśaś ca manasikuryāt parebhyaś ca	DArayet vAcayet paryavApnuyAt yoniSas ca manasikuryAt pareByaH ca
   saṃprakāśayet tāṃ ca likhitāṃ satkuryād gurukuryād mānayet pūjayet	saMprakASayet tAm ca liKitAm satkuryAt gurukuryAt mAnayet pUjayet 
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ ayaṃ sa	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH ayam sa
   kauśika kulaputro vā kuladuhitā vā tato nidānaṃ bahutaraṃ puṇyaṃ prasavet.	kOSika kula putraH vA kula duhitA vA tatas nidAnam bahutaram puNyam prasavet .
   na tv eva yaḥ samantād daśasu dikṣu sarvalokadhātuṣu tathāgatān arhataḥ	na tu eva yaH samantAt daSasu dikzu sarva loka DAtuzu taTAgatAn arhataH
   samyaksaṃbuddhān satkuryād gurukuryād mānayet pūjayet saśrāvakasaṃghāṃś	samyaksaMbudDAn satkuryAt gurukuryAt mAnayet pUjayet sa SrAvaka saMGAn= 
   cīvarapiṇḍapātaśayanāśanaglānapratyayabhaiṣajyapariṣkāraiḥ parinirvṛtānāṃ	cIvara piNxapAta SayanASana glAna pratyaya BEzajya parizkArEH parinirvRtAnAm
   ca teṣāṃ tathāgatānām arhatāṃ samyaksaṃbuddhānāṃ saśrāvakasaṃghānāṃ	ca tezAm taTAgatAnAm arhatAm samyaksaMbudDAnAm sa SrAvaka saMGAnAm
   saptaratnamayān stūpān kārayet, tāṃś ca satkuryād gurukuryād mānayet	sapta ratna mayAn stUpAn kArayet, tAn ca satkuryAt gurukuryAt mAnayet 
   pūjayet puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ.	pUjayet puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH.
   iti parārthādhimuktir mṛdumṛddhi stūpasatkāraparivarto nāma tṛtīyaḥ	iti parArTa aDimuktiH mRdum RdDi stu upasatkAraparivartaH nAma tRtIyaH
   atha khalu bhagavān śakraṃ devānām indram etad avocat: yady ayaṃ kauśika	aTa Kalu BagavAn Sakram devAnAm indram etat avocat: yadi ayam kOSika
   jambudvīpaḥ paripūrṇaś cūḍikābaddhas tathāgataśarīrāṇāṃ bhavet, tāni te	jambudvIpaH paripUrNaH cUxikA badDaH taTAgata SarIrANAm Bavet, tAni te
   kaścid eva kulaputro vā kuladuhitā vā upanāmayed, yaś cemāṃ te	kaScid eva kula putraH vA kula duhitA vA upanAmayed, yaH ca imAm te
   prajñāpāramitām upanāmayet, tatas tvaṃ tayor dvayor bhāgayoḥ sthāpitayoḥ	prajQApAramitAm upanAmayet, tatas tvam tayoH dvayoH BAgayoH sTApitayoH
   kaṃ parigṛhṇīyāḥ?	kam parigRhNIyAH?
   śakra āha: saced me bhagavann ayaṃ jambudvīpaḥ paripūrṇaś cūḍikābaddhas	SakraH Aha: saced me Bagavan ayam jambudvIpaH paripUrNaH cUxikA badDa s
   tathāgataśarīrāṇām upanāmyeta, iyaṃ ca prajñāpāramitā pustakalikhitāṃ	taTAgata SarIrANAm upanAmi eta, iyam ca prajQApAramitA pusta kaliKitAm
   kṛtvā upanāmyeta parikalpam upādāya imām evāhaṃ tayor dvayor (PSP_2 3:88)	kRtvA upanAmyeta parikalpam upAdAya imAm eva aham tayoH dvayoH (PSu _2 3:88)
   bhāgayoḥ sthāpitayoḥ prajñāpāramitāṃ parigṛhṇīyāṃ. tat kasya hetor? na	BAgayoH sTApitayoH prajQApAramitAm parigRhNIyAn. tat kasya hetor? na
   mama bhagavaṃs teṣu tathāgataśarīreṣv agauravaṃ, nāhaṃ bhagavaṃs	mama Bagavan tezu taTAgata SarIrezu agOravaM, na aham Bagavan= 
   tathāgataśarirāṇi na satkartukāmo na gurukartukāmo na mānayitukāmo na	taTAgata SarirANi na sat kartu kAmaH na guru kartu kAmaH na mAnayitu kAmaH na
   pūjayitukāmo. api tu khalu punar me bhagavann evaṃ syāt	pUjayitu kAmo. api tu Kalu punar me Bagavan evam syAt 
   prajñāpāramitānirjātāni tathāgataśarirāṇi yena tāni satkriyante	prajQApAramitA nirjAtAni taTAgata SarirANi yena tAni satkriyante
   gurukriyante mānyante pūjyante, prajñāpāramitāparibhāvitāni	gurukriyante mAnyante pUjyante, prajQApAramitA pariBAvitAni
   tathāgataśarīrāṇi yena tāni pūjāṃ labhante.	taTAgata SarIrANi yena tAni pUjAm laBante.
   atha khalv āyuṣmān śāriputraḥ śakraṃ devānām indram etad avocat:	aTa Kalu AyuzmAn SAriputraH Sakram devAnAm indram etat avocat :
   prajñāpāramitā kauśika agrāhyā anidarśanā apratighā ekalakṣaṇā yad	prajQApAramitA kOSika agrAhyAH anidarSanAH apratiGA eka lakzaNAH yat 
   utālakṣaṇā. tat kathaṃ tvam agrāhyāṃ prajñāpāramitām anidarśanām	uta alakzaNA. tat kaTam tvam agrAhyAm prajQApAramitAm anidarSanAm
   apratighām ekalakṣaṇāṃ yad utālakṣaṇām udgrahītavyāṃ manyase?	apratiGAm eka lakzaNAm yat uta alakzaNAm udgrahItavyAm manyase?
   tat kasya hetor? na hi prajñāpāramitā grahāya anugrahāya vā sthitā, na	tat kasya hetor? na hi prajQApAramitA grahAya anugrahAya vA sTitA, na
   hānāya na vṛddhaye notkṣepāya na vikṣepāya na saṃkleśāya na vyavadānāya,	hAnAya na vRdDaye na utkzepAya na vikzepAya na saMkleSAya na vyavadAnAya,
   na buddhadharmāṇāṃ dāyikā, na pṛthagjanadharmāṇāṃ cchorikā, na	na budDa DarmANAm dAyikA, na pRTagjana DarmANAm cCorikA, na
   bodhisattvadharmāṇāṃ na pratyekabuddhadharmāṇāṃ na śrāvakadharmāṇāṃ na	boDisattva DarmANAm na pratyekabudDa DarmANAm na SrAvaka DarmANAm na
   śaikṣadharmāṇāṃ nāśaikṣadharmāṇāṃ dāyikā, na saṃskṛtadhāto dāyikā,	SEkza DarmANAm na aSEkza DarmANAm dAyikA, na saMskRta DAtaH dAyikA,
   nāsaṃskṛtadhāto dāyikā, nādhyātmaśūnyatāyā yāvan nābhāvasvabhāvaśūnyatāyā	na asaMskRta DAtaH dAyikA, na aDyAtma SUnyatAyAH yAvat na aBA= a svaBAva SUnyatAyA
   dātrī, na pāramitānāṃ na	dAtrI, na pAramitAnAm na
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgāṇāṃ	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgANAm
   nāpramāṇadhyānārūpyasamāpattīnāṃ na balavaiśāradyapratisaṃvidāṃ	na apramANa DyAna ArUpya samApattInAm na bala vESAradya pratisaMvidAm
   nāṣṭādaśānām āveṇikānāṃ buddhadharmāṇāṃ dātrī, na sarvajñatāyā dātrī.	na azwAdaSAnAm AveNikAnAm budDa DarmANAm dAtrI, na sarvajQa tAyAH dAtrI.
   śakra āha: evam etad bhadanta śāriputra yathā vadasi na prajñāpāramitā	SakraH Aha: evam etat Badanta SAriputra yaTA vadasi na prajQApAramitA
   buddhadharmāṇāṃ dātrī yāvan na sarvajñatāyā dātrī. tat kasya hetor? na hi	budDa DarmANAm dAtrI yAvat na sarvajQa tAyAH dAtrI. tat kasya hetor? na hi
   prajñāpāramitā dvayaṃ pratyupasthitā, advayā hi prajñāpāramitā, evaṃ	prajQApAramitA dvayam pratyupasTitA, advayAH hi prajQApAramitA, evam
   dhyānapāramitā vīryapāramitā kṣāntipāramitā śīlapāramitā, dānapāramitā na	DyAna pAramitA vIrya pAramitA kzAnti pAramitA SIla pAramitA, dAna pAramitA na
   dvayaṃ pratyupasthitā, advayā hi dānapāramitā.	dvayam pratyupasTitA, advayAH hi dAna pAramitA.
   atha khalu bhagavān śakrasya devānām indrasya sādhukāram adāt: sādhu sādhu	aTa Kalu BagavAn Sakrasya devAnAm indrasya sADu kAram adAt: sADu sADu
   kauśika evam etad yathā nirdiśasi na prajñāpāramitā dvayaṃ pratyupasthitā,	kOSika evam etat yaTA nirdiSasi na prajQApAramitA dvayam pratyupasTitA,
   advayā hi prajñāpāramitā, evaṃ dhyānapāramitā vīryapāramitā,	advayA hi prajQApAramitA, evam DyAna pAramitA vIrya pAramitA,
   kṣāntipāramitā śīlapāramitā, dānapāramitā na dvayaṃ pratyupasthitā, advayā	kzAnti pAramitA SIla pAramitA, dAna pAramitA na dvayam pratyupasTitA, advayA
   hi dānapāramitā.	hi dAna pAramitA.
   dharmadhātoḥ sa kauśika dvayam icched yaḥ prajñāpāramitāyā dvayam icchet.	DarmaDAtoH sa kOSika dvayam icCet yaH prajQApAramitAyAH dvayam icCet .
   tat kasya hetos? tathā hi kauśika dharmadhātuś ca prajñāpāramitā	tat kasya hetos? taTA hi kOSika DarmaDAtuH ca prajQApAramitA
   (PSP_2 3:89) cādvayam etad advaidhīkāram, evaṃ dhyānapāramitā ca	(PSu _2 3:89) ca advayam etat at vEDIkAram, evam DyAna pAramitA ca
   vīryapāramitā ca kṣāntipāramitā ca śīlapāramitā ca, dharmadhātuś ca	vIrya pAramitA ca kzAnti pAramitA ca SIla pAramitA ca, DarmaDAtuH ca
   dānapāramitā cādvayam etad advaidhīkāram.	dAna pAramitA ca advayam etat advEDIkAram.
   tathatāyāḥ sa kauśika dvayam icched yaḥ prajñāpāramitāyā dvayam icchet,	taTatAyAH sa kOSika dvayam icCet yaH prajQApAramitAyAH dvayam icCet ,
   tat kasya hetos? tathā hi kauśika tathatā ca prajñāpāramitā cādvayam etad	tat kasya hetos? taTA hi kOSika taTatA ca prajQApAramitA ca advayam etat 
   advaidhīkāram, evaṃ dhyānapāramitā ca vīryapāramitā ca kṣāntipāramitā ca	advEDIkAram, evam DyAna pAramitA ca vIrya pAramitA ca kzAnti pAramitA ca
   śīlapāramitā ca, tathatā ca dānapāramitā cādvayam etad advaidhīkāram.	SIla pAramitA ca, taTatA ca dAna pAramitA ca advayam etat advEDIkAram.
   bhūtakoṭer acintyadhātoḥ sa kauśika dvayam icched yaḥ prajñāpāramitāyā	BUtakoweH acintya DAtoH sa kOSika dvayam icCet yaH prajQApAramitAyAH 
   dvayam icchet, tat kasya hetos? tathā hi kauśika bhūtakoṭiś cācintyadhātuś	dvayam icCet, tat kasya hetos? taTA hi kOSika BUtakowiH ca acintya DAtu H 
   ca prajñāpāramitā cādvayam etad advaidhīkāram, evaṃ dhyānapāramitā ca	ca prajQApAramitA ca advayam etat at vEDIkAram, evam DyAna pAramitA ca
   vīryapāramitā ca kṣāntipāramitā ca śīlapāramitā ca, bhūtakoṭiś	vIrya pAramitA ca kzAnti pAramitA ca SIla pAramitA ca, BUtakowiH 
   cācintyadhātuś ca dānapāramitā cādvayam etad advaidhīkāram.	ca acintya DAtuH ca dAna pAramitA ca advayam etat advEDIkAram.
   śakra āha: namaskaromi bhagavan prajñāpāramitāṃ sadevamānuṣāsureṇa lokena	SakraH Aha: namaskaromi Bagavan prajQApAramitAm sa deva mAnuza asureNa lokena
   namaskṛtāṃ yatra śikṣitvā bodhisattvo mahāsattvo 'nuttarāṃ samyaksaṃbodhim	namaskRtAm yatra SikzitvA boDisattvaH mahAsattvaH anuttarAm samyaksaMboDim
   abhisaṃbudhyate. yadāhaṃ bhagavan sudharmāyāṃ devasabhāyāṃ tasmin	aBisaMbuDyate. yadA aham Bagavan suDarmAyAm deva saBAyAm tasmin
   devendrāsane niṣaṇṇo bhavāmi svake āsane tatra ye devaputrā	deva indra Asane nizaNNaH BavAmi svake Asane tatra ye deva putrA
   mamopasthānāyāgacchanti te māṃ tatra sthaṃ namasyanti. yadāhaṃ tatra na	mama upasTAnAya AgacCanti te mAm tatra sTam namasyanti. yadA aham tatra na
   bhavāmi svake siṃhāsane tadā te devaputrās tat mamāsanaṃ namaskṛtya punar	BavAmi svake siMhAsane tadA te deva putrAH tat mama Asanam namaskRtya punar 
   eva prakrāmanti, iha śakro devānām indro dharmāsane niṣaṇṇas	eva prakrAmanti, iha SakraH devAnAm indraH Darma Asane nizaNNas
   trāyastriṃśānāṃ devānāṃ dharmaṃ deśayāmāseti.	trAyastriMSAnAm devAnAm Darmam deSayAmAsa iti.
   evam eva bhagavan yatreyaṃ prajñāpāramitā likhitvā sthāsyate svādhyāsyate	evam eva Bagavan yatra iyam prajQApAramitA liKitvA sTAsyate su ADyAsyate
   vā parebhyo vā saṃprakāśayiṣyate, tatra ye te daśabhyo digbhyo devaputrā	vA pareByaH vA saMprakASayizyate, tatra ye te daSaByaH digByaH deva putrA
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragās te tāṃ prajñāpāramitāṃ	deva nAga yakza ganDarva asura garuxa kinnara mahA uragAH te tAm prajQApAramitAm
   namaskṛtya punar eva prakramiṣyanti, ato nirjātās tathāgatā arhantaḥ	namaskRtya punar eva prakramizyanti, atas nirjAtAH taTAgatAH arhantaH
   samyaksaṃbuddhāḥ, ato nirjātaṃ ca sarvasattvānāṃ sukhopadhānaṃ, yad api	samyaksaMbudDAH, atas nirjAtam ca sarva sattvAnAm suKa upaDAnan, yat api
   tathāgataśarīrāṇi tad api prajñāpāramitāparibhāvitatvāt pūjāṃ	taTAgata SarIrANi tat api prajQApAramitA pariBAvita tvAt pUjAm
   pratilabhante. prajñāpāramitā bhagavan bodhisattvacaryāṃ carataḥ	pratilaBante. prajQApAramitA Bagavan boDisattva caryAm carataH
   sarvajñānasyāśrayabhūtā, kāraṇabhūtā āhārikā prajñāpāramiteti.	sarva jQAnasya ASraya BUtA, kAraNa BUtA AhArikA prajQApAramitA iti.
   tasmād ahaṃ bhagavaṃs tābhyāṃ dvābhyāṃ pratyaṃśābhyāṃ prajñāpāramitām eva	tasmAt aham Bagavan tAByAm dvAByAm pratyaMSAByAm prajQApAramitAm eva
   parigṛhṇīyām. imāṃ prajñāpāramitām udgṛhya svādhyāyaṃ kuryān	parigRhNIyAm. imAm prajQApAramitAm udgRhya svADyAyam kuryAt 
   dharmāntargatena mānasena yasmin samaye prajñāpāramitāṃ manasikaromi	Darma antargatena mAnasena yasmin samaye prajQApAramitAm manasikaromi
   (PSP_2 3:90) tasmin samaye bhagavan nimittam eva na samanupaśyāmi bhayasya	(PSu _2 3:90) tasmin samaye Bagavat nimittam eva na samanupaSyAmi Bayasya
   vā stambhitatvasya vā. tat kasya hetor? animittā hi bhagavan	vA stamBita tvasya vA. tat kasya hetor? animittAH hi Bagavan
   prajñāpāramitā aliṅgā anabhilapyā, apravyāhārā hi bhagavan prajñāpāramitā,	prajQApAramitA aliFgAH anaBilapyA, apravyAhArAH hi Bagavan prajQApAramitA,
   evaṃ dhyānapāramitā vīryapāramitā kṣāntipāramitā śīlapāramitā, animittā hi	evam DyAna pAramitA vIrya pAramitA kzAnti pAramitA SIla pAramitA, animittAH hi
   bhagavan dānapāramitā aliṅgā anabhilapyā apravyāhārā hi bhagavan	Bagavan dAna pAramitA aliFgAH anaBilapyAH apravyAhArAH hi Bagavan
   dānapāramitā yāvat sarvajñatā, saced bhagavan prajñāpāramitā sanimittā	dAna pAramitA yAvat sarvajQa tA, saced Bagavan prajQApAramitA sa nimittA
   saliṅgā sābhilapyā sapravyāhārābhaviṣyan nānimittā nāliṅgā nānabhilapyā	sa liFgA sa aBilapyA sa pravyAhAra aBavizyat na animittA na aliFgA na anaBilapya a
   nāpravyāhārā naiva tathāgato 'rhan samyaksaṃbuddhaḥ sarvadharmān animittān	na apravyAhArAH na eva taTAgataH arhan samyaksaMbudDaH sarva DarmAn animittAn
   aliṅgān anabhilapyān apravyāhārān iti viditvā anuttarāṃ samyaksaṃbodhim	aliFgAn anaBilapyAn apravyAhArAn iti viditvA anuttarAm samyaksaMboDim
   abhisaṃbudhya sattvānām animittam aliṅgam anabhilapyam apravyāhāraṃ	aBisaMbuDya sattvAnAm animittam aliFgam anaBilapyam apravyAhAram
   dharmam adeśayiṣyat, yasmād bhagavann iyaṃ prajñāpāramitā animittā aliṅgā	Darmam adeSayizyat, yasmAt Bagavan iyam prajQApAramitA animittA aliFgA
   anabhilapyā apravyāhārā tasmāt tathāgataḥ sarvadharmān animittān aliṅgān	anaBilapyA apravyAhArA tasmAt taTAgataH sarva DarmAn animittAn aliFgAn
   anabhilapyān apravyāhārān viditvā anuttarāṃ samyaksaṃbodhim abhisaṃbudhya	anaBilapyAn apravyAhArAn viditvA anuttarAm samyaksaMboDim aBisaMbuDya
   sattvānām animittam aliṅgam anabhilapyam apravyāhāraṃ dharmaṃ deśayet.	sattvAnAm animittam aliFgam anaBilapyam apravyAhAram Darmam deSayet .
   iti parārthādhimuktir mṛdumadhyā	iti parArTa aDimuktiH mRdu maDyA
   tasmād bhagavann iyaṃ prajñāpāramitā sadevamānuṣāsureṇa lokena satkartavyā	tasmAt Bagavan iyam prajQApAramitA sa deva mAnuza asureNa lokena satkartavyA
   gurukartavyā mānayitavyā pūjayitavyā	gurukartavyA mAnayitavyA pUjayitavyA
   puṣpadhūpagandhamālyavilepanacūrṇacivaracchatradhvajapatākābhiḥ. na cāsya	puzpa DUpa ganDa mAlya vilepana cUrNa civara= Catra Dvaja patAkABiH. na ca asya
   narakatiryagyoniyamalokagatiḥ pratikāṅkṣitavyā, na śrāvakabhūmir na	naraka tiryagyoni yama loka gatiH pratikAFkzitavyA, na SrAvaka BUmiH na
   pratyekabuddhabhūmiḥ pratikāṅkṣitavyā yāvad anuttarāṃ samyaksaṃbodhim	pratyekabudDa BUmiH pratikAFkzitavyA yAvat anuttarAm samyaksaMboDim
   abhisaṃbuddho bhaviṣyati. avirahitaś ca bhaviṣyati tathāgatadarśanena	aBisaMbudDaH Bavizyati. avirahitaH ca Bavizyati taTAgata darSanena
   sattvaparipākena yad uta buddhakṣetram upasaṃkrāmati, tāṃś ca tathāgatān	sattva paripAkena yat uta budDa kzetram upasaMkrAmati, tAn ca taTAgatAn
   satkartuṃ gurukartuṃ mānayituṃ pūjayituṃ	satkartum gurukartum mAnayitum pUjayitum
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ. iti	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH. iti
   parārthādhimuktimṛdvadhimātrā	para arTa aDimukti mRd vaDimAtrA
   punar aparaṃ bhagavan yady ayaṃ trisāhasramahāsāhasro lokadhātus	punar aparam Bagavan yadi ayam tri sAhasra mahA sAhasraH lokaDAtu H 
   tathāgataśarīrāṇāṃ paripūrṇaś cūḍikābaddho 'pi me upanāmyeta, imāṃ ca	taTAgata SarIrANAm paripUrNaH cUxikA badDaH api me upanAmi eta, imAm ca
   prajñāpāramitāṃ pustakalikhitaṃ kṛtvā upanāmyeta, aham anayor dvayor	prajQApAramitAm pustaka liKitam kRtvA upanAmi eta, aham anayoH dvayoH 
   bhāgayoḥ sthāpitayor imām eva prajñāpāramitāṃ parigṛhṇīyāṃ. tat kasya	BAgayoH sTApitayoH imAm eva prajQApAramitAm parigRhNIyAn. tat kasya
   hetor? ato nirjātāni hi tathāgataśarīrāṇi. tena satkriyante gurukriyante	hetor? atas nirjAtAni hi taTAgata SarIrANi. tena satkriyante gurukriyante
   mānayante pūjyante yena te kulaputrāḥ kuladuhitaraś ca tāni satkṛtya	mAnayante pUjyante yena te kula putrAH kula duhitaraH ca tAni satkRtya
   gurukṛtya mānayitvā pūjayitvā na durgativinipāteṣūpapadyante,	gurukRtya mAnayitvA pUjayitvA na durgati vinipAtezu upapadyante,
   devamanuṣyasaṃpattīr anubhūya yathāpraṇidhānena nirvāsyanti śrāvakayānena	deva manuzya saMpattIH anuBUya yaTA praNiDAnena nirvAsyanti SrAvaka yAnena
   vā pratyekabuddhayānena vā mahāyānena (PSP_2 3:91) vā. api tu khalu punar	vA pratyekabudDa yAnena vA mahAyAnena (PSu _2 3:91) vA. api tu Kalu punar 
   bhagavan yac ca tathāgatadarśanaṃ yac ca prajñāpāramitādarśanaṃ tulyam	Bagavan yat ca taTAgata darSanam yat ca prajQApAramitA darSanam tulyam
   etat, tathā hi bhagavan yā prajñāpāramitā yaś ca tathāgato 'dvayam etad	etat, taTA hi Bagavan yA prajQApAramitA yaH ca taTAgataH advayam etat 
   advaidhīkāram. iti parārthādhimuktir madhyamṛddhī	advEDIkAram. iti parArTa aDimuktiH maDyam RdDI
   punar aparaṃ bhagavan yaś ca tathāgato 'rhan samyaksaṃbuddhas tribhiḥ	punar aparam Bagavan yaH ca taTAgataH arhan samyaksaMbudDaH triBiH
   prātihāryair dharmaṃ deśayati, yad uta dvādaśāṅgaṃ sūtraṃ geyaṃ vyākaraṇaṃ	prAtihAryEH Darmam deSayati, yat uta dvAdaSa aFgam sUtram geyam vyAkaraNam
   yāvad avadānopadeśā, yaś ca sa kulaputro vā kuladuhitā vā imāṃ	yAvat avadAna upadeSA, yaH ca sa kula putraH vA kula duhitA vA imAm
   prajñāpāramitām udgṛhya paryavāpya parebhyaś ca vistareṇa deśayeta tulyam	prajQApAramitAm udgRhya paryavApya pareByaH ca vistareNa deSayeta tulyam
   etat. tat kasya hetor? ato nirjātāni hi bhagavaṃs trīṇi prātihāryāṇi, tato	etat. tat kasya hetor? atas nirjAtAni hi Bagavan trINi prAtihAryANi, tatas 
   nirjātaṃ sūtraṃ geyaṃ vyākaraṇaṃ yāvad avadānopadeśāḥ.	nirjAtam sUtram geyam vyAkaraNam yAvat avadAna upadeSAH.
   punar aparaṃ bhagavan ye pūrvasyāṃ diśi gaṅgānadīvālukopamā buddhā	punar aparam Bagavan ye pUrvasyAm diSi gaFgA nadI vAlukA upamA budDA
   bhagavanto dharmaṃ deśayanti yad uta sūtraṃ geyaṃ vyākaraṇaṃ yāvad	BagavantaH Darmam deSayanti yat uta sUtram geyam vyAkaraNam yAvat 
   avadānopadeśāḥ tribhiḥ prātihāryair, evaṃ dakṣiṇasyāṃ diśi paścimāyām	avadAna upadeSAH triBiH prAtihAryEH , evam dakziNasyAm diSi paScimAyAm
   uttarasyām ūrdhvam adho yāvad vidikṣu gaṅgānadīvālkopameṣu lokadhātuṣu	uttarasyAm UrDvam aDas yAvat vidikzu gaFgA nadI vAlka upamezu lokaDAtuzu
   buddhā bhagavanto dharmaṃ deśayanti tribhiḥ prātihāryair yad uta sūtraṃ	budDAH BagavantaH Darmam deSayanti triBiH prAtihAryEH yat uta sUtram
   geyaṃ vyākaraṇaṃ yāvad avadānopadeśāḥ, yaś ca kulaputro vā kuladuhitā vā	geyam vyAkaraNam yAvat avadAna upadeSAH, yaH ca kula putraH vA kula duhitA vA
   imāṃ prajñāpāramitām udgṛhṇīyāt yāvat parebhyaś ca vistareṇa saṃprakāśayet	imAm prajQApAramitAm udgRhNIyAt yAvat pareByaH ca vistareNa saMprakASayet 
   tulyam etat. tat kasya hetor? ato nirjātāni hi bhagavaṃs trīṇi	tulyam etat. tat kasya hetor? atas nirjAtAni hi Bagavan trINi
   prātihāryāṇi. tato nirjātaṃ sūtraṃ geyaṃ vyākaraṇaṃ yāvad avadānopādeśāḥ.	prAtihAryANi. tatas nirjAtam sUtram geyam vyAkaraNam yAvat avadAna upAdeSAH.
   punar aparaṃ bhagavan yaś caikaikasyāṃ diśi yāvanto daśasu dikṣu	punar aparam Bagavan yaH ca ekEkasyAm diSi yAvantaH daSasu dikzu
   sarvalokadhātuṣu gaṅgānadīvālukopamās tathāgatā arhantaḥ samyaksaṃbuddhās	sarva loka DAtuzu gaFgA nadI vAlukA upamAH taTAgatAH arhantaH samyaksaMbudDa aH 
   tān satkuryād gurukuryāt mānayet pūjayet	tAn satkuryAt gurukuryAt mAnayet pUjayet 
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhir, yaś cemāṃ	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH , yaH ca imAm
