   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   ityādinoktamāha   nāgṛhīteti// etenetyādinoktamāha   eketi// na ca	ityAdinA uktam Aha  na agRhIta iti// etena ityAdinA uktam Aha  eka iti// na ca
   vyakterityādinoktamāha    vṛttīti// nanu jñānetyādinoktamāha  	vyakteH ityAdinA uktam Aha   vRtti iti// nanu jQAna ityAdinA uktam Aha  
   sambandheti// samamiti// śaktiviṣayatve	sambanDa iti// samam iti// Sakti vizaya tve
   tadaṃśepi śaktijñānaṃ prayojakamityatrāpīti yojyam //	tad aMSepi Sakti jQAnam prayojakam iti atra api iti yojyam //
   vyaktipratibandyā duṣpariharatvam // 19 //	vyakti pratibandyAH duzparihara tvam // 19 //
   1.tat iti nāsti  naṃ.su.ga. tatkalpyamanvayāṃ  ja.ka. 2.vṛtti naṃ.	1.tat iti nAsti naM.su.ga. tad kalpyam anvayAm  ja.ka. 2.vRtti naM.
   vibhakti  ja. 3.ktyatve  naṃ.e. 4.jñā e.	viBakti ja. 3.ktya tve  naM.e. 4.jQA e.
                                                                              nyāyadīpayutatarkatāṇḍavam	                                                                           nyAyadIpa yuta tarka tANxavam
   (dvi.paricchetaḥ pu   200.	(dvi. paricCetaH pu  200.
   atha maṇyādyabhimatakubjaśaktibhaṅgaḥ // 2.0 //	aTa maNi a Adi aBimata kubja Sakti BaFgaH // 2.0 //
   nanu tathāpi jñātakaraṇe saṃbandhaḥ saṃsargipratiyogikatayaiva jñāto	nanu taTA api jQAta karaNe saMbanDaH saMsargi pratiyogika tayA eva jQAtaH 
   hetuḥ/ na tu saṃsargapratiyogi 1 tayāpi, vyāptau tathā darśanāt/ na hi	hetuH/ na tu saMsarga pratiyogi 1 tayA api, vyAptO taTA darSanAt/ na hi
   vahnivyāptirvahnipratiyogikatayeva vahnisaṃsargapratiyogikatayā vijñāyate/	vahni vyAptiH vahni pratiyogika tayA iva vahni saMsarga pratiyogika tayA vijQAyate/
   evaṃ ca śaktiḥ saṃsargībhūtapadārthapratiyogikatayaiva jñātā hetuḥ/ na	evam ca SaktiH saMsargIBUta padArTa pratiyogika tayA eva jQAtAH hetuH/ na
   tvanvayapratiyogikatayeti cenmaivam/ vyāptigrāhakamānena vahninaiva saha	tu anvaya pratiyogikatayA iti ced mA evam/ vyApti grAhaka mAnena vahninA eva saha
   vyāptigrahaḥ,	vyApti grahaH,
   atha maṇyādyabhimatakubjaśaktibhaṅgaḥ // 2.0 //	aTa maNi a Adi aBimata kubja Sakti BaFgaH // 2.0 //
   prakārāntareṇānvayāṃśe śaktijñānaṃ na śābdadhīheturityā 2 kṣipya	prakAra antareNa anvaya aMSe Sakti jQAnam na SAbda DI hetuH ityAH 2 kzipya
   samādhatte   nanu tathāpīti// vyāptipratibandyā duṣpariharatvepītyarthaḥ/	samADatte  nanu taTA api iti// vyApti pratibandyAH duzparihara tvepi iti arTaH/
   tathā darśanādityuktaṃ vyanakti   nahīti// tataḥ kimityata pakṣe	taTA darSanAt iti uktam vyanakti  nahi iti// tatas kim iti ata pakze
   yojayati   evaṃ ceti// jñātakaraṇasambandhasya saṃsargapratiyogikatayaiva	yojayati  evam ca iti// jQAta karaNa sambanDasya saMsarga pratiyogika tayA eva
   jñātasya hetutve satītyarthaḥ/ hetuḥ, śābdadhīheturityarthaḥ/	jQAtasya hetu tve sati iti arTaH/ hetuH, SAbda DI hetuH iti arTaH/
   śabdaśakterapi jñātakaraṇasambandhatvāditi bhāvaḥ/ etaduktaṃbhavati  	Sabda SakteH api jQAta karaNa sambanDa tvAt iti BAvaH/ etat uktaMBavati  
   śabdaśaktiḥ saṃsargapratiyogikatayaiva jñātā jñānahetuḥ/ jñāta 3	Sabda SaktiH saMsarga pratiyogika tayA eva jQAtA jQAna hetuH/ jQAtaH 3
   karaṇasambandhatvāt/ liṅgasambandharūpavyāptivaditi//	karaNa sambanDa tvAt/ liFga sambanDa rUpa vyApti vat iti//
   jātivyāptyorubhayorapi saṃsargikayobhayāṃśe jñātā śabdaśaktiḥ	jAti vyAptyoH uBayoH api saMsargikayA uBaya aMSe jQAtA Sabda SaktiH
   jitiviśiṣṭavyaktijñānahetuścedapi na tatra vyabhicāra iti bhāvaḥ/	jiti viSizwa vyakti jQAna hetuH ced api na tatra vyaBicAraH iti BAvaH/
   jñātakaraṇasambandhatvāviśeṣe 'pi yathāpramāṇaṃ hetutvaṃ	jQAta karaNa sambanDa tva aviSeze api yaTApramANam hetu tvam
   kalpyamiti bhāvena samādhimāha   vyāptīti// vyavahārarūpeṇeti//	kalpyam iti BAvena samADim Aha  vyApti iti// vyavahAra rUpeNa iti//
   mānenetyanvayaḥ/	mAnena iti anvayaH/
   1.gikata su.rā.ga.ja. 2.ti śaṅkate u.naṃ. 3.naka  u.	1.gikata  su.rA. ga.ja. 2.ti SaFkate u.naM. 3.naka u.
   madya bhita kuśa kiṅgaḥ) śaktivādaḥ pu   201.	madya Bita  kuSa  kiFgaH) SaktivAdaH pu  201.
   anvitaviṣakavyavahārarūpeṇa śaktigrāhakamānena tvanvayenāpi saha	anvita vizaka vyavahAra rUpeNa Sakti grAhaka mAnena tu anvayena api saha
   śaktigraha iti vaiṣamyāt//	SaktigrahaH iti vEzamyAt//
   anyathā saṃsargeṇa saha vyāptiḥ svarūpeṇaiva nāstīti anvayepi śaktiḥ	anyaTA saMsargeNa saha vyAptiH sva rUpeNa eva na asti iti anvayepi SaktiH
   svarūpeṇaiva na syāt/ vyāptirvyāpakatāvacchedaka 1 pratiyogikatayāpi na	sva rUpeNa eva na syAt/ vyAptiH vyApaka tA avacCedakaH 1 pratiyogikatayA api na
   jñāyata iti śaktirapi śakyatāvacchedakajātipratiyigikatayāpi na jñātavyā,	jQAyate iti SaktiH api Sakya tA avacCedaka jAti pratiyigika tayA api na jQAtavyA,
   gauravādityapi syāt //	gOravAt iti api syAt //
   saṃsargapratiyogikatayā vyāptigrāhakamānābhāvādeva tena rūpeṇā 2 jñātāyā	saMsarga pratiyogika tayA vyApti grAhaka mAna aBAvAt eva tena rUpeNA 2 jQAtAyA
   api tasyā anumitihetutvepīha śaktau saṃsargipratiyogikatayāpi prāguktadiśā	api tasyAH anumiti hetu tvepi iha SaktO saMsargi pratiyogika tayA api prAk ukta diSA
   grāhakamāna 3 bhāvena tena rūpeṇa jñatāyā eva	grAhakamAnaH 3 BAvena tena rUpeNa jQa tAyAH eva
   śābdadhīhetutvopapatterityarthaḥ//	SAbdaDI hetutvA upapatteH iti arTaH//
   etena saṃsargapratiyogikatayā grāhakamānavaidhuryamupādhiḥ	etena saMsarga pratiyogika tayA grAhaka mAna vEDuryam upADiH
   prāguktānumānasyokto bhavati// svarūpeṇaiva nāstīti// tena saha	prAk ukta anumAnasya uktaH Bavati// sva rUpeNa eva na asti iti// tena saha
   vyāptigrāhakamānābhāvāditi bhāvaḥ//	vyApti grAhaka mAna aBAvAt iti BAvaH//
   nanu tatrāpi yatra dhūmastatra vahnisaṃsarga ityastyeva vyāptīriti	nanu tatra api yatra DUmaH tatra vahni saMsargaH iti asti eva vyAptIH iti
   vadantaṃ prati vyāptiśarīrapraviṣṭasambandhena vyāptyabhāvarūpadoṣe	vadantam prati vyApti SarIra pravizwa sambanDena vyApti aBAva rUpa doze
   satyapi jātipratibandīmapyāha    vyāptiriti// anyathetyanuṣaṅgaḥ/ ityapi	sati api jAti pratibandIm api Aha   vyAptiH iti// anyaTA iti anuzaFgaH/ iti api
   syāditi // tathā ca padaśaktivādasiddhānte jātivyaktyubhayapratiyogikatayā	syAt iti // taTA ca pada Sakti vAda sidDAnte jAti vyakti uBaya pratiyogika tayA
   jñātaiva heturiti tvadupapādanavirodha iti bhāvaḥ/ anvayapratiyogikatayāpi	jQAtA eva hetuH iti tvad upapAdana viroDaH iti BAvaH/ anvaya pratiyogika tayA api
   śakterjñānasya śābdadhīhetutve bādhakāntaramāśaṅkya nirāha    na ceti//	SakteH jQAnasya SAbda DI hetu tve bADaka antaram ASaFkya nirAha   na ca iti//
   1.vahnitvetyadhikam naṃ.su.rā.ga.ja.ka. 2.ṇajñā e.naṃ. 3.nābhā e.naṃ.	1.vahni tva iti aDikam naM.su. rA. ga.ja.ka. 2.Na jQA e.nan. 3.nABA e.naM.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   202.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  202.
   na cānvayasyāpi prāgupasthitau padārthasyevānyasyāpi saṃsargaḥ śābdabodhe	na ca anvayasya api prAk upasTitO padArTasya iva anyasya api saMsargaH SAbda boDe
   bhāseteti vācyam/ manmate śabdasya śaktijñānasīmakatvena	BAseta iti vAcyam/ manmate Sabdasya Sakti jQAna sImaka tvena
   tadaviṣayasyānvayapratiyogikasaṃsargasyābhānasaṃbhavāt//	tad avizayasya anvaya pratiyogika saMsargasya ABAna saMBavAt//
   na ca tvanmate 'vyayaṃ niyamaḥ yaḥ kāraṇībhūtadhīviṣayaḥ tatsaṃsargaḥ	na ca tvad mate avyayam niyamaH yaH kAraNIBUta DIvizayaH tad saMsargaH
   kāryabhūtajñāne	kArya BUta jQAne
   bhāsata iti //	BAsate iti //
   prāgiti// śābdabodhātpūrvaṃ pūrvagṛhītaśaktismṛtidaśāyāmevānvayasyāpi	prAk iti// SAbda boDAt pUrvam pUrva gRhIta Sakti smRti daSAyAm eva anvayasya api
   smṛtau satyamityarthaḥ/ ubhayapratiyogikatayā śaktervyutpattidaśāyāṃ	smRtO satyam iti arTaH/ uBaya pratiyogika tayA SakteH vyutpatti daSAyAm
   grahaṇe sati śābdabodhātpūrvaṃ śaktismṛtidaśāyāmapyubhayapratiyogika 1	grahaNe sati SAbda boDAt pUrvam Sakti smRti daSAyAm api uBaya pratiyogika 1
   tvena smṛterāvaśyakatvenānvayasyāpyupasthityānvayanirūpitasaṃsargo 'pi	tvena smRteH AvaSyaka tvena anvayasya api upasTitya anvaya nirUpita saMsargaH api
   śābdabodhe bhāyāt/ 2 padātpadārthasya prāgupasthityā śābdabodhe	SAbda boDe BAyAt/ 2 padAt padArTasya prAc upasTityA SAbda boDe
   tannirūpitasaṃsargavatprāgupasthiteḥ kāraṇatayā tajjanyajñāne	tad nirUpita saMsarga vat prAk upasTiteH kAraNa tayA tad janya jQAne
   kāraṇībhūtajñānaviṣayanirūpitasaṃsargasyāpi bhānaniyamāt/ tathā	kAraNIBUta jQAna vizaya nirUpita saMsargasya api BAna niyamAt/ taTA
   cānayanānvayavān ghaṭa iti dhīprasaṅga iti bhāvaḥ/	ca Anayana anvayavAn GawaH iti DI prasaFgaH iti BAvaH/
   śaktijñānasūmakatveneti// śaktijñānamaryādākatvenetyarthaḥ/ yadviṣaye	Sakti jQAna sUmaka tvena iti// Sakti jQAna maryAdAka tvena iti arTaH/ yat vizaye
   śaktijñānaṃ tadviṣaya eva jñānajanakatvaṃ śabdasya svabhāvaḥ/ śaktijñānaṃ	Sakti jQAnam tad vizayaH eva jQAna janaka tvam Sabdasya svaBAvaH/ Sakti jQAnam
   ca padārthe 3 tadanvaye ca prāgāsīdīti tayoreva śābdabodhe bhānaṃ, na tu 4	ca padArTe 3 tad anvaye ca prAk AsIdi iti tayoH eva SAbda boDe BAnaM, na tu 4
   saṃsargasyāpi/ hetvabhāvāditi bhāvaḥ//	saMsargasya api/ hetu aBAvAt iti BAvaH//
   nyāyamate jñānayoḥ kāryakāraṇabhāva eva pūrvajñānaviṣayasaṃsargabhāne	nyAya mate jQAnayoH kArya kAraNa BAvaH eva pUrva jQAna vizaya saMsarga BAne
   hetuḥ/ ghaṭatvanirvikalpajanye tatsavikalpake tathā darśanāt/	hetuH/ Gawa tva nirvikalpa janye tad sa vikalpake taTA darSanAt /
   daṇḍajñānajye daṇḍīti viśiṣṭajñāne ca darśanāccetyata āha   na ca tvanmate	daNxa jQAna jye daNxI iti viSizwa jQAne ca darSanAt ca iti atas Aha  na ca tvad mate
   'pīti // ayamiti//	api iti // ayam iti//
   vakṣyamāṇaḥ kimayaṃ niyamoparokṣajñāne 'tha  	vakzyamANaH kim ayam niyama uparokza jQAne aTa  
   1.tve smṛ u. 2.padādāti nāsti u. 3.tat iti nāsti u. 4.tatsaṃ naṃ e.	1.tve smR u. 2.pada AdAti nAsti u. 3.tat iti nAsti u. 4.tad saM naM e.
   madya bhiti kuśa ktiṅgaḥ) śaktivādaḥ pu   203.	madya Biti kuSa ktiFgaH) SaktivAdaH pu  203.
   viśeṣaṇajñānatayā hetubhūtāyā dhārāvāhikaprathamādibuddherviṣayo yaḥ	viSezaNa jQAna tayA hetu BUtAyAH DArAvAhika praTama Adi budDeH vizayaH yaH
   saṃsargaḥ tatpratiyogisaṃsargasya dvitīyādibuddhāvabhānāt//	saMsargaH tad pratiyogi saMsargasya dvitIya Adi budDa avaBAnAt//
   na ca parokṣajñāne 'yaṃ niyamaḥ/ anumitihetubhūtavyāptijñānasya yo	na ca parokza jQAne ayam niyamaH/ anumiti hetu BUta vyApti jQAnasya yaH 
   viṣayaḥ/ parvatavahnisaṃyogastatsamavāyasyānumitāvabhānāt//	vizayaH/ parvata vahni saMyogaH tad samavAyasya anumita avaBAnAt//
   nāpi śābdajñāne 'yaṃ niyamaḥ/ hetubhūtasya padārthajñānasya viṣa 1 yo	na api SAbda jQAne ayam niyamaH/ hetu BUtasya padArTa jQAnasya viza 1 yaH 
   jātivyaktyorvaiśiṣṭyarūpo yaḥ saṃbandhaḥ tatsaṃsargasya	jAti vyaktyoH vESizwya rUpaH yaH saMbanDaH tad saMsargasya
   śābdapramāyāmabhānāt//	SAbda pramAya AmaBAnAt//
     parokṣajñāna 2 sthale / ādya āha   viśeṣaṇeti// hetubhūtasya	 parokza jQAnaH 2 sTale / AdyaH Aha  viSezaNa iti// hetu BUtasya
   heturviśeṣaṇajñānatayeti/ yaḥ saṃsarga iti// ayaṃ ghaṭa	hetuH viSezaNa jQAna tayA iti/ yaH saMsargaH iti// ayam Gawa
   ityādidhārāvāhikasthale ghaṭapaṭatva 3 saṃsarga ityarthaḥ/ abhāvāditi//	ityAdi DArA vAhika sTale Gawa pawatva 3 saMsargaH iti arTaH/ aBAvAt iti//
   anyathā jñānānāmaviśeṣānubhavavirodha iti bāvaḥ/ antyamāśaṅkate   na	anyaTA jQAnAnAm aviSeza anuBava viroDaH iti bAvaH/ antyam ASaFkate  na
   ceti// tatrāpi kimanumitisthale 'tha śābdabodhasthale / ādya āha  	ceti// tatra api kim anumiti sTale aTa SAbda boDa sTale / AdyaH Aha  
   anumitīti// parvatavahnisaṃyoga iti// 4 yo yo dhūmavānasāvasāvagnimāniti	anumiti iti// parvata vahni saMyogaH iti// 4 yaH yaH DUmavAn asO= asO= agnimAn iti
   mahānasādau vyāptigrahadaśāyāṃ	mahAnasa AdO vyApti graha daSAyAm
   sāmānyalakṣaṇapratyāsatyopasthitasamastadhūmavahnivyaktīnāṃ	sAmAnya lakzaNa pratyAsatya upasTita samasta DUma vahni vyaktInAm
   vyāptigrahaniyamena parvatīyadhūmasyāpi parvatīyavahninā pyāptigrahaṇe	vyApti graha niyamena parvatIya DUmasya api parvatIya vahninA pyApti grahaNe
   parvatavahnisaṃyogasyāpi sāmānyākāreṇa jñānaviṣayatvāditi bhāvaḥ/	parvata vahni saMyogasya api sAmAnya AkAreNa jQAna vizaya tvAt iti BAvaH/
   abhānāditi// anyathā parvato vahnisaṃyogavānityeva dhīḥ syānna tu	aBAnAt iti// anyaTA parvataH vahni saMyogavAn iti eva DIH syAt na tu
   vahnimānitīti bhāvaḥ/ antye dvitīyamāśaṅkya nirāha    nāpīti// hetviti//	vahnimAniti iti BAvaH/ antye dvitIyam ASaFkya nirAha   na api iti// hetu iti//
   1.yayorjāti su.rā. yajāti ga. 2.sthalapadaṃ na  u. 3.ādipadamadhikam u.	1.yayoH jAti  su.rA. yaja ati ga. 2.sTala padam na  u. 3.Adi padam aDikam u.
   4.yacchabdādaḥśabdayorvīpsā nāsti  u.e.	4.yat Sabda AdaH SabdayoH vIpsA nAsti u.e.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   204.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  204.
   etena yathā pratyakṣe viśiṣṭajñāne viśeṣyendriyasannikarṣo viśeṣyabhā 1	etena yaTA pratyakze viSizwa jQAne viSezya indriya sannikarzaH viSezya BAH 1
   nasāmagrī, viśeṣaṇajñānaṃ tu viśeṣaṇabhā 2 nasāmagrī, 3 iti	na sAmagrI, viSezaNa jQAnam tu viSezaNa BA 2 na sAmagrI, 3 iti
   sāmagrīdvayasanniviṣṭādasaṃsargāgrahādeva saṃsargabhānamevaṃ śābde 'pi	sAmagrI dvaya sannivizwAt asaMsarga AgrahAt eva saMsarga BAnam evam SAbde api
   viśiṣṭajñāne prathamāntādipadajanyapadārthadhīrviśeṣyabhānasāmagrī,	viSizwa jQAne praTama anta Adi pada janya padArTa DIH viSezya BAna sAmagrI,
   taditarā tu dhīrviśeṣaṇabhā 4 nasāmagrī 5 ti	tad itarA tu DIH viSezaNa BA 4 na sAmagrI 5 ti
   sāmagrīdvayasanniviṣṭādasaṃsargāgrahādeva saṃsargabhāna, tato nānvayāṃśe	sAmagrI dvaya sannivizwAt asaMsarga agrahAt eva saMsarga BAna, tatas na anvaya aMSe
   śaktijñānāpekṣeti nirastam/	Sakti jQAna apekzA iti nirastam/
   vākyārthajñānahetubhūtasyetyarthaḥ/ viśeṣyabhāneti//	vAkya arTa jQAna hetu BUtasya iti arTaH/ viSezya BAnA iti//
   ghaṭādirūpaviśeṣyabhāvanasāmagrītyarthaḥ/ nirvikalpakādirūpaṃ	Gawa Adi rUpa viSezya BAvana sAm agri iti arTaH/ nirvikalpaka Adi rUpam
   ghaṭatvādiviśeṣaṇajñānaṃ tu ghaṭatvādiviśeṣaṇabhānasāmagrī	Gawa tva Adi viSezaNa jQAnam tu Gawa tva Adi viSezaNa BAna sAmagrI
   vaiśiṣṭyabhāvanasāmagrī tu 6 sāmagrīdvayasahitā 7	vESizwya BAvana sAmagrI tu 6 sAmagrI dvaya sahitAH 7
   tadubhayasaṃsargāgraharūpaiva, na tvanyāsti yathā tathā	tad uBaya saMsarga Agraha rUpA eva, na tu anyA asti yaTA taTA
   śābdaviśiṣṭajñānepītyarthaḥ/ tadupapādayati    prathamāntādīti// ghaṭosti	SAbda viSizwa jQAnA ipi iti arTaH/ tat upapAdayati   praTama anta AdIti// Gawosti
   ghaṭamānaya ghaṭena jalamāhāra	Gawam Anaya Gawena jalam AhAra
   brāhmaṇāya gāṃ dehītyādau prathamāntādipadajanyetyarthaḥ// viśeṣyeti//	brAhmaNAya gAm dehi ityAdO praTama anta Adi pada janyA iti arTaH// viSezya iti//
   vākyārthabhūtasaṃsarga 68 pratiyogirūpaviśeṣyetyarthaḥ/ taditi// 9	vAkya arTa BUta saMsarga 68 pratiyogi rUpa viSezya iti arTaH/ tad iti// 9
   viśeṣyabhūtapadārthadhībhinnā 10	viSezya BUta padArTa DI BinnAH 10
   kriyādipadārtharūviśeṣaṇabhānasāmagrītyarthaḥ/ sanniviṣṭāt, sa 11 hitāt/	kriyA Adi padArTa rUvi SezaNa BAna sAm agri iti arTaH/ sannivizwAt, saH 11 hitAt /
   ghaṭānayanādipadārthāsaṃsargāgrahaṇādityarthaḥ/	Gawa Anayana Adi padArTa asaMsargA grahaNAt iti arTaH/
   1.jñāna naṃ. 2.viśiṣṭabhāna ga.rā. ṇajñāna naṃ. 3.tenasā naṃ.ja.ka. iti	1.jQAna naM. 2.viSizwa BAna  ga.rA. Na jQAna naM. 3.tena sA naM.ja.ka. iti
   sāmagrī iti nāsti su.rā.ga. 4.jñāna naṃ. 5.grītena naṃ. iti	sAmagrI iti nAsti su.rA. ga. 4. jQAna naM. 5.grItena naM. iti
   itināsti rā.ga.ja. 6.grībhūtasā u.naṃ. 7.tattadu u.naṃ. 8.pratiyogipadaṃ	itinAsti rA. ga.ja. 6.grI BUta sA u.nan. 7. tad tadu u.nan. 8. pratiyogi padam
   na u.naṃ.e. 9.viśeṣyabhūta iti nāsti u.naṃ. 10.nnā padāvalī	na u.naM.e. 9.viSezya BUtaH iti nAsti u.nan. 10.nnA pada AvalI
   jñānaśaktismaraṇādirūpādhīḥ padārtharūpa ityevāsti  u.naṃ.e.	jQAna Sakti smaraNa Adi rUpADIH padArTa rUpaH iti eva asti  u.naM.e.
   1.sannihitā u.naṃ.	1.sannihitA u.naM.
   madya bhita kuśa ktiṅgaḥ) śaktivādaḥ pu   205.	madya Bita kuSa ktiFgaH) SaktivAdaH pu  205.
   anvaye śaktijñānābhāve bādhakānāmuktatvāt //	anvaye Sakti jQAna aBAve bADakAnAm ukta tvAt //
   manmate pratyakṣe 'pi viśeṣaṇaviśeṣyābhyāmiva	mad mate pratyakze api viSezaNa viSezyAByAm iva
   tatsaṃsargeṇāpīndriyapratyāsatterhetutvenehāpi pratyāsattisthānīyasya	tad saMsargeNa api indriya pratyAsatteH hetu tvena iha api pratyAsatti sTAnIyasya
   śaktijñānsayā 1 pyanvayāṃśe 'pyapekṣitatvācca//	Sakti jQAn sayA 1 pi anvaya aMSe api apekzita tvAt ca//
   kiṃ ca pramāṇāntare 'pi pratyakṣamaryādānusaraṇasyāvaśakatve 'numitāvapi	kim ca pramANa antare api pratyakza maryAda anusaraNasya avaSaka tve anumitO= api
   pakṣarūpaviśeṣyajñānaṃ kāraṇaṃ na syāt/ pratyakṣe viśiṣṭajñāne	pakza rUpa viSezya jQAnam kAraNam na syAt/ pratyakze viSizwa jQAne
   viśeṣyajñānasyāhetutvāt/ anumitiśābdajñāne prati liṅgaśabdayorjñānaṃ	viSezya jQAnasya ahetu tvAt/ anumiti SAbda jQAne prati liFga SabdayoH jQAnam
   vyāptiśaktyojñānaṃ ca heturna syāt/ pratyakṣaṃ	vyApti SaktyaH jQAnam ca hetuH na syAt/ pratyakzam
   pratīndriyatatsannikarṣayorjñānasyāhetutvāt/	pratIndriya tad sannikarzayoH jQAnasya ahetutvAt/
   etenetyuktaṃ vyanakti   anvaya iti// uktatvāditi// atha	etena iti uktam vyanakti  anvayaH iti// ukta tvAt iti// aTa
   matamityādinānvayāṃśepi śaktijñānasyāhetutvamāśaṅkya	matam ityAdinA anvaya aMSepi Sakti jQAnasya ahetutvam ASaFkya
   bādhakānāmuktatvādityarthaḥ/ tatsaṃsargeṇāpīti// yadyapi siddhānte	bADakAnAm ukta tvAt iti arTaH/ tad saMsargeNa api iti// yadi api sidDAnte
   ghaṭādau taddharmāṇāṃ ghaṭādinā na saṃsargaḥ/ abhedopagamāt/ tathāpi	Gawa AdO tad DarmANAm Gawa AdinA na saMsargaH/ aBeda upagamAt/ taTA api
   daṇḍītyādau daṇḍadevadattasaṃyogopagamena daṇḍadevadattābhyāmiva	daNxI ityAdO daNxa devadatta saMyoga upagamena daNxa devadattAByAm iva
   tadubhayasaṃyogenāpīndriyasya saṃyogarūpapratyāsatteraṅgīkārāditi bhāvaḥ/	tad uBaya saMyogena api indriyasya saMyoga rUpa pratyAsatteH aFgIkArAt iti BAvaH/
   pratyāsattīti śābdasyānvayena saha	pratyAsatti iti SAbdasya anvayena saha
   pratyāsattītyarthaḥ//	pratyAsatti iti arTaH//
   nanu nyāyamate prāguktasāmagrīdvayasahitādasaṃsargāgrahādeva	nanu nyAya mate prAc ukta sAmagrI dvaya sahitAt asaMsarga AgrahAt eva
   pratyakṣasthala iva saṃsargāgrahopapattau nādhikakalpanāvasara ityata	pratyakza sTalaH iva saMsarga Agraha upapattO na aDika kalpanA avasaraH iti ata
   āha   kiṃ ceti//	Aha  kim ca iti//
   1.api iti nāsti  naṃ.su.rā.ga.ja.ka.	1.api iti nAsti naM.su.rA. ga.ja.ka.
   nyāyadīpayutarkatāṇḍavam (dvi.pariccheḥ pu   206.	nyAya dIpa yutarka tANxavam (dvi.paricCeH pu  206.
   tasmādanvayaḥ padaśaktyo vṛtyantaraṃ vinā śābdatvātpadārthavaditi //	tasmAt anvayaH pada SaktyaH vRti antaram vinA SAbda tvAt padArTa vat iti //
   maṇyādyabhimatakubjaśaktibhaṅgaḥ // 2.0 //	maNya Adi aBimata kubja Sakti BaFgaH // 2.0 //
   śabdādirūpapramāṇāntare 'pītyarthaḥ// tasmāditi//	Sabda Adi rUpa pramANa antare api iti arTaH// tasmAt iti//
   anekasahakārisādhakabhāvādvipakṣe bādhakābhāvāccetyarthaḥ/ anvaya iti//	aneka sahakAri sADaka BAvAt vipakze bADaka aBAvAt ca iti arTaH/ anvayaH iti//
   śabdārthanirūpitonvayaḥ/ 1 śabdaśaktiviṣaya ityarthaḥ/ tena	Sabda arTa nirUpita unvayaH/ 1 Sabda Sakti vizayaH iti arTaH/ tena
   prakṛtipratyayārthānvayasyāpi śakyatāsiddhiḥ/ gaṅgāyāṃ ghoṣa ityādau	prakRti pratyaya arTa anvayasya api Sakya tA sidDiH/ gaFgAyAm GozaH iti AdO
   ghoṣatīrādyanvaye vyabhicāranirāsāya hetau vinetyantoktiḥ//	Goza tIra Adi anvaye vyaBicAra nirAsAya hetO vinA iti antoktiH//
   maṇyādyabhimatakubjaśaktibhaṅgaḥ // 2.0 //	maNya Adi aBimata kubja Sakti BaFgaH // 2.0 //
   atha bhaṭṭābhimatābhihitānvayabhaṅgaḥ // 2.1 //	aTa Bawwa aBimata aBihita anvaya BaFgaH // 2.1 //
   etena padaṃ padārthasmṛtimātropakṣīṇaṃ nānvitabodhakaṃ   	etena padam padArTa smRti mAtra upakzINam na anvita boDakam   
   atha bhaṭṭābhimatābhihitānvayabhaṅga // 2.1 //	aTa Bawwa aBimata aBihita anvaya BaFgaH // 2.1 //
   nanu yaduktaṃ anvayaḥ padaśakyaḥ vṛtyantaraṃ vinā śābdatvātpadārthavaditi/	nanu yat uktam anvayaH pada SakyaH vRti antaram vinA SAbda tvAt padArTa vat iti/
