   ṣaṭ-sandarbha-nāmaka-	zaw-sandarBa-nAmaka-
   tatrāropitam iti siddhāntinaḥ svamatam anūditaṃ naivety āhuḥ |	tatra-Aropitam iti sidDAntinaH sva-matam anUditam na-eva-iti AhuH |
   nanu tarka-hatam iti | apādāna-nirdeśena bheda-pratīter viruddha-hetutvāt	nanu tarka--hatam iti | apAdAna--nirdeSena Beda--pratIteH virudDa--hetu-tvAt-
   nanu nāmedaṃ sādhayāmaḥ | kintu tata utpannatvena kuṇḍalādivad bhedam	nanu nAma-idam sADayAmaH | kintu tatas utpanna-tvena kuNxala-Adi-vat Bedam
   anūdya pratiṣedhāmaḥ | tatrābheda eva syād ity āśaṅkyānaikāntikatvena	anUdya pratizeDAmaH | tatra-aBedaH eva syAt iti ASaFkya-anEkAntika-tvena
   hetuṃ dūṣayati | vyabhicarati kva ceti | kva ca kutrāpi	hetum dUzayati | vyaBicarati kva ca-iti | kva ca kutra-api
   kāraṇa-dharmānugatir	kAraNa-Darma-anugatiH-
   vyabhicarati | kārya-kāraṇa-dharmasya savāṃśenānugataṃ bhavatīti niyamo	vyaBicarati | kArya--kAraNa--Darmasya sava-aMSena-anugatam Bavati-iti niyamaH-
   na vidyata ity arthaḥ | dahanādy-udbhavae prabhādau dāhakatvādi-	na vidyate iti arTaH | dahana-Adi--udBavae praBA-AdO dAhaka-tva-Adi-
   dharmādarśanād iti bhāvaḥ |	Darma-adarSanAt iti BAvaH |
   dve rūpe brahmaṇas tasya mūrtaṃ cāmūrtam eva ca |	dve rUpe brahmaNaH tasya mUrtam ca-amUrtam eva ca |
   kṣarākṣara-svarūpe te sarva-bhūteṣv avasthite ||	kzara-akzara--svarUpe te sarva-BUtezu avasTite ||
   akṣaraṃ tat-paraṃ brahma kṣaraṃ sarvam idaṃ jagad | ity [ViP 1.22.55] ādy-	akzaram tat--param brahma kzaram sarvam idam jagat | iti [ViS 1.22.55] Ady-
   anantaram |	anantaram |
   eka-deśa-sthitasyāgner jyotsnā vistāriṇī yathā |	eka-deSa--sTitasya-agneH jyotsnA vistAriNI yaTA |
   parasya brahmaṇaḥ śaktis tathedam akhilaṃ jagat || ity [ViP 1.22.56] etad	parasya brahmaNaH SaktiH taTA-idam aKilam jagat || iti [ViS 1.22.56] etat-
   evaṃ vyākhyātaṃ śrī-svāmibhir eva śrī-viṣṇu-purāṇe - nanv akṣarasya para-	evam vyAKyAtam SrI--svAmiBiH eva SrI--vizNu-purANe  nanu akzarasya para-
   brahmaṇas tad-vilakṣaṇaṃ kṣara-rūpaṃ kathaṃ syād ity āśaṅkya	brahmaNaH tad--vilakzaNam kzara--rUpam kaTam syAt iti ASaFkya
   dṛṣṭāntenopapādayati ekadeśeti | prādeśikasyāgner dīpāder dāhakasyāpi	dRzwAntena-upapAdayati eka-deSa-iti | prAdeSikasya-agneH dIpa-AdeH dAhakasya-api
   tad-vilakṣaṇā jyotsnā prabhā yathā tat-prakāśa-vistāras tathā brahmaṇaḥ	tad--vilakzaNA jyotsnA praBA yaTA tat--prakASa--vistAraH taTA brahmaNaH
   śakti-kṛta-vistāra idam akhilaṃ jagad iti |	Sakti-kRta-vistAraH idam aKilam jagat iti |
   prakṛtam anusarāmaḥ | nanu tarhi vyabhicāritve śukti-rajatavad evāstu |	prakRtam anusarAmaH | nanu tarhi vyaBicAri-tve Sukti-rajata-vat eva-astu |
   tatrāhuḥ kva ca mṛṣeti | kva ca śuktādāv eva prātītika-mātra-sattākaṃ	tatra-AhuH kva ca mRzA-iti | kva ca Sukta-AdO eva prAtItika--mAtra--sattAkam
   rajatādikaṃ mṛṣā | anyatra yatra ubhayaṃ pratītim artha-kriyā-kāritvaṃ ca	rajata-Adikam mRzA | anyatra yatra uBayam pratItim arTa-kriyA-kAritvam ca
   yunakti bhajate tatra na tathā mṛṣeti |	yunakti Bajate tatra na taTA mRzA-iti |
   nanu kūṭatāmrikādiṣv arthakriyā-kāritāpi dṛśyete ity āśaṅkyāhuḥ	nanu kUwa-tAmrikA-Adizu arTa-kriyA-kAritA-api dRSyete iti ASaFkya-AhuH
   vyavṛtaya iti | kraya-vikrayādi-lakṣaṇa-vyavahārāyaiva vikalpo bhrama	vyavRtayaH iti | kraya--vikraya-Adi--lakzaNa--vyavahArAya-eva vikalpaH Brama
   iṣṭaḥ |	izwaH |
   na tu tat-tat-prasiddha-samyag-artha-kriyā-kāritāyai | tad-dānādau	na tu tat-tat--prasidDa--samyak--arTa--kriyA-a-kAritAyE | tad--dAna-AdO
   yathāvat	yaTAvat-
   puṇya-phalādikaṃ krītvā śuṇṭhī-jñānena bhakṣitam api nārogya-janakaṃ	puNya-Pala-Adikam krItvA SuNWI--jQAnena Bakzitam api na-Arogya--janakam
   pratuyta mārakam eva iti | tasmāt tat-tat-prasiddha-samyag-artha-kriyā-	pratuyta mArakam eva iti | tasmAt tat-tat--prasidDa--samyak--arTa--kriyA-
   kāritayaiva satyatvam aṅgī-kriyate | ekāṅgena sā kūṭa-sarpādau bhayādi-	kAritayA-eva satya-tvam aFgI-kriyate | eka-aFgena sA kUwa-sarpa-AdO Baya-Adi-
   rūpā tvasty eveti na tad-dhetuḥ | kiṃ cāndha-paramparayeti |	rUpA tu-asti eva-iti na tad--DetuH | kim ca-anDa--paramparayA-iti |
   sa ca kraya-vikrayādi-lakṣaṇa-vyavahāro'pi na tu yathārtha-tāmrikasyeva	sa ca kraya--vikraya-Adi--lakzaNa--vyavahAraH-api na tu yaTArTa-tAmrikasya-iva
   tad-	tat--
   vyavahāra-kuśaleṣv api kintv andha-paramparayaiva | atas tatra tadīya-	vyavahAra--kuSalezu api kintu anDa--paramparayA-eva | atas tatra tadIya-
   kuśaleṣv asiddhatvena vyavahārasyābhyāsa-mātratvāt tasmād anyathā	kuSalezu asidDatvena vyavahArasya-aByAsa--mAtra-tvAt tasmAt anyaTA
   nānumeyam | dhūmābhāse hi vahni-vyabhicārasyaucityam eveti bhāvaḥ | tad	na-anumeyam | DUma-ABAse hi vahni--vyaBicArasya-Ocityam eva-iti BAvaH | tat-
   evam artha-kriyā-kāritvenāsty evetarasya bhrama-vastu-vailakṣyāt satyatvam	evam arTa--kriyA-kAritvena-asti eva-itarasya Brama-vastu--vElakzyAt satya-tvam
   iti vivartavādini niraste punar anaśvara-vādī pratyuttiṣṭhate |	iti vivarta-vAdini niraste punar anaSvara-vAdI pratyuttizWate |
   nanv apāma somam amṛtā abhūma akṣayyaṃ ha vai cāturmāsa-yājinaḥ	nanu apAma somam amRtAH aBUma akzayyam ha vE cAturmAsa-yAjinaH
   sukṛtaṃ bhavatīti [Atharva-śira Upaniṣad 3] śrutyaiva karma-phalasya	sukRtam Bavati-iti [a-aTarva--SiraH Upa-nizad 3] SrutyA-eva karma--Palasya
   nityatva-pratipādanān naśvaratvaṃ na ghaṭate ity āśaṅkyāhuḥ bhramayatīti |	nitya-tva--pratipAdanAt naSvara-tvam na Gawate iti ASaFkya-AhuH Bramayati-iti |
   he bhagavan te tava bhāratī uru-vṛttibhiḥ vahnībhir gauṇa-lakṣaṇādibhir	he Bagavan te tava BAratI uru-vRttiBiH vahnIBiH gONa--lakzaNa-AdiBiH-
   vṛttibhiḥ uktha-jaḍān ukthāni yajñe śasyante tatra jaḍāḥ karma-śraddhā-	vRttiBiH ukTa--jaxAn ukTAni yajQe Sasyante tatra jaxAH karma-SradDA-
   bharākrānta-manda-mataya ity arthaḥ tān bhramayati | ayaṃ bhāvaḥ na hi	Bara-AkrAnta-manda--matayaH iti arTaH tAn Bramayati | ayam BAvaH na hi
   vedaḥ karma-phala:a nityam abhipraiti | kintu lakṣaṇayā prāśastya-mātram |	vedaH karma-Pala:a nityam aBiprEti | kintu lakzaNayA prASastya--mAtram |
   anyeṣāṃ vākyānāṃ vidhy-eka-vakyatvena vidhāv eva tātparyāt | anyathā	anyezAm vAkyAnAm viDi--eka-vakya-tvena viDO eva tAtparyAt | anyaTA
   vākya-bheda-prasaṅgaḥ tad yatheha karma-jito lokaḥ kṣīyate evam evāmutra	vAkya--Beda--prasaFgaH tat yaTA-iha karma--jitaH lokaH kzIyate evam eva-amutra
   puṇya-jito lokaḥ kṣīyata [ChāU 8.1.6] iti nyāyopārta hi	puNya-jitaH lokaH kzIyate [ShAU 8.1.6] iti nyAya-upArta hi
   śruty-antara-virodhaś	Sruti--antara--viroDa-H-
   ca | ataḥ karma-jaḍānām idaṃ bhrama-mātraṃ jagat tu satyam api pariṇāma-	ca | atas karma--jaxAnAm idam Brama--mAtram jagat tu satyam api pariNAma-
   dharmatvena naśvaram eveti | tad uktaṃ bhaṭṭenaiva athavetihāsa-purāṇa-	Darma-tvena naSvaram eva-iti | tat uktam Bawwena-eva aTavA-itihAsa-purANa-
   prāmāṇyāt sṛṣṭi-pralayāv apīṣyete iti |	prAmANyAt sRzwi--pralayO apIzyete iti |
   athavā nābhedaṃ sādhayāma ity ādikam āśaṅkya prasiddhasya sattā-trayasya	aTavA nABa-idam sADayAmaH iti Adikam ASaFkya prasidDasya sattA--trayasya
   mitho vailakṣaṇyāt pariharati | kva ca ghaṭādau artha-kriyā-kāriṇy api	miTas vElakzaNyAt pariharati | kva ca Gawa-AdO arTa--kriyA--kAriNI api
   vyabhicarati satteti śeṣaḥ | vastv-antarasyārtha-kriyākāritāyām asāmrthyāt	vyaBicarati sat-tA-iti SezaH | vastu--antarasya-arTa-kriyA-kAritAyAm asAmrTyAt-
   deśāntare svayam aidyamānatvāt kālāntare tirobhāvitvāc ca | kva ca śukti-	deSa-antare svayam EdyamAna-tvAt kAla-antare tiroBAvi-tvAt ca | kva ca Sukti-
   rajatādau tatrāpi tadānīm api mṛṣā artha-kriyā-kāritvābhāvāt | yā tūbhaya-	rajata-AdO tatra-api tadAnIm api mRzA arTa--kriyA--kAritva-aBAvAt | yA tu-uBaya-
   yuk ubhayatra ghaṭādi-sattāyāṃ śukti-rajatādi-sattāyāṃ ca yug yogo yasyāḥ	yuj uBayatra Gawa-Adi--sattAyAm Sukti-rajata-Adi--sattAyAm ca yuc yogaH yasyAH
   yayā sā sattā labdha-padā bhavatīty arthaḥ | sā parama-kāraṇa-sattā na	yayA sA sattA labDa-padA Bavati-iti arTaH | sA parama-kAraNa--sattA na
   tathā	taTA
   kintu sarvatrāpi sarvadāpi tat-tad-upādhy-anurūpa-sarvārtha-kriyādy-	kintu sarvatra-api sarvadA-api tat-tad--upADi--anurUpa--sarva-arTa--kriyA-Adi--
   adhiṣṭhāna-rūpety arthaḥ | tasmād artha-kriyā-kāritvena satyam api	aDizWAna--rUpA-iti arTaH | tasmAt arTa--kriyA-kAri-tvena satyam api
   pariṇatatvena ghaṭavan naśvaram eva jagat na pratīta-mātra-sattākaṃ na	pariNata-tvena Gawa-vat naSvaram eva jagat na pratIta--mAtra--sattAkam na
   cānaśvara-sattākam iti paraspara-vailakṣaṇya-darśanāt katham ekam anyad	ca-anaSvara--sattAkam iti paraspara--vElakzaNya--darSanAt kaTam ekam anyat-
   bhavitum arhatīti bhāvaḥ |	Bavitum arhati-iti BAvaH |
   kūṭa-tāmrikatvam āśaṅkyāhuḥ vyavahṛtaya iti | vikalpyate anyatrāropyate	kUwa-tA-mrika-tvam ASaFkya-AhuH vyavahRtayaH iti | vikalpyate anyatra-Aropyate
   iti vikalpaḥ svataḥ-siddhas tāmrikādir arthaḥ sa eva vyavahṛtaye iṣitaḥ |	iti vikalpaH svatas--sidDaH tAmrikA-AdiH arTaH saH eva vyavahRtaye izitaH |
   ayam	ayam
   arthaḥ | atra kūṭa-tāmrikeṇa yaṃ vyavahāraṃ manyase so'pi na tena sidhyati	arTaH | atra kUwa-tAmrikeNa yam vyavahAram manyase saH-api na tena siDyati
   kiṃ tarhi satya-tāmrikeṇaiva | arthāntaraṃ vyavahartur hṛdi tasyaiva	kim tarhi satya-tAmrikeNa-eva | arTa-antaram vyavahartuH hRdi tasya-eva
   pratyakṣatvāt | kūṭa-tāmrikam atropalakṣaṇam eva kvacit taṃ vināpi tava	pratyakza-tvAt | kUwa-tAmrikam atra-upalakzaNam eva kvacid tam vinA-api tava
   gṛhe tāmriko datta iti paścād dātavya iti vā chala-prayoge smaryamāṇenāpi	gRhe tAmrikaH dattaH iti paScAt dAtavyaH iti vA Cala--prayoge smaryamANena-api
   tena tathā vyavahāra-siddheḥ | tasmād vyavahāra-rūpāpy artha-kriyā-kāritā	tena taTA vyavahAra--sidDeH | tasmAt vyavahAra--rUpA-api arTa--kriyA-kAritA
   tasyaiva bhavatīti sa satya eva | anyathā satyasya tāmrikasyābhāve śatam	tasya-eva Bavati-iti sa satyaH eva | anyaTA satyasya tAmrikasya-aBAve Satam
   apy	api-
   andhānāṃ na paśyatīti nyāyena kūṭa-tāmrika-paramparayāpi vyavahāro'pi	anDAnAm na paSyati-iti nyAyena kUwa-tAmrika--paramparayA-api vyavahAraH-api
   na sidhyed ity āhuḥ | andha-paramparayeti | andha-paramparā doṣāt sa eva	na siDyet iti AhuH | anDa--paramparayA-iti | anDa--paramparA dozAt saH eva
   vyavahṛtaya iṣita ity anvayaḥ | yathāndha-paramparayā vyavahāro na sidhyet	vyavahRtayaH izitaH iti anvayaH | yaTA-anDa-paramparayA vyavahAraH na siDyet-
   tathā kūṭa-tāmrika-paramparayāpīty arthaḥ | ittham eva vijñāna-vādo'pi	taTA kUwa-tAmrika-paramparayA-api-iti arTaH | itTam eva vijQAna--vAdaH-api
   nirākṛtaḥ | śaṅkara-śārīrike'pi anāditve'py andha-paramparā-	nirAkRtaH | SaFkara--SArIrike-api anAdi-tve-api anDa--paramparA-
   nyāyenāpratiṣṭhaivānavasthā vyavahāra-vilopinī syāt | nābhiprāya-siddhir	nyAyena-apratizWA-eva-anavasTA vyavahAra--vilopinI syAt | nABi-prAya--sidDiH-
   ity uktam |	iti uktam |
   etad uktaṃ bhavati - yathedaṃ suvarṇaṃ kena krītam iti praśne kaścid āha	etat uktam Bavati  yaTA-idam suvarNam kena krItam iti praSne kaScid Aha
   anenāndheneti | anena kathaṃ paricitam iti punar āha tenāndhena	anena-anDena-iti | anena kaTam paricitam iti punar Aha tena-anDena
   paricāyitam | tena ca kathm ity āha kenāpy apareṇāndhenety	paricAyitam | tena ca kaTm iti Aha kena-api apareNa-anDena-iti-
   andhaparamparayāpi na sidhed vyavahāraḥ | kintu tatrāndha-paramparāyāyṃ	anDa-paramparayA-api na siDet vyavahAraH | kintu tatra-anDa--paramparAyAyM
   yady eko'pi cakṣṣmān sarvādi-pravartako bhavati tadaiva sidhyati | yathā	yadi ekaH-api cakzzmAn sarva-Adi-pravartakaH Bavati tadA-eva siDyati | yaTA
   ca	ca
   tatra sarveṣv api cakṣuṣmata eva vyavahāra-sādhakatvaṃ | tathā kasmiṃścit	tatra sarvezu api cakzuzmataH eva vyavahAra--sADaka-tvam | taTA kasmiMScid-
   tāmrike prathamaṃ satye saty eva vyavahāraḥ sidhyati | tatra ca satyasaiva	tAmrike praTamam satye sati eva vyavahAraH siDyati | tatra ca satyasA-eva
   vyavahāra-sādhakatvaṃ | tad anusandhānenaiva tatra pravṛtteś cakṣuṣmata	vyavahAra--sADaka-tvam | tat anusanDAnena-eva tatra pravRtteH cakzuzmata
   iva	iva
   pravartakatvāt tataś ca na tāmrika satya iti sthite, yatra	pravartaka-tvAt tatas ca na tAmrika satyaH iti sTite, yatra
   tad-vyavahāra-kuśalaḥ	tat--vyavahAra--kuSalaH
   parīkṣayā satyatāvagamyate sa eva kūṭa-tāmrike'py āropyamāṇaḥ satyo	parIkzayA satyatA-avagamyate saH eva kUwa-tAmrike-api AropyamANaH satyaH-
   bhavet | tad evam artha-kriyā-kāritvena tasya satyatve tad-upalakṣitaṃ	Bavet | tat evam arTa--kriyA-kAri-tvena tasya satya-tve tad--upalakzitam
   viśvam	viSvam
   eva bhrama-vastu-vilakṣaṇaṃ satyam iti siddham | paramātmana evāvayavitva-	eva Brama--vastu--vilakzaNam satyam iti sidDam | paramAtmanaH eva-avayavi-tva-
   vyavahāra-sādhitatvād yuktam eva tat | tathā ca bhramādibhiḥ stutam -	vyavahAra--sADita-tvAt yuktam eva tat | taTA ca Brama-AdiBiH stutam -
   satyasya yonim [BhP 10.2.26] iti | tat satyam ity ācakṣata iti śrutiś ca |	satyasya yonim [Bhj 10.2.26] iti | tat satyam iti Acakzate iti SrutiH ca |
   śiṣṭam	Sizwam
   anyat samānam |	anyat samAnam |
   evaṃ jagataḥ satyatvam aṅgīkṛtaṃ tac ca naśvaram iti | tatra naśvaratvaṃ	evam jagataH satya-tvam aFgIkRtam tat ca naSvaram iti | tatra naSvara-tvam
   nātyantikaṃ kintv avyaktatayā sthiter adṛśyatā-mātram eva | sat-kāryatā-	na-Atyantikam kintu avyakta-tayA sTiteH adRSyatA--mAtram eva | sat-kArya-tA-
   samprattipatteḥ | yad bhūtaṃ bhavac ca bhaviṣyac cety ādi śruteḥ | ataeva	samprattipatteH | yat BUtam Bavat ca Bavizyat ca-iti Adi SruteH | ataeva
   śuktitve rajatvam iva tasyāvyakta-rūpatve jagattvam asan na bhavati |	Sukti-tve raja-tvam iva tasya-avyakta--rUpa-tve jagat-tvam asat na Bavati |
   paṭavac	pawava-t-
   ca iti [Vs 2.1.20] nyāyena jagad eva hi sūkṣmatāpannam avyaktam iti	ca iti [VH 2.1.20] nyAyena jagat eva hi sUkzmatA-Apannam avyaktam iti
   dṛśyatvena bhrānti-rajata-kakṣam api jagat tad-vilakṣaṇa-sattākaṃ	dRSya-tvena BrAnti--rajata-kakzam api jagat tad--vilakzaNa--sattAkam
   tathātmavad apariṇatatvābhāvena naikāvastha-sattākam ity evam artha-	taTA-Atma-vat apariNata-tva-aBAvena na-eka-avasTa--sattAkam iti evam arTa-
   siddhaye tad-anantaram evāhuḥ |	sidDaye tad--anantaram eva-AhuH |
   na yad idam agra āsa na bhaviṣyad ato nidhanād	na yat idam agre Asa na Bavizyat atas niDanAt-
   anumitam antarā tvayi vibhāti mṛṣaika-rasa |	anumitam antarA tvayi viBAti mRzA-eka-rasa |
   ata upamīyate draviṇa-jāti-vikalpa-pathair	atas upamIyate draviNa---jAti-vikalpa--paTEH-
   vitatha-mano-vilāsa-mṛtam ity avayasnty abudhāḥ || [BhP 10.87.37]	vitaTa--mano--vilAsa-mRtam iti avayasnti abuDAH || [Bhj 10.87.37]
   yad yadi idaṃ viśvam agre sṛṣṭeḥ pūrvaṃ nāsat nāsīt tadā na bhaviṣyan	yat yadi idam viSvam agre sRzweH pUrvam na-asat na-AsIt tadA na Bavizyan
   nābhaviṣyad eva aḍāgamābhāva ārṣaḥ ākāśe kusumam iveti | śrutayaś āsīd	na-aBavizyat eva axAgamA-BAva ArzaH AkASe kusumam iva-iti | SrutayaH AsIt-
   eveti vadanti sad eva saumyedam agra āsīt ātmā vā yad idam agra āsīd ity	eva-iti vadanti sat eva sOmya-idam agre AsIt AtmA vA yat idam agre AsIt iti-
   ādyāḥ | tad evaṃ sūkṣmatayā tvat-tādātmyena sthitaṃ kāraṇāvastham idaṃ	AdyAH | tat evam sUkzma-tayA tu-at-tAdAtmyena sTitam kAraNa-avasTam idam
   jagat vistṛtataya kāryāvasthaṃ bhavati | ato yan-nidhanān nāśa-mātrād	jagat vistRta-taya kArya-avasTam Bavati | atas yan-niDanAt nASa--mAtrAd
   dhetoḥ	DetoH
   śuktau rajatam iva tvayi tad idam antarā sṛṣṭi-madhya eva na tv agre cānte	SuktO rajatam iva tvayi tat idam antarA sRzwi--maDye eva na tu agre ca-ante
   ca vibhātīty anumitaṃ tan mṛṣeti pramāṇa-siddhaṃ na bhavatīty arthaḥ |	ca viBAti-iti anumitam tat mRzA-iti pramANa--sidDam na Bavati-iti arTaH |
   tatra	tatra
   hetum āhur ekarase iti | anubhavāntarā-viṣayānanda-svāda iti | yasminn	hetum AhuH ekarase iti | anuBava-antarA--vizaya-Ananda-svAdaH iti | yasmin=-
   anubhūte sati viṣayāntara-sphūrtir na sambhavati tasmiṃs tvayi śukty-ādi-	anuBUte sati vizaya-antara--sPUrtiH na samBavati tasmin tvayi Sukti--Adi-
   nikṛṣṭa-vastūnīva viṣayāropaḥ kathaṃ syād ity arthaḥ |	nikRzwa--vastUni-iva vizaya-AropaH kaTam syAt iti arTaH |
   dadhati sakṛn manas tvayi ya ātmani nitya-sukhe	daDati sakRt manaH tvayi yaH Atmani nitya--suKe
   na punar upāsate puruṣa-sāra-harāvasthān || ity [BhP 10.87.35] asmākam	na punar upAsate puruza---sAra--hara-avasTAn || iti [Bhu 10.87.35] asmAkam
   evokteḥ ||	eva-ukteH ||
   ato'cintya-śaktyā svarūpād acyutasyaiva tava pariṇāma-svīkāreṇa draviṇa-	atas-acintya--SaktyA svarUpAt acyutasya-eva tava pariNAma--svIkAreNa draviNa-
   jātīnāṃ dravya-mātrāṇāṃ mṛl-lohādīnāṃ vikalpā bhedā ghaṭa-	jAtInAm dravya--mAtrANAm mRl--loha-AdInAm vikalpA BedAH Gawa-
   kuṇḍalādayas teṣāṃ panthāno mārgāḥ prakārās tair evāsmābhir upamīyate	kuNxala-AdayaH tezAm panTAnaH mArgAH prakArAH tEH eva-asmABiH upamIyate
   na tu kutrāpi bhramara-jatādibhiḥ | yasmād evaṃ tasmād vitathā mano-	na tu kutra-api Bramara--jata-AdiBiH | yasmAt evam tasmAt vitaTAH mano-
   vilāsāḥ ya etādṛśam eva ṛtaṃ tad-rūpaṃ brahma vedaṃ jagad ity abudhā	vilAsAH yaH etAdRSam eva Rtam tat--rUpam brahma vedam jagat iti abuDA
   evāvayanti manyante | tasya tad-adhiṣṭhānatvāsamabhavād iti bhāvaḥ | ita-	eva-avayanti manyante | tasya tad--aDizWAna-tva-asam-aBavAt iti BAvaH | ita-
   śabda-prayogas tv atra mithyāsambandha-rāhitya-vyañjanārtham va kṛta iti	Sabda--prayogaH tu atra miTyA-sambanDa--rAhitya--vyaQjana-arTam va kRtaH iti
   jñeyam |	jQeyam |
   atra sat-kāryavādinām ayam abhiprāyaḥ | mṛt-piṇḍādi-kārakair yo ghaṭa	atra sat-kArya-vAdinAm ayam aBiprAyaH | mRt--piNxa-Adi--kArakEH yaH Gawa
   utpadyate sann asan vā | ādye piṣṭa-peṣaṇam | dvitīye kriyāyāḥ kārakaiś ca	utpadyate san asan vA | Adye pizwa-pezaNam | dvitIye kriyAyAH kArakEH ca
   tat-siddhir iti dik | tasmān na prakaṭam eva sanna cātyantam asan kintv	tat-sidDiH iti diS | tasmAt na prakawam eva sat-na ca-atyantam asan kintv
   avyaktatayā mṛt-piṇḍe eva sthito'sau yathā	avyakta-tayA mRt-piNxe eva sTitaH-asO yaTA
   kāraka-tan-niṣpanna-kriyā-yogena	kAraka-tan--nizpanna--kriyA--yogena
   vyajyate | tathā parama-kāraṇe tvayi sthitaṃ viśvaṃ	vyajyate | taTA parama-kAraNe tvayi sTitam viSvam
   tvat-svābhāvika-śakti-tan-	tu-at-svABAvika--Sakti-tan-
   niṣpanna-kriyā-yogeneti | atra sva-vedāntitva-prakhyāpakānām anyathā-	nizpanna--kriyA-yogena-iti | atra sva---vedAnti-tva--praKyApakAnAm anyaTA-
   yukti-viruddham eva | mana eva bhūta-kāryam iti hi tatra prasiddhaṃ yukti-	yukti-virudDam eva | manaH eva BUta-kAryam iti hi tatra prasidDam yukti-
   viruddhaṃ ca | mano'haṅkārādīnāṃ manaḥ-kalpitatvāsambhavāt | tathā hi	virudDam ca | manaH-ahaFkAra-AdInAm manaH--kalpita-tva-asamBavAt | taTA hi
   sati veda-viruddho'nīśvara-vādaś ca prasajyeta | sa ca ninditaḥ pādme -	sati veda--virudDaH-anISvara-vAdaH ca prasajyeta | sa ca ninditaH pAdme -
   śrutayaḥ smṛtayaś caiva yuktayaś ceśvaraṃ param |	SrutayaH smRtayaH ca-eva yuktayaH ca-ISvaram param |
   vadanti tad-viruddhaṃ yo vadet tasmān na cādhamaḥ || iti |	vadanti tat--virudDam yaH vadet tasmAt na ca-aDamaH || iti |
   asatyam apratiṣṭhante jagad āhur anīśvaram |	asatyam apratizWante jagat AhuH anISvaram |
   aparaspara-sambhūtaṃ kim anyat kāma-haitukam || iti [Gītā 16.8]	aparaspara--samBUtam kim anyat kAma-hEtukam || iti [GItAH 16.8]
   śrī-gītopaniṣadam anīśvara-vādina eva vyācakṣate | asatyaṃ mithyā-bhūtaṃ	SrI---gIta-upanizadam anISvara-vAdinaH eva vyAcakzate | asatyam miTyA--BUtam
   satyāsatyābhyām anirvacanīyatvenāpratiṣṭhaṃ nirdeśa-śūnyaṃ sthāṇau	satya-asatyAByAm anirvacanIya-tvena-apratizWam nirdeSa--SUnyam sTANO
   puruṣatvavat brahmaṇīśvaratvasyājñāna-mātra-kalpitatvād īśvarābhimānī	puruza-tva-vat brahmaNi-ISvara-tvasya-ajQAna--mAtra--kalpita-tvAt ISvara-aBimAnI
   tatra kaścin nāstīty anīśvaram eva jagat aparaspara-sambhūtam anādy-	tatra kaScid na-asti-iti anISvaram eva jagat aparaspara--samBUtam anAdy-
   ajñāna-paramparā-sambhūtam aparasparāḥ kriyā-sātatye ataḥ kāma-haitukaṃ	ajQAna-paramparA--samBUtam aparasparAH kriyA-sAtatye atas kAma--hEtukam
   manaḥ saṅkalpa-mātra-jātaṃ svapnavad ity arthaḥ | atra pravṛttiṃ cety	manaH saFkalpa--mAtra--jAtam svapna-vat iti arTaH | atra pravRttim ca-iti-
   ādinā	AdinA
   teṣāṃ saṃskāra-doṣa uktaḥ |	tezAm saMskAra-dozaH uktaH |
   etāṃ dṛṣṭim ity [Gītā 16.9] ādinā tu gatiś ca nindiṣyate iti jñeyam ebhir	etAm dRzwim iti [GItA 16.9] AdinA tu gatiH ca nindizyate iti jQeyam eBiH-
   eva	eva
   brahmaṇa aiśvaryopādir māyāpi jīvājñāna-kalpitā tayaiva jagat-sṛṣṭir iti	brahmaNaH ESvarya-upAdiH mAyA-api jIva-ajQAna--kalpitA tayA-eva jagat-sRzwiH iti
   matam | yad uktaṃ tadīya-bhāṣye tad-ananyatvam ity [Vs 2.1.15] ādi-sūtre -	matam | yat uktam tadIya--BAzye tat--ananya-tvam iti [VH 2.1.15] Adi-sUtre -
   sarva-jñeśvarasyātmabhūte ivāvidyā-kalpite nāma-rūpe tatvātattvābhyām	sarva-jQeSvarasya-Atma-BUte iva-avidyA-kalpite nAma--rUpe tatvA-tattvAByAm
   anirvacanīye saṃsāra-prapañca-bīja-bhūte sarvajñeśvarasya māyā-śaktiḥ	anirvacanIye saMsAra--prapaQca--bIja--BUte sarvajQeSvarasya mAyA-SaktiH
