   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   (KauśS_8,8[67].23) paścād agneḥ palpūlitavihitam aukṣaṃ vānaḍuham vā	(KOSS_8,8[67].23) paScAt agneH palpUlita vihitam Okzam vA anaxuham vA
   rohitaṃ carma prāggrīvam uttaraloma paristīrya	rohitam carma prAk grIvam uttaraloma paristIrya
   (KauśS_8,8[67].24) pavitre kurute	(KOSS_8,8[67].24) pavitre kurute
   (KauśS_8,8[67].25) darbhau_aprachinnaprāntau prakṣālyānulomam anumārṣṭi	(KOSH _8,8[67].25) darBO_apraCinna prAntO prakzAlya anulomam anumArzwi
   (KauśS_8,8[67].26) dakṣiṇaṃ jānu_ācyāparājitābhimukhaḥ prahvo vā muṣṭinā	(KOSH _8,8[67].26) dakziNam jAnu_Acya aparAjita aBimuKaH prahvaH vA muzwinA
   prasṛtināñjalinā yasyāṃ śrapayiṣyan syāt tayā caturtham	prasRtinA aQjalinA yasyAm Srapayizyan syAt tayA caturTam
   (KauśS_8,8[67].27) śarāveṇa catuḥśarāvaṃ <devasya tvā savituḥ prasave [PS	(KOSS_8,8[67].27) SarAveNa catur SarAvam <devasya tvA savituH prasave [PS
   16.70.1, TS 2.4.6.1 etc.]>_<ṛṣibhyas tvārṣeyebhyas tvaikarṣaye tvā juṣṭaṃ	16.70.1, TH 2.4.6.1 etc.]>_<RziByaH tu ArzeyeByaH tu A eka Rzaye tvA juzwam
   nirvapāmi [cf. PS 16.70.2]>	nirvapAmi [cf. PS 16.70.2]>
   (KauśS_8,9[68].1) <vasavas tvā gāyatreṇa chandasā nir vapantu | ūrjam	(KOSS_8,9[68].1) <vasavaH tvA gAyatreNa CandasA niH vapantu | Urjam
   akṣitam akṣīyamāṇam upajīvyāsam [cf. PS 16.70.2+3]> iti dātāraṃ vācayati	akzitam akzIyamANam upajIvyAsam [cf. PS 16.70.2+3]> iti dAtAram vAcayati
   (KauśS_8,9[68].2) <rudrās tvā traiṣṭubhena chandasā | ādityās tvā jāgatena	(KOSS_8,9[68].2) <rudrAH tvA trEzwuBena CandasA | AdityAH tvA jAgatena
   chandasā | viśve tvā devā ānuṣṭubhena chandasā nir vapantu | ūrjam akṣitam	CandasA | viSve tvA devAH AnuzwuBena CandasA niH vapantu | Urjam akzitam
   akṣīyamāṇam upa jīvyāsam [cf. PS 16.70.2+4+5, AitB 8.12]> iti dātāraṃ	akzIyamANam upa jIvyAsam [cf. PS 16.70.2+4+5, AitB 8.12]> iti dAtAram
   vācayati	vAcayati
   (KauśS_8,9[68].3) niruptaṃ sūktenābhimṛśati	(KOSS_8,9[68].3) niruptam sUktena aBimRSati
   (KauśS_8,9[68].4) svargabrahmaudanau tantram	(KOSS_8,9[68].4) svarga brahmOdanO tantram
   (KauśS_8,9[68].5) saṃnipāte brahmaudanamitam udakam āsecayed dvibhāgam	(KOSS_8,9[68].5) saMnipAte brahmOdana mitam udakam Asecayet dvi BAgam
   (KauśS_8,9[68].6) yāvantas taṇḍulāḥ syur nāvasiñcet_na pratiṣiñcet	(KOSS_8,9[68].6) yAvantaH taNxulAH syuH na avasiQcet _na pratiziQcet 
   (KauśS_8,9[68].7) yadi_avasiñcet_<mayi varco atho yaśo [6.69.3]>_iti	(KOSS_8,9[68].7) yadi_avasiQcet _<mayi varcaH aTo yaSaH [6.69.3]>_iti
   brahmā yajamānaṃ vācayati	brahmA yajamAnam vAcayati
   (KauśS_8,9[68].8) atha pratiṣiñcet	(KOSS_8,9[68].8) aTa pratiziQcet 
   (KauśS_8,9[68].9) <ā pyāyasva [PS 20.55.4, .RV 1.19.16 etc.]> <saṃ te	(KOSS_8,9[68].9) <A pyAyasva [PS 20.55.4, .RV 1.19.16 ed c.]> <sam te
   payāṃsi [PS 20.55.6, .RV 1.91.18 etc.]>_iti dvābhyāṃ pratiṣiñcet	payAMsi [PS 20.55.6, .RV 1.91.18 ed c.]>_iti dvAByAm pratiziQcet 
   (KauśS_8,9[68].10) <ā pyāyasva sam etu te visvataḥ soma vṛṣṇyam | bhavā	(KOSS_8,9[68].10) <A pyAyasva sam etu te visvataH soma vRzNyam | BavA
   vājasya saṃgathe || saṃ te payāṃsi sam u yantu vājāḥ saṃ vṛṣṇyāny	vAjasya saMgaTe || sam te payAMsi sam u yantu vAjAH sam vRzNyAni 
   abhimātiṣāhaḥ | āpyāyamāno amṛtāya soma divi śravāṃsy uttamāni dhiṣva ||	aBimAtizAhaH | ApyAyamAnaH amRtAya soma divi SravAMsi uttamAni Dizva ||
   [PS 20.55.4+6, .RV 1.91.16+18]>_iti	[PS 20.55.4+6, .RV 1.91.16+18]>_iti
   (KauśS_8,9[68].11) tatra ced upādhimātrāyāṃ nakhena na lavaṇasya kuryāt	(KOSH _8,9[68].11) tatra ced upADi mAtrAyAm naKena na lavaNasya kuryAt 
   tena_evāsya tad vṛthānnaṃ saṃpadyate	tena_eva asya tat vRTA annam saMpadyate
   (KauśS_8,9[68].12) ahataṃ vāso dakṣiṇata upaśete	(KOSS_8,9[68].12) ahatam vAsaH dakziNatas upaSete
   (KauśS_8,9[68].13) tat sahiraṇyam	(KOSS_8,9[68].13) tat sa hiraNyam
   (KauśS_8,9[68].14) tatra dve udapātre nihite bhavataḥ	(KOSH _8,9[68].14) tatra dve uda pAtre nihite BavataH
   (KauśS_8,9[68].15) dakṣiṇam anyad antaram anyat	(KOSH _8,9[68].15) dakziNam anyat antaram anyat 
   (KauśS_8,9[68].16) antaraṃ yato_adhicariṣyan bhavati	(KOSH _8,9[68].16) antaram yatas _aDicarizyan Bavati
   (KauśS_8,9[68].17) bāhyaṃ jāṅmāyanam	(KOSS_8,9[68].17) bAhyam jAFmAyanam
   (KauśS_8,9[68].18) tata udakam ādāya pātryām ānayati	(KOSS_8,9[68].18) tatas udakam AdAya pAtryAm Anayati
   (KauśS_8,9[68].19) darvyā kumbhyām	(KOSS_8,9[68].19) darvyA kumByAm
   (KauśS_8,9[68].20) darvikṛte tatra_eva pratyānayati	(KOSH _8,9[68].20) darvi kRte tatra_eva pratyAnayati
   (KauśS_8,9[68].21) darvyā_uttamam apādāya tatsuhṛd dakṣiṇato_agner	(KOSS_8,9[68].21) darvyA_uttamam apAdAya tad suhRd dakziNatas _agneH 
   udaṅmukha āsīno dhārayati	udaFmuKaH AsInaH DArayati
   (KauśS_8,9[68].22) atha_uddharati	(KOSS_8,9[68].22) aTa_udDarati
   (KauśS_8,9[68].23) uddhṛte yad apādāya dhārayati tad uttarārdha ādhāya	(KOSS_8,9[68].23) udDRte yat apAdAya DArayati tat uttara arDaH ADAya
   rasair upasicya pratigrahītre dātā_upavahati	rasEH upasicya pratigrahItre dAtA_upavahati
   (KauśS_8,9[68].24) tasminn anvārabdhaṃ dātāraṃ vācayati	(KOSH _8,9[68].24) tasmin anvArabDam dAtAram vAcayati
   (KauśS_8,9[68].25) tantraṃ sūktaṃ pacchaḥ snātena <yau te pakṣau [PS	(KOSH _8,9[68].25) tantram sUktam pacCas snAtena <yO te pakzO [PS
   3.38.6]> <yad atiṣṭhaḥ [PS 3.38.7]>	3.38.6]> <yat atizWaH [PH 3.38.7]>
   (KauśS_8,9[68].26) <yau te pakṣāv ajarau patatriṇau yābhyāṃ rakṣāṃsy	(KOSS_8,9[68].26) <yO te pakzO ajarO patatriNO yAByAm rakzAMsi 
   apahaṃsy odana | tābhyāṃ pathyāsma sukṛtasya lokaṃ yatra ṛṣayaḥ	apahaMsi odana | tAByAm paTyA asma sukRtasya lokam yatra RzayaH
   prathamajāḥ purāṇāḥ || yad atiṣṭho divas pṛṣṭhe vyomann adhy odana |	praTama jAH purANAH || yat atizWaH divaH pRzWe vyoman aDi odanaH |
   anvāyan satyadharmāṇo brāhmaṇā rādhasā saha || [PS 3.38.6 7, cf. TS	anvAyan satya DarmANaH brAhmaNAH rADasA saha || [PS 3.38.6 7, cf. TS
   4.7.13.1, VSM 18.52]>	4.7.13.1, VSm 18.52]>
   (KauśS_8,9[68].27) <kramadhvam agninā nākam [4.14.2]>_<pṛṣṭhāt pṛthivyā	(KOSS_8,9[68].27) <kramaDvam agninA nAkam [4.14.2]>_<pRzWAt pRTivyAH 
   aham antarikṣam āruham [4.14.3]>_<svar yanto nāpekṣanta [4.14.4]> <uruḥ	aham antarikzam Aruham [4.14.3]>_<svar yantaH na apekzante [4.14.4]> <uruH
   prathasva mahatā mahimnā [11.1.19]>_<idaṃ me jyotir [11.1.28]>_<satyāya ca	praTasva mahatA mahimnA [11.1.19]>_<idam me jyotiH [11.1.28]>_<satyAya ca
   [12.3.46]>_iti tisraḥ <sam agnayaḥ [12.3.50]>_iti sārdham etayā	[12.3.46]>_iti tisraH <sam agnayaH [12.3.50]>_iti sArDam etayA
   (KauśS_8,9[68].28) ata ūrdhvaṃ vācite hute saṃsthite_amūṃ te dadāmīti	(KOSS_8,9[68].28) atas UrDvam vA Acite hute saMsTite_amUm te dadAmi iti
   nāmagrāham upaspṛśet	nAmagrAham upaspRSet 
   (KauśS_8,9[68].29) sadakṣiṇaṃ <kāmas tad [19.52.1]> ity uktam	(KOSS_8,9[68].29) sa dakziNam <kAmaH tat [19.52.1]> iti uktam
   (KauśS_8,9[68].30) <ye bhakṣayanto [2.35.1]>_iti purastāddhomāḥ	(KOSS_8,9[68].30) <ye BakzayantaH [2.35.1]>_iti purastAt homAH
   (KauśS_8,9[68].31) <agne tvaṃ no antama uta trātā śivo bhavā varūthyaḥ |	(KOSH _8,9[68].31) <agne tvam naH antamaH uta trAtA SivaH BavAH varUTyaH |
   taṃ tvā śociṣṭha dīdivaḥ sumnāya nūnam īmahe sakhibhyaḥ || [.RV	tam tvA SocizWa dIdivaH sumnAya nUnam Imahe saKiByaH || [.RV
   5.24.1ab+2cd etc.]> <gayasphāno amīvahā vasuvit puṣṭivardhanaḥ | sumitraḥ	5.24.1ab+2ct ed c.]> <gaya sPAnaH amIvahA vasu vid puzwi varDanaH | sumitraH
   sumano bhava [cf. .RV 1.91.12 etc.]>_ity ājyabhāgau	sumanaH BavaH [cf. .RV 1.91.12 etc.]>_iti Ajya BAgO
   (KauśS_8,9[68].32) pāṇau_udakam ānīya_ity uktam	(KOSS_8,9[68].32) pANO_udakam AnIyaH _iti uktam
   (KauśS_8,9[68].33) pratimantraṇāntam	(KOSH _8,9[68].33) pratimantraNa antam
   (KauśS_8,9[68].34) pratimantrite vyavadāyāśnanti	(KOSH _8,9[68].34) pratimantrite vyavadAya aSnanti
   (KauśS_8,9[68].35) <idāvatsarāya [PS 19.51.1 4]>_iti vratavisarjanam ājyaṃ	(KOSS_8,9[68].35) <idA vatsarAya [PS 19.51.1 4]>_iti vrata visarjanam Ajyam
   juhuyāt	juhuyAt 
   (KauśS_8,9[68].36) samidho_abhyādhyāt	(KOSS_8,9[68].36) samiDaH _aByADyAt 
   (KauśS_8,9[68].37) tatra ślokau | yajuṣā mathite agnau yajuṣopasamāhite |	(KOSH _8,9[68].37) tatra SlokO | yajuzA maTite agnO yajuzA upasamAhite |
   savān dattvā savāgnes tu katham utsarjanaṃ bhavet || vācayitvā savān	savAn dattvA sava agneH tu kaTam utsarjanam Bavet || vAcayitvA savAn
   sarvān pratigṛhya yathāvidhi | hutvā saṃnatibhis tatrotsargaṃ kauśiko	sarvAn pratigRhya yaTAviDi | hutvA saMnatiBiH tatra utsargam kOSikaH 
   'bravīt	abravIt 
   (KauśS_8,9[68].38) prāñco_aparājitāṃ vā diśam avabhṛthāya vrajanti	(KOSS_8,9[68].38) prAQcaH _aparAjitAm vA diSam avaBRTAya vrajanti
   (KauśS_8,9[68].39) apāṃ sūktair āplutya pradakṣiṇam āvṛtyāpa	(KOSS_8,9[68].39) apAm sUktEH Aplutya pradakziNam AvRtya apa
   upaspṛśyānavekṣamāṇāḥ pratyudāvrajanti	upaspRSya anavekzamANAH pratyudAvrajanti
   (KauśS_8,9[68].40) brāhmaṇān bhaktena_upepsanti	(KOSH _8,9[68].40) brAhmaNAn Baktena_upepsanti
   (KauśS_8,9[68].41) yathoktā dakṣiṇā yathoktā dakṣiṇā	(KOSS_8,9[68].41) yaTA uktA dakziNA yaTA uktA dakziNA
   (KauśS 8 Colophon) iti atharvavede kauśikasūtre 'ṣṭamo 'dhyāyaḥ samāptaḥ	(KOSH 8 ColoPon) iti aTarvavede kOSika sUtre azwamaH aDyAyaH samAptaH
   (KauśS_9,1[69].1) pitryam agniṃ śamayiṣyañ jyeṣṭhasya cāvibhaktina ekāgnim	(KOSS_9,1[69].1) pitryam agnim Samayizyan jyezWasya ca aviBaktinaH eka agnim
   ādhāsyan	ADAsyan
   (KauśS_9,1[69].2) amāvāsyāyaṃ pūrvasminn upaśāle gāṃ dvihāyanīṃ rohiṇīm	(KOSS_9,1[69].2) amAvAsyA ayam pUrvasmin upaSAle gAm dvi hAyanIm rohiNIm
   ekarūpāṃ bandhayati	eka rUpAm banDayati
   (KauśS_9,1[69].3) niśi śāmūlaparihito jyeṣṭho_anvālabhate	(KOSS_9,1[69].3) niSi SAmUla parihitaH jyezWaH _anvAlaBate
   (KauśS_9,1[69].4) patnī_ahatavasanā jyeṣṭham	(KOSS_9,1[69].4) patnI_ahata vasanA jyezWam
   (KauśS_9,1[69].5) patnīm anvañca itare	(KOSS_9,1[69].5) patnIm anvaQca itare
   (KauśS_9,1[69].6) atha_enān abhivyāhārayati_<adhrigo śamīdhvam | suśami	(KOSS_9,1[69].6) aTa_enAn aBivyAhArayati_<aDrigo SamIDvam | suSami
   śamīdhvam | śamīdhvam adhrigā o u [cf. TB 3.6.6.4 etc.]> iti triḥ	SamIDvam | SamIDvam aDrigAH aH u [cf. TB 3.6.6.4 etc.]> iti tris 
   (KauśS_9,1[69].7) <ayam agniḥ satpatir [7.62.1]> <naḍam ā roha	(KOSS_9,1[69].7) <ayam agniH sat patiH [7.62.1]> <naxam A roha
   [12.2.1]>_ity anuvākaṃ mahāśāntiṃ ca śāntyudaka āvapate	[12.2.1]>_iti anuvAkam mahA SAntim ca SAntyudakaH Avapate
   (KauśS_9,1[69].8) <agne akravyād [12.2.42]> iti bhraṣṭād dīpaṃ dhārayati	(KOSH _9,1[69].8) <agne akravyAt [12.2.42]> iti BrazwAt dIpam DArayati
   (KauśS_9,1[69].9) bhūmeś ca_upadagdhaṃ samutkhāya	(KOSS_9,1[69].9) BUmeH ca_upadagDam samutKAya
   (KauśS_9,1[69].10) ākṛtiloṣṭavalmīkenāstīrya	(KOSS_9,1[69].10) AkRti lozwa valmIkena AstIrya
   (KauśS_9,1[69].11) śakṛtpiṇḍenābhilipya	(KOSS_9,1[69].11) SakRt piNxena aBilipya
   (KauśS_9,1[69].12) sikatābhiḥ prakīryābhyukṣya	(KOSS_9,1[69].12) sikatABiH prakIrya aByukzya
   (KauśS_9,1[69].13) lakṣaṇaṃ kṛtvā	(KOSH _9,1[69].13) lakzaNam kRtvA
   (KauśS_9,1[69].14) punar abhyukṣya	(KOSS_9,1[69].14) punar aByukzya
   (KauśS_9,1[69].15) paścāl lakṣaṇasyābhimanthanaṃ nidhāya	(KOSS_9,1[69].15) paScAt lakzaNasya aBimanTanam niDAya
   (KauśS_9,1[69].16) go'śvājāvīnāṃ puṃsāṃ lomabhir āstīrya vrīhiyavaiś ca	(KOSS_9,1[69].16) go aSva ajAvInAm puMsAm lomaBiH AstIrya vrIhi yavEH ca
   śakṛtpiṇḍam abhivimṛjya prāñcau darbhau nidadhāti	SakRt piNxam aBivimRjya prAQcO darBO nidaDAti
   (KauśS_9,1[69].17) <vṛṣaṇau sthaḥ [TS 1.3.7.1 etc.]>_ity abhipāṇyāraṇyau	(KOSS_9,1[69].17) <vRzaNO sTaH [TH 1.3.7.1 etc.]>_iti aBipANya araNyO
   (KauśS_9,1[69].18) tayor upari_adharāraṇim	(KOSS_9,1[69].18) tayoH upari_aDara araNim
   (KauśS_9,1[69].19) dakṣiṇato mūlān	(KOSH _9,1[69].19) dakziNatas mUlAn
   (KauśS_9,1[69].20) paścāt prajananām <urvaśy asi [TS 1.3.7.1 etc.]>_ity	(KOSS_9,1[69].20) paScAt prajananAm <urvaSI asi [TH 1.3.7.1 etc.]>_iti 
   <āyur asi [TS 1.3.7.1 etc.]>_iti	<a AyuH asi [TH 1.3.7.1 ed c.]>_iti
   (KauśS_9,1[69].21) mūlata uttarāraṇim upasaṃdhāya	(KOSH _9,1[69].21) mUlataH uttarAraNim upasaMDAya
   (KauśS_9,1[69].22) <pṛtanājitaṃ [7.63.1]>_ity āhūya	(KOSS_9,1[69].22) <pRtanA ajitam [7.63.1]>_iti AhUya
   (KauśS_9,1[69].23) abhidakṣiṇaṃ jyeṣṭhas trir abhimanthati_<oṃ bhūr	(KOSS_9,1[69].23) aBidakziNam jyezWaH tris aBimanTati_<om BUr
   gāyatraṃ chando 'nuprajāyasva traiṣṭhubhaṃ jāgatam ānuṣṭhubam oṃ bhūr	gAyatram CandaH anuprajAyasva trEzWuBam jAgatam AnuzWubam om BUH 
   bhuvaḥ svar janad om [cf. TS 1.3.7.1 etc.]> iti	BuvaH svar janat om [cf. TH 1.3.7.1 ed c.]> iti
   (KauśS_9,1[69].24) ata ūrdhvaṃ yathākāmaṃ	(KOSS_9,1[69].24) atas UrDvam yaTAkAmam
   (KauśS_9,2[70].1) <manthāmi tvā jātavedaḥ sujātaṃ jātavedasam | sa no	(KOSS_9,2[70].1) <manTAmi tvA jAtavedaH su jAtam jAtavedasam | sa no
   jīveṣv ā bhaja dīrgham āyuś ca dhehi naḥ || [ ]> <jāto 'janiṣṭhā yaśasā	jIvezu A Baja dIrGam AyuH ca Dehi naH || [ ]> <jAtaH ajanizWA yaSasA
   sahāgre prajāṃ paśūṃs tejo rayim asmāsu dhehi | ānandino modamānāḥ suvīrā	saha agre prajAm paSUn tejaH rayim asmAsu Dehi | AnandinaH modamAnAH su vIrA
   anāmayāḥ sarvam āyur gamema || [ , cf. ;Sāṅkh;SS 2.17.8> <ud dīpyasva	anAmayAH sarvam AyuH gamema || [ , cf. ;SAFK;SH 2.17.8> <ud dIpyasva
   jātavedo 'va sediṃ tṛṇāṃ kṣudhaṃ jahi | apāsmat tama uchatv apa hrītamukho	jAtavedaH ava sedim tRNAm kzuDam jahi | apa asmat tamaH uCatu apa hrIta muKaH 
   jahy apa durhārddiśo jahi ||> <ihaivaidhi dhanasanir iha tvā sam idhīmahi	jahi apa durhArddiSaH jahi ||> <iha eva EDi Dana saniH iha tvA sam iDImahi
   | ihaidhi puṣṭivardhana iha tvā sam idhīmahi [ , cf. 18.4.38a]>_iti	| iha eDi puzwi varDanaH iha tvA sam iDImahi [ , cf. 18.4.38a]>_iti
   (KauśS_9,2[70].2) prathamayā manthati	(KOSS_9,2[70].2) praTamayA manTati
   (KauśS_9,2[70].3) dvitīyayā jātam anumantrayate	(KOSS_9,2[70].3) dvitIyayA jAtam anumantrayate
   (KauśS_9,2[70].4) tṛtīyayā_uddīpayati	(KOSH _9,2[70].4) tRtIyayA_uddIpayati
   (KauśS_9,2[70].5) caturthyā_upasamādadhāti	(KOSH _9,2[70].5) caturTyA_upasamAdaDAti
   (KauśS_9,2[70].6) <yat tvā kruddhāḥ [12.2.5, cf. MS 1.7.1 etc.]>_iti	(KOSS_9,2[70].6) <yat tvA krudDAH [12.2.5, cf. M 1.7.1 ed c.]>_iti
   ca_<oṃ bhūr bhuvaḥ svar janad om> ity <aṅgirasāṃ tvā devānām ādityānāṃ	ca_<om BUH BuvaH svar janat om> iti <aFgirasAm tvA devAnAm AdityAnAm
   vratenā dadhe [cf. KS 7.13:76.15ff. etc.]> | <dyaur mahnāsi bhūmir bhūmnā	vratenA daDe [cf. KH 7.13:76.15ff. etc.]> | <dyOH mahnAsi BUmiH BUmnA
   tasyās te devy aditir upasthe 'nnādāyānnapatyāyā dadhat [cf. KS	tasyAH te devI aditiH upasTe anna AdAya anna patyAyAH daDat [cf. KS
   7.13:76.17f. etc.]> iti	7.13:76.17f. ed c.]> iti
   (KauśS_9,2[70].7) lakṣaṇe pratiṣṭhāpya_upotthāya	(KOSH _9,2[70].7) lakzaNe pratizWApya_upotTAya
   (KauśS_9,2[70].8) atha_upatiṣṭhate	(KOSS_9,2[70].8) aTa_upatizWate
   (KauśS_9,2[70].9) <agne gṛhapate sugṛhapatir ahaṃ tvayāgne gṛhapatinā	(KOSH _9,2[70].9) <agne gRhapate su gRhapatiH aham tvayA agne gRhapatinA
   bhūyāsam | sugṛhapatis tvaṃ mayāgne gṛhapatinā bhūyāḥ | asthūri ṇau	BUyAsam | su gRhapatiH tvam mayA agne gRhapatinA BUyAH | asTUri NO
   gārhapatyāni dīdihi śataṃ samāḥ [cf. VSM 2.27 etc.]>_iti	gArhapatyAni dIdihi Satam samAH [cf. VSm 2.27 ed c.]>_iti
   (KauśS_9,2[70].10) <vyākaromi [12.2.32]>_iti gārhapatyakravyādau samīkṣate	(KOSS_9,2[70].10) <vyAkaromi [12.2.32]>_iti gArhapatya kravya AdO samIkzate
   (KauśS_9,2[70].11) śāntam ājyaṃ gārhapatyāya_upanidadhāti	(KOSS_9,2[70].11) SAntam Ajyam gArhapatyAya_upanidaDAti
   (KauśS_9,2[70].12) māṣamanthaṃ kravyādam	(KOSS_9,2[70].12) mAza manTam kravyAdam
   (KauśS_9,2[70].13) <upa tvā namasā [3.15.7]>_iti puro'nuvākyā	(KOSS_9,2[70].13) <upa tvA namasA [3.15.7]>_iti puras anuvAkyA
   (KauśS_9,2[70].14) <viśvahā te [3.15.8]>_iti pūrṇāhutiṃ juhoti	(KOSS_9,2[70].14) <viSvahA te [3.15.8]>_iti pUrNAhutim juhoti
   (KauśS_9,2[70].15) <yo no agniḥ [12.2.33]>_iti saha kartrā	(KOSS_9,2[70].15) <yaH naH agniH [12.2.33]>_iti saha kartrA
   hṛdayāni_abhimṛśante	hRdayAni_aBimRSante
   (KauśS_9,3[71].1) <aṃśo rājā vibhajatīmāv agnī vidhārayan | kravyādaṃ nir	(KOSH _9,3[71].1) <aMSaH rAjA viBajati imO agnI viDArayan | kravyAdam nir
   ṇudāmasi havyavāḍ iha tiṣṭhatu [ ]>_iti vibhāgaṃ japati	NudAmasi havyavAw iha tizWatu [ ]>_iti viBAgam japati
   (KauśS_9,3[71].2) <sugārhapatyo [12.2.45c]>_iti dakṣiṇena gārhapatye	(KOSS_9,3[71].2) <suga arhapatyaH [12.2.45c]>_iti dakziNena gArhapatye
   samidham ādadhāti	samiDam AdaDAti
   (KauśS_9,3[71].3) <yaḥ kravyāt tam aśīśamam [cf. 3.21.9]> iti savyena	(KOSS_9,3[71].3) <yaH kravyAd tam aSISamam [cf. 3.21.9]> iti savyena
   naḍamayīṃ kravyādi	naxa mayIm kravyAdi
   (KauśS_9,3[71].4) <apāvṛtya [12.2.34]>_iti mantroktaṃ bāhyato nidhāya	(KOSS_9,3[71].4) <apAvRtya [12.2.34]>_iti mantra uktam bAhyatas niDAya
   (KauśS_9,3[71].5) <naḍam ā roha [12.2.1]> <sam indhate [12.1.11]>_<iṣīkāṃ	(KOSH _9,3[71].5) <naxam A rohaH [12.2.1]> <sam inDate [12.1.11]>_<izIkAm
   jaratīm [12.1.54]>_<pratyañcam arkaṃ [12.1.55]>_ity upasamādadhāti	jaratIm [12.1.54]>_<pratyaQcam arkam [12.1.55]>_iti upasamAdaDAti
   (KauśS_9,3[71].6) <yady agniḥ [12.2.4]>_<yo agniḥ [12.2.7]>_<aviḥ kṛṣṇā	(KOSS_9,3[71].6) <yadi agniH [12.2.4]>_<yaH agniH [12.2.7]>_<aviH kRzNA
   [12.2.53]> <mā no ruroḥ śucadvidaḥ śivo no astu bharato rarāṇaḥ |	[12.2.53]> <mA naH ruroH SucadvidaH SivaH naH astu BarataH rarANaH |
   ativyādhī vyādho agrabhīṣṭa kravyādo agnīñ śamayāmi sarvān [ ]> iti śuktyā	ati vyADI vyADaH agraBIzwa kravyAdaH agnIn SamayAmi sarvAn [ ]> iti SuktyA
   māṣapiṣṭāni juhoti	mAza pizwAni juhoti
   (KauśS_9,3[71].7) sīsaṃ darvyām avadhāya_udgrathya manthaṃ juhvan_śamayet	(KOSS_9,3[71].7) sIsam darvyAm avaDAya_udgraTya manTam juhvan_Samayet 
   (KauśS_9,3[71].8) <naḍam ā roha [12.2.1]>_iti catasro_<agne akravyād	(KOSH _9,3[71].8) <naxam A rohaH [12.2.1]>_iti catasraH _<agne akravyAd
   [12.2.42]> <imaṃ kravyād [12.2.43]> <yo no aśveṣu [12.2.15]>_<anyebhyas	[12.2.42]> <imam kravyAt [12.2.43]> <yaH naH aSvezu [12.2.15]>_<anyeByas
   tvā [12.2.16]> <hiraṇyapāṇiṃ [3.21.8]>_iti śamayati	tvA [12.2.16]> <hiraNya pANim [3.21.8]>_iti Samayati
   (KauśS_9,3[71].9) dakṣiṇato jaratkoṣṭhe śītaṃ bhasmābhiviharati	(KOSH _9,3[71].9) dakziNatas jarat kozWe SItam Basma aBiviharati
   (KauśS_9,3[71].10) śāntyudakena suśāntaṃ kṛtvāvadagdhaṃ samutkhāya	(KOSH _9,3[71].10) SAntyudakena su SAntam kRtvA avadagDam samutKAya
   (KauśS_9,3[71].11) <paraṃ mṛtyo [12.2.21]> ity utthāpayati	(KOSH _9,3[71].11) <param mRtyo [12.2.21]> iti utTApayati
   (KauśS_9,3[71].12) <kravyādam [12.2.8]> iti tisṛbhir hrīyamāṇam	(KOSH _9,3[71].12) <kravyAdam [12.2.8]> iti tisRBiH hrIyamANam
   anumantrayate	anumantrayate
   (KauśS_9,3[71].13) dīpādi_ābhinigadanāt pratiharaṇena vyākhyātam	(KOSS_9,3[71].13) dIpa Adi_ABinigadanAt pratiharaNena vyAKyAtam
   (KauśS_9,3[71].14) <aviḥ kṛṣṇā [12.2.53]>_iti nidadhāti	(KOSS_9,3[71].14) <aviH kRzNA [12.2.53]>_iti nidaDAti
   (KauśS_9,3[71].15) uttamavarjaṃ jyeṣṭhasyāñjalau sīsāni	(KOSH _9,3[71].15) uttama varjam jyezWasya aQjalO sIsAni
   (KauśS_9,3[71].16) <asmin vayaṃ 12.2.13]> <yad ripraṃ [12.2.40]> <sīse	(KOSH _9,3[71].16) <asmin vayam 12.2.13]> <yat ripram [12.2.40]> <sIse
   mṛḍḍhvaṃ [12.2.19]>_ity abhyavanejayati	mRz Xvam [12.2.19]>_iti aByavanejayati
   (KauśS_9,3[71].17) kṛṣṇorṇayā pāṇipādān nimṛjya	(KOSS_9,3[71].17) kRzNa UrNayA pANi pAdAt nimRjya
   (KauśS_9,3[71].18) <ime [ed.: imā; see Caland, Kl. Schr., p. 78] jīvā	(KOSS_9,3[71].18) <ime [ed.: imA; see Caland, Kl. SCr., p. 78] jIvA
   [12.2.22]> <udīcīnaiḥ [12.2.29]>_iti mantroktam	[12.2.22]> <udIcInEH [12.2.29]>_iti mantra uktam
   (KauśS_9,3[71].19) <triḥ sapta [12.2.29c]>_iti kūdyā padāni lopayitvā [ed.	(KOSS_9,3[71].19) <triH sapta [12.2.29c]>_iti kUdyA padAni lopayitvA [ed.
   yopayitvā    corrigenda ed. p. 424] nadībhyaḥ	yopayitvA   corrigenda ed. p. 424] nadIByaH
   (KauśS_9,3[71].20) <mṛtyoḥ padaṃ [12.2.30]>_iti dvitīyayā nāvaḥ	(KOSH _9,3[71].20) <mRtyoH padam [12.2.30]>_iti dvitIyayA nAvaH
   (KauśS_9,3[71].21) <paraṃ mṛtyo [12.2.21]> iti prāgdakṣiṇam kūdīṃ	(KOSH _9,3[71].21) <param mRtyo [12.2.21]> iti prAc dakziNam kUdIm
   pravidhya	praviDya
