   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   sādhyatadabhāvayorvartamānatvena jñāto 'naikāntikaḥ /	sADya-tad-aBAvayoH-vartamAna-tvena jQAtaH anEkAntikaH /
   sa ca niścitaḥ, śaṅkitaśca /	sa ca niScitaH, SaFkitaH-ca /
   sa kaḥ? anityaḥ śabdaḥ, prameyatvāditi niścitaḥ /	sa kaH? anityaH SabdaH, prameya-tvAt-iti niScitaH /
   mano vibhu, sarvadā sparśarahitadravyatvāditi śaṅkitaḥ, sopādhikatvāt /	manaH viBu, sarvadA sparSa-rahita-dravya-tvAt-iti SaFkitaH, sa-upADika-tvAt /
   (4.6 dṛṣṭāntābhāsaḥ--)	(4.6 dRzwAnta-ABAsaH--)
   dṛṣṭāntābhāsastu	dRzwAnta-ABAsaH-tu
   sādhyavikalasādhanavikalavyāptyakathanaviparītavyāptikathanāśrayahīnāḥ /	sADya-vikala-sADana-vikala-vyApti-akaTana-viparIta-vyApti-kaTana-ASraya-hInAH /
   sādharmyodāharaṇavaidharmyodāharaṇe	sADarmya-udAharaNa-vEDarmya-udAharaNe
   sādhyavyāvṛttasādhanavyāvṛttāvyāptikathanaviparītavyāptikathanādīnāmudāharaṇāni	sADya-vyAvRtta-sADana-vyAvRtta-avyApti-kaTana-viparIta-vyApti-kaTana-AdInAm-udAharaNAni
   tu praśastapādairabhihitānīti na prapañcyante /	tu praSasta-pAdEH-aBihitAni-iti na prapaQcyante /
   ubhayavikalastu nāsti, tasya sādhyasādhanavikalābhyāmanatirekāt /	uBaya-vikalaH-tu nAsti, tasya sADya-sADana-vikalAByAm-anatirekAt /
   na hi kālātyayāpadiṣṭānaikāntikatvaṃ nāma samuditamasti dūṣaṇam /	na hi kAla-atyaya-apadizwa-anEkAntika-tvam nAma samuditam-asti dUzaNam /
   (5 ārṣajñānasya nirūpaṇam--)	(5 Arza-jQAnasya nirUpaNam--)
   ārṣasadbhāve kiṃ pramāṇamiti cet, pratyakṣamiti brumaḥ /	ArzasadBAve kim pramANam-iti cet, pratyakzam-iti brumaH /
   asti tāvadvipratipannā pratibhā kvacidarthāvisaṃvādinī /	asti tAvat-vipratipannA pratiBA kvacid-arTa-avisaMvAdinI /
   tasyā anadhigatārthagantṛtvādanubhūtitvaṃ siddham /	tasyAH anaDigata-arTa-gantR-tvAt-anuBUti-tvam sidDam /
   na caitadatiriktaṃ prāmāṇyaṃ nāma yat sādhanīyamavaśiṣyate /	na ca-etat-atiriktam prAmANyam nAma yat sADanIyam-avaSizyate /
   na cārthāvisaṃvāditvameva nāsti, bādhakābhāvāt /	na ca-arTa-avisaMvAdi-tvam-eva nAsti, bADaka-aBAvAt /
   na ca pratibhātvādarthavisaṃvādaḥ, aparokṣatvāt /	na ca pratiBA-tvAt-arTa-visaMvAdaH, aparokza-tvAt /
   anyathā pratyakṣasyārthavisaṃvādaprasaṅgāt /	anyaTA pratyakzasya-arTa-visaMvAda-prasaFgAt /
   nanu jñānāvisaṃvāditvagrāhakapratyekṣaṇa tatpūrvakābādhitatatpravṛttibhyāṃ	nanu jQAna-avisaMvAdi-tva-grAhaka-pratyekzaNa tad-pUrvaka-AbADita-tad-pravRttiByAm
   tajjñānaviṣayīkṛtārthasya yathārthasya kriyākāritvena	tad-jQAna-vizayIkRtArTasya yaTArTasya kriyA-kAri-tvena
   bādhitaviṣayatvādanumānasyaiva durbalatvamiti cet, samaḥ samādhiḥ /	bADita-vizaya-tvAt-anumAnasya-eva durbala-tvam-iti cet, samaH samADiH /
   pratibhātvāviśeṣe 'pi kathamekasya saṃvāditvam, aparasya visaṃvāditvamiti	pratiBAtvA-aviSeze api kaTam-ekasya saMvAdi-tvam, aparasya visaMvAdi-tvam-iti
   cet, na, aparokṣatvāviśeṣe 'pi pratyakṣasya kasyacitsaṃvāditvaṃ	cet, na, aparokza-tva-aviSeze api pratyakzasya kasyacid-saMvAdi-tvam
   kasyaciditi kutaḥ? avāntaravaijātyāditi cet, tulyamastu pratibhāyāṃ	kasyacid-iti kutas-? avAntara-vEjAtyAt-iti cet, tulyam-astu pratiBAyAm
   prāmāṇyam /	prAmANyam /
   tathāpi pūrvayorantarbhāva iti cet, na,	taTA-api pUrvayoH-antarBAvaH iti cet, na,
   avinābhāvānapekṣatvenānumitāvanantarbhāvāt /	avinA-aBAva-anapekza-tvena-anumitO=-anantarBAvAt /
   parokṣatvānna ca pratyakṣam /	parokza-tvAt-na ca pratyakzam /
   kathaṃ punarasyāḥ parokṣatvamiti cet, anumiterapi parokṣatā katham?	kaTam punar-asyAH parokza-tvam-iti cet, anumiteH-api parokzatA kaTam?
   indriyavyāpārābhāve utpadyamānatvāditi cet, samānametat /	indriya-vyApAra-aBAve utpadyamAna-tvAt-iti cet, samAnam-etat /
   antaḥkaraṇasya vyāpāro 'stīti cet, samānam /	antaHkaraNasya vyApAraH asti-iti cet, samAnam /
   dharmaviśeṣajatvādyogipratyakṣāntarbhūtamiti cet, na,	Darma-viSeza-ja-tvAt-yogi-pratyakza-antarBUtam-iti cet, na,
   dharmaviśeṣajatvāsiddheḥ, dharmaviśeṣamātrajanyatvasya vyabhicārāt /	Darma-viSeza-jatvA-sidDeH, Darma-viSeza-mAtra-janya-tvasya vyaBicArAt /
   avinābhāvanirapekṣaḥ samyak parokṣānubhava ārṣaḥ /	avinA-aBAva-nirapekzaH samyak parokza-anuBavaH ArzaH /
   svasamānaviṣayasaṃskārajaṃ smaraṇam /	sva-samAna-vizaya-saMskAra-jam smaraNam /
   yathārthasya pramāṇabhāve nāsti vipratipattiḥ, parairapi tasya	yaTArTasya pramANa-BAve na-asti vipratipattiH, parEH-api tasya
   samyaganubhavatvābhyupagamāt, tārkikairapi yathārthajñānatvasya	samyak-anuBava-tva-aByupagamAt, tArkikEH-api yaTA-arTa-jQAna-tvasya
   tatrānirākaraṇāt /	tatra-anirAkaraNAt /
   tasmātsamyaganubhavaḥ prameti pūrvācāryāḥ /	tasmAt-samyak-anuBavaH pramA-iti pUrva-AcAryAH /
   yathārthaṃ jñānaṃ prameti navīnāḥ /	yaTArTam jQAnam pramA-iti navInAH /
   ayameva ca bhāṣyakartturabhiprāya, anyathā pramāṇamadhye	ayam-eva ca BAzya-karttuH-aBiprAya, anyaTA pramANa-maDye
   tatpaṭhanamasaṅgataṃ syāt /	tad-paWa-nam-asaFgatam syAt /
   na hi pramitividyāśabdayorloke 'rthabhedo 'sti /	na hi pramiti-vidyA-SabdayoH-loke arTa-BedaH asti /
   tasmāccaturvidhaṃ pramāṇam /	tasmAt-caturviDam pramANam /
   ((tathā śrutismṛtipratyakṣamaitihyamānacatuṣṭayamiti / ))	((-taTA Sruti-smRti-pratyakzam-EtihyamAna-catuzwayam-iti / ))
   (6 śabdapramāṇasyānumāne 'ntarbhāvanirūpaṇam--)	(6 Sabda-pramANasya-anumAne antar-BAva-nirUpaNam---)
   nanu tato 'tiriktānyapi śabdādīni santīti cet, na aprasiddheḥ /	nanu tatas atiriktAni-api Sabda-AdIni santi-iti cet, na aprasidDeH /
   nadyāstīre pañca phalāni santīti vākyādarthapratyayo jāyate iti cet, atra	nadyAH-tIre paQca PalAni santi-iti vAkyAt-arTa-pratyayaH jAyate iti cet, atra
   kasya kāraṇatvamiti vibhāvyatām--- na pratyakṣasya, arthasyāvispaṣṭatvāt /	kasya kAraNa-tvam-iti viBAvyatAm--- na pratyakzasya, arTasya-avispazwa-tvAt /
   nānumānasya vyāpterabhāvāt /	na-anumAnasya vyApteH-aBAvAt /
   na hi nadyāstīre pañca phalāni santīti vākyena	na hi nadyAH-tIre paQca PalAni santi-iti vAkyena
   nadītīraphalasambandhasyāvyabhicaritaḥ sambandhaḥ, anāptavākye tadabhāvāt	nadI-tIra-Pala-sambanDasya-avyaBicaritaH sambanDaH, anApta-vAkye tad-aBAvAt
   āptatve satīti viśeṣaṇe pūrvamarthasiddherasiddho vākyārthaḥ,	Apta-tve sati-iti viSezaNe pUrvam-arTa-sidDeH-asidDaH vAkya-arTaH,
   samyagjñānavata eva tattvāt /	samyak-jQAnavataH eva tattvAt /
   tadetadasat, puruṣaviśeṣoktatvasya hetuviśeṣaṇatvenaivopādānāt /	tat-etat-asat, puruza-viSeza-ukta-tvasya hetu-viSezaNa-tvena-eva-upAdAnAt /
   tena ca proktasyāpyanumānānnāprayojakatā /	tena ca proktasya-api-anumAnAt-na-aprayojaka-tA /
   yatra tu taduktasyāpi vyabhicāraḥ kvacit, tatra tadvyatiriktatve satītyapi	yatra tu tat-uktasya-api vyaBicAraH kvacit, tatra tad-vyatirikta-tve satI-iti-api
   viśeṣaṇam, viśiṣṭasya vyāptibalena sādhanatvam /	viSezaNam, viSizwasya vyApti-balena sADana-tvam /
   yatra tu vyabhicārasthalaṃ syāt, tatra nārthaniścayaḥ, kintu sandeha eva,	yatra tu vyaBicAra-sTalam syAt, tatra na-arTa-niScayaH, kintu sandehaH eva,
   etāvatāpi laukikānāmarthe sandehādeva pravṛttisiddheḥ /	etAvatA-api lOkikAnAm-arTe sandehAt-eva pravRtti-sidDeH /
   (7 vedānāṃ pauruṣeyatvanirūpaṇam--)	(7 vedAnAm pOruzeya-tva-nirUpaNam--)
   vedasya puruṣaviśeṣakṛtatvābhāvena kathamanumānamiti cet,	vedasya puruza-viSeza-kRta-tva-aBAvena kaTam-anumAnam-iti ced-,
   tarhyāptoktatvasyāpyabhāvenāprāmāṇyaprasaṅgāt /	tarhi-Apta-ukta-tvasya-api-aBAvena-aprAmANya-prasaFgAt /
   na ca svataḥ prāmāṇyaṃ vedasya,	na ca svatas prAmANyam vedasya,
   samyaṅmithyābodhasādhāraṇātiriktakāraṇajanyatvāt /	samyak-miTyA-boDa-sADAraNa-atirikta-kAraNa-janya-tvAt /
   tathā hi pramā samyaṅmithyābodhasādhāraṇātiriktakāraṇajanyā, kāryatvād,	taTA hi pramA samyak-miTyA-boDa-sADAraNa-atirikta-kAraNa-janyA, kArya-tvAt-,
   apramāṇyavat /	apramANya-vat /
   samyaktvaṃ niyatajñāne 'pi kadācinna nirdhāryate, niścayatvāniścaye 'pi	samyaktvam niyata-jQAne api kadAcid-na nirDAryate, niScaya-tva-aniScaye api
   sandehaviṣayatvād, apramāvat /	sandeha-vizaya-tvAd, apramAvat /
   vivādāspadaṃ kāryam, vedajanyamatijam, kāryatvādghaṭavat /	vivAda-Aspadam kAryam, veda-janyam-atijam, kArya-tvAt-Gawa-vat /
   īśvarakṛtatvāviśeṣe 'pi	ISvara-kRta-tva-aviSeze api
   buddhādivākyānāmāgantukadoṣasamavadhānādaprāmāṇyam, buddhādīnāmanāptatvāt	budDa-Adi-vAkyAnAm-Agantuka-doza-samavaDAnAt-aprAmANyam, budDa-AdInAm-anApta-tvAt
   vedārtho vedanirapekṣapramitivedyo, meyatvādghaṭavat /	veda-arTaH veda-nirapekza-pramiti-vedyo, meya-tvAt-Gawa-vat /
   vedārtho vedanirapekṣasvālambanamatyādhāraviracitavākyameyo meyatvāt,	veda-arTaH veda-nirapekzasva-Alambanam-atyADAra-viracita-vAkyameyaH meya-tva-at,
   sampratipannavat /	sampratipanna-vat /
   yacca vedasyādhyayanaṃ sarvaṃ gurvadhyayanapūrvakam /	yat-ca vedasya-aDyayanam sarvam guru-aDyayana-pUrvakam /
   vedādhyayanasāmānyādadhunādhyayanaṃ yathā //	veda-aDyayana-sAmAnyAt-aDunA-aDyayanam yaTA //
   (ślo vā vākya 366)	(SlaH vA vAkya 366)
   tatra ca gurvadhyayanapūrvakatvamātre siddhasādhyatā /	tatra ca guru-aDyayana-pUrvakatva-mAtre sidDa-sADya-tA /
   brahmaṇo 'pi jīvaviśeṣasya suptaprabuddhavatkalpāntarānubhūtavedasmaraṇāt	brahmaNaH api jIva-viSezasya supta-prabudDa-vat-kalpa-antara-anuBUta-veda-smaraNAt
   na ca pravāhavicchedādapraṇetṛpūrvakatvaprasaṅgaḥ,	na ca pravAha-vicCedAt-apraNetR-pUrvaka-tva-prasaFgaH,
   uccāryamāṇavākyasadṛśavākyajñānanirapekṣasyaiva tatra kartṛtvābhyupagamāt	uccAryamANa-vAkya-sadRSa-vAkya-jQAna-nirapekzasya-eva tatra kartR-tva-aByupagamAt
   svatantrapuruṣapraṇetṛtvavivakṣāyāṃ tu sādhyavikalatvam /	svatantra-puruza-praNetR-tva-vivakzAyAm tu sADya-vikala-tvam /
   ubhayavādisampratipannapakṣāṅgīkāre 'pi siddhasādhyatā /	uBaya-vAdi-sampratipanna-pakza-aFgIkAre api sidDa-sADya-tA /
   aparatra cāśrayāsiddhiḥ /	aparatra ca-ASraya-asidDiH /
   bhāratādhyayanāderapi evaṃ kuśaṃkyatvāt /	BArata-aDyayana-AdeH-api evam kuSaMkyatvAt /
   tatsaṃpradāyāvicchede satyasmaryamāṇakartṛkatvāditi tu mama? tava? uta	tad-saMpradAya-avicCede satya-smaryamANa-kartRka-tvAt-iti tu mama? tava? uta
   yasya kasya sādhāraṇyena veti? prathamatṛtīyacaturtheṣvasiddhiḥ /	yasya kasya sADAraNyena veti? praTama-tRtIya-caturTezu-asidDiH /
   dvitīye tu vyabhicāraḥ /	dvitIye tu vyaBicAraH /
   ata eva madanumāne ... {One line lost in the MS.} anyathā	atas eva mad-anumAne ... {One line lost id Te MS.} anyaTA
   siddhasādhanatvādakāryatvaṃ copādhiḥ /	sidDa-sADana-tvAt-akArya-tvam ca-upADiH /
   (8 upamānapramāṇasyānumāne 'ntarbhāvanam--)	(8 upamAna-pramANasya-anumAne antar-BAvanam--)
   upamānaṃ tu madīyā gauranena sadṛśīti gosadṛśagavayamālokayato 'numānameva	upamAnam tu madIyA gOH-anena sadRSI-iti go-sadRSa-gavayam-AlokayataH anumAnam-eva
   kathamiti cet, bhavati hi pūrvaṃ gavi gavayasādṛśyamityanumitiḥ /	kaTam-iti cet, Bavati hi pUrvam gavi gavaya-sAdRSyam-iti-anumitiH /
   anugatadharmasya gavaye 'pi vartamānasya pratyakṣagrahaṇārhatvāt,	anugata-Darmasya gavaye api vartamAnasya pratyakza-grahaNa-arha-tvAt,
   mānāntaropanītasyāpi viśeṣaṇatvopapatteḥ /	mAna-antara-upanItasya-api viSezaNa-tva-upapatteH /
   athavā madīyā gauranena sadṛśī, svasādṛśyenaitadavacchedakatvād,	aTavA madIyA gOH-anena sadRSI, sva-sAdRSyena-etat-avacCedaka-tvAt-,
   bhrātṛbhaginīvat /	BrAtR-BaginI-vat /
   anyathā gavayasādṛśyasyāpyagrahaṇaprasaṅgāt /	anyaTA gavaya-sAdRSyasya-api-agrahaNa-prasaFgAt /
   pratyakṣamate tadanu viśeṣaṇaviśeṣyabhāvasya kāmacāratvadarśanena	pratyakza-mate tadanu viSezaNa-viSezya-BAvasya kAma-cAra-tva-darSanena
   sādṛśyāvacchinnagavyanumānam /	sAdRSya-avacCinnaga-vyanumAnam /
   saṃjñāsaṃjñisambandhakaḥ svasandigdhe nyāyasampāditavyaktiḥ	saMjQA-saMjQi-sambanDakaH sva-sandigDe nyAya-sampAdita-vyaktiH
   paścānniścitavākyārthamavabudhyate iti /	paScAt-niScita-vAkya-arTam-avabuDyate iti /
   sādṛśyamātrasya gavayapadavācyate	sAdRSya-mAtrasya gavaya-padavAcyate
   apratītagūnāmavyavahāraprasaṅgaparyālocanayā	apratIta-gUnAm-avyavahAra-prasaFga-paryAlocanayA
   nirnimittapraśnānanuguṇyacintyamānāptasyānyathākathakatvāsambhāvanena ca	nirnimitta-praSna-an-anuguNI-a-cintyamAna-Aptasya-anyaTA-kaTakatva-asamBAvanena ca
   sādṛśyasyopalakṣaṇatve nirṇīte tadeva vākyaṃ gavayapadasya	sAdRSyasya-upalakzaNa-tve nirNIte tat-eva vAkyam gavaya-padasya
   gavayatvanimittatvaṃ bodhayati /	gavayatva-nimitta-tvam boDayati /
   gavayaśabdaḥ gavayatvavācakaḥ, asati vṛttyantare 'bhiyuktaiḥ	gavaya-SabdaH gavayatu-a-vAcakaH, asati vRtti-antare aBiyuktEH
   prayujyamānanaimittikapadatvādgotve gośabdavat /	prayujyamAna-nEmittika-pada-tvAt-go-tve go-Sabda-vat /
   na ca viśeṣaṇāsiddhiḥ, vṛttyantarābhāvatvasya tvayāpyabhyupagatatvāt /	na ca viSezaNA-sidDiH, vRtti-antara-aBAva-tvasya tvayA-api-aByupagata-tvAt /
   anyathānumānasyāpravṛttiḥ, anugrāhakatarkābhāvāt /	anyaTA-anumAnasya-apravRttiH, anugrAhaka-tarka-aBAvAt /
   vivādapadaṃ gavayapadanimittam, viśiṣṭajātitvādvyatirekeṇa gotvavaditi /	vivAda-padam gavaya-pada-nimittam, viSizwa-jAti-tvAt-vyatirekeNa go-tva-vat-iti /
   (9 arthāpatterapyanumānatvopavarṇam--)	(9 arTApatteH-api-anumAna-tva-upavarNam--)
   arthāpattirapyanumānam /	arTApattiH-api-anumAnam /
   tathā hi sambandhabodhamantareṇānupapadyamānārthadarśane 'pi	taTA hi sambanDa-boDam-antareNa-anupapadyamAna-arTa-darSane api
   pramiterupapattiḥ, buddhe tu sambandhe bhavato 'pyanumitireva /	pramiteH-upapattiH, budDe tu sambanDe BavataH api-anumitiH-eva /
   pramāṇadvayavirodho 'pi sāvakāśānavakāśayoḥ sāvakāśasya viṣayasaṃkoca iti	pramANa-dvaya-viroDaH api sAvakASAnavakASayoH sa-avakASasya vizaya-saMkocaH iti
   vyāptidarśanavato gehānupalabdhiṃ niravakāśāṃ	vyApti-darSanavataH gehAn-upalabDim niravakASAm
   paśyatastadvirodhijīvanavākyaṃ sāvakāśaṃ paśyatastasya vākyasya	paSyataH-tad-viroDi-jIvana-vAkyam sa-avakASam paSyataH-tasya vAkyasya
   bahirviṣayatvapramitiranumitireva /	bahis-vizaya-tva-pramitiH-anumitiH-eva /
   śrutārthāpattistu na śaṅkāmapyārohati, vākyamantareṇa	Sruta-arTApattiH-tu na SaFkAm-api-Arohati, vAkyam-antareNa
   vākyānupapatterabhāvāt na hi pīno devadatto divā na bhuṃkte' iti vākyaṃ	vAkya-anupapatteH-aBAvAt na hi pInaH devadattaH divA na BuMkte-a iti vAkyam
   `rātrau bhuṃkte' iti vākyena vinānupapannam /	`rAtrO BuMkte-a iti vAkyena vinA-anupapannam /
   śābdī hyākāṃkṣā śabdenaiva paripūryate, na hi pacatīti padaṃ pratyakṣādinā	SAbdI hi-AkAMkzA Sabdena-eva paripUryate, na hi pacati-iti padam pratyakza-AdinA
   nirākāṃkṣamapi tu odanapadeneti cet, na, asmin vākye	nirAkAMkzam-api tu odanapadena-iti cet, na, asmin vAkye
   ākāṃkṣāyogyatayorabhāvāt kriyākārakayoḥ sampūrṇatvāt /	Aka-aMkzA-yogyatayoH-aBAvAt kriyA-kArakayoH sampUrNa-tvAt /
   pīnatvaṃ bhojanena vinā 'nupapannam, bhojanakāryatvāditi cet, na	pIna-tvam Bojanena vinA anupapannam, Bojana-kArya-tvAt-iti cet, na
   tarhyākāṃkṣāvirahaḥ, yogyatāvirahastu syāt /	tarhi-Aka-aMkzA-virahaH, yogya-tA-virahaH-tu syAt /
   na ca so 'pyasti traikālikabhojananiṣedhe hi sa syāt, na hyabhuktvā pīnaḥ	na ca saH api-asti trEkAlika-Bojana-nizeDe hi sa syAt, na hi-aBuktvA pInaH
   kṣaṇamapi tiṣṭhati /	kzaNam-api tizWati /
   traikālikabhojananiṣedhastu viśiṣṭakāryādrātribhojanakāraṇānumānaṃ svairaṃ	trEkAlika-Bojana-nizeDaH-tu viSizwa-kAryAt-rAtri-Bojana-kAraNa-anumAnam svEram
   pravartatām, na rātrivākyakalpanāvakāśaḥ /	pravartatAm, na rAtri-vAkya-kalpanA-vakASaH /
   astu tarhi pacatītyatraivodanapadakalpanā śrutārthāpattiriti cet,	astu tarhi pacati-iti-atra-evodanapada-kalpanA Sruta-arTApattiH-iti ced-,
   tatrāpyarthasyaiva kalpanāt /	tatra-api-arTasya-eva kalpanAt /
   śabdākṣipto 'pi śabda eveti niyame 'tiprasaṅgaḥ /	Sabda-AkziptaH api SabdaH eva-iti niyame ati-prasaFgaH /
   athavā tathāvidhapadasya viśiṣṭasaṃsargeṇaiva vyāptyā tatkalpanamiti /	aTavA taTAviDa-padasya viSizwa-saMsargeNa-eva vyAptyA tat-kalpanam-iti /
   api ca keyamākāṃkṣā nāma? jijñāseti cet, sā tu kutaḥ?	api ca kA-iyam-Aka-aMkzA nAma? jijQAsA-iti cet, sA tu kutas-?
   śabdārthayoraparyavasānāditi cet, tarhīṣṭāpattireva /	Sabda-arTayoH-aparyavasAnAt-iti cet, tarhi-izwApattiH-eva /
   na caivaṃ śabdavilopaprasaṅgaḥ, iṣṭatvāt, tasya vākyānumāne 'ntarbhāvo	na ca-evam Sabda-vilopa-prasaFgaH, izwa-tva-at, tasya vAkya-anumAne antarBAvaH-
   'bhyadhāyi /	aByaDAyi /
   (10 anupalabdheḥ pratyakṣe 'ntarbhāvaḥ--)	(10 anupalabDeH pratyakze antarBAvaH--)
   abhāvaḥ pratyakṣaḥ, prameyatvād, ghaṭavat /	aBAvaH pratyakzaH, prameya-tvAt-, Gawa-vat /
   na cendriyārthasambandhābhāvo bādhakaḥ, asambaddhasyāpi pratyakṣatve ko	na ca-indriya-arTa-sambanDa-aBAvaH bADakaH, asambadDasya-api pratyakza-tve kaH-
   doṣaḥ? atiprasaṅga iti cet, tatparihārikā dṛśyānupalabdhirbhaviṣyati /	dozaH? atiprasaFgaH iti cet, tad-parihArikA dRSyAnupalabDiH-Bavizyati /
   na ca tāvanmātrasya kāraṇatvamastīti vācyam, andhasyāpi śuklapaṭe	na ca tAvat-mAtrasya kAraNa-tvam-asti-iti vAcyam, anDasya-api Sukla-pawe
   pītatvābhāvapratītiprasaṅgāt /	pIta-tva-aBAva-pratIti-prasaFgAt /
   na hi pratiyogī yenaivendriyeṇa gṛhyate, tenaivāśrayo grahītavyaḥ vyomni	na hi pratiyogI yena-eva-indriyeNa gRhyate, tena-eva-ASrayaH grahItavyaH vyomni
   sparśābhāvagrahaṇaprasaṅgāt /	sparSa-aBAva-grahaNa-prasaFgAt /
   smaryamāṇe 'pi devakule devadattābhāvasaṃvido 'bhyupagamāt /	smaryamANe api devakule devadatta-aBAva-saMvidaH aByupagamAt /
   vistarastu nyāyalakṣmīvilāse ityuparamyate /	vistaraH-tu nyAya-lakzmI-vilAse iti-uparamyate /
   (13--14 sukhaduḥkhayornirūpaṇam--)	(13--14 suKa-duHKayoH-nirUpaNam--)
   pratyakṣeṇa sukhamupalabhyate, ahaṃ sukhīti vyavahāradarśanāt /	pratyakzeNa suKam-upalaByate, aham suKI-iti vyavahAra-darSanAt /
   na ca duḥkhābhāva eva sukham, satyapi duḥkhe tadvyavahāradarśanāt ---	na ca duHKa-aBAvaH eva suKam, sati-api duHKe tad-vyavahAra-darSanAt ---
   santāpavataḥ śītahrade nimagnārdhakāyasya sukhyahamiti mateḥ /	santApavataH SIta-hrade nimagna-arDa-kAyasya suKI-aham-iti mateH /
   katipayaduḥkhābhāvaśca nārakīyasyāpyasti /	katipaya-duHKa-aBAvaH-ca nArakIyasya-api-asti /
   na ca tannityam, kāraṇaviśeṣopādānavaiyarthyaṃ syāt /	na ca tat-nityam, kAraNa-viSeza-upAdAna-vEyarTyam syAt /
   jñāyamānaṃ nirupādhikṛtivyāpyaṃ sukham /	jQAyamAnam nirupADi-kRti-vyApyam suKam /
   evaṃ duḥkhamiti vaktavyam --- nirupādhikaheyaṃ duḥkham /	evam duHKam-iti vaktavyam -- nirupADika-heyam duHKam /
   (15--17 icchādveṣaprayatnānāṃ nirūpaṇam--)	(15--17 icCA-dveza-prayatnAnAm nirUpaNam--)
   karma prayatnasādhanaguṇajanyam, karmatvādvyatirekeṇa ghaṭavat /	karma prayatna-sADana-guNa-janyam, karma-tvAt-vyatirekeNa Gawa-vat /
   karmakāraṇamapi vipratipanno guṇo jñānajanyaḥ, karmakāraṇaguṇatvāt /	karma-kAraNam-api vipratipannaH guNaH jQAna-janyaH, karma-kAraNa-guNa-tvAt /
   tattatkāraṇasya sukhaduḥkhajñānasya vaijātyātkāryasya vaijātyamiti	tad-tad-kAraNasya suKa-duHKa-jQAnasya vEjAtyAt-kAryasya vEjAtyam-iti
   icchādveṣaprayatnasiddhiḥ /	icCA-dveza-prayatna-sidDiH /
   tatrecchāprayatnāvapi nityāvanityau ca buddhivat /	tatra-icCA-prayatnO=-api nitya-avanityO ca budDi-vat /
   karmakāraṇaguṇanimittasukhajñānajanyena guṇatvāvāntarajātīyecchā /	karma-kAraNa-guNa-nimitta-suKa-jQAna-janyena guNa-tva-avAntara-jAtIya-icCA /
   karmakāraṇaguṇanimittaduḥkhajñānajanyena guṇatvāvāntarajātīyo dveṣaḥ /	karma-kAraNa-guNa-nimitta-duHKa-jQAna-janyena guNa-tva-avAntara-jAtIyaH dvezaH /
   asmadādipratyakṣaceṣṭānimittena guṇatvāvāntarajātīyaḥ prayatnaḥ /	asmad-Adi-pratyakza-cezwA-nimittena guNa-tva-avAntara-jAtIyaH prayatnaH /
   (18-20 gurutvadratvasnehānāṃ nirūpaṇam--)	(18-20 gurutu-adratva-snehAnAm nirUpaNam--)
   (1 gurutvam--) vivādapadamasamavāyikāraṇajanyam, karmatvāt,	(1 guru-tvam--) vivAda-padam-asamavAyi-kAraNa-janyam, karma-tvAt,
   sampratipannavat vipratipannamasmadādyapratyakṣam, gurutvād, vyatirekeṇa	sampratipanna-vat vipratipannam-asmad-Adya-pratyakzam, guru-tvAd, vyatirekeNa
   ghaṭavat /	Gawa-vat /
   ādyapatanāsamavāyikāraṇena guṇatvāvāntarajātīyaṃ gurutvam /	Adya-patana-asamavAyi-kAraNena guNa-tva-avAntara-jAtIyam guru-tvam /
   (2 dravatvam--) syandanamasamavāyikāraṇajanyam, kāryatvād, ghaṭavaditi	(2 drava-tvam---) syandanam-asamavAyi-kAraNa-janyam, kArya-tvAd, Gawa-vat-iti
   dravatvasiddhiḥ /	drava-tva-sidDiH /
   pratyakṣeṇa ca /	pratyakzeNa ca /
   ādyasyandanāsamavāyikāraṇena guṇatvāvāntarajātīyaṃ dravatvam /	Adya-syandanA-samavAyi-kAraNena guNa-tva-avAntara-jAtIyam drava-tvam /
   taijasāḥ paramāṇavo dravatvādhārāḥ, rūpiparamāṇutvāt pārthivaparamāṇuvat /	tEjasAH paramANavaH drava-tva-ADArAH, rUpi-paramANu-tvAt pArTiva-paramANu-vat /
   na ca gurutvarasavattve upādhī, ghaṭe sādhyābhāvāt /	na ca guru-tva-rasavattve upADI, Gawe sADya-aBAvAt /
   na ca paramāṇutvaviśiṣṭametadupādhiḥ, ghṛtādau sādhyasiddhatve	na ca parama-aNu-tva-viSizwam-etat-upADiH, GRta-AdO sADya-sidDa-tve
   'pyabhāvātsādhyāvyāpakatvam /	api-aBAvAt-sADya-avyApaka-tvam /
   (3 snehaḥ--) udakaṃ guṇatvāvāntarajātyā svāśrayavyāvarttakaguṇāśrayaḥ,	(3 snehaH--) udakam guNa-tva-avAntara-jAtyA sva-ASraya-vyAvarttaka-guNa-ASrayaH,
   rasavatvāt, pṛthivīvat /	rasava-tvAt, pRTivI-vat /
   na ca pṛthivītvamupādhiḥ, sapakṣāvyāpakatvāt /	na ca pRTivI-tvam-upADiH, sa-pakza-avyApaka-tvAt /
   tadevaṃ sthite pratyakṣeṇāpi snehaḥ siddhaḥ /	tat-evam sTite pratyakzeNa-api snehaH sidDaH /
