   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   anye tu apidhānaṃ kāṃsyaṃ pradarśanārtham, tenetaradapi kāṃsyameveti	anye tu apiDAnam kAMsyam pradarSana arTam, tena itarat api kAMsyam eva iti
   9 madhuparkadravyāṇi /	9 maDuparka dravyANi /
   trivṛtameke ghṛtaṃ ca // ĀpGs_13.11 //	trivRtam eke GRtam ca // ĀpGs_13.11 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.11:	ĀpGs AnAH _13.11:
   trayāṇāṃ dravyāṇāṃ samudāyaḥtrivṛt /	trayANAm dravyANAm samudAyaH trivRt /
   pūrvokte dve dadhi madhviti vā payo madhviti vā,ghṛtañca tṛtīyam //11//	pUrva ukte dve daDi maDu iti vA payaH maDu iti vA,GRtaQca tRtIyam //11//
   ĀpGs Tāt_13.11:	ĀpGs TAt _13.11:
   trayāṇāṃ dravyāṇāṃ samāhārastrivṛcchabdenocyate /	trayANAm dravyANAm samAhAraH trivRt Sabdena ucyate /
   tasmin pakṣe pūrvokte dadhimadhunī ghṛtaṃ ca saṃsarjanīyāni //11//	tasmin pakze pUrva ukte daDi maDunI GRtam ca saMsarjanIyAni //11//
   pāṅktameke dhānāssaktūṃśca // ĀpGs_13.12 //	pAFktam eke DAnA ssaktUn= ca // ĀpGs_13.12 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.12:	ĀpGs AnAH _13.12:
   pañcānāṃ dravyāṇāṃ samudāyaḥpāṅktam /	paQcAnAm dravyANAm samudAyaH pAFktam /
   dadhi madhu ghṛtaṃ dhānāssaktavaḥ iti //12//	daDi maDu GRtam DAnA AssaktavaH iti //12//
   ĀpGs Tāt_13.12:	ĀpGs TAt _13.12:
   ihāpi pañcānāṃ samudāyaḥ pāṅktaḥ /	iha api paQcAnAm samudAyaH pAFktaH /
   śeṣaṃ pūrvavat //12//	Sezam pUrvavat //12//
   10 madhuparkaprāśanam /	10 maDuparka prASanam /
   uttarābhyāmabhintrya yajurbhyāmapa ācāmati purastādupariṣṭāccottarayā triḥ	uttarAByAm aBintrya yajurByAm apaH AcAmati purastAt uparizwAt ca uttarayA tris 
   prāśyānukampyāya prayacchet // ĀpGs_13.13 //	prASya anukampyAya prayacCet // ĀpGs_13.13 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.13:	ĀpGs AnAH _13.13:
   atha taṃ madhuparkamuttarābhyāmṛgbhyāṃ 'trayyai vidyāyai,	aTa tam maDuparkam uttarAByAm RgByAm atrayyE vidyAyE,
   'āmāganni'tyetābhyāmabhimantrya pūjyamānaḥ pratigṛhṇāti /	aAmAganni atyetAByAm aBimantrya pUjyamAnaH pratigRhNAti /
   pādyādīnām  abhimantrya pratigrahadarśanāt madhuparkasyābhimantrya	pAdya AdInAm aBimantrya pratigraha darSanAt maDuparkasya aBimantrya
   pratigrahaḥ, na pratigṛhyābhimantraṇam /	pratigrahaH, na pratigRhya aBimantraNam /
   tatastaṃ 'yanmadhuna'ityetayā triḥ prāśnāti /	tatas tam ayat maDuna aiti etayA tris prASnAti /
   sakṛnmantreṇa dvistūṣṇīm /	sakRt mantreNa dvis tUzNIm /
   tataḥ prāśanasya purastādupariṣṭācca	tatas prASanasya purastAt uparizwAt ca
   yajurbhyāmanantarapaṭhitābhyā"mamṛtopastaraṇamasyamṛtopidhānamasī'tyetābhyāṃ	yajurByAm anantara paWitAByA"m amRta upastaraNam asi amRta upiDAnam asI atyetAByAm
   yathākramaṃ apa ācāmati /	yaTAkramam apaH AcAmati /
   tatra prayogaḥ amṛtopastaraṇasītyupastaraṇīyā apa ācamya madhuparka	tatra prayogaH amRta upastaraNasi iti upastaraNIyAH apaH Acamya maDuparka
   mantreṇa prāśyācamya evaṃ dvistūṣṇīṃ prāśyāpidhānīyā apa ācāmati /	mantreNa prASya Acamya evam dvis tUzNIm prASya apiDAnIyAH apaH AcAmati /
   paścāt śaucārthamācamanam /	paScAt SOca arTam Acamanam /
   śeṣaṃ madhuparkaprāśanaśeṣaṃanukampyāyaanugrāhyāya putrāya bhrātre vā	Sezam maDuparka prASana SezaManukampyAyaanugrAhyAya putrAya BrAtre vA
   samāvṛttāyaiva prayacchet /	samAvRttAya eva prayacCet /
   so 'pi taṃ prāśnāti /	saH api tam prASnAti /
   somabhakṣaṇe madhuparkaprāśane bhojane ca madhye nocchiṣṭateti śiṣṭāḥ	soma BakzaNe maDuparka prASane Bojane ca maDye na ucCizwa tA iti SizwAH
   smaranti //13//	smaranti //13//
   ĀpGs Tāt_13.13:	ĀpGs TAt _13.13:
   atha pūjyastaṃ madhuparka pratigṛhyāpidhānapātramapanīya 'trayyai	aTa pUjyaH tam maDuparka pratigRhya apiDAna pAtram apanIya atrayyE
   vidyāyai''āmāgan yaśaśā'iti dvābhyāmabhimnatrya /	vidyAyE aaAma Agan yaSaSA aiti dvAByAm aBimnatrya /
   'amṛtopastara ṇamasi'; iti yajuṣāpurastātprāśanādapaḥ pibati /	aamRta upastara Na masi a; iti yajuzA purastAt prASanAt apaH pibati /
   tata ācamya 'yanmadhuno madhavyam'ityanayā triḥ prāśnāti /	tatas Acamya ayat maDunaH maDavyam aiti anayA tris prASnAti /
   dvistūṣṇīm /	dvis tUzNIm /
   tataḥ 'amṛtāpidhānamasi'; iti yajuṣāupariṣṭādapyapaḥpibet /	tatas aamRta apiDAnam asi a; iti yajuzAu parizwAt api apaHpibet /
   atācamya śeṣamanukampyāya anugrāhyāya putrāśiṣyādaye samāvṛttāyaiva	atAcamya Sezam anukampyAya anugrAhyAya putra aSizya Adaye samAvRttAya eva
   prāśituṃprayacchet; na tu brahmacāriṇe, 'na cāsmai	prASituM prayacCet; na tu brahmacAriNe, ana ca asmE
   śrutivipratiṣiddhamucchiṣṭaṃ dadyāt'(āpa.dha.1 4 5) iti niṣedhāt /	Sruti vipratizidDam ucCizwam dadyAt a(Apa.Da.1 4 5) iti nizeDAt /
   nanviha madhye śuddhyarthamupastaraṇānantaramācamanaṃ na kartavyam;asmākaṃ	nanu iha maDye SudDi arTam upastaraNa anantaram Acamanam na kartavyam ;asmAkam
   vacanābhāvāt /	vacana aBAvAt /
   nyāyate 'pi naiva;bhojanavadapidhānāntameka  karmatvāt /	nyAyate api na eva; Bojana vat apiDAna antam eka karma tvAt /
   aparathā bhojame 'pi pratigrāsamācamanaṃ prasajyeta /	aparaTA Bojame api pratigrAsam Acamanam prasajyeta /
   atha sarvadeśakālakartṛvyāptācārabalāttatkartavyamiti cet, na;ayamācāra	aTa sarva deSa kAla kartR vyApta AcAra balAt tat kartavyam iti cet, na;ayam AcAra
   uktalakṣaṇo na vetyarvācīnānāṃ durniśceyatvāt /	ukta lakzaNaH na vA iti arva AcInAnAm durniSceya tvAt /
   atrocyate nāyamākṣepaḥ	atra ucyate  na ayam AkzepaH
   bodhāyanādigṛhyeṣūpastaraṇānantaramācamanavidhidarśanenāsmākamapyācāraḥ	boDAyana Adi gRhyezu upastaraNa anantaram Acamana viDi darSanena asmAkam api AcAraH
   sarvadeśādivyāpīti niścetuṃ suśakatvāt /	sarva deSa AdivyApi iti niScetum suSaka tvAt /
   uktaṃ caitat"atha karmāṇyācārādyāni'(apa.gṛ.1 1) ityatra gārhyaaṇīti	uktam ca etat "aTa karmANi AcArAt yAni a(apa.gR.1 1) iti atra gArhyaaNI iti
   svaśabdaṃ vihāya, ācārādityupalakṣaṇato vyākhyeyagārhyakarmanirdeśāt,	sva Sabdam vihAya, AcArAt iti upalakzaNataH vyAKyeya gArhya karma nirdeSAt,
   gṛhyāntarādyupadiṣṭaviṣayo 'pyasmadīyānāmācāro vedamūla eveti /	gRhya antara Adi upadizwa vizayaH api asmadIyAnAm AcAraH veda mUlaH eva iti /
   bhojane tu na pratigrāsamācamanaprasaktiḥ;kvacidapi vacanābhāvāt,	Bojane tu na pratigrAsam Acamana prasaktiH ;kvacid api vacana aBAvAt,
   ācārābhāvācca /	AcAra aBAvAt ca /
   somapāne punaḥ 'na somenocchiṣṭā bhavanti'iti vacanādante 'pi naivācamanam	soma pAne punar ana somena ucCizwAH Bavanti aiti vacanAt ante api na eva Acamanam
   api caitadācamanam	api ca etat Acamanam
   śikābandhanādivat kartuḥ saṃskārakam, sannipāti ca	SikAbanDana Adi vat kartuH saMskArakam, sannipAti ca
   anuktamapyapekṣitamanyato grāhyamiti nyāyavidaḥ /	anuktam api apekzitam anyatas grAhyam iti nyAya vidaH /
   tasmādihopastaraṇānantamācamanaṃ kāryameva /	tasmAt iha upastaraNa anantam Acamanam kAryam eva /
   kecit baudhāyanādibhirupastaraṇāpidhānayostadarthānāṃ cāpāṃ nivedanasya	kecit  bODAyana AdiBiH upastaraNa apiDAnayoH tad arTAnAm ca apAm nivedanasya
   pṛthagupadeśāt upastaraṇādūrdhvamācamanavidhānācca upastaraṇādeḥ	pRTak upadeSAt upastaraNAt UrDvam Acamana viDAnAt ca upastaraNa AdeH
   bahiraṅgatvena karmāntaratvāvagateryuktaṃ teṣāṃ prāśanāttprāgapyācamanam /	bahis aFga tvena karma antara tva avagateH yuktam tezAm prASanAtt prAk api Acamanam /
   asmākaṃ tu tathāvidhopadeśābhāvāt, antaraṅgatvena upastaraṇādya 	asmAkam tu taTAviDa upadeSa aBAva at, antaraFga tvena upastaraNa At ya 
   pidhānāntaṃ bhojanavadekaṃ karmeti madhye suddhyarthamācamanaṃ na	piDAna antam Bojana vat ekam karma iti maDye sudDi arTam Acamanam na
   yuktamiti /	yuktam iti /
   maivam;yato 'smākamapi 'yajurbhyāmapa āācāmati'iti śabdāntareṇācamanayoḥ	mA evam ;yataH asmAkam api ayajurByAm apaH AAcAmati aiti Sabda antareNa AcamanayoH
   pṛthagovopadeśaḥ /	pRTak ova upadeSaH /
   asmādeva pṛthagupadeśāttadarthānāmapāmāvedanaṃ cākṣepyam /	asmAt eva pRTak upadeSAt tad arTAnAm apAm Avedanam ca Akzepyam /
   ato 'smākaṃ teṣāṃ copadeśe vaiṣamya  bhāvāttulyayogakṣemamevācamanam // 13	atas asmAkam tezAm ca upadeSe vEzamya BAvAt tulya yogakzemam eva Acamanam // 13
   11 madhuparkapratigrahītā rājā sthapatirvā cet tena tasya purohitāya dānam	11 maDuparka pratigrahItA rAjA sTapatiH vA ced tena tasya purohitAya dAnam
   pratigṛhyaiva rājā sthapatirvā purohitāya // ĀpGs_13.14 //	pratigRhya eva rAjA sTapatiH vA purohitAya // ĀpGs_13.14 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.14:	ĀpGs AnAH _13.14:
   evakārāt prāśanamakṛtvā purohitāya pradānam /	eva kArAt prASanam akRtvA purohitAya pradAnam /
   sa vidhivat prāśnāti //14//	sa viDivat prASnAti //14//
   ĀpGs Tāt_13.14:	ĀpGs TAt _13.14:
   rājā sthapatiścamadhuparkapratigṛhyaiva purohitāya prayacchet /	rAjA sTapatiH ca maDuparka pratigRhya eva purohitAya prayacCet /
   evakārādabhimantraṇamakṛtvā /	eva kArAt aBimantraNam akRtvA /
   abhimantraṇādi tu praśanāntaṃ purohitasyaiva /	aBimantraNa Adi tu praSana antam purohitasya eva /
   prāśanāntaṃ purohitasyaiva /	prASana antam purohitasya eva /
   punaścottaraṃ karma rājādereva //14//	punar ca uttaram karma rAja AdeH eva //14//
   12 gonivedanam /	12 gonivedanam /
   gauriti gāṃ prāha // ĀpGs_13.15 //	gOH iti gAm prAha // ĀpGs_13.15 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.15:	ĀpGs AnAH _13.15:
   athācāmyopaviṣṭāya gāṃ nivedayate gauriti /	aTa AcAmya upavizwAya gAm nivedayate  gOH iti /
   strī ca gaurbhavati, gaurdhanubhavyeti darśanāt /	strI ca gOH Bavati, gOH Danu BavyA iti darSanAt /
   yadvā pumānapi bhavati /	yat vA pumAn api Bavati /
   śrūyatohi	SrUyataH hi
    "tadyathaivādo manuṣyarāja āgate 'nyasmin vār'hati ukṣāṇaṃ vehataṃ vā	 "tat yaTA eva AdaH manuzya rAjaH Agate anyasmin vAr ahati ukzANam vehatam vA
   kṣadante"iti /	kzadante" iti /
   (ai.brā.1 3 4) evamarthamevātra gāmityuktaṃ gojātimātrasya nvedanaṃ yathā	(E.brA.1 3 4) evam arTam eva atra gAm iti uktam go jAti mAtrasya nvedanam yaTA
   syāt . anyathā gauriti prahetyetāvatā siddhaṃ yathā pādyadiṣu //15//	syAt . anyaTA gOH iti prahA iti etAvatA sidDam yaTA pAdya dizu //15//
   ĀpGs Tāt_13.15:	ĀpGs TAt _13.15:
   prāśane kṛte dātā 'gauḥ'iti gāṃ prāhakathayati /	prASane kRte dAtA agOH aiti gAm prAhakaTayati /
   gaiśca strī, 'gaurdhenubhavyā'iti strīliṅganirdeśāt /	gEH ca strI, agOrDenu BavyA aiti strI liFga nirdeSAt /
   etacca kathanaṃ, kimiyaṃ gaussaṃjñapyatāmutsṛjyatāṃ vā?iti	etat ca kaTanan, kim iyam gOssaMjQapyatAm utsRjyatAm vA? iti
   pūjyābhiprāyaniścayārtham /	pUjya aBiprAya niScaya arTam /
   sa ca svābhiprāyaṃ dīturbrūyāt //15//	sa ca sva aBiprAyam dItuH brUyAt //15//
   13 gorvapāṃ śrapayitvā tasyāḥ palāśaparṇena homaḥ /	13 gorvapAm SrapayitvA tasyAH palASa parNena homaH /
   uttarayābhimantrya tasyai vapāṃ śrapayitvopastīrṇābhighāritāṃ	uttarayA aBimantrya tasyE vapAm SrapayitvA upastIrNa aBiGAritAm
   madhyamenāntamena vā palāśaparṇenottarayā juhoti // ĀpGs_13.16 //	maDyamena antamena vA palASa parNena uttarayA juhoti // ĀpGs_13.16 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.16:	ĀpGs AnAH _13.16:
   anujānīyadityadhyāhāraḥ /	anujAnIyat iti aDyAhAraH /
   kalpāntare tathā darśanāt /	kalpa antare taTA darSanAt /
   oṃkurutti kārayiṣyan anujānīyāditi /	oM kurutti kArayizyan anujAnIyAt iti /
   proktāyāṃ gavi tāṃuttarayā 'gaurasyapahatapāpme'tyetayā pūjyamāno	proktAyAm gavi tAM uttarayA agOrasi apahata pApme atyetayA pUjyamAnaH 
   'bhimantrya /	aBimantrya /
   yadyasya ālambhanamicchan anujānīyāt /	yat i asya AlamBanam icCan anujAnIyAt /
   yadyapyeka evārrdhacassamāmnāyate tathāpi strīliṅganirdeśādṛgevaiṣāgāyatrī	yadi api ekaH eva arrDacassamAmnAyate taTA api strI liFga nirdeSAdRS eva ezA gAyatrI
   tatrāmuṣyetyasya sthāne pradāturnāmanirdeśaḥ mama ca yajñaśarmaṇaśceti	tatra amuzya iti asya sTAne pradAtuH nAma nirdeSaH mama ca yajQaSarmaNaH ca iti
   tataḥ pradātā tenāsambhane 'nujñāte laukikyā'vṛtā tasyā gorālambhaṃ kṛtvā	tatas pradAtA tena asamBane anujQAte lOkikyA avRtA tasyAH goH AlamBam kRtvA
   vapāmutkhidya vapāśrapaṇībhyāṃ parigṛhya aupāsane pacane vā	vapAm utKidya vapA ASrapaNIByAm parigRhya OpAsane pacane vA
   śrapayitvā tāmupastīrṇābhighāritāṃ madhyamenāntamena vā	SrapayitvA tAm upastIrNa aBiGAritAm maDyamena antamena vA
   palāśaparṇenottarayarcā ' gniḥ prāśnātvi'tyetayā tasminnevāgnau juhoti /	palASa parNena uttarayA RcA a gniH prASnAtvi ati etayA tasmin= eva agnO juhoti /
   upastīryābhighāritāmitiupastaraṇābhighāraṇe kṛtvetyarthaḥ /	upastIrya aBiGAritAm itiupastaraNa aBiGAraNe kRtvA iti arTaH /
   hutvā tato māṃsaṃ saṃskṛtyānnena saha tasmā upaharanti /	hutvA tatas mAMsam saMskRtya annena saha tasmE upaharanti /
   'avikṛtamātithya'miti vacanāt upastaraṇābhighāraṇayoraprasaṅge vacanam /	aavikRtam AtiTya am iti vacanAt upastaraNa aBiGAraNayoH aprasaFge vacanam /
   palāśaparṇenetyeva siddhe madhyamenāntamenetivacanaṃ dviparṇasya	palASa parNena iti eva sidDe maDyamena antamena iti vacanam dviparNasya
   palāśavṛntasya parṇena homo mā bhūditi /	palASa vRntasya parNena homaH mA BUt iti /
   abhāvavikalpārtha vā pūrva madhyamena tadabhāve antameneti //17//	aBAva vikalpa arTa vA pUrva maDyamena tad aBAve antamena iti //17//
   ĀpGs Tāt_13.16:	ĀpGs TAt _13.16:
   yadi pratihītā saṃjñapanamicchet, tadā	yadi pratihItA saMjQapanam icCet, tadA
   'gaurasyapahatapāpmā'ityetayānavasānayā gāmabhimantrayate /	agOrasi apahata pApmA aiti etayA anavasA anayA gAm aBimantrayate /
   amuṣyetyasya sthāne cārhayiturnāma viṣṇuśarmaṇa iti gṛhṇāti /	amuzya iti asya sTAne ca arhayituH nAma vizNuSarmaNaH iti gRhNAti /
   tatassukamāsīta /	tatassukam AsIta /
   dātureva vapāhomāntaṃ karma /	dAtuH eva vapA homa antam karma /
   abhimantryeti ca ktavāpratyayaḥ kriyāvidhāna mātrārtha eva, na tu	aBimantrya iti ca ktava apratyayaH kriyA viDAna mAtrA arTaH eva, na tu
   samānakartṛkatvārthaḥ /	samAna kartRka tva arTaH /
   tasāyaitasyāḥ saṃjñapanaṃ kṛtvā, vapāmutthidya,śrapayitvā,	tasAya etasyAH saMjQapanam kRtvA, vapAm utTi dya, SrapayitvA,
   madhyamenāntamena vā palāśaparṇena laukikenājyenopastīrya kṛtsnāṃ vapāṃ	maDyamena antamena vA palASa parNena lOkikena Ajyena upastIrya kRtsnAm vapAm
   sakṛdevāvadāyābhighārya 'agniḥ prāśanātu'ityetayā tena parṇena svāgenau	sakRt eva avadAya aBiGArya aagniH prASanAtu aiti etayA tena parNena svAgenO
   juhoti /	juhoti /
   tatra ca madhyamenāntamena veti vacanaṃ	tatra ca maDyamena antamena vA iti vacanam
   dviparṇapratiṣedhārthamabhāvavikalpārtha vā /	dvi parNa pratizeDa arTam aBAva vikalpa arTa vA /
   śiṣṭaiścāvadānaissaṃskṛtaissahānnaṃ bhojayet /	SizwEH ca avadA nEH saMskRtEH sahA annam Bojayet /
   ayaṃ ca saṃjñapanapakṣaḥ kaliyugānācāreṣu paṭhitatvādidānīṃ tyājya eva	ayam ca saMjQapana pakzaH kali yugAn AcArezu paWita tvAt idAnIm tyAjyaH eva
   14 gorutsargapakṣe kartavyaḥ prakāraḥ /	14 goH utsarga pakze kartavyaH prakAraH /
   yadyutsṛjedupāṃśūttarāṃ japitvomutsṛjate tyuccaiḥ // ĀpGs_13.17 //	yadi utsRjet upAMSu uttarAm japitvA umutsRjate tyuccEs // ĀpGs_13.17 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.17:	ĀpGs AnAH _13.17:
   atha yadi gāmutsṛjatyayaṃ pūjyamānaḥ sa gauriti prokte mantrān	aTa yadi gAm utsRjati ayam pUjyamAnaH sa gOH iti prokte mantrAn
   uttarāṃścaturo 'yajñe vardhatā'mityupāṃśu japati /	uttarAn= caturaH ayajQe varDatA am iti upAMSu japati /
   japitvā 'omutsṛjate'tyuccaiḥprasauti /	japitvA aomutsRjate ati uccEs prasOti /
   pradātā ca tāmuttsṛjyānyat māṃsaṃ kalpayati, 'nāmāṃso madhuparko	pradAtA ca tAm uttsRjya anyat mAMsam kalpayati, anAmAMsaH maDuparkaH 
   bhavatī'(āśva.gṛ.19 28) tu kalpāntarāt /	BavatI a(ASva.gR.19 28) tu kalpa antarAt /
   tatra puṅgavālambhe gaurdhanubhavyāmātārudrāṇāmetayorlopaḥ liṅgavirodāt,	tatra puFgava AlamBe gOH Danu Bavya amAtA rudrANAm etayoH lopaH liFga virodAt,
   netyanye /	na iti anye /
   japatvādeva siddhe upāṃśuvacanaṃ niyamārtham uttare catvāra eva mantrāḥ	japa tvAt eva sidDe upAMSu vacanam niyama arTam  uttare catvAraH eva mantrAH
   upāṃśu vaktatavyāḥ /	upAMSu vaktatavyAH /
   na praṇava iti /	na praNavaH iti /
   śāstrāntaradarśanāt prasaṅgaḥ /	SAstra antara darSanAt prasaFgaH /
   praṇavadyuccaiḥ, ūrdva vā praṇavāt iti /	praNava di uccEH, Urdva vA praNavAt iti /
   tena brahmaṇaḥ evaiṣa vikalpaḥ siddho bhavati /	tena brahmaNaH eva eza vikalpaH sidDaH Bavati /
   ihaprasavāṃvidhrabhāve 'pi utyairiti vacanādeva prasautirdraṣṭavyaḥ //18//	ihaprasavAMviDra BAve api utyEH iti vacanAt eva prasOtiH drazwavyaH //18//
   ĀpGs Tāt_13.17:	ĀpGs TAt _13.17:
   yadi pūjeyo gāmutsṛjyamānāmicchet /	yadi pUjeyaH gAm utsRjyamAnAm icCet /
   ayaṃ ca kāmapravedane liṅ /	ayam ca kAma pravedane liF /
   tadottarān trīn mantrān 'yajño vardhatām'ityādikānupāṃśu japitvā '	tadA uttarAn trIn mantrAn ayajQaH varDatAm aitya Adika anupAMSu japitvA a
   omutsṛjata' ityuccaiḥprabrūyāditi śeṣaḥ /	om utsRjata a iti uccEs prabrUyAt iti SezaH /
   kecit yajña ityādikāścatvāro mantrā iti /	kecit yajQaH iti AdikAH catvAraH mantrAH iti /
   iyaṃ ca gaurutsarjanapakṣe 'pi bhoktureva // 17 //	iyam ca gOH utsarjana pakze api BoktuH eva // 17 //
   15 annanivedanam /	15 anna nivedanam /
   annaṃ proktamupāṃśūttarairabhimantrya oṃ kalpayate tyuccaiḥ // ĀpGs_13.18	annam proktam upAMSu uttarEH aBimantrya om kalpayate tyuccEs // ĀpGs_13.18
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.18:	ĀpGs AnAH _13.18:
   athānnaṃ sāmiṣaṃ samāhṛtya tasme prāha bhūtamiti /	aTa annam sa Amizam samAhRtya tasme prAha BUtam iti /
   siddhe 'nne bhūtamiti prāha (bau.gṛ1 2 55) iti kalpāntaram /	sidDe anne BUtam iti prAha (bO.gR1 2 55) iti kalpa antaram /
   asmākaṃ ca vaiśvadeve /	asmAkam ca vESvadeve /
   tasmāt bhūtamityeva nivedanam /	tasmAt BUtam iti eva nivedanam /
   tadannaṃ peroktamuttaraiḥ pañcabhirmantrairbhūtamityādibhiḥ	tat annam perA uktam uttarEH paQcaBiH mantrEH BUtam ityAdiBiH
   bhoktopāṃśvabhimantrya oṃkalpayatetyuccaiḥ prasauti /	BoktA upAMSu aBimantrya oM kalpayata iti uccEs prasOti /
   prasūtāḥ pariveṣṭāraḥ pariveṣanti caturo nānāgotrān brāhmaṇān bhojayateti	prasUtAH parivezwAraH parivezanti caturaH nAnA gotrAn brAhmaNAn Bojayata iti
   brūyettoṣu bhuktavātsvannamasmā upāharantīti (bau.gṛ.1 2) kalpāntaram	brUyet tozu BuktavAt su annam asmE upAharanti iti (bO.gR.1 2) kalpa antaram
   ĀpGs Tāt_13.18:	ĀpGs TAt _13.18:
   atha dātā siddhamannaṃ 'bhūtaṃ'iti mantreṇa pūjyāya prabrūyānnivedet /	aTa dAtA sidDam annam aBUtaM aiti mantreNa pUjyAya prabrUyAt nivedet /
   kuta etat ?'sijjhe 'nne tiṣṭhan bhūtamiti svāmine prabrūyāt';	kutas etat ? asijJe anne tizWan BUtam iti svAmine prabrUyAt a;
   (āpa.dha.2 3 10) iti vaiśvadeve darśanāt /	(a apa.Da.2 3 10) iti vESvadeve darSanAt /
   madhuparkaprakaraṇa eva 'siddhenne tiṣṭhan bhūtamiti prāha'iti	maDuparka prakaraNaH eva asidDenne tizWan BUtam iti prAha aiti
   kalpāntarācca /	kalpa antarAt ca /
   evaṃ proktamannaṃ bhoktā	evam proktam annam BoktA
   uttarairmantraiḥ 'subhūtam'ityādibhiḥ pañcabhirupāṃśvabhimantrya,oṃ	uttarEH mantrEH asuBUtam aitya AdiBiH paQcaBiH upAMSu aBimantrya ,om
   kalpayatetyuccaiḥ /	kalpayata iti uccEs /
   atrāpyanujānīyāṃditi śeṣa  /	atra api anujAnIyAnditi Seza /
   tato bhojanaṃ ;annanivedanasya dṛṣṭārthatvāt, ācārācca //18//	tatas Bojanam ;anna nivedanasya dRzwa arTa tva at, AcArAt ca //18//
   16 madhuparkarahaaḥ /	16 maDuparka rahaaH /
   ācāryāyartvije śvaśurāya rājña iti parisaṃvatsarādupatiṣṭhadbhya	AcAryAya Rtvije SvaSurAya rAjQaH iti parisaMvatsarAt upatizWadBya
   etatkāryam // ĀpGs_13.19 //	etat kAryam // ĀpGs_13.19 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.19:	ĀpGs AnAH _13.19:
   ācāryādayaḥ prasiddhāḥ /	AcArya AdayaH prasidDAH /
   tebhyaścaturbhyaḥ parisaṃvatsaraṃ vipreṣyopatiṣṭhadbhyaḥ	teByaH caturByaH parisaMvatsaram viprezya upatizWadByaH
   gṛhamātiśyenāgatebhyaḥ etadapacitkarma kūrcādi bhojanāntaṃ kartavyam /	gRham AtiSyena AgateByaH etat apacit karma kUrca Adi Bojana antam kartavyam /
   kena?gṛhasthena /	kena? gRhasTena /
   niveśe hi vṛtte naiyamikāni?śrūyante agnihotramatithayaḥ iti vacanāt /	niveSe hi vRtte nEyamikA ni?SrUyante agnihotram atiTayaH iti vacanAt /
   atra kecidāhuḥ 	atra kecid AhuH 
   ācāryāyartvije śvaśurāya rājña ityetat kāryam /	AcAryAya Rtvije SvaSurAya rAjQaH iti etat kAryam /
   ityeko yogaḥ /	iti ekaH yogaH /
   atha parisaṃvatsarādupatiṣṭhadbhyaścāyaṃ kāryaḥ iti /	aTa parisaMvatsarAt upatizWadByaH ca ayam kAryaH iti /
   tena vivāhāda  nantaraṃ ācāryaśvaśurābhyāṃ nimantryāpacitiḥ kartavyā /	tena vivAha Ada nantaram AcArya SvaSurAByAm nimantrya apacitiH kartavyA /
   ṛtvije ca karmaṇi, rājñe cābhiṣekānantaram /	Rtvije ca karmaNi, rAjQe ca aBizeka anantaram /
   atha tebhya eva saṃvatsaraṃ vipro ṣyopagatebhyaśca kartavyamiti //20//	aTa teByaH eva saMvatsaram vipraH zya upagateByaH ca kartavyam iti //20//
   ĀpGs Tāt_13.19:	ĀpGs TAt _13.19:
   yadetadarhaṇaṃ kūrcādi bhojanāntaṃ gṛhasthena snātakāya snānadivasa	yat etat arhaNam kUrca Adi Bojana antam gRhasTena snAtakAya snAna divasa
