   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
        deśakālākāranimittāpabandhān na khalu samānakālam ātmanām abhivyaktir	deSa-kAla-AkAra-nimitta-apabanDAt na Kalu samAna-kAlam AtmanAm aBivyaktiH-
   iti. ya eteṣv abhivyaktānabhivyakteṣu dharmeṣv anupātī sāmānyaviśeṣātmā so	iti. yaH etezu aBivyakta-anaBivyaktezu Darmezu anupAtI sAmAnya-viSeza-AtmA saH-
   'nvayī dharmī. yasya tu dharmamātram evedaṃ niranvayaṃ tasya bhogābhāvaḥ.	anvayI DarmI. yasya tu Darma-mAtram eva-idam niranvayam tasya Boga-aBAvaH.
   kasmāt, anyena vijñānena kṛtasya karmaṇo 'nyat kathaṃ	kasmAt, anyena vijQAnena kRtasya karmaNaH anyat kaTam
   bhoktṛtvenādhikriyate. tatsmṛtyabhāvaś ca nānyadṛṣṭasya smaraṇam	BoktR-tvena-aDikriyate. tad-smRti-aBAvaH ca na-anya-dRzwasya smaraNam
   anyasyāstīti. vastupratyabhijñānāc ca sthito 'nvayī dharmī yo	anyasya-asti-iti. vastu-pratyaBijQAnAt ca sTitaH anvayI DarmI yaH-
   dharmānyathātvam abhyupagataḥ pratyabhijñāyate tasmān nedaṃ dharmamātraṃ	DarmAn-yaTAtvam aByupagataH pratyaBijQAyate tasmAt na-idam Darma-mAtram
   niranvayam iti. 3.14	niranvayam iti. 3.14
   kramānyatvaṃ pariṇāmānyatve hetuḥ || YS_3.15 ||	krama-anya-tvam pariNAma-anya-tve hetuH || YH-_3.15 ||
        ekasya dharmiṇa eka eva pariṇāma iti prasakte kramānyatvaṃ	ekasya DarmiNaH ekaH eva pariNAmaH iti prasakte krama-anya-tvam
   pariṇāmānyatve hetur bhavatīti. tadyathā	pariNAma-anya-tve hetuH Bavati-iti. tat-yaTA
   cūrṇamṛtpiṇḍamṛdghaṭamṛtkapālamṛtkaṇamṛd iti ca kramaḥ. yo yasya dharmasya	cUrNa-mRd-piNxa-mRd-Gawa-mRd-kapAla-mRd-kaNa-mRt iti ca kramaH. yaH yasya Darmasya
   samanantaro dharmaḥ sa tasya kramaḥ. piṇḍaḥ pracyavate ghaṭa upajāyata iti	samanantaraH DarmaH sa tasya kramaH. piNxaH pracyavate GawaH upajAyate iti
   dharmapariṇāmakramaḥ. lakṣaṇapariṇāmakramo ghaṭasyānāgatabhāvād	Darma-pariNAma-kramaH. lakzaNa-pariNAma-kramaH Gawasya-anAgata-BAvAt-
   vartamānabhāvaḥ kramaḥ. tathā piṇḍasya vartamānabhāvād atītabhāvaḥ kramaḥ.	vartamAna-BAvaH kramaH. taTA piNxasya vartamAna-BAvAt atIta-BAvaH kramaH.
   nātītasyāsti kramaḥ. kasmāt. pūrvaparatāyāṃ satyāṃ samanantaratvaṃ, sā tu	na-atItasya-asti kramaH. kasmAt. pUrva-para-tAyAm satyAm samanantara-tvaM, sA tu
   nāsty atītasya tasmād dvayor eva lakṣaṇayoḥ kramaḥ.	na-asti atItasya tasmAt dvayoH eva lakzaNayoH kramaH.
   tathāvasthāpariṇāmakramo 'pi ghaṭasyābhinavasya prānte purāṇatā dṛśyate.	taTA-avasTA-pariNAma-kramaH api Gawasya-aBinavasya prAnte purANa-tA dRSyate.
   sā ca kṣaṇaparamparānupātinā krameṇābhivyajyamānā parāṃ vyaktim āpadyata	sA ca kzaNa-paramparA-anupAtinA krameNa-aBivyajyamAnA parAm vyaktim Apadyata
   iti. dharmalakṣaṇābhyāṃ ca viśiṣṭo 'yaṃ tṛtīyaḥ pariṇāma iti.	iti. Darma-lakzaNAByAm ca viSizwaH ayam tRtIyaH pariNAmaH iti.
        ta ete kramā dharmadharmibhede sati pratilabdhasvarūpāḥ. dharmo 'pi	te ete kramAH Darma-Darmi-Bede sati pratilabDa-svarUpAH. DarmaH api
   dharmī bhavaty anyadharmasvarūpāpekṣayeti. yadā tu paramārthato dharmiṇy	DarmI Bavati anya-Darma-svarUpa-apekzayA-iti. yadA tu paramArTataH DarmiNy
   abhedopacāras taddvāreṇa sa evābhidhīyate dharmas tadāyam ekatvenaiva	aBeda-upacAraH tad-dvAreNa saH eva-aBiDIyate DarmaH tadA-ayam eka-tvena-eva
   kramaḥ pratyavabhāsate.	kramaH pratyavaBAsate.
        cittasya dvaye dharmā paridṛṣṭāś cāparidṛṣṭāś ca. tatra	cittasya dvaye DarmAH paridRzwAH ca-aparidRzwAH ca. tatra
   pratyayātmakāḥ paridṛṣṭā vastumātrātmakā aparidṛṣṭāḥ. te ca saptaiva	pratyaya-AtmakAH paridRzwAH vastu-mAtra-AtmakAH aparidRzwAH. te ca sapta-eva
   bhavanty anumānena prāpitavastumātrasadbhāvāḥ.	Bavanti anumAnena prApita-vastu-mAtra-sadBAvAH.
        "nirodhadharmasaṃskārāḥ pariṇāmo 'tha jīvanam /	"niroDa-Darma-saMskArAH pariNAmaH aTa jIvanam /
        ceṣṭā śaktiś ca cittasya dharmā darśanavarjitāḥ //" iti. 3.15	cezwA SaktiH ca cittasya DarmAH darSana-varjitAH //" iti. 3.15
   ato yogina upāttasarvasādhanasya bubhutsitārthapratipattaye saṃyamasya	atas yoginaH upAtta-sarva-sADanasya buButsita-arTa-pratipattaye saMyamasya
   viṣaya upakṣipyate ---	vizayaH upakzipyate ---
        pariṇāmatrayasaṃyamād atītānāgatajñānam || YS_3.16 ||	pariNAma-traya-saMyamAt atIta-anAgata-jQAnam || YH-_3.16 ||
   dharmalakṣaṇāvasthāpariṇāmeṣu saṃyamād yogināṃ bhavaty atītānāgatajñānam.	Darma-lakzaNa-avasTA-pariNAmezu saMyamAt yoginAm Bavati atIta-anAgata-jQAnam.
   dhāraṇādhyānasamādhitrayam ekatra saṃyama uktaḥ. tena pariṇāmatrayaṃ	DAraNA-DyAna-samADi-trayam ekatra saMyamaH uktaH. tena pariNAma-trayam
   sākṣātkriyamāṇam atītānāgatajñānaṃ teṣu saṃpādayati. 3.16	sAkzAt-kriyamANam atIta-anAgata-jQAnam tezu saMpAdayati. 3.16
   śabdārthapratyayānām itaretarādhyāsāt saṃkaras tatpravibhāgasaṃyamāt	Sabda-arTa-pratyayAnAm itaretara-aDyAsAt saMkaraH tad-praviBAga-saMyamAt
   sarvabhūtarutajñānam || YS_3.17 ||	sarva-BUta-ruta-jQAnam || YH-_3.17 ||
        tatra vāgvarṇeṣv evārthavatī. śrotraṃ ca dhvanipariṇāmamātraviṣayam.	tatra vAc-varNezu eva-arTavatI. Srotram ca Dvani-pariNAma-mAtra-vizayam.
   padaṃ punar nādānusaṃhārabuddhinirgrāhyam iti. varṇā ekasamayāsaṃbhavitvāt	padam punar nAda-anusaMhAra-budDi-nirgrAhyam iti. varNAH eka-samaya-asaMBavi-tvAt
   parasparaniranugrahātmānas te padam asaṃspṛśyānupasthāpyāvirbhūtās	paraspara-niranugraha-AtmAnaH te padam asaMspRSya-anupasTApya-AviH-BUtA-aH-
   tirobhūtāś ceti pratyekam apadasvarūpā ucyante.	tiroBUtAH ca-iti pratyekam apada-sva-rUpAH ucyante.
        varṇaḥ punar ekaikaḥ padātmā sarvābhidhānaśaktipracitaḥ	varNaH punar ekEkaH pada-AtmA sarva-aBiDAna-Sakti-pracitaH
   sahakārivarṇāntarapratiyogitvād vaiśvarūpyam ivāpannaḥ pūrvaś	sahakAri-varNa-antara-pratiyogi-tvAt vESvarUpyam iva-ApannaH pUrva-S
   cottareṇottaraś ca pūrveṇa viśeṣe 'vasthāpita ity evaṃ bahavo varṇāḥ	ca-uttareNa-uttaraH ca pUrveNa viSeze avasTApitaH iti evam bahavaH varNAH
   kramānurodhino 'rthasaṃketenāvacchinnā iyanta ete	krama-anuroDinaH arTa-saMketena-avacCinnAH iyantaH ete
   sarvābhidhānaśaktiparivṛtā gakāraukāravisarjanīyāḥ sāsnādimantam arthaṃ	sarva-aBiDAna-Sakti-parivRtAH gakAra-OkAra-visarjanIyAH sAsnAdimantam arTam
   dyotayantīti.	dyotayanti-iti.
        tad eteṣām arthasaṃketenāvacchinnānām upasaṃhṛtadhvanikramāṇāṃ ya eko	tat etezAm arTa-saMketena-avacCinnAnAm upasaMhRta-Dvani-kramANAm yaH ekaH-
   buddhinirbhāsas tatpadaṃ vācakaṃ vācyasya saṃketyate. tad ekaṃ padam	budDi-nirBAsaH tat-padam vAcakam vAcyasya saMketyate. tat ekam padam
   ekabuddhiviṣaya ekaprayatnākṣiptam abhāgam akramam avarṇaṃ bauddham	eka-budDi-vizayaH eka-prayatna-Akziptam aBAgam akramam avarNam bOdDam
   antyavarṇapratyayavyāpāropasthāpitaṃ paratra pratipipādayiṣayā varṇair	antya-varNa-pratyaya-vyApAra-upasTApitam paratra pratipipAdayizayA varNEH-
   evābhidhīyamānaiḥ śrūyamāṇaiś ca śrotṛbhir	eva-aBiDIyamAnEH SrUyamANEH ca SrotRBiH-
   anādivāgvyavahāravāsanānuviddhayā lokabuddhyā siddhavatsaṃpratipattyā	anAdi-vAc-vyavahAra-vAsanA-anuvidDayA loka-budDyA sidDa-vat-saMpratipattyA
   pratīyate.	pratIyate.
        tasya saṃketabuddhitaḥ pravibhāga etāvatām evaṃjātīyako 'nusaṃhāra	tasya saMketa-budDitaH praviBAgaH etAvatAm evaMjAtIyakaH anusaMhAra
   ekasyārthasya vācaka iti. saṃketas tu padapadārthayor itaretarādhyāsarūpaḥ	ekasya-arTasya vAcakaH iti. saMketaH tu pada-padArTayoH itaretara-aDyAsa-rUpaH
   smṛtyātmako yo 'yaṃ śabdaḥ so 'yam artho yo 'yam arthaḥ so 'yaṃ śabda iti.	smRti-AtmakaH yaH ayam SabdaH saH ayam arTaH yaH ayam arTaH saH ayam SabdaH iti.
   evam itaretarādhyāsarūpaḥ saṃketo bhavatīti. evam ete śabdārthapratyayā	evam itaretara-aDyAsa-rUpaH saMketaH Bavati-iti. evam ete Sabda-arTa-pratyayA
   itaretarādhyāsāt saṃkīrṇā gaur iti śabdo gaur ity artho gaur iti jñānam.	itaretara-aDyAsAt saMkIrNA gOH iti SabdaH gOH iti arTaH gOH iti jQAnam.
   ya eṣāṃ pravibhāgajñaḥ sa sarvavit.	yaH ezAm praviBAga-jQaH sa sarva-vit.
        sarvapadeṣu cāsti vākyaśaktivṛkṣa ity ukte 'stīti gamyate. na sattāṃ	sarva-padezu ca-asti vAkya-Sakti-vRkzaH iti ukte asti-iti gamyate. na sattAm
   padārtho vyabhicaratīti. tathā na hy asādhanā kriyāstīti.	padArTaH vyaBicarati-iti. taTA na hi asADanA kriyA-asti-iti.
        tathā ca pacatīty ukte sarvakārakāṇām ākṣepo niyamārtho 'nuvādaḥ	taTA ca pacati-iti ukte sarva-kArakANAm AkzepaH niyama-arTaH anuvAdaH
   kartṛkaraṇakarmaṇāṃ caitrāgnitaṇḍulānām iti. dṛṣṭaṃ ca vākyārthe	kartR-karaNa-karmaNAm cEtra-agni-taNxulAnAm iti. dRzwam ca vAkya-arTe
   padaracanaṃ śrotriyaś chando 'dhīte, jīvati prāṇān dhārayati. tatra vākye	pada-racanam SrotriyaH CandaH aDIte, jIvati prANAn DArayati. tatra vAkye
   padārthābhivyaktis tataḥ padaṃ pravibhajya vyākaraṇīyaṃ kriyāvācakaṃ vā	padArTa-aBivyaktiH tatas padam praviBajya vyAkaraNIyam kriyA-vAcakam vA
   kārakavācakaṃ vā. anyathā bhavaty aśvo 'jāpaya ity evamādiṣu	kAraka-vAcakam vA. anyaTA Bavati aSvaH ajApayaH iti evamAdizu
   nāmākhyātasārūpyād anirjñātaṃ kathaṃ kriyāyāṃ kārake vā vyākriyeteti.	nAma-AKyAta-sArUpyAt anirjQAtam kaTam kriyAyAm kArake vA vyAkriyeta-iti.
        teṣāṃ śabdārthapratyayānāṃ pravibhāgaḥ. tadyathā śvetate prāsāda iti	tezAm Sabda-arTa-pratyayAnAm praviBAgaH. tat-yaTA Svetate prAsAdaH iti
   kriyārthaḥ, śvetaḥ prāsāda iti kārakārthaḥ śabdaḥ, kriyākārakātmā	kriyA-arTaH, SvetaH prAsAdaH iti kAraka-arTaH SabdaH, kriyAkAraka-AtmA
   tadarthaḥ pratyayaś ca. kasmāt so 'yam ity abhisaṃbandhād ekākāra eva	tad-arTaH pratyayaH ca. kasmAt saH ayam iti aBisaMbanDAt eka-AkAraH eva
   pratyayaḥ saṃketa iti.	pratyayaH saMketaH iti.
        yas tu śveto 'rthaḥ sa śabdapratyayayor ālambanībhūtaḥ. sa hi svābhir	yaH tu SvetaH arTaH sa Sabda-pratyayayoH AlambanIBUtaH. sa hi svABiH-
   avasthābhir vikriyamāṇo na śabdasahagato na buddhisahagataḥ. evaṃ śabda	avasTABiH vikriyamANaH na Sabda-sahagataH na budDi-saha-gataH. evam Sabda
   evaṃ pratyayo netaretarasahagata ity anyathā śabdo 'nyathārtho 'nyathā	evam pratyayaH na-itaretara-sahagataH iti anyaTA SabdaH anyaTA-arTaH anyaTA
   pratyaya iti vibhāgaḥ. evaṃ tatpravibhāgasaṃyamād yoginaḥ	pratyayaH iti viBAgaH. evam tad-praviBAga-saMyamAt yoginaH
   sarvabhūtarutajñānaṃ saṃpadyata iti. 3.17	sarva-BUta-ruta-jQAnam saMpadyate iti. 3.17
   saṃskārasākṣātkaraṇāt pūrvajātijñānam || YS_3.18 ||	saMskAra-sAkzAt-karaNAt pUrva-jAti-jQAnam || YH-_3.18 ||
        dvaye khalv amī saṃskārāḥ smṛtikleśahetavo vāsanārūpā vipākahetavo	dvaye Kalu amI saMskArAH smRti-kleSa-hetavaH vAsanA-rUpA vipAka-hetavaH-
   dharmādharmarūpāḥ. te pūrvabhavābhisaṃskṛtāḥ	Darma-aDarma-rUpAH. te pUrva-Bava-aBisaMskRtAH
   pariṇāmaceṣṭānirodhaśaktijīvanadharmavad aparidṛṣṭāś cittadharmāḥ. teṣu	pariNAma-cezwA-niroDa-Sakti-jIvana-Darma-vat aparidRzwAH citta-DarmAH. tezu
   saṃyamaḥ saṃskārasākṣātkriyāyai samarthaḥ. na ca deśakālanimittānubhavair	saMyamaH saMskAra-sAkzAt-kriyAyE samarTaH. na ca deSa-kAla-nimitta-anuBavEH-
   vinā teṣām asti sākṣātkaraṇam. tad itthaṃ saṃskārasākṣātkaraṇāt	vinA tezAm asti sAkzAtkaraNam. tat itTam saMskAra-sAkzAt-karaNAt
   pūrvajātijñānam utpadyate yoginaḥ. paratrāpy evam eva	pUrva-jAti-jQAnam utpadyate yoginaH. paratra-api evam eva
   saṃskārasākṣātkaraṇāt parajātisaṃvedanam.	saMskAra-sAkzAt-karaNAt para-jAti-saMvedanam.
        atredam ākhyānaṃ śrūyate --- bhagavato jaigīṣavyasya	atra-idam AKyAnam SrUyate -- BagavataH jEgIzavyasya
   saṃskārasākṣātkaraṇād daśasu mahāsargeṣu janmapariṇāmakramam anupaśyato	saMskAra-sAkzAt-karaNAt daSasu mahA-sargezu janma-pariNAma-kramam anupaSyataH-
   vivekajaṃ jñānaṃ prādurabhūt. atha bhagavān āvaṭyas tanudharas tam uvāca	viveka-jam jQAnam prAduraBUt. aTa BagavAn AvawyaH tanuDaraH tam uvAca
   --- daśasu mahāsargeṣu bhavyatvād anabhibhūtabuddhisattvena tvayā	-- daSasu mahA-sargezu Bavya-tvAt anaBiBUta-budDi-sattvena tvayA
   narakatiryaggarbhasaṃbhavaṃ duḥkhaṃ saṃpaśyatā devamanuṣyeṣu punaḥ punar	naraka-tiryak-garBa-saMBavam duHKam saMpaSyatA deva-manuzyezu punar punar-
   utpadyamānena sukhaduḥkhayoḥ kim adhikam upalabdham iti. bhagavantam	utpadyamAnena suKa-duHKayoH kim aDikam upalabDam iti. Bagavantam
   āvaṭyaṃ jaigīṣavya uvāca. daśasu mahāsargeṣu bhavyatvād	Avawyam jEgIzavyaH uvAca. daSasu mahA-sargezu Bavya-tvAt-
   anabhibhūtabuddhisattvena mayā narakatiryagbhavaṃduḥkhaṃ saṃpaśyatā	anaBiBUta-budDi-sattvena mayA naraka-tiryak-BavaMduHKam saMpaSyatA
   devamanuṣyeṣu punaḥ punar utpadyamānena yat kiṃcid anubhūtaṃ tat sarvaṃ	deva-manuzyezu punar punar utpadyamAnena yat kiMcid anuBUtam tat sarvam
   duḥkham eva pratyavaimi. bhagavān āvaṭya uvāca. yad idam āyuṣmataḥ	duHKam eva pratyavEmi. BagavAn AvawyaH uvAca. yat idam AyuzmataH
   pradhānavaśitvam anuttamaṃ ca saṃtoṣasukhaṃ kim idam api duḥkhapakṣe	praDAna-vaSi-tvam anuttamam ca saMtoza-suKam kim idam api duHKa-pakze
   nikṣiptam iti. bhavagāñ jaigīṣavya uvāca --- viṣayasukhāpekṣayaivedam	nikziptam iti. BavagAn jEgIzavyaH uvAca -- vizaya-suKa-apekzayA-eva-idam
   anuttamaṃ saṃtoṣasukham uktam. kaivalyasukhāpekṣayā duḥkham eva.	anuttamam saMtoza-suKam uktam. kEvalya-suKa-apekzayA duHKam eva.
   buddhisattvasyāyaṃ dharmas triguṇas triguṇaś ca pratyayo heyapakṣe nyasta	budDi-sattvasya-ayam DarmaH triguNaH triguNaH ca pratyayaH heya-pakze nyasta
   iti. duḥkharūpas tṛṣṇātantuḥ. tṛṣṇāduḥkhasaṃtāpāpagamāt tu prasannam	iti. duHKa-rUpaH tRzNA-tantuH. tRzNA-duHKa-saMtApa-apagamAt tu prasannam
   abādhaṃ sarvānukūlaṃ sukham idam uktam iti. 3.18	abADam sarva-anukUlam suKam idam uktam iti. 3.18
   pratyayasya paracittajñānam || YS_3.19 ||	pratyayasya para-citta-jQAnam || YH-_3.19 ||
        pratyaye saṃyamāt pratyayasya sākṣātkaraṇāt tataḥ paracittajñānam.	pratyaye saMyamAt pratyayasya sAkzAtkaraNAt tatas para-citta-jQAnam.
   na ca tat sālambanaṃ tasyāviṣayībhūtatvāt || YS_3.20 ||	na ca tat sa-Alambanam tasya-avizayI-BUta-tvAt || YH-_3.20 ||
        raktaṃ pratyayaṃ jānāty amuṣminn ālambane raktam iti na jānāti.	raktam pratyayam jAnAti amuzmin Alambane raktam iti na jAnAti.
   parapratyayasya yad ālambanaṃ tad yogicittena nālambanīkṛtaṃ	para-pratyayasya yat Alambanam tat yogi-cittena na-AlambanIkRtam
   parapratyayamātraṃ tu yogicittasyālambanībhūtam iti. 3.20	para-pratyaya-mAtram tu yogi-cittasya-AlambanIBUtam iti. 3.20
   kāyarūpasaṃyamāt tadgrāhyaśaktistambhe cakṣuḥprakāśāsaṃprayoge 'ntardhānam	kAya-rUpa-saMyamAt tad-grAhya-Sakti-stamBe cakzuH-prakASa-asaMprayoge antarDAnam
   || YS_3.21 ||	|| YH-_3.21 ||
        kāyasya rūpe saṃyamād rūpasya yā grāhyā śaktis tāṃ pratiṣṭabhnāti.	kAyasya rUpe saMyamAt rUpasya yA grAhyA SaktiH tAm pratizwaBnAti.
   grāhyaśaktistambhe sati cakṣuṣprakāśāsaṃprayoge 'ntardhānam utpadyate	grAhya-Sakti-stamBe sati cakzuzprakASa-asaMprayoge antarDAnam utpadyate
   yoginaḥ. etena śabdādyantardhānam uktaṃ veditavyam. 3.21	yoginaH. etena Sabda-Adi-antarDAnam uktam veditavyam. 3.21
   sopakramaṃ nirupakramaṃ ca karma tatsaṃyamād aparāntajñānam ariṣṭebhyo vā	sa-upakramam nirupakramam ca karma tad-saMyamAt aparAnta-jQAnam arizweByaH vA
   || YS_3.22 ||	|| YH-_3.22 ||
        āyurvipākaṃ karma dvividhaṃ sopakramaṃ nirupakramaṃ ca. tatra	AyuH-vipAkam karma dviviDam sa-upakramam nirupakramam ca. tatra
   yathārdraṃ vastraṃ vitānitaṃ laghīyasā kālena śuṣyet tathā sopakramam.	yaTA-Ardram vastram vitAnitam laGIyasA kAlena Suzyet taTA sa-upakramam.
   yathā ca tad eva saṃpiṇḍitaṃ cireṇa saṃśuṣyed evaṃ nirupakramam. yathā	yaTA ca tat eva saMpiNxitam cireNa saMSuzyet evam nirupakramam. yaTA
   vāgniḥ śuṣke kakṣe mukto vātena samantato yuktaḥ kṣepīyasā kālena dahet	vA-agniH Suzke kakze muktaH vAtena samantataH yuktaH kzepIyasA kAlena dahet-
   tathā sopakramam. yathā vā sa evāgnis tṛṇarāśau kramaśo 'vayaveṣu nyastaś	taTA sa-upakramam. yaTA vA saH eva-agniH tRNa-rASO kramaSas avayavezu nyasta-S
   cireṇa dahet tathā nirupakramam. tadaikabhavikam āyuṣkaraṃ karma dvividhaṃ	cireNa dahet taTA nirupakramam. tadA-eka-Bavikam Ayuzkaram karma dviviDam
   sopakramaṃ nirupakramaṃ ca. tatsaṃyamād aparāntasya prāyaṇasya jñānam.	sa-upakramam nirupakramam ca. tad-saMyamAt aparAntasya prAyaNasya jQAnam.
        ariṣṭebhyo veti trividham ariṣṭam ādhyātmikam ādhibhautikam	arizweByaH vA-iti triviDam arizwam ADyAtmikam ADiBOtikam
   ādhidaivikaṃ ceti. tatrādhyātmikaṃ ghoṣaṃ svadehe pihitakarṇo na śṛṇoti,	ADidEvikam ca-iti. tatra-ADyAtmikam Gozam sva-dehe pihita-karNaH na SRNoti,
   jyotir vā netre 'vaṣṭabdhe na paśyati. tathādhibhautikaṃ yamapuruṣān	jyotiH vA netre avazwabDe na paSyati. taTA-aDiBOtikam yama-puruzAn
   paśyati, pitṝn atītān akasmāt paśyati. tathādhidaivikaṃ svargam akasmāt	paSyati, pitLn atItAn akasmAt paSyati. taTA-ADidEvikam svargam akasmAt-
   siddhān vā paśyati. viparītaṃ vā sarvam iti anena vā jānāty aparāntam	sidDAn vA paSyati. viparItam vA sarvam iti anena vA jAnAti apara-antam
   upasthitam iti. 3.22	upasTitam iti. 3.22
   maitryādiṣu balāni || YS_3.23 ||	mEtrI-Adizu balAni || YH-_3.23 ||
        maitrī karuṇā muditeti tisro bhāvanās tatra bhūteṣu sukhiteṣu maitrīṃ	mEtrI karuNA muditA-iti tisraH BAvanAH tatra BUtezu suKitezu mEtrIm
   bhāvayitvā maitrībalaṃ labhate. duḥkhiteṣu karuṇāṃ bhāvayitvā karuṇābalaṃ	BAvayitvA mEtrI-balam laBate. duHKitezu karuNAm BAvayitvA karuNA-balam
   labhate. puṇyaśīleṣu muditāṃ bhāvayitvā muditābalaṃ labhate. bhāvanātaḥ	laBate. puNya-SIlezu muditAm BAvayitvA mudita-abalam laBate. BAvanAtaH
   samādhir yaḥ sa saṃyamas tato balāny avandhyavīryāṇi jāyante.	samADiH yaH sa saMyamaH tatas balAni avanDya-vIryANi jAyante.
   pāpaśīleṣūpekṣā na tu bhāvanā. tataś ca tasyāṃ nāsti samādhir ity ato na	pApa-SIlezu-upekzA na tu BAvanA. tatas ca tasyAm na-asti samADiH iti atas na
   balam upekṣātas tatra saṃyamābhāvād iti. 3.23	balam upekzAtaH tatra saMyama-aBAvAt iti. 3.23
   baleṣu hastibalādīni || YS_3.24 ||	balezu hasti-bala-AdIni || YH-_3.24 ||
        hastibale saṃyamād dhastibalo bhavati.vainateyabale saṃyamād	hasti-bale saMyamAt Dasti-balaH Bavati.vEnateya-bale saMyamAt-
   vainateyabalo bhavati. vāyubale saṃyamād vāyubalo bhavatīty evamādi. 3.24	vEnateya-balaH Bavati. vAyu-bale saMyamAt vAyu-balaH Bavati-iti evamAdi. 3.24
   pravṛttyālokanyāsāt sūkṣmavyavahitaviprakṛṣṭajñānam || YS_3.25 ||	pravRtti-Aloka-nyAsAt sUkzma-vyavahita-viprakRzwa-jQAnam || YH-_3.25 ||
        jyotiṣmatī pravṛttir uktā manasas tasyā ya ālokas taṃ yogī sūkṣme vā	jyotizmatI pravRttiH uktAH manasaH tasyAH yaH AlokaH tam yogI sUkzme vA
   vyavahite vā viprakṛṣṭe vārthe vinyasya tam artham adhigacchati. 3.25	vyavahite vA viprakRzwe vA-arTe vinyasya tam arTam aDigacCati. 3.25
   bhuvanajñānaṃ sūrye saṃyamāt || YS_3.26 ||	Buvana-jQAnam sUrye saMyamAt || YH-_3.26 ||
        tatprastāraḥ sapta lokāḥ. tatrāvīceḥ prabhṛti merupṛṣṭhaṃ yāvad ity	tad-prastAraH sapta lokAH. tatra-avIceH praBRti meru-pRzWam yAvat iti-
   evaṃ bhūrlokaḥ. merupṛṣṭhād ārabhya --- ādhruvād grahanakṣatratārāvicitro	evam BUrlokaH. meru-pRzWAt AraBya -- ADruvAt graha-nakzatra-tArA-vicitraH-
   'ntarikṣalokaḥ. tataḥ paraḥ svarlokaḥ pañcavidho māhendras tṛtīyo lokaḥ.	antarikza-lokaH. tatas paraH svarlokaH paQcaviDaH mAhendraH tRtIyaH lokaH.
   caturthaḥ prājāpatyo maharlokaḥ. trividho brāhmaḥ tadyathā --- janalokas	caturTaH prAjApatyaH mahar-lokaH. triviDaH brAhmaH tat-yaTA -- janaloka-s
   tapolokaḥ satyaloka iti.	tapolokaH satya-lokaH iti.
        "brāhmas tribhūmiko loka prājāpatyas tato mahān /	"brAhmaH triBUmikaH loka prAjApatyaH tatas mahAn /
        māhendraś ca svar ity ukto divi tārā bhuvi prajāḥ //"	mAhendraH ca svar iti uktaH divi tArAH Buvi prajAH //"
   iti saṃgrahaślokaḥ.	iti saMgraha-SlokaH.
        tatrāvīcer upary upari niviṣṭāḥ ṣaṇmahānarakabhūmayo	tatra-avIceH upari upari nivizwAH zaz-mahAnaraka-BUmayo
   ghanasalilānalānilākāśatamaḥpratiṣṭhā	Gana-salila-anala-anila-AkA-Sa-tamaH-pratizWA
   mahākālāmbarīṣarauravamahārauravakālasūtrāndhatāmisrāḥ. yatra	mahAkAla-ambarIza-rOrava-mahArOrava-kAla-sUtra-anDatAmisrAH. yatra
   svakarmopārjitaduḥkhavedanāḥ prāṇinaḥ kaṣṭam āyur dīrgham ākṣipya jāyante.	sva-karma-upArjita-duHKa-vedanAH prANinaH kazwam AyuH dIrGam Akzipya jAyante.
   tato mahātalarasātalātalasutalavitalatalātalapātālākhyāni sapta pātālāni.	tatas mahA-tala-rasAtalA-tala-sutala-vitala-talA-tala-pAtAla-AKyAni sapta pAtAlAni.
   bhūmir iyam aṣṭamī saptadvīpā vasumatī, yasyāḥ sumerur madhye parvatarājaḥ	BUmiH iyam azwamI sapta-dvIpA vasumatI, yasyAH sumeruH maDye parvata-rAjaH
   kāñcanaḥ. tasya rājatavaidūryasphaṭikahemamaṇimayāni śṛṅgāṇi. tatra	kAQcanaH. tasya rAjata-vEdUrya-sPawika-hema-maNi-mayAni SRFgANi. tatra
   vaidūryaprabhānurāgān nīlotpalapatraśyāmo nabhaso dakṣiṇo bhāgaḥ, śvetaḥ	vEdUrya-praBA-anurAgAt nIlotpala-patra-SyAmaH naBasaH dakziNaH BAgaH, SvetaH
