   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   sukhasamaṅgilaḥ / sukhaṃ samarpitamāhitameṣāmiti sukhasamarpitāḥ / sarvata	suKa samaFgilaH / suKam samarpitam Ahitam ezAm iti suKa samarpitAH / sarvata
   iti sarvatra / vyādhikāntāraṃ rogopasargaḥ / iyatīti cittakṣaṇaparimāṇā /	iti sarvatra / vyADi kAntAram roga upasargaH / iyati iti cit takzaNa parimANAH /
   apūrveti bhāvinī / yadutākoṭīriti nahi niraṃśasya kṣaṇasya koṭirasti / yā	apUrvA iti BAvinI / yat uta akowIH iti na hi niraMSasya kzaNasya kowiH asti / yA
   setyarthā(tyapūrvā) bhut / apūrvā koṭīryatrābhisaṃbhotsye / iti	sA iti arTa a(ti apUrvA) BuD / apUrvA kowIryatra aBisaMBotsye / iti
   buddhakṣetrapariśuddhiḥ //	budDa kzetra pariSudDiH //
   atha khalvityādyāparivartāntāt / anena yattasyāṃ deśanāyāṃ saṃvṛttaṃ	aTa Kalu iti Adya aparivarta antAt / anena yat tasyAm deSanAyAm saMvRttam
   tadāha / asaktāni alagnāni / antarikṣe vihāyasīti kevala evākāśe /	tat Aha / asaktAni alagnAni / antarikze vihAyasi iti kevalaH eva AkASe /
   pariniṣpattiriva pariniṣpattirvaśībhāvaḥ / pramāṇabaddhaḥ pramāṇaniyataḥ /	parinizpattiH iva parinizpattiH vaSIBAvaH / pramANa badDaH pramANa niyataH /
   asātakāntārāṇi duṣkāntārāṇi / śeṣaṃ subodham //	asAtakAntArANi duzkAntArANi / Sezam su boDam //
   gaṅgadevābhaginyā lakṣitaḥ parivartastatparivartaḥ //	gaFga deva ABaginyA lakzitaH parivartaH tad parivartaH //
   āryāṣṭasāhasrikāyāḥ prajñāpāramitāyāḥ sāratamānāmni pañjikāyāṃ	Arya azwa sAhasrikAyAH prajQApAramitAyAH sAratam AnAmni paQjikAyAm
   ratnākaraśāntiviracitāyāmekonaviṃśatitamaḥ parivartaḥ //	ratna Akara SAnti viracitAyAm ekonaviMSatitamaH parivartaH //
   20. upāyakauśalyamīmāṃsāparivarto nāma viṃśatitamaḥ /	20. upAya kOSalyamImAMsA parivartaH nAma viMSatitamaH /
   kṣetrapariśuddhiruktā / upāyakauśalaṃ vaktavyam / ataḥ śāstram 	kzetra pariSudDiH uktA / upAya kOSalam vaktavyam / atas SAstram 
   [121] viṣayo 'sya prayogaśca sā(śā)travāṇāmatikramaḥ /	[121] vizayaH asya prayogaH ca sA(SA)travANAm atikramaH /
   apratiṣṭho yathāvedhamasādhāraṇalakṣaṇaḥ // 4 62 //	apratizWaH yaTA veDam asADAraNa lakzaNaH // 4 62 //
   [122] aśa(sa)kto 'nupalambhaśca nimittapraṇidhikṛtau /	[122] aSa(sa)ktaH anupalamBaH ca nimitta praNiDi kRtO /
   talliṅgaṃ cāpramāṇaṃ ca daśadhopāyakauśalam // 4 63 //	tat liFgam ca apramANam ca daSaDA upAya kOSalam // 4 63 //
   (RSt_126)	(RSt _126)
   asya hyupāyakauśalasya 'viṣayaḥ' sūtre prathamaṃ vaktavyaḥ /	asya hi upAya kOSalasya avizayaH a sUtre praTamam vaktavyaH /
   tataḥ'prayogaḥ' prathamābhyāsaḥ / tato daśa prabhedāḥ sā	tataH aprayogaH a praTama aByAsaH / tatas daSa praBedAH sA
   (śā)travātikramādayaḥ / 'nimittapraṇidhikṛtau' tābhyāmiti tathoktau	(SA)trava atikrama AdayaH / animitta praNiDi kRtO a tAByAm iti taTA uktO
   nimittakṛtaḥ praṇidhikṛtaśca /	nimitta kRtaH praNiDi kRtaH ca /
   atha khalvityādi / atrādau bhūtakoṭimityetadantena viṣaya uktaḥ /	aTa Kalu ityAdi / atra AdO BUtakowim iti etad antena vizayaH uktaH /
   śūnyatāsamādhinaivānimittāpraṇihitayorbodhipakṣādīnāṃ copalakṣaṇāt /	SUnyatA samADinA eva animitta apraNihitayoH boDi pakza AdInAm ca upalakzaNAt /
   śūnyatāyāmiti śūnyatāsamādhau / santatiḥ pravāhaḥ / kathaṃ pratyavekṣamāṇa	SUnyatAyAm iti SUnyatA samADO / santatiH pravAhaH / kaTam pratyavekzamANa 
   ityāha rūpaṃ śunyamitīti / tāmiti śūnyatām / dharmatāmiti dharmaprakṛtim /	iti Aha rUpam Sunyam iti iti / tAm iti SUnyatAm / Darma tAm iti Darma prakRtim /
   dharmatayeti dharmasāratayā / bhūtakoṭiriti śūnyataiva kaivalyaṃ gatā	DarmatayA iti DarmasAra tayA / BUtakowiH iti SUnyatA eva kEvalyam gatA
   bhūtakoṭiḥ / ityupāyakauśalasya viṣayaḥ //	BUtakowiH / iti upAya kOSalasya vizayaH //
   evamukta ityādi tadyathāpītyataḥ prāk / asamāhita eveti	evam uktaH ityAdi tat yaTA api iti atas prAk / asamAhitaH eva iti
   sākṣātkartavyatayānadhyavasita eva / atrāntarā iti yāvadbuddhadharmā asya	sAkzAt kartavya tayA anaDyavasitaH eva / atra antarA iti yAvat budDa DarmAH asya
   na paripakvāḥ / evamityuktena krameṇa / ārūḍha upārjitāḥ / śeṣa subodham /	na paripakvAH / evam iti uktena krameNa / ArUXaH upArjitAH / Seza su boDam /
   ityupāyakauśalasya prayogaḥ //	iti upAya kOSalasya prayogaH //
   tadyathāpītyādi tadyathāpītyataḥ prāk / śūro nirbhīḥ / vīryamutsāhaḥ /	tat yaTA api ityAdi tat yaTA api iti atas prAk / SUraH nirBIH / vIryam utsAhaH /
   pratiṣṭhānaṃ sthairyam / pratibhānamabhyūhaḥ / pratipattiranuṣṭhānam /	pratizWAnam sTEryam / pratiBAnam aByUhaH / pratipattiH anuzWAnam /
   yasminkālādau yadyuktaṃ tajjñānāt kālādijñaḥ / gatiḥ	yasmin kAla AdO yadi uktam tat jQAnAt kAla Adi jQaH / gatiH
   kāyavākcittakarmaṇyatā / tāṃ gataḥ prāptaḥ / praharaṇāvaraṇaṃ kavacādi /	kAya vAc citta karmaNya tA / tAm gataH prAptaH / praharaNa AvaraNam kavaca Adi /
   smṛtiḥ smaraṇam / matirabhyūhaḥ / gatirjñānam / dhṛtirdhāraṇam /	smRtiH smaraNam / matiH aByUhaH / gatiH jQAnam / DRtiH DAraNam /
   nītirnītijñānam / viśāradaḥ paṇḍitaḥ iti śatrava eva 'śātravā' antarāyāḥ /	nItiH nIti jQAnam / viSAradaH paNxitaH iti SatravaH eva aSAtravA a antarAyAH /
   teṣāmatikramaścaturbhirapramāṇairiti prathamamupāyakauśalam //	tezAm atikramaH caturBiH apramANEH iti praTamam upAya kOSalam //
   tadyathāpītyādi tadyathāpītyataḥ prāk / caratīti gacchati / na ca bhūmau	tat yaTA api ityAdi tat yaTA api iti atas prAk / carati iti gacCati / na ca BUmO
   patatīti pātapratiṣedhaḥ sthitiḥ / na ca kañcinniśrityeti	patati iti pAta pratizeDaH sTitiH / na ca kaQcid niSrityA iti
   pratiṣṭhāpratiṣedhaḥ / niśrityetyāspadīkṛtya / viharatīti tiṣṭhati / na ca	pratizWA pratizeDaH / niSritya iti AspadIkRtya / viharati iti tizWati / na ca
   tatrāpīti viharaṇepi niśritaḥ / patatyaparipūrṇairiti / atra na patatīti	tatra api iti viharaNa ipi niSritaH / patati aparipUrNEH iti / atra na patati iti
   na pratitiṣṭhatītyarthaḥ / pratiṣṭhāvirahādapratiṣṭha upāyaḥ //	na pratitizWati iti arTaH / pratizWA virahAt apratizWe upAyaH //
   tadyathāpītyādi prāgevamuktāta / vārayediti / ākāśa eva sthāpayet /	tat yaTA api ityAdi prAk evam uktAtaH / vArayet iti / AkASaH eva sTApayet /
   patanaṃ na dadyāditi patituṃ na dadyāt / uddharva kṣiptasya sa(śa)rasyeva	patanam na dadyAt iti patitum na dadyAt / udDarva kziptasya sa(Sa)rasi A iva
   śarāntaraiściramapātāya ya āvedhastadvadābuddhadharmaparipākama(kaṃ)	Sara antarEH ciram apAtAya yaH AveDaH tadvat AbudDa Darma paripAkam a(kaM)
   sākṣātkaraṇāya cittasya cittāntarairya āvedhaḥ / tadanatikrameṇa	sAkzAtkaraNAya cittasya citta antarEH yaH AveDaH / tad anatikrameNa
   vṛttiryathāvedhamupāyaḥ //	vRttiH yaTAveDam upAyaH //
   (RSt_127)	(RSt _127)
   evamukta ityādi prāk punaraparāt / carati śamathena / viharati vipaśyanayā	evam uktaH ityAdi prAk punar aparAt / carati SamaTena / viharati vipaSyanayA
   / samādhisamāpattirubhābhyām / mameti mayā / abhinirharatīti niṣpādayati /	/ samADi samApattiH uBAByAm / mama iti mayA / aBinirharati iti nizpAdayati /
   samādhiścāsau vimokṣaśca muktidvāratvāt / cittotpādaścittābhinirhāraḥ /	samADiH ca asO vimokzaH ca mukti dvAra tvAt / citta utpAdaH citta aBinirhAraH /
   anenāyaṃ duṣkarakārakaḥ / eṣa ca	anena ayam duzkara kArakaH / eza ca
   sarvaśrāvakapratyekabuddhairasādhāraṇatvādasādhāraṇa upāyaḥ //	sarva SrAvaka pratyekabudDEH asADAraNa tvAt asADAraNaH upAyaH //
   punaraparādi prāk punaraparāt / sattva ātmā puruṣaḥ / indriyāṇi pañca	punar apara Adi prAk punar aparAt / sattvaH AtmA puruzaH / indriyANi paQca
   śraddhādīni / balānyapi pañcaiva / bodhyaṅgāni sapta / mārgo 'ṣṭāṅgaḥ /	SradDA AdIni / balAni api paQca eva / boDi aFgAni sapta / mArgaH azwa aFgaH /
   sattvadṛṣṭiḥ saktiḥ / tatprahāṇāya sattvānāmabhisambuddhaḥ / sattvān	sattva dRzwiH saktiH / tad prahANAya sattvAnAm aBisambudDaH / sattvAn
   deśayiṣyāmīti sañcintya śūnyatādisamāpattirasaktiḥ / tadyogādasakta upāyaḥ	deSayizyAmi iti saQcintya SUnyatA Adi samApattiH asaktiH / tad yogAt asaktaH upAyaH
   punaraparādi prākpunaraparāt / dharmasaṃjñā skandhadhātvādisaṃjñā / sa	punar apara Adi prAc punar aparAt / Darma saMjQA skanDa DAtu Adi saMjQA / sa
   upalambhaḥ / tatprahāṇāyetyādi pūrvavat / evaṃ	upalamBaH / tad prahANAya ityAdi pUrvavat / evam
   śūnyatādisamāpattiranupalambhaḥ / tadyogādanupalambha upāyaḥ //	SUnyatA Adi samApattiH anupalamBaH / tad yogAt anupalamBaH upAyaH //
   punaraparādi punaraparātprāk / strī pumān rūpaṃ śabda iti nimittasaṃjñā /	punar apara Adi punar aparAt prAk / strI pumAn rUpam SabdaH iti nimitta saMjQA /
   tatprahāṇāyetyādi pūrvavat / evamanimittasamāpattirānimittam /	tad prahANAya ityAdi pUrvavat / evam animitta samApattiH A nimittam /
   tadyogādānimitta upāyaḥ //	tad yogAt A nim ittaH upAyaH //
   punaraparādi yo hītyataḥ prāk / devaḥ śakraścakravarttī	punar apara Adi yaH hi iti atas prAk / devaH SakraH cakravarttI
   syāmityādirbhavabhogābhilāṣaḥ praṇihitam / tasya mūlaṃ viparyāsāḥ /	syAm ityAdiH Bava Boga aBilAzaH praNihitam / tasya mUlam viparyAsAH /
   tasmāccaturviparyāsaprahāṇāyetyādi pūrvavat /	tasmAt catur viparyAsa prahANAya ityAdi pUrvavat /
   evamapraṇihitasamādhirapraṇihitam tadyogādapraṇihita upāyaḥ //	evam apraNihita samADiH apraNihitam tad yogAt apraNihitaH upAyaH //
   yo hi kaścidityādi naitat sthānaṃ vidyata iti yāvat /	yaH hi kaScid ityAdi na etat sTAnam vidyate iti yAvat /
   anupalambhādīnāmupāyā vimokṣamukhatrayaṃ viṣaya uktaḥ /	anupalamBa AdInAm upAyAH vimokza muKa trayam vizayaH uktaH /
   sāṃpratameṣāmanabhisaṃskārādikamadhikaṃ viṣayamamoghatāṃ ca bravīti /	sAMpratam ezAm anaBisaMskAra Adikam aDikam vizayam amoGatAm ca bravIti /
   anabhisaṃskāre patediti hīnabodhau / traidhātukeneti saṃsāreṇa //	anaBisaMskAre patet iti hIna boDO / trEDAtukena iti saMsAreNa //
   evaṃ hītyādi subhūtirāhetyataḥ prāk / samyaksambodhikāmena bodhisattvena	evam hi ityAdi suBUtiH Aha iti atas prAk / samyaksamboDi kAmena boDisattvena
   vijño bodhisattvaḥ praṣṭavyaḥ / samyaksambodhaye kiṃ bhāvayeyaṃ kathaṃ ca	vijQaH boDisattvaH prazwavyaH / samyaksamboDaye kim BAvayeyam kaTam ca
   bhāvayeyamiti / sa cedācakṣīta śūnyatādikameva bhāvaya tacca parijayaṃ	BAvayeyam iti / sa ced AcakzIta SUnyatA Adikam eva BAvaya tat ca parijayam
   mātuḥ sākṣātkārṣīḥ / tatropāyaḥ sarvasattvāparityāgacittādiriti /	mAtuH sAkzAt kArzIH / tatra upAyaH sarva sattva aparityAga citta AdiH iti /
   etattasyākhyāturavaivartikatve liṅgam / tasmāttasya liṅgamasminniti	etat tasya AKya Atura vEvartika tve liFgam / tasmAt tasya liFgam asmin= iti
   talliṅga upāyaḥ //	tad liFgaH upAyaH //
   subhūtirāhetyādi sacetpunarityataḥ prāk / bahavo bodhāya caranti	suBUtiH Aha ityAdi saced punar iti atas prAk / bahavaH boDAya caranti
   teṣvalpakāste ya evaṃ visarjayanti / vyākṛtāste 'vaivarttikatve 'saṃhāryāḥ	tezu alpakAH te yaH evam visarjayanti / vyAkRtAH te avEvarttika tve asaMhAryAH
   (RSt_128) sadevamānuṣāsureṇa lokena / yataste 'lpakā ato 'lpapramāṇā	(RSt _128) sa deva mAnuza asureNa lokena / yatas te alpakAH atas alpa pramANA
   ityapramāṇa upāyaḥ //	iti apramANaH upAyaH //
   tadevaṃ navamasya paścārddhāt prabhṛti viṃśatitamasya pūrvārddhaṃ	tat evam navamasya paSca ardDAt praBRti viMSatitamasya pUrva ardDam
   yāvadekādaśaparivartāḥ sarvākārābhisaṃbodhiḥ //	yAvat ekAdaSa parivartAH sarva AkAra aBisaMboDiH //
   ita ūddharvaṃ mūrddhābhisamayo vaktavyaḥ / tasyoddeśaḥ pūrvamuktaḥ	itas u udDarvam mUrdDA aBisamayaH vaktavyaH / tasya uddeSaH pUrvam uktaH
   ślokadvayena ṣaḍakṣarādhikena 	Sloka dvayena zaz akzara aDikena 
   [123] liṅgaṃ tasya vivṛddhiśca nirūḍhiścittasaṃsthitiḥ /	[123] liFgam tasya vivRdDiH ca nirUXiH citta saMsTitiH /
   caturdhā ca vikalpasya pratipakṣaścaturvidhaḥ // 1 14 //	caturDA ca vikalpasya pratipakzaH caturviDaH // 1 14 //
   [124] pratyekaṃ darśanākhye ca bhāvanākhye ca vartmani /	[124] pratyekam darSana AKye ca BAvanA AKye ca vartmani /
   ānantaryasamādhiśca saha vipratipattibhiḥ // 1 15 //	Anantarya samADiH ca saha vipratipattiBiH // 1 15 //
   [125] mūrdhābhisamayaḥ	[125] mUrDABisamayaH
   tasyāṣṭau vastūni / 'liṅgavivṛddhiḥ nirūḍhiścittasaṃsthitiḥ' / dṛṅmārge	tasya azwO vastUni / aliFga vivRdDiH nirUXiH citta saMsTitiH a / dRS mArge
   vipakṣapratipakṣāḥ bhāvanāmārge vipakṣapratipakṣā	vipakza pratipakzAH BAvanA mArge vipakza pratipakzA
   ānantaryasamādhivipratipattayaśceti /	Anantarya samADi vipratipattayaH ca iti /
   tatra liṅgamadhikṛtya śāstram 	tatra liFgam aDikRtya SAstram 
   [126] svapnāntarepi svapnābhā sarvadharmekṣaṇādikam /	[126] svapna antarepi svapna ABA sarva Darma IkzaNa Adikam /
   mūrddhaprāptasya yogasya liṅgaṃ dvādaśadhā matam // 5 1 //	mUrdDa prAptasya yogasya liFgam dvAdaSaDA matam // 5 1 //
   'mūrdhaprāptasya' iti prakarṣaprāptasya / 'yogasya' iti	amUrDa prAptasya a iti prakarza prAptasya / ayogasya a iti
   trisarvajñatāprayogasya / sa cetpunarityādi veditavyā / svapnāntaragatopi	tri sarvajQa tA prayogasya / sa ced punar ityAdi veditavyA / svapna antara gatA upi
   svapnopamān sarvadharmān paśyati na ca sākṣātkarotīti prathamaṃ liṅgam //	svapna upamAn sarva DarmAn paSyati na ca sAkzAtkaroti iti praTamam liFgam //
   punaraparādi veditavyāntam / svapnāntaragatopi śrāvakabhūmau	punar apara Adi vedita vyAntam / svapna antara gata upi SrAvaka BUmO
   pratyekabuddhabhūmau traidhātuke ca spṛhāṃ na karotīti dvitīyam //	pratyekabudDa BUmO trEDAtuke ca spRhAm na karoti iti dvitIyam //
   punaraparādi veditavyāntam / svapnāntaragato mahatyāṃ	punar apara Adi vedita vyAntam / svapna antara gataH mahatyAm
   pariṣadyubhayasaṅghaparivṛtaṃ tathāgatamātmānaṃ paśyatīti tṛtīyam //	parizadi u Baya saFGa parivRtam taTAgatam AtmAnam paSyati iti tRtIyam //
   (RSt_129)	(RSt _129)
   punaraparādi veditavyāntaram / svapnāntaragato vaihāyasamabhyudgamya	punar apara Adi veditavya antaram / svapna antara gataH vEhAyasam aByudgamya
   sattvebhyo dharma deśayati vyāmagataṃ cātmānaṃ saṃjānīte / bhikṣūṃśca	sattveByaH Darma deSayati vyAma gatam ca AtmAnam saMjAnIte / BikzUn= ca
   nirmitīta ye lokadhātvantareṣu buddhakṛtyaṃ kurvantīti caturtham //	nirmitIta ye lokaDAtu antarezu budDa kRtyam kurvanti iti caturTam //
   punaraparādi veditavyāntam / svapnāntaragatopyātmanaḥ pareṣāṃ vā	punar apara Adi vedita vyAntam / svapna antara gata upyAtmanaH parezAm vA
   vadhabandhanaśiraśchedādīn dṛṣṭvā nottrasyati / vibuddhasya caivaṃ bhavati	vaDa banDana SiraH Ceda AdIn dRzwvA na uttrasyati / vibudDasya ca evam Bavati
   svapnopamaṃ sarva traidhātukaṃ mayā cābhisaṃbudhyaivaṃ dharmo deśayitavya	svapna upamam sarva trEDAtukam mayA ca aBisaMbuDya evam DarmaH deSayitavya
   iti pañcamam //	iti paQcamam //
   punaraparādi veditavyāntam / svapnāntaragatasya nairayikādīn sattvān	punar apara Adi vedita vyAntam / svapna antara gatasya nErayika AdIn sattvAn
   dṛṣṭvā evaṃ bhavati / tathā kariṣyāmi yathā me 'bhisambuddhasya	dRzwvA evam Bavati / taTA karizyAmi yaTA me aBisambudDasya
   buddhakṣetre trayo 'pāyāḥ sarvathā na bhaviṣyantīti ṣaṣṭham //	budDa kzetre trayaH apAyAH sarvaTA na Bavizyanti iti zazWam //
   punaraparādi punaraparāt prāk / svapnāntaragato yadi grāmadāhādau	punar apara Adi punar aparAt prAk / svapna antara gataH yadi grAma dAha AdO
   vartamāne prativibuddha evaṃ samanvāharet / yathā mayā svapne	vartamAne prativibudDaH evam samanvAharet / yaTA mayA svapne
   'vaivartikaliṅgānyātmani dṛṣṭāni tena satyenāyaṃ grāmadāhādiḥ śāmyatviti /	avEvartika liFgAni Atmani dRzwAni tena satyena ayam grAma dAha AdiH SAmyatu iti /
   sa cecchāmyati tatsaptamaṃ liṅgam //	sa ced SAmyati tat saptamam liFgam //
   punaraparādi āparivartasamāpteḥ / yadi kaścitsattvo 'manuṣyeṇa gṛhīto	punar apara Adi Aparivarta samApteH / yadi kaScid sattvaH amanuzyeNa gRhItaH 
   'dhiṣṭhitaḥ āviṣṭo vā antaḥpraveśāt / tatra bodhisattvaḥ satyādhiṣṭhānaṃ	aDizWitaH AvizwaH vE antar praveSAt / tatra boDisattvaH satya aDizWAnam
   kuryāt / yadyahaṃ vyākṛtaḥ pūrvabuddhairanuttarāyāṃ bodhau yadi ca me	kuryAt / yadi aham vyAkRtaH pUrva budDEH anuttarAyAm boDO yadi ca me
   pariśuddho 'dhyāśayastāmabhisamboddhaṃ yathā ca nāsti buddhānāṃ	pariSudDaH aDyASayaH tAm aBisambodDam yaTA ca na asti budDAnAm
   kiñcidajñātam / anena satyenāyamamanuṣyo 'pakrāmatviti sa cettasmāt	kiQcid ajQAtam / anena satyena ayam amanuzyaH apakrAmatu iti sa ced tasmAt 
   satyādhiṣṭhānāt apakrāmati tadaṣṭamaṃ liṅgam //	satya aDizWAnAt apakrAmati tat azwamam liFgam //
   upāyakauśalyānāṃ mīmāṃsā parijñānaṃ tadarthaḥ parivartaḥ //	upAya kOSalyAnAm mImAMsA parijQAnam tad arTaH parivartaH //
   āryāṣṭasāhasrikāyāḥ prajñāpāramitāyāḥ sāratamānāmni pañjikāyāṃ	Arya azwa sAhasrikAyAH prajQApAramitAyAH sAratam AnAmni paQjikAyAm
   ratnākaraśāntiviracitāyāṃ viṃśatitamaḥ parivartaḥ //	ratna Akara SAnti viracitAyAm viMSatitamaH parivartaH //
   21. mārakarmaparivarto nāmaikaviṃśatitamaḥ /	21. mAra karma parivartaH nAma ekaviMSatitamaH /
   tatra khalvityādi / ayamekaviṃśatitamaḥ parivarto mārakarmaṇām / kasteṣāṃ	tatra Kalu ityAdi / ayam ekaviMSatitamaH parivartaH mAra karmaNAm / kaH tezAm
   prastāvaḥ? navayānasaṃprasthitasya bodhisattvasya	prastAvaH? nava yAna saMprasTitasya boDisattvasya
   satyādhiṣṭhānaphalasampādanādinā mithyāmānotpādanāya bahudhā mārāḥ /	satya aDizWAna Pala sampAdana AdinA miTyAmAna utpAdanAya bahuDA mArAH /
   parākramata ityayameṣāṃ prastāvaḥ / (RSt_130) tatretyanantarokte	parAkramataH iti ayam ezAm prastAvaH / (RSt _130) tatra iti anantara ukte
   satyādhiṣṭhāne / autsukyamiti prāptāvasarasya karmaṇaḥ karaṇārtha mutsāhaḥ	satya aDizWAne / Otsukyam iti prApta avasarasya karmaNaH karaNa arTa mutsAhaH
   / balamutsāhaśaktiḥ / tejaḥ prabhāvaśaktiḥ / kathaṃ tejovattaramiti yāvat	/ balam utsAha SaktiH / tejaH praBAva SaktiH / kaTam tejovattaram iti yAvat 
   / tasau matvartha iti bhatvāspadatvaṃ nāstīti bhatvena na bhavitavyam /	/ tasO matu arTaH iti BatvAspada tvam na asti iti Ba tvena na Bavitavyam /
   tadyathā āyuṣmān sarasvān iti / evaṃ tarhi dīptyarthā[d]dravateḥ śatrantāt	tat yaTA AyuzmAn sarasvAn iti / evam tarhi dIpti arTA[d]dravateH SatrantAt 
   tarap / tejasā dīptataraṃ tejovattaramiti / autsukyamiti / ātmani	tarap / tejasA dIptataram tejovattaram iti / Otsukyam iti / Atmani
   bahumānam / āvamaṃsyata ityādi / avamāno 'nādaraḥ / uccagghānamantarhāsaḥ	bahu mAnam / AvamaMsyate ityAdi / avamAnaH anAdaraH / uccaghAnam antarhAsaH
   / ullāpanaṃ manasānyatkaraṇam / kutsanaṃ doṣadarśitā / taṃsanaṃ doṣavāditā	/ ullApanam manasA anyat karaNam / kutsanam doza darSitA / taMsanam doza vAdi tA
   / sambodhāvitīti / itiśabdo hetau / mānaṃ janayiṣyatītyādi / atra	/ samboDO= iti iti / iti SabdaH hetO / mAnam janayizyati ityAdi / atra
   saśabdasya sarvatretyarthaḥ / jananamutpādanam / vadhaṃnaṃ	sa Sabdasya sarvatra iti arTaH / jananam utpAdanam / vaDaMnam
   puraḥsarīkaraṇam / stambhanaṃ sthirīkaraṇam / bṛṃhaṇa paripuṣṭiḥ /	puraHsarIkaraNam / stamBanam sTirIkaraNam / bRMhaNa paripuzwiH /
   utpādanamaccairnayanam / mānenetyādi / anyebhyo 'dhikatvena cittasyonnatiḥ	utpAda na mat cEs nayanam / mAnena ityAdi / anyeByaH aDika tvena cittasya unnatiH
   sāmānyena mānaḥ sa pūrvamuktaḥ / iha tu tadviśeṣā ucyante / yā tasya	sAmAnyena mAnaH sa pUrvam uktaH / iha tu tad viSezAH ucyante / yA tasya
   hīnādunnatiḥ sa mānaḥ / yādṛśādeva so 'timānaḥ / yo punaḥ prakṛṣṭāt sa	hInAt unnatiH sa mAnaH / yAdRSAt eva saH atimAnaH / yaH punar prakRzwAt sa
   mānātimānaḥ / aprāpte 'vaivartikatve prāptaṃ mayeti so 'bhimānaḥ / yā	mAna atimAnaH / aprApte avEvartika tve prAptam mayA iti saH aBimAnaH / yA
   punarabhūtairavaivartikaguṇairguṇavānasmīti sa mithyāmānaḥ / tathā	punar aBUtEH avEvartika guNEH guNavAn asmi iti sa miTyAmAnaH / taTA
