   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   aho 'dbhutaṃ tat kiṃ punar anena mahātmanā kṛtaṃ bhaved yenāyam evaṃ	aho adButam tat kim punar anena mahAtmanA kRtam Bavet yena-ayam evam
   maharddhiko mahānubhāvo yadi ca vayaṃ jānīmo vayam api tat kuryāmahe yena	mahardDikaH mahA-anuBAvaH yadi ca vayam jAnImaH vayam api tat kuryAmahe yena
   vayam apy evaṃ maharddhikāṃ syāma iti | samutpannābhilāṣāḥ	vayam api evam mahardDikAm syAmaH iti | samutpanna-aBilAzAH
   sandehadolāruḍhāś ca parasparaṃ saṃjalpaṃ kartum ārabdhāḥ | teṣām etad	sandeha-dolA-ruXAH ca parasparam saMjalpam kartum ArabDAH | tezAm etat-
   abhavad eṣa eva mahātmā maharddhiko mahānubhāvaḥ siddhavrato	aBavat ezaH eva mahAtmA mahardDikaH mahA-anuBAvaH sidDa-vrataH-
   divyajñānasamanvāgataś ca etam eva paripṛcchāma iti | tato 'sau janakāyaḥ	divya-jQAna-samanvAgataH ca etam eva paripRcCAmaH iti | tatas asO jana-kAyaH
   paramavismayotphullalocanaḥ kṛtakarapuṭo gaganatalāsaktadṛṣṭir āyuṣmantaṃ	parama-vismaya-utPulla-locanaH kRta-kara-puwaH gagana-tala-Asakta-dRzwiH Ayuzmantam
   suvarṇavarṇam ekaraveṇa praṇamyovāca |	suvarNa-varNam eka-raveNa praNamya-uvAca |
   upetas tvaṃ mahābhāga divyena jñānacakṣuṣā |	upetaH tvam mahABAga divyena jQAna-cakzuzA |
   yenaivaṃ tvaṃ maheśākhyas tvaṃ samākhyātum arhasi |1|	yena-evam tvam maheSa-AKyaH tvam samAKyAtum arhasi |1|
   yena prāpnoti sampattim iha loke paratra ca |	yena prApnoti sampattim iha loke paratra ca |
   bhogānāñ ca guṇānāñ ca tān svayaṃ khyātum arhasī ti |2|	BogAnAn ca guNAnAn ca tAn svayam KyAtum arhasI ti |2|
   Sva Roy 185,2 - 196,3	Svas Roy 185,2  196,3
   [71] tatas tān sa mahāsattvaḥ karuṇākṣiptamānasaḥ |	[71] tatas tAn sa mahAsattvaH karuNA-Akzipta-mAnasaH |
   hlādayan mahatā vācā svareṇāpūrayan diśa |1|	hlAdayan mahatA vAcA svareNa-ApUrayan diSaH |1|
   amum evārtham uddiśya mayedaṃ darśitaṃ hi vaḥ |	amum eva-arTam uddiSya mayA-idam darSitam hi vaH |
   anupūrveṇa vakṣyāmi śṛṇutedaṃ vaco mama |2|	anupUrveNa vakzyAmi SRNutA-idam vacaH mama |2|
   puṇyair āpnoti sampattim iha loke paratra ca |	puNyEH Apnoti sampattim iha loke paratra ca |
   bhogānāñ ca guṇānāñ ca puṇyaiś cāham maharddhikaḥ |3|	BogAnAn ca guNAnAn ca puNyEH ca-aham mahardDikaH |3|
   yadi vo na priyaṃ duḥkhaṃ priyāś ca sukhasampadaḥ |	yadi vaH na priyam duHKam priyAH ca suKa-sampadaH |
   kṣipraṃ kurudhvaṃ puṇyāni sukhaṃ puṇyasya sañcayaḥ |4|	kzipram kuruDvam puNyAni suKam puNyasya saQcayaH |4|
   yā kācit sukhasampattir iha loke paratra ca |	yA kAcid suKa-sampattiH iha loke paratra ca |
   prāpyate nivṛttiś cāpi puṇyānām eva tat phalaṃ |5|	prApyate nivRttiH ca-api puNyAnAm eva tat Palam |5|
   dhaninaḥ śreṣṭhino viprāḥ sārthavāhādayaś ca yān |	DaninaH SrezWinaH viprAH sArTavAha-AdayaH ca yAn |
   bhuñjate vipulān bhogān puṇyānām eva tat phalaṃ |6|	BuQjate vipulAn BogAn puNyAnAm eva tat Palam |6|
   mano'bhirāmā strībhṛtyaputramitrādisampadaḥ |	manaH-aBirAmA strI-BRtya-putra-mitra-Adi-sampadaH |
   yad bhavanti manuṣyāṇāṃ puṇyānām eva tat phalaṃ |7|	yat Bavanti manuzyANAm puNyAnAm eva tat Palam |7|
   rūpalāvaṇyasampattirmanonayanahārariṇīṃ |	rUpa-lAvaNya-sampattiH-manaH-nayana-hArariNIm |
   labdhvā yad rājante martyāḥ puṇyānām eva tat phalaṃ |8|	labDvA yat rAjante martyAH puNyAnAm eva tat Palam |8|
   abhedyaṃ parivāratvam akṣayāṃ dānasampadaḥ |	aBedyam parivAra-tvam akzayAm dAna-sampadaH |
   labhante khalu yan martyāḥ puṇyānām eva tat phalaṃ |9|	laBante Kalu yat martyAH puNyAnAm eva tat Palam |9|
   jātismaratvaṃ saubhāgyaṃ śrutam ādeyavākyatāṃ |	jAti-smara-tvam sOBAgyam Srutam Adeya-vAkyatAm |
   prāpnuvanti manuṣyā yat puṇyānām eva tat phalaṃ |10|	prApnuvanti manuzyAH yat puNyAnAm eva tat Palam |10|
   vistīrṇā bhogasampatti jñātibhiḥ sahitāḥ sadāḥ	vistIrNA Boga-sampatti jQAtiBiH sahitAH sadAH
   yan martyā muñjate hṛṣṭāḥ puṇyānām eva tat phalaṃ |11|	yat martyAH muQjate hRzwAH puNyAnAm eva tat Palam |11|
   yadbhavanti manuṣyāṇām asaṃkhyā dhanasampadaḥ |	yat-Bavanti manuzyANAm asaMKyAH Dana-sampadaH |
   niḥsapatnāḥ sthirāś caiva puṇyānām eva tat phalaṃ |12|	niHsapatnAH sTirAH ca-eva puNyAnAm eva tat Palam |12|
   yad uttarakurau dvīpe hy amamā aparigrahāḥ	yat uttarakurO dvIpe hi amamAH aparigrahAH
   manuṣyā niyatāyuṣkāḥ puṇyānām eva eva tat phalaṃ |13|	manuzyAH niyata-AyuzkAH puNyAnAm eva eva tat Palam |13|
   yat taṇḍulaphalaṃ śālim akṛṣṭoptam mahārhaṃ |	yat taNxula-Palam SAlim akRzwa-uptam mahArham |
   manuṣyā bhuñjate tatra puṇyānām eva tat phalaṃ |14|	manuzyAH BuQjate tatra puNyAnAm eva tat Palam |14|
   kalpadūṣyāṇi citrāṇi yat tatrābharaṇāni ca |	kalpa-dUzyANi citrANi yat tatra-ABaraNAni ca |
   ācchādayanti manujāḥ puṇyānām eva tat phalaṃ |15|	AcCAdayanti manujAH puNyAnAm eva tat Palam |15|
   yat tad uttarakurau dvīpe manuṣyās tad anantaraṃ |	yat tat uttarakurO dvIpe manuzyAH tat anantaram |
   cyutā devā bhaviṣyanti puṇyānām eva tat phalaṃ |16|	cyutAH devAH Bavizyanti puNyAnAm eva tat Palam |16|
   sudhābhaktādisampati yan nāgā devaputravat |	suDA-Bakta-Adi-sampati yat nAgAH deva-putra-vat |
   pātāle bhuñjate divyāḥ puṇyānām eva tat phalaṃ |17|	pAtAle BuQjate divyAH puNyAnAm eva tat Palam |17|
   yat prabhāvādirājaśrīsampadaṃ prāpya devavat |	yat praBAva-Adi-rAja-SrI-sampadam prApya deva-vat |
   manujendrā virājante puṇyānām eva tat phalaṃ |18|	manuja-indrAH virAjante puNyAnAm eva tat Palam |18|
   balena cakravarttitvaṃ yad avāpya mahībhujāḥ |	balena cakravartti-tvam yat avApya mahIBujAH |
   devendravadvirājante puṇyānām eva tat phalaṃ |19|	deva-indra-vat-virAjante puNyAnAm eva tat Palam |19|
   aśeṣamanujāṃ kṛtsāṃ saptaratnādisampadam |	aSeza-manujAm kRtsAm sapta-ratna-Adi-sampadam |
   buṅkte yac cakravartī ca puṇyānām eva tat phalaṃ |20|	buFkte yat cakravartI ca puNyAnAm eva tat Palam |20|
   tridaśendra samāṃ lakṣmīṃ prāpya yat paribhuṅkte |	tridaSa-indra samAm lakzmIm prApya yat pariBuFkte |
   vemacitrādayo daityāḥ puṇyānām eva tat phalaṃ |21|	vema-citra-AdayaH dEtyAH puNyAnAm eva tat Palam |21|
   catvāro lokapālā yāṃ vibhūtiṃ dhanadādayaḥ |	catvAraH lokapAlAH yAm viBUtim Danada-AdayaH |
   bhuñjate muditāś citrāṃ puṇyānām eva tat phalaṃ |22|	BuQjate muditAH citrAm puNyAnAm eva tat Palam |22|
   nandanādivanodyānavibhūtiṃ bhuñjate surāḥ |	nandana-Adi-vana-udyAna-viBUtim BuQjate surAH |
   yat sārddhaṃ devakanyābhiḥ puṇyānām eva tat phalaṃ |23|	yat sArdDam deva-kanyABiH puNyAnAm eva tat Palam |23|
   vicitrāṃ devarājyādisampadaṃ tridaśādhipaḥ |	vicitrAm deva-rAjya-Adi-sampadam tridaSa-aDipaH |
   yat sadā mudito bhuṅkte puṇyānām eva tatphalam |24|	yat sadA muditaH BuFkte puNyAnAm eva tad-Palam |24|
   yathābhilaṣitān divyān bhogān yat paribhuñjate |	yaTA-aBilazitAn divyAn BogAn yat pariBuQjate |
   vimānavāsino devāḥ puṇyānām eva tat phalaṃ |25|	vimAna-vAsinaH devAH puNyAnAm eva tat Palam |25|
   yat kecid daśabhiḥ sthānair āyurvarṇabalādibhiḥ |	yat kecid daSaBiH sTAnEH AyuH-varNa-bala-AdiBiH |
   devebhyo 'py adhikā devā puṇyānām eva tat phalaṃ |26|	deveByaH api aDikA devAH puNyAnAm eva tat Palam |26|
   kāmadhātūttamāñ citrāṃ yad divyāṃ bhogasampadaḥ |	kAmaDAtu-uttamAn citrAm yat divyAm Boga-sampadaH |
   kāmadhātvīśvaro bhuṅkte puṇyānām eva tat phalaṃ |27|	kAmaDAtu-ISvaraH BuFkte puNyAnAm eva tat Palam |27|
   yathābhilaṣitān kāmān deveṣu manujeṣu ca |	yaTA-aBilazitAn kAmAn devezu manujezu ca |
   labhante yad ayatnena puṇyānām eva tat phalaṃ |28|	laBante yat ayatnena puNyAnAm eva tat Palam |28|
   yad brahmādayo devā dhyāyino dhyānabhūmiṣu |	yat brahma-AdayaH devAH DyAyinaH DyAna-BUmizu |
   prāpnuvanty uttamaṃ saukhyaṃ puṇyānām eva tat phalaṃ |29|	prApnuvanti uttamam sOKyam puNyAnAm eva tat Palam |29|
   dhyāyino dhyānajaṃ yac ca tṛṣṇākṣayasukhañ ca yat |	DyAyinaH DyAna-jam yat ca tRzNA-kzaya-suKan ca yat |
   prāpnuvanti sukhaṃ śāntiṃ puṇyānām eva tat phalaṃ |30|	prApnuvanti suKam SAntim puNyAnAm eva tat Palam |30|
   sambuddhaśrāvakā ye ca bhavanty ugraguṇānvitāḥ |	sambudDa-SrAvakAH ye ca Bavanti ugra-guNa-anvitAH |
   maharddhikā mahātmānaḥ puṇyānām eva tat phalaṃ |31|	mahardDikA mahAtmAnaH puNyAnAm eva tat Palam |31|
   prāpnuvanti mahātmāno ye 'pi kalpaśatātyayāt |	prApnuvanti mahAtmAnaH ye api kalpa-Sata-atyayAt |
   bodhiṃ pratyekasambuddhāḥ puṇyānām eva tat phalaṃ |32|	boDim pratyeka-sambudDAH puNyAnAm eva tat Palam |32|
   aprameyair nirupamair guṇair yat samalaṅkṛtāḥ |	aprameyEH nirupamEH guNEH yat samalaFkRtAH |
   bhavanti samyaksambuddhāḥ puṇyānām eva tat phalaṃ |33|	Bavanti samyaksambudDAH puNyAnAm eva tat Palam |33|
   rūpayauvanaśālinyaḥ puṃbhiḥ kulavibhūṣaṇāḥ |	rUpa-yOvana-SAlinyaH puMBiH kula-viBUzaNAH |
   striyaḥ puṇyair avāpyante puṇyānām eva tat phalaṃ |34|	striyaH puNyEH avApyante puNyAnAm eva tat Palam |34|
   puṇyair avāpyate svargaḥ puṇyasya apsarasaḥ phalaṃ |	puNyEH avApyate svargaH puNyasya apsarasaH Palam |
   prāpyante 'bhimatāḥ puṇyaiḥ sarvakāmasamṛddhayaḥ |35|	prApyante aBimatAH puNyEH sarva-kAma-samRdDayaH |35|
   puṇyair avāpyate tīkṣṇā tathā ca vimalā matiḥ |	puNyEH avApyate tIkzNA taTA ca vimalA matiH |
   puṇyair āyatanaiḥ śraddhāḥ puṇyaiḥ paṭutarā smṛtiḥ |36|	puNyEH AyatanEH SradDAH puNyEH pawutarA smRtiH |36|
   puṇyaiḥ priyatvaṃ vaktṛtvaṃ susvaratvaṃ yaśasvatā |	puNyEH priya-tvam vaktR-tvam su-svara-tvam yaSasvatA |
   sarvāḥ puṇyair avāpyante śubhā guṇavibhūtayaḥ |37|	sarvAH puNyEH avApyante SuBAH guNa-viBUtayaH |37|
   na tad asti sukhaṃ loke yat puṇyair nādhigamyate |	na tat asti suKam loke yat puNyEH na-aDigamyate |
   tasmāt sukhārthibhir nityaṃ karttavyaḥ puṇyasaṃcayaḥ |38|	tasmAt suKa-arTiBiH nityam karttavyaH puNya-saMcayaH |38|
   svalpaṃ puṇyaṃ mayā kṛtvā vipaśyini tathāgate |	su-alpam puNyam mayA kRtvA vipaSyini taTAgate |
   yathābhilāṣitaṃ prāptam atyantavipulaṃ phalaṃ |39|	yaTA-aBilAzitam prAptam atyanta-vipulam Palam |39|
   ṣaṭsu devanikāyeṣu rājyaiśvaryādhipatyatāṃ |	zawsu deva-nikAyezu rAjya-ESvarya-ADipatyatAm |
   jātikoṭisahastrāṇi sukhaṃ saṃbhuktavān ahaṃ |40|	jAti-kowi-sahastrANi suKam saMBuktavAn aham |40|
   amitāny asapatnāni manuṣyeṣūttamās tathā |	amitAni asapatnAni manuzyezu-uttamAH taTA |
   cakravarttyādibhūtena bhuktā me bhogasampadaḥ |41|	cakravartti-Adi-BUtena BuktA me Boga-sampadaH |41|
   tasya puṇyasya māhātmyād yatra yatropapannavān |	tasya puNyasya mAhAtmyAt yatra yatra-upapannavAn |
   tatra tatra babhūvāhaṃ maheśākhyaḥ sukhānvitaḥ |42|	tatra tatra baBUva-aham maheSa-AKyaH suKa-anvitaH |42|
   rūpavān guṇasampanno mukhenotpalagandhinā |	rUpavAn guNa-sampannaH muKena-utpala-ganDinA |
   priyaś cādeyavākyaś ca sumanojñāḥ surānvitaḥ |43|	priyaH ca-Adeya-vAkyaH ca su-manojQAH sura-anvitaH |43|
   idānīm api tasyaiva puṇyasyābhimatām imāṃ |	idAnIm api tasya-eva puNyasya-aBimatAm imAm |
   rūpādiguṇasampattiṃ paśyatemāṃ manoramāṃ |44|	rUpa-Adi-guNa-sampattim paSyata-imAm manoramAm |44|
   mahādhane mahābhoge jāto 'smi vipule kule |	mahADane mahA-Boge jAtaH asmi vipule kule |
   vastrair jāmbūnadākārair avaguṇṭhita vigrahaḥ |45|	vastrEH jAmbUnada-AkArEH avaguNWita vigrahaH |45|
   kāyād vahati sarvasmād gandhāś candanasannibhaḥ |	kAyAt vahati sarvasmAt ganDAH candana-sanniBaH |
   gandho nīlotpalasyaiva tathā vāti mukhāc ca me |46|	ganDaH nIlotpalasya-eva taTA vAti muKAt ca me |46|
   yat kiñcid abhikāṅkṣāmi vastraratnādisampadāṃ |	yat kiQcid aBikAFkzAmi vastra-ratna-Adi-sampadAm |
   tac ca saṃṅkalpamātreṇa mama sarvaṃ samṛdhyati |47|	tat ca saMFkalpa-mAtreNa mama sarvam samRDyati |47|
   pravrajyā ca mayā labdhā sākyasiṃhasya śāsane |	pravrajyA ca mayA labDA sAkya-siMhasya SAsane |
   arhatvañ ca mayā prāptaṃ śītībhūto 'smi nirvṛtaḥ |48|	arhatvan ca mayA prAptam SItIBUtaH asmi nirvRtaH |48|
   iyam me paścimā jātir mmama nāsti punarbhavaḥ |	iyam me paScimA jAtiH mmama na-asti punarBavaH |
   punar nābhyāgāmiṣyāmi nivāsyāmi nirāśrayaṃ |49|	punar na-aByAgAmizyAmi nivAsyAmi nirASrayam |49|
   yas tena karmaṇā kṣipto vipākaphalavistaraḥ |	yaH tena karmaNA kziptaH vipAka-Pala-vistaraH |
   tasya nāvaimi paryantam adyāpy evaṃvidho 'pi san |50|	tasya na-avEmi paryantam adya-api evaMviDaH api san |50|
   Sva Roy 196,3 - 197,3	Svas Roy 196,3  197,3
   [72] tadatyadbhutam aparimitam acintyaṃ ca tasya sakāśāt puṇyamāhātmyaṃ	[72] tat-ati-adButam aparimitam acintyam ca tasya sakASAt puNya-mAhAtmyam
   śrutvānekaiḥ prāṇikoṭiniyutaśatasahastraiḥ	SrutvA-anekEH prANi-kowi-niyuta-Sata-sahastrEH
   paramaprasādavegāvarjitacittasantatibhir	parama-prasAda-vega-Avarjita-citta-santatiBiH-
   bhagavacchāsanasatkāraparāṅmikhair api yathecchaṃ dānāni dattvā puṇyāni	Bagavat-SAsana-satkAra-parAFmiKEH api yaTecCam dAnAni dattvA puNyAni
   kṛtvā praṇidhānāni kṛtāni | athāyuṣmān suvarṇavarṇāsya mahājanakāyasyaivam	kRtvA praNiDAnAni kRtAni | aTa-AyuzmAn suvarNa-varNA-asya mahA-jana-kAyasya-evam
   aneka prakāraṃ puṇyeṣu gauravotpādanārthañ ca puṇyamāhātmyaṃ prakāśya	aneka prakAram puNyezu gOrava-utpAdana-arTan ca puNya-mAhAtmyam prakASya
   Sva Roy 197,3 - 199,5	Svas Roy 197,3  199,5
   [73] tata evopari vihāyasā sadyo mahāśmaśānam āgatya	[73] tatas eva-upari vihAyasA sadyas mahA-SmaSAnam Agatya
   sthavirānandapramukham bhikṣusaṃgham anuparipāṭikayā vanditvaikānte	sTavira-Ananda-pramuKam Bikzu-saMGam anuparipAwikayA vanditvA-ekAnte
   niṣaṇṇaḥ | rājñā cājātaśatruṇā śrutaṃ yathā kila	nizaNNaH | rAjQA ca-ajAtaSatruNA Srutam yaTA kila
   pracaṇḍenāmātyenerṣyāprakṛtenodyāne kāśisundaryā dārikāyā ayañ cāyañ	pracaNxena-amAtyena-IrzyA-prakRtena-udyAne kASisundaryAH dArikAyAH ayan ca-AyaQ
   cānarthaḥ kṛtaḥ | suvarṇavarṇasyābhyākhyānaṃ dattvā niraparādha eva	ca-anarTaH kRtaH | suvarNa-varNasya-aByAKyAnam dattvA niraparADaH eva
   vadhāya parityakta iti | śrutvā ca punas tīvrakrodhaparyākulekṣaṇo bhṛtyān	vaDAya parityaktaH iti | SrutvA ca punar tIvra-kroDa-paryAkula-IkzaNaH BRtyAn
   āmantrayate bhavantaḥ | kathan nāmānena durātmanaivaṃ vyavaharttavyaṃ	Amantrayate BavantaH | kaTat nAma-anena durAtmanA-evam vyavaharttavyam
   savarthā parityakto me pracaṇḍo 'mātya iti | pracaṇḍaś cāmātyas tatraiva	savarTA parityaktaH me pracaNxaH amAtyaH iti | pracaNxaH ca-amAtyaH tatra-eva
   sannipatito 'bhūt | atha pracaṇḍo 'mātya etad rājño vacanam upaśrutya	sannipatitaH aBUt | aTa pracaNxaH amAtyaH etat rAjQaH vacanam upaSrutya
   maraṇabhayaviṣādavihavalekṣaṇaḥ pravepamānaḥ sarvāṅgāvayavaḥ	maraNa-Baya-vizAda-vihavala-IkzaNaH pravepamAnaH sarva-aFga-avayavaH
   sahasaivotthāya niṣpalāyitum ārabdho mahājanapradviṣṭo 'sau tasyopary	sahasA-eva-utTAya nizpalAyitum ArabDaH mahA-jana-pradvizwaH asO tasya-upary
   anekāni praṇiśatasahasrāṇi pradhāvitāni samantāc ca parivārya	anekAni praNiSata-sahasrANi praDAvitAni samantAt ca parivArya
   mahājanakāyena gṛhīto gṛhītvā ca kharacapeṭapārṣṇiprahārādibhis taṃ	mahA-jana-kAyena gRhItaH gRhItvA ca Kara-capewapArzNi-prahAra-AdiBiH tam
   tāḍayitum ārabdhāḥ | sa tāḍyamānaḥ pragāḍhaduḥkhavedanābhyāhato vikroṣṭum	tAxayitum ArabDAH | sa tAxyamAnaH pragAXa-duHKa-vedanA-aByAhataH vikrozwum
   ārabdhaḥ āryānanda paritrāsyasva mām anātham atrāṇam aśaraṇam aparāyaṇaṃ	ArabDaH Arya-Ananda paritrAsyasva mAm anATam atrANam aSaraNam aparAyaNam
   nirālokaṃ priyeṇa jīvitenācchādayeti ||	nirAlokam priyeNa jIvitena-AcCAdaya-iti ||
   Sva Roy 200,1 - 203,204	Svas Roy 200,1  203,204
   [74] sthavirānandena cāsau mahājanakāyo 'bhihito bhavanto mainaṃ	[74] sTavirAnandena ca-asO mahA-jana-kAyaH aBihitaH BavantaH mA-enam
   praghātayatāhaṃ rājānam ajātaśatrum anusaṃjñāpayiṣyāmīti | tatas tena	praGAtayatA-aham rAjAnam ajAta-Satrum anusaMjQApayizyAmi-iti | tatas tena
   mahājanakāyenāsau sthavirānandavacanam upaśrutya pratimuktaḥ	mahA-jana-kAyena-asO sTavira-Ananda-vacanam upaSrutya pratimuktaH
   sthavirānandaś ca rājānaṃ nirīkṣitum ārabdhaḥ | rājovāca | kim	sTavirAnandaH ca rAjAnam nirIkzitum ArabDaH | rAjA-uvAca | kim
   ājñāpayasīti | sthavirānandenoktaṃ | mahārāja muñcainam iti 200,5-201,1	AjQApayasi-iti | sTavira-Anandena-uktam | mahA-rAja muQca-enam iti 200,5-201,1
   rājovāca | samayato muñcāmi yadi svākhyāte dharmavinaye pravrajya	rAjA-uvAca | samayataH muQcAmi yadi su-AKyAte Darma-vinaye pravrajya
   sthavirānandasyaṃ yāvajjīvam upasthānaṃ karotīti | sthavirānandenoktam	sTavira-Anandasyam yAvajjIvam upasTAnam karoti-iti | sTavira-Anandena-uktam
   evam astv iti | sa ca tena janakāyena nirdayaṃ tāḍitaḥ |	evam astu iti | sa ca tena jana-kAyena nirdayam tAxitaH |
   pragāḍhaduḥkhavedanābhyāhato murcchitas tiṣṭhati | sthavirānandena	pragAXa-duHKa-vedanA-aByAhataH murcCitaH tizWati | sTavira-Anandena
   cāyuṣmān suvarṇavarṇo 'bhihitaḥ satyādhiṣṭhānena pracaṇḍasyāmātyasya	ca-AyuzmAn suvarNa-varNaH aBihitaH satya-aDizWAnena pracaNxasya-amAtyasya
   śarīrād duḥkhavedanāṃ prastambhayeti | athāyuṣmān suvarṇavarṇaḥ	SarIrAt duHKa-vedanAm prastamBayA-iti | aTa-AyuzmAn suvarNa-varNaH
   sarvasattvahitādhyāśayapravṛttena cetasā satyādhiṣṭhānaṃ kartum ārabdhaḥ |	sarva-sattva-hita-aDyASaya-pravRttena cetasA satya-aDizWAnam kartum ArabDaH |
   yena satyena satyavacanenāsya pracaṇḍasyāmātyasyaivam atyantāpakāriṇo 'py	yena satyena satya-vacanena-asya pracaNxasya-amAtyasya-evam atyanta-apakAriNaH api-
   antike mama sūkṣmo 'py āghāto notpannaḥ | tena satyena satyavacanenāsya	antike mama sUkzmaH api AGAtaH na-utpannaH | tena satyena satya-vacanena-asya
   śarīrād duḥkhavedanā pratipraśrabhyatām iti | satyādhiṣṭhānasamanantaram	SarIrAt duHKa-vedanA pratipraSraByatAm iti | satya-aDizWAna-samanantaram
   eva pracaṇḍasyāmātyasya śarīrād duḥkhavedanā pravigatā svasthībhūtaśarīraś	eva pracaNxasya-amAtyasya SarIrAt duHKa-vedanA pravigatA svasTIBUta-SarIra-S
   ca samutthāya bhagavacchāsane samupajātabahumānaḥ sthavirānandasamīpam	ca samutTAya Bagavat-SAsane samupajAta-bahu-mAnaH sTavirAnanda-samIpam
   upagamya pādayor nipatyovāca | labheyāhaṃ sthavirānanda svākhyāte	upagamya pAdayoH nipatya-uvAca | laBeya-aham sTavirAnanda su-AKyAte
   dharmavinaye pravrajyām upasampadaṃ bhikṣubhāvañ careyam ahaṃ	Darma-vinaye pravrajyAm upasampadam Bikzu-BAvan careyam aham
   sthavirānandasyāntike brahmacaryam iti | sa sthavirānandena pravrājitas	sTavira-Anandasya-antike brahmacaryam iti | sa sTavirAnandena pravrAjitaH-
   tathā ca svam anuśiṣṭo yathā tena tasminn eva muhūrte sarvakleśaprahāṇād	taTA ca svam anuSizwaH yaTA tena tasmin eva muhUrte sarva-kleSa-prahANAt-
   arhatvaṃ prāptaṃ | so 'rhatvaprāpto gaganatalam abhyudgamya vicitraiḥ	arha-tvam prAptam | saH arha-tva-prAptaH gagana-talam aByudgamya vicitrEH
   prātihāryam mahājanamanānsi prahlādayan gaganatalād avatīrya	prAtihAryam mahA-jana-manAn-si prahlAdayan gagana-talAt avatIrya
   sthavirānandapramukhaṃ bhikṣusaṃghaṃ anuparipāṭikayā vanditvaikānte	sTavira-Ananda-pramuKam Bikzu-saMGam anuparipAwikayA vanditvA-ekAnte
   niṣaṇṇaḥ |	nizaNNaH |
   Sva Roy 204,1 - 205,5	Svas Roy 204,1  205,5
   [75] tatas tad atyadbhutaṃ sthavirānandasya mahātmyaṃ dṛṣṭvā sā parat	[75] tatas tat ati-adButam sTavirAnandasya mahAtmyam dRzwvA sA parad-
   sthavirānande 'tyartham abhiprasannā | tatas tāṃ parṣadaṃ	sTavira-Anande atyarTam aBiprasannA | tatas tAm parzadam
   tathābhiprasannmanaskām ālokya sthavirānandena tathā vidhā dharmadeśanā	taTA-aBiprasann-manaskAm Alokya sTavira-Anandena taTA viDA Darma-deSanA
   kṛtā yāṃ śrutvānekaiḥ prāṇiśatasahasrais mahān viśeṣo 'dhigataḥ | kaiścit	kRtA yAm SrutvA-anekEH prANi-Sata-sahasrEH mahAn viSezaH aDigataH | kEScid-
   srotaāpattiphalaṃ prāptaṃ | yāvad arhattvaṃ sākṣātkṛtaṃ | kaiścic	srotaApatti-Palam prAptam | yAvat arhat-tvam sAkzAtkRtam | kEScid-
   chrāvakabodhau cittāny utpāditāni | kaiścid yāvadbuddhanimnā dharmapravaṇā	CrAvaka-boDO cittAni utpAditAni | kEScid yAvat-budDa-nimnA Darma-pravaNA
   saṃghaprāgbharā vyavasthitā divākareṇa ca sārthavāhena sapatnīkena satyāni	saMGa-prAgBarA vyavasTitAH divAkareNa ca sArTavAhena sa-patnIkena satyAni
   dṛṣṭāni | anekaiś ca devatāśatasahastrais tatas tābhir devatābhiḥ	dRzwAni | anekEH ca devatA-Sata-sahastrEH tatas tABiH devatABiH
   prasannamanasmabhiḥ divyaṃ vastravaryaṃ pātitaṃ | divyāni ca vādyāni	prasannam-anasmaBiH divyam vastra-varyam pAtitam | divyAni ca vAdyAni
