   (Msa 1)	(MsaH 1)
   suvimokṣāya saṃkleśāt prajñājīvasudeśanaḥ || AMsa_16.27 ||	su vimokzAya saMkleSAt prajQA jIva sudeSanaH || AMsaH _16.27 ||
   dharmāṇām uttaras teṣu vidyate trividhaś ca saḥ |	DarmANAm uttaraH tezu vidyate triviDaH ca saH |
   prajñām evaṃ parijñāya paṇḍitaḥ samudānayet || AMsa_16.28 ||	prajQAm evam parijQAya paNxitaH samudAnayet || AMsaH _16.28 ||
   samyak pravicayo jñeya iti svabhāvaḥ | samyag iti na mithyā jñeya iti	samyak pravicayaH jQeyaH iti svaBAvaH | samyak iti na miTyA jQeyaH iti
   laukikakṛtyasamyakpravicayavyudāsārthaṃ | samādhānapratiṣṭhita iti hetuḥ |	lOkika kRtya samyak pravicaya vyudAsa arTam | samADAna pratizWitaH iti hetuH |
   samāhitacitto yathābhūtaṃ prajānāti | yasmāt suvimokṣāya saṃkleśād iti	samAhita cittaH yaTABUtam prajAnAti | yasmAt su vimokzAya saMkleSAt iti
   phalaṃ | tena hi saṃkleśāt suvimokṣo bhavati |	Palam | tena hi saMkleSAt su vimokzaH Bavati |
   laukikahīnalokottaramahālokottareṇa pravicayena | prajñājīvasudeśana iti	lOkika hIna loka uttara mahA loka uttareNa pravicayena | prajQA jIva sudeSanaH iti
   prajñājīvaḥ sudeśanā cāsya karma | tena hy anuttaraprajñā jīvakānāṃ jīvati	prajQAjIvaH sudeSanA ca asya karma | tena hi anuttara prajQA jIvakAnAm jIvati
   | samyag dharma deśayatīti | dharmāṇām uttara ity uttaratvena yogaḥ |	| samyak Darma deSayati iti | DarmANAm uttaraH iti uttara tvena yogaH |
   yathoktaṃ | prajñottarāḥ sarvadharmā iti | teṣu vidyate trividhaś ca sa	yaTA uktam | prajQA uttarAH sarva DarmAH iti | tezu vidyate triviDaH ca sa
   iti vṛttiḥ | prājñeṣu vartanāt trividhena ca prabhedena | laukiko	iti vRttiH | prAjQezu vartanAt triviDena ca praBedena | lOkikaH 
   hīnalokottaro (Msa 107) mahālokottaraś ca | uktaḥ pratyekaṃ dānādīnāṃ	hIna lokottaraH (MsaH 107) mahAlokottaraH ca | uktaH pratyekam dAna AdInAm
   ṣaḍarthaprabhedena prabhedaḥ | saṃgrahavibhāge ślokaḥ |	zaz arTa praBedena praBedaH | saMgraha viBAge SlokaH |
   sarve śuklā dharmā vikṣiptasamāhitobhayā jñeyāḥ |	sarve SuklAH DarmAH vikzipta samAhita uBayAH jQeyAH |
   dvābhyāṃ dvābhyāṃ dvābhyāṃ pāramitābhyāṃ parigṛhītāḥ || AMsa_16.29 ||	dvAByAm dvAByAm dvAByAm pAramitAByAm parigRhItAH || AMsaH _16.29 ||
   sarve śuklā dharmā dānādidharmāḥ | tatra vikṣiptā dvābhyāṃ pāramitābhyāṃ	sarve SuklAH DarmAH dAna Adi DarmAH | tatra vikziptA dvAByAm pAramitAByAm
   saṃgṛhītāḥ prathamābhyāṃ dānasamādānaśīlayor asamāhitatvāt | samāhitā	saMgRhItAH praTamAByAm dAna samAdAna SIlayoH asamAhita tvAt | samAhitA
   dvābhyāṃ paścimābhyāṃ dhyānayathābhūtaprajñayoḥ samāhitatvāt | ubhaye	dvAByAm paScimAByAm DyAna yaTA BUta prajQayoH samAhita tvAt | uBaye
   dvābhyāṃ kṣāntivīryābhyāṃ | tayoḥ samāhitāsamāhitatvāt | vipakṣavibhāge	dvAByAm kzAnti vIryAByAm | tayoH samAhita asamAhita tvAt | vipakza viBAge
   ślokāḥ ṣaṭ |	SlokAH zaw |
   na ca saktaṃ na ca saktaṃ na ca saktaṃ saktam eva na ca dānaṃ |	na ca saktam na ca saktam na ca saktam saktam eva na ca dAnam |
   na ca saktaṃ na ca saktaṃ na ca saktaṃ bodhisatvānām || AMsa_16.30 ||	na ca saktam na ca saktam na ca saktam boDisatvAnAm || AMsaH _16.30 ||
   saptavidhā saktir dānasya vipakṣaḥ | bhogasaktiḥ vilambanaśaktiḥ	saptaviDA saktiH dAnasya vipakzaH | Boga saktiH vilambana SaktiH
   tanmātrasaṃtuṣṭisaktiḥ pakṣapātasaktiḥ pratikārasaktiḥ vipākasaktiḥ |	tanmAtra saMtuzwi saktiH pakzapAta saktiH pratikAra saktiH vipAka saktiH |
   vipakṣasaktistu tadvipakṣalābhānuśayāsamudghātāt | vikṣepasaktiś ca | sa	vipakza saktiH tu tad vipakza lABa anuSayA sam udGAtAt | vikzepa saktiH ca | sa
   punar vikṣepo dvividhaḥ | manasikāravikṣepaś ca hīnayānaspṛhaṇāt |	punar vikzepaH dviviDaH | manasikAra vikzepaH ca hIna yAna spRhaNAt |
   vikalpavikṣepaś ca dāyakapratigrāhakadānavikalpanāt | ataḥ	vikalpa vikzepaH ca dAyaka pratigrAhaka dAna vikalpanAt | atas 
   saptavidhasaktimuktatvāt saptakṛtvo dānasyāsaktatvam uktaṃ |	saptaviDa sakti mukta tvAt sapta kRtvas dAnasya Asakta tvam uktam |
   na ca saktaṃ na ca saktaṃ na ca saktaṃ saktam eva na ca śīlaṃ |	na ca saktam na ca saktam na ca saktam saktam eva na ca SIlam |
   na ca saktaṃ na ca saktaṃ na ca saktaṃ bodhisatvānām || AMsa_16.31 ||	na ca saktam na ca saktam na ca saktam boDisatvAnAm || AMsaH _16.31 ||
   na ca saktā na ca saktā na ca saktā saktikā na kṣāntiḥ |	na ca saktA na ca saktA na ca saktA saktikA na kzAntiH |
   na ca saktā na ca saktā na ca saktā bodhisatvānām || AMsa_16.32 ||	na ca saktA na ca saktA na ca saktAH boDisatvAnAm || AMsaH _16.32 ||
   na ca saktaṃ na ca saktaṃ na ca saktaṃ saktam eva ca na vīryaṃ |	na ca saktam na ca saktam na ca saktam saktam eva ca na vIryam |
   na ca saktaṃ na ca saktaṃ na ca saktaṃ bodhisatvānām || AMsa_16.33 ||	na ca saktam na ca saktam na ca saktam boDisatvAnAm || AMsaH _16.33 ||
   na ca saktaṃ na ca saktaṃ na ca saktaṃ saktam eva na ca dhyānaṃ |	na ca saktam na ca saktam na ca saktam saktam eva na ca DyAnam |
   na ca saktaṃ na ca saktaṃ na ca saktaṃ bodhisatvānām || AMsa_16.34 ||	na ca saktam na ca saktam na ca saktam boDisatvAnAm || AMsaH _16.34 ||
   na ca saktā na ca saktā na ca saktā saktikā na ca prajñā |	na ca saktA na ca saktA na ca saktA saktikA na ca prajQA |
   na ca saktā na ca sakta na ca saktā bodhisatvānām || AMsa_16.35 ||	na ca saktA na ca sakta na ca saktAH boDisatvAnAm || AMsaH _16.35 ||
   (Msa 108)	(MsaH 108)
   yathā dānāsaktir uktā evaṃ śīle yāvat prajñāyāṃ veditavyā | atra tu	yaTA dAna AsaktiH uktAH evam SIle yAvat prajQAyAm veditavyA | atra tu
   viśeṣabhogasaktiparivartena dauḥśīlyādyāsaktir veditavyā vipakṣasaktis	viSeza Boga sakti parivartena dOHSIlya Adi AsaktiH veditavyA vipakza sakti s
   tadvipakṣānuśayāsamudghātanāt | vikalpavikṣepaś ca yathāyogaṃ	tad vipakza anuSayA sam udGAtanAt | vikalpa vikzepaH ca yaTAyogam
   trimaṇḍalaparikalpanāt | guṇavibhāge trayoviṃśatiḥ ślokāḥ |	tri maNxala parikalpanAt | guNa viBAge trayoviMSatiH SlokAH |
   tyaktaṃ buddhasutaiḥ svajīvitam api prāpyārthinaṃ sarvadā kāruṇyāt parato	tyaktam budDa sutEH sva jIvitam api prApya arTinam sarvadA kAruNyAt paratas 
   na ca pratikṛtir neṣṭaṃ phalaṃ prārthitaṃ |	na ca pratikRtiH na izwam Palam prArTitam |
   dānenaiva ca tena sarvajanatā bodhitraye ropitā dānaṃ jñānaparigraheṇa ca	dAnena eva ca tena sarva janatA boDi traye ropitA dAnam jQAna parigraheNa ca
   punar loke 'jñayaṃ sthāpitam || AMsa_16.36 ||	punar loke ajQayam sTApitam || AMsaH _16.36 ||
   iti subodhaḥ padārthaḥ |	iti su boDaH padArTaH |
   āttaṃ buddhasutair yamodyamamayaṃ śīlatrayaṃ sarvadā svargo nābhimataḥ	Attam budDa sutEH yama udyama mayam SIla trayam sarvadA svargaH nABimataH
   sametya ca punaḥ saktirna tatrāhitā |	sametya ca punar saktiH na tatra AhitAH |
   śīlenaiva ca tena sarvajanatā bodhitraye ropitā śīlaṃ jñānaparigraheṇa ca	SIlena eva ca tena sarva jana tA boDi traye ropitA SIlam jQAna parigraheNa ca
   punar loke 'kṣayaṃ sthāpitam || AMsa_16.37 ||	punar loke akzayam sTApitam || AMsaH _16.37 ||
   trividhaṃ śīlaṃ | saṃvaraśīlaṃ | kuśaladharmasaṃgrāhakaśīlaṃ |	triviDam SIlam | saMvara SIlam | kuSala Darma saMgrAhaka SIlam |
   satvārthakriyāśīlaṃ ca | ekātmakaṃ yamasvabhāvaṃ | dve udyamasvabhāve |	satva arTa kriyA SIlam ca | eka Atmakam yama svaBAvam | dve udyama svaBAve |
   kṣāntaṃ buddhasutaiḥ suduṣkaramatho sarvāpakāraṃ nṛṇāṃ na svargārtham	kzAntam budDa sutEH su duzkaram aTo sarva apakAram nRNAm na svarga arTam
   asaśaktimato na ca bhayān naivopakārekṣaṇāt |	asa SaktimataH na ca BayAt na eva upakAra IkzaNAt |
   kṣāntyānuttarayā ca sarvajanatā bodhitraye ropitā kṣāntir jñānaparigraheṇa	kzAntyA anuttarayA ca sarva jana tA boDi traye ropitA kzAntiH jQAna parigraheNa
   ca punar loke 'kṣayā sthāpitā || AMsa_16.38 ||	ca punar loke akzayA sTApitAH || AMsaH _16.38 ||
   iti | kṣāntyānuttarayā caiti duḥkhādhivāsanakṣāntyā ca	iti | kzAntyA anuttarayA ca eti duHKa aDivAsana kzAntyA ca
   parāpakāramarṣaṇakṣāntyā ca yathākramaṃ |	para apakAra marzaNa kzAntyA ca yaTAkramam |
   vīryaṃ buddhasutaiḥ kṛtaṃ nirūpamaṃ saṃnāhayogātmakaṃ hantuṃ kleśagaṇaṃ	vIryam budDa sutEH kRtam nirUpamam saMnAha yoga Atmakam hantum kleSa gaNam
   svato 'pi parataḥ prāptuṃ ca bodhiṃ parāṃ |	svatas api paratas prAptum ca boDim parAm |
   vīryeṇaiva ca tena sarvajanatā bodhitraye ropitā vīryaṃ jñānaparigraheṇa	vIryeNa eva ca tena sarva janatA boDi traye ropitA vIryam jQAna parigraheNa
   ca punar loke 'kṣayaṃ sthāpitam || AMsa_16.39 ||	ca punar loke akzayam sTApitam || AMsaH _16.39 ||
   (Msa 109)	(MsaH 109)
   iti | saṃnāhavīryaṃ prayogavīryaṃ ca |	iti | saMnAha vIryam prayoga vIryam ca |
   dhyānaṃ buddhasutaiḥ samādhibahulaṃ saṃpāditaṃ sarvathā śreṣṭhair	DyAnam budDa sutEH samADi bahulam saMpAditam sarvaTA SrezWEH 
   dhyānasukhair vihṛtya kṛpayā hīnāpapattiḥ śritā |	DyAna suKEH vihRtya kRpayA hIna ApapattiH SritA |
   dhyānenaiva ca tena sarvajanatā bodhitraye ropitā dhyānaṃ jñānaparigraheṇa	DyAnena eva ca tena sarva jana tA boDi traye ropitA DyAnam jQAna parigraheNa
   ca punar loke 'kṣayaṃ sthāpitam || AMsa_16.40 ||	ca punar loke akzayam sTApitam || AMsaH _16.40 ||
   iti | samādhiṃbahulam iti anantabodhisatvasamādhisaṃgṛhītaṃ |	iti | samADiMbahulam iti ananta boDisatva samADi saMgRhItam |
   jñātaṃ buddhasutaiḥ satatvam akhilaṃ jñeyaṃ ca yat sarvathā saktir naiva	jQAtam budDa sutEH sata tvam aKilam jQeyam ca yat sarvaTA saktiH na eva
   ca nirvṛtau prajanitā buddhaiḥ kutaḥ saṃvṛtau |	ca nirvRtO prajanitAH budDEH kutas saMvRtO |
   jñānenaiva ca tena sarvajanatā bodhitraye ropitā jñānaṃ satvaparigraheṇa	jQAnena eva ca tena sarva janatA boDi traye ropitA jQAnam satva parigraheNa
   punar loke 'kṣayaṃ sthāpitam || AMsa_16.41 ||	punar loke akzayam sTApitam || AMsaH _16.41 ||
   iti | satatvaṃ paramārthasaṃgṛhītaṃ sāmānyalakṣaṇaṃ	iti | sata tvam parama arTa saMgRhItam sAmAnya lakzaNam
   pudgaladharmanairātmyaṃ | jñeyaṃ ca yat sarvathety	pudgala Darma nErAtmyam | jQeyam ca yat sarvaTA iti 
   anantasvasaṃketādilakṣaṇabhedabhinnaṃ yad ajñeyaṃ | dānādīnāṃ	ananta sva saMketa Adi lakzaNa Beda Binnam yat ajQeyam | dAna AdInAm
   nirvikalpajñānaparigraheṇākṣayatvaṃ nirupadhiśeṣanirvāṇe 'pi tadakṣayāt |	nirvikalpa jQAna parigraheNa akzaya tvam nirupaDi Seza nirvANe api tat akzayAt |
   jñānasya punaḥ satvaparigraheṇa karuṇayā satvānām aparityāgāt | eṣāṃ punaḥ	jQAnasya punar satva parigraheNa karuNayA satvAnAm aparityAgAt | ezAm punar 
   ṣaṇāṃ ślokānāṃ piṇḍārthaḥ saptamena ślokena nirdiṣṭaḥ |	zaNAm SlokAnAm piNxa arTaH saptamena Slokena nirdizwaH |
   audāryānāmiṣatvaṃ ca mahārthākṣayatāpi ca |	OdArya anAmiza tvam ca mahArTa akzayatA api ca |
   dānādīnāṃ samas taṃ hi jñeyaṃ guṇacatuṣṭayam || AMsa_16.42 ||	dAna AdInAm samaH tam hi jQeyam guNa catuzwayam || AMsaH _16.42 ||
   iti | tatra dānādīnāṃ prathamena pādenodāratā paridīpitā | dvitīyena	iti | tatra dAna AdInAm praTamena pAdena udAratA paridIpitA | dvitIyena
   nirāmiṣatā | tṛtīyena mahārthatāḥ mahataḥ satvārthasya saṃpādanāt |	nirAmizatA | tRtIyena mahArTatAH mahataH satva arTasya saMpAdanAt |
   caturthenākṣayatā ity eṣāṃ guṇacatuṣṭayam ebhiḥ ślokair veditavyaṃ |	caturTena akzaya tA iti ezAm guNa catuzwayam eBiH SlokEH veditavyam |
   darśanapūraṇatuṣṭiṃ yācanake 'tuṣṭim api samāśastiṃ |	darSana pUraNa tuzwim yAcanake atuzwim api samASastim |
   abhibhavati sa tāṃ dātā kṛpālurādhikyayogena || AMsa_16.43 ||	aBiBavati sa tAm dAtA kRpAlurADikya yogena || AMsaH _16.43 ||
   yācanake hi jane dāyakadarśanāt tataś ca yathā īpsitaṃ labdhvā	yAcanake hi jane dAyaka darSanAt tatas ca yaTA Ipsitam labDvA
   manorathaparipūraṇādyā tuṣṭir utpadyate | atuṣṭiś cādarśanād aparipūraṇāc	manoraTa paripUraNa AdyA tuzwiH utpadyate | atuzwiH ca adarSanAt aparipUraNa At 
   ca | āśāstiś ca yā taddarśane manorathaparipūraṇe ca | sā	ca | ASAstiH ca yA tad darSane manoraTa paripUraNe ca | sA
   bodhisatvasyādhikotpadyate (Msa 110) sarvakālaṃ yācanakadarśanāt	boDisatvasya aDika utpadyate (MsaH 110) sarvakAlam yAcanaka darSanAt 
   tanmanorathaparipūraṇāc ca | adarśanād aparipūraṇāc cātuṣṭiḥ | ato dātā	tad manoraTa paripUraNAt ca | adarSanAt aparipUraNAt cAtuzwiH | atas dAtA
   kṛpālus tāṃ sarvam abhibhavaty ādhikyayogāt |	kRpAluH tAm sarvam aBiBavati ADikya yogAt |
   prāṇān bhogān dārān satveṣu sadānyatyajanakṛpālutvāt |	prANAn BogAn dArAn satvezu sadAnyatyajana kRpAlu tvAt |
   āmodate nikāmaṃ tadviratiṃ pālayātra katham || AMsa_16.44 ||	Amodate nikAmam tat viratim pAlaya atra kaTam || AMsaH _16.44 ||
   tebhyo viratiṃ tadviratiṃ parakīyebhyaḥ prāṇabhogadārebhyaḥ | etena	teByaH viratim tad viratim parakIyeByaH prANa Boga dAreByaH | etena
   trividhāt kāyaduścaritād viratiśīlaguṇaṃ darśayati |	triviDAt kAya duScaritAt virati SIla guNam darSayati |
   nirapekṣaḥ samacitto nirbhīḥ sarvapradaḥ kṛpāhetoḥ |	nirapekzaH sama cittaH nirBIH sarva pradaH kRpA hetoH |
   mithyāvādaṃ brūyāt paropaghātāya katham āryaḥ || AMsa_16.45 ||	miTyAvAdam brUyAt para upaGAtAya kaTam AryaH || AMsaH _16.45 ||
   etena mṛṣāvādād viratiguṇaṃ darśayati | ātmahetor mṛṣāvāda ucyeta	etena mRzAvAdAt virati guNam darSayati | Atma hetoH mRzAvAdaH ucyeta
   kāyajīvitāpekṣayā | parahetor vā priyajanapremnā | bhayena vā rājādibhayāt	kAya jIvita apekzayA | para hetoH vA priya jana premnA | Bayena vA rAja Adi BayAt
   | āmiṣakiṃcitkahetor vā lābhārthaṃ | bodhisatvaś ca	| Amiza kiMcid ka hetoH vA lABa arTam | boDisatvaH ca
   svakāyajīvitanirapekṣaḥ | samacittaś ca sarvasatveṣv ātmasamacittatayā |	sva kAya jIvita nirapekzaH | sama cittaH ca sarva satvezu Atma sama citta tayA |
   nirbhayaś ca pañcabhayasamatikrāntatvāt | sarvapradaś cārthibhyaḥ	nirBayaH ca paQca Baya samatikrAnta tvAt | sarva pradaH ca arTiByaH
   sarvasvaparityāgāt | sa kena hetunā mṛṣāvādaṃ brūyāt |	sarva sva parityAgAt | sa kena hetunA mRzAvAdam brUyAt |
   samahitakāmaḥ sakṛpaḥ paraduḥkhotpādane 'tibhīrūś ca |	sama hita kAmaH sakRpaH para duHKa utpAdane ati BIrUH ca |
   satvavinaye suyukteḥ suvidūre trividhavāgdoṣāt || AMsa_16.46 ||	satva vinaye su yukteH su vidUre triviDa vAc dozAt || AMsaH _16.46 ||
   bodhisatvaḥ sarvasatveṣu samaṃ hitakāmaḥ sa kathaṃ pareṣāṃ mitrabhedārthaṃ	boDisatvaH sarva satvezu samam hita kAmaH sa kaTam parezAm mitra Beda arTam
   paiśunyaṃ kariṣyatīti | sakṛpaś ca paraduḥkhāpanayābhiprāyāt |	pESunyam karizyati iti | sakRpaH ca para duHKa apanaya aBiprAyAt |
   paraduḥkhotpādane cātyarthaṃ bhīruḥ sa kathaṃ pareṣāṃ duḥkhotpādanārthaṃ	para duHKa utpAdane ca atyarTam BIruH sa kaTam parezAm duHKa utpAdana arTam
   paruṣaṃ vakṣyati | satvānāṃ vinaye samyakprayuktaḥ sa kathaṃ	paruzam vakzyati | satvAnAm vinaye samyak prayuktaH sa kaTam
   saṃbhinnapralāpaṃ kariṣyati tasmād asau suvidūre trividhavāgdoṣāt	saMBinna pralApam karizyati tasmAt asO su vidUre triviDa vAc dozAt
   paiśunyāt pāruṣyāt saṃbhinnapralāpāc ca |	pESunyAt pAruzyAt saMBinna pralApAt ca |
   sarvapradaḥ kṛpāluḥ pratītyadharmodaye sukuśalaś ca |	sarva pradaH kRpAluH pratItyaDarma udaye su kuSalaH ca |
   adhivāsayet katham asau sarvākāraṃ manaḥ kleśam || AMsa_16.47 ||	aDivAsayet kaTam asO sarva AkAram manaH kleSam || AMsaH _16.47 ||
   abhidhyā vyāpādo mithyādṛṣṭir vā yathākramaṃ | eṣa	aBiDyA vyApAdaH miTyAdRzwiH vA yaTAkramam | eza
   dauḥśīlyapratipakṣadharmaviśeṣayogāc chīlaviśuddhigūṇo bodhisatvānāṃ	dOHSIlya pratipakza Darma viSeza yogAt SIla viSudDi gUNaH boDisatvAnAm
   veditavyaḥ |	veditavyaH |
   upakarasaṃjñāmodaṃ hy apakāriṇiparahita saṃjñāṃparahite sadā duḥkhe |	upakara saMjQA Amodam hi apakAriNiparahita saMjQA aMparahite sadA duHKe |
   labhate yadā kṛpāluḥ kṣamitavyaṃ tasya kiṃ na syāt || AMsa_16.48 ||	laBate yadA kRpAluH kzamitavyam tasya kim na syAt || AMsaH _16.48 ||
   (Msa 111)	(MsaH 111)
   yasya nāpakārisaṃjñā pravartate na duḥkhasaṃjñā |	yasya na apakAri saMjQA pravartate na duHKa saMjQA |
   paraparasaṃjñāpagamāt svato 'dhikatarāt sadā parasnehāt |	para para saMjQA apagamAt svatas aDikatarAt sadA para snehAt |
   duṣkaracaraṇāt sakṛpe hy aduṣkaraṃ vīryaṃ || AMsa_16.49 ||	duzkara caraNAt sakRpe hi aduzkaram vIryam || AMsaH _16.49 ||
   sakṛpo bodhisatvaḥ | tatra sakṛpe yat parārthaṃ duṣkaracaraṇād vīrthaṃ	sakRpaH boDisatvaH | tatra sakRpe yat para arTam duzkara caraNAt vIrTam
   tadaduṣkaraṃ ca suduṣkaraṃ ca |	tat aduzkaram ca su duzkaram ca |
   katham aduṣkaraṃ | paratra parasaṃjñāpagamāt | svato'dhikatarāc ca sarvadā	kaTam aduzkaram | paratra para saMjQA apagamAt | svatas aDikatarAt ca sarvadA
   pareṣu snehāt | kathaṃ suduṣkaraṃ | yad evaṃ parasaṃjñāpagataṃ ca	parezu snehAt | kaTam su duzkaram | yat evam para saMjQA apagatam ca
   svatodhikatarasnehaṃ ca tadvīryaṃ |	svatoDikatara sneham ca tat vIryam |
   alpasukhaṃ hy ātmasukhaṃ līnaṃ parihāṇikaṃ kṣayi samohaṃ |	alpa suKam hi Atma suKam lInam parihANikam kzayi sa moham |
   dhyānaṃ mataṃ trayāṇāṃ viparyayād bodhisatvānām || AMsa_16.50 ||	DyAnam matam trayANAm viparyayAt boDisatvAnAm || AMsaH _16.50 ||
   alpasukhaṃ dhyānaṃ laukikānām ātmasukhaṃ śrāvakapratyekabuddhānāṃ | līnaṃ	alpa suKam DyAnam lOkikAnAm Atma suKam SrAvaka pratyekabudDAnAm | lInam
   laukikānāṃ satkāye śrāvakapratyekabuddhānāṃ ca nirvāṇe | parihāṇikaṃ	lOkikAnAm satkAye SrAvaka pratyekabudDAnAm ca nirvANe | parihANikam
   laukikānāṃ kṣayi śrāvakapratyekabuddhānāṃ nirupadhiśeṣanirvāṇe tatkṣayāt |	lOkikAnAm kzayi SrAvaka pratyekabudDAnAm nirupaDi Seza nirvANe tad kzayAt |
   samohaṃ sarveṣāṃ yathāyogakliṣṭākliṣṭena mohena | bodhisatvānāṃ punar	sa moham sarvezAm yaTAyoga klizwa aklizwena mohena | boDisatvAnAm punar 
   dhyānaṃ bahusukham ātmaparasukham alīnamaparihāṇikam akṣayyasamohaṃ ca |	DyAnam bahu suKam Atma para suKam alInam aparihANikam akzayya sa moham ca |
   āmoṣais tamasi yathā dīpair nunnaṃ tathā trayajñānaṃ |	AmozEH tamasi yaTA dIpEH nunnam taTA traya jQAnam |
   dinakarakiraṇauriva tu jñānamatulyaṃ kṛpālunām || AMsa_16.51 ||	dinakara kiraNOH iva tu jQAnam atulyam kRpAlunAm || AMsaH _16.51 ||
   yathā hastāmoṣais tamasi jñānaṃ parīttaviṣayamapratyakṣam avyaktaṃ ca	yaTA hasta amozEH tamasi jQAnam parItta vizayam apratyakzam avyaktam ca
   tathā pṛthagjanānāṃ | yathāvacarake dīpairjñānaṃ prādeśikaṃ pratyakṣaṃ	taTA pRTagjanAnAm | yaTAvacarake dIpEH jQAnam prAdeSikam pratyakzam
   nātinirmalaṃ tathā śrāvakāṇāṃ pratyekabuddhānāṃ ca | yathā	na ati nirmalam taTA SrAvakANAm pratyekabudDAnAm ca | yaTA
   dinakarakiraṇair jñānaṃ samantāt pratyakṣaṃ sunirmalaṃ ca tathā	dinakara kiraNEH jQAnam samantAt pratyakzam su nirmalam ca taTA
   bodhisatvānāṃ | ata eva tad atulyaṃ |	boDisatvAnAm | atas eva tat atulyam |
   āśrayād vastuto dānaṃ nimittāt pariṇāmanāt |	ASrayAt vastutas dAnam nimittAt pariNAmanAt |
   hetuto jñānataḥ kṣetrān niśrayāc ca paraṃ matam || AMsa_16.52 ||	hetutaH jQAnataH kzetrAn niSrayAt ca param matam || AMsaH _16.52 ||
   tatrāśrayo bodhisatvaḥ | vastu āmiṣadānasyādhyātmikaṃ vastu paramaṃ |	tatra ASrayaH boDisatvaH | vastu Amiza dAnasya ADyAtmikam vastu paramam |
   abhyadānasyāpāyasaṃsārabhītebhyas tu (Msa 112) tadabhayaṃ |	aByadAnasya apAya saMsAra BIteByaH tu (MsaH 112) tat aBayam |
   dharmadānasya mahāyānaṃ | nimittaṃ karuṇā | pariṇāmanā tena	Darma dAnasya mahAyAnam | nimittam karuNA | pariNAmanA tena
   mahābodhiphalaprārthanā | hetuḥ pūrvadānapāramitābhyāsavāsanā | jñānaṃ	mahAboDi Pala prArTanA | hetuH pUrva dAna pAramitA aByAsa vAsanA | jQAnam
   nirvikalpaṃ yena trimaṇḍalapariśuddhaṃ dānaṃ dadāti	nirvikalpam yena tri maNxala pariSudDam dAnam dadAti
   dātṛdeyapratigrāhakāvikalpanāt | kṣetraṃ pañcavidhaṃ | arthī duḥkhito	dAtR deya pratigrAhaka avikalpanAt | kzetram paQcaviDam | arTI duHKitaH 
   niḥpratisaraṇo duścaritacārī guṇavāṃś ca | caturṇām uttaraṃ kṣetraṃ paraṃ	niHpratisaraNaH duScarita cArI guNavAn ca | caturNAm uttaram kzetram param
