   Kālidāsa: Raghuvaṃśa	KAli-dAsa: RaGu-vaMSa
   āyodhane kṛṣṇagatiṃ sahāyamavāpya yaḥ kṣatriyakālarātrim /	AyoDane kRzNa-gatim sahAyam-avApya yaH kzatriya-kAla-rAtrim /
   dhārāṃ śitāṃ rāmaparaśvadhasya sambhāvayatyutpalapattrasārām //	DArAm SitAm rAma-paraSvaDasya samBAvayati-utpala-pattra-sArAm //
   Ragh(K)_6.42 //	RaG(K)_6.42 //
   asyāṅkalakṣmīrbhava dīrghabāhormāhiṣmatīvapranitambakāñcīm /	asya-aFka-lakzmIH-Bava dIrGa-bAhoH-mAhizmatIva-pranitamba-kAQcIm /
   prāsādajālairjalaveṇiramyāṃ revāṃ yadi prekṣitumasti kāmaḥ // Ragh(K)_6.43	prAsAda-jAlEH-jala-veNi-ramyAm revAm yadi prekzitum-asti kAmaH // RaG(K)_6.43
   tasyāḥ prakāmapriyadarśano 'pi na sa kṣitīśo rucaye babhūva /	tasyAH prakAma-priya-darSanaH api na sa kzitISaH rucaye baBUva /
   śaratpramṛṣṭāmbudharoparāgaḥ śaśīva paryāptakalo nalinyāḥ // Ragh(K)_6.44	Sarad-pramRzwa-ambuDara-uparAgaH SaSI-iva paryApta-kalaH nalinyAH // RaG(K)_6.44
   sā śūrasenādhipatiṃ suṣeṇamuddiśya deśāntaragītakīrtim /	sA SUrasena-aDipatim suzeNam-uddiSya deSa-antara-gIta-kIrtim /
   ācāraśuddhobhayavaṃśadīpaṃ śuddhāntarakṣyā jagade kumārī // Ragh(K)_6.45	AcAra-SudDa-uBaya-vaMSa-dIpam SudDa-anta-rakzyA jagade kumArI // RaG(K)_6.45
   nīpānvayaḥ pārthiva eṣa yajvā guṇairyamāśritya paraspareṇa /	nIpa-anvayaH pArTivaH eza yajvA guNEH-yam-ASritya paraspareNa /
   naisargiko 'pyutsasṛje virodhaḥ siddhāśramaṃ śāntamivaitya sattvaiḥ //	nEsargikaH api-utsasRje viroDaH sidDASramam SAntam-iva-etya sattvEH //
   Ragh(K)_6.46 //	RaG(K)_6.46 //
   yasyātmadehe nayanābhirāmā kāntirhimāṃśoriva sanniviṣṭā /	yasya-Atma-dehe nayana-aBirAmA kAntiH-himAMSoH-iva sannivizwAH /
   harmyāgrasaṃrūḍhatṛṇāṅkureṣu tejo 'viṣahyaṃ ripumandireṣu // Ragh(K)_6.47	harmya-agra-saMrUXa-tRNa-aFkurezu tejaH avizahyam ripu-mandirezu // RaG(K)_6.47
   yasyāvarodhastanacandanānāṃ prakṣālanādvārivihārakāle /	yasya-avaroDa-stanacandanAnAm prakzAlanAt-vAri-vihAra-kAle /
   kalindakanyā mathurāgatāpi gaṅgormisampṛktajaleva bhāti // Ragh(K)_6.48 //	kalinda-kanyA maTurA-gatA-api gaFgA-Urmi-sampRkta-jalA-iva BAti // RaG(K)_6.48 //
   trātena tārkṣyātkila kāliyena maṇiṃ visṛṣṭaṃ yamunaukasā yaḥ /	trAtena tArkzyAt-kila kAliyena maNim visRzwam yamunA-okasA yaH /
   vakṣaḥsthalavyāpirucaṃ dadhānaḥ sakaustubhaṃ hrepayatīva kṛṣṇam //	vakzaH-sTala-vyApi-rucam daDAnaH sa-kOstuBam hrepayati-iva kRzNam //
   Ragh(K)_6.49 //	RaG(K)_6.49 //
   sambhāvya bhartāramamuṃ yuvānaṃ mṛdupravālottarapuṣpaśayye /	samBAvya BartAram-amum yuvAnam mRdu-pravAla-uttara-puzpa-Sayye /
   vṛndāvane caitrarathādanūne nirviśyatāṃ sundari yauvanaśrīḥ //	vRndAvane cEtraraTAt-anUne nirviSyatAm sundari yOvana-SrIH //
   Ragh(K)_6.50 //	RaG(K)_6.50 //
   adhyāsya cāmbhaḥpṛṣatokṣitāni śaileyanaddhāni śilātalāni /	aDyAsya ca-amBaH-pRzata-ukzitAni SEleya-nadDAni SilA-talAni /
   kalāpināṃ prāvṛṣi paśya nṛttaṃ kāntāsu govardhanakandarāsu // Ragh(K)_6.51	kalApinAm prAvRzi paSya nRttam kAntAsu govarDana-kandarAsu // RaG(K)_6.51
   nṛpaṃ tamāvartamanojñanābhiḥ sā vyatyagādanyavadhūrbhavitrī /	nRpam tam-Avarta-manojQanABiH sA vyatyagAt-anya-vaDUH-BavitrI /
   mahīdharaṃ mārgavaśādupetaṃ srotovahā sāgaragāminīva // Ragh(K)_6.52 //	mahIDaram mArga-vaSAt-upetam srotaH-vahA sAgara-gAminI-iva // RaG(K)_6.52 //
   athāṅgadaśliṣṭabhujaṃ bhujiṣyā hemāṅgadaṃ nāma kaliṅganātham /	aTa-aFgada-Slizwa-Bujam BujizyA hema-aFgadam nAma kaliFga-nATam /
   āseduṣī sāditaśatrupakṣaṃ bālāmabālendumukhīṃ babhāṣe // Ragh(K)_6.53 //	AseduzI sAdita-Satru-pakzam bAla-Ama-bAla-indu-muKIm baBAze // RaG(K)_6.53 //
   asau mahendrādrisamānasāraḥ patirmahendrasya mahodadheśca /	asO mahA-indra-adri-samAna-sAraH patiH-mahA-indrasya mahA-udaDeH-ca /
   yasya kṣaratsainyagajacchalena yātrāsu yātīva puro mahendraḥ //	yasya kzarat-sEnya-gaja=-Calena yAtrAsu yAti-iva puras mahA-indraH //
   Ragh(K)_6.54 //	RaG(K)_6.54 //
   jyāghātalekhe subhujo bhujābhyāṃ bibharti yaścāpabhṛtāṃ purogaḥ /	jyA-GAta-leKe su-BujaH BujAByAm biBarti yaH-ca-apaBRtAm purogaH /
   ripuśriyaḥ sāñjanavāṣpaseke vandīkṛtāyā iva paddhatī dve // Ragh(K)_6.55	ripu-SriyaH sa-aQjana-vAzpaseke vandIkRtAyAH iva padDatI dve // RaG(K)_6.55
   yamātmanaḥ sadmani saudhajālairālokyavelātaṭapūgamālaḥ /	yama-AtmanaH sadmani sODa-jAlEH-Alokya-velA-tawa-pUga-mAlaH /
   mandradhvanityājitayāmatūryaḥ prabodhayatyarṇava eva suptam //	mandra-Dvani-tya-ajitayAma-tUryaH praboDayati-arNavaH eva suptam //
   Ragh(K)_6.56 //	RaG(K)_6.56 //
   anena sārdhaṃ viharāmburāśestīreṣu tālīvanamarmareṣu /	anena sArDam vihara-amburASeH-tIrezu tAlI-vana-marmarezu /
   apākṛtasvedalavā marudbhirdvīpāntarānītalavaṅgapuṣpaiḥ // Ragh(K)_6.57 //	apAkRta-sveda-lavAH marudBiH-dvIpa-antara-AnIta-lavaFga-puzpEH // RaG(K)_6.57 //
   prabodhitāpyākṛtilobhanīyā vidarbharājāvarajā tayaivam /	praboDitA-api-AkRti-loBanIyA vidarBa-rAja-avara-jA tayA-evam /
   tasmādapāvartata pauruṣeṇa nīteva lakṣmīḥ pratikūladaivāt // Ragh(K)_6.58	tasmAt-apAvartata pOruzeNa nItA-iva lakzmIH pratikUla-dEvAt // RaG(K)_6.58
   athonnasaṃ nāgapurasya nāthaṃ dauvārikī devasarūpametya /	aTa-unnasam nAgapurasya nATam dOvArikI deva-sarUpam-etya /
   itaścakorākṣi vilokayeti nāgāṅganābhāṃ nijagāda bhojyām // Ragh(K)_6.59 //	itas-ca-kora-akzi vilokaya-iti nAga-aFganABAm nijagAda BojyAm // RaG(K)_6.59 //
   pāṇḍyo 'yamaṃsārpitalambahāraḥ klṝúptāṅgarāgo haricandanena /	pANxyaH ayam-aMsa-arpita-lamba-hAraH klLúpta-aFgarAgaH haricandanena /
   ābhāti bālātaparaktasānuḥ sanirjharodgāra ivādrirājaḥ // Ragh(K)_6.60 //	ABAti bAla-Atapa-rakta-sAnuH sa-nirJara-udgAraH iva-adrirAjaH // RaG(K)_6.60 //
   vindhyasya saṃstambhayitā mahādrerniḥśeṣapītojjhitasindhunāthaḥ /	vinDyasya saMstamBayitA mahA-adreH-niHSeza-pIta-ujJita-sinDu-nATaH /
   prītyāśvamedhāvabhṛthārdramūrteḥ sausnātiko yasya bhavatyagastyaḥ //	prItyA-aSvameDa-avaBRTa-Ardra-mUrteH sOsnAtikaH yasya Bavati-agastyaH //
   Ragh(K)_6.61 //	RaG(K)_6.61 //
   astraṃ harādāptavatā durāpaṃ yenendralokāvajayāya dṛptaḥ /	astram harAt-AptavatA durApam yena-indra-loka-avajayAya dRptaH /
   purā janasthānavimardaśaṅkī sandhāya laṅkādhipatiḥ pratasthe //	purA janasTAna-vimarda-SaFkI sanDAya laFkA-aDipatiH pratasTe //
   Ragh(K)_6.62 //	RaG(K)_6.62 //
   anena pāṇau vidhivadgṛhīte mahākulīnena mahīva gurvī /	anena pANO viDivat-gRhIte mahA-kulInena mahI-iva gurvI /
   ratnānuviddhārṇavamekhalāyā diśaḥ sapatnī bhava dakṣiṇasyāḥ //	ratna-anuvidDa-arNava-meKalAyAH diSaH sapatnI Bava dakziNasyAH //
   Ragh(K)_6.63 //	RaG(K)_6.63 //
   tāmbūlavallīpariṇaddhapūgāsvailālatāliṅgitacandanāsu /	tAmbUlavallI-pariNadDa-pUgAsu-ElA-latA-AliFgita-candanAsu /
   tamālapattrāstaraṇāsu rantuṃ prasīda śaśvanmalayasthalīṣu // Ragh(K)_6.64	tamAla-pattra-AstaraNAsu rantum prasIda SaSvat-malaya-sTalIzu // RaG(K)_6.64
   indīvaraśyāmatanurnṛpo 'yaṃ tvaṃ rocanāgauraśarīrayaṣṭiḥ /	indIvara-SyAma-tanuH-nRpaH ayam tvam rocanA-gOH-a-SarIra-yazwiH /
   anyonyaśobhāparivṛddhaye vāṃ yogastaḍittoyadayorivāstu // Ragh(K)_6.65 //	anyonya-SoBA-parivRdDaye vAm yogaH-taxit-toya-dayoH-iva-astu // RaG(K)_6.65 //
   svasurvidarbhādhipatestadīyo lebhe 'ntaraṃ cetasi nopadeśaḥ /	svasuH-vidarBa-aDipateH-tadIyaH leBe antaram cetasi na-upadeSaH /
   divākarādarśanabaddhakośe tārāpateraṃśurivāravinde // Ragh(K)_6.66 //	divAkara-adarSana-badDa-koSe tArApateH-aMSuH-iva-aravinde // RaG(K)_6.66 //
   sañcāriṇī dīpaśikheva rātrau yaṃ yaṃ vyatīyāya patiṃvarā sā /	saQcAriNI dIpa-SiKA-iva rAtrO yam yam vyatIyAya patiMvarA sA /
   narendramārgāṭṭa iva prapede vivarṇabhāvaṃ sa sa bhūmipālaḥ //	narendra-mArga-awwaH iva prapede vivarNa-BAvam sa sa BUmipAlaH //
   Ragh(K)_6.67 //	RaG(K)_6.67 //
   tasyāṃ raghoḥ sūnurupasthitāyāṃ vṛṇīta māṃ neti samākulo 'bhūt /	tasyAm raGoH sUnuH-upasTitAyAm vRNIta mAm na-iti samAkulaH aBUt /
   vāmetaraḥ saṃśayamasya bāhuḥ keyūrabandhocchvasitairnunoda // Ragh(K)_6.68	vAmetaraH saMSayam-asya bAhuH keyUra-banDa-ucCvasitEH-nunoda // RaG(K)_6.68
   taṃ prāpya sarvāvayavānavadyaṃ nyavartatānyopagamātkumārī /	tam prApya sarva-avayavAn-avadyam nyavartatA-anya-upagamAt-kumArI /
   na hi praphultaṃ sahakārametya vṛkṣāntaraṃ kāṅkṣati ṣaṭpadālī //	na hi praPultam sahakAram-etya vRkza-antaram kAFkzati zawpadAlI //
   Ragh(K)_6.69 //	RaG(K)_6.69 //
   tasminsamāveśitacittavṛttiminduprabhāmindumatīmavetya /	tasmin-samAveSita-citta-vRttim-indu-praBAm-indumatIm-avetya /
   pracakrame vaktumanukramajñā suvistaraṃ vākyamidaṃ sunandā // Ragh(K)_6.70	pracakrame vaktum-anukrama-jQA su-vistaram vAkyam-idam sunandAH // RaG(K)_6.70
   ikṣvākuvaṃśyaḥ kakudaṃ nṛpāṇāṃ kakutstha ityāhitalakṣaṇo 'bhūt /	ikzvAku-vaMSyaH kakudam nRpANAm kakutsTaH iti-Ahita-lakzaNaH aBUt /
   kākutsthaśabdaṃ yata unnatecchāḥ ślāghyaṃ dadhatyuttarakosalendrāḥ //	kAkutsTa-Sabdam yatas unnata-icCAH SlAGyam daDati-uttara-kosala-indrAH //
   Ragh(K)_6.71 //	RaG(K)_6.71 //
   mahendramāsthāya mahokṣarūpaṃ yaḥ saṃyati prāptapinākilīlaḥ /	mahA-indram-AsTAya mahA-ukza-rUpam yaH saMyati prApta-pinAki-lIlaH /
   cakāra bāṇairasurāṅganānāṃ gaṇḍasthalīḥ proṣitapattralekhāḥ //	cakAra bANEH-asura-aFganAnAm gaNxa-sTalIH prozita-pattra-leKAH //
   Ragh(K)_6.72 //	RaG(K)_6.72 //
   airāvaṇāsphālanaviślathaṃ yaḥ saṅghaṭṭayannaṅgadamaṅgadena /	ErAvaNa-AsPAlana-viSlaTam yaH saFGawwayan=-aFgadam-aFgadena /
   upeyuṣaḥ svāmapi mūrtimagryāmardhāsanaṃ gotrabhido 'dhitasthau //	upeyuzaH svAm-api mUrtim-agryAm-arDa-Asanam gotra-BidaH aDitasTO //
   Ragh(K)_6.73 //	RaG(K)_6.73 //
   jātaḥ kule tasya kilendukīrteḥ kulapradīpo nṛpatirdilīpaḥ /	jAtaH kule tasya kila-indu-kIrteH kula-pradIpaH nRpatiH-dilIpaH /
   atiṣṭhadekonaśatakratutve śakrābhyasūyāvinivṛttaye yaḥ // Ragh(K)_6.74 //	atizWat-ekona-Sata-kratu-tve Sakra-aByasUyA-vinivRttaye yaH // RaG(K)_6.74 //
   yasminmahīṃ śāsati māninīnāṃ nidrāṃ vihārārdhapathe gatānām /	yasmin-mahIm SAsati mAninInAm nidrAm vihAra-arDa-paTe gatAnAm /
   vāto 'pi nāsraṃsayadaṃśukāni ko lambayedābharaṇāya hastam // Ragh(K)_6.75	vAtaH api na-asraMsayat-aMSukAni kaH lambayet-ABaraNAya hastam // RaG(K)_6.75
   putro raghustasya padaṃ praśāsti mahākratorviśvajitaḥ prayoktā /	putraH raGuH-tasya padam praSAsti mahA-kratoH-viSva-jitaH prayoktA /
   caturdigāvarjanasambhṛtāṃ yo mṛtpātraśeṣāmakarodvibhūtim // Ragh(K)_6.76	catur-diS-a-Avarjana-samBRtAm yaH mRd-pAtra-SezAm-akarot-viBUtim // RaG(K)_6.76
   ārūḍhamadrīnudadhīnpratīrṇaṃ bhujaṅgamānāṃ vasatiṃ praviṣṭam /	ArUXam-adrIn-udaDIn-pratIrNam BujaFgamAnAm vasatim pravizwam /
   ūrdhvaṃ gataṃ yasya na cānubandhi yaśaḥ paricchettumiyattayālam //	UrDvam gatam yasya na ca-anubanDi yaSaH paricCettum-iyat-tayA-alam //
   Ragh(K)_6.77 //	RaG(K)_6.77 //
   asau kumārastamajo 'nujātastriviṣṭapasyeva patiṃ jayantaḥ /	asO kumAraH-tam-ajaH anujAtaH-trivizwapasya-iva patim jayantaH /
   gurvīṃ dhuraṃ yo bhuvanasya pitryāṃ dhuryeṇa damyaḥ sadṛśīṃ bibharti //	gurvIm Duram yaH Buvanasya pitryAm DuryeNa damyaH sadRSIm biBarti //
   Ragh(K)_6.78 //	RaG(K)_6.78 //
   kulena kāntyā vayasā navena guṇaiśca taistairvinayapradhānaiḥ /	kulena kAntyA vayasA navena guNEH-ca tEH-tEH-vinaya-praDAnEH /
   tvamātmanastulyamimaṃ vṛṇīṣva ratnaṃ samāgacchatu kāñcanena //	tvam-AtmanaH-tulyam-imam vRNIzva ratnam samAgacCatu kAQcanena //
   Ragh(K)_6.79 //	RaG(K)_6.79 //
   tataḥ sunandāvacanāvasāne lajjāṃ mṛdūkṛtya narendrakanyā /	tatas sunandA-vacana-avasAne lajjAm mRdUkRtya narendra-kanyA /
   dṛṣṭyā prasādāmalayā kumāraṃ pratyagrahītsaṃvaraṇasrajeva // Ragh(K)_6.80	dRzwyA prasAda-amalayA kumAram pratyagrahIt-saMvaraNa-srajA-iva // RaG(K)_6.80
   sā yūni tasminnabhilāṣabandhaṃ śaśāka śālīnatayā na vaktum /	sA yUni tasmin=-aBilAza-banDam SaSAka SAlIna-tayA na vaktum /
   romāñcalakṣyeṇa sa gātrayaṣṭiṃ bhittvā nirākrāmadarālakeśyāḥ //	romAQca-lakzyeNa sa gAtra-yazwim BittvA nirAkrAma-darAlakeSyAH //
   Ragh(K)_6.81 //	RaG(K)_6.81 //
   tathāgatāyāṃ parihāsapūrvaṃ sakhyāṃ sakhī vetradharā babhāṣe /	taTAgatAyAm parihAsa-pUrvam saKyAm saKI vetra-DarAH baBAze /
   ārye vrajāmo 'nyata ityathaināṃ vadhūrasūyākuṭilaṃ dadarśa // Ragh(K)_6.82	Arye vrajAmaH anyatas iti-aTa-enAm vaDUH-asUyA-kuwilam dadarSa // RaG(K)_6.82
   sā cūrṇagauraṃ raghunandanasya dhātrīkarābhyāṃ karabhopamorūḥ /	sA cUrNa-gOram raGunandanasya DAtrI-karAByAm karaBa-upama-UrUH /
   āsañjayāmāsa yathāpradeśaṃ kaṇṭhe guṇaṃ mūrtamivānurāgam // Ragh(K)_6.83	AsaQjayAmAsa yaTApradeSam kaNWe guNam mUrtam-iva-anurAgam // RaG(K)_6.83
   tayā srajā maṅgalapuṣpamayyā viśālavakṣaḥsthalalambayā saḥ /	tayA srajA maFgala-puzpa-mayyA viSAla-vakzaH-sTala-lambayA saH /
   amaṃsta kaṇṭhārpitabāhupāśāṃ vidarbharājāvarajāṃ vareṇyaḥ // Ragh(K)_6.84	amaMsta kaNWa-arpita-bAhu-pASAm vidarBa-rAja-avarajAm vareNyaH // RaG(K)_6.84
   śaśinamupagateyaṃ kaumudī meghamuktaṃ jalanidhimanurūpaṃ jahnukanyāvatīrṇā	SaSinam-upagatA-iyam kOmudI meGam-uktam jalaniDim-anurUpam jahnu-kanyA-avatIrNA
   iti samaguṇayogaprītayastatra paurāḥ śravaṇakaṭu nṛpāṇāmekavākyaṃ vivavruḥ	iti sama-guNa-yoga-prItayaH-tatra pOrAH SravaNa-kawu nRpANAm-eka-vAkyam vivavruH
   // Ragh(K)_6.85 //	// RaG(K)_6.85 //
   pramuditavarapakṣamekatastatkṣitipatimaṇḍalamanyato vitānam /	pramudita-vara-pakzam-ekatas-tad-kzitipati-maNxalam-anyatas vitAnam /
   uṣasi sara iva praphultapadmaṃ kumudavanapratipannanidramāsīt //	uzasi saraH iva praPulta-padmam kumuda-vana-pratipanna-nidram-AsIt //
   Ragh(K)_6.86 //	RaG(K)_6.86 //
   || iti raghuvaṃśe mahākāvye ṣaṣṭhaḥ sargaḥ ||	|| iti raGu-vaMSe mahAkAvye zazWaH sargaH ||
