   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   tatra bhaktividhānārthamabhaktānarthasantatau /	tatra Bakti-viDAna-arTam-aBakta-anarTa-santatO /
   uktāyāṃ bhaktidārḍhyāya prokte 'śeṣaguṇoccaye /	uktAyAm Bakti-dArXyAya prokte aSeza-guNa-uccaye /
   vaktavyopāsanā nityaṃ kartavyetyādareṇa hi // MAnuv_3,3.51 //	vaktavya-upAsanAH nityam kartavyA-iti-AdareNa hi // Ma-anuv_3,3.51 //
   sopāsanā ca dvividhā śāstrābhyāsasvarūpiṇī /	sa-upAsanA ca dviviDA SAstra-aByAsa-svarUpiNI /
   dhyānarūpā parā caiva tadaṅgaṃ dhāraṇādikam // MAnuv_3,3.52 //	DyAna-rUpA parA ca-eva tad-aFgam DAraNa-Adikam // Ma-anuv_3,3.52 //
   tathobhayātmakaṃ caiva pāde 'smin bādarāyaṇaḥ /	taTA-uBaya-Atmakam ca-eva pAde asmin bAdarAyaNaH /
   āhopāsanamaddhava vistarācchrutipūrvakam // MAnuv_3,3.53 //	Aha-upAsana-madDava vistarAt-Sruti-pUrvakam // Ma-anuv_3,3.53 //
   pṛthagdṛṣṭiraśakyatvamanirṇītiḥ samuccayaḥ /	pRTak-dRzwiH-aSakya-tvam-anirNItiH samuccayaH /
   viśeṣadarśanaṃ kāryalopo nānoktirāśutā // MAnuv_3,3.54 //	viSeza-darSanam kArya-lopaH nAnA-uktiH-ASutA // Ma-anuv_3,3.54 //
   vibhramo 'pākṛtirliṅgamanavasthāviśeṣitā /	viBramaH apAkRtiH-liFgam-anavasTA-viSezitA /
   aprayojanatā cātiprasaṅgo 'dūrasaṃśrayaḥ // MAnuv_3,3.55 //	aprayojana-tA ca-atiprasaFgaH adUra-saMSrayaH // Ma-anuv_3,3.55 //
   viśiṣṭakāraṇaṃ ceṣyā dṛṣṭavairūpyamunnatiḥ /	viSizwa-kAraNam ca-izyA dRzwa-vErUpyam-unnatiH /
   anuktiraprayatnatvaṃ dṛḍhabandhaparābhavau // MAnuv_3,3.56 //	anuktiH-aprayatna-tvam dRXa-banDa-parABavO // Ma-anuv_3,3.56 //
   puṃsāmyaṃ prāptasantyāgaḥ kāraṇānirṇayo bhramaḥ /	puMsAmyam prApta-santyAgaH kAraNa-anirNayaH BramaH /
   viśeṣadarśitā'lāpo guṇasāmyaṃ pṛthagdṛśiḥ // MAnuv_3,3.57 //	viSeza-darSitA-alApaH guNa-sAmyam pRTak-dRSiH // Ma-anuv_3,3.57 //
   agamyavartma sandhānamiṣṭaṃ phalamakalpanā /	agamyavartma sanDAnam-izwam Palam-akalpanA /
   śuddhavairūpyamaṅgatvamaviśeṣadṛśiḥ kriyā // MAnuv_3,3.58 //	SudDa-vErUpyam-aFga-tvam-aviSeza-dRSiH kriyA // Ma-anuv_3,3.58 //
   yuktayaḥ pūrvapakṣasthāḥ sujñeyatvaṃ vidhikriyā /	yuktayaH pUrva-pakza-sTAH su-jQeya-tvam viDi-kriyA /
   māhātmyamalpaśaktitvaṃ yathāyogyaphalaṃ bhavaḥ // MAnuv_3,3.59 //	mAhAtmyam-alpa-Sakti-tvam yaTAyogya-Palam BavaH // Ma-anuv_3,3.59 //
   phalasāmyaṃ viśeṣaśca guṇādhikyaṃ pradhānatā /	Pala-sAmyam viSezaH-ca guNa-ADikyam praDAna-tA /
   yathāśaktikriyā sandhiḥ pramāṇabalamānatiḥ // MAnuv_3,3.60 //	yaTASakti-kriyA sanDiH pramANa-balam-AnatiH // Ma-anuv_3,3.60 //
   kāraṇaṃ kāryavaiśeṣyaṃ svabhāvo vastudūṣaṇam /	kAraNam kArya-vESezyam svaBAvaH vastu-dUzaNam /
   pratikriyāvirodhaśca pratisandhiranūnatā // MAnuv_3,3.61 //	pratikriyA-viroDaH-ca pratisanDiH-anUna-tA // Ma-anuv_3,3.61 //
   saṃskārapāṭavaṃ svecchāniyatirvastuvaibhavam /	saMskAra-pAwavam sva-icCA-niyatiH-vastu-vEBavam /
   viśeṣoktiramānatvaṃ prādhānyaṃ prītirāgamaḥ // MAnuv_3,3.62 //	viSeza-uktiramAna-tvam prADAnyam prItiH-AgamaH // Ma-anuv_3,3.62 //
   susthiratvaṃ kṛtaprāptiranādiguṇavistaraḥ /	su-sTira-tvam kRta-prAptiH-anAdi-guNa-vistaraH /
   sādhanottamatā nānādṛṣṭiḥ śiṣṭiranūnatā // MAnuv_3,3.63 //	sADana-uttamatA nAnA-dRzwiH SizwiH-anUna-tA // Ma-anuv_3,3.63 //
   avighnatvavirodhau ca guṇavaiśeṣyamāgamaḥ /	aviGna-tva-viroDO ca guNa-vESezyam-AgamaH /
   siddhāntanirṇaye hyetā yuktayo 'vyāhatāḥ sadā // MAnuv_3,3.64 //	sidDAnta-nirNaye hi-etAH yuktayaH avyAhatAH sadA // Ma-anuv_3,3.64 //
   yathāśaktayakhilān vedān vijñāyopāsanaṃ bhavet /	yaTASaktayaKilAn vedAn vijQAya-upAsanam Bavet /
   tatrākhilasya vijñaptiḥ samyag brahmaṇa eva hi // MAnuv_3,3.65 //	tatra-aKilasya vijQaptiH samyak brahmaNaH eva hi // Ma-anuv_3,3.65 //
   tadanyeṣāṃ yathāyogyamakhilajñaptiriṣyate /	tad-anyezAm yaTAyogyam-aKila-jQaptiH-izyate /
   tāvatopāsane yogyo bhavedevākhilaḥ pumān // MAnuv_3,3.66 //	tAvatA-upAsane yogyaH Bavet-eva-aKilaH pumAn // Ma-anuv_3,3.66 //
   mahattvasya paraṃ pāraṃ viditvaiva janārdanaḥ /	mahat-tvasya param pAram viditvA-eva janArdanaH /
   stoṣyatāmeti tuṣṭatvamiti nāstyeva nārada // MAnuv_3,3.67 //	stozya-tAm-eti tuzwa-tvam-iti na-asti-eva nArada // Ma-anuv_3,3.67 //
   kintu niścalayā bhaktayā hyātmajñānānurūpataḥ /	kintu niScalayA BaktayA hi-Atma-jQAna-anurUpataH /
   yaḥ stoṣyati sadā bhaktastuṣyastasya sadā hariḥ // MAnuv_3,3.68 //	yaH stozyati sadA BaktaH-tuzyaH-tasya sadA hariH // Ma-anuv_3,3.68 //
   ityādivākyasandarbhād yathāyogyākhilajñatā /	ityAdi-vAkya-sandarBAt yaTAyogya-aKila-jQa-tA /
   ātmajñānānurūpatvaṃ yathāśakti vicāraṇāt // MAnuv_3,3.69 //	Atma-jQAna-anurUpa-tvam yaTASakti vicAraNAt // Ma-anuv_3,3.69 //
   vedaḥ kṛtsno 'dhigantavyaḥ svādhyāyādhyayanaṃ bhavet /	vedaH kRtsnaH aDigantavyaH svADyAya-aDyayanam Bavet /
   ityādivākyavaiyarthyamanyathā na nivāryate // MAnuv_3,3.70 //	ityAdi-vAkya-vEyarTyam-anyaTA na nivAryate // Ma-anuv_3,3.70 //
   adyāpi tena devādyāḥ śṛṇvate manvate sadā /	adya-api tena deva-AdyAH SRNvate manvate sadA /
   dhyāyanti ca yathāyogaṃ tathāpyā vastunirṇayāt /	DyAyanti ca yaTAyogam taTA-apyAH vastu-nirNayAt /
   śravaṇaṃ mananaṃ caiva kartavyaṃ sarvathaiva hi // MAnuv_3,3.71 //	SravaNam mananam ca-eva kartavyam sarvaTA-eva hi // Ma-anuv_3,3.71 //
   matiśrutidhyānakālaviśeṣaṃ gururuttamaḥ /	mati-Sruti-DyAna-kAla-viSezam guruH-uttamaH /
   vetti tasyoktimārgeṇa kurvataḥ syāddhi darśanam // MAnuv_3,3.72 //	vetti tasya-ukti-mArgeNa kurvataH syAt-hi darSanam // Ma-anuv_3,3.72 //
   śravaṇaṃ dṛṣṭatattvasya mananaṃ dhyānameva ca /	SravaNam dRzwa-tattvasya mananam DyAnam-eva ca /
   viśeṣānandasamprāptyā anyasyaitāni dṛṣṭaye // MAnuv_3,3.73 //	viSeza-Ananda-samprAptyA anyasya-etAni dRzwaye // Ma-anuv_3,3.73 //
   yadi tādṛg gururnāsti nirṇītaśravaṇādikam /	yadi tAdRS guruH-na-asti nirNIta-SravaNa-Adikam /
   tatsiddhāntānusāreṇa nirṇayajñāt samācaret // MAnuv_3,3.74 //	tad-sidDAnta-anusAreNa nirNaya-jQAt samAcaret // Ma-anuv_3,3.74 //
   śravaṇādi vinā naiva kṣaṇaṃ tiṣṭhedapi kvacit /	SravaNa-Adi vinA na-eva kzaNam tizWet-api kvacid /
   atyaśakye tu nidrādau punareva samārabhet // MAnuv_3,3.75 //	atyaSakye tu nidrA-AdO punar-eva samAraBet // Ma-anuv_3,3.75 //
   abhāve nirṇayajñasya sacchāstrāṇyeva sarvadā /	aBAve nirNaya-jQasya sat-SAstrANi-eva sarvadA /
   śṛṇuyād yadi sajjñānaprācuryamupalabhyate // MAnuv_3,3.76 //	SRNuyAt yadi sat-jQAna-prAcuryam-upalaByate // Ma-anuv_3,3.76 //
   mahadbhayo viṣṇubhaktebhyo yathāśakti ca saṃśayān /	mahat-BayaH vizNu-BakteByaH yaTASakti ca saMSayAn /
   chindyāt svato 'dhikābhāve svayameva samabhyaset // MAnuv_3,3.77 //	CindyAt svatas aDika-aBAve svayam-eva samaByaset // Ma-anuv_3,3.77 //
   aśeṣaguṇapūrṇatvaṃ sarvadoṣasamujkhitiḥ /	aSeza-guNa-pUrNa-tvam sarva-doza-samujKitiH /
   viṣṇoranyacca tattantramiti samyag vinirṇayaḥ // MAnuv_3,3.78 //	vizNoH-anyat-ca tat-tantram-iti samyak vinirNayaH // Ma-anuv_3,3.78 //
   svatantratvaṃ sadā tasya tasya bhedaśca sarvataḥ /	svatantra-tvam sadA tasya tasya BedaH-ca sarvatas /
   adoṣatvasya siddhayarthaṃ yadabhede tadanvayaḥ // MAnuv_3,3.79 //	adoza-tvasya sidDayarTam yat-aBede tad-anvayaH // Ma-anuv_3,3.79 //
   tattantratvaṃ ca muktānāmapi tadguṇapūrtaye /	tat-tantra-tvam ca muktAnAm-api tad-guNa-pUrtaye /
   muktānāmapi bhedaśca na hi bhinnamabhinnatām /	muktAnAm-api BedaH-ca na hi Binnam-aBinna-tAm /
   gacchad dṛṣṭaṃ kvacit tasyāpyabhāvo 'nubhavopagaḥ // MAnuv_3,3.80 //	gacCat dRzwam kvacid tasya-api-aBAvaH anuBava-upagaH // Ma-anuv_3,3.80 //
   pūrvābhede doṣavattvamīśasyetyatibhinnatā /	pUrva-aBede dozavat-tvam-ISasya-iti-ati-Binna-tA /
   nārāyaṇena muktānāmapi samyagiti sthitiḥ // MAnuv_3,3.81 //	nArAyaNena muktAnAm-api samyak-iti sTitiH // Ma-anuv_3,3.81 //
   bhedābhede 'pyabhedena doṣāṇāmapi sambhavaḥ /	Beda-aBede api-aBedena dozANAm-api samBavaH /
   nirdoṣatvaṃ ramāyāśca tadanantaratā tathā // MAnuv_3,3.82 //	nirdoza-tvam ramAyAH-ca tad-anantara-tA taTA // Ma-anuv_3,3.82 //
   brahmā sarasvatī vīndraśeṣarudrāśca tatsriyaḥ /	brahmA sarasvatI vi-indra-Seza-rudrAH-ca tad-sriyaH /
   śakrakāmau tadanye ca kramānmuktāvapīti ca // MAnuv_3,3.83 //	Sakra-kAmO tad-anye ca kramAt-muktO=-api-iti ca // Ma-anuv_3,3.83 //
   satsiddhānta iti jñeyo nirṇīto hariṇā svayam /	sat-sidDAntaH iti jQeyaH nirNItaH hariNA svayam /
   etadvirodhi yat sarvaṃ tamase 'ndhāya kevalam // MAnuv_3,3.84 //	etat-viroDi yat sarvam tamase anDAya kevalam // Ma-anuv_3,3.84 //
   andhaṃ tamo viśantīti prāha śrutiratisphuṭam /	anDam tamaH viSanti-iti prAha Sruti-H-ati-sPuwam /
   ityeva śrutayo 'śeṣāḥ pañcarātramathākhilam // MAnuv_3,3.85 //	iti-eva SrutayaH aSezAH paQca-rAtram-aTa-aKilam // Ma-anuv_3,3.85 //
   mūlarāmāyaṇaṃ caiva bhārataṃ smṛtayo 'khilāḥ /	mUla-rAmAyaNam ca-eva BAratam smRtayaH aKilAH /
   vaiṣṇavāni purāṇāni sāṅkhayayogau parāvapi // MAnuv_3,3.86 //	vEzNavAni purANAni sAFKaya-yogO parO=-api // Ma-anuv_3,3.86 //
   brahmatarkaśca mīmāṃsetyanantaḥ śabdasāgaraḥ /	brahmatarkaH-ca mImAMsA-iti-anantaH Sabda-sAgaraH /
   anantara yuktayaścaiva pratyakṣāgamamūlakāḥ // MAnuv_3,3.87 //	anantara yuktayaH-ca-eva pratyakza-Agama-mUlakAH // Ma-anuv_3,3.87 //
   pratyakṣamaiśvaraṃ caiva ramādīnāmaśeṣataḥ /	pratyakzam-ESvaram ca-eva rama-AdInAm-aSezatas /
   muktānāmapyamuktānāmetamevārthamuttamam // MAnuv_3,3.88 //	muktAnAm-api-amuktAnAm-etam-eva-arTam-uttamam // Ma-anuv_3,3.88 //
   anyāvakāśarahitaṃ prakāśayati sādaram /	anya-avakASa-rahitam prakASayati sAdaram /
   etadeva ca sacchāstraṃ duḥśāstraṃ tu tataḥ param // MAnuv_3,3.89 //	etat-eva ca sat-SAstram duHSAstram tu tatas param // Ma-anuv_3,3.89 //
   sacchāstramabhyasennityaṃ duḥśāstraṃ ca parityajet /	sat-SAstram-aByaset-nityam duHSAstram ca parityajet /
   asaṃśayena tattvasya nirṇaye brahmadarśanam // MAnuv_3,3.90 //	asaMSayena tattvasya nirNaye brahma-darSanam // Ma-anuv_3,3.90 //
   samyagviṣamavijñānatāratamyānusārataḥ /	samyak-vizama-vijQAna-tAratamya-anusArataH /
   phalaṃ bhavet tāratamyāt sukhaduḥkhātmakaṃ nṛṇām // MAnuv_3,3.91 //	Palam Bavet tAratamyAt suKa-duHKa-Atmakam nRNAm // Ma-anuv_3,3.91 //
   samyak cādhikavijñānāt sukhādhikyaṃ bhavennṛṇām /	samyak ca-aDika-vijQAnAt suKa-ADikyam Bavet-nRNAm /
   ato yathātmaśaktayaiva śravaṇaṃ mananaṃ tathā // MAnuv_3,3.92 //	atas yaTA-Atma-SaktayA-eva SravaNam mananam taTA // Ma-anuv_3,3.92 //
   viṣayeṣu ca saṃsargācchāśvatasya ca saṃśayāt /	vizayezu ca saMsargAt-SASvatasya ca saMSayAt /
   manasā cānyadākāṅkṣāt paraṃ na pratipādyate // MAnuv_3,3.93 //	manasA ca-anyat-AkAFkzAt param na pratipAdyate // Ma-anuv_3,3.93 //
   iti bhāratavākyaṃ hi tenaitaddoṣavarjitaḥ /	iti BArata-vAkyam hi tena-etad-doza-varjitaH /
   sadopāsanayā yukto vāsudevaṃ prapaśyati // MAnuv_3,3.94 //	sadA-upAsanayA yuktaH vAsudevam prapaSyati // Ma-anuv_3,3.94 //
   doṣā anādisambaddhāste muktiparipanthinaḥ /	dozAH anAdi-sambadDAH-te mukti-paripanTinaH /
   santyeva prāyaśaḥ puṃsu tena mokṣo na jāyate // MAnuv_3,3.95 //	santi-eva prAyaSas puMsu tena mokzaH na jAyate // Ma-anuv_3,3.95 //
   sarve ta ete jīveṣu dṛśyante tāratamyataḥ /	sarve te ete jIvezu dRSyante tAratamyataH /
   ṛjūnāmeka evāsti paramotsāhavarjanam /	RjUnAm-ekaH eva-asti parama-utsAha-varjanam /
   sa guṇālpatvamātratvānnarjatvena viruddhayate // MAnuv_3,3.96 //	sa guNa-alpa-tva-mAtra-tvAt-narja-tvena virudDayate // Ma-anuv_3,3.96 //
   ato viṣṇau parā bhaktistadbhakteṣu ramādiṣu /	atas vizNO parA BaktiH-tad-Baktezu rama-Adizu /
   tāratamyena kartavyā puruṣārthamabhīpsitā // MAnuv_3,3.97 //	tAratamyena kartavyA puruza-arTam-aBIpsitAH // Ma-anuv_3,3.97 //
   svādaraḥ sarvajantūnāṃ saṃsiddho hi svabhāvataḥ /	svAdaraH sarva-jantUnAm saMsidDaH hi svaBAvataH /
   tato 'dhikaḥ svottameṣu tadādhikyānusārataḥ // MAnuv_3,3.98 //	tatas aDikaH sva-uttamezu tad-ADikya-anusArataH // Ma-anuv_3,3.98 //
   kartavyo vāsudevāntaṃ sarvathā śubhamicchatā /	kartavyaH vAsudeva-antam sarvaTA SuBam-icCatA /
   na kadācit tyajet taṃ ca krameṇainaṃ vivardhayet // MAnuv_3,3.99 //	na kadAcid tyajet tam ca krameNa-enam vivarDayet // Ma-anuv_3,3.99 //
   sameṣu svātmavat snehaḥ satsvanyatra tato dayā /	samezu sva-Atma-vat snehaH satsu-anyatra tatas dayA /
   kāryaivamāparokṣyeṇa dṛśyate kṣipramīśvaraḥ // MAnuv_3,3.100 //	kAryA-evam-AparokzyeNa dRSyate kzipram-ISvaraH // Ma-anuv_3,3.100 //
   tat tamo 'ndhaṃ vrajed viṣṇusamatvaṃ yo 'nupaśyati /	tat tamaH anDam vrajet vizNu-sama-tvam yaH anupaSyati /
   ramābrahmaśivādīnāmapi muktau kathañcana // MAnuv_3,3.101 //	ramA-brahma-Siva-AdInAm-api muktO kaTaQcana // Ma-anuv_3,3.101 //
   kimutādhikyadṛṣṭestad guṇābhāvamaterapi /	kim-uta-ADikya-dRzweH-tat guNa-aBAva-mateH-api /
   doṣavetturabhedasya draṣṭurdraṣṭustathobhayoḥ // MAnuv_3,3.102 //	doza-vettuH-aBedasya drazwuH-drazwuH-taTA-uBayoH // Ma-anuv_3,3.102 //
   ityāha sacchrutistena samproktaguṇasaṃyutam /	iti-Aha sat-SrutiH-tena samprokta-guNa-saMyutam /
   upāsīta hariṃ dṛṣṭvā muktistenaiva jāyate // MAnuv_3,3.103 //	upAsIta harim dRzwvA muktiH-tena-eva jAyate // Ma-anuv_3,3.103 //
   dveṣād yanmuktikathanaṃ śrutivākyavirodhi yat /	dvezAt yat-mukti-kaTanam Sruti-vAkya-viroDi yat /
   ripavo ye tu rāmasya vimukhatvānnirāmiṇaḥ /	ripavaH ye tu rAmasya vimuKa-tvAt-nirAmiNaH /
   abhidrohapade nityamandhe tamasi te sthitāḥ // MAnuv_3,3.104 //	aBidroha-pade nityam-anDe tamasi te sTitAH // Ma-anuv_3,3.104 //
   haridviṣastamo yānti ye caiva tadabhedinaḥ /	haridvizaH-tamaH yAnti ye ca-eva tad-aBedinaH /
   tannirguṇatvavettārastasya doṣavido 'pi ca // MAnuv_3,3.105 //	tat-nirguNa-tva-vettAraH-tasya doza-vidaH api ca // Ma-anuv_3,3.105 //
   ityādiśrutisandarbhād dveṣiṇastama īyate /	ityAdi-Sruti-sandarBAt dveziNaH-tamaH Iyate /
   hiraṇyakaśipuścāpi bhagavannindayā tamaḥ /	hiraNyakaSipuH-ca-api Bagavat-nindayA tamaH /
   vidhikṣuratyagāt sūno prahlādasyānubhāvataḥ // MAnuv_3,3.106 //	viDi-kzuH-ati-agAt sUno prahlAdasya-anuBAvataH // Ma-anuv_3,3.106 //
   yadanindat pitā mahyaṃ tvadbhakte mayi cāghavān /	yat-anindat pitA mahyam tvad-Bakte mayi ca-AGavAn /
   tasmāt pitā me pūyeta durantād dustarādaghāt // MAnuv_3,3.107 //	tasmAt pitA me pUyeta durantAt dustarAt-aGAt // Ma-anuv_3,3.107 //
   nindāṃ bhagavataḥ śṛṇvaṃstatparasya janasya vā /	nindAm BagavataH SRNvan=-tatparasya janasya vA /
   tato nāpaiti yaḥ so 'pi yātyaghaḥ sukṛtāccyutaḥ // MAnuv_3,3.108 //	tatas na-apEti yaH saH api yAti-aGaH sukRtAt-cyutaH // Ma-anuv_3,3.108 //
   avajānanti māṃ mūḍhā mānuṣīṃ tanumāśritam /	avajAnanti mAm mUXAH mAnuzIm tanum-ASritam /
   paraṃ bhāvamajānanto mama bhūtamaheśvaram // MAnuv_3,3.109 //	param BAvam-ajAnantaH mama BUta-maheSvaram // Ma-anuv_3,3.109 //
   moghāśā moghakarmāṇo moghajñānā vicetasaḥ /	moGa-ASAH moGa-karmANaH moGa-jQAnAH vicetasaH /
   rākṣasīmāsurīṃ caiva prakṛtiṃ mohanīṃ śritāḥ // MAnuv_3,3.110 //	rAkzasIm-AsurIm ca-eva prakRtim mohanIm SritAH // Ma-anuv_3,3.110 //
   māmātmaparadeheṣu pradviṣanto 'bhyasūyakāḥ /	mAm-Atma-para-dehezu pradvizantaH aByasUyakAH /
   tānahaṃ dviṣataḥ krūrān saṃsāreṣu narādhamān /	tAn-aham dvizataH krUrAn saMsArezu nara-aDamAn /
   kṣipāmyajasramaśubhānāsurīṣveva yoniṣu // MAnuv_3,3.111 //	kzipAmi-ajasram-aSuBAn-AsurIzu-eva yonizu // Ma-anuv_3,3.111 //
   āsurīṃ yonimāpannā mūḍhā janmani janmani /	AsurIm yonim-ApannAH mUXAH janmani janmani /
   māmaprāpyaiva kaunteya tato yāntyadhamāṃ gatim // MAnuv_3,3.112 //	mAm-aprApya-eva kOnteya tatas yAnti-aDamAm gatim // Ma-anuv_3,3.112 //
   yo dviṣṭād vibudhaśreṣṭhaṃ devaṃ nārāyaṇaṃ prabhum /	yaH dvizwAt vibuDa-SrezWam devam nArAyaNam praBum /
   kathaṃ sa na bhaved dveṣya ālokāntasya kasyacit // MAnuv_3,3.113 //	kaTam sa na Bavet dvezyaH Aloka-antasya kasyacid // Ma-anuv_3,3.113 //
   yo dviṣṭād vibudhaśreṣṭhaṃ devaṃ nārāyaṇaṃ prabhum /	yaH dvizwAt vibuDa-SrezWam devam nArAyaNam praBum /
   majjanti pitarastasya narake śāśvatīḥ samāḥ /	majjanti pitaraH-tasya narake SASvatIH samAH /
   ityādivākyasandohād dveṣiṇastama eva tu // MAnuv_3,3.114 //	ityAdi-vAkya-sandohAt dveziNaH-tamaH eva tu // Ma-anuv_3,3.114 //
   naiva mokṣa iti prāhurlokāyatamate sthitāḥ /	na-eva mokzaH iti prAhuH-lokAyata-mate sTitAH /
   bhogaḥ śarīraparyantaṃ bhasmībhāvastato bhavet // MAnuv_3,3.115 //	BogaH SarIra-paryantam BasmIBAvaH-tatas Bavet // Ma-anuv_3,3.115 //
   iti tat kena mānena dṛṣṭaṃ pratyakṣavādinā /	iti tat kena mAnena dRzwam pratyakza-vAdinA /
   na hi pratyakṣamānena mokṣābhāvo 'vasīyate // MAnuv_3,3.116 //	na hi pratyakza-mAnena mokza-aBAvaH avasIyate // Ma-anuv_3,3.116 //
   ghaṭate muktidṛṣṭistu puruṣeṇa mahīyasā /	Gawate mukti-dRzwiH-tu puruzeNa mahIyasA /
   neti vakturmahattvaṃ tu kathañcana na vidyate // MAnuv_3,3.117 //	na-iti vaktuH-mahat-tvam tu kaTaQcana na vidyate // Ma-anuv_3,3.117 //
   sādhayan sarvasāmānyaṃ kathameva viśeṣavān /	sADayan sarva-sAmAnyam kaTam-eva viSezavAn /
   dṛśyante puruṣā loke parāvaravido 'pica // MAnuv_3,3.118 //	dRSyante puruzAH loke parAvara-vidaH api-ca // Ma-anuv_3,3.118 //
   aparokṣadṛśo yoganiṣṭhāścāmalacakṣuṣaḥ /	aparokza-dRSaH yoga-nizWAH-ca-amala-cakzuzaH /
   pratyakṣaṃ devatāṃ dṛṣṭvā tatprasādāptabhūtayaḥ // MAnuv_3,3.119 //	pratyakzam devatAm dRzwvA tad-prasAda-Apta-BUtayaH // Ma-anuv_3,3.119 //
   jñānavijñānapārajñā niṣiddhayante kathaṃ nṛbhiḥ /	jQAna-vijQAna-pAra-jQAH nizidDayante kaTam nRBiH /
   dṛśyate cātimāhātmyaṃ teṣāmatimahaujasām // MAnuv_3,3.120 //	dRSyate ca-ati-mAhAtmyam tezAm-ati-mahA-ojasAm // Ma-anuv_3,3.120 //
   yadi te 'pi niṣiddhayante kiṃ noktiste niṣiddhayate /	yadi te api nizidDayante kim na-uktiH-te nizidDayate /
   yaduktavākyaprāmāṇyaṃ pratyakṣeṇopalabhyate // MAnuv_3,3.121 //	yat-ukta-vAkya-prAmANyam pratyakzeNa-upalaByate // Ma-anuv_3,3.121 //
   varādayo 'pi taddattāḥ sadā satyā bhavanti hi /	vara-AdayaH api tad-dattAH sadA satyAH Bavanti hi /
   aprāmāṇyaṃ tadukteśca vṛthāvācāvasīyate // MAnuv_3,3.122 //	aprAmANyam tat-ukteH-ca vRTA-vAcA-vasIyate // Ma-anuv_3,3.122 //
   na hi prayojanaṃ kiñcit paralokanivāraṇāt /	na hi prayojanam kiQcid para-loka-nivAraNAt /
   vṛthāvācaṃ vṛthā hanyād yadi tasya kimuttaram /	vRTA-vAcam vRTA hanyAt yadi tasya kim-uttaram /
   svajīvanavirodhāya vadan kiṃ nāma buddhimān // MAnuv_3,3.123 //	sva-jIvana-viroDAya vadan kim nAma budDimAn // Ma-anuv_3,3.123 //
   prāmāṇye saṃśayaḥ kiṃ syāt tayoḥ puruṣayorapi /	prAmANye saMSayaH kim syAt tayoH puruzayoH-api /
   svajīvanaviruddhoktirajño dṛṣṭasya cāpi saḥ // MAnuv_3,3.124 //	sva-jIvana-virudDa-ukti-rajQaH dRzwasya ca-api saH // Ma-anuv_3,3.124 //
   yaścātīndriyadevoktiśrotā dṛṣṭaparāvaraḥ /	yaH-ca-atIndriya-deva-ukti-SrotAH dRzwa-parAvaraH /
   atītānāgataṃ sarvaṃ lokānubhavamāpayan /	atIta-anAgatam sarvam lokAnuBavam-Apayan /
   ataḥ pratyakṣagamyatvād vedamātvasya ca sphuṭam // MAnuv_3,3.125 //	atas pratyakza-gamya-tvAt vedamAtvasya ca sPuwam // Ma-anuv_3,3.125 //
   yadyāgamasya no mātvamakṣajasya tathā bhavet /	yadi-Agamasya naH mAtvam-akzajasya taTA Bavet /
   yadyakṣajasya mātvaṃ syādāgamasya kathaṃ na tat /	yadi-akza-jasya mAtvam syAt-Agamasya kaTam na tat /
   lokavākyād viśeṣaścāvyabhicāreṇa siddhayati // MAnuv_3,3.126 //	loka-vAkyAt viSezaH-ca-avyaBicAreNa sidDayati // Ma-anuv_3,3.126 //
   asti mokṣo 'pi dharmeṇa yathārthajñānato 'pi ca /	asti mokzaH api DarmeNa yaTA-arTa-jQAnataH api ca /
   prāmāṇyamanumāyāśca jinasyāptatvasādhane // MAnuv_3,3.127 //	prAmANyam-anumAyAH-ca jinasya-Aptatva-sADane // Ma-anuv_3,3.127 //
   tadvākyād dharmasajjñānavijñaptirbhavatīti ca /	tad-vAkyAt Darma-sat-jQAna-vijQaptiH-Bavati-iti ca /
   dharmo 'hiṃsāparo nānyo jñānaṃ pudgaladarśanam // MAnuv_3,3.128 //	DarmaH ahiMsA-paraH na-anyaH jQAnam pudgala-darSanam // Ma-anuv_3,3.128 //
   iti jaināḥ kathaṃ tat syāt pramāṇamanumānataḥ /	iti jEnAH kaTam tat syAt pramANam-anumAnataH /
   viṣayān prati sthitaṃ hyakṣaṃ pratyakṣamiti gīyate /	vizayAn prati sTitam hi-akzam pratyakzam-iti gIyate /
   pratyakṣaśabdānusārādanumeti prakītirtā // MAnuv_3,3.129 //	pratyakza-Sabda-anusArAt-anumA-iti prakItiH-tAH // Ma-anuv_3,3.129 //
   ā samantād gamayati dharmādharmau paraṃ padam /	A samantAt gamayati Darma-aDarmO param padam /
   yaccāpyatīndriyaṃ tvanyat tenāsāvāgamaḥ smṛtaḥ // MAnuv_3,3.130 //	yat-ca-api-atIndriyam tu-anyat tena-asO=-AgamaH smRtaH // Ma-anuv_3,3.130 //
   etena kāreṇenaiva tattanmānatvamiṣyate /	etena kAreNena-eva tat-tad-mAna-tvam-izyate /
   svarūpaṃ hi tadeteṣāmanyathāsiddhimānataḥ // MAnuv_3,3.131 //	svarUpam hi tat-etezAm-anyaTA-sidDi-mAnataH // Ma-anuv_3,3.131 //
   ato 'numā kathaṃ dharmaṃ pudgalaṃ cāpi darśayet /	atas anumA kaTam Darmam pudgalam ca-api darSayet /
   svarūpaṃ pudgalasyoktā doṣā ānandameva ca /	svarUpam pudgalasya-uktAH dozAH Anandam-eva ca /
