   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   muhuraviśadavarṇāṃ nidrayā śūnyaśūnyāṃ dadadapi giramantarbuddhyate no	muhur a viSada varNAm nidrayA SUnya SUnyAm dadat api giram antar budDyate no
   manuṣyaḥ  // MSpv_11.4 //	manuzyaH  // MSpu _11.4 //
   vipulataranitambābhogaruddhe ramaṇyāḥ śayitumanadhigacchañjīviteśo	vipulatara nitamba ABoga rudDe ramaNyAH Sayitum anaDigacCan jIvita ISaH 
   'vakāśam  /	avakASam  /
   ratiparicayanaśyannaindratandraḥ kathañcid gamayati śayanīye śarvarī kiṃ	rati paricayana Syan= Endra tandraH kaTaQcid gamayati SayanIye SarvarI kim
   karotu  // MSpv_11.5 //	karotu  // MSpu _11.5 //
   kṣaṇaśayitavibuddhāḥ kalpayantaḥ prayogān udadhimahati rājye	kzaNa Sayita vibudDAH kalpayantaH prayogAn udaDi mahati rAjye
   kāvyavaddurvigāhe  /	kAvya vat durvigAhe  /
   gahanamapararātraprāptabuddhiprasādāḥ kavaya iva	gahanam apararAtra prApta budDi prasAdAH kavayaH iva
   mahīpāścintayantyarthajātam  // MSpv_11.6 //	mahIpAH cintayanti arTa jAtam  // MSpu _11.6 //
   kṣititaṭaśayanāntādutthitaṃ dānapaṅgaplutabahulaśarīraṃ śāyayatyeṣa	kziti tawa Sayana antAt utTitam dAna paFga pluta bahula SarIram SAyayati eza
   bhūyaḥ  /	BUyas  /
   mṛducaladaparāntodīritāndūninādaṃ gajapatimadhirohaḥ pakṣakavyatyayena  //	mRdu calat a parAnta udIrita an dUni nAdam gaja patim aDirohaH pakzaka vyatyayena  //
   MSpv_11.7 //	MSpu _11.7 //
   drutatarakaradakṣāḥ kṣiptavaiśakhaśaile dadhati dadhani	drutatara kara dakzAH kzipta vESaKa SEle daDati daDani
   dhīrānāravānvāriṇīva  /	DIrA nAravAn vAriNI iva  /
   śaśinamiva suraughāḥsāramuddhartumete kalaśimudadhigurvī vallavā	SaSinam iva sura oGAH sAram udDartum ete kala Sim udaDi gurvI vallavA
   loḍayanti  // MSpv_11.8 //	loxayanti  // MSpu _11.8 //
   anunayamagṛhītvā vyājasuptā parācī rutamatha kṛkavākostāramākarṇya	anunayam agRhItvA vyAja suptA parAcI rutam aTa kRkavAkoH tAram AkarNya
   kalpe  /	kalpe  /
   kathamapi parivṛttā nidrayāndhā kila strī mukulitanayanaivā śiliṣyati	kaTam api parivRttA nidrayA anDA kila strI mukulita nayana evA Silizyati
   prāṇanātham  // MSpv_11.9 //	prANanATam  // MSpu _11.9 //
   gatamanugatavīṇairekatāṃ veṇunādaiḥ kalamavikalatālaṃ	gatam anugata vINEH ekatAm veNu nAdEH kalama vikala tAlam
   gāyakairbodhahetoḥ  /	gAyakEH boDa hetoH  /
   asakṛdanavagītaṃ gītamākarṇayantaḥ sukhamukulitanetrā yānti nidrāṃ	asakRt anavagItam gItam AkarNayantaH suKa mukulita netrAH yAnti nidrAm
   narendrāḥ  // MSpv_11.10 //	narendrAH  // MSpu _11.10 //
   pariśithilitakarṇagrīvamāmīlitākṣaḥ kṣaṇamayamanubhūya	pariSiTilita karNa grIvam AmIlita akzaH kzaNa mayam anuBUya
   svapnamūrdhvajñureva  /	svapnam UrDvajQuH eva  /
   rirasayiṣati bhūyaḥ śaṣpamagre vikīrṇaṃ paṭutaracapalauṣṭhaḥ	rirasayizati BUyas Sazpam agre vikIrNam pawutara capala ozWaH
   prasphuratprothamaśvaḥ  // MSpv_11.11 //	prasPurat proTam aSvaH  // MSpu _11.11 //
   udayamuditadīptiryāti yaḥ saṃgatau me patati na varaminduḥ so 'parāmeṣa	udayam udita dIptiH yAti yaH saMgatO me patati na varam induH saH aparAm eza
   gatvā  /	gatvA  /
   smitaruciriva sadyaḥ sābhyasūyaṃ prabheti sphurati viśadameṣā	smita ruciH iva sadyas sa aByasUyam praBA iti sPurati viSadam ezA
   pūrvakāṣṭhāṅganāyāḥ  // MSpv_11.12 //	pUrva kAzWa aFganAyAH  // MSpu _11.12 //
   ciraratiparikheda prāptanidrāsukhānāṃ caramamapi śayitvā pūrvameva	cira rati pariKeda prApta nidrA suKAnAm caramam api SayitvA pUrvam eva
   prabuddhāḥ  /	prabudDAH  /
   aparicalitagātrāḥ kurvatena priyāṇāmaśithilabhujacakrāśleṣabhedaṃ	aparicalita gAtrAH kurvatena priyANAm aSiTila Buja cakra ASleza Bedam
   taruṇyaḥ  // MSpv_11.13 //	taruNyaH  // MSpu _11.13 //
   kṛtadhavalimabhedaiḥ kuṅkumeneva	kRtaDavalima BedEH kuFkumena iva
   kiñcinmalayaruharajobhirbhūṣayanpaścimāśām  /	kiQcid malaya ruha rajoBiH BUzayan paScima ASAm  /
   himaruciraruṇimnā rājate	hima ruciH aruNimnA rAjate
   rajyamānairjaraṭhakamalakandacchedagaurairmayūkhaiḥ  // MSpv_11.14 //	rajyamAnEH jaraWa kamala kanda= Ceda gOrEH mayUKEH  // MSpu _11.14 //
   dadhadasakalamekaṃ khaṇḍitāmānamadbhiḥ śriyamaparamapūrṇāmucchvasadbhiḥ	daDadasakalam ekam KaNxitAmAnam adBiH Sriyam aparama pUrNAm ucCvasadBiH
   palāśaiḥ  /	palASEH  /
   kalaravamupagīte ṣaṭpadaughena dhattaḥ kumudakamala ṣaṇḍe	kalara vam upagIte zawpada oGena DattaH kumuda kamala zaNxe
   tulyarūpāmavasthām  // MSpv_11.15 //	tulya rUpAm avasTAm  // MSpu _11.15 //
   madarucimaruṇenodgacchatā lambhitasya tyajata iva cirāya sthāyinīmāśu	mada rucim aruNena udgacCatA lamBitasya tyajataH iva cirAya sTAyinIm ASu
   lajjām  /	lajjAm  /
   vasanamiva mukhasya sraṃsate saṃpratīdaṃ sitakarakarajālaṃ	vasanam iva muKasya sraMsate saMprati idam sita kara kara jAlam
   vāsavāśāyuvatyāḥ  // MSpv_11.16 //	vAsava ASA AyuvatyAH  // MSpu _11.16 //
   avirataratalīlāyāḥsajātaśramāṇām upaśamamupayāntaṃ niḥsahe 'ṅge	avirata ra ta lIlAyAH sa jAta SramANAm upaSamam upayAntam niHsahe aFge
   'ṅganānām  /	aFganAnAm  /
   punaruṣasi viviktaimarmātariśvāvacūrṇya jvalayati madanāgniṃ mālatīnāṃ	punar uzasi viviktEmarma Atari SvA avacUrNya jvalayati madana agnim mAlatInAm
   rajobhiḥ  // MSpv_11.17 //	rajoBiH  // MSpu _11.17 //
   animiṣamavirāmā rāgiṇāṃ sarvarātraṃ navanidhuvanalīlāḥ	animizam avirAmAH rAgiNAm sarva rAtram nava niDuvana lIlAH
   kautukenātivīkṣya  /	kOtukena ativIkzya  /
   idamudavasitānāmasphuṭālokasaṃpannayanamiva sanidraṃ ghūrṇate	idam udavasitAnAm asPuwa Aloka saMpad nayanam iva sa nidram GUrNate
   daipamarciḥ  // MSpv_11.18 //	dEpam arciH  // MSpu _11.18 //
   vikacakamalagandhairandhayanbhṛṅgamālāḥ surabhitamakarandaṃ mandamāvāti	vikaca kamala ganDEH anDayan BRFga mAlAH suraBitamakarandam mandam AvAti
   vātaḥ  /	vAtaH  /
   pramadanamadanamādyadyauvanoddāmarāmāramaṇarabhasakhedasvedavicchedadakṣaḥ  //	pramadana mada nam Adyat yOvana udda amarAmA ra maNa raBasa Keda sveda vicCeda dakzaH  //
   MSpv_11.19 //	MSpu _11.19 //
   lulitanayanatārāḥ kṣāmavaktrendubimbā rajanaya iva	lulita nayana tArAH kzAma vaktra indu bimbAH rajanayaH iva
   nindrāklāntanīlotpalākṣyaḥ  /	nindra aklAnta nIlotpala akzyaH  /
   timiramiva dadhānāḥ sraṃsinaḥ keśapāśān avanipatigṛhebhyo	timiram iva daDAnAH sraMsinaH keSa pASAn avanipati gRheByaH 
   yāntyamūrvāravadhvaḥ  // MSpv_11.20 //	yAnti amUrvA ravaDvaH  // MSpu _11.20 //
   śiśirakiraṇakāntaṃ vāsarānte 'bhisārya śvasanasurabhigandhiḥ sāmprataṃ	SiSira kiraNa kAntam vAsara ante aBisArya Svasana suraBi ganDiH sAmpratam
   satvareva  /	satvareva  /
   vrajati rajanireṣā tanmayūkhāṅgarāgaiḥ parimalitamanindyairambarāntaṃ	vrajati rajaniH ezA tad mayUKa aFga rAgEH parimalitam anindyEH ambara antam
   vahantī  // MSpv_11.21 //	vahantI  // MSpu _11.21 //
   navakumudavanaśrīhāsakeliprasaṅgād adhikaruciraśeṣāmapyuṣāṃ jāgaritvā  /	nava kumuda vana SrIhAsa keli prasaFgAt aDika rucira SezAm api uzAm jAgaritvA  /
   ayamaparadiśo 'ṅge muñcati srastahastaḥ śiśayiṣurapi pāṇḍuṃ	ayam apara diSaH aFge muQcati srasta hastaH SiSayizuH api pANxum
   mlānamātmānaminduḥ  // MSpv_11.22 //	mlAnam AtmAnam induH  // MSpu _11.22 //
   sarabhasaparirambhārambhasaṃrambhabhājā yadadhiniśamapāstaṃ	saraBasa pariramBa AramBa saMramBa BAjA yat aDiniSama pAstam
   vallabhenāṅganāyāḥ  /	vallaBena aFganAyAH  /
   vasanamapi niśānte neṣyate tatpradātu	vasanam api niSA ante na izyate tad pradAtu
   rathacaraṇaviśālaśreṇilolekṣaṇena  // MSpv_11.23 //	raTa caraNa viSAla SreNi lola IkzaNena  // MSpu _11.23 //
   sapadi kumudinībhirmīlitaṃ hā kṣapāpi kṣayamagamadapetāstārakāstāḥ	sapadi kumudinIBiH mIlitam hA kzapA api kzayam agamat apetAH tArakAH tAH
   samastāḥ  /	samastAH  /
   iti dayitakalatraścintayannaṅgamindur vahati kṛśamaśeṣaṃ bhraṣṭaśobhaṃ	iti dayita kalatraH cintayan= aFgam induH vahati kRSam aSezam Brazwa SoBam
   śuceva  // MSpv_11.24 //	SucA iva  // MSpu _11.24 //
   vrajativiṣayamakṣṇāmaṃśumālī na yāvat timiramakhilamastaṃ	vrajati vizayam akzNAm aMSumAlI na yAvat timiram aKilam astam
   tāvadevāruṇena  /	tAvat eva aruNena  /
   paraparibhavi tejastanvatāmāśu kartuṃ prabhavati hi vipakṣocchedamagresaro	para pariBavi tejaH tanvatAm ASu kartum praBavati hi vipakza ucCedam agresaraH 
   'pi  // MSpv_11.25 //	api  // MSpu _11.25 //
   vigatatimirapaṅgaṃ paśyati vyoma yāvad dhuvati virahakhinnaḥ pakṣatī	vigata timira paFgam paSyati vyoma yAvat Duvati viraha KinnaH pakzatI
   yāvadeva  /	yAvat eva  /
   rathacaraṇasamāhvastāvadautsukyanunnā saridaparataṭāntādāgatā	raTa caraNa samAhvastAvat OtsukI a nunnA sarit apara tawa antAt AgatA
   cakravākī  // MSpv_11.26 //	cakravAkI  // MSpu _11.26 //
   muditayuvamanaskāstulyameva pradoṣe rucamadadhurubhayyaḥ kalpitā	mudita yuva manaskAH tulyam eva pradoze ruca mada Duru BayyaH kalpitA
   bhūṣitāśca  /	BUzitAH ca  /
   parimalarucirābhirnyakkṛtāstu prabhāte yuvatibhirupabhogānnīrucaḥ	parimala rucirABiH nyakkRtAH tu praBAte yuvatiBiH upaBogAn nIrucaH
   puṣpamālāḥ   // MSpv_11.27 //	puzpa mAlAH   // MSpu _11.27 //
   vilulitakamalaughaḥ kīrṇavallīvitānaḥ	vilulita kamala oGaH kIrNa vallI vitAnaH
   prativanamavadhūtāśeṣaśākhiprasūnaḥ  /	prativanam avaDUta aSeza SAKi prasUnaH  /
   kvacidayamanavasthaḥ sthāsnutāmeti	kvacid ayam anavasTaH sTAsnu tAm eti
   vāyurvadhukusumavimardedgandhiveśmāntareṣu  // MSpv_11.28 //	vAyuH vaDu kusuma vimardet ganDi veSma antarezu  // MSpu _11.28 //
   nakhapadavalinābhīsandhibhāgeṣu lakṣyaḥ kṣatiṣu ca daśanānāmaṅganāyāḥ	naKa pada valinABI sanDi BAgezu lakzyaH kzatizu ca daSanAnAm aFganAyAH
   saśeṣaḥ  /	sa SezaH  /
   api rahasi kṛtānāṃ vāgvihīno 'pijātaḥ suratavilasitānāṃ varṇako varṇako	api rahasi kRtAnAm vAc vihInaH api jAtaH surata vilasitAnAm varNakaH varNakaH 
   'sau  // MSpv_11.29 //	asO  // MSpu _11.29 //
   prakaṭamalinalakṣmā mṛṣṭapatrāvalīkair adhigataratiśobhaiḥ pratyuṣaḥ	prakawa malina lakzmA mRzwa patra AvalIkEH aDigata rati SoBEH pratyuzaH
   proṣitaśrīḥ  /	prozita SrIH  /
   upahasita ivāsau cāndramāḥ kāminīnāṃ	upahasitaH iva asO cAndramAH kAminInAm
   pariṇataśarakāṇḍāpāṇḍubhirgaṇḍabhāgaiḥ  // MSpv_11.30 //	pariNata Sara kANxa ApANxuBiH gaNxa BAgEH  // MSpu _11.30 //
   sakalamapi nikāmaṃ	sakalam api nikAmam
   kāmalolānyanārīratirabhasavimardairbhinnavatyaṅgarāge  /	kAma lolAni anArI rati raBasa vimardEH Binnavati aFga rAge  /
   idamatimahadevāścaryamāścaryadhāmnastava khalu mukharāgo yanna bhedaṃ	idam atimahat eva AScaryam AScarya DAmnaH tava Kalu muKa rAgaH yat na Bedam
   prayātaḥ  // MSpv_11.31 //	prayAtaH  // MSpu _11.31 //
   prakaṭataramimaṃ mā drākṣuranyā ramaṇyaḥ sphuṭamiti saviśaṅgaṃ kāntayā	prakawataram imam mA drAkzuH anyA ramaNyaH sPuwam iti sa viSaFgam kAntayA
   tulyavarṇaḥ  /	tulya varNaH  /
   caraṇatalasarojākrāntisaṃkrāntayāsau vapuṣi nakhavilekho lākṣayā	caraNa tala saroja AkrAnti saMkrAntayA asO vapuzi naKa vileKaH lAkzayA
   rakṣitaste  // MSpv_11.32 //	rakzitaH te  // MSpu _11.32 //
   tadavitathamavādīryanmama tvaṃ priyajanaparibhuktaṃ yaddukūlaṃ dadhānaḥ  /	tat avitaTam avAdIryan mama tvam priya jana pariBuktam yat dukUlam daDAnaH  /
   madadhivasatimāgāḥkāmināṃ maṇḍanaśrīrvrajati hi saphalatvaṃ	mad aDivasati mAgAH kAminAm maNxana SrIH vrajati hi saPala tvam
   vallabhālokanena  // MSpv_11.33 //	vallaBa Alokanena  // MSpu _11.33 //
   navanakhapadamaṅgaṃ gopayasyaṃśukena sthagayasi punaroṣṭhaṃ pāṇinā	nava naKa padam aFgam go payasi aMSukena sTagayasi punar ozWam pANinA
   dantadaṣṭam  /	dantadazwam  /
   pratidiśamaparastrīsaṅgaśaṃsī visarpannavaparimalagandhaḥ kena śakyo	pratidiSam apara strI saFgaSaMsI visarpat navaparimala ganDaH kena SakyaH 
   varītum  // MSpv_11.34 //	varItum  // MSpu _11.34 //
   itikṛtavacanāyāḥ kaścidabhetya bibhyadgalitanayanavāreryāti pādāvanāmam  /	iti kRta vacanAyAH kaScid aBetya biByat galita nayana vAreH yAti pAda avanAmam  /
   karuṇamapi samarthaṃ mānināṃ mānabhede ruditamuditamastraṃ yoṣitāṃ	karuNam api samarTam mAninAm mAna Bede ruditam uditam astram yozitAm
   vigraheṣu  // MSpv_11.35 //	vigrahezu  // MSpu _11.35 //
   madanamadanavikāsaspaṣṭadhārṣṭyedayānāṃ	madana madana vikAsa spazwa DArzwyedayAnAm
   ratikalahavikīrṇairbhūṣaṇairarciteṣu  /	rati kalaha vikIrNEH BUzaNEH arcitezu  /
   vidadhati na gṛheṣūtphullapuṣpopahāraṃ viphalavinayayatnāḥ kāminīnāṃ	vidaDati na gRhezu utPulla puzpa upahAram viPala vinaya yatnAH kAminInAm
   vayasyāḥ  // MSpv_11.36 //	vayasyAH  // MSpu _11.36 //
   karajadaśanacihnaṃ niśamaṅge 'nyanārījanitamiti saroṣamīrṣyayā	karaja daSana cihnam niSam aFge anya nArI janitam iti sa rozam IrzyayA
   śaṅkamānām  /	SaFkamAnAm  /
   smarasi na khalu dattaṃ mattayaitattvayaiva striyamanunayatītthaṃ	smarasi na Kalu dattam mattaya etat tvayA eva striyam anunayati itTam
   vrīḍamānāṃ vilāsī  // MSpv_11.37 //	vrIxamAnAm vilAsI  // MSpu _11.37 //
   kṛtagurutarahāracchedamāliṅgya patyau pariśithilitagātre	kRta gurutara hAra= Cedam AliFgya patyO pariSiTilita gAtre
   gantumāpṛcchamāne  /	gantum ApRcCamAne  /
   vigalitanavamuktāsthūlabhāṣpāmbubindu stanayugamabalāyāstatkṣaṇaṃ	vigalita nava muktA sTUla BAzpa ambu bindu stana yugam abalAyAH tad kzaNam
   roditīva  // MSpv_11.38 //	roditi iva  // MSpu _11.38 //
   bahujagadapurastāttasya mattā kilāhaṃ cakara ca kila cāṭu	bahu jagat apurastAt tasya mattA kila aham cakara ca kila cAwu
   prauḍhayoṣidvadasya  /	prOXa yozit vadasya  /
   viditamiti sakhībhyo rātrivṛttaṃ vicintya vyapagatamadayāhni vrīḍitaṃ	viditam iti saKIByaH rAtri vRttam vicintya vyapagatam adayA ahni vrIxitam
   mugdhavadhvā  // MSpv_11.39 //	mugDa vaDvA  // MSpu _11.39 //
   aruṇajalajarājīmugdhahastāgrapādā bahulamadhupamālākajjalendīvarākṣī  /	aruNa jalaja rAjI mugDa hasta agra pAdA bahula maDupamAlA kajjala indIvara akzI  /
   anupatati virāvaiḥ patriṇāṃ vyāharantī rajanimacirajātā pūrvasandhyā	anupatati virAvEH patriNAm vyAharantI rajanim acira jAtA pUrva sanDyA
   suteva  // MSpv_11.40 //	sutA iva  // MSpu _11.40 //
   pratiśaraṇamaśīrṇajyotiragnyāhitānāṃ vidhivihitaviribdhaiḥ	pratiSaraNam aSIrNa jyotiH agni AhitAnAm viDi vihita viribDEH
   sāmidhenīradhītya  /	sAmiDenIH aDItya  /
   kṛtaguruduritaughadhvaṃsamadhvaryuvaryair hutamayamupalīḍhe sādhu	kRta guru durita oGa DvaMsam aDvaryu varyEH hutamayam upalIXe sADu
   sāmnāyyamagniḥ  // MSpv_11.41 //	sAmnAyyam agniH  // MSpu _11.41 //
   prakṛtajapavidhīnāmāsyamudraśmidantaṃ	prakRta japa viDInAm Asya mudraSmidantam
   muhurapihitamoṣṭhyairakṣarairlakṣyamanyaiḥ  /	muhur apihitam ozWyEH akzarEH lakzyam anyEH  /
   anukṛtimanuvelaṃ ghaṭṭitodghaṭṭitasya vrajati niyamabhājāṃ	anukRtim anuvelam Gawwita udGawwitasya vrajati niyama BAjAm
   mugdhamuktāpuṭasya  // MSpv_11.42 //	mugDa muktA puwasya  // MSpu _11.42 //
   navakanakapiśaṅgaṃ vāsarāṇāṃ vidhātuḥ kakubhi kuliśapāṇerbhāti bhāsāṃ	nava kanaka piSaFgam vAsarANAm viDAtuH kakuBi kuliSa pANeH BAti BAsAm
   vitānam  /	vitAnam  /
   janitabhuvanadāhārambhamambhāṃsi dagdhvā jvalitamiva	janita Buvana dAha AramBam amBAMsi dagDvA jvalitam iva
   mahābdherūrdhvamaurvānalārciḥ  // MSpv_11.43 //	mahA abDeH UrDvam OrvA anala arciH  // MSpu _11.43 //
   vitatapṛthuvaratrātulyarūpairmayūkhaiḥ kalaśa iva	vitata pRTu varatrAtulya rUpEH mayUKEH kalaSaH iva
   garīyāndigbhirākṛṣyamāṇaḥ  /	garIyAn digBiH AkRzyamANaH  /
   kṛtacapalavihaṅgālāpakolāhalābhir jalanidhijalamadhyādeṣa	kRta capala vihaFga AlApa kolAhalABiH jalaniDi jala maDyAt eza
   uttāryater'kaḥ  // MSpv_11.44 //	uttAryater akaH  // MSpu _11.44 //
   payasi salilarāśernaktamantarnimagnaḥ sphuṭamaniśamatāpi jvālayā	payasi salila rASeH naktam antar nimagnaH sPuwam aniSamatA api jvAlayA
   bāḍavāgneḥ  /	bAxava agneH  /
   yadayamidamidānīmaṅgamudyandadhāti jvalitakhadirakāṣṭhāṅgāragauraṃ	yat ayam idam idAnIm aFgam udyandaDAti jvalita Kadira kAzWa aFgAra gOram
   vivasvān  // MSpv_11.45 //	vivasvAn  // MSpu _11.45 //
   atuhinarucināsau kevalaṃ nodayādriḥ kṣaṇamuparigatena kṣmābhṛtaḥ sarva	atuhina rucinA asO kevalam na udaya adriH kzaNam upari gatena kzmABRtaH sarva
   eva  /	eva  /
   navakaranikareṇa spaṣṭabandhūkasūnastabakaracitamete śekharaṃ	nava kara nikareNa spazwa banDUka sUna stabakara citam ete SeKaram
   bibhratīva  // MSpv_11.46 //	biBrati iva  // MSpu _11.46 //
   udayaśikhariśṛṅgaprāṅgaṇeṣveva riṅgan sakamalamukhahāsaṃ vīkṣitaḥ	udaya SiKari SRFga prAFgaNezu eva riFgan sa kamala muKa hAsam vIkzitaH
   padminībhiḥ  /	padminIBiH  /
   vitatamṛdukarāgraḥ śabdayantyā vayobhiḥ paripatati divo 'ṅgake helayā	vitata mRdu kara agraH SabdayantyA vayoBiH paripatati divaH aFgake helayA
   bālasūryaḥ  // MSpv_11.47 //	bAla sUryaH  // MSpu _11.47 //
   kṣaṇamayamupaviṣṭaḥ kṣmātalanyastapādaḥ praṇatiparamavekṣya prītamahnāya	kzaNa mayam upavizwaH kzmA tala nI asta pAdaH praNati param avekzya prIta mahnAya
   lokam  /	lokam  /
   bhuvanatalamaśeṣaṃ pratyavekṣiṣyamāṇaḥ kṣitidharapīṭhādutthitaḥ	Buvana talam aSezam pratyavekzizyamANaH kzitiDara pIWAt utTitaH
   saptasaptiḥ  // MSpv_11.48 //	sapta saptiH  // MSpu _11.48 //
   pariṇatamadirābhaṃ bhāskareṇoṃśubāṇais timirakarighaṭāyāḥ sarvadikṣu	pariNata madirA ABam BAskareNa uMSu bANEH timira kari GawAyAH sarva dikzu
   kṣatāyāḥ  /	kzatAyAH  /
   rudhiramiva vahantyo bhānti bālātapenacchuritamubhayarodhovāritaṃ vāri	ruDiram iva vahantyaH BAnti bAla Atapena= Curitam uBaya roDaH vAritam vAri
   nadyaḥ  // MSpv_11.49 //	nadyaH  // MSpu _11.49 //
   dadhatiparipatantyo jālavātāyanebhyas taruṇatapanabhāso	daDati paripatantyaH jAla vAtAyaneByaH taruNa tapana BAso
   mandirābhyantareṣu  /	mandira aByantarezu  /
   praṇayiṣu vanitānāṃ prātaricchatsu gantuṃ	praNayizu vanitAnAm prAtar icCatsu gantum
   kupitamadanamuktottaptanārācalīlām  // MSpv_11.50 //	kupita madana muktA uttapta nArAca lIlAm  // MSpu _11.50 //
   adhirajani vadhūbhiḥ pītamaireyariktaṃ kanakacaṣakametadrocanālohitena  /	aDirajani vaDUBiH pItam Ereya riktam kanaka cazakam etat rocana Alohitena  /
   udayadahimarocirjyotiṣākrāntamantarmadhuna iva tathaivāpūrṇamadyāpi	udayat ahim arociH jyotiza AkrAntam antar maDunaH iva taTA eva ApUrNam adya api
   bhāti  // MSpv_11.51 //	BAti  // MSpu _11.51 //
   sitaruciśayanīye naktamekāntamuktaṃ	sita ruci SayanIye naktam ekAntam uktam
   dinakarakarasaṅgavyaktakausumbhakānti  /	dinakara kara saFga vyakta kOsumBa kAnti  /
   nijamiti ratibandhorjānatīmuttarīyaṃ parihasati sakhī strīmādadānāṃ	nijam iti ratibanDoH jAnatIm uttarIyam parihasati saKI strIm AdadAnAm
   dinādau  // MSpv_11.52 //	dina AdO  // MSpu _11.52 //
   plutamiva śiśirāṃśoraṃśubhiryanniśāsu	plutam iva SiSira aMSoH aMSuBiH yat niSAsu
   sphaṭikamayarājadrājatādristhalābham  /	sPawika maya rAjat rAjata adri sTa lABam  /
   aruṇitamakaṭhorairveśma kāśmīrajāmbhaḥsnapitamiva tadetadbhānubhirbhāti	aruNitam akaWorEH veSma kASmIraja amBaH snapitam iva tat etat BAnuBiH BAti
   bhānoḥ  // MSpv_11.53 //	BAnoH  // MSpu _11.53 //
   sarasanakhapadāntardaṣṭakeśapramokaṃ praṇayini vidadhāne	sarasa naKa pada antar dazwa keSa pramokam praNayini vidaDAne
   yoṣitāmullasantyaḥ  /	yozitAm ulla santyaH  /
   vidadhati daśanānāṃ sītkṛtāviṣkṛtānām abhinavaravibhāsaḥ	vidaDati daSanAnAm sItkRta AvizkRtAnAm aBinavara viBAsaH
   padmarāgānukāram  // MSpv_11.54 //	padmarAga anukAram  // MSpu _11.54 //
   aviratadayitāṅgāsaṅgasañcaritena churitamabhinavāsṛkkāntinā kuṅkumena  /	avirata dayita aFga AsaFga saQcaritena Curitam aBinava asRk kAntinA kuFkumena  /
   kanakanikaṣarekhā komalaṃ kāminīnāṃ bhavati vapuravāptacchāyamevātape	kanaka nikaza reKA komalam kAminInAm Bavati vapuH avApta= CAyam eva Atape
   'pi  // MSpv_11.55 //	api  // MSpu _11.55 //
   sarasijavanakāntaṃ bibhradabhrāntavṛttiḥ karanayanasahasraṃ	sarasija vana kAntam biBrat aBra anta vRttiH kara nayana sahasram
   hetumālokaśakteḥ  /	hetum Aloka SakteH  /
   akhilamatimahimnā lokamākrāntavantaṃ haririva haridaśvaḥ sādhu vṛtraṃ	aKila mati mahimnA lokam AkrAntavantam hariH iva haridaSvaH sADu vRtram
   hinasti  // MSpv_11.56 //	hinasti  // MSpu _11.56 //
   avatamasabhidāyai bhāsvatāmyudgatena prasabhamuḍugaṇo 'sau darśanīyo	avatamasaBidAyE BAsvatAmi udgatena prasaBa muxu gaNaH asO darSanIyaH 
   'pyapāstaḥ  /	api apAstaH  /
   nirasitumarimicchorye tadīyāśrayeṇa śriyamadhigatavantaste 'pi	nirasitum arimicCoH ye tadIya ASrayeNa Sriyam aDigatavantaH te api
