   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   etasminnantare bhaṇḍaścaṇḍadurmatripaṇḍitaḥ // BndP_3,25.66 //	etasmin= antare BaNxaH caNxa durmatri paNxitaH // Bndu _3,25.66 //
   daśākṣauhiṇikāyuktaṃ kuṭilākṣaṃ mahaujasam /	daSa akzOhiNikA yuktam kuwila akzam mahA ojasam /
   lalitāsainyanāśāya yuddhāya prajighāya saḥ // BndP_3,25.67 //	lalitA sEnya nASAya yudDAya prajiGAya saH // Bndu _3,25.67 //
   yathā paścātkalakalaṃ śrutvāgrevartinī camūḥ /	yaTA paScAt kalakalam SrutvA agrevartinI camUH /
   nāgacchati tathā cakre kuṭilākṣo mahāraṇam // BndP_3,25.68 //	na AgacCati taTA cakre kuwila akzaH mahA raNam // Bndu _3,25.68 //
   evaṃ cobhayato yuddhaṃ paścādagre tathābhavat /	evam ca uBayatas yudDam paScAt agre taTA Bavat /
   atyantatumulaṃ cāsīcchaktīnāṃ sainike mahat // BndP_3,25.69 //	atyanta tumulam ca AsIt SaktInAm sEnike mahat // Bndu _3,25.69 //
   naktasattvāśca daityendrāstimireṇa samāvṛtāḥ /	nakta sattvAH ca dEtya indrAH timireNa samAvRtAH /
   itastataḥ śithilatāṃ kaṇṭake ninyuruddhatāḥ // BndP_3,25.70 //	itas tatas SiTila tAm kaNwake ninyuH udDatAH // Bndu _3,25.70 //
   niṣaṅgeṇa durāśena dhamanādyaiścamūvaraiḥ /	nizaFgeNa durASena Damana AdyEH camU varEH /
   camūbhiśca praṇahitā nyapatañchatrukoṭayaḥ // BndP_3,25.71 //	camUBiH ca praNahitAH nyapatan Satru kowayaH // Bndu _3,25.71 //
   tābhirdaityāstramālābhiścakrarājaratho vṛtaḥ /	tABiH dEtya astra mAlABiH cakrarAja raTaH vRtaH /
   bakāvalīnibiḍataḥ śailarāja ivābabhau // BndP_3,25.72 //	baka AvalI nibixataH SElarAjaH iva AbaBO // Bndu _3,25.72 //
   ākrāntaparvaṇādhastādviṣaṅgeṇa durātmanā /	AkrAnta parvaNa aDastAt vizaFgeNa durAtmanA /
   mukta ekaḥ śarodevyāstālavṛntamacūrṇayat // BndP_3,25.73 //	muktaH ekaH Sara udevyAH tAlavRntam acUrNayat // Bndu _3,25.73 //
   atha tenāvyāhitena saṃbhrānte śaktimaṇḍale /	aTa tena avyAhitena saMBrAnte Sakti maNxale /
   kāmeśvarīmukhā nityā mahāntaṃ krodhamāyayuḥ // BndP_3,25.74 //	kAmeSvarI muKAH nityAH mahAntam kroDam AyayuH // Bndu _3,25.74 //
   īṣadbhṛkuṭisaṃsaktaṃ śrīdevyā vadanāṃbujam /	Izat BRkuwi saMsaktam SrI devyAH vadana aMbujam /
   avalokya bhṛśodvignā nityā dadhuratiśramam // BndP_3,25.75 //	avalokya BRSa udvignAH nityAH daDuH ati Sramam // Bndu _3,25.75 //
   nityā kālasvarūpiṇyaḥ pratyekaṃ tithivigrahāḥ /	nityA kAla svarUpiNyaH pratyekam tiTi vigrahAH /
   krodhamudvīkṣya samnājñyā yuddhāya dadhurudyamam // BndP_3,25.76 //	kroDam udvIkzya samnAjQyAH yudDAya daDuH udyamam // Bndu _3,25.76 //
   praṇipatya ca tāṃ devīṃ mahārājñīṃ mahodayām /	praNipatya ca tAm devIm mahA rAjQIm mahA udayAm /
   ūcurvācamakāṇḍotthāṃ yuddhakautukagadgadām // BndP_3,25.77 //	UcuH vAcamakANxa utTAm yudDa kOtuka gadgadAm // Bndu _3,25.77 //
   tithinityā ucuḥ /	tiTi nityAH ucuH /
   devadevī mahārājñī tavāgre brekṣitāṃ camūm /	devadevI mahArAjQI tava agre brekzitAm camUm /
   daṇḍinīmantranāthādimahāśaktyābhapālitām // BndP_3,25.78 //	daNxinI mantra nATa Adi mahA Sakti ABa pAlitAm // Bndu _3,25.78 //
   dharṣitu kātarā duṣṭā māyācchadmaparāyaṇāḥ /	Darzitu kAtarAH duzwAH mAyAcCadma parAyaNAH /
   pārṣṇigrāheṇa yuddhena bādhante rathapuṅgavam // BndP_3,25.79 //	pArzNigrAheNa yudDena bADante raTa puFgavam // Bndu _3,25.79 //
   tasmāttimirasaṃchannamūrtīnāṃ vibudhadruhām /	tasmAt timira saMCanna mUrtInAm vibuDa druhAm /
   śamayāmo vayaṃ darpaṃ kṣaṇamātraṃ vilokaya // BndP_3,25.80 //	SamayAmaH vayam darpam kzaNa mAtram vilokaya // Bndu _3,25.80 //
   yā vahnivāsinī nityā yā jvālāmālinī parā /	yA vahnivAsinI nityA yA jvAlA mAlinI parA /
   tābhyāṃ pradīpite yuddhe draṣṭuṃ śaktāḥ suradviṣaḥ // BndP_3,25.81 //	tAByAm pradIpite yudDe drazwum SaktAH suradvizaH // Bndu _3,25.81 //
   praśamayya mahādarpaṃ pārṣṇigrāhapravartinām /	praSamayya mahA darpam pArzNi grAha pravartinAm /
   sahasaivāgamiṣyāmaḥ sevituṃ śrīpadāṃbujam /	sahasA eva AgamizyAmaH sevitum SrIpada aMbujam /
   ājñāṃ dehi mahārājñi mardanārthaṃ durātmanām // BndP_3,25.82 //	AjQAm dehi mahA rAjQi mardana arTam durAtmanAm // Bndu _3,25.82 //
   ityukte sati nityābhistathāstviti jagāda sā /	iti ukte sati nityABiH taTA astu iti jagAda sA /
   atha kāmeśvarī nityā praṇamya laliteśvarīm /	aTa kAmeSvarI nityA praNamya laliteSvarIm /
   tayā saṃpreṣitā tābhiḥ kuṇḍalīkṛta kārmukā // BndP_3,25.83 //	tayA saMprezitA tABiH kuNxalIkRta kArmukAH // Bndu _3,25.83 //
   sā hantuṃ tāndurācārānkūṭayuddhakṛtakṣaṇān /	sA hantum tAn durAcArAn kUwa yudDa kRtakzaNAn /
   bālāruṇamiva krodhāruṇaṃ vaktraṃ vitanvatī // BndP_3,25.84 //	bAla aruNam iva kroDa aruNam vaktram vitanvatI // Bndu _3,25.84 //
   re re tiṣṭhata pāpiṣṭhā māyāniṣṭhāśchinadmi vaḥ /	re re tizWata pApizWAH mAyA nizWAH Cinadmi vaH /
   andhakāramanuprāpya kūṭayuddhaparāyaṇāḥ // BndP_3,25.85 //	anDakAram anuprApya kUwa yudDa parAyaNAH // Bndu _3,25.85 //
   iti tānbhartsayantī sā tūṇīrotkhātasāyakāt /	iti tAn BartsayantI sA tUNIra utKAta sAyakAt /
   parvāvarohaṇaṃ cakre krodhena praskhaladgatiḥ // BndP_3,25.86 //	parva avarohaNam cakre kroDena prasKalat gatiH // Bndu _3,25.86 //
   sajjakārmukahastāśca bhagamālāpuraḥsarāḥ /	sajja kArmuka hastAH ca Baga mAlA puraHsarAH /
   anyāśca caritā nityāḥ kṛta parvāvarohaṇāḥ // BndP_3,25.87 //	anyAH ca caritAH nityAH kRta parva avarohaNAH // Bndu _3,25.87 //
   jvālāmālini nityā ca yā nityā vahnivāsinī /	jvAlA mAlini nityA ca yA nityA vahni vAsinI /
   sajje yuddhe svatejobhiḥ samadīpayatāṃ raṇe // BndP_3,25.88 //	sajje yudDe sva tejoBiH samadIpayatAm raNe // Bndu _3,25.88 //
   atha te duṣṭadanujāḥ pradīpte yuddhamaṇḍale /	aTa te duzwa danujAH pradIpte yudDa maNxale /
   prakāśavapuṣastatra marāntaṃ krodhamāyayuḥ // BndP_3,25.89 //	prakASa vapuzaH tatra mara antam kroDam AyayuH // Bndu _3,25.89 //
   kāmeśvaryādikā nityāstāḥ pañcadaśa sāyudhāḥ /	kAmeSvaryAdikAH nityAH tAH paQcadaSa sa AyuDAH /
   sasiṃhanādāstāndaityānamṛdnanneva helayā // BndP_3,25.90 //	sa siMhanAdAH tAn dEtyAn amRdnan= eva helayA // Bndu _3,25.90 //
   mahākalakalastatra samabhūdyuddhasīmani /	mahAkalakalaH tatra samaBUt yudDa sImani /
   mandarakṣobhitāṃbhodivellatkallolamaṇḍalaḥ // BndP_3,25.91 //	mandara kzoBita aMBaH divellat kallola maNxalaH // Bndu _3,25.91 //
   tāśca nityāvalatkvāṇakaṅkaṇairyudhi pāṇibhiḥ /	tAH ca nitya Avalat kvANa kaFkaNEH yuDi pANiBiH /
   ākṛṣya prāmakodaṇḍāstenire yuddhamuddhatam // BndP_3,25.92 //	AkRzya prAma kodaNxAH tenire yudDam udDatam // Bndu _3,25.92 //
   yāmatritayaparyantamevaṃ yuddhamavarttata /	yAma tritaya paryantam evam yudDam avarttata /
   nityānāṃ niśitairbāṇairakṣauhiṇyaśca saṃhṛtāḥ // BndP_3,25.93 //	nityAnAm niSitEH bANEH akzOhiNyaH ca saMhRtAH // Bndu _3,25.93 //
   jaghāna damanaṃ duṣṭaṃ kāmeśī prathamaṃ śaraiḥ /	jaGAna damanam duzwam kAmeSI praTamam SarEH /
   dīrghajihvaṃ camūnāthaṃ bhagamālā vyadārat // BndP_3,25.94 //	dIrGa jihvam camU nATam Baga mAlA vyadArat // Bndu _3,25.94 //
   nityaklinnā ca bheruṇḍā humbekaṃ hulumallakam /	nitya klinnA ca BeruNxA humbekam hulumallakam /
   kaklasaṃ vahnivāsā ca nijaghāna śaraiḥ śataiḥ // BndP_3,25.95 //	kaklasam vahni vAsA ca nijaGAna SarEH SatEH // Bndu _3,25.95 //
   mahāvajreśvarī bāṇairabhinatkekivāhanam /	mahAvajra ISvarI bANEH aBinatkeki vAhanam /
   puklasaṃ śivadūtī ca prāhiṇodyamasādanam // BndP_3,25.96 //	puklasam SivadUtI ca prAhiNot yama sAdanam // Bndu _3,25.96 //
   puṇḍraketuṃ bhujoddaṇḍaṃ tvaritā samadārayat /	puNxra ketum Buja uddaNxam tvaritA samadArayat /
   kulasundarikā nityā caṇḍabāhuṃ ca kukkuram // BndP_3,25.97 //	kulasundarikA nityA caNxabAhum ca kukkuram // Bndu _3,25.97 //
   atha nilapatākā ca vijayā ca jayoddhate /	aTa nilapatAkA ca vijayA ca jaya udDate /
   jaṃbukākṣaṃ jṛṃbhaṇaṃ ca vyatanvātāṃ raṇe balim /	jaMbuka akzam jRMBaNam ca vyatanvAtAm raNe balim /
   sarvamaṅgalikā nityā tīkṣṇaśṛṅgamakhaṇḍayat /	sarvamaFgalikA nityA tIkzNaSRFgam aKaNxayat /
   jvālāmālinikā nityā jaghānograṃ trikarṇakam // BndP_3,25.98 //	jvAlA mAlinikA nityAH jaGAna ugram trikarNakam // Bndu _3,25.98 //
   candraguptaṃ ca duḥśīlaṃ citraṃ citrā vyadārat /	candraguptam ca duHSIlam citram citrA vyadArat /
   senānātheṣu sarveṣu nihateṣu durātmasu // BndP_3,25.99 //	senA nATezu sarvezu nihatezu durAtmasu // Bndu _3,25.99 //
   viṣaṅgaḥ paramaḥ kuddhaścacāla purato balī /	vizaFgaH paramaH kudDaH cacAla puratas balI /
   atha yāmāvaśeṣāyāṃ yāminyāṃ ghaṭikādvayam // BndP_3,25.100 //	aTa yAma avaSezAyAm yAminyAm GawikA dvayam // Bndu _3,25.100 //
   nityābhiḥ saha saṃgrāmaṃ vidhāya sa durāśayaḥ /	nityABiH saha saMgrAmam viDAya sa durASayaH /
   aśakyatvaṃ samuddiśya cakrāma prapalāyitum // BndP_3,25.101 //	aSakya tvam samuddiSya cakrAma prapalAyitum // Bndu _3,25.101 //
   kāmeśvarīkarākṛṣṭacāpotthaurniśitaiḥ śaraiḥ /	kAmeSvarI kara AkRzwa cApa utTOH niSitEH SarEH /
   bhinnavarmā dṛḍhataraṃ viṣaṅgo vihvalāśayaḥ /	Binna varmA dRXataram vizaFgaH vihvala ASayaH /
   hatāvaśiṣṭairyodhaiśca sārdhameva palāyitaḥ // BndP_3,25.102 //	hata avaSizwEH yoDEH ca sArDam eva palAyitaH // Bndu _3,25.102 //
   tābhirna nihato duṣṭo yasmādvadhyaḥ sa dānavaḥ /	tABiH na nihataH duzwaH yasmAt vaDyaH sa dAnavaH /
   daṇḍanāthāśareṇaiva kāladaṇḍasamatviṣā // BndP_3,25.103 //	daNxanATa aSareNa eva kAla daNxa sama tvizAH // Bndu _3,25.103 //
   tasminpalāyite duṣṭe viṣaṅge bhaṇḍasodare /	tasmin palAyite duzwe vizaFge BaNxa sodare /
   sā vibhātā ca rajanī prasannāścābhavandiśaḥ // BndP_3,25.104 //	sA viBAtA ca rajanI prasannAH ca aBavan diSaH // Bndu _3,25.104 //
   palāyitaṃ raṇevīramanusarttumanaucitī /	palAyitam raNevIram anusaRttum anOcitI /
   iti tāḥ samarānnityāstasminkāle vyaraṃsiṣuḥ // BndP_3,25.105 //	iti tAH samarAn nityAH tasmin kAle vyaraMsizuH // Bndu _3,25.105 //
   daityaśastravraṇasyandiśoṇitaplutavigrahāḥ /	dEtya Sastra vraNa syandi SoNita pluta vigrahAH /
   nityāḥ śrīlalitāṃ devīṃ praṇipeturjayoddhatāḥ // BndP_3,25.106 //	nityAH SrI lalitAm devIm praNipetuH jaya udDatAH // Bndu _3,25.106 //
   itthaṃ rātrau mahadyuddhaṃ tatra jātaṃ bhayaṅkaram /	itTam rAtrO mahat yudDam tatra jAtam BayaFkaram /
   nityānāṃ rūpajālaṃ ca śastrakṣatamalokayat // BndP_3,25.107 //	nityAnAm rUpa jAlam ca Sastra kzatam alokayat // Bndu _3,25.107 //
   śrutvodantaṃ mahārājñī kṛpāpāṅgena saikṣata /	SrutvA udantam mahArAjQI kRpA apAFgena sEkzata /
   tadālokanamātreṇa vraṇo nirvraṇatāmagāt // BndP_3,25.108 //	tad Alokana mAtreNa vraNaH nirvraNa tAm agAt // Bndu _3,25.108 //
   nityānāṃ vikramaiścāpi lalitā prītimāsadat // BndP_3,25.109 //	nityAnAm vikramEH ca api lalitA prItim Asadat // Bndu _3,25.109 //
   iti śrībrahmāṇḍamahāpurāṇe uttarabhāge hayagrīvāgastyasaṃvāde	iti SrI brahmANxa mahApurANe uttara BAge hayagrIvA agastya saMvAde
   lalitopākhyāne viṣaṅgapalāyanaṃ nāma pañcaviṃśo 'dhyāya	lalita upAKyAne vizaFgapalAyanam nAma paQcaviMSaH aDyAya
   prathamayuddhadivasaḥ /	praTama yudDa divasaH /
   daśākṣauhiṇikāyuktaḥ kuṭilākṣo 'pi vīryavān /	daSa akzOhiNikA yuktaH kuwila akzaH api vIryavAn /
   daṇḍanāthāśaraistīkṣṇai raṇe bhagnaḥ palāyitaḥ /	daNxanATa aSarEH tIkzNEH raNe BagnaH palAyitaH /
   daśākṣauhiṇikaṃ sainyaṃ tayā rātrau vināśitam // BndP_3,26.1 //	daSa akzOhiNikam sEnyam tayA rAtrO vinASitam // Bndu _3,26.1 //
   imaṃ vṛttāntamākarṇya bhaṇḍaḥ kṣobhamathāyayau /	imam vRttAntam AkarNya BaNxaH kzoBam aTa AyayO /
   rātrau kapaṭasaṃgrāmaṃ duṣṭānāṃ nirjaradruhām /	rAtrO kapawa saMgrAmam duzwAnAm nirjara druhAm /
   mantriṇī daṇḍanāthā ca śrutvā nirvedamāpatuḥ // BndP_3,26.2 //	mantriNI daNxanATA ca SrutvA nirvedam ApatuH // Bndu _3,26.2 //
   aho bata mahatkaṣṭaṃ daityairdevyāḥ samāgatam /	aho bata mahat kazwam dEtyEH devyAH samAgatam /
   uttānabuddhibhirdūramasmābhiścalitaṃ puraḥ // BndP_3,26.3 //	uttAna budDiBiH dUram asmABiH calitam puras // Bndu _3,26.3 //
   mahācakrarathendrasya na jātaṃ rakṣaṇaṃ balaiḥ /	mahA cakra raTa indrasya na jAtam rakzaNam balEH /
   etaṃ tvavasaraṃ prāpya rātrau duṣṭaiḥ parākṛtam // BndP_3,26.4 //	etam tu avasaram prApya rAtrO duzwEH parAkRtam // Bndu _3,26.4 //
   ko vṛttānto 'bhavattatra svāminyā kiṃ raṇaḥ kṛtaḥ /	kaH vRttAntaH aBavat tatra svAminyA kim raNaH kRtaH /
   anyā vā śaktayastatra cakruryuddhaṃ mahāsuraiḥ // BndP_3,26.5 //	anyA vA SaktayaH tatra cakruH yudDam mahA asurEH // Bndu _3,26.5 //
   vimraṣṭavyamidaṃ kāryaṃ pravṛttistatra kīdṛśī /	vimrazwavyam idam kAryam pravRttiH tatra kIdRSI /
   mahādevyāśca hṛdaye kaḥ prasaṃgaḥ pravartate // BndP_3,26.6 //	mahAdevyAH ca hRdaye kaH prasaMgaH pravartate // Bndu _3,26.6 //
   iti śaṅkākulāstatra daṇḍanāthāpurogamāḥ /	iti SaFkA AkulAH tatra daNxanATa apurogamAH /
   mantriṇīṃ purataḥ kṛtvā pracelurlalitāṃ prati // BndP_3,26.7 //	mantriNIm puratas kRtvA praceluH lalitAm prati // Bndu _3,26.7 //
   śakticakracamūnāthāḥ sarvāstāḥ pūjitā drutam /	Sakti cakra camU nATAH sarvAH tAH pUjitAH drutam /
   vyatītāyāṃ vibhāvaryāṃ rathendraṃ paryavārayan // BndP_3,26.8 //	vyatItAyAm viBAvaryAm raTa indram paryavArayan // Bndu _3,26.8 //
   avaruhya svayānābhyāṃ mantriṇīdaṇḍanāyike /	avaruhya sva yAnAByAm mantriNI daNxa nAyike /
   adhastātsainyamāveśya tadāruruhatū ratham // BndP_3,26.9 //	aDastAt sEnyam AveSya tadA AruruhatuH raTam // Bndu _3,26.9 //
   krameṇa nava parvāṇi vyatītya tvaritakramaiḥ /	krameNa nava parvANi vyatItya tvarita kramEH /
   tattatsarvagataiḥ śakticakraiḥ samyaṅ niveditaiḥ // BndP_3,26.10 //	tad tad sarva gatEH Sakti cakrEH samyak niveditEH // Bndu _3,26.10 //
   abhajetāṃ mahārājñīṃ mantriṇīdaṇḍanāyike /	aBajetAm mahA rAjQIm mantriNI daNxa nAyike /
   te vyajijñapatāṃ devyā aṣṭāṅgaspṛṣṭabhūtale // BndP_3,26.11 //	te vyajijQapatAm devyAH azwa aFga spRzwa BU tale // Bndu _3,26.11 //
   mahāpramādaḥ samabhūditi naḥ śrutamaṃbike /	mahA pramAdaH samaBUt iti naH Srutam aMbike /
   kūṭayuddhaprakāreṇa daityairapakṛtaṃ khalaiḥ // BndP_3,26.12 //	kUwa yudDa prakAreNa dEtyEH apakRtam KalEH // Bndu _3,26.12 //
   sa durātmā durācāraḥ prakāśasamārāttrasan /	sa durAtmA durAcAraH prakASa samArAttrasan /
   kuhakavyavahāreṇa jayasiddhiṃ tu kākṣati // BndP_3,26.13 //	kuhaka vyavahAreNa jaya sidDim tu kAkzati // Bndu _3,26.13 //
   daivānnaḥ svāminīgātre duṣṭānāmamaradruhām /	dEvAt naH svAminI gAtre duzwAnAm amara druhAm /
   śarādikaparāmarśo na jātastena jīvati // BndP_3,26.14 //	Sara Adika parAmarSaH na jAtaH tena jIvati // Bndu _3,26.14 //
   ekāvalaṃbanaṃ kṛtvā mahārājñi bhavatpadam /	eka avalaMbanam kRtvA mahA rAjQi Bavat padam /
   vayaṃ sarvā hi jīvāmaḥ sādhayāmaḥ samīhitam // BndP_3,26.15 //	vayam sarvAH hi jIvAmaH sADayAmaH samIhitam // Bndu _3,26.15 //
   ato 'smābhiḥ prakartavyaṃ śrīmatyaṅgasya rakṣaṇam /	atas asmABiH prakartavyam SrImati aFgasya rakzaNam /
   māyāvinaśca daityendrāstatra mantro vidhīyatām // BndP_3,26.16 //	mAyAvinaH ca dEtya indrAH tatra mantraH viDIyatAm // Bndu _3,26.16 //
   āpatkāleṣu jetavyā bhaṇḍādyā dānavādhamāḥ /	Apad kAlezu jetavyAH BaNxa AdyAH dAnava aDamAH /
   kūṭayuddhaṃ na kurvanti na viśanti camūmimām // BndP_3,26.17 //	kUwa yudDam na kurvanti na viSanti camUm imAm // Bndu _3,26.17 //
   tathā mahendraśailasya kāryaṃ dakṣiṇadeśataḥ /	taTA mahA indra SElasya kAryam dakziNa deSataH /
   śibiraṃ bahuvistāraṃ yojanānāṃ śatāvadhi // BndP_3,26.18 //	Sibiram bahu vistAram yojanAnAm Sata avaDi // Bndu _3,26.18 //
   vahliprākāravalayaṃ rakṣaṇārthaṃ vidhīyatām /	vahli prAkAra valayam rakzaNa arTam viDIyatAm /
   asmatsenāniveśasya dviṣāṃ darpaśamāya ca // BndP_3,26.19 //	asmad senA niveSasya dvizAm darpa SamAya ca // Bndu _3,26.19 //
   śatayojanamātrastu madhyateśaḥ prakalpyatām /	Sata yojana mAtraH tu maDyateSaH prakalpyatAm /
   vahniprākārācakrasya dvārandakṣiṇato bhavet // BndP_3,26.20 //	vahni prAkArA cakrasya dvArandakziNatas Bavet // Bndu _3,26.20 //
   yato dakṣiṇadeśasthaṃ śūnyakaṃ vidviṣāṃ puram /	yatas dakziNa deSa sTam SUnyakam vidvizAm puram /
   dvāre ca bahavaḥ kalpyāḥ parivārā udāyudhāḥ // BndP_3,26.21 //	dvAre ca bahavaH kalpyAH parivArAH udAyuDAH // Bndu _3,26.21 //
   nirgacchatāṃ praviśatāṃ janānāmuparodhakāḥ /	nirgacCatAm praviSatAm janAnAm uparoDakAH /
   anālasyā anidrāśca vidheyāḥ satatodyatāḥ // BndP_3,26.22 //	anAlasyAH anidrAH ca viDeyAH satata udyatAH // Bndu _3,26.22 //
   evaṃ ca sati duṣṭānāṃ kūṭayuddhaṃ cikīrṣitam /	evam ca sati duzwAnAm kUwa yudDam cikIrzitam /
   avelāsu ca saṃdhyāsu madhyarātriṣu ca dviṣām /	avelAsu ca saMDyAsu maDyarAtrizu ca dvizAm /
   aśakyameva bhavati prauḍhamākramaṇaṃ haṭhāt // BndP_3,26.23 //	aSakyam eva Bavati prOXam AkramaNam haWAt // Bndu _3,26.23 //
   no ceddurāśayā daityā bahumāyāparigrahāḥ /	no ced durASayAH dEtyAH bahu mAyA parigrahAH /
   paśyatoharavatsarvaṃ viluṭhanti mahadbalam // BndP_3,26.24 //	paSyataH hara vat sarvam viluWanti mahat balam // Bndu _3,26.24 //
   mantriṇyā daṇḍanāthāyā iti śrutvā vacastadā /	mantriNyAH daNxanATAyAH iti SrutvA vacaH tadA /
   śucidantarucā muktā vahantī lalitābravīt // BndP_3,26.25 //	Suci danta rucA muktA vahantI lalitA abravIt // Bndu _3,26.25 //
   bhavatīnāmayaṃ mantraścārubuddhyā vicāritaḥ /	BavatInAm ayam mantraH cAru budDyA vicAritaH /
   ayaṃ kuśaladhīmārgonītireṣā sanātanī // BndP_3,26.26 //	ayam kuSala DI mArgonItiH ezA sanAtanI // Bndu _3,26.26 //
   svacakrasya puro rakṣāṃ vidhāya dṛḍhasādhanaiḥ /	sva cakrasya puras rakzAm viDAya dRXa sADanEH /
   paracakrākramaḥ kāryo jigīṣadbhirmahājanaiḥ // BndP_3,26.27 //	para cakrAkramaH kAryaH jigIzadBiH mahA janEH // Bndu _3,26.27 //
   ityuktvā mantriṇīdaṇḍanāthe sā laliteśvarī /	iti uktvA mantriNI daNxa nATe sA laliteSvarI /
   jvālāmālinikāṃ nityāmāhūyedamuvāca ha // BndP_3,26.28 //	jvAlA mAlinikAm nityAm AhUya idam uvAca ha // Bndu _3,26.28 //
   vatse tvaṃ vahnirūpāsi jvālāmālāmayākṛtiḥ /	vatse tvam vahni rUpA asi jvAlA mAlA maya AkRtiH /
   tvayā vidhīyatāṃ rakṣā balasyāsya mahīyasaḥ // BndP_3,26.29 //	tvayA viDIyatAm rakzA balasya asya mahIyasaH // Bndu _3,26.29 //
   śatayojanavistāraṃ parivṛtya mahītalam /	Sata yojana vistAram parivRtya mahI talam /
   triṃśadyojanamunnaddhaṃ jvālākāratvamāvraja // BndP_3,26.30 //	triMSat yojanam unnadDam jvAlA AkAra tvam Avraja // Bndu _3,26.30 //
   dvārayojanamātraṃ tu muktvānyatra jvalattanuḥ /	dvAra yojana mAtram tu muktvA anyatra jvalat tanuH /
   vahnijvālātvamāpannā saṃrakṣa sakalaṃ balam // BndP_3,26.31 //	vahni jvAlA tvam ApannA saMrakza sakalam balam // Bndu _3,26.31 //
   ityuktvā mantriṇīdaṇḍanāthe sā laliteśvarī /	iti uktvA mantriNI daNxa nATe sA laliteSvarI /
   mahendrottarabhūbhāgaṃ calituṃ cakra udyamam // BndP_3,26.32 //	mahA indra uttara BU BAgam calitum cakraH udyamam // Bndu _3,26.32 //
   sā ca nityānityamayī jvalajjvā lāmayākṛtiḥ /	sA ca nitya anitya mayI jvalajjvA lAmaya AkRtiH /
   caturdaśītithimayī tatheti praṇanāma tām // BndP_3,26.33 //	caturdaSI itiTi mayI taTA iti praNanAma tAm // Bndu _3,26.33 //
   tayaiva pūrvanirdiṣṭaṃ mahendrottarabhūtalam /	tayA eva pUrva nirdizwam mahA indra uttara BU talam /
   kuṇḍalīkṛtya jajvālaśālarūpeṇa sā punaḥ // BndP_3,26.34 //	kuNxalIkRtya jajvAla SAla rUpeNa sA punar // Bndu _3,26.34 //
   nabhovalayajaṃbālajvālāmālāmayākṛtiḥ /	naBaH valaya jaMbAla jvAlA mAlA maya AkRtiH /
   babhāse daṇḍanāthāyā mantrināthacamūrapi // BndP_3,26.35 //	baBAse daNxanATAyAH mantri nATa camUH api // Bndu _3,26.35 //
   anyā sāmapi śaktīnāṃ mahatīnāṃ mahadbalam /	anyA sAm api SaktInAm mahatInAm mahat balam /
   viśaṅkaṭodaraṃ sālaṃ praviveśa gataklamā // BndP_3,26.36 //	viSaFkawa udaram sAlam praviveSa gata klamAH // Bndu _3,26.36 //
   rājacakrarathendraṃ tu madhye saṃsthāpya daṇḍinī /	rAja cakra raTa indram tu maDye saMsTApya daNxinI /
   vāmapakṣe rathaṃ svīyaṃ dakṣiṇe śyāmalāratham // BndP_3,26.37 //	vAma pakze raTam svIyam dakziNe SyAmalAraTam // Bndu _3,26.37 //
   paścādbhāge sampadeśīṃ purastāśca hayāsanām /	paScAt BAge sampadeSIm purastAH ca haya AsanAm /
   evaṃ saṃveśya paritaścakrarājarathasya ca // BndP_3,26.38 //	evam saMveSya paritas cakrarAja raTasya ca // Bndu _3,26.38 //
   dvāre niveśayāmāsa viṃśatyakṣauhiṇīyutām /	dvAre niveSayAmAsa viMSati akzOhiNI yutAm /
   jvaladdaṇḍāyudhodagrāṃ stambhinīṃ nāma devatām // BndP_3,26.39 //	jvalat daNxa AyuDa udagrAm stamBinIm nAma devatAm // Bndu _3,26.39 //
   yā devī daṇḍanāthāyā vighnadevīti viśrutā /	yA devI daNxanATAyAH viGna devI iti viSrutA /
