   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   nyāyaśāstrāvirodhena HSvs_[3.1]209c	nyAya-SAstra-aviroDena HSvH-_[3.1]209c
   nyāyāt khalu virodho yaḥ HSvs_[7.1]511a	nyAyAt Kalu viroDaH yaH HSvH-_[7.1]511a
   nyāyyaṃ bhinnanimittatvāt HSvs_[7.1]490c	nyAyyam Binna-nimitta-tvAt HSvH-_[7.1]490c
   nyāyyaṃ mānāvirodhataḥ HSvs_[1.2]49d	nyAyyam mAna-aviroDataH HSvH-_[1.2]49d
   pañca bāhyā dvivijñeyā HSvs_[4.7]367a	paQca bAhyAH dvi-vijQeyAH HSvH-_[4.7]367a
   pañcamasyāpi bhūtasya HSvs_[1.2]47a	paQcamasya-api BUtasya HSvH-_[1.2]47a
   pañcaviṃśatitattvajño HSvs_[3.2]230a	paQcaviMSati-tattva-jQaH HSvH-_[3.2]230a
   pañcānām api cen nyāyād HSvs_[4.7]371c	paQcAnAm api ced nyAyAt HSvH-_[4.7]371c
   pamānenāpi gamyate HSvs_[10.1]582d	pamAnena-api gamyate HSvH-_[10.1]582d
   payovato na dadhyatti HSvs_[7.1]479a	payovataH na daDyatti HSvH-_[7.1]479a
   paramānandabhāvaś ca HSvs_[11.3]695a	parama-Ananda-BAvaH ca HSvH-_[11.3]695a
   paramārthena nānyathā HSvs_[11.2]682d	parama-arTena na-anyaTA HSvH-_[11.2]682d
   paramārthaikatānatve HSvs_[11.1]647a	parama-arTa-eka-tAna-tve HSvH-_[11.1]647a
   paramārthaikatānatve 'py HSvs_[11.1]660a	parama-arTa-eka-tAna-tve api HSvH-_[11.1]660a
   paramaiśvaryayuktatvān HSvs_[3.1]207a	parama-ESvarya-yukta-tvAt HSvH-_[3.1]207a
   paraloky api vijñeyo HSvs_[1.2]78c	para-lokI api vijQeyaH HSvH-_[1.2]78c
   parasiddhāntasaṃsthitiḥ HSvs_[2.1]154b	para-sidDAnta-saMsTitiH HSvH-_[2.1]154b
   paraṃ saṃvegam āśritaḥ HSvs_[9.1]562d	param saMvegam ASritaH HSvH-_[9.1]562d
   paraḥ sarvajñabhāṣitaḥ HSvs_[9.1]556d	paraH sarvajQa-BAzitaH HSvH-_[9.1]556d
   parā kāṣṭhā prakīrtitā HSvs_[9.1]575b	parA kAzWA prakIrtitAH HSvH-_[9.1]575b
   parābhiprāyato hy etad HSvs_[5.1]382a	para-aBiprAyataH hi etat HSvH-_[5.1]382a
   parārthasādhakaṃ dhīraiḥ HSvs_[1.1]16c	para-arTa-sADakam DIrEH HSvH-_[1.1]16c
   parikalpitam etac cen HSvs_[7.1]499a	parikalpitam etat ced HSvH-_[7.1]499a
   paricittādidharmāṇāṃ HSvs_[10.2]643a	paricitta-Adi-DarmANAm HSvH-_[10.2]643a
   pariṇatyādi kiṃ tathā HSvs_[9.1]554d	pariNatya-Adi kim taTA HSvH-_[9.1]554d
   pariṇamo 'nvayāvahaḥ HSvs_[6.3]448d	pariNamaH anvaya-AvahaH HSvH-_[6.3]448d
   pariṇāmasamudbhavam HSvs_[3.2]213b	pariNAma-samudBavam HSvH-_[3.2]213b
   pariṇāmasamudbhavam HSvs_[3.2]218d	pariNAma-samudBavam HSvH-_[3.2]218d
   pariṇāmaḥ pramāsiddhaḥ HSvs_[6.3]445c	pariNAmaH pramAsidDaH HSvH-_[6.3]445c
   pariṇāmāt kṣayekṣaṇāt HSvs_[4.1]239d	pariNAmAt kzaya-IkzaNAt HSvH-_[4.1]239d
   pariṇāmitvayogataḥ HSvs_[3.2]233b	pariNAmi-tva-yogataH HSvH-_[3.2]233b
   pariṇāmena gamyate HSvs_[6.3]450d	pariNAmena gamyate HSvH-_[6.3]450d
   pariṇāmo 'nivāritaḥ HSvs_[3.2]224d	pariNAmaH anivAritaH HSvH-_[3.2]224d
   pariṇāmo 'pi no hetuḥ HSvs_[6.3]444a	pariNAmaH api naH hetuH HSvH-_[6.3]444a
   parīkṣaiva na yujyate HSvs_[2.1]118b	parIkzA-eva na yujyate HSvH-_[2.1]118b
   pareṣṭahetusadbhāva- HSvs_[2.2]168c	parezwa-hetu-sadBAva HSvH-_[2.2]168c
   paryāyās tasya kīrtitāḥ HSvs_[9.1]557d	paryAyAH tasya kIrtitAH HSvH-_[9.1]557d
   paryāyās tasya kīrttitāḥ HSvs_[1.4]107d	paryAyAH tasya kIrttitAH HSvH-_[1.4]107d
   pāde viddho 'smi bhikṣavaḥ HSvs_[4.7]361d	pAde vidDaH asmi BikzavaH HSvH-_[4.7]361d
   pāpaśrutaṃ sadā dhīrair HSvs_[1.5]112c	pApa-Srutam sadA DIrEH HSvH-_[1.5]112c
   pāpaṃ tadbhinnam evāstu HSvs_[1.4]101a	pApam tat-Binnam eva-astu HSvH-_[1.4]101a
   pāpād atredṛśī buddhir HSvs_[10.1]617a	pApAt atra-IdRSI budDiH HSvH-_[10.1]617a
   pāratantryāviśeṣataḥ HSvs_[1.1]18d	pAratantrya-aviSezataH HSvH-_[1.1]18d
   pitṛkarmādisiddheś ca HSvs_[1.2]42c	pitR-karma-Adi-sidDeH ca HSvH-_[1.2]42c
   puṇyaṃ kim iti nekṣyate HSvs_[1.4]101d	puNyam kim iti na-Ikzyate HSvH-_[1.4]101d
   puṇyāpuṇye śubhāśubhe HSvs_[1.4]107b	puNya-apuNye SuBa-aSuBe HSvH-_[1.4]107b
   putrajanmādibuddhivat HSvs_[6.6]469d	putra-janma-Adi-budDi-vat HSvH-_[6.6]469d
   punarjanma punarmṛtyur HSvs_[1.1]14a	punarjanma punar-mRtyuH HSvH-_[1.1]14a
   punaḥ punaś ca yad ataḥ HSvs_[1.1]14c	punar punar ca yat atas HSvH-_[1.1]14c
   pumān kaścid yadīṣyate HSvs_[10.1]619b	pumAn kaScid yadi-izyate HSvH-_[10.1]619b
   puruṣasyoditā muktir HSvs_[3.2]231a	puruzasya-uditA muktiH HSvH-_[3.2]231a
   puruṣān na viśeṣaḥ syāt HSvs_[1.2]52c	puruzAn na viSezaH syAt HSvH-_[1.2]52c
   puruṣe bahubhāṣiṇi HSvs_[10.2]638d	puruze bahu-BAziNi HSvH-_[10.2]638d
   puruṣo 'vikṛtātmaiva HSvs_[3.2]221a	puruzaH avikRta-AtmA-eva HSvH-_[3.2]221a
   puṣṭir asya kathaṃ bhavet HSvs_[1.4]98d	puzwiH asya kaTam Bavet HSvH-_[1.4]98d
   puṣpādigandhavaikalye HSvs_[1.4]102c	puzpa-Adi-ganDa-vEkalye HSvH-_[1.4]102c
   pūrttam ity abhidhīyate HSvs_[10.1]588d	pUrttam iti aBiDIyate HSvH-_[10.1]588d
   pūrvam eva nidarśitaḥ HSvs_[10.2]633d	pUrvam eva nidarSitaH HSvH-_[10.2]633d
   pūrvasyaiva tathābhāvā- HSvs_[4.3]289a	pUrvasya-eva taTA-aBAvA HSvH-_[4.3]289a
   pūrvaṃ hiṃsānṛtādayaḥ HSvs_[1.4]108b	pUrvam hiMsA-anRta-AdayaH HSvH-_[1.4]108b
   pūrvo hetur niraṃśaḥ sa HSvs_[4.3]288c	pUrvaH hetuH niraMSaH saH HSvH-_[4.3]288c
   pṛthag eveti ced bhoga HSvs_[3.2]219c	pRTak eva-iti ced BogaH HSvH-_[3.2]219c
   pṛthivyādimahābhūta- HSvs_[1.2]30a	pRTivI-Adi-mahABUta HSvH-_[1.2]30a
   prakāśayati kevalam HSvs_[7.1]510d	prakASayati kevalam HSvH-_[7.1]510d
   prakāśayati raktatām HSvs_[10.1]607d	prakASayati rakta-tAm HSvH-_[10.1]607d
   prakāśaikasvabhāvaṃ hi HSvs_[5.1]393a	prakASa-eka-svaBAvam hi HSvH-_[5.1]393a
   prakṛtiṃ cāpi sannyāyāt HSvs_[3.2]232c	prakRtim ca-api sannyAyAt HSvH-_[3.2]232c
   prakṛtiḥ svātmaneti cet HSvs_[3.2]227d	prakRtiH sva-AtmanA-iti ced HSvH-_[3.2]227d
   prakṛtyasundaraṃ hy evaṃ HSvs_[1.1]15a	prakRti-asundaram hi evam HSvH-_[1.1]15a
   prakṛtyaiva tathābhūtaṃ HSvs_[5.2]408a	prakRtyA-eva taTABUtam HSvH-_[5.2]408a
   prakrāntārthaprasādhakam HSvs_[4.7]367d	prakrAnta-arTa-prasADakam HSvH-_[4.7]367d
   prakriyāmātravarṇanam HSvs_[3.2]214b	prakriyA-mAtra-varNanam HSvH-_[3.2]214b
   praṇamya paramātmānaṃ HSvs_[1.1]1a	praNamya paramAtmAnam HSvH-_[1.1]1a
   pratikṣiptaṃ ca tad hetoḥ HSvs_[4.3]299a	pratikziptam ca tat hetoH HSvH-_[4.3]299a
   pratikṣiptaṃ ca yat sattā- HSvs_[4.2]272a	pratikziptam ca yat sattA HSvH-_[4.2]272a
   pratikṣiptaṃ ca yad bhedā- HSvs_[7.1]523a	pratikziptam ca yat BedA HSvH-_[7.1]523a
   pratijñātavirodhitvāt HSvs_[3.1]201c	pratijQAta-viroDi-tvAt HSvH-_[3.1]201c
   pratipakṣasvabhāvena HSvs_[2.1]124a	pratipakza-svaBAvena HSvH-_[2.1]124a
   pratipakṣāgamānāṃ ca HSvs_[2.1]140a	pratipakza-AgamAnAm ca HSvH-_[2.1]140a
   pratipakṣāgamena ca HSvs_[2.1]124b	pratipakza-Agamena ca HSvH-_[2.1]124b
   pratipādyās tathā ca ye HSvs_[6.6]475b	pratipAdyAH taTA ca ye HSvH-_[6.6]475b
   pratibandhavivekataḥ HSvs_[4.2]266b	pratibanDa-vivekataH HSvH-_[4.2]266b
   pratibimbodayaḥ svacche HSvs_[3.2]222c	pratibimba-udayaH svacCe HSvH-_[3.2]222c
   pratibimbodayāt kintu HSvs_[3.2]220c	pratibimba-udayAt kintu HSvH-_[3.2]220c
   pratibimbodayo 'py asya HSvs_[3.2]223a	pratibimba-udayaH api asya HSvH-_[3.2]223a
   pratibhālocanaṃ tāvad HSvs_[10.2]634a	pratiBA-locanam tAvat HSvH-_[10.2]634a
   pratītaṃ sarvaloke 'pi HSvs_[10.1]623c	pratItam sarva-loke api HSvH-_[10.1]623c
   pratītigarbhayā yuktyā HSvs_[2.1]131c	pratIti-garBayA yuktyA HSvH-_[2.1]131c
   pratītir upajāyate HSvs_[10.1]608b	pratItiH upajAyate HSvH-_[10.1]608b
   pratītivimukhaṃ vacaḥ HSvs_[7.1]527b	pratIti-vimuKam vacaH HSvH-_[7.1]527b
   pratītisacivāt samyak HSvs_[6.3]450c	pratIti-sacivAt samyak HSvH-_[6.3]450c
   pratītyā ca vicintyatām HSvs_[8.1]549d	pratItyA ca vicintyatAm HSvH-_[8.1]549d
   pratītyā bādhyate yo yat HSvs_[2.1]125a	pratItyA bADyate yaH yat HSvH-_[2.1]125a
   pratyakṣasyāpi tat tyājyaṃ HSvs_[1.3]81a	pratyakzasya-api tat tyAjyam HSvH-_[1.3]81a
   pratyakṣaṃ tadvad eveyaṃ HSvs_[7.1]541c	pratyakzam tadvat eva-iyam HSvH-_[7.1]541c
   pratyakṣaṃ tan niṣedhakṛt HSvs_[10.1]592b	pratyakzam tat nizeDa-kRt HSvH-_[10.1]592b
   pratyakṣaṃ laiṅgikaṃ na tu HSvs_[7.1]497b	pratyakzam lEFgikam na tu HSvH-_[7.1]497b
   pratyakṣānupalambhābhyāṃ HSvs_[4.6]344a	pratyakza-anupalamBAByAm HSvH-_[4.6]344a
   pratyakṣābhāsabhāve 'pi HSvs_[7.1]541a	pratyakza-ABAsa-BAve api HSvH-_[7.1]541a
   pratyakṣābhāsam anyac ced HSvs_[1.3]81c	pratyakza-ABAsam anyat ced HSvH-_[1.3]81c
   pratyakṣeṇa tathaiva hi HSvs_[4.2]259b	pratyakzeNa taTA-eva hi HSvH-_[4.2]259b
   pratyakṣeṇa na darśanam HSvs_[1.3]79b	pratyakzeNa na darSanam HSvH-_[1.3]79b
   pratyakṣeṇa pramāṇena HSvs_[10.1]581a	pratyakzeNa pramANena HSvH-_[10.1]581a
   pratyakṣeṇa viruddhyate HSvs_[2.1]142d	pratyakzeNa virudDyate HSvH-_[2.1]142d
   pratyabhijñāpyasaṃgatā HSvs_[4.1]243b	pratyaBijQApi-asaMgatAH HSvH-_[4.1]243b
   pratyabhijñābalāc caitad HSvs_[7.1]532a	pratyaBijQA-balAt ca-etat HSvH-_[7.1]532a
   pratyākhyātaṃ prasañjanam HSvs_[4.2]271d	pratyAKyAtam prasaQjanam HSvH-_[4.2]271d
   pratyākhyātaṃ hi śabdānām HSvs_[11.1]660c	pratyAKyAtam hi SabdAnAm HSvH-_[11.1]660c
   pratyekam asatī teṣu HSvs_[1.2]44a	pratyekam asatI tezu HSvH-_[1.2]44a
   pratyekaṃ tasya tadbhāve HSvs_[4.4]311a	pratyekam tasya tad-BAve HSvH-_[4.4]311a
   pratyekaṃ teṣu sarvadā HSvs_[1.2]32b	pratyekam tezu sarvadA HSvH-_[1.2]32b
   pradīpajñātam apy atra HSvs_[1.2]73c	pradIpa-jQAtam api atra HSvH-_[1.2]73c
   pradīpādivadiṣṭaś cet HSvs_[10.1]606a	pradIpa-Adi-vat-izwaH ced HSvH-_[10.1]606a
   pradīrghādhyavasāyena HSvs_[4.6]351a	pradIrGa-aDyavasAyena HSvH-_[4.6]351a
   pradveṣo 'rthe 'nibandhanaḥ HSvs_[5.1]389b	pradvezaH arTe anibanDanaH HSvH-_[5.1]389b
   pradhānaṃ nityam iṣyate HSvs_[3.2]215b	praDAnam nityam izyate HSvH-_[3.2]215b
   pradhānād mahato bhāvo HSvs_[3.2]212a	praDAnAt mahataH BAvaH HSvH-_[3.2]212a
   pradhānodbhavam anye tu HSvs_[3.2]211a	praDAna-udBavam anye tu HSvH-_[3.2]211a
   prabandhāpekṣayā sarvo HSvs_[6.1]419c	prabanDa-apekzayA sarvaH HSvH-_[6.1]419c
   prabhūtānām aśūnyatā HSvs_[6.6]475d	praBUtAnAm aSUnyatA HSvH-_[6.6]475d
   prabhūtānāṃ ca naikatra HSvs_[4.4]306a	praBUtAnAm ca na-ekatra HSvH-_[4.4]306a
   prabhūtāśūnyatāpattir HSvs_[6.6]474c	praBUta-aSUnyatA-ApattiH HSvH-_[6.6]474c
   pramāṇapañcakāvṛttir HSvs_[10.1]597a	pramANa-paQcakAvRttiH HSvH-_[10.1]597a
   pramāṇapañcakāvṛttiḥ HSvs_[10.1]591c	pramANa-paQcaka-AvRttiH HSvH-_[10.1]591c
   pramāṇapañcakāvṛttes HSvs_[10.1]583c	pramANa-paQcaka-AvRtteH HSvH-_[10.1]583c
   pramāṇam antareṇāpi HSvs_[6.6]472a	pramANam antareNa-api HSvH-_[6.6]472a
   pramāṇam antareṇaitad HSvs_[8.1]547c	pramANam antareNa-etat HSvH-_[8.1]547c
   pramāṇam avagantavyaṃ HSvs_[4.7]367c	pramANam avagantavyam HSvH-_[4.7]367c
   pramāṇam avagamyatām HSvs_[7.1]541d	pramANam avagamyatAm HSvH-_[7.1]541d
   pramāṇaṃ nāsti kiñcana HSvs_[7.1]538d	pramANam na-asti kiQcanaH HSvH-_[7.1]538d
   pramāṇaṃ vidyate kiñcid HSvs_[6.6]470c	pramANam vidyate kiQcid HSvH-_[6.6]470c
   pramāṇābhāvatas tatra HSvs_[5.1]395c	pramANa-aBAvataH tatra HSvH-_[5.1]395c
   pramāṇetarayor iva HSvs_[11.1]662b	pramANa-itarayoH iva HSvH-_[11.1]662b
   pramātur api tadbhāvāt HSvs_[7.1]535c	pramAtuH api tad-BAvAt HSvH-_[7.1]535c
   prameyavyatirekataḥ HSvs_[8.1]548b	prameya-vyatirekataH HSvH-_[8.1]548b
   pravartamāna evaṃ ca HSvs_[9.1]572a	pravartamAnaH evam ca HSvH-_[9.1]572a
   pravṛttis tāvad eva yā HSvs_[2.1]147b	pravRttiH tAvat eva yA HSvH-_[2.1]147b
   pravṛttiḥ prāptir eva ca HSvs_[4.1]243d	pravRttiH prAptiH eva ca HSvH-_[4.1]243d
   pravṛttyādi tato na syāt HSvs_[5.1]388c	pravRtti-Adi tatas na syAt HSvH-_[5.1]388c
   praśāntenāntarātmanā HSvs_[9.1]562b	praSAntena-antarAtmanA HSvH-_[9.1]562b
   prasaṃgād buddhibhedataḥ HSvs_[11.1]645b	prasaMgAt budDi-BedataH HSvH-_[11.1]645b
   prasiddhaṃ lokaśāstrayoḥ HSvs_[5.1]388d	prasidDam loka-SAstrayoH HSvH-_[5.1]388d
   prāgasattvāt prakīrtitā HSvs_[4.3]298b	prAc-asattvAt prakIrtitAH HSvH-_[4.3]298b
   prājñasyābhineveśo na HSvs_[5.2]413c	prAjQasya-aBineva-ISaH na HSvH-_[5.2]413c
   prādurbhavati nāṅkuraḥ HSvs_[11.3]693b	prAdurBavati na-aFkuraH HSvH-_[11.3]693b
   prāptiḥ kliṣṭasya karmaṇaḥ HSvs_[2.1]121b	prAptiH klizwasya karmaNaH HSvH-_[2.1]121b
   prāpter arthakriyāyogāt HSvs_[5.1]387c	prApteH arTa-kriyA-yogAt HSvH-_[5.1]387c
   prāptyupāyo 'bhidhīyate HSvs_[11.2]684b	prApti-upAyaH aBiDIyate HSvH-_[11.2]684b
   prāpnoti phalatāṃ vinā HSvs_[4.3]299b	prApnoti Pala-tAm vinA HSvH-_[4.3]299b
   prāmāṇyaṃ ca svatas tasya HSvs_[10.1]594c	prAmANyam ca svatas tasya HSvH-_[10.1]594c
   prāmāṇyaṃ rūpaviṣaye HSvs_[10.1]600a	prAmANyam rUpa-vizaye HSvH-_[10.1]600a
   prāyas tattvaviniścayaḥ HSvs_[1.1]2b	prAyas tattva-viniScayaH HSvH-_[1.1]2b
   prāyaḥ evaṃvidheṣu yat HSvs_[2.1]135b	prAyas evaMviDezu yat HSvH-_[2.1]135b
   prāyo vītaspṛhā bhave HSvs_[3.1]208b	prAyas vIta-spRhA Bave HSvH-_[3.1]208b
   prāśnikānāṃ bahutvataḥ HSvs_[6.6]474b	prASnikAnAm bahu-tvataH HSvH-_[6.6]474b
   phalaprāpter asaṃbhavāt HSvs_[11.2]674d	Pala-prApteH asaMBavAt HSvH-_[11.2]674d
   phalabhedaḥ sa no yukto HSvs_[1.4]92c	Pala-BedaH sa naH yuktaH HSvH-_[1.4]92c
   phalasya tu viśeṣo 'sti HSvs_[6.1]420c	Palasya tu viSezaH asti HSvH-_[6.1]420c
   phalaṃ jñānakriyāyoge HSvs_[11.2]682a	Palam jQAna-kriyA-yoge HSvH-_[11.2]682a
   phalaṃ tatraiva saṃdhatte HSvs_[4.1]246c	Palam tatra-eva saMDatte HSvH-_[4.1]246c
   phalaṃ dadāti cet sarvaṃ HSvs_[3.1]200a	Palam dadAti ced sarvam HSvH-_[3.1]200a
   phalaṃ vipākavirasā HSvs_[2.1]138c	Palam vipAka-virasAH HSvH-_[2.1]138c
   phale kaścid viśeṣo 'sti HSvs_[1.1]18c	Pale kaScid viSezaH asti HSvH-_[1.1]18c
   phaloddeśena codanāt HSvs_[2.1]159d	Pala-uddeSena codanAt HSvH-_[2.1]159d
   baṭharaś ca tapasvī ca HSvs_[11.2]691a	baWaraH ca tapasvI ca HSvH-_[11.2]691a
   badhyate puṇyapāpābhyāṃ HSvs_[2.1]122c	baDyate puNya-pApAByAm HSvH-_[2.1]122c
   badhyate mucyate cāpi HSvs_[3.2]227c	baDyate mucyate ca-api HSvH-_[3.2]227c
   bandha eva phalaṃ matam HSvs_[1.1]17d	banDaH eva Palam matam HSvH-_[1.1]17d
   bandhamokṣau tu yujtitaḥ HSvs_[3.2]228d	banDa-mokzO tu yujtitaH HSvH-_[3.2]228d
   bandhādṛte na saṃsāro HSvs_[3.2]226a	banDAt-Rte na saMsAraH HSvH-_[3.2]226a
   bandhān nyūnātiriktatve HSvs_[1.4]105c	banDAt nyUna-atirikta-tve HSvH-_[1.4]105c
   balāt syāt tadvicitratā HSvs_[2.2]181d	balAt syAt tad-vicitra-tA HSvH-_[2.2]181d
   balād āpadyate sā cā- HSvs_[4.4]321c	balAt Apadyate sA cA HSvH-_[4.4]321c
   balād eva prasiddhyati HSvs_[7.1]504d	balAt eva prasidDyati HSvH-_[7.1]504d
   bahavaḥ pāpakarmāṇo HSvs_[2.1]132c	bahavaH pApa-karmANaH HSvH-_[2.1]132c
   bahūnām api saṃmoha- HSvs_[10.1]618a	bahUnAm api saMmoha HSvH-_[10.1]618a
   bādhitvāt kathaṃ hy etau HSvs_[2.1]124c	bADi-tvAt kaTam hi etO HSvH-_[2.1]124c
   bāla eva na cāpi yat HSvs_[7.1]505b	bAlaH eva na ca-api yat HSvH-_[7.1]505b
   bāhyārthavedanāc caiva HSvs_[4.1]241c	bAhya-arTa-vedanAt ca-eva HSvH-_[4.1]241c
   bāhyāsaṃganivṛttaye HSvs_[6.5]465b	bAhya-asaMga-nivRttaye HSvH-_[6.5]465b
   buddhāvarṇe 'pi cādoṣaḥ HSvs_[11.1]672a	budDAvarNe api ca-adozaH HSvH-_[11.1]672a
   buddhibhedāc ca bhāvyatām HSvs_[4.2]268d	budDi-BedAt ca BAvyatAm HSvH-_[4.2]268d
   buddhiśūnyena sarvathā HSvs_[2.1]129d	budDi-SUnyena sarvaTA HSvH-_[2.1]129d
   buddhenoktaṃ na tattvataḥ HSvs_[6.5]464d	budDena-uktam na tattvataH HSvH-_[6.5]464d
   buddhau bhogo 'sya kathyate HSvs_[3.2]222b	budDO BogaH asya kaTyate HSvH-_[3.2]222b
   buddhyā tasyāpi bodhataḥ HSvs_[11.1]669d	budDyA tasya-api boDataH HSvH-_[11.1]669d
   buddhvaivaṃ bhavanairguṇyaṃ HSvs_[9.1]566a	budDvA-evam BavanEH-guNyam HSvH-_[9.1]566a
   bodhamātrasya tadbhāve HSvs_[1.4]104a	boDa-mAtrasya tad-BAve HSvH-_[1.4]104a
   bodhamātraṃ na cāpi tat HSvs_[5.2]411b	boDa-mAtram na ca-api tat HSvH-_[5.2]411b
   bodhamātrātiriktaṃ tad HSvs_[1.4]103a	boDa-mAtra-atiriktam tat HSvH-_[1.4]103a
   bodharūpaṃ na yujyate HSvs_[4.4]317b	boDa-rUpam na yujyate HSvH-_[4.4]317b
   bodhas tac ca na jātucit HSvs_[11.1]655b	boDaH tat ca na jAtucit HSvH-_[11.1]655b
   bodhānvayaḥ pradīrghaikādhy- HSvs_[4.6]349c	boDa-anvayaH pradIrGa-ekADy HSvH-_[4.6]349c
   bodhānvayo 'dalotpattya- HSvs_[4.6]353c	boDa-anvayaH adala-utpattya HSvH-_[4.6]353c
   bauddhārthaviṣayā matā HSvs_[11.1]648d	bOdDa-arTa-vizayAH matAH HSvH-_[11.1]648d
   brahmahatyānideśānu- HSvs_[2.1]139a	brahma-hatyA-nideSa-anu HSvH-_[2.1]139a
   brāhmaṇānāṃ samakṣataḥ HSvs_[10.1]587b	brAhmaNAnAm samakzataH HSvH-_[10.1]587b
   bruvate āgamena vai HSvs_[2.1]134b	bruvate Agamena vE HSvH-_[2.1]134b
   bruvate śūnyam anye tu HSvs_[6.6]467a	bruvate SUnyam anye tu HSvH-_[6.6]467a
   bhayaśaktyā vinirmukto HSvs_[9.1]564c	Baya-SaktyA vinirmuktaH HSvH-_[9.1]564c
   bhavato 'pi prasajyate HSvs_[2.1]129b	BavataH api prasajyate HSvH-_[2.1]129b
   bhavatyato na doṣo naḥ HSvs_[7.1]529c	Bavati-atas na dozaH naH HSvH-_[7.1]529c
   bhavad ekaṃ kathaṃ bhavet HSvs_[4.4]307b	Bavat ekam kaTam Bavet HSvH-_[4.4]307b
   bhavanapratiṣedhataḥ HSvs_[4.2]274d	Bavana-pratizeDataH HSvH-_[4.2]274d
   bhavanaṃ sūrayo viduḥ HSvs_[4.2]252d	Bavanam sUrayaH viduH HSvH-_[4.2]252d
   bhavavirahabījam anaghaṃ labhatāṃ bhavyo janas tena HSvs_[11.4]700/b	Bava-viraha-bIjam anaGam laBatAm BavyaH janaH tena HSvH-_[11.4]700/b
   bhavānta iti kathyate HSvs_[5.2]404d	BavAntaH iti kaTyate HSvH-_[5.2]404d
   bhaved utpattir evaṃ ca HSvs_[1.2]47c	Bavet utpattiH evam ca HSvH-_[1.2]47c
   bhavopagrāhikarmaṇaḥ HSvs_[9.1]573b	Bava-upagrAhi-karmaNaH HSvH-_[9.1]573b
   bhāvagarbhaṃ yathābhāvaṃ HSvs_[9.1]562c	BAva-garBam yaTABAvam HSvH-_[9.1]562c
   bhāvatas tadupakrame HSvs_[9.1]571d	BAvataH tad-upakrame HSvH-_[9.1]571d
   bhāvatāptestathā nāma- HSvs_[1.2]37c	BAva-tA-ApteH-taTA nAma HSvH-_[1.2]37c
   bhāvato buddhicakṣuṣā HSvs_[9.1]561b	BAvataH budDi-cakzuzA HSvH-_[9.1]561b
   bhāvato bhoga iṣyate HSvs_[3.2]220b	BAvataH BogaH izyate HSvH-_[3.2]220b
   bhāvatvāt tasya cen na tat HSvs_[4.4]310d	BAva-tvAt tasya ced na tat HSvH-_[4.4]310d
   bhāvatvena pratītitaḥ HSvs_[4.2]265d	BAva-tvena pratItitaH HSvH-_[4.2]265d
   bhāvamātraṃ tad iṣṭaṃ cet HSvs_[7.1]492a	BAva-mAtram tat izwam ced HSvH-_[7.1]492a
   bhāvayan buddhimān naraḥ HSvs_[11.4]698b	BAvayan budDimAn naraH HSvH-_[11.4]698b
   bhāvaśuddher mahātmanām HSvs_[2.1]149d	BAva-SudDeH mahAtmanAm HSvH-_[2.1]149d
   bhāvasyābhavanaṃ yat tad HSvs_[4.2]273a	BAvasya-aBavanam yat tat HSvH-_[4.2]273a
   bhāvasyeva tato na kim ? HSvs_[4.2]257d	BAvasya-iva tatas na kim ? HSvH-_[4.2]257d
   bhāvahetuṃ samāśritya HSvs_[6.1]423c	BAva-hetum samASritya HSvH-_[6.1]423c
   bhāvaḥ syāt paṭaśuddhivat HSvs_[5.2]407b	BAvaH syAt pawa-SudDi-vat HSvH-_[5.2]407b
   bhāvāc cātiprasaṃgataḥ HSvs_[4.6]353d	BAvAt ca-atiprasaMgataH HSvH-_[4.6]353d
   'bhāvād eva kadācana HSvs_[7.1]538b	aBAvAt eva kadAcana HSvH-_[7.1]538b
   bhāvān mithyāpravartanāt HSvs_[10.1]618b	BAvAt miTyA-pravartanAt HSvH-_[10.1]618b
   bhāvāpternāśitoditā HSvs_[4.2]272d	BAva-ApteH-nASita-uditAH HSvH-_[4.2]272d
   bhāvārtham adhigacchati HSvs_[11.4]698d	BAva-arTam aDigacCati HSvH-_[11.4]698d
   bhāvāvicchedato 'nvayaḥ HSvs_[4.2]266d	BAva-avi=-CedataH anvayaH HSvH-_[4.2]266d
   bhāve cāsyā balād ekam HSvs_[6.4]457a	BAve ca-asyAH balAt ekam HSvH-_[6.4]457a
   bhāve 'nyaj jātucid bhavet HSvs_[3.2]217b	BAve anyat jAtucit Bavet HSvH-_[3.2]217b
   bhāve 'pi ca pramāṇasya HSvs_[8.1]548a	BAve api ca pramANasya HSvH-_[8.1]548a
   bhāve 'pi sarvadā tasyāḥ HSvs_[5.2]412c	BAve api sarvadA tasyAH HSvH-_[5.2]412c
   bhāve vāsyaiva karmatā HSvs_[1.4]100b	BAve vA-asya-eva karma-tA HSvH-_[1.4]100b
   bhāve hantottaraṃ kutaḥ HSvs_[4.3]289b	BAve hanta-uttaram kutas HSvH-_[4.3]289b
   bhāve hy eṣa vikalpaḥ syād HSvs_[4.2]270a	BAve hi eza vikalpaH syAt HSvH-_[4.2]270a
   bhāvotpattis tadātmikā HSvs_[4.3]297d	BAva-utpattiH tad-AtmikAH HSvH-_[4.3]297d
   bhāvo nābhāvam etīha HSvs_[1.2]77c	BAvaH na-aBAvam eti-iha HSvH-_[1.2]77c
