   prathamaḥ paricchedaḥ	praTamaH paricCedaH
   yathā   vālivadhaḥ /	yaTA   vAli vaDaH /
   atha rāsakam   	aTa rAsakam   
   rāsakaṃ pañcapātraṃ syānmukhanirvahaṇānvitam /	rAsakam paQca pAtram syAt muKa nirvahaNa anvitam /
   bhāṣāvibhāṣābhūyiṣṭhaṃ bhāratī kauśikīyutam // VisSd_6.288 //	BAzA viBAzA BUyizWam BAratI kOSikI yutam // VisSd _6.288 //
   Locanā:	LocanA:
   (lo, ū) bhāṣeti  bhāṣāvibhāge yathā  bhāṣārṇave   	(lo, U) BAza iti   BAzA viBAge yaTA  BAzA arNave   
   "bhāṣā madhyamapātrāṇāṃ nāṭakādau viśeṣataḥ /	"BAzA maDyama pAtrANAm nAwaka AdO viSezataH /
   mahārāṣṭrī saurasenītyuktā bhāṣā dvidhā budhaiḥ /	mahArAzwrI sOrasenI iti uktA BAzA dviDA buDEH /
   hīnairbhāṣyā vibhāṣā syāt sā ca saptavidhā smṛtā /	hInEH BAzyA viBAzA syAt sA ca saptaviDA smRtA /
   prācyāvantī māgadhī ca śākārī ca tathāparā /	prAcyAvantI mAgaDI ca SAkArI ca taTA aparAH /
   cāṇḍālī śāvarī caiva tathā bhīrīti bhedataḥ //	cANxAlI SAvarI ca eva taTA BIri iti BedataH //
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   asūtradhāramekāṅkaṃ savīthyaṅgaṃ kalānvitam /	asUtra DAram eka aFkam sa vITI aFgam kalA anvitam /
   śliṣṭanāndīyutaṃ khyātanāyikaṃ mūrkhanāyakam // VisSd_6.289 //	SlizwanAndI yutam KyAta nAyikam mUrKa nAyakam // VisSd _6.289 //
   udāttabhāvavinyasasaṃśritaṃ cottarottaram /	udAtta BAva vinyasa saMSritam ca uttarottaram /
   iha pratimukhaṃ sandhimapi kecitpracakṣate // VisSd_6.290 //	iha pratimuKam sanDim api kecid pracakzate // VisSd _6.290 //
   yathā   menaṃkāhitam /	yaTA   menaMkAhitam /
   atha saṃlāpakam   	aTa saMlApa kam   
   saṃlāpake 'ṅkāścatvārastrayo vā nāyakaḥ punaḥ /	saMlApake aFkAH catvAraH trayaH vA nAyakaH punar /
   pāṣaṇḍaḥ syādrasastatra śṛṅgārakaruṇotaraḥ // VisSd_6.291 //	pAzaNxaH syAt rasaH tatra SRFgArakaruNotaraH // VisSd _6.291 //
   bhaveyuḥ purasaṃrodhacchalasaṃgrāmavidravāḥ /	BaveyuH pura saMroDa= Cala saMgrAma vidravAH /
   na tatra vṛttirbhavati bhāratī na ca kauśikī // VisSd_6.292 //	na tatra vRttiH Bavati BAratI na ca kOSikI // VisSd _6.292 //
   yathā   māyākāpālikam /	yaTA a   mAyA kApAlikam /
   atha śrīgaditam   	aTa SrI gaditam   
   prakhyātavṛttamekāṅkaṃ prakhyātodāttanāyakam /	praKyAta vRttam eka aFkam praKyAta udAtta nAyakam /
   prasiddhanāyikaṃ garbhavimarśābhyāṃ vivarjitam // VisSd_6.293 //	prasidDa nAyikam garBa vimarSAByAm vivarjitam // VisSd _6.293 //
   bhāratīvṛttibahulaṃ śrītiśabdena saṃkulam /	BAratI vRtti bahulam SrIti Sabdena saMkulam /
   mataṃ śrīgaditaṃ nāma vidvadbhiruparūpakam // VisSd_6.294 //	matam SrI gaditam nAma vidvadBiH uparUpakam // VisSd _6.294 //
   yathā   krīḍārasātalam /	yaTA a   krIxA rasAtalam /
   śrīrāsīnā śrīgadite gāyetkiṃ citpaṭhedapi /	SrIH AsInA SrI gadite gAyet kim cit paWet api /
   ekāṅko bhāratīprāya iti kecitpracakṣate // VisSd_6.295 //	eka aFkaH BAratI prAyaH iti kecid pracakzate // VisSd _6.295 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) śrīgaditākhyamuparūpakamāha   atheti /	(vi, Ka) SrIgadita AKyam uparUpakam Aha   aTa iti /
        prītiśabdena prītijanakaśabdena /	prIti Sabdena prIti janaka Sabdena /
        śrīrāsīneti /	SrIH AsInA iti /
        śrīḥ lakṣmīḥ /	SrIH lakzmIH /
        āsīnā praviṣṭā /	AsInA pravizwA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ūhyamudāharaṇam /	Uhyam udAharaNam /
   atha śilpakam   	aTa Silpakam   
   catvāraḥ śilpake 'ṅkāḥ syuścatastro vṛttayastathā /	catvAraH Silpake aFkAH syuH catastraH vRttayaH taTA /
   aśāntahāsyāśca rasā nāyako brāhmaṇo mataḥ // VisSd_6.296 //	aSAnta hAsyAH ca rasAH nAyakaH brAhmaNaH mataH // VisSd _6.296 //
   varṇanātra śmaśānāderhenaḥ syādupanāyakaḥ /	varNana atra SmaSAna AdeH henaH syAt upanAyakaH /
   saptiviṃśatiraṅgāni bhavantyetasya tāni tu // VisSd_6.297 //	saptiviMSatiH aFgAni Bavanti etasya tAni tu // VisSd _6.297 //
   āśaṃsātarkasaṃdehatāpodvegaprasaktayaḥ /	ASaMsAtarka saMdeha tApa udvega prasaktayaH /
   prayatnagrathanotkaṇṭhāvahitthāpratipattayaḥ // VisSd_6.298 //	prayatna graTana utkaNWa avahitTa apratipattayaH // VisSd _6.298 //
   vilāsālasyabāṣpāṇi praharṣāśvāsamūḍhatāḥ /	vilAsa Alasya bAzpANi praharza ASvAsa mUXa tAH /
   sādhanānugamocchavāsavismayaprāptayastathā // VisSd_6.299 //	sADana anugama ucCa vAsa vismaya prAptayaH taTA // VisSd _6.299 //
   lābhavismṛtisaṃphoṭā vaiśāradyaṃ prabodhanam /	lABa vismRti saMPowAH vESAradyam praboDanam /
   camatkṛtiścetyamīṣāṃ spaṣṭatvāllakṣma nocyate // VisSd_6.300 //	camatkRtiH ca iti am IzAm spazwa tvAt lakzma na ucyate // VisSd _6.300 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) śilpakākhyamuparūpakamāha   atheti /	(vi, ga) Silpaka AKyam uparUpakam Aha   aTa iti /
        hīna iti /	hInaH iti /
        nikṛṣṭajano 'sahāyaḥ /	nikRzwa janaH asahAyaH /
        asyāśaṃsādyaṅgānyuddiśya tallakṣaṇodāharaṇe spaṣṭatvādupekṣite /	asya ASaMsa Adi aFgAni uddiSya tad lakzaNa udAharaNe spazwa tvAt upekzite /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saṃphoṭagrathanayoḥ pūrvamuktatvādeva lakṣma siddham /	saMPowa graTanayoH pUrvam ukta tvAt eva lakzma sidDam /
   yathā   kanakāvatīmādhavaḥ /	yaTA   kanakAvatI mADavaH /
   atha vilāsikā   	aTa vilAsikA   
   śṛṅgārabahulaikāṅkā daśalāsyāṅgasaṃyutā /	SRFgAra bahula eka aFkA daSala asya aFga saMyutA /
   vidūṣakaviṭābhyāṃ ca pīṭhamardena bhūṣitā // VisSd_6.301 //	vidUza ka viwAByAm ca pIWamardena BUzitAH // VisSd _6.301 //
   hīnā garbhavimarśābhyāṃ saṃdhibhyāṃ hīnanāyakā /	hInA garBa vimarSAByAm saMDiByAm hIna nAyakAH /
   svalpavṛttā sunepathyā vikhyātā sā vilāsikā // VisSd_6.302 //	su alpa vRttA su nepaTyA viKyAtA sA vilAsikA // VisSd _6.302 //
   kecittu tatra vilāsikāsthāne vināyiketi paṭhanti /	kecid tu tatra vilAsikA sTAne vinAyikA iti paWanti /
   tasyāstu "durmallikāyāmantarbhāvaḥ" ityānye /	tasyAH tu "duH mallikAyAm antarBAvaH" ityAn ye /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) vilāsikākhyamuparūpakamāha   atheti /	(vi, Ga) vilAsikA AKyam uparUpakam Aha   aTa iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha durmallikā   	aTa durmallikA   
   durmallī caturaṅkā syāt kauśikībhāratīyutā /	durmallI catur aFkA syAt kOSikI BAratI yutAH /
   agarbhā nāgaranarānyūnanāyakabhūṣitā // VisSd_6.303 //	agarBA nAgara nara anyUna nAyaka BUzitAH // VisSd _6.303 //
   trināliḥ prathamo 'ṅkāsyāṃ viṭakrīḍāmayo bhavet /	trinAliH praTamaH aFka asyAm viwa krIxA mayaH Bavet /
   pañcanālidvitīyo 'ṅko vidūṣakavilāsavān // VisSd_6.304 //	paQcanAli dvitIyaH aFkaH vidUzaka vilAsavAn // VisSd _6.304 //
   ṣaṇṇālikastṛtīyastu pīṭhamardavilāsavān /	zaNNAlikaH tRtIyaH tu pIWamarda vilAsavAn /
   caturtho daśanāliḥ syādaṅkaḥ krīḍitanāgaraḥ // VisSd_6.305 //	caturTaH daSana aliH syAt aFkaH krIxita nAgaraH // VisSd _6.305 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) durmallikākhyamuparūpakamāha  atheti /	(vi, Fa) durmallikA AKyam uparUpakam Aha  aTa iti /
        agarbhā garbhasandhirahitā /	agarBA garBa sanDi rahitAH /
        nāgaranarāḥ nāgarapātrāṇi /	nAgara narAH nAgara pAtrANi /
        nāyako nikṛṣṭaḥ /	nAyakaH nikRzwaH /
        trināliḥ nālikātrayasādhyaḥ /	trinAliH nAlikA traya sADyaH /
        evamuttaratra /	evam uttaratra /
        viṭakrīḍā, dhūrtakrīḍā /	viwa krIxA, DUrta krIxA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā   bindhumatī /	yaTA a   binDumatI /
   atha prakaraṇikā   	aTa prakaraNikA   
   nāṭikaiva prakaraṇī sārthavāhādināyakā /	nAwikA eva prakaraNI sArTavAha Adi nAyakA /
   samānavaṃśajā neturbhavedyatra ca nāyikā // VisSd_6.306 //	samAna vaMSa jAH netuH Bavet yatra ca nAyikA // VisSd _6.306 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) prakaraṇikākhyamuparūpakamāha   atheti /	(vi, ca) prakaraNika AKyam uparUpakam Aha   aTa iti /
        nāṭikaiveti /	nAwikA eva iti /
        nāṭikālakṣaṇakrāntaivetyarthaḥ /	nAwikA lakzaNa krAntA eva iti arTaH /
        ṣa sārthavāhāḥ pathikāḥ /	za sArTavAhAH paTikAH /
        ādiśabdāt pravāsinaśca /	Adi SabdAt pravAsinaH ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   mṛgyamudāharaṇam /	mRgyam udAharaNam /
   atha hallīśaḥ   	aTa hallISaH   
   hallīśa eka evāṅkaḥ saptāṣṭau daśa vā striyaḥ /	hallISaH ekaH eva aFkaH sapta azwO daSa vA striyaH /
   vāgudāttaikapuruṣaḥ kau (kai) śikīvṛttirujjvalā /	vAc udAtta eka puruzaH kO (kE) SikIvRttiH ujjvalA /
   mukhāntimau tathā sandhī bahutālalayasthitiḥ // VisSd_6.307 //	muKa antimO taTA sanDI bahu tAla laya sTitiH // VisSd _6.307 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) hallīśākhyamuparūpakamāha   atheti /	(vi, Ca) hallISa AKyam uparUpakam Aha   aTa iti /
        mukheti   mukhanirvahaṇasandhidvayavatī /	muKa iti    muKa nirvahaNa sanDi dvayavatI /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā   koliraivatakam /	yaTA   koliH Evatakam /
   atha bhāṇikā  	aTa BANikA  
   bhāṇikā ślakṣṇanepathyā mukhanirvahaṇanvitā /	BANikA SlakzNa nepaTyA muKa nirvahaNanvitA /
   kau (kai) śikībhāratīvṛttiyuktaikāṅkavinirmitā // VisSd_6.308 //	kO (kE) SikIBAratI vRtti yukta eka aFka vinirmitAH // VisSd _6.308 //
   udāttanāyikā mandanāyakātrāṅgasaptakam /	udAtta nAyikA mandanAya kAtra aFga saptakam /
   upanyāso 'tha vinyāso vibodhaḥ sādhvasaṃ tathā // VisSd_6.309 //	upanyAsaH aTa vinyAsaH viboDaH sADvasam taTA // VisSd _6.309 //
   samarpaṇaṃ nivṛttiśca saṃhāra iti saptamaḥ /	samarpaNam nivRttiH ca saMhAraH iti saptamaH /
   upanyāsaḥ prasaṅgena bhavetkāryasya kīrtanam // VisSd_6.310 //	upanyAsaH prasaFgena Bavet kAryasya kIrtanam // VisSd _6.310 //
   nirvedavākyavyutpattirvinyāsa iti sa smṛtaḥ /	nirveda vAkya vyutpattiH vinyAsaH iti sa smRtaH /
   bhrāntināśo vibodhaḥ syānmithyākhyānaṃ tu sādhvasam // VisSd_6.311 //	BrAnti nASaH viboDaH syAt miTyA AKyAnam tu sADvasam // VisSd _6.311 //
   sopālambhavacaḥ kopapīḍayeha samarpaṇam /	sa upAlamBa vacaH kopa pIxayA iha samarpaNam /
   nidarśanasyopanyāso nivṛttiriti kathyate // VisSd_6.312 //	nidarSanasya upanyAsaH nivRttiH iti kaTyate // VisSd _6.312 //
   saṃhāra iti ca prāhuryatkāryasya samāpanam /	saMhAraH iti ca prAhuH yat kAryasya samApanam /
   spaṣṭānyudāharaṇāni /	spazwAni udAharaNAni /
   yathā   kāmadattā /	yaTA   kAmadattA /
   eteṣāṃ sarveṣāṃ nāṭakaprakṛtitve 'pi yathaicityaṃ yathālābhaṃ	etezAm sarvezAm nAwaka prakRti tve api yaTA ecityam yaTAlABam
   nāṭakoktaviśeṣaparigrahaḥ /	nAwaka ukta viSeza parigrahaH /
   yatra ca nāṭakoktasyāpi punarupādānaṃ tatra tatsadbhāvasya niyamaḥ /	yatra ca nAwaka uktasya api punar upAdAnam tatra tad sadBAvasya niyamaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) bhāṇikākhyamuparūpakamāha   atheti /	(vi, ja) BANikA AKyam uparUpakam Aha   aTa iti /
        mando nikṛṣṭaḥ /	mandaH nikRzwaH /
        asya kāryāṇyāha   upanyāsa ityādi /	asya kAryANi Aha   upanyAsaH ityAdi /
        teṣāṃ lakṣaṇānyāha   upanyāsa iti /	tezAm lakzaNAni Aha   upanyAsaH iti /
        nirvedavākyasya vyutpattirvinyāsaḥ, sā ca vinyāsasaṃjñikā /	nirveda vAkyasya vyutpattiH vinyAsaH, sA ca vinyAsa saMjQikA /
        kopapīḍayopālambhavacaḥ samarpaṇākhyaṃ kāryamityarthaḥ /	kopa pIxayA upAlamBa vacaH samarpaNa AKyam kAryam iti arTaH /
        nidarśanasya dṛṣṭāntasyopanyāsa ityarthaḥ /	nidarSanasya dRzwAntasya upanyAsaH iti arTaH /
        kāryasya samāpanam   mukhyakāryāvāntarakāryasyetyarthaḥ /	kAryasya samApanam    muKya kAryA avAntara kAryasya iti arTaH /
        eṣāṃ kāryāṇāṃ	ezAm kAryANAm
   sarvanaṭakeṣvevocityātsarvanāṭakānāmevaitatkāryatvamāha   eṣāmiti /	sarva nawakezu eva ucityAt sarva nAwakAnAm eva etat kArya tvam Aha   ezAm iti /
        nāṭakoktaviśeṣe parigraha iti vigrahaḥ /	nAwaka ukta viSeze parigrahaH iti vigrahaH /
        tathā ca bhāṇikoktakāryasya nāṭakāntarepi dātavyamuktam /	taTA ca BANikA ukta kAryasya nAwaka antarepi dAtavyam uktam /
        yacceti /	yat ca iti /
        nāṭake hi ṣaṭtriṃśallakṣaṇālaṅkārādayaścoktāḥ /	nAwake hi zawtriMSat lakzaNa alaFkAra AdayaH ca uktAH /
        taduktavastuno yacca punarupādānaṃ nāṭakāntara iti bodhyam /	tad ukta vastunaH yat ca punar upAdAnam nAwaka antaraH iti boDyam /
        tatsadbhāvasyeti   tatsadbhāvasya tatrāvaśyakatārūpaniyam ityarthaḥ /	tad sadBAvasya iti    tad sadBAvasya tatra AvaSyaka tArUpa niyam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha śravyakāvyāni   	aTa Sravyaka avyAni   
   śravyaṃ śrotavyamātraṃ tatpadyagadyamayaṃ dvidhā // VisSd_6.313 //	Sravyam Srotavya mAtram tat padya gadya mayam dviDA // VisSd _6.313 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) śravyakāvyānīti /	(vi, Ja) Sravyaka AvyAni iti /
        tatprabedadvayamāha   padyagadyamiti /	tad prabeda dvayam Aha   padya gadyam iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra padyamayānyāha   	tatra padya mayAni Aha   
   chandobaddhapadaṃ padyaṃ tena muktena muktakam /	CandaH badDa padam padyam tena muktena muktakam /
   dvābhyāṃ tu yugmakaṃ sāṃdānatikaṃ tribhiriṣyate // VisSd_6.314 //	dvAByAm tu yugmakam sAMdAnatikam triBiH izyate // VisSd _6.314 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) dvābhyāmityādicaturṣu parasparaikavākyatāpannatve satīti	(vi, Qa) dvAByAm ityAdi caturzu paraspara eka vAkya tA Apanna tve sati iti
   vodhyam /	voDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kalāpakaṃ caturbhiśca pañcabhiḥ kulakaṃ matam /	kalApakam caturBiH ca paQcaBiH kulakam matam /
   tatra muktakaṃ yathā mama   	tatra muktakam yaTA mama   
   "sāndrānandamanantamavyayamajaṃ yadyogino 'pi kṣaṇaṃ sākṣātkartumupāsate	"sAndra Anandam anantam avyayam ajam yat yoginaH api kzaNam sAkzAtkartum upAsate
   prati muhurdhyānaikatānāḥ param /	prati muhur DyAna eka tAnAH param /
   dhanyāstā madhurāpirīyuvatayastadbrahma yā kautukā  	DanyAH tAH maDura apirIyuvatayaH tat brahma yA kOtukA  
   dāliṅganti samalapanti śatadhā'karṣanti cumbanti ca" //	dAliFganti samalapanti SataDA akarzanti cumbanti ca" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) sāndrānandamiti  yatparaṃ prakṛṣṭaṃ brahma kṣaṇamapi	(vi, wa) sAndra Anandam iti  yat param prakRzwam brahma kzaNam api
   sākṣātkatudhyānaikatānā dhyānamātrāviṣṭā yoginaḥ pratimuhurupāsate	sAkzAt katuDyAna eka tAnA DyAna mAtra AvizwAH yoginaH pratimuhuH upAsate
   tadbrahma yā mathurāpurayuvatayaḥ kautukādāliṅgantītyādi tā dhanyaḥ /	tat brahma yA maTurA pura yuvatayaH kOtukAt AliFganti ityAdi tAH DanyaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yugmakaṃ yathā mama   	yugmakam yaTA mama   
   "kiṃ karoṣi karopānte kānte ! gaṇḍasthalīmimām /	"kim karozi kara upAnte kAnte ! gaNxa sTalIm imAm /
   praṇayapravaṇo kānte 'naikānte nocitāḥ krudhaḥ //	praNaya pravaNaH kAnte anEkAnte na ucitAH kruDaH //
   iti yāvatkuraṅgākṣīṃ vaktumīhāmahe vayam /	iti yAvat kuraFga akzIm vaktum IhAmahe vayam /
   tāvadāvirabhūccūte madhuro madhupadhvaniḥ" //	tAvat AviraBUt cUte maDuraH maDupa DvaniH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) māninyā mānabhaṅgaprakāraṃ sakhyau kathayannāha  kiṃ	(vi, Wa) mAninyA mAna BaFga prakAram saKyO kaTayat nAha  kim
   karoṣītyādi /	karozi ityAdi /
        he kānte ! karopānte imāṃ gaṇḍasthalīṃ kimarthaṃ karoṣi ? tataḥ	he kAnte ! kara upAnte imAm gaNxa sTalIm kim arTam karozi ? tatas 
   praṇayapravaṇa ityādi spaṣṭam /	praNaya pravaNaH ityAdi spazwam /
        kuraṅgākṣīmiti vaktuṃ vayaṃ yāvadīhāmahe tāvanmadhuro madhupadhvaniḥ	kuraFga akzIm iti vaktum vayam yAvat IhAmahe tAvat maDuraH maDupa DvaniH
   cūte āvirabhūt /	cUte AviraBUt /
        atra prathamaślokārtho dvitīyaśloka utkikarmatvena ukta iti	atra praTama Sloka arTaH dvitIya Sloke utkikarma tvena uktaH iti
   ekavākyatā /	eka vAkyatA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   evamanyānyapi /	evam anyAni api /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) evamiti   sandānitakādāvapi evaṃ bodhyamityarthaḥ /	(vi, xa) evam iti    sanda anitaka AdO= api evam boDyam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sargabandho mahākāvyaṃ tatraiko nāyakaḥ suraḥ // VisSd_6.315 //	sargabanDaH mahAkAvyam tatra ekaH nAyakaH suraH // VisSd _6.315 //
   sadvaṃśaḥ kṣatriyo vāpi dhīrodāttaguṇānvitaḥ /	sat vaMSaH kzatriyaH vA api DIra udAtta guNa anvitaH /
   ekavaṃśabhavā bhūpāḥ kulajā bahavo 'pi vā // VisSd_6.316 //	eka vaMSa BavAH BUpAH kula jAH bahavaH api vA // VisSd _6.316 //
   śṛṅgāravīraśāntānāmeko 'ṅgī rasa iṣyate /	SRFgAra vIra SAntAnAm ekaH aFgI rasaH izyate /
   aṅgāni sarve 'pi rasāḥ sarve nāṭakasandhayaḥ // VisSd_6.317 //	aFgAni sarve api rasAH sarve nAwaka sanDayaH // VisSd _6.317 //
   itihāsodbhavaṃ vṛttamanyadvā sajjanāśrayam /	itihAsa udBavam vRttam anyat vA sat jana ASrayam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) mahākāvyalakṣaṇamāha   sargabandha ityādi /	(vi, Xa) mahAkAvya lakzaNam Aha    sarga banDaH ityAdi /
        paricchedarūpaḥ sargo badhyeta'sminniti sargabandhaḥ /	paricCeda rUpaH sargaH baDyeta asmin= iti sarga banDaH /
        suro devaḥ /	suraH devaH /
        sarve nāṭakasandhayo mukhapratimukhādayaḥ pañca /	sarve nAwaka sanDayaH muKa pratimuKa AdayaH paQca /
        sajjanāśrayam   varṇanīyottamajanasya vṛttaṃ vetyarthaḥ /	sat jana ASrayam   varNanIya uttama janasya vRttam vA iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   catvārastasya vargāḥ syusteṣvekaṃ ca phalaṃ bhavet // VisSd_6.318 //	catvAraH tasya vargAH syuH tezu ekam ca Palam Bavet // VisSd _6.318 //
   ādau namaskriyāśīrvā vastunirdeśa eva vā /	AdO namaskriyA SIrvA vastu nirdeSaH eva vA /
   kvacinnindā khalādīnāṃ satāṃ ca guṇakīrtanam // VisSd_6.319 //	kvacid nindA Kala AdInAm satAm ca guNa kIrtanam // VisSd _6.319 //
   ekavṛttamayaiḥ padyairavasāne 'nyavṛttakaiḥ /	eka vRtta mayEH padyEH avasAne anya vRttakEH /
   nāstisvalpā nātidīrghāḥ sargā aṣṭādhikā iha // VisSd_6.320 //	nAstisu alpAH na ati dIrGAH sargAH azwa aDikAH iha // VisSd _6.320 //
   nānāvṛttamayaḥ kāpi sargaḥ kaścana dṛśyate /	nAnA vRtta mayaH kA api sargaH kaScana dRSyate /
