   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   yuktarūpamidaṃ caiva śuddhasattvasya cetasaḥ /	yukta-rUpam-idam ca-eva SudDa-sattvasya cetasaH /
   yatte syānnaiṣṭhike sūkṣme śreyasi śraddadhānatā // Saund_12.30 //	yat-te syAt-nEzWike sUkzme Sreyasi SraddaDAna-tA // SOnd-_12.30 //
   dharmacchandamimaṃ tasmādvivardhayitumarhasi /	Darma=-Candam-imam tasmAt-vivarDayitum-arhasi /
   sarvadharmā hi dharmajña niyamācchandahetavaḥ // Saund_12.31 //	sarva-DarmAH hi Darma-jQa niyamAt-Canda-hetavaH // SOnd-_12.31 //
   satyāṃ gamanabuddhau hi gamanāya pravartate /	satyAm gamana-budDO hi gamanAya pravartate /
   śayyābuddhau ca śayanaṃ sthānabuddhau tathā sthitiḥ // Saund_12.32 //	SayyA-budDO ca Sayanam sTAna-budDO taTA sTitiH // SOnd-_12.32 //
   antarbhūmigataṃ hyambhaḥ śraddadhāti naro yadā /	antar-BUmi-gatam hi-amBaH SraddaDAti naraH yadA /
   arthiṃtve sati yatnena tadā khanati gāmimām // Saund_12.33 //	arTiMtve sati yatnena tadA Kanati gAm-imAm // SOnd-_12.33 //
   nārthī yadyagninā vā syācchraddadhyāttaṃ na vāraṇau /	na-arTI yadi-agninA vA syAt-SraddaDyAt-tam na vAraNO /
   mathnīyānnāraṇiṃ kaścittabhaāve sati mathyate // Saund_12.34 //	maTnIyAn-na-araNim kaScid-ta-BaAve sati maTyate // SOnd-_12.34 //
   sasyotpattiṃ yadi na vā śraddadhyāt kārṣakaḥ kṣitau /	sasya-utpattim yadi na vA SraddaDyAt kArzakaH kzitO /
   arthī sasyena vā na syād bījāni na vaped bhuvi // Saund_12.35 //	arTI sasyena vA na syAt bIjAni na vapet Buvi // SOnd-_12.35 //
   ataśca hasta ityuktā mayā śraddhā viśeṣataḥ /	atas-ca hastaH iti-uktAH mayA SradDA viSezataH /
   yasmād gṛṇhāti saddharmaṃ dāyaṃ hasta yato yathāḥ // Saund_12.36 //	yasmAt gRNhAti sadDarmam dAyam hasta yatas yaTAH // SOnd-_12.36 //
   prādhānyādindriyamiti sthiratvād balamityataḥ /	prADAnyAt-indriyam-iti sTira-tvAt balam-iti-atas /
   guṇadāridrayaśamanād dhanamityabhivarṇitā // Saund_12.37 //	guNa-dAridraya-SamanAt Danam-iti-aBivarNitAH // SOnd-_12.37 //
   rakṣaṇārthena dharmasya tatheṣīketyudāhṛtā /	rakzaNa-arTena Darmasya taTA-izIkA-iti-udAhRtA /
   loke 'smin durlabhatvācca ratnamityabhibhāṣitā // Saund_12.38 //	loke asmin durlaBa-tvAt-ca ratnam-iti-aBiBAzitAH // SOnd-_12.38 //
   punaśca bījamityuktā nimittaṃ śreyaso yadā /	punar-ca bIjam-iti-uktA nimittam SreyasaH yadA /
   pāvanārthena pāpasya nadītyabhihitā punaḥ // Saund_12.39 //	pAvana-arTena pApasya nadI-iti-aBihitA punar // SOnd-_12.39 //
   yasmāddharmasya cotpattau śraddhā kāraṇamuttamam /	yasmAt-Darmasya ca-utpattO SradDA kAraNam-uttamam /
   mayoktā kāryatastasmāttatra tatra tathā tathā // Saund_12.40 //	mayA-uktA kAryataH-tasmAt-tatra tatra taTA taTA // SOnd-_12.40 //
   śraddhāṅkuramimaṃ tasmāt saṃvardhayitumarhasi /	SradDA-aFkuram-imam tasmAt saMvarDayitum-arhasi /
   tadvṛddhau vardhate dharmo mūlavṛddhau yathā drumaḥ // Saund_12.41 //	tad-vRdDO varDate DarmaH mUla-vRdDO yaTA drumaH // SOnd-_12.41 //
   vyākulaṃ darśanaṃ yasya durbalo yasya niścayaḥ /	vyAkulam darSanam yasya durbalaH yasya niScayaH /
   tasya pāriplavā śraddhā na hiṃ kṛtyāya vartate // Saund_12.42 //	tasya pAriplavA SradDA na him kRtyAya vartate // SOnd-_12.42 //
   yāvattattvaṃ na bhavati hi dṛṣṭaṃ śrutaṃ vā tāvacchraddhā na bhavati	yAvat-tattvam na Bavati hi dRzwam Srutam vA tAvat-SradDA na Bavati
   balasthā sthirā vā /	balasTA sTirA vA /
   dṛṣṭe tattve niyamaparibhūtendriyasya śraddhāvṛkṣo bhavati	dRzwe tattve niyama-pariBUta-indriyasya SradDA-vRkzaH Bavati
   saphalaścāśrayaśca // Saund_12.43 //	saPalaH-ca-ASrayaH-ca // SOnd-_12.43 //
   saundarananda mahākāvya meṃ "viveka" nāmaka dvādaśa sarga samāpta /	sOndara-nanda mahAkAvya mem "viveka" nAmaka dvAdaSa sarga samApta /
   trayodaśaḥ sargaḥ	trayodaSaH sargaH
   śīla evaṃ indriyasaṃyama	SIlaH evam indriya-saMyama
   atha saṃrādhito nandaḥ śraddhāṃ prati maharṣiṇā /	aTa saMrADitaH nandaH SradDAm prati mahA-RziNA /
   pariṣikto 'mṛteneva yuyuje parayā mudā // Saund_13.1 //	pariziktaH amRtena-iva yuyuje parayA mudA // SOnd-_13.1 //
   kṛtārthamiva taṃ mene saṃbuddhaḥ śraddhayā tayā /	kRtArTam-iva tam mene saMbudDaH SradDayA tayA /
   mene prāptamiva śreyaḥ sa ca buddhena saṃskṛtaḥ // Saund_13.2 //	mene prAptam-iva SreyaH sa ca budDena saMskRtaH // SOnd-_13.2 //
   ślakṣṇena vacasā kāṃścit kāṃścit paruṣayā girā /	SlakzNena vacasA kAMScid kAMScid paruzayA girA /
   kāṃścidābhyāmupāyābhyāṃ sa vininye vināyakaḥ // Saund_13.3 //	kAMScid-AByAm-upAyAByAm sa vininye vinAyakaH // SOnd-_13.3 //
   pāṃsubhyaḥ kāñcanaṃ jātaṃ viśuddhaṃ nirmalaṃ śuci /	pAMsuByaH kAQcanam jAtam viSudDam nirmalam Suci /
   sthitaṃ pāṃsuṣvapi yathā pāṃsudoṣairna lipyate // Saund_13.4 //	sTitam pAMsuzu-api yaTA pAMsu-dozEH-na lipyate // SOnd-_13.4 //
   padmaparṇaṃ yathā caiva jale jātaṃ jale sthitam /	padmaparNam yaTA ca-eva jale jAtam jale sTitam /
   upariṣṭādadhastādvā na jalenopalipyate // Saund_13.5 //	uparizwAt-aDastAt-vA na jalena-upalipyate // SOnd-_13.5 //
   tadvalloke munirjāto lokasyānugrahaṃ caran /	tadvat-loke muniH-jAtaH lokasya-anugraham caran /
   kṛtitvānnirmalatvācca lokadharmairna lipyate // Saund_13.6 //	kRti-tvAt-nirmala-tvAt-ca loka-DarmEH-na lipyate // SOnd-_13.6 //
   śleṣaṃ tyāgaṃ priyaṃ rūkṣaṃ kathāṃ ca dhyānameva ca /	Slezam tyAgam priyam rUkzam kaTAm ca DyAnam-eva ca /
   mantukāle cikitsārthaṃ cakre nātmānuvṛttaye // Saund_13.7 //	mantu-kAle cikitsA-arTam cakre na-Atma-anuvRttaye // SOnd-_13.7 //
   ataśca sandadhe kāyaṃ mahākaruṇayā tayā /	atas-ca sandaDe kAyam mahA-karuNayA tayA /
   mocayeyaṃ kathaṃ duḥkhāt sattvānītyanukampakaḥ // Saund_13.8 //	mocayeyam kaTam duHKAt sattvAni-iti-anukampakaH // SOnd-_13.8 //
   atha saṃharṣaṇānnandaṃ viditvā bhājanīkṛtam /	aTa saMharzaNAt-nandam viditvA BAjanIkRtam /
   abravīd bruvatāṃ śreṣṭhaḥ kramajñaḥ śreyasāṃ kramam // Saund_13.9 //	abravIt bruvatAm SrezWaH krama-jQaH SreyasAm kramam // SOnd-_13.9 //
   ataḥ prabhṛti bhūyastvaṃ średdhendriyapuraḥsaraḥ /	atas praBRti BUyas-tvam SredDa-indriya-puraHsaraH /
   amṛtasyāptaye saumya vṛttaṃ rakṣitumarhasi // Saund_13.10 //	amRtasya-Aptaye sOmya vRttam rakzitum-arhasi // SOnd-_13.10 //
   prayogaḥ kāyavacasoḥ śuddho bhavati te yathā /	prayogaH kAya-vacasoH SudDaH Bavati te yaTA /
   uttāno vivṛto gupto 'navacchidrastathā kuru // Saund_13.11 //	uttAnaH vivRtaH guptaH anavacCidraH-taTA kuru // SOnd-_13.11 //
   uttāno bhāvakaraṇād vivṛtaścāpyagūhanāt /	uttAnaH BAva-karaNAt vivRtaH-ca-api-agUhanAt /
   gupto rakṣaṇatātparyādacchidraścānavadyataḥ // Saund_13.12 //	guptaH rakzaNa-tAtparyAt-acCidraH-ca-anavadyataH // SOnd-_13.12 //
   śarīravacasoḥ śuddhau saptāṃge cāpi karmaṇi /	SarIra-vacasoH SudDO sapta-aMge ca-api karmaNi /
   ājīvasamudācāraṃ śaucāt saṃskartumarhasi // Saund_13.13 //	AjIva-samudAcAram SOcAt saMskartum-arhasi // SOnd-_13.13 //
   doṣāṇāṃ kuhanādīnāṃ pañcānāmaniṣevaṇāt /	dozANAm kuhana-AdInAm paQcAnAm-anizevaNAt /
   tyāgācca jyotiṣādīnāṃ caturṇāṃ vṛttighātinām // Saund_13.14 //	tyAgAt-ca jyotizA-AdInAm caturNAm vRtti-GAtinAm // SOnd-_13.14 //
   prāṇidhānyadhanādīnāṃ varjyānāmapratigrahāt /	prANi-DAnya-Dana-AdInAm varjyAnAm-apratigrahAt /
   bhaikṣāṅgānāṃ nisṛṣṭānāṃ niyatānāṃ pratigrahāt // Saund_13.15 //	BEkza-aFgAnAm nisRzwAnAm niyatAnAm pratigrahAt // SOnd-_13.15 //
   parituṣṭaḥ śucirmañjuścaukṣayā jīvasaṃpadā /	parituzwaH SuciH-maQjuH-cOkzayA jIva-saMpadA /
   kuryā duḥkhapratīkāraṃ yāvadeva vimuktaye // Saund_13.16 //	kuryAH duHKa-pratIkAram yAvat-eva vimuktaye // SOnd-_13.16 //
   karmaṇo hi yathādṛṣṭāt kāyavākprabhavādapi /	karmaNaH hi yaTAdRzwAt kAya-vAc-praBavAt-api /
   ājīvaḥ pṛthagevokto duḥśodhatvādayaṃ mayā // Saund_13.17 //	AjIvaH pRTak-eva-uktaH duHSoDa-tvAt-ayam mayA // SOnd-_13.17 //
   gṛhasthena hi duḥśodhā dṛṣṭirvividhadṛṣṭinā /	gRhasTena hi duHSoDA dRzwiH-viviDa-dRzwinA /
   ājīvo bhikṣuṇā caiva pareṣvāyattavṛttinā // Saund_13.18 //	AjIvaH BikzuNA ca-eva parezu-Ayatta-vRttinA // SOnd-_13.18 //
   etāvacchīlamityuktamācāro 'yaṃ samāsataḥ /	etAvat-SIlam-iti-uktam-AcAraH ayam samAsatas /
   asya nāśena naiva syāt pravrajyā na gṛhasthatā // Saund_13.19 //	asya nASena na-eva syAt pravrajyA na gRhasTa-tA // SOnd-_13.19 //
   tasmāccāritrasampanno brahmacaryamidaṃ cara /	tasmAt-cAritra-sampannaH brahmacaryam-idam cara /
   aṇumātreṣvadyeṣu bhayadarśī dṛḍhavrataḥ // Saund_13.20 //	aNu-mAtrezu-adyezu Baya-darSI dRXa-vrataH // SOnd-_13.20 //
   śīlamāsthāya vartante sarvā hi śreyasi kriyāḥ /	SIlam-AsTAya vartante sarvAH hi Sreyasi kriyAH /
   sthānādyānīva kāryāṇi pratiṣṭhāya vasundharām // Saund_13.21 //	sTAna-AdyAni-iva kAryANi pratizWAya vasunDarAm // SOnd-_13.21 //
   mokṣasyopaniṣat saumya vairāgyamiti gṛhyatām /	mokzasya-upanizad sOmya vErAgyam-iti gRhyatAm /
   vairāgyasyāpi saṃvedaḥ saṃvido jñānadarśanam // Saund_13.22 //	vErAgyasya-api saMvedaH saMvidaH jQAna-darSanam // SOnd-_13.22 //
   jñānasyopaniṣaccaiva samādhirupadhāryatām /	jQAnasya-upanizad-ca-eva samADiH-upaDAryatAm /
   samādherapyupaniṣat sukhaṃ śārīramānasam // Saund_13.23 //	samADeH-api-upanizad suKam SArIra-mAnasam // SOnd-_13.23 //
   praśrabdhiḥ kāyamanasaḥ sukhasyopaniṣat parā /	praSrabDiH kAya-manasaH suKasya-upanizad parA /
   praśrabdherapyupaniṣat prītirapyavagamyatām // Saund_13.24 //	praSrabDeH-api-upanizad prItiH-api-avagamyatAm // SOnd-_13.24 //
   tathā prīterupaniṣat prāmodyaṃ paramaṃ matam /	taTA prIteH-upanizad prAmodyam paramam matam /
   prāmodyasyāpyahṛllekhaḥ kukṛteṣvakṛteṣu vā // Saund_13.25 //	prAmodyasya-api-ahRt-leKaH kukRtezu-akRtezu vA // SOnd-_13.25 //
   ahṛllekhasya manasaḥ śīlaṃ tūpaniṣacchuci /	ahRlleKasya manasaH SIlam tu-upanizad-Suci /
   ataḥ śīlaṃ nayatyagryamiti śīlaṃ viśodhaya // Saund_13.26 //	atas SIlam nayati-agryam-iti SIlam viSoDaya // SOnd-_13.26 //
   śīlanācchīlamityuktaṃ śīlanaṃ sevanādapi /	SIlanAt-SIlam-iti-uktam SIlanam sevanAt-api /
   sevanaṃ tannideśācca nideśaśca tadāśrayāt // Saund_13.27 //	sevanam tad-nideSAt-ca nideSaH-ca tad-ASrayAt // SOnd-_13.27 //
   śīlaṃ hi śaraṇaṃ saubhya kāntāra iva daiśikaḥ /	SIlam hi SaraNam sOBya kAntAraH iva dESikaH /
   pitraṃ bandhuśca rakṣā ca dhanaṃ ca balameva ca // Saund_13.28 //	pitram banDuH-ca rakzA ca Danam ca balam-eva ca // SOnd-_13.28 //
   yataḥ śīlamataḥ saumya śīlaṃ saṃskartumarhasi /	yatas SIlam-atas sOmya SIlam saMskartum-arhasi /
   etatsthānamathānye [nanyaṃ] ca mokṣārambheṣu yoginām // Saund_13.29 //	etat-sTAnam-aTa-anye [nanyaM] ca mokza-AramBezu yoginAm // SOnd-_13.29 //
   tataḥ smṛtimadhiṣṭhāya capalāni svabhāvataḥ /	tatas smRtim-aDizWAya capalAni svaBAvataH /
   indriyāṇīndriyārthebhyo nivārayitumarhasi // Saund_13.30 //	indriyANi-indriya-arTeByaH nivArayitum-arhasi // SOnd-_13.30 //
   bhetavyaṃ na tathā śatrornāgnernāherna cāśaneḥ /	Betavyam na taTA SatroH-na-agneH-na-aheH-na ca-aSaneH /
   indriyebhyo yathā svebhyastairajasraṃ hi hanyate // Saund_13.31 //	indriyeByaH yaTA sveByaH-tEH-ajasram hi hanyate // SOnd-_13.31 //
   dviṣadbhiḥ śatrubhiḥ kaścit kadācit pīḍyate na vā /	dvizadBiH SatruBiH kaScid kadAcid pIxyate na vA /
   indriyairbādhyate sarvaḥ sarvatra ca sadaiva ca // Saund_13.32 //	indriyEH-bADyate sarvaH sarvatra ca sadA-eva ca // SOnd-_13.32 //
   na ca prayāti narakaṃ śatruprabhṛtibhirhataḥ /	na ca prayAti narakam Satru-praBRtiBiH-hataH /
   kṛṣyate tatra nighnastu capalairindriyairhataḥ // Saund_13.33 //	kRzyate tatra niGnaH-tu capalEH-indriyEH-hataH // SOnd-_13.33 //
   hanyamānasya tairduḥkhaṃ hārdaṃ bhavati vā na vā /	hanyamAnasya tEH-duHKam hArdam Bavati vA na vA /
   indriyairbādhyamānasya hārdaṃ śārīrameva ca // Saund_13.34 //	indriyEH-bADyamAnasya hArdam SArIram-eva ca // SOnd-_13.34 //
   saṃkalpaviṣadigdhā hi pañcendriyamayāḥ śarāḥ /	saMkalpa-viza-digDAH hi paQca-indriya-mayAH SarAH /
   cintāpuṅkhā ratiphalā viṣayākāśagocarāḥ // Saund_13.35 //	cintA-puFKAH rati-PalAH vizaya-AkASa-gocarAH // SOnd-_13.35 //
   manuṣyahariṇān ghnanti kāmavyādheritā hṛdi /	manuzya-hariNAn Gnanti kAma-vyADa-IritAH hRdi /
   vihanyante yadi na te tataḥ patanti taiḥ kṣatāḥ // Saund_13.36 //	vihanyante yadi na te tatas patanti tEH kzatAH // SOnd-_13.36 //
   niyamājirasaṃsthena dhairyakārmukadhāriṇā /	niyama-ajira-saMsTena DErya-kArmuka-DAriNA /
   nipatanto nivāryāste mahatā smṛtivarmaṇā // Saund_13.37 //	nipatantaH nivAryAH-te mahatA smRti-varmaNA // SOnd-_13.37 //
   indriyāṇāmupaśamādarīṇāṃ nigrahādiva /	indriyANAm-upaSamAt-arINAm nigrahAt-iva /
   sukhaṃ svapiti vāste vā yatra tatra gatoddhavaḥ // Saund_13.38 //	suKam svapiti vA-Aste vA yatra tatra gata-udDavaH // SOnd-_13.38 //
   teṣāṃ hi satataṃ loke viṣayānabhikāṅkṣatām /	tezAm hi satatam loke vizayAn-aBikAFkzatAm /
   saṃvinnaivāsti kārpaṇyācchunāmāśāvatāmiva // Saund_13.39 //	saMvid-na-eva-asti kArpaNyAt-SunAm-ASAvatAm-iva // SOnd-_13.39 //
   viṣayairindriyagrāmo na tṛptimadhigacchati /	vizayEH-indriya-grAmaH na tRptim-aDigacCati /
   ajasraṃ pūryamāṇo 'pi samudraḥ salilairiva // Saund_13.40 //	ajasram pUryamANaH api samudraH salilEH-iva // SOnd-_13.40 //
   avaśyaṃ gocare sve sve vartitavyamihendriyaiḥ /	avaSyam gocare sve sve vartitavyam-iha-indriyEH /
   nimittaṃ tatra na grāhyamanuvyañjanameva ca // Saund_13.41 //	nimittam tatra na grAhyam-anuvyaQjanam-eva ca // SOnd-_13.41 //
   ālokya cakṣuṣā rūpaṃ dhātumātre vyavasthitaḥ /	Alokya cakzuzA rUpam DAtu-mAtre vyavasTitaH /
   strī veti puruṣo veti na kalpayitumarhasi // Saund_13.42 //	strI vA-iti puruzaH vA-iti na kalpayitum-arhasi // SOnd-_13.42 //
   sacet strīpuruṣagrāhaḥ kvacid vidyeta kaścan /	saced strI-puruza-grAhaH kvacid vidyeta kaScan /
   śubhataḥ keśadantādīnnānuprasthātumarhasi // Saund_13.43 //	SuBataH keSa-danta-AdIn-na-anuprasTAtum-arhasi // SOnd-_13.43 //
   nāpaneyaṃ tataḥ kiṃcit prakṣepyaṃ nāpi kiñcana /	na-apaneyam tatas kiMcid prakzepyam na-api kiQcana /
   draṣṭavyaṃ bhūtato bhūtaṃ yādṛśaṃ ca yathā ca yat // Saund_13.44 //	drazwavyam BUtataH BUtam yAdRSam ca yaTA ca yat // SOnd-_13.44 //
   evaṃ te paśyatastattvaṃ śaśvadindriyagocaram /	evam te paSyataH-tattvam SaSvat-indriya-gocaram /
   bhaviṣyati padasthānaṃ nābhidhyādaurmanasyayoḥ // Saund_13.45 //	Bavizyati pada-sTAnam na-aBiDyA-dOrmanasyayoH // SOnd-_13.45 //
   abhidhyā priyarūpeṇa hanti kāmātmakaṃ jagat /	aBiDyA priya-rUpeNa hanti kAma-Atmakam jagat /
   arirmitramukheneva priyavākkaluṣāśayaḥ // Saund_13.46 //	ariH-mitra-muKena-iva priya-vAc-kaluza-ASayaH // SOnd-_13.46 //
   daurmanasyābhidhānastu pratigho viṣayāśritaḥ /	dOrmanasya-aBiDAnaH-tu pratiGaH vizaya-ASritaH /
   mohādyenānuvṛtena paratreha ca hanyate // Saund_13.47 //	moha-At-yena-anuvRtena paratra-iha ca hanyate // SOnd-_13.47 //
   anurodhavirodhābhyāṃ śitoṣṇābhyāmivārditaḥ /	anuroDa-viroDAByAm Sita-uzNAByAm-iva-arditaH /
   śarma nāpnoti na śreyaścalendriyamato jagat // Saund_13.48 //	Sarma na-Apnoti na SreyaH-cala-indriyam-atas jagat // SOnd-_13.48 //
   nendriyaṃ viṣaye tāvat pravṛttamapi sajjate /	na-indriyam vizaye tAvat pravRttam-api sajjate /
   yāvanna manasastatra parikalpaḥ pravartate // Saund_13.49 //	yAvat-na manasaH-tatra parikalpaH pravartate // SOnd-_13.49 //
   indhane sati vāyau ca yathā jvalati pāvakaḥ /	inDane sati vAyO ca yaTA jvalati pAvakaH /
   viṣayāt parikalpācca kleśāgnirjāyate tathā // Saund_13.50 //	vizayAt parikalpAt-ca kleSa-agniH-jAyate taTA // SOnd-_13.50 //
   abhūtaparikalpena viṣayasya hi vadhyate /	aBUta-parikalpena vizayasya hi vaDyate /
   tameva viṣayaṃ paśyan bhūtataḥ parimucyate // Saund_13.51 //	tam-eva vizayam paSyan BUtataH parimucyate // SOnd-_13.51 //
   dṛṣṭvaikaṃ rūpamanyo hi rajyate 'nyaḥ praduṣyati /	dRzwvA-ekam rUpam-anyaH hi rajyate anyaH praduzyati /
   kaścid bhavati madhyasthastatraivānyo ghṛṇāyate // Saund_13.52 //	kaScid Bavati maDyasTaH-tatra-eva-anyaH GRNAyate // SOnd-_13.52 //
   ato na viṣayo heturbandhāya na vimuktaye /	atas na vizayaH hetuH-banDAya na vimuktaye /
   parikalpaviśeṣeṇa saṃgo bhavati vā na vā // Saund_13.53 //	parikalpa-viSezeNa saMgaH Bavati vA na vA // SOnd-_13.53 //
   kāryaḥ paramayatnena tasmādindriyasaṃvaraḥ /	kAryaH parama-yatnena tasmAt-indriya-saMvaraH /
   indriyāṇi hyagutpāni duḥkhāya ca bhavāya ca // Saund_13.54 //	indriyANi hi-agutpAni duHKAya ca BavAya ca // SOnd-_13.54 //
   kāmabhogabhogavadbhirātmadṛṣṭidṛṣṭibhiḥ pramādanaikamūrddhabhiḥ	kAma-Boga-BogavadBiH-Atma-dRzwi-dRzwiBiH pramAdana-eka-mUrdDaBiH
   praharṣalolajivhakaiḥ /	praharza-lola-jivhakEH /
   indriyoragairmanobilaśrayaiḥ spṛhāviṣaiḥ śamāgadādṛte na dṛṣṭamasti	indriya-uragEH-manaH-bila-SrayEH spRhA-vizEH Sama-agadAt-Rte na dRzwam-asti
   yaccikitset // Saund_13.55 //	yat-cikitset // SOnd-_13.55 //
   tasmādeṣāmakuśalakarāṇāmarīṇāṃ cakṣurghrāṇaśravaṇarasanasparśanānām /	tasmAt-ezAm-akuSala-karANAm-arINAm cakzuH-GrANa-SravaNa-rasana-sparSanAnAm /
   sarvāvasthaṃ bhava viniyamādapramatto māsminnarthe kṣaṇamapi kṛthāstvaṃ	sarva-avasTam Bava viniyamAt-apramattaH mA-asmin=-arTe kzaNam-api kRTAH-tvam
   pramādam // Saund_13.56 //	pramAdam // SOnd-_13.56 //
   saundarananda mahākāvye "śīla evaṃ indriyasaṃyama" nāma trayodaśa sarga	sOndara-nanda mahAkAvye "SIlaH evam indriya-saMyama" nAma trayodaSa sarga
   samāpta /	samApta /
   caturdaśaḥ sargaḥ	caturdaSaH sargaH
   ādiprasthāna	Adi-prasTAna
   atha smṛtikavāṭena pidhāyendriyasaṃvaram /	aTa smRti-kavAwena piDAya-indriya-saMvaram /
   bhojane bhava mātrājño dhyānāyānāmayāya ca // Saund_14.1 //	Bojane Bava mAtrA-jQaH DyAnAya-anAmayAya ca // SOnd-_14.1 //
   prāṇāpānau nigṛṇhāti glāninidre prayacchati /	prANa-apAnO nigRNhAti glAni-nidre prayacCati /
   kṛto hyatyarthamāhāro vihanti ca parākramam // Saund_14.2 //	kRtaH hi-atyarTam-AhAraH vihanti ca parAkramam // SOnd-_14.2 //
   yathā cātyarthamāhāraḥ kṛto 'narthāya kalpate /	yaTA ca-atyarTam-AhAraH kRtaH anarTAya kalpate /
   upayuktastathātyalpo na sāmarthyāya kalpate // Saund_14.3 //	upayuktaH-taTA-ati-alpaH na sAmarTyAya kalpate // SOnd-_14.3 //
   ācayaṃ dyutimutsāhaṃ prayogaṃ balameva ca /	Acayam dyutim-utsAham prayogam balam-eva ca /
   bhojanaṃ kṛtamatyalpaṃ śarīrasyāpakarṣati // Saund_14.4 //	Bojanam kRtam-ati-alpam SarIrasya-apakarzati // SOnd-_14.4 //
   yathā bhāreṇa namate laghunonnamate tulā /	yaTA BAreNa namate laGunA-unnamate tulA /
   samā tiṣṭhati yuktena bhojyeneyaṃ tathā tanuḥ // Saund_14.5 //	samA tizWati yuktena Bojyena-iyam taTA tanuH // SOnd-_14.5 //
   tasmādabhyavaharttavyaṃ svaśaktimanupaśyatā /	tasmAt-aByavaharttavyam sva-Saktim-anupaSyatA /
   nātimātraṃ na cātyalpaṃ meyaṃ mānavaśādapi // Saund_14.6 //	na-atimAtram na ca-ati-alpam meyam mAna-vaSAt-api // SOnd-_14.6 //
   atyākrānto hi kāyāgnirguruṇānnena śāmyati /	atyAkrAntaH hi kAya-agniH-guruNA-annena SAmyati /
   avacchanna ivālpo 'gniḥ sahasā mahatendhasā // Saund_14.7 //	avacCannaH iva-alpaH agniH sahasA mahatA-inDasA // SOnd-_14.7 //
   atyantamapi saṃhāro nāhārasya praśasyate /	atyantam-api saMhAraH na-AhArasya praSasyate /
   anāhāro hi nirvāti nirindhana ivānalaḥ // Saund_14.8 //	anAhAraH hi nirvAti nirinDanaH iva-analaH // SOnd-_14.8 //
   yasmānnāsti vināhārāt sarvaprāṇābhṛtāṃ sthitiḥ /	yasmAt-na-asti vinA-AhArAt sarva-prANABRtAm sTitiH /
   tasmād duṣyati nāhāro vikalpo 'tra tu vāryate // Saund_14.9 //	tasmAt duzyati na-AhAraH vikalpaH atra tu vAryate // SOnd-_14.9 //
   na hyekaviṣaye 'nyatra sajyante prāṇinastathā /	na hi-eka-vizaye anyatra sajyante prANinaH-taTA /
   avijñāte yathāhāre boddhavyaṃ tatra kāraṇam // Saund_14.10 //	avijQAte yaTA-AhAre bodDavyam tatra kAraNam // SOnd-_14.10 //
   cikitsārthaṃ yathā dhatte vraṇasyālepanaṃ vraṇī /	cikitsA-arTam yaTA Datte vraNasya-Alepanam vraNI /
   kṣudvighātārthamāhārastadvat sevyo mumukṣuṇā // Saund_14.11 //	kzuD-viGAta-arTam-AhAraH-tadvat sevyaH mumukzuNA // SOnd-_14.11 //
   bhārasyodvahanārthaṃ ca rathākṣo 'bhyajyate yathā /	BArasya-udvahana-arTam ca raTa-akzaH aByajyate yaTA /
   bhojanaṃ prāṇayātrārthaṃ tadvad vidvānniṣevate // Saund_14.12 //	Bojanam prANa-yAtrA-arTam tadvat vidvAn-nizevate // SOnd-_14.12 //
   samatikramaṇārthaṃ ca kāntārasya yathādhvagau /	samatikramaNa-arTam ca kAntArasya yaTA-aDvagO /
   putramāṃsāni khādetāṃ dampatī bhṛśaduḥkhitau // Saund_14.13 //	putra-mAMsAni KAdetAm dampatI BRSa-duHKitO // SOnd-_14.13 //
   evamabhyavaharttavyaṃ bhojanaṃ pratisaṃkhyayā /	evam-aByavaharttavyam Bojanam pratisaMKyayA /
   na bhūṣārthaṃ na vapuṣo na madāya na dṛptaye // Saund_14.14 //	na BUzA-arTam na vapuzaH na madAya na dRptaye // SOnd-_14.14 //
   dhāraṇārthaṃ śarīrasya bhojanaṃ hi vidhīyate /	DAraNa-arTam SarIrasya Bojanam hi viDIyate /
   upastambhaḥ pipatiṣordubalasyeva veśmanaḥ // Saund_14.15 //	upastamBaH pipatizordu-balasya-iva veSmanaH // SOnd-_14.15 //
   plavaṃ yatnād yathā kaścid badhnīyād dhārayedapi /	plavam yatnAt yaTA kaScid baDnIyAt DArayet-api /
   na tatsnehena yāvattu mahaughasyottitīrṣayā // Saund_14.16 //	na tad-snehena yAvat-tu mahA-oGasya-uttitIrzayA // SOnd-_14.16 //
