   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   bhadanta bhagavansarvadharmeṣu jñānaviṣayaḥ pravartate / yathā ca me	Badanta Bagavan-sarva-Darmezu jQAna-vizayaH pravartate / yaTA ca me
   bhadanta bhagavansarvadharmāḥ samamyagjñātāḥ / samyakparīkṣitāḥ	Badanta Bagavan-sarva-DarmAH samamyak-jQAtAH / samyak-parIkzitAH
   samyakparijñātāḥ (Bagchi 69) samyagvyavalokitāḥ samyagavabuddhāḥ / tena	samyak-parijQAtAH (Baj-Ci 69) samyak-vyavalokitAH samyak-avabudDAH / tena
   hetunā mama bhadanta bhagavansaṃjñeyasya mahāyakṣasenāpateḥ saṃjñeya iti	hetunA mama Badanta Bagavan-saMjQeyasya mahA-yakza-senApateH saMjQeyaH iti
   nāmadheyaṃ samudapādi //	nAmaDeyam samudapAdi //
   ahaṃ bhadanta bhagavandharmabhāṇakasya bhikṣorvākyavibhūṣaṇārthāya	aham Badanta Bagavan-Darma-BANakasya BikzoH-vAkya-viBUzaNa-arTAya
   pratibhānamupasaṃhariṣyāmi / romāntareṣu ca tasyaujaḥ prakṣepsyāmi /	pratiBAnam-upasaMharizyAmi / roma-antarezu ca tasya-ojaH prakzepsyAmi /
   mahāntaṃ ca tasya sthāma ca balaṃ vīryaṃ ca kāye saṃjanayiṣyāmi / acintyaṃ	mahAntam ca tasya sTAma ca balam vIryam ca kAye saMjanayizyAmi / acintyam
   tasya jñānāvabhāsaṃ kariṣyāmi / smṛtiṃ ca tasya bodhayiṣyāmi / mahantaṃ ca	tasya jQAna-avaBAsam karizyAmi / smRtim ca tasya boDayizyAmi / mahantam ca
   tasyotsahaṃ dāsyāmi / yathā ca sa dharmabhāṇako na klāntakāyo bhavet /	tasya-utsaham dAsyAmi / yaTA ca sa Darma-BANakaH na klAnta-kAyaH Bavet /
   sukhendriyakāyo bhavet / praharṣajātaśca bhavet / yenāyaṃ	suKa-indriya-kAyaH Bavet / praharza-jAtaH-ca Bavet / yena-ayam
   suvarṇaprabhāsottamaḥ sūtrendrarājasteṣāṃ	suvarNa-praBAsa-uttamaH sUtrendra-rAjaH-tezAm
   buddhasahasrāvaruptakuśalamūlānāṃ sattvānāmarthāya ciraṃ jambudvīpe	budDa-sahasra-avarupta-kuSala-mUlAnAm sattvAnAm-arTAya ciram jambudvIpe
   pracaret / na kṣipramantardhāpayet / sattvāścemaṃ suvarṇaprabhāsottamaṃ	pracaret / na kzipram-antar-DApayet / sattvAH-ca-imam suvarNa-praBAsa-uttamam
   sūtrendrarājaṃ śṛṇuyuḥ / acintyaṃ ca jñānaskandhaṃ pratilabheyuḥ /	sUtrendra-rAjam SRNuyuH / acintyam ca jQAna-skanDam pratilaBeyuH /
   prajñāvantaśca bhaveyuḥ / aparimitaṃ ca puṇyaskandhaṃ parigṛhṇīyuḥ /	prajQAvantaH-ca BaveyuH / aparimitam ca puNya-skanDam parigRhNIyuH /
   anāgate 'dhvanyanekakalpakoṭīniyutaśatasahasrāṇyacintyāni divyamānuṣyakāni	anAgate aDvani-aneka-kalpa-kowI-niyuta-Sata-sahasrANi-acintyAni divya-mAnuzyakAni
   sukhānyanubhaveyuḥ / tathāgatasamavadhānagatāśca bhaveyuranāgate	suKAni-anuBaveyuH / taTAgata-samavaDAna-gatAH-ca BaveyuH-anAgate
   'dhvanyanuttarāṃ samyaksaṃbodhimabhisaṃbudhyeran /	aDvani-anuttarAm samyaksaMboDim-aBisaMbuDyeran /
   sarvanarakatiryagyoniyamalokaduḥkhāni cātyantena samucchinnāni bhaveyuriti	sarva-naraka-tiryagyoni-yama-loka-duHKAni ca-atyantena samucCinnAni BaveyuH-iti
   iti śrīsuvarṇaprabhāsottamasūtrendrarāje saṃjñeyamahāyakṣasenāpati	iti SrI-suvarNa-praBAsa-uttama-sUtrendra-rAje saMjQeya-mahA-yakzasenApati
   parivarto nāma dvādaśaḥ //	parivartaH nAma dvAdaSaH //
   (Bagchi 70)	(Baj-Ci 70)
   // Devendrasamayarājaśāstraparivartaḥ //	// Deva-indra-samaya-rAja-SAstra-parivartaH //
   namastasya bhagavato	namaH-tasya BagavataH-
   ratnakusumaguṇasāgaravaiḍūryakanakagirisuvarṇakāñcanaprabhāsaśriyastathāgatasyārhataḥ	ratna-kusuma-guNa-sAgara-vExUrya-kanaka-giri-suvarNa-kAQcana-praBAsa-SriyaH-taTAgatasya-arhataH
   samyaksaṃbuddhasya /	samyaksaMbudDasya /
   namasyasyānekaguṇakoṭīniyutaśatasahasrasamalaṃkṛtaśarīrasya	namasyasya-aneka-guNa-kowI-niyuta-Sata-sahasra-samalaMkRta-SarIrasya
   śākyamunestathāgatasya yasyeyaṃ dharmolkā jvalati / namastasyā	SAkya-muneH-taTAgatasya yasya-iyam Darma-ulkA jvalati / namaH-tasyAH-
   aparimitapuṇyadhānyamāṅgalyasampannāyāḥ śriyo mahādevyāḥ / namastasyā	aparimita-puNya-DAnya-mAFgalya-sampannAyAH SriyaH mahAdevyAH / namaH-tasyAH-
   aparimitaguṇaprajñāsamuditāyāḥ sarasvatyā devyāḥ //	aparimita-guNa-prajQA-samuditAyAH sarasvatyAH devyAH //
   tena khalu punaḥ kālena tena samayena rājā baladaketuḥ putrasya	tena Kalu punar kAlena tena samayena rAjA baladaketuH putrasya
   ruciraketoracirābhiṣiktasya ca rājyapratiṣṭhitasyaitadavocat / asti putra	rucira-ketoH-acira-aBiziktasya ca rAjya-pratizWitasya-etat-avocat / asti putra
   devendrasamayaṃ nāma rājaśāstram / yanmayā pūrvamacirābhiṣiktena ca	deva-indra-samayam nAma rAja-SAstram / yat-mayA pUrvam-acira-aBiziktena ca
   rājyapratiṣṭhitena pitū rājño balendraketoḥ sakāśādudgṛhītam / tena mayā	rAjya-pratizWitena pituH rAjQaH bala-indra-ketoH sakASAt-udgRhItam / tena mayA
   devendrasamayena rājaśāstreṇa viṃśativarṣasahasrāṇi rājatvaṃ kāritaṃ	deva-indra-samayena rAja-SAstreNa viMSati-varza-sahasrANi rAja-tvam kAritam
   babhūva / nābhijānāmyahamantaśa ekacittakṣaṇapramāṇamātreṇāpi	baBUva / na-aBijAnAmi-aham-antaSas eka-citta-kzaNa-pramANa-mAtreNa-api
   kasyacidadharmasthitapūrvam / katamattatra devendrasamayaṃ nāma	kasyacid-aDarma-sTita-pUrvam / katamat-tatra deva-indra-samayam nAma
   rājaśāstram //	rAja-SAstram //
   atha khalu kuladevate rājā baladaketustena kālena tena samayena putrasya	aTa Kalu kula-devate rAjA baladaketuH-tena kAlena tena samayena putrasya
   rājño ruciraketorimābhirgāthābhirdevendrasamayaṃ nāma rājaśāstraṃ	rAjQaH rucira-ketoH-imABiH-gATABiH-deva-indra-samayam nAma rAja-SAstram
   vistareṇa saṃprakāśayati sma //	vistareNa saMprakASayati sma //
   rājaśāstraṃ pravakṣyāmi sarvasattvahitaṃ karam /	rAja-SAstram pravakzyAmi sarva-sattva-hitam karam /
   sarvasaṃśayacchettāraṃ sarvaduṣkṛtanāśanam // Suv_13.1 //	sarva-saMSaya=-CettAram sarva-duzkRta-nASanam // Suu-_13.1 //
   hṛṣṭacittā bhavitveha sarve nṛpatayaḥ pṛthak /	hRzwa-cittAH BavitvA-iha sarve nRpatayaH pRTak /
   sarvadevendrasamayaṃ śṛṇudhvaṃ prāñjalikṛtāḥ // Suv_13.2 //	sarva-deva-indra-samayam SRNuDvam prAQjali-kRtAH // Suu-_13.2 //
   vajraprākāragirīndre 'smindevendrāṇāṃ samāgamaiṃ /	vajra-prAkAra-giri-indre asmin-deva-indrANAm samAgamEm /
   utthitairlokapālebhirbrahmendraḥ paripṛcchitaḥ // Suv_13.3 //	utTitEH-lokapAleBiH-brahma-indraH paripRcCitaH // Suu-_13.3 //
   tvaṃ naḥ suragururbrahmā devatānāṃ tvamīśvaraḥ /	tvam naH suraguruH-brahmA devatAnAm tvam-ISvaraH /
   chettā tvaṃ saṃśayānāṃ ca cchindayāsmākaṃ saṃśayam // Suv_13.4 //	CettA tvam saMSayAnAm ca cCindayA-asmAkam saMSayam // Suu-_13.4 //
   (Bagchi 71)	(Baj-Ci 71)
   kathaṃ manuṣyasaṃbhūto rājā devaḥ sa procyate /	kaTam manuzya-saMBUtaH rAjA devaH sa procyate /
   yadiha mānuṣe loke jāyate ca bhavannṛpaḥ // Suv_13.5 //	yat-iha mAnuze loke jAyate ca Bavat-nRpaH // Suu-_13.5 //
   kathaṃ devamanuṣyeṣu rājatvaṃ ca kariṣyate /	kaTam deva-manuzyezu rAja-tvam ca karizyate /
   evaṃ hi lokapālibhirbrahmemdraḥ paripṛcchataḥ // Suv_13.6 //	evam hi loka-pAliBiH-brahma-imdraH paripRcCataH // Suu-_13.6 //
   sarvā suragururbrahmā lokapālānihābravīt /	sarvA suraguruH-brahmA lokapAlAn-iha-abravIt /
   yadiha lokapālebhiretarhi mama pṛcchitaḥ /	yat-iha lokapAleBiretarhi mama pRcCitaH /
   sarvasattvahitārthāya vakṣye 'haṃ śāstramuttamam // Suv_13.7 //	sarva-sattva-hita-arTAya vakzye aham SAstram-uttamam // Suu-_13.7 //
   nārāṇāṃ saṃbhavaṃ vakṣye yuktvāhaṃ manujālaye /	nArANAm saMBavam vakzye yuktvA-aham manuja-Alaye /
   hetunā yena rājāno bhavanti viṣayeṣu ca // Suv_13.8 //	hetunA yena rAjAnaH Bavanti vizayezu ca // Suu-_13.8 //
   devendrāṇāmadhiṣṭhāne mātuḥ kukṣau pravekṣyati /	deva-indrANAm-aDizWAne mAtuH kukzO pravekzyati /
   pūrvamadhiṣṭhito devaiḥ paścād garbhe prapadyate // Suv_13.9 //	pUrvam-aDizWitaH devEH paScAt garBe prapadyate // Suu-_13.9 //
   kiṃ cāpi mānuṣe loke jāyate śrīyate nṛpaḥ /	kim ca-api mAnuze loke jAyate SrIyate nRpaH /
   api vai devasaṃbhūto devaputraḥ sa ucyate // Suv_13.10 //	api vE deva-saMBUtaH deva-putraH saH ucyate // Suu-_13.10 //
   trāyastriṃśairdevarājendrairbhāgo datto nṛpasya hi /	trAyastriMSEH-devarAja-indrEH-BAgaH dattaH nRpasya hi /
   putrastvaṃ saha devānāṃ nirmito manujeśvaraḥ // Suv_13.11 //	putraH-tvam saha devAnAm nirmitaH manuja-ISvaraH // Suu-_13.11 //
   adharmaśamanārthāya duṣkṛtānāṃ nivārakaḥ /	aDarma-Samana-arTAya duzkRtAnAm nivArakaH /
   sukṛtau sthāpayetsattvānpreṣaṇārthaṃ surālaye // Suv_13.12 //	sukRtO sTApayet-sattvAn-prezaNa-arTam surAlaye // Suu-_13.12 //
   manuṣyo vātha devo vā gandharvo vā narādhipaḥ /	manuzyaH vA-aTa devaH vA ganDarvaH vA narADipaH /
   rākṣaso vātha caṇḍālo duṣkṛtānāṃ nivārakaḥ // Suv_13.13 //	rAkzasaH vA-aTa caNxAlaH duzkRtAnAm nivArakaH // Suu-_13.13 //
   mātā pitā vā nṛpatiḥ sukṛtau karmakāriṇām /	mAtA pitA vA nRpatiH sukRtO karma-kAriNAm /
   vipākaphaladarśī tvaṃ devarājairadhiṣṭhitaḥ // Suv_13.14 //	vipAka-Pala-darSI tvam devarAjEH-aDizWitaH // Suu-_13.14 //
   sukṛtaduṣkṛtānāṃ ca karmaṇāṃ dṛṣṭadhārmikaḥ /	sukRta-duzkRtAnAm ca karmaNAm dRzwa-DArmikaH /
   vipākaphaladarśī tvaṃ devarājairadhiṣṭhitaṃ // Suv_13.15 //	vipAka-Pala-darSI tvam devarAjEH-aDizWitam // Suu-_13.15 //
   yadā hyupekṣate rājā duṣkṛtaṃ viṣaye sthitam /	yadA hi-upekzate rAjA duzkRtam vizaye sTitam /
   nānārūpaṃ na kurvīta daṇḍaṃ pāpajanasya ca /	nAnA-rUpam na kurvIta daNxam pApa-janasya ca /
   duṣkṛtānāmupekṣāyāmadharmo vardhate bhṛśam // Suv_13.16 //	duzkRtAnAm-upekzAyAm-aDarmaH varDate BRSam // Suu-_13.16 //
   (Bagchi 72)	(Baj-Ci 72)
   śāṭhyāni kalahāścaiva bhūyo rāṣṭre bhavanti ca /	SAWyAni kalahAH-ca-eva BUyas rAzwre Bavanti ca /
   prakupyanti ca devendrāstrāyatriṃśadbhavaneṣu ca // Suv_13.17 //	prakupyanti ca deva-indrAH-trAyatriMSat-Bavanezu ca // Suu-_13.17 //
   yadā hyupekṣate rājā duṣkṛtaṃ viṣaye sthiram /	yadA hi-upekzate rAjA duzkRtam vizaye sTiram /
   hanyate viṣayo ghoraiḥ śaṭhyairapi sudāruṇaiḥ // Suv_13.18 //	hanyate vizayaH GorEH SaWyEH-api su-dAruNEH // Suu-_13.18 //
   vinaśyati ca tadrāṣṭraṃ paracakrasya cākrame /	vinaSyati ca tat-rAzwram para-cakrasya ca-Akrame /
   bhogāni ca balānyeva dhanaṃ yasyāsti saṃcitam // Suv_13.19 //	BogAni ca balAni-eva Danam yasya-asti saMcitam // Suu-_13.19 //
   vividhāni ca śāṭhyāni haranti ca parasparam /	viviDAni ca SAWyAni haranti ca parasparam /
   yena kāryeṇa rājatvaṃ naitatkāryaṃ kariṣyati /	yena kAryeNa rAja-tvam na-etat-kAryam karizyati /
   vilopayati svaṃ rāṣṭraṃ gajendra iva padminīm // Suv_13.20 //	vilopayati svam rAzwram gaja-indraH iva padminIm // Suu-_13.20 //
   viṣamā vāyavo vānti viṣamā jalavṛṣṭayaḥ /	vizamAH vAyavaH vAnti vizamAH jala-vRzwayaH /
   viṣamā grahanakṣatrāścandrasūryau tathaiva ca // Suv_13.21 //	vizamAH graha-nakzatrAH-candra-sUryO taTA-eva ca // Suu-_13.21 //
   sasyaṃ puṣpaṃ phalaṃ bījaṃ va samyakparipacyate /	sasyam puzpam Palam bIjam va samyak-paripacyate /
   durbhikṣaṃ bhavate tatra yatra rājā hyupekṣakaḥ /	durBikzam Bavate tatra yatra rAjA hi-upekzakaH /
   anāttamānaso devā bhavanti bhavaneṣu ca // Suv_13.22 //	anAtta-mAnasaH devAH Bavanti Bavanezu ca // Suu-_13.22 //
   yadā hyupekṣate rājā duṣkṛtaṃ vicaretparam /	yadA hi-upekzate rAjA duzkRtam vicaret-param /
   te sarve devarājāśca vakṣyanti ca parasparam // Suv_13.23 //	te sarve devarAjAH-ca vakzyanti ca parasparam // Suu-_13.23 //
   adhārmiko hyayaṃ rājā hyadharmapakṣamāśritaḥ /	aDArmikaH hi-ayam rAjA hi-aDarma-pakzam-ASritaH /
   na cireṇa hyayaṃ rājā devatāṃ kopayiṣyati // Suv_13.24 //	na cireNa hi-ayam rAjA devatAm kopayizyati // Suu-_13.24 //
   devatānāṃ parikopādviṣayo 'sya vinakṣyati /	devatAnAm parikopAt-vizayaH asya vinakzyati /
   śasrāṇi ca adharmaśca viṣaye 'tra bhaviṣyanti // Suv_13.25 //	SasrANi ca aDarmaH-ca vizaye atra Bavizyanti // Suu-_13.25 //
   śāṭhyānāṃ kalahānāṃ ca rogāṇāṃ ca samudbhavaḥ /	SAWyAnAm kalahAnAm ca rogANAm ca samudBavaH /
   prakupyati ca devendra upekṣyanti ca devatāḥ // Suv_13.26 //	prakupyati ca deva-indraH upekzyanti ca devatAH // Suu-_13.26 //
   pralupyate ca yadrāṣṭraṃ sa nṛpaḥ śokamṛcchati /	pralupyate ca yat-rAzwram sa nRpaH Sokam-RcCati /
   iṣṭaviyogaṃ prāpnoti bhrātrā vātha sutena vā // Suv_13.27 //	izwa-viyogam prApnoti BrAtrA vA-aTa sutena vA // Suu-_13.27 //
   (Bagchi 73)	(Baj-Ci 73)
   priyabhāryāviyogo vā prāpyate duhitātha vā /	priya-BAryA-viyogaH vA prApyate duhitA-aTa vA /
   ulkāpātā bhaviṣyanti pratisūryāstathaiva ca // Suv_13.28 //	ulkA-pAtAH Bavizyanti pratisUryAH-taTA-eva ca // Suu-_13.28 //
   paracakrabhayaṃ vāpi durbhikṣaṃ vardhati bhṛśam /	para-cakra-Bayam vA-api durBikzam varDati BRSam /
   priyāmātyaśca mriyate 'priyastu garjate vacaḥ // Suv_13.29 //	priya-amAtyaH-ca mriyate apriyaH-tu garjate vacaH // Suu-_13.29 //
   sutābhīṣṭaṃ priyāśvāsaṃ bālābhāryāvirodhinaḥ /	suta-aBIzwam priya-ASvAsam bAlA-BAryA-viroDinaH /
   parasparaṃ hariṣyanti kulabhogaṃ dhanāni ca // Suv_13.30 //	parasparam harizyanti kula-Bogam DanAni ca // Suu-_13.30 //
   deśe deśe haniṣyanti śastreṇa ca parasparam /	deSe deSe hanizyanti SastreNa ca parasparam /
   vivādāḥ kalahāḥ śāṭhyā bhavanti viṣayeṣu ca // Suv_13.31 //	vivAdAH kalahAH SAWyAH Bavanti vizayezu ca // Suu-_13.31 //
   grahaḥ praviśate rāṣṭre vyādhirbhavati dāruṇaḥ /	grahaH praviSate rAzwre vyADiH-Bavati dAruNaH /
   adhārmikā bhaviṣyanti dikṣaṇīyāstadantaram // Suv_13.32 //	aDArmikAH Bavizyanti dikzaNIyAH-tad-antaram // Suu-_13.32 //
   amātyāḥ pariṣadyāśca bhavantyasyāpyadhārmikāḥ /	amAtyAH parizadyAH-ca Bavanti-asya-api-aDArmikAH /
   adhārmikajane pūjā bhaviṣyanti tadantaram // Suv_13.33 //	aDArmika-jane pUjAH Bavizyanti tad-antaram // Suu-_13.33 //
   dhārmikānāṃ ca sattvānāṃ nigraho bhavati dhruvam /	DArmikAnAm ca sattvAnAm nigrahaH Bavati Druvam /
   adhārmikajane mānaṃ dhārmikānāṃ ca nigraham /	aDArmika-jane mAnam DArmikAnAm ca nigraham /
   trayastatra prakupyante nakṣatrajalavāyavaḥ // Suv_13.34 //	trayaH-tatra prakupyante nakzatra-jala-vAyavaH // Suu-_13.34 //
   trayo bhāvā vinaśyanti adhārmikajano grahe /	trayaH BAvAH vinaSyanti aDArmika-janaH grahe /
   saddharmarasanojaśca sattvojaḥ pṛthivīrasaḥ // Suv_13.35 //	sadDarma-rasanojaH-ca sattvojaH pRTivI-rasaH // Suu-_13.35 //
   asatyajanasaṃmānaṃ satyajanavimānatā /	asatya-jana-saMmAnam satya-jana-vimAna-tA /
   trayastatra bhaviṣyanti durbhikṣamatha nirbharam /	trayaH-tatra Bavizyanti durBikzam-aTa nirBaram /
   phalasasyarasaujaśca na bhavati tadantare // Suv_13.36 //	Pala-sasya-rasa-ojaH-ca na Bavati tad-antare // Suu-_13.36 //
   glānena bahulāḥ sattvā bhavanti viṣayeṣu ca /	glAnena bahulAH sattvAH Bavanti vizayezu ca /
   madhurāṇi mahānti ca phalāni viṣaye 'pi hi /	maDurANi mahAnti ca PalAni vizaye api hi /
   parītā ca bhaviṣyanti tiktaḥ kaṭuka eva ca // Suv_13.37 //	parItA ca Bavizyanti tiktaH kawukaH eva ca // Suu-_13.37 //
   pūrvā ramyāṇi bhāvāni krīḍāhāsyaratīni ca /	pUrvA ramyANi BAvAni krIxA-hAsi-a-ratIni ca /
   sabhā ramyā bhaviṣyanti āyāsaśatavyākulāḥ // Suv_13.38 //	saBA ramyAH Bavizyanti AyAsa-Sata-vyAkulAH // Suu-_13.38 //
   (Bagchi 74)	(Baj-Ci 74)
   dhānyānāṃ ca phalānāṃ ca snigghabhāvo rasaḥ kṣayet /	DAnyAnAm ca PalAnAm ca snigGa-BAvaH rasaH kzayet /
   na tathā prīṇayiṣyanti śarīrendriyadhātavaḥ // Suv_13.39 //	na taTA prINayizyanti SarIra-indriya-DAtavaH // Suu-_13.39 //
   durvarṇāḥ sattvā bhaviṣyanti svalpasthāmāḥ sudurbalāḥ /	durvarNAH sattvAH Bavizyanti su-alpa-sTAmAH su-durbalAH /
   bahu ca bhojanaṃ bhuktvā tṛptiṃ nāsādayanti te // Suv_13.40 //	bahu ca Bojanam BuktvA tRptim na-AsAdayanti te // Suu-_13.40 //
   balaṃ ca sthāma vīryaṃ ca na labhanti tadantare /	balam ca sTAma vIryam ca na laBanti tad-antare /
   hīnavīryāṇi sattvāni bhavanti viṣayeṣu ca // Suv_13.41 //	hIna-vIryANi sattvAni Bavanti vizayezu ca // Suu-_13.41 //
   sattvā bhaviṣyanti rogārtā nānāvyādhiprapīḍitāḥ /	sattvAH Bavizyanti roga-ArtAH nAnA-vyADi-prapIxitAH /
   grahā bhaviṣyanti nakṣatrā nānārākṣasasaṃbhavāḥ // Suv_13.42 //	grahAH Bavizyanti nakzatrAH nAnA-rAkzasa-saMBavAH // Suu-_13.42 //
   adhārmiko bhavedrājā adharmapakṣasaṃsthitaḥ /	aDArmikaH Bavet-rAjA aDarma-pakza-saMsTitaH /
   traidhātuke viruddho 'sti sarvatrailokyamaṇḍalam /	trEDAtuke virudDaH asti sarva-trElokya-maNxalam /
   aneke īdṛśā doṣā bhavanti viṣayeṣu ca // Suv_13.43 //	aneke IdRSAH dozAH Bavanti vizayezu ca // Suu-_13.43 //
   yadā pakṣasthito rājā duṣkṛtaṃ samupekṣate /	yadA pakza-sTitaH rAjA duzkRtam samupekzate /
   yena kāryeṇa rājā vai devendrebhiradhiṣṭhitaḥ /	yena kAryeNa rAjA vE deva-indreBiH-aDizWitaH /
   na tatkaroti rājatvaṃ duṣkṛtaṃ samupekṣataḥ // Suv_13.44 //	na tat-karoti rAja-tvam duzkRtam samupekzataH // Suu-_13.44 //
   sukṛtenopapadyante sarvadevasurālaye /	sukRtena-upapadyante sarva-deva-surAlaye /
   duṣkṛtena ca gacchanti pretatiryagnarakeṣu ca /	duzkRtena ca gacCanti preta-tiryak-narakezu ca /
   trāyastriṃśaddevasthāne pratāpayanti duṣkṛtāt // Suv_13.45 //	trAyastriMSat-deva-sTAne pratApayanti duzkRtAt // Suu-_13.45 //
   yadā hyupakṣate rājā duṣkṛtaṃ viṣaye sthitam /	yadA hi-upakzate rAjA duzkRtam vizaye sTitam /
   pitṝṇāṃ devarājānāṃ bhavena sāparādhikaḥ /	pitLNAm devarAjAnAm Bavena sA-apara-aDikaH /
   na tadbhavati putratvaṃ na rajatvaṃ kṛtaṃ bhavet // Suv_13.46 //	na tat-Bavati putra-tvam na raja-tvam kRtam Bavet // Suu-_13.46 //
   yadāpi naśyate kāryaṃ śāṭhyairapi sudāruṇaiḥ /	yadA-api naSyate kAryam SAWyEH-api su-dAruNEH /
   tasmādadhiṣṭhito rājā devendrarmanujālaye // Suv_13.47 //	tasmAt-aDizWitaH rAjA deva-indrarmanuja-Alaye // Suu-_13.47 //
   duṣkṛtānāṃ śamanārthāya sukṛtānāṃ pravartakaḥ /	duzkRtAnAm Samana-arTAya sukRtAnAm pravartakaH /
   dṛṣṭadhārmikaḥ sattvānāṃ vipākajanako nṛpaḥ // Suv_13.48 //	dRzwa-DArmikaH sattvAnAm vipAka-janakaH nRpaH // Suu-_13.48 //
   (Bagchi 75)	(Baj-Ci 75)
   sukṛtaduṣkṛtānāṃ ca karmaṇāṃ yaḥ pṛthagvidhaḥ /	sukRta-duzkRtAnAm ca karmaNAm yaH pRTagviDaH /
   vipākaphaladarśārthaṃ karttā rājā hi procyate /	vipAka-Pala-darSa-arTam karttA rAjA hi procyate /
   adhiṣṭhito devagaṇairdevendrairanumoditaḥ // Suv_13.49 //	aDizWitaH deva-gaNEH-deva-indrEH-anumoditaH // Suu-_13.49 //
   ātmano 'rthaṃ parārthāya dharmārthaṃ viṣayasya ca /	AtmanaH arTam para-arTAya Darma-arTam vizayasya ca /
   damanārthāya rāṣṭreṣu śaṭhapāpajanasya ca // Suv_13.50 //	damana-arTAya rAzwrezu SaWa-pApa-janasya ca // Suu-_13.50 //
   tyajecca jīvitaṃ rājyaṃ dharmārthaṃ viṣayasya ca /	tyajet-ca jIvitam rAjyam Darma-arTam vizayasya ca /
   mā cādharmamapṛcchitvā jānantaṃ samupekṣata // Suv_13.51 //	mA ca-aDarmam-apRcCitvA jAnantam samupekzata // Suu-_13.51 //
   na cānyastādṛśo nāśo viṣaye 'smin sudāruṇaḥ /	na ca-anyaH-tAdRSaH nASaH vizaye asmin su-dAruNaH /
   yadā śāṭhyasamutpannaḥ śāṭhyakāntāranigrahaḥ // Suv_13.52 //	yadA SAWya-samutpannaH SAWya-kAntAra-nigrahaH // Suu-_13.52 //
   bhūyo bhavanti śāṭhyāni viṣaye 'smin sudāruṇā /	BUyas Bavanti SAWyAni vizaye asmin su-dAruNA /
   vilupyate ca tadrāṣṭraṃ gajairiva mahāsaraḥ // Suv_13.53 //	vilupyate ca tat-rAzwram gajEH-iva mahA-asaraH // Suu-_13.53 //
   prakupyanti ca devendrā vilumpate surālayam /	prakupyanti ca deva-indrAH vilumpate surAlayam /
   viṣamāḥ sarvabhāvāśca bhavanti viṣayasya hi // Suv_13.54 //	vizamAH sarva-BAvAH-ca Bavanti vizayasya hi // Suu-_13.54 //
   tasmāddoṣānurūpaṃ syāddamanaṃ pāpakāriṇām /	tasmAt-doza-anurUpam syAt-damanam pApa-kAriNAm /
   dharmeṇa pālayedrāṣṭaṃ mā cādharmaṃ samācaret // Suv_13.55 //	DarmeNa pAlayet-rAzwam mA ca-aDarmam samAcaret // Suu-_13.55 //
   jīvitaṃ ca parityajya mā pāpe patito bhavet /	jIvitam ca parityajya mA pApe patitaH Bavet /
   bandhujane parajane sarvarāṣṭrajaneṣu ca /	banDu-jane para-jane sarva-rAzwra-janezu ca /
   ekāpekṣo bhavedrājā mā pakṣe patito bhavet // Suv_13.56 //	eka-apekzaH Bavet-rAjA mA pakze patitaH Bavet // Suu-_13.56 //
   trailokyamāpūrayate yaśasā dhārmiko nṛpaḥ /	trElokyam-ApUrayate yaSasA DArmikaH nRpaH /
   harṣayiṣyanti devendrāstrāyastriṃśadbhaveṣu ca // Suv_13.57 //	harzayizyanti deva-indrAH-trAyastriMSat-Bavezu ca // Suu-_13.57 //
   jambūdvīpe tathāsmākaṃ putro dharmātmako nṛpaḥ /	jambUdvIpe taTA-asmAkam putraH Darma-AtmakaH nRpaH /
   dharmeṇa śāsyate rāṣṭraṃ sukṛte sthāpyate janam // Suv_13.58 //	DarmeNa SAsyate rAzwram sukRte sTApyate janam // Suu-_13.58 //
   (Bagchi 76)	(Baj-Ci 76)
   sukṛtena ca rājā taṃ iha preṣayate janam /	sukRtena ca rAjA tam iha prezayate janam /
   devairdevasutaiḥ pūrṇaṃ karoti ca surālayam // Suv_13.59 //	devEH-deva-sutEH pUrNam karoti ca surAlayam // Suu-_13.59 //
   dharmeṇa śāsyate rāṣṭraṃ rājā naḥ supraharṣitāḥ /	DarmeNa SAsyate rAzwram rAjA naH su-praharzitAH /
   prasannā bhonti devendrā rakṣante tānnarādhipān // Suv_13.60 //	prasannAH Bonti deva-indrAH rakzante tAn-narADipAn // Suu-_13.60 //
   samyagvahanti nakṣatrā candrasūryau tathaiva ca /	samyak-vahanti nakzatrA candra-sUryO taTA-eva ca /
   kālena vāyavo vānti kāle caivaṃ pravarṣati // Suv_13.61 //	kAlena vAyavaH vAnti kAle ca-evam pravarzati // Suu-_13.61 //
   subhikṣaṃ kurvate rāṣṭre tathā devasurālaye /	suBikzam kurvate rAzwre taTA deva-surAlaye /
