   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   abhyaste hi viṣaye 'vinābhāvapratītikrama itthameva na lakṣyate /	aByaste hi vizaye avinA aBAva pratIti kramaH itTam eva na lakzyate /
   abhyāso hyayameva yatpraṇidhānādināpi vinaiva saṃskārasya	aByAsaH hi ayam eva yad praNiDAna AdinA api vinA eva saMskArasya
   balavattvātsadaiva prabubhutsutayā avasthāpanamityevaṃ yatra	balavat tvAt sadA eva prabuBut sutayA avasTApanam iti evam yatra
   dhūmastatrāgniriti hṛdayasthitatvādvyāpteḥ pakṣadharmajñānamātramevopayogi	DUmaH tatra agniH iti hRdaya sTita tvAt vyApteH pakza Darma jQAna mAtram eva upayogi
   bhavatīti parāmarśasthānamākramati, jhaṭityutpannehi dhūmajñāne	Bavati iti parAmarSa sTAna mAkramati, Jawiti utpannA ihi DUma jQAne
   tadvyāptismṛtyupakṛte	tad vyApti smRti upakRte
   tadvijātīyapraṇidhānānusaraṇādipratītyantarānupraveśavirahādāśubhāvinyāmagnipratītau	tad vijAtIya praNiDAna anusaraNa Adi prati iti antara anupraveSa virahAt ASu BAvinyAm agni pratItO
   bālapriyā ghaṭanā ityarthaḥ /	bAla priyAH GawanAH iti arTaH /
   rasādīnityādervivaraṇam   tadāsvādamityādi /	rasa AdIn ityAdeH vivaraNam    tad AsvAdam ityAdi /
   tattvityādigranthena labdhaṃ kramastu kinna lakṣyata iti codyasyottaraṃ	tat tu ityAdi granTena labDam kramaH tu kin na lakzyate iti ca udyasya uttaram
   vivṛṇoti   etadityādi /	vivRNoti   etat ityAdi /
   saṅghaṭanāvyaṅgyatvāditi /	saFGawana avyaFgya tvAt iti /
   arthajñānopayogaṃ vināpi saṅghaṭanayā vyaṅgyatvādatyarthaḥ /	arTa jQAna upayogam vinA api saFGawanayA vyaFgya tvAt atyarTaH /
   pūrvameva vācyārthajñānātprāgeva /	pUrvam eva vAcya arTa jQAnAt prAk eva /
   uciteti /	ucitA iti /
   abhyastetyarthaḥ /	aByastA iti arTaH /
   āsūtritarḥ iṣatsphuritaḥ /	AsUtri tarH izad sPuritaH /
   tenetyasya na bhātītyanenānvayaḥ /	tena iti asya na BAti iti anena anvayaH /
   vācyeti /	vAcya iti /
   vācyapratītyuttarakāle yo bhavaḥ jananaṃ tena hetunā yaḥ parisphuṭāsvādaḥ	vAcya pratIti uttara kAle yaH BavaH jananam tena hetunA yaH parisPuwa AsvAdaH
   tena yukto 'pi viśiṣṭo 'pi; parisphuṭāsvādaḥ yukto 'pīti ca pāṭhaḥ /	tena yuktaH api viSizwaH api; parisPuwa AsvAdaH yuktaH api iti ca pAWaH /
   paścādutpannatvena vācyapratītyuttarakālotpannatvena /	paScAt utpanna tvena vAcya pratIti uttara kAla utpanna tvena /
   na bhātīti /	na BAti iti /
   sahṛdayānāmiti śeṣaḥ /	sahRdayAnAm iti SezaH /
   abhyāsa ityādi /	aByAse ityAdi /
   "abhyāsastu samāne viṣaye jñānānāmabhyāvṛttari"ti nyāyabhāṣye /	"aByAsaH tu samAne vizaye jQAnAnAm aByAvRttari"ti nyAya BAzye /
   praṇidhānetyādi /	praNiDAna ityAdi /
   "sūsmūrṣayā manaso dhāraṇaṃ praṇidhāna"miti nyāyabhāṣyam /	"sUsmUrzayA manasaH DAraNam praNiDAna"m iti nyAya BAzyam /
   dhāraṇamekāgrīkaraṇam /	DAraNam ekAgrIkaraNam /
   praṇidhānādinetyādipadena	praNiDAna AdinA ityAdi padena
   "praṇidhānanibandhābhyāsaliṅge"tyādinyāyasūtroktaliṅgādīnāṃ grahaṇam /	"praNiDAna nibanDa aByAsa liFga i"ti Adi nyAya sUtra ukta liFga AdInAm grahaNam /
   vinaivetyasya prabubhutsutayā sthāpanamityanena sambandhaḥ /	vinA eveti asya prabuBut sutayA sTApanam iti anena sambanDaH /
   balavatvāditi /	balava tvAt iti /
   jhaṭityudbodhakasamavadhānarūpadārḍhyavatvādityarthaḥ /	Jawiti udboDaka samavaDAna rUpa dArXyava tvAt iti arTaH /
   prabusutsutayeti /	prabusutsutayA iti /
   smṛtirūpaprabodhopadhāyakatvenetyarthaḥ /	smRti rUpa praboDa upaDAyaka tvena iti arTaH /
   kūlaṃ pipatiṣatītyādivat prayogaḥ /	kUlam pipatizati ityAdi vat prayogaH /
   abhyasta ityādinā samānyata uktaṃ viśiṣya darśayati  evamityādi /	aByastaH ityAdinA samA anyatas uktam viSizya darSayati  evam ityAdi /
   ityevaṃ vyāpterityanvayaḥ /	iti evam vyApteH iti anvayaH /
   hṛdayasthitatvāditi /	hRdaya sTita tvAt iti /
   saṃskārarūpeṇāntaḥ karaṇe vartamānatvādityarthaḥ /	saMskAra rUpeNa antar karaNe vartamAna tvAt iti arTaH /
   pakṣeti dhūmādiliṅgasya parvatādipakṣavṛttitvajñānamātramityarthaḥ /	pakza iti DUma Adi liFgasya parvata Adi pakza vRtti tva jQAna mAtram iti arTaH /
   mātramevetyanena pakṣe sādhyavyāptiviśiṣṭahetumattājñānarūpasya	mAtram eva iti anena pakze sADya vyApti viSizwa hetumatta ajQAna rUpasya
   parāmarśasya vyavacchedaḥ /	parAmarSasya vyavacCedaH /
   upayogīti /	upayogi iti /
   vahnyādyanumitāviti śeṣaḥ /	vahni Adi anumitO= iti SezaH /
   itīti hetau /	iti iti hetO /
   parāmarśeti /	parAmarSa iti /
   parāmarśasthānīyaṃ bhavatīspaṣṭamidaṃ matam /	parAmarSa sTAnIyam Bavati ispazwam idam matam /
   jhaṭitītyasya vyāptismṛtītyanena sambandhaḥ /	Jawiti iti asya vyApti smRti iti anena sambanDaH /
   tadyvāptīti /	tat i vApti iti /
   dhūmādau vahnyādivyāpteḥ smṛtyā sahakute satītyarthaḥ /	DUma AdO vahni Adi vyApteH smRtyA saha kute sati iti arTaH /
   tadityādi /	tat ityAdi /
   tābhyāṃ dhūmajñānavyāptismṛtibhyāṃ vijātīyaṃ yat praṇidhānānukaraṇādinā	tAByAm DUma jQAna vyApti smRtiByAm vijAtIyam yat praNiDAna anukaraNa AdinA
   praṇidhānakaraṇādinā pratītyantaramālocanarūpaṃ kvacittu lakṣyata eva /	praNiDAna karaNa AdinA prati iti antaram Alocana rUpam kvacid tu lakzyate eva /
   yathānuraṇanarūpavyaṅgyapratītiṣu /	yaTA anuraNana rUpa vyaFgya pratItizu /
   tatrāpi kathamiti ceducyate  	tatra api kaTam iti ced ucyate  
   arthaśaktimūlānuraṇanarūpavyaṅgye dhvanau tāvadabhidheyasya	arTa Sakti mUla anuraNana rUpa vyaFgye DvanO tAvat aBiDeyasya
   tatsāmarthyākṣiptasya cārthasyābhidheyāntaravilakṣaṇatayātyantavilakṣaṇe	tad sAmarTya Akziptasya ca arTasya aBiDeya antara vilakzaNa tayA atyanta vilakzaNe
   ye pratīti tayoraśakyanihnavo nimittanimittibhāva iti sphuṭameva tatra	ye prati iti tayoH aSakya nihnavaH nimitta nimitti BAvaH iti sPuwam eva tatra
   paurvāparyam /	pOrvAparyam /
   yathā prathamoddyote pratīyamānārthasidydharthamudāhṛtāmu gāthāsu /	yaTA praTama uddyote pratIyamAna arTa sidyDarTam udAhRtAmu gATAsu /
   tathāvidhe ca viṣaye vācyavyaṅgyeyoratyantavilakṣaṇatvādyaiva ekasya	taTAviDe ca vizaye vAci avyaFgyeyoH atyanta vilakzaNa tva adya eva ekasya
   pratītiḥ saivetarasyeti na śakyate vaktum /	pratItiH sA eva itarasya iti na Sakyate vaktum /
   śabdaśaktimūlānuraṇanarūpavyaṅgye tu dhvanau    gāvo vaḥ pāvanānāṃ	Sabda Sakti mUla anuraNana rUpa vyaFgye tu DvanO   gAvaH vaH pAvanAnAm
   paramaparimitāṃ prītimutpādayantu locanam kramo na lakṣyate tadvadihāpi /	parama parimitAm prItim utpAdayantu locanam kramaH na lakzyate tadvat iha api /
   yadi tu vācyāvirodhī raso na syāducitā ca ghaṭanā na bhavettallakṣyetaiva	yadi tu vAcya aviroDI rasaH na syAt ucitA ca GawanA na Bavet tat lakzyeta eva
   krama iti /	kramaH iti /
   candrikākārastu paṭhitamanupaṭhatīti nyāyena gajanimīlikayā	candrikA AkAraH tu paWitam anupaWati iti nyAyena gaja nimIlikayA
   vyācacakṣe  tasya śabdasya phalaṃ tadvā phalaṃ vācyavyaṅgyapratītyātmakaṃ	vyAcacakze  tasya Sabdasya Palam tat vA Palam vAci avyaFgya pratIti Atmakam
   tasya ghaṭanā niṣpādanā yato 'nanyasādhyā śabdavyāpāraikajanyeti /	tasya GawanA nizpAdanA yatas ananya sADyA Sabda vyApAra eka janyA iti /
   na cātrārthasatattvaṃ vyākhyāne kiñcidutpaśmāma ityalaṃ pūrvavaṃśyaiḥ saha	na ca atra arTa sa tattvam vyAKyAne kiQcid utpaSmAmaH iti alam pUrva vaMSyEH saha
   vivādena bahunā /	vivAdena bahunA /
   yatra tu saṅghaṭanāvyaṅgyatve nāsti tatra lakṣyata evetyāha  kvacittviti /	yatra tu saFGawana avyaFgya tve na asti tatra lakzyate eva iti Aha   kvacittu iti /
   tulye vyaṅgyatve kuto bheda ityāśaṅkate   tatrāpīti /	tulye vyaFgya tve kutas BedaH iti ASaFkate   tatra api iti /
   sphuṭameveti /	sPuwam eva iti /
   avivakṣitavācyasya padavākyaprakāśatā /	avivakzita vAcyasya pada vAkya prakASa tA /
   tadanyasyānuraṇanarūpavyaṅgyasya ca dhvaneḥ //	tad anyasya anuraNana rUpa vyaFgyasya ca DvaneH //
   iti hi pūrvaṃ varṇasaṅghaṭanādikaṃ nāsya vyañjakatvenoktamiti bhāvaḥ /	iti hi pUrvam varNa saFGawana Adikam na asya vyaQjaka tvena uktam iti BAvaH /
   gāthāsviti /	gATAsu iti /
   bālapriyā tasya yo 'nupraveśaḥ tasya virahādabhāvādityarthaḥ /	bAla priyA tasya yaH anupraveSaH tasya virahAt aBAvAt iti arTaH /
   āśubhāvinyāṃ jhaṭiti bhavantyām /	ASu BAvinyAm Jawiti BavantyAm /
   agnipratītau parvatādau vahreranumittau /	agni pratItO parvata AdO vahreH anumittO /
   krama iti /	kramaH iti /
   vyāptismṛtisahakṛtasya dhūmajñānasyeti śeṣaḥ /	vyApti smRti saha kRtasya DUma jQAnasya iti SezaH /
   upasaṃharati  tadvaditi /	upasaMharati   tadvat iti /
   abhyāsanimittakāśubhāvitvena sāmyaṃ bodhyam /	aByAsa nimittaka aSu BOvi tvena sAmyam boDyam /
   vācyāvirodhitetyādyuvatyā gamyamarthamāha  yadītyādi /	vAcya aviroDitA ityAdyuvatyA gamyam arTam Aha  yadi ityAdi /
   ananyetyādigranthasya candrikāvyākhyānamāha  tasyetyādi /	ananyA ityAdi granTasya candrikA vyAKyAnam Aha  tasya ityAdi /
   arthasatattvamiti /	arTa sa tattvam iti /
   arthasya saṅgatatvamityarthaḥ /	arTasya saFgata tvam iti arTaH /
   sphuṭameva paurvāparyamityetadupapādayati   avivakṣitetyādi /	sPuwam eva pOrvAparyam iti etat upapAdayati   avivakzitA ityAdi /
   iti hi pūrvamuktaṃ varṇasaṅghaṭanādikamasya vyañjakatvena noktamiti	iti hi pUrvam uktam varNa saFGawana Adikam asya vyaQjaka tvena na uktam iti
   sambandhaḥ /	sambanDaH /
   ityādāvarthadvayapratītau	iti AdO= arTa dvaya pratItO
   śābdyāmarthadvayasyopamānopameyabhāvapratītirupamāvācaṅkapadavirahe	SAbdyAm arTa dvayasya upamAna upameya BAva pratItiH upamAvAcaFka pada virahe
   satyarthasāmarthyādākṣipteti, tatrāpi	sati arTa sAmarTyAt Akzipta iti, tatra api
   sulakṣamabhidheyavyaṅgyālaṅkārapratītyo /	su lakzam aBiDeya vyaFgya alaFkAra pratItyaH /
   paurvāparyam /	pOrvAparyam /
   padaprakāśaśabdaśaktimūlānuraṇanarūpavyaṅgye 'pi dhvanau	pada prakASa Sabda Sakti mUla anuraNana rUpa vyaFgye api DvanO
   viśeṣaṇapadasyobhayārthasambandhayogyasya yojakaṃ padamantareṇa	viSezaNa padasya uBaya arTa sambanDa yogyasya yojakam padam antareNa
   yojanamaśābdamapyarthādavasthitamityatrāpi	yojanam aSa abdam api arTAt avasTitam iti atra api
   pūrvavadabhideyatatsāmarthyākṣiptālaṅkāramātrapratītyoḥ susthitameva	pUrvavat aBideya tad sAmarTyA kzipta alaFkAra mAtra pratItyoH susTitam eva
   paurvāparyam /	pOrvAparyam /
   locamam 'bhama dhammia' ityādikāsu /	locamam aBama Dammia a iti AdikAsu /
   tāśca tatraiva vyākhyātāḥ /	tAH ca tatra eva vyAKyAtAH /
   śābdyāmiti /	SAbdyAm iti /
   śābdyāmapītyarthaḥ /	SAbdyAm api iti arTaH /
   upamāvācakaṃ yathevādi /	upamA vAcakam yaTeva Adi /
   arthasāmarthyāditi /	arTa sAmarTyAt iti /
   vākyārthasāmarthyāditi yāvat /	vAkya arTa sAmarTyAt iti yAvat /
   evaṃ vākyaprakāśaśabdaśaktimūlaṃ vicārya padaprakāśaṃ	evam vAkya prakASa Sabda Sakti mUlam vicArya pada prakASam
   vicārayati   padaprakāśeti /	vicArayati    pada prakASa iti /
   viśeṣaṇapadasyeti /	viSezaNa padasya iti /
   jaḍa ityasya /	jaxaH iti asya /
   yojakamiti /	yojakam iti /
   kūpa iti ca ahamiti cobhayasamānādhikaraṇatayā saṃvalanam /	kUpaH iti ca aham iti ca uBaya samAna aDikaraNa tayA saMvalanam /
   abhidheyaṃ ca tatsāmarthyākṣiptaṃ ca tayoralaṅkāramātrayoḥ /	aBiDeyam ca tad sAmarTya Akziptam ca tayoH alaFkAra mAtrayoH /
   ye pratīti tayoḥ paurvāparyaṃ kramaḥ /	ye prati iti tayoH pOrvAparyam kramaH /
   susthitaṃ sulakṣitamitayarthaḥ /	su sTitam su lakzitam itayarTaH /
   mātragrahaṇena rasapratītistatrāpyalakṣyakramaiveti darśayati /	mAtra grahaNena rasa pratItiH tatra api alakzya kramA eva iti darSayati /
   bālapriyā yena paurvāparyasyāsphuṭatvaṃ bhavediti bhāvaḥ /	bAla priyA yena pOrvAparyasya asPuwa tvam Bavet iti BAvaH /
   śābdyāmapīti /	SAbdyAm api iti /
   abhidhayā śabdajanyāmapītyarthaḥ /	aBiDayA Sabda janyAm api iti arTaH /
   apiśabdenāprakṛtārthasya vyaṅgyatvapakṣaḥ sūcyate /	api Sabdena aprakRta arTasya vyaFgya tva pakzaH sUcyate /
   upamāvācakapadaviraha ityatropamāvācakapadaṃ vivṛṇoti   upametyādi /	upamA vAcaka pada virahaH iti atra upamA vAcaka padam vivRNoti   upamA ityAdi /
   vṛttau 'ākṣipte'ti /	vRttO aAkzipte ati /
   utpāditetyarthaḥ /	utpAditA iti arTaH /
   'abhidheye'ti /	aaBiDeye ati /
   abhidheyasya vyaṅgyālaṅkārasya ca ye pratītī tayorityarthaḥ /	aBiDeyasya vyaFgya alaFkArasya ca ye pratItI tayoH iti arTaH /
   dvitīyārtho 'pyabhidheyaḥ tadupamāmātraṃ vyaṅgyamiti matābhiprāyeṇedam,	dvitIya arTaH api aBiDeyaH tad upamA mAtram vyaFgyam iti mata aBiprAyeNa idam,
   anupadaṃ vakṣyamāṇasthale 'pyevaṃ bodhyam /	anupadam vakzyamANa sTale api evam boDyam /
   locane vṛttānuvādapūrvakamavatārayati   evamityādi /	locane vRtta anuvAda pUrvakam avatArayati   evam ityAdi /
   padaprakāśamiti /	pada prakASam iti /
   śabdaśaktimūlamityanuṣaṅgaḥ /	Sabda Sakti mUlam iti anuzaFgaH /
   prātuṃ dhanairityādyuktamudāharaṇaṃ manasikṛtya vyācaṣṭe   jaḍa ityasyeti	prAtum DanEH ityAdi uktam udAharaNam manasikRtya vyAcazwe   jaxaH iti asya iti
   yojanaśabdārthamāha  kūpa ityādi /	yojana Sabda arTam Aha   kUpaH ityAdi /
   iti cobhayeti /	iti ca uBayA iti /
   kūpāhampadārthobhayetyarthaḥ /	kUpa ahampadArTa uBayA iti arTaH /
   saṃvalanaṃ sammiśraṇam /	saMvalanam sammiSraNam /
   vṛttau'aśābdamapī'ti /	vRttO aaSa abdam apI ati /
   yojakaśabdāpratipādyamapītyarthaḥ /	yojaka Sabda apratipAdyam api iti arTaH /
   arthādvyañjanāt /	arTAt vyaQjanAt /
   'avasthitam' pratipattiviṣayabhūtam /	aavasTitam a pratipatti vizaya BUtam /
   abhidheyetyādikaṃ vyācaṣṭe  abhidheyamityādi /	aBiDeya iti Adikam vyAcazwe  aBiDeyam ityAdi /
   atrābhidheyālaṅkārodīpakam, jaḍatvasyobhayatrānvayāt /	atra aBiDeya alaFkAra udIpa kam, jaxa tvasya uBayatra anvayAt /
   tatsāmarthyakṣiptā copamā /	tad sAmarTya kziptA ca upamA /
   abhidheyaṃ ca tatsāmarthyākṣiptālaṅkāraśca tāveva tanmātre iti ca	aBiDeyam ca tad sAmarTya Akzipta alaFkAraH ca tO= eva tanmAtre iti ca
   vṛttyartho bodhyaḥ /	vRtti arTaH boDyaH /
   alakṣaṇīyatvaśaṅkāyā vyāvartanīyatayā tadanurodhena	alakzaNIya tva SaFkAyAH vyAvartanIya tayA tad anuroDena
   vyācaṣṭe  sulakṣitamiti /	vyAcazwe   su lakzitam iti /
   mātragrahaṇeneti /	mAtra grahaNena iti /
   alaṅkāramātretyatratyamātrapadenetyarthaḥ /	alaFkAra mAtrA iti atratya mAtra padena iti arTaH /
   ārthyapi ca pratipattisyathāvide viṣaye	ArTI api ca pratipatti syaTa avide vizaye
   ubhayārthasambandhayogyaśabdasāmarthyaprasāviteti śabdaśaktimūlā kalpyate	uBaya arTa sambanDa yogya Sabda sAmarTya prasAvitA iti Sabda Sakti mUlA kalpyate
   avivakṣitavācyasya tu dhvaneḥ	avivakzita vAcyasya tu DvaneH
   prasiddhasvaviṣayavaimukhyapratītipūrvakamevārthāntaraprakāśanamiti	prasidDa sva vizaya vEmuKya pratIti pUrvakam eva arTa antara prakASanam iti
   niyamabhāvī kramaḥ /	niyama BAvI kramaH /
   tatrāvivakṣitavācyatvādeva vācyeva saha vyaṅgyasya kramapratītivicāro na	tatra avivakzita vAcya tvAt eva vAci eva saha vyaFgyasya krama pratIti vicAraH na
   kṛtaḥ /	kRtaH /
   tasmādabhidhānābhidheyapratītyoriva locanam nanvevamārthatvaṃ	tasmAt aBiDAna aBiDeya pratItyoH iva locanam nanu evam ArTa tvam
   śabdaśaktimūlatvaṃ ceti viruddhamityāśaṅkyāha   ārthyapīti /	Sabda Sakti mUla tvam ca iti virudDam iti ASaFkya aha   a arTI api iti /
   nātra virodhaḥ kaściditi bhāvaḥ /	na atra viroDaH kaScid iti BAvaH /
   etacca vitatya pūrvameva nirṇītamiti na punarucyate /	etat ca vitatya pUrvam eva nirNItam iti na punar ucyate /
   svaviṣayeti /	sva vizaya iti /
   andhaśabdāderupahatacakṣuṣkādiḥ svo viṣayaḥ, tatra yadvaimukhyamanādara	anDa Sabda AdeH upahata cakzuzka AdiH svaH vizayaH, tatra yat vEmuKyam anAdara
   ityarthaḥ /	iti arTaH /
   vicāro na kṛta iti /	vicAraH na kRtaH iti /
   nāmadheyanirūpaṇadvāreṇeti śeṣaḥ /	nAmaDeya nirUpaNa dvAreNa iti SezaH /
   sahabhāvasya śaṅkitumatrāyuktatvāditi bhāvaḥ /	sahaBAvasya SaFkitum atra ayukta tvAt iti BAvaH /
   evaṃ rasādayaḥ kaiśikyādīnāmitivṛttabhāgarūpāṇāṃ vṛttīnāṃ	evam rasa AdayaH kESikI AdInAm iti vRtta BAga rUpANAm vRttInAm
   jīvitamupanāgarikādyānāṃ ca sarvasyāsyobhayasyāpi vṛttivyavahārasya	jIvitam upanAgarikA AdyAnAm ca sarvasya asya uBayasya api vRtti vyavahArasya
   rasādiniyantritaviṣayatvāditi yatprastutaṃ tatprasaṅgena rasādīnāṃ	rasa Adi niyantrita vizaya tvAt iti yat prastutam tad prasaFgena rasa AdInAm
   vācyātiriktatvaṃ samarthayituṃ kramo vicārita	vAcya atirikta tvam samarTayitum kramaH vicArita
   ityetadupasaṃharati  tasmāditi /	iti etat upasaMharati  tasmAt iti /
   abhidhānasya bālapriyā rasapratītiriti /	aBiDAnasya bAlapriyA rasa pratItiH iti /
   rasasya bhāvasya vā pratītirityarthaḥ /	rasasya BAvasya vA pratItiH iti arTaH /
   tatrāpīti /	tatra api iti /
   uktaśabdaśaktimūlasthale 'pītyarthaḥ /	ukta Sabda Sakti mUla sTale api iti arTaH /
   prātumityādau nirvedo vyaṅgyaḥ /	prAtum iti AdO nirvedaH vyaFgyaH /
   nātretyādi /	na atra ityAdi /
   ubhāyarthotyādiviśeṣaṇasya vidyamānatvānna virodha ityarthaḥ /	uBAyarTa uti Adi viSezaNasya vidyamAna tvAt na viroDaH iti arTaH /
   evaṃ vivakṣitānyaparavācye vyaṅgyavyañjakayoḥ kramaṃ pratipādya sarvatrāpi	evam vivakzitAni apara vAcye vyaFgya vyaQjakayoH kramam pratipAdya sarvatra api
   vyaṅgyavyañjakayoḥ kramo 'stīti darśayitumāha  vṛttau 'avivakṣite'tyādi /	vyaFgya vyaQjakayoH kramaH asti iti darSayitum Aha  vRttO aavivakzite atyAdi /
   'niḥśvāsāndha' ityādipūrvoktodāharaṇaniṣṭhatayā	aniHSvAsa anDa a ityAdi pUrva ukta udAharaNa nizWatayA
   svaviṣayavaimukhyamityetadvyācaṣṭe   andhaśabdāderityādi /	sva vizaya vEmuKyam iti etat vyAcazwe   anDa Sabda AdeH ityAdi /
   viṣayaḥ vācyārthaḥ /	vizayaH vAcya arTaH /
   anādara iti /	anAdaraH iti /
   vācyārthasya bādhitatvātparityāgaityarthaḥ /	vAcya arTasya bADita tvAt parityAga eti arTaH /
   vṛttau 'arthāntare'ti /	vRttO aarTa antare ati /
   vyaṅgyetyarthaḥ /	vyaFgya iti arTaH /
   'krama' iti /	akrama a iti /
   vācyavyaṅgyapratītyoriti śeṣaḥ /	vAci avyaFgya pratItyoH iti SezaH /
   'tatrāvivakṣitavācyatvādi'ti /	atatra avivakzita vAcya tva Adi ati /
   avivakṣitavādhyadhvanisthale vācyasyāvivakṣatatvādityarthaḥ /	avivakzita vADya Dvani sTale vAcyasyO= ivakzata tvAt iti arTaH /
   'krame'ti /	akrame ati /
   krameṇa yā pratītiḥ tadvicāraḥ vācyārthavyaṅgyārthapratītyoḥkramasya	krameNa yA pratItiH tad vicAraH vAcya arTa vyaFgyA arTa pratItyoHkramasya
   vicāra ityarthaḥ /	vicAraH iti arTaH /
   na kṛta ityatra pūrayati locane  nāmetyādi /	na kRtaH iti atra pUrayati locane  nAma ityAdi /
   bhāvamāha  sahetyādi /	BAvam Aha   saha ityAdi /
   atreti /	atra iti /
   avivakṣitavācyadhvanāvityarthaḥ /	avivakzita vAcya DvanO= iti arTaH /
   nanu rasādeḥ vṛttijīvitatvamupakrāntaṃ vācyavyaṅgyapratītikramaśca	nanu rasa AdeH vRtti jIvita tvam upakrAntam vAci avyaFgya pratIti kramaH ca
   tasmādityādinā upasaṃhṛtaḥ /	tasmAt ityAdinA upasaMhRtaH /
   tadidamasaṅgamityatastadbhanthamavatārayati   evaṃ rasādaya ityādi /	tat idam asaFgam iti atas tad BanTam avatArayati    evam rasa AdayaH ityAdi /
   upanāgarakādyānāṃ ca vṛttīnāmiti sambandhaḥ /	upanAgaraka AdyAnAm ca vRttInAm iti sambanDaH /
   rasādīnāmubhayavidhavṛttijīvitatve hetumāha   sarvasyetyādinā /	rasa AdInAm uBayaviDa vRtti jIvita tve hetum Aha    sarvasya ityAdinA /
   prastutamupakrāntaṃ tatprasaṅgena vicārita ityanvayaḥ /	prastutam upakrAntam tad prasaFgena vicAritaH iti anvayaH /
   ityetaditi /	iti etat iti /
   prasaṅgāgataṃ kramavicāramityarthaḥ /	prasaFga Agatam krama vicAram iti arTaH /
   vācyavyaṅgyapratītī kramavatyau	vAci avyaFgya pratItI kramavatyO
   nimittanaimittikatvādabhidhānābhidhayapratītivaditi	nimitta nEmittika tvAt aBiDAna aBiDaya pratIti vat iti
   vācyavyaṅgyapratītyornimittanimittibhāvānniyamabhāvī kramaḥ /	vAci avyaFgya pratItyoH nimitta nimitti BAvAt niyama BAvI kramaH /
   sa tūktayuktyā kvacillakṣyate kvacinna lakṣyate /	sa tu ukta yuktyA kvacid lakzyate kvacid na lakzyate /
   tadevaṃ vyañjakamukhena dhvaniprakāreṣu nirūpiteṣu kaścidbrūyāt   kimidaṃ	tat evam vyaQjaka muKena Dvani prakArezu nirUpitezu kaScid brUyAt   kim idam
   vyañjakatvaṃ nāma vyaṅgyārthaprakāśanam, na hi vyañjakatvaṃ vyaṅgyatvaṃ	vyaQjaka tvam nAma vyaFgya arTa prakASanam, na hi vyaQjaka tvam vyaFgya tvam
   cārthasya vyañjakasidydhadhīnaṃ vyaṅgyatvam, vyaṅgyāpekṣayā ca	ca arTasya vyaQjaka sidyDaDInam vyaFgya tvam, vyaFgya apekzayA ca
