   devadeva uvāca	devadevaH uvAca
   ihāhaṃ taṃ dvijaśreṣṭhaṃ haniṣyāmi na saṃśayaḥ /	iha-aham tam dvijaSrezWam hanizyAmi na saMSayaH /
   etacchratvā tu vacanaṃ vyathitā sā mahānadī // VamPSm_19.7 //	etat-SratvA tu vacanam vyaTitA sA mahA-nadI // VamPSm_19.7 //
   tathā tāṃ vyathitāṃ dṛṣṭvā vepamānaṃ mahānadīm /	taTA tAm vyaTitAm dRzwvA vepamAnam mahA-nadIm /
   viśvāmitro 'bravīt kruddho vasiṣṭhaṃ śīghramānaya // VamPSm_19.8 //	viSvAmitraH abravIt krudDaH vasizWam SIGram-Anaya // VamPSm_19.8 //
   tato gatvā saricchreṣṭhā vasiṣṭhaṃ munisattamam /	tatas gatvA sarit-SrezWA vasizWam muni-sattamam /
   kathayāmāsa rudatī viśvāmitrasya tad vacaḥ // VamPSm_19.9 //	kaTayAmAsa rudatI viSvAmitrasya tat vacaH // VamPSm_19.9 //
   tapaḥkriyāviśīrṇāṃ ca bhṛśaṃ śokasamanvitām /	tapaH-kriyA-viSIrNAm ca BRSam Soka-samanvitAm /
   uvāca sa saricchreṣṭhāṃ viśvāmitrāya māṃ vacaḥ // VamPSm_19.10 //	uvAca sa sarit-SrezWAm viSvAmitrAya mAm vacaH // VamPSm_19.10 //
   tasya tad vacanaṃ śrutvā kṛpāśīlasya sā satit /	tasya tat vacanam SrutvA kRpA-SIlasya sA satit /
   cālayāmāsa taṃ stānāt pravāheṇāmbhasastadā // VamPSm_19.11 //	cAlayAmAsa tam stAnAt pravAheNa-amBasaH-tadA // VamPSm_19.11 //
   sa ca kūlāpahārema mitrāvaruṇayoḥ sutaḥ /	sa ca kUla-apahArema mitrAvaruNayoH sutaH /
   uhyamānaśca tuṣṭāva tadā devīṃ sarasvatīm // VamPSm_19.12 //	uhyamAnaH-ca tuzwAva tadA devIm sarasvatIm // VamPSm_19.12 //
   pitāmahasya sarasaḥ pravṛttāsi sarasvati /	pitAmahasya sarasaH pravRttA-asi sarasvati /
   vyāptaṃ tvayā jagat sarvaṃ tavaivāmbhobhiruttamaiḥ // VamPSm_19.13 //	vyAptam tvayA jagat sarvam tava-eva-amBoBiH-uttamEH // VamPSm_19.13 //
   tvamevākāśagā devī megheṣu sṛjase payaḥ /	tvam-eva-AkASa-gA devI meGezu sRjase payaH /
   sarvāstvāpastvameveti tvatto vayamadhīmahe // VamPSm_19.14 //	sarvAH-tvApaH-tvam-eva-iti tvattaH vayam-aDImahe // VamPSm_19.14 //
   puṣṭirdhṛtistathā kīrtiḥ siddhiḥ kāntiḥ kṣamā tathā /	puzwiH-DRtiH-taTA kIrtiH sidDiH kAntiH kzamA taTA /
   svadhā svāhā tathā vāṇī tavāyattamidaṃ jagat // VamPSm_19.15 //	svaDA svAhA taTA vANI tava-Ayattam-idam jagat // VamPSm_19.15 //
   tvameva sarvabhūteṣu vāṇīrūpeṇa saṃsthitā /	tvam-eva sarva-BUtezu vANI-rUpeNa saMsTitA /
   evaṃ sarasvatī tena stutā bhagavatī tadā // VamPSm_19.16 //	evam sarasvatI tena stutA BagavatI tadA // VamPSm_19.16 //
   sukhenovāha taṃ vipraṃ viśvāmitraśramaṃ prati /	suKena-uvAha tam vipram viSvAmitra-Sramam prati /
   nyavedayattadā khinnā viśvāmitrāya taṃ munim // VamPSm_19.17 //	nyavedayat-tadA KinnA viSvAmitrAya tam munim // VamPSm_19.17 //
   tamānītaṃ sarasvatyā dṛṣṭvā kopasamanvitaḥ /	tam-AnItam sarasvatyAH dRzwvA kopa-samanvitaH /
   athānviṣat praharaṇaṃ vasiṣṭhāntakaraṃ tadā // VamPSm_19.18 //	aTa-anvizat praharaNam vasizWa-anta-karam tadA // VamPSm_19.18 //
   taṃ tu kruddhamabhiprekṣya brahmahatyābhayānnadī /	tam tu krudDam-aBiprekzya brahmahatyA-BayAt-nadI /
   apovāha vasiṣṭhaṃ taṃ madhye caivāmbhasastadā /	apovAha vasizWam tam maDye ca-eva-amBasaH-tadA /
   ubhayoḥ kurvatī vākyaṃ vañcayitvā ca gādhijam // VamPSm_19.19 //	uBayoH kurvatI vAkyam vaQcayitvA ca gADijam // VamPSm_19.19 //
   tato 'pavāhitaṃ dṛṣṭvā vasiṣṭhamṛṣisattamam /	tatas apavAhitam dRzwvA vasizWam-Rzi-sattamam /
   abravīt krodharaktākṣo viśvāmitro mahātapāḥ // VamPSm_19.20 //	abravIt kroDa-rakta-akzaH viSvAmitraH mahA-tapAH // VamPSm_19.20 //
   yasmānmāṃ saritāṃ śreṣṭhe vañcayitvā vinirgatā /	yasmAt-mAm saritAm SrezWe vaQcayitvA vinirgatAH /
   śoṇitaṃ vaha kalyāṇi rakṣogrāmaṇisaṃyutā // VamPSm_19.21 //	SoNitam vaha kalyANi rakzaH-grAmaNi-saMyutAH // VamPSm_19.21 //
   tataḥ sarasvatī śaptā viśvāmitreṇa dhīmatā /	tatas sarasvatI SaptA viSvAmitreNa DImatA /
   avahacchoṇitonmiśraṃ toyaṃ saṃvatsaraṃ tadā // VamPSm_19.22 //	avahat-SoNita-unmiSram toyam saMvatsaram tadA // VamPSm_19.22 //
   atharṣayaśca devāśca gandharvāpsarasastadā /	aTa-RzayaH-ca devAH-ca ganDarva-apsarasaH-tadA /
   sarasvatīṃ tadā dṛṣṭvā bhabhūvurbhṛśaduḥkhitāḥ // VamPSm_19.23 //	sarasvatIm tadA dRzwvA BaBUvuH-BRSa-duHKitAH // VamPSm_19.23 //
   tasmintīrthavare puṇye śoṇitaṃ samupāvahat /	tasmin-tIrTa-vare puNye SoNitam samupAvahat /
   tato bhūtapiśācāśca rākṣasāśca samāgatāḥ // VamPSm_19.24 //	tatas BUta-piSAcAH-ca rAkzasAH-ca samAgatAH // VamPSm_19.24 //
   tatasto śoṇitaṃ sarve pibantaḥ sukhamāsate /	tatas-taH SoNitam sarve pibantaH suKam-Asate /
   tṛptāśca subhṛśaṃ tena sukhitā vigatajvarāḥ /	tRptAH-ca su-BRSam tena suKitAH vigata-jvarAH /
   nṛtyantaśca hasantaśca yathā svargajitastathā // VamPSm_19.25 //	nRtyantaH-ca hasantaH-ca yaTA svarga-jitaH-taTA // VamPSm_19.25 //
   kasyacittvatha kālasya ṛṣayaḥ satapodhanāḥ /	kasyacid-tu-aTa kAlasya RzayaH sa-tapoDanAH /
   tīrthayātrāṃ samājagmuḥ sarasvatyāṃ tapodhanāḥ // VamPSm_19.26 //	tIrTa-yAtrAm samAjagmuH sarasvatyAm tapoDanAH // VamPSm_19.26 //
   tāṃ dṛṣṭvā rākṣasaighoraiḥ pīyamānāṃ mahānadīm /	tAm dRzwvA rAkzasa-eGorEH pIyamAnAm mahA-nadIm /
   paritrāṇe sarasvatyāḥ paraṃ yatnaṃ pracakrire // VamPSm_19.27 //	paritrANe sarasvatyAH param yatnam pracakrire // VamPSm_19.27 //
   te tu sarve mahābhāgāḥ samāgamya mahāvratāḥ /	te tu sarve mahABAgAH samAgamya mahA-vratAH /
   āhūya saritāṃ śreṣṭhāmidaṃ vacanamabravan // VamPSm_19.28 //	AhUya saritAm SrezWAm-idam vacanam-abravan // VamPSm_19.28 //
   kiṃ kāraṇaṃ saricchreṣṭhe śoṇitena hlado hyayam /	kim kAraNam sarit-SrezWe SoNitena hladaH hi-ayam /
   evamākulatāṃ yātaḥ śrutvā vetsyāmahe vayam // VamPSm_19.29 //	evam-Akula-tAm yAtaH SrutvA vetsyAmahe vayam // VamPSm_19.29 //
   tataḥ sā sarvamācaṣṭa viśvāmitraviceṣṭitam /	tatas sA sarvam-Acazwa viSvAmitra-vicezwitam /
   tataste munayaḥ prītāḥ sarasvatyāṃ samānayan /	tatas-te munayaH prItAH sarasvatyAm samAnayan /
   aruṇāṃ puṇyatoyaughāṃ sarvaduṣkṛtanāśanīm // VamPSm_19.30 //	aruNAm puNya-toya-oGAm sarva-duzkRta-nASanIm // VamPSm_19.30 //
   dṛṣṭvā toyaṃ sarasvatyā rākṣasā duḥkhitā bhṛśam /	dRzwvA toyam sarasvatyAH rAkzasAH duHKitAH BRSam /
   ūcustān vai munīn sarvān dainyayuktāḥ punaḥ punaḥ // VamPSm_19.31 //	UcuH-tAn vE munIn sarvAn dEnya-yuktAH punar punar // VamPSm_19.31 //
   vayaṃ hi kṣudhitāḥ sarve dharmahīnāśca śāśvatāḥ /	vayam hi kzuDitAH sarve Darma-hInAH-ca SASvatAH /
   na ca naḥ kāmakāroyaṃ yad vayaṃ pāpakāriṇaḥ // VamPSm_19.32 //	na ca naH kAma-kAroyam yat vayam pApa-kAriNaH // VamPSm_19.32 //
   yuṣmākaṃ cāprasādena duṣkṛtena ca karmaṇā /	yuzmAkam ca-aprasAdena duzkRtena ca karmaNA /
   pakṣo 'yaṃ vardhate 'smākaṃ yataḥ smo brahmarākṣasāḥ // VamPSm_19.33 //	pakzaH ayam varDate asmAkam yatas smaH brahmarAkzasAH // VamPSm_19.33 //
   evaṃ vaiśyāśca śūdrāśca kṣatriyāśca vikarmabhiḥ /	evam vESyAH-ca SUdrAH-ca kzatriyAH-ca vikarmaBiH /
   ye brāhmaṇān pedviṣanti te bhavantīha rākṣasāḥ // VamPSm_19.34 //	ye brAhmaNAn pet-vizanti te Bavanti-iha rAkzasAH // VamPSm_19.34 //
   yoṣitāṃ caiva pāpānāṃ yonidoṣeṇa varddhate /	yozitAm ca-eva pApAnAm yoni-dozeNa vardDate /
   iyaṃ saṃtatirasmākaṃ gatireṣā sanātanī // VamPSm_19.35 //	iyam saMtatiH-asmAkam gatiH-ezA sanAtanI // VamPSm_19.35 //
   śaktā bhavantaḥ sarveṣāṃ lokānāmapi tāraṇe /	SaktAH BavantaH sarvezAm lokAnAm-api tAraNe /
   teṣāṃ te munayaḥ śrutvā kṛpāśīlāḥ punaśca te // VamPSm_19.36 //	tezAm te munayaH SrutvA kRpA-SIlAH punar-ca te // VamPSm_19.36 //
   ūcuḥ parasparaṃ sarve tapyamānāśca te dvijāḥ /	UcuH parasparam sarve tapyamAnAH-ca te dvijAH /
   kṣutakīṭāvapannaṃ ca yaccocchiṣṭāśitaṃ bhavet // VamPSm_19.37 //	kzuta-kIwa-avapannam ca yat-ca-ucCizwa-aSitam Bavet // VamPSm_19.37 //
   keśāvapannamādhūtaṃ mārutaśvāsadvaṣitam /	keSa-avapannam-ADUtam mAruta-SvAsa-dvazitam /
   ebhiḥ saṃsṛṣṭamannaṃ ca bhāgaṃ vai rakṣasāṃ bhavet // VamPSm_19.38 //	eBiH saMsRzwam-annam ca BAgam vE rakzasAm Bavet // VamPSm_19.38 //
   tasmājjñātvā sadā vidvān annānyetāni jarjayet /	tasmAt-jQAtvA sadA vidvAn annAni-etAni jarjayet /
   rākṣasānāmasau bhuṅkte yo bhuṅkte annamīdṛśam // VamPSm_19.39 //	rAkzasAnAm-asO BuFkte yaH BuFkte annam-IdRSam // VamPSm_19.39 //
   śodhayitvā tu tattīrthamṛṣayaste tapodhanāḥ /	SoDayitvA tu tat-tIrTam-RzayaH-te tapoDanAH /
   mokṣārthaṃ rakṣasāṃ teṣāṃ saṃgamaṃ tatra kalpayan // VamPSm_19.40 //	mokza-arTam rakzasAm tezAm saMgamam tatra kalpayan // VamPSm_19.40 //
   aruṇāyāḥ sarasvatyāḥ saṃgame lokaviśrute /	aruNAyAH sarasvatyAH saMgame loka-viSrute /
   trirātropoṣitaḥ snāto mucyate sarvakilbiṣaiḥ // VamPSm_19.41 //	tri-rAtra-upozitaH snAtaH mucyate sarva-kilbizEH // VamPSm_19.41 //
   prāpte kaliyuge ghore adharme pratyupasthite /	prApte kali-yuge Gore aDarme pratyupasTite /
   aruṇāsaṃgame snātvā muktimāpnoti mānavaḥ // VamPSm_19.42 //	aruNA-saMgame snAtvA muktim-Apnoti mAnavaH // VamPSm_19.42 //
   tataste rākṣasāḥ sarve snātāḥ pāpavivarjitāḥ /	tatas-te rAkzasAH sarve snAtAH pApa-vivarjitAH /
   dviyāmālyambaradharāḥ svargasthitisamanvitāḥ // VamPSm_19.43 //	dvi-yAmAlI-ambara-DarAH svarga-sTiti-samanvitAH // VamPSm_19.43 //
   iti śrīvāmanapurāṇe saromāhātmye ekonaviṃśo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye ekonaviMSaH aDyAyaH
   lomaharṣaṇa uvāca /	loma-harzaNaH uvAca /
   samudrāstatra catvāro darviṇā āha-tāḥ purā /	samudrAH-tatra catvAraH darviNAH Aha-tAH purA /
   pratyekaṃ tu naraḥ snāto gosahasraphalaṃ labhet // VamPSm_20.1 //	pratyekam tu naraH snAtaH go-sahasra-Palam laBet // VamPSm_20.1 //
   yatkiñcit kriyate tasmiṃstapastīrthe dvijottamāḥ /	yad-kiQcid kriyate tasmin=-tapaH-tIrTe dvijottamAH /
   paripūrṇaṃ hi tatsarvamapi duṣkṛtakarmaṇaḥ // VamPSm_20.2 //	paripUrNam hi tat-sarvam-api duzkRta-karmaNaH // VamPSm_20.2 //
   śatasāhasrikaṃ tīrthaṃ tathaiva śatikaṃ dvijāḥ /	Sata-sAhasrikam tIrTam taTA-eva Satikam dvijAH /
   ubhayorhi naraḥ snāto gosahasraphalaṃ labhet // VamPSm_20.3 //	uBayoH-hi naraH snAtaH go-sahasra-Palam laBet // VamPSm_20.3 //
   somatīrthaṃ ca tatrāpi sarasvatyāstaṭe sthitam /	somatIrTam ca tatra-api sarasvatyAH-tawe sTitam /
   yasmin snātastu puruṣo rājasūyaphalaṃ labhet // VamPSm_20.4 //	yasmin snAtaH-tu puruzaH rAjasUya-Palam laBet // VamPSm_20.4 //
   reṇukāśramamāsādya śraddadhāno jitendriyaḥ /	reNukA-ASramam-AsAdya SraddaDAnaH jita-indriyaH /
   mātṛbhaktyā ca yatpuṇyaṃ tatphalaṃ prāpnuyānnaraḥ // VamPSm_20.5 //	mAtR-BaktyA ca yat-puNyam tat-Palam prApnuyAt-naraH // VamPSm_20.5 //
   ṛṇairmukto bhavennityaṃ devarṣipitṛsaṃbhavaiḥ /	RNEH-muktaH Bavet-nityam deva-Rzi-pitR-saMBavEH /
   kumārasyābhiṣekaṃ ca ojasaṃ nāma viśrutam // VamPSm_20.6 //	kumArasya-aBizekam ca ojasam nAma viSrutam // VamPSm_20.6 //
   tasmin snātastu puruṣo yaśasā ca samanvitaḥ /	tasmin snAtaH-tu puruzaH yaSasA ca samanvitaH /
   kumārapuramāpnoti kṛtvā śrāddhaṃ tu mānavaḥ // VamPSm_20.7 //	kumAra-puram-Apnoti kRtvA SrAdDam tu mAnavaH // VamPSm_20.7 //
   caitraṣaṣṭhyāṃ site pakṣe yastu śrāddhaṃ kariṣyati /	cEtra-zazWyAm site pakze yaH-tu SrAdDam karizyati /
   gayāśrāddhe ca yatpuṇyaṃ tatpuṇyaṃ prāpnuyānnaraḥ // VamPSm_20.8 //	gayA-SrAdDe ca yat-puNyam tat-puNyam prApnuyAt-naraH // VamPSm_20.8 //
   saṃnihityāṃ yathā śrāddhaṃ rāhugraste divākare /	saMnihityAm yaTA SrAdDam rAhu-graste divAkare /
   tathā śrāddhaṃ tatra kṛtaṃ nātra kāryā vicāraṇā // VamPSm_20.9 //	taTA SrAdDam tatra kRtam na-atra kAryA vicAraNAH // VamPSm_20.9 //
   ojase hyakṣayaṃ śrāddhaṃ vāyunā kathitaṃ purā /	ojase hi-akzayam SrAdDam vAyunA kaTitam purA /
   tasmāt sarvaprayatnena śrāddhaṃ tatra samācaret // VamPSm_20.10 //	tasmAt sarva-prayatnena SrAdDam tatra samAcaret // VamPSm_20.10 //
   yastu snānaṃ śraddadhānaścaitraṣaṣṭhyāṃ kariṣyati /	yaH-tu snAnam SraddaDAnaH-cEtra-zazWyAm karizyati /
   akṣayyamudakaṃ tasya pitṝṇāmupajāyate // VamPSm_20.11 //	akzayyam-udakam tasya pitLNAm-upajAyate // VamPSm_20.11 //
   tatra pañcavaṭaṃ nāma tīrthaṃ trailokyaviśrutam /	tatra paQcavawam nAma tIrTam trElokya-viSrutam /
   mahādevaḥ sthito yatra yogamūrtidharaḥ svayam // VamPSm_20.12 //	mahAdevaH sTitaH yatra yoga-mUrti-DaraH svayam // VamPSm_20.12 //
   tatra snātvār'cayitvā va devadevaṃ maheśvaram /	tatra snAtvA-Ar-acayitvA va devadevam maheSvaram /
   gāṇapatyamavāpnoti daivataiḥ saha modate // VamPSm_20.13 //	gANapatyam-avApnoti dEvatEH saha modate // VamPSm_20.13 //
   kurutīrthaṃ ca vikhyātaṃ kuruṇā yatra vai tapaḥ /	kurutIrTam ca viKyAtam kuruNA yatra vE tapaH /
   taptaṃ sughoraṃ kṣetrasya karṣaṇārthaṃ dvijottamāḥ // VamPSm_20.14 //	taptam su-Goram kzetrasya karzaNa-arTam dvijottamAH // VamPSm_20.14 //
   tasya ghoreṇa tapasā tuṣṭa indrobravīd vacaḥ /	tasya GoreNa tapasA tuzwaH indraH-bravIt vacaH /
   rājarṣe parituṣṭo 'smi tapasānena suvrataḥ // VamPSm_20.15 //	rAjarze parituzwaH asmi tapasA-anena suvrataH // VamPSm_20.15 //
   yajñaṃ ye ca kurukṣetre kariṣyanti śatakratoḥ /	yajQam ye ca kurukzetre karizyanti SatakratoH /
   te gamiṣyanti sukṛtāṃllokān pāpavivarjitān // VamPSm_20.16 //	te gamizyanti sukRtAn=-lokAn pApa-vivarjitAn // VamPSm_20.16 //
   avahasya tataḥ śakro jagāma tridivaṃ prabhuḥ /	avahasya tatas SakraH jagAma tridivam praBuH /
   āgamyāgamya caivainaṃ bhūyo bhūyo 'vahasya ca // VamPSm_20.17 //	Agamya-Agamya ca-eva-enam BUyas BUyas avahasya ca // VamPSm_20.17 //
   śatakraturanirviṇṇaḥ pṛṣṭvā pṛṣṭvā jagāma ha /	SatakratuH-anirviNNaH pRzwvA pRzwvA jagAma ha /
   yadā tu tapasogreṇa cakarṣa dehamātmanaḥ /	yadA tu tapasA-ugreNa cakarza deham-AtmanaH /
   tataḥ śakro 'bravīt prītya brūhi yatte cikīrṣitam // VamPSm_20.18 //	tatas SakraH abravIt prItya brUhi yat-te cikIrzitam // VamPSm_20.18 //
   kururuvāca	kuruH-uvAca
   ye śraddadhānāstīrthe 'smin mānavā nivasanti ha /	ye SraddaDAnAH-tIrTe asmin mAnavAH nivasanti ha /
   te prāpnuvantu sadanaṃ brahmaṇaḥ paramātmanaḥ // VamPSm_20.19 //	te prApnuvantu sadanam brahmaNaH paramAtmanaH // VamPSm_20.19 //
   anyatra kṛtapāpā ye pañcapātakadūṣitāḥ /	anyatra kRta-pApAH ye paQca-pAtaka-dUzitAH /
   asmistīrthe narāḥ snātvā muktā yāntu parāṃ gatim // VamPSm_20.20 //	asmiH-tIrTe narAH snAtvA muktAH yAntu parAm gatim // VamPSm_20.20 //
   kurukṣetre puṇyatamaṃ kurutīrthaṃ dvijottamāḥ /	kurukzetre puNyatamam kurutIrTam dvijottamAH /
   te dṛṣṭvā pāpamuktastu paraṃ padamavāpnuyāt // VamPSm_20.21 //	te dRzwvA pApa-muktaH-tu param padam-avApnuyAt // VamPSm_20.21 //
   kurutīrthe naraḥ snāto mukto bhavati kilviṣaiḥ /	kurutIrTe naraH snAtaH muktaH Bavati kilvizEH /
   kuruṇā samanujñātaḥ prāpnoti paramaṃ padam // VamPSm_20.22 //	kuruNA samanujQAtaH prApnoti paramam padam // VamPSm_20.22 //
   svargadvāraṃ tato gacchet śivadvāre vyavasthitam /	svarga-dvAram tatas gacCet Siva-dvAre vyavasTitam /
   tatra snātvā śivadvāre prāpnoti paramaṃ padam // VamPSm_20.23 //	tatra snAtvA Siva-dvAre prApnoti paramam padam // VamPSm_20.23 //
   tato gacchedanarakaṃ tīrthaṃ trailokyaviśrutam /	tatas gacCet-anarakam tIrTam trElokya-viSrutam /
   yatra pūrve sthito brahma dakṣiṇe tu maheśvaraḥ // VamPSm_20.24 //	yatra pUrve sTitaH brahma dakziNe tu maheSvaraH // VamPSm_20.24 //
   rudrapatnī paścimataḥ padmanābhottare sthitaḥ /	rudra-patnI paScimatas padmanABa-uttare sTitaH /
   madhye anarakaṃ tīrthaṃ trailokyasyāpi durlabham // VamPSm_20.25 //	maDye anarakam tIrTam trElokyasya-api durlaBam // VamPSm_20.25 //
   yasmin snātastu mucyeta pātakairupapātakaiḥ /	yasmin snAtaH-tu mucyeta pAtakEH-upapAtakEH /
   vaiśākhe ca yadā ṣaṣṭhī maṅgalasya dinaṃ bhavet // VamPSm_20.26 //	vESAKe ca yadA zazWI maFgalasya dinam Bavet // VamPSm_20.26 //
   tadā snānaṃ tatra kṛtvā mukto bhavati pātakaiḥ /	tadA snAnam tatra kRtvA muktaH Bavati pAtakEH /
   yaḥ prayaccheta karakāṃścaturo bhakṣyasaṃyutān // VamPSm_20.27 //	yaH prayacCeta karakAn=-caturaH Bakzya-saMyutAn // VamPSm_20.27 //
   kalaśaṃ ca tathā dadyādapūpaiḥ pariśobhitam /	kalaSam ca taTA dadyAt-apUpEH pariSoBitam /
   devatāḥ prīmayet pūrvaṃ karakairannasaṃyutaiḥ // VamPSm_20.28 //	devatAH prImayet pUrvam karakEH-anna-saMyutEH // VamPSm_20.28 //
   tatastu kalaśaṃ dadyāt sarvapātakanāśanam /	tatas-tu kalaSam dadyAt sarva-pAtaka-nASanam /
   anenaiva vidhānena yastu snānaṃ samācaret // VamPSm_20.29 //	anena-eva viDAnena yaH-tu snAnam samAcaret // VamPSm_20.29 //
   sa muktāḥ kaluṣaiḥ sarvaiḥ prayāti paramaṃ padam /	sa muktAH kaluzEH sarvEH prayAti paramam padam /
   anyatrāpi yadā ṣaṣṭhī maṅgalena bhaviṣyati // VamPSm_20.30 //	anyatra-api yadA zazWI maFgalena Bavizyati // VamPSm_20.30 //
   tatrāpi muktiphaladā kriyā tasmin bhaviṣyati /	tatra-api mukti-Pala-dA kriyA tasmin Bavizyati /
   tīrthe ca sarvatīrthānāṃ yasmin snāto dvijottamāḥ // VamPSm_20.31 //	tIrTe ca sarva-tIrTAnAm yasmin snAtaH dvijottamAH // VamPSm_20.31 //
   sarvadevairanujñātaḥ paraṃ padamavāpnuyāt /	sarva-devEH-anujQAtaH param padam-avApnuyAt /
   kāmyakaṃ ca vanaṃ puṇyaṃ sarvapātakanāśanam // VamPSm_20.32 //	kAmyakam ca vanam puNyam sarva-pAtaka-nASanam // VamPSm_20.32 //
   yasmin praviṣṭamātrastu mukto bhavati kilbiṣaiḥ /	yasmin pravizwa-mAtraH-tu muktaH Bavati kilbizEH /
   yamāśritya vanaṃ puṇyaṃ savitā prakaṭaḥ sthitaḥ // VamPSm_20.33 //	yam-ASritya vanam puNyam savitA prakawaH sTitaH // VamPSm_20.33 //
   pūṣā nāma dvijaśreṣṭha darśanānmuktimāpnuyāt /	pUzA nAma dvijaSrezWa darSanAt-muktim-ApnuyAt /
   ādityasya dine prāpte tasmin snātastu mānavaḥ /	Adityasya dine prApte tasmin snAtaH-tu mAnavaH /
   viśuddhadeho bhavati manasā cintitaṃ labhet // VamPSm_20.34 //	viSudDa-dehaH Bavati manasA cintitam laBet // VamPSm_20.34 //
   iti śrīvāmanapurāṇe saromāhātmye viśo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye viSaH aDyAyaH
   ṛṣaya ūcuḥ	RzayaH UcuH
   kāmyakasya tu pūrveṇa kuñjaṃ devairniṣevitam /	kAmyakasya tu pUrveNa kuQjam devEH-nizevitam /
   tasya tīrthasya saṃbhūtiṃ vistareṇa bravīhi naḥ // VamPSm_21.1 //	tasya tIrTasya saMBUtim vistareNa bravIhi naH // VamPSm_21.1 //
   lohamarṣaṇa uvāca	loha-marzaNaH uvAca
   śṛṇvantu munayaḥ sarve tīrthamāhātmyamuttamam /	SRNvantu munayaH sarve tIrTa-mAhAtmyam-uttamam /
   ṛṣīṇāṃ caritaṃ śrutvā mukto bhavati kilbiṣaiḥ // VamPSm_21.2 //	RzINAm caritam SrutvA muktaH Bavati kilbizEH // VamPSm_21.2 //
   naimiṣeyāśca ṛṣayaḥ kurukṣetre samāgatāḥ /	nEmizeyAH-ca RzayaH kurukzetre samAgatAH /
   sarasvatyāstu snānārthaṃ praveśaṃ te na lebhire // VamPSm_21.3 //	sarasvatyAH-tu snAna-arTam praveSam te na leBire // VamPSm_21.3 //
   tataste kalpayāmāsustīrthaṃ yajñopavītikam /	tatas-te kalpayAmAsuH-tIrTam yajQa-upavItikam /
   śeṣāstu munayastatra na praveśaṃ hi lebhire // VamPSm_21.4 //	SezAH-tu munayaH-tatra na praveSam hi leBire // VamPSm_21.4 //
   rantukasyāśramāttāvad yāvattīrthaṃ sacakrakam /	rantukasya-ASramAt-tAvat yAvat-tIrTam sa-cakrakam /
   brāhmaṇaiḥ paripūrṇaṃ tu dṛṣṭvā devī sarasvatī // VamPSm_21.5 //	brAhmaNEH paripUrNam tu dRzwvA devI sarasvatI // VamPSm_21.5 //
   hitārthaṃ sarvaviprāṇāṃ kutvā kuñjāni sā nadī /	hita-arTam sarva-viprANAm kutvA kuQjAni sA nadI /
   prayātā paścimaṃ mārgaṃ sarvabhūtahite sthitā // VamPSm_21.6 //	prayAtA paScimam mArgam sarva-BUta-hite sTitAH // VamPSm_21.6 //
   pūrvapravāhe yaḥ snāti gaṅgasnānaphalaṃ labhet /	pUrva-pravAhe yaH snAti gaFga-snAna-Palam laBet /
   pravāhe dakṣiṇe tasyā narmadā saritāṃ varā // VamPSm_21.7 //	pravAhe dakziNe tasyAH narmadA saritAm varAH // VamPSm_21.7 //
   paścime tu diśābhāge yamunā saṃśritā nadī /	paScime tu diSA-BAge yamunA saMSritA nadI /
   yadā uttarato yāti sindhurbhavati sā nadī // VamPSm_21.8 //	yadA uttaratas yAti sinDuH-Bavati sA nadI // VamPSm_21.8 //
   evaṃ diśāpravāheṇa yāti puṇyā sarasvatī /	evam diSA-pravAheNa yAti puNyA sarasvatI /
   tasyāṃ snātaḥ sarvatīrthe snāto bhavati mānavaḥ // VamPSm_21.9 //	tasyAm snAtaH sarva-tIrTe snAtaH Bavati mAnavaH // VamPSm_21.9 //
   tato gacched dvijaśreṣṭhā madanasya mahātmanaḥ /	tatas gacCet dvijaSrezWAH madanasya mahAtmanaH /
   tīrthaṃ trailokyavikhyātaṃ vihāraṃ nāma nāmataḥ // VamPSm_21.10 //	tIrTam trElokya-viKyAtam vihAram nAma nAmataH // VamPSm_21.10 //
   yatra devāḥ samāgamya śivadarśanakāṅkṣiṇaḥ /	yatra devAH samAgamya Siva-darSana-kAFkziNaH /
   samāgatā na cāpaśyan devaṃ devyā samanvitam // VamPSm_21.11 //	samAgatAH na ca-apaSyan devam devyA samanvitam // VamPSm_21.11 //
   te stuvanto mahādevaṃ nandinaṃ gaṇanāyakam /	te stuvantaH mahAdevam nandinam gaNanAyakam /
   tataḥ prasanno nandīśaḥ kathayāmāsa ceṣṭitam // VamPSm_21.12 //	tatas prasannaH nandISaH kaTayAmAsa cezwitam // VamPSm_21.12 //
   bhavasya umayā sārdhaṃ vihāre krīḍitaṃ mahat /	Bavasya umayA sArDam vihAre krIxitam mahat /
   tacchratvā devatāstatra patnīrāhūya krīḍitāḥ // VamPSm_21.13 //	tad-SratvA devatAH-tatra patnIrAhUya krIxitAH // VamPSm_21.13 //
   teṣāṃ krīḍāvinodena tuṣṭaḥ provaca śaṅkaraḥ /	tezAm krIxA-vinodena tuzwaH provaca SaFkaraH /
   yo 'smiṃstīrthenaraḥ snātivihāre śraddhayānvitaḥ // VamPSm_21.14 //	yaH asmin=-tIrTenaraH snAti-vihAre SradDayA-anvitaH // VamPSm_21.14 //
   dhanadhānyapriyairyukto bhavate nātra saṃsayaḥ /	Dana-DAnya-priyEH-yuktaH Bavate na-atra saMsayaH /
