   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   daṣṭoddhārapañcamavritaṃ nāmaikonatriṃśottaraśatatamo 'dhyāyaḥ	dazwodDArapaQcamavritam nAma ekonatriMSottaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  130	SrI garuxa mahApurANam 130
   brahmovāca /	brahmA uvAca /
   evaṃ bhādrapade māsi kārtikeyaṃ prapūyet /	evam BAdrapade mAsi kArtikeyam prapUyet /
   snānadānādikaṃ sarvamasyāmakṣayyamucyate // GarP_1,130.1 //	snAna dAna Adikam sarvam asyAm akzayyam ucyate // GarP_1,130.1 //
   saptamyāṃ prāśayeccapi bhojyaṃ viprānraviṃ yajet /	saptamyAm prASayet capi Bojyam viprAn ravim yajet /
   oṃ khakholkāyamṛtatvaṃ (tantaṃ) priyasaṅgamo bhava sada svāhā //	om KaKolkAyamRta tvam (tantaM) priya saFgamaH Bava sada svAhA //
   GarP_1,130.2 //	GarP_1,130.2 //
   aṣṭamyāṃ pāraṇaṃ kuryānmarīcaṃ prāśya svargabhāk	azwamyAm pAraNam kuryAt marIcam prASya svarga BAj 
   saptamyāṃ niyataḥ snātvā pūjayitvā divākaram // GarP_1,130.3 //	saptamyAm niyataH snAtvA pUjayitvA divAkaram // GarP_1,130.3 //
   dadyātphalāni viprebhyo mārtaṇḍaḥ prīyatāmiti /	dadyAt PalAni vipreByaH mArtaNxaH prIyatAm iti /
   kharjūraṃ nārikelaṃ vā prāśayenmātuluṅgakam // GarP_1,130.4 //	KarjUram nArikelam vA prASayet mAtuluFgakam // GarP_1,130.4 //
   sarve bhavantu saphalā mama kāmāḥ samantataḥ /	sarve Bavantu saPalAH mama kAmAH samantataH /
   (iti phalasaptamī)	(iti Pala saptamI)
   saṃpūjya devaṃ saptamyāṃ pāyasenātha bhojayet // GarP_1,130.5 //	saMpUjya devam saptamyAm pAyasena aTa Bojayet // GarP_1,130.5 //
   viprāṃśca dakṣiṇāṃ dattvā svayaṃ cātha payaḥ pibet /	viprAn= ca dakziNAm dattvA svayam ca aTa payaH pibet /
   bhakṣyaṃ coṣyaṃ tathā lehyaṃ odanaṃ ceti kīrtitam // GarP_1,130.6 //	Bakzyam cozyam taTA lehyam odanam ca iti kIrtitam // GarP_1,130.6 //
   dhanaputrādikāmastu tyajedetadanodanaḥ	Dana putra Adi kAmaH tu tyajet etat anodanaH
   vāyvāśī vijayetkṣucca kuryādvijayasaptamīm /	vAyu ASI vijayet kzut ca kuryAt vijayasaptamIm /
   adyādarkaṃ ca kāmecchurupavāse tarenmadam // GarP_1,130.7 //	adyAt arkam ca kAmecCuH upavAse taret madam // GarP_1,130.7 //
   godhūmamāṣayavaṣaṣṭikakāṃsyapātraṃ pāṣāṇapiṣṭamadhumaiṣunamadyamāṃsam /	goDUma mAzayavazazwika kAMsya pAtram pAzANa pizwa maDumEzuna madya mAMsam /
   abhyañjanāñjanatilāṃśca vivarjayedyaḥ tasyeṣitaṃ bhavati saptasu saptamīṣu	aByaQjana aQjana tilAn= ca vivarjayet yaH tasya Izitam Bavati saptasu saptamIzu
   // GarP_1,130.8 //	// GarP_1,130.8 //
   (iti vijayasaptamīvratam) /	(iti vijaya saptamI vratam) /
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   saptamīvratanirūpaṇaṃ nāma triṃśottaraśatatamo 'dhyāyaḥ	saptamIvratanirUpaNam nAma triMSottaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  131	SrI garuxa mahApurANam 131
   brahmovāca /	brahmA uvAca /
   brahman bhādrapade māsi śuklāṣṭamyāmupoṣitaḥ /	brahman BAdrapade mAsi Sukla azwamyAm upozitaH /
   dūrvāṃ saurīṃ gaṇeśaṃ ca phalapuṣpaiḥ śivaṃ yajet // GarP_1,131.1 //	dUrvAm sOrIm gaNeSam ca Pala puzpEH Sivam yajet // GarP_1,131.1 //
   phalavrīhyādibhiḥ sarvaiḥ śambhavenamaḥ śivāya ca /	Pala vrIhi AdiBiH sarvEH SamBavenamaH SivAya ca /
   tvaṃ dūrve 'mṛjanmāsi hyaṣṭamī sarvakāmabhāk // GarP_1,131.2 //	tvam dUrve amRjat mAsi hi azwamI sarva kAma BAj // GarP_1,131.2 //
   anagnipakramaśrīyānmucyate brahmahatyayā /	anagni pakrama SrIyAt mucyate brahmahatyayA /
   (iti dūrvāṣṭamīvratam) /	(iti dUrvA azwamI vratam) /
   kṛṣṇāṣṭamyāṃ ca rohiṇyāmardharātrer'canaṃ hareḥ // GarP_1,131.3 //	kRzNa azwamyAm ca rohiNyAm arDarAtreH acanam hareH // GarP_1,131.3 //
   kāryā viddhāpi saptamyā hanti pāpaṃ trijanmanaḥ /	kAryA vidDA api saptamyAH hanti pApam tri janmanaH /
   upoṣitor'cayenmantraistithi bhānte ca pāraṇam // GarP_1,131.4 //	upozitor acayet mantrEH tiTi BAnte ca pAraNam // GarP_1,131.4 //
   yogāya yogapataye yogeśvarāya yogasambhavāya govindāya namonamaḥ /	yogAya yoga pataye yogeSvarAya yoga samBavAya govindAya namaH namaH /
   (snānamantraḥ( yajñāya yajñeśvarāya yajñapataye govindāya namonamaḥ //	(snAna mantraH( yajQAya yajQeSvarAya yajQapataye govindAya namaH namaH //
   GarP_1,131.5 //	GarP_1,131.5 //
   (arcanadṛ)  viśvāya viśveśvarāya viśvapataye govindāya namonamaḥ /	(arcana dR)   viSvAya viSveSvarAya viSva pataye govindAya namaH namaH /
   (śayanadṛ)  sarvāya sarveśvarāya sarvetāya sarvasambhavāya govindāya	(Sayana dR)   sarvAya sarveSvarAya sarvetAya sarva samBavAya govindAya
   namonamaḥ // GarP_1,131.6 //	namaH namaH // GarP_1,131.6 //
   sthaṇḍile pūjayeddevaṃ sacandrāṃ rohiṇīṃ tathā /	sTaNxile pUjayet devam sa candrAm rohiNIm taTA /
   śaṅkhe toyaṃ samādāya sapuṣpaphalacandanam // GarP_1,131.7 //	SaFKe toyam samAdAya sa puzpa Pala candanam // GarP_1,131.7 //
   jānubhyāmavanīṃ gatvā candrāyārghyaṃ nivedayet /	jAnuByAm avanIm gatvA candrAya arGyam nivedayet /
   kṣirodārṇavasaṃbhūta ! atrinetrasamudbhava ! // GarP_1,131.8 //	kziroda arNava saMBUta ! atri netra samudBava ! // GarP_1,131.8 //
   gṛhāṇārghyaṃ śaśāṅkeśa (maṃ) rohiṇyā sahito mama /	gRhANa arGyam SaSAFka ISa (maM) rohiNyA sahitaH mama /
   śriyai ca vasude vāya nandāya ca balāya ca // GarP_1,131.9 //	SriyE ca vasude vAya nandAya ca balAya ca // GarP_1,131.9 //
   yaśodāyai tato dadyādarghyaṃ phalasamanvitam /	yaSodAyE tatas dadyAt arGyam Pala samanvitam /
   anantaṃ (ghaṃ) vāmanaṃ śauriṃ vaikuṣṭhaṃ puruṣottamam // GarP_1,131.10 //	anantam (Gan) vAmanam SOrim vEkuzWam puruzottamam // GarP_1,131.10 //
   vāsudevaṃ hṛṣīkeśaṃ mādhavaṃ madhusūdanam /	vAsudevam hRzIkeSam mADavam maDusUdanam /
   varāhaṃ puṇḍarīkākṣaṃ nṛsiṃhaṃ daityasūdanam // GarP_1,131.11 //	varAham puNxarIkAkzam nRsiMham dEtya sUdanam // GarP_1,131.11 //
   dāmodaraṃ padmanābhaṃ keśavaṃ gāruḍadhvajam /	dAmodaram padmanABam keSavam gAruxa Dvajam /
   govindamacyutaṃ devamanantama parājitam // GarP_1,131.12 //	govindam acyutam devam anantama parAjitam // GarP_1,131.12 //
   adhokṣajaṃ jagadvījaṃ sargasthityantakāraṇam /	aDokzajam jagadvIjam sarga sTiti anta kAraNam /
   anādinidhanaṃ viṣṇuṃ trilokeśaṃ trivikramam // GarP_1,131.13 //	anAdi niDanam vizNum triloka ISam trivikramam // GarP_1,131.13 //
   nārāyaṇaṃ caturbāhuṃ śaṅkhacakragadādharam /	nArAyaNam catur bAhum SaFKa cakra gadA Daram /
   pītambaradharaṃ divyaṃ vanamālāvibhūṣitam // GarP_1,131.14 //	pItambara Daram divyam vanamAlA viBUzitam // GarP_1,131.14 //
   śrīvatsāṅkaṃ jagaddhāma śrīpatiṃ śrīdharaṃ harim /	SrIvatsa aFkam jagat DAma SrIpatim SrIDaram harim /
   yaṃ devaṃ devakī devī vasudevādajījanat // GarP_1,131.15 //	yam devam devakI devI vasudevAt ajIjanat // GarP_1,131.15 //
   bhaumasya brahmaṇo guptyai tasmai brahmātmane namaḥ /	BOmasya brahmaNaH guptyE tasmE brahma Atmane namaH /
   nāmānyetāni saṃkīrtya gatyarthaṃ prārthayetpunaḥ // GarP_1,131.16 //	nAmAni etAni saMkIrtya gati arTam prArTayet punar // GarP_1,131.16 //
   trāhi māṃ devadeveśa ! hare ! saṃsārasāgarāt /	trAhi mAm devadeveSa ! hare ! saMsAra sAgarAt /
   trāhi māṃ sarvapāpaghna ! duḥ khaśokārṇavātprabho ! // GarP_1,131.17 //	trAhi mAm sarva pApa GnaH ! duH Ka Soka arNavAt praBo ! // GarP_1,131.17 //
   devakīnandana ! śrīśa ! hare ! saṃsārasāgarāt /	devakI nandana ! SrISaH ! hare ! saMsAra sAgarAt /
   durvṛttāṃstrāyase viṣṇo ! ye smaranti sakṛtsakṛt // GarP_1,131.18 //	durvRttAn= trAyase vizNo ! ye smaranti sakRt sakRt // GarP_1,131.18 //
   so 'haṃ devātidurvṛttastrāhi māṃ śokasāgarāt /	saH aham deva ati durvRttaH trAhi mAm Soka sAgarAt /
   puṣkarākṣa ! nimagno 'haṃ mahtayajñānasāgare // GarP_1,131.19 //	puzkarAkzaH ! nimagnaH aham mahtaya jQAna sAgare // GarP_1,131.19 //
   trāhi māṃ devadeveśa ! tvāmṛte 'nyo na rakṣitā /	trAhi mAm devadeveSa ! tvAm Rte anyaH na rakzitA /
   svajanma vāsudevāpa gobrāhmaṇahitāya ca // GarP_1,131.20 //	sva janma vAsudevApa go brAhmaNa hitAya ca // GarP_1,131.20 //
   jagaddhitāya kṛṣṇāya govindāya namonamaḥ /	jagat hitAya kRzNAya govindAya namaH namaH /
   śāntirastu śivaṃ cāstu dhanavikhyātirājyabhāk // GarP_1,131.21 //	SAntiH astu Sivam ca astu Dana viKyAti rAjya BAj // GarP_1,131.21 //
   (iti kṛṣṇāṣṭamīvratam) /	(iti kRzNa azwamI vratam) /
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   kṛṣṇāṣṭamīvratanirūpaṇaṃ nā maikatriṃśaduttaraśatatamo 'dhyāyaḥ	kRzNAzwamIvratanirUpaNam nA mA ekatriMSaduttaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  132	SrI garuxa mahApurANam 132
   brahmovāca /	brahmA uvAca /
   naktāśī tvaṣṭamīṃ yāvadvarṣānte caiva dhenudaḥ /	nakta ASI tu azwamIm yAvat varza ante ca eva Denu daH /
   paurandarapadaṃ yāti sadgativratamucyate ! // GarP_1,132.1 //	pOrandara padam yAti sat gativratam ucyate ! // GarP_1,132.1 //
   śuklāṣṭabhyāṃ pauṣamāse mahārudreti sādhu vai /	Sukla azwaByAm pOza mAse mahArudrA iti sADu vE /
   matprītaye kṛtaṃ devi śathasāhasrikaṃ phalam // GarP_1,132.2 //	mad prItaye kRtam devi SaTa sAhasrikam Palam // GarP_1,132.2 //
   aṣṭamī budhavāreṇa pakṣayorubhayoryadā /	azwamI buDavAreNa pakzayoH uBayoH yadA /
   bhaviṣyati tadā tasyāṃ vratametatkathā parā // GarP_1,132.3 //	Bavizyati tadA tasyAm vratam etat kaTA parA // GarP_1,132.3 //
   tasyāṃ niyamakartāro na syuḥ khaṇḍitasampadaḥ /	tasyAm niyama kartAraH na syuH KaNxita sampadaH /
   taṇḍulasyāṣṭamuṣṭīnāṃ varjayitvāṅgulidvayam // GarP_1,132.4 //	taNxulasya azwamuzwInAm varjayitvA aFguli dvayam // GarP_1,132.4 //
   bhaktaṃ sadbhaktiśraddhābhyāṃ muktikāmī hi mānavaḥ /	Baktam sat Bakti SradDAByAm mukti kAmI hi mAnavaH /
   āmra patrapuṭe kṛtvā yo bhuḍkte kuśavoṣṭite // GarP_1,132.5 //	Amra patra puwe kRtvA yaH Buxkte kuSa vozwite // GarP_1,132.5 //
   kalambikāmlikopetaṃ kāmyaṃ tasya phalaṃ bhave (labhe) t /	kalambikA amlikA upetam kAmyam tasya Palam Bave (laBe) t /
   budhaṃ pañcopacāreṇa pūjayitvā jalāśaye // GarP_1,132.6 //	buDam paQca upacAreNa pUjayitvA jalASaye // GarP_1,132.6 //
   śaktito dakṣiṇaṃ dadyātkarkarīṃ taṇḍulānvitām /	SaktitaH dakziNam dadyAt karkarIm taNxula anvitAm /
   buṃ budhāyeti bījaṃ syātsvāhāntaḥ kamalādikaḥ // GarP_1,132.7 //	bum buDAya iti bIjam syAt svAhA antaH kamala AdikaH // GarP_1,132.7 //
   bāṇacāpadharaṃśyāmaṃ dale cāṅgani madhyataḥ /	bANa cApa DaraMSyAmam dale ca aFgani maDyatas /
   budhāṣṭamīkathā puṇyā śrotavyā kṛtibhirdhruvam // GarP_1,132.8 //	buDa azwamI kaTA puNyA SrotavyA kRtiBiH Druvam // GarP_1,132.8 //
   pure pāṭaliputrākhye vīro nāma dvijottamaḥ /	pure pAwaliputra AKye vIraH nAma dvijottamaH /
   rambhā bhāryā tasya cāsītkauśikaḥ putra uttamaḥ // GarP_1,132.9 //	ramBA BAryA tasya ca AsIt kOSikaH putraH uttamaH // GarP_1,132.9 //
   duhitā vijayānāmnī va (dha) napālo vṛṣo 'bhavat /	duhitA vijayA nAmnI vaH (Da) napAlaH vRzaH aBavat /
   gṛhītvā kauśikastaṃ ca grīṣme gaṅgāṃ gato 'ramat // GarP_1,132.10 //	gRhItvA kOSikaH tam ca grIzme gaFgAm gataH aramat // GarP_1,132.10 //
   gopālakairvṛṣaścauraiḥ krīḍāsthopahṛto balāt /	gopAlakEH vRzaH cOrEH krIxA sTA upahRtaH balAt /
   gaṅgātaḥ sa ca utthāya vanaṃ babhrāma duḥ khitaḥ // GarP_1,132.11 //	gaFgAtaH sa ca utTAya vanam baBrAma duH KitaH // GarP_1,132.11 //
   jalārthaṃ vijayā cāgādbhrā(nmā) trā sārdhaṃ ca sāpyagāt /	jala arTam vijayA ca agAt BrA(nmA) trA sArDam ca sA api agAt /
   pipāsito mṛṇālārtho āgato 'tha sarovaram // GarP_1,132.12 //	pipAsitaH mRNAla arTaH AgataH aTa sarovaram // GarP_1,132.12 //
   divyastrīṇāṃ ca pūjādīndṛṣṭvā cāpyatha vismitaḥ /	divya strINAm ca pUjA AdIn dRzwvA ca api aTa vismitaH /
   sa tā gatvā yayāce 'nnaṃ sānujo 'haṃ bubhukṣitaḥ // GarP_1,132.13 //	sa tAH gatvA yayAce annam sa anujaH aham buBukzitaH // GarP_1,132.13 //
   striyo 'bruvanvrataṃ kartuṃ dāsyāmaśca kuru vratam /	striyaH abruvan vratam kartum dAsyAmaH ca kuru vratam /
   patnyarthaṃ dhanapānā (lār) thaṃ pūjayāmāsaturbudham // GarP_1,132.14 //	patnI arTam Dana pAnAH (lAr) Tam pUjayAmAsatuH buDam // GarP_1,132.14 //
   puṭadvayaṃ gṛhītvānnaṃ bubhujāte pradattakam /	puwa dvayam gRhItvA annam buBujAte pradattakam /
   striyo gatāstau dhanadau dhanapānamapaśyatām // GarP_1,132.15 //	striyaH gatAH tO DanadO Dana pAnam apaSyatAm // GarP_1,132.15 //
   caurairdattaṃ gṛhītvātha pradoṣe prāptavān gṛham /	cOrEH dattam gRhItvA aTa pradoze prAptavAn gRham /
   vīraṃ ca duḥ khitaṃ natvā rātrau supto yathāsukham // GarP_1,132.16 //	vIram ca duH Kitam natvA rAtrO suptaH yaTAsuKam // GarP_1,132.16 //
   kanyāṃ ca yuvatīṃ dṛṣṭvā kasmai deyā sutā mayā /	kanyAm ca yuvatIm dRzwvA kasmE deyA sutA mayA /
   yamāyetyabravīdduḥ khātsācārādvratasatphalāt // GarP_1,132.17 //	yamAya iti abravIt duH KAt sa AcArAt vrata sat PalAt // GarP_1,132.17 //
   svargaṃ gatau ca pitarau vrataṃ rājyāya kau śikaḥ /	svargam gatO ca pitarO vratam rAjyAya kO SikaH /
   cakre 'yodhyāmahārājyaṃ dattvā ca bhaginīṃ yame // GarP_1,132.18 //	cakre ayoDyA mahA rAjyam dattvA ca BaginIm yame // GarP_1,132.18 //
   yamo 'pi vijayāmāha gṛhasthā bhava me pure /	yamaH api vijayAm Aha gRhasTAH Bava me pure /
   noddhāṭayānyatragate yame sā na tathākarot /	na udDAwayA ani atra gate yame sA na taTA akarot /
   apaśyanmātaraṃ svāṃ sā pāśayātanayā sthitām // GarP_1,132.19 //	apaSyat mAtaram svAm sA pASayAtanayA sTitAm // GarP_1,132.19 //
   athodvignā kośikoktaṃ jñātvā muktipradaṃ vratam /	aTa udvignA koSikA uktam jQAtvA mukti pradam vratam /
   cakre ca sā tato muktā mātā tasmāccaredvratam // GarP_1,132.20 //	cakre ca sA tatas muktA mAtA tasmAt caret vratam // GarP_1,132.20 //
   vtapuṇyaprabhāveṇa svargaṃ gatvāvasatsukham // GarP_1,132.21 //	vtapuNya praBAveNa svargam gatvA a= asat suKam // GarP_1,132.21 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   budhāṣṭamīvratanirūpaṇaṃ nāma dvātriṃśaduttaraśatatamo 'dhyāyaḥ	buDAzwamIvratanirUpaNam nAma dvAtriMSaduttaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  133	SrI garuxa mahApurANam 133
   brahmovāca /	brahmA uvAca /
   aśokakalikā hyaṣṭau ye pibanti punarvasau /	aSoka kalikAH hi azwO ye pibanti punarvasO /
   caitre māsi sitāṣṭamyāṃ na te śokamavāpnuyuḥ // GarP_1,133.1 //	cEtre mAsi sita azwamyAm na te Sokam avApnuyuH // GarP_1,133.1 //
   tvāmaśoka ! harābhīṣṭa ! madhumāsasamudbhava /	tvAm aSokaH ! hara aBIzwa ! maDu mAsa samudBava /
   pibāmi śokasantapto māmaśokaṃ sadā kuru // GarP_1,133.2 //	pibAmi Soka santaptaH mAm aSokam sadA kuru // GarP_1,133.2 //
   (ityaśokāṣṭamīvratam) /	(iti aSoka azwamI vratam) /
   brahmovāca /	brahmA uvAca /
   śuklāṣṭamyāmāśvayuje uttarāṣāḍhayā yutā /	Sukla azwamyAm ASvayuje uttarAzAXayA yutAH /
   sā mahānavamītyuktā snānadānādi cākṣayam // GarP_1,133.3 //	sA mahAn avamI iti uktA snAna dAna Adi ca akzayam // GarP_1,133.3 //
   navamī kevalā cāpi durgāṃ caiva tu pūjayet /	navamI kevalA ca api durgAm ca eva tu pUjayet /
   mahāvrataṃ mahāpuṇyaṃ śaṅkarādyairanuṣṭhitam // GarP_1,133.4 //	mahA vratam mahA puNyam SaFkara AdyEH anuzWitam // GarP_1,133.4 //
   ayācitādi ṣaṣṭhyādau rājā śatrujayāyā ca /	ayAcita Adi zazWI AdO rAjA Satru jayAyAH ca /
   japahomasamāyuktaḥ kanyāṃ vā bhojayetsadā // GarP_1,133.5 //	japa homa samAyuktaH kanyAm vA Bojayet sadA // GarP_1,133.5 //
   durgedurge rakṣiṇi svāhā mantro 'yaṃ pūjanādiṣu /	durgedurge rakziNi svAhA mantraH ayam pUjana Adizu /
   dīrghākārādimātrābhirnava devyo namo 'ntikāḥ // GarP_1,133.6 //	dIrGa AkAra Adi mAtrABiH nava devyaH namaH antikAH // GarP_1,133.6 //
   ṣaḍbhiḥ padairnamaḥ svāhā vaṣaḍādihṛdādikam /	zaxBiH padEH namaH svAhA vazaw Adi hRd Adikam /
   aṅguṣṭhādikaniṣṭhāntaṃ nyasya vai pṛjayecchivām // GarP_1,133.7 //	aFguzWa Adi kanizWA antam nyasya vE pRjayet SivAm // GarP_1,133.7 //
   aṣṭamyāṃ nava gehāni dārujānyekameva vā /	azwamyAm nava gehAni dAru jAni ekam eva vA /
   tasmindevī prakartavyā haimī vārājatāpi vā // GarP_1,133.8 //	tasmin devI prakartavyA hEmI vA arAjatA api vA // GarP_1,133.8 //
   śūle khaṅge pustake vā paṭe vā maṇḍale (pe) yajet /	SUle KaFge pustake vA pawe vA maNxale (pe) yajet /
   kapālaṃ kheṭakaṃ ghaṇṭāṃ darpaṇaṃ tarjanīṃ dhanaḥ // GarP_1,133.9 //	kapAlam Kewakam GaNwAm darpaNam tarjanIm DanaH // GarP_1,133.9 //
   dhvajaṃ ḍamarukaṃ pāśaṃ vāmahasteṣu bibhratī /	Dvajam xamarukam pASam vAma hastezu biBratI /
   śaktiṃ ca mudgaraṃ śūlaṃ vajraṃ khaṅgaṃ tathāṅkuśam // GarP_1,133.10 //	Saktim ca mudgaram SUlam vajram KaFgam taTA aFkuSam // GarP_1,133.10 //
   śaraṃ cakraṃ śalākāṃ ca durgāmāyudhasaṃyutām /	Saram cakram SalAkAm ca durgAm AyuDa saMyutAm /
   śeṣāḥ ṣoḍaśahastāṃ syurañjanaṃ ḍamaruṃ vinā // GarP_1,133.11 //	SezAH zoxaSa hastAm syuH aQjanam xamarum vinA // GarP_1,133.11 //
   rudracaṇḍā pracaṇḍā ca caṇḍogrā caṇḍanāyikā /	rudracaNxA pracaNxA ca caNxogrA caNxanAyikA /
   caṇḍā caṇḍavatī caiva caṇḍarūpāticaṇḍikā // GarP_1,133.12 //	caNxA caNxavatI ca eva caNxa rUpa ati caNxikAH // GarP_1,133.12 //
   navamī cogracaṇḍā ca madhyamāgniprabhākṛtiḥ /	navamI ca ugracaNxA ca maDyamA agni praBA AkRtiH /
   rocanā tvaruṇā kṛṣṇā nīlaṃ dhūmrā ca śukrakā // GarP_1,133.13 //	rocanA tu aruNA kRzNA nIlam DUmrA ca SukrakAH // GarP_1,133.13 //
   pātā ca pāṇḍurā proktā ālīḍhaṃ haritaṃ tathā /	pAtA ca pANxurA proktAH AlIXam haritam taTA /
   ma (mā) hiṣo 'sya sa khaḍgāgraprakacagrahamuṣṭikaḥ // GarP_1,133.14 //	me (mA) hizaH asya sa Kaxga agra prakaca grahamuzwikaH // GarP_1,133.14 //
   japtvā daśākṣarīṃ vidyāṃ nāsau kenāpi badhyate /	japtvA daSa akzarIm vidyAm na asO kena api baDyate /
   pañca (ñcā) daśāṅgulaṃ khaḍgaṃ triśūlaṃ ca tato yajet /	paQca (QcA) daSa aFgulam Kaxgam triSUlam ca tatas yajet /
   liṅgasyāṃ pūjayedvāpi pāduke 'tha jale 'pi vā // GarP_1,133.15 //	liFgasyAm pUjayet vA api pAduke aTa jale api vA // GarP_1,133.15 //
   vicitrāṃ rakṣayetpūjāmaṣṭamyāmupavāsayet /	vicitrAm rakzayet pUjAm azwamyAm upavAsayet /
   pañcābdaṃ mahiṣaṃ bastaṃ rātriśeṣe ca ghātayet // GarP_1,133.16 //	paQca abdam mahizam bastam rAtri Seze ca GAtayet // GarP_1,133.16 //
   vidhivatkālikālīti taduttharudhirādikam /	viDivat kAlikAlI iti tad utTa ruDira Adikam /
   nerṛtyāṃ pūtanāṃ caiva vāyavyāṃ pāparākṣasīm // GarP_1,133.17 //	nerRtyAm pUtanAm ca eva vAyavyAm pApa rAkzasIm // GarP_1,133.17 //
   dadyāccarakyai caiśānyāmāgneyyāṃ ca vidārikām // GarP_1,133.18 //	dadyAt carakyE ca ESAnyAm AgneyyAm ca vidArikAm // GarP_1,133.18 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   mahānavamīvrataṃ nāma trayastriṃśaduttaraśatatamo 'dhyāyaḥ	mahAnavamIvratam nAma trayastriMSaduttaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  134	SrI garuxa mahApurANam 134
   brahmovāca /	brahmA uvAca /
   mahākauśikamantraśca kathyate 'tra mahāphalaḥ // GarP_1,134.1 //	mahA kOSika mantraH ca kaTyate atra mahA PalaH // GarP_1,134.1 //
   (mahākauśikamantraḥ) oṃ mahākauśikāya namaḥ /	(mahA kOSika mantraH) om mahA kOSikAya namaH /
   oṃ hūṃ hūṃ prasphura lala lala kulva kulva culva culva khalla khalla mulva	om hUm hUm prasPura lala lala kulva kulva culva culva Kalla Kalla mulva
   mulva gulva gulva tulva pulla pulla dhalva dhulva dhuma dhuma dhamadhama	mulva gulva gulva tulva pulla pulla Dalva Dulva Duma Duma Dam aDama
   māraya māraya dhakadhaka vajñāpayajñāpaya vidārayavidāraya kampakampa	mAraya mAraya DakaDaka vajQApayajQApaya vidArayavidAraya kampa kampa
   kampayakampaya pūrayapūraya āveśayāveśaya oṃ hrīṃ oṃ hrīṃ haṃ vaṃ vaṃ huṃ	kampayakampaya pUraya pUrayaH AveSaya AveSaya om hrIm om hrIm ham vam vam hum
   taṭataṭa madamada hrīṃ oṃ hūṃ nairṛtāyā namaḥ nirṛtaye dātavyam /	tawa tawa mada mada hrIm om hUm nErRtAyAH namaH nirRtaye dAtavyam /
   mahākauśikamantreṇa mantritaṃ balimarpayet // GarP_1,134.2 //	mahA kOSika mantreNa mantritam balim arpayet // GarP_1,134.2 //
   tasyāgrato nṛpaḥ snāyācchatraṃ kṛtvā ca paiṣṭikam /	tasya agratas nRpaH snAyAt Catram kRtvA ca pEzwikam /
   khaḍgena ghātayitvā tu dadyātskandaviśākhayoḥ // GarP_1,134.3 //	Kaxgena GAtayitvA tu dadyAt skanda viSAKayoH // GarP_1,134.3 //
   mātṝṇāṃ caiva devīnāṃ pūjā kāryā tathā niśi /	mAtLNAm ca eva devInAm pUjA kAryA taTA niSi /
   brahmāṇī caiva māheśī kaumārī vaiṣṇavī tathā // GarP_1,134.4 //	brahmANI ca eva mAheSI kOmArI vEzNavI taTA // GarP_1,134.4 //
   vārāhī caiva māhendrī cāmuṇḍā caṇḍikā tathā /	vArAhI ca eva mAhendrI cAmuNxA caNxikA taTA /
   jayantī maṅgalā kālī bhadrakālī kapālinī // GarP_1,134.5 //	jayantI maFgalA kAlI BadrakAlI kapAlinI // GarP_1,134.5 //
