   Kāvyaprakāśaḥ	KAvya prakASaH
        {uttānocchanamaṇḍūkapāṭitodarasaṃnibhe /	{uttAna ucCana maNxUka pAwita udara saMniBe /
        kledini strīvraṇe saktirakṛmeḥ kasya jāyate //304//}	kledini strI vraNe saktiH akRmeH kasya jAyate //304//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 155)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 155)
        {nirvāṇavairadahanāḥ praśamādarīṇāṃ	{nirvANa vEra dahanAH praSamAt arINAm
             nandantu pāṇḍutanayā saha mādhavena /	nandantu pANxu tanayA saha mADavena /
        raktaprasādhitabhuvaḥ kṣatavigrahāśca	rakta prasADita BuvaH kzata vigrahAH ca
             svasthā bhavantu kururājasutāḥ sabhṛtyāḥ //305//}	svasTAH Bavantu kuru rAja sutAH sa BRtyAH //305//}
                       (Bhaṭṭanārāyaṇa's Veṇīsaṃhāra 1.7)	(Bhawwa nArAyaNa as VeNI saMhAraH 1.7)
   atra bhāvyamaṅgakasūcakam //	atra BAvyam aFgaka sUcakam //
   saṃdigdhamapi vācyamahimnā kvacinniyatārthapratītikṛttvena	saMdigDam api vAcya mahimnA kvacid niyata arTa pratIti kRt tvena
   vyājastutiparyavasāyitve guṇaḥ / yathā	vyAjastuti paryavasAyi tve guNaH / yaTA
        {pṛthukārtasvarapātraṃ bhūṣitaniḥśeṣaparijanaṃ deva /	{pRTuka Arta svara pAtram BUzita niHSeza parijanam deva /
        vilasatkareṇugahanaṃ saṃprati samamāvayoḥ sadanam //306//}	vilasat kareNu gahanam saMprati samam AvayoH sadanam //306//}
                       (Subhāṣitaratnākara 1644)	(SuBAzita ratna AkaraH 1644)
   pratipādyapratipādakayorjñatve satyapratītaṃ guṇaḥ / yathā	pratipAdya pratipAdakayoH jQatve satya pratItam guNaH / yaTA
        {ātmārāmā vihitaratayo nirvikalpe samādau	{a Atma ArAmA vihita ratayaH nirvikalpe samAdO
             jñānodrekādvighaṭitatamogranthayaḥ sattvaniṣṭhāḥ /	jQAna udrekAt vi Gawita tamaH granTayaH sattva nizWAH /
        yaṃ vīkṣante kamapi tamasāṃ jyotiṣāṃ vā parastāt	yam vIkzante kam api tamasAm jyotizAm vA parastAt 
             taṃ mohāndhaḥ kathamayamamuṃ vetti devaṃ purāṇaṃ //307//}	tam moha anDaH kaTam ayam amum vetti devam purANam //307//}
                       (Bhaṭṭanārāyaṇa's Veṇīsaṃhāra 1.23)	(Bhawwa nArAyaNa as VeNI saMhAraH 1.23)
   svayaṃ vā parāmarśe / yathā	svayam vA parAmarSe / yaTA
        {ṣaḍadhikadaśanāḍīcakramadhyasthitātmā	{zaz aDika daSa nAxI cakra maDya sTita AtmA
             hṛdi vinihitarūpaḥ siddhidastaddhitāṃ yaḥ /	hRdi vinihita rUpaH sidDi daH tat hitAm yaH /
        avicalitamanobhiḥ sādhakairmṛgyamāṇaḥ	avicalita manoBiH sADakEH mRgyamANaH
             sa jayati pariṇaddhaḥ śaktibhiḥ śaktināthaḥ //308//}	sa jayati pariNadDaH SaktiBiH Sakti nATaH //308//}
                       (Bhavabhūti's Mālatīmādhava 5.1)	(Bhava BUti as MAlati imADava 5.1)
   adhamaprakṛtyuktiṣu grāmyo guṇaḥ / yathā	aDama prakRti uktizu grAmyaH guNaH / yaTA
        {phullukkaraṃ kalamakūraṇihaṃ vahanti	{Pulluh karam kalama kUraNiham vahanti
             je sindhuvāraviḍavā maha vallahā de /	je sinDuvAra vixavA maha valla hAH de /
        je gālidassa mahisīdahiṇo saricchā	je gAlidaH sa mahisIdahiNaH saricCA
             de kiṃ ca muddhavi_a_illapasūṇapuñjā //309//}	de kim ca mudDavi_a_id lapa sUNa puQjA //309//}
        [puṣpotkaraṃ kalamabhaktanibhaṃ vahanti	[puzpa utkaram kalama Bakta niBam vahanti
             ye sindhuvāraviṭapā mama vallabhāste /	ye sinDuvAra viwapAH mama vallaBAH te /
        ye gālitasya mahiṣīdaghnaḥ sadṛkṣā	ye gAlitasya mahizi ida GnaH sadRkzA
             stekiṃ ca mugdhavicakilaprasūnapuñjāḥ //]	stekim ca mugDa vicakila prasUna puQjAH //]
                       (Rājaśekhara's Karpūramañjarī 1.19)	(RA aja SeKara as KarpUramaQjarI 1.19)
   atra kalamabhaktamahiṣīdadhiśabdā grāmyā api vidūṣakoktau //	atra kalama Bakta mahizI daDi SabdAH grAmyAH api vidUzaka uktO //
   nyūnapadaṃ kvacidguṇaḥ / yathā	nyUna padam kvacid guNaH / yaTA
        {gāḍhāliṅganavāmanīkṛtakucaprodbhūtaromodgamā	{gAXa AliFgana vAmanIkRta kuca prodBUta roma udgamA
             sāndrasneharasātirekavigalacchrīmannitambāmbarā /	sAndra sneha rasa atireka vigalat SrImat nitamba ambarA /
        mā mā mānada māti māmalamiti kṣāmākṣarollāpinī	mA mA mAnada mA ati mAm alam iti kzAma akzara ullApinI
             suptā kiṃ nu mṛtā nu kiṃ manasi me līnā vilīnā nu kim //310//}	suptA kim nu mRtA nu kim manasi me lInA vilInA nu kim //310//}
                       (Amaruśataka 36)	(Amaru SatakaH 36)
   kvacinna guṇo na doṣaḥ / yathā	kvacid na guNaH na dozaH / yaTA
        {tiṣṭhetkopavaśātprabhāvapihitā dīrghaṃ na sā kupyati	{tizWet kopa vaSAt praBOva pihitA dIrGam na sA kupyati
             svargāyotpatitā bhavenmayi punarbhāvādramasyā manaḥ /	svargAya utpatitA Bavet mayi punarBAvAt ramasyAH manaH /
        tāṃ hartuṃ vibudhadviṣo 'pi na ca me śaktāḥ purovartinīṃ	tAm hartum vibuDa dvizaH api na ca me SaktAH puras vartinIm
             sā cātyantamagocaraṃ nayanayoryāteti ko 'yaṃ vidhiḥ //311//}	sA ca atyantam agocaram nayanayoH yAtA iti kaH ayam viDiH //311//}
                       (Kālidāsa's Vikramorvaśīya 4.9)	(KAli dAsa as Vikrama uH vaSIya 4.9)
   atra pihitā ityatonantaraṃ 'naitadyataḥ'; ityetairnyūnaiḥ	atra pihitAH iti atonantaram anEtat yataH a; iti etEH nyUnEH
   padairviśeṣabuddherakaraṇānna guṇaḥ / uttarā pratipattiḥ pūrvāṃ	padEH viSeza budDeH akaraNAt na guNaH / uttarA pratipattiH pUrvAm
   pratipattiṃ bādhate iti na doṣaḥ //	pratipattim bADate iti na dozaH //
   adhikapadaṃ kvacidguṇaḥ / yathā	aDika padam kvacid guNaH / yaTA
        {yadvañcanāhitamatirbahucāṭugarbhaṃ	{yat vaQcana Ahita matiH bahu cAwu garBam
             kāryonmukhaḥ khalajanaḥ krṭakaṃ bravīti /	kArya unmuKaH Kala janaH krwakam bravIti /
        tatsādhavo na na vidanti vidanti kintu	tad sADavaH na na vidanti vidanti kintu
             kartuṃ vṛthā praṇayamasya na pārayanti //312//}	kartum vRTA praNayam asya na pArayanti //312//}
                       (Abhinavagupta's Dhvanyālokalocana 3.16)	(a aBinava gupta as Dhvani Aloka locanaH 3.16)
   atra {vidanti} iti dvitīyamanyayogavyavacchedaparam / yathā vā	atra {vidanti} iti dvitIyam anya yoga vyavacCeda param / yaTA vA
        {vada vada jitaḥ sa śatrurna hato jalpaṃśca tava tavāsmīti /	{vada vada jitaH sa SatruH na hataH jalpan= ca tava tava asmi iti /
        citraṃ citramarodīddhā heti paraṃ mṛte putre //313//}	citram citramara udIdDA hA iti param mRte putre //313//}
                       (Rudraṭa's Kāvyālaṅkāra 6.30)	(Rudrawa as KAvyAlaFkAraH 6.30)
   ityevamādau harṣabhayādiyukte vaktari //	iti evamAdO harza Baya Adi yukte vaktari //
   kathitapadaṃ kvacidguṇaḥ lāṭānuprāse arthāntarasaṃkramitavācye	kaTita padam kvacid guNaH lAwa anuprAse arTa antara saMkramita vAcye
   vihitasyānuvādyatve ca / krameṇodāharaṇam     	vihitasya anuvAdya tve ca / krameNa udAharaNam     
        {sitakarakararuciravibhā vibhākarākāra dharaṇidhara kīrtiḥ /	{sita kara kara rucira viBA viBAkara AkAra DaraNiDara kIrtiH /
        pauruṣakamalā kamalā sāpi tavaivāsti nānyasya //314(cf.359)//}	pOruza kamalA kamalA sA api tava eva asti na anyasya //314(cf.359)//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 195)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 195)
        {tālā jā_anti guṇā jālā de sahi_a_eṃhi gheppanti /	{tAlAH jAH _anti guNAH jAlAH de sa hi_a_eMhi Geppanti /
        ra_ikiraṇāṇuggahi_ā_iṃ honti kamalā_iṃ kamalā_iṃ //315//}	raH _ikiraNa aNuggahi_A_im honti kamalAH _im kamalAH _im //315//}
        [tadā jāyante guṇāḥ yadā te sahṛdayairgṛhyante /	[tadA jAyante guNAH yadA te sahRdayEH gRhyante /
        ravikiraṇānugṛhītāni bhavanti kamalāni kamalāni //]	ravi kiraNa anugRhItAni Bavanti kamalAni kamalAni //]
                       (Hāla's Gāthāsaptaśatī 989 ; Abhinavagupta's	(HAla as GATA saptaSatI 989 ; ABinava gupta as
   Dhvanyālokalocana; Ānandavardhana's Viṣamabāṇalīlā)	Dhvani Aloka locana; Ānanda varDana as Vizama bANa lIlA)
        {jitendriyatvaṃ vinayasya kāraṇaṃ guṇaprakarṣo vinayādavāpyate /	{jita indriya tvam vinayasya kAraNam guNa prakarzaH vinayAt avApyate /
        guṇaprakarṣeṇa janonurajyate janānurāgaprabhavā hi saṃpadaḥ //316//}	guNa prakarzeNa janonurajyate jana anurAga praBavA hi saMpadaH //316//}
                       (Vallabhadeva's Subhāṣitāvali)	(VallaBa deva as SuBa Azita Avali)
        {patatprakarṣamapi kvacidguṇaḥ / yathā udāhṛte prāgaprāpta ityādau	{patat prakarzam api kvacid guNaH / yaTA udAhRte prAc aprApta iti AdO
                       (Bhavabhtūti's Mahāvīracarita 2.33)	(BhavaBtUti as MahAvIra caritaH 2.33)
   samāptapunarāttaṃ kvacinna guṇo na doṣaḥ / yatra na viśeṣaṇamātradānārthaḥ	samApta punarAttam kvacid na guNaH na dozaH / yatra na viSezaNa mAtra dAna arTaH
   punargrahaṇam api tu vākyāntarameva kriyate / yathā	punar grahaNam api tu vAkya antaram eva kriyate / yaTA
        {atraiva prāgaprāpta ityādau //318//}	{atra eva prAc aprAptaH iti AdO //318//}
   apadasthasamāsaṃ kvacid guṇaḥ / yathā	apadasTa samAsam kvacid guNaH / yaTA
        {udāhṛte raktāśokaityādau //319//}	{udAhRte rakta aSoka etya AdO //319//}
   garbhitaṃ tathaiva / yathā     	garBitam taTA eva / yaTA     
        {humi avahatthi_areho ṇiraṅkuso aha vive_arahi_o vi /	{humi avahatTi_arehaH NiH aFkusaH aha vive_arahi_aH vi /
        siviṇe vi tumammi puṇo pattihi bhattiṃ ṇa pasumarāmi //320//}	siviNe vi tumammi puNaH patti hi Battim Na pasum arAmi //320//}
        [bhavāmyapahastitarekho niraṅguśo 'tha vivekarahito 'pi /	[BavAmi apahastita reKaH niraFguSas aTa viveka rahitaH api /
        svapne 'pi tvayi punaḥ pratīhi bhaktiṃ na prasmarāmi //]	svapne api tvayi punar pratIhi Baktim na prasmarAmi //]
                       (Ānandavardhana's Viṣamabāṇalīlā ; Abhinavagupta's	(Ānanda varDana as Vizama bANa lIlA ; ABinava gupta as
   Dhvanyālokalocana)	Dhvani Aloka locana)
   atra pratīhīti madhye dṛḍhapratyayotpādanāya / evamanyadapi lakṣyāllakṣyam	atra pratIhi iti maDye dRXa pratyaya utpAdanAya / evam anyat api lakzyAt lakzyam
   vyabhicārirasasthāyibhāvānāṃ śabdavācyatā /	vyaBicAri rasa sTAyi BAvAnAm Sabda vAcya tA /
   kaṣṭakalpanayā vyaktiranubhāvavibhāvayoḥ // MKpr K_60 //	kazwa kalpanayA vyaktiH anuBAva viBAvayoH // MKpr K_60 //
   pratikūlavibhāvādigraho dīptiḥ punaḥ punaḥ /	pratikUla viBAva Adi grahaH dIptiH punar punar /
   akāṇḍe prathanacchedāvaṅgasyāpyativistṛtiḥ // MKpr K_61 //	akANxe praTana= CedO= aFgasya api ati vistRtiH // MKpr K_61 //
   aṅgino 'nanusaṃdhānaṃ prakṛtīnāṃ viparyayaḥ /	aFginaH ananusaMDAnam prakRtInAm viparyayaH /
   anaṅgasyābhidhānaṃ ca rase doṣāḥ syurīdṛśāḥ // MKpr K_62 //	anaFgasya aBiDAnam ca rase dozAH syuH IdRSAH // MKpr K_62 //
   (1) svaśabdopādānaṃ vyabhicāriṇo yathā	(1) sva Sabda upAdAnam vyaBicAriNaH yaTA
        {savrīḍā dayitānane sakaruṇā mātaṅgacarmāmbare	{sa vrIxA dayitA Anane sa karuNA mAtaFga carma ambare
             satrāsā bhujage savismayarasā candre 'mṛtasyandini /	sa trAsAH Bujage sa vismaya rasAH candre amRta syandini /
        serṣyā jahnusutāvalokanavidhau dīnā kapālodare	sa IrzyA jahnusuta avalokana viDO dInA kapAla udare
             pārvatyā navasaṃgamapraṇayinī dṛṣṭiḥ śivāyāstu vaḥ //321//}	pArvatyA nava saMgama praNayinI dRzwiH SivAya aH tu vaH //321//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 164)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 164)
   atra vrīḍādīnām /	atra vrIxA AdInAm /
        {vyānamrā dayitānane mukulitā mātaṅgacarmāmbare	{vyAnamrA dayitA Anane mukulitA mAtaFga carma ambare
             sotkampā bhujage nimeṣarahitā candremṛtasyandini /	sa utkampA Bujage nimeza rahitA candremRta syandini /
        mīladbhūḥ surasindhudarśanavidhau mlānā kapālodare}	mIlat BUH sura sinDu darSana viDO mlAnA kapAla udare}
   ityādi tu yuktam //	ityAdi tu yuktam //
   (2) rasasya svaśabdena śṛṅgārādiśabdena vā vācyatvam / krameṇodāharaṇam	(2) rasasya sva Sabdena SRFgAra Adi Sabdena vA vAcya tvam / krameNa udAharaNam
        {tāmanaṅgajayamaṅgalaśriyaṃ kiñciduccabhujamūlalokitām /	{tAm anaFga jaya maFgala Sriyam kiQcid ucca Buja mUla lokitAm /
        netrayoḥ kṛtavato 'sya gocare ko 'pyajāyata raso nirantaraḥ //322//}	netrayoH kRtavataH asya gocare kaH api ajAyata rasaH nirantaraH //322//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 166)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 166)
        {ālokya komalakapolatalābhiṣikta	{a Alokya komala kapola tala aBizikta
             vyaktānurāgasubhagāmabhirāmamūrtim /	vyakta anurAga suBagAm aBirAma mUrtim /
        paśyaiṣa bālyamativṛtya vivartamānaḥ	paSya eza bAlyam ativRtya vivartamAnaH
             śṛṅgārasīmani taraṅgitamātanoti //323//}	SRFgArasImani taraFgitam Atanoti //323//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   (3) sthāyino yathā	(3) sTAyinaH yaTA
        {saṃprahāre praharaṇaiḥ prahārāṇāṃ parasparam /	{saMprahAre praharaNEH prahArANAm parasparam /
        ṭhaṇatkāraiḥ śrutigatairutsāhastasya ko 'pyabhūt //324//}	WaNatkArEH Sruti gatEH utsAhaH tasya kaH api aBUt //324//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 167)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 167)
   atrotsāhasya //	atra utsAhasya //
        {karpūradhūlidhavaladyutipūradhauta 	{karpUra DUli Davala dyuti pUra DOta 
             diṅmaṇḍale śiśirarociṣi tasya yūnaḥ /	diS maNxale SiSira rocizi tasya yUnaH /
        līlāśiro 'ṃśukaniveśaviśeṣakḷ.pti 	lIlA SiraH aMSuka niveSa viSeza k?.pti 
             vyaktastanonnatirabhūnnayanāvanau sā //325//}	vyakta stana unnatiH aBUt naya nAvanO sA //325//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atroddīpanālambanarūpāḥ śṛṅgārayogyā vibhāvā anubhāvaparyavasāyinaḥ sthitā	atra uddIpana Alambana rUpAH SRFgAra yogyA viBAvA anuBAva paryavasAyinaH sTitA
   iti kaṣṭakalpanā //	iti kazwa kalpanA //
        {pariharati ratiṃ matiṃ lunīte skhalati bhṛśaṃ parivartate ca bhūyaḥ	{pariharati ratim matim lunIte sKalati BRSam parivartate ca BUyas 
        iti bata viṣamā daśāsya dehaṃ paribhavati prasabhaṃ kimatra kurmaḥ	iti bata vizamAH daSa asya deham pariBavati prasaBam kim atra kurmaH
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra ratiparihārādīnāmanubhāvānāṃ karuṇādāvapi saṃbhavātkāminīrūpo vibhāvo	atra rati parihAra AdInAm anuBAvAnAm karuNA AdO= api saMBavAt kAminI rUpaH viBAvaH 
   yatnataḥ pratipādyaḥ //	yatnatas pratipAdyaH //
        {prasāde vartasva prakaṭaya mudaṃ saṃtyaja ruṣaṃ	{prasAde vartasva prakawaya mudam saMtyaja ruzam
             priye śuṣyantyaṅgānyamṛtamiva te siñcatu vacaḥ /	priye Suzyanti aFgAni amRtam iva te siQcatu vacaH /
        nidhānaṃ saukhyānāṃ kṣaṇamabhimukhaṃ sthāpaya mukhaṃ	niDAnam sOKyAnAm kzaNam aBimuKam sTApaya muKam
             na mugdhe pratyetuṃ prabhavati gataḥ kālahariṇaḥ //327//}	na mugDe pratyetum praBavati gataH kAla hariNaH //327//}
                       (Abhinavagupta's Dhvanyālokalocana ;	(a aBinava gupta as Dhvani Aloka locana ;
   Śārṅgadharapaddhati)	ŚArFgaDara padDati)
   atra śṛṅgāre pratikūlasya śāntasyānityatāprakāśanarūpo	atra SRFgAre pratikUlasya SAntasya anitya tA prakASana rUpaH 
   vibhāvastatprakāśito nirvedaśca vyabhicārī upāttaḥ //	viBAvaH tad prakASitaH nirvedaH ca vyaBicArI upAttaH //
        {ṇihu_aramaṇammi lo_aṇapahammi paḍi_e guru_aṇamajjhammi /	{Ni hu_aramaNammi laH _aNapahammi paxi_e guru_aNamat Jammi /
        sa_alaparihārahi_a_ā vaṇagamaṇaṃ evva maha_i vahū //328//}	sa_ala parihAra hi_a_A vaNa gamaNam evva mahe _i vahU //328//}
        [nibhṛtaramaṇe locanapathe patite gurujanamadhye /	[niBRta ramaNe locana paTe patite guru jana maDye /
        sakalaparihārahṛdayā vanamanamevecchati vadhūḥ //]	sakala parihAra hRdayA vanamanam eva icCati vaDUH //]
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra sakalaparihāravanagamane śāntānubhāvau /	atra sakala parihAra vana gamane SAnta anuBAvO /
   indhanādyānayanavyājenopabhogārthaṃ vanagamanaṃ cet na doṣaḥ //	inDana Adi a Anayana vyAjena upaBoga arTam vana gamanam ced na dozaH //
   (7) dīptiḥ punaḥ punaryathā kumārasaṃbhave rativilāpe //	(7) dIptiH punar punar yaTA kumAra saMBave rati vilApe //
   (8) akāṇḍe prathanaṃ yathā veṇīsaṃhāre dvitīyeṅkenekavīrakṣaye pravṛtte	(8) akANxe praTanam yaTA veNI saMhAre dvitIya IFkeneka vIra kzaye pravRtte
   bhānumatyā saha duryodhanasya śṛṅgāravarṇanam /	BAnumatyA saha duryoDanasya SRFgAra varNanam /
   (9) akāṇḍe chedo yathā vīracarite dvitīyeṅke	(9) akANxe CedaH yaTA vIra carite dvitIya iFke
   rāghavabhārgavayordhārādhirūḍhe vīrarase {kaṅkaṇamocanāya gacchāmi} iti	rAGava BArgavayoH DAra aDirUXe vIra rase {kaFkaNa mocanAya gacCAmi} iti
   rāghavasyoktau //	rAGavasya uktO //
   (10) aṅgasyāpradhānasyātivistareṇa varṇanam / yathā hayagrīvavadhe	(10) aFgasya apraDAnasya ati vistareNa varNanam / yaTA hayagrIva vaDe
   hayagrīvasya //	hayagrIvasya //
   (11) aṅgino 'nanusaṃdhānam / yathā ratnāvalyāṃ caturtheṅke bābhravyāgamane	(11) aFginaH ananusaMDAnam / yaTA ratna AvalyAm caturTeFke bABravya Agamane
   sāgarikāyā vismṛtiḥ //	sAgarikAyAH vismRtiH //
   (12) prakṛtayo divyā adivyā divyādivyāśca	(12) prakRtayaH divyAH adivyAH divya AdivyAH ca
   vīraraudraśṛṅgāraśāntarasapradhānā	vIra rOdra SRFgAra SAnta rasa praDAnA
   dhīrodāttadhīroddhatadhīralalitadhīrapraśāntāḥ uttamādhamamadhyamāśca /	DIra udAtta DIra udData DIra lalita DIra praSAntAH uttama aDama maDyamAH ca /
   tatra ratihāsaśokādbhutāni adivyottamaprakṛtivat divyeṣvapi / kiṃ tu ratiḥ	tatra rati hAsa Soka adButAni adivya uttama prakRti vat divyezu api / kim tu ratiH
   saṃbhogaśṛṅgārarūpā uttamadevatāviṣayā na varṇanīyā / tadvarṇanaṃ hi	saMBoga SRFgAra rUpAH uttama devatA vizayA na varNanIyAH / tad varNanam hi
   pitroḥ saṃbhogavarṇanamivātyantamanucitam /	pitroH saMBoga varNanam iva atyantam anucitam /
        {krodhaṃ prabho saṃhara saṃhareti yāvad giraḥ khe marutāṃ caranti /	{kroDam praBo saMhara saMhara iti yAvat giraH Ke marutAm caranti /
        tāvatsa vahnirbhavanetrajanmā bhasmāvaśeṣaṃ madanaṃ cakāra //329//}	tAvat sa vahniH Bava netra janmA Basma avaSezam madanam cakAra //329//}
                       (Kālidāsa's Kumārasaṃbhava 3.32)	(KAli dAsa as KumAra saMBavaH 3.32)
   ityuktavat bhrukuṭyādivikāravarjitaḥ krodhaḥ sadyaḥphaladaḥ	iti ukta vat BrukuwI Adi vikAra varjitaH kroDaH sadyaHPala daH
   svargapātālagagasamudrollaṅghanādyutsāhaśca divyeṣyeva / adhikaṃ tu	svarga pAtAla gaga samudra ullaFGana Adi utsAhaH ca divyezi eva / aDikam tu
   nibadhyamānamasatyapratibhāsena 'nāyakavadvartitavyaṃ na pratināyakavat';	nibaDyamAnam asatya pratiBAsena anAyaka vat vartitavyam na pratinAyaka vat a;
   ityupadeśe na paryavasyet / divyādivyeṣu ubhayathāpi /	iti upadeSe na paryavasyet / divya adivyezu uBayaTA api /
   evamuktasyaucityasya divyādīnāmiva dhīrodāttādīnāmapyanyathāvarṇanaṃ	evam uktasya Ocityasya divya AdInAm iva DIra udAtta AdInAm api anyaTA AvarNanam
   viparyayaḥ / tatrabhavan bhagavannityuttamena na adhamena muniprabhṛtau na	viparyayaH / tatraBavan Bagavan= iti uttamena na aDamena muni praBRtO na
