   ṛṣaya ūcuḥ	RzayaH UcuH
   saptarātreṇa labhate naṣṭadravyaṃ na saṃśayaḥ // NarP_1,77.125 //	sapta rAtreNa laBate nazwa dravyam na saMSayaH // NA rP_1,77.125 //
   saptaviṃśatidhā japtvā prācīdigvadanaḥ pumān /	saptaviMSatiDA japtvA prAcI diS vadanaH pumAn /
   devāsuranibhaṃ cāpi paracakraṃ nivārayet // NarP_1,77.126 //	deva asura niBam ca api para cakram nivArayet // NA rP_1,77.126 //
   vivāde kalaheghore pañcadhā yaḥ paṭhedidam /	vivAde kalaheGore paQcaDA yaH paWet idam /
   vijayo jāyate tasya na kadācitparājayaḥ // NarP_1,77.127 //	vijayaH jAyate tasya na kadAcid parAjayaH // NA rP_1,77.127 //
   sarvarogaprapīḍāsu tredhā vā pañcadhā paṭhet /	sarva roga prapIxAsu treDA vA paQcaDA paWet /
   sa rogamṛtyuvetālabhūtapretairna bādhyate // NarP_1,77.128 //	sa roga mRtyu vetAla BUta pretEH na bADyate // NA rP_1,77.128 //
   samyagdvādaśādhā rātrau prajapedbandhamuktaye /	samyak dvAdaSa aDA rAtrO prajapet banDa muktaye /
   tridinānnigaḍādūddhvo mucyate nātra saṃśayaḥ // NarP_1,77.129 //	tri dinAt nigaxAt UdDvaH mucyate na atra saMSayaH // NA rP_1,77.129 //
   anenaiva vidhānena sarvasādhanakarmaṇi /	anena eva viDAnena sarva sADana karmaNi /
   asādhyamapi saptāhātsādhayenmantravittamaḥ // NarP_1,77.130 //	asADyam api sapta ahAt sADayet mantra vittamaH // NA rP_1,77.130 //
   yātrākāle paṭhitvedaṃ mārge gacchati yaḥ pumān /	yAtrA kAle paWitvA idam mArge gacCati yaH pumAn /
   na duṣṭacauravyāghrādyairbhayaṃ syātparipanthibhiḥ // NarP_1,77.131 //	na duzwa cOra vyAGra AdyEH Bayam syAt paripanTiBiH // NA rP_1,77.131 //
   japannāsecanaṃ kurvañjalenāñjalinā tanau /	japan= Asecanam kurvan jalena aQjalinA tanO /
   na cāsau viṣakṛtyādirogasphoṭaiḥ prabādhyate // NarP_1,77.132 //	na ca asO viza kRtya Adi roga sPowEH prabADyate // NA rP_1,77.132 //
   kārtavīryaḥ khaladveṣī kṛtavīryasuto balī /	kArtavIryaH Kala dvezI kRtavIrya sutaH balI /
   sahasrabāhuḥ śatrughno raktavāsā dhanurdharaḥ // NarP_1,77.133 //	sahasrabAhuH SatruGnaH rakta vAsAH DanurDaraH // NA rP_1,77.133 //
   raktagandhoraktamālyo rājā smarturabhīṣṭadaḥ /	rakta ganDaH rakta mAlyaH rAjA smartuH aBIzwa daH /
   dvādaśaitāni nāmāni kārtavīryasya yaḥ paṭhet // NarP_1,77.134 //	dvAdaSa etAni nAmAni kArtavIryasya yaH paWet // NA rP_1,77.134 //
   saṃpadastasya jāyante janāstasya vaśe sadā /	saMpadaH tasya jAyante janAH tasya vaSe sadA /
   yaḥ sevate sadā vipra śrīmañcakrāvatārakam // NarP_1,77.135 //	yaH sevate sadA vipra SrI maQcakra avatArakam // NA rP_1,77.135 //
   tasya rakṣāṃ sadā kuryāñcakraṃ viṣṇormahātmanaḥ /	tasya rakzAm sadA kuryAt cakram vizNoH mahAtmanaH /
   mayaitatkavacaṃ vipra dattātreyānmunīśvarāt // NarP_1,77.136 //	mayA etat kavacam vipra dattAtreyAn muni ISvarAt // NA rP_1,77.136 //
   śrutaṃ tubhyaṃ nigaditaṃ dhārayasvākhileṣṭadam // NarP_1,77.137 //	Srutam tuByam nigaditam DAraya sva aKila izwa dam // NA rP_1,77.137 //
   iti śrībṛhannāradīyapurāṇe pūrvabhāge bṛhadupākhyāne tṛtīyapāde	iti SrI bRhat nAradIyapurANe pUrva BAge bRhat upAKyAne tRtIya pAde
   kārtavīryakavacakathanaṃ nāma saptasaptatitomo 'dhyāyaḥ	kArtavIryakavacakaTanam nAma saptasaptatitomaH aDyAyaH
   sanatkumāra uvāca	sanatkumAraH uvAca
   kārtavīryasya kavacaṃ kathitaṃ te munīśvara /	kArtavIryasya kavacam kaTitam te muni ISvara /
   mohavidhvaṃsanaṃ jaitraṃ māruteḥ kavacaṃ śṛṇu // NarP_1,78.1 //	moha viDvaMsanam jEtram mAruteH kavacam SRNu // NA rP_1,78.1 //
   yasya saṃdhāraṇātsadyaḥ sarve naśyantyupadravāḥ /	yasya saMDAraNAt sadyas sarve naSyanti upadravAH /
   bhūtapretārijaṃ duḥkhaṃ nāśameti na saṃśayaḥ // NarP_1,78.2 //	BUta preta ari jam duHKam nASam eti na saMSayaH // NA rP_1,78.2 //
   ekadāhaṃ gato draṣṭuṃ rāmaṃ ramayatāṃ varam /	eka dA aham gataH drazwum rAmam ramayatAm varam /
   ānandavanikāsaṃsthaṃ dhyāyantaṃ svātmanaḥ padam // NarP_1,78.3 //	Ananda vanikA saMsTam DyAyantam sva AtmanaH padam // NA rP_1,78.3 //
   tatra rāmaṃ ramānāthaṃ pūjitaṃ tridaśeśvaraiḥ /	tatra rAmam ramAnATam pUjitam tridaSa ISvarEH /
   namaskṛtya tadādiṣṭamāsanaṃ sthitavān puraḥ // NarP_1,78.4 //	namaskRtya tadAdizwam Asanam sTitavAn puras // NA rP_1,78.4 //
   tatra sarvaṃ mayā vṛttaṃ rāvaṇasya vadhāntakam /	tatra sarvam mayA vRttam rAvaNasya vaDa antakam /
   pṛṣṭaṃ provāca rājendraḥ śrīrāmaḥ svayamādarāt // NarP_1,78.5 //	pRzwam provAca rAja indraH SrI rAmaH svayam AdarAt // NA rP_1,78.5 //
   tataḥ kathānte bhagavānmāruteḥ kavacaṃ dadau /	tatas kaTA ante BagavAn mAruteH kavacam dadO /
   mahyaṃ tatte pravakṣyāmi na prakāśyaṃ hi kutracit // NarP_1,78.6 //	mahyam tat te pravakzyAmi na prakASyam hi kutracid // NA rP_1,78.6 //
   bhaviṣyadetannirddiṣṭaṃ bālabhāvena nārada /	Bavizyat etat nirddizwam bAla BAvena nArada /
   śrīrāmeṇāñjanāsūnāsūnorbhuktimuktipradāyakam // NarP_1,78.7 //	SrI rAmeNa aQjana asUnA sUnoH Bukti mukti pradAyakam // NA rP_1,78.7 //
   hanumān pūrvataḥ pātu dakṣiṇe pavanātmajaḥ /	hanumAn pUrvatas pAtu dakziNe pavanAtmajaH /
   pātu pratīcyāmakṣaghnaḥ saumye sāgaratārakaḥ // NarP_1,78.8 //	pAtu pratIcyAm akza GnaH sOmye sAgara tArakaH // NA rP_1,78.8 //
   ūrddha pātu kapiśreṣṭhaḥ kesaripriyanandanaḥ /	UrdDa pAtu kapi SrezWaH kesari priya nandanaH /
   adhastādviṣṇubhaktastu pātu madhye ca pāvaniḥ // NarP_1,78.9 //	aDastAt vizNu BaktaH tu pAtu maDye ca pAvaniH // NA rP_1,78.9 //
   laṅkāvidāhakaḥ pātu sarvāpadbhyo nirantaram /	laFkA vidAhakaH pAtu sarva ApadByaH nirantaram /
   sugrīvasacivaḥ pātu mastakaṃ vāyunandanaḥ // NarP_1,78.10 //	sugrIva sacivaH pAtu mastakam vAyu nandanaH // NA rP_1,78.10 //
   bhālaṃ pātu mahāvīro bhruvormadhye nirantaram /	BAlam pAtu mahAvIraH BruvoH maDye nirantaram /
   netre chāyāpahārī ca pātu naḥ plavageśvaraḥ // NarP_1,78.11 //	netre CAyA apahArI ca pAtu naH plavaga ISvaraH // NA rP_1,78.11 //
   kapolau karṇamūle ca pātu śrīrāmakiṅkaraḥ /	kapolO karNa mUle ca pAtu SrI rAma kiFkaraH /
   nāsāgramañjanāsūnuḥ pātu vaktraṃ harīśvaraḥ // NarP_1,78.12 //	nAsA agram aQjanA sUnuH pAtu vaktram hari ISvaraH // NA rP_1,78.12 //
   pātu kaṇṭhe tu daityāriḥ skandhau pātu surārijit /	pAtu kaNWe tu dEtyAriH skanDO pAtu surAri jit /
   bhujau pātu mahātejāḥ karau ca caraṇāyudhaḥ // NarP_1,78.13 //	BujO pAtu mahA tejAH karO ca caraNAyuDaH // NA rP_1,78.13 //
   nakhānnākhāyudhaḥ pātu kukṣau pātu kapīśvaraḥ /	naKAt na AKAyuDaH pAtu kukzO pAtu kapi ISvaraH /
   vakṣo mudrāpahārī ca pātu pārśve bhujāyudhaḥ // NarP_1,78.14 //	vakzaH mudrA apahArI ca pAtu pArSve Buja AyuDaH // NA rP_1,78.14 //
   laṅkānibhañjanaḥ pātu pṛṣṭadeśe nirantaram /	laFkA niBaQjanaH pAtu pRzwa deSe nirantaram /
   nābhiṃ śrīrāmabhaktastu kaṭiṃ pātvanilātmajaḥ // NarP_1,78.15 //	nABim SrI rAma BaktaH tu kawim pAtu anilAtmajaH // NA rP_1,78.15 //
   guhyaṃ pātu mahāprajñaḥ sakthinī atithipriyaḥ /	guhyam pAtu mahA prajQaH sakTinI atiTi priyaH /
   ūrū ca jānunī pātu laṅkāprāsādabhañjanaḥ // NarP_1,78.16 //	UrU ca jAnunI pAtu laFkA prAsAda BaQjanaH // NA rP_1,78.16 //
   jaṅghe pātu kapiśreṣṭho gulphau pātu mahābalaḥ /	jaFGe pAtu kapi SrezWaH gulPO pAtu mahA balaH /
   acaloddhārakaḥ pātu pādau bhāskarasannibhaḥ // NarP_1,78.17 //	acala udDArakaH pAtu pAdO BAskara sanniBaH // NA rP_1,78.17 //
   aṅgāni pātu sattvāḍhyaḥ pātu pādāṅgulīḥ sadā /	aFgAni pAtu sattva AXyaH pAtu pAda aFgulIH sadA /
   mukhāṅgāni mahāśūraḥ pātu romāṇi cātmavān // NarP_1,78.18 //	muKa aFgAni mahASUraH pAtu romANi ca AtmavAn // NA rP_1,78.18 //
   divārātrau trilokeṣu sadāgatiluto 'vatu /	divArAtrO tri lokezu sadAgati lutaH avatu /
   sthitaṃ vrajantamāsīnaṃ pibantaṃ jakṣataṃ kapiḥ // NarP_1,78.19 //	sTitam vrajantam AsInam pibantam jakzatam kapiH // NA rP_1,78.19 //
   lokottaraguṇaḥ śrīmān pātu tryaṃbakasaṃbhavaḥ /	loka uttara guNaH SrImAn pAtu tryaMbaka saMBavaH /
   pramattamapramattaṃ vā śayānaṃ gahaneṃ'buni // NarP_1,78.20 //	pramattam apramattam vA SayAnam gahaneM abuni // NA rP_1,78.20 //
   sthaleṃ'tarikṣe hyagnau vā parvate sāgare drume /	sTaleM atarikze hi agnO vA parvate sAgare drume /
   saṃgrāme saṃkaṭe ghore virāṅrūpadharo 'vatu // NarP_1,78.21 //	saMgrAme saMkawe Gore virAFrUpa DaraH avatu // NA rP_1,78.21 //
   ḍākinīśākinīmārīkālarātrimarīcikāḥ /	xAkinI SAkinI mArI kAla rAtri marIcikAH /
   śayānaṃ māṃ vibhuḥ pātu piśācoragarākṣasīḥ // NarP_1,78.22 //	SayAnam mAm viBuH pAtu piSAca uraga rAkzasIH // NA rP_1,78.22 //
   divyadehadharo dhīmānsarvasattvabhayaṅkaraḥ /	divya deha DaraH DImAn sarva sattva BayaFkaraH /
   sādhakendrāvanaḥ śaśvatpātu sarvata eva mām // NarP_1,78.23 //	sADaka indrAvanaH SaSvat pAtu sarvatas eva mAm // NA rP_1,78.23 //
   yadrūpaṃ bhīṣaṇaṃ dṛṣṭvā palāyante bhayānakāḥ /	yat rUpam BIzaNam dRzwvA palAyante BayAnakAH /
   sa sarvarūpaḥ sarvajñaḥ sṛṣṭisthitikaro 'vatu // NarP_1,78.24 //	sa sarva rUpaH sarvajQaH sRzwi sTiti karaH avatu // NA rP_1,78.24 //
   svayaṃ brahmā svayaṃ viṣṇuḥ sākṣāddevo maheśvaraḥ /	svayam brahmA svayam vizNuH sAkzAt devaH maheSvaraH /
   sūryamaṇḍalagaḥ śrīdaḥ pātu kālatraye 'pi mām // NarP_1,78.25 //	sUrya maNxala gaH SrIdaH pAtu kAla traye api mAm // NA rP_1,78.25 //
   yasya śabdamupākarṇya daityadānavarākṣasāḥ /	yasya Sabdam upAkarNya dEtya dAnava rAkzasAH /
   devā manuṣyāstiryañcaḥ sthāvarā jaṅgamāstathā // NarP_1,78.26 //	devAH manuzyAH tiryaQcaH sTAvarAH jaFgamAH taTA // NA rP_1,78.26 //
   sabhayā bhayanirmuktā bhavanti svakṛtānugāḥ /	sa BayA Baya nirmuktAH Bavanti sva kRta anugAH /
   yasyānekakathāḥ puṇyāḥ śrūyante pratikalpake // NarP_1,78.27 //	yasya aneka kaTAH puNyAH SrUyante pratikalpake // NA rP_1,78.27 //
   so 'vatātsādhakaśreṣṭhaṃ sadā rāmaparāyaṇamaḥ /	saH avatAt sADaka SrezWam sadA rAma parAyaNamaH /
   vaidhātradhātṛprabhṛti yatkiñciddṛśyate 'tyalam // NarP_1,78.28 //	vEDAtra DAtR praBRti yat kiQcid dRSyate ati alam // NA rP_1,78.28 //
   viddhvi vyāptaṃ yathā kīśarūpeṇānañjanena tat /	vidDvi vyAptam yaTA kISa rUpeNa anaQjanena tat /
   yo vibhuḥ so 'hameṣo 'haṃ svīyaḥ svayamaṇurbṛhat // NarP_1,78.29 //	yaH viBuH saH aham ezaH aham svIyaH svayam aNuH bRhat // NA rP_1,78.29 //
   ṛgyajuḥsāmarūpaśca praṇavastrivṛdadhvaraḥ /	Rc yajuH sAma rUpaH ca praNavaH trivRt aDvaraH /
   tasmai svasmai ca sarvasmai nato 'smyātmasamādhinā // NarP_1,78.30 //	tasmE svasmE ca sarvasmE nataH asmi Atma samADinA // NA rP_1,78.30 //
   anekānantabrahmāṇḍadhṛte brahmasvarūpiṇe /	aneka ananta brahmANxa DRte brahma svarUpiNe /
   samīraṇātmane tasmai nato 'smyātmasvarūpiṇe // NarP_1,78.31 //	samIraNa Atmane tasmE nataH asmi Atma svarUpiNe // NA rP_1,78.31 //
   namo hanumate tasmai namo mārutasūnave /	namaH hanumate tasmE namaH mAruta sUnave /
   namaḥ śrīrāmabhaktāya śyāmāya mahate namaḥ // NarP_1,78.32 //	namaH SrI rAma BaktAya SyAmAya mahate namaH // NA rP_1,78.32 //
   namo vānara vīrāya sugrīvasakhyakāriṇe /	namaH vAnara vIrAya sugrIva saKya kAriNe /
   saṃkāvidahanāyātha mahāsāgaratāriṇe // NarP_1,78.33 //	saMkAvi dahanAya aTa mahA sAgara tAriNe // NA rP_1,78.33 //
   sītāśokavināśāya rāmamudrādharāya ca /	sItA Soka vinASAya rAma mudrADarAya ca /
   rāvaṇāntanidānāya namaḥ sarvottarātmane // NarP_1,78.34 //	rAvaNa anta nidAnAya namaH sarva uttarAtmane // NA rP_1,78.34 //
   meghanādamakhadhvaṃsakāraṇāya namonamaḥ /	meGanAda maKa DvaMsa kAraNAya namaH namaH /
   aśokavanavidhvaṃsakāriṇe jayadāyine // NarP_1,78.35 //	aSoka vana viDvaMsa kAriNe jaya dAyine // NA rP_1,78.35 //
   vāyuputrāya vīrāya ākāśodaragāmine /	vAyuputrAya vIrAya AkASa udara gAmine /
   vanapālaśiraśchetre laṅkāprāsādabhañjine // NarP_1,78.36 //	vanapAla SiraH Cetre laFkA prAsAda BaQjine // NA rP_1,78.36 //
   jvalatkāñcanavarṇāya dīrghalāṅgūladhāriṇe /	jvalat kAQcana varNAya dIrGa lAFgUla DAriNe /
   saumitrijayadātre ca rāmadūtāya te namaḥ // NarP_1,78.37 //	sOmitri jaya dAtre ca rAma dUtAya te namaH // NA rP_1,78.37 //
   akṣasya vadhakartre ca brahmaśastranivāriṇe /	akzasya vaDa kartre ca brahma Sastra nivAriNe /
   lakṣmaṇāṅgamahāśaktijātakṣatavināśine // NarP_1,78.38 //	lakzmaNa aFga mahA Sakti jAta kzata vinASine // NA rP_1,78.38 //
   rakṣoghnāya ripughnāya bhūtaghnāya namonamaḥ /	rakzaH GnAya ripu GnAya BUta GnAya namaH namaH /
   ṛkṣavānaravīraughaprāsādāya namonamaḥ // NarP_1,78.39 //	Rkza vAnara vIra oGa prAsAdAya namaH namaH // NA rP_1,78.39 //
   parasainyabalaghnāya śastrāstraghnāya te namaḥ /	para sEnya bala GnAya Sastra astra GnAya te namaH /
   viṣaghnāya dviṣaghnāya bhayaghnāya namonamaḥ // NarP_1,78.40 //	viza GnAya dviza GnAya Baya GnAya namaH namaH // NA rP_1,78.40 //
   mahīripubhayaghnāya bhaktatrāṇaikakāriṇa /	mahI ripu Baya GnAya Bakta trANa eka kAriNaH /
   parapreritamantrāṇāṃ mantrāṇāṃ staṃbhakāriṇe // NarP_1,78.41 //	para prerita mantrANAm mantrANAm staMBa kAriNe // NA rP_1,78.41 //
   payaḥ pāṣāṇataraṇakāraṇāya namonamaḥ /	payaH pAzANa taraNa kAraNAya namaH namaH /
   bālārkamaṇḍalagrāsakāriṇe duḥkhahāriṇe // NarP_1,78.42 //	bAla arka maNxala grAsa kAriNe duHKa hAriNe // NA rP_1,78.42 //
   nakhāyudhāya bhīmāya dantāyudhadharāya ca /	naKa AyuDAya BImAya danta AyuDa DarAya ca /
   vihṝṅgamāya śavāya vajradehāya te namaḥ // NarP_1,78.43 //	vihLFgamAya SavAya vajra dehAya te namaH // NA rP_1,78.43 //
   pratigrāmasthitāyātha bhūtapretavadhārthine /	pratigrAma sTitAya aTa BUta preta vaDa arTine /
   karasthaśailaśastrāya rāma śastrāya te namaḥ // NarP_1,78.44 //	kara sTa SEla SastrAya rAma SastrAya te namaH // NA rP_1,78.44 //
   kaupīnavāsase tubhyaṃ rāmabhaktiratāya ca /	kOpIna vAsase tuByam rAma Bakti ratAya ca /
   dakṣiṇāśābhāskarāya satāṃ candrodayātmane // NarP_1,78.45 //	dakziNa ASa ABAskarAya satAm candra udaya Atmane // NA rP_1,78.45 //
   kṛtyākṣatavyathāghnāya sarvakleśaharāya ca /	kRtya akzata vyaTA GnAya sarva kleSa harAya ca /
   svāmyājñāpārthasaṃgrāmasakhyasaṃjayakāriṇe // NarP_1,78.46 //	svAmyAjQApArTa saMgrAma saKya saMjaya kAriNe // NA rP_1,78.46 //
   bhaktānāṃ divyavādeṣu saṃgrāme jayakāriṇe /	BaktAnAm divya vAdezu saMgrAme jaya kAriNe /
   kilkilāvuvakārāya ghoraśabdakarāya ca // NarP_1,78.47 //	kilkilO= uvakArAya Gora Sabda karAya ca // NA rP_1,78.47 //
   sarvāgnivyādhisaṃstaṃbhakāriṇe bhayahāriṇe /	sarva agni vyADi saMstaMBa kAriNe Baya hAriNe /
   sadā vanaphalāhārasaṃtṛptāya viśeṣataḥ // NarP_1,78.48 //	sadA vana Pala AhAra saMtRptAya viSezataH // NA rP_1,78.48 //
   mahārṇavaśilābaddhvasetubandhāya te namaḥ /	mahA arNava SilA badDva setu banDAya te namaH /
   ityetatkathitaṃ vipra māruteḥ kavacaṃ śivam // NarP_1,78.49 //	iti etat kaTitam vipra mAruteH kavacam Sivam // NA rP_1,78.49 //
   yasmai kasmai na dātavyaṃ rakṣaṇīyaṃ prayatnataḥ /	yasmE kasmE na dAtavyam rakzaNIyam prayatnataH /
   aṣṭagandhairvilikhyātha kavacaṃ dhārayettu yaḥ // NarP_1,78.50 //	azwa ganDEH viliKya aTa kavacam DArayet tu yaH // NA rP_1,78.50 //
   kaṇṭhe vā dakṣiṇe bāhau jayastasya pade pade /	kaNWe vA dakziNe bAhO jayaH tasya pade pade /
   kiṃ punarbahunoktena sādhitaṃ lakṣamādarāt // NarP_1,78.51 //	kim punar bahunA uktena sADitam lakzam AdarAt // NA rP_1,78.51 //
   prajaptametatkavacamasādhyaṃ cāpi sādhayet // NarP_1,78.52 //	prajaptam etat kavacam asADyam ca api sADayet // NA rP_1,78.52 //
   iti śrībṛhannāradīyapurāṇe pūrvabhāge bṛhadupākhyāne tṛtīyapāde	iti SrI bRhat nAradIyapurANe pUrva BAge bRhat upAKyAne tRtIya pAde
   hanumatkavacanirūpaṇaṃ nāmāṣṭasaptatitamo 'dhyāyaḥ	hanumatkavacanirUpaNam nAma azwasaptatitamaH aDyAyaH
   sanatkumāra uvāca	sanatkumAraH uvAca
   athāparaṃ vāyusūnoścaritaṃ pāpanāśanam /	aTa aparam vAyusUnoH caritam pApa nASanam /
   yaduktaṃ svāsu rāmeṇa ānandavanavāsinā // NarP_1,79.1 //	yat uktam svAsu rAmeNa Ananda vana vAsinA // NA rP_1,79.1 //
   sadyojāte mahākalpe śrutavīrye hanūmati /	sadyojAte mahAkalpe Sruta vIrye hanUmati /
   mama śrīrāmacandrasya bhaktirastu sadaiva hi // NarP_1,79.2 //	mama SrI rAma candrasya BaktiH aH tu sadA eva hi // NA rP_1,79.2 //
   śṛṇuṣva gadato mattaḥ kumārasya kumāraka /	SRNuzva gadataH mattaH kumArasya kumArakaH /
   caritaṃ sarvapāpaghnaṃ śṛṇvatāṃ paṭhatāṃ sadā // NarP_1,79.3 //	caritam sarva pApa Gnam SRNvatAm paWatAm sadA // NA rP_1,79.3 //
   vāñchāmyahaṃ sadā vipra saṃgamaṃ kīśarūpiṇā /	vAQCAmi aham sadA vipra saMgamam kISa rUpiNA /
   rahasyaṃ rahasi svasya mamānandavanottame // NarP_1,79.4 //	rahasyam rahasi svasya mama Ananda vana uttame // NA rP_1,79.4 //
   parīte 'tra sakhāyo me sakhyaśca vigatajvarāḥ /	parIte atra saKAyaH me saKyaH ca vigata jvarAH /
   krīḍanti sarvadā cātra prākaṭye 'pi rahasyapi // NarP_1,79.5 //	krIxanti sarvadA ca atra prAkawye api rahasi api // NA rP_1,79.5 //
   kasmiṃścidavatāre tu yadvṛttaṃ ca raho mama /	kasmiMScid avatAre tu yat vRttam ca rahaH mama /
   tadatra prakaṭaṃ tubhyaṃ karomi prītamānasaḥ // NarP_1,79.6 //	tat atra prakawam tuByam karomi prIta mAnasaH // NA rP_1,79.6 //
   āvirbhūto 'smyahaṃ pūrvaṃ rājño daśarathakṣaye /	AvirBUtaH asmi aham pUrvam rAjQaH daSaraTa kzaye /
   caturyūhātmakastakatra tasya bhāryātraye mune // NarP_1,79.7 //	catur yUha Atmakastakatra tasya BAryA traye mune // NA rP_1,79.7 //
   tataḥ katipayairabdairāgato dvijapuṅgavaḥ /	tatas katipayEH abdEH AgataH dvija puFgavaH /
   viśvāmitror'thayāmāsa pitaraṃ mama bhūpatim // NarP_1,79.8 //	viSvAmitroH aTayAmAsa pitaram mama BUpatim // NA rP_1,79.8 //
   yakṣarakṣovighātārthaṃ lakṣmaṇena sahaiva mām /	yakza rakzaH viGAta arTam lakzmaNena saha eva mAm /
   preṣayāmāsa dharmātmā siddhāśramamaramyakam // NarP_1,79.9 //	prezayAmAsa Darma AtmA sidDASramam aramyakam // NA rP_1,79.9 //
   tatra gatvāśramamṛberdūṣayantī niśācarau /	tatra gatvA ASrama mRbeH dUzayantI niSAcarO /
   dhvastau subāhumārīcau prasanno 'bhūttadā muniḥ // NarP_1,79.10 //	DvastO subAhu mArIcO prasannaH aBUt tadA muniH // NA rP_1,79.10 //
   astragrāmaṃ dadau mahyaṃ māsaṃ cāvāsayattathā /	astra grAmam dadO mahyam mAsam ca avAsayat taTA /
   tato gādhisutodhīmān jñātvā bhāvyarthamādarāt // NarP_1,79.11 //	tatas gADi sutaH DImAn jQAtvA BAvi arTam AdarAt // NA rP_1,79.11 //
   mithilāmanayattatra raudraṃ cādarśayaddhvanuḥ /	miTilAm anayat tatra rOdram ca AdarSayat DvanuH /
   tasya kanyāṃ paṇībhūtāṃ sītāṃ surasutopamām // NarP_1,79.12 //	tasya kanyAm paNIBUtAm sItAm sura sutA upamAm // NA rP_1,79.12 //
   dhanurvibhajya samiti labdhavānmānino 'sya ca /	DanuH viBajya samiti labDavAn mAninaH asya ca /
   tato mārge bhṛgupaterdarppamūḍhaṃ ciraṃ smayan // NarP_1,79.13 //	tatas mArge BRgupateH darppa mUXam ciram smayan // NA rP_1,79.13 //
   vyaṣanīyāgamaṃ paścādayodhyāṃ svapituḥ purīm /	vyazanIya Agamam paScAt ayoDyAm sva pituH purIm /
   tato rājñāhamājñāya prajāśīlanamānasaḥ // NarP_1,79.14 //	tatas rAjQA aham AjQAya prajA SIlana mAnasaH // NA rP_1,79.14 //
   yauvarājye svayaṃ prītyā saṃmantryātpairvikalpitaḥ /	yOvarAjye svayam prItyA saMmantrya at pEH vikalpitaH /
   tacchutvā supriyā bhāryā kaikaiyī bhūpatiṃ mune // NarP_1,79.15 //	tat SutvA supriyA BAryA kEkEyI BUpatim mune // NA rP_1,79.15 //
   devakāryavidhānārthaṃ vidūṣitamatirjagau /	deva kArya viDAna arTam vidUzita matiH jagO /
   putro me bharato nāma yauvarājye 'bhiṣicyatām // NarP_1,79.16 //	putraH me BarataH nAma yOvarAjye aBizicyatAm // NA rP_1,79.16 //
   rāmaścaturdaśasamā daṇḍakānpravivāsyatām /	rAmaH caturdaSa samAH daNxakAn pravivAsyatAm /
   tadākarṇyā hamudyukto 'raṇyaṃ bhāryānujānvitaḥ // NarP_1,79.17 //	tat AkarNyA ham udyuktaH araNyam BAryA nuja anvitaH // NA rP_1,79.17 //
   gantuṃ nṛpatinānukto 'pyagamaṃ citrakūṭakam /	gantum nRpatinA anuktaH api agamam citrakUwakam /
   tatra nityaṃ vanyaphalairmāṃsaiścāvartitakriyaḥ // NarP_1,79.18 //	tatra nityam vanya PalEH mAMsEH ca Avartita kriyaH // NA rP_1,79.18 //
   nivasanneva rājñastu nidhanaṃ cāpyavāgamam /	nivasan= eva rAjQaH tu niDanam ca api avAgamam /
   tato bharataśatrughnau bhrātarau mama mānadau // NarP_1,79.19 //	tatas Barata SatruGnO BrAtarO mama mAnadO // NA rP_1,79.19 //
   māntṛvargayutau dīnau sācāryāmātyanāgarau /	mAntR varga yutO dInO sa AcArya amAtya nAgarO /
   vyajijñapatamāgatyapañcavaṭyāṃ nijāśramam // NarP_1,79.20 //	vyajijQapatam Agatya paQcavawyAm nija ASramam // NA rP_1,79.20 //
   akalpayaṃ bhrātṛbhāryāsahitaśca trivatsaram /	akalpayam BrAtR BAryA sahitaH ca tri vatsaram /
   tatastrayodaśe varṣe rāvaṇo nāma rākṣasaḥ // NarP_1,79.21 //	tatas trayodaSe varze rAvaNaH nAma rAkzasaH // NA rP_1,79.21 //
   māyayā hṛtavānsītāṃ priyāṃ mama parokṣataḥ /	mAyayA hRtavAn sItAm priyAm mama parokzataH /
   tato 'haṃ dīnavadana ṛṣyamūkaṃ hi parvatam // NarP_1,79.22 //	tatas aham dIna vadanaH RzyamUkam hi parvatam // NA rP_1,79.22 //
   bhāryāmanveṣayanprāptaḥ sakhyaṃ haryadhipena ca /	BAryAm anvezayan prAptaH saKyam hari aDipena ca /
   atha vālinamāhatya sugrīva statpade kṛtaḥ // NarP_1,79.23 //	aTa vAlinam Ahatya sugrIva stad pade kRtaH // NA rP_1,79.23 //
   saha vānarayūthaiśca sāhāyyaṃ kṛtavānmama /	saha vAnara yUTEH ca sAhAyyam kRtavAn mama /
   virudhya rāvaṇenālaṃ mama bhakto vibhīṣaṇaḥ // NarP_1,79.24 //	viruDya rAvaNena alam mama BaktaH viBIzaNaH // NA rP_1,79.24 //
