   Vimalakīrtinirdeśa	Vimala-kIrti-nirdeSa
   / tadyathā mañjuśrīḥ saptamam āyatanam, evaṃ bodhisatvena sarvasatvāḥ	/ tat-yaTA maQjuSrIH saptamam Ayatanam, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ ārūpyeṣu rūpāvabhāsaḥ, evaṃ	pratyavekzitavyAH / tat-yaTA maQjuSrIH ArUpyezu rUpa-avaBAsaH, evam
   bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ	boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH
   paritaptānāṃ bījānām aṅkurapariniṣpattiḥ, evaṃ bodhisatvena sarvasatvāḥ	paritaptAnAm bIjAnAm aFkura-parinizpattiH, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ maṇḍūkaromapravāraḥ, evaṃ	pratyavekzitavyAH / tat-yaTA maQjuSrIH maNxUka-roma-pravAraH, evam
   bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ mṛtasya	boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH mRtasya
   kāmakrīḍāratiḥ, evaṃ bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā	kAma-krIxA-ratiH, evam boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA
   mañjuśrīḥ srotaāpannasya satkāyadṛṣṭiḥ, evaṃ bodhisatvena sarvasatvāḥ	maQjuSrIH srotaApannasya sat-kAya-dRzwiH, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśriḥ sakṛdāgāminas tṛtīyo bhavaḥ, evaṃ	pratyavekzitavyAH / tat-yaTA maQjuSriH sakRdAgAminaH tRtIyaH BavaH, evam
   bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ anāgāmino	boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH anAgAminaH-
   garbhāvakrāntiḥ, evaṃ bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ /	garBAvakrAntiH, evam boDisatvena sarva-satvAH pratyavekzitavyAH /
   tadyathā mañjuśriḥ arhataḥ rāgadoṣamohāḥ, evaṃ bodhisatvena sarvasatvāḥ	tat-yaTA maQjuSriH arhataH rAga-doza-mohAH, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ kṣāntipratilabdhasya bodhisatvasya	pratyavekzitavyAH / tat-yaTA maQjuSrIH kzAnti-pratilabDasya boDisatvasya
   mātsaryadauḥśīlyavyāpādavihiṃsācittāni, evaṃ bodhisatvena sarvasatvāḥ	mAtsarya-dOHSIlya-vyApAda-vihiMsA-citta-ani, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ tathāgatasya kleśavāsanā, evaṃ	pratyavekzitavyAH / tat-yaTA maQjuSrIH taTAgatasya kleSa-vAsanA, evam
   bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ	boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH
   jātyandhasya puruṣasya rūpadarśanam, evaṃ bodhisatvena sarvasatvāḥ	jAti-anDasya puruzasya rUpa-darSanam, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ nirodhasamāpannasyāśvāsāḥ, evaṃ	pratyavekzitavyAH / tat-yaTA maQjuSrIH niroDa-samApannasya-ASvAsAH, evam
   bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ ākāśe	boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH AkASe
   śakunipadam, evaṃ bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā	Sakuni-padam, evam boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA
   mañjuśrīḥ paṇḍakasyendriyasya prādurbhāvaḥ, evaṃ bodhisatvena sarvasatvāḥ	maQjuSrIH paNxakasya-indriyasya prAdurBAvaH, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ bandhyāyāḥ putrapratilambhaḥ, evaṃ	pratyavekzitavyAH / tat-yaTA maQjuSrIH banDyAyAH putra-pratilamBaH, evam
   bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ	boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH
   tathāgatanirmitasyānutpannāḥ kleśāḥ, evaṃ bodhisatvena sarvasatvāḥ	taTAgata-nirmitasya-anutpannAH kleSAH, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ svapnadarśanapratibuddhasya	pratyavekzitavyAH / tat-yaTA maQjuSrIH svapna-darSana-pratibudDasya
   darśanam, evaṃ bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā	darSanam, evam boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA
   mañjuśriḥ aparikalpayataḥ kleśāḥ, evaṃ bodhisatvena sarvasatvāḥ	maQjuSriH aparikalpayataH kleSAH, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ anupādānasyāgneḥ saṃbhavaḥ, evaṃ	pratyavekzitavyAH / tat-yaTA maQjuSrIH anupAdAnasya-agneH saMBavaH, evam
   bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ	boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH
   parinirvṛtasya pratisaṃdhiḥ, evaṃ bodhisatvena sarvasatvāḥ	parinirvRtasya pratisaMDiH, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / evaṃ hi mañjuśrīr bodhisatvena sarvasatvāḥ	pratyavekzitavyAH / evam hi maQjuSrIH boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ /	pratyavekzitavyAH /
   Vkn .6.2 āha: yadi kulaputraivaṃ bodhisatvena sarvasatvāḥ	Vk .6.2 Aha: yadi kula-putra-evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ, kathaṃ punar asya mahāmaitrī bhavati sarvasatveṣu /	pratyavekzitavyAH, kaTam punar asya mahA-mEtrI Bavati sarva-satvezu /
   āha: yadā mañjuśrīḥ bodhisatva evaṃ pratyavekṣate, mayā hy eṣāṃ satvānām	Aha: yadA maQjuSrIH boDisatvaH evam pratyavekzate, mayA hi ezAm satvAnAm
   evaṃ dharmaparijñāyai dharmo deśayitavya iti, ato 'sya bhūtā	evam Darma-parijQAyE DarmaH deSayitavyaH iti, atas asya BUtA
   satvatrāṇamaitrī sarvasatveṣūtpadyate 'nārambaṇatayā, upaśamamaitry	satva-trANa-mEtrI sarva-satvezu-utpadyate anArambaNa-tayA, upaSamamEtry
   anutpādanatayā, niṣparidāhamaitrī niḥkleśatayā, yathāvadmaitrī	anutpAdana-tayA, nizparidAha-mEtrI niHkleSa-tayA, yaTAvat-mEtrI
   tryadhvasamatayā, avirodhamaitry aparyupasthānatayā, advayamaitry	tri-aDva-samatayA, aviroDa-mEtrI aparyupasTAna-tayA, advayam-Etry
   adhyātmabahirdhāsaṃsṛṣṭatayā, akopyamaitry atyantaniṣṭhatayā, dṛḍhamaitrī	aDyAtma-bahirDA-saMsRzwa-tayA, akopya-mEtrI atyanta-nizWatayA, dRXa-mEtrI
   vajradṛḍhābhedyāśayatayā, śuddhamaitrī prakṛtiśuddhatayā, samamaitry	vajra-dRXa-aBedya-ASaya-tayA, SudDa-mEtrI prakRti-SudDa-tayA, samam-EtrI-
   ākāśasamatayā, arhanmaitry arinirghātanatayā, bodhisatvamaitrī	AkASa-samatayA, arhat-mEtrI ari-nirGAtana-tayA, boDisatva-mEtrI
   satvaparipākāsraṃsanatayā, tathāgatamaitrī tathatānubodhanatayā,	satva-paripAka-AsraMsana-tayA, taTAgata-mEtrI taTatA-anuboDana-tayA,
   buddhamaitrī suptasatvaprabodhanatayā, svayambhumaitrī	budDa-mEtrI supta-satva-praboDana-tayA, svayamBu-mEtrI
   svayamabhisaṃbodhanatayā bodhimaitri samarasatayā, asamāropamaitry	svayam-aBisaMboDana-tayA boDimEtri sama-rasa-tayA, asamAropamEtry
   anunayapratighaprahāṇatayā, mahākaruṇāmaitrī mahāyānaparidīpanatayā,	anunaya-pratiGa-prahANa-tayA, mahA-karuNA-mEtrI mahAyAna-paridIpana-tayA,
   aparikhedamaitrī śūnyanairātmyapratyavekṣaṇatayā, dharmadānamaitry	apariKeda-mEtrI SUnya-nErAtmya-pratyavekzaNa-tayA, Darma-dAnam-Etry
   anācāryamuṣṭitayā, śīlamaitrī duḥśīlasatvāvekṣaṇatayā, kṣāntimaitry	anAcArya-muzwitayA, SIla-mEtrI duHSIla-satva-avekzaNa-tayA, kzAnti-m-Etry
   ātmaparākṣaṇyanatayā, vīryamaitrī sarvasatvabhāravahanatayā, dhyānamaitry	Atma-parAkzaNyanatayA, vIrya-mEtrI sarva-satva-BAra-vahana-tayA, DyAnam-EtrI-
   anāsvādanatayā, prajñāmaitrī kālasaṃprāpaṇatayā, upāyamaitrī	anAsvAdana-tayA, prajQA-mEtrI kAla-saMprApaNa-tayA, upAya-mEtrI
   sarvatramukhoddarśanatayā, akuhanamaitry āśayapariśuddhitayā,	sarvatra-muKa-uddarSana-tayA, akuhanam-EtrI ASaya-pariSudDi-tayA,
   aśāṭhyamaitry āśayatayā, adhyāśayamaitrī niraṅgaṇatayā, amāyāmaitry	aSAWya-mEtrI ASayatayA, aDyASaya-mEtrI niraFgaNa-tayA, amAyAm-Etry
   akṛtrimatayā, saukhyamaitrī buddhasaukhyapratiṣṭhāpanatayā / iyaṃ	akRtri-matayA, sOKya-mEtrI budDa-sOKya-pratizWApana-tayA / iyam
   mañjuśrīḥ bodhisatvasya mahāmaitrī /	maQjuSrIH boDisatvasya mahA-mEtrI /
   Vkn .6.3 āha: katarā punar asya mahākaruṇā /	Vk .6.3 Aha: katarA punar asya mahA-karuNA /
   āha: yat kṛtaṃ kṛtaṃ kuśalamūlaṃ sarvasatvebhya utsṛjati /	Aha: yat kRtam kRtam kuSala-mUlam sarva-satveByaH utsRjati /
   āha: katarā punar asya mahāmuditā /	Aha: katarA punar asya mahA-muditA /
   āha: yad datvāttamanā bhavati, na vipratisārī /	Aha: yat datvA-AttamanA Bavati, na vipratisArI /
   āha: katarā punar asya mahopekṣā /	Aha: katarA punar asya mahA-upekzAH /
   āha: yobhayato 'rthatā /	Aha: yoBayatas arTa-tA /
   Vkn .6.4 āha: saṃsārabhayabhītena kiṃ pratipattavyam /	Vk .6.4 Aha: saMsAra-Baya-BItena kim pratipattavyam /
   āha: saṃsārabhayabhītena mañjuśriḥ bodhisatvena buddhamāhātmyaṃ	Aha: saMsAra-Baya-BItena maQjuSriH boDisatvena budDa-mAhAtmyam
   pratipattavyam /	pratipattavyam /
   āha: buddhamāhātmye sthātukāmena kutra sthātavyam /	Aha: budDa-mAhAtmye sTAtu-kAmena kutra sTAtavyam /
   āha: buddhamāhātmye sthātukāmena sarvasatvasamatāyāṃ sthātavyam /	Aha: budDa-mAhAtmye sTAtu-kAmena sarva-satva-samatAyAm sTAtavyam /
   āha: sarvasatvasamatāyāṃ sthātukāmena kutra sthātavyam /	Aha: sarva-satva-samatAyAm sTAtu-kAmena kutra sTAtavyam /
   āha: sarvasatvasamatāyāṃ sthātukāmena sarvasatvapramokṣāya sthātavyam /	Aha: sarva-satva-samatAyAm sTAtu-kAmena sarva-satva-pramokzAya sTAtavyam /
   Vkn .6.5 āha: sarvasatvapramokṣaṃ kartukāmena kiṃ kartavyam /	Vk .6.5 Aha: sarva-satva-pramokzam kartu-kAmena kim kartavyam /
   āha: sarvasatvapramokṣaṃ kartukāmena kleśapramokṣaḥ kartavyaḥ /	Aha: sarva-satva-pramokzam kartu-kAmena kleSa-pramokzaH kartavyaH /
   āha: kleśān utsraṣṭukāmena kathaṃ prayuktena bhavitavyam /	Aha: kleSAn utsrazwu-kAmena kaTam prayuktena Bavitavyam /
   āha: kleśān utsraṣṭukāmena yoniśaḥ prayuktena bhavitavyam /	Aha: kleSAn utsrazwu-kAmena yoniSas prayuktena Bavitavyam /
   āha: kathaṃ prayuktaḥ punar yoniśaḥ prayukto bhavati /	Aha: kaTam prayuktaH punar yoniSas prayuktaH Bavati /
   āha: anutpādānirodhaprayukto yoniśaḥ prayukto bhavati /	Aha: anutpAda-aniroDa-prayuktaH yoniSas prayuktaH Bavati /
   āha: kiṃ notpādayati, kiṃ na nirodhayati /	Aha: kim na-utpAdayati, kim na niroDayati /
   āha: akuśalaṃ notpādayati, kuśalaṃ na nirodhayati /	Aha: akuSalam na-utpAdayati, kuSalam na niroDayati /
   āha: kuśalasyākuśalasya ca kiṃ mūlam /	Aha: kuSalasya-akuSalasya ca kim mUlam /
   āha: satkāyo mūlam /	Aha: satkAyaH mUlam /
   āha: satkāyasya ca punaḥ kiṃ mūlam /	Aha: sat-kAyasya ca punar kim mUlam /
   āha: satkāyasyecchālobhau mūlam /	Aha: sat-kAyasya-icCA-loBO mUlam /
   āha: icchālobhayoḥ kiṃ mūlam /	Aha: icCA-loBayoH kim mUlam /
   āha: icchālobhayor abhūtaparikalpo mūlam /	Aha: icCA-loBayoH aBUta-parikalpaH mUlam /
   Vkn .6.6 āha: abhūtaparikalpasya kiṃ mūlam /	Vk .6.6 Aha: aBUta-parikalpasya kim mUlam /
   āha: abhūtaparikalpasya viparyastā saṃjñā mūlam /	Aha: aBUta-parikalpasya viparyastA saMjQA mUlam /
   āha: viparyastāyāḥ saṃjñāyāḥ kiṃ mūlam /	Aha: viparyastAyAH saMjQAyAH kim mUlam /
   āha: viparyastāyāḥ saṃjñāyā apratiṣṭhā mūlam /	Aha: viparyastAyAH saMjQAyAH apratizWA mUlam /
   āha: apratiṣṭhāyāḥ kiṃ mūlam /	Aha: apratizWAyAH kim mUlam /
   āha: yan mañjuśrīḥ apratiṣṭhānaṃ tasya kiṃ mūlaṃ bhaviṣyati / iti hy	Aha: yat maQjuSrIH apratizWAnam tasya kim mUlam Bavizyati / iti hi-
   apratiṣṭhānamūlapratiṣṭhitāḥ sarvadharmāḥ /	apratizWAna-mUla-pratizWitAH sarva-DarmAH /
   Vkn .6.7 atha yā tatra gṛhe devatā prativasati, sā teṣāṃ bodhisatvānāṃ	Vk .6.7 aTa yA tatra gRhe devatA prativasati, sA tezAm boDisatvAnAm
   mahāsatvānām imaṃ dharmanirdeśaṃ śrutvā tuṣṭodagrāttamanā, audārikam	mahAsatvAnAm imam Darma-nirdeSam SrutvA tuzwa-uda-grAt-ta-manA, OdArikam
   ātmabhāvaṃ saṃdarśya divyaiḥ puṣpais tān mahāsatvāṃs tāṃś ca mahāśrāvakān	Atma-BAvam saMdarSya divyEH puzpEH tAn mahAsatvAn tAn ca mahA-SrAvakAn
   abhyavakirati sma / abhyavakīrṇānāṃ ca tatra yāni bodhisatvānāṃ kāye	aByavakirati sma / aByavakIrNAnAm ca tatra yAni boDisatvAnAm kAye
   puṣpāṇi patitāni, tāni dharaṇitale pratiṣṭhitāni / yāni punar	puzpANi patitAni, tAni DaraNi-tale pratizWitAni / yAni punar-
   mahāśrāvakāṇāṃ kāye puṣpāṇi patitāni, tāni tatraiva sthitāni na bhūmau	mahA-SrAvakANAm kAye puzpANi patitAni, tAni tatra-eva sTitAni na BUmO
   patitāni / tatas te mahāśrāvakā ṛddhiprātihāryaiḥ tāni puṣpāṇy utsṛjanti,	patitAni / tatas te mahA-SrAvakAH RdDi-prAtihAryEH tAni puzpANi utsRjanti,
   na ca patanti /	na ca patanti /
   Vkn .6.8 atha sā devatāyuṣmantaṃ śāriputram evam āha: kiṃ	Vk .6.8 aTa sA devatA-Ayuzmantam SAriputram evam Aha: kim
   bhadantaśāriputra, etāni puṣpāṇy utsṛjasi /	Badanta-SAriputra, etAni puzpANi utsRjasi /
   āha: akalpikāni devate etāni puṣpāṇi / tasmād aham etāni puṣpāṇy apanayāmi	Aha: akalpikAni devate etAni puzpANi / tasmAt aham etAni puzpANi apanayAmi
   devatāha: mā bhadantaśāriputra evaṃ vocaḥ / tat kasmād dhetoḥ / etāni hi	devatA-aha: mA Badanta-SAriputraH evam vocaH / tat kasmAt DetoH / etAni hi
   puṣpāṇi kalpikāni / kiṃ kāraṇam / tathā hy etāni puṣpāṇi na kalpayanti na	puzpANi kalpikAni / kim kAraNam / taTA hi etAni puzpANi na kalpayanti na
   vikalpayanti / sthaviraḥ punaḥ śāriputraḥ kalpayati vikalpayati ca / ye	vikalpayanti / sTaviraH punar SAriputraH kalpayati vikalpayati ca / ye
   bhadantaśāriputra svākhyāte dharmavinaye pravrajyāṃ kalpayanti	Badanta-SAriputra su-AKyAte Darma-vinaye pravrajyAm kalpayanti
   vikalpayanti ca, te 'kalpikāḥ / sthaviras tu kalpayati vikalpayati ca / ye	vikalpayanti ca, te akalpikAH / sTaviraH tu kalpayati vikalpayati ca / ye
   punar na kalpayanti na vikalpayanti, te kalpikāḥ / paśya bhadantaśāriputra	punar na kalpayanti na vikalpayanti, te kalpikAH / paSya Badanta-SAriputra
   eṣāṃ mahāsatvānāṃ kāye puṣpāṇi na śliṣyanti / yathāpi nāma	ezAm mahAsatvAnAm kAye puzpANi na Slizyanti / yaTA-api nAma
   sarvakalpavikalpaprahīṇatvāt / tadyathāpi nāma bhīrukajātīyasya	sarva-kalpa-vikalpa-prahINa-tvAt / tat-yaTA-api nAma BIruka-jAtIyasya
   puruṣasyāmanuṣyā avatāraṃ Iabhante / evam eva saṃsārabhayabhītānāṃ	puruzasya-amanuzyAH avatAram IaBante / evam eva saMsAra-Baya-BItAnAm
   rūpaśabdagandharasaspraṣṭavyāny avatāraṃ labhante / ye punaḥ	rUpa-Sabda-ganDa-rasa-sprazwavyAni avatAram laBante / ye punar-
   sarvasaṃsārakleśabhayavigatāḥ, kiṃ teṣāṃ rūpaśabdagandharasaspraṣṭavyāni	sarva-saMsAra-kleSa-Baya-vigatAH, kim tezAm rUpa-Sabda-ganDa-rasa-sprazwavyAni
   kariṣyanti / yeṣāṃ vāsanāprahīṇā, teṣāṃ kāye puṣpāṇi śliṣyanti / tasmāt	karizyanti / yezAm vAsanA-prahINA, tezAm kAye puzpANi Slizyanti / tasmAt-
   sarvavāsanāprahīṇānāṃ kāye puṣpāṇi na śliṣyanti /	sarva-vAsanA-prahINAnAm kAye puzpANi na Slizyanti /
   Vkn .6.9 atha khalv āyuṣmāñ śāriputras tāṃ devatām etad avocat:	Vk .6.9 aTa Kalu AyuzmAn SAriputraH tAm devatAm etat avocat-:
   kiyacciraniviṣṭā punas tvaṃ devate iha gṛhe /	kiyat-cira-nivizwA punar tvam devate iha gRhe /
   āha: yāvacciraniviṣṭā sthavirasyāryā vimuktiḥ /	Aha: yAvat-cira-nivizwA sTavirasi-a-AryA vimuktiH /
   āha: na cirasthitā tvaṃ devate iha gṛhe /	Aha: na cira-sTitA tvam devate iha gRhe /
   āha: kiyacciraniviṣṭā punaḥ sthavirasyāryā vimuktiḥ /	Aha: kiyat-ciranivizwA punar sTavirasi-a-AryA vimuktiH /
   tataḥ sthaviras tūṣṇīm abhūt /	tatas sTaviraH tUzNIm aBUt /
   āha: kim idānīṃ mahāprajñānām agryaḥ sthaviras tūṣṇīm abhūt / prāptakālaṃ	Aha: kim idAnIm mahA-prajQAnAm agryaH sTaviraH tUzNIm aBUt / prApta-kAlam
   praśnaṃ na visarjayati /	praSnam na visarjayati /
   āha: apravyāhārā hi devate vimuktiḥ / tan na jāne kiṃ vyāharāmīti /	Aha: apravyAhArAH hi devate vimuktiH / tat na jAne kim vyAharAmi-iti /
   āha: yad yad eva sthaviro 'kṣaram udāharati, sarvāṇy etāny akṣarāṇi	Aha: yat yat eva sTaviraH akzaram udAharati, sarvANi etAni akzarANi
   vimuktilakṣaṇāni / tat kasmād dhetoḥ / yā hi sā vimuktiḥ, sā nādhyātmaṃ na	vimukti-lakzaNAni / tat kasmAt DetoH / yA hi sA vimuktiH, sA na-aDyAtmam na
   bahir nobhayam antareṇopalabhyate / evam akṣarāṇy api / tasmāt tarhi	bahis na-uBayam antareNa-upalaByate / evam akzarANi api / tasmAt tarhi
   bhadantaśāriputra mā akṣarāpanayena vimuktiṃ nirdiśa / tat kasmād dhetoḥ /	Badanta-SAriputra mA akzara-apanayena vimuktim nirdiSa / tat kasmAt DetoH /
   sarvadharmasamatā hi vimuktiḥ /	sarva-Darma-sama-tA hi vimuktiH /
   āha: nanu devate rāgadoṣamohavigamād vimuktiḥ /	Aha: nanu devate rAga-doza-moha-vigamAt vimuktiH /
   devatāha: abhimānikānām eṣa nirdeṣo rāgadoṣamohavigamād vimuktir iti / ye	devatA-aha: aBimAnikAnAm eza nirdezaH rAga-doza-moha-vigamAt vimuktiH iti / ye
   nirabhimānikāḥ, teṣāṃ rāgadoṣamohaprakṛtir eva vimuktiḥ /	niraBimAnikAH, tezAm rAga-doza-moha-prakRtiH eva vimuktiH /
   Vkn .6.10 atha khalv āyuṣmāñ śāriputras tāṃ devatām etad avocat: sādhu	Vk .6.10 aTa Kalu AyuzmAn SAriputraH tAm devatAm etat avocat: sADu
   sādhu devate kiṃ tvayā prāptaṃ kiṃ vā sākṣātkṛtam, yasyās ta īdṛśaṃ	sADu devate kim tvayA prAptam kim vA sAkzAtkRtam, yasyAH te IdRSam
   pratibhānam /	pratiBAnam /
   āha: na mayā bhadantaśāriputra kiṃcit prāptaṃ sākṣātkṛtaṃ vā / tena ma	Aha: na mayA Badanta-SAriputra kiMcid prAptam sAkzAtkRtam vA / tena ma
   īdṛśaṃ pratibhānam / yeṣām evaṃ bhavaty asmābhiḥ prāptaṃ vā sākṣātkṛtaṃ	IdRSam pratiBAnam / yezAm evam Bavati asmABiH prAptam vA sAkzAtkRtam
   ceti, te svākhyāte dharmavinaya ābhimānikā ity ucyante /	ceti, te su-AKyAte Darma-vinayaH ABimAnikAH iti ucyante /
   Vkn .6.11 āha: kiṃ tvaṃ devate śrāvakayānikā pratyekabuddhayānikā	Vk .6.11 Aha: kim tvam devate SrAvaka-yAnikA pratyekabudDa-yAnikA
   mahāyānikā vā /	mahAyAnikA vA /
   āha: śrāvakāyānikāsmi śrāvakayānasūcanatayā, pratyekabuddhayānikāsmi	Aha: SrAvaka-Aya-anikA-asmi SrAvaka-yAna-sUcana-tayA, pratyekabudDa-yAnikA-asmi
   pratītyadharmāvatāreṇa, mahāyānikāsmi mahākaruṇānutsṛjanatayā /	pratItya-Darma-avatAreNa, mahAyAnikA-asmi mahA-karuNa-anutsRjana-tayA /
   Vkn .6.12 api tu khalu punar bhadantaśāriputra na campakavanaṃ praviṣṭā	Vk .6.12 api tu Kalu punar Badanta-SAriputra na campaka-vanam pravizwA
   eraṇḍagandhaṃ jighranti / campakavanaṃ tu praviṣṭāś campakagandham eva	eraNxa-ganDam jiGranti / campaka-vanam tu pravizwAH campaka-ganDam eva
   jighranti / evam eva bhadantaśāriputra neha gṛhe buddhadharmaguṇagandhike	jiGranti / evam eva Badanta-SAriputra na-iha gRhe budDa-Darma-guNa-ganDike
   vasantaḥ śrāvakapratyekabuddhagandhaiḥ jighranti / ye 'pi	vasantaH SrAvaka-pratyekabudDa-ganDEH jiGranti / ye api
   bhadantaśāriputra śakrabrahmalokapālā	Badanta-SAriputra Sakra-brahma-lokapAlA
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragā idaṃ gṛhaṃ praviśanti, te	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uragAH idam gRham praviSanti, te
   'py asya satpuruṣasya dharmaśravaṇena	api asya sat-puruzasya Darma-SravaNena
   buddhadharmaguṇagandhenotpāditabodhicittā niṣkrāmanti / dvādaśavarṣāṇy	budDa-Darma-guNa-ganDena-utpAdita-boDi-cittAH nizkrAmanti / dvAdaSa-varzANi-
   upādāya bhadantaśāriputra prativasantyā me na jātu	upAdAya Badanta-SAriputra prativasantyAH me na jAtu
   śrāvakapratyekabuddhasaṃprayuktā kathā śrutapūrvā, nānyatra	SrAvaka-pratyekabudDa-saMprayuktA kaTA Sruta-pUrvA, na-anyatra
   mahāmaitrīmahākaruṇāpratisaṃyuktaivācintyadharmapratisaṃyuktaiva /	mahA-mEtrI-mahA-karuNA-pratisaMyuktA-eva-acintya-Darma-pratisaMyuktA-eva /
   Vkn .6.13 iha bhadantaśāriputra gṛhe 'ṣṭāv āścaryādbhutā dharmāḥ	Vk .6.13 iha Badanta-SAriputra gRhe azwO AScarya-adButAH DarmAH
   satatasamitaṃ saṃdṛśyante / katame 'ṣṭau /	satata-samitam saMdRSyante / katame azwO /
   neha rātrir vā divaso vā prajñāyate sadāvabhāsitam idaṃ gṛhaṃ	na-iha rAtriH vA divasaH vA prajQAyate sadA-avaBAsitam idam gRham
   suvarṇavarṇayā prabhayā / neha sūryācandramasau prajñāyete, na bhrājete /	suvarNa-varNayA praBayA / na-iha sUryAcandramasO prajQAyete, na BrAjete /
   ayaṃ prathama āścaryādbhuto dharmaḥ /	ayam praTamaH AScarya-adButaH DarmaH /
   punar aparaṃ bhadantaśāriputra ye praviśantīdaṃ gṛham, teṣāṃ	punar aparam Badanta-SAriputra ye praviSanti-idam gRham, tezAm
   samanantarapraviṣṭānāṃ sarvakleśā na bādhante / ayaṃ dvitīya āścaryādbhuto	samanantara-pravizwAnAm sarva-kleSAH na bADante / ayam dvitIyaH AScarya-adButaH-
   dharmaḥ /	DarmaH /
   punar aparaṃ bhadantaśāriputra idaṃ gṛham avirahitaṃ śakrabrahmalokapālair	punar aparam Badanta-SAriputraH idam gRham avirahitam Sakra-brahma-lokapAlEH-
   anyabuddhakṣetrasaṃnipatitaiś ca bodhisatvaiḥ / ayaṃ tṛtīya āścaryādbhuto	anya-budDa-kzetra-saMnipatitEH ca boDisatvEH / ayam tRtIyaH AScarya-adButaH-
   dharmaḥ /	DarmaH /
   punar aparaṃ bhadantaśāriputra idaṃ gṛhaṃ satatasamitam avirahitaṃ	punar aparam Badanta-SAriputraH idam gRham satata-samitam avirahitam
   dharmaśravaṇena ṣaṭpāramitāpratisaṃyuktayā kathayāvivartyadharmakathayā ca	Darma-SravaNena zaz-pAramitA-pratisaMyuktayA kaTayA-vivarti-aDarma-kaTayA ca
