   namo buddhāya |	namaH budDAya |
   vyāpṛtāv api vikalpo 'ntaḥ / avyāpṛtāv api jñānasya buddhipūrvāṃ kriyāṃ	vyApRtO api vikalpaH antar / avyApRtO api jQAnasya budDi-pUrvAm kriyAm
   niḥsāmarthyaṃ vā kalpayataḥ / etasya vikalpadvayāntasya parivarjanārthaṃ /	niHsAmarTyam vA kalpayataH / etasya vikalpa-dvaya-antasya parivarjana-arTam /
   tailapradyotadṛṣṭāntaḥ /	tEla-pradyota-dRzwAntaH /
   ajanmatve 'pi vikalpo 'ntaḥ samakālatve 'pi yadi pratipakṣasyānutpattiṃ vā	ajanma-tve api vikalpaH antar sama-kAla-tve api yadi pratipakzasya-anutpattim vA
   kalpayati saṃkleśasyaiva vā dīrghakālatvam etasya vikalpadvayāntasya	kalpayati saMkleSasya-eva vA dIrGa-kAla-tvam etasya vikalpa-dvaya-antasya
   parivarjanārthaṃ dvitīyas tailapradyotadṛṣṭāntaḥ /	parivarjana-arTam dvitIyaH tEla-pradyota-dRzwAntaH /
   uktāntadvayaparivarjane pratipattiḥ /	ukta-anta-dvaya-parivarjane pratipattiH /
   [e. Viśisṭā cāviśiṣṭā ca pratipattiḥ]	[e. ViSiswA ca-aviSizwA ca pratipattiH]
   viśiṣṭā cāviśiṣṭā ca pratipattiḥ / katamā /	viSizwA ca-aviSizwA ca pratipattiH / katamA /
   viśiṣṭā cāviśiṣṭā ca jñeyā daśasu bhūmiṣu /	viSizwA ca-aviSizwA ca jQeyAH daSasu BUmizu /
   yasyāṃ bhūmau yā pāramitātiriktatarā sā tatra viśiṣṭā sarvāsu ca sarvatra	yasyAm BUmO yA pAramitA-atiriktatarA sA tatra viSizwA sarvAsu ca sarvatra
   samudāgacchatīty aviśiṣṭā /	samudAgacCati-iti aviSizwAH /
   uktaṃ pratipattyānuttaryaṃ /	uktam pratipattyA-anuttaryam /
   [3. Ālambanānuttarya]	[3. Ālambana-anuttarya]
   ālambanānuttaryaṃ / katamat /	AlambanAn-uttaryam / katamat /
   vyavasthānaṃ tathā dhātuḥ sādhyasādhanadhāraṇā // V.27	vyavasTAnam taTA DAtuH sADya-sADana-DAraNA // V.27
   avadhārapradhārā ca prativedhaḥ pratānatā /	avaDAra-praDArA ca prativeDaH pratAna-tA /
   (Mvbh 74)	(MvB 74)
   pragamaḥ praśaṭhatvaṃ ca prakarṣālambanaṃ mataṃ // V.28	pragamaH praSaWa-tvam ca prakarza-Alambanam matam // V.28
   ity etat / dvādaśavidham ālambanaṃ / yad uta	iti etat / dvAdaSaviDam Alambanam / yat uta
   dharmaprajñaptivyavasthānālambanaṃ dharmadhātvālambanaṃ sādhyālambanaṃ	Darma-prajQapti-vyavasTAna-Alambanam DarmaDAtu-Alambanam sADya-Alambanam
   sādhanālambanaṃ / dhāraṇālambanaṃ avadhāraṇālambanaṃ / pradhāraṇālambanaṃ	sADana-Alambanam / DAraNa-Alambanam avaDAraNa-Alambanam / praDAraNa-Alambanam
   / prativedhālambanaṃ / pratānatālambanaṃ / pragamālambanaṃ /	/ prativeDa-Alambanam / pratAnatA-Alambanam / pragama-Alambanam /
   praśaṭhatvālambanaṃ prakarṣālambanaṃ ca / tatra prathamaṃ ye pāramitādayo	praSaWa-tva-Alambanam prakarza-Alambanam ca / tatra praTamam ye pAramitA-AdayaH-
   dharmā vyavasthāpyante / dvitīyan tathatā tṛtīyacaturthe te eva	DarmAH vyavasTApyante / dvitIyan taTatA tRtIya-caturTe te eva
   yathākramaṃ dharmadhātuprativedhena pāramitādidharmādhigamāt / pañcamaṃ	yaTAkramam DarmaDAtu-prativeDena pAramitA-Adi-Darma-aDigamAt / paQcamam
   śrutamayajñānālambanaṃ / ṣaṣṭhaṃ / cintāmayasyāvagamya dhāraṇāt / saptamaṃ	Sruta-maya-jQAna-Alambanam / zazWam / cintA-mayasya-avagamya DAraNAt / saptamam
   bhāvanāmayasya pratyātmaṃ dhāraṇāt / aṣṭamaṃ prathamāyāṃ bhūmau	BAvanA-mayasya pratyAtmam DAraNAt / azwamam praTamAyAm BUmO
   darśanamārgasya / navamaṃ bhāvanāmārgasya yāvat saptamyāṃ bhūmau / daśamaṃ	darSana-mArgasya / navamam BAvanA-mArgasya yAvat saptamyAm BUmO / daSamam
   tatraiva laukikalokottarasya mārgasya / prakāraśo dharmādhigamāt /	tatra-eva lOkika-lokottarasya mArgasya / prakAraSas Darma-aDigamAt /
   ekādaśam aṣṭamyāṃ bhūmau dvādaśaṃ navamyādibhūmitraye tad eva hi	ekAdaSam azwamyAm BUmO dvAdaSam navamya-Adi-BUmi-traye tat eva hi
   prathamadvayaṃ / tasyān tasyām avasthāyāṃ tattadālambanaṃ nāma labhate /	praTama-dvayam / tasyAn tasyAm avasTAyAm tat-tadAlambanam nAma laBate /
   uktam ālambanaṃ //	uktam Alambanam //
   [4. Samudāgamānuttarya]	[4. SamudAgamAnuttarya]
   samudāgamaḥ katamaḥ /	samudAgamaH katamaH /
   avaikalyāpratikṣepo 'vikṣepaś ca prapūraṇā /	avEkalya-apratikzepaH avikzepaH ca prapUraNAH /
   samutpādo nirūḍhiś ca karmaṇyatvāpratiṣṭhitā /	samutpAdaH nirUXiH ca karmaNyatva-apratizWitA /
   nirāvaraṇatā tasyāprasrabdhisamudāgamaḥ // V.29	nirAvaraNa-tA tasya-aprasrabDi-samudAgamaH // V.29
   ity eṣa daśavidhaḥ samudāgamaḥ / tatra pratyayāvaikalyaṃ /	iti eza daSaviDaH samudAgamaH / tatra pratyaya-avEkalyam /
   gotrasamudāgamaḥ / (Mvbh 75) mahāyānāpratikṣepo 'dhimuktisamudāgamaḥ /	gotra-samudAgamaH / (MvB 75) mahAyAna-apratikzepaH aDimukti-samudAgamaH /
   hīnayānāvikṣepaś cittotpādasamudāgamaḥ / pāramitāparipūraṇā	hIna-yAna-avikzepaH citta-utpAda-samudAgamaH / pAramitA-paripUraNA
   pratipattisamudāgamaḥ / āryamārgotpādo niyāmāvakrāntisamudāgamaḥ /	pratipatti-samudAgamaH / Arya-mArga-utpAdaH niyAma-avakrAnti-samudAgamaH /
   kuśalamūlanirūḍhiḥ dīrghakālaparicayāt satvaparipākasamudāgamaḥ [/]	kuSala-mUla-nirUXiH dIrGa-kAla-paricayAt satva-paripAka-samudAgamaH [/]
   cittakarmaṇyatvaṃ kṣetrapariśuddhisamudāgamaḥ / saṃsāranirvāṇāpratiṣṭhatā	citta-karmaNya-tvam kzetra-pariSudDi-samudAgamaH / saMsAra-nirvANa-apratizWatA
   avinivartanīyabhūmivyākaraṇalābhasamudāgamaḥ saṃsāranirvāṇābhyām	avinivartanIya-BUmi-vyAkaraNa-lABa-samudAgamaH saMsAra-nirvANAByAm
   avinivartanāt / nirāvaraṇatā buddhabhūmisamudāgamaḥ / tadaprasrabdhir	avinivartanAt / nirAvaraNa-tA budDa-BUmi-samudAgamaH / tad-aprasrabDiH-
   bodhisaṃdarśanasamudāgamaḥ [//]	boDi-saMdarSana-samudAgamaH [//]
   [Śāstranāmavyākhyāna]	[ŚAstra-nAma-vyAKyAna]
   ity etac	iti etat-
   chāstraṃ madhyavibhāgaṃ hi	CAstram maDya-viBAgam hi
   madhyamāpratipatprakāśanāt madhyāntavibhāgam apy etan madhyasyāntayoś ca	maDyama-apratipad-prakASanAt maDya-anta-viBAgam api etat maDyasya-antayoH ca
   prakāśanāt / ādyaparavarjitasya madhyasya vā /	prakASanAt / Adya-para-varjitasya maDyasya vA /
   gūḍhasārārtham eva ca /	gUXa-sAra-arTam eva ca /
   tarkasyāgocaratvāt paravādibhir abhedyatvāc ca yathākramaṃ /	tarkasya-agocara-tvAt para-vAdiBiH aBedya-tvAt ca yaTAkramam /
   mahārthaṃ caiva /	mahA-arTam ca-eva /
   svaparādhikārāt /	sva-para-aDikArAt /
   sarvārthaṃ /	sarva-arTam /
   yānatrayādhikārāt /	yAna-traya-aDikArAt /
   sarvānarthapraṇodanaṃ // V.30	sarva-anarTa-praNodanam // V.30
   (Mvbh 76)	(MvB 76)
   kleśajñeyāvaraṇaprahāṇāvāhanāt /	kleSa-jQeya-AvaraNa-prahANa-AvAhanAt /
   [Yānānuttaryapiṇḍārtha]	[YAnA-anuttarya-piNxa-arTa]
   ānuttaryasya piṇḍārthaḥ / samāsatas trividham ānuttaryaṃ pratipattiḥ (/)	Anuttaryasya piNxa-arTaH / samAsatas triviDam Anuttaryam pratipattiH (/)
   pratipattyādhāraḥ pratipattiphalaṃ caiva / sā ca pratipattir yādṛśī paramā	pratipatti-ADAraH pratipatti-Palam ca-eva / sA ca pratipattiH yAdRSI paramA
   / yena ca	/ yena ca
   yathāprajñaptito dharmamahāyānamanaskriyā (V. 7ab)	yaTAprajQaptitaH Darma-mahA-yAna-manaskriyA (V. 7ab)
   ity evamādinā / yathā yena prakāreṇāvikṣepapariṇatā ca śamathabhāvanayā	iti evamAdinA / yaTA yena prakAreNa-avikzepa-pariNatA ca SamaTa-BAvanayA
   aviparyāsapariṇatā ca vipaśyanābhāvanayā/ yadarthaṃ ca madhyamayā	aviparyAsa-pariNatA ca vipaSyana-aBA=-anayA/ yad-arTam ca maDyamayA
   pratipadā niryāṇārthaṃ / yatra ca	pratipadA niryANa-arTam / yatra ca
   daśasu bhūmiṣu (V. 27b) /	daSasu BUmizu (V. 27b) /
   viśiṣṭā cāviśiṣṭā ca (V. 27a) /	viSizwA ca-aviSizwA ca (V. 27a) /
   aviparyāsānāṃ piṇḍārthaḥ / vyañjanāviparyāsena śamathanimittaṃ	aviparyAsAnAm piNxa-arTaH / vyaQjana-aviparyAsena SamaTa-nimittam
   pratividhyati / arthāviparyāsena vipaśyanānimittaṃ pratividhyati /	prativiDyati / arTa-aviparyAsena vipaSyanA-nimittam prativiDyati /
   manaskārāviparyāsena viparyāsanidānaṃ parivarjayati / avisārāviparyāsena	manaskAra-aviparyAsena viparyAsanidAnam parivarjayati / avisAra-aviparyAsena
   tannimittaṃ sugṛhītaṃ karoti / svalakṣaṇāviparyāsena	tad-nimittam su-gRhItam karoti / sva-lakzaNa-aviparyAsena
   tatpratipakṣeṇāvikalpaṃ mārgaṃ bhāvayati / sāmānyalakṣaṇāviparyāsena	tad-pratipakzeNa-avikalpam mArgam BAvayati / sAmAnya-lakzaNa-aviparyAsena
   vyavadānaprakṛtiṃ pratividhyati / aśuddhiśuddhimanaskārāviparyāsena	vyavadAna-prakRtim prativiDyati / aSudDi-SudDim-anaskAra-aviparyAsena
   tadāvaraṇaprahīṇāprahīṇatāṃ prajānāti / tadāgantukatvāviparyāsena	tad-AvaraNa-prahINa-aprahINa-tAm prajAnAti / tad-Agantuka-tva-aviparyAsena
   saṃkleśavyavadānaṃ yathābhūtaṃ prajānāti / atrāsānunnatyaviparyāsena	saMkleSa-vyavadAnam yaTABUtam prajAnAti / atra-AsAn-unnatya-viparyAsena
   nirāvaraṇe niryāti /	nirAvaraNe niryAti /
   ānuttaryaparicchedaḥ pañcamaḥ //	Anuttarya-paricCedaH paQcamaH //
   (Mvbh 77)	(MvB 77)
   // samāpto madhyāntavibhāgaḥ //	// samAptaH maDya-anta-viBAgaH //
   // vyākhyām imām upanibadhya yad asti puṇyaṃ	// vyAKyAm imAm upanibaDya yat asti puNyam
   puṇyodayāya mahato jagatas tad astu /	puNya-udayAya mahataH jagataH tat astu /
   jñānodayāya ca yato 'bhyudayaṃ mahāntaṃ	jQAna-udayAya ca yatas aByudayam mahAntam
   bodhitrayaṃ ca na cirāj jagad aśnuvīta //	boDi-trayam ca na cirAt jagat aSnuvIta //
   iti //	iti //
   madhyāntavibhāgakārikābhāṣyaṃ samāptam //	maDya-anta-viBAga-kArikA-BAzyam samAptam //
   // kṛtir ācāryabhadantavasubandhoḥ /	// kRtiH AcArya-BadantavasubanDoH /
