   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   sa cidvimarśasacivaḥ sadaiva pravijṛmbhate // 1.1027 //	sa cit-vimarSa-sacivaH sadA-eva pravijRmBate // 1.1027 //
   tata eva ca māyīyā varṇāḥ sūtiṃ vitenire	tatas eva ca mAyIyAH varNAH sUtim vitenire
   teṣāṃ te khalv amāyīyā vīryam ity avadhāryate // 1.1028 //	tezAm te Kalu amAyIyAH vIryam iti avaDAryate // 1.1028 //
   tathā hi paravākyeṣu śruteṣv āvṛṇute nijā	taTA hi para-vAkyezu Srutezu AvRNute nijA
   pramā yasya jaḍo nāsau tatrārthe yāti mātṛtām // 1.1029 //	pramA yasya jaxaH na-asO tatra-arTe yAti mAtR-tAm // 1.1029 //
   yasya tu svapramā bodhe praviśed bhedagarbhagā	yasya tu sva-pramA boDe praviSet Beda-garBa-gA
   māyīyavarṇapuñje sve sa pramātṛtvam ṛcchati // 1.1030 //	mAyIya-varNa-puQje sve sa pramAtR-tvam RcCati // 1.1030 //
   yathā yathā cākṛtakaṃ tadrūpam atiricyate	yaTA yaTA ca-akRtakam tat-rUpam atiricyate
   tathā tathā camatkāratāratamyaṃ prakalpyate // 1.1031 //	taTA taTA camatkAra-tAratamyam prakalpyate // 1.1031 //
   tadudrekamahattve tu pratibhātmani niṣṭhitāḥ	tad-udreka-mahat-tve tu pratiBA-Atmani nizWitAH
   dhruvaṃ kavitvavaktṛtvaśālitāṃ yānti sarvataḥ // 1.1032 //	Druvam kavi-tva-vaktR-tva-SAli-tAm yAnti sarvatas // 1.1032 //
   ata eva hi vāksiddhau varṇānāṃ samupāsyatā	atas eva hi vAc-sidDO varNAnAm samupAsyatA
   teṣām eva tatas tena guptā guptena bhāṣitāḥ // 1.1033 //	tezAm eva tatas tena guptAH guptena BAzitAH // 1.1033 //
   tato yāvadvibhoḥ śaśvadviśrāntir yugapadbahūn	tatas yAvat-viBoH SaSvat-viSrAntiH yugapad-bahUn
   varṇān udṛṅkya bhogāṃśaparipūraṇasusthitān // 1.1034 //	varNAn udRFkya Boga-aMSa-paripUraNa-su-sTitAn // 1.1034 //
   tāvad eva padādhvāsau meyabhūmim upāśritaḥ	tAvat eva padADvA-asO meya-BUmim upASritaH
   saṃsāramṛtasaṃketasaṃghāte prathamāṅkuraḥ // 1.1035 //	saMsAra-mRta-saMketa-saMGAte praTama-aFkuraH // 1.1035 //
   evaṃ prameyatā mātṛbhāvo mānatvam apy atha	evam prameya-tA mAtR-BAvaH mAna-tvam api aTa
   ṣaṭtriṃśadātmanas tattvakalāpasyeti niścitam // 1.1036 //	zawtriMSat-AtmanaH tattva-kalApasya-iti niScitam // 1.1036 //
   tatra sarvaṃ vibhāty etat parameśitari dhruve	tatra sarvam viBAti etat parameSitari Druve
   pratibimbasvarūpeṇa na tu bāhyatayā yataḥ // 1.1037 //	pratibimba-svarUpeNa na tu bAhya-tayA yatas // 1.1037 //
   cidvyomny eva śive tattaddehādimatir īdṛśī	cit-vyomni eva Sive tad-tad-deha-Adi-matiH IdRSI
   bhinnā saṃsāriṇāṃ bhāti rajjau sarpādikā yathā // 1.1038 //	BinnA saMsAriNAm BAti rajjO sarpa-AdikAH yaTA // 1.1038 //
   yataḥ prāgdehamaraṇasiddhāntaḥ svapnagocaraḥ	yatas prAc-deha-maraNa-sidDAntaH svapna-gocaraH
   dehāntarādir maraṇāt kīdṛg vā dehasaṃbhavaḥ // 1.1039 //	deha-antara-AdiH maraNAt kIdRS vA deha-saMBavaH // 1.1039 //
   svapne tu pratibhāmātrasāmānyaprathanād balāt	svapne tu pratiBA-mAtra-sAmAnya-praTanAt balAt-
   viśeṣāḥ pratibhāsante na bhāvyante 'pi te tathā // 1.1040 //	viSezAH pratiBAsante na BAvyante api te taTA // 1.1040 //
   sāligrāmopalāḥ kecic citrākṛtihṛdo yathā	sa-ali-grAma-upalAH kecid citra-AkRti-hRdaH yaTA
   tathā māyādibhūmyantalekhāś citrahṛdayaś citaḥ // 1.1041 //	taTA mAyA-Adi-BUmi-anta-leKAH citra-hRdayaH citaH // 1.1041 //
   nagarārṇavaśailādyās tadicchānuvidhāyinaḥ	nagara-arNava-SEla-AdyAH tad-icCA-anuviDAyinaH
   na svayaṃ sadasadrūpakāraṇākaraṇātmakāḥ // 1.1042 //	na svayam sat-asat-rUpa-kAraNa-akaraNa-AtmakAH // 1.1042 //
   ciraprarūḍhe niyame samucchedāt pravartanāt	cira-prarUXe niyame samucCedAt pravartanAt-
   arūḍhe 'pi svatantro 'yaṃ sthitaś cidvyomabhairavaḥ // 1.1043 //	arUXe api svatantraH ayam sTitaH cit-vyoma-BEravaH // 1.1043 //
   ekacinmātrasaṃpūrṇabhairavābhedabhāgini	ekacit-mAtra-saMpUrNa-BErava-aBeda-BAgini
   evam asmīty anāmarśo bhedako bhāvamaṇḍale // 1.1044 //	evam asmi-iti anAmarSaH BedakaH BAva-maNxale // 1.1044 //
   sarvapramāṇair no siddhaṃ svapne kartrantaraṃ yathā	sarva-pramANEH no sidDam svapne kartR-antaram yaTA
   svasaṃvidaḥ svatantrāyās tathā sargo 'pi budhyatām // 1.1045 //	sva-saMvidaH svatantrAyAH taTA sargaH api buDyatAm // 1.1045 //
   cittacitrapurodyāne krīḍann evaṃ hi vetti yaḥ	citta-citra-pura-udyAne krIxan evam hi vetti yaH
   aham eva sthito bhāvair bhūtaiś cinmātrakair iti // 1.1046 //	aham eva sTitaH BAvEH BUtEH cit-mAtrakEH iti // 1.1046 //
   evaṃ jāto mṛto 'smīti janmamṛtyuvicitratāḥ	evam jAtaH mRtaH asmi-iti janma-mRtyu-vicitra-tAH
   ajanmany amṛtau bhānti cittabhittau svakalpināḥ // 1.1047 //	ajanmani amRtO BAnti citta-BittO sva-kalpinAH // 1.1047 //
   parehasaṃvidāmātraṃ paralokehalokatā	pareha-saMvidA-mAtram para-loka-iha-lokatA
   kiṃtv akālakalāsaṃviddeśabhede 'py abhedinī // 1.1048 //	kiMtu akAla-kalA-saMvid-deSa-Bede api aBedinI // 1.1048 //
   abhaviṣyad ayaṃ sargo mūrtaś cen na tu cinmayaḥ	aBavizyat ayam sargaH mUrtaH ced na tu cit-mayaH
   tad avekṣyata tanmadhyāt kenaiko 'pi dharādharaḥ // 1.1049 //	tat avekzyata tad-maDyAt kena-ekaH api DarADaraH // 1.1049 //
   bhūtatanmātravargāder ādhārādheyacarcane	BUta-tanmAtra-varga-AdeH ADAra-ADeya-carcane
   ante saṃvinmayī śaktiḥ śivarūpaiva dhāriṇī // 1.1050 //	ante saMvid-mayI SaktiH Siva-rUpA-eva DAriNI // 1.1050 //
   tasmāt pratītir evetthaṃ kartrī sā pratibhā śivaḥ	tasmAt pratItiH eva-itTam kartrI sA pratiBA SivaH
   atra svātmani te tena śaktiḥ sādhārasaṃjñitā // 1.1051 //	atra sva-Atmani te tena SaktiH sa-ADAra-saMjQitAH // 1.1051 //
   sāṃkalpikaṃ nirādhāram api naiva pataty adhaḥ	sAMkalpikam nirADAram api na-eva patati aDas-
   svādhāraśaktau viśrānter viśvam itthaṃ vimṛśyatām // 1.1052 //	sva-ADAra-SaktO viSrAnteH viSvam itTam vimRSyatAm // 1.1052 //
   asyā ghanāham ityādirūḍher eva dharāditā	asyAH GanA-aham ityAdirUXeH eva DarA-AditA
   yāvad ante cidasmīti nirvṛttā bhairavātmatā // 1.1053 //	yAvat ante cit-asmi-iti nirvRttA BErava-Atma-tA // 1.1053 //
   maṇāv indrāyudhe bhāsa iva nīlādayaḥ śive	maNO indrAyuDe BAsaH iva nIla-AdayaH Sive
   paramārthata eṣāṃ tu nodayavyayayogitā // 1.1054 //	paramArTataH ezAm tu na-udaya-vyayayogitAH // 1.1054 //
   deśe kāle 'tra vā sṛṣṭir ity etad asamañjasam	deSe kAle atra vA sRzwiH iti etat asamaQjasam
   cidātmano hi devasya sṛṣṭir dikkālayor api // 1.1055 //	cit-AtmanaH hi devasya sRzwiH diS-kAlayoH api // 1.1055 //
   jāgarābhimate sārdhahastatritayagocare	jAgara-aBimate sArDa-hasta-tritaya-gocare
   prahare ca pṛthaksvapnāś citradikkālamāninaḥ // 1.1056 //	prahare ca pRTak-svapnAH citra-diS-kAla-mAninaH // 1.1056 //
   ata eva kṣaṇaṃ nāma na kiṃcid api manmahe	atas eva kzaNam nAma na kiMcid api manmahe
   kriyākṣaṇe 'pi hy ekasmin bahvyaḥ santi drutāḥ kriyāḥ // 1.1057 //	kriyAkzaNe api hi ekasmin bahvyaH santi drutAH kriyAH // 1.1057 //
   tena ye bhāvasaṃkocaṃ kṣaṇāntaṃ pratipedire	tena ye BAva-saMkocam kzaNa-antam pratipedire
   te nūnam anayā nālyā śūnyadṛṣṭyavalambinaḥ // 1.1058 //	te nUnam anayA nAlyA SUnya-dRzwi-avalambinaH // 1.1058 //
   tad ya eva sato bhāvāñ śūnyīkatuṃ tahtāsataḥ	tat yaH eva sataH BAvAn SUnyIkatum tahtAsataH
   sphuṭīkartuṃ svatantratvād īśaḥ sa parameśvaraḥ // 1.1059 //	sPuwIkartum svatantra-tvAt ISaH sa parameSvaraH // 1.1059 //
   tad itthaṃ parameśāno viśvarūpaḥ pragīyate	tat itTam parameSAnaH viSva-rUpaH pragIyate
   na tu bhinnasya kasyāpi dharāder upapannatā // 1.1060 //	na tu Binnasya kasya-api DarA-AdeH upapannatA // 1.1060 //
   uktaṃ caitat puraiveti na bhūyaḥ pravivicyate	uktam ca-etat purA-eva-iti na BUyas pravivicyate
   bahubhiś cāpi bāhyārthadūṣaṇā pravyaracyata // 1.1061 //	bahuBiH ca-api bAhya-arTa-dUzaNA pravyaracyate // 1.1061 //
   nanv itthaṃ janmamaraṇe karmaṇaḥ phalayogitā	nanu itTam janma-maraNe karmaNaH Palayogi-tA
   kathaṃ syāt kin nu pūrvoktaṃ citsvātantryaṃ suvisṛmtam // 1.1062 //	kaTam syAt kid nu pUrva-uktam cit-svAtantryam su-visRmtam // 1.1062 //
   tathā hi citsvatantreyaṃ yathā bhāsayate tathā	taTA hi cit-svatantrA-iyam yaTA BAsayate taTA
   satyaṃ bhāty akhilākāragarbhā sā ceti niścitam // 1.1063 //	satyam BAti aKila-AkAra-garBA sA ca-iti niScitam // 1.1063 //
   ikṣau pratyaṇu mādhuryaṃ yathā sarvātmanā tathā	ikzO pratyaNu mADuryam yaTA sarva-AtmanA taTA
   pratyekaparamāṇau hi sarvasṛṣṭimayī sthitiḥ // 1.1064 //	pratyeka-paramANO hi sarva-sRzwi-mayI sTitiH // 1.1064 //
   ajñātatattvamūlās tu vivadante 'tra ye budhāḥ	ajQAta-tattva-mUlAH tu vivadante atra ye buDAH
   nūnaṃ nijamanorājyarakṣāyai te samudyatāḥ // 1.1065 //	nUnam nija-manaH-rAjya-rakzAyE te samudyatAH // 1.1065 //
   prāṇe khe citi bāhye vā kutrāpīdam iti bhramaḥ	prANe Ke citi bAhye vA kutra-api-idam iti BramaH
   ajñatvāt tanniyatyutthasvātantryābhāvajṛmbhitaḥ // 1.1066 //	ajQa-tvAt tad-niyati-utTa-svAtantrya-aBAva-jRmBitaH // 1.1066 //
   ataḥ svasaṃvidāmarśo janmatveneha bhāsate	atas sva-saMvid-AmarSaH janma-tvena-iha BAsate
   purastāt tu na saṃvittiḥ svātantryocitarūpiṇī // 1.1067 //	purastAt tu na saMvittiH svAtantrya-ucita-rUpiNI // 1.1067 //
   prāktanī saṃvid eveha pūrvakarmeti bhāṣyate	prAktanI saMvid eva-iha pUrva-karma-iti BAzyate
   tatsaṃvidbādhikā saṃvitkarmakṣayakarī tataḥ // 1.1068 //	tad-saMvid-bADikA saMvid-karma-kzaya-karI tatas // 1.1068 //
   akṛtaṃ ca yathā svapne mayā kṛtam iti sphuret	akRtam ca yaTA svapne mayA kRtam iti sPuret-
   phaladā dṛśyate saiva vārtā jāgrati karmaṇaḥ // 1.1069 //	Pala-dA dRSyate sA-eva vArtA jAgrati karmaNaH // 1.1069 //
   tathā ca prācyakarmaughaphalasaṃploṣaṇātmikā	taTA ca prAcya-karma-oGa-Pala-saMplozaNa-AtmikA
   yasyaikāpy uttarodeti saṃvit sa phalabhāṅ na hi // 1.1070 //	yasya-ekA-api uttara-udeti saMvid sa Pala-BAj na hi // 1.1070 //
   kiṃ cānyadbahusaṃvitsusphurattvādayaśo yaśaḥ	kim ca-anyat-bahu-saMvitsu-sPurat-tvAt-ayaSaH yaSaH
   bhūyaḥphalavadākāśanadyambhaḥsiktabījavat // 1.1071 //	BUyaH-Pala-vat-AkASa-nadI-amBaH-sikta-bIja-vat // 1.1071 //
   evam alpaphalaṃ karma svalpasaṃvedane sphurat	evam alpa-Palam karma su-alpa-saMvedane sPurat-
   asphuran niṣphalaṃ tv eva nyāyaḥ so 'yaṃ svasaṃvidam // 1.1072 //	asPurat nizPalam tu eva nyAyaH saH ayam sva-saMvidam // 1.1072 //
   tatrāpy alpatvabhūyastve saṃvidāṃ ye prakalpite	tatra-api alpa-tva-BUyaH-tve saMvidAm ye prakalpite
   te karmakartuḥ saṃvittirūḍhyā tadrūpabhāginī // 1.1073 //	te karma-kartuH saMvitti-H-UXyA tad-rUpa-BAginI // 1.1073 //
   yā ca (yasya) saṃvit svayaṃ tādṛkphalagarbhā na jāyate	yA ca (yasya) saMvid svayam tAdRS-Pala-garBA na jAyate
   nāpy anyaphalanirgrāhimātṛsaṃgatitas tathā // 1.1074 //	na-api anya-Pala-nirgrAhi-mAtR-saMgatitaH taTA // 1.1074 //
   phalaveditur anyasya pramātur api saṃvidi	Pala-vedituH anyasya pramAtuH api saMvidi
   anyapramātṛsaṃkalpād yāvadante sa ko 'py alam // 1.1075 //	anya-pramAtR-saMkalpAt yAvat-ante sa kaH api alam // 1.1075 //
   prabuddhaḥ sṛṣṭir akṣāyai sthitiśaktivijṛmbhakaḥ	prabudDaH sRzwiH akzAyE sTiti-Sakti-vijRmBakaH
   vidāḥ sma saṃkocayati phalālambanakalpanāḥ // 1.1076 //	vidAH sma saMkocayati Pala-Alambana-kalpanAH // 1.1076 //
   matsyād amatsyadṛṣṭyeyaṃ sṛṣṭir ity āśayena te	matsyAt amatsya-dRzwyA-iyam sRzwiH iti ASayena te
   paropakāraṃ kartavyam upādikṣan purātanāḥ // 1.1077 //	para-upakAram kartavyam upAdikzan purAtanAH // 1.1077 //
   evaṃ nāmopakāro 'yaṃ mṛtasyāpi pratanyate	evam nAma-upakAraH ayam mRtasya-api pratanyate
   piṇḍadānādinā bhūyo dīyate dehasaṃgamaḥ // 1.1078 //	piNxa-dAna-AdinA BUyas dIyate deha-saMgamaH // 1.1078 //
   varaṃ svātmani saṃkleśāḥ paraṃ mā pīḍayan tv iti	varam sva-Atmani saMkleSAH param mA pIxayan tu iti
   iti kalpitam etasya kṛcchrādes tapasaḥ phalam // 1.1079 //	iti kalpitam etasya kRcCra-AdeH tapasaH Palam // 1.1079 //
   laśunādāvabhakṣyatvam uktam ājñeya īdṛśī	laSuna-AdO=-aBakzya-tvam uktam AjQeyaH IdRSI
   akāraṇakam eveti gṛhṇantu kila jantavaḥ // 1.1080 //	akAraNakam eva-iti gRhNantu kila jantavaH // 1.1080 //
   tad evaṃ haṃsapakṣyādibhakṣyābhakṣyatvanirṇaye	tat evam haMsapakzya-Adi-Bakzya-aBakzya-tva-nirNaye
   yujyeta bhinnabuddhitvam anyathā nna kathaṃ cana // 1.1081 //	yujyeta Binna-budDi-tvam anyaTA nna kaTam canaH // 1.1081 //
   evaṃ dṛṣṭe 'py adṛṣṭe 'tha kalpitāṃśāṃśikākramāt	evam dRzwe api adRzwe aTa kalpita-aMSa-aMSikA-kramAt
   phalayogaḥ sa evādya rūḍhaḥ saṃvidbhuvi sthitaḥ // 1.1082 //	Pala-yogaH saH eva-adya rUXaH saMvid-Buvi sTitaH // 1.1082 //
   dehaḥ piṇḍāt pare loke nānyatheti sthitiḥ kṛtā	dehaH piNxAt pare loke na-anyaTA-iti sTitiH kRtA
   anyonyānanuṣaktatvaṃ jantūnāṃ dehabhṛd iti ? // 1.1083 //	anyonyAn-anuzakta-tvam jantUnAm deha-BRt iti ? // 1.1083 //
   tatsarvaśāstrapūgaiś ca śaṅkāśaṅkuḥ praropitāḥ	tad-sarva-SAstra-pUgEH ca SaFkASaFkuH praropitAH
   ajñacittadharārūḍhaḥ phalaparyantatāṃ gataḥ // 1.1084 //	ajQa-citta-Dara-ArUXaH Pala-paryanta-tAm gataH // 1.1084 //
   asti me piṇḍado 'dyāhaṃ piṇḍadānakkramāt tathā	asti me piNxa-daH adya-aham piNxadAnak-kramAt taTA
   prapnobh/m(?)yavayavābhogaṃ pūrṇadeho 'smi susthitaḥ // 1.1085 //	prapnaH-B/m(?)yavayava-ABogam pUrNa-dehaH asmi susTitaH // 1.1085 //
   adṛṣṭakriyayā putraśiṣyasvātmādikḷptayā	adRzwa-kriyayA putra-Sizya-sva-Atma-Adi-k?ptayA
   svargabhāgahamatyantamāttasaṃbhogasusthitaḥ // 1.1086 //	svarga-BAj-aham-ati-antam-Atta-saMBoga-susTitaH // 1.1086 //
   nāsti me piṇḍadaḥ kaś cit svayaṃ cāsmy atiduṣkṛtī	na-asti me piNxadaH kaH cit svayam ca-asmi ati-duzkRtI
   na me trātāsti kutrāpi patāmi narakārṇave // 1.1087 //	na me trAtA-asti kutra-api patAmi naraka-arNave // 1.1087 //
   bhaviṣyati mama trātā kvāpi kāle kathaṃ cana	Bavizyati mama trAtA kvApi kAle kaTam cana
   ityādiḥ saṃvidāṃ sphāras tathaiva phalati svayam // 1.1088 //	ityAdiH saMvidAm sPAraH taTA-eva Palati svayam // 1.1088 //
   tasyās tu piṇḍakartrādir mābhūd atha yathā sphuret	tasyAH tu piNxa-kartR-AdiH mA-aBUt aTa yaTA sPuret-
   sa tāvat tatphalaṃ bhuṅkte svasaṃkalpena kalpitam // 1.1089 //	sa tAvat tad-Palam BuFkte sva-saMkalpena kalpitam // 1.1089 //
   śaṅkāvajrapralepāntardṛḍhabaddhāṃ tv imāṃ matim	SaFkA-vajra-pralepa-antar-dRXa-badDAm tu imAm matim
   bhairavānala evaikaḥ samūlaṃ pluṣyati kṣaṇāt // 1.1090 //	BErava-analaH eva-ekaH sa-mUlam pluzyati kzaNAt // 1.1090 //
   aśeṣacitracidgarbhasaṃsārasvapnasadmanaḥ	aSeza-citra-cit-garBa-saMsAra-svapna-sadmanaH
   ploṣakaḥ śiva evāham ityullāsī hutāśanaḥ // 1.1091 //	plozakaH SivaH eva-aham iti-ullAsI hutASanaH // 1.1091 //
   tanmūḍhaḥ karmasaṃvitticitrībhūtacitis tathā	tat-mUXaH karma-saMvitti-citrIBUta-citiH taTA
   saṃkalpam eva saṃsāraṃ vicitram abhimanyate // 1.1092 //	saMkalpam eva saMsAram vicitram aBimanyate // 1.1092 //
   ata eva mṛto bālo vāsanāntaravarjitaḥ	atas eva mRtaH bAlaH vAsanA-antara-varjitaH
   śiśur eva bhavet suptadṛḍhasaṃsāravāsanaḥ // 1.1093 //	SiSuH eva Bavet supta-dRXa-saMsAra-vAsanaH // 1.1093 //
   tānyau tathā (?)	tAnyO taTA (?)
   yāvadyauvanam abhyeti punas tadvāsanakramāt // 1.1094 //	yAvat-yOvanam aByeti punar tad-vAsana-kramAt // 1.1094 //
   saṃskārasaṃvidā tās tāḥ saṃsṛtīr abhimanyate	saMskAra-saMvidA tAH tAH saMsRtIH aBimanyate
   kaścij jaḍatvasaṃskārāj jaḍībhūto 'pi khānilaiḥ // 1.1095 //	kaScid jaxa-tva-saMskArAt jaxIBUtaH api Ka-anilEH // 1.1095 //
   saha bhūjalayogena yāti puṣpaphalātmatām	saha BU-jala-yogena yAti puzpa-Pala-Atma-tAm
   bhakṣito vīryarūpeṇa punar āyāti garbhatām // 1.1096 //	BakzitaH vIrya-rUpeNa punar AyAti garBa-tAm // 1.1096 //
   yāvad punaḥ punaś citrān saṃsārān abhimanyate	yAvat punar punar citrAn saMsArAn aBimanyate
   ekatraiva svasaṃskāravāsanāvāsitaḥ śivaḥ // 1.1097 //	ekatra-eva sva-saMskAra-vAsanA-vAsitaH SivaH // 1.1097 //
   bhuṅkte svarnarakādyāṃs tu bhogān svātantryakalpitān	BuFkte svar-naraka-AdyAn tu BogAn svAtantrya-kalpitAn
   kvacid bhūmimayī kvāpi jalātmā kvāpi miśritā // 1.1098 //	kvacid BUmi-mayI kvApi jala-AtmA kvApi miSritAH // 1.1098 //
   evaṃ bhuvanamayy eṣā saṃvid bhāti svarūpataḥ	evam Buvana-mayI ezA saMvid BAti svarUpataH
   dhriyate yatra tatraiva svasaṃskārāt sukhādikam // 1.1099 //	Driyate yatra tatra-eva sva-saMskArAt suKa-Adikam // 1.1099 //
   vetty anyena na dṛśyas tu sa tv anyān veda cānyathā	vetti anyena na dRSyaH tu sa tu anyAn veda ca-anyaTA
   na deśaḥ paramārthena na ca kālo 'sti kaś cana // 1.1100 //	na deSaH parama-arTena na ca kAlaH asti kaH canaH // 1.1100 //
   bhedavāde hi gaganadeśāt sarvaikadeśatā	Beda-vAde hi gagana-deSAt sarva-eka-deSa-tA
   upādher eva deśād bhiddeśasyāpy upādher bhidā // 1.1101 //	upADeH eva deSAt BiddeSasya-api upADeH BidA // 1.1101 //
   ity anyonyasamāśrityā deśabhedo na kaś cana	iti anyonya-samASrityAH deSa-BedaH na kaH cana
   svarūpabheda evāto bhedakatve susaṃgataḥ // 1.1102 //	svarUpa-BedaH eva-atas Bedaka-tve su-saMgataH // 1.1102 //
   sa ca nāsti prakāśaikasvarūpeṣv iti sādhitam	sa ca na-asti prakASa-eka-svarUpezu iti sADitam
   enayaiva parāmarśadṛśā ye parivarjitāḥ // 1.1103 //	enayA-eva parAmarSa-dRSAH ye parivarjitAH // 1.1103 //
   te śaṅkākāriśāstraughaśaṅkitās tanmayīkṛtāḥ	te SaFkA-kAri-SAstra-oGa-SaFkitAH tanmayIkRtAH
   svasvapnanirmitānantajaḍajantuvikalpitaiḥ // 1.1104 //	sva-svapna-nirmitA-ananta-jaxa-jantu-vikalpitEH // 1.1104 //
   śāstrābhāsair vṛthā śaṅkāṃ grāhyante bodhavarjitāḥ	SAstra-ABAsEH vRTA SaFkAm grAhyante boDa-varjitAH
   yathā prabuddhyante saṃvin nibhṛtāpi ciraṃ sthitā // 1.1105 //	yaTA prabudDi-ante saMvid niBRtA-api ciram sTitAH // 1.1105 //
   tathāpi phalatīty evaṃ prāyaś cittādikalpitaiḥ	taTA-api Palati-iti evam prAyas citta-Adi-kalpitEH
   evam ābhāsanānātvasvātantryaiśvaryaśālinā // 1.1106 //	evam ABAsa-nAnAtva-svAtantrya-ESvarya-SAlinA // 1.1106 //
   kḷptaṃ yad eva tat tasya yāti tanvādirūpatām	k?ptam yat eva tat tasya yAti tanu-Adi-rUpa-tAm
   viparyayābhāsayoge śītādyābhāsadūṣite // 1.1107 //	viparyaya-ABAsa-yoge SIta-Adi-ABAsa-dUzite // 1.1107 //
   nāḍyādāv atha saṃkocasphoṭaghātādipīḍite	nAxI-AdO aTa saMkoca-sPowa-GAta-Adi-pIxite
   dehabhastrāmahāyantravātacakre 'nyathāgate // 1.1108 //	deha-BastrA-mahA-yantra-vAta-cakre anyaTAgate // 1.1108 //
   prāṇo vighaṭate tena jaḍābhāsaṃ kalevaram	prANaH viGawate tena jaxa-ABAsam kalevaram
   yasmin yāty adhikāre vā jāte prāg vāsanākramāt // 1.1109 //	yasmin yAti aDikAre vA jAte prAk vAsanA-kramAt // 1.1109 //
   tatraiva kalpayed bhogaṃ paralokābhidhānakam	tatra-eva kalpayet Bogam para-loka-aBiDAnakam
   pāṣāṇatāṃ vā vetty eṣa punar vā pratibudhyate // 1.1110 //	pAzANa-tAm vA vetti eza punar vA pratibuDyate // 1.1110 //
   paro 'yaṃ loka iti ca rūḍhyāsya paralokitā	paraH ayam lokaH iti ca rUXyA-asya para-lokitA
   svargamokṣādi yasyeha yathārūḍhaṃ ca cetasi // 1.1111 //	svarga-mokza-Adi yasya-iha yaTA-ArUXam ca cetasi // 1.1111 //
   tathaivāsya bahir bhāti tatas tatrāpi citratā	taTA-eva-asya bahis BAti tatas tatra-api citra-tA
   bandho mokṣaḥ sukhaṃ svargo duḥkhaṃ jaḍamayī sthitiḥ // 1.1112 //	banDaH mokzaH suKam svargaH duHKam jaxa-mayI sTitiH // 1.1112 //
   saṃvid eva svatantretthaṃ śivarūpatā virājate	saMvid eva svatantra-itTam Siva-rUpa-tA virAjate
   bhūyo 'vayavayuktasya yathā tāvaty ahaṃsthitiḥ // 1.1113 //	BUyas avayava-yuktasya yaTA tAvatI ahaMsTitiH // 1.1113 //
   tathā viśvātmake rūpe bhairavasyāpy ahaṃsthitiḥ	taTA viSva-Atmake rUpe BEravasya-api ahaMsTitiH
   śiśuḥ śūnye 'pi vetālaṃ vetti satyārthakāriṇam // 1.1114 //	SiSuH SUnye api vetAlam vetti satya-arTa-kAriNam // 1.1114 //
   dhyeyapūjyādivaicitryam ittham arthakriyākaram	Dyeya-pUjya-Adi-vEcitryam itTam arTa-kriyA-karam
   mūrto bhinnaḥ samāhūto hitvā bhogān nijān kṣaṇāt // 1.1115 //	mUrtaH BinnaH samAhUtaH hitvA BogAn nijAn kzaNAt // 1.1115 //
   deva etīti vārtaiṣā vacaneṣv eva śobhate	devaH eti-iti vArtA-ezA vacanezu eva SoBate
   amūrtādisvarūpatvaṃ sarvam etat tu yujyate // 1.1116 //	amUrta-Adi-svarUpa-tvam sarvam etat tu yujyate // 1.1116 //
   ātmaiva hi tathābhūtas tathā bhāty eva bhedataḥ	AtmA-eva hi taTABUtaH taTA BAti eva BedataH
   evaṃ svabhāva evaiṣa saṃvido yaḥ sa eva tu // 1.1117 //	evam svaBAvaH eva-eza saMvidaH yaH saH eva tu // 1.1117 //
   bhedagrastatayā kārmo malaḥ śāstre nirūpyate	Beda-grasta-tayA kArmaH malaH SAstre nirUpyate
   dīkṣādikarmayoge tu na malatvaṃ pratāyate // 1.1118 //	dIkzA-Adi-karma-yoge tu na mala-tvam pratAyate // 1.1118 //
   sa hi bhedamayāśeṣasaṃsāradahanavrataḥ	sa hi Beda-maya-aSeza-saMsAra-dahana-vrataH
   dīkṣā ca vastutas tādṛksatyasaṃvitsvarūpiṇī // 1.1119 //	dIkzA ca vastutas tAdRS-satya-saMvid-svarUpiNI // 1.1119 //
   evaṃ yo veda tattvenety uktaṃ cānuttare naye	evam yaH veda tattvena-iti uktam ca-anuttare naye
   evaṃ vijñānayoge hi śamite bhedagocare // 1.1120 //	evam vijQAna-yoge hi Samite Beda-gocare // 1.1120 //
   ātmaiva śiva evaikaḥ ko bandhaḥ kā ca muktatā	AtmA-eva SivaH eva-ekaH kaH banDaH kA ca mukta-tA
   etaddīkṣāmahāsaṃvidpraveśāya tu bhaṇyate // 1.1121 //	etat-dIkzA-mahA-saMvid-praveSAya tu BaNyate // 1.1121 //
   kriyāsvabhāvadīkṣāsau karmādimalahānaye	kriyA-svaBAva-dIkzA-asO karma-Adi-mala-hAnaye
