   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   sukhaṃ svarūpabhūtaṃ yadānanda iti kathyate //	suKam svarUpa BUtam yat AnandaH iti kaTyate //
   iti bṛhadbhāṣyokteśca /	iti bRhat BAzya ukteH ca /
   apakṛṣṭaviṣayodbhūtatvaprakṛṣṭaviṣayotthatvajīvasvarūpānandatvanimittairmodapramodānandanāmānasteṣu	apakRzwa vizaya udBUta tva prakRzwa vizaya utTa tva jIva svarUpa Ananda tva nimittEH moda pramoda Ananda nAmAnaH tezu
   sthitāśca / evamānandamayākhyasya viṣṇoḥ 'pucchaṃ'; pratiṣṭhati gacchati	sTitAH ca / evam Ananda maya AKyasya vizNoH apucCaM a; pratizWati gacCati
   loka ābhyāmiti vyutpattyā pratiṣṭhāpadokto yaḥ pādākhyo 'vayavaḥ tadbrahma	loke AByAm iti vyutpattyA pratizWA pada uktaH yaH pAda AKyaH avayavaH tat brahma
   'brahmasṛṣṭyā tu bṛṃhayet'; iti taittirīyabhāṣyoktarītyā sṛṣṭyādikriyayā	abrahma sRzwyA tu bRMhayet a; iti tEttirIya BAzya ukta rItyA sRzwi Adi kriyayA
   viśvaguṇavṛddhikaratvādbrahmaśabdavācyaḥ sa evānandamayākhyajīvaśarīrasya	viSva guNa vRdDi kara tvAt brahma Sabda vAcyaH saH eva Ananda maya AKya jIva SarIrasya
   yat pucchaṃ yaḥ pādākhyo 'vayavaḥ tatsthite brahmākhye pradhānavāyau	yat pucCam yaH pAda AKyaH avayavaH tad sTite brahma AKye praDAna vAyO
   sthitaḥ / anena kośāvayavasya brahmaśabdavācyatvaṃ	sTitaH / anena koSa avayavasya brahma Sabda vAcya tvam
   brahmaśabdavācyapradhānavāyvadhiṣṭhānatvanimittaṃ,	brahma Sabda vAcya praDAna vAyu aDizWAna tva nimittaM,
   pradhānavāyorbrahmaśabdavācyatvaṃ tu parabrahmādhiṣṭhānatvādityuktaṃ	praDAnavAyoH brahma Sabda vAcya tvam tu para brahma aDizWAna tvAt iti uktam
   bhavati / anenānandamayādiśabdavācyasya viṣṇoravayava 	Bavati / anena Ananda maya Adi Sabda vAcyasya vizNoH avayava 
   bhūtāḥ ye priyādayaḥ te viṣṇvabhinnāḥ ye cānandamayādijīvakośāvayavāḥ	BUtAH ye priya AdayaH te vizNu aBinnAH ye ca Ananda maya Adi jIva koSa avayavAH
   priyādayaste pratiśarīraṃ bhinnā iti dvividhāḥ priyādaya ityuktaṃ bhavati	priya AdayaH te pratiSarIram BinnAH iti dviviDAH priya AdayaH iti uktam Bavati
   / yathoktaṃ candrikāyām   ye jīvābhimanyamānānandamayādikośāvayavāḥ	/ yaTA uktam candrikAyAm  ye jIva aBimanyamAna Ananda maya Adi koSa avayavAH
   priyādayaste pratiśarīraṃ bhinnāḥ, na te ānandamayādyākhyasya	priya AdayaH te pratiSarIram BinnAH, na te Ananda maya Adi AKyasya
   viṣṇoravayavāḥ / ye ca bhagavato 'vayavāḥ priyādayo na te pratiśarīraṃ	vizNoH avayavAH / ye ca BagavataH avayavAH priya AdayaH na te pratiSarIram
   bhinnā kintvabhinnā iti jīvasvarūpasyānandasya	BinnA kintva BinnAH iti jIva svarUpasya Anandasya
   hṛdayākhyamadhyagatatvātkośamadhyadehatvaṃ svarūpadehasya jaḍāvayavatvaṃ	hRdaya AKya maDya gata tvAt koSa maDya deha tvam sva rUpa dehasya jaxa avayava tvam
   cāmukhyaṃ yujyate / yadyapi bhāṣye 'śiro nārāyaṇaḥ';	cAmuKyam yujyate / yadi api BAzye aSiraH nArAyaNaH a;
   ityudāhariṣyamāṇavacanaparyālocanayādmanandamayākhyo nārāyaṇaḥ	iti udAharizyamANa vacana paryAlocanayA admananda maya AKyaH nArAyaNaH
   punarnārāyaṇādirūpeṇa pañcadhā bhinnaḥ śiraḥprabhṛtyavayavātmanā	punar nArAyaNa Adi rUpeNa paQcaDA BinnaH SiraH praBRti avayava AtmanA
   tiṣṭhatīti pratīyate / taittirīyabhāṣye tu  	tizWati iti pratIyate / tEttirIya BAzye tu  
   priyādīnāmanandamayāvayavatvam / tathāpi	priya AdInAm ananda maya avayava tvam / taTA api
   priyādisukhaviśeṣadehasthitabrahmākhyapradhānavāyugatānāṃ	priya Adi suKa viSeza deha sTita brahma AKya praDAna vAyu gatAnAm
   nārāyaṇādirūpāṇāmeva ānandamayākhyaviṣṇvavayavatvasambhavātteṣāmeva /	nArAyaNa Adi rUpANAm eva Ananda maya AKya vizNu avayava tva samBavAt tezAm eva /
   pareyaṃ priyanāmakam /	pareyam priya nAmakam /
   modapramodanāmānau modanācca pramodanāt /	moda pramoda nAmAnO modanAt ca pramodanAt /
   dehasthavāyusaṃsthaṃ ca brahma sṛṣṭyā tu bṛṃhayet // iti /	deha sTa vAyu saMsTam ca brahma sRzwyA tu bRMhayet // iti /
   taittirīyabhāṣyoktarītyā priyādiśabdavācyatvasyāpi sambhavānna virodhaḥ /	tEttirIya BAzya ukta rItyA priya Adi Sabda vAcya tvasya api samBavAt na viroDaH /
   tattvapradīpe tu   priyaśirastvādinaye "śravaṇotthaṃ priyaṃ, darśanottho	tattva pradIpe tu  priya SiraH tu Adinaye "SravaNa utTam priyan, darSana utTaH 
   modaḥ, bhogotthaḥ pramodaḥ"iti padatrayasyārthāntaramuktam / tathā	modaH, Boga utTaH pramodaH"iti pada trayasya arTa antaram uktam / taTA
   tatraiva "'abhāvaṃ bādariḥ'; iti sūtreṇa 'priyāpriye'; (chāṃ. 8 12 1.) iti	tatra eva " aaBAvam bAdariH a; iti sUtreNa apriya apriye a; (CAM. 8 12 1.) iti
   śrutisthapriyaśabdena 'pareyaṃ priyanāmakam'; iti	Sruti sTa priya Sabdena apareyam priya nAmakam a; iti
   taittirīyachāndogyabhāṣyayoruktatvātparaprāpyasukhasāmānyavācakena	tEttirIya CAndogya BAzyayoH ukta tvAt para prApya suKa sAmAnya vAcakena
   prākṛtaṃ sukhaṃ grāhyamiti sūcitam"iti coktam / idaṃ tvavadhayam  	prAkRtam suKam grAhyam iti sUcitam "iti ca uktam / idam tu avaDayam  
   paridṛśyamānamannamayaṃ śarīram / tadantaḥ prāṇamayo dehaḥ	paridRSyamAnam anna mayam SarIram / tad antar prANa mayaH dehaH
   tadantarmanomayo dehaḥ / tadantarvijñānamayo dehaḥ / tadantarānandamayo	tad antar manaH mayaH dehaH / tad antar vijQAna mayaH dehaH / tad antarAnandam ayaH 
   'sti / eteṣu pañcasu dehākhyakośeṣu tattacchabdavācyāni puruṣākārāṇi	asti / etezu paQcasu deha AKya koSezu tad tad Sabda vAcyAni puruza AkArANi
   aniruddhapradyumnasaṅkarṣaṇavāsudevanārāyaṇarūpāṇi dehadehibhāvena	anirudDa pradyumna saFkarzaNa vAsudeva nArAyaNa rUpANi deha dehi BAvena
   vartanta iti /	vartante iti /
   ityānandamayāvayavarūpaṃ pratīyate /	iti Ananda maya avayava rUpam pratIyate /
   na hyavayavinaṃ vinā avayavamātrasya jñeyatetyata āha //  	na hi avayavinam vinA avayava mAtrasya jQeyatA iti atas Aha //  
   ānandamayo 'bhyāsāt | BBs_1,1.12 |	Ananda mayaH aByAsAt | BBH _1,1.12 |
   BBsBh_1,1.6.4:	BBsBh_1,1.6.4:
   ānandamayo brahmādiḥ prakṛtirviṣṇurvā /	Ananda mayaH brahma AdiH prakRtiH vizNuH vA /
   BBsBhDīp_1,1.6.4:	BBsBhDIB _1,1.6.4:
   evaṃ saṅgatiṃ phalaṃ coktvā viṣayasaṃśayau darśayati   ānandamaya iti //	evam saFgatim Palam ca uktvA vizaya saMSayO darSayati  Ananda mayaH iti //
   ānandamaya ityupalakṣakapadena viṣayo darśitaḥ / brahmādirityatra brahmā	Ananda mayaH iti upalakzaka padena vizayaH darSitaH / brahma AdiH iti atra brahmA
   ādiryasya jīvasaṅghasyeti vigrahaḥ / brahmā caturmukhaḥ, ādiśabdena	AdiH yasya jIva saFGasya iti vigrahaH / brahmA caturmuKaH, Adi Sabdena
   rudrendrabṛhaspatimukhā devāstattaddehāgatajīvāśca gṛhyante /	rudra indra bRhaspati muKAH devAH tat tat deha Agata jIvAH ca gRhyante /
   prakṛtiśabdena citprakṛtiḥ / 'iti saṃśaya'; iti śeṣaḥ /	prakRti Sabdena cit prakRtiH / aiti saMSaya a; iti SezaH /
   BBsBh_1,1.6.5:	BBsBh_1,1.6.5:
   brahmaśabdāddhiraṇyagarbhasya prāptiḥ /	brahma SabdAt hiraNyagarBasya prAptiH /
   śatānandanāmnā ca /	SatAnanda nAmnA ca /
   BBsBhDīp_1,1.6.5:	BBsBhDIB _1,1.6.5:
   atra sayuktikaṃ pūrvapakṣānāha   brahmaśabdāditi //	atra sa yuktikam pUrva pakzAn Aha  brahma SabdAt iti //
   ānandamayamadhikṛtyadāhṛte 'asti brahmeti cedveda'; (tai.u. 2 6 1.)	Ananda mayam aDikRtya dA hRte aasti brahma iti ced veda a; (tE.u. 2 6 1.)
   ityādau śrutādbrahmaśabdādityarthaḥ / brahmaśabdasya anyatrāpi vṛtteḥ	ityAdO SrutAt brahma SabdAt iti arTaH / brahma Sabdasya anyatra api vRtteH
   kathaṃ tena caturmukhasyānandamayatvaniśca ityato yuktyantaramāha   śateti	kaTam tena caturmuKasya Ananda maya tva niScaH iti atas yukti antaram Aha  Sata iti
   / co 'pyarthe samuccaye / "te ye śataṃ prajāpaterānandāḥ, sa eko brahmaṇa	/ caH api arTe samuccaye / "te ye Satam prajApateH AnandAH, saH ekaH brahmaNa
   ānandaḥ"(tai.u. 2 8 4.) iti vākyādarthātsūcitena śatānandanāmnetyarthaḥ /	AnandaH "(tE.u. 2 8 4.) iti vAkyAt arTAt sUcitena SatAnanda nAmnA iti arTaH /
   yadvā   ānandamayaśabdasamānārthakena hiraṇyagarbhe vidyamānena	yat vA  Ananda maya Sabda samAna arTakena hiraNyagarBe vidyamAnena
   śatānandanāmnetyarthaḥ/ 'prāptiḥ'; ānandamayatvasyeti śeṣaḥ / tathā ca  	SatAnanda nAmnA iti arTaH/ aprAptiH a; Ananda maya tvasya iti SezaH / taTA ca  
   hiraṇyagarbhasya ānandamayatvasya prāptirityanvayaḥ /	hiraNyagarBasya Ananda maya tvasya prAptiH iti anvayaH /
   BBsBh_1,1.6.6:	BBsBh_1,1.6.6:
   aṣṭamūrtitvātsūrye proktatvācca rudrasya /	azwamUrti tvAt sUrye prokta tvAt ca rudrasya /
   BBsBhDīp_1,1.6.6:	BBsBhDIB _1,1.6.6:
   evamekaṃ pūrvapakṣamabhidhāya anyamāha   aṣṭamūrtitvāditi // caśabdo	evam ekam pUrva pakzam aBiDAya anyam Aha  azwamUrti tvAt iti // caSabdaH 
   rudrasya ceti sambadhyate / prāptirityasyānukarṣaṇārtho vā tathā ca  	rudrasya ca iti sambaDyate / prAptiH iti asya anukarzaNa arTaH vA taTA ca  
   rudrasya cānandamayatvaprāptiḥ kutaḥ? sūrye proktatvāt / 'yaścāsāvāditye';	rudrasya ca Ananda maya tva prAptiH kutas ? sUrye prokta tvAt / ayaH ca asO= Aditye a;
   (tai.u. 2 8 5.) ityānandamayasya sūrye sthiteḥ uktatvādrudrasya ca	(tE.u. 2 8 5.) iti Ananda mayasya sUrye sTiteH ukta tvAt rudrasya ca
   sūryādyaṣṭaśarīratvādityarthaḥ / tathā ca   rūdraliṅgasya ānandamaye	sUrya Adi azwa SarIra tvAt iti arTaH / taTA ca  rUdra liFgasya Ananda maye
   śrutatvāt ānandamayo rudra evepi bhāvaḥ / rudrasya sūryādyaṣṭapratimatvaṃ	Sruta tvAt Ananda mayaH rudraH eva ipi BAvaH / rudrasya sUrya Adi azwa pratima tvam
   ca  	ca  
   sūryo jalaṃ mahī vahnirvāyurākāśa eva ca /	sUryaH jalam mahI vahniH vAyuH AkASaH eva ca /
   dīkṣito brāhmaṇassoma ityetāstanavaḥ kramāt //	dIkzitaH brAhmaNa ssomaH iti etAH tanavaH kramAt //
   iti viṣṇupurāṇavākyātsiddham /	iti vizNu purANa vAkyAt sidDam /
   BBsBh_1,1.6.7:	BBsBh_1,1.6.7:
   evamanyeṣāmapi /	evam anyezAm api /
   BBsBhDīp_1,1.6.7:	BBsBhDIB _1,1.6.7:
   pūrvapakṣāntaraṃ darśayati   evamiti // uktābhyām 'anyeṣām';	pUrva pakza antaram darSayati  evam iti // uktAByAm aanyezAm a;
   indrabṛhaspatyādīnāmapi 'evam'; uktaprakāreṇa	indra bRhaspati AdInAm api aevam a; ukta prakAreNa
   svāvarasūryādyadhiṣṭhātṛtvādinā ānandamayatvaprāptirityarthaḥ /	svAvara sUrya Adi aDizWAtR tva AdinA Ananda maya tva prAptiH iti arTaH /
   BBsBh_1,1.6.8:	BBsBh_1,1.6.8:
   'mama yonirmahadbrahma'; (bha. gī. 14 3.)	amama yoniH mahat brahma a; (Ba. gI. 14 3.)
   iti brahmaśabdāt, bahubhāvācca prakṛteḥ /	iti brahma SabdAt, bahu BAvAt ca prakRteH /
   BBsBhDīp_1,1.6.8:	BBsBhDIB _1,1.6.8:
   sayuktikaṃ pūrvapakṣāntaramāha   mameti / yojanā tu	sa yuktikam pUrva pakza antaram Aha  mama iti / yojanA tu
   citprakṛtervānandamayatvaprāptiḥ / kutaḥ? brahmaśabdāt/ ānandamaye	cit prakRteH vA Ananda maya tva prAptiH / kutas ? brahma SabdAt/ Ananda maye
   śrutasya brahmaśabdasya 'mama yonirmahadbrahma tasmin garbhaṃ	Srutasya brahma Sabdasya amama yoniH mahat brahma tasmin garBam
   dadhāmyaham'; iti gītāyāṃ citprakṛtau prayogāditi/ smṛtau   mahat brahmeti	daDAmi aham a; iti gItAyAm cit prakRtO prayogAt iti/ smRtO  mahat brahma iti
   bhinne pade / tathā ca mahat brahmaśabdavācyā lakṣmīḥ mama yoniḥ	Binne pade / taTA ca mahat brahma Sabda vAcyA lakzmIH mama yoniH
   garbhādhānārthaṃ bhāryā / tasmin brahmaṇi prakṛtau ahaṃ garbhaṃ dadhāmi	garBADAna arTam BAryA / tasmin brahmaNi prakRtO aham garBam daDAmi
   dadha ityarthaḥ / arjunaṃ prati kṛṣṇavākyametat / kathaṃ sāvakāśena	daDe iti arTaH / arjunam prati kRzNa vAkyam etat / kaTam sa avakASena
   brahmaśabdena prakṛterānandamayatvaniścaya ityato hetvantaramāha  	brahma Sabdena prakRteH Ananda maya tva niScayaH iti atas hetu antaram Aha  
   'bahubhāvāt'; bahurūpatvācceti / co hetusamuccaye / tathā ca 'so 'kāmayata	abahu BAvAt a; bahu rUpa tvAt ca iti / caH hetu samuccaye / taTA ca asaH akAmayata
   / bahu syām'; (tai.u. 2 6 2.) ityānandamayasya 'bahubhāvāt';	/ bahu syAm a; (tE.u. 2 6 2.) iti Ananda mayasya abahu BAvAt a;
   bahubhāvaśravaṇāt tadabhimānitvāccitprakṛteḥ	bahu BAva SravaNAt tad aBimAni tvAt cit prakRteH
   svābhimanyamānavikārijaḍadvārā bahubhāvasambhavādityarthaḥ / evaṃ	sva aBimanyamAna vikAri jaxa dvArA bahu BAva samBavAt iti arTaH / evam
   prakṛterityasya jaḍaprakṛterityarthāśrayeṇa pūrvapakṣāntaramapi draṣṭavyam	prakRteH iti asya jaxa prakRteH iti arTa ASrayeNa pUrva pakza antaram api drazwavyam
   / yojanā tu jaḍaprakṛtervānandamayatvaprāptiḥ / kutaḥ? abhimānitvena vinā	/ yojanA tu jaxa prakRteH vA Ananda maya tva prAptiH / kutas ? aBimAni tvena vinA
   sākṣādbahubhāvādeveti /	sAkzAt bahu BAvAt eva iti /
   BBsBh_1,1.6.9:	BBsBh_1,1.6.9:
   bṛha jātijīvakamalāsanaśabdarāśiṣviti brahmaśabdādeva	bRha jAti jIva kamala Asana Sabda rASizu iti brahma SabdAt eva
   sarvajīvānām, annamayatvādeśca /	sarva jIvA nAm, anna maya tva AdeH ca /
   BBsBhDīp_1,1.6.9:	BBsBhDIB _1,1.6.9:
   sayuktikaṃ pūrvapakṣāntaramāha   bṛha jātīti / tattaddehagatasarvajīvānāṃ	sa yuktikam pUrva pakza antaram Aha  bRha jAti iti / tad tad deha gata sarva jIvAnAm
   vā ānandamayatvaprāptiḥ / kutaḥ? jīvānāṃ brahmaśabdāt /	vA Ananda maya tva prAptiH / kutas ? jIvAnAm brahma SabdAt /
   jīvavācibrahmaśabdādityarthaḥ / na tatra pṛthaghgheturgaveṣaṇīya	jIva vAci brahma SabdAt iti arTaH / na tatra pRTak GetuH gavezaNIya
   ityevaśabdārthaḥ / kuto brahmaśabdasya jīvavācitvamityata uktam   bṛha	iti eva Sabda arTaH / kutas brahma Sabdasya jIva vAci tvam iti atas uktam  bRha
   jātīti / bṛhadhātuḥ jātyādiṣu vartata ityarthaḥ / itītyanantaraṃ	jAti iti / bRhaDAtuH jAti Adizu vartate iti arTaH / iti iti anantaram
   dhātuvyākhyānāditi śeṣaḥ / brahmaśabdasya	DAtu vyAKyAnAt iti SezaH / brahma Sabdasya
   sādhāraṇatvādaniścāyakatvamityata āha   annamayatvādeśceti / idaṃ	sADAraNa tvAt aniScAyaka tvam iti atas Aha  anna maya tva AdeH ca iti / idam
   cāvartate, tatra dvitīyo vipariṇamyate / ādiśabdo bhinnakramaḥ / tena	ca Avartate, tatra dvitIyaH vipariNamyate / Adi SabdaH BinnakramaH / tena
   prāṇādikaṃ gṛhyate / yathākramaśca caśabda uktānuktahetusamuccaye / tathā	prANa Adikam gRhyate / yaTAkramaH ca caSabdaH ukta anukta hetu samuccaye / taTA
   ca   na kevalaṃ brahmaśabdāt, kintu, yato jīvānām 'annarasamayaḥ';	ca  na kevalam brahma Sabda at, kintu, yatas jIvAnAm aanna rasa mayaH a;
   'prāṇamayaḥ'; ityuktānnādimayatvāt	aprANa mayaH a; iti ukta anna Adi maya tvAt
   annādivikāradehādyabhimānitvādannamayatvādi prāptam	anna Adi vikAra deha Adi aBimAni tvAt anna maya tva Adi prAptam
   atastatprāyapaṭhitatvāccānandamayatvaprāptiriti yojanā / atra	atas tad prAya paWita tvAt ca Ananda maya tva prAptiH iti yojanAH / atra
   hiraṇyagarbhādīnāṃ jīvatve 'pi devatvavivakṣayā pṛthaguktiḥ / ata eva	hiraNyagarBa AdInAm jIva tve api deva tva vivakzayA pRTak uktiH / atas eva
   tattvapradīpe   "brahmādiryasya devatāsaṅghasya"ityapi brahmādirityasya	tattva pradIpe  "brahma AdiH yasya devatA saFGasya"iti api brahma AdiH iti asya
   vigraho darśitaḥ / tatrāpi	vigrahaH darSitaH / tatra api
   hiraṇyagarbharudrayoratiprasiddhatvādvakṣyamāṇakrameṇa pṛthaguktiḥ / atha	hiraNyagarBa rudrayoH ati prasidDa tvAt vakzyamANa krameNa pRTak uktiH / aTa
   indrādīnāṃ "brahmā śivaḥ sureśādyāḥ"iti vacanoktakrameṇa	indra AdInAm "brahmA SivaH sureSa AdyAH"iti vacana ukta krameNa
   kṣaradevoktyanantaramakṣarāyāḥ prakṛteruktiḥ / atha atyalpapratibhānatvāt	kzaradeva ukti anantaram akzarAyAH prakRteH uktiH / aTa ati alpa pratiBAna tvAt 
   dṛśyamānadehābhimānijīvānāmiti dhyeyam /	dRSyamAna deha aBimAni jIvAnAm iti Dyeyam /
   BBsBh_1,1.6.10:	BBsBh_1,1.6.10:
   tathāpi na ta ānandamayaśabdenocyante /	taTA api na te Ananda maya Sabdena ucyante /
   kintu, viṣṇureva /	kintu, vizNuH eva /
   'tadeva brahma paramaṃ kavīnām'; (mahānā. 1 3.)	atat eva brahma paramam kavInAm a; (mahAnA. 1 3.)
   'etameva brahmetyācakṣate'; (ai.ā. 3 2 3 12.)	aetam eva brahma iti Acakzate a; (E.A. 3 2 3 12.)
   BBsBhDīp_1,1.6.10:	BBsBhDIB _1,1.6.10:
   siddhāntayati   tathāpīti // yadyapyevamanyeṣāṃ prāptiḥ, tathāpi atra ye	sidDAntayati  taTA api iti // yadi api evam anyezAm prAptiH, taTA api atra ye
   ānandamayaśabdenocyante na te hiraṇyagarbhādaya ityarthaḥ /	Ananda maya Sabdena ucyante na te hiraNyagarBa AdayaH iti arTaH /
   kastarhītyāśaṅkate   kintviti / uttaramāha   viṣṇureveti / ya ucyate sa	kaH tarhi iti ASaFkate  kintu iti / uttaram Aha  vizNuH eva iti / yaH ucyate sa
   viṣṇurevetyanvayaḥ / anenodāhṛtānandamaya iti sūtrapratijñābhāgasya	vizNuH eva iti anvayaH / anena udAhRta Ananda mayaH iti sUtra pratijQA BAgasya
   saṅgatyarthamanvayārthaṃ samanvayasūtrodāhṛto vidheyasamarpakaḥ 'tattu';	saFgati arTam anvaya arTam samanvaya sUtra udAhRtaH viDeya samarpakaH atat tu a;
   iti pratijñābhāgo vyākhyāto bhavati / kuta ānandamayo viṣṇurevetyataḥ	iti pratijQA BAgaH vyAKyAtaH Bavati / kutas Ananda mayaH vizNuH eva iti atas 
   pravṛttaṃ sautraṃ hetuṃ vyācaṣṭe   tadeveti / ityādiṣu vākyeṣu	pravRttam sOtram hetum vyAcazwe  tat eva iti / ityAdizu vAkyezu
   tasminviṣṇāveva prasiddhasya mukhyārthatvenoktasya brahmaśabdasya	tasmin vizNO= eva prasidDasya muKya arTa tvena uktasya brahma Sabdasya
   tasminnānandamaye ānandamayaṃ pratyudāhṛte 'asanneva'; iti śloke	tasmin= Ananda maye Ananda mayam pratyudAhRte aasanneva a; iti Sloke
   'abhyāsāt'; asakṛcchravaṇādityarthaḥ / abhyāsādityanantaraṃ 'viṣṇau	aaByAsAt a; asakRt SravaNAt iti arTaH / aByAsAt iti anantaram avizNO
   tātparyāvagamāt'; iti śeṣaḥ / aprayojakatvaśaṅkāvāraṇāya	tAtparya avagamAt a; iti SezaH / aprayojaka tva SaFkA vAraNAya
   brahmaśabdasyānyatra niravakāśatvajñāpanāya tasmin prasiddheti eveti	brahma Sabdasya anyatra niravakASa tvajQApanAya tasmin prasidDA iti eva iti
   coktam/ ādiśabdena 'paramaṃ yo mahadbrahma'; 'vāsudevātparaḥ	ca uktam/ Adi Sabdena aparamam yaH mahat brahma a; avAsudevAt paraH
   ko nu brahmaśabdodito bhavet'; iti vākyaṃ gṛhyate / tadeveti śrutyarthastu	kaH nu brahma Sabda uditaH Bavet a; iti vAkyam gRhyate / tat eva iti Sruti arTaH tu
   jijñāsānaye 'bhihitaḥ / 'etameva'; iti śrutyarthaḥ sarvatrādhikaraṇe	jijQAsA Anaye aBihitaH / aetam eva a; iti Sruti arTaH sarvatra aDikaraNe
   vakṣyate /	vakzyate /
   BBsBh_1,1.6.11:	BBsBh_1,1.6.11:
   brahmaśabdaḥ pare viṣṇau nānyatra kvacidiṣyate /	brahma SabdaH pare vizNO na anyatra kvacid izyate /
   asampūrṇāḥ pare yasmādupacāreṇa vā bhavet //	asampUrNAH pare yasmAt upacAreNa vA Bavet //
   brahmeti paramātmeti bhagavāniti śabdyate /	brahma iti paramAtmA iti BagavAn iti Sabdyate /
   vāsudevātmakaṃ brahma mūlamantreṇa vā yatiḥ /	vAsudeva Atmakam brahma mUlamantreNa vA yatiH /
   ityādiṣu tasminneva prasiddhabrahmaśabdābhyāsāt /	ityAdizu tasmin= eva prasidDa brahma Sabda aByAsAt /
   BBsBhDīp_1,1.6.11:	BBsBhDIB _1,1.6.11:
   'brahmaśabdaḥ'; iti smṛtau 'pare'; pūrṇe iti hetugarbhaviśeṣaṇam / vāśabdo	abrahma SabdaH a; iti smRtO apare a; pUrNe iti hetu garBa viSezaNam / vA SabdaH 
   'vadhāraṇe / tathā ca yato viṣṇuḥ paraḥ, ataḥ 'pare'; viṣṇāveva	avaDAraNe / taTA ca yatas vizNuH paraH, atas apare a; vizNO= eva
   brahmaśabdo mukhyatayā 'iṣyate'; aṅgīkriyate prāmāṇikaiḥ / na tu viṣṇoḥ	brahma SabdaH muKya tayA aizyate a; aFgIkriyate prAmANikEH / na tu vizNoH
   'anyatra'; hiraṇyagarbhādiṣvapītyarthaḥ / kuta ityatasteṣāṃ	aanyatra a; hiraNyagarBa Adizu api iti arTaH / kutas iti atas tezAm
   brahmaśabdamukhyārthatvābhāve hetumāha   'pare'; anye yasmādasampūrṇā iti	brahma Sabda muKya arTa tva aBAve hetum Aha  apare a; anye yasmAt asampUrNAH iti
   / tarhi 'tasmādetadbrahma nāma rūpamannaṃ ca jāyate'; (mu. 1 1 9.) 'dve	/ tarhi atasmAt etat brahma nAma rUpam annam ca jAyate a; (mu. 1 1 9.) adve
   brahmaṇī veditavye'; (maitri.u. 6 22.) 'brahmāṇi jīvāḥ sarve 'pi'; ityādau	brahmaNI veditavye a; (mEtri.u. 6 22.) abrahmANi jIvAH sarve api a; iti AdO
   brahmaśabdasteṣu kathamiṣyata ityata āha   kvacidanyatreṣṭo 'pi	brahma SabdaH tezu kaTam izyate iti atas Aha  kvacid anyatra izwaH api
   brahmaśabdaḥ 'upacāreṇa'; paramamukhyavṛttyanyamukhyavṛttyaiva bhavediti /	brahma SabdaH aupacAreNa a; parama muKya vRtti anya muKya vRttyA eva Bavet iti /
   'brahma'; iti bhāgavatasmṛtyarthaḥ / prāgevoktaḥ / madhye	abrahma a; iti BAgavata smRti arTaH / prAk eva uktaH / maDye
   ātmapadopetasādhāraṇasmṛtyupādānanimittaṃ tu abhyāsādityasya 'anyontara	Atma pada upeta sADAraNa smRti upAdAna nimittam tu aByAsa Aditi asya aanyontara
   ātmā'; (tai. u. 2 2 1.) ityādau brahmavācakātmaśabdābhyāsādityapyartho	AtmA a; (tE. u. 2 2 1.) ityAdO brahma vAcaka Atma Sabda aByAsAt iti api arTaH 
   varṇanīya iti jñāpanamityuktaṃ candrikāyām / 'vāsudevātmakam'; iti	varNanIyaH iti jQApanam iti uktam candrikAyAm / avAsudeva Atmakam a; iti
