   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   ākhyātopāttakartustadekatvādeśca prakṛtavidhyaprayuktatve 'pi	AKyAta upAttakartuH tad eka tva AdeH ca prakRta viDi aprayukta tve api
   kṛtinirūpitasamavāyaghaṭitasaṃbandhenaiva bhāvanānvayānnātivyāptiḥ /	kRti nirUpita samavAya Gawita saMbanDena eva BAvanA anvayAt na ativyAptiH /
   yatra tu puruṣasya saṃskāryatvaṃ tatra	yatra tu puruzasya saMskArya tvam tatra
   karmatāsaṃbandhenaivānvayānnāvyāptiḥ /	karmatA saMbanDena eva anvayAn na avyAptiH /
   ataśca śeṣatvavyāpyatvena pāratantryāpādyatvalakṣaṇasyopādeyatvasya	atas ca Seza tva vyApya tvena pAratantrya apAdya tva lakzaNasya upAdeya tvasya
   prādhānyavyāpyatvena coddeśyatvasyāpyanaṅgīkārātkāladeśādiṣu śeṣatve 'pi	prADAnya vyApya tvena ca uddeSya tvasya api anaFgIkArAt kAla deSa Adizu Seza tve api
   copādeyatvatadabhāvarūpoddeśyatvayoranupapattiḥ /	ca upAdeya tva tadaBAva rUpa uddeSya tvayoH anupapattiH /
   prakṛteca prakṛtavidhiprayuktyaviṣayatvarūpoddeśyatvasya	prakRteca prakRta viDi prayukti avizaya tva rUpa uddeSya tvasya
   tadabhāvarūpopādeyatvasya mitho virodhānna tantrasaṃbandhasaṃbhavaḥ /	tad aBAva rUpa upAdeya tvasya miTas viroDAt na tantra saMbanDa saMBavaH /
   iti kaustubhe draṣṭavyamiti //	iti kOstuBe drazwavyam iti //
   (matvarthalakṣaṇāviruddhatrikadvayāpattyādinodbhidādipadānāṃ	(matvarTa lakzaNa avirudDa trika dvaya Apatti AdinA udBida Adi padAnAm
   nāmatvopasaṃhāraḥ) evaṃ ca yugapadbodhe viruddhatrikadvayāpatteḥ	nAmatva upasaMhAraH) evam ca yugapad boDe virudDa trika dvaya ApatteH
   kramikatvāṅgīkāre ca pūrvoktavairūpyāpatteḥ śrūyamāṇasyaiva krameṇa	kramika tva aFgIkAre ca pUrva ukta vErUpya ApatteH SrUyamANasya eva krameNa
   yugapadvobhayaparatvāṅgīkārāyogāt śrūyamāṇo vidhiranyataraparo	yugapadva uBaya paratva aFgIkAra ayogAt SrUyamANaH viDiH anyatara paraH 
   'nyaccārthikamityavaśyābhyupeye vidhyapekṣitatvāt yogyatvācca	anyat ca arTikam iti avaSya aByupeye viDi apekzita tvAt yogya tvAt ca
   bhāvārthādhikaraṇanyāyena karaṇatvameva śābdaṃ prāthamikabhāvanānvaye iti	BAva arTa aDikaraNa nyAyena karaNa tvam eva SAbdam prATamika BAvanA anvaye iti
   pārṣṭhikabodhavelāyāmapi tenaiva rūpeṇa phalānvayo, na tu karmatayā	pArzWika boDa velAyAm api tena eva rUpeNa Pala anvayo, na tu karma tayA
   guṇena, tasya phalasaṃbandhottarakālīnatvenārthikatvāt /	guNena, tasya Pala saMbanDa uttara kAlIna tvena arTika tvAt /
   ataśca guṇasyāpi prāthamikabhāvanānvaye asmaduktarītyā karaṇatvenaiva	atas ca guNasya api prATamika BAvanA anvaye asmad ukta rItyA karaNa tvena eva
   saṃjāte dvitīyabodhavelāyāṃ yāgasaṃbandhasyāvaśyakatve yāgasya phalaṃ	saMjAte dvitIya boDa velAyAm yAga saMbanDasya AvaSyaka tve yAgasya Palam
   prati karaṇatvāt karaṇībhūtaguṇānvayārthaṃ āvaśyakī matvarthalakṣaṇā /	prati karaNa tvAt karaNIBUta guNa anvaya arTam AvaSyakI matu arTa lakzaNAH /
   yeṣāṃ tu prācāṃ mate prathamato 'pi na guṇasya karaṇatvena	yezAm tu prAcAm mate praTamatas api na guNasya karaNa tvena
   bhāvanānvayasteṣāṃ tu prathamata eva sā āvaśyakī	BAvanA anvayaH tezAm tu praTamatas eva sA AvaSyakI
   duruddharetyabhipretyopasaṃharati     ata iti //	durudDara iti aBipretya upasaMharati    atas iti //
   udbhidādīnāmityādipadena yaugikatvasāmyāt vājapeyapadasyāpi saṃgrahaḥ //	udBida AdInAm ityAdi padena yOgika tva sAmyAt vAjapeya padasya api saMgrahaH //
   (vājapeyapade yajisāmānādhikaraṇyopapattyarthaṃ bahuvrīhyāśrayaṇena guṇe	(vAjapeya pade yajisA mAnADikaraNyA upapatti arTam bahu vrIhi ASrayaNena guNe
   karmaṇica tulyavadvṛttikatvasaṃpādanam) yadyapi karmadhārayapakṣe guṇe eva	karmaNi ca tulya vat vRttika tva saMpAdanam) yadi api karma DAraya pakze guNe eva
   yaugikasya vājapeyaśabdasyaikahāyanyādiśabdasyeva matvarthalakṣaṇayā	yOgikasya vAjapeya Sabdasya eka hAyani Adi Sabdasya iva matu arTa lakzaNayA
   guṇavidhiparatvamevāpadyate, na tu udbhidādipadasyeva guṇe karmaṇi ca	guNa viDi paratvam eva Apadyate, na tu udBida Adi padasya iva guNe karmaNi ca
   tulyavadvṛttikatvam; tathāpi matvarthalakṣaṇāpattyā guṇaparatve niraste	tulya vat vRttika tvam; taTA api matu arTa lakzaNa ApattyA guNa paratve niraste
   yajisāmānādhikaraṇyopapattyarthaṃ jaghanyasya bahuvrīherevāśrayaṇena	yajisA mAnADikaraNyA upapatti arTam jaGanyasya bahuvrIheH eva ASrayaNena
   tatprakhyanyāyena nāmadheyatvaṃ nāsulabham /	tad praKya nyAyena nAmaDeya tvam na asulaBam /
   yadyapi bahuvrīhau anyapadārthalakṣaṇāpattyā nāmatvāśrayaṇamapi	yadi api bahuvrIhO anya padArTa lakzaNa ApattyA nAmatva ASrayaNam api
   lakṣaṇāpādakam; tathāpi tasyā nirūḍhatvena padārthabodhavelāyāṃ jātatvāt	lakzaNa ApAdakam; taTA api tasyAH nirUXa tvena padArTa boDa velAyAm jAta tvAt 
   śrutitulyatvena padāntarasāmānādhikaraṇyavattvena vākyārthalakṣaṇāto	Sruti tulya tvena pada antara sAmAna aDikaraNyavat tvena vAkya arTa lakzaNAtas 
   jyāyastvamiti na doṣaḥ /	jyAyaH tvam iti na dozaH /
   yadā tu maduktarītyā pūrvapakṣe 'pi bahuvrīhireva, tadā tu	yadA tu mad ukta rItyA pUrva pakze api bahuvrIhiH eva, tadA tu
   tulyavadvṛttikatvānna ko 'pi doṣaḥ //	tulya vat vRttika tvAt na kaH api dozaH //
   (tatprakhyanyāyena vājapeyanāmatvopapādanam) ato yuktaṃ tatprakhyanyāyena	(tad praKya nyAyena vAjapeya nAma tva upapAdanam) atas yuktam tat praKya nyAyena
   nāmatvam /	nAma tvam /
   saṃbhavati ca saptadaśānāṃ prājāpattyasomagrahāṇāṃ viśeṣata āmnānavat	saMBavati ca saptadaSAnAm prAjApatti asoma grahANAm viSezataH AmnAna vat 
   prājāpatyānāṃ saptadaśa surāgrahān gṛhṇātīti viśeṣata āmnānāt somagrahāṇāṃ	prAjApatyAnAm saptadaSa surA grahAn gRhNAti iti viSezataH AmnAnAt soma grahANAm
   āhavanīyādhvaryukartṛkapracāravat surāgrahāṇāṃ mārjālīye	AhavanIya aDvaryu kartRka pracAra vat surA grahANAm mArjAlIye
   pratiprasthātṛvājasṛtkartṛkapracāravidhānāt surāgrahairapi	pratiprasTAtR vAjasRt kartRka pracAra viDAnAt surA grahEH api
   vājapeyayāgābhyāsāt tatprakhyanyāyaḥ /	vAjapeya yAga aByAsAt tad praKya nyAyaH /
   tatra ca mārjālīye surāgrahaṇamanukampanamātraṃ kṛtvā vājasṛtāṃ bhakṣaṇaṃ	tatra ca mArjAlIye surA grahaNam anukampana mAtram kRtvA vAjasRtAm BakzaNam
   homo 'pi veti pakṣadvaye 'pi yāgābhyāse na vivādaḥ /	homaH api vA iti pakza dvaye api yAga aByAse na vivAdaH /
   evaṃ sthite yadyapi ca sākṣātsurāsaṃbandhitvaṃ yāge na prasiddham /	evam sTite yadi api ca sAkzAt surA saMbanDi tvam yAge na prasidDam /
   tathāca "saptadaśasurāgrahān gṛhṇātī"tyanena grahaṇasaṃskṛtānāṃ surāṇāṃ	taTA ca "saptadaSa surA grahAn gRhNAtI"ti anena grahaNa saMskRtAnAm surANAm
   viniyogāpakṣeyā tena madhugrahaṃ niṣkīṇāti, taṃ sabrahmaṇe sapātramiti	viniyoga apakzeyA tena maDu graham nizkINa ati, tam sa brahmaNe sa pAtram iti
   śapathaśrutyā surāpratigrahakartṛpūrvadattasya	SapaTa SrutyA surA pratigraha kartR pUrva dattasya
   hiraṇyapātrasthamadhugrahasya surāgrahaṇaniṣkrayārthatvena viniyogāt	hiraNya pAtra sTa maDu grahasya surA grahaNa nizkraya arTa tvena viniyogAt 
   madhugrahasyāpi ca sapātrasya brahmasaṃpradānake dāne viniyogātparaṃparayā	maDu grahasya api ca sa pAtrasya brahma saMpradAnake dAne viniyogAt paraMparayA
   yāge surāsaṃbandhitvasiddhiriti pūjyapādānāṃ kaustubhe	yAge surA saMbanDi tva sidDiH iti pUjya pAdAnAm kOstuBe
   surāsaṃbandhitvopapādanaprayāsakaraṇaṃ vṛthaiva /	surA saMbanDi tva upapAdana prayAsa karaNam vRTA eva /
   yadyapyagnīṣomādipadavadvājapeye bṛhatsāmakasya viṣṇau ityasyāmṛci	yadi api agnIzoma Adi pada vat vAjapeye bRhat sAmakasya vizNO iti asyAmRci
   vājapeyastotrasyānte āmnānāttenaiva kratusamāpteḥ	vAjapeya stotrasya ante AmnAnAt tena eva kratu samApteH
   vājapeyastotrakṛtasamāptimattvenaiva vājapeyapadapravṛttiḥ śakyate eva	vAjapeya stotra kRta samAptimat tvena eva vAjapeya pada pravRttiH Sakyate eva
   vaktuṃ; tathāpi "prajāpatirakāmayata vājamāpnuyāt svargalokamiti sa etaṃ	vaktuM; taTA api "prajApatiH akAmayata vA Ajam ApnuyAt svarga lokam iti saH etam
   vājapeyamapaśyadvājaṃ peyo vā eṣa vājapeyaḥ etena svargaṃ lokaṃ āpnotī"ti	vAjapeyam apaSyat vAjam peyaH vE eza vAjapeyaH etena svargam lokam ApnotI"ti
   tāṇḍibrāhmaṇe arthavāde vājarūpānnapeyatvayogenaiva	tANxi brAhmaNe arTa vAde vAja rUpAt na peya tva yogena eva
   vājapeyaśabdanirvacanāt vājaṃ peyamasminniti yogārthasyaiva anusaraṇaṃ	vAjapeya Sabda nirvacanAt vAjam peyam asmin= iti yoga arTasya eva anusaraNam
   mīmāṃsakānāmiti dhyeyam /	mImAMsakAnAm iti Dyeyam /
   prayojanaṃ pūrvapakṣe vyaktatve 'pi dravyasādṛśyena	prayojanam pUrva pakze vyakta tve api dravya sAdRSyena
   balavataiṣṭikavidhyantaḥ siddhānte spaṣṭatvācca noktam //	balavatEzwika viDi antaH sidDAnte spazwa tvAt ca na uktam //
   iti ṣaṣṭhaṃ viśiṣṭavidhyākṣepādhikaraṇam (vājapeyādhikaraṇam) <B1>	iti zazWam viSizwa viDi Akzepa aDikaraNam (vAjapeya aDikaraNam) <B1>
   (7 adhikaraṇam / )	(7 aDikaraNam / )
   tadguṇāstu vidhīyeran avibhāgādvidhānārthe //	tad guNAH tu viDIyeran aviBAgAt viDAna arTe //
   "āgneyo 'ṣṭākapālo 'māvāsyāyāṃ paurṇamāsyāṃ cācyuto bhavatī" tyādau	"AgneyaH azwAkapAlaH amAvAsyAyAm pOrNamAsyAm ca acyutaH BavatI" tyAdO
   āgneyaśabdo guṇavidhiḥ karmanāmadheyamiti cintāyāṃ agnermantravarṇādeva	Agneya SabdaH guNa viDiH karma nAmaDeyam iti cintAyAm agneH mantra varNAt eva
   prāptatvādāgneyapadaṃ nāmadheyam iti prāpte     puroḍāśakarmikāyā	prApta tvAt Agneya padam nAmaDeyam iti prApte    puroxASa karmikAyA
   bhāvanāyā mantrāpekṣābhāvānmantrasya ca tatrāyogyatvānnopāṃśuyāja iva	BAvanAyAH mantra apekzA BAvAt mantrasya ca tatra ayogya tvAt na upAMSu yAjaH iva
   mantrasya devatākalpakatvam /	mantrasya devatA kalpaka tvam /
   nacāghāravadvācaniko viniyogo mantrasya, yena tatkalpakatvaṃ saṃbhāvyeta /	naca AGAra vat vAcanikaH viniyogaH mantrasya, yena tad kalpaka tvam saMBAvyeta /
   na ca mantrasyāṣṭākapālakarmakabhāvanāṅgatve pramāṇamasti, prakaraṇasya	na ca mantrasya azwAkapAla karmaka BAvanA aFga tve pramANam asti, prakaraNasya
   upāṃśuyājādiṣvapyaviśiṣṭatvāt /	upAMSuyAja Adizu api aviSizwa tvAt /
   nāpi kramaḥ, brāhmaṇapāṭhakramāpekṣayā mantrapāṭhakramavaiparītyasya	na api kramaH, brAhmaNa pAWa krama apekzayA mantra pAWa krama vEparItyasya
   pañcame vakṣyamāṇatvāt /	paQcame vakzyamANa tvAt /
   atastatprakhyanyāyābhāvānnāmatvānupapatterdravyadevatobhayaviśiṣṭabhāvanāvidhipratītestasya	atas tad praKya nyAya aBAvAt nAmatva anupapatteH dravya devatA uBaya viSizwa BAvanA viDi pratIteH tasya
   ca yāgamantareṇānupapatterbhūdhātunā tallakṣaṇāt	ca yAgam antareNa anupapatteH BU DAtunA tad lakzaNAt 
   sakalaviśeṣaṇaviśiṣṭayāgabhāvanāvidhānena arthādviśeṣaṇānāmapi	sakala viSezaNa viSizwa yAga BAvanA viDAnena arTAt viSezaNAnAm api
   vidhikalpanāt guṇavidhirevāgneyaśabdaḥ //	viDi kalpanAt guNa viDiH eva Agneya SabdaH //
   prayojanaṃ "āgneyaṃ paya" ityādau nāmātideśenāgneyavidhyantaḥ pūrvapakṣe,	prayojanam "a Agneyam paya" ityAdO nAma atideSena Agneya viDi antar pUrva pakze,
   siddhānte tu sānnāyyavidhyantaḥ // 7 // 23 // iti saptamamāgneyādhikaraṇam	sidDAnte tu sAnnAyya viDi antaH // 7 // 23 // iti saptamam Agneya aDikaraNam
   <B2> (pūrvādhikaraṇenāpavādikasaṃgatinirūpaṇam) ākṣepasamādhānārthasyāpi	<B2> (pUrva aDika raNena apavAdika saMgati nirUpaNam) Akzepa samADAna arTasya api
   pūrvādhikaraṇasya nāmatāsādhakatvādākṣepasamādhānābhyāṃ sādhitasya	pUrva aDikaraNasya nAmata asADaka tvAt Akzepa samADAnAByAm sADitasya
   nāmatvasyeha siddhānte 'pavādakaraṇāt āpavādakīṃ saṅgatiṃ	nAma tvasya iha sidDAnte apavAda karaNAt ApavAdakIm saFgatim
   spaṣṭatvādanabhidhāya viṣayavākyapradarśanapūrvikāṃ cintāṃ darśayati    	spazwa tvAt anaBiDAya vizaya vAkya pradarSana pUrvikAm cintAm darSayati    
   āgneyo 'ṣṭākapāla iti //	AgneyaH azwAkapAlaH iti //
   (prākṛtavaikṛtavākyāntarāṇāmapyetadadhikaraṇaviṣayatvam) ādipadena	(prAkRta vEkRta vAkya antarANAm api etat aDikaraNa vizaya tvam) Adipadena
   "agnīṣomīyamekādaśakapālaṃ aindraṃ dadhyamāvāsyāyā"miti prākṛtānāṃ	"agnIzomIyam ekAdaSa kapAlam Endram daDi amAvAsyAyA"m iti prAkRtAnAm
   "āgneyaṃ paya" "aindraḥ puroḍāśa" iti vaikṛtānāṃ ca vākyānāṃ saṃgrahaḥ //	"a Agneyam paya" "A EndraH puroxASa" iti vEkRtAnAm ca vAkyAnAm saMgrahaH //
   (āgneyanāmatāguṇavidhitvaparatvanirāsena	(a Agneya nAmatA guNa viDi tva paratva nirAsena
   sarvaviśiṣṭavidhiviṣayatvametadadhikaraṇasyeti	sarva viSizwa viDi vizaya tvam etat aDikaraNasya iti
   nyāyasudhākāramatatatkhaṇḍane) atra nyāyasudhākṛtā    	nyAya suDA AkAra mata tat KaNxane) atra nyAya suDA kRtA    
   "āgneyapadasyāṣṭākapālādidravyasāmānādhikaraṇyāt	"a Agneya padasya azwAkapAla Adi dravya sAmAna aDikaraNyAt
   karmaṇaścāśravaṇānmantratastu virodhe syādi" tyadhikaraṇe pañcame	karmaNaH ca aSravaNAt mantrataH tu viroDe syAt i" tyaDikaraNe paQcame
   āgneyāgnīṣomīyayoḥ brāhmaṇakramaviparyayeṇa mantrakramāmnānasya	Agneya agnIzomIyayoH brAhmaNa krama viparyayeNa mantra kramAmnAnasya
   vakṣyamāṇatvena kramaviniyuktamantrābhāvāt śrutyaviniyuktānāṃ ca mantrāṇāṃ	vakzyamANa tvena krama viniyukta mantra aBAvAt Sruti aviniyuktAnAm ca mantrANAm
   svārthasamavāyakalpakatvābhāvāt māntravarṇikadevatākalpanānupapatteḥ	sva arTa samavAya kalpaka tva aBAvAt mAntra varNika devatA kalpanA anupapatteH
   dravyadevatāsaṃyogenāpi yāgasya kalpayitumaśakyatvādā"gneyaṃ caturdhā	dravya devatA saMyogena api yAgasya kalpayitum aSakya tvAt A"gneyam caturDA
   karotī" tyādivyavahārasya ca dravyaviṣayatvena	karotI" tyAdi vyavahArasya ca dravya vizaya tvena
   karmanāmānapekṣatvānniṣprayojanatvenāpi nāmatvāśaṅkānupapatteḥ na	karma nAma anapekza tvAt nizprayojana tvena api nAma tva ASaFkA anupapatteH na
   nāmatvacintā yuktā; ataḥ pūrvādhikaraṇe tantrasaṃbandhānupapattyā	nAma tva cintA yuktA; atas pUrva aDikaraNe tantra saMbanDa anupapattyA
   viśiṣṭavidhau niraste kvacidapi tarhyanāvṛttena pratyayena viśiṣṭavidhirna	viSizwa viDO niraste kvacid api tarhi anAvRttena pratyayena viSizwa viDiH na
   saṃbhavatītyāśaṅkya viśiṣṭavidhivyutpādanāyaivaitadadhikaraṇam /	saMBavati iti ASaFkya viSizwa viDi vyutpAdanAya eva etat aDikaraNam /
   tadvyutpādanasya cotpattiśiṣṭaguṇabalīyastvasiddhiḥ prayojanam /	tad vyutpAdanasya ca utpatti Sizwa guNa balIyaH tu asidDiH prayojanam /
   tasya nāmatā /	tasya nAmatA /
   somaviśiṣṭe hyutpanne śuddhānuvādāsaṃbhavānna	soma viSizwe hi utpanne SudDa anuvAda asaMBavAn na
   khanitrādistatretyudbhidādernāmatā sidhyati /	Kanitra AdiH tatra iti udBida AdeH nAmatA siDyati /
   śrutena tu pratyayena śuddhaṃ yāgaṃ vidhāyopapadānarthakyaparijihīrṣayā	Srutena tu pratyayena SudDam yAgam viDAya upapadA narTakya parijihIrzayA
   tadarthavidhināyāśrutapratyayāntarakalpane śrutasyaivāvṛttikalpane	tad arTa viDinAya aSruta pratyaya antara kalpane Srutasya eva avRtti kalpane
   śuddhayāgānuvādenodbhitsomayorvihitayoḥ tulyabalatvena vikalpopapatterna	SudDa yAga anuvAdena udBitsomayoH vihitayoH tulya bala tvena vikalpa upapatteH na
   nāmatā sidhyatīti nāmadheyatvaṃ draḍhayituṃ viśiṣṭavidhiriha vyutpādyate	nAmatA siDyati iti nAmaDeya tvam draXayitum viSizwa viDiH iha vyutpAdyate
   saprayojanaḥ /	sa prayojanaH /
   evañca sarvecātra viśiṣṭavidhayaḥ udāharaṇamiti	evaQca sarveca atra viSizwa viDayaH udAharaNam iti
   bhāṣyavārtikayorguṇavidhināmadheyacintā pūrvāpavādatvena saṅgatiṃ vaktuṃ	BAzya vArtikayoH guNa viDi nAmaDeya cintA pUrva apavAda tvena saFgatim vaktum
   kṛtā /	kRtA /
   athavā    guṇavidhyasaṃbhave sthite vaiyarthyaparihārāya saṃbhavamātreṇa	aTavA   guNa viDi asaMBave sTite vEyarTya parihArAya saMBava mAtreNa
   nāmatvamuktam /	nAma tvam uktam /
   etadadhikaraṇaṃ tu viśiṣṭavidhivyutpādanamātrārthatvameveti     uktam,	etat aDikaraNam tu viSizwa viDi vyutpAdana mAtra arTa tvam eva iti    uktam,
   tadayukta miti sūcayituṃ yathābhāṣyavārtikaṃ guṇavidhiḥ karmanāmadheyamiti	tat ayukta miti sUcayitum yaTABAzya vArtikam guNa viDiH karma nAmaDeyam iti
   cintāyāṃ niveśitam /	cintAyAm niveSitam /
   ayamāśayaḥ     na tāvadatra viśiṣṭavidhivyutpādanaṃ nāmatvavicāre	ayam ASayaH    na tAvat atra viSizwa viDi vyutpAdanam nAma tva vicAre
   saṅgatam; utpattiśiṣṭaguṇabalīyastvasidhyā viśiṣṭavidhivicārasya	saFgatam; utpatti Sizwa guNa balIyaH tu asiDyA viSizwa viDi vicArasya
   saprayojanatve 'pi tadbalīyastvena	sa prayojana tve api tad balIyaH tu ena
   vājinayāgavadguṇaviśiṣṭakarmāntarasyaivodbhidādivākyeṣvāpattyā	vAjina yAga vat guNa viSizwa karma antarasya eva udBida Adi vAkyezu ApattyA
   guṇavidhitvanirāsāsaṃbhavena nāmatāyāmasādhakatvāt, yadi vājinavākye	guNa viDi tva nirAsA saMBavena nAmatAyAm a sADaka tvAt, yadi vA ajina vAkye
   rūḍhibalīyastvena vājinapadasyotpattiśiṣṭaguṇabalīyastvenāpi na	rUXi balIyaH tvena vA ajina padasya utpatti Sizwa guNa balIyaH tvena api na
   nāmatetyucyeta, tadodbhidādipadānāmarūḍhatvena tulyavadvṛttikatayaiva	nAmata iti ucyeta, tadA udBidAdi padAnAm arUXa tvena tulya vat vRttika tayA eva
   nāmatāsiddheḥ kimutpattiśiṣṭaguṇabalīyastvena? kiñca viśiṣṭavidhyabhāve	nAmata asidDeH kim utpatti Sizwa guNa balIyaH tu ena? kiQca viSizwa viDi aBAve
   'pi na khanitrasya vikalpaḥ saṃbhavati; udbhidādivākyeṣu	api na Kanitrasya vikalpaH saMBavati; udBida Adi vAkyezu
   yāgānuvādāsiddheḥ, "somena yajete"ti vākyasya pūrvapravṛttyāśrayaṇena	yAga anuvAda asidDeH, "somena yajeta i"ti vAkyasya pUrva pravRtti ASrayaNena
   śuddhayāgavidhāne 'pi tadānīmevopasthitopapadānarthakyaparihārāya	SudDa yAga viDAne api tadA anIm eva upasTita upapadA narTakya parihArAya
   kalpitenāvṛttena tenaiva vā vidhipratyayena svavākyopasthitayāgānuvādena	kalpitena avRttena tena eva vA viDi pratyayena sva vAkya upasTita yAga anuvAdena
   some vihite tenaiva nirākāṅkṣīkṛte yāgenaiva	some vihite tena eva nirAkAFkzIkRte yAgena eva
   vākyāntaropāttakhanitrādividhānaṃ saṃbhavatīti tatra	vAkya antara upAtta Kanitra Adi viDAnam saMBavati iti tatra
   karmāntaravidhānasyaivāpattirna tu vikalpaḥ /	karma antara viDAnasya eva ApattiH na tu vikalpaH /
   nahyutpattiśiṣṭaguṇabalīyastve nirākāṅkṣatāpādanātiriktamanyat	nahi utpatti Sizwa guNa balIyaH tve nirAkAFkzata ApAdana atiriktam anyat
   kiñcitkaraṇamasti, tattu viśiṣṭavidhyabhāve 'pi sukaramiti /	kiQcitkaraNam asti, tat tu viSizwa viDi aBAve api sukaram iti /
   ataeva     tatra viśiṣṭavidhiṃ matvarthalakṣaṇāpattyā nirasya	ataeva    tatra viSizwa viDim matu arTa lakzaNa ApattyA nirasya
   yaugikatvādinaiva nāmatvamākare sādhitamityasaṅgataṃ	yOgika tva AdinA eva nAma tvam Akare sADitam iti asaFgatam
   viśiṣṭavidhivyutpādanam apica sannikṛṣṭavidhau	viSizwa viDi vyutpAdanam api ca sannikRzwa viDO
   asaṃbhavanibandhanatvādviprakṛṣṭayorviśeṣaṇaviśeṣyayoryugapadvidheyatvasya	asaMBava nibanDana tvAt viprakRzwayoH viSezaNa viSezyayoH yugapad viDeya tvasya
   sannikṛṣṭavidhānārthaṃ ca tasyasaṃbhavaḥ viprakṛṣṭavidhānārthaṃ	sannikRzwa viDAna arTam ca tasyasaMBavaH viprakRzwa viDAna arTam
   tasyāsaṃbhavaścābhyupagantavyaḥ syāditi yugapat	tasya asaMBavaH ca aByupagantavyaH syAt iti yugapad 
   viruddhasaṃbhavāsaṃbhavāyogānna kvacit sakṛcchrutena pratyayena	virudDa saMBava asaMBava ayogAt na kvacid sakRt Srutena pratyayena
   viśiṣṭavidhiḥ saṃbhavatīti tvaduktapūrvapakṣasya somena	viSizwa viDiH saMBavati iti tvad ukta pUrva pakzasya somena
   yajetetyatrevāgneyādivākyeṣvapi	yajeta iti atra iva Agneya Adi vAkyezu api
   saṃbhavādanekaguṇopādānanimittavākyabhedāpattihetukapūvrapakṣābhidhānamāgneyādivākye	saMBavAt aneka guNa upAdAna nimitta vAkya BedA patti hetuka pUvra pakza aBiDAnam Agneya Adi vAkye
   bhāṣyakārasya śūnyahṛdayatāmevāpādayet /	BAzya kArasya SUnya hRdaya tAm eva ApAdayet /
   ataḥ saṅgatatvādguṇavidhināmadheyavicāra eva yukta iti //	atas saFgata tvAt guNa viDi nAmaDeya vicAraH eva yuktaH iti //
   (tatprakhyanyāyenāgneyapadanāmatvopapādanam) kathaṃ tarhi	(tad praKya nyAyena Agneya pada nAma tva upapAdanam) kaTam tarhi
   nyāyasudhoktadūṣaṇasamūhe vidyamāne nāmatāpūrvapakṣasiddhirityata āha    	nyAya suDA ukta dUzaNa samUhe vidyamAne nAmatA pUrva pakza sidDiH iti atas Aha    
