   Abkürzungsverzeichnis	AbkürzungsveH zeiCnis
   [58.20]     bṛhannāradīye: "sa kadācin mahāpāpo jantūnāmantakopamaḥ //"	[58.20]     bRhat nAradIye: "sa kadAcid mahA pApaH jantUn Am antaka upamaH //"
   [BṛhannāradaP]	[BRhat nArada P]
   [58.21]     ity ārabhya	[58.21]     iti AraBya
   [58.22]     "tasyopavanamadhyasthaṃ ramyaṃ keśavamandiram /	[58.22]     "tasya upavana maDya sTam ramyam keSava mandiram /
   [58.23]     chāditaṃ hemakavacaiḥ dṛṣṭvā vyādho mudā yayau //	[58.23]     CAditam hema kavacEH dRzwvA vyADaH mudA yayO //
   [BṛhannāradaP]	[BRhat nArada P]
   [58.24]     harāmy atra suvarṇāni bahūnīti sa niścitaḥ /	[58.24]     harAmi atra suvarNAni bahUni iti sa niScitaH /
   [58.25]     jagāma viṣṇubhavanaṃ kīnāśaś cauryalolupaḥ // [BṛhannāradaP]	[58.25]     jagAma vizNu Bavanam kInASaH cOrya lolupaH // [BRhat nArada P]
   [59.1]     tatrāpaśyad dvijavaraṃ śāntaṃ tattvārthakovidam /	[59.1]     tatra apaSyat dvija varam SAntam tattva arTa kovidam /
   [59.2]     paricaryāparaṃ viṣṇor udaṅkaṃ tapasāṃ nidhim // [BṛhannāradaP]	[59.2]     paricaryA param vizNoH udaFkam tapasAm niDim // [BRhat nArada P]
   [59.3]     ekāntinaṃ dayāluñ ca nisspṛhaṃ dhyānalolupam /	[59.3]     ekAntinam dayAlun ca nisspRham DyAna lolupam /
   [59.4]     dṛṣṭvā taṃ lubdhako mene svakāryasyāntarāyinam //	[59.4]     dRzwvA tam lubDakaH mene sva kAryasya antarAyinam //
   [BṛhannāradaP]	[BRhat nArada P]
   [59.5]     devasya dravyajātan tu samādātumanā niśi //" [BṛhannāradaP]	[59.5]     devasya dravya jAtan tu samAdAtu manAH niSi //" [BRhat nArada P]
   [59.6 7]     ityādināpṛthagālayārcakasadbhāvādikaṃ uktvā svakāryāntarāya	[59.6 7]     ityAdinA pRTak Alaya arcaka sadBAva Adikam uktvA sva kArya antarAya
   bhūtārcakahiṃsāyāṃ pravṛttasya tasya maraṇam api pratipādya.	BUta arcaka hiMsAyAm pravRttasya tasya maraNam api pratipAdya.
        [viṣṇupādodakamāhātmyam]	[vizNu pAda udaka mAhAtmyam]
   [59.8]     "udaṅkaḥ patitaṃ prekṣya lubdhakantu dayāparaḥ /	[59.8]     "udaFkaH patitam prekzya lubDakantu dayA paraH /
   [59.9]     viṣṇupādodakenainam abhyaṣiñ canmahāmuniḥ //	[59.9]     vizNu pAda udakena enam aByazin cat mahA muniH //
   [59.10]     haripādodakas parśāl lubdhako vītakalmaṣaḥ /	[59.10]     haripAda udakaH parSAt lubDakaH vIta kalmazaH /
   [59.11]     divyaṃ vimānamāruhya munim enam athābravīt //"	[59.11]     divyam vimAnam Aruhya munim enam aTa abravIt //"
   [59.12] iti bhagavatpādodakamāhātmyaṃ ca pratipāditam.	[59.12] iti Bagavat pAda udaka mAhAtmyam ca pratipAditam.
   [59.13] tatraiva   yajñadhvajavītihotrasaṃvāde:	[59.13] tatra eva  yajQa Dvaja vItihotra saMvAde:
        [ālaye dīpasthāpanādeḥ phalam]	[a Alaye dIpa sTApana AdeH Palam]
   [59.14]     "sa kadācit tu kāmāndho rantukāmaḥ parastriyam /	[59.14]     "sa kadAcid tu kAma anDaH rantu kAmaH para striyam /
   [59.15]     śūnyaṃ pūjādibhir viṣṇor mandiraṃ prāptavān niśi //	[59.15]     SUnyam pUjA AdiBiH vizNoH mandiram prAptavAn niSi //
   [59.16]     tatra kāmopabhogārthaṃ śayituṃ tena kāminā /	[59.16]     tatra kAma upaBoga arTam Sayitum tena kAminA /
   [59.17]     svavastraprāntato brahman kṛtaṃ taddeśamārjanam //	[59.17]     sva vastra prAntataH brahman kRtam tad deSa mArjanam //
   [59.18]     yāvantaḥ pāṃsukaṇikāḥ tena sammārjitās tadā /	[59.18]     yAvantaH pAMsu kaNikAH tena sammArjitAH tadA /
   [59.19]     tāvaj janmakṛtaṃ pāpaṃ tadaiva kṣayam āgatam //	[59.19]     tAvat janma kRtam pApam tadA eva kzayam Agatam //
   [59.20]     pradīpaḥ sthāpitas tatra suratārthaṃ dvijottama /	[59.20]     pradIpaH sTApitaH tatra surata arTam dvijottamaH /
   [59.21]     tenāpi tasya duṣkarma niśśeṣaṃ kṣayam āgatam //	[59.21]     tena api tasya duzkarma niSSezam kzayam Agatam //
   [59.22]     avaśenāpi yatkarma kṛtvemāṃ siddhim āgataḥ /	[59.22]     avaSena api yat karma kRtvA imAm sidDim AgataH /
   [59.23]     bhaktimadbhiḥ praśāntaiś ca kiṃ punas samyagarcanāt //	[59.23]     BaktimadBiH praSAntEH ca kim punar samyak arcanAt //
        [ālayapradakṣiṇaphalam]	[Alaya pradakziNa Palam]
   [60.1]     tasmāc chruṇuta viprendrāḥ devo nārāyaṇo 'vyayaḥ /	[60.1]     tasmAt SruNuta vipra indrAH devaH nArAyaNaH avyayaH /
   [60.2]     jñānato 'jñānato vāpi pūjakānāṃ vimuktidaḥ //"	[60.2]     jQAnataH ajQAnataH vA api pUjakAnAm vimukti daH //"
   [60.3]     tathā tatraiva   indrasudharmasaṃvāde:	[60.3]     taTA tatra eva  indra suDarma saMvAde:
   [60.4]     "ahamāsaṃ purā śakra gṛdhraḥ pāpāvaśeṣataḥ /	[60.4]     "ahamAsam purA Sakra gRDraH pApO= aSezataH /
   [60.5]     sthitaś ca bhūmibhāge vai amedhyāmiṣabhojanaḥ //	[60.5]     sTitaH ca BUmi BAge vE ameDya Amiza BojanaH //
   [60.6]     ekadāhaṃ viṣṇugṛhe prākāre saṃsthitaḥ prabhoḥ /	[60.6]     ekadA aham vizNu gRhe prAkAre saMsTitaH praBoH /
   [60.7]     patito vyādhaśastreṇa sāyaṃ viṣṇugṛhaṃ gate //	[60.7]     patitaH vyADa SastreNa sAyam vizNu gRham gate //
   [60.8]     mayi kaṇṭhagataprāṇe kaścit śvā māṃsalolupaḥ /	[60.8]     mayi kaNWa gata prANe kaScid SvA mAMsa lolupaH /
   [60.9]     jagraha māṃ svavaktreṇa śvabhir anyair abhidrutaḥ //	[60.9]     jagraha mAm sva vaktreNa SvaBiH anyEH aBidrutaH //
   [60.10]     gataḥ pradakṣiṇākāraṃ viṣṇos tanmandiraṃ prabhoḥ /	[60.10]     gataH pradakziNa AkAram vizNoH tad mandiram praBoH /
   [60.11]     tenaiva tuṣṭim āpannaḥ antarātmā jaganmayaḥ //	[60.11]     tena eva tuzwim ApannaH antarAtmA jagat mayaH //
   [60.12]     mama cāpi śunaś cāpi dattavān paramaṃ padam /	[60.12]     mama ca api SunaH ca api dattavAn paramam padam /
   [60.13]     pradakṣiṇākāratabis hier noch Telugu vergleichenyā gatasya	[60.13]     pradakziNa AkAratabiH hieH na uC Telugu vergleiCenyAH gatasya
   sadṛśaṃ phalam //	sadRSam Palam //
   [60.14]     samprāptaṃ tu mayā śakra*{512}* kiṃ punas samyag arcanāt /	[60.14]     samprAptam tu mayA Sakra*{512}* kim punar samyak arcanAt /
   [60.15]     ye 'rcayanti sadā bhaktyā nārāyaṇam anāmayam /	[60.15]     ye arcayanti sadA BaktyA nArAyaNam anAmayam /
   [60.16]     tān arcayanti vibudhā brahmādyā devatāgaṇāḥ //"*{513}* iti	[60.16]     tAn arcayanti vibuDAH brahma AdyAH devatA gaNAH //"*{513}* iti
        [amedhyāni pañca]	[ameDyAni paQca]
   [60.17]     evam āśvamedhike: "loke trīṇy apavitrāṇi pañcāmedhyāni bhārata	[60.17]     evam ASvameDike: "loke trINi apavitrANi paQca ameDyAni BArata
   / [MBh 13, App. 4.3249]	/ [MB 13, App. 4.3249]
   [60.18]     śvā ca śūdraś śvapākaś ca tryapavitrāṇi pāṇḍava /*{514}* [MBh	[60.18]     SvA ca SUdraH SvapAkaH ca tri apavitrANi pANxavaH /*{514}* [MBh
   13, App. 4.3250]	13, App. 4.3250]
   [60.19]     devalaḥ kukkuṭo yūpaḥ udakyā vṛṣalīpatiḥ //" [MBh 13, App.	[60.19]     devalaH kukkuwaH yUpaH udakyA vRzalI patiH //" [MB 13, App.
   [60.20]     pañcamedhyāni*{515}* iti.	[60.20]     paQca meDya ani*{515}* iti.
        [bhagavatpūjādyanadhikāriṇaḥ]	[Bagavat pUjA Adi anaDikAriNaH]
   [60.21]     śrīvaikhānase: "sūtādipratilomāś ca pāṣaṇḍāḥ patitās tathā /	[60.21]     SrI vEKAnase: "sUta Adi pratilomAH ca pAzaNxAH patitAH taTA /
   [60.22]     nāstikā bhinnamaryādās tathā vedavidūṣakāḥ //	[60.22]     nAstikAH Binna maryAdAH taTA veda vidUzakAH //
   [60.23]     pāparogayutāś caiva tathaiva gurunindakā /	[60.23]     pApa roga yutAH ca eva taTA eva guru nindakA /
   [60.24]     arcanaṃ devadevasya havirdānañ ca vīkṣitum /	[60.24]     arcanam devadevasya haviH dAnan ca vIkzitum /
   !{512}! DHN[T] 253: samprāptaṃ vibudhaśreṣṭha.	!{512}! DHN[T] 253: samprAptam vibuDa SrezWa.
   !{513}! Ähnlich zitiert als "Bṛhannāradīyapurāṇa" in DHN[D] 119.3 4.	!{513}! ÄhnliC zitiert alH "BRhat nAradIya purANa" id DHN[D] 119.3 4.
   !{514}! MBh: śvā ca śūdraś śvapākaś cety apavitrāṇi pāṇḍava.	!{514}! MBh: SvA ca SUdraH SvapAkaH ca iti apavitrANi pANxava.
   !{515}! DHN[T] 253 om. pañcamedhyāni.	!{515}! DHN[T] 253 om. paQcameDyAni.
   [61.1]     nārhanti tasmāt kurvīta dvāraṃ yavanikāvṛtam //"	[61.1]     na arhanti tasmAt kurvIta dvAram yavanikA AvRtam //"
   [61.2 3]     iti pratipādanāt bhagavadarcanadarśanādiṣu yogyatārahitānāṃ	[61.2 3]     iti pratipAdanAt Bagavat arcana darSana Adizu yogya tA rahitAnAm
   nikṛṣṭānāṃ (devalakānāṃ) autkṛṣṭyaṃ na sambhavati.*{516}*	nikRzwAnAm (devalakAnAn) OtkRzwyam na samBavati.*{516}*
        [advārakabhagavadyājinām utkṛṣṭatvam]	[advAraka Bagavat yAjinAm utkRzwa tvam]
   [61.4 6]     śrutismṛtipurāṇādiṣūktaprakāreṇa kalpasūtre*{517}* yeṣām	[61.4 6]     Sruti smRti purANa Adizu ukta prakAreNa kalpa sUtre*{517}* yezAm
   advārakabhagavadyajanādhikāro vidhīyate te utkṛṣṭā jñeyāḥ*{518}*. yathā	advAraka Baga vat yajana aDikAraH viDIyate te utkRzwAH jQeyAH*{518}*. yaTA
   śrutiḥ: "yathā kratur asmin loke bhavati tathetaḥ pretya bhavati"*{519}*	SrutiH: "yaTA kratuH asmin loke Bavati taTA itas pretya Bavati"*{519}*
   iti.	iti.
   [61.7]     smṛtiś ca*{520}*: "vedoktenaiva bhārgeṇa*{521}* sarvabhūtahṛdi	[61.7]     smRtiH ca*{520}*: "veda uktena eva BArgeNa*{521}* sarva BUta hRdi
   sthitam /	sTitam /
   [61.8]     mām arcayanti ye bhaktās*{522}* sāyujyaṃ yānti te mama //	[61.8]     mAm arcayanti ye Bakta As*{522}* sAyujyam yAnti te mama //
   [61.9]     tasmād yāvaj jano jīvet tāvat sampūjayed dharim /	[61.9]     tasmAt yAvat janaH jIvet tAvat sampUjayet Darim /
   [61.10]     pāpair na lipyate martyo*{523}* harimandiram āpnuyāt //	[61.10]     pApEH na lipyate martyaH *{523}* hari mandiram ApnuyAt //
   [61.11]     jagat pavitrās te nityaṃ viṣṇum abhyarcayanti ye /	[61.11]     jagat pavitrAH te nityam vizNum aByarcayanti ye /
   [61.12]     durvṛttā vā suvṛttā vā pūjanīyā viśeṣataḥ //"	[61.12]     durvRttA vA su vRttA vA pUjanIyAH viSezataH //"
        [vaikhānasānāṃ bhagavatprītipātratvam]	[vEKAnasAnAm Bagavat prIti pAtra tvam]
   [61.13 16]     vyāsenapi*{524}* ānuśāsanike (90. adhyāye)	[61.13 16]     vyAsenapi*{524}* AnuSAsanike (90. aDyAye)
   pātrakathanāvasare*{525}* devalakānām apātratāṃ satkarmaniṣṭhānāṃ pātratāñ	pAtra kaTanAvasare*{525}* devalakAnAm apAtra tAm sat karma nizWAnAm pAtra tAn 
   ca pratipādya svavacanadṛḍhīkaraṇārthaṃ "vaikhānasā vā ṛṣaya indrasya	ca pratipAdya sva vacana dRXIkaraNa arTam "vEKAnasAH vE RzayaH indrasya
   priyā āsan"*{526}* iti bhagavatprītiviṣayāṇāṃ*{527}* vaikhānasānāṃ vacanam	priyAH Asan"*{526}* iti Bagavat prIti vizayANAM*{527}* vEKAnasAnAm vacanam
   api śrūyate iti pratipāditam. yathā:	api SrUyate iti pratipAditam. yaTA:
   [61.17]     *{528}*"ṛṣīṇāṃ samayaṃ nityaṃ ye rakṣanti yudhiṣṭhira /*{529}*	[61.17]     *{528}*"RzINAm samayam nityam ye rakzanti yuDizWira /*{529}*
   [61.18]     niścitāḥ sarvadharmajñās tān devā brāhmaṇān viduḥ // [MB.h	[61.18]     niScitAH sarva Darma jQAH tAn devAH brAhmaNAn viduH // [MB.h
   [61.19]     svādhyāyaniṣṭhā ṛṣayo*{530}* jñānaniṣṭhās tathaiva ca /	[61.19]     svADyAya nizWAH RzayaH *{530}* jQAna nizWAH taTA eva ca /
   [61.20]     taponiṣṭhāś ca boddhavyāḥ karmaniṣṭhāś ca bhārata // [MBh	[61.20]     tapaH nizWAH ca bodDavyAH karma nizWAH ca BArata // [MBh
   [61.21]     kavyāni jñānaniṣṭhebhyaḥ pratiṣṭhāpyāni bhārata /	[61.21]     kavyAni jQAna nizWeByaH pratizWApyAni BArata /
   [61.22]     tatra ye brāhmaṇān ke cin na ca nindanti te varāḥ //*{531}*	[61.22]     tatra ye brAhmaNAn ke cit na ca nindanti te varAH //*{531}*
   [MBh 13.9.44]	[MBh 13.9.44]
   [61.23]     ye tu nindanti jalpeṣu na tāñ śrāddheṣu bhojayet /	[61.23]     ye tu nindanti jalpezu na tAn SrAdDezu Bojayet /
   [61.24]     brāhmaṇā ninditā rājan hanyus tripuruṣaṃ kulam //*{532}* [MBh	[61.24]     brAhmaNAH ninditAH rAjan hanyuH tri puruzam kulam //*{532}* [MBh
   !{516}! DHN[T] 254 statt DHN[D] 61.2 3: (iti) bhagavaddarśanādiṣu	!{516}! DHN[T] 254 statt DHN[D] 61.2 3: (iti) Bagavat darSana Adizu
   yogyatārahitānāṃ nikṛṣṭānāṃ utkṛṣṭatvādikaṃ na sambhavati.	yogya tA rahitAnAm nikRzwAnAm utkRzwa tva Adikam na samBavati.
   bhagavadarcakānām autkṛṣṭyaṃ.	Bagavat arcakAnAm OtkRzwi aM.
   !{517}! DHN[T] 254: sūtrādiṣu.	!{517}! DHN[T] 254: sUtra Adizu.
   !{518}! DHN[T] 254: te utkṛṣṭāḥ.	!{518}! DHN[T] 254: te utkRzwAH.
   !{519}! Vgl. ŚatapathaBr 10.6.3.[1]: yāvat kratur ayam asmāl lokāt praity	!{519}! Vgl. Śata paTaBH 10.6.3.[1]: yAvat kratuH ayam asmAt lokAt prEty
   evaṃ kratur hāmuṃ lokam pretyābhisambhavati.	evam kratuH ha amum lokam pretya aBisamBavati.
   !{520}! DHN[T] 255 om. smṛtiś ca.	!{520}! DHN[T] 255 om. smRtiH ca.
   !{521}! Lies mit DHN[T] 255: mārgeṇa.	!{521}! LieH mid DHN[T] 255: mArgeNa.
   !{522}! DHN[T] 255: madbhaktās.	!{522}! DHN[T] 255: mad Bakta As.
   !{523}! DHN[T] 255: pāpair na lipyatre martyā.	!{523}! DHN[T] 255: pApEH na lipyatre martyA.
   !{524}! Lies: vyāsenāpi.	!{524}! Lies: vyAsena api.
   !{525}! DHN[T] 256: ānuśāsanike pātravidhau.	!{525}! DHN[T] 256: AnuSAsanike pAtra viDO.
   !{526}! ChāndogyaBr 2.23.1; ebenfalls zitiert in DHN[D] 21.8, 41.8 und	!{526}! ChAn dogya BH 2.23.1; ebenfalls zitiert id DHN[D] 21.8, 41.8 und
   !{527}! DHN[T] 256: bhagavatprītiviṣayākṛtāṇāṃ.	!{527}! DHN[T] 256: Bagavat prIti vizaya akRtANAM.
   !{528}! DHN[T] 256 ins. ānuśāsanike.	!{528}! DHN[T] 256 ins. AnuSAsanike.
   !{529}! MBh: ye caranti yudhiṣṭhira.	!{529}! MBh: ye caranti yuDizWira.
   !{530}! DHN[T] 256: ṛṣayā.	!{530}! DHN[T] 256: RzayA.
   !{531}! MBh: tatra ye brāhmaṇāḥ ke cin na nindati hi te varāḥ.	!{531}! MBh: tatra ye brAhmaNAH ke cit na nindati hi te varAH.
   !{532}! DHN[T] 257: hantānstripuruṣaṃ.	!{532}! DHN[T] 257: hantAn H tri puruzaM.
   [62.1]     vaikhānasānāṃ vacanam ṛṣīṇāṃ śrūyate nṛpa /	[62.1]     vEKAnasAnAm vacanam RzINAm SrUyate nRpa /
   [62.2]     dūrād eva parīkṣeta brāhmaṇān vedapāragān /	[62.2]     dUrAt eva parIkzeta brAhmaNAn vedapAragAn /
   [62.3]     priyo vā yadi vā dveṣyaḥ teṣu tac chrāddham āvapet //*{533}*	[62.3]     priyaH vA yadi vA dvezyaH tezu tat SrAdDam Avapet //*{533}*
   [MBh 13.9.46]	[MBh 13.9.46]
   [62.4]     yaḥ sahasraṃ sahasrāṇāṃ bhojayed anṛcāṃ naraḥ /	[62.4]     yaH sahasram sahasrANAm Bojayet anRcAm naraH /
   [62.5]     ekas tān mantravit pūtaḥ sarvān arhati bhārata //*{534}*" [MBh	[62.5]     ekaH tAn mantra vid pUtaH sarvAn arhati BArata //*{534}*" [MBh
        [aṣṭākṣarādimantrajapaniṣṭhānāṃ mahimā]	[azwa akzara Adi mantra japa nizWAnAm mahimA]
   [62.6 7]     evaṃ aṣṭākṣara dvādaśākṣara puruṣasūktādimantrajapaniṣṭhānāṃ	[62.6 7]     evam azwa akzara dvAdaSa akzara puruza sUkta Adi mantra japa nizWAnAm
   darśanena brahmahā 'pi śuddhyatīti purāṇoktam. yathā*{535}*:	darSanena brahma hA api SudDi ati iti purANa uktam. yaTA*{535}*:
   [62.8]     *{536}*padmapurāṇe: "sāṅgaṃ samantraṃ sanyāsaṃ	[62.8]     *{536}*padma purANe: "sa aFgam sa mantram sanyAsam
   sarṣicchandodhidaivatam /	saRzi= CandoDi dEvatam /
   [62.9]     sadīkṣāvidhi sadhyānaṃ sayantraṃ dvādaśākṣaram // [Padma.P ]	[62.9]     sa dIkzA viDi sa DyAnam sa yantram dvAdaSa akzaram // [Pat ma.j ]
   [62.10]     sāṣṭākṣarañ ca mantreśaṃ ye japanti narottamāḥ /	[62.10]     sa azwa akzaran ca mantreSam ye japanti nara uttamAH /
   [62.11]     tān dṛṣṭvā brahmahā śuddhyet kiṃ punar vaiṣṇavas svayam //"	[62.11]     tAn dRzwvA brahma hA SudDyet kim punar vEzNavaH svayam //"
   iti [PadmaP ]	iti [Pat maP ]
   [62.12 14]     śruyate 'pi. "yo ha vai nārāyaṇasyāṣṭākṣaraṃ padam adhyeti	[62.12 14]     Sruyate api. "yaH ha vE nArAyaNasya azwa akzaram padam aDyeti
   anupabravas sarvam āyur eti vindate prājāpatyaṃ rāyaspoṣaṃ gaupatyaṃ tato	anupabravaH sarvam AyuH eti vindate prAjApatyam rAyaspozam gOpatyam tatas 
   'mṛtatvam aśnute tato 'mṛtatvam aśnuta iti".	amRta tvam aSnute tatas amRta tvam aSnutaH iti".
   [62.15]     śrīpāñcarātre kapiñjalasaṃhitāyām:	[62.15]     SrIpAQcarAtre kapiQjala saMhitAyAm:
   [62.16]     "yājanādhyāpanayutaḥ śiṣyānugrahakārakaḥ /	[62.16]     "yAjana aDyApana yutaH Sizya anugraha kArakaH /
   [62.17]     ācārya iti vijñeyo mantratantraparāyaṇaḥ //*{537}*	[62.17]     AcAryaH iti vijQeyaH mantra tantra parAyaNaH //*{537}*
   [KapiñjalaS]	[KapiQjalaS]
   [62.18]     āśrame vā vane vā 'pi sa vaikhānasa ucyate /*{538}*	[62.18]     ASrame vA vane vA api sa vEKAnasaH ucyate /*{538}*
   [62.19]     grāmyadharmāṇi sarvāṇi varjayed vanavāsakaḥ //"*{539}* iti.	[62.19]     grAmya DarmANi sarvANi varjayet vanavAsakaH //"*{539}* iti.
   [KapiñjalaS]	[KapiQjalaS]
   [62.20]     yamasmṛtau: "yo 'nucānaṃ*{540}* dvijaṃ martyo hatavān	[62.20]     yama smRtO: "yaH anucAnaM*{540}* dvijam martyaH hatavAn
   arthalobhataḥ /	arTa loBataH /
   [62.21]     sa vadet pauruṣaṃ sūktaṃ jalasthaś cintayed dharim //*{541}*"	[62.21]     sa vadet pOruzam sUktam jala sTaH cintayet Darim //*{541}*"
   [62.22 24]     iti kevalāṣṭākṣaramantrajapaniṣṭhānām apy evaṃ vidhāḥ	[62.22 24]     iti kevala azwa akzara mantra japa nizWAnAm api evam viDAH
   prabhāvāḥ śrūyanta iti cet śrutismṛtivihitais tair eva mantraiḥ	praBAvAH SrUyante iti ced Sruti smRti vihitEH tEH eva mantrEH
   advārakabhagavadarcane mukhyādikāriṇāṃ vaikhānasānāṃ kaimutikanyāyasiddham	advAraka Bagavat arcane muKya Adi kAriNAm vEKAnasAnAm kEmutika nyAya sidDam
   autkṛṣṭyaṃ kenāpodituṃ śakyam.*{542}*	OtkRzwyam kena apoditum Sakyam .*{542}*
   !{533}! MBh: priyān vā yadi vā dveṣyāṃs.	!{533}! MBh: priyAn vA yadi vA dvezyAM= .
   !{534}! MBh: ekas tān mantravit prītaḥ; DHN[T] 257: ekas tān mantravit	!{534}! MBh: ekaH tAn mantra vid prItaH; DHN[T] 257: ekaH tAn mantra vid 
   putas sarvam arhati bhārateti (10 adhyāye).	putaH sarvam arhati BArata iti (10 aDyAye).
   !{535}! DHN[T] 258: brahmahā śuddhyatītyuktaṃ.	!{535}! DHN[T] 258: brahma hA SudDi ati iti uktaM.
   !{536}! DHN[T] 258 259 verschiebt das Padmapurāṇa Zitat weiter nach hinten	!{536}! DHN[T] 258 259 verH Siebt daH Padma purANa  Zitat weiteH naC hintet 
   und liest somit statt DHN[D] 62.8 19: śruyate hi. "yo ha vai	und liest somiD statt DHN[D] 62.8 19: Sruyate hi. "yaH ha vE
   nārāyaṇasyāṣṭākṣaraṃ padam adhyeti anapabruvas sarvam āyur eti vindate	nArAyaNasya azwa akzaram padam aDyeti anapabruvaH sarvam AyuH eti vindate
   prājāpatyaṃ rāyaspoṣaṃ gaupatyaṃ tato 'mṛtatvam aśnute tato 'mṛtatvam	prAjApatyam rAyaspozam gOpatyam tatas amRta tvam aSnute tatas amRta tvam
   aśnuta iti". aṣṭākṣaraparā vaikhānasāḥ. kapiñjalasaṃhitāyām:	aSnutaH iti". azwa akzara parAH vEKAnasAH. kapiQjala saMhitAyAm:
   yājanādhyāpanayutaḥ śiṣyān ugrahakārakaḥ / ācārya iti vijñeyo	yAjana aDyApana yutaH SizyAn ugra ha kArakaH / AcAryaH iti vijQeyaH 
   mantratantraparāyaṇaḥ // āśram.e vā vane vā 'pi sa vaikhānasa ucyate /	mantra tantra parAyaNaH // ASram.e vA vane vA api sa vEKAnasaH ucyate /
   grāmyadharmāṇi sarvāṇi varjayed vanavāsaka // iti. padmapurāṇe: sāṅgaṃ	grAmya DarmANi sarvANi varjayet vana vAsakaH // iti. padmapurANe: sa aFgam
   samantraṃ sanyāsaṃ sarṣicchandadaivatam / sadīkṣāvidhi sadhyānaṃ sayajñaṃ	sa mantram sa nyAsam sa Rzi= Canda dEvatam / sa dIkzA viDi sa DyAnam sa yajQam
   (yantraṃ?) dvādaśākṣaram // aṣṭākṣarañ ca mantreśaṃ ye japanti narottamāḥ	(yantraM?) dvAdaSa akzaram // azwa akzaran ca mantreSam ye japanti nara uttamAH
   / tān dṛṣṭvā brahmahā śuddhyet kiṃ punar vaiṣṇavas svayam // iti.	/ tAn dRzwvA brahma hA SudDyet kim punar vEzNavaH svayam // iti.
   !{537}! Ebenfalls zitiert als "Kapiñjalasaṃhitā" in DHN[D] 93.4 5.	!{537}! Ebenfalls zitiert als "Ka piQjala saMhitA" id DHN[D] 93.4 5.
   !{538}! Vgl. das Zitat aus "Kapiñjalasaṃhitā" in DHN[D] 93.6 7: āśrame vā	!{538}! Vgl. daH Zitat OH "KapiQjala saMhitA" id DHN[D] 93.6 7: ASrame vA
   vane vā 'pi putradārasamāhitaḥ / aṣṭākṣaraparo nityaṃ sa vaikhānasa ucyate	vane vA api putra dAra samAhitaH / azwa akzara paraH nityam sa vEKAnasaH ucyate
   !{539}! Ebenfalls zitiert als "Kapiñjalasaṃhitā" in DHN[D] 93.8.	!{539}! Ebenfalls zitiert als "Ka piQjala saMhitA" id DHN[D] 93.8.
   !{540}! DHN[T] 260: 'nūcānaṃ.	!{540}! DHN[T] 260: anUcAnaM.
   !{541}! DHN[T] 260: cintayan harim.	!{541}! DHN[T] 260: cintayan harim.
   !{542}! DHN[T] 261 263 statt DHN[D] 62.22 24:	!{542}! DHN[T] 261 263 statt DHN[D] 62.22 24:
   kevalāṣṭākṣarādimantrajapaniṣṭhānām evaṃvidhāḥ prabhā hiś śrūyante (iti)	kevala azwa akzara Adi mantra japa nizWAnAm evaMviDAH praBA hiH SrUyante (iti)
   cet śrutismṛtisūtravihitais tair eva mantraiḥ advārakabhagavadarcane	ced Sruti smRti sUtra vihitEH tEH eva mantrEH advAraka Bagavat arcane
