   prathamo vilāsaḥ	praTamaH vilAsaH
   atraśabdo dvividhaḥ nirarthako 'nyagrathitaśceti tatrādyāsya	atraSabdaH dviviDaH nirarTakaH anya-graTitaH-ca-iti tatra-Adya-asya
   yathā	yaTA
   śrīsiṅgakṣitipālasaṅgarajayaprasthāpakai stāvakair	SrI-siFga-kzitipAla-saFgarajaya-prasTApakE stAvakEH-
   dhāṭīduṃduvinissvanairabhinavavyāpāriṇo vairiṇaḥ /	DAwI-duMdu-vinissvanEH-aBinava-vyApAriNaH vEriNaH /
   svacchāyāmanudhāvinīṃ pratibhaṭānāśaṅkya śaṅkākulāstrāyadhvaṃ be be be iti	svacCAyAm-anuDAvinIm pratiBawAn-ASaFkya SaFkA-AkulAH-trAyaDvam be be be iti
   pratipadaṃ jalpanti dhāvanti ca // Ckc_6.*17 //	pratipadam jalpanti DAvanti ca // Ckd-_6.*17 //
   atra be ityādi nirarthakaśabdasya prastutānuguṇyena grathanādiyaṃ	atra be ityAdi nirarTaka-Sabdasya prastuta-anuguNyena graTanAt-iyam
   nirarthakaśabdaguṃphanā /	nirarTaka-Sabda-guMPanA /
   anyagrathitaśabdaguṃphanā trividhā /	anya-graTita-Sabda-guMPanA triviDA /
   pādaguṃphanā pādadvayaguṃphanā pādatrayaguṃphanāṃ ceti /	pAda-guMPanA pAda-dvaya-guMPanA pAda-traya-guMPanAm ca-iti /
   tatrādyā yathā	tatra-AdyAH yaTA
   arthasya puruṣo dāsa iti vakta vyalajjatām /	arTasya puruzaH dAsaH iti vakta vyalajjatAm /
   dāso hi puruṣasyārthaḥ paśyataḥ siṅgabhūpatim // Ckc_6.*18 //	dAsaH hi puruzasya-arTaH paSyataH siFga-BUpatim // Ckd-_6.*18 //
   atrādyoktasya prathamasya prastutānuguṇyena ghaṭitatvādiyamanyagrathitā	atra-adya-uktasya praTamasya prastuta-anuguNyena Gawita-tvAt-iyam-anya-graTitA
   pādaguṃphanā /	pAda-guMPanA /
   dvitīyā yathā	dvitIyA yaTA
   yuvā yugavyāyatabāhuraṃsalaḥ kavāṭavakṣāḥ pariṇaddhakaṃdharaḥ /	yuvA yuga-vyAyata-bAhuH-aMsalaH kavAwa-vakzAH pariNadDa-kaMDaraH /
   itīdamanyatra kavitvapaddhati- rvigāhate siṅganṛpe tu sārthatām //	iti-idam-anyatra kavi-tva-padDati rvigAhate siFga-nRpe tu sArTa-tAm //
   Ckc_6.*19 //	Ckd-_6.*19 //
   atra kālidāsagrathitasya prathamārdhasya prastutānuguṇyānughaṭanādiyaṃ	atra kAli-dAsa-graTitasya praTama-arDasya prastuta-anuguNya-anuGawanAt-iyam
   pādadvayaguṃphanā /	pAda-dvaya-guMPanAH /
   tṛtīyā yathā	tRtIyA yaTA
   sajātīyairvijātīyairatiraskṛtamūrtimān /	sajAtIyEH-vijAtIyEH-atiraskRta-mUrtimAn /
   yāvadrasaṃ vartamāno rājate siṅgabhūpatiḥ // Ckc_6.*20 //	yAvat-rasam vartamAnaH rAjate siFga-BUpatiH // Ckd-_6.*20 //
   atra pūrvālaṅkāraśāstrakāragra thitasyāpi pādatrayasya prathamārdhe	atra pUrva-alaFkAra-SAstra-kAragra Titasya-api pAda-trayasya praTama-arDe
   sapakṣairvipakṣaiścānatikramaṇīyo yāvadrasaṃ vartamāna iti	sa-pakzEH-vipakzEH-ca-anatikramaNIyaH yAvat-rasam vartamAnaH iti
   prastutānuguṇyena ghaṭanādiyaṃ pādatrayaguphanā /	prastuta-anuguNyena GawanAt-iyam pAda-traya-guPanAH /
   citraṃ tu cakrabandhādyaṃ na sarvakavisammatam /	citram tu cakrabanDa-Adyam na sarva-kavi-sammatam /
   rasollāsavirodhitvāccittakleśaikakāraṇam // Ckc_6.12 //	rasa-ullAsa-viroDi-tvAt-citta-kleSa-eka-kAraNam // Ckd-_6.12 //
   cakrabandho yathā	cakrabanDaH yaTA
   sakṣamācakradiśāvilāsivibhunā tigmāṃśuhāriśriyā	sakzamA-cakra-diSA-vilAsi-viBunA tigmAMSu-hAri-SriyA
   viśrāmakṣaṇaviśvaraṅgaviyatā kalpaṃ yaśo jyotiṣā /	viSrAma-kzaNa-viSvaraFga-viyatA kalpam yaSaH jyotizA /
   vidvatkāntimavāpa yaḥ praviśadāvirbhūtakṛtsnāgamāṃ māṃdhātā sa ca	vidvat-kAntim-avApa yaH praviSat-AvirBUta-kRtsnA-AgamAm mAMDAtA sa ca
   tadviśeṣaviduṣo yāti tviṣā nopamām // Ckc_6.*21 //	tad-viSeza-viduzaH yAti tvizA na-upamAm // Ckd-_6.*21 //
   atra nemimārabhya tṛtīyasminnantare camatkārajyotsneti kṛtināma /	atra nemim-AraBya tRtIyasmin=-antare camatkAra-jyotsnA-iti kRti-nAmaH /
   saptame viśvapatikaviriti tatkartṛnāma /	saptame viSvapati-kaviH-iti tad-kartR-nAma /
   navame nāyakanāma ca prakaṭīkriyate /	navame nAyaka-nAma ca prakawIkriyate /
   ādiśabdātpaṅabandhādayaḥ /	Adi-SabdAt-paFabanDa-AdayaH /
   atra padmabandho yathā	atra padma-banDaH yaTA
   sā ca mā kṣapitabhāvarākṣasā sākṣarāvagatapādamārasā /	sA ca mA kzapita-BAva-rAkzasA sAkzara-avagata-pAda-mArasA /
   sārasā dayatu siṅgayaṃ rasā sārayaṃ gajavatī kṣaṇā ca sā // Ckc_6.*22 //	sArasAH dayatu siFgayam rasA sArayam gajavatI kzaNA ca sA // Ckd-_6.*22 //
   atra kṣapitāḥ bhāvena rākṣasāḥ krūrajanāḥ yayā sā kṣapitabhāvarākṣasā	atra kzapitAH BAvena rAkzasAH krUra-janAH yayA sA kzapita-BAva-rAkzasA
   daridrīkṛtakrūrajanetyarthaḥ /	daridrIkRta-krUra-jana-iti-arTaH /
   sākṣarāvagatapādasārasā vidvaddhyātapādapadmā mā lakṣmīḥ rasāsāraṃ bhūvi	sa-akzara-avagata-pAda-sArasA vidvat-hi-AtapAda-padmA mA lakzmIH rasa-AsAram BUvi
   śreṣṭhaṃ vastu yāti prāpnoti iti rasāsārayaḥ /	SrezWam vastu yAti prApnoti iti rasa-asArayaH /
   taṃ siṅgayaṃ siṅgabhūpālaṃ sārasādāvāsapadmādayatu bhajatu /	tam siFgayam siFga-BUpAlam sArasAdAvAsa-padmAdayatu Bajatu /
   tathā gajavatī svādhāradiggajavatītyarthaḥ /	taTA gajavatI sva-ADAra-diggajavatI-iti-arTaH /
   sā kṣamā bhūmiśca /	sA kzamA BUmiH-ca /
   anyadevaṃ vidhamanusandheyam /	anyadevam viDam-anusanDeyam /
   yamakaṃ tvavinābhūtakharavyañjanasaṃhateḥ /	yamakam tu-avinABUta-Kara-vyaQjana-saMhateH /
   punaḥśrutirvibhinnārthā tanamadhyāntādigaṃ tridhā // Ckc_6.13 //	punar-SrutiH-viBinna-arTA tana-maDya-anta-Adi-gam triDA // Ckd-_6.13 //
   ādiyamakaṃ yathā nāyakasyaiva	Adi-yamakam yaTA nAyakasya-eva
   sadayā sadayā buddhiravatāravatā mama /	sa-dayA sa-dayA budDiH-avatAravatA mama /
   madhurā madhurānātha bhavatā bhavatādaram // Ckc_6.*23 //	maDurA maDurAnATa BavatA BavatA-Adaram // Ckd-_6.*23 //
   atra caturṇāmapi pādānāmādau pradhamākṣarasahitaṃ	atra caturNAm-api pAdAnAm-AdO praDama-akzara-sahitam
   varṇatritayamāntaratamavyavthānena punaḥśrutamiti sarvapādādiyamakamidam /	varNa-tritayam-Antaratama-vyavTAnena punar-Srutam-iti sarva-pAda-Adi-yamakam-idam /
   evamanyepi dvipādādiyamakadalayorvyavahitāvyavahitabhedāḥ	evam-anyepi dvi-pAda-Adi-yamakadalayoH-vyavahita-avyavahita-BedAH
   svayamavagantavyāḥ /	svayam-avagantavyAH /
   madhyayamakaṃ yathā	maDya-yamakam yaTA
   ghanayaśonayaśobhitasaṃgarotsukatamaḥ katamaḥ sahate ripuḥ /	Gana-yaSaH-naya-SoBita-saMgara-utsukatamaH katamaH sahate ripuH /
   bhavadasiṃ vada siṅgamahīpate paramayā ramayā bharitadyute // Ckc_6.*24 //	Bavat-asim vada siFga-mahIpate paramayA ramayA Barita-dyute // Ckd-_6.*24 //
   atra caturṣvapi pādeṣu prathamākṣaraṃ vihāya madhyākṣarayamakamāntaramavya	atra caturzu-api pAdezu praTama-akzaram vihAya maDya-akzara-yamakam-Antaram-avya
   vadhānena punaḥśrutamiti sarvapādamadhyayamakamidam /	vaDAnena punar-Srutam-iti sarva-pAda-maDyayamakam-idam /
   evamanye 'pi pūrvapadasya bhedā nirūpaṇīyāḥ /	evam-anye api pUrva-padasya BedAH nirUpaNIyAH /
   antyayamakaṃ yathā	antya-yamakam yaTA
   yaśasā saurabhavantaṃ siṅgamahīpāla merudhīra bhavantam /	yaSasA sOraBavantam siFga-mahIpAla meru-DIra Bavantam /
   sukṛtīkṛtavasudevaḥ satataṃ pāyādvitīrṇaghanavasudevaḥ // Ckc_6.*25 //	su-kRtIkRta-vasudevaH satatam pAyAt-vitIrNa-Gana-vasudevaH // Ckd-_6.*25 //
   he merudhīra siṅgamahīpāla yaśasā saurabhavantaṃ yaśassurabhiṃ bhavantaṃ	he meru-DIra siFga-mahIpAla yaSasA sOraBavantam yaSassuraBim Bavantam
   sukṛtīkṛtavasudevaḥ svajanmanā kṛtārthīkṛtānakadundubhiḥ devaḥ śrīkṛṣṇaḥ	su-kRtIkRta-vasudevaH sva-janmanA kRtArTIkRta-AnakadunduBiH devaH SrI-kRzNaH
   vitīrṇaghanavasu yathā tathā pāyādityantyākṣara sahitamakṣaracatuṣṭayam	vitIrNa-Gana-vasu yaTA taTA pAyAt-iti-antyAkzara sahitam-akzara-catuzwayam
   pādadvaye punaḥśrutamiti dvipādāntayamakamidam /	pAda-dvaye punar-Srutam-iti dvi-pAdAntayamakam-idam /
   evamanye 'pi bhedāḥ svayamūhyāḥ /	evam-anye api BedAH svayam-UhyAH /
   avāntarabhidāstasya bahavassanti duṣkarāḥ /	avAntara-BidAH-tasya bahavassanti duzkarAH /
   mṛdumārgavirodhitvādasmābhirna prapañcitāḥ // Ckc_6.14 //	mRdu-mArga-viroDi-tvAt-asmABiH-na prapaQcitAH // Ckd-_6.14 //
   uktipratyuktimadvākyaṃ vākovākyamitīritam // Ckc_6.15 //	ukti-pratyuktimat-vAkyam vAko-vAkyam-iti-Iritam // Ckd-_6.15 //
   yathā	yaTA
   rambhe kiṃ sakhi menake na sulabhāḥ kalpadrumāṇāṃ srajaḥ te svarge na hi	ramBe kim saKi menake na sulaBAH kalpadrumANAm srajaH te svarge na hi
   santi kutra dharaṇībhāge kutaḥ kāraṇāt /	santi kutra DaraNI-BAge kutas kAraNAt /
   dātuḥ śrīanavotasiṅganṛpatestairdattahastāṅgulīr brahmā nirmitanānato nu	dAtuH SrIanavota-siFga-nRpateH-tEH-datta-hasta-aFgulIH brahmA nirmita-nAnataH nu
   dhanikāḥ sarve 'pi dhātrīsurāḥ // Ckc_6.*26 //	DanikAH sarve api DAtrI-surAH // Ckd-_6.*26 //
   atra rambhāmenakayoruktipratyuktayaḥ spaṣṭāḥ /	atra ramBA-menakayorukti-pratyuktayaH spazwAH /
   kriyākārakasaṃbhandhaguptimad gūḍhamucyate // Ckc_6.16 //	kriyA-kAraka-saMBanDa-guptimat gUXam-ucyate // Ckd-_6.16 //
   tatra kriyāgūḍhaṃ yathā	tatra kriyA-gUXam yaTA
   kṛpāṇakhaṇḍitārātimaṇḍalādhīśamaṇḍalaḥ /	kRpANa-KaNxitArAti-maNxala-aDISa-maNxalaH /
   śrīsiṅgadharaṇīpāla vibhaveti samṛddhatām // Ckc_6.*27 //	SrI-siFga-DaraNI-pAla viBava-iti samRdDa-tAm // Ckd-_6.*27 //
   atra he vibho samṛddhatāmehīti kriyāpadasya vibhava iti saptamyā	atra he viBo samRdDa-tAm-ehi-iti kriyA-padasya viBavaH iti saptamyA
   gopitatvamiti gūḍhakriyāpadatvāt kriyāgūḍham /	gopita-tvam-iti gUXa-kriyA-pada-tvAt kriyA-gUXam /
   yathā ca	yaTA ca
   kandarpakalpanākāraṃ śrīsiṅgadharaṇībhujam /	kandarpa-kalpanA-AkAram SrI-siFga-DaraNI-Bujam /
   puramārge purandhrīṇāṃ niścalānayanāñcalāḥ // Ckc_6.*28 //	pura-mArge puranDrINAm niScala-Anayana-aQcalAH // Ckd-_6.*28 //
   atrāpuriti kriyāpadaṃ purandhrīṇāmiti padena gopitamiti kriyāgūḍham /	atra-ApuH-iti kriyA-padam puranDrINAm-iti padena gopitam-iti kriyA-gUXam /
   kārakagūḍhaṃ yathā	kAraka-gUXam yaTA
   śrīsiṅgabhūpanāsīradhāṭīsādhvasasaṃbhramāt /	SrI-siFga-BUpana-AsIra-DAwI-sADvasa-saMBramAt /
   kva darī kva darītyadreḥ kāntāre raṭati sphuṭam // Ckc_6.*29 //	kva darI kva darIti-adreH kAntAre rawati sPuwam // Ckd-_6.*29 //
   atra raṭatikriyāyāḥ kartṛkārakabhūtā areḥ kāntāḥ kāntāra iti saptamyā	atra rawati-kriyAyAH kartR-kAraka-BUtAH areH kAntAH kAntAraH iti saptamyA
   gopitamiti kārakagūḍheṣu kartṛgūḍhamidam /	gopitam-iti kAraka-gUXezu kartR-gUXam-idam /
   evaṃ karmagūḍhādayo draṣṭavyāḥ /	evam karma-gUXa-AdayaH drazwavyAH /
   saṃbandhapadagūḍhaṃ yathā	saMbanDa-pada-gUXam yaTA
   śarānapāṅgaśrī rājan nābhikramati kevalam /	SarAna-pAFgaSrI rAjan na-aBikramati kevalam /
   bhrūvallīlalitaiścāpaṃ tvatsevā sudṛśāmapi // Ckc_6.*30 //	BrU-vallI-lalitEH-cApam tvad-sevA su-dRSAm-api // Ckd-_6.*30 //
   atra eḥ kāmasyeti sambandhapadaṃ lalitairvilāsairiti tṛtīyā vā (tṛtīyayā?)	atra eH kAmasya-iti sambanDa-padam lalitEH-vilAsEH-iti tRtIyA vA (tRtIyayA?)
   gopitamiti saṃbandhagūḍhamidam /	gopitam-iti saMbanDa-gUXam-idam /
   paṣṭhayāḥ kārakatvābhāvāt sambhandhagūḍhasyātra pṛthaṅnirdeśaḥ /	pazWayAH kAraka-tva-aBAvAt samBanDa-gUXasya-atra pRTak-nirdeSaH /
   yatrottararya nirmedaḥ praśne praśnottaraṃ hi tat /	yatra-uttararya nirmedaH praSne praSna-uttaram hi tat /
   antaḥpraśrnaṃ bahiḥpraśrnamubhayapraśrnaṃ ceti tattridhā // Ckc_6.17 //	antar-praSrnam bahis-praSrnam-uBaya-praSrnam ca-iti tat-triDA // Ckd-_6.17 //
   kamadarpayanmanobhūḥ kiṃ narapativeśma rājate nidhimat /	kamat-arpayat-manoBUH kim narapati-veSma rAjate niDimat /
   kāmadhurā kathaya saśe tvayaiva kathitaṃ hi siṅgabhūpāla // Ckc_6.*31 //	kAmaDurA kaTaya saSe tvayA-eva kaTitam hi siFga-BUpAla // Ckd-_6.*31 //
   atra manobhūḥ kamalobhayaditi praśne kaṃ brahmāṇam /	atra manoBUH kamaloBayat-iti praSne kam brahmANam /
   narapativeśma kiṃmiti praśne kinnarapativeśma, kuberagṛhamiti /	narapati-veSma kiMm-iti praSne kinnara-pati-veSma, kubera-gRham-iti /
   madhurā keti praśne kāmadhurā kāmabhāra iti cottarāṇi praśnāvayasyāntara	maDurA kA-iti praSne kAmaDurA kAma-BAraH iti ca-uttarANi praSna-avayasya-antara
   itīdamantaḥpraśnam /	iti-idam-antar-praSnam /
   pratyānanaṃ rājitagaṇḍamadhyaṃ subhīṣaṇaṃ bhairavamastakaṃ kim /	pratyAnanam rAjita-gaNxa-maDyam su-BIzaNam BErava-mastakam kim /
   tvayā naceduttaramapradattaṃ rājan na jānāti bhavān bhavantam // Ckc_6.*32	tvayA naced-uttaram-apradattam rAjan na jAnAti BavAn Bavantam // Ckd-_6.*32
   atra pratigaṇḍabhairava ityuttarasya praśnavākyāntare	atra pratigaNxa-BEravaH iti-uttarasya praSna-vAkya-antare
   pratīyamānatvādidañcāntaḥ praśnam /	pratIyamAna-tva-Adi-daQcA-antaH praSnam /
   bahiḥ praśnaṃ yathā	bahis praSnam yaTA
   kīdṛgbalaṃ devavibho śuceśca sambodhanaṃ tvadripumaṇḍalañca /	kIdRS-balam deva-viBo SuceH-ca samboDanam tvad-ripu-maNxa-laQca /
   śrīsiṅgabhūpāla vadottarāṇi pūrvoktavarṇabhayavṛddhiyogāt // Ckc_6.*33 //	SrI-siFga-BUpAla vada-uttarANi pUrva-ukta-varNa-Baya-vRdDi-yogAt // Ckd-_6.*33 //
   atra indrabalaṃ saphali śucisaṃbuddhiḥ pavitreti tvadvipumaṇḍalaṃ vitrapaṃ	atra indra-balam sa-Pali Suci-saMbudDiH pavitrA-iti tvad-vipu-maNxalam vitrapam
   vitrasaditi vā trīṇyuttarāṇi praśnād bahireva mṛgyāṇi /	vitrasat-iti vA trINi-uttarANi praSnAt bahis-eva mRgyANi /
   bahiḥ praśnamidam /	bahis praSnam-idam /
   ubhayapraśnaṃ yathā	uBaya-praSnam yaTA
   yogināṃ bhogināṃ rājan ka iṣṭastaṃ na vetti yaḥ /	yoginAm BoginAm rAjan kaH izwaH-tam na vetti yaH /
   viparīto harastena na jñāto hi sahāmbaraḥ // Ckc_6.*34 //	viparItaH haraH-tena na jQAtaH hi saha-ambaraH // Ckd-_6.*34 //
   atra rahovāsa ityuttarasya pūrvabhāgo rahaśśabdo viparītaharaśabdena	atra rahaH-vAsaH iti-uttarasya pUrva-BAgaH rahaH-SabdaH viparIta-hara-Sabdena
   praśnavākyasyāntaḥ pratīyate /	praSna-vAkyasya-antar pratIyate /
   uttarāvayavo vāsa ityayaṃ bahireva mṛgyata iti bahirantaḥpraśnottarasya	uttara-avayavaH vAsaH iti-ayam bahis-eva mRgyate iti bahis-antar-praSna-uttarasya
   sthitatvādidamubhayapraśnam /	sTita-tvAt-idam-uBaya-praSnam /
   evaṃ nirūpitāssādhu śabdālaṅkārajātayaḥ /	evam nirUpita-AH-sADu Sabda-alaFkAra-jAtayaH /
   kāvyaṃ vibhūṣayedābhiḥ yathānyairnāpahāsyate // Ckc_6.18 //	kAvyam viBUzayet-ABiH yaTA-anyEH-na-apahAsyate // Ckd-_6.18 //
   iti sarasasāhityacāturīdhurīṇaviśveśvarakavicandrapraṇītāyāṃ	iti sarasa-sAhitya-cAturIDurINa-viSva-ISvaraka-vi-candra-praNItAyAm
   camatkāracandrikāyāṃ śabdālaṅkāraviveko nāma ṣaṣṭho vilāsaḥ //	camatkAra-candrikAyAm SabdAlaFkAravivekaH nAma zazWaH vilAsaH //
   saptamo vilāsaḥ /	saptamaH vilAsaH /
   camatkāracandrikā viśveśvarakavicandraviracitā saptamo vilāsaḥ /	camatkAracandrikA viSveSvara-ka-vi-candra-viracitA saptamaH vilAsaH /
   alamarthānalaṅkartuṃ ye tadāśrayaśobhinaḥ /	alam-arTa-analaFkartum ye tad-ASraya-SoBinaH /
   ye tu jātyādayaḥ prājñaiḥ ter'thālaṅkārasaṃjñayā // Ckc_7.1 //	ye tu jAti-AdayaH prAjQEH ter-aTa-alaFkAra-saMjQayA // Ckd-_7.1 //
   jātirvibhāvanā heturahetussūkṣmamuttaram /	jAtiH-viBAvanA hetuH-ahetuH-sUkzmam-uttaram /
   virodhaḥ sambhavo 'nyonyaṃ parivṛttirnidarśanā // Ckc_7.2 //	viroDaH samBavaH anyonyam parivRttiH-nidarSanAH // Ckd-_7.2 //
   bhedaḥ samāhitaṃ bhrāntiḥ vitarko mīlitaṃ smṛtiḥ /	BedaH samAhitam BrAntiH vitarkaH mIlitam smRtiH /
   bhāvo 'numānārthāpattī iti te viṃśatirmatāḥ // Ckc_7.3 //	BAvaH anumAna-arTApattI iti te viMSatiH-matAH // Ckd-_7.3 //
   tatra jātiḥ	tatra jAtiH
   nānāvasthāsu siddhāni yāni rūpāṇi vastunaḥ /	nAnA-avasTAsu sidDAni yAni rUpANi vastunaH /
   sākṣādvidadhatī tāni jātirityabhidhīyate // Ckc_7.4 //	sAkzAt-vidaDatI tAni jAtiH-iti-aBiDIyate // Ckd-_7.4 //
   seyaṃ dvidhā nisargatatkārabhedāt /	sA-iyam dviDA nisarga-tatkAra-BedAt /
   ādyā yathā	AdyAH yaTA
   asakṛtparidhūlavāladhīn muhurākampitabaktrakandharān /	asakRt-pariDUla-vAlaDIn muhur-Akampita-baktra-kanDarAn /
   ripubhūbhṛdupāyanīkṛtān turagān paśyati siṅgabhūpatiḥ // Ckc_7.*1 //	ripu-BUBRt-upAyanIkRtAn turagAn paSyati siFga-BUpatiH // Ckd-_7.*1 //
   atra turagāṇāmaya ... ... ... ... ... ... /	atra turagANAmayaH ... ... ... ... ... ... /
   tātkālikī yathā	tAtkAlikI yaTA
   pūrvāṅgaṃ lalitaṃ nidhāya mṛdule siṃhāsanopāśraye paśyan bāṇamṛjūkṛtaṃ	pUrva-aFgam lalitam niDAya mRdule siMhAsana-upASraye paSyan bANam-RjUkRtam
   savayasā smerairapāṅgekṣaṇaiḥ /	sa-vayasA smerEH-apAFga-IkzaNEH /
   kurvan karṇapuṭīṃ sudhārasamayīṃ vācaṃ parīkṣāvatā-	kurvan karNa-puwIm suDA-rasa-mayIm vAcam parIkzA-avatA-
   māsthānyāmanavotasiṅganṛpatiḥ puṣṇāti netrotsavam // Ckc_7.*2 //	mA-sTAni-Am-anavota-siFga-nRpatiH puzNAti netra-utsavam // Ckd-_7.*2 //
   atra rājñastātkālikasvarūpāvasthānakathanāt tātkālikī jātiriyam /	atra rAjQaH-tAtkAlika-svarUpa-avasTAna-kaTanAt tAtkAlikI jAtiH-iyam /
   prasiddhahetuvyāvṛcyā yatkiñcitkāraṇāntaram /	prasidDa-hetuvyAvRcyA yat-kiQcit-kAraNa-antaram /
   vibhāvyate khabhāvo vā vijñeyā sā vibhāvanā // Ckc_7.5 //	viBAvyate KaBAvaH vA vijQeyA sA viBAvanA // Ckd-_7.5 //
   atra kāraṇāntarasaṃbhāvanā yathā	atra kAraNa-antara-saMBAvanA yaTA
   tanvanna bhāravinatiṃ phaṇirājamūdhrnāṃ kurvanna dhautaśucitāṃ	tanvat-na BAra-vinatim PaNi-rAja-mUDrnAm kurvan-na DOta-Suci-tAm
   haraśāṭikānām /	hara-SAwikAnAm /
   badhrannanambara vitānamajāṇḍabhāge śrīsiṅgabhūpa tava bhāti yaśovilāsaḥ	baDran=-anambara vitAnam-ajANxa-BAge SrI-siFga-BUpa tava BAti yaSaH-vilAsaH
   // Ckc_7.*3 //	// Ckd-_7.*3 //
   atra vinatiśucitvavitānānāṃ bhāradhāvanāṃśukāni hetutayā prasiddhāni tāni	atra vinati-Suci-tva-vitAnAnAm BAra-DAvana-aMSukAni hetu-tayA prasidDAni tAni
   nirvartya yaśaso dhāvalyanairmalyabāhulyānyanyāni kāraṇāni vibhāvyanta	nirvartya yaSasaH DAvalya-nErmalya-bAhulyAni-anyAni kAraNAni viBAvyanta
   itīyaṃ kāraṇāntaravibhāvanā /	iti-iyam kAraNa-antara-viBAvanA /
   svabhāvavibhāvanā yathā	svaBAva-viBAvanA yaTA
   anullikhitatīkṣṇāgrā prajñā śrīsiṅgabhūpate /	anulliKita-tIkzNa-agrA prajQA SrI-siFga-BUpate /
   avāsitasugandhaīni yaśāṃsi tava santatam // Ckc_7.*4 //	avAsita-suganDaIni yaSAMsi tava santatam // Ckd-_7.*4 //
   atra tīkṣṇatvasugandhitvayorloke ullekhanavāsane prasiddhabhūte iti	atra tIkzNa-tva-suganDi-tvayoH-loke ulleKana-vAsane prasidDa-BUte iti
   nirvartya prajñāyaśasoḥ svabhāvo 'pi vibhāvyata itīyaṃ svabhāvavibhāvanā /	nirvartya prajQA-yaSasoH svaBAvaH api viBAvyate iti-iyam svaBAva-viBAvanA /
   kriyāyāḥ kāraṇaṃ hetuḥ mukhyo gauṇa iti dvidhā /	kriyAyAH kAraNam hetuH muKyaH gONaH iti dviDA /
   mukhyaheturdvidhā tatra kārakajñāpakakramāt // Ckc_7.6 //	muKya-hetuH-dviDA tatra kAraka-jQApaka-kramAt // Ckd-_7.6 //
   pravṛtteśca nivṛtteśca prayukteśca tridhādimaḥ // Ckc_7.7 //	pravRtteH-ca nivRtteH-ca prayukteH-ca triDA-AdimaH // Ckd-_7.7 //
   atra pravartakakriyāviśiṣṭakārakaheturyathā	atra pravartaka-kriyA-viSizwa-kAraka-hetuH-yaTA
   pāpakriyāpaṭalakhaṇḍanapaṇḍitāni puṇyakriyāpunarudīraṇapūraṇāni /	pApa-kriyA-pawala-KaNxana-paNxitAni puNya-kriyA-punar-udIraNa-pUraNAni /
   saṃpādayanti satataṃ pramadaṃ janānāṃ śrīsiṅgabhūpacaritāni mahādbhutāni	saMpAdayanti satatam pramadam janAnAm SrI-siFga-BUpacaritAni mahA-adButAni
   // Ckc_7.*5 //	// Ckd-_7.*5 //
   atra nāyakacaritānyevaṃ bhūtāni pracānāṃ prāgasataḥ santoṣasya	atra nAyaka-caritAni-evam BUtAni pracAnAm prAc-asataH santozasya
   pravartanakriyāyāmāviṣṭānīti kriyāviṣṭo 'yaṃ pravartakaḥ kārakahetuḥ /	pravartana-kriyAyAm-AvizwAni-iti kriyA-AvizwaH ayam pravartakaH kAraka-hetuH /
   sa evānāviṣṭo yathā	saH eva-anAvizwaH yaTA
   aviturakṛtabhaṅguṃ siṅgabhūpālamaules tribhuvanamapi siddhaṃ	avituH-akRta-BaFgum siFga-BUpAla-mOleH triBuvanam-api sidDam
   kīrtikallolinībhiḥ /	kIrti-kallolinIBiH /
   viṣamaviṣamacakṣurjūṭakoṭīraśṛṅga-	vizama-vizama-cakzuH-jUwa-kowIH-aSRFga-
   skhalanavalitaphenasvardhunīspadhinībhiḥ // Ckc_7.*6 //	sKalana-valita-Pena-svarDunI-spaDinIBiH // Ckd-_7.*6 //
   atra bhuvanaviśadabhāve kīrtāvanāviṣṭāṃ hetau tṛtīyāṃ prayojayati /	atra Buvana-viSada-BAve kIrtO=-anAvizwAm hetO tRtIyAm prayojayati /
   na tu kartarīti kriyānāviṣṭo 'yaṃ pravartakaḥ kārakahetuḥ /	na tu kartarI-iti kriyA-anAvizwaH ayam pravartakaH kAraka-hetuH /
   nivartakakriyāviṣṭaḥ kārakaheturyathā	nivartaka-kriyA-AvizwaH kAraka-hetuH-yaTA
   pradhvaṃsāya prabhavatitarāmugrasaṅgrāmaraṅga- prāmodāgre	praDvaMsAya praBavatitarAm-ugra-saFgrAmaraFga prAmoda-agre
   pratibhaṭacamūcakra durvikramāṇām /	pratiBawa-cam-Ucakra durvikramANAm /
   siṅgakṣoṇīpatirabhivahan ghoradaṃbholipālī- jṛmbārambhaprakaṭanadhurā	siFgakzoNI-patiH-aBivahan Gora-daMBaH-lipAlI jRmba-AramBa-prakawana-DurA
   bandhurāṃ khaḍgadhārām // Ckc_7.*7 //	banDurAm Kaxga-DArAm // Ckd-_7.*7 //
   atra karavālaikasahāyasya nāyakasya	atra karavAla-eka-sahAyasya nAyakasya
   pratibhaṭavikramadhvaṃsanakriyākartṛtvenāveśādāviṣṭo 'yaṃ nivartakaḥ	pratiBawa-vikrama-DvaMsana-kriyA-kartR-tvena-AveSAt-AvizwaH ayam nivartakaH
   kārakahetuḥ /	kAraka-hetuH /
   sa evānāviṣṭo tathā	saH eva-anAvizwaH taTA
   śrīsiṅgabhūpakodaṇḍādatyārūḍha guṇadhvaneḥ /	SrI-siFga-BUpa-kodaNxAt-ati-ArUXa guNa-DvaneH /
   bhajanti nirguṇībhāvaṃ vairastrīkaṇṭhabhūmayaḥ // Ckc_7.*8 //	Bajanti nirguNI-BAvam vEra-strI-kaNWa-BUmayaH // Ckd-_7.*8 //
