   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   jīvera maṅgala ceṣṭā satata karaya // HNC_9.6 //	jIvera maFgala cezwA satata karaya // HNS_9.6 //
   jīvera santāpa kabhu sahite nā pāre /	jIvera santApa kaBu sahite nA pAre /
   yāhe para-tāpa yāya tāra ceṣṭā kare // HNC_9.7 //	yAhe para-tApa yAya tAra cezwA kare // HNS_9.7 //
   viṣaya-pipāsā ati tuccha mane haya /	vizaya--pipAsA ati tucCa mane haya /
   indriya-lālasā tāra citte nāhi raya // HNC_9.8 //	indriya-lAlasA tAra citte nAhi rayaH // HNS_9.8 //
   kanaka-kāminī ceṣṭā prati ghṛṇā kare /	kanaka--kAminI cezwA prati GRNA kare /
   yathā dharma lābhe tuṣṭa thāki prāṇa dhare // HNC_9.9 //	yaTA Darma lABe tuzwaH TAki prANa Dare // HNS_9.9 //
   bhakti anukūla saba karaye svīkāra /	Bakti anukUla sa-ba karaye svIkAra /
   bhakti pratikūla nāhi kare aṅgīkāra // HNC_9.10 //	Bakti pratikUla nAhi kare aFgIkAraH // HNS_9.10 //
   kṛṣṇa rakṣā kartā eka mātra bali jāne /	kRzNa rakzA kartA eka mA-atra bali jAne /
   jīvane pālana-kartā kṛṣṇa ihā māne // HNC_9.11 //	jIvane pAlana-kartA kRzNaH ihAH mAne // HNS_9.11 //
   ahaṃ mama buddhy-āsakti nā rākhe hṛdaye /	aham mama budDi--Asakti nA rAKe hRdaye /
   dīna-bhāve nāma laya sakala samaye // HNC_9.12 //	dIna-BAve nAma laya sakala samaye // HNS_9.12 //
   svabhāvataḥ yāra ei rūpa nāmāśraya /	svaBAvataH yAraH ei rUpa nAma-ASrayaH /
   pāpe mati pāpācāra tāhāra ki haya // HNC_9.13 //	pApe mati pApa-AcAra tAhAra ki haya // HNS_9.13 //
   pūrva-pāpa o pāpa-gandha śīghra dūra haya	pUrva--pApa aH pApa-ganDa SIGra dUra haya
   pūrva dṛṣṭa-bhāva tāra krame haya kṣīṇa /	pUrva dRzwa-BAva tAra krame haya kzINaH /
   pavitra svabhāva śīghra ha-ibe pravīṇa // HNC_9.14 //	pavitra svaBAva SIGra ha-ibe pravINaH // HNS_9.14 //
   ei sandhi kāle pūrva pāpera sambandha /	ei sanDi kAle pUrva pApera sambanDa /
   thākite-o pāre kichu dina pāpa gandha // HNC_9.15 //	TAkite-aH pAre kiCu dina pApa ganDaH // HNS_9.15 //
   nāmera saṃsarge yata sumati udaya /	nAmera saMsarge yata sumati udaya /
   haye sei pāpa gandha śīghra kare kṣaya // HNC_9.16 //	haye sei pApa ganDa SIGra kare kzayaH // HNS_9.16 //
   pratijñā karecha nātha arjuna nikaṭe /	pratijQA kareCa nATa arjuna nikawe /
   mora bhakta kabhu nāhi paḍibe saṅkaṭe // HNC_9.17 //	mora Bakta kaBu nA-hi paxibe saFkawe // HNS_9.17 //
   saṅkaṭa samaye āmi ha-iba sahāya /	saFkawa samaye Ami ha-iba sahAyaH /
   ataeva pāpa yāya tomāra kṛpāya // HNC_9.18 //	ataeva pApa yAya tomAra kRpAya // HNS_9.18 //
   jñāna mārgī kaṣṭe pāpa kariyā damana /	jQAna mArgI kazwe pApa kariyA damanaH /
   tavāśraya chāḍi śīghra haya ta patana // HNC_9.19 //	tava-ASraya CAxi SIGra haya te patana // HNS_9.19 //
   tava padāśraya yāra sei mahājana /	tava pada-ASraya yAra sei mahAjanaH /
   vighna nā pāibe kabhu siddhānta vacana // HNC_9.20 //	viGna nA pAibe kaBu sidDAnta vacanaH // HNS_9.20 //
   pramāde pāpa upasthita ha-ile tāhāra prāyaścittera prayojana nāi	pramAde pApaH upasTita ha-ile tAhAra prAyaScittera prayojana nAi
   yadi kabhu pramāde ghaṭaya kona pāpa /	yadi kaBu pramAde Gawaya kona pApa /
   bhakta tabu nāhi sahe prāyaścitta tāpa // HNC_9.21 //	Bakta tabu nA-hi sahe prAyaScitta tApa // HNS_9.21 //
   se pāpa kṣaṇika nāhi pāya avasthiti /	se pApa kzaNika nAhi pAya avasTiti /
   nāma rase bhese yāya nā deya durgati // HNC_9.22 //	nAma rase Bese yAya nA deya durgati // HNS_9.22 //
   nāma-bale pāpācaraṇa-kārīra pariṇāma	nAma-bale pApa-AcaraNa--kArIra pariNAma
   kintu yadi kona jana nāme kari bala /	kintu yadi kona jana nAme kari balaH /
   ācare nūtana pāpa, se jana cañcala // HNC_9.23 //	Acare nUtana pApa, se jana caQcala // HNS_9.23 //
   se kevala kapaṭatā kariyā āśraya /	se kevala kapawa-tA kariyAH ASraya /
   nāma-aparādha pāya śoka-mṛti-bhaya // HNC_9.24 //	nAma-aparADa pAya Soka-mRti-BayaH // HNS_9.24 //
   pramāda o vicārita karmera bheda	pramAda aH vicArita karmera Beda
   pramāda ghaṭanā āra vicārita karme /	pramAda GawanA Ara vicArita karme /
   sampūrṇa prabheda āche bhakti-śāstra marme // HNC_9.25 //	sampUrNa praBedaH ACe Bakti-SAstra marme // HNS_9.25 //
   nāmāśrayīra pāpa karā dūre thākuka, pāpe mati ha-ile-i nāmāparādha haya	nAma-ASrayIra pApa karAH dUre TAkuka, pApe mati ha-ile-i nAma-aparADa haya
   saṃsārī mānava yebā ācaraye pāpa /	saMsArI mAnava yebAH Acaraye pApa /
   prāyaścitta āche tāra āra anutāpa // HNC_9.26 //	prAyaScittaH ACe tAraH Ara anutApa // HNS_9.26 //
   kintu nāma-bale yadi pāpe kare mati /	kintu nAma-bale yadi pApe kare mati /
   prāyaścitta nāhi tāra baḍa-i durgati // HNC_9.27 //	prAyaScitta na-ahi tAra baxa-i durgati // HNS_9.27 //
   bahu yama yātanādi pāile-o tāra /	bahu yama yAtanA-Adi pAile-aH tAraH /
   sei aparādha ha-ite nā haya uddhāra // HNC_9.28 //	sei aparADa ha-ite nA hayaH udDAra // HNS_9.28 //
   pāpa mati-mātre haya e-rūpa yantranā /	pApa mati--mAtre hayaH e--rUpa yantranA /
   pāpācāre yata doṣe tāra ki gaṇanā // HNC_9.29 //	pApa-AcAre yata doze tAra ki gaNanA // HNS_9.29 //
   pravañcaka śaṭhera nāma-bharasāya pāpa-kriyā markaṭa-vairāgya mātra	pravaQcaka SaWera nAma-BarasAya pApa-kriyA markawa-vErAgya mAtra
   śāstre śuniyāche nāma yata pāpa hare /	SAstre Suni-yACe nAma yata pApa hare /
   koṭi janme mahā pāpī karite nā pāre // HNC_9.30 //	kowi janme mahA pApI karite nA pAre // HNS_9.30 //
   pañca vidha pāpa mahā pātaka avadhi /	paQca viDa pApa mahA pAtaka avaDi /
   nāmābhāse yāya śāstra gāya niravadhi // HNC_9.31 //	nAma-ABAse yAya SAstra gAya niravaDi // HNS_9.31 //
   sei ta bharasā kari pravañcaka jana /	sei te BarasA kari pravaQcaka janaH /
   śaṭhatā kariyā nāma karaye grahaṇa // HNC_9.32 //	SaWa-tA kariyA nAma karaye grahaNa // HNS_9.32 //
   kaṣṭera saṃsāra chāḍi vairāgīra veśe /	kazwera saMsAra CAxi vErAgIra veSe /
   kanaka kāminī āśe phire deśe deśe // HNC_9.33 //	kanaka kAminI ASe Pire deSe deSe // HNS_9.33 //
   tumi ta balecha prabhu markaṭa vairāgī /	tumi te baleCa praBu markawa vErAgI /
   kāminī sambhāṣi phire dharma gṛha tyāgī // HNC_9.34 //	kAminI samBAzi Pire Darma gRha tyAgI // HNS_9.34 //
   niṣkapaṭa nāmāśraya nā karile ei aparādha anirvārya	nizka-pawa nAma-ASraya nA karile ei aparADa anirvArya
   vairāgyera chale keha gṛhe kāṭe kāla /	vErAgyera Cale kA-iha gRhe kAwe kAlaH /
   sambhāṣya nā haya saba viśvera jañjāla // HNC_9.35 //	samBAzya nA haya sa-ba viSvera jaQjAlaH // HNS_9.35 //
   gṛhe thāku vane yāu tāte nāhi doṣa /	gRhe TA-ku vane yAu tAte na-ahi dozaH /
   niṣpāpe karuk nāma pāiyā santoṣa // HNC_9.36 //	nizpApe karuj nAma pAiyA santoza // HNS_9.36 //
   nāma bale pāpa mati mahā aparādha /	nAma bale pApa mati mahA aparADa /
   tāhāte majile haya bhakti tattve bādha // HNC_9.37 //	tAhAte majile haya Bakti tattve bADaH // HNS_9.37 //
   nāmābhāsi-vyakti-gaṇa ei kapaṭa lokera saṅge aparādhī hana	nAma-ABAsi--vyakti--gaNaH ei kapawa lokera saFge aparADI hana
   nāmābhāsī janera kusaṅga yadi haya /	nAma-ABAsI janera kusaFga yadi haya /
   tabe ei aparādha ghaṭibe niścaya // HNC_9.38 //	tabe ei aparADa Gawibe niScaya // HNS_9.38 //
   śuddha nāmodaya yāra hṛdaye ha-ibe /	SudDa nAma-udaya yAra hRdaye ha-ibe /
   ei nāma aparādha tāra nā ghaṭibe // HNC_9.39 //	ei nAma aparADa tAra nA Gawibe // HNS_9.39 //
   śuddha nāmāśrita vyaktira daśa vidha aparādha sparśa kare nā	SudDa nAma-ASrita vyaktira daSa viDa aparADa sparSa kare nA
   śuddha-nāmāśrita jane aparādha daśa /	SudDa-nAm-a-ASrita jane aparADa daSa /
   kona rūpe kona kāle nā kare paraśa // HNC_9.40 //	kona rUpe kona kAle nA kare paraSa // HNS_9.40 //
   nāmāśrita jane nāma sadā rakṣā kare /	nAma-ASrita jane nAma sadA rakzA kare /
   aparādha kabhu tāra nā ha-ite pāre // HNC_9.41 //	aparADa kaBu tAra nA ha-ite pAre // HNS_9.41 //
   yata dina śuddha nāma nā haya udaya /	yata dina SudDa nAma nA hayaH udaya /
   tata dina aparādha ākramaṇe bhaya // HNC_9.42 //	tatas dina aparADaH AkramaNe BayaH // HNS_9.42 //
   ataeva nāmābhāsī yadi bhāla cāya /	ataeva nAma-ABAsI yadi BAla ca-ayaH /
   nāma bale pāpa buddhi ha-ite palāya // HNC_9.43 //	nAma bale pApa budDi ha-ite palAya // HNS_9.43 //
   kata dina sāvadhāne aparādha parityāga karā cāi ?	kata dina sa-avaDAne aparADa parityAga karA cAi ?
   śuddha-nāmāśrita-jana-saṅga-bala dhari' /	SudDa-nAma-aSri-ta--jana--saFga-bala Dari-a /
   aparādha sa-tarkatā sarvadā ācari' // HNC_9.44 //	aparADa sa-tarka-tA sarvadA Acari-a // HNS_9.44 //
   śuddha-nāma yāra mukhe tāra dṛḍha mana /	SudDa-nAma yAra muKe tAra dRXa manaH /
   kṛṣṇa haite vicalita nahe eka kṣaṇa // HNC_9.45 //	kRzNa ha-ete vicalita na-he eka kzaNaH // HNS_9.45 //
   ataeva nāma bala yata dina naya /	ataeva nAma bala yata dina naya /
   tata dina aparādhe karibeka bhaya // HNC_9.46 //	tatas dina aparADe kari-beka BayaH // HNS_9.46 //
   viśeṣa yatane pāpa buddhi dūra kari' /	viSeza yatane pApa budDi dUra kari-a /
   aharniśi mukhe balibeka hari hari // HNC_9.47 //	ahar-niSi muKe bali-beka hari hari // HNS_9.47 //
   śrī-guru-kṛpāya habe susambandha-jñāna /	SrI--guru--kRpAya habe su-sambanDa--jQAnaH /
   kṛṣṇa-bhakti kṛṣṇa-nāma tāhāte vidhāna // HNC_9.48 //	kRzNa-Bakti kRzNa--nAma tAhAte viDAnaH // HNS_9.48 //
   ei aparādha ha-ile tāhāra pratikāra	ei aparADa ha-ile tAhAra pratikAra
   yadyapi pramāde nāma-bale pāpa-buddhi /	yadi-api pramAde nAma-bale pApa-budDi /
   śuddha vaiṣṇavera saṅge kari tāra śuddhi // HNC_9.49 //	SudDa vEzNavera saFge kari tAra SudDi // HNS_9.49 //
   pāpa-spṛhā bāṭapāḍa pathe āsi' dhare /	pApa-spRhA bAwapAxa paTe Asi-a Dare /
   viśuddha vaiṣṇava gaṇa patha rakṣā kare // HNC_9.50 //	viSudDa vEzNava gaNa paTa rakzA kare // HNS_9.50 //
   uccaiḥ-svare ḍāki rakṣakera nāma dhari' /	uccEs---svare xAki rakzakera nAma Dari-a /
   palāibe bāṭapāḍa āsibe praharī // HNC_9.51 //	palAibe bAwapAxaH Asibe praharI // HNS_9.51 //
   ādare balibe bhāi nāhi kara bhaya /	Adare balibe BAi na-ahi kara BayaH /
   āmi ta rakṣaka tava śuna mahāśaya // HNC_9.52 //	Ami te rakzaka tava Suna mahA-ASayaH // HNS_9.52 //
   kevala vaiṣṇava-pada-dāsya-vrata yāra /	kevala vEzNava--pada-dAsya--vrata yAraH /
   harināma-cintāmaṇi pāya sei chāra // HNC_9.53 //	harinAma-cintAmaNi pAya sei CAraH // HNS_9.53 //
   iti śrī- hari-nāma-cintāmaṇau nāma-bale pāpa-buddhir	iti SrI hari-nAma---cintAmaNO nAma-bale pApa-budDiH-
   nāma navamaḥ paricchedaḥ /	nAma navamaH paricCedaH /
   daśama pariccheda	daSama paricCeda
   aśraddadhāne vimukhe 'py aśṛṇvati	aSraddaDAne vimuKe api aSRNvati
   yaś copadeśaḥ śiva-nāmāparādhaḥ	yaH ca-upadeSaH Siva-nAma-aparADaH
   gaura gadādhara jaya jāhnavā-jīvana /	gOra gadADara jaya jAhnavA--jIvana /
   jaya jaya sītādvaita jaya bhakta-gaṇa // HNC_10.1 //	jaya jaya sItA-dvEta jaya Bakta--gaNaH // HNS_10.1 //
   kara yuḍi' haridāsa balena vacana /	kara yuxi-a haridAsa balena vacana /
   āra nāma aparādha karaha śravaṇa // HNC_10.2 //	Ara nAma aparADa karaha SravaNaH // HNS_10.2 //
   nāme dṛḍha viśvāsake śraddhā bali, tāhā ha-ile-i nāme adhikāra haya	nAme dRXa viSvAsake SradDA bali, tAhA ha-ile-i nAme aDikAra haya
   yāhāra hṛdaye śraddhā nā ha-ila udaya /	yAhAra hRdaye SradDA nA ha-ilaH udaya /
   nāma nāhi śune bahirmukha durāśaya // HNC_10.3 //	nAma nAhi Sune bahirmuKa durASaya // HNS_10.3 //
   nā janme se janāra nāme adhikāra /	nA janme se janAra nAme aDikAraH /
   śraddhā mātra adhikāra ei tattva-sāra // HNC_10.4 //	SradDA mAtra aDikAraH ei tattva-sAra // HNS_10.4 //
   sajjāti, sat-kula, jñāna, bala, vidyā dhana /	sajjAti, sat-kula, jQAna, bala, vidyA DanaH /
   nāme adhikāra dite nā haya kāraṇa // HNC_10.5 //	nAme aDikAra dite nA haya kAraNa // HNS_10.5 //
   nāmera māhātmya yei sudṛḍha viśvāsa /	nAma-ira mAhAtmya yei su-dRXa viSvAsa /
   śāstra-mate śraddhā sei sarvatra prakāśa // HNC_10.6 //	SAstra-mate SradDA sei sarvatra prakASa // HNS_10.6 //
   śraddhā-hīna janake nāma dile nāmāparādhī haya	SradDA-a-hIna janake nAma dile nAma-aparADI haya
   śraddhā nāhi janme yāra hari nāma tāre /	SradDA na-ahi janme yAra hari nAma tAre /
   sādhu jana nāhi dena vaiṣṇava ācāre // HNC_10.7 //	sADu jana nAhi dena vEzNavaH AcAre // HNS_10.7 //
   śraddhā hīna jana yadi hari nāma pāya /	SradDA hIna jana yadi hari nAma pAyo /
   avajñā karibe mātra sarva śāstre gāya // HNC_10.8 //	avajQA karibe mA-atra sarva SAstre gAya // HNS_10.8 //
   śūkarake dile ratna se cūrṇa karibe /	SUkarake dile ratna se cUrNa karibe /
   bānarake dile vastra chiṅḍiyā phelibe // HNC_10.9 //	bAnarake dile vastra CiFxiyA Peli-be // HNS_10.9 //
   śraddhā hīna peye nāma aparādha mare /	SradDA hIna peye nAma aparADa mare /
   saṅge saṅge guruke abhakta śīghra kare // HNC_10.10 //	saFge saFge guruke aBakta SIGra kare // HNS_10.10 //
   śraddhā hīna vyakti nāma pāite prārthanā karile tāhāra sahita ki rūpe	SradDA hIna vyakti nAma pAite prArTanA karile tAhAra sahita ki rUpe
   vyavahāra karā ucita	vyavahAra karAH ucita
   śraddhā virahita jana śaṭhatā kariyā /	SradDA virahita jana SaWa-tA kariyA /
   hari nāma māge vaiṣṇavera kāche giyā // HNC_10.11 //	hari nAma mAge vEzNavera kACe giyA // HNS_10.11 //
   tāhāra vañcanā vākya bujhi sādhu jana /	tAhAra vaQcanA vAkya buJi sADu janaH /
   hari nāma nāhi dena tāre kadācana // HNC_10.12 //	hari nAma nAhi dena tAre kadAcana // HNS_10.12 //
   sādhu bale ohe bhāi śāṭhya parihara /	sADu bale ohe BAi SAWya parihara /
   pratiṣṭhāśā dūre rākhi nāme śraddhā kara // HNC_10.13 //	pratizWA-ASA dUre rAKi nAme SradDA karaH // HNS_10.13 //
   nāme śraddhā haile nāma anāyāse pābe /	nAme SradDA ha-ele nAma anAyAse pAbe /
   nāmera prabhāve e saṃsāre tare yābe // HNC_10.14 //	nAmera praBAve e saMsAre tare yAbe // HNS_10.14 //
   yata dina nāhi tava nāme śraddhā bhāi /	yata dina na-ahi tava nAme SradDA BAi /
   nāma laite tomāra ta adhikāra nāi // HNC_10.15 //	nAma lEte tomAra te aDikAra nAi // HNS_10.15 //
   śrī nāma māhātmya sādhu śāstra mukhe śuna /	SrI nAma mAhAtmya sADu SAstra muKe SunaH /
   pratiṣṭhāśā chāḍi dainya karaha grahaṇa // HNC_10.16 //	pratizWA-ASA CAxi dEnya karaha grahaNa // HNS_10.16 //
   nāme śraddhā hale tabe guru mahājana /	nAme SradDA hale tabe guru mahAjanaH /
   nāma arpibena bhāi nāma mahā dhana // HNC_10.17 //	nAma arpibena BAi nAma mahA DanaH // HNS_10.17 //
   śraddhā hīna jane artha lobhe nāma diyā /	SradDA hIna jane arTa loBe nAma diyA /
   narakete yāya nāmāparādha majiyā // HNC_10.18 //	narakete yAya nAma-aparADa majiyA // HNS_10.18 //
   ei aparādhera pratikāra	ei aparADera pratikAra
   pramāde yadyapi nāma upadeśa haya /	pramAde yadi-api nAma upadeSa haya /
   śraddhā hīne tabe guru pāya mahā bhaya // HNC_10.19 //	SradDA hIne tabe guru pAya mahA BayaH // HNS_10.19 //
   vaiṣṇava samāje tāhā kari vijñāpana /	vEzNava samAje tAhA kari vijQApana /
   sei duṣṭa śiṣya tyāga kare mahā jana // HNC_10.20 //	sei duzwa Sizya tyAga kare mahA janaH // HNS_10.20 //
   tāhā nā karile guru aparādha krame /	tAhA nA karile guru aparADa krame /
   bhakti hīna durācāra haya māyā bhrame // HNC_10.21 //	Bakti hIna durAcAra haya mAyA Brame // HNS_10.21 //
   ataeva prabhu yāre ādeśa karile /	ataeva praBu yAre AdeSa karile /
   nāma pracārite tāre ei ājñā dile // HNC_10.22 //	nAma pracArite tAre ei AjQA dile // HNS_10.22 //
   e viṣaye prabhura ājñā	e vizaye praBuraH AjQA
   śraddhāvān jane kara nāma upadeśa /	SradDAvAn jane kara nAma upadeSa /
   nāma mahimāya pūrṇa kara sarva-deśa // HNC_10.23 //	nAma mahimAya pUrNa kara sarva--deSaH // HNS_10.23 //
   ucca saṅkīrtane kara śraddhāra pracāra /	ucca saFkIrtane kara SradDAra pracAra /
   śraddhā labhi jīva kare sad guru vicāra // HNC_10.24 //	SradDA laBi jIva kare sat guru vicAra // HNS_10.24 //
   sad guru nikaṭe kare śrī nāma grahaṇa /	sat guru nikawe kare SrI nAma grahaNa /
   anāyāse pāya tabe kṛṣṇa prema dhana // HNC_10.25 //	anAyAse pAya tabe kRzNa prema DanaH // HNS_10.25 //
   cora veśyā śaṭha ādi pāpāsakta jane /	cora veSyA SaWaH Adi pApa-Asakta jane /
   chāḍāiyā pāpa mati dibe śraddhā dhane // HNC_10.26 //	CAxA-aiyA pApa mati dibe SradDA Dane // HNS_10.26 //
   suśraddha haile dibe nāma upadeśa /	suSradDa ha-ele dibe nAma upadeSa /
   ei rūpe nāma diyā tāra sarva deśa // HNC_10.27 //	ei rUpe nAma diyA tAra sarve deSaH // HNS_10.27 //
   ei rūpa aparādhera phala	ei rUpa aparADera Pala
   ihā nā kariyā yini dena nāma dhana /	ihA nA kariyA yini dena nAma DanaH /
   sei aparādhe tāṅra narake patana // HNC_10.28 //	sei aparADe tAFra narake patana // HNS_10.28 //
   nāma peye śiṣya kare nāma aparādha /	nAma peye Sizya kare nAma aparADa /
   tāhāte gurura haya bhakti rasa bādha // HNC_10.29 //	tAhAte gururaH haya Bakti rasa bADa // HNS_10.29 //
   ei nāma aparādhe duṅhe śiṣya guru /	ei nAma aparADe duFhe Sizya guru /
   narakete yāya ei aparādha uru // HNC_10.30 //	narakete yAyaH ei aparADaH uru // HNS_10.30 //
   agre śraddhā diyā nāma upadeśa dibe	agre SradDA diyA nAma upadeSa dibe
   jagā mādhā prati tumi mahā kṛpā kari /	jagA mADA prati tumi mahA kRpA kari /
   nāme śraddhā diyā nāma dile gaura hari // HNC_10.31 //	nAme SradDA diyA nAma dile gOra hari // HNS_10.31 //
   adbhuta caritra tava sarva jana gaṇa /	adButa caritra tava sarva jana gaNaH /
   śraddhāya karuka anukaraṇa caraṇa // HNC_10.32 //	SradDAya karuka anukaraNa caraNaH // HNS_10.32 //
   bhakta pāda bhaktite vinoda yāhāra /	Bakta pAda Baktite vinoda yAhAra /
   hari-nāma-cintāmaṇi alaṅkāra tāra // HNC_10.33 //	hari-nAma---cintAmaNi alaFkAra tAraH // HNS_10.33 //
   ekādaśa pariccheda	ekAdaSa paricCeda
   anya śubha-karmera sahita nāmake tulya-jñāna	anye SuBa-karmera sahita nAmake tulya--jQAna
   dharma-vrata-tyāga-hutādi-sarva-	Darma-vrata--tyAga--huta-Adi--sarva-
   śubha-kriyā-sāmyam api pramādaḥ /	SuBa-kriyA--sAmyam api pramAdaH /
   jaya jaya gauracandra nāma avatāra /	jaya jaya gOracandra nAma avatAraH /
   jaya jaya harināma sarva-tattva-sāra // HNC_11.1 //	jaya jaya hari-nAma sarva--tattva--sAra // HNS_11.1 //
   nāmera upāyatva sattveo upeyatva	nAma-iraH upAya-tva sattveaH upeya-tva
   kṛṣṇa-nāma haya prabhu pūrṇānanda tattva /	kRzNa--nAma haya praBu pUrNa-Ananda tattva /
   upeya vā siddhi bali yāhāra mahattva // HNC_11.26 //	upeya vA sidDi bali yAhAra mahat-tva // HNS_11.26 //
   upāya ha-iyā āvirbhūta dharātale /	upAya ha-iyAH AvirBUta DarA-tale /
   upeya upāya aikya sarva śāstre bale // HNC_11.27 //	upeyaH upAya Ekya sarva SAstre bale // HNS_11.27 //
   adhikāra-bhede yini upāya svarūpa /	aDikAra-Bede yini upAya svarUpa /
   tini-i upeya anye baḍa aparūpa // HNC_11.28 //	tini-i upeya anye baxa aparUpa // HNS_11.28 //
   śubha-karma gauṇopāya nāma mukhyopāya	SuBa-karma gONopAya nAma muKya-upAya
   ataeva upāya dvividha guṇa dhāma /	ataeva upAya dviviDa guNa DAma /
   gauṇopāya śubha karma mukhyopāya nāma // HNC_11.29 //	gONopAya SuBa karma muKya-upAya nAma // HNS_11.29 //
   nāmera atīndriyatva	nAmera atIndriya-tva
   ataeva śāstre yata anya śubha karma /	ataeva SAstre yata anye SuBa karma /
   nāma saha nahe ei sarva śāstra marma // HNC_11.30 //	nAma saha na-he ei sarva SAstra marma // HNS_11.30 //
   sarala hṛdaye yabe kṛṣṇa-nāma gāya /	sarala hRdaye yabe kRzNa--nAma gAya /
   atīndriya-sukha āsi cittake nācāya // HNC_11.31 //	atIndriya--suKaH Asi cittake na-AcAya // HNS_11.31 //
   sei sukha kṛṣṇa-nāma-svabhāva tatpara /	sei suKa kRzNa-nAma--svaBAva tad-para /
   ātma-rati ātma-krīḍā nāhi yāra para // HNC_11.32 //	Atma-rati Atma--krIxA na-ahi yAra paraH // HNS_11.32 //
   sāyujya kaivalya sukha ānanda sukhera chāyā mātra	sAyujya kEvalya suKaH Ananda suKera CAyA mAtra
   brahma jñāne yoge ye ānanda vaibhava /	brahma jQAne yoge ye Ananda vEBava /
   jaḍera viccheda sukha chāyā anubhava // HNC_11.33 //	jaxera vicCeda suKa CAyA anuBavaH // HNS_11.33 //
   abhedya kaivalya sukha svalpa bali' jāni /	aBedya kEvalya suKa svalpa bali-a jAni /
   kṛṣṇa-nāmānanda-sukha bhūmā bali' māni // HNC_11.34 //	kRzNa-nAma-Ananda--suKa BUmAH bali-a mAni // HNS_11.34 //
