   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   tato 'mbaratale ghoṣaḥ sasvanaḥ samajāyata /	tatas ambara tale GozaH sa svanaH samajAyata /
   gītavādyādisaṃmiśro dundubhīnāṃ kalipriya // VamP_42.23 //	gIta vAdya Adi saMmiSraH dunduBInAm kali priya // VamP_42.23 //
   tataḥ paśyatsu deveṣu mahāpāśupatādayaḥ /	tatas paSyatsu devezu mahA pASupata AdayaH /
   gaṇāstaddānavaṃ sainyaṃ jighāṃsanti sma kopitāḥ // VamP_42.24 //	gaNAH tad dAnavam sEnyam jiGAMsanti sma kopitAH // VamP_42.24 //
   caturaṅgabalaṃ dṛṣṭvā hanyamānaṃ gaṇeśvaraiḥ /	caturaFga balam dRzwvA hanyamAnam gaNeSvarEH /
   krodhānvitastuhuṇḍastu vegonābisasāra ha // VamP_42.25 //	kroDa anvitaH tuhuNxaH tu vegonAbisasAra ha // VamP_42.25 //
   ādāya parighaṃ ghoraṃ paṭṭodbddhamayasmayam /	AdAya pariGam Goram pawwa udbdDam ayasmayam /
   rājataṃ rājate 'tyarthamindradhvajamivocchritam // VamP_42.26 //	rAjatam rAjate atyarTam indra Dvajam iva ucCritam // VamP_42.26 //
   taṃ bhrāmayāno balavān nijaghāna raṇe gaṇān /	tam BrAmayAnaH balavAn nijaGAna raNe gaNAn /
   rudrādyāḥ skandaparyantāste 'bhajyanta bhayāturāḥ // VamP_42.27 //	rudra AdyAH skanda paryantAH te aBajyanta Baya AturAH // VamP_42.27 //
   tatprabhagnaṃ balaṃ dṛṣṭvā gaṇanātho vināyakaḥ /	tad praBagnam balam dRzwvA gaNanATaH vinAyakaH /
   samādravata vegena tuhuṇḍaṃ danuruṅgavam // VamP_42.28 //	samAdravata vegena tuhuNxam danuruFgavam // VamP_42.28 //
   āpatantaṃ gaṇapatiṃ dṛṣṭvā daityo durātmavān /	Apatantam gaNapatim dRzwvA dEtyaH durAtmavAn /
   parighaṃ pātayāmāsa gumbhapṛṣṭhe mahābalaḥ // VamP_42.29 //	pariGam pAtayAmAsa gumBa pRzWe mahA balaH // VamP_42.29 //
   vināyakasya tatkumbhe parighaṃ vajrabhūṣaṇam /	vinAyakasya tat kumBe pariGam vajra BUzaNam /
   śatadhā tvagamad brahman meroḥ kūṭa ivāśaniḥ // VamP_42.30 //	SataDA tu agamat brahman meroH kUwaH iva aSaniH // VamP_42.30 //
   parighaṃ viphalaṃ dṛṣṭvā samāyāntaṃ ca pārṣadam /	pariGam viPalam dRzwvA samAyAntam ca pArzadam /
   babandha bāhupāśena rāhū rakṣan hi mātulam // VamP_42.31 //	babanDa bAhu pASena rAhuH rakzan hi mAtulam // VamP_42.31 //
   sa baddho bāhupāsena balādākṛṣya dānavam /	sa badDaH bAhu pAsena balAt AkRzya dAnavam /
   samājaghāna śiraśi kuṭhāreṇa mahodaraḥ // VamP_42.32 //	samAjaGAna SiraSi kuWAreNa mahodaraH // VamP_42.32 //
   kāṣṭhavat sa dvidhā bhūto nipapāta dharātale /	kAzWa vat sa dviDA BUtaH nipapAta DarA tale /
   tathāpi nātyajad rāhurbalavān dānaveśvaraḥ /	taTA api na atyajat rAhuH balavAn dAnava ISvaraH /
   sa mokṣārthe 'karod yatnaṃ na śaśāka ca nārada // VamP_42.33 //	sa mokza arTe akarot yatnam na SaSAka ca nArada // VamP_42.33 //
   vināyakaṃ saṃyatamīkṣya rāhuṇā kuṇḍodaro nāma gaṇeśvaro 'tha /	vinAyakam saMyatam Ikzya rAhuNA kuNxodaraH nAma gaNeSvaraH aTa /
   pragṛhya tūrṇa muśalaṃ mahātmā rāhuṃ durātmānamasau jaghāna // VamP_42.34	pragRhya tUrNa muSalam mahAtmA rAhum durAtmAnam asO jaGAna // VamP_42.34
   tato gaṇeśaḥ kalaśadhvajastu prāsena rāhuṃ hṛdaye bibheda /	tatas gaNeSaH kalaSa DvajaH tu prAsena rAhum hRdaye biBeda /
   ghaṭodaro vai gadayā jaghāna khaḍgena rakṣo 'dhipatiḥ sukeśī // VamP_42.35	GawodaraH vE gadayA jaGAna Kaxgena rakzaH aDipatiH sukeSI // VamP_42.35
   sa taiścaturbhiḥ paritāḍyamāno gaṇādhipaṃ rāhurathotsasarja /	sa tEH caturBiH paritAxyamAnaH gaNADipam rAhuH aTa utsasarja /
   saṃtyaktamātro 'tha paraśvadhena tuhuṇmūrddhānamatho bibheda // VamP_42.36	saMtyakta mAtraH aTa paraSvaDena tuhuz mUrdDAnam aTo biBeda // VamP_42.36
   hate tuhuṇḍe vimukhe ca rāhau gaṇeśvarāḥ krodhaviṣaṃ mumukṣavaḥ /	hate tuhuNxe vimuKe ca rAhO gaNeSvarAH kroDa vizam mumukzavaH /
   pañcaikakālānalasannikāśā viśānti senāṃ danupuṅgavānām // VamP_42.37 //	paQca eka kAla anala sannikASAH viSAnti senAm danu puFgavAnAm // VamP_42.37 //
   tāṃ badhyamānāṃ svacamūṃ samīkṣyacabalirbalī mārutatulyavegaḥ /	tAm baDyamAnAm sva camUm samIkzya cabaliH balI mAruta tulya vegaH /
   gadāṃ samāvidhya jaghāna mūrdhni vināyakaṃ kumbhataṭe kare ca //	gadAm samAviDya jaGAna mUrDni vinAyakam kumBa tawe kare ca //
   VamP_42.38 //	VamP_42.38 //
   kuṇḍodaraṃ bhagnakaṭiṃ cakāra mahodaraṃ śīrṇaśiraḥkapālam /	kuNxodaram Bagna kawim cakAra mahodaram SIrNa SiraH kapAlam /
   kumbhadhvajaṃ cūrṇitasaṃdhibandhaṃ ghaṭodaraṃ coruvibhinnasaṃdhim //	kumBaDvajam cUrNita saMDi banDam Gawodaram ca uru viBinna saMDim //
   VamP_42.39 //	VamP_42.39 //
   gaṇādhipāṃstān vimukhān sa kṛtvā balanvito vīrataro 'surendraḥ /	gaNADipAn= tAn vimuKAn sa kRtvA balanvitaH vIrataraH asura indraH /
   samabhyadhāvat tvarito nihantuṃ gaṇeśvarān skandaviśākhamukhyān //	samaByaDAvat tvaritaH nihantum gaNeSvarAn skanda viSAKa muKyAn //
   VamP_42.40 //	VamP_42.40 //
   tamāpatantaṃ bhagavān samīkṣya maheśvaraḥ śreṣṭhatamaṃ gaṇānām /	tam Apatantam BagavAn samIkzya maheSvaraH SrezWatamam gaNAnAm /
   śailādimāmantrya vaco babhāṣe gacchasva daityān jahi vīra yuddha //	SElAdim Amantrya vacaH baBAze gacCasva dEtyAn jahi vIra yudDaH //
   VamP_42.41 //	VamP_42.41 //
   ityevamukto vṛṣabhadhvajena vajraṃ samādāya śilādasūnuḥ /	iti evam uktaH vRzaBaDvajena vajram samAdAya SilAda sUnuH /
   baliṃ sambhyetya jaghāna mūrdhni saṃmohitaḥ so 'vanimāsasāda // VamP_42.42	balim samByetya jaGAna mUrDni saMmohitaH saH avanimAsasAda // VamP_42.42
   saṃmohitaṃ bhrātṛsutaṃ viditvā balī kujambho musalaṃ pragṛhya /	saMmohitam BrAtR sutam viditvA balI kujamBaH musalam pragRhya /
   saṃbhrāmayaṃstūrṇataraṃ sa vegāt sasarja nandiṃ prati jātakopaḥ //	saMBrAmayan= tUrNataram sa vegAt sasarja nandim prati jAta kopaH //
   VamP_42.43 //	VamP_42.43 //
   tamāpatantaṃ musalaṃ pragṛhya kareṇa tūrṇa bhagavān sa nandī /	tam Apatantam musalam pragRhya kareNa tUrNa BagavAn sa nandI /
   jaghāna tenaiva kujambhamāhave sa prāṇahīno nipapāta bhūmau // VamP_42.44	jaGAna tena eva kujamBam Ahave sa prANa hInaH nipapAta BUmO // VamP_42.44
   hatvā kujambhaṃ musalena nandī vajreṇa vīraḥ śataśo jaghāna /	hatvA kujamBam musalena nandI vajreNa vIraH SataSas jaGAna /
   te vadhyamānā gaṇanāyakena duryodhanaṃ vai śaraṇaṃ prapannāḥ // VamP_42.45	te vaDyamAnAH gaNanAyakena duryoDanam vE SaraNam prapannAH // VamP_42.45
   duryodhanaḥ prekṣya gaṇādhipena vajrapahārairnihatān ditīśān /	duryoDanaH prekzya gaNADipena vajra pahArEH nihatAn ditISAn /
   prāsaṃ samāvidhya taḍitprakāśaṃ nandiṃ pracikṣepa hato 'si vai bruvan //	prAsam samAviDya taxit prakASam nandim pracikzepa hataH asi vE bruvan //
   VamP_42.46 //	VamP_42.46 //
   tamāpatantaṃ kuliśena nandī bibheda guhyaṃ piśuno yathā naraḥ /	tam Apatantam kuliSena nandI biBeda guhyam piSunaH yaTA naraH /
   tatprāsamālakṣya tadā nikṛttaṃ saṃvarttya muṣṭiṃ gaṇamāsasāda //	tad prAsam Alakzya tadA nikRttam saMvarttya muzwim gaNam AsasAda //
   VamP_42.47 //	VamP_42.47 //
   tato 'sya nandī kulisena tṛrṇa śiro 'cchinat tālaphalaprakāśam /	tatas asya nandI kulisena tRrNa SiraH acCinat tAla Pala prakASam /
   hato 'tha bhūmau nipapāta vegād daityāśca bhītā vigatā diśo daśa //	hataH aTa BUmO nipapAta vegAt dEtyAH ca BItAH vigatAH diSaH daSa //
   VamP_42.48 //	VamP_42.48 //
   tato hataṃ svaṃ tanayaṃ nirīkṣya hastī tadā nandinamājagāma /	tatas hatam svam tanayam nirIkzya hastI tadA nandinam AjagAma /
   pragṛhya bāṇāsanamugravegaṃ bibheda bāṇairyamadaṇḍakalpaiḥ // VamP_42.49	pragRhya bANAsanam ugra vegam biBeda bANEH yama daNxa kalpEH // VamP_42.49
   gaṇān sandīn vṛṣabhadhvajāṃstān dhārābhirevāmburāstu śailān /	gaNAn sandIn vRzaBaDvajAn= tAn DArABiH eva amburAH tu SElAn /
   te chādyamānāsurabāmajālairvināyakādyā balino 'pi samantān // VamP_42.50	te CAdyamAna asura bAma jAlEH vinAyaka AdyAH balinaH api samantAn // VamP_42.50
   parāṅmukhān vīkṣya gaṇān kumāraḥ śaktyā pṛṣatkāntha vārayitvā /	parAFmuKAn vIkzya gaNAn kumAraH SaktyA pRzad kAnTa vArayitvA /
   tūrṇaṃ sabhabhyetya ripuṃ samīkṣya pragṛhya śaktyā hṛdaye vibheda //	tUrNam saBaByetya ripum samIkzya pragRhya SaktyA hRdaye viBeda //
   VamP_42.51 //	VamP_42.51 //
   śaktinirbhinnahṛdayo hastī bhūmyāṃ papātaha /	Sakti nirBinna hRdayaH hastI BUmyAm papAtaha /
   mamāra cāripṛtanā jātā bhūyaḥ parāṅmukhī // VamP_42.52 //	mamAra cAri pRtanA jAtA BUyas parAFmuKI // VamP_42.52 //
   amarāribalaṃ dṛṣṭvā bhagnaṃ kruddhā gaṇeśvarāḥ /	amarAri balam dRzwvA Bagnam krudDAH gaNeSvarAH /
   purato nandinaṃ kṛtvā jighāṃsanti sma dānavān // VamP_42.53 //	puratas nandinam kRtvA jiGAMsanti sma dAnavAn // VamP_42.53 //
   te vadhyamānāḥ pramathairdaityāścāpi parāṅmukhāḥṣa /	te vaDyamAnAH pramaTEH dEtyAH ca api parAFmuKAHza /
   bhūyo nivṛttā balinaḥ kārttasvarapurogamāḥ // VamP_42.54 //	BUyas nivRttAH balinaH kArtta svara purogamAH // VamP_42.54 //
   tān nivṛttān samīkṣyaiva krodhadīptekṣaṇaḥ śvaśasan /	tAn nivRttAn samIkzya eva kroDa dIpta IkzaNaH SvaSasan /
   nandiṣeṇo vyāghramukho nivṛttaścāpi vegavān // VamP_42.55 //	nandizeNaH vyAGramuKaH nivRttaH ca api vegavAn // VamP_42.55 //
   tasmin nivṛtte gaṇape paṭṭiśāgrakare tadā /	tasmin nivRtte gaNape pawwiSa agra kare tadA /
   kārttasvaro nivavṛte gadāmādāya nārada // VamP_42.56 //	kArttasvaraH nivavRte gadAm AdAya nArada // VamP_42.56 //
   tamāpatantaṃ jvalanaprakāśaṃ gamaḥ samīkṣyaiva mahāsurendram /	tam Apatantam jvalana prakASam gamaH samIkzya eva mahA asura indram /
   taṃ paṭṭiśaṃ bhrāmya jaghāna mūrdhni kārtasvaraṃ visvaramunnadantam //	tam pawwiSam BrAmya jaGAna mUrDni kArtasvaram visvaram unnadantam //
   VamP_42.57 //	VamP_42.57 //
   tasmin hate samāvidhya turaṅgakandharaḥ /	tasmin hate samAviDya turaFga kanDaraH /
   babandha vīraḥ saha paṭṭiśena gaṇeśvaraṃ cāpyatha nandiṣeṇam // VamP_42.58	babanDa vIraH saha pawwiSena gaNeSvaram ca api aTa nandizeNam // VamP_42.58
   nandiṣeṇaṃ tathā baddhaṃ samīkṣya balināṃ varaḥ /	nandizeNam taTA badDam samIkzya balinAm varaH /
   viśākhaḥ kapito 'bhyetya śaktipāṇiravasthitaḥ // VamP_42.59 //	viSAKaH kapitaH aByetya SaktipANiH avasTitaH // VamP_42.59 //
   taṃ dṛṣṭvā balināṃ śreṣṭhaḥ pāśapāṇirayaḥśirāḥ /	tam dRzwvA balinAm SrezWaH pASa pANiH ayaHSirAH /
   saṃyodhayāmāsa balī viśākhaṃ kukkuṭadhvajam // VamP_42.60 //	saMyoDayAmAsa balI viSAKam kukkuwa Dvajam // VamP_42.60 //
   viśākhaṃ saṃniruddhaṃ vai dṛṣṭvāyaśirasā raṇe /	viSAKam saMnirudDam vE dRzwvA ayaSirasA raNe /
   śākhaśca naigameyaśca tūrṇamādravatāṃ ripum // VamP_42.61 //	SAKaH ca nEgameyaH ca tUrNam AdravatAm ripum // VamP_42.61 //
   ekato naigameyena bhinnaḥ śaktyā tvayaḥsirāḥ /	ekatas nEgameyena BinnaH SaktyA tu ayaH sirAH /
   śākhaśca naigameyaśca tūrṇamādravatāṃ ripum // VamP_42.62 //	SAKaH ca nEgameyaH ca tUrNam AdravatAm ripum // VamP_42.62 //
   sa tribhiḥ śaṅkarasutaiḥ pīḍyamāno jahau paṇam /	sa triBiH SaFkara sutEH pIxyamAnaH jahO paNam /
   te prāptāḥ śambaraṃ tūrṇaṃ prekṣyamāṇā gaṇeśvarāḥ // VamP_42.63 //	te prAptAH Sambaram tUrNam prekzyamANAH gaNeSvarAH // VamP_42.63 //
   pāśaṃ śaktyā samāhatya caturbhiḥ śaṅkarātmajaiḥ /	pASam SaktyA samAhatya caturBiH SaFkara AtmajEH /
   jagāma vilayaṃ tūrṇamākāsādiva bhūtalam // VamP_42.64 //	jagAma vilayam tUrNam AkAsAt iva BU talam // VamP_42.64 //
   pāśe nirāśatāṃ yāte śambaraḥ kātarekṣaṇaḥ /	pASe nirASa tAm yAte SambaraH kAtara IkzaNaH /
   diśo 'tha bheje devarṣe kumāraḥ sainyamardayat // VamP_42.65 //	diSaH aTa Beje deva Rze kumAraH sEnyam ardayat // VamP_42.65 //
   tairvadhyamānā pṛtanā maharṣe sādānavī rudrasutairgaṇaiśca /	tEH vaDyamAnA pRtanA mahA Rze sAdAnavI rudra sutEH gaNEH ca /
   viṣaṇṇārūpā bhayavihvalāṅgī jagāma sukraṃ śaraṇaṃ bhayārtā // VamP_42.66	vizaNNA rUpA Baya vihvala aFgI jagAma sukram SaraNam Baya ArtAH // VamP_42.66
   iti śrīvāmanapurāṇe dvicatvāriṃśo 'dhyāyaḥ	iti SrI vAmanapurANe dvicatvAriMSaH aDyAyaH
   pulastya uvāca /	pulastyaH uvAca /
   tataḥ svaisainyamālakṣya nihataṃ pramathairatha /	tatas svEsEnyam Alakzya nihatam pramaTEH aTa /
   andhako 'bhyetya śukraṃ tu idaṃ vacanamabravīt // VamP_43.1 //	anDakaH aByetya Sukram tu idam vacanam abravIt // VamP_43.1 //
   bhagavaṃstvāṃ māśritya vayaṃ bādhāma devatāḥ /	Bagavan= tvAm mA ASritya vayam bADAma devatAH /
   athānyānapi viprarṣe gandharvasurakinnarān // VamP_43.2 //	aTa anyAn api vipra Rze ganDarva sura kinnarAn // VamP_43.2 //
   tadiyaṃ paśya bhagavan mayā guptā varūthinī /	tat iyam paSya Bagavat mayA guptA varUTinI /
   anāthena yathā nārī pramathairapi kālyate // VamP_43.3 //	anATena yaTA nArI pramaTEH api kAlyate // VamP_43.3 //
   kujambhādyāśca nihatā bhrātaro mama bhārgava /	kujamBa AdyAH ca nihatAH BrAtaraH mama BArgava /
   akṣayāḥ pramathāścāmī kurukṣetraphalaṃ yathā // VamP_43.4 //	akzayAH pramaTAH ca amI kurukzetra Palam yaTA // VamP_43.4 //
   tasmāt kuruṣva śreyo no na jīyema yathā paraiḥ /	tasmAt kuruzva SreyaH naH na jIyema yaTA parEH /
   jayema ca parān yuddhe tathā tvaṃ kurtumarhasi // VamP_43.5 //	jayema ca parAn yudDe taTA tvam kurtum arhasi // VamP_43.5 //
   śukro 'ndhakavacaḥ śrutvā sāntvayan paramādbhutam /	SukraH anDaka vacaH SrutvA sAntvayan parama adButam /
   vacanaṃ prāha devarṣe brahmarṣirdānaveśvaram /	vacanam prAha deva Rze brahmarziH dAnava ISvaram /
   tvaddhitārtha yatiṣyāmi kariṣyāmi tava priyam // VamP_43.6 //	tvad hita arTa yatizyAmi karizyAmi tava priyam // VamP_43.6 //
   ityevamuktvā vacanaṃ vidyāṃ saṃjīvanīṃ kaviḥ /	iti evam uktvA vacanam vidyAm saMjIvanIm kaviH /
   ārvatayāmāsa tadā vidhānena śucivrataḥ // VamP_43.7 //	ArvatayAmAsa tadA viDAnena Suci vrataH // VamP_43.7 //
   tasyāmāvartyamānāyāṃ vidyāyāmasureśvarāḥ /	tasyAm AvartyamAnAyAm vidyAyAm asura ISvarAH /
   ye hatāḥ prathamaṃ yuddhe dānavāste samutthitāḥ // VamP_43.8 //	ye hatAH praTamam yudDe dAnavAH te samutTitAH // VamP_43.8 //
   kujambhādiṣu daityeṣu nandī śaṅkaramabravīt /	kujamBa Adizu dEtyezu nandI SaFkaram abravIt /
   yuddhāyābhyāgateṣveva nandī śaṅkaramabravīt // VamP_43.9 //	yudDAya aByAgatezu eva nandI SaFkaram abravIt // VamP_43.9 //
   mahādeva vaco mahyaṃ śṛṇu tvaṃ paramādbhutam /	mahAdeva vacaH mahyam SRNu tvam parama adButam /
   avicintyamasahyaṃ ca mṛtānāṃ jīvanaṃ punaḥ // VamP_43.10 //	avicintyam asahyam ca mRtAnAm jIvanam punar // VamP_43.10 //
   ye hatāḥ pramathairdaityā yathāśaktyā raṇājire /	ye hatAH pramaTEH dEtyAH yaTASaktyA raNa ajire /
   te samujjīvitā bhūyo bhārgāveṇātha vidyāyā // VamP_43.11 //	te samujjIvitA BUyas BArgA veNa aTa vidyAyAH // VamP_43.11 //
   tadidaṃ tairmahādeva mahatkarma kṛtaṃ raṇe /	tat idam tEH mahAdeva mahat karma kRtam raNe /
   saṃjātaṃ svalpameveśa śukravidyābalākṣayam // VamP_43.12 //	saMjAtam su alpam eva ISa Sukra vidyA bala akzayam // VamP_43.12 //
   ityevamukte vacane nandinā kulanandinā /	iti evam ukte vacane nandinA kula nandinA /
   pratyuvāca prabhuḥ prītya svārthasādhanamuttamam // VamP_43.13 //	pratyuvAca praBuH prItya sva arTa sADanam uttamam // VamP_43.13 //
   gaccha sukraṃ gaṇapate mamāntikamupānaya /	gacCa sukram gaNapate mama antikam upAnaya /
   ahaṃ taṃ saṃyamiṣyāmi yathāyogaṃ sametya hi // VamP_43.14 //	aham tam saMyamizyAmi yaTAyogam sametya hi // VamP_43.14 //
   ityevamukto rudreṇa nandī gaṇapatistataḥ /	iti evam uktaH rudreNa nandI gaNapatiH tatas /
   samājagāma daityānāṃ camuṃ śukrajighṛkṣayā // VamP_43.15 //	samAjagAma dEtyAnAm camum Sukra jiGRkzayA // VamP_43.15 //
   taṃ dadarśāsuraśreṣṭho balavān hayakandharaḥ /	tam dadarSa asura SrezWaH balavAn haya kanDaraH /
   saṃrurodha tadā mārgaṃ sihasyeva paśurvane // VamP_43.16 //	saMruroDa tadA mArgam sihasya iva paSuH vane // VamP_43.16 //
   samupetyāhanannandī vajreṇa śataparvaṇā /	samupetya ahanat nandI vajreNa SataparvaNAH /
   sa papātātha niḥsaṃjño yayau nandī tatastvaran // VamP_43.17 //	sa papAta aTa niHsaMjQaH yayO nandI tatas tvaran // VamP_43.17 //
   tataḥ kujambho jambhaśca balo vṛtrastvayaḥśirāḥ /	tatas kujamBaH jamBaH ca balaH vRtraH tu ayaH SirAH /
   pañca dānavaśārdulā nandinaṃ samupādravan // VamP_43.18 //	paQca dAnava SArdulAH nandinam samupAdravan // VamP_43.18 //
   tathānye dānavaśreṣṭha mayahlādapurogamāḥ /	taTA anye dAnava SrezWa maya hlAda purogamAH /
   nānāpraharaṇā yuddhe gaṇanāthamabhidravan // VamP_43.19 //	nAnA praharaNAH yudDe gaNanATam aBidravan // VamP_43.19 //
   tato gaṇānāmadhipaṃ kuṭyamānaṃ mahābalaiḥ /	tatas gaNAnAm aDipam kuwyamAnam mahA balEH /
   samapaśyanta devāstaṃ pitāmahapurogamāḥ // VamP_43.20 //	samapaSyanta devAH tam pitAmaha purogamAH // VamP_43.20 //
   taṃ dṛṣṭvā bhagavān brahma prāha śakrapurogamān /	tam dRzwvA BagavAn brahma prAha Sakra purogamAn /
   sāhāyyaṃ kriyatāṃ śaṃbhoretadantaramuttamam // VamP_43.21 //	sAhAyyam kriyatAm SaMBoH etad antaram uttamam // VamP_43.21 //
   pitāmahoktaṃ vacanaṃ śrutvā devāḥ savāsavāḥ /	pitAmaha uktam vacanam SrutvA devAH sa vAsavAH /
   samāpatanta vegena śivasainyamathāmbarāt // VamP_43.22 //	samApatanta vegena Siva sEnyam aTa ambarAt // VamP_43.22 //
   teṣāmāpatatāṃ vegaḥ pramathānāṃ bale babhau /	tezAm ApatatAm vegaH pramaTAnAm bale baBO /
   āpagānāṃ mahāvegaṃ patantīnāṃ mahārṇave // VamP_43.23 //	ApagAnAm mahA vegam patantInAm mahA arNave // VamP_43.23 //
   tato halahalāśabdaḥ samajāyata cobhayoḥ /	tatas halahalA SabdaH samajAyata ca uBayoH /
   balayorghorasaṃkāśo surapramathayoratha // VamP_43.24 //	balayoH Gora saMkASaH sura pramaTayoH aTa // VamP_43.24 //
   tamantaramupāgamya nandī saṃgṛhya vegavān /	tam antaram upAgamya nandI saMgRhya vegavAn /
   rathād bhārgavamākrāmat siṃhaḥ kṣudramṛgaṃ yathā // VamP_43.25 //	raTAt BArgavam AkrAmat siMhaH kzudra mRgam yaTA // VamP_43.25 //
   tamādāya harābhyāśamāgamad gaṇanāyakaḥ /	tam AdAya hara aByASam Agamat gaNanAyakaH /
   nipātya rakṣiṇaḥ sarvānatha śukraṃ nyavedayat // VamP_43.26 //	nipAtya rakziNaH sarvAn aTa Sukram nyavedayat // VamP_43.26 //
   tamānītaṃ kaviṃ śarvaḥ prākṣipad vadane prabhuḥ /	tam AnItam kavim SarvaH prAkzipat vadane praBuH /
   bhārgavaṃ tvāvṛtatanuṃ jaṭhare sa nyaveśayat // VamP_43.27 //	BArgavam tu AvRta tanum jaWare sa nyaveSayat // VamP_43.27 //
   sa śaṃbhunā kaviśrṣṭho grasto jaṭharamāsthitaḥ /	sa SaMBunA kavi SrzWaH grastaH jaWaram AsTitaH /
   tuṣṭāva bhagavāntaṃ taṃ munirvāgbhirathādarāt // VamP_43.28 //	tuzwAva BagavAn tam tam muniH vAgBiH aTa AdarAt // VamP_43.28 //
   śukra uvāca /	SukraH uvAca /
   varadāya namastubhyaṃ harāya guṇaśāline /	vara dAya namaH tuByam harAya guNa SAline /
   śaṅkarāya maheśāya tryambakāya namo namaḥ // VamP_43.29 //	SaFkarAya maheSAya tryambakAya namaH namaH // VamP_43.29 //
   jīvanāya namastubhyaṃ lokanātha vṛṣākape /	jIvanAya namaH tuByam lokanATa vRzAkape /
   madanāgne kālaśatro vāmadevāya te namaḥ // VamP_43.30 //	madana agne kAlaSatro vAmadevAya te namaH // VamP_43.30 //
   sthāṇave viśvarūpāya vāmanāya sadāgate /	sTANave viSvarUpAya vAmanAya sat Agate /
   mahādevāya śarvāya īśvarāya namo namaḥ // VamP_43.31 //	mahAdevAya SarvAya ISvarAya namaH namaH // VamP_43.31 //
   trinayana hara bhava śaṅkara umāpate jīmūtaketo śuhāgṛha śmaśānanirata	trinayana hara Bava SaFkaraH umApate jImUtaketo SuhAgRha SmaSAna nirata
   bhūtivilepana sūlapāṇe paśupate gopate tatpuruṣasattma namo namaste |	BUti vilepana sUlapANe paSupate gopate tatpuruza sattma namaH namaH te |
   itthaṃ stutaḥ kavivarema haro 'tha bhaktyā prīto varaṃ varaya dadmi	itTam stutaH kavi varema haraH aTa BaktyA prItaH varam varaya dadmi
   tavetyuvāca /	tava iti uvAca /
   sa prāha devavara dehi varaṃ mamādya yadvai tavaiva jaṭharāt pratinirgamo	sa prAha deva vara dehi varam mama adya yat vE tava eva jaWarAt pratinirgamaH 
   'stu // VamP_43.32 //	astu // VamP_43.32 //
   tato haro 'kṣīṇi tadā nirudhya prāha dvijendrādya vinirgamasva /	tatas haraH akzINi tadA niruDya prAha dvija indra adya vinirgamasva /
   ityuktamātro vibhunā cacāra devodare bhārgavapuṅgavastu // VamP_43.33 //	iti ukta mAtraH viBunA cacAra deva udare BArgava puFgavaH tu // VamP_43.33 //
   paribhraman dadarśātha śaṃbhorevodare kaviḥ /	pariBraman dadarSa aTa SaMBoH eva udare kaviH /
   bhuvanārṇavapātālān vṛtān sthāvarajaṅmaiḥ // VamP_43.34 //	Buvana arNava pAtAlAn vRtAn sTAvara jaFmEH // VamP_43.34 //
   ādityān vasavo rudrān viśvedevān gaṇāṃstathā /	AdityAn vasavaH rudrAn viSvedevAn gaNAn= taTA /
   yakṣān kiṃpuruṣādyādīn gandharvāpsarasāṃ gaṇān // VamP_43.35 //	yakzAn kiMpuruza Adi AdIn ganDarva apsarasAm gaNAn // VamP_43.35 //
