   Nāṭakacandrikā	NAwaka-candrikA
   rādhāyāḥ tanu-pattane narapatau bālyābhidhe śīryati || (4.27) 101	rADAyAH tanu-pattane narapatO bAlya-aBiDe SIryati || (4.27) 101
   atra paraspara-bhāva-prākaṭyāc chobhā | kaiścit tu -	atra paraspara--BAva--prAkawyAt SoBA | kEScid tu -
   siddhair arthaiḥ samaṃ yatrāprasiddho'rthaḥ prakāśate |	sidDEH arTEH samam yatra-aprasidDaH-arTaH prakASate |
   śliṣṭa-lakṣaṇa-citrārthā sā śobhety abhidhīyate || ity āha | (SāhD 6.176)	Slizwa-lakzaNa--citra-arTA sA SoBA-iti aBiDIyate || iti Aha | (SA-hD 6.176)
   yathā navame -	yaTA navame -
   navavṛndā - (puro'valokya, saharṣam)	nava-vRndA  (puraH-avalokya, saharzam)
   nirmita-bhuvana-viśuddhir vidhur madhurāloka-sādhane nipuṇā |	nirmita-Buvana--viSudDiH viDuH maDura-Aloka--sADane nipuNA |
   ullasita-paramahaṃsā bhaktir iveyaṃ śaran miliati || 9.1 ||	ullasita-paramahaMsA BaktiH iva-iyam Sarad miliati || 9.1 ||
   atha saṃśayaḥ -	aTa saMSayaH -
   aniścayāt tu yad vākyaṃ sandehasya nigadyate // RNc_159 //	aniScayAt tu yat vAkyam sandehasya nigadyate // RNt-_159 //
   yathā dvitīye (nepathye) -	yaTA dvitIye (nepaTye) -
   sthūlas tāla-bhujonnatir giri-taṭī-vakṣāḥ kva yakṣādhamaḥ	sTUlaH tAla-Buja-unnatiH giri--tawI--vakzAH kva yakza-aDamaH
   kvāyaṃ bāla-tamāla-kandala-mṛduḥ kandarpa-kāntaḥ śiśuḥ |	kva-ayam bAla-tamAla--kandala--mRduH kandarpa-kAntaH SiSuH |
   nāsty anyaḥ sahakāritā-paṭur iha prāṇī na jānīmahe	na-asti anyaH sahakAritA--pawuH iha prANI na jAnImahe
   hā goṣṭheśvari kīdṛg adya tapasāṃ pākas tavonmīlati || (2.29)	hA gozWeSvari kIdRS adya tapasAm pAkaH tava-unmIlati || (2.29)
   atra saṃśayenaiva vākya-samāpter ayaṃ saṃśayaḥ |	atra saMSayena-eva vAkya--samApteH ayam saMSayaH |
   atha dṛṣṭāntaḥ -	aTa dRzwAntaH -
   sva-pakṣe darśanaṃ hetor dṛṣṭāntaḥ sādhya-siddhaye // RNc_160 //	sva-pakze darSanam hetoH dRzwAntaH sADya--sidDaye // RNt-_160 //
   yathā navame -	yaTA navame -
   kṛṣṇaḥ (vimṛśya) athavā -	kRzNaH (vimRSya) aTavA -
   dhīraḥ prakṛtyāpi janaḥ kadācid	DIraH prakRtyA-api janaH kadAcid-
   dhatte vikāraṃ samayānurodhāt |	Datte vikAram samaya-anuroDAt |
   kṣāntiṃ hi muktvā balavac calantī	kzAntim hi muktvA balavat calantI
   sarvaṃsahā bhūr api bhūri dṛṣṭā || (9.20)	sarvaMsahA BUH api BUri dRzwAH || (9.20)
   atra dhīre'pi jane vikāra-sad-bhāve sādhye tat-sādhakasya	atra DIre-api jane vikAra--sat--BAve sADye tat-sADakasya
   calana-rūpa-vikārasya	calana--rUpa-vikArasya
   hetoḥ sarvaṃsahāyāṃ bhuvi darśitatvād dṛṣṭāntaḥ |	hetoH sarvaMsahAyAm Buvi darSita-tvAt dRzwAntaH |
   athābhiprāyaḥ -	aTa-aBiprAyaH -
   abhiprāyas tv abhūtārtho hṛdyaḥ sāmyena kalpitaḥ |	aBiprAyaH tu aBUta-arTaH hRdyaH sAmyena kalpitaH |
   abhiprāyaṃ pare prāhur mamatāṃ hṛdy avastuni // RNc_161 //	aBiprAyam pare prAhuH mamatAm hRdi avastuni // RNt-_161 //
   yathā caturthe -	yaTA caturTe -
   kṛṣṇaḥ (sotsukaṃ romāñcam unmīlya)	kRzNaH (sA-utsukam romAQcam unmIlya)
   udgīrṇādbhuta-mādhurī-parimalasyābhīra-līlasya me	udgIrNa-adButa--mADurI--parimalasya-ABIra--lIlasya me
   dvaitaṃ hanta samakṣayan muhur asau citrīyate cāraṇaḥ |	dvEtam hanta samakzayan muhur asO citrIyate cAraNaH |
   cetaḥ keli-kutūhalottaralitāṃ sadyaḥ sakhe māmakaṃ	cetaH keli-kutUhala-uttaralitAm sadyas saKe mAmakam
   yasya prekṣya surūpatāṃ vraja-vadhū-sārūpyam anviṣyati || (4.19)	yasya prekzya surUpa-tAm vraja-vaDU--sArUpyam anvizyati || (4.19)
   atrābhūtārtha-rūpasya bhagavad-dvitīyatvasya naṭe kalpanam abhiprāyaḥ |	atra-aBUta-arTa--rUpasya Bagavat--dvitIya-tvasya nawe kalpanam aBiprAyaH |
   hṛdy	hRdi-
   avastuni sva-saundarye bhogecchayā mamatā vā |	avastuni sva--sOndarye Boga-icCayA mamatA vA |
   atha nidarśanaṃ-	aTa nidarSanaM-
   yathārthānāṃ prasiddhānāṃ kriyate parikīrtanam |	yaTArTAnAm prasidDAnAm kriyate parikIrtanam |
   paropekṣāvyudāsārthaṃ tan nidarśanam ucyate // RNc_162 //	para-upekzA-vyudAsA-arTam tat nidarSanam ucyate // RNt-_162 //
   yathā caturthe -	yaTA caturTe -
   gārgī (saṃskṛtena) -	gArgI (saMskRtena) -
   kāmaṃ sarvābhīṣṭa-kandaṃ mukundaṃ	kAmam sarva-aBIzwa--kandam mukundam
   yā nirbandhāt prāhiṇod indhanāya |	yA nirbanDAt prAhiNot inDanAya |
   ācāryānī sā karoti sma paṇyaṃ	AcAryAnI sA karoti sma paNyam
   piṇyākārthaṃ hanta cintāmaṇīndram || (4.6)	piNyAka-arTam hanta cintAmaNi-indram || (4.6)
   atra bimbānubimba-vastu-bodhanāt nidarśanam |	atra bimba-anubimba--vastu--boDanAt nidarSanam |
   atha siddhiḥ -	aTa sidDiH -
   atarkitopapannaḥ syāt siddhir iṣṭārtha-saṅgamaḥ |	atarkita-upapannaH syAt sidDiH izwa-arTa--saFgamaH |
   yathā ṣaṣṭhe -	yaTA zazWe -
   kṛṣṇaḥ (yathā kṛtvā sagadgadam)	kRzNaH (yaTA kRtvA sa-gadgadam)
   upataru lalitāṃ tāṃ pratyabhikṣāya sadyaḥ	upataru lalitAm tAm pratyaBikzAya sadyas-
   prakṛti-madhura-rūpāṃ vīkṣya rādhākṛtiṃ ca |	prakRti-maDura--rUpAm vIkzya rADa-AkRtim ca |
   maṇim api paricinvan śaṅkha-cūḍāvataṃsaṃ	maNim api paricinvan SaFKa--cUxa-avataMsam
   muhur aham udghūrṇaṃ bhūriṇā sambhrameṇa || (6.40)	muhur aham udGUrNam BUriNA samBrameNa || (6.40)
   atra iṣṭasya lalitā-darśanasyātarkitopapannatvāt siddhiḥ | kaścit tu	atra izwasya lalitA-darSanasya-atarkita-upapanna-tvAt sidDiH | kaScid tu
   bahūnāṃ	bahUnAm
   kīrtanaṃ siddhir abhipretārtha-siddhaye ity (SāhD 6.186) āha | tad yathā	kIrtanam sidDiH aBipreta-arTa--sidDaye iti (SAhD 6.186) Aha | tat yaTA
   daśame	daSame
   kṛṣṇaḥ - priye tvad-āsyaṃ paśyato me nopamāna-vastūni hṛdayam ārohanti naḥ	kRzNaH  priye tvad--Asyam paSyataH me na-upamAna--vastUni hRdayam Arohanti naH
   yataḥ -	yatas -
   dhatte na sthiti-yogyatāṃ caraṇayor aṅke'pi paṅkeruhaṃ	Datte na sTiti-yogya-tAm caraNayoH aFke-api paFkeruham
   nāpy aṅguṣṭha-nakhasya ratna-mukuraḥ kakṣāsu dakṣāyate |	na-api aFguzWa-naKasya ratna--mukuraH kakzAsu dakzAyate |
   caṇḍi tvan-mukha-maṇḍalasya parito nirmañchane'py añjasā	caNxi tvan-muKa--maNxalasya paritas nirmaQCane-api aQjasA
   naucityaṃ bhajane samujjvala-kalā sāndrāpi candrāvalī || (10.11)	na-Ocityam Bajane samujjvala-kalA sAndrA-api candrAvalI || (10.11)
   atra spaṣṭaṃ guṇa-kīrtanam |	atra spazwam guNa-kIrtanam |
   atha prasiddhiḥ -	aTa prasidDiH -
   prasiddhir loka-vikhyātair arthaiḥ svārtha-prasādhanam // RNc_163 //	prasidDiH loka--viKyAtEH arTEH sva-arTa--prasADanam // RNt-_163 //
   yathā ṣaṣṭhe -	yaTA zazWe -
   nava-vṛndā (svagatam)	nava--vRndA (svagatam)
   vasantī śuddhānte madhurima-parītā madhuripor	vasantI SudDAnte maDurima--parItAH maDuripoH-
   iyaṃ tanvī sadyaḥ svayam iha bhavitrī karagatā |	iyam tanvI sadyas svayam iha BavitrI kara-gatAH |
   vṛtāṅgīm uttuṅgair avikalamadhūlī-parimalaiḥ	vRta-aFgIm uttuFgEH avikala-maDUlI--parimalEH
   praphullāṃ rolambe nava-kamalinīṃ kaḥ kathayati || (6.28)	praPullAm rolambe nava--kamalinIm kaH kaTayati || (6.28)
   atra loka-vikhyātasya praphulla-kamalinī-rolamba-saṅgamasya kathanena	atra loka--viKyAtasya praPulla--kamalinI--raH-lamba--saFgam-asya kaTanena
   svārthasya	sva-arTasya
   rādhā-mādhavayoḥ saṅgamasya sādhanaṃ prasiddhiḥ |	rADA--mADavayoH saFgamasya sADanam prasidDiH |
   atha dāksiṇyam -	aTa dAksiNyam -
   dākṣiṇyaṃ tu bhaved vācā paracittānuvartanam // RNc_164 //	dAkziNyam tu Bavet vAcA para-citta-anuvartanam // RNt-_164 //
   yathā dvitīye --	yaTA dvitIye --
   lalitā (sālīkam) ajje, pekkha | eso kaṇho moṭṭimaṃ ahma viḍambaṇaṃ karedi	lalitA (sAlIkam) ajje, pekKaH | esaH kaNhaH mowwimam ahma vixambaNam karet-i
   [ārye, paśya | eṣa kṛṣṇaḥ balād asmad-viḍambanaṃ karoti |] 117	[Arye, paSya | eza kRzNaH balAt asmat--vixambanam karoti |] 117
   atra lalitayā mukharāyāḥ cittānuvṛttir dākṣiṇyam |	atra lalitayA muKarAyAH citta-anuvRttiH dAkziNyam |
   athārthāpattiḥ -	aTa-arTa-ApattiH -
   uktārthānupapattyā'nyo yasminn arthaḥ prakalpate |	ukta-arTa-anupapattyA-anyaH yasmin arTaH prakalpate |
   vākyān mādhurya-saṃyuktāt sārthāpattir udāhṛtā // RNc_165 //	vAkyAt mADurya--saMyuktAt sArTa-ApattiH udAhRtAH // RNt-_165 //
   yathā navame -	yaTA navame -
   navavṛndā -	nava-vRndA -
   kundadanti dṛśor dvandvaṃ candrakāntamayaṃ tava |	kundadanti dRSoH dvandvam candrakAnta-mayam tava |
   udeti hari-vaktrendau syandate katham anyathā || 9.13	udeti hari-vaktra-indO syandate kaTam anyaTA || 9.13
   atra syandanānyathānupapattyā netrasya candrakāntamayatvaa-kalpanād iyam	atra syandanAni-aTa-anupapattyA netrasya candrakAnta-maya-tvaa--kalpanAt iyam
   arthāpattiḥ | yathā vā daśame -	arTApattiH | yaTA vA daSame -
   candrāvalī - dea! tuhma vilāsa sokkhāṇaṃ bāhādeṇa kida mahāparāhamhi | tā	candrAvalI  dea! tuhma vilAsa sa-ukKANam bAhAdeNa kida mahA-aparAham-hi | tA
   kāruṇṇeṇa āṇabehi jadhā goṭhṭhabaiṇo goṭṭhaṃ gadua basaṃtī tumaṃ suhiṇaṃ	kAruNNeNa ANabehi jaDA goWWaba-eNaH gowWam gadua basaMtI tumam suhiNam
   karemi | [deva! tava vilāsasaukhyānāṃ vyāghātena kṛta-mahāparādhāsmi | tat	karemi | [deva! tava vilAsa-sOKyAnAm vyAGAtena kRta--mahA-parADA-asmi | tat-
   kāruṇyena ājñāpaya yathā goṣṭhapater goṣṭhaṃ gatvā vasantī tvāṃ sukhinaṃ	kAruNyena AjQApaya yaTA gozWa-pateH gozWam gatvA vasantI tvAm suKinam
   karomi | 102	karomi | 102
   atra goṣṭha-gamanārthasyānupapattyā satyā-saṅgama-niṣedhaḥ prakalpyate |	atra gozWa--gamana-arTasya-anupapattyA satyA--saFgama-nizeDaH prakalpyate |
   atha viśeṣaṇam -	aTa viSezaNam -
   siddhān bahūn pradhānārthān uktvā yatra prayuñjate |	sidDAn bahUn praDAna-arTAn uktvA yatra prayuQjate |
   viśeṣa-yuktaṃ vacanaṃ vijñeyaṃ tad viśeṣaṇam // RNc_166 //	viSeza--yuktam vacanam vijQeyam tat viSezaNam // RNt-_166 //
   yathā caturthe, kṛṣṇaḥ -	yaTA caturTe, kRzNaH -
   lakṣmīvān iha dakṣiṇānila-sakhaḥ sākṣān madhur modate	lakzmIvAn iha dakziNa-anila--saKaH sAkzAt maDuH modate
   mādyad bhṛṅga-vihaṅga-hāri-vihasaty atrāpi vṛndāvanam |	mAdyat BRFga--vihaFga-hAri-vihasati atra-api vRndAvanam |
   rādhā yady abhisāram atra kurute so'yaṃ mahān eva me	rADA yadi aBisAram atra kurute saH-ayam mahAn eva me
   sāndrānanda-vilāsa-sindhu-laharī-hindola-kolāhalaḥ || (4.17)	sAndra-Ananda--vilAsa--sinDu---laharI--hinda-ula--kolAhalaH || (4.17)
   atra prasiddhārthān madhu-vṛndāvanādīn uktvā rādhābhisārasya	atra prasidDa-arTAn maDu-vRndAvana-AdIn uktvA rADA-aBisArasya
   vaiśiṣya-kathanād viśeṣaṇam | kaścit tu lekhiṣyamāṇaṃ	vESizya--kaTanAt viSezaNam | kaScid tu leKizyamANam
   nava-nava-sudhā-sambandho'pi (1.33)	nava--nava--suDA--sambanDaH-api (1.33)
   ity ādi-padyam atrodāharati |	iti Adi-padyam atra-udAharati |
   [*NOTE: Full verse given below, at 171 (atiśayaḥ).]	[*NOTE: Fult verse givet below, at 171 (atiSayaH).]
   atha padoccayaḥ -	aTa pada-uccayaH -
   bahūnāṃ tu prayuktānāṃ padānāṃ bahubhiḥ padaiḥ |	bahUnAm tu prayuktAnAm padAnAm bahuBiH padEH |
   uccayaḥ sadṛśārtho yaḥ sa vijñeyaḥ padoccayaḥ // RNc_167 //	uccayaH sadRSa-arTaH yaH sa vijQeyaH pada-uccayaH // RNt-_167 //
   yathā caturthe, kṛṣṇaḥ -	yaTA caturTe, kRzNaH -
   matir aghūrṇata sārdham ali-vrajaiḥ	matiH aGUrNata sArDam ali-vrajEH
   dhṛtir abhūn madhubhiḥ saha vicyutā |	DRtiH aBUt maDuBiH saha vicyutA |
   vyakasad utkalikā kalikālibhiḥ	vyakasat utkalikA kali-kAliBiH
   samam iha priyayā viyutasya me || (4.21)	samam iha priyayA viyutasya me || (4.21)
   atra matyādīnāṃ ghūrṇādi-kriyāsu alivrajādibhiḥ samāveśād ayaṃ padoccayaḥ	atra mati-AdInAm GUrNA-Adi-kriyAsu ali-vraja-AdiBiH samAveSAt ayam pada-uccayaH
   kaścit tu uccayo'rthānurūpo yaḥ padānāṃ sa padoccayaḥ ity (SāhD 6.180) āha	kaScid tu uccayaH-arTa-anurUpaH yaH padAnAm sa pada-uccayaH iti (SAhD 6.180) Aha
   yathā daśame -	yaTA daSame -
   [*NOTE: saṃcayo]	[*NOTE: saMcayaH-]
   sutanu kiñcid udañcaya locane	su-tanu kiQcid udaQcaya locane
   cala-cakora-camatkṛti-cumbinī |	cala-cakora-camatkRti-cumbinI |
   smita-sudhāṃ ca sudhākara-mādhavī	smita--suDAm ca suDA-kara-mADavI
   vidhurato vidhaye'tra dhurandharām ||10.8||	viDurataH viDaye-atra DuranDarAm ||10.8||
   atha tulyārthakaḥ -	aTa tulya-arTakaH -
   rūpakair upamābhir vā tulyārthābhiḥ prayojitaḥ |	rUpakEH upamABiH vA tulya-arTABiH prayojitaH |
   apratyakṣārtha-saṃsparśaḥ tulya-tarka itīritaḥ // RNc_168 //	apratyakza-arTa--saMsparSaH tulya--tarkaH iti-IritaH // RNt-_168 //
   yathā tatraiva navame, kṛṣṇaḥ -	yaTA tatra-eva navame, kRzNaH -
   kadarthanād apy urubālya-cāpalair	kadarTanAt api uru-bAlya--cApalEH-
   utsarpato sneha-bhareṇa viklavām |	utsarpataH sneha--BareNa viklavAm |
   vilokamānasya mamādya mātaraṃ	vilokamAnasya mama-adya mAtaram
   havir vilāyaṃ hṛdayaṃ vilīyate || (9.26)	haviH vilAyam hRdayam vilIyate || (9.26)
   atra havir vilāyam iti luptopamayā'pratyakṣasya citta-dravasya kathanaṃ	atra haviH vilAyam iti lupta-upamayA-apratyakzasya citta-dravasya kaTanam
   tulya-tarkaḥ | kaścit tu tulyatarko yad arthena tarkaḥ prakṛta-gāminā ity	tulya--tarkaH | kaScid tu tulya-tarkaH yat arTena tarkaH prakRta--gAminA iti-
   (SāhD	(SAhD
   6.180) āha | yathā caturthe -	6.180) Aha | yaTA caturTe -
   jaṭilā - ṇūṇaṃ nūurasahena āhaḍiṭṭā ede haṃsā haṃsaṇaṃdi-ṇījalādo vaṇe	jawilA  NUNam nUuH-asahena AhaxiwwAH ede haMsAH haMsaNaMdi-NI-jalAdaH vaNe
   dhāanti | tā bahūḍiā ṇādidūre habissadi | [nūnaṃ nūpura-śabdena ākarṣitā	DAanti | tAH bahUxiA Na-Adi-dUre habissadi | [nUnam nUpura--Sabdena AkarzitA
   ete	ete
   haṃsā haṃsa-nandinī-jalāt vane dhāvanti | tad vadhūṭikā nātidūre	haMsAH haMsa--nandinI--jalAt vane DAvanti | tat vaDUwikA na-ati-dUre
   bhaviṣyati |]	Bavizyati |]
   atha vicāraḥ -	aTa vicAraH -
   vicāras tv eka-sādhyasya bahu-sādhana-varṇanam |	vicAraH tu eka--sADyasya bahu-sADana--varNanam |
   yathā prathame, kṛṣṇaḥ --	yaTA praTame, kRzNaH --
   sakhe, madhumaṅgala, paśya -	saKe, maDu-maFgala, paSya -
   atanu-tṛṇa-kadambāsv>ada-śaithilya-bhājām	atanu-tRNa--kadamba-Asv>ada--SETilya--BAjAm
   aviralatara-haṃbhārambhatāmyanmukhīyam |	aviralatara--haMBA-AramBa-tAmyat-muKI-iyam |
   caṭulita-nayana-śrīr avalī naicikīnāṃ	cawulita-nayana--SrIH avalI nEcikInAm
   pathi suvalita-kaṇṭhī gokulotkaṇṭhitābhūt || (1.28)	paTi su-valita--kaNWI go-kula-utkaNWitA-aBUt || (1.28)
   atrotkaṇṭhitasyaa sādhyasya sādhanāni tṛṇāsvāda-śaithilyādīni | yad vā	atra-utkaNWitasyaa sADyasya sADanAni tRNa-AsvAda--SETilya-AdIni | yat vA
   agre	agre
   lekhyaṃ śaraṇam iha yo bhrātuḥ (5.25) ity ādi padyam atrodāharaṇaṃ jñeyam	leKyam SaraNam iha yaH BrAtuH (5.25) iti Adi padyam atra-udAharaNam jQeyam
   kaścit tu vicāro yukti-vākyair yad apratyakṣārtha-darśanam ity (SāhD	kaScid tu vicAraH yukti-vAkyEH yat apratyakza-arTa--darSanam iti (SAhD
   6.182) āha |	6.182) Aha |
   atroktam udāharaṇam api saṅgacchate |	atra-uktam udAharaNam api saFgacCate |
   atha tad-viparyayaḥ -	aTa tad--viparyayaH -
   vicārasyānyathābhāvo vijñeyas tad-viparyayaḥ // RNc_169 //	vicArasya-anyaTA-BAvaH vijQeyaH tad--viparyayaH // RNt-_169 //
   yathā ṣaṣṭhe -	yaTA zazWe -
   rādhā (savyatham ākāśe saṃskṛtam āśritya) -	rADA (sa-vyaTam AkASe saMskRtam ASritya) -
   vicitrāyāṃ kṣauṇyām ajaniṣata kanyāḥ kati na vā	vicitrAyAm kzONyAm ajanizata kanyAH kati na vA
   kaṭhorāṅgī nānyā nivasati mayā kāpi sadṛśī |	kaWora-aFgI na-anyA nivasati mayA kA-api sadRSI |
   mukundaṃ yan muktvā samayam aham adyāpi gamaye	mukundam yat muktvA samayam aham adya-api gamaye
   dhig astu pratyāśām ahaha dhig asūn dhiṅ mama dhiyam || (6.21)	Dik astu pratyASAm ahaha Dik asUn Dik mama Diyam || (6.21)
   atrodvegātiśayena pratyāśādhikaraṇād viparyayaḥ |	atra-udvega-atiSayena pratyASA-aDikaraNAt viparyayaH |
   atha guṇātipātaḥ -	aTa guNa-atipAtaH -
   guṇātipāto vyatyasta-guṇākhyānam udāhṛtaḥ // RNc_170 //	guNa-atipAtaH vyatyasta--guNa-AKyAnam udAhRtaH // RNt-_170 //
   yathā caturthe -	yaTA caturTe -
   jaṭilā (solluṇṭhaṃ vihasya, saṃskṛtena)	jawilA (sA-ut-luNWam vihasya, saMskRtena)
   vrajeśvara-sutasya kaḥ paravadhūvinoda-kriyā-	vrajeSvara--sutasya kaH para-vaDU-vinoda--kriyA-
   praśasti-bhara-bhūṣitaṃ guṇam avaiti nāsya kṣitau |	praSasti-Bara--BUzitam guNam avEti na-asya kzitO |
   yad eṣa rati-taskaraḥ pathi nirudhya sādhvīr balāt	yat eza rati-taskaraH paTi niruDya sADvIH balAt-
   tadīya-kuca-kuṭmale karajam oṃ namo viṣṇave || (4.31)	tadIya--kuca-kuwmale karajam om namaH vizNave || (4.31)
   atra prakaṭaś ca guṇātipātaḥ | kaścit tu guṇātipātaḥ kārye yad viparītaṃ	atra prakawaH ca guNa-atipAtaH | kaScid tu guNa-atipAtaH kArye yat viparItam
   guṇān	guNAn
   prati ity āha (SāhD 6.184), yathā pañcame candrāvalī (saṃskṛtena) -	prati iti Aha (SAhD 6.184), yaTA paQcame candrAvalI (saMskRtena) -
   śaraṇam iha yo bhrātus tasya pratīpa-vidhāyinā	SaraNam iha yaH BrAtuH tasya pratIpa-viDAyinA
   hita-kṛd api tā devyās tasyāḥ samagram upekṣaṇam |	hita-kRt api tAH devyAH tasyAH samagram upekzaNam |
   gatir avikalo yo me tasya priyasya ca vismṛtir	gatiH avikalaH yaH me tasya priyasya ca vismRtiH-
   bata hatavidho vāme sarvaṃ prayāti viparyayam || (5.25)	bata hataviDaH vAme sarvam prayAti viparyayam || (5.25)
   atha atiśayaḥ -	aTa atiSayaH -
   bahūn guṇān kīrtayitvā sāmānyena ca saṃśritān |	bahUn guNAn kIrtayitvA sAmAnyena ca saMSritAn |
   viśeṣaḥ kīrtyate yatra jñeyaḥ so'tiśayo budhaiḥ // RNc_171 //	viSezaH kIrtyate yatra jQeyaH saH-atiSayaH buDEH // RNt-_171 //
   yathā prathame kṛṣṇaḥ -	yaTA praTame kRzNaH -
   nava-nava-sudhā-sambandho'pi priyo'pi dṛśāṃ sadā	nava--nava--suDA--sambanDaH-api priyaH-api dRSAm sadA
   sarasija-vanīṃ mlānāṃ kurvann api prabhayā svayā |	sarasi-ja-vanIm mlAnAm kurvan api praBayA svayA |
   vidhur api kalā-pūrṇo'py uccaiḥ kuraṅga-dharaḥ śaśī	viDuH api kalA--pUrNaH-api uccEs kuraFga--DaraH SaSI
   vraja-mṛga-dṛśāṃ vaktrair ebhiḥ suraṅga-dharair jitaḥ || 1.33	vraja--mRga-dRSAm vaktrEH eBiH suraFga-DarEH jitaH || 1.33
   atra candra-mukhayoḥ sudhā-sambandhatvādi-sāmānya-guṇa-kīrtanānantaraṃ	atra candra--muKayoH suDA--sambanDa-tva-Adi-sAmAnya--guNa--kIrtana-anantaram
   mukheṣu suraṅgatva-kīrtanaṃ viśeṣaḥ |	muKezu suraFga-tva--kIrtanam viSezaH |
   atha niruktam -	aTa niruktam -
   niruktaṃ niravadyoktir nāmāny artha-prasiddhaye // RNc_172 //	niruktam niravadya-uktiH nAmAni arTa--prasidDaye // RNt-_172 //
   yathā prathame kṛṣṇaḥ (candrāvalīm āsādya sānandam) -	yaTA praTame kRzNaH (candra-AvalIm AsAdya sa-Anandam) -
   nītas tanvi mukhena te paribhavaṃ bhrū-kṣepaivikrīḍayā	nItaH tanvi muKena te pariBavam BrU-kzepa-evikrIxayA
   bibhyad viṣṇu-padaṃ jagāma śaraṇaṃ tatrāpy adhairyaṃ gataḥ |	biByat vizNu--padam jagAma SaraNam tatra-api aDEryam gataH |
   āsādya dvija-rājitāṃ vijayinaḥ sevārtham asyojjvalac-	AsAdya dvija--rAjitAm vijayinaH sevA-arTam asya-ujjvala-c-
   candro'yaṃ dvija-rāja-tāpadam agāt tenāsi candrāvalī || (1.40)	candraH-ayam dvija-rAja-tApa-dam agAt tena-asi candrAvalI || (1.40)
   atra candrāvalī nāma niruktam |	atra candrAvalI nAma niruktam |
   atha guṇa-kīrtanam -	aTa guNa-kIrtanam -
   loke guṇātirikānāṃ bahūnāṃ yatra nāmabhiḥ |	loke guNa-atirikAnAm bahUnAm yatra nAmaBiH |
   ekaḥ saṃśabdyate tat tu vijñeyaṃ guṇa-kīrtanam // RNc_173 //	ekaH saMSabdyate tat tu vijQeyam guNa-kIrtanam // RNt-_173 //
   yathā dvitīye, kṛṣṇaḥ (puro rādhāṃ paśyann apavārya) -	yaTA dvitIye, kRzNaH (puraH rADAm paSyan apavArya) -
   vihāra suradīrghikā mama manaḥ-karīndrasya yā	vihAra suradIrGikA mama manaH-karIndrasya yA
   vilocana-cakorayoḥ śarad-amanda-candra-prabhā |	vilocana--cakorayoH Sarad-a-manda-candra--praBA |
   urombara-taṭasya cābharaṇa-cāru-tārāvalī	urombara--tawasya ca-ABaraNa-cAru-tAra-AvalI
   mayonnata-manorathair iyam alambi sā rādhikā || 2.10 ||	mayA-unnata--manoraTEH iyam alambi sA rADikAH || 2.10 ||
   atra sura-dīrghikā-śabdaiḥ rādhā-saṃśabdanaṃ guṇa-kīrtanam |	atra sura-dIrGikA--SabdEH rADA--saMSabdanam guNa-kIrtanam |
   atha garhaṇam -	aTa garhaNam -
   yatra saṅkīrtayan doṣān guṇam arthena darśayet |	yatra saFkIrtayan dozAn guNam arTena darSayet |
   guṇān vā kīrtayan doṣaṃ darśayed garhaṇaṃ hi tat // RNc_174 //	guNAn vA kIrtayan dozam darSayet garhaNam hi tat // RNt-_174 //
   trtrādyaṃ yathā saptame,	trtrAdyam yaTA saptame,
   mādhavī - dea, kaṭorappā esā bhaṭṭi-dāriā suṭṭhu tābaṃ soḍhuṃ pāredi jaṃ	mADavI  dea, kawoH-appA esA Bawwi-dAriA suwWu tAbam soXum pAredi jam
   tumha paccakkhaṃ ccea caṃdabhāāmaṃdire jalaṃtaṃ jalana-kuṃḍaṃ	tum-ha pad-cakKam ccea caMdaBAAmaMdire jalaMtam jalana--kuMxam
   jala-keli-kuṇḍaṃ	jala-keli--kuNxam
   biṇṇādabadī | [deva, kaṭhorātmaiṣā bhartṛdārikā suṣṭhu tāpaṃ soḍhuṃ	biNNAt-abadI | [deva, kaWoH-a-AtmA-ezA BartR-dArikA suzWu tApam soXum
   pārayati	pArayati
   tat tava pratyakṣam eva candrabhāgā-mandire jvalantaṃ jvalanta-kuṇḍaṃ	tat tava pratyakzam eva candraBAgA--mandire jvalantam jvalanta--kuNxam
