   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
   yajamāno'śnāti | yaddhi karmaṇi tatra sarvatra ||	yajamAnaH aSnAti | yat hi karmaNi tatra sarvatra ||
             [darbhānādhāya dhūpayati || KauśS_7,2{51}.10 || bhūtyai vaḥ	[darBAn ADAya DUpayati || KOSH _7,2{51}.10 || BUtyE vaH
   puṣṭyai vaḥ iti |]	puzwyE vaH iti |]
   agnau darbhānādhāya yajamāno dhūmaṃ niyacchati | 'bhūtyai vaḥ puṣṭyai vaḥ'	agnO darBAn ADAya yajamAnaH DUmam niyacCati | aBUtyE vaH puzwyE vaH a
   iti mantreṇa | dvitīyacarorhavirucchiṣṭabhakṣaṇaṃ dhūmapānaṃ ca | iti	iti mantreNa | dvitIya caroH haviH ucCizwa BakzaNam DUma pAnam ca | iti
   goṣṭhakarmāṇi samāptāni | iti gośāntiḥ | indrayāgo bhavādiyāgaścaikaṃ	gozWa karmANi samAptAni | iti go SAntiH | indrayAgaH Bava Adi yAgaH ca ekam
   karma dvitantram ||	karma dvi tantram ||
        prathamaprasave gavāṃ śāntirucyate 	praTama prasave gavAm SAntiH ucyate 
             [prathamajayormithunayormukhamanakti || KauśS_7,2{51}.11 ||]	[praTama jayoH miTunayoH muKam anakti || KOSH _7,2{51}.11 ||]
   'brahma jajñānam' sahasradhāreṇa ghṛtamabhimantrya	abrahma jajQAnam a sahasra DAreNa GRtam aBimantrya
   vatsavātsikāmukhamanakti | evaṃ 'bhavāśarvau mṛḍatam' ityarthasūktena	vatsa vAtsikA muKam anakti | evam aBavA SarvO mRxatam a iti arTa sUktena
   ghṛtamabhimantrya vatsasya vatsikāyā vā mukhaṃ mrakṣati | svastyayanakāmaḥ	GRtam aBimantrya vatsasya vatsikAyAH vA muKam mrakzati | svastyayana kAmaH
   | goṣṭhe prathamaprasava etatkarma ||	| gozWe praTama prasavaH etat karma ||
             [tisro naladaśākhā vatsān pāyayati || KauśS_7,2{51}.12 ||]	[tisraH nalada SAKA vatsAn pAyayati || KOSH _7,2{51}.12 ||]
   'brahma jajñānam' iti sūktena tisro naladaśākhāḥ piṣṭvābhimantrya vatsikāṃ	abrahma jajQAnam a iti sUktena tisraH nalada SAKAH pizwvA aBimantrya vatsikAm
   pāyayati | svastyayanakāmaḥ | 'bhāvāśarvau' ityarthasūktena tisro	pAyayati | svastyayana kAmaH | aBAvA SarvO a iti arTa sUktena tisraH 
   naladaśākhā udakena piṣṭvābhimantrya vatsikāṃ pāyayati | svastyayanakāmaḥ	nalada SAKA udakena pizwvA aBimantrya vatsikAm pAyayati | svastyayana kAmaH
             [śākhayodakadhārayā gāḥ parikrāmati || KauśS_7,2{51}.13 ||]	[SAKaya udaka DArayA gAH parikrAmati || KOSH _7,2{51}.13 ||]
   gavāṃ prathamaprasave 'brahma jajñānam' iti mahatkāṇḍikena sūktena	gavAm praTama prasave abrahma jajQAnam a iti mahat kANxikena sUktena
   śākhāmudakamabhimantrya gobhyo bahirudakadhārāṃ ninayati |	SAKAm udakam aBimantrya goByaH bahis udaka DArAm ninayati |
   svastyayanakāmaḥ | nalado māsikā nalo vā | 'bhavāśarvau' ityarthasūktena	svastyayana kAmaH | naladaH mAsikAH nalaH vA | aBavA SarvO a iti arTa sUktena
   śākhāmudakamabhimantrya tata udakadhārāṃ gorbahirninayati | śākhayā	SAKAm udakam aBimantrya tatas udaka DArAm goH bahis ninayati | SAKayA
   sahāvyavacchinnā dhārā | samāptā gobhyaḥ prathamaprasave śāntiḥ ||	saha avyavacCinnA DArA | samAptA goByaH praTama prasave SAntiH ||
        atha pattanagrāmasya gṛhasya śāntirucyate 	aTa pattana grAmasya gRhasya SAntiH ucyate 
             [aśmavarma me (5.10) iti ṣaḍaśmanaḥ sampātavataḥ sraktiṣu	[aSma varma me (5.10) iti zaz aSmanaH sampAtavataH sraktizu
   paryadhastānnikhanati || KauśS_7,2{51}.14 ||]	paryaDaH tAt niKanati || KOSH _7,2{51}.14 ||]
   abhyātānāntaṃ kṛtvā 'aśmavarma me' iti ṣaḍarcena sūktena saptamyṛcā	aByAtAna antam kRtvA aaSma varma me a iti zaz arcena sUktena saptamI RcA
   sarvāsāṃ dvitīyā kartavyā | 'ye diśāmantardeśebhyaḥ' iti ṣaṭsu ṛkṣu	sarvAsAm dvitIyA kartavyA | aye diSAm antar deSeByaH a iti zawsu Rkzu
   dvitīyā | ṣaṭ sampātāḥ | ṣaḍaśmanaḥ sampātavato'bhimantrya tato gṛhakoṇeṣu	dvitIyAH | zaw sampAtAH | zaz aSmanaH sampAtavataH aBimantrya tatas gRha koNezu
   nikhanati caturaḥ | ekaṃ gṛhamadhya ekaṃ gṛhopari nidadhāti |	niKanati caturaH | ekam gRha maDye ekam gRha upari nidaDAti |
   uttaratantram | gṛhagrāmanagarapattanānāṃ sarvatra svastyayanaṃ samāptam	uttaratantram | gRha grAma nagara pattanAnAm sarvatra svastyayanam samAptam
        athānnasvastyayanamucyate 	aTa anna svastyayanam ucyate 
             [alasālā (6.16.4) ityālabheṣajam || KauśS_7,2{51}.15 ||	[ala sAlAH (6.16.4) iti AlaBezajam || KOSH _7,2{51}.15 ||
             trīṇi silāñjālāgrāṇyurvarāmadhye nikhanati || KauśS_7,2{51}.16	trINi silAQjAla agrANi uH varA maDye niKanati || KOSH _7,2{51}.16
   'alasālā' ityṛcā tisraḥ sasyavallīrabhimantrya kṣetramadhye nikhanati |	aalasAlA a iti RcA tisraH sasya vallIH aBimantrya kzetra maDye niKanati |
   annavyādhirakṣāsvastyayanaṃ samāptam ||	anna vyADi rakzAsvastyayanam samAptam ||
        atha mūṣakapataṅgaśalabhahariṇaroruśalyādīni sasyavināśakāni teṣāṃ	aTa mUzaka pataFga SalaBa hariNara Uru Salya AdIni sasya vinASakAni tezAm
   śāntirucyate  	SAntiH ucyate  
             [hataṃ tardam (6.50) ityayasā sīsaṃ karṣannurvarāṃ parikrāmati	[hatam tardam (6.50) iti ayasA sIsam karzat nurvarAm parikrAmati
   || KauśS_7,2{51}.17 ||]	|| KOSH _7,2{51}.17 ||]
   'hataṃ tardam' iti sūktena sīsaṃ lohamudgharṣan sūktaṃ	ahatam tardam a iti sUktena sIsam loham udGarzan sUktam
   japitvābhiprakrāmati | mūṣakādisthāne ||	japitvA aBiprakrAmati | mUzaka Adi sTAne ||
             [aśmano'vakirati || KauśS_7,2{51}.18 ||]	[aSmanaH avakirati || KOSH _7,2{51}.18 ||]
   'hataṃ tardam' iti sūktena śarkarānabhimantrya yatra mūṣakādīni tatra	ahatam tardam a iti sUktena SarkarAn aBimantrya yatra mUzaka AdIni tatra
   parikirati ||	parikirati ||
             [tardamavaśirasaṃ vadanāt keśena samuhyorvarāmadhye nikhanati ||	[tardam avaSirasam vadanAt keSena samuhya urvarA maDye niKanati ||
   KauśS_7,2{51}.19 ||]	KOSH _7,2{51}.19 ||]
   mūṣakādimukhaṃ keśena bandhayitvā 'hataṃ tardam' iti sūktenābhimantrya	mUzaka Adi muKam keSena banDayitvA ahatam tardam a iti sUktena aBimantrya
   kṣetramadhye nikhanati ||	kzetra maDye niKanati ||
             [uktaṃ cāre || KauśS_7,2{51}.20 ||]	[uktam cAre || KOSH _7,2{51}.20 ||]
   aśvinadevatāyai pākayajñamājyabhāgāntaṃ kṛtvā 'hataṃ tardam' iti sūktena	aSvina devatAyE pAkayajQam Ajya BAga antam kRtvA ahatam tardam a iti sUktena
   sārūpavatsaṃ caruṃ juhoti | tata uttaratantram | 'aśvibhyāṃ juṣṭaṃ	sArUpavatsam carum juhoti | tatas uttaratantram | aaSviByAm juzwam
   nirvapāmi | aśvibhyāṃ tvā juṣṭaṃ prokṣāmi | aśvinau gacchatu haviḥ svāhā'	nirvapAmi | aSviByAm tvA juzwam prokzAmi | aSvinO gacCatu haviH svAhA a
   iti.	iti.
             [balīn haratyāśāyā āśāpataye'śvibhyāṃ kṣetrapataye ||	[balIn harati ASAyAH ASApataye aSviByAm kzetra pataye ||
   KauśS_7,2{51}.21 ||]	KOSH _7,2{51}.21 ||]
   haviḥśeṣeṇa baliharaṇaṃ karoti pratidiśam 'āśāyai baliṃ harāmi vaṣaṭ' |	haviH SezeNa bali haraNam karoti pratidiSam aASAyE balim harAmi vazaw a |
   'āśāpataye' | 'aśvibhyām' | 'kṣetrapataye' ||	aASApataye a | aaSviByAm a | akzetra pataye a ||
             [yadaitebhyaḥ kurvīta vāgyatastiṣṭhedāstamayāt ||	[yadA eteByaH kurvIta vAgyataH tizWet a astamayAt ||
   KauśS_7,2{51}.22 ||]	KOSH _7,2{51}.22 ||]
   tasminnahani maunaṃ kuryādastamanaṃ yāvat | tasminnahani pākayajñavidhānaṃ	tasmin= ahani mOnam kuryAt astamanam yAvat | tasmin= ahani pAkayajQa viDAnam
   kriyate | samāptaṃ	kriyate | samAptam
   mūṣakaśalabhapataṅgaṭiṭṭibhakīṭakakīṭikāhariṇaroruśalyakagodhāsedhākṛmyādibhaye	mUzaka SalaBa pataFga wiwwiBa kIwaka kIwikA hariNara uru Salyaka goDA seDA kRmi Adi Baye
   svastyayanam || saptame dvitīyā kaṇḍikā || KKp_51 ||	svastyayanam || saptame dvitIyA kaNxikA || KKB _51 ||
        atha deśāntaragamanasya svastyayanamucyate 	aTa deSa antara gamanasya svastyayanam ucyate 
             [ye panthānaḥ (6.55) iti parītyopadadhīta || KauśS_7,3{52}.1 ||	[ye panTAnaH (6.55) iti parItya upadaDIta || KOSH _7,3{52}.1 ||
             prayacchati || KauśS_7,3{52}.2 ||]	prayacCati || KOSH _7,3{52}.2 ||]
   'ye panthāno bahavo devayānāḥ' iti tṛcena sūktenājyaṃ juhoti | ājyatantre	aye panTAnaH bahavaH deva yAnAHa iti tRcena sUktena Ajyam juhoti | Ajyatantre
   | 'ye panthānaḥ' iti samidha ādadhāti | puroḍāśādi yojyaṃ sarvatra | 'ye	| aye panTAnaH a iti samiDaH AdaDAti | puroxASa Adi yojyam sarvatra | aye
   panthānaḥ' iti sūktena tṛcena manthamabhimantrya pathikāya prayacchati	panTAnaH a iti sUktena tRcena manTam aBimantrya paTikAya prayacCati
   svastyayanakāmaḥ | 'ye panthānaḥ' iti tṛcena bhaktamabhimantrya	svastyayana kAmaH | aye panTAnaH a iti tRcena Baktam aBimantrya
   prayacchati bhojanārtham | samāptā grāmadūrāgamanasya śāntiḥ | anena	prayacCati Bojana arTam | samAptA grAma dUra Agamanasya SAntiH | anena
   karmaṇā kalahādi doṣo na bhavati ||	karmaNA kalaha Adi dozaH na Bavati ||
        puruṣabandhane mocanaśāntirucyate 	puruza banDane mocana SAntiH ucyate 
             [yasyāste (6.84) yatte devīṃ (6.63) viṣāṇā pāśān (6.121)	[yasyAH te (6.84) yat te devIm (6.63) vizANAH pASAn (6.121)
   ityunmocanapratirūpaṃ sampātavantaṃ karoti || KauśS_7,3{52}.3 ||]	iti unmocana pratirUpam sampAtavantam karoti || KOSH _7,3{52}.3 ||]
   abhyātānāntaṃ kṛtvā 'yasyāste' iti sūktena caturṛcena yena baddhaḥ	aByAtAna antam kRtvA ayasyAH te a iti sUktena catur Rcena yena badDaH
   tatsadṛśaṃ sampātavantaṃ kṛtvā sūktasadṛśaṃ dvitīyaṃ ca sampātavantaṃ	tad sadRSam sampAtavantam kRtvA sUkta sadRSam dvitIyam ca sampAtavantam
   karoti | tata uttaratantram | ājyatantraṃ kṛtvā 'yatte devī nirṛtiḥ' iti	karoti | tatas uttaratantram | Ajya tantram kRtvA ayat te devI nirRtiHa iti
   tṛcena sūktena bandhasadṛśaṃ nigaḍayugaladvayaṃ ca sampātavantaṃ karoti |	tRcena sUktena banDa sadRSam nigaxa yugala dvayam ca sampAtavantam karoti |
   nābhimantraṇam | tata uttaratantram | abhyātānāntaṃ kṛtvā 'viṣāṇā pāśān'	nABi mantraNam | tatas uttaratantram | aByAtAna antam kRtvA avizANA pASAn a
   iti caturṛcena nigaḍayugaladvayaṃ sampātyaikaṃ muktaṃ nigaḍaṃ carmamayaṃ	iti catur Rcena nigaxa yugala dvayam sampAtya ekam muktam nigaxam carma mayam
   vā lohamayaṃ vā yena baddhastanmayaṃ kṛtvā | abhyātānādyuttaratantram |	vA loha mayam vA yena badDaH tad mayam kRtvA | aByAtAnAdi uttaratantram |
   samāptaṃ bandhamocanam ||	samAptam banDa mocanam ||
        vācābandhasya mocanamucyate 	vAcA banDasya mocanam ucyate 
             [vācā baddhāya bhūmiparilekham || KauśS_7,3{52}.4 ||]	[vAcA badDAya BUmi parileKam || KOSH _7,3{52}.4 ||]
   tantraṃ kṛtvā 'yasyāste' iti sūktena bhūmilekhāṃ sampātya | tata	tantram kRtvA ayasyAH te a iti sUktena BUmi leKAm sampAtya | tata
   uttaratantram | samāptaṃ vācābandhanam | svastyayanakāmaḥ | baddho anena	uttaratantram | samAptam vAcA banDanam | svastyayana kAmaH | badDaH anena
   karmaṇā kṛtena mucyate bandhanāt ||	karmaNA kRtena mucyate banDanAt ||
        agnidāgharakṣārthamucyate 	agni dAGa rakzA arTam ucyate 
             [āyane (6.106) iti śamanamantarā hradaṃ karoti ||	[Ayane (6.106) iti Samanam antarA hradam karoti ||
   KauśS_7,3{52}.5 ||]	KOSH _7,3{52}.5 ||]
   'āyane te parāyaṇe' iti sūktenodakamabhimantrya garte prakṣipati madhye	aAyane te parAyaNe a iti sUktena udakam aBimantrya garte prakzipati maDye
   dāghe | adāghe ca kṛtvā udakapūraṇaṃ karoti ||	dAGe | adAGe ca kRtvA udaka pUraNam karoti ||
             [śāle ca || KauśS_7,3{52}.6 ||]	[SAle ca || KOSH _7,3{52}.6 ||]
   'āyane te' iti sūktena śālāmadhye dvayorudakamabhimantrya garte prakṣipati	aAyane te a iti sUktena SAlA maDye dvayoH udakam aBimantrya garte prakzipati
   | agnirakṣā bhavati ||	| agni rakzA Bavati ||
             [avakayā śālāṃ paritanoti || KauśS_7,3{52}.7 ||]	[avakayA SAlAm paritanoti || KOSH _7,3{52}.7 ||]
   'āyane te' iti sūktena avakāmabhimantrya śālāmupari paritanoti	aAyane te a iti sUktena avakAm aBimantrya SAlAm upari paritanoti
   dāgharakṣārthī | agnyupasarge etat karma ||	dAGa rakzA arTI | agni upasarge etat karma ||
             [śapyamānāya prayacchati || KauśS_7,3{52}.8 ||]	[SapyamAnAya prayacCati || KOSH _7,3{52}.8 ||]
   'āyane te' iti sūktena divyamabhimantrya śapyamānāya prayacchati | divye	aAyane te a iti sUktena divyam aBimantrya SapyamAnAya prayacCati | divye
   śudhyati | taptamāṣake divye ||	SuDyati | tapta mAzake divye ||
             [nidagdhaṃ prakṣālayati || KauśS_7,3{52}.9 ||]	[nidagDam prakzAlayati || KOSH _7,3{52}.9 ||]
   'āyane te' iti sūktenodakamabhimantrya aṅgaṃ dagdhaṃ prakṣālayati |	aAyane te a iti sUktena udakam aBimantrya aFgam dagDam prakzAlayati |
   aṅgamārogyaṃ bhavati | aṅge agnirakṣā | samāptāni agnidāharakṣāṇi ||	aFgam Arogyam Bavati | aFge agni rakzAH | samAptAni agni dAha rakzANi ||
        nāvāpeṭakapaṭikādisvastyayanārthodakataraṇarakṣārthamucyate 	nAvA pewaka pawikA Adi svastyayana arTa udaka taraNa rakzA arTam ucyate 
             [mahīmū ṣu (7.6.2 4) iti taraṇānyālambhayati || KauśS_7,3{52}.10	[mahImU zu (7.6.2 4) iti taraNAni AlamBayati || KOSH _7,3{52}.10
   'mahīmū ṣu' iti tṛcena sūktena nāvādyabhimantrya tataścaṭanti | upaviśanti	amahImU zu a iti tRcena sUktena nAvAdi aBimantrya tatas cawanti | upaviSanti
   | na kadācinmajjati kvacit ||	| na kadAcid majjati kvacid ||
             [dūrānnāvaṃ sampātavatīṃ naumaṇiṃ badhnāti || KauśS_7,3{52}.11	[dUrAt nAvam sampAtavatIm nOmaNim baDnAti || KOSH _7,3{52}.11
   udakarakṣārthe dūradeśagamana abhyātānāntaṃ kṛtvā 'mahīmū ṣu' iti tṛcena	udaka rakzA arTe dUra deSa gamana aByAtAna antam kRtvA amahImU zu a iti tRcena
   nāvaṃ sampātya tataścaṭanti | uttaratantram | abhyātānāntaṃ kṛtvā 'mahīmū	nAvam sampAtya tatas cawanti | uttaratantram | aByAtAna antam kRtvA amahImU
   ṣu' iti tṛcena naumaṇiṃ sampātyābhimantrya badhnāti | tata uttaratantram |	zu a iti tRcena nOmaNim sampAtyA aBimantrya baDnAti | tatas uttaratantram |
   samāptaṃ dūradeśagamane etat karma | nāvikebhyo badhnāti | ye nāvaṃ	samAptam dUra deSa gamane etat karma | nAvikeByaH baDnAti | ye nAvam
   caṭanti teṣāṃ bandhanam | samāptaṃ nāvārthaṃ svastyayanam ||	cawanti tezAm banDanam | samAptam nAvA arTam svastyayanam ||
        atha naṣṭe dravye lābhakarma ucyate 	aTa nazwe dravye lABa karmaH ucyate 
             [prapathe (7.9) iti naṣṭaiṣiṇāṃ prakṣālitābhyaktapāṇipādānāṃ	[prapaTe (7.9) iti nazwa eziNAm prakzAlita aByakta pANi pAdAnAm
   dakṣiṇān pāṇīn nimṛjyotthāpayati || KauśS_7,3{52}.12 ||]	dakziNAn pANIn nimRjya utTApayati || KOSH _7,3{52}.12 ||]
   naṣṭaiṣiṇāṃ prakṣālitābhyaktapāṇipādānāṃ 'prapathe pathām' iti caturṛcaṃ	nazwa eziNAm prakzAlita aByakta pANi pAdAnAm aprapaTe paTAma iti catur Rcam
   japitvā dakṣiṇaṃ pāṇimugmṛjyotthāpayati | naṣṭanirokṣaṇārthe ||	japitvA dakziNam pANimugmRjya utTApayati | nazwa nirokzaNa arTe ||
             [evaṃ sampātavataḥ || KauśS_7,3{52}.13 ||]	[evam sampAtavataH || KOSH _7,3{52}.13 ||]
   abhyātānāntaṃ kṛtvā 'prapathe pathām' iti caturṛcena sūktena naṣṭaiṣiṇāṃ	aByAtAna antam kRtvA aprapaTe paTAma iti catur Rcena sUktena nazwa eziNAm
   prakṣālitābhyaktapāṇipādānāṃ tataḥ pāṇī sampātya vimṛjyotthāpayati | tata	prakzAlita aByakta pANi pAdAnAm tatas pANI sampAtya vimRjya utTApayati | tata
   uttaratantram ||	uttaratantram ||
             [nimṛjyaikaviṃśatiṃ śarkarāścatuṣpathe'vakṣipyāvakirati ||	[nimRjya ekaviMSatim SarkarAH catuzpaTe avakzipya avakirati ||
   KauśS_7,3{52}.14 ||]	KOSH _7,3{52}.14 ||]
   'prapathe pathām' iti caturṛcena sūktena ekaviṃśatiśarkarānabhimantrya	aprapaTe paTAma iti catur Rcena sUktena ekaviMSati SarkarA anaBimantrya
   catuṣpathe prakṣipati | samāptaṃ naṣṭalābhakarma ||	catuzpaTe prakzipati | samAptam nazwa lABa karma ||
             [namaskṛtya (7.102.1) iti mantroktam || KauśS_7,3{52}.15 ||]	[namaskRtya (7.102.1) iti mantra uktam || KOSH _7,3{52}.15 ||]
   'namaskṛtya dyāvāpṛthivībhyām' ityekāṃ japitvā ūrdhvastiṣṭhannupatiṣṭhate	anamaskRtya dyAvApRTivIByAm a iti ekAm japitvA UrDvaH tizWan= upatizWate
             [aṃholiṅgānāmāpo bhojanahavīṃṣyabhimarśanopasthānamādityasya ||	[aMhaH liFgAnAm ApaH Bojana havIMzi aBimarSana upasTAnam Adityasya ||
   KauśS_7,3{52}.16 ||	KOSH _7,3{52}.16 ||
             svayaṃ haviṣāṃ bhojanam || KauśS_7,3{52}.17 ||]	svayam havizAm Bojanam || KOSH _7,3{52}.17 ||]
   aṃholiṅgaḥ   'ya āśānām' (1.31.2) ityekā | 'agnermanve' (4.23 29) iti	aMha uliFgaH  ayaH ASAnAm a (1.31.2) iti ekA | aagneH manve a (4.23 29) iti
   sapta sūktāni | 'yā oṣadhayaḥ' (6.96.1) ityekā | 'vaiśvānaro na āgamat'	sapta sUktAni | ayAH ozaDayaH a (6.96.1) iti ekA | avESvAnaraH naH Agamat a
   (6.35.2) ityekā | 'śumbhanī' (7.117.1) ityekā | 'yadarvācīnam' (10.5.22)	(6.35.2) iti ekA | aSumBanI a (7.117.1) iti ekA | ayat arvAcInam a (10.5.22)
   ityekā | 'agniṃ brūmaḥ' (11.6) ityarthasūktam | saptapratīka	iti ekA | aagnim brUmaHa (11.6) iti arTasUktam | sapta pratIka
   aṃholiṅgagaṇaḥ | ekaikasya pratīkasya trayodaśahavirbhiḥ homaḥ	aMha uliFga gaNaH | ekEkasya pratIkasya trayodaSa havirBiH homaH
   pratyetavyaḥ vikalpena.	pratyetavyaH vikalpena.
        'ya āśānām' ityekayodakamabhimantrya pāyayati | svastyayanakāmaḥ |	ayaH ASAnAm a iti ekayA udakam aBimantrya pAyayati | svastyayana kAmaH |
   'ya āśānām' ityekayā bhojanamabhimantrya bhakṣayati | svastyayanakāmaḥ |	ayaH ASAnAm a iti ekayA Bojanam aBimantrya Bakzayati | svastyayana kAmaH |
   'ya āśānām' ityekayā havirjuhoti | tantravikalpaḥ | svastyayanakāmaḥ |	ayaH ASAnAm a iti ekayA haviH juhoti | tantra vikalpaH | svastyayana kAmaH |
   pratidinaṃ kuryādityarthaḥ | havirupadadhītājyādi trayodaśa | 'agnermanve'	pratidinam kuryAt iti arTaH | haviH upadaDIta Ajya Adi trayodaSa | aagneH manve a
   iti saptabhiḥ sūktairudakamabhimantrya pāyayati | 'agnermanve' iti	iti saptaBiH sUktEH udakam aBimantrya pAyayati | aagneH manve a iti
   saptabhiḥ sūktaiḥ bhaktamabhimantrya bhakṣayati | 'agnermanve' iti	saptaBiH sUktEH Baktam aBimantrya Bakzayati | aagneH manve a iti
   saptabhiḥ sūktaiḥ havirjuhoti | tantravikalpaḥ | svastyayanakāmaḥ | 'yā	saptaBiH sUktEH haviH juhoti | tantra vikalpaH | svastyayana kAmaH | ayA
   oṣadhayaḥ' ityekayodakamabhimantrya pibati | 'yā oṣadhayaḥ' iti	ozaDayaH a iti ekayA udakam aBimantrya pibati | ayAH ozaDayaH a iti
   bhaktamabhimantrya bhakṣayati | 'yā oṣadhayaḥ' iti havirjuhoti |	Baktam aBimantrya Bakzayati | ayAH ozaDayaH a iti haviH juhoti |
   svastyayanakāmaḥ | āplavanāvasecanācamanādīni yathāsambhavaṃ kartavyāni |	svastyayana kAmaH | Aplavana avasecana Acamana AdIni yaTAsamBavam kartavyAni |
   pratīkavikalpaḥ | bhojane oṣadhivad haviṣaḥ | ājyasamidhādi |	pratIka vikalpaH | Bojane ozaDi vat havizaH | Ajya samiDA Adi |
   svastyayanakāmaḥ | 'vaiśvānaro na āgamat' ityekayodakamabhimantrya pibati	svastyayana kAmaH | avESvAnaraH naH Agamat a iti ekayA udakam aBimantrya pibati
   | svastyayanakāmaḥ | 'śumbhanī dyāvāpṛthivī' ityekayā bhaktamabhimantrya	| svastyayana kAmaH | aSumBanI dyAvApRTivI a iti ekayA Baktam aBimantrya
   bhakṣayati | svastyayanakāmaḥ | 'śumbhanī dyāvāpṛthivī'	Bakzayati | svastyayana kAmaH | aSumBanI dyAvApRTivI a
   ityekayājyādihavirjuhoti | tantraṃ vā | 'yadarvācīnam' ityṛcā	iti eka yAjya Adi haviH juhoti | tantram vA | ayat arvAcInam a iti RcA
   pānabhojanahavirapi etat tritayaṃ karoti | 'agniṃ brūmaḥ' iti	pAna Bojana haviH api etat tritayam karoti | aagnim brUmaHa iti
   sūktenodakamabhimantrya pibati | svastyayanakāmaḥ | 'agniṃ brūmaḥ' iti	sUktena udakam aBimantrya pibati | svastyayana kAmaH | aagnim brUmaHa iti
   sūktena bhaktamabhimantrya bhakṣayati | 'agniṃ brūmaḥ' iti sūktena	sUktena Baktam aBimantrya Bakzayati | aagnim brUmaHa iti sUktena
   havirājyasamidhādi juhoti | svastyayanakāmaḥ | pāpasaṃsarge vyādhisaṃsarge	havi rAjya samiDA Adi juhoti | svastyayana kAmaH | pApa saMsarge vyADi saMsarge
   varṇasaṃsarge anyasmin pāpe svastyayanam | sarvasvastyayanaṃ samāptam.	varNa saMsarge anyasmin pApe svastyayanam | sarva svastyayanam samAptam.
        aṃholiṅgena vikalpena etena sūktena hṛdayamālabhya japaṃ kṛtvā	aMha uliFgena vikalpena etena sUktena hRdayam AlaBya japam kRtvA
   upasthānamādityasya kuryāt tenaiva sūktena | svastyayanakāmaḥ |	upasTAnam Adityasya kuryAt tena eva sUktena | svastyayana kAmaH |
