   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   pratijñāṃ sa jayī bhavet Yj_2.79b	pratijQAm sa jayI Bavet Yt-_2.79b
   pratideyaṃ tathaiva tat Yj_2.65d	pratideyam taTA-eva tat Yt-_2.65d
   pratipattau dvayos tathā Yj_2.283d	pratipattO dvayoH taTA Yt-_2.283d
   pratipatprabhṛtiṣv ekāṃ Yj_1.264a	pratipad-praBRtizu ekAm Yt-_1.264a
   pratipannaṃ striyā deyaṃ Yj_2.49a	pratipannam striyA deyam Yt-_2.49a
   pratipraṇavasaṃyuktāṃ Yj_1.23c	prati-praNava-saMyuktAm Yt-_1.23c
   pratibudhyet tathaiva ca Yj_1.331b	pratibuDyet taTA-eva ca Yt-_1.331b
   pratibhūr dāpito yat tu Yj_2.56a	pratiBUH dApitaH yat tu Yt-_2.56a
   pratimānasamībhūto Yj_2.100c	pratimAna-samIBUtaH Yj_2.100c
   pratimāsaṃ tu vatsaram Yj_1.256b	pratimAsam tu vatsaram Yt-_1.256b
   pratilomānulomajāḥ Yj_1.95d	pratiloma-anuloma-jAH Yt-_1.95d
   prativādisamīpagān Yj_2.73b	prativAdi-samIpa-gAn Yt-_2.73b
   prativedaṃ brahmacaryaṃ Yj_1.36a	prativedam brahmacaryam Yt-_1.36a
   pratiṣiddham anādiṣṭaṃ Yj_2.260a	pratizidDam anAdizwam Yt-_2.260a
   pratiṣedhe tayor daṇḍo Yj_2.285c	pratizeDe tayoH daNxaH Yt-_2.285c
   pratisaṃvatsaraṃ caivam Yj_1.256c	pratisaMvatsaram ca-evam Yt-_1.256c
   pratisaṃvatsaraṃ tv arghyāḥ Yj_1.110a	pratisaMvatsaram tu arGyAH Yd-_1.110a
   pratisaṃvatsaraṃ somaḥ Yj_1.125a	pratisaMvatsaram somaH Yt-_1.125a
   pratisrotaḥ sarasvatīm Yj_3.249d	pratisrotas sarasvatIm Yt-_3.249d
   pratyag ātārakodayāt Yj_1.24d	pratyak AtAraka-udayAt Yt-_1.24d
   pratyarthino 'grato lekhyaṃ Yj_2.6a	pratyarTinaH agratas leKyam Yt-_2.6a
   pratyahaṃ tena vikrayaḥ Yj_2.251b	pratyaham tena vikrayaH Yt-_2.251b
   pratyākheyaṃ na vāri ca Yj_1.214d	pratyAKeyam na vAri ca Yt-_1.214d
   pratyekaṃ pratyahaṃ pītaiḥ Yj_3.316c	pratyekam pratyaham pItEH Yt-_3.316c
   prathamaṃ śūdram ardhikam Yj_2.296d	praTamam SUdram arDikam Yt-_2.296d
   prathamaṃ sāhasaṃ dadyād Yj_2.300c	praTamam sAhasam dadyAt Yt-_2.300c
   prathame māsi saṃkleda- Yj_3.75a	praTame mAsi saMkleda Yt-_3.75a
   prathamo grāmadeśayoḥ Yj_2.211d	praTamaH grAma-deSayoH Yt-_2.211d
   pradakṣiṇam anuvrajya Yj_1.249a	pradakziNam anuvrajya Yt-_1.249a
   pradarśanārtham etat tu Yj_3.216a	pradarSana-arTam etat tu Yt-_3.216a
   pradānebhyo 'dhikaṃ yataḥ Yj_1.212b	pradAneByaH aDikam yatas Yt-_1.212b
   pradāpyas tyājako 'pi ca Yj_2.198d	pradApyaH tyAjakaH api ca Yt-_2.198d
   pradāpyaḥ kṛtavetanaḥ Yj_2.164d	pradApyaH kRta-vetanaH Yt-_2.164d
   pradāpyo dviguṇāṃ bhṛtim Yj_2.197d	pradApyaH dviguNAm BRtim Yt-_2.197d
   pradhānaṃ kṣatriye karma Yj_1.119a	praDAnam kzatriye karma Yd-_1.119a
   pranaṣṭādhigataṃ deyaṃ Yj_2.33a	pranazwa-aDigatam deyam Yt-_2.33a
   prapannaṃ sādhayann arthaṃ Yj_2.40a	prapannam sADayan arTam Yt-_2.40a
   prabalaiḥ sūtimārutaiḥ Yj_3.83b	prabalEH sUtimArutEH Yt-_3.83b
   pramāṇaṃ likhitaṃ bhuktiḥ Yj_2.22a	pramANam liKitam BuktiH Yt-_2.22a
   pramādamṛtanaṣṭāṃś ca Yj_2.164c	pramAda-mRta-nazwAn ca Yt-_2.164c
   pramādavān bhinnavṛtto Yj_3.139c	pramAdavAn Binna-vRttaH Yt-_3.139c
   pramādād yac ca nāśitam Yj_2.260b	pramAdAt yat ca nASitam Yt-_2.260b
   prayacchanti tathā rājyaṃ Yj_1.270c	prayacCanti taTA rAjyam Yt-_1.270c
   prayatna ākṛtir varṇaḥ Yj_3.74a	prayatnaH AkRtiH varNaH Yt-_3.74a
   prayuktaṃ yaḥ svakaṃ dhanam Yj_2.44b	prayuktam yaH svakam Danam Yt-_2.44b
   prayojake 'sati dhanaṃ Yj_2.62c	prayojake asati Danam Yt-_2.62c
   prarohiśākhināṃ śākhā- Yj_2.227a	prarohi-SAKinAm SAKA Yt-_2.227a
   praviśeyuḥ samālabhya Yj_3.13c	praviSeyuH samAlaBya Yt-_3.13c
   praviṣṭe dviguṇe dhane Yj_2.64d	pravizwe dviguNe Dane Yt-_2.64d
   pravṛttacakratāṃ caiva Yj_1.266a	pravRtta-cakra-tAm ca-eva Yt-_1.266a
   pravṛttiṣv aghadarśanam Yj_3.158d	pravRttizu aGa-darSanam Yt-_3.158d
   praveśanādikaṃ karma Yj_3.14a	praveSana-Adikam karma Yd-_3.14a
   pravrajyāvasito rājño Yj_2.183a	pravrajyA-vasitaH rAjQaH Yt-_2.183a
   praṣṭavyā yoṣitaś cāsya Yj_2.280c	prazwavyAH yozitaH ca-asya Yt-_2.280c
   prasahyaghātinaś caiva Yj_2.273c	prasahya-GAtinaH ca-eva Yt-_2.273c
   prasahya dāsyabhigame Yj_2.291a	prasahya dAsI-aBigame Yt-_2.291a
   prasādyaiva viśudhyati Yj_3.283b	prasAdya-eva viSuDyati Yt-_3.283b
   prasādyopavased dinam Yj_3.291d	prasAdya-upavaset dinam Yt-_3.291d
   prasiddhe dhūrtamaṇḍale Yj_2.201b	prasidDe DUrta-maNxale Yt-_2.201b
   prasthānavighnakṛc caiva Yj_2.197c	prasTAna-viGna-kRt ca-eva Yt-_2.197c
   prāksaumikīḥ kriyāḥ kuryād Yj_1.124c	prAk-sOmikIH kriyAH kuryAt Yj_1.124c
   prāg vā brāhmeṇa tīrthena Yj_1.18c	prAk vA brAhmeNa tIrTena Yt-_1.18c
   prājāpatyaṃ caret kṛcchraṃ Yj_3.260a	prAjApatyam caret kRcCram Yt-_3.260a
   prājāpatyāṃ tadante tān Yj_3.56c	prAjApatyAm tad-ante tAn Yt-_3.56c
   prājāpatyo 'yam ucyate Yj_3.319b	prAjApatyaH ayam ucyate Yt-_3.319b
   prājñaḥ śūro rahasyavit Yj_1.310d	prAjQaH SUraH rahasya-vid Yt-_1.310d
   prājñān maulān sthirān śucīn Yj_1.312b	prAjQAn mOlAn sTirAn SucIn Yt-_1.312b
   prāṇasyāyatanāni tu Yj_3.93d	prANasya-AyatanAni tu Yt-_3.93d
   prāṇasyāyatanāni tu Yj_3.99d	prANasya-AyatanAni tu Yt-_3.99d
   prāṇātyaye tathā śrāddhe Yj_1.179a	prANa-atyaye taTA SrAdDe Yt-_1.179a
   prāṇān āyamya saṃprokṣya Yj_1.24a	prANAn Ayamya saMprokzya Yt-_1.24a
   prāṇāyāmam upakramet Yj_3.200d	prANAyAmam upakramet Yt-_3.200d
   prāṇāyāmaśataṃ kāryaṃ Yj_3.305a	prANAyAma-Satam kAryam Yt-_3.305a
   prāṇāyāmas tv anasthike Yj_3.275d	prANAyAmaH tu anasTike Yt-_3.275d
   prāṇāyāmaṃ jale kṛtvā Yj_3.277c	prANAyAmam jale kRtvA Yt-_3.277c
   prāṇāyāmī jale snātvā Yj_3.290a	prANAyAmI jale snAtvA Yt-_3.290a
   prāṇidyūte samāhvaye Yj_2.203d	prANi-dyUte samAhvaye Yt-_2.203d
   prātaḥsaṃdhyām upāsīta Yj_1.98c	prAtar-saMDyAm upAsIta Yt-_1.98c
   prātibhāvyam ṛṇaṃ sākṣyam Yj_2.52c	prAtiBAvyam RNam sAkzyam Yt-_2.52c
   prātibhāvyaṃ vidhīyate Yj_2.53b	prAtiBAvyam viDIyate Yt-_2.53b
   prātilomyāpavādeṣu Yj_2.207a	prAtilomya-apavAdezu Yd-_2.207a
   prātilomye vadhaḥ puṃso Yj_2.286c	prAtilomye vaDaH puMsaH Yt-_2.286c
   prātilomye vadhaḥ smṛtaḥ Yj_2.287d	prAtilomye vaDaH smRtaH Yt-_2.287d
   prāptārtho hy uttamarṇikaḥ Yj_2.42d	prApta-arTaH hi uttamarNikaH Yt-_2.42d
   prāpte nṛpatinā bhāge Yj_2.201a	prApte nRpatinA BAge Yt-_2.201a
   prāpnoti susamāhitaḥ Yj_3.327d	prApnoti su-samAhitaH Yt-_3.327d
   prāpyate hy ātmani tathā Yj_3.142c	prApyate hi Atmani taTA Yt-_3.142c
   prāyaścittam akurvāṇāḥ Yj_3.221a	prAyaScittam akurvANAH Yt-_3.221a
   prāyaścittaṃ prakalpyaṃ syād Yj_3.293c	prAyaScittam prakalpyam syAt Yt-_3.293c
   prāyaścittaṃ viśuddhaye Yj_3.220b	prAyaScittam viSudDaye Yt-_3.220b
   prāyaścittā narādhamāḥ Yj_3.225d	prAyaScittAH nara-aDamAH Yt-_3.225d
   prāyaścittair adūṣitam Yj_1.316b	prAyaScittEH adUzitam Yt-_1.316b
   prāyaścittair apaity eno Yj_3.226a	prAyaScittEH apEti enaH Yt-_3.226a
   prāśanaṃ tu dvijottamaḥ Yj_3.306d	prASanam tu dvijottamaH Yt-_3.306d
   priyāpriyaviparyayaḥ Yj_3.64b	priya-apriya-viparyayaH Yt-_3.64b
   priyo vivāhyaś ca tathā Yj_1.110c	priyaH vivAhyaH ca taTA Yt-_1.110c
   prīṇayanti manuṣyāṇāṃ Yj_1.269c	prINayanti manuzyANAm Yt-_1.269c
   prīṇāti devān ājyena Yj_1.42c	prINAti devAn Ajyena Yd-_1.42c
   prītātmā munibhāṣitam Yj_3.334b	prIta-AtmA muni-BAzitam Yt-_3.334b
   prītā nṝṇāṃ pitāmahāḥ Yj_1.270d	prItAH nLNAm pitAmahAH Yt-_1.270d
   pretadhūmaṃ nadītaram Yj_1.139b	preta-DUmam nadItaram Yt-_1.139b
   pretapātraṃ prasecayet Yj_1.253d	pretapAtram prasecayet Yt-_1.253d
   pretasaṃsparśinām api Yj_3.14b	preta-saMsparSinAm api Yt-_3.14b
   pretānām udakakriyā Yj_3.4b	pretAnAm udaka-kriyA Yt-_3.4b
   pretāyānnaṃ dinatrayam Yj_3.16d	pretAya-annam dina-trayam Yt-_3.16d
   preto bhuṅkte yato 'vaśaḥ Yj_3.11b	pretaH BuFkte yatas avaSaH Yt-_3.11b
   pretya cānuttamāṃ gatim Yj_1.87d	pretya ca-anuttamAm gatim Yt-_1.87d
   preraṇaṃ manaso gatiḥ Yj_3.175b	preraNam manasaH gatiH Yt-_3.175b
   preṣayec ca tataś cārān Yj_1.332a	prezayet ca tatas cArAn Yd-_1.332a
   preṣayen mantrisaṃgataḥ Yj_1.328d	prezayet mantri-saMgataH Yt-_1.328d
   prokṣaṇaṃ saṃhatānāṃ ca Yj_1.184c	prokzaNam saMhatAnAm ca Yt-_1.184c
   prokṣite dvijakāmyayā Yj_1.179b	prokzite dvija-kAmyayA Yt-_1.179b
   proṣite kālaśeṣaḥ syāt Yj_3.21c	prozite kAla-SezaH syAt Yt-_3.21c
   proṣite vā kuṭumbini Yj_2.45d	prozite vA kuwumbini Yt-_2.45d
   phalakāṃsasamudbhave Yj_3.87b	Palaka-aMsa-samudBave Yt-_3.87b
   phalake ca vinirdiśet Yj_3.87d	Palake ca vinirdiSet Yt-_3.87d
   phalapuṣpānnarasaja- Yj_3.275a	Pala-puzpa-anna-rasa-ja Yt-_3.275a
   phalabhogyo na naśyati Yj_2.58d	Pala-BogyaH na naSyati Yt-_2.58d
   phalam asti na veti vā Yj_3.152b	Palam asti na vA-iti vE Yt-_3.152b
   phalaṃ kuśalabuddhayaḥ Yj_1.350d	Palam kuSala-budDayaH Yt-_1.350d
   phalopalakṣaumasoma- Yj_3.36a	Pala-upala-kzOma-soma Yt-_3.36a
   phālāhatam api kṣetraṃ Yj_2.158a	PAla-Ahatam api kzetram Yt-_2.158a
   phenaprakhyaḥ kathaṃ nāśaṃ Yj_3.10c	Pena-praKyaH kaTam nASam Yt-_3.10c
   bakavṛttīṃś ca varjayet Yj_1.130d	bakavRttIn ca varjayet Yt-_1.130d
   baddhaṃ yaś ca pramuñcati Yj_2.243b	badDam yaH ca pramuQcati Yt-_2.243b
   baddhvā vā vāsasā kṣipraṃ Yj_3.291c	badDvA vA vAsasA kzipram Yt-_3.291c
   bandigrāhāṃs tathā vāji- Yj_2.273a	bandi-grAhAn taTA vAji Yt-_2.273a
   bandhudattaṃ tathā śulkam Yj_2.144a	banDu-dattam taTA Sulkam Yt-_2.144a
   bandhubhiś ca striyaḥ pūjyā Yj_1.82c	banDuBiH ca striyaH pUjyAH Yt-_1.82c
   bandhusākṣyabhilekhitaiḥ Yj_2.149b	banDu-sAkzI-aBileKitEH Yt-_2.149b
   balavaty uttarākriyā Yj_2.23b	balavatI uttarA-kriyA Yt-_2.23b
   balavān vyavahārataḥ Yj_2.21b	balavAn vyavahArataH Yt-_2.21b
   balākābakaviṣkirān Yj_1.173b	balAkA-baka-vizkirAn Yt-_1.173b
   balāddāsīkṛtaś caurair Yj_2.182a	balAt-dAsIkRtaH cOrEH Yt-_2.182a
   balānāṃ darśanaṃ kṛtvā Yj_1.329c	balAnAm darSanam kRtvA Yt-_1.329c
   balikarmasvadhāhoma- Yj_1.102a	bali-karma-svaDA-homa Yt-_1.102a
   balopadhikṛtād ṛte Yj_2.89d	bala-upaDi-kRtAt Rte Yt-_2.89d
   balopādhivinirvṛttān Yj_2.31a	bala-upADi-vinirvRttAn Yj_2.31a
   bahavaḥ syur yadi svāṃśair Yj_2.55a	bahavaH syuH yadi sva-aMSEH Yt-_2.55a
   bahiḥśatrukṛtāṃs tathā Yj_2.31d	bahis-Satru-kRtAn taTA Yt-_2.31d
   bahu deyaṃ ca no 'stv iti Yj_1.246d	bahu deyam ca naH astu iti Yt-_1.246d
   bahūnāṃ dhānyavāsasām Yj_1.184d	bahUnAm DAnya-vAsasAm Yt-_1.184d
   bahūnāṃ yady akāmāsau Yj_2.291c	bahUnAm yadi akAmA-asO Yt-_2.291c
   bāndhavatyāga eva ca Yj_3.239d	bAnDava-tyAgaH eva ca Yt-_3.239d
   bāndhavās tad avāpnuyuḥ Yj_2.144d	bAnDavAH tat avApnuyuH Yt-_2.144d
   bālabhītādiyojitaḥ Yj_2.32b	bAla-BIta-Adi-yojitaH Yt-_2.32b
   bālasvavāsinīvṛddha- Yj_1.105a	bAla-svavAsinI-vRdDa Yt-_1.105a
   bāleṣu ca viśodhanam Yj_3.24b	bAlezu ca viSoDanam Yt-_3.24b
   bāhugrīvānetrasakthi- Yj_2.208a	bAhu-grIvA-netra-sakTi Yt-_2.208a
   bāhuyugyakṛtas tathā Yj_2.298d	bAhu-yugya-kRtaH taTA Yt-_2.298d
   bilvapatrakuśodakaiḥ Yj_3.316b	bilva-patra-kuSa-udakEH Yt-_3.316b
   bījagarbhasamudbhavam Yj_1.13b	bIja-garBa-samudBavam Yt-_1.13b
   bījāyovāhyaratnastrī- Yj_2.177c	bIja-ayaH-vAhya-ratna-strI Yt-_2.177c
   buddhīndriyāṇi sārthāni Yj_3.177a	budDIndriyANi sArTAni Yt-_3.177a
   buddher utpattir avyaktāt Yj_3.179a	budDeH utpattiH avyaktAt Yt-_3.179a
   buddher jñānaṃ viśodhanam Yj_3.34b	budDeH jQAnam viSoDanam Yt-_3.34b
   bubhukṣitas tryahaṃ sthitvā Yj_3.43a	buBukzitaH tri-aham sTitvA Yt-_3.43a
   bṛhaspate 'ti yad aryas Yj_1.301a	bRhaspate ati yat aryaH Yt-_1.301a
   brahmakṣatraviśāṃ Yj_1.37c	brahma-kzatra-viSAm Yt-_1.37c
   brahmakṣatriyaviṭśūdrā Yj_1.10a	brahma-kzatriya-viS-SUdrA Yt-_1.10a
   brahmakhānilatejāṃsi Yj_3.145a	brahmaKa-anila-tejAMsi Yt-_3.145a
   brahmacaryaṃ tapo damaḥ Yj_3.190b	brahmacaryam tapaH damaH Yt-_3.190b
   brahmacaryaṃ dayā kṣāntir Yj_3.312a	brahmacaryam dayA kzAntiH Yt-_3.312a
   brahmacarye sthito naikam Yj_1.32a	brahmacarye sTitaH na-ekam Yd-_1.32a
   brahmacārī tu yoṣitam Yj_3.280b	brahmacArI tu yozitam Yt-_3.280b
   brahmacārī bhavet tāṃ tu Yj_1.249c	brahmacArI Bavet tAm tu Yt-_1.249c
   brahmacāry eva parvāṇy Yj_1.79c	brahmacArI eva parvANi Yt-_1.79c
   brahmaṇā nirmitaḥ purā Yj_1.354d	brahmaNA nirmitaH purA Yt-_1.354d
   brahmaṇaiṣāṃ varo dattaḥ Yj_1.307c	brahmaNA-ezAm varaH dattaH Yt-_1.307c
   brahmalokam atikramya Yj_3.167c	brahma-lokam atikramya Yt-_3.167c
   brahmalokam abhīpsataḥ Yj_1.111d	brahma-lokam aBIpsataH Yt-_1.111d
   brahmalokam avāpnoti Yj_1.50c	brahma-lokam avApnoti Yt-_1.50c
   brahmalokam avicyutam Yj_1.212d	brahma-lokam avicyutam Yt-_1.212d
   brahmavarcasvinaḥ putrān Yj_1.263a	brahma-varcasvinaH putrAn Yd-_1.263a
   brahmasūtrodaṅmukhaḥ Yj_1.16b	brahmasUtra-udaFmuKaH Yt-_1.16b
   brahmasvam apahṛtya ca Yj_3.212b	brahma-svam apahRtya ca Yt-_3.212b
   brahmahatyāvrataṃ caret Yj_3.254b	brahmahatyA-vratam caret Yt-_3.254b
   brahmahatyāvrataṃ vāpi Yj_3.266c	brahmahatyA-vratam vA-api Yt-_3.266c
   brahmahatyāsamaṃ jñeyam Yj_3.228c	brahmahatyA-samam jQeyam Yt-_3.228c
   brahmahā kṣayarogī syāt Yj_3.209a	brahma-hA kzaya-rogI syAt Yt-_3.209a
   brahmahā tv aghamarṣaṇam Yj_3.301b	brahma-hA tu aGamarzaNam Yt-_3.301b
   brahmahā dvādaśābdāni Yj_3.243c	brahma-hA dvAdaSa-abdAni Yt-_3.243c
   brahmahā madyapaḥ stenas Yj_3.227a	brahma-hA madyapaH stenaH Yt-_3.227a
   brahmahā yonim ṛcchati Yj_3.207b	brahma-hA yonim RcCati Yt-_3.207b
   brāhmaṇakṣatriyaviśas Yj_1.39c	brAhmaNa-kzatriya-viSaH Yt-_1.39c
   brāhmaṇakṣatriyaviśāṃ Yj_1.30c	brAhmaNa-kzatriya-viSAm Yt-_1.30c
   brāhmaṇakṣatriyaviśāṃ Yj_1.57c	brAhmaNa-kzatriya-viSAm Yt-_1.57c
   brāhmaṇaprātiveśyānām Yj_2.263c	brAhmaNa-prAtiveSyAnAm Yt-_2.263c
   brāhmaṇas tu parikṣīṇaḥ Yj_2.43c	brAhmaNaH tu parikzINaH Yt-_2.43c
   brāhmaṇasya paritrāṇād Yj_3.244a	brAhmaNasya paritrANAt Yt-_3.244a
   brāhmaṇasyopanāyanam Yj_1.14b	brAhmaNasya-upanAyanam Yt-_1.14b
   brāhmaṇasvarṇahārī tu Yj_3.257a	brAhmaNa-svarNa-hArI tu Yt-_3.257a
   brāhmaṇasvarṇahārī tu Yj_3.303c	brAhmaNa-svarNa-hArI tu Yt-_3.303c
   brāhmaṇaṃ gām athāpi vā Yj_3.245b	brAhmaNam gAm aTa-api vA Yt-_3.245b
   brāhmaṇaṃ tu vivāsayet Yj_2.82d	brAhmaNam tu vivAsayet Yt-_2.82d
   brāhmaṇaḥ kāmam aśnīyāc Yj_1.32c	brAhmaNaH kAmam aSnIyAt Yt-_1.32c
   brāhmaṇaḥ pātratāṃ yāti Yj_3.332a	brAhmaNaH pAtra-tAm yAti Yt-_3.332a
   brāhmaṇaḥ sarvadharmavit Yj_2.3d	brAhmaNaH sarva-Darma-vid Yt-_2.3d
   brāhmaṇān ātmavān śuciḥ Yj_1.225b	brAhmaNAn AtmavAn SuciH Yt-_1.225b
   brāhmaṇān nyasya tatra tu Yj_2.185b	brAhmaNAn nyasya tatra tu Yt-_2.185b
   brāhmaṇān bhojayed dadyād Yj_1.292c	brAhmaNAn Bojayet dadyAt Yt-_1.292c
   brāhmaṇān vedaguptaye Yj_1.198b	brAhmaNAn veda-guptaye Yt-_1.198b
   brāhmaṇāḥ śrāddhasaṃpadaḥ Yj_1.221d	brAhmaNAH SrAdDa-saMpadaH Yt-_1.221d
   brāhmaṇī yā surāṃ pibet Yj_3.256b	brAhmaNI yA surAm pibet Yt-_3.256b
   brāhmaṇenānugantavyo Yj_3.26a	brAhmaNena-anugantavyaH Yt-_3.26a
   brāhmaṇe vratam ādiśet Yj_3.252d	brAhmaNe vratam AdiSet Yt-_3.252d
   brāhmaṇeṣu kṣamī snigdheṣv Yj_1.334a	brAhmaNezu kzamI snigDezu Yt-_1.334a
   brāhmaṇeṣu cared bhaikṣam Yj_1.29c	brAhmaNezu caret BEkzam Yt-_1.29c
   brāhmaṇyāṃ kṣatriyāt sūto Yj_1.93a	brAhmaNyAm kzatriyAt sUtaH Yt-_1.93a
   brāhmādiṣu caturṣv api Yj_2.145b	brAhma-Adizu caturzu api Yt-_2.145b
   brāhme muhūrte cotthāya Yj_1.115a	brAhme muhUrte ca-utTAya Yt-_1.115a
   brāhmo vivāha āhūya Yj_1.58a	brAhmaH vivAhaH AhUya Yt-_1.58a
   brūyur astu svadhety ukte Yj_1.245a	brUyuH astu svaDA-iti ukte Yt-_1.245a
   brūyus te 'bhiratāḥ sma ha Yj_1.252d	brUyuH te aBiratAH sma ha Yt-_1.252d
   brūhi dharmān aśeṣataḥ Yj_1.1d	brUhi DarmAn aSezatas Yt-_1.1d
   brūhi satyaṃ kave mama Yj_2.104d	brUhi satyam kave mama Yt-_2.104d
   bhaktāvakāśāgnyudaka- Yj_2.276a	Bakta-avakASa-agni-udaka Yt-_2.276a
   bhakṣayitvopaviṣṭānāṃ Yj_2.160a	BakzayitvA-upavizwAnAm Yt-_2.160a
   bhakṣayet trisamā niśi Yj_3.254d	Bakzayet tri-samAH niSi Yt-_3.254d
   bhakṣayed dhimaśailajam Yj_2.111b	Bakzayet DimaSEla-jam Yt-_2.111b
   bhakṣyāḥ pañcanakhāḥ Yj_1.177a	BakzyAH paQcanaKAH Yt-_1.177a
   bhagam indraś ca vāyuś ca Yj_1.282c	Bagam indraH ca vAyuH ca Yt-_1.282c
   bhagaṃ te varuṇo rājā Yj_1.282a	Bagam te varuNaH rAjA Yt-_1.282a
   bhagaṃ bhavati dehi me Yj_1.291b	Bagam Bavati dehi me Yt-_1.291b
   bhagaṃ saptarṣayo daduḥ Yj_1.282d	Bagam saptarzayaH daduH Yt-_1.282d
   bhagaṃ sūryo bṛhaspatiḥ Yj_1.282b	Bagam sUryaH bRhaspatiH Yt-_1.282b
   bhagāsthy ekaṃ tathā pṛṣṭhe Yj_3.88a	BagAsTi ekam taTA pRzWe Yt-_3.88a
   bhaginyaś ca nijād aṃśād Yj_2.124c	BaginyaH ca nijAt aMSAt Yt-_2.124c
   bhagneṣv avinivartinām Yj_1.325b	Bagnezu avinivartinAm Yt-_1.325b
   bhaṅge madhyamasāhasaḥ Yj_2.220d	BaFge maDyama-sAhasaH Yt-_2.220d
   bhadrāsanopaviṣṭasya Yj_1.278c	BadrAsana-upavizwasya Yd-_1.278c
   bhayaṃ hitvā ca bhūtānām Yj_3.61c	Bayam hitvA ca BUtAnAm Yt-_3.61c
   bhartavyāḥ sādhuvṛttayaḥ Yj_2.142b	BartavyAH sADu-vRttayaH Yt-_2.142b
   bhartavyāḥ syur niraṃśakāḥ Yj_2.140d	BartavyAH syuH niraMSakAH Yt-_2.140d
   bhartā śrāddhakriyārataḥ Yj_1.121b	BartA SrAdDa-kriyA-rataH Yt-_1.121b
   bhartṛghnyaḥ kāmagādikāḥ Yj_3.6b	BartR-GnyaH kAmagAdikAH Yt-_3.6b
   bhartṛbhrātṛpitṛjñāti- Yj_1.82a	BartR-BrAtR-pitR-jQAti Yt-_1.82a
   bhartrā vā śvaśureṇa vā Yj_2.115d	BartrA vA SvaSureNa vE Yt-_2.115d
   bhavacchabdopalakṣitā Yj_1.30b	Bavat-Sabda-upalakzitA Yt-_1.30b
   bhavati brahmarākṣasaḥ Yj_3.212d	Bavati brahmarAkzasaH Yt-_3.212d
   bhavaty eko 'pi dharmavit Yj_2.72b	Bavati ekaH api Darma-vid Yt-_2.72b
   bhavanty uttaravādinaḥ Yj_2.17d	Bavanti uttara-vAdinaH Yt-_2.17d
   bhavaṃ yoniśateṣu ca Yj_3.131d	Bavam yoni-Satezu ca Yt-_3.131d
   bhavet kīṭo 'tha vā kṛmiḥ Yj_3.197d	Bavet kIwaH aTa vA kRmiH Yt-_3.197d
   bhavet tiryakṣu tāmasaḥ Yj_3.139d	Bavet tiryakzu tAmasaH Yt-_3.139d
   bhaveyuḥ kāryacintakāḥ Yj_2.191b	BaveyuH kArya-cintakAH Yt-_2.191b
   bhavo jātisahasreṣu Yj_3.64a	BavaH jAti-sahasrezu Yd-_3.64a
   bhasmapaṅkarajaḥsparśe Yj_2.213a	Basma-paFka-rajaH-sparSe Yt-_2.213a
   bhasmādbhiḥ kāṃsyalohānāṃ Yj_1.190c	Basma-adBiH kAMsya-lohAnAm Yt-_1.190c
   bhāgaṃ śulkaṃ nṛpo haret Yj_2.261b	BAgam Sulkam nRpaH haret Yt-_2.261b
   bhājaneṣu samāhitaḥ Yj_1.237b	BAjanezu samAhitaH Yt-_1.237b
   bhājane sapavitrake Yj_1.230b	BAjane sa-pavitrake Yt-_1.230b
   bhāṇḍaṃ dāpyas tu vāhakaḥ Yj_2.197b	BANxam dApyaH tu vAhakaH Yt-_2.197b
   bhāṇḍāgāreṣu nikṣipet Yj_1.328b	BANxAgArezu nikzipet Yt-_1.328b
   bhāryādāsasanābhibhiḥ Yj_1.158b	BAryA-dAsa-sanABiBiH Yt-_1.158b
   bhāryāyā vikrayaś caiṣām Yj_3.242c	BAryAyAH vikrayaH ca-ezAm Yt-_3.242c
   bhāryāratiḥ śucir bhṛtya- Yj_1.121a	BAryA-ratiH SuciH BRtya Yt-_1.121a
   bhāryāsv anyagatāsu ca Yj_3.25b	BAryAsu anya-gatAsu ca Yt-_3.25b
   bhāryā svā śūdrajanmanaḥ Yj_1.57d	BAryA svA SUdra-janmanaH Yt-_1.57d
   bhāvanāṃ caiva saṃsthitim Yj_3.104d	BAvanAm ca-eva saMsTitim Yt-_3.104d
   bhāvas tatra prayojanam Yj_3.133d	BAvaH tatra prayojanam Yt-_3.133d
   bhāvābhāvau ca jagatas Yj_1.308c	BAva-aBAvO ca jagataH Yt-_1.308c
   bhāvair aniṣṭaiḥ saṃyuktaḥ Yj_3.140c	BAvEH anizwEH saMyuktaH Yt-_3.140c
   bhāsaṃ ca hatvā dadyād gām Yj_3.272c	BAsam ca hatvA dadyAt gAm Yt-_3.272c
   bhāsaḥ kāko 'pi vā bhavet Yj_1.127d	BAsaH kAkaH api vA Bavet Yt-_1.127d
   bhāskarālokanāślīla- Yj_1.33c	BAskara-Alokana-aSlIla Yt-_1.33c
   bhikṣārthī grāmam āśrayet Yj_3.58d	BikzA-arTI grAmam ASrayet Yt-_3.58d
   bhikṣāśī karma vedayan Yj_3.243b	BikzA-ASI karma vedayan Yt-_3.243b
   bhikṣukeṇa viśeṣataḥ Yj_3.62b	BikzukeNa viSezataH Yt-_3.62b
   bhinne dagdhe 'thavā chinne Yj_2.91c	Binne dagDe aTavA Cinne Yt-_2.91c
   bhinne paṇe ca pañcāśat- Yj_2.248a	Binne paNe ca paQcASat Yt-_2.248a
