   Tarkabhāṣā	Tarka BAzA
   ityādiviśeṣaṇaviśiṣṭabuddhimatpūrvakatvaṃ sādhyate, tadā evaṃ	ityAdi viSezaNa viSizwa budDimat pUrvaka tvam sADyate, tadA evam
   viśeṣaṇaviśiṣṭena sādhyena saha kāryatvasya sādhanasya dṛṣṭāntadharmiṇi	viSezaNa viSizwena sADyena saha kAryatvasya sADanasya dRzwAnta DarmiNi
   pramāṇena vyāpterasiddheranaikāntikatvam / atha sāmānyena vyāptimādāya	pramANena vyApteH asidDeH anEkAntika tvam / aTa sAmAnyena vyAptim AdAya
   viśeṣasya pakṣadharmatābalāt siddhirucyate? tanna yuktam / yena	viSezasya pakza Darma tA balAt sidDiH ucyate? tat na yuktam / yena
   sādhyagatena viśeṣaṇena vinā hetorvṛttirdharmiṇi na ghaṭate, tasya	sADya gatena viSezaNena vinA hetoH vRttiH DarmiNi na Gawate, tasya
   viśeṣasya pakṣadharmabalādyuktā siddhiḥ / yathā dhūmāt	viSezasya pakza Darma balAdi uktA sidDiH / yaTA DUmAt 
   parvatadeśavṛttitvasya dahanadharmasya, na tu tārṇatvādīnāṃ viśeṣāṇām /	parvata deSa vRtti tvasya dahana Darmasya, na tu tArNa tva AdInAm viSezANAm /
   tārṇatāmantareṇāpi parvate dhūmadarśanāt / tadvad buddhimato 'pi	tArNa tAm antareNa api parvate DUma darSanAt / tadvat budDimataH api
   śarīrādivṛttitvaṃ yadi sidhyati, siddhyatu / na punaratyantavilakṣaṇaṃ	SarIra Adi vRtti tvam yadi siDyati, sidDyatu / na punar atyanta vilakzaNam
   sarvajñatvam / asarvajñatve 'pi kāryatvasya sambhavāt /	sarvajQa tvam / asarvajQa tve api kAryatvasya samBavAt /
   upādānādyabhijñatvādapi na sarvajñatvasiddhiḥ, ekatvasiddhau sidhtyetat /	upAdAna Adi aBijQa tvAt api na sarvajQa tva sidDiH, ekatva sidDO siDti etat /
   na caikatvaṃ siddham / anekakartṛpūrvakatve 'pi kāryatvasya sambhavāt /	na ca eka tvam sidDam / aneka kartR pUrvaka tve api kAryatvasya samBavAt /
   yathānekakīṭikāniṣpāditaḥ śakramūrdhā / atha śakramūrdhno	yaTA aneka kIwikA nizpAditaH Sakra mUrDA / aTa Sakra mUrDno
   'pīśvarapūrvakatvaṃ sādhyaṃ, tarhi ghaṭasyāpīśvarapūrvakatvasiddhau kuto	api ISvara pUrvaka tvam sADyaM, tarhi Gawasya api ISvara pUrvakatva sidDO kuto
   dṛṣṭāntatvam? atha kumbhakārasya kartṛtvaṃ dṛṣṭaṃ kathamapākriyate?	dRzwAnta tvam? aTa kumBakArasya kartR tvam dRzwam kaTam apAkriyate?
   kīṭakādīnāṃ ca hetutvaṃ dṛṣṭaṃ tadapi kathaṃ vāryate? nāpi bahūnāṃ	kIwaka AdInAm ca hetu tvam dRzwam tat api kaTam vAryate? na api bahUnAm
   kāraṇatve vipratipattisambhāvanā, dṛṣṭatvādeveti / tasmāt sādhyasādhanayoḥ	kAraNa tve vipratipatti samBAvanA, dRzwa tvAt eva iti / tasmAt sADya sADanayoH
   sarvopasaṃhāravatī vyāptirdṛṣṭāntadharmiṇi pramāṇenāvaśyaṃ darśayitavyeti	sarva upasaMhAravatI vyAptiH dRzwAnta DarmiNi pramANena avaSyam darSayitavyA iti
   sthitam / kiñca nityaikasarvajñe buddhimati sādhye viruddho 'pyeṣaḥ /	sTitam / kiQca nitya eka sarva jQe budDimati sADye virudDaH api ezaH /
   anityānekāsarvajñena buddhimatā vyāptatvāt kāryatvasya / tathā hi,	anitya anekA sarva jQena budDimatA vyApta tvAt kAryatvasya / taTA hi,
   sādhyaviparyayasādhanādiha viruddha ucyate / ayaṃ ca sādhyaviparītaṃ	sADya viparyaya sADanAt iha virudDaH ucyate / ayam ca sADya viparItam
   sādhyatītyāstāṃ tāvat prastāvāyāteśvaradūṣaṇodbhāvanānibandhakaraṇam //	sADyati iti AstAm tAvat prastAva AyAta ISvara dUzaNa udBAvanA nibanDa karaNam //
   sādharmyavaidharmyaprayogeṣu trairūpyāsiddhyāśaṃṅkā tannirasanañca	sADarmya vEDarmya prayogezu trErUpya asidDi ASaMFkA tat nirasanaQca
   nanu sādharmyavati sādhanavākye anvaya evoktaḥ na tu vyatirekaḥ /	nanu sADarmyavati sADana vAkye anvayaH eva uktaH na tu vyatirekaH /
   vaidharmyavati ca vyatireka evoktaḥ, na tvanvayaḥ / tatkathamābhyāṃ	vEDarmyavati ca vyatirekaH eva uktaH, na tu anvayaH / tad kaTam AByAm
   trirūpaṃ liṅgaṃ kathyata iti cet, naiṣa doṣaḥ / yasmāt sādharmyavati ca	trirUpam liFgam kaTyate iti cet, na eza dozaH / yasmAt sADarmyavati ca
   sādhanavākye, upanyaste sāmarthyādeva vyatireko 'vagamyate /	sADana vAkye, upanyaste sAmarTyAt eva vyatirekaH avagamyate /
   vyatirekāgṛhītau ca sādhyābhāve 'pi na sādhanābhāva iti viparyayaḥ	vyatireka agRhItO ca sADya aBAve api na sADana aBAvaH iti viparyayaH
   sambhāvayitavyaḥ / evaṃ cānvayasyaivābhāvaḥ syāt / satyapi sādhane	samBAvayitavyaH / evam ca anvayasya eva aBAvaH syAt / sati api sADane
   sādhyābhāvāditi sāmarthyam / tathā vaidharmyavati sādhanavākye upanyaste	sADya aBAvAt iti sAmarTyam / taTA vEDarmyavati sADana vAkye upanyaste
   sāmarthyādevānvayo 'vagamyate, anvayagṛhītau hi sādhanaṃ ca syāt sādhyaṃ	sAmarTyAt eva anvayaH avagamyate, anvaya gRhItO hi sADanam ca syAt sADyam
   ca na bhavediti viparyayaḥ sambhāvayitavyaḥ / evaṃ ca vyatireka eva na	ca na Bavet iti viparyayaH samBAvayitavyaH / evam ca vyatirekaH eva na
   bhavet / sādhyābhāve 'pi sādhanasya bhāvāditi sāmarthyam / tasmāt dvāvapi	Bavet / sADya aBAve api sADanasya BAvAt iti sAmarTyam / tasmAt dvO= api
   prayogau trirūpaliṅgaprakāśakāvityadoṣaḥ //	prayogO trirUpa liFga prakASaka Avitya dozaH //
   vyaptigrāhaka pramāṇanirūpaṇam	vyapti grAhaka pramANa nirUpaNam
   samprati sādhyasādhanayorvyāptiḥ yatra dharmiṇi grahītavyā,yena ca	samprati sADya sADanayoH vyAptiH yatra DarmiNi grahIta vyA,yena ca
   pramāṇena, tadubhayaṃ sukhāvabodhārtha kathyate   svabhāvahetoḥ	pramANena, tat uBayam suKa avaboDa arTa kaTyate  svaBAva hetoH
   sattvalakṣaṇasya kṣaṇikatvena vyāptiḥ sādhyadharmiṇyeva grahītavyeti kecit	sattva lakzaNasya kzaNika tvena vyAptiH sADya DarmiNI eva grahItavyA iti kecid 
   / teṣāmantarvyāptipakṣo 'bhimataḥ / prasaṅgaprasaṅgaviparyayābhyāṃ	/ tezAm antar vyApti pakzaH aBimataH / prasaFga prasaFga viparyayAByAm
   dṛṣṭāntadharmiṇi ghaṭādau vyāptirgrahītavyetyanye / teṣāṃ bahirvyāptipakṣo	dRzwAnta DarmiNi Gawa AdO vyAptiH grahItavyA iti anye / tezAm bahis vyApti pakzaH 
   'bhimataḥ / sattvādanyeṣāṃ svabhāvahetūnāṃ kāryahetūnāmanupalambhahetūnāṃ	aBimataH / sattvAt anyezAm svaBAva hetUnAm kArya hetUnAm anupalamBa hetUnAm
   ca dṛṣṭānta eva vyāptirgrahītavyā / tatra śiṃśipātvasya vṛkṣatvavyavahāre,	ca dRzwAntaH eva vyAptiH grahItavyA / tatra SiMSipAtvasya vRkza tva vyavahAre,
   sādhye dṛṣṭānte pratyakṣānupalambhābhyāṃ vyāptirgrāhyā /	sADye dRzwAnte pratyakza anupalamBAByAm vyAptiH grAhyA /
   sattvakṣaṇikatvayostu prasaṅgaprasaṅgaviparyayābhyāṃ pramāṇābhyāṃ,	sattva kzaNika tvayoH tu prasaFga prasaFga viparyayAByAm pramANAByAM,
   sādhyaviparyayabādhakapramāṇena vā kramayaugapadyanivṛttilakṣaṇena	sADya viparyaya bADaka pramANena vA krama yOgapadya nivRtti lakzaNena
   svasaṃvedanasāmarthyasiddhervikalpasiddhervā vastutvāvastutvābhyāṃ	sva saMvedana sAmarTya sidDeH vikalpa sidDeH vA vastu tva avastu tvAByAm
   sandihyamāne vipakṣe dharmiṇi, kāryahetordhūmādervahnyādinā mahānasādau	sandihyamAne vipakze DarmiNi, kArya hetoH DUma AdeH vahni AdinA mahAnasa AdO
   dṛṣṭāntadharmiṇi trividhapratyakṣānupalambhataḥ,	dRzwAnta DarmiNi triviDa pratyakza anupalamBataH,
   pañcavidhapratyakṣānupalambhato vā vyāptirgrahītavyā / , anupalambhasya tu	paQcaviDa pratyakza anupalamBataH vA vyAptiH grahItavyA / , anupalamBasya tu
   asadvyavahārayogyatvena saha vyāptiḥ pratyakṣeṇaiva / , anyeṣāṃ tu	asat vyavahAra yogya tvena saha vyAptiH pratyakzeNa eva / , anyezAm tu
   svabhāvahetūnāṃ kāryahetūnāṃ vā keṣāñcit, yathāsvabhāvaṃ pramāṇenonnīya	svaBAva hetUnAm kArya hetUnAm vA kezAQcit, yaTA svaBAvam pramANena unnIya
   grahītavyeti //	grahItavyA iti //
   hetvābhāsanirūpaṇam	hetvABAsa nirUpaNam
   vyāptyaniścaye hetoranaikāntiko doṣaḥ / sa ca trividhaḥ  	vyApti aniScaye hetoH anEkAntikaH dozaH / sa ca triviDaH  
   asādhāraṇānaikāntikaḥ sādhāraṇānaikāntikaḥ,	asADAraNa anEkAntikaH sADAraNA anEkAntikaH,
   sandhigdhavipakṣavyāāvṛttikaśceti / tatra asādhāraṇānaikāntiko yathā  	sanDigDa vipakza vyAAvRttikaH ca iti / tatra asADAraNa anEkAntikaH yaTA  
   sātmakaṃ jīvaccharīram, prāṇādimattvāt aparajīvaccharīravat, ghaṭavat /	sa Atmakam jIvat SarIram, prANa AdimattvAt aparajIva= SarIravat, Gawa vat /
   ayaṃ heturaparajīvaccharīre ātmanā vyāpta iti na niścitaḥ / ghaṭe ca	ayam hetuH apara jIva= SarIre AtmanA vyAptaH iti na niScitaH / Gawe ca
   vipakṣe ātmano 'bhāvānnivṛtta iti na niścitaḥ / dharmiṇi tu jīvaccharīre	vipakze AtmanaH aBAvAt nivRttaH iti na niScitaH / DarmiNi tu jIvat SarIre
   vidyata iti asādhāraṇānaikāntika ucyate / aparaścāsādhāraṇo yathā  	vidyate iti asADAraNA anEkAntikaH ucyate / aparaH ca asADAraNaH yaTA  
   anityaśabdaḥ śrāvaṇatvāt, ghaṭavat, ākāśavaditi / sādhāraṇanaikāntiko	anitya SabdaH SrAvaNa tvAt, Gawavat, AkASa vat iti / sADAraNa nEkAnti kaH 
   yathā   nityaḥ śabdaḥ prameyatvāt, ghaṭavat ākāśavat / ,	yaTA  nityaH SabdaH prameya tvAt, Gawa vat AkASa vat / ,
   sandigdhavipakṣavyāvṛttiko yathā   saḥ śyāmastatputratvāt,	sandigDa vipakza vyAvRttikaH yaTA  saH SyAmaH tad putra tvAt,
   paridṛśyamānatatputravaditi //	paridRSyamAna tat putra vat iti //
   yaduktaṃ prāk, sattvasya kṣaṇikatvena saha vyāptiḥ	yat uktam prAk, sattvasya kzaNika tvena saha vyAptiH
   prasaṅgaprasaṅgaviparpayābhyāṃ grahītavyeti, tatra ko 'yaṃ prasaṅgo nāma?	prasaFga prasaFga viparpayAByAm grahIta vyA iti, tatra kaH ayam prasaFgaH nAma?
   pramāṇaprasiddhavyāptikena vākyena parasyāniṣṭatvāpādanāya prasañjanam	pramANa prasidDa vyAptikena vAkyena parasya anizwa tva ApAdanAya prasaQjanam
   prasaṅgaḥ, yathā   sāmānyasya, anekavṛttitvābhyupagame anekatvaprasañjanam	prasaFgaH, yaTA  sAmAnyasya, aneka vRtti tva aByupagame anekatva prasaQjanam
   / tathā hi   yadanekavṛtti tadanekaṃ yathā anekabhājanagataṃ tālapham /	/ taTA hi  yat aneka vRtti tat anekam yaTA aneka BAjana gatam tAlaPam /
   anekavṛtti ca sāmānyam / tasmādanenāpyanekena bhavitavyamiti prasaṅgaḥ /	aneka vRtti ca sAmAnyam / tasmAt anena api anekena Bavitavyam iti prasaFgaH /
   prasaṅgasya kāryam	prasaFgasya kAryam
   athānekatvaṃ neṣyate, tadānekavṛttitvaṃ ca mā svīkurvīthāḥ /	aTa aneka tvam na izyate, tadA aneka vRtti tvam ca mA svIkurvITAH /
   nanu yadyetat prasaṅgākhyaṃ sādhanaṃ pramāṇa, na bhavati [trairūpyābhāvāt]	nanu yadi etat prasaFga AKyam sADanam pramANa, na Bavati [trErUpya aBAvAt]
   kathamasyopanyāsa iti,	kaTam asya upanyAsaH iti,
   vyāptismaraṇārthaṃ vyāpyaikadeśakathanavaditi / yaduktam  	vyApti smaraNa arTam vyApya eka deSa kaTana vat iti / yat uktam  
   `prasaṅgo dvayasambandhādekābhāve 'nyahānaye' iti /	`prasaFgaH dvaya sambanDAt eka aBAve anya hAnaye a iti /
   asyāyamarthaḥ   vyāpyavyāpakayoḥ sambandhe sati yadi vyāpakaṃ neṣyate tadā	asya ayam arTaH  vyApya vyApakayoH sambanDe sati yadi vyApakam na izyate tadA
   vyāpyamapi neṣyatām / atha vyāpyamiṣyate tadā vyāpakamapīṣyatāmiti /	vyApyam api nezyatAm / aTa vyApyam izyate tadA vyApakam apIzyatAm iti /
   vādinā sādhanā upanyaste prativādinā tatra dūṣaṇaṃ vaktavyamiti nyāyaḥ /	vAdinA sADanAH upanyaste prativAdinA tatra dUzaNam vaktavyam iti nyAyaH /
   asiddhaviruddhānaikāntikānāmanyatamasyodbhāvanaṃ dūṣaṇam / yathoktam  	asidDa virudDa anEkAntikAnAm anyatamasya udBAvanam dUzaNam / yaToktam  
   `dūṣaṇāni nyūnatādyukti' iti /	`dUzaNAni nyUna tA di ukti a iti /
   hetudūṣaṇam	hetu dUzaNam
   nanveṣāmevodbhāvanaṃ yadi dūṣaṇaṃ,kva tarhi	nanu ezAm eva udBAvanam yadi dUzaNaM,kva tarhi
   vaiyarthyāsāmarthyātiprasaṅgādīnāmantarbhāvaḥ? atraiva triṣu / tatra	vEyarTya asAmarTyA ati prasaFga AdInAm antarBAvaH? atra eva trizu / tatra
   vaiyarthyaṃ tāvadasiddhe 'ntarbhavati / sandigdhasādhyadharmo hi	vEyarTyam tAvat asidDe antarBavati / sandigDa sADya DarmaH hi
   heturucyate / vaiyarthyaṃ tu yatropanyasyate tatra	hetuH ucyate / vEyarTyam tu yatra upanyasyate tatra
   sandigdhasādhyadharmakatvaṃ hetorlakṣaṇaṃ hetau na sambhavatīti asiddha	sandigDa sADya Darmaka tvam hetoH lakzaNam hetO na samBavati iti asidDa
   ucyate / [hetorlakṣaṇasyāsiddheḥ] yaduktam  	ucyate / [hetoH lakzaNasya asidDeH] yat uktam  
   `sandigdhe hetuvacanāt vyasto hetoranāśrayaḥ' iti /	`sandigDe hetu vacanAt vyastaH hetoH anASrayaHa iti /
   asāmarthyaṃ tu svarūpāsiddhāvantarbhavati / na hi hetoḥ sāmarthya nāma	asAmarTyam tu svarUpa asidDO= antar Bavati / na hi hetoH sAmarTya nAma
   hetusvarūpādanyat / hetoravastutvaprasaṅgāt / atiprasaṅgaścānaikāntike	hetu svarUpAt anyat / hetoH avastu tva prasaFgAt / atiprasaFgaH ca anEkAntike
   'ntarbhāvyaḥ, sādhyadharmamatikramya vipakṣe 'pi prasakteriti //	antar BAvyaH, sADya Darmam atikramya vipakze api prasakteH iti //
   ātmanirasanam	Atma nirasanam
   yatra tu dharmiṇi sādhyaṃ sādhayitumārabdhaṃ tasya dharmiṇaḥ	yatra tu DarmiNi sADyam sADayitum ArabDam tasya DarmiNaH
   pramāṇabādhitve āśrayāsiddhirhetordūṣaṇam / yathā sarvagata ātmā	pramANa bADi tve ASraya asidDiH hetoH dUzaNam / yaTA sarva gataH AtmA
   sarvatropalabhyamānaguṇatvāt / tadiha bauddhasyātmaiva na siddhaḥ, kiṃ	sarvatra upalaByamAna guNa tvAt / tat iha bOdDasya AtmA eva na sidDaH, kim
   punasasya sarvadeśopalabhyamānaguṇatvaṃ setsyati / tathā hi, tairthikāḥ	punasasya sarva deSa upalaByamAna guNa tvam setsyati / taTA hi, tErTikAH
   khalvevaṃ bruvanti / śarīrādivastuvyatiriktaṃ	Kalu evam bruvanti / SarIra Adi vastu vyatiriktam
   śubhāśubhakarmakartṛtatphalabhoktṛ nityavyāpirūpamātmākhyaṃ	SuBa aSuBa karma kartR tad Pala BoktR nitya vyApi rUpam Atma AKyam
   dravyāntaramasti / tena ca yadi nāma viśvaṃ vyāptaṃ tadapi	dravya antaram asti / tena ca yadi nAma viSvam vyAptam tat api
   yadupabhogāyatanatayā pareṇa parigṛhītaṃ jīvaccharīraṃ tadeva	yad upaBoga Ayatana tayA pareNa parigRhItam jIvat SarIram tat eva
   sātmakamabhidhīyata iti / etaccāyuktam / ātmanaḥ siddhaye pramāṇābhāvāt /	sa Atmakam aBiDIyate iti / etat ca ayuktam / AtmanaH sidDaye pramANa aBAvAt /
   na hi pratyakṣeṇa ātmā pratīyate /	na hi pratyakzeNa AtmA pratIyate /
   cakṣurādijñānānāṃ rūpādiviṣayapañcakaniyatatvāt /	cakzuH Adi jQAnAnAm rUpa Adi vizaya paQcaka niyata tvAt /
   mānasasyāpyahaṃpratyayasya śarīrādiviṣayatvāt gauro 'haṃ sthūlo 'haṃ	mAnasasya api ahaMpratyayasya SarIra Adi vizaya tvAt gOraH aham sTUlaH aham
   gacchāmyahamityādyākāreṇa ahaṃ pratyaya utpadyate yadāha alaṅkārakāraḥ  	gacCAmi aham iti Adi a AkAreNa aham pratyayaH utpadyate yat Aha alaFkAra kAraH  
   ahamityapi yajjñānaṃ taccharīrendriyāṃśavit /	aham iti api yat jQAnam tat SarIra indriya aMSa vid /
   ahaṃ kāṇassukhī gauraḥ samānādhāravedanāt //	aham kANa ssuKI gOraH samAna ADAra vedanAt //
   na cāsya śarīravyatiriktasya taddharmo gauratvaṃ sthūlatvaṃ vā / na ca	na ca asya SarIra vyatiriktasya tad DarmaH gOra tvam sTUla tvam vA / na ca
   vibhoramūrttasya mūrtadravyānuvidhāyinī gamanakriyā yuktimatī / na cāyaṃ	viBoH amUrttasya mUrta dravya anuviDAyinI gamana kriyA yuktimatI / na ca ayam
   māṇavake siṃhapratyaya eva bhākto yuktaḥ, skhaladvṛttiprasaṅgāt /	mANavake siMha pratyayaH eva BAktaH yuktaH, sKalat vRtti prasaFgAt /
   nāpyanumānena pratīyate, kāryasvabhāvaliṅgābhāvāt / nityaparokṣeṇa	na api anumAnena pratIyate, kArya svaBAva liFga aBAvAt / nitya parokzeNa
   deśakālākāravyatirekavikalenātmanā saha	deSa kAla AkAra vyatireka vikalena AtmanA saha
   kasyacidanvayavyatirekātmakāryakāraṇabhāvāsiddheḥ kāryaliṅgāyogat /	kasyacid anvaya vyatireka Atma kArya kAraNa BAva asidDeH kArya liFga ayogat /
   dharmisattāyāścāsiddhatvāt svabhāvaliṅgānupapatteḥ / na cānyalliṅgamasti /	Darmi sattAyAH ca asidDa tvAt svaBAva liFga anupapatteH / na ca anyat liFgam asti /
   anyenāpi liṅgena bhavatā sādhyavyāptena bhavitavyam / tasya ca	anyena api liFgena BavatA sADya vyAptena Bavitavyam / tasya ca
   sarvathāsiddheḥ, kathaṃ tena vyāptatvaṃ liṅgasya niścīyatām? kiñca,	sarvaTA sidDeH, kaTam tena vyApta tvam liFgasya niScIyatAm? kiQca,
   kiyamātmā bodharūpaḥ, abodharūpo vā? yadi bodharūpo nityaśca tadā	kiyam AtmA boDa rUpaH, aboDa rUpaH vA? yadi boDa rUpaH nityaH ca tadA
   cakṣurādivaiphalyaprasaṅgo durvāraḥ / athānityo	cakzuH Adi vEPalya prasaFgaH durvAraH / aTa anityaH 
   bodharūpastadājñānasyaivātmeti nāma kṛtam, na vipratipattiḥ /	boDa rUpaH tadA ajQAnasya eva AtmA iti nAma kRtam, na vipratipattiH /
   athābodharūpo dṛśyaśca tadānupalambho 'sya sattāṃ na kṣamata iti	aTa aboDa rUpaH dRSyaH ca tadA anupalamBaH asya sattAm na kzamate iti
   nirātmasiddhiranavadyā / tasmāt sarvaṃ saṃskṛtaṃ vastu nirātmakamiti //	nirAtma sidDiH anavadyAH / tasmAt sarvam saMskRtam vastu nirAtmakam iti //
   svarūpāsiddhyāpi hetvabhāsanirūpaṇam	svarUpa asidDyA api hetu aBAsa nirUpaNam
   svarūpāsiddhayāpyasiddho hetvābhāso bhavati / yathā anityaśśabdaḥ	svarUpa asidDayA api asidDaH hetvABAsaH Bavati / yaTA anityaH SabdaH
   cākṣuṣatvāditi / nanu vyāptyasiddhirapi dūṣaṇam, tenāpi pareṣṭārthāsiddheḥ	cAkzuza tvAt iti / nanu vyApti asidDiH api dUzaNam, tena api parezwa arTa asidDeH
   / tatkiṃ nocyate? anaikāntikadūṣaṇenaiva gatārthatvāt pṛthaḍnoktam / tathā	/ tat kim na ucyate? anEkAntika dUzaNena eva gata arTa tvAt pRTaxna uktam / taTA
   hi   na svalakṣaṇābhyāṃ vyāptirgrahītuṃ śakyā / svalakṣaṇasya	hi  na sva lakzaNAByAm vyAptiH grahItum SakyAH / sva lakzaNasya
   deśakālākāraniyatatvenāpyanyatrānugamābhāvāt / api tu	deSa kAla AkAra niyata tvena api anyatra anugama aBAvAt / api tu
   sādhyasādhanasāmānyābhyāmeva vyāptirgrahītavyā / tatra ca yadi sādhanaṃ	sADya sADana sAmAnyAByAm eva vyAptiH grahItavyA / tatra ca yadi sADanam
   sādhyena vyāptaṃ na pratīyate tadā sādhanaṃ ca syāt sādhyaṃ ca na	sADyena vyAptam na pratIyate tadA sADanam ca syAt sADyam ca na
   syādityanaikāntikameva bhavati //	syAt iti anEkAntikam eva Bavati //
   apohanirūpaṇam, sāmānyanirasanaṃ ca	apoha nirUpaNam, sAmAnya nirasanam ca
   nanu sāmānyaṃ cedaprasiddhaṃ, tatkathaṃ sādhyasādhanasāmānyābhyāṃ	nanu sAmAnyam ced aprasidDaM, tat kaTam sADya sADana sAmAnyAByAm
   sarvopasaṃhāravatī vyāptiḥ pramāṇena gṛhyate? naiṣa doṣaḥ / yato yādṛśaṃ	sarva upasaMhAravatI vyAptiH pramANena gRhyate? na eza dozaH / yatas yAdRSam
   sāmānyaṃ paraiḥ parikalpyate tādṛśaṃ pramāṇena bādhyata iti nābhyupeyate	sAmAnyam parEH parikalpyate tAdRSam pramANena bADyate iti na aByupeyate
   tatsaugataiḥ / na tu	tad sOgatEH / na tu
   vyavahāraprasiddhamanyavyāvṛttilakṣaṇamapohasaṃjñitamapi / nanu ko	vyavahAra prasidDa m anya vyAvRtti lakzaNam apoha saMjQitam api / nanu kaH 
   'yamapoho nāma? yathādhyavasāyaṃ bāhya eva ghaṭādirartha apoha	ayam apohaH nAma? yaTA aDyavasAyam bAhyaH eva Gawa AdiH arTa apoha
   ityabhidhīyate, apohyate 'smādanyadvijātīyamiti kṛtvā / yathāpratibhāsaṃ	iti aBiDIyate, apohyate asmAt anyat vijAtIyam iti kRtvA / yaTA pratiBAsam
   buddhyākāro vāpohaḥ, apohyate pṛthak kriyate 'smin buddhyākāre	budDi AkAraH vA apohaH, apohyate pRTak kriyate asmin budDi AkAre
   vijātīyamiti kṛtvā / yathātattvaṃ nivṛttimātraṃ prasajyarūpo vāpohaḥ,	vijAtIyam iti kRtvA / yaTAtattvam nivRtti mAtram prasajya rUpaH vA apohaH,
   apohanamapoha iti kṛtvā /	apohanam apohaH iti kRtvA /
   nanu yathādhyavasāyaṃ vidhireva, tarhi kevalo visāya ityāgatam / na	nanu yaTA aDyavasAyam viDiH eva, tarhi kevalaH visAyaH iti Agatam / na
   apohaviśiṣṭo vidhirabhipretaḥ / yattu gopratītau na gavātmā agavātmeti	apoha viSizwaH viDiH aBipretaH / yat tu go pratItO na gavA AtmA agavAtmA iti
   sāmarthyādapohaḥ paścānniścīyata iti vidhivādināṃ matam /	sAmarTyAt apohaH paScAt niScIyate iti viDivAdinAm matam /
   anyāpohapratipattau ca sāmarthyādanyapoḍho gavādirartho 'vadhāryata iti	anya apoha pratipattO ca sAmarTyAt anyapoXaH gavAdiH arTaH avaDAryate iti
   nivṛttyapohavādināṃ matam / tanna yuktam, vyavahārakāle prathamaṃ	nivRtti apoha vAdinAm matam / tat na yuktam, vyavahAra kAle praTamam
   vartamānasyāpi pratītikramādarśanāt / na hi vidhiṃ pratipadya	vartamAnasya api pratIti krama adarSanAt / na hi viDim pratipadya
   kaścidarthāpattitaḥ paścādapohamavagacchati, apohaṃ vā pratipadya	kaScid arTApattitaH paScAt apoham avagacCati, apoham vA pratipadya
   paścādanyāpoḍhamavagacchati / tasmāt gopratipattireva anyāpoḍha	paScAt anyApoXam avagacCati / tasmAt go pratipattiH eva anya apoXa
   pratipattirucyate / yadyapi gośabdāduccaritādanyāpoḍhaśabdānullekha uktaḥ,	pratipattiH ucyate / yadi api go SabdAt uccaritAt anya apoXa Sabda anulleKaH uktaH,
